Orthogroup	Praj	Prbl
OG0000063	Praj.g_01355	Prbl.g_01384
OG0000065	Praj.g_01528	Prbl.g_01722
OG0000066	Praj.g_00664	Prbl.g_00892
OG0000068	Praj.g_01952	Prbl.g_01126, Prbl.g_01000
OG0000069	Praj.g_01669	Prbl.g_00712
OG0000071	Praj.g_00011	Prbl.g_02109
OG0000072	Praj.g_00357	Prbl.g_00897
OG0000073	Praj.g_00659	Prbl.g_01395
OG0000074	Praj.g_00684	Prbl.g_01859
OG0000075	Praj.g_00776	Prbl.g_02328
OG0000076	Praj.g_01024	Prbl.g_00927
OG0000078	Praj.g_00372	Prbl.g_00893
OG0000079	Praj.g_01714	Prbl.g_00417
OG0000080	Praj.g_01166	Prbl.g_00462
OG0000081	Praj.g_01985	Prbl.g_00857
OG0000082	Praj.g_02103	Prbl.g_02195
OG0000083	Praj.g_00003	Prbl.g_02118
OG0000084	Praj.g_00006	Prbl.g_02115
OG0000085	Praj.g_00023	Prbl.g_01968
OG0000087	Praj.g_00053	Prbl.g_02273
OG0000088	Praj.g_00153	Prbl.g_01331
OG0000089	Praj.g_00162	Prbl.g_01316
OG0000090	Praj.g_00179	Prbl.g_00810
OG0000091	Praj.g_00209	Prbl.g_00278
OG0000092	Praj.g_00210	Prbl.g_00277
OG0000093	Praj.g_00223	Prbl.g_00069
OG0000094	Praj.g_00242	Prbl.g_00098
OG0000095	Praj.g_00246	Prbl.g_01282
OG0000096	Praj.g_00290	Prbl.g_01506
OG0000097	Praj.g_00310	Prbl.g_01461
OG0000098	Praj.g_00320	Prbl.g_01448
OG0000099	Praj.g_00329	Prbl.g_01436
OG0000100	Praj.g_00332	Prbl.g_01432
OG0000101	Praj.g_00405	Prbl.g_02677
OG0000102	Praj.g_01279	Prbl.g_02190
OG0000103	Praj.g_00468	Prbl.g_01339
OG0000104	Praj.g_00473	Prbl.g_00511
OG0000105	Praj.g_00491	Prbl.g_00533
OG0000106	Praj.g_00523	Prbl.g_00768
OG0000107	Praj.g_00524	Prbl.g_00766
OG0000108	Praj.g_00534	Prbl.g_02647
OG0000109	Praj.g_00543	Prbl.g_01886
OG0000110	Praj.g_00559	Prbl.g_01905
OG0000111	Praj.g_00639	Prbl.g_01043
OG0000112	Praj.g_00640	Prbl.g_01042
OG0000113	Praj.g_00722	Prbl.g_02432
OG0000114	Praj.g_00767	Prbl.g_02337
OG0000115	Praj.g_01601, Praj.g_00946	Prbl.g_02478
OG0000116	Praj.g_00950	Prbl.g_02486
OG0000117	Praj.g_01021	Prbl.g_00930
OG0000118	Praj.g_01196	Prbl.g_02128
OG0000119	Praj.g_01835	Prbl.g_02202
OG0000120	Praj.g_01455	Prbl.g_02091
OG0000121	Praj.g_01433	Prbl.g_01119
OG0000122	Praj.g_01413	Prbl.g_02583
OG0000123	Praj.g_01402	Prbl.g_01102
OG0000124	Praj.g_01014	Prbl.g_00937
OG0000125	Praj.g_01540	Prbl.g_01736
OG0000126	Praj.g_01575	Prbl.g_00502
OG0000127	Praj.g_01618	Prbl.g_00258
OG0000128	Praj.g_01633	Prbl.g_00241
OG0000129	Praj.g_01667	Prbl.g_00709
OG0000130	Praj.g_01766	Prbl.g_00399
OG0000131	Praj.g_01803	Prbl.g_00350
OG0000132	Praj.g_01805	Prbl.g_00347
OG0000133	Praj.g_01910	Prbl.g_00957
OG0000134	Praj.g_01946	Prbl.g_00994
OG0000135	Praj.g_01948	Prbl.g_00996
OG0000136	Praj.g_01997	Prbl.g_00841
OG0000137	Praj.g_02034	Prbl.g_02053
OG0000138	Praj.g_02091	Prbl.g_02231
OG0000139	Praj.g_02128	Prbl.g_02147
OG0000140	Praj.g_00001	Prbl.g_02120
OG0000141	Praj.g_00002	Prbl.g_02119
OG0000142	Praj.g_00004	Prbl.g_02117
OG0000143	Praj.g_00005	Prbl.g_02116
OG0000144	Praj.g_00007	Prbl.g_02114
OG0000145	Praj.g_00008	Prbl.g_02112
OG0000146	Praj.g_00009	Prbl.g_02111
OG0000147	Praj.g_00010	Prbl.g_02110
OG0000148	Praj.g_00012	Prbl.g_02108
OG0000149	Praj.g_00014	Prbl.g_01955
OG0000150	Praj.g_00015	Prbl.g_01956
OG0000151	Praj.g_00016	Prbl.g_01961
OG0000152	Praj.g_00017	Prbl.g_01962
OG0000153	Praj.g_00018	Prbl.g_01963
OG0000154	Praj.g_00019	Prbl.g_01964
OG0000155	Praj.g_00020	Prbl.g_01965
OG0000156	Praj.g_00021	Prbl.g_01966
OG0000157	Praj.g_00022	Prbl.g_01967
OG0000158	Praj.g_00024	Prbl.g_01969
OG0000159	Praj.g_00025	Prbl.g_01970
OG0000160	Praj.g_00026	Prbl.g_01971
OG0000161	Praj.g_00027	Prbl.g_01972
OG0000162	Praj.g_00028	Prbl.g_01973
OG0000163	Praj.g_00029	Prbl.g_01975
OG0000164	Praj.g_00032	Prbl.g_01980
OG0000165	Praj.g_00034	Prbl.g_01985
OG0000166	Praj.g_00035	Prbl.g_01986
OG0000167	Praj.g_00036	Prbl.g_01987
OG0000168	Praj.g_00044	Prbl.g_01988
OG0000169	Praj.g_00046	Prbl.g_01990
OG0000170	Praj.g_00047	Prbl.g_02241
OG0000171	Praj.g_00048	Prbl.g_02243
OG0000172	Praj.g_00049	Prbl.g_02244
OG0000173	Praj.g_00050	Prbl.g_02251
OG0000174	Praj.g_00051	Prbl.g_02258
OG0000175	Praj.g_00052	Prbl.g_02266
OG0000176	Praj.g_00054	Prbl.g_02274
OG0000177	Praj.g_00055	Prbl.g_02275
OG0000178	Praj.g_00056	Prbl.g_02276
OG0000179	Praj.g_00102	Prbl.g_00614
OG0000180	Praj.g_00103	Prbl.g_00613
OG0000181	Praj.g_00104	Prbl.g_00612
OG0000182	Praj.g_00107	Prbl.g_00608
OG0000183	Praj.g_00108	Prbl.g_00607
OG0000184	Praj.g_00111	Prbl.g_00603
OG0000185	Praj.g_00115	Prbl.g_00597
OG0000186	Praj.g_00116	Prbl.g_00596
OG0000187	Praj.g_00117	Prbl.g_01075
OG0000188	Praj.g_00118	Prbl.g_00595
OG0000189	Praj.g_00119	Prbl.g_00592
OG0000190	Praj.g_00120	Prbl.g_00591
OG0000191	Praj.g_00121	Prbl.g_00590
OG0000192	Praj.g_00122	Prbl.g_00589
OG0000193	Praj.g_00123	Prbl.g_00588
OG0000194	Praj.g_00124	Prbl.g_00587
OG0000195	Praj.g_00126	Prbl.g_00583
OG0000196	Praj.g_00127	Prbl.g_00582
OG0000197	Praj.g_00128	Prbl.g_00576
OG0000198	Praj.g_00129	Prbl.g_00572
OG0000199	Praj.g_00132	Prbl.g_00567
OG0000200	Praj.g_00133	Prbl.g_00566
OG0000201	Praj.g_00134	Prbl.g_00565
OG0000202	Praj.g_00135	Prbl.g_00563
OG0000203	Praj.g_00136	Prbl.g_00562
OG0000204	Praj.g_00137	Prbl.g_00561
OG0000205	Praj.g_00139	Prbl.g_00559
OG0000206	Praj.g_00140	Prbl.g_00558
OG0000207	Praj.g_00141	Prbl.g_00557
OG0000208	Praj.g_00142	Prbl.g_00556
OG0000209	Praj.g_00143	Prbl.g_00555
OG0000210	Praj.g_00144	Prbl.g_00553
OG0000211	Praj.g_00145	Prbl.g_00552
OG0000212	Praj.g_00146	Prbl.g_00551
OG0000213	Praj.g_00147	Prbl.g_00548
OG0000214	Praj.g_00151	Prbl.g_00542
OG0000215	Praj.g_00152	Prbl.g_01332
OG0000216	Praj.g_00154	Prbl.g_01330
OG0000217	Praj.g_00156	Prbl.g_01328
OG0000218	Praj.g_00157	Prbl.g_01326
OG0000219	Praj.g_00158	Prbl.g_01325
OG0000220	Praj.g_00160	Prbl.g_01320
OG0000221	Praj.g_00163	Prbl.g_01315
OG0000222	Praj.g_00164	Prbl.g_01314
OG0000223	Praj.g_00165	Prbl.g_01313
OG0000224	Praj.g_00168	Prbl.g_00827
OG0000225	Praj.g_00170	Prbl.g_00825
OG0000226	Praj.g_00172	Prbl.g_00822
OG0000227	Praj.g_00173	Prbl.g_00820
OG0000228	Praj.g_00174	Prbl.g_00819
OG0000229	Praj.g_00175	Prbl.g_00818
OG0000230	Praj.g_00176	Prbl.g_00817
OG0000231	Praj.g_01057	Prbl.g_00815
OG0000232	Praj.g_00177	Prbl.g_00814
OG0000233	Praj.g_00180	Prbl.g_00809
OG0000234	Praj.g_00183	Prbl.g_00305
OG0000235	Praj.g_00185	Prbl.g_00303
OG0000236	Praj.g_00186	Prbl.g_00302
OG0000237	Praj.g_00187	Prbl.g_00301
OG0000238	Praj.g_00188	Prbl.g_00300
OG0000239	Praj.g_00189	Prbl.g_00299
OG0000240	Praj.g_00191	Prbl.g_00297
OG0000241	Praj.g_00192	Prbl.g_00296
OG0000242	Praj.g_00193	Prbl.g_00295
OG0000243	Praj.g_00194	Prbl.g_00294
OG0000244	Praj.g_00195	Prbl.g_00293
OG0000245	Praj.g_00196	Prbl.g_00291
OG0000246	Praj.g_00198	Prbl.g_00289
OG0000247	Praj.g_00199	Prbl.g_00288
OG0000248	Praj.g_00200	Prbl.g_00287
OG0000249	Praj.g_00201	Prbl.g_00286
OG0000250	Praj.g_00202	Prbl.g_00285
OG0000251	Praj.g_00203	Prbl.g_00284
OG0000252	Praj.g_00204	Prbl.g_00283
OG0000253	Praj.g_00205	Prbl.g_00282
OG0000254	Praj.g_00207	Prbl.g_00280
OG0000255	Praj.g_00208	Prbl.g_00279
OG0000256	Praj.g_00211	Prbl.g_00276
OG0000257	Praj.g_00212	Prbl.g_00275
OG0000258	Praj.g_00213	Prbl.g_00274
OG0000259	Praj.g_00214	Prbl.g_00273
OG0000260	Praj.g_00215	Prbl.g_00272
OG0000261	Praj.g_00216	Prbl.g_00271
OG0000262	Praj.g_00217	Prbl.g_00270
OG0000263	Praj.g_00218	Prbl.g_00269
OG0000264	Praj.g_00220	Prbl.g_02377
OG0000265	Praj.g_00221	Prbl.g_00066
OG0000266	Praj.g_00222	Prbl.g_00068
OG0000267	Praj.g_00224	Prbl.g_00072
OG0000268	Praj.g_00226	Prbl.g_00074
OG0000269	Praj.g_00227	Prbl.g_00077
OG0000270	Praj.g_00228	Prbl.g_00079
OG0000271	Praj.g_00229	Prbl.g_00082
OG0000272	Praj.g_00230	Prbl.g_00083
OG0000273	Praj.g_00231	Prbl.g_00086
OG0000274	Praj.g_00232	Prbl.g_00088
OG0000275	Praj.g_00233	Prbl.g_00089
OG0000276	Praj.g_00234	Prbl.g_00090
OG0000277	Praj.g_00235	Prbl.g_00091
OG0000278	Praj.g_00236	Prbl.g_00092
OG0000279	Praj.g_00237	Prbl.g_00093
OG0000280	Praj.g_00238	Prbl.g_00094
OG0000281	Praj.g_00240	Prbl.g_00096
OG0000282	Praj.g_00241	Prbl.g_00097
OG0000283	Praj.g_00243	Prbl.g_00104
OG0000284	Praj.g_00244	Prbl.g_00105
OG0000285	Praj.g_00245	Prbl.g_01283
OG0000286	Praj.g_00247	Prbl.g_01281
OG0000287	Praj.g_00248	Prbl.g_00130
OG0000288	Praj.g_00249	Prbl.g_00129
OG0000289	Praj.g_00250	Prbl.g_00127
OG0000290	Praj.g_00251	Prbl.g_00126
OG0000291	Praj.g_00252	Prbl.g_00124
OG0000292	Praj.g_00253	Prbl.g_01244
OG0000293	Praj.g_00254	Prbl.g_01245
OG0000294	Praj.g_00255	Prbl.g_01246
OG0000295	Praj.g_00256	Prbl.g_01252
OG0000296	Praj.g_00257	Prbl.g_01253
OG0000297	Praj.g_00258	Prbl.g_01256
OG0000298	Praj.g_00259	Prbl.g_01257
OG0000299	Praj.g_00260	Prbl.g_01258
OG0000300	Praj.g_00261	Prbl.g_01259
OG0000301	Praj.g_00262	Prbl.g_01260
OG0000302	Praj.g_00263	Prbl.g_01261
OG0000303	Praj.g_00264	Prbl.g_01262
OG0000304	Praj.g_00265	Prbl.g_01264
OG0000305	Praj.g_00266	Prbl.g_01265
OG0000306	Praj.g_00267	Prbl.g_01266
OG0000307	Praj.g_00268	Prbl.g_01918
OG0000308	Praj.g_00269	Prbl.g_01769
OG0000309	Praj.g_00270	Prbl.g_01770
OG0000310	Praj.g_00271	Prbl.g_01771
OG0000311	Praj.g_00273	Prbl.g_01922
OG0000312	Praj.g_00275	Prbl.g_01923
OG0000313	Praj.g_00276	Prbl.g_00199
OG0000314	Praj.g_00280	Prbl.g_00193
OG0000315	Praj.g_00281	Prbl.g_00192
OG0000316	Praj.g_00283	Prbl.g_02679
OG0000317	Praj.g_00285	Prbl.g_02666
OG0000318	Praj.g_00286	Prbl.g_01516
OG0000319	Praj.g_00287	Prbl.g_01515
OG0000320	Praj.g_00288	Prbl.g_01513
OG0000321	Praj.g_00289	Prbl.g_01508
OG0000322	Praj.g_00292	Prbl.g_01499
OG0000323	Praj.g_00293	Prbl.g_01498
OG0000324	Praj.g_00296	Prbl.g_01496
OG0000325	Praj.g_00297	Prbl.g_01494
OG0000326	Praj.g_00298	Prbl.g_01492
OG0000327	Praj.g_00299	Prbl.g_01486
OG0000328	Praj.g_00300	Prbl.g_01919
OG0000329	Praj.g_00301	Prbl.g_01473
OG0000330	Praj.g_00302	Prbl.g_01472
OG0000331	Praj.g_00303	Prbl.g_01470
OG0000332	Praj.g_00304	Prbl.g_01469
OG0000333	Praj.g_00305	Prbl.g_01468
OG0000334	Praj.g_00306	Prbl.g_01467
OG0000335	Praj.g_00307	Prbl.g_01466
OG0000336	Praj.g_00309	Prbl.g_01464
OG0000337	Praj.g_00311	Prbl.g_01459
OG0000338	Praj.g_00312	Prbl.g_01458
OG0000339	Praj.g_00313	Prbl.g_01457
OG0000340	Praj.g_00314	Prbl.g_01455
OG0000341	Praj.g_00318	Prbl.g_01450
OG0000342	Praj.g_00319	Prbl.g_01449
OG0000343	Praj.g_00321	Prbl.g_01447
OG0000344	Praj.g_00322	Prbl.g_01445
OG0000345	Praj.g_00323	Prbl.g_01444
OG0000346	Praj.g_00324	Prbl.g_01443
OG0000347	Praj.g_00325	Prbl.g_01442
OG0000348	Praj.g_00326	Prbl.g_01441
OG0000349	Praj.g_00327	Prbl.g_01440
OG0000350	Praj.g_00328	Prbl.g_01439
OG0000351	Praj.g_00330	Prbl.g_01435
OG0000352	Praj.g_00333	Prbl.g_01431
OG0000353	Praj.g_00334	Prbl.g_01428
OG0000354	Praj.g_00335	Prbl.g_01427
OG0000355	Praj.g_00336	Prbl.g_01426
OG0000356	Praj.g_00337	Prbl.g_01421
OG0000357	Praj.g_00338	Prbl.g_01420
OG0000358	Praj.g_00339	Prbl.g_01419
OG0000359	Praj.g_00340	Prbl.g_01417
OG0000360	Praj.g_00343	Prbl.g_01414
OG0000361	Praj.g_00344	Prbl.g_01413
OG0000362	Praj.g_00345	Prbl.g_00911
OG0000363	Praj.g_00346	Prbl.g_00909
OG0000364	Praj.g_00347	Prbl.g_00908
OG0000365	Praj.g_00348	Prbl.g_00907
OG0000366	Praj.g_00349	Prbl.g_00906
OG0000367	Praj.g_00350	Prbl.g_00905
OG0000368	Praj.g_00351	Prbl.g_00904
OG0000369	Praj.g_00352	Prbl.g_00903
OG0000370	Praj.g_00353	Prbl.g_00902
OG0000371	Praj.g_00354	Prbl.g_00901
OG0000372	Praj.g_00356	Prbl.g_00898
OG0000373	Praj.g_00358	Prbl.g_00888
OG0000374	Praj.g_00359	Prbl.g_00886
OG0000375	Praj.g_00360	Prbl.g_00877
OG0000376	Praj.g_00362	Prbl.g_01183
OG0000377	Praj.g_00368	Prbl.g_01190
OG0000378	Praj.g_00724	Prbl.g_01191
OG0000379	Praj.g_00380	Prbl.g_01201
OG0000380	Praj.g_00382	Prbl.g_01203
OG0000381	Praj.g_00383	Prbl.g_01204
OG0000382	Praj.g_00384	Prbl.g_01206
OG0000383	Praj.g_00387	Prbl.g_01210
OG0000384	Praj.g_00388	Prbl.g_01211
OG0000385	Praj.g_00390	Prbl.g_01217
OG0000386	Praj.g_00391	Prbl.g_01218
OG0000387	Praj.g_00392	Prbl.g_01219
OG0000388	Praj.g_00393	Prbl.g_01220
OG0000389	Praj.g_00394	Prbl.g_01221
OG0000390	Praj.g_00395	Prbl.g_01222
OG0000391	Praj.g_00396	Prbl.g_01223
OG0000392	Praj.g_00397	Prbl.g_01224
OG0000393	Praj.g_00402	Prbl.g_02673
OG0000394	Praj.g_00403	Prbl.g_02674
OG0000395	Praj.g_00406	Prbl.g_02678
OG0000396	Praj.g_00824	Prbl.g_01564
OG0000397	Praj.g_01049	Prbl.g_00609
OG0000398	Praj.g_01081	Prbl.g_00410
OG0000399	Praj.g_01244	Prbl.g_01693
OG0000400	Praj.g_01869	Prbl.g_02681
OG0000401	Praj.g_00425	Prbl.g_00676
OG0000402	Praj.g_00426	Prbl.g_00675
OG0000403	Praj.g_00427	Prbl.g_00663
OG0000404	Praj.g_00429	Prbl.g_00653
OG0000405	Praj.g_00430	Prbl.g_00652
OG0000406	Praj.g_00432	Prbl.g_00650
OG0000407	Praj.g_00433	Prbl.g_00649
OG0000408	Praj.g_00434	Prbl.g_00648
OG0000409	Praj.g_00435	Prbl.g_00647
OG0000410	Praj.g_00436	Prbl.g_00645
OG0000411	Praj.g_00437	Prbl.g_00644
OG0000412	Praj.g_00438	Prbl.g_00643
OG0000413	Praj.g_00439	Prbl.g_00642
OG0000414	Praj.g_00440	Prbl.g_00641
OG0000415	Praj.g_00441	Prbl.g_00640
OG0000416	Praj.g_00442	Prbl.g_00639
OG0000417	Praj.g_00443	Prbl.g_00635
OG0000418	Praj.g_00444	Prbl.g_00634
OG0000419	Praj.g_00445	Prbl.g_00633
OG0000420	Praj.g_00446	Prbl.g_00632
OG0000421	Praj.g_00447	Prbl.g_00625
OG0000422	Praj.g_00449	Prbl.g_00623
OG0000423	Praj.g_00450	Prbl.g_00622
OG0000424	Praj.g_00451	Prbl.g_00619
OG0000425	Praj.g_00457	Prbl.g_01364
OG0000426	Praj.g_00458	Prbl.g_01363
OG0000427	Praj.g_00459	Prbl.g_01360
OG0000428	Praj.g_00461	Prbl.g_01348
OG0000429	Praj.g_00462	Prbl.g_01346
OG0000430	Praj.g_00464	Prbl.g_01344
OG0000431	Praj.g_00465	Prbl.g_01342
OG0000432	Praj.g_00466	Prbl.g_01341
OG0000433	Praj.g_00469	Prbl.g_00503
OG0000434	Praj.g_00471	Prbl.g_00506
OG0000435	Praj.g_00472	Prbl.g_00510
OG0000436	Praj.g_00474	Prbl.g_00512
OG0000437	Praj.g_00476	Prbl.g_00514
OG0000438	Praj.g_00477	Prbl.g_00515
OG0000439	Praj.g_00478	Prbl.g_00516
OG0000440	Praj.g_00479	Prbl.g_00519
OG0000441	Praj.g_00480	Prbl.g_00521
OG0000442	Praj.g_00481	Prbl.g_00522
OG0000443	Praj.g_00482	Prbl.g_00523
OG0000444	Praj.g_00483	Prbl.g_00524
OG0000445	Praj.g_00484	Prbl.g_00525
OG0000446	Praj.g_00485	Prbl.g_00526
OG0000447	Praj.g_00486	Prbl.g_00527
OG0000448	Praj.g_00487	Prbl.g_00528
OG0000449	Praj.g_00492	Prbl.g_00536
OG0000450	Praj.g_00493	Prbl.g_00806
OG0000451	Praj.g_00494	Prbl.g_00805
OG0000452	Praj.g_00495	Prbl.g_00804
OG0000453	Praj.g_00497	Prbl.g_00801
OG0000454	Praj.g_00498	Prbl.g_00800
OG0000455	Praj.g_00499	Prbl.g_00799
OG0000456	Praj.g_00500	Prbl.g_00798
OG0000457	Praj.g_00502	Prbl.g_00797
OG0000458	Praj.g_00504	Prbl.g_00795
OG0000459	Praj.g_00505	Prbl.g_00794
OG0000460	Praj.g_00507	Prbl.g_00792
OG0000461	Praj.g_00508	Prbl.g_00791
OG0000462	Praj.g_00509	Prbl.g_00790
OG0000463	Praj.g_00511	Prbl.g_00785
OG0000464	Praj.g_00515	Prbl.g_00780
OG0000465	Praj.g_00516	Prbl.g_00779
OG0000466	Praj.g_00517	Prbl.g_00778
OG0000467	Praj.g_00518	Prbl.g_00776
OG0000468	Praj.g_00519	Prbl.g_00775
OG0000469	Praj.g_00520	Prbl.g_00770
OG0000470	Praj.g_00521	Prbl.g_01526
OG0000471	Praj.g_00522	Prbl.g_00032
OG0000472	Praj.g_00525	Prbl.g_00765
OG0000473	Praj.g_00526	Prbl.g_00763
OG0000474	Praj.g_00527	Prbl.g_00761
OG0000475	Praj.g_00528	Prbl.g_00760
OG0000476	Praj.g_00529	Prbl.g_00754
OG0000477	Praj.g_00531	Prbl.g_00751
OG0000478	Praj.g_00532	Prbl.g_00749
OG0000479	Praj.g_00533	Prbl.g_00747
OG0000480	Praj.g_00535	Prbl.g_02645
OG0000481	Praj.g_00536	Prbl.g_01878
OG0000482	Praj.g_00537	Prbl.g_01879
OG0000483	Praj.g_00538	Prbl.g_01881
OG0000484	Praj.g_00539	Prbl.g_01882
OG0000485	Praj.g_00540	Prbl.g_01883
OG0000486	Praj.g_00541	Prbl.g_01884
OG0000487	Praj.g_00542	Prbl.g_01885
OG0000488	Praj.g_00544	Prbl.g_01887
OG0000489	Praj.g_00545	Prbl.g_01888
OG0000490	Praj.g_00546	Prbl.g_01889
OG0000491	Praj.g_00547	Prbl.g_01890
OG0000492	Praj.g_00548	Prbl.g_01891
OG0000493	Praj.g_00549	Prbl.g_01892
OG0000494	Praj.g_00551	Prbl.g_01894
OG0000495	Praj.g_00552	Prbl.g_01895
OG0000496	Praj.g_00553	Prbl.g_01897
OG0000497	Praj.g_00554	Prbl.g_01899
OG0000498	Praj.g_00555	Prbl.g_01900
OG0000499	Praj.g_00557	Prbl.g_01902
OG0000500	Praj.g_00558	Prbl.g_01903
OG0000501	Praj.g_00560	Prbl.g_01801
OG0000502	Praj.g_00561	Prbl.g_01800
OG0000503	Praj.g_00562	Prbl.g_01799
OG0000504	Praj.g_00563	Prbl.g_01797
OG0000505	Praj.g_00564	Prbl.g_01796
OG0000506	Praj.g_00565	Prbl.g_01795
OG0000507	Praj.g_00566	Prbl.g_01794
OG0000508	Praj.g_00567	Prbl.g_01790
OG0000509	Praj.g_00568	Prbl.g_01789
OG0000510	Praj.g_00569	Prbl.g_01788
OG0000511	Praj.g_00570	Prbl.g_01787
OG0000512	Praj.g_00571	Prbl.g_01786
OG0000513	Praj.g_00572	Prbl.g_01785
OG0000514	Praj.g_00573	Prbl.g_01784
OG0000515	Praj.g_00574	Prbl.g_01781
OG0000516	Praj.g_00575	Prbl.g_01780
OG0000517	Praj.g_00576	Prbl.g_01779
OG0000518	Praj.g_00578	Prbl.g_01775
OG0000519	Praj.g_00579	Prbl.g_01774
OG0000520	Praj.g_00581	Prbl.g_01773
OG0000521	Praj.g_00580	Prbl.g_01772
OG0000522	Praj.g_00582	Prbl.g_01766
OG0000523	Praj.g_00583	Prbl.g_01765
OG0000524	Praj.g_00584	Prbl.g_01764
OG0000525	Praj.g_00586	Prbl.g_01762
OG0000526	Praj.g_00587	Prbl.g_01761
OG0000527	Praj.g_00588	Prbl.g_01760
OG0000528	Praj.g_00589	Prbl.g_01759
OG0000529	Praj.g_00590	Prbl.g_01758
OG0000530	Praj.g_00591	Prbl.g_01757
OG0000531	Praj.g_00593	Prbl.g_01754
OG0000532	Praj.g_00594	Prbl.g_01752
OG0000533	Praj.g_00595	Prbl.g_01751
OG0000534	Praj.g_00596	Prbl.g_01750
OG0000535	Praj.g_00597	Prbl.g_01749
OG0000536	Praj.g_00598	Prbl.g_01748
OG0000537	Praj.g_00599	Prbl.g_01747
OG0000538	Praj.g_00600	Prbl.g_01746
OG0000539	Praj.g_00601	Prbl.g_01744
OG0000540	Praj.g_00602	Prbl.g_01742
OG0000541	Praj.g_00603	Prbl.g_01610
OG0000542	Praj.g_00604	Prbl.g_01611
OG0000543	Praj.g_00605	Prbl.g_01612
OG0000544	Praj.g_00606	Prbl.g_01613
OG0000545	Praj.g_00609	Prbl.g_01616
OG0000546	Praj.g_00610	Prbl.g_01617
OG0000547	Praj.g_00611	Prbl.g_01619
OG0000548	Praj.g_00613	Prbl.g_01624
OG0000549	Praj.g_00614	Prbl.g_01625
OG0000550	Praj.g_00615	Prbl.g_01626
OG0000551	Praj.g_00616	Prbl.g_01629
OG0000552	Praj.g_00617	Prbl.g_01631
OG0000553	Praj.g_00618	Prbl.g_01632
OG0000554	Praj.g_00619	Prbl.g_01634
OG0000555	Praj.g_00620	Prbl.g_01635
OG0000556	Praj.g_00621	Prbl.g_01636
OG0000557	Praj.g_00622	Prbl.g_01637
OG0000558	Praj.g_00623	Prbl.g_01639
OG0000559	Praj.g_00624	Prbl.g_01640
OG0000560	Praj.g_00626	Prbl.g_01642
OG0000561	Praj.g_00627	Prbl.g_01643
OG0000562	Praj.g_00628	Prbl.g_01645
OG0000563	Praj.g_00629	Prbl.g_01646
OG0000564	Praj.g_00630	Prbl.g_01647
OG0000565	Praj.g_00631	Prbl.g_01655
OG0000566	Praj.g_00632	Prbl.g_01656
