Orthogroup	Praj	Prae
OG0000046	Praj.g_01762	Prae.g_01616
OG0000047	Praj.g_02012	Prae.g_01815
OG0000048	Praj.g_02020	Prae.g_01822
OG0000050	Praj.g_00031	Prae.g_00031
OG0000051	Praj.g_00197	Prae.g_00160
OG0000052	Praj.g_01156, Praj.g_01282	Prae.g_00370
OG0000053	Praj.g_00530	Prae.g_00514
OG0000054	Praj.g_00042	Prae.g_00758
OG0000055	Praj.g_00793, Praj.g_01176	Prae.g_00828
OG0000056	Praj.g_00043	Prae.g_01322
OG0000057	Praj.g_00277	Prae.g_00240
OG0000058	Praj.g_00467	Prae.g_00449
OG0000059	Praj.g_01313, Praj.g_00691	Prae.g_00672
OG0000060	Praj.g_01170	Prae.g_00740
OG0000061	Praj.g_01563	Prae.g_01128, Prae.g_00984
OG0000062	Praj.g_01832	Prae.g_01130
OG0000063	Praj.g_01355	Prae.g_01263
OG0000065	Praj.g_01528	Prae.g_01329
OG0000066	Praj.g_00664	Prae.g_01389
OG0000067	Praj.g_01158	Prae.g_01245
OG0000068	Praj.g_01952	Prae.g_01758
OG0000071	Praj.g_00011	Prae.g_00011
OG0000072	Praj.g_00357	Prae.g_00323
OG0000073	Praj.g_00659	Prae.g_00643
OG0000074	Praj.g_00684	Prae.g_00665
OG0000075	Praj.g_00776	Prae.g_00813
OG0000076	Praj.g_01024	Prae.g_01040
OG0000078	Praj.g_00372	Prae.g_01390
OG0000079	Praj.g_01714	Prae.g_01537
OG0000080	Praj.g_01166	Prae.g_01588
OG0000081	Praj.g_01985	Prae.g_01789
OG0000082	Praj.g_02103	Prae.g_01877
OG0000083	Praj.g_00003	Prae.g_00003
OG0000084	Praj.g_00006	Prae.g_00006
OG0000085	Praj.g_00023	Prae.g_00023
OG0000087	Praj.g_00053	Prae.g_00051
OG0000088	Praj.g_00153	Prae.g_00112
OG0000089	Praj.g_00162	Prae.g_00121
OG0000090	Praj.g_00179	Prae.g_00139
OG0000091	Praj.g_00209	Prae.g_00172
OG0000092	Praj.g_00210	Prae.g_00173
OG0000093	Praj.g_00223	Prae.g_00187
OG0000094	Praj.g_00242	Prae.g_00205
OG0000095	Praj.g_00246	Prae.g_00210
OG0000096	Praj.g_00290	Prae.g_00254
OG0000097	Praj.g_00310	Prae.g_01440
OG0000099	Praj.g_00329	Prae.g_00295
OG0000100	Praj.g_00332	Prae.g_00298
OG0000101	Praj.g_00405	Prae.g_00356
OG0000102	Praj.g_01279	Prae.g_00382
OG0000103	Praj.g_00468	Prae.g_00450
OG0000104	Praj.g_00473	Prae.g_00454
OG0000105	Praj.g_00491	Prae.g_00473
OG0000106	Praj.g_00523	Prae.g_00506
OG0000107	Praj.g_00524	Prae.g_00508
OG0000108	Praj.g_00534	Prae.g_00518
OG0000109	Praj.g_00543	Prae.g_00527
OG0000110	Praj.g_00559	Prae.g_01301
OG0000111	Praj.g_00639	Prae.g_00625
OG0000112	Praj.g_00640	Prae.g_00626
OG0000113	Praj.g_00722	Prae.g_00733
OG0000114	Praj.g_00767	Prae.g_00804
OG0000115	Praj.g_01601, Praj.g_00946	Prae.g_00964
OG0000116	Praj.g_00950	Prae.g_00968
OG0000117	Praj.g_01021	Prae.g_01037
OG0000118	Praj.g_01196	Prae.g_01090
OG0000119	Praj.g_01835	Prae.g_01133
OG0000120	Praj.g_01455	Prae.g_01169
OG0000121	Praj.g_01433	Prae.g_01188
OG0000122	Praj.g_01413	Prae.g_01207
OG0000123	Praj.g_01402	Prae.g_01220
OG0000124	Praj.g_01014	Prae.g_01434
OG0000125	Praj.g_01540	Prae.g_01341
OG0000126	Praj.g_01575	Prae.g_01368
OG0000127	Praj.g_01618	Prae.g_01446
OG0000128	Praj.g_01633	Prae.g_01460
OG0000129	Praj.g_01667	Prae.g_01496
OG0000130	Praj.g_01766	Prae.g_01621
OG0000131	Praj.g_01803	Prae.g_01659
OG0000132	Praj.g_01805	Prae.g_01662
OG0000133	Praj.g_01910	Prae.g_01717
OG0000134	Praj.g_01946	Prae.g_01753
OG0000135	Praj.g_01948	Prae.g_01755
OG0000136	Praj.g_01997	Prae.g_01800
OG0000137	Praj.g_02034	Prae.g_01832
OG0000138	Praj.g_02091	Prae.g_01867
OG0000139	Praj.g_02128	Prae.g_01894
OG0000140	Praj.g_00001	Prae.g_00001
OG0000141	Praj.g_00002	Prae.g_00002
OG0000142	Praj.g_00004	Prae.g_00004
OG0000143	Praj.g_00005	Prae.g_00005
OG0000144	Praj.g_00007	Prae.g_00007
OG0000145	Praj.g_00008	Prae.g_00008
OG0000146	Praj.g_00009	Prae.g_00009
OG0000147	Praj.g_00010	Prae.g_00010
OG0000148	Praj.g_00012	Prae.g_00012
OG0000149	Praj.g_00014	Prae.g_00014
OG0000150	Praj.g_00015	Prae.g_00015
OG0000151	Praj.g_00016	Prae.g_00016
OG0000152	Praj.g_00017	Prae.g_00017
OG0000153	Praj.g_00018	Prae.g_00018
OG0000154	Praj.g_00019	Prae.g_00019
OG0000155	Praj.g_00020	Prae.g_00020
OG0000156	Praj.g_00021	Prae.g_00021
OG0000157	Praj.g_00022	Prae.g_00022
OG0000158	Praj.g_00024	Prae.g_00024
OG0000159	Praj.g_00025	Prae.g_00025
OG0000160	Praj.g_00026	Prae.g_00026
OG0000161	Praj.g_00027	Prae.g_00027
OG0000162	Praj.g_00028	Prae.g_00028
OG0000163	Praj.g_00029	Prae.g_00029
OG0000164	Praj.g_00032	Prae.g_00032
OG0000165	Praj.g_00034	Prae.g_00035
OG0000166	Praj.g_00035	Prae.g_00036
OG0000167	Praj.g_00036	Prae.g_00037
OG0000168	Praj.g_00044	Prae.g_00042
OG0000169	Praj.g_00046	Prae.g_00044
OG0000170	Praj.g_00047	Prae.g_00045
OG0000171	Praj.g_00048	Prae.g_00046
OG0000172	Praj.g_00049	Prae.g_00047
OG0000173	Praj.g_00050	Prae.g_00048
OG0000174	Praj.g_00051	Prae.g_00049
OG0000175	Praj.g_00052	Prae.g_00050
OG0000176	Praj.g_00054	Prae.g_00052
OG0000177	Praj.g_00055	Prae.g_00053
OG0000178	Praj.g_00056	Prae.g_00054
OG0000179	Praj.g_00102	Prae.g_00064
OG0000180	Praj.g_00103	Prae.g_00065
OG0000181	Praj.g_00104	Prae.g_00066
OG0000182	Praj.g_00107	Prae.g_00069
OG0000183	Praj.g_00108	Prae.g_00070
OG0000184	Praj.g_00111	Prae.g_00073
OG0000185	Praj.g_00115	Prae.g_00077
OG0000186	Praj.g_00116	Prae.g_00078
OG0000187	Praj.g_00117	Prae.g_00079
OG0000188	Praj.g_00118	Prae.g_00080
OG0000189	Praj.g_00119	Prae.g_00081
OG0000190	Praj.g_00120	Prae.g_00082
OG0000191	Praj.g_00121	Prae.g_00083
OG0000192	Praj.g_00122	Prae.g_00084
OG0000193	Praj.g_00123	Prae.g_00085
OG0000194	Praj.g_00124	Prae.g_00086
OG0000195	Praj.g_00126	Prae.g_00088
OG0000196	Praj.g_00127	Prae.g_00089
OG0000197	Praj.g_00128	Prae.g_00090
OG0000198	Praj.g_00129	Prae.g_00091
OG0000199	Praj.g_00132	Prae.g_00094
OG0000200	Praj.g_00133	Prae.g_00095
OG0000201	Praj.g_00134	Prae.g_00096
OG0000202	Praj.g_00135	Prae.g_00097
OG0000203	Praj.g_00136	Prae.g_00098
OG0000204	Praj.g_00137	Prae.g_00099
OG0000205	Praj.g_00139	Prae.g_00100
OG0000206	Praj.g_00140	Prae.g_00101
OG0000207	Praj.g_00141	Prae.g_00102
OG0000208	Praj.g_00142	Prae.g_00103
OG0000209	Praj.g_00143	Prae.g_00104
OG0000210	Praj.g_00144	Prae.g_00105
OG0000211	Praj.g_00145	Prae.g_00106
OG0000212	Praj.g_00146	Prae.g_00107
OG0000213	Praj.g_00147	Prae.g_00108
OG0000214	Praj.g_00151	Prae.g_00110
OG0000215	Praj.g_00152	Prae.g_00111
OG0000216	Praj.g_00154	Prae.g_00113
OG0000217	Praj.g_00156	Prae.g_00115
OG0000218	Praj.g_00157	Prae.g_00116
OG0000219	Praj.g_00158	Prae.g_00117
OG0000220	Praj.g_00160	Prae.g_00120
OG0000221	Praj.g_00163	Prae.g_00122
OG0000222	Praj.g_00164	Prae.g_00123
OG0000223	Praj.g_00165	Prae.g_00124
OG0000224	Praj.g_00168	Prae.g_00127
OG0000225	Praj.g_00170	Prae.g_00129
OG0000226	Praj.g_00172	Prae.g_00130
OG0000227	Praj.g_00173	Prae.g_00131
OG0000228	Praj.g_00174	Prae.g_00132
OG0000229	Praj.g_00175	Prae.g_00133
OG0000230	Praj.g_00176	Prae.g_00134
OG0000231	Praj.g_01057	Prae.g_00136
OG0000232	Praj.g_00177	Prae.g_00137
OG0000233	Praj.g_00180	Prae.g_00140
OG0000234	Praj.g_00183	Prae.g_00142
OG0000235	Praj.g_00185	Prae.g_00148
OG0000236	Praj.g_00186	Prae.g_00149
OG0000237	Praj.g_00187	Prae.g_00150
OG0000238	Praj.g_00188	Prae.g_00151
OG0000239	Praj.g_00189	Prae.g_00152
OG0000240	Praj.g_00191	Prae.g_00154
OG0000241	Praj.g_00192	Prae.g_00155
OG0000242	Praj.g_00193	Prae.g_00156
OG0000243	Praj.g_00194	Prae.g_00157
OG0000244	Praj.g_00195	Prae.g_00158
OG0000245	Praj.g_00196	Prae.g_00159
OG0000246	Praj.g_00198	Prae.g_00161
OG0000247	Praj.g_00199	Prae.g_00162
OG0000248	Praj.g_00200	Prae.g_00163
OG0000249	Praj.g_00201	Prae.g_00164
OG0000250	Praj.g_00202	Prae.g_00165
OG0000251	Praj.g_00203	Prae.g_00166
OG0000252	Praj.g_00204	Prae.g_00167
OG0000253	Praj.g_00205	Prae.g_00168
OG0000254	Praj.g_00207	Prae.g_00170
OG0000255	Praj.g_00208	Prae.g_00171
OG0000256	Praj.g_00211	Prae.g_00174
OG0000257	Praj.g_00212	Prae.g_00176
OG0000258	Praj.g_00213	Prae.g_00177
OG0000259	Praj.g_00214	Prae.g_00178
OG0000260	Praj.g_00215	Prae.g_00179
OG0000261	Praj.g_00216	Prae.g_00180
OG0000262	Praj.g_00217	Prae.g_00181
OG0000263	Praj.g_00218	Prae.g_00182
OG0000264	Praj.g_00220	Prae.g_00184
OG0000265	Praj.g_00221	Prae.g_00185
OG0000266	Praj.g_00222	Prae.g_00186
OG0000267	Praj.g_00224	Prae.g_00188
OG0000268	Praj.g_00226	Prae.g_00189
OG0000269	Praj.g_00227	Prae.g_00190
OG0000270	Praj.g_00228	Prae.g_00191
OG0000271	Praj.g_00229	Prae.g_00192
OG0000272	Praj.g_00230	Prae.g_00193
OG0000273	Praj.g_00231	Prae.g_00194
OG0000274	Praj.g_00232	Prae.g_00195
OG0000275	Praj.g_00233	Prae.g_00196
OG0000276	Praj.g_00234	Prae.g_00197
OG0000277	Praj.g_00235	Prae.g_00198
OG0000278	Praj.g_00236	Prae.g_00199
OG0000279	Praj.g_00237	Prae.g_00200
OG0000280	Praj.g_00238	Prae.g_00201
OG0000281	Praj.g_00240	Prae.g_00203
OG0000282	Praj.g_00241	Prae.g_00204
OG0000283	Praj.g_00243	Prae.g_00207
OG0000284	Praj.g_00244	Prae.g_00208
OG0000285	Praj.g_00245	Prae.g_00209
OG0000286	Praj.g_00247	Prae.g_00211
OG0000287	Praj.g_00248	Prae.g_00212
OG0000288	Praj.g_00249	Prae.g_00213
OG0000289	Praj.g_00250	Prae.g_00214
OG0000290	Praj.g_00251	Prae.g_00215
OG0000291	Praj.g_00252	Prae.g_00216
OG0000292	Praj.g_00253	Prae.g_00217
OG0000293	Praj.g_00254	Prae.g_00218
OG0000294	Praj.g_00255	Prae.g_00219
OG0000295	Praj.g_00256	Prae.g_00220
OG0000296	Praj.g_00257	Prae.g_00221
OG0000297	Praj.g_00258	Prae.g_00222
OG0000298	Praj.g_00259	Prae.g_00223
OG0000299	Praj.g_00260	Prae.g_00224
OG0000300	Praj.g_00261	Prae.g_00225
OG0000301	Praj.g_00262	Prae.g_00226
OG0000302	Praj.g_00263	Prae.g_00227
OG0000303	Praj.g_00264	Prae.g_00228
OG0000304	Praj.g_00265	Prae.g_00229
OG0000305	Praj.g_00266	Prae.g_00230
OG0000306	Praj.g_00267	Prae.g_00231
OG0000307	Praj.g_00268	Prae.g_00232
OG0000308	Praj.g_00269	Prae.g_00233
OG0000309	Praj.g_00270	Prae.g_00234
OG0000310	Praj.g_00271	Prae.g_00235
OG0000311	Praj.g_00273	Prae.g_00236
OG0000312	Praj.g_00275	Prae.g_00238
OG0000313	Praj.g_00276	Prae.g_00239
OG0000314	Praj.g_00280	Prae.g_00242
OG0000315	Praj.g_00281	Prae.g_00243
OG0000316	Praj.g_00283	Prae.g_00245
OG0000317	Praj.g_00285	Prae.g_00247
OG0000318	Praj.g_00286	Prae.g_00248
OG0000319	Praj.g_00287	Prae.g_00249
OG0000320	Praj.g_00288	Prae.g_00250
OG0000321	Praj.g_00289	Prae.g_00253
OG0000322	Praj.g_00292	Prae.g_00256
OG0000323	Praj.g_00293	Prae.g_00257
OG0000324	Praj.g_00296	Prae.g_00260
OG0000325	Praj.g_00297	Prae.g_00262
OG0000326	Praj.g_00298	Prae.g_00263
OG0000327	Praj.g_00299	Prae.g_00265
OG0000328	Praj.g_00300	Prae.g_00266
OG0000329	Praj.g_00301	Prae.g_00267
OG0000330	Praj.g_00302	Prae.g_00268
OG0000331	Praj.g_00303	Prae.g_00269
OG0000332	Praj.g_00304	Prae.g_00270
OG0000333	Praj.g_00305	Prae.g_00271
OG0000334	Praj.g_00306	Prae.g_00272
OG0000335	Praj.g_00307	Prae.g_00273
OG0000336	Praj.g_00309	Prae.g_00274
OG0000337	Praj.g_00311	Prae.g_00276
OG0000338	Praj.g_00312	Prae.g_00277
OG0000339	Praj.g_00313	Prae.g_00278
OG0000340	Praj.g_00314	Prae.g_00279
OG0000341	Praj.g_00318	Prae.g_00283
OG0000342	Praj.g_00319	Prae.g_00284
OG0000343	Praj.g_00321	Prae.g_00286
OG0000344	Praj.g_00322	Prae.g_00287
OG0000345	Praj.g_00323	Prae.g_00288
OG0000346	Praj.g_00324	Prae.g_00289
OG0000347	Praj.g_00325	Prae.g_00290
OG0000348	Praj.g_00326	Prae.g_00291
OG0000349	Praj.g_00327	Prae.g_00292
OG0000350	Praj.g_00328	Prae.g_00293
OG0000351	Praj.g_00330	Prae.g_00296
OG0000352	Praj.g_00333	Prae.g_00299
OG0000353	Praj.g_00334	Prae.g_00300
OG0000354	Praj.g_00335	Prae.g_00301
OG0000355	Praj.g_00336	Prae.g_00302
OG0000356	Praj.g_00337	Prae.g_00303
OG0000357	Praj.g_00338	Prae.g_00304
OG0000358	Praj.g_00339	Prae.g_00305
OG0000359	Praj.g_00340	Prae.g_00306
OG0000360	Praj.g_00343	Prae.g_00309
OG0000361	Praj.g_00344	Prae.g_00310
OG0000362	Praj.g_00345	Prae.g_00311
OG0000363	Praj.g_00346	Prae.g_00312
OG0000364	Praj.g_00347	Prae.g_00313
OG0000365	Praj.g_00348	Prae.g_00314
OG0000366	Praj.g_00349	Prae.g_00315
OG0000367	Praj.g_00350	Prae.g_00316
OG0000368	Praj.g_00351	Prae.g_00317
OG0000369	Praj.g_00352	Prae.g_00318
OG0000370	Praj.g_00353	Prae.g_00319
OG0000371	Praj.g_00354	Prae.g_00320
OG0000372	Praj.g_00356	Prae.g_00322
OG0000373	Praj.g_00358	Prae.g_00324
OG0000374	Praj.g_00359	Prae.g_00325
OG0000375	Praj.g_00360	Prae.g_00326
OG0000376	Praj.g_00362	Prae.g_00328
OG0000377	Praj.g_00368	Prae.g_00329
OG0000378	Praj.g_00724	Prae.g_00330
OG0000379	Praj.g_00380	Prae.g_00335
OG0000380	Praj.g_00382	Prae.g_00336
OG0000381	Praj.g_00383	Prae.g_00337
OG0000382	Praj.g_00384	Prae.g_00338
OG0000383	Praj.g_00387	Prae.g_00341
OG0000384	Praj.g_00388	Prae.g_00342
OG0000385	Praj.g_00390	Prae.g_00344
OG0000386	Praj.g_00391	Prae.g_00345
OG0000387	Praj.g_00392	Prae.g_00346
OG0000388	Praj.g_00393	Prae.g_00347
OG0000389	Praj.g_00394	Prae.g_00348
OG0000390	Praj.g_00395	Prae.g_00349
OG0000391	Praj.g_00396	Prae.g_00350
OG0000392	Praj.g_00397	Prae.g_00351
OG0000393	Praj.g_00402	Prae.g_00354
OG0000394	Praj.g_00403	Prae.g_00355
OG0000395	Praj.g_00406	Prae.g_00357
OG0000396	Praj.g_00824	Prae.g_00358
OG0000397	Praj.g_01049	Prae.g_00371
OG0000398	Praj.g_01081	Prae.g_00379
OG0000399	Praj.g_01244	Prae.g_00380
OG0000400	Praj.g_01869	Prae.g_00385
OG0000401	Praj.g_00425	Prae.g_00405
OG0000402	Praj.g_00426	Prae.g_00406
OG0000403	Praj.g_00427	Prae.g_00407
OG0000404	Praj.g_00429	Prae.g_00409
OG0000405	Praj.g_00430	Prae.g_00410
OG0000406	Praj.g_00432	Prae.g_00412
OG0000407	Praj.g_00433	Prae.g_00413
OG0000408	Praj.g_00434	Prae.g_00414
OG0000409	Praj.g_00435	Prae.g_00415
OG0000410	Praj.g_00436	Prae.g_00416
OG0000411	Praj.g_00437	Prae.g_00417
OG0000412	Praj.g_00438	Prae.g_00418
OG0000413	Praj.g_00439	Prae.g_00419
OG0000414	Praj.g_00440	Prae.g_00420
OG0000415	Praj.g_00441	Prae.g_00421
OG0000416	Praj.g_00442	Prae.g_00422
OG0000417	Praj.g_00443	Prae.g_00423
OG0000418	Praj.g_00444	Prae.g_00424
OG0000419	Praj.g_00445	Prae.g_00425
OG0000420	Praj.g_00446	Prae.g_00426
OG0000421	Praj.g_00447	Prae.g_00427
OG0000422	Praj.g_00449	Prae.g_00429
OG0000423	Praj.g_00450	Prae.g_00430
OG0000424	Praj.g_00451	Prae.g_00432
OG0000425	Praj.g_00457	Prae.g_00435
OG0000426	Praj.g_00458	Prae.g_00436
OG0000427	Praj.g_00459	Prae.g_00437
OG0000428	Praj.g_00461	Prae.g_00438
OG0000429	Praj.g_00462	Prae.g_00439
OG0000430	Praj.g_00464	Prae.g_00445
OG0000431	Praj.g_00465	Prae.g_00447
OG0000432	Praj.g_00466	Prae.g_00448
OG0000433	Praj.g_00469	Prae.g_00451
OG0000434	Praj.g_00471	Prae.g_00452
OG0000435	Praj.g_00472	Prae.g_00453
OG0000436	Praj.g_00474	Prae.g_00455
OG0000437	Praj.g_00476	Prae.g_00457
OG0000438	Praj.g_00477	Prae.g_00458
OG0000439	Praj.g_00478	Prae.g_00459
OG0000440	Praj.g_00479	Prae.g_00461
OG0000441	Praj.g_00480	Prae.g_00462
OG0000442	Praj.g_00481	Prae.g_00463
OG0000443	Praj.g_00482	Prae.g_00464
OG0000444	Praj.g_00483	Prae.g_00465
OG0000445	Praj.g_00484	Prae.g_00466
OG0000446	Praj.g_00485	Prae.g_00467
OG0000447	Praj.g_00486	Prae.g_00468
OG0000448	Praj.g_00487	Prae.g_00469
OG0000449	Praj.g_00492	Prae.g_00474
OG0000450	Praj.g_00493	Prae.g_00475
OG0000451	Praj.g_00494	Prae.g_00476
OG0000452	Praj.g_00495	Prae.g_00477
OG0000453	Praj.g_00497	Prae.g_00479
OG0000454	Praj.g_00498	Prae.g_00480
OG0000455	Praj.g_00499	Prae.g_00481
OG0000456	Praj.g_00500	Prae.g_00482
OG0000457	Praj.g_00502	Prae.g_00484
OG0000458	Praj.g_00504	Prae.g_00486
OG0000459	Praj.g_00505	Prae.g_00487
OG0000460	Praj.g_00507	Prae.g_00489
OG0000461	Praj.g_00508	Prae.g_00490
OG0000462	Praj.g_00509	Prae.g_00491
OG0000463	Praj.g_00511	Prae.g_00492
OG0000464	Praj.g_00515	Prae.g_00497
OG0000465	Praj.g_00516	Prae.g_00499
OG0000466	Praj.g_00517	Prae.g_00500
OG0000467	Praj.g_00518	Prae.g_00501
OG0000468	Praj.g_00519	Prae.g_00502
OG0000469	Praj.g_00520	Prae.g_00503
OG0000470	Praj.g_00521	Prae.g_00504
OG0000471	Praj.g_00522	Prae.g_00505
OG0000472	Praj.g_00525	Prae.g_00509
OG0000473	Praj.g_00526	Prae.g_00510
OG0000474	Praj.g_00527	Prae.g_00511
OG0000475	Praj.g_00528	Prae.g_00512
OG0000476	Praj.g_00529	Prae.g_00513
OG0000477	Praj.g_00531	Prae.g_00515
OG0000478	Praj.g_00532	Prae.g_00516
OG0000479	Praj.g_00533	Prae.g_00517
OG0000480	Praj.g_00535	Prae.g_00519
OG0000481	Praj.g_00536	Prae.g_00520
OG0000482	Praj.g_00537	Prae.g_00521
OG0000483	Praj.g_00538	Prae.g_00522
OG0000484	Praj.g_00539	Prae.g_00523
OG0000485	Praj.g_00540	Prae.g_00524
OG0000486	Praj.g_00541	Prae.g_00525
OG0000487	Praj.g_00542	Prae.g_00526
OG0000488	Praj.g_00544	Prae.g_00528
OG0000489	Praj.g_00545	Prae.g_00529
OG0000490	Praj.g_00546	Prae.g_00530
OG0000491	Praj.g_00547	Prae.g_00531
OG0000492	Praj.g_00548	Prae.g_00532
OG0000493	Praj.g_00549	Prae.g_00533
OG0000494	Praj.g_00551	Prae.g_00535
OG0000495	Praj.g_00552	Prae.g_00536
OG0000496	Praj.g_00553	Prae.g_00537
OG0000497	Praj.g_00554	Prae.g_00538
OG0000498	Praj.g_00555	Prae.g_00539
OG0000499	Praj.g_00557	Prae.g_00541
OG0000500	Praj.g_00558	Prae.g_00542
OG0000501	Praj.g_00560	Prae.g_00544
OG0000502	Praj.g_00561	Prae.g_00545
OG0000503	Praj.g_00562	Prae.g_00546
OG0000504	Praj.g_00563	Prae.g_00547
OG0000505	Praj.g_00564	Prae.g_00548
OG0000506	Praj.g_00565	Prae.g_00549
OG0000507	Praj.g_00566	Prae.g_00550
OG0000508	Praj.g_00567	Prae.g_00552
OG0000509	Praj.g_00568	Prae.g_00553
OG0000510	Praj.g_00569	Prae.g_00554
OG0000511	Praj.g_00570	Prae.g_00555
OG0000512	Praj.g_00571	Prae.g_00556
OG0000513	Praj.g_00572	Prae.g_00557
OG0000514	Praj.g_00573	Prae.g_00558
OG0000515	Praj.g_00574	Prae.g_00560
OG0000516	Praj.g_00575	Prae.g_00561
OG0000517	Praj.g_00576	Prae.g_00562
OG0000518	Praj.g_00578	Prae.g_00565
OG0000519	Praj.g_00579	Prae.g_00566
OG0000520	Praj.g_00581	Prae.g_00567
OG0000521	Praj.g_00580	Prae.g_00568
OG0000522	Praj.g_00582	Prae.g_00569
OG0000523	Praj.g_00583	Prae.g_00570
OG0000524	Praj.g_00584	Prae.g_00571
OG0000525	Praj.g_00586	Prae.g_00573
OG0000526	Praj.g_00587	Prae.g_00574
OG0000527	Praj.g_00588	Prae.g_00575
OG0000528	Praj.g_00589	Prae.g_00576
OG0000529	Praj.g_00590	Prae.g_00577
OG0000530	Praj.g_00591	Prae.g_00578
OG0000531	Praj.g_00593	Prae.g_00579
OG0000532	Praj.g_00594	Prae.g_00580
OG0000533	Praj.g_00595	Prae.g_00581
OG0000534	Praj.g_00596	Prae.g_00582
OG0000535	Praj.g_00597	Prae.g_00583
OG0000536	Praj.g_00598	Prae.g_00584
OG0000537	Praj.g_00599	Prae.g_00585
OG0000538	Praj.g_00600	Prae.g_00586
OG0000539	Praj.g_00601	Prae.g_00587
OG0000540	Praj.g_00602	Prae.g_00588
OG0000541	Praj.g_00603	Prae.g_00589
OG0000542	Praj.g_00604	Prae.g_00590
OG0000543	Praj.g_00605	Prae.g_00591
OG0000544	Praj.g_00606	Prae.g_00592
OG0000545	Praj.g_00609	Prae.g_00595
OG0000546	Praj.g_00610	Prae.g_00596
OG0000547	Praj.g_00611	Prae.g_00598
OG0000548	Praj.g_00613	Prae.g_00599
OG0000549	Praj.g_00614	Prae.g_00600
OG0000550	Praj.g_00615	Prae.g_00601
OG0000551	Praj.g_00616	Prae.g_00602
OG0000552	Praj.g_00617	Prae.g_00603
OG0000553	Praj.g_00618	Prae.g_00604
OG0000554	Praj.g_00619	Prae.g_00605
OG0000555	Praj.g_00620	Prae.g_00606
OG0000556	Praj.g_00621	Prae.g_00607
OG0000557	Praj.g_00622	Prae.g_00608
OG0000558	Praj.g_00623	Prae.g_00609
OG0000559	Praj.g_00624	Prae.g_00610
OG0000560	Praj.g_00626	Prae.g_00612
OG0000561	Praj.g_00627	Prae.g_00613
OG0000562	Praj.g_00628	Prae.g_00614
OG0000563	Praj.g_00629	Prae.g_00615
OG0000564	Praj.g_00630	Prae.g_00616
OG0000565	Praj.g_00631	Prae.g_00617
OG0000566	Praj.g_00632	Prae.g_00618
OG0000567	Praj.g_00633	Prae.g_00619
OG0000568	Praj.g_00634	Prae.g_00620
OG0000569	Praj.g_00635	Prae.g_00621
OG0000570	Praj.g_00636	Prae.g_00622
OG0000571	Praj.g_00637	Prae.g_00623
OG0000572	Praj.g_00638	Prae.g_00624
OG0000573	Praj.g_00641	Prae.g_00627
OG0000574	Praj.g_00642	Prae.g_00628
OG0000575	Praj.g_00643	Prae.g_00629
OG0000576	Praj.g_00644	Prae.g_00630
OG0000577	Praj.g_00645	Prae.g_00631
OG0000578	Praj.g_00646	Prae.g_00632
