Orthogroup	Praj	Prbj
OG0000080	Praj.g_01166	Prbj.g_01678
OG0000081	Praj.g_01985	Prbj.g_01500
OG0000082	Praj.g_02103	Prbj.g_01999
OG0000083	Praj.g_00003	Prbj.g_02076
OG0000084	Praj.g_00006	Prbj.g_02079
OG0000085	Praj.g_00023	Prbj.g_01195
OG0000087	Praj.g_00053	Prbj.g_01921
OG0000088	Praj.g_00153	Prbj.g_01551
OG0000089	Praj.g_00162	Prbj.g_01566
OG0000090	Praj.g_00179	Prbj.g_01547
OG0000091	Praj.g_00209	Prbj.g_00518
OG0000092	Praj.g_00210	Prbj.g_00517
OG0000093	Praj.g_00223	Prbj.g_01138
OG0000094	Praj.g_00242	Prbj.g_01167
OG0000095	Praj.g_00246	Prbj.g_00288
OG0000096	Praj.g_00290	Prbj.g_01352
OG0000097	Praj.g_00310	Prbj.g_01397
OG0000098	Praj.g_00320	Prbj.g_01410
OG0000099	Praj.g_00329	Prbj.g_01422
OG0000100	Praj.g_00332	Prbj.g_01426
OG0000101	Praj.g_00405	Prbj.g_00067
OG0000102	Praj.g_01279	Prbj.g_02004
OG0000103	Praj.g_00468	Prbj.g_00127
OG0000104	Praj.g_00473	Prbj.g_01630
OG0000105	Praj.g_00491	Prbj.g_01608
OG0000106	Praj.g_00523	Prbj.g_02125
OG0000107	Praj.g_00524	Prbj.g_02127
OG0000108	Praj.g_00534	Prbj.g_02668
OG0000109	Praj.g_00543	Prbj.g_01866
OG0000110	Praj.g_00559	Prbj.g_01885
OG0000111	Praj.g_00639	Prbj.g_00792
OG0000112	Praj.g_00640	Prbj.g_00793
OG0000113	Praj.g_00722	Prbj.g_02314
OG0000114	Praj.g_00767	Prbj.g_02410
OG0000115	Praj.g_01601, Praj.g_00946	Prbj.g_02268
OG0000116	Praj.g_00950	Prbj.g_02260
OG0000117	Praj.g_01021	Prbj.g_01841
OG0000118	Praj.g_01196	Prbj.g_02066
OG0000119	Praj.g_01835	Prbj.g_01992
OG0000120	Praj.g_01455	Prbj.g_00843
OG0000121	Praj.g_01433	Prbj.g_00003
OG0000122	Praj.g_01413	Prbj.g_02156
OG0000123	Praj.g_01402	Prbj.g_00020
OG0000124	Praj.g_01014	Prbj.g_01848
OG0000125	Praj.g_01540	Prbj.g_01742
OG0000126	Praj.g_01575	Prbj.g_01639
OG0000127	Praj.g_01618	Prbj.g_01040
OG0000128	Praj.g_01633	Prbj.g_01057
OG0000129	Praj.g_01667	Prbj.g_00656
OG0000130	Praj.g_01766	Prbj.g_00863
OG0000131	Praj.g_01803	Prbj.g_00461
OG0000132	Praj.g_01805	Prbj.g_00458
OG0000133	Praj.g_01910	Prbj.g_01024
OG0000134	Praj.g_01946	Prbj.g_00987
OG0000135	Praj.g_01948	Prbj.g_00985
OG0000136	Praj.g_01997	Prbj.g_01516
OG0000137	Praj.g_02034	Prbj.g_01280
OG0000138	Praj.g_02091	Prbj.g_01963
OG0000139	Praj.g_02128	Prbj.g_02047
OG0000140	Praj.g_00001	Prbj.g_02074
OG0000141	Praj.g_00002	Prbj.g_02075
OG0000142	Praj.g_00004	Prbj.g_02077
OG0000143	Praj.g_00005	Prbj.g_02078
OG0000144	Praj.g_00007	Prbj.g_02080
OG0000145	Praj.g_00008	Prbj.g_02082
OG0000146	Praj.g_00009	Prbj.g_02083
OG0000147	Praj.g_00010	Prbj.g_02084
OG0000148	Praj.g_00012	Prbj.g_02086
OG0000149	Praj.g_00014	Prbj.g_01182
OG0000150	Praj.g_00015	Prbj.g_01183
OG0000151	Praj.g_00016	Prbj.g_01188
OG0000152	Praj.g_00017	Prbj.g_01189
OG0000153	Praj.g_00018	Prbj.g_01190
OG0000154	Praj.g_00019	Prbj.g_01191
OG0000155	Praj.g_00020	Prbj.g_01192
OG0000156	Praj.g_00021	Prbj.g_01193
OG0000157	Praj.g_00022	Prbj.g_01194
OG0000158	Praj.g_00024	Prbj.g_01196
OG0000159	Praj.g_00025	Prbj.g_01197
OG0000160	Praj.g_00026	Prbj.g_01198
OG0000161	Praj.g_00027	Prbj.g_01199
OG0000162	Praj.g_00028	Prbj.g_01200
OG0000163	Praj.g_00029	Prbj.g_01202
OG0000164	Praj.g_00032	Prbj.g_01207
OG0000165	Praj.g_00034	Prbj.g_01212
OG0000166	Praj.g_00035	Prbj.g_01213
OG0000167	Praj.g_00036	Prbj.g_01214
OG0000168	Praj.g_00044	Prbj.g_01215
OG0000169	Praj.g_00046	Prbj.g_01217
OG0000170	Praj.g_00047	Prbj.g_01953
OG0000171	Praj.g_00048	Prbj.g_01951
OG0000172	Praj.g_00049	Prbj.g_01950
OG0000173	Praj.g_00050	Prbj.g_01943
OG0000174	Praj.g_00051	Prbj.g_01936
OG0000175	Praj.g_00052	Prbj.g_01928
OG0000176	Praj.g_00054	Prbj.g_01920
OG0000177	Praj.g_00055	Prbj.g_01919
OG0000178	Praj.g_00056	Prbj.g_01918
OG0000179	Praj.g_00102	Prbj.g_00558
OG0000180	Praj.g_00103	Prbj.g_00560
OG0000181	Praj.g_00104	Prbj.g_00561
OG0000182	Praj.g_00107	Prbj.g_00564
OG0000183	Praj.g_00108	Prbj.g_00565
OG0000184	Praj.g_00111	Prbj.g_00569
OG0000185	Praj.g_00115	Prbj.g_00575
OG0000186	Praj.g_00116	Prbj.g_00576
OG0000187	Praj.g_00117	Prbj.g_00047
OG0000188	Praj.g_00118	Prbj.g_00577
OG0000189	Praj.g_00119	Prbj.g_00580
OG0000190	Praj.g_00120	Prbj.g_00581
OG0000191	Praj.g_00121	Prbj.g_00582
OG0000192	Praj.g_00122	Prbj.g_00583
OG0000193	Praj.g_00123	Prbj.g_00584
OG0000194	Praj.g_00124	Prbj.g_00585
OG0000195	Praj.g_00126	Prbj.g_00589
OG0000196	Praj.g_00127	Prbj.g_00590
OG0000197	Praj.g_00128	Prbj.g_00596
OG0000198	Praj.g_00129	Prbj.g_00600
OG0000199	Praj.g_00132	Prbj.g_00605
OG0000200	Praj.g_00133	Prbj.g_00606
OG0000201	Praj.g_00134	Prbj.g_00607
OG0000202	Praj.g_00135	Prbj.g_00609
OG0000203	Praj.g_00136	Prbj.g_00610
OG0000204	Praj.g_00137	Prbj.g_00611
OG0000205	Praj.g_00139	Prbj.g_00613
OG0000206	Praj.g_00140	Prbj.g_00614
OG0000207	Praj.g_00141	Prbj.g_00615
OG0000208	Praj.g_00142	Prbj.g_00616
OG0000209	Praj.g_00143	Prbj.g_00617
OG0000210	Praj.g_00144	Prbj.g_00619
OG0000211	Praj.g_00145	Prbj.g_00620
OG0000212	Praj.g_00146	Prbj.g_00621
OG0000213	Praj.g_00147	Prbj.g_00624
OG0000214	Praj.g_00151	Prbj.g_00630
OG0000215	Praj.g_00152	Prbj.g_01550
OG0000216	Praj.g_00154	Prbj.g_01552
OG0000217	Praj.g_00156	Prbj.g_01554
OG0000218	Praj.g_00157	Prbj.g_01556
OG0000219	Praj.g_00158	Prbj.g_01557
OG0000220	Praj.g_00160	Prbj.g_01562
OG0000221	Praj.g_00163	Prbj.g_01567
OG0000222	Praj.g_00164	Prbj.g_01568
OG0000223	Praj.g_00165	Prbj.g_01569
OG0000224	Praj.g_00168	Prbj.g_01530
OG0000225	Praj.g_00170	Prbj.g_01532
OG0000226	Praj.g_00172	Prbj.g_01535
OG0000227	Praj.g_00173	Prbj.g_01537
OG0000228	Praj.g_00174	Prbj.g_01538
OG0000229	Praj.g_00175	Prbj.g_01539
OG0000230	Praj.g_00176	Prbj.g_01540
OG0000231	Praj.g_01057	Prbj.g_01542
OG0000232	Praj.g_00177	Prbj.g_01543
OG0000233	Praj.g_00180	Prbj.g_01548
OG0000234	Praj.g_00183	Prbj.g_00545
OG0000235	Praj.g_00185	Prbj.g_00543
OG0000236	Praj.g_00186	Prbj.g_00542
OG0000237	Praj.g_00187	Prbj.g_00541
OG0000238	Praj.g_00188	Prbj.g_00540
OG0000239	Praj.g_00189	Prbj.g_00539
OG0000240	Praj.g_00191	Prbj.g_00537
OG0000241	Praj.g_00192	Prbj.g_00536
OG0000242	Praj.g_00193	Prbj.g_00535
OG0000243	Praj.g_00194	Prbj.g_00534
OG0000244	Praj.g_00195	Prbj.g_00533
OG0000245	Praj.g_00196	Prbj.g_00531
OG0000246	Praj.g_00198	Prbj.g_00529
OG0000247	Praj.g_00199	Prbj.g_00528
OG0000248	Praj.g_00200	Prbj.g_00527
OG0000249	Praj.g_00201	Prbj.g_00526
OG0000250	Praj.g_00202	Prbj.g_00525
OG0000251	Praj.g_00203	Prbj.g_00524
OG0000252	Praj.g_00204	Prbj.g_00523
OG0000253	Praj.g_00205	Prbj.g_00522
OG0000254	Praj.g_00207	Prbj.g_00520
OG0000255	Praj.g_00208	Prbj.g_00519
OG0000256	Praj.g_00211	Prbj.g_00516
OG0000257	Praj.g_00212	Prbj.g_00515
OG0000258	Praj.g_00213	Prbj.g_00514
OG0000259	Praj.g_00214	Prbj.g_00513
OG0000260	Praj.g_00215	Prbj.g_00512
OG0000261	Praj.g_00216	Prbj.g_00511
OG0000262	Praj.g_00217	Prbj.g_00510
OG0000263	Praj.g_00218	Prbj.g_00509
OG0000264	Praj.g_00220	Prbj.g_02369
OG0000265	Praj.g_00221	Prbj.g_01135
OG0000266	Praj.g_00222	Prbj.g_01137
OG0000267	Praj.g_00224	Prbj.g_01141
OG0000268	Praj.g_00226	Prbj.g_01143
OG0000269	Praj.g_00227	Prbj.g_01146
OG0000270	Praj.g_00228	Prbj.g_01148
OG0000271	Praj.g_00229	Prbj.g_01151
OG0000272	Praj.g_00230	Prbj.g_01152
OG0000273	Praj.g_00231	Prbj.g_01155
OG0000274	Praj.g_00232	Prbj.g_01157
OG0000275	Praj.g_00233	Prbj.g_01158
OG0000276	Praj.g_00234	Prbj.g_01159
OG0000277	Praj.g_00235	Prbj.g_01160
OG0000278	Praj.g_00236	Prbj.g_01161
OG0000279	Praj.g_00237	Prbj.g_01162
OG0000280	Praj.g_00238	Prbj.g_01163
OG0000281	Praj.g_00240	Prbj.g_01165
OG0000282	Praj.g_00241	Prbj.g_01166
OG0000283	Praj.g_00243	Prbj.g_01173
OG0000284	Praj.g_00244	Prbj.g_01174
OG0000285	Praj.g_00245	Prbj.g_00289
OG0000286	Praj.g_00247	Prbj.g_00287
OG0000287	Praj.g_00248	Prbj.g_00234
OG0000288	Praj.g_00249	Prbj.g_00235
OG0000289	Praj.g_00250	Prbj.g_00237
OG0000290	Praj.g_00251	Prbj.g_00238
OG0000291	Praj.g_00252	Prbj.g_00240
OG0000292	Praj.g_00253	Prbj.g_00250
OG0000293	Praj.g_00254	Prbj.g_00251
OG0000294	Praj.g_00255	Prbj.g_00252
OG0000295	Praj.g_00256	Prbj.g_00258
OG0000296	Praj.g_00257	Prbj.g_00259
OG0000297	Praj.g_00258	Prbj.g_00262
OG0000298	Praj.g_00259	Prbj.g_00263
OG0000299	Praj.g_00260	Prbj.g_00264
OG0000300	Praj.g_00261	Prbj.g_00265
OG0000301	Praj.g_00262	Prbj.g_00266
OG0000302	Praj.g_00263	Prbj.g_00267
OG0000303	Praj.g_00264	Prbj.g_00268
OG0000304	Praj.g_00265	Prbj.g_00270
OG0000305	Praj.g_00266	Prbj.g_00271
OG0000306	Praj.g_00267	Prbj.g_00272
OG0000307	Praj.g_00268	Prbj.g_00181
OG0000308	Praj.g_00269	Prbj.g_01775
OG0000309	Praj.g_00270	Prbj.g_01776
OG0000310	Praj.g_00271	Prbj.g_01777
OG0000311	Praj.g_00273	Prbj.g_00177
OG0000312	Praj.g_00275	Prbj.g_00176
OG0000313	Praj.g_00276	Prbj.g_02608
OG0000314	Praj.g_00280	Prbj.g_02614
OG0000315	Praj.g_00281	Prbj.g_02615
OG0000316	Praj.g_00283	Prbj.g_02661
OG0000317	Praj.g_00285	Prbj.g_01341
OG0000318	Praj.g_00286	Prbj.g_01342
OG0000319	Praj.g_00287	Prbj.g_01343
OG0000320	Praj.g_00288	Prbj.g_01345
OG0000321	Praj.g_00289	Prbj.g_01350
OG0000322	Praj.g_00292	Prbj.g_01359
OG0000323	Praj.g_00293	Prbj.g_01360
OG0000324	Praj.g_00296	Prbj.g_01362
OG0000325	Praj.g_00297	Prbj.g_01364
OG0000326	Praj.g_00298	Prbj.g_01366
OG0000327	Praj.g_00299	Prbj.g_01372
OG0000328	Praj.g_00300	Prbj.g_00180
OG0000329	Praj.g_00301	Prbj.g_01385
OG0000330	Praj.g_00302	Prbj.g_01386
OG0000331	Praj.g_00303	Prbj.g_01388
OG0000332	Praj.g_00304	Prbj.g_01389
OG0000333	Praj.g_00305	Prbj.g_01390
OG0000334	Praj.g_00306	Prbj.g_01391
OG0000335	Praj.g_00307	Prbj.g_01392
OG0000336	Praj.g_00309	Prbj.g_01394
OG0000337	Praj.g_00311	Prbj.g_01399
OG0000338	Praj.g_00312	Prbj.g_01400
OG0000339	Praj.g_00313	Prbj.g_01401
OG0000340	Praj.g_00314	Prbj.g_01403
OG0000341	Praj.g_00318	Prbj.g_01408
OG0000342	Praj.g_00319	Prbj.g_01409
OG0000343	Praj.g_00321	Prbj.g_01411
OG0000344	Praj.g_00322	Prbj.g_01413
OG0000345	Praj.g_00323	Prbj.g_01414
OG0000346	Praj.g_00324	Prbj.g_01415
OG0000347	Praj.g_00325	Prbj.g_01416
OG0000348	Praj.g_00326	Prbj.g_01417
OG0000349	Praj.g_00327	Prbj.g_01418
OG0000350	Praj.g_00328	Prbj.g_01419
OG0000351	Praj.g_00330	Prbj.g_01423
OG0000352	Praj.g_00333	Prbj.g_01427
OG0000353	Praj.g_00334	Prbj.g_01430
OG0000354	Praj.g_00335	Prbj.g_01431
OG0000355	Praj.g_00336	Prbj.g_01432
OG0000356	Praj.g_00337	Prbj.g_01437
OG0000357	Praj.g_00338	Prbj.g_01438
OG0000358	Praj.g_00339	Prbj.g_01439
OG0000359	Praj.g_00340	Prbj.g_01441
OG0000360	Praj.g_00343	Prbj.g_01444
OG0000361	Praj.g_00344	Prbj.g_01445
OG0000362	Praj.g_00345	Prbj.g_01446
OG0000363	Praj.g_00346	Prbj.g_01448
OG0000364	Praj.g_00347	Prbj.g_01449
OG0000365	Praj.g_00348	Prbj.g_01450
OG0000366	Praj.g_00349	Prbj.g_01451
OG0000367	Praj.g_00350	Prbj.g_01452
OG0000368	Praj.g_00351	Prbj.g_01453
OG0000369	Praj.g_00352	Prbj.g_01454
OG0000370	Praj.g_00353	Prbj.g_01455
OG0000371	Praj.g_00354	Prbj.g_01456
OG0000372	Praj.g_00356	Prbj.g_01459
OG0000373	Praj.g_00358	Prbj.g_01469
OG0000374	Praj.g_00359	Prbj.g_01471
OG0000375	Praj.g_00360	Prbj.g_01480
OG0000376	Praj.g_00362	Prbj.g_00359
OG0000377	Praj.g_00368	Prbj.g_00352
OG0000378	Praj.g_00724	Prbj.g_00351
OG0000379	Praj.g_00380	Prbj.g_00341
OG0000380	Praj.g_00382	Prbj.g_00339
OG0000381	Praj.g_00383	Prbj.g_00338
OG0000382	Praj.g_00384	Prbj.g_00336
OG0000383	Praj.g_00387	Prbj.g_00331
OG0000384	Praj.g_00388	Prbj.g_00330
OG0000385	Praj.g_00390	Prbj.g_00324
OG0000386	Praj.g_00391	Prbj.g_00323
OG0000387	Praj.g_00392	Prbj.g_00322
OG0000388	Praj.g_00393	Prbj.g_00321
OG0000389	Praj.g_00394	Prbj.g_00320
OG0000390	Praj.g_00395	Prbj.g_00319
OG0000391	Praj.g_00396	Prbj.g_00318
OG0000392	Praj.g_00397	Prbj.g_00317
OG0000393	Praj.g_00402	Prbj.g_00063
OG0000394	Praj.g_00403	Prbj.g_00064
OG0000395	Praj.g_00406	Prbj.g_00068
OG0000396	Praj.g_00824	Prbj.g_02500
OG0000397	Praj.g_01049	Prbj.g_00563
OG0000398	Praj.g_01081	Prbj.g_00874
OG0000399	Praj.g_01244	Prbj.g_00689
OG0000400	Praj.g_01869	Prbj.g_02659
OG0000401	Praj.g_00425	Prbj.g_00076
OG0000402	Praj.g_00426	Prbj.g_00077
OG0000403	Praj.g_00427	Prbj.g_00089
OG0000404	Praj.g_00429	Prbj.g_00099
OG0000405	Praj.g_00430	Prbj.g_00100
OG0000406	Praj.g_00432	Prbj.g_00102
OG0000407	Praj.g_00433	Prbj.g_00103
OG0000408	Praj.g_00434	Prbj.g_00104
OG0000409	Praj.g_00435	Prbj.g_00105
OG0000410	Praj.g_00436	Prbj.g_00107
OG0000411	Praj.g_00437	Prbj.g_00108
OG0000412	Praj.g_00438	Prbj.g_00109
OG0000413	Praj.g_00439	Prbj.g_00110
OG0000414	Praj.g_00440	Prbj.g_00111
OG0000415	Praj.g_00441	Prbj.g_00112
OG0000416	Praj.g_00442	Prbj.g_00113
OG0000417	Praj.g_00443	Prbj.g_00117
OG0000418	Praj.g_00444	Prbj.g_00118
OG0000419	Praj.g_00445	Prbj.g_00119
OG0000420	Praj.g_00446	Prbj.g_00120
OG0000421	Praj.g_00447	Prbj.g_01894
OG0000422	Praj.g_00449	Prbj.g_01892
OG0000423	Praj.g_00450	Prbj.g_01891
OG0000424	Praj.g_00451	Prbj.g_01888
OG0000425	Praj.g_00457	Prbj.g_00152
OG0000426	Praj.g_00458	Prbj.g_00151
OG0000427	Praj.g_00459	Prbj.g_00148
OG0000428	Praj.g_00461	Prbj.g_00136
OG0000429	Praj.g_00462	Prbj.g_00134
OG0000430	Praj.g_00464	Prbj.g_00132
OG0000431	Praj.g_00465	Prbj.g_00130
OG0000432	Praj.g_00466	Prbj.g_00129
OG0000433	Praj.g_00469	Prbj.g_01638
OG0000434	Praj.g_00471	Prbj.g_01635
OG0000435	Praj.g_00472	Prbj.g_01631
OG0000436	Praj.g_00474	Prbj.g_01629
OG0000437	Praj.g_00476	Prbj.g_01627
OG0000438	Praj.g_00477	Prbj.g_01626
OG0000439	Praj.g_00478	Prbj.g_01625
OG0000440	Praj.g_00479	Prbj.g_01622
OG0000441	Praj.g_00480	Prbj.g_01620
OG0000442	Praj.g_00481	Prbj.g_01619
OG0000443	Praj.g_00482	Prbj.g_01618
OG0000444	Praj.g_00483	Prbj.g_01617
OG0000445	Praj.g_00484	Prbj.g_01616
OG0000446	Praj.g_00485	Prbj.g_01615
OG0000447	Praj.g_00486	Prbj.g_01614
OG0000448	Praj.g_00487	Prbj.g_01613
OG0000449	Praj.g_00492	Prbj.g_01605
OG0000450	Praj.g_00493	Prbj.g_02088
OG0000451	Praj.g_00494	Prbj.g_02089
OG0000452	Praj.g_00495	Prbj.g_02090
OG0000453	Praj.g_00497	Prbj.g_02093
OG0000454	Praj.g_00498	Prbj.g_02094
OG0000455	Praj.g_00499	Prbj.g_02095
OG0000456	Praj.g_00500	Prbj.g_02096
OG0000457	Praj.g_00502	Prbj.g_02097
OG0000458	Praj.g_00504	Prbj.g_02098
OG0000459	Praj.g_00505	Prbj.g_02099
OG0000460	Praj.g_00507	Prbj.g_02101
OG0000461	Praj.g_00508	Prbj.g_02102
OG0000462	Praj.g_00509	Prbj.g_02103
OG0000463	Praj.g_00511	Prbj.g_02108
OG0000464	Praj.g_00515	Prbj.g_02113
OG0000465	Praj.g_00516	Prbj.g_02114
OG0000466	Praj.g_00517	Prbj.g_02115
OG0000467	Praj.g_00518	Prbj.g_02117
OG0000468	Praj.g_00519	Prbj.g_02118
OG0000469	Praj.g_00520	Prbj.g_02123
OG0000470	Praj.g_00521	Prbj.g_01116
OG0000471	Praj.g_00522	Prbj.g_00765
OG0000472	Praj.g_00525	Prbj.g_02128
OG0000473	Praj.g_00526	Prbj.g_02130
OG0000474	Praj.g_00527	Prbj.g_02132
OG0000475	Praj.g_00528	Prbj.g_02133
OG0000476	Praj.g_00529	Prbj.g_02139
OG0000477	Praj.g_00531	Prbj.g_02142
OG0000478	Praj.g_00532	Prbj.g_02144
OG0000479	Praj.g_00533	Prbj.g_02146
OG0000480	Praj.g_00535	Prbj.g_02666
OG0000481	Praj.g_00536	Prbj.g_01858
OG0000482	Praj.g_00537	Prbj.g_01859
OG0000483	Praj.g_00538	Prbj.g_01861
OG0000484	Praj.g_00539	Prbj.g_01862
OG0000485	Praj.g_00540	Prbj.g_01863
OG0000486	Praj.g_00541	Prbj.g_01864
OG0000487	Praj.g_00542	Prbj.g_01865
OG0000488	Praj.g_00544	Prbj.g_01867
OG0000489	Praj.g_00545	Prbj.g_01868
OG0000490	Praj.g_00546	Prbj.g_01869
OG0000491	Praj.g_00547	Prbj.g_01870
OG0000492	Praj.g_00548	Prbj.g_01871
OG0000493	Praj.g_00549	Prbj.g_01872
OG0000494	Praj.g_00551	Prbj.g_01874
OG0000495	Praj.g_00552	Prbj.g_01875
OG0000496	Praj.g_00553	Prbj.g_01877
OG0000497	Praj.g_00554	Prbj.g_01879
OG0000498	Praj.g_00555	Prbj.g_01880
OG0000499	Praj.g_00557	Prbj.g_01882
OG0000500	Praj.g_00558	Prbj.g_01883
OG0000501	Praj.g_00560	Prbj.g_01807
OG0000502	Praj.g_00561	Prbj.g_01806
OG0000503	Praj.g_00562	Prbj.g_01805
OG0000504	Praj.g_00563	Prbj.g_01803
OG0000505	Praj.g_00564	Prbj.g_01802
OG0000506	Praj.g_00565	Prbj.g_01801
OG0000507	Praj.g_00566	Prbj.g_01800
OG0000508	Praj.g_00567	Prbj.g_01796
OG0000509	Praj.g_00568	Prbj.g_01795
OG0000510	Praj.g_00569	Prbj.g_01794
OG0000511	Praj.g_00570	Prbj.g_01793
OG0000512	Praj.g_00571	Prbj.g_01792
OG0000513	Praj.g_00572	Prbj.g_01791
OG0000514	Praj.g_00573	Prbj.g_01790
OG0000515	Praj.g_00574	Prbj.g_01787
OG0000516	Praj.g_00575	Prbj.g_01786
OG0000517	Praj.g_00576	Prbj.g_01785
OG0000518	Praj.g_00578	Prbj.g_01781
OG0000519	Praj.g_00579	Prbj.g_01780
OG0000520	Praj.g_00581	Prbj.g_01779
OG0000521	Praj.g_00580	Prbj.g_01778
OG0000522	Praj.g_00582	Prbj.g_01772
OG0000523	Praj.g_00583	Prbj.g_01771
OG0000524	Praj.g_00584	Prbj.g_01770
OG0000525	Praj.g_00586	Prbj.g_01768
OG0000526	Praj.g_00587	Prbj.g_01767
OG0000527	Praj.g_00588	Prbj.g_01766
OG0000528	Praj.g_00589	Prbj.g_01765
OG0000529	Praj.g_00590	Prbj.g_01764
OG0000530	Praj.g_00591	Prbj.g_01763
OG0000531	Praj.g_00593	Prbj.g_01760
OG0000532	Praj.g_00594	Prbj.g_01758
OG0000533	Praj.g_00595	Prbj.g_01757
OG0000534	Praj.g_00596	Prbj.g_01756
OG0000535	Praj.g_00597	Prbj.g_01755
OG0000536	Praj.g_00598	Prbj.g_01754
OG0000537	Praj.g_00599	Prbj.g_01753
OG0000538	Praj.g_00600	Prbj.g_01752
OG0000539	Praj.g_00601	Prbj.g_01750
OG0000540	Praj.g_00602	Prbj.g_01748
OG0000541	Praj.g_00603	Prbj.g_02544
OG0000542	Praj.g_00604	Prbj.g_02545
OG0000543	Praj.g_00605	Prbj.g_02546
OG0000544	Praj.g_00606	Prbj.g_02547
OG0000545	Praj.g_00609	Prbj.g_02550
OG0000546	Praj.g_00610	Prbj.g_02551
OG0000547	Praj.g_00611	Prbj.g_02553
OG0000548	Praj.g_00613	Prbj.g_02558
OG0000549	Praj.g_00614	Prbj.g_02559
OG0000550	Praj.g_00615	Prbj.g_02560
OG0000551	Praj.g_00616	Prbj.g_02563
OG0000552	Praj.g_00617	Prbj.g_02565
OG0000553	Praj.g_00618	Prbj.g_02566
OG0000554	Praj.g_00619	Prbj.g_02568
OG0000555	Praj.g_00620	Prbj.g_02569
OG0000556	Praj.g_00621	Prbj.g_02570
OG0000557	Praj.g_00622	Prbj.g_02571
OG0000558	Praj.g_00623	Prbj.g_02573
OG0000559	Praj.g_00624	Prbj.g_02574
OG0000560	Praj.g_00626	Prbj.g_02576
OG0000561	Praj.g_00627	Prbj.g_02577
OG0000562	Praj.g_00628	Prbj.g_02579
OG0000563	Praj.g_00629	Prbj.g_02580
OG0000564	Praj.g_00630	Prbj.g_02581
OG0000565	Praj.g_00631	Prbj.g_02589
OG0000566	Praj.g_00632	Prbj.g_02590
