Orthogroup	Prak	Syat
OG0000091	Prak.g_01100	Syat.g_00939, Syat.g_00862
OG0000094	Prak.g_01022	Syat.g_00698, Syat.g_01034
OG0000095	Prak.g_00920	Syat.g_00808
OG0000097	Prak.g_01126	Syat.g_00907, Syat.g_00535
OG0000098	Prak.g_01305	Syat.g_03281
OG0000099	Prak.g_01352	Syat.g_02130
OG0000100	Prak.g_01470	Syat.g_00517
OG0000101	Prak.g_01780	Syat.g_01661
OG0000102	Prak.g_01847	Syat.g_00974
OG0000103	Prak.g_01932	Syat.g_02399
OG0000104	Prak.g_01941	Syat.g_02385
OG0000105	Prak.g_00292	Syat.g_02052
OG0000106	Prak.g_00687	Syat.g_00957
OG0000107	Prak.g_01709	Syat.g_02009, Syat.g_01862
OG0000108	Prak.g_00441	Syat.g_03170
OG0000109	Prak.g_00455	Syat.g_03187
OG0000110	Prak.g_00535	Syat.g_00049
OG0000111	Prak.g_00830	Syat.g_00816
OG0000112	Prak.g_00608	Syat.g_00593
OG0000113	Prak.g_00868	Syat.g_00509
OG0000114	Prak.g_00770	Syat.g_00426
OG0000115	Prak.g_01241	Syat.g_01328
OG0000116	Prak.g_01183	Syat.g_02641
OG0000117	Prak.g_01145	Syat.g_00224
OG0000118	Prak.g_01290	Syat.g_01168
OG0000119	Prak.g_01226, Prak.g_01488	Syat.g_00309
OG0000120	Prak.g_01349	Syat.g_02132
OG0000121	Prak.g_01393	Syat.g_01223
OG0000123	Prak.g_01787	Syat.g_01653
OG0000124	Prak.g_01859	Syat.g_02231
OG0000125	Prak.g_01895	Syat.g_02684
OG0000126	Prak.g_01940	Syat.g_00976
OG0000128	Prak.g_00011	Syat.g_02331
OG0000129	Prak.g_00045	Syat.g_02693, Syat.g_02694
OG0000130	Prak.g_00074	Syat.g_01469
OG0000131	Prak.g_00156	Syat.g_02898
OG0000132	Prak.g_00176	Syat.g_02864
OG0000133	Prak.g_00339	Syat.g_00588
OG0000134	Prak.g_00381	Syat.g_02956
OG0000135	Prak.g_01259	Syat.g_02501
OG0000136	Prak.g_00403	Syat.g_01292
OG0000137	Prak.g_00436	Syat.g_01371
OG0000138	Prak.g_00456	Syat.g_03188
OG0000139	Prak.g_00496	Syat.g_03276
OG0000140	Prak.g_00497	Syat.g_03280
OG0000141	Prak.g_00569	Syat.g_03398
OG0000142	Prak.g_01108	Syat.g_00117
OG0000143	Prak.g_01104	Syat.g_00130
OG0000144	Prak.g_01090	Syat.g_00369
OG0000145	Prak.g_01261	Syat.g_03202
OG0000146	Prak.g_00607	Syat.g_00594
OG0000147	Prak.g_00606	Syat.g_00595
OG0000148	Prak.g_00862	Syat.g_00503
OG0000149	Prak.g_00894	Syat.g_00747
OG0000150	Prak.g_00904	Syat.g_03399
OG0000151	Prak.g_00780	Syat.g_00801, Syat.g_00440
OG0000152	Prak.g_00973	Syat.g_00578
OG0000153	Prak.g_00992	Syat.g_00542
OG0000154	Prak.g_01012	Syat.g_00708
OG0000155	Prak.g_01151	Syat.g_00287
OG0000156	Prak.g_01266	Syat.g_03228
OG0000157	Prak.g_01267	Syat.g_02012, Syat.g_03227
OG0000158	Prak.g_01824	Syat.g_02163
OG0000159	Prak.g_00065	Syat.g_01187
OG0000160	Prak.g_01392	Syat.g_01224
OG0000161	Prak.g_01398	Syat.g_01180
OG0000162	Prak.g_01404	Syat.g_01281
OG0000163	Prak.g_01443	Syat.g_02979
OG0000164	Prak.g_01669	Syat.g_03040
OG0000165	Prak.g_01676	Syat.g_03033
OG0000166	Prak.g_01743	Syat.g_01822
OG0000167	Prak.g_01814	Syat.g_02148
OG0000168	Prak.g_01825	Syat.g_02164
OG0000169	Prak.g_01835	Syat.g_02192
OG0000170	Prak.g_01838	Syat.g_02201
OG0000171	Prak.g_01858	Syat.g_02230
OG0000172	Prak.g_01865	Syat.g_02260
OG0000173	Prak.g_01880	Syat.g_02284
OG0000174	Prak.g_01910	Syat.g_02504
OG0000175	Prak.g_01923	Syat.g_02416
OG0000176	Prak.g_00004	Syat.g_02372
OG0000177	Prak.g_00005	Syat.g_02338
OG0000178	Prak.g_00006	Syat.g_02337
OG0000179	Prak.g_00016	Syat.g_02322
OG0000180	Prak.g_00017	Syat.g_02321
OG0000181	Prak.g_00018	Syat.g_02320
OG0000182	Prak.g_00019	Syat.g_02319
OG0000183	Prak.g_00023	Syat.g_02315
OG0000184	Prak.g_00049	Syat.g_02704
OG0000185	Prak.g_00052	Syat.g_02719
OG0000186	Prak.g_00068	Syat.g_01463
OG0000187	Prak.g_00069	Syat.g_01467
OG0000188	Prak.g_00086	Syat.g_01489
OG0000189	Prak.g_00100	Syat.g_00386, Syat.g_01557
OG0000190	Prak.g_00102	Syat.g_00330
OG0000191	Prak.g_00125	Syat.g_03344, Syat.g_02939
OG0000192	Prak.g_00130	Syat.g_02933
OG0000193	Prak.g_00157	Syat.g_02897
OG0000194	Prak.g_00160	Syat.g_02894
OG0000195	Prak.g_00162	Syat.g_02892
OG0000196	Prak.g_00173	Syat.g_02867
OG0000197	Prak.g_00174	Syat.g_02866
OG0000198	Prak.g_00175	Syat.g_02865
OG0000199	Prak.g_00182	Syat.g_02857
OG0000200	Prak.g_00196	Syat.g_02840
OG0000201	Prak.g_00205	Syat.g_02821
OG0000202	Prak.g_00206	Syat.g_02820
OG0000203	Prak.g_00207	Syat.g_02819
OG0000204	Prak.g_00208	Syat.g_02818
OG0000205	Prak.g_00215	Syat.g_02809
OG0000206	Prak.g_00220	Syat.g_02785
OG0000207	Prak.g_00223	Syat.g_02778
OG0000208	Prak.g_00224	Syat.g_02777
OG0000209	Prak.g_00233	Syat.g_02735
OG0000210	Prak.g_00234	Syat.g_02734
OG0000211	Prak.g_00249	Syat.g_01452
OG0000212	Prak.g_00257	Syat.g_01442
OG0000213	Prak.g_00275	Syat.g_01889
OG0000214	Prak.g_00285	Syat.g_02042
OG0000215	Prak.g_00312	Syat.g_02075
OG0000216	Prak.g_00313	Syat.g_02079
OG0000217	Prak.g_00316	Syat.g_02085
OG0000218	Prak.g_00318	Syat.g_02087
OG0000219	Prak.g_00319	Syat.g_02088
OG0000220	Prak.g_00320	Syat.g_02089
OG0000221	Prak.g_00321	Syat.g_02095
OG0000222	Prak.g_00328	Syat.g_02109
OG0000223	Prak.g_00340	Syat.g_02570
OG0000224	Prak.g_00342	Syat.g_02139
OG0000225	Prak.g_00368	Syat.g_01595
OG0000226	Prak.g_00372	Syat.g_01588
OG0000228	Prak.g_00378	Syat.g_02952
OG0000229	Prak.g_00398	Syat.g_02970
OG0000230	Prak.g_00400	Syat.g_02972
OG0000231	Prak.g_00411	Syat.g_01283
OG0000232	Prak.g_00422	Syat.g_01313
OG0000233	Prak.g_00428	Syat.g_01407
OG0000234	Prak.g_00437	Syat.g_01369
OG0000235	Prak.g_00440	Syat.g_03169
OG0000236	Prak.g_00454	Syat.g_03186
OG0000237	Prak.g_00467	Syat.g_03214
OG0000238	Prak.g_00473	Syat.g_03219
OG0000239	Prak.g_00484	Syat.g_01105
OG0000240	Prak.g_00485	Syat.g_01104
OG0000241	Prak.g_00489	Syat.g_00111
OG0000242	Prak.g_00491	Syat.g_01077
OG0000243	Prak.g_00502	Syat.g_00092
OG0000244	Prak.g_00506	Syat.g_00082
OG0000245	Prak.g_00508	Syat.g_00080
OG0000246	Prak.g_00512	Syat.g_00076
OG0000247	Prak.g_00522	Syat.g_00065
OG0000248	Prak.g_00525	Syat.g_00062
OG0000249	Prak.g_00527	Syat.g_00060
OG0000250	Prak.g_00532	Syat.g_00053
OG0000251	Prak.g_00552	Syat.g_00027
OG0000252	Prak.g_00555	Syat.g_00022
OG0000253	Prak.g_00556	Syat.g_00021
OG0000254	Prak.g_00573	Syat.g_03407
OG0000255	Prak.g_00579	Syat.g_02405
OG0000256	Prak.g_00589	Syat.g_03306
OG0000257	Prak.g_01113	Syat.g_00109
OG0000258	Prak.g_01099	Syat.g_00382
OG0000259	Prak.g_01082	Syat.g_00342
OG0000260	Prak.g_01079	Syat.g_00392
OG0000261	Prak.g_01076	Syat.g_00400
OG0000262	Prak.g_01072	Syat.g_00407
OG0000263	Prak.g_00808	Syat.g_00200
OG0000266	Prak.g_01053	Syat.g_00671
OG0000267	Prak.g_01041	Syat.g_00636
OG0000268	Prak.g_01040	Syat.g_00634
OG0000269	Prak.g_00840	Syat.g_00474, Syat.g_00126
OG0000270	Prak.g_00843	Syat.g_00477
OG0000271	Prak.g_00851	Syat.g_00485
OG0000272	Prak.g_00852	Syat.g_00486
OG0000273	Prak.g_00876	Syat.g_00520
OG0000274	Prak.g_00877	Syat.g_00521
OG0000275	Prak.g_00880	Syat.g_00718
OG0000276	Prak.g_00886	Syat.g_00725
OG0000277	Prak.g_00887	Syat.g_00738
OG0000278	Prak.g_00890	Syat.g_00741
OG0000279	Prak.g_00897	Syat.g_00755
OG0000280	Prak.g_00898	Syat.g_01669
OG0000281	Prak.g_00905	Syat.g_00960
OG0000282	Prak.g_00772	Syat.g_00431
OG0000283	Prak.g_00949	Syat.g_00620
OG0000284	Prak.g_00954	Syat.g_00614
OG0000285	Prak.g_00959	Syat.g_00607
OG0000286	Prak.g_00972	Syat.g_00579
OG0000287	Prak.g_01238	Syat.g_00550
OG0000288	Prak.g_01011	Syat.g_00709
OG0000289	Prak.g_01027	Syat.g_00695
OG0000290	Prak.g_00923	Syat.g_00805
OG0000291	Prak.g_00921	Syat.g_00807
OG0000292	Prak.g_01217	Syat.g_02388
OG0000293	Prak.g_01182	Syat.g_03241
OG0000294	Prak.g_01181	Syat.g_03248
OG0000295	Prak.g_01158	Syat.g_00297
OG0000296	Prak.g_01156	Syat.g_00295
OG0000297	Prak.g_01147	Syat.g_00226
OG0000298	Prak.g_01146	Syat.g_00225
OG0000299	Prak.g_01127	Syat.g_00910
OG0000300	Prak.g_01124	Syat.g_00904
OG0000301	Prak.g_01123	Syat.g_00903
OG0000302	Prak.g_01121	Syat.g_00901
OG0000303	Prak.g_01115	Syat.g_00892
OG0000304	Prak.g_00594	Syat.g_00885
OG0000305	Prak.g_01215	Syat.g_00809
OG0000306	Prak.g_00909	Syat.g_01704
OG0000307	Prak.g_01338	Syat.g_01304
OG0000308	Prak.g_01339	Syat.g_01306
OG0000309	Prak.g_01343	Syat.g_01417
OG0000310	Prak.g_01377	Syat.g_01246
OG0000311	Prak.g_01379	Syat.g_01242
OG0000312	Prak.g_01382	Syat.g_01237
OG0000313	Prak.g_01395	Syat.g_01183
OG0000314	Prak.g_01418	Syat.g_01341
OG0000315	Prak.g_01428	Syat.g_01351
OG0000316	Prak.g_01453	Syat.g_03082
OG0000317	Prak.g_01642	Syat.g_03120
OG0000318	Prak.g_01646	Syat.g_03125
OG0000319	Prak.g_01659	Syat.g_03055
OG0000320	Prak.g_01661	Syat.g_03053
OG0000321	Prak.g_01662	Syat.g_03052
OG0000322	Prak.g_01663	Syat.g_03051
OG0000323	Prak.g_01672	Syat.g_03038
OG0000324	Prak.g_01699	Syat.g_02998
OG0000325	Prak.g_01710	Syat.g_01861
OG0000326	Prak.g_01717	Syat.g_01854
OG0000327	Prak.g_01738	Syat.g_01827
OG0000328	Prak.g_01739	Syat.g_01826
OG0000329	Prak.g_01756	Syat.g_01808
OG0000330	Prak.g_01757	Syat.g_01807
OG0000331	Prak.g_01758	Syat.g_01806
OG0000332	Prak.g_01772	Syat.g_01790
OG0000333	Prak.g_01774	Syat.g_01787
OG0000334	Prak.g_01783	Syat.g_01657
OG0000335	Prak.g_01788	Syat.g_01652
OG0000336	Prak.g_01792	Syat.g_01648
OG0000337	Prak.g_01810	Syat.g_02144
OG0000338	Prak.g_01811	Syat.g_02146
OG0000339	Prak.g_01817	Syat.g_02155, Syat.g_01055
OG0000340	Prak.g_01826	Syat.g_02165
OG0000341	Prak.g_01828	Syat.g_02167
OG0000342	Prak.g_01829	Syat.g_02168
OG0000343	Prak.g_01830	Syat.g_02185
OG0000344	Prak.g_01833	Syat.g_02189
OG0000345	Prak.g_01839	Syat.g_02202
OG0000346	Prak.g_01843	Syat.g_02207
OG0000347	Prak.g_01860	Syat.g_02234
OG0000348	Prak.g_01868	Syat.g_02264
OG0000349	Prak.g_01886	Syat.g_02291
OG0000350	Prak.g_00656	Syat.g_01847
OG0000351	Prak.g_01926	Syat.g_02411
OG0000352	Prak.g_01927	Syat.g_02410
OG0000353	Prak.g_01944	Syat.g_00955, Syat.g_02377
OG0000355	Prak.g_00001	Syat.g_02375
OG0000356	Prak.g_00002	Syat.g_02374
OG0000357	Prak.g_00003	Syat.g_02373
OG0000358	Prak.g_00007	Syat.g_02336
OG0000359	Prak.g_00008	Syat.g_02334
OG0000360	Prak.g_00009	Syat.g_02333
OG0000361	Prak.g_00010	Syat.g_02332
OG0000362	Prak.g_00012	Syat.g_02330
OG0000363	Prak.g_00014	Syat.g_02328
OG0000364	Prak.g_00015	Syat.g_03122
OG0000365	Prak.g_00020	Syat.g_02318
OG0000366	Prak.g_00021	Syat.g_02317
OG0000367	Prak.g_00022	Syat.g_02316
OG0000368	Prak.g_00024	Syat.g_02314
OG0000369	Prak.g_00025	Syat.g_02313
OG0000370	Prak.g_00026	Syat.g_02312
OG0000371	Prak.g_00033	Syat.g_02304
OG0000372	Prak.g_00036	Syat.g_02298
OG0000373	Prak.g_00037	Syat.g_02297
OG0000374	Prak.g_00038	Syat.g_02296
OG0000375	Prak.g_00040	Syat.g_02295
OG0000376	Prak.g_00042	Syat.g_02293
OG0000377	Prak.g_00046	Syat.g_02695
OG0000378	Prak.g_00050	Syat.g_02715
OG0000379	Prak.g_00053	Syat.g_02720
OG0000380	Prak.g_00070	Syat.g_01468
OG0000381	Prak.g_00075	Syat.g_01470
OG0000382	Prak.g_00085	Syat.g_01488
OG0000383	Prak.g_00087	Syat.g_01521
OG0000384	Prak.g_00088	Syat.g_01522
OG0000385	Prak.g_00089	Syat.g_01523
OG0000386	Prak.g_00090	Syat.g_01524
OG0000387	Prak.g_00104	Syat.g_01561
OG0000388	Prak.g_00108	Syat.g_01565
OG0000389	Prak.g_00111	Syat.g_01569
OG0000390	Prak.g_00121	Syat.g_02945
OG0000391	Prak.g_00124	Syat.g_02940
OG0000392	Prak.g_00128	Syat.g_02934
OG0000393	Prak.g_00131	Syat.g_02931
OG0000394	Prak.g_00132	Syat.g_02930
OG0000395	Prak.g_00133	Syat.g_02929
OG0000396	Prak.g_00135	Syat.g_02927
OG0000397	Prak.g_00137	Syat.g_02925
OG0000398	Prak.g_00140	Syat.g_02920
OG0000399	Prak.g_00141	Syat.g_02919
OG0000400	Prak.g_00142	Syat.g_02918
OG0000401	Prak.g_00143	Syat.g_02917
OG0000402	Prak.g_01035	Syat.g_02915
OG0000403	Prak.g_00145	Syat.g_02914
OG0000404	Prak.g_00146	Syat.g_02913
OG0000405	Prak.g_00150	Syat.g_02900
OG0000406	Prak.g_00158	Syat.g_02896
OG0000407	Prak.g_00159	Syat.g_02895
OG0000408	Prak.g_00161	Syat.g_02893
OG0000409	Prak.g_00163	Syat.g_02891
OG0000410	Prak.g_00164	Syat.g_02890
OG0000411	Prak.g_00165	Syat.g_02889
OG0000412	Prak.g_00166	Syat.g_02888
OG0000413	Prak.g_00168	Syat.g_02886
OG0000414	Prak.g_00169	Syat.g_02885
OG0000415	Prak.g_00170	Syat.g_02884
OG0000416	Prak.g_00171	Syat.g_02883
OG0000417	Prak.g_00172	Syat.g_02868
OG0000418	Prak.g_00177	Syat.g_02863
OG0000419	Prak.g_00179	Syat.g_02861
OG0000420	Prak.g_00180	Syat.g_02859
OG0000421	Prak.g_00185	Syat.g_02855
OG0000422	Prak.g_00186	Syat.g_02854
OG0000423	Prak.g_00187	Syat.g_02853
OG0000424	Prak.g_00188	Syat.g_02852
OG0000425	Prak.g_00189	Syat.g_02851
OG0000426	Prak.g_00190	Syat.g_02850
OG0000427	Prak.g_00191	Syat.g_02849
OG0000428	Prak.g_00193	Syat.g_02846
OG0000429	Prak.g_00194	Syat.g_02843
OG0000430	Prak.g_00195	Syat.g_02841
OG0000431	Prak.g_00197	Syat.g_02838
OG0000432	Prak.g_00201	Syat.g_02832
OG0000433	Prak.g_00202	Syat.g_02829
OG0000434	Prak.g_00203	Syat.g_02828
OG0000435	Prak.g_00204	Syat.g_02824
OG0000436	Prak.g_00209	Syat.g_02817
OG0000437	Prak.g_00210	Syat.g_02558
OG0000438	Prak.g_00211	Syat.g_02813
OG0000439	Prak.g_00213	Syat.g_02811
OG0000440	Prak.g_00214	Syat.g_02810
OG0000441	Prak.g_00217	Syat.g_02807
OG0000442	Prak.g_00218	Syat.g_02797
OG0000443	Prak.g_00219	Syat.g_02787
OG0000444	Prak.g_00225	Syat.g_02756
OG0000445	Prak.g_00226	Syat.g_02755
OG0000446	Prak.g_00227	Syat.g_02753
OG0000447	Prak.g_00228	Syat.g_02749
OG0000448	Prak.g_00229	Syat.g_02748
OG0000449	Prak.g_00230	Syat.g_02747
OG0000450	Prak.g_00231	Syat.g_02738
OG0000451	Prak.g_00232	Syat.g_02737
OG0000452	Prak.g_00235	Syat.g_02732
OG0000453	Prak.g_00236	Syat.g_02731
OG0000454	Prak.g_00237	Syat.g_02730
OG0000455	Prak.g_00238	Syat.g_02729
OG0000456	Prak.g_00239	Syat.g_02728
OG0000457	Prak.g_00241	Syat.g_02726
OG0000458	Prak.g_00242	Syat.g_02725
OG0000459	Prak.g_00243	Syat.g_02724
OG0000460	Prak.g_00251	Syat.g_01450
OG0000461	Prak.g_00259	Syat.g_01866
OG0000462	Prak.g_00261	Syat.g_01868
OG0000463	Prak.g_00262	Syat.g_01869
OG0000464	Prak.g_00263	Syat.g_01870
OG0000465	Prak.g_00264	Syat.g_01872
OG0000466	Prak.g_00267	Syat.g_01877
OG0000467	Prak.g_00268	Syat.g_01878
OG0000468	Prak.g_00271	Syat.g_01884
OG0000469	Prak.g_00279	Syat.g_02000
OG0000470	Prak.g_00281	Syat.g_02038
OG0000471	Prak.g_00282	Syat.g_02039
OG0000472	Prak.g_00284	Syat.g_02041
OG0000473	Prak.g_00286	Syat.g_02043
OG0000474	Prak.g_00287	Syat.g_02044
OG0000475	Prak.g_00288	Syat.g_02045
OG0000476	Prak.g_00290	Syat.g_02047
OG0000477	Prak.g_00293	Syat.g_02053
OG0000478	Prak.g_00294	Syat.g_02054
OG0000479	Prak.g_00295	Syat.g_02056
OG0000480	Prak.g_00300	Syat.g_02063
OG0000481	Prak.g_00303	Syat.g_02066
OG0000482	Prak.g_00304	Syat.g_02067
OG0000483	Prak.g_00307	Syat.g_02071
OG0000484	Prak.g_00308	Syat.g_02072
OG0000485	Prak.g_00310	Syat.g_02073
OG0000486	Prak.g_00311	Syat.g_02074
OG0000487	Prak.g_00314	Syat.g_02080
OG0000488	Prak.g_00317	Syat.g_02086
OG0000489	Prak.g_00322	Syat.g_02097
OG0000490	Prak.g_00326	Syat.g_02106
OG0000491	Prak.g_00327	Syat.g_02107
OG0000492	Prak.g_00329	Syat.g_02110
OG0000493	Prak.g_00330	Syat.g_02111
OG0000494	Prak.g_00331	Syat.g_02112
OG0000495	Prak.g_00332	Syat.g_02120
OG0000496	Prak.g_00333	Syat.g_02121
OG0000497	Prak.g_00334	Syat.g_02122
OG0000498	Prak.g_00335	Syat.g_02123
OG0000499	Prak.g_00336	Syat.g_02124
OG0000500	Prak.g_00337	Syat.g_02125
OG0000501	Prak.g_00338	Syat.g_02128
OG0000502	Prak.g_00341	Syat.g_02135
OG0000503	Prak.g_00356	Syat.g_01614
OG0000504	Prak.g_00358	Syat.g_01612
OG0000505	Prak.g_00359	Syat.g_01611
OG0000506	Prak.g_00360	Syat.g_01609
OG0000507	Prak.g_00363	Syat.g_01603
OG0000508	Prak.g_00367	Syat.g_01596
OG0000509	Prak.g_00369	Syat.g_01591
OG0000510	Prak.g_00370	Syat.g_01590
OG0000511	Prak.g_00371	Syat.g_01589
OG0000512	Prak.g_00373	Syat.g_01587
OG0000513	Prak.g_00382	Syat.g_02957
OG0000514	Prak.g_00393	Syat.g_02962
OG0000515	Prak.g_00394	Syat.g_02963
OG0000516	Prak.g_00395	Syat.g_02965
OG0000517	Prak.g_00397	Syat.g_02969
OG0000518	Prak.g_00408	Syat.g_01286
OG0000519	Prak.g_00409	Syat.g_01285
OG0000520	Prak.g_00410	Syat.g_01284
OG0000521	Prak.g_00418	Syat.g_01319
OG0000522	Prak.g_00420	Syat.g_01317
OG0000523	Prak.g_00421	Syat.g_01316
OG0000524	Prak.g_00426	Syat.g_01409
OG0000525	Prak.g_00430	Syat.g_01382
OG0000526	Prak.g_00431	Syat.g_01380
OG0000527	Prak.g_00434	Syat.g_01373
OG0000528	Prak.g_00439	Syat.g_03167
OG0000529	Prak.g_00442	Syat.g_03171
OG0000530	Prak.g_00445	Syat.g_03174
OG0000531	Prak.g_00446	Syat.g_03175
OG0000532	Prak.g_00448	Syat.g_03178
OG0000533	Prak.g_00449	Syat.g_03180
OG0000534	Prak.g_00450	Syat.g_03181
OG0000535	Prak.g_00451	Syat.g_03182
OG0000536	Prak.g_00452	Syat.g_03183
OG0000537	Prak.g_00453	Syat.g_03185
OG0000538	Prak.g_00462	Syat.g_03204
OG0000539	Prak.g_00463	Syat.g_03206
OG0000540	Prak.g_00464	Syat.g_03207
OG0000541	Prak.g_00465	Syat.g_03208
OG0000542	Prak.g_00466	Syat.g_03213
OG0000543	Prak.g_00468	Syat.g_03215
OG0000544	Prak.g_00469	Syat.g_03216
OG0000545	Prak.g_00471	Syat.g_03218
OG0000546	Prak.g_00474	Syat.g_03220
OG0000547	Prak.g_00476	Syat.g_03222
OG0000548	Prak.g_00477	Syat.g_03223
OG0000549	Prak.g_00479	Syat.g_01795
OG0000550	Prak.g_00483	Syat.g_01107
OG0000551	Prak.g_00486	Syat.g_01103
OG0000552	Prak.g_00487	Syat.g_01102
OG0000553	Prak.g_00488	Syat.g_01098
OG0000554	Prak.g_00493	Syat.g_03271
OG0000555	Prak.g_00501	Syat.g_00093
OG0000556	Prak.g_00503	Syat.g_00088
OG0000557	Prak.g_00504	Syat.g_00083
OG0000558	Prak.g_00507	Syat.g_00081
OG0000559	Prak.g_00511	Syat.g_00077
OG0000560	Prak.g_00514	Syat.g_00074
OG0000561	Prak.g_00515	Syat.g_00073
OG0000562	Prak.g_00516	Syat.g_00072
OG0000563	Prak.g_00517	Syat.g_00071
OG0000564	Prak.g_00518	Syat.g_00070
OG0000565	Prak.g_00520	Syat.g_00067
OG0000566	Prak.g_00524	Syat.g_00063
OG0000567	Prak.g_00528	Syat.g_00059
OG0000568	Prak.g_00529	Syat.g_00057
OG0000569	Prak.g_00530	Syat.g_00056
OG0000570	Prak.g_00531	Syat.g_00055
OG0000571	Prak.g_00533	Syat.g_00052
OG0000572	Prak.g_00547	Syat.g_00033
OG0000573	Prak.g_00553	Syat.g_00024
OG0000574	Prak.g_00554	Syat.g_00023
OG0000575	Prak.g_00558	Syat.g_00018
OG0000576	Prak.g_00560	Syat.g_00014
OG0000577	Prak.g_00561	Syat.g_00013
OG0000578	Prak.g_00562	Syat.g_00012
OG0000579	Prak.g_00563	Syat.g_00011
OG0000580	Prak.g_00564	Syat.g_00010
OG0000581	Prak.g_00567	Syat.g_00003
OG0000582	Prak.g_00570	Syat.g_03403
OG0000583	Prak.g_00571	Syat.g_03404
OG0000584	Prak.g_00572	Syat.g_03405
OG0000585	Prak.g_00574	Syat.g_03408
