Orthogroup	Prai	Prbm
OG0000111	Prai.g_00728	Prbm.g_00736
OG0000112	Prai.g_00882	Prbm.g_00980
OG0000113	Prai.g_00825	Prbm.g_00838, Prbm.g_01191
OG0000114	Prai.g_01046	Prbm.g_00929
OG0000115	Prai.g_01119	Prbm.g_01803
OG0000116	Prai.g_01162	Prbm.g_01560
OG0000117	Prai.g_01273	Prbm.g_01522
OG0000118	Prai.g_01347	Prbm.g_01622
OG0000119	Prai.g_01366	Prbm.g_01653
OG0000120	Prai.g_01443	Prbm.g_00707
OG0000121	Prai.g_01465	Prbm.g_01712
OG0000123	Prai.g_01789	Prbm.g_02040
OG0000124	Prai.g_01854	Prbm.g_02111
OG0000125	Prai.g_01892	Prbm.g_02176
OG0000126	Prai.g_01931	Prbm.g_02228
OG0000128	Prai.g_00011	Prbm.g_00011
OG0000129	Prai.g_00051	Prbm.g_00053
OG0000130	Prai.g_00069	Prbm.g_00126
OG0000131	Prai.g_00156	Prbm.g_00204
OG0000132	Prai.g_00175	Prbm.g_00223
OG0000133	Prai.g_00335	Prbm.g_00377
OG0000134	Prai.g_00369	Prbm.g_00425
OG0000135	Prai.g_00393	Prbm.g_01389
OG0000136	Prai.g_00472	Prbm.g_00451
OG0000137	Prai.g_00505	Prbm.g_00500
OG0000138	Prai.g_00525	Prbm.g_00520
OG0000139	Prai.g_00565	Prbm.g_00570
OG0000140	Prai.g_00566	Prbm.g_00571
OG0000141	Prai.g_00635	Prbm.g_00638
OG0000142	Prai.g_00664	Prbm.g_00666
OG0000143	Prai.g_00668	Prbm.g_00670
OG0000144	Prai.g_00681	Prbm.g_00683
OG0000145	Prai.g_00883	Prbm.g_01094
OG0000146	Prai.g_00881	Prbm.g_00979
OG0000147	Prai.g_00880	Prbm.g_00978
OG0000148	Prai.g_00831	Prbm.g_00832
OG0000149	Prai.g_00800	Prbm.g_00862
OG0000150	Prai.g_00792	Prbm.g_00870
OG0000151	Prai.g_01036	Prbm.g_00940
OG0000152	Prai.g_00989	Prbm.g_00988
OG0000153	Prai.g_00970	Prbm.g_01006
OG0000154	Prai.g_00943	Prbm.g_01035
OG0000155	Prai.g_01191	Prbm.g_01527
OG0000156	Prai.g_01323	Prbm.g_01600
OG0000157	Prai.g_01324	Prbm.g_01601
OG0000158	Prai.g_01392	Prbm.g_02077
OG0000159	Prai.g_01321	Prbm.g_02133
OG0000160	Prai.g_01464	Prbm.g_01711
OG0000161	Prai.g_01470	Prbm.g_01717
OG0000162	Prai.g_01476	Prbm.g_01723
OG0000163	Prai.g_01509	Prbm.g_01759
OG0000164	Prai.g_01662	Prbm.g_01863
OG0000165	Prai.g_01669	Prbm.g_01871
OG0000166	Prai.g_01740	Prbm.g_01996
OG0000167	Prai.g_01812	Prbm.g_02067
OG0000168	Prai.g_01822	Prbm.g_02078
OG0000169	Prai.g_01832	Prbm.g_02088
OG0000170	Prai.g_01834	Prbm.g_02090
OG0000171	Prai.g_01853	Prbm.g_02110
OG0000172	Prai.g_01863	Prbm.g_02146
OG0000173	Prai.g_01878	Prbm.g_02161
OG0000174	Prai.g_01905	Prbm.g_02192
OG0000175	Prai.g_01915	Prbm.g_02209
OG0000176	Prai.g_00004	Prbm.g_00004
OG0000177	Prai.g_00005	Prbm.g_00005
OG0000178	Prai.g_00006	Prbm.g_00006
OG0000179	Prai.g_00016	Prbm.g_00016
OG0000180	Prai.g_00017	Prbm.g_00017
OG0000181	Prai.g_00018	Prbm.g_00018
OG0000182	Prai.g_00019	Prbm.g_00019
OG0000183	Prai.g_00023	Prbm.g_00023
OG0000184	Prai.g_00053	Prbm.g_00055
OG0000185	Prai.g_00056	Prbm.g_00058
OG0000186	Prai.g_00064	Prbm.g_00121
OG0000187	Prai.g_00065	Prbm.g_00122
OG0000188	Prai.g_00082	Prbm.g_00139
OG0000189	Prai.g_00096	Prbm.g_00153
OG0000190	Prai.g_00097	Prbm.g_00154
OG0000191	Prai.g_00117	Prbm.g_00177
OG0000192	Prai.g_00121	Prbm.g_00181
OG0000193	Prai.g_00157	Prbm.g_00205
OG0000194	Prai.g_00160	Prbm.g_00208
OG0000195	Prai.g_00162	Prbm.g_00210
OG0000196	Prai.g_00172	Prbm.g_00220
OG0000197	Prai.g_00173	Prbm.g_00221
OG0000198	Prai.g_00174	Prbm.g_00222
OG0000199	Prai.g_00181	Prbm.g_00229
OG0000200	Prai.g_00195	Prbm.g_00243
OG0000201	Prai.g_00203	Prbm.g_00252
OG0000202	Prai.g_00204	Prbm.g_00253
OG0000203	Prai.g_00205	Prbm.g_00254
OG0000204	Prai.g_00206	Prbm.g_00255
OG0000205	Prai.g_00213	Prbm.g_00262
OG0000206	Prai.g_00218	Prbm.g_00266
OG0000207	Prai.g_00220	Prbm.g_00268
OG0000208	Prai.g_00221	Prbm.g_00269
OG0000209	Prai.g_00230	Prbm.g_00278
OG0000210	Prai.g_00231	Prbm.g_00279
OG0000211	Prai.g_00244	Prbm.g_00293
OG0000212	Prai.g_00251	Prbm.g_00301
OG0000213	Prai.g_00270	Prbm.g_00317
OG0000214	Prai.g_00280	Prbm.g_00325
OG0000215	Prai.g_00305	Prbm.g_00349
OG0000216	Prai.g_00307	Prbm.g_00350
OG0000217	Prai.g_00310	Prbm.g_00353
OG0000218	Prai.g_00312	Prbm.g_00355
OG0000219	Prai.g_00313	Prbm.g_00356
OG0000220	Prai.g_00314	Prbm.g_00357
OG0000221	Prai.g_00315	Prbm.g_00358
OG0000222	Prai.g_00323	Prbm.g_00366
OG0000223	Prai.g_00336	Prbm.g_00378
OG0000224	Prai.g_00338	Prbm.g_00380
OG0000225	Prai.g_00358	Prbm.g_00411
OG0000226	Prai.g_00362	Prbm.g_00415
OG0000227	Prai.g_00364	Prbm.g_00417
OG0000228	Prai.g_00367	Prbm.g_00422
OG0000229	Prai.g_00467	Prbm.g_00446
OG0000230	Prai.g_00469	Prbm.g_00448
OG0000231	Prai.g_00480	Prbm.g_00459
OG0000232	Prai.g_00489	Prbm.g_00484
OG0000233	Prai.g_00494	Prbm.g_00492
OG0000234	Prai.g_00506	Prbm.g_00501
OG0000235	Prai.g_00509	Prbm.g_00505
OG0000236	Prai.g_00523	Prbm.g_00518
OG0000237	Prai.g_00536	Prbm.g_00540
OG0000238	Prai.g_00542	Prbm.g_00546
OG0000239	Prai.g_00553	Prbm.g_00558
OG0000240	Prai.g_00554	Prbm.g_00559
OG0000241	Prai.g_00558	Prbm.g_00563
OG0000242	Prai.g_00560	Prbm.g_00565
OG0000243	Prai.g_00571	Prbm.g_00576
OG0000244	Prai.g_00574	Prbm.g_00579
OG0000245	Prai.g_00576	Prbm.g_00581
OG0000246	Prai.g_00580	Prbm.g_00585
OG0000247	Prai.g_00590	Prbm.g_00595
OG0000248	Prai.g_00593	Prbm.g_00597
OG0000249	Prai.g_00595	Prbm.g_00599
OG0000250	Prai.g_00600	Prbm.g_00604
OG0000251	Prai.g_00619	Prbm.g_00620
OG0000252	Prai.g_00622	Prbm.g_00623
OG0000253	Prai.g_00623	Prbm.g_00625
OG0000254	Prai.g_00639	Prbm.g_00642
OG0000255	Prai.g_00645	Prbm.g_00648
OG0000256	Prai.g_00656	Prbm.g_00658
OG0000257	Prai.g_00659	Prbm.g_00661
OG0000258	Prai.g_00672	Prbm.g_00674
OG0000259	Prai.g_00689	Prbm.g_00691
OG0000260	Prai.g_00692	Prbm.g_00694
OG0000261	Prai.g_00694	Prbm.g_00697
OG0000262	Prai.g_00698	Prbm.g_00702
OG0000263	Prai.g_00710	Prbm.g_00716
OG0000264	Prai.g_00720	Prbm.g_00728
OG0000265	Prai.g_00748	Prbm.g_00742
OG0000266	Prai.g_00758	Prbm.g_00752
OG0000267	Prai.g_00769	Prbm.g_00765
OG0000268	Prai.g_00770	Prbm.g_00766
OG0000269	Prai.g_00853	Prbm.g_00809
OG0000270	Prai.g_00850	Prbm.g_00812
OG0000271	Prai.g_00842	Prbm.g_00820
OG0000272	Prai.g_00840, Prai.g_00841	Prbm.g_00821
OG0000273	Prai.g_00817	Prbm.g_00845
OG0000274	Prai.g_00816	Prbm.g_00846
OG0000275	Prai.g_00741, Prai.g_00813	Prbm.g_00848
OG0000276	Prai.g_00808	Prbm.g_00854
OG0000277	Prai.g_00807	Prbm.g_00855
OG0000278	Prai.g_00804	Prbm.g_00858
OG0000279	Prai.g_00797	Prbm.g_00865
OG0000281	Prai.g_00791	Prbm.g_00871
OG0000282	Prai.g_01044	Prbm.g_00931
OG0000283	Prai.g_01012	Prbm.g_00962
OG0000284	Prai.g_01007	Prbm.g_00967
OG0000285	Prai.g_01002	Prbm.g_00972
OG0000286	Prai.g_00990	Prbm.g_00987
OG0000287	Prai.g_00973	Prbm.g_00102
OG0000288	Prai.g_00944	Prbm.g_01034
OG0000289	Prai.g_00934	Prbm.g_01045
OG0000290	Prai.g_00921	Prbm.g_01061
OG0000291	Prai.g_00919	Prbm.g_01063
OG0000292	Prai.g_01107	Prbm.g_01210
OG0000293	Prai.g_01163	Prbm.g_01559
OG0000294	Prai.g_01164	Prbm.g_01558
OG0000295	Prai.g_01183	Prbm.g_01534
OG0000296	Prai.g_01185	Prbm.g_01532
OG0000297	Prai.g_01193	Prbm.g_01524
OG0000298	Prai.g_01194	Prbm.g_01523
OG0000299	Prai.g_01213	Prbm.g_01503
OG0000300	Prai.g_01216	Prbm.g_01500
OG0000301	Prai.g_01217	Prbm.g_01499
OG0000302	Prai.g_01219	Prbm.g_01497
OG0000303	Prai.g_01226	Prbm.g_01492
OG0000304	Prai.g_01230	Prbm.g_01489
OG0000305	Prai.g_01362	Prbm.g_01812
OG0000306	Prai.g_01365	Prbm.g_00875
OG0000307	Prai.g_01379	Prbm.g_01669
OG0000308	Prai.g_01380	Prbm.g_01670
OG0000309	Prai.g_01384	Prbm.g_01674
OG0000310	Prai.g_01448	Prbm.g_01694
OG0000311	Prai.g_01450	Prbm.g_01696
OG0000312	Prai.g_01453	Prbm.g_01699
OG0000313	Prai.g_01467	Prbm.g_01714
OG0000314	Prai.g_01489	Prbm.g_01735
OG0000315	Prai.g_01499	Prbm.g_01745
OG0000316	Prai.g_01519	Prbm.g_01770
OG0000317	Prai.g_01636	Prbm.g_01839
OG0000318	Prai.g_01639	Prbm.g_01842
OG0000319	Prai.g_01652	Prbm.g_01853
OG0000320	Prai.g_01654	Prbm.g_01855
OG0000321	Prai.g_01655	Prbm.g_01856
OG0000322	Prai.g_01656	Prbm.g_01857
OG0000323	Prai.g_01665	Prbm.g_01866
OG0000324	Prai.g_01691	Prbm.g_01893
OG0000325	Prai.g_01702	Prbm.g_01950
OG0000326	Prai.g_01708	Prbm.g_01956
OG0000327	Prai.g_01735	Prbm.g_01991
OG0000328	Prai.g_01736	Prbm.g_01992
OG0000329	Prai.g_01754	Prbm.g_02009
OG0000330	Prai.g_01755	Prbm.g_02010
OG0000331	Prai.g_01756	Prbm.g_02011
OG0000332	Prai.g_01770	Prbm.g_02025
OG0000333	Prai.g_01777	Prbm.g_02027
OG0000334	Prai.g_01785	Prbm.g_02036
OG0000335	Prai.g_01790	Prbm.g_02041
OG0000336	Prai.g_01794	Prbm.g_02045
OG0000337	Prai.g_01810	Prbm.g_02064
OG0000338	Prai.g_01811	Prbm.g_02065
OG0000339	Prai.g_01815	Prbm.g_02070
OG0000340	Prai.g_01823	Prbm.g_02079
OG0000341	Prai.g_01825	Prbm.g_02081
OG0000342	Prai.g_01826	Prbm.g_02082
OG0000343	Prai.g_01827	Prbm.g_02083
OG0000344	Prai.g_01830	Prbm.g_02086
OG0000345	Prai.g_01835	Prbm.g_02091
OG0000346	Prai.g_01839	Prbm.g_02095
OG0000347	Prai.g_01855	Prbm.g_02114
OG0000348	Prai.g_01866	Prbm.g_02149
OG0000349	Prai.g_01883	Prbm.g_02167
OG0000350	Prai.g_01901	Prbm.g_02188
OG0000351	Prai.g_01918	Prbm.g_02212
OG0000352	Prai.g_01919	Prbm.g_02213
OG0000353	Prai.g_01935	Prbm.g_02232
OG0000355	Prai.g_00001	Prbm.g_00001
OG0000356	Prai.g_00002	Prbm.g_00002
OG0000357	Prai.g_00003	Prbm.g_00003
OG0000358	Prai.g_00007	Prbm.g_00007
OG0000359	Prai.g_00008	Prbm.g_00008
OG0000360	Prai.g_00009	Prbm.g_00009
OG0000361	Prai.g_00010	Prbm.g_00010
OG0000362	Prai.g_00012	Prbm.g_00012
OG0000363	Prai.g_00014	Prbm.g_00014
OG0000364	Prai.g_00015	Prbm.g_00015
OG0000365	Prai.g_00020	Prbm.g_00020
OG0000366	Prai.g_00021	Prbm.g_00021
OG0000367	Prai.g_00022	Prbm.g_00022
OG0000368	Prai.g_00024	Prbm.g_00024
OG0000369	Prai.g_00025	Prbm.g_00025
OG0000370	Prai.g_00026	Prbm.g_00026
OG0000371	Prai.g_00032	Prbm.g_00032
OG0000372	Prai.g_00035	Prbm.g_00033
OG0000373	Prai.g_00036	Prbm.g_00034
OG0000374	Prai.g_00037	Prbm.g_00035
OG0000375	Prai.g_00047	Prbm.g_00049
OG0000376	Prai.g_00049	Prbm.g_00051
OG0000377	Prai.g_00052	Prbm.g_00054
OG0000378	Prai.g_00054	Prbm.g_00056
OG0000379	Prai.g_00057	Prbm.g_00059
OG0000380	Prai.g_00066	Prbm.g_00123
OG0000381	Prai.g_00070	Prbm.g_00127
OG0000382	Prai.g_00081	Prbm.g_00138
OG0000383	Prai.g_00083	Prbm.g_00140
OG0000384	Prai.g_00084	Prbm.g_00141
OG0000385	Prai.g_00085	Prbm.g_00142
OG0000386	Prai.g_00086	Prbm.g_00143
OG0000387	Prai.g_00099	Prbm.g_00156
OG0000388	Prai.g_00102	Prbm.g_00160
OG0000389	Prai.g_00106	Prbm.g_00163
OG0000390	Prai.g_00113	Prbm.g_00172
OG0000391	Prai.g_00116	Prbm.g_00176
OG0000392	Prai.g_00120	Prbm.g_00179
OG0000393	Prai.g_00122	Prbm.g_00182
OG0000394	Prai.g_00123	Prbm.g_00183
OG0000395	Prai.g_00124	Prbm.g_00184
OG0000396	Prai.g_00127	Prbm.g_00187
OG0000397	Prai.g_00129	Prbm.g_00189
OG0000398	Prai.g_00131	Prbm.g_00192
OG0000399	Prai.g_00132	Prbm.g_00193
OG0000400	Prai.g_00133	Prbm.g_00194
OG0000401	Prai.g_00134	Prbm.g_00195
OG0000402	Prai.g_00136	Prbm.g_01096
OG0000403	Prai.g_00137	Prbm.g_00196
OG0000404	Prai.g_00138	Prbm.g_00197
OG0000405	Prai.g_00142	Prbm.g_00202
OG0000406	Prai.g_00158	Prbm.g_00206
OG0000407	Prai.g_00159	Prbm.g_00207
OG0000408	Prai.g_00161	Prbm.g_00209
OG0000409	Prai.g_00163	Prbm.g_00211
OG0000410	Prai.g_00164	Prbm.g_00212
OG0000411	Prai.g_00165	Prbm.g_00213
OG0000412	Prai.g_00166	Prbm.g_00214
OG0000413	Prai.g_00167	Prbm.g_00215
OG0000414	Prai.g_01288, Prai.g_00168	Prbm.g_00216
OG0000415	Prai.g_00169	Prbm.g_00217
OG0000416	Prai.g_00170	Prbm.g_00218
OG0000417	Prai.g_00171	Prbm.g_00219
OG0000418	Prai.g_00176	Prbm.g_00224
OG0000419	Prai.g_00178	Prbm.g_00226
OG0000420	Prai.g_00179	Prbm.g_00227
OG0000421	Prai.g_00184	Prbm.g_00232
OG0000422	Prai.g_00185	Prbm.g_00233
OG0000423	Prai.g_00186	Prbm.g_00234
OG0000424	Prai.g_00187	Prbm.g_00235
OG0000425	Prai.g_00188	Prbm.g_00236
OG0000426	Prai.g_00189	Prbm.g_00237
OG0000427	Prai.g_00190	Prbm.g_00238
OG0000428	Prai.g_00192	Prbm.g_00240
OG0000429	Prai.g_00193	Prbm.g_00241
OG0000430	Prai.g_00194	Prbm.g_00242
OG0000431	Prai.g_00196	Prbm.g_00244
OG0000432	Prai.g_00199	Prbm.g_00248
OG0000433	Prai.g_00200	Prbm.g_00249
OG0000434	Prai.g_00201	Prbm.g_00250
OG0000435	Prai.g_00202	Prbm.g_00251
OG0000436	Prai.g_00207	Prbm.g_00256
OG0000437	Prai.g_00208	Prbm.g_00257
OG0000438	Prai.g_00209	Prbm.g_00258
OG0000439	Prai.g_00211	Prbm.g_00260
OG0000440	Prai.g_00212	Prbm.g_00261
OG0000441	Prai.g_00215	Prbm.g_00263
OG0000442	Prai.g_00216	Prbm.g_00264
OG0000443	Prai.g_00217	Prbm.g_00265
OG0000444	Prai.g_00222	Prbm.g_00270
OG0000445	Prai.g_00223	Prbm.g_00271
OG0000446	Prai.g_00224	Prbm.g_00272
OG0000447	Prai.g_00225	Prbm.g_00273
OG0000448	Prai.g_00226	Prbm.g_00274
OG0000449	Prai.g_00227	Prbm.g_00275
OG0000450	Prai.g_00228	Prbm.g_00276
OG0000451	Prai.g_00229	Prbm.g_00277
OG0000452	Prai.g_00232	Prbm.g_00280
OG0000453	Prai.g_00233	Prbm.g_00281
OG0000454	Prai.g_00234	Prbm.g_00282
OG0000455	Prai.g_00235	Prbm.g_00283
OG0000456	Prai.g_00236	Prbm.g_00284
OG0000457	Prai.g_00237	Prbm.g_00285
OG0000458	Prai.g_00238	Prbm.g_00286
OG0000459	Prai.g_00239	Prbm.g_00287
OG0000460	Prai.g_00246	Prbm.g_00295
OG0000461	Prai.g_00255	Prbm.g_00303
OG0000462	Prai.g_00257	Prbm.g_00305
OG0000463	Prai.g_00258	Prbm.g_00306
OG0000464	Prai.g_00259	Prbm.g_00307
OG0000465	Prai.g_00260	Prbm.g_00308
OG0000466	Prai.g_00263	Prbm.g_00309
OG0000467	Prai.g_00264	Prbm.g_00310
OG0000468	Prai.g_00266	Prbm.g_00312
OG0000469	Prai.g_00275	Prbm.g_00320
OG0000470	Prai.g_00277	Prbm.g_00322
OG0000471	Prai.g_00278	Prbm.g_00323
OG0000472	Prai.g_00279	Prbm.g_00324
OG0000473	Prai.g_00281	Prbm.g_00326
OG0000474	Prai.g_00282	Prbm.g_00327
OG0000475	Prai.g_00283	Prbm.g_00328
OG0000476	Prai.g_00284	Prbm.g_00330
OG0000477	Prai.g_00288	Prbm.g_00332
OG0000478	Prai.g_00289	Prbm.g_00333
OG0000479	Prai.g_00290	Prbm.g_00334
OG0000480	Prai.g_00295	Prbm.g_00339
OG0000481	Prai.g_00297	Prbm.g_00341
OG0000482	Prai.g_00298	Prbm.g_00342
OG0000483	Prai.g_00301	Prbm.g_00345
OG0000484	Prai.g_00302	Prbm.g_00346
OG0000485	Prai.g_00303	Prbm.g_00347
OG0000486	Prai.g_00304	Prbm.g_00348
OG0000487	Prai.g_00308	Prbm.g_00351
OG0000488	Prai.g_00311	Prbm.g_00354
OG0000489	Prai.g_00316	Prbm.g_00359
OG0000490	Prai.g_00321	Prbm.g_00364
OG0000491	Prai.g_00322	Prbm.g_00365
OG0000492	Prai.g_00324	Prbm.g_00367
OG0000493	Prai.g_00325	Prbm.g_00368
OG0000494	Prai.g_00326	Prbm.g_00369
OG0000495	Prai.g_00327	Prbm.g_00370
OG0000496	Prai.g_00328	Prbm.g_00371
OG0000497	Prai.g_00329	Prbm.g_00372
OG0000498	Prai.g_00330	Prbm.g_00373
OG0000499	Prai.g_00331	Prbm.g_00374
OG0000500	Prai.g_00332	Prbm.g_00375
OG0000501	Prai.g_00334	Prbm.g_00376
OG0000502	Prai.g_00337	Prbm.g_00379
OG0000503	Prai.g_00347	Prbm.g_00400
OG0000504	Prai.g_00348	Prbm.g_00402
OG0000505	Prai.g_00349	Prbm.g_00403
OG0000506	Prai.g_00351	Prbm.g_00404
OG0000507	Prai.g_00354	Prbm.g_00407
OG0000508	Prai.g_00357	Prbm.g_00410
OG0000509	Prai.g_00359	Prbm.g_00412
OG0000510	Prai.g_00360	Prbm.g_00413
OG0000511	Prai.g_00361	Prbm.g_00414
OG0000512	Prai.g_00363	Prbm.g_00416
OG0000513	Prai.g_00370	Prbm.g_00426
OG0000514	Prai.g_00462	Prbm.g_00440
OG0000515	Prai.g_00463	Prbm.g_00441
OG0000516	Prai.g_00464	Prbm.g_00442
OG0000517	Prai.g_00466	Prbm.g_00445
OG0000518	Prai.g_00477	Prbm.g_00456
OG0000519	Prai.g_00478	Prbm.g_00457
OG0000520	Prai.g_00479	Prbm.g_00458
OG0000521	Prai.g_00484	Prbm.g_00480
OG0000522	Prai.g_00486	Prbm.g_00482
OG0000523	Prai.g_00487	Prbm.g_00483
OG0000524	Prai.g_00492	Prbm.g_00490
OG0000525	Prai.g_00495	Prbm.g_00494
OG0000526	Prai.g_00496	Prbm.g_00495
OG0000527	Prai.g_00503	Prbm.g_00498
OG0000528	Prai.g_00508	Prbm.g_00504
OG0000529	Prai.g_00511	Prbm.g_00507
OG0000530	Prai.g_00514	Prbm.g_00510
OG0000531	Prai.g_00515	Prbm.g_00511
OG0000532	Prai.g_00517	Prbm.g_00512
OG0000533	Prai.g_00518	Prbm.g_00513
OG0000534	Prai.g_00519	Prbm.g_00514
OG0000535	Prai.g_00520	Prbm.g_00515
OG0000536	Prai.g_00521	Prbm.g_00516
OG0000537	Prai.g_00522	Prbm.g_00517
OG0000538	Prai.g_00530	Prbm.g_00534
OG0000539	Prai.g_00531	Prbm.g_00535
OG0000540	Prai.g_00532	Prbm.g_00536
OG0000541	Prai.g_00533	Prbm.g_00537
OG0000542	Prai.g_00535	Prbm.g_00539
OG0000543	Prai.g_00537	Prbm.g_00541
OG0000544	Prai.g_00538	Prbm.g_00542
