Orthogroup	Prai	Syan
OG0000086	Prai.g_00088	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prai.g_00139	Syan.g_02268
OG0000088	Prai.g_00177	Syan.g_03031
OG0000089	Prai.g_00368	Syan.g_02316
OG0000090	Prai.g_00561	Syan.g_01166
OG0000091	Prai.g_00671	Syan.g_00235, Syan.g_00808
OG0000093	Prai.g_01021	Syan.g_00708
OG0000094	Prai.g_00937	Syan.g_00353, Syan.g_00065
OG0000095	Prai.g_00918	Syan.g_00290
OG0000097	Prai.g_01214	Syan.g_00160, Syan.g_00733
OG0000098	Prai.g_01353	Syan.g_00043
OG0000099	Prai.g_01393	Syan.g_01968
OG0000100	Prai.g_01536	Syan.g_00658
OG0000101	Prai.g_01782	Syan.g_02199
OG0000102	Prai.g_01843	Syan.g_01891
OG0000103	Prai.g_01923	Syan.g_01692
OG0000104	Prai.g_01932	Syan.g_01792
OG0000105	Prai.g_00286, Prai.g_00287	Syan.g_02031
OG0000106	Prai.g_00383	Syan.g_00076
OG0000107	Prai.g_00397	Syan.g_02106
OG0000108	Prai.g_00510	Syan.g_02764
OG0000109	Prai.g_00524	Syan.g_02748
OG0000110	Prai.g_00603	Syan.g_00171, Syan.g_00882
OG0000111	Prai.g_00728	Syan.g_00187
OG0000112	Prai.g_00882	Syan.g_00556, Syan.g_00252
OG0000113	Prai.g_00825	Syan.g_00664
OG0000114	Prai.g_01046	Syan.g_00741
OG0000115	Prai.g_01119	Syan.g_02810
OG0000116	Prai.g_01162	Syan.g_02710, Syan.g_00460
OG0000117	Prai.g_01273	Syan.g_02644
OG0000118	Prai.g_01347	Syan.g_01241, Syan.g_01237
OG0000119	Prai.g_01366	Syan.g_02672
OG0000120	Prai.g_01443	Syan.g_01966
OG0000121	Prai.g_01465	Syan.g_01273
OG0000123	Prai.g_01789	Syan.g_02190
OG0000124	Prai.g_01854	Syan.g_01873
OG0000125	Prai.g_01892	Syan.g_01573
OG0000126	Prai.g_01931	Syan.g_01705
OG0000128	Prai.g_00011	Syan.g_01768
OG0000129	Prai.g_00051	Syan.g_01563
OG0000130	Prai.g_00069	Syan.g_02906, Syan.g_02907
OG0000131	Prai.g_00156	Syan.g_03008
OG0000132	Prai.g_00175	Syan.g_03029
OG0000133	Prai.g_00335	Syan.g_00561
OG0000134	Prai.g_00369	Syan.g_02319
OG0000135	Prai.g_00393	Syan.g_01616
OG0000136	Prai.g_00472	Syan.g_01342
OG0000137	Prai.g_00505	Syan.g_02846
OG0000138	Prai.g_00525	Syan.g_02747
OG0000139	Prai.g_00565	Syan.g_01160
OG0000140	Prai.g_00566	Syan.g_00042
OG0000141	Prai.g_00635	Syan.g_01032
OG0000142	Prai.g_00664	Syan.g_00816
OG0000143	Prai.g_00668	Syan.g_00812
OG0000144	Prai.g_00681	Syan.g_00782
OG0000145	Prai.g_00883	Syan.g_02740
OG0000146	Prai.g_00881	Syan.g_00555, Syan.g_00253
OG0000147	Prai.g_00880	Syan.g_00254, Syan.g_00554
OG0000148	Prai.g_00831	Syan.g_00670
OG0000149	Prai.g_00800	Syan.g_00393
OG0000150	Prai.g_00792	Syan.g_01031
OG0000151	Prai.g_01036	Syan.g_00731
OG0000152	Prai.g_00989	Syan.g_00565
OG0000153	Prai.g_00970	Syan.g_00601
OG0000154	Prai.g_00943	Syan.g_00363
OG0000155	Prai.g_01191	Syan.g_02654
OG0000156	Prai.g_01323	Syan.g_02717
OG0000157	Prai.g_01324	Syan.g_02718
OG0000158	Prai.g_01392	Syan.g_01078, Syan.g_01926
OG0000159	Prai.g_01321, Prai.g_01390	Syan.g_01120
OG0000160	Prai.g_01464	Syan.g_01274
OG0000161	Prai.g_01470	Syan.g_01268
OG0000162	Prai.g_01476	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prai.g_01509	Syan.g_02405
OG0000164	Prai.g_01662	Syan.g_01440
OG0000165	Prai.g_01669	Syan.g_01448
OG0000166	Prai.g_01740	Syan.g_02239
OG0000167	Prai.g_01812	Syan.g_01941
OG0000168	Prai.g_01822	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prai.g_01832	Syan.g_01912
OG0000170	Prai.g_01834	Syan.g_01901
OG0000171	Prai.g_01853	Syan.g_01875
OG0000172	Prai.g_01863	Syan.g_01810
OG0000173	Prai.g_01878	Syan.g_01720
OG0000174	Prai.g_01905	Syan.g_01619
OG0000175	Prai.g_01915	Syan.g_01678, Syan.g_00258
OG0000176	Prai.g_00004	Syan.g_01801
OG0000177	Prai.g_00005	Syan.g_01775
OG0000178	Prai.g_00006	Syan.g_01774
OG0000179	Prai.g_00016	Syan.g_01759
OG0000180	Prai.g_00017	Syan.g_01758
OG0000181	Prai.g_00018	Syan.g_01757
OG0000182	Prai.g_00019	Syan.g_01756
OG0000183	Prai.g_00023	Syan.g_01752
OG0000184	Prai.g_00053	Syan.g_01549
OG0000185	Prai.g_00056	Syan.g_01540
OG0000186	Prai.g_00064	Syan.g_02902
OG0000187	Prai.g_00065	Syan.g_02904
OG0000188	Prai.g_00082	Syan.g_02926
OG0000189	Prai.g_00096	Syan.g_02966
OG0000190	Prai.g_00097	Syan.g_00971
OG0000191	Prai.g_00117	Syan.g_02300
OG0000192	Prai.g_00121	Syan.g_02294
OG0000193	Prai.g_00157	Syan.g_03009
OG0000194	Prai.g_00160	Syan.g_03012
OG0000195	Prai.g_00162	Syan.g_03014
OG0000196	Prai.g_00172	Syan.g_03026
OG0000197	Prai.g_00173	Syan.g_03027
OG0000198	Prai.g_00174	Syan.g_03028
OG0000199	Prai.g_00181	Syan.g_03037
OG0000200	Prai.g_00195	Syan.g_03055
OG0000201	Prai.g_00203	Syan.g_03074
OG0000202	Prai.g_00204	Syan.g_03075
OG0000203	Prai.g_00205	Syan.g_03076
OG0000204	Prai.g_00206	Syan.g_03077
OG0000205	Prai.g_00213	Syan.g_03087
OG0000206	Prai.g_00218	Syan.g_03095
OG0000207	Prai.g_00220	Syan.g_03100
OG0000208	Prai.g_00221	Syan.g_03101
OG0000209	Prai.g_00230	Syan.g_01521
OG0000210	Prai.g_00231	Syan.g_01522
OG0000211	Prai.g_00244	Syan.g_02416
OG0000212	Prai.g_00251	Syan.g_01508, Syan.g_02438
OG0000213	Prai.g_00270	Syan.g_02059
OG0000214	Prai.g_00280	Syan.g_02040
OG0000215	Prai.g_00305	Syan.g_02010
OG0000216	Prai.g_00307	Syan.g_02006
OG0000217	Prai.g_00310	Syan.g_02001
OG0000218	Prai.g_00312	Syan.g_01999
OG0000219	Prai.g_00313	Syan.g_01998
OG0000220	Prai.g_00314	Syan.g_01997
OG0000221	Prai.g_00315	Syan.g_01994
OG0000222	Prai.g_00323	Syan.g_01981
OG0000223	Prai.g_00336	Syan.g_00228
OG0000224	Prai.g_00338	Syan.g_01959
OG0000225	Prai.g_00358	Syan.g_02997
OG0000226	Prai.g_00362	Syan.g_02990
OG0000227	Prai.g_00364	Syan.g_02988
OG0000228	Prai.g_00367	Syan.g_02315
OG0000229	Prai.g_00467	Syan.g_02396
OG0000230	Prai.g_00469	Syan.g_02398
OG0000231	Prai.g_00480	Syan.g_01333
OG0000232	Prai.g_00489	Syan.g_02801
OG0000233	Prai.g_00494	Syan.g_02876
OG0000234	Prai.g_00506	Syan.g_02844
OG0000235	Prai.g_00509	Syan.g_02765
OG0000236	Prai.g_00523	Syan.g_02749
OG0000237	Prai.g_00536	Syan.g_02731
OG0000238	Prai.g_00542	Syan.g_02726
OG0000239	Prai.g_00553	Syan.g_01187
OG0000240	Prai.g_00554	Syan.g_01186
OG0000241	Prai.g_00558	Syan.g_00822
OG0000242	Prai.g_00560	Syan.g_01168
OG0000243	Prai.g_00571	Syan.g_00840
OG0000244	Prai.g_00574	Syan.g_00848
OG0000245	Prai.g_00576	Syan.g_00850
OG0000246	Prai.g_00580	Syan.g_00854
OG0000247	Prai.g_00590	Syan.g_00866
OG0000248	Prai.g_00593	Syan.g_00869
OG0000249	Prai.g_00595	Syan.g_00871
OG0000250	Prai.g_00600	Syan.g_00878
OG0000251	Prai.g_00619	Syan.g_00961
OG0000252	Prai.g_00622	Syan.g_00966
OG0000253	Prai.g_00623	Syan.g_01000
OG0000254	Prai.g_00639	Syan.g_01026
OG0000255	Prai.g_00645	Syan.g_00978
OG0000256	Prai.g_00656	Syan.g_00001, Syan.g_01135
OG0000257	Prai.g_00659	Syan.g_00827
OG0000258	Prai.g_00672	Syan.g_00803
OG0000259	Prai.g_00689	Syan.g_00772
OG0000260	Prai.g_00692	Syan.g_00769
OG0000261	Prai.g_00694	Syan.g_00765
OG0000262	Prai.g_00698	Syan.g_00760
OG0000263	Prai.g_00710	Syan.g_02618
OG0000264	Prai.g_00720	Syan.g_00540
OG0000266	Prai.g_00758	Syan.g_00330
OG0000267	Prai.g_00769	Syan.g_00470
OG0000268	Prai.g_00770	Syan.g_00471
OG0000269	Prai.g_00853	Syan.g_00695
OG0000270	Prai.g_00850	Syan.g_00692
OG0000271	Prai.g_00842	Syan.g_00684
OG0000272	Prai.g_00840, Prai.g_00841	Syan.g_00683
OG0000273	Prai.g_00817	Syan.g_00654
OG0000274	Prai.g_00816	Syan.g_00653
OG0000275	Prai.g_00741, Prai.g_00813	Syan.g_00373
OG0000276	Prai.g_00808	Syan.g_00380
OG0000277	Prai.g_00807	Syan.g_00381
OG0000278	Prai.g_00804	Syan.g_00384
OG0000279	Prai.g_00797	Syan.g_00398
OG0000280	Prai.g_00796	Syan.g_00518
OG0000282	Prai.g_01044	Syan.g_00739
OG0000283	Prai.g_01012	Syan.g_00491
OG0000284	Prai.g_01007	Syan.g_00497
OG0000285	Prai.g_01002	Syan.g_00533
OG0000286	Prai.g_00990	Syan.g_00564
OG0000287	Prai.g_00973	Syan.g_00593
OG0000288	Prai.g_00944	Syan.g_00364
OG0000289	Prai.g_00934	Syan.g_00350
OG0000290	Prai.g_00921	Syan.g_00293
OG0000291	Prai.g_00919	Syan.g_00291
OG0000292	Prai.g_01107	Syan.g_01703
OG0000293	Prai.g_01163	Syan.g_02709
OG0000294	Prai.g_01164	Syan.g_02708
OG0000295	Prai.g_01183	Syan.g_02662
OG0000296	Prai.g_01185	Syan.g_02660
OG0000297	Prai.g_01193	Syan.g_02646
OG0000298	Prai.g_01194	Syan.g_02645
OG0000299	Prai.g_01213	Syan.g_02601
OG0000300	Prai.g_01216	Syan.g_02593, Syan.g_02594
OG0000301	Prai.g_01217	Syan.g_02592
OG0000302	Prai.g_01219	Syan.g_02591
OG0000303	Prai.g_01226	Syan.g_02582
OG0000304	Prai.g_01230	Syan.g_02556
OG0000305	Prai.g_01362	Syan.g_00195
OG0000306	Prai.g_01365	Syan.g_00087
OG0000307	Prai.g_01379	Syan.g_02782
OG0000308	Prai.g_01380	Syan.g_02784
OG0000309	Prai.g_01384	Syan.g_02883
OG0000310	Prai.g_01448	Syan.g_01304
OG0000311	Prai.g_01450	Syan.g_01299
OG0000312	Prai.g_01453	Syan.g_01290
OG0000313	Prai.g_01467	Syan.g_01271
OG0000314	Prai.g_01489	Syan.g_02823
OG0000315	Prai.g_01499	Syan.g_02833
OG0000316	Prai.g_01519	Syan.g_01354
OG0000317	Prai.g_01636	Syan.g_01396
OG0000318	Prai.g_01639	Syan.g_01401
OG0000319	Prai.g_01652	Syan.g_01425
OG0000320	Prai.g_01654	Syan.g_01427
OG0000321	Prai.g_01655	Syan.g_01428
OG0000322	Prai.g_01656	Syan.g_01429
OG0000323	Prai.g_01665	Syan.g_01442
OG0000324	Prai.g_01691	Syan.g_01472
OG0000325	Prai.g_01702	Syan.g_02107
OG0000326	Prai.g_01708	Syan.g_02114
OG0000327	Prai.g_01735	Syan.g_02244
OG0000328	Prai.g_01736	Syan.g_02243
OG0000329	Prai.g_01754	Syan.g_02225
OG0000330	Prai.g_01755	Syan.g_02224
OG0000331	Prai.g_01756	Syan.g_02223
OG0000332	Prai.g_01770	Syan.g_02208
OG0000333	Prai.g_01777	Syan.g_02205
OG0000334	Prai.g_01785	Syan.g_00247, Syan.g_02194
OG0000335	Prai.g_01790	Syan.g_02189
OG0000336	Prai.g_01794	Syan.g_02185
OG0000337	Prai.g_01810	Syan.g_01949
OG0000338	Prai.g_01811	Syan.g_01943
OG0000339	Prai.g_01815	Syan.g_01935, Syan.g_00264
OG0000340	Prai.g_01823	Syan.g_01923
OG0000341	Prai.g_01825	Syan.g_01921
OG0000342	Prai.g_01826	Syan.g_01920
OG0000343	Prai.g_01827	Syan.g_01918
OG0000344	Prai.g_01830	Syan.g_01914
OG0000345	Prai.g_01835	Syan.g_01900
OG0000346	Prai.g_01839	Syan.g_01895
OG0000347	Prai.g_01855	Syan.g_01867
OG0000348	Prai.g_01866	Syan.g_01803
OG0000349	Prai.g_01883	Syan.g_01727
OG0000350	Prai.g_01901	Syan.g_02121
OG0000351	Prai.g_01918	Syan.g_01682
OG0000352	Prai.g_01919	Syan.g_01683
OG0000353	Prai.g_01935	Syan.g_01795
OG0000355	Prai.g_00001	Syan.g_01797
OG0000356	Prai.g_00002	Syan.g_01798
OG0000357	Prai.g_00003	Syan.g_01800
OG0000358	Prai.g_00007	Syan.g_01773
OG0000359	Prai.g_00008	Syan.g_01771
OG0000360	Prai.g_00009	Syan.g_01770
OG0000361	Prai.g_00010	Syan.g_01769
OG0000362	Prai.g_00012	Syan.g_01767
OG0000363	Prai.g_00014	Syan.g_01765
OG0000364	Prai.g_00015	Syan.g_01398
OG0000365	Prai.g_00020	Syan.g_01755
OG0000366	Prai.g_00021	Syan.g_01754
OG0000367	Prai.g_00022	Syan.g_01753
OG0000368	Prai.g_00024	Syan.g_01751
OG0000369	Prai.g_00025	Syan.g_01750
OG0000370	Prai.g_00026	Syan.g_01749
OG0000371	Prai.g_00032	Syan.g_01740
OG0000372	Prai.g_00035	Syan.g_01734
OG0000373	Prai.g_00036	Syan.g_01733
OG0000374	Prai.g_00037	Syan.g_01732
OG0000375	Prai.g_00047	Syan.g_01731
OG0000376	Prai.g_00049	Syan.g_01729
OG0000377	Prai.g_00052	Syan.g_01555
OG0000378	Prai.g_00054	Syan.g_01543
OG0000379	Prai.g_00057	Syan.g_01539
OG0000380	Prai.g_00066	Syan.g_02905
OG0000381	Prai.g_00070	Syan.g_02908
OG0000382	Prai.g_00081	Syan.g_02925
OG0000383	Prai.g_00083	Syan.g_02936
OG0000384	Prai.g_00084	Syan.g_02937
OG0000385	Prai.g_00085	Syan.g_02938
OG0000386	Prai.g_00086	Syan.g_02939
OG0000387	Prai.g_00099	Syan.g_00967
OG0000388	Prai.g_00102	Syan.g_02970
OG0000389	Prai.g_00106	Syan.g_02973
OG0000390	Prai.g_00113	Syan.g_02306
OG0000391	Prai.g_00116	Syan.g_02301
OG0000392	Prai.g_00120	Syan.g_02295
OG0000393	Prai.g_00122	Syan.g_02292
OG0000394	Prai.g_00123	Syan.g_02291
OG0000395	Prai.g_00124	Syan.g_02290
OG0000396	Prai.g_00127	Syan.g_02287
OG0000397	Prai.g_00129	Syan.g_02285
OG0000398	Prai.g_00131	Syan.g_02279
OG0000399	Prai.g_00132	Syan.g_02278
OG0000400	Prai.g_00133	Syan.g_02277
OG0000401	Prai.g_00134	Syan.g_02274
OG0000402	Prai.g_00136	Syan.g_02272
OG0000403	Prai.g_00137	Syan.g_02271
OG0000404	Prai.g_00138	Syan.g_02269
OG0000405	Prai.g_00142	Syan.g_03005
OG0000406	Prai.g_00158	Syan.g_03010
OG0000407	Prai.g_00159	Syan.g_03011
OG0000408	Prai.g_00161	Syan.g_03013
OG0000409	Prai.g_00163	Syan.g_03015
OG0000410	Prai.g_00164	Syan.g_03016
OG0000411	Prai.g_00165	Syan.g_03017
OG0000412	Prai.g_00166	Syan.g_03018
OG0000413	Prai.g_00167	Syan.g_03020
OG0000414	Prai.g_01288, Prai.g_00168	Syan.g_03021
OG0000415	Prai.g_00169	Syan.g_03022
OG0000416	Prai.g_00170	Syan.g_03023
OG0000417	Prai.g_00171	Syan.g_03025
OG0000418	Prai.g_00176	Syan.g_03030
OG0000419	Prai.g_00178	Syan.g_03033
OG0000420	Prai.g_00179	Syan.g_03035
OG0000421	Prai.g_00184	Syan.g_03040
OG0000422	Prai.g_00185	Syan.g_03041
OG0000423	Prai.g_00186	Syan.g_03042
OG0000424	Prai.g_00187	Syan.g_03043
OG0000425	Prai.g_00188	Syan.g_03044
OG0000426	Prai.g_00189	Syan.g_03045
OG0000427	Prai.g_00190	Syan.g_03046
OG0000428	Prai.g_00192	Syan.g_03049
OG0000429	Prai.g_00193	Syan.g_03051
OG0000430	Prai.g_00194	Syan.g_03053
OG0000431	Prai.g_00196	Syan.g_03058
OG0000432	Prai.g_00199	Syan.g_03065
OG0000433	Prai.g_00200	Syan.g_03068
OG0000434	Prai.g_00201	Syan.g_03069
OG0000435	Prai.g_00202	Syan.g_03071
OG0000436	Prai.g_00207	Syan.g_03079
OG0000437	Prai.g_00208	Syan.g_03080
OG0000438	Prai.g_00209	Syan.g_03083
OG0000439	Prai.g_00211	Syan.g_03085
OG0000440	Prai.g_00212	Syan.g_03086
OG0000441	Prai.g_00215	Syan.g_03089
OG0000442	Prai.g_00216	Syan.g_03090
OG0000443	Prai.g_00217	Syan.g_03094
OG0000444	Prai.g_00222	Syan.g_03102
OG0000445	Prai.g_00223	Syan.g_03103
OG0000446	Prai.g_00224	Syan.g_03105
OG0000447	Prai.g_00225	Syan.g_03111
OG0000448	Prai.g_00226	Syan.g_03112
OG0000449	Prai.g_00227	Syan.g_03113
OG0000450	Prai.g_00228	Syan.g_01518
OG0000451	Prai.g_00229	Syan.g_01519
OG0000452	Prai.g_00232	Syan.g_01523
OG0000453	Prai.g_00233	Syan.g_01524
OG0000454	Prai.g_00234	Syan.g_01525
OG0000455	Prai.g_00235	Syan.g_01526
OG0000456	Prai.g_00236	Syan.g_01527
OG0000457	Prai.g_00237	Syan.g_01529
OG0000458	Prai.g_00238	Syan.g_01530
OG0000459	Prai.g_00239	Syan.g_01531
OG0000460	Prai.g_00246	Syan.g_02423
OG0000461	Prai.g_00255	Syan.g_02099
OG0000462	Prai.g_00257	Syan.g_02096
OG0000463	Prai.g_00258	Syan.g_02095
OG0000464	Prai.g_00259	Syan.g_02094
OG0000465	Prai.g_00260	Syan.g_02092
OG0000466	Prai.g_00263	Syan.g_02087
OG0000467	Prai.g_00264	Syan.g_02086
OG0000468	Prai.g_00266	Syan.g_02063
OG0000469	Prai.g_00275	Syan.g_02046
OG0000470	Prai.g_00277	Syan.g_02044
OG0000471	Prai.g_00278	Syan.g_02043
OG0000472	Prai.g_00279	Syan.g_02041
OG0000473	Prai.g_00281	Syan.g_02039
OG0000474	Prai.g_00282	Syan.g_02038
OG0000475	Prai.g_00283	Syan.g_02037
OG0000476	Prai.g_00284	Syan.g_02035
OG0000477	Prai.g_00288	Syan.g_02029
OG0000478	Prai.g_00289	Syan.g_02028
OG0000479	Prai.g_00290	Syan.g_02027
OG0000480	Prai.g_00295	Syan.g_02020
OG0000481	Prai.g_00297	Syan.g_00975
OG0000482	Prai.g_00298	Syan.g_02018
OG0000483	Prai.g_00301	Syan.g_02014
OG0000484	Prai.g_00302	Syan.g_02013
OG0000485	Prai.g_00303	Syan.g_02012
OG0000486	Prai.g_00304	Syan.g_02011
OG0000487	Prai.g_00308	Syan.g_02005
OG0000488	Prai.g_00311	Syan.g_02000
OG0000489	Prai.g_00316	Syan.g_01993
OG0000490	Prai.g_00321	Syan.g_01985
OG0000491	Prai.g_00322	Syan.g_01983
OG0000492	Prai.g_00324	Syan.g_01980
OG0000493	Prai.g_00325	Syan.g_01979
OG0000494	Prai.g_00326	Syan.g_01978
OG0000495	Prai.g_00327	Syan.g_01977
OG0000496	Prai.g_00328	Syan.g_01976
OG0000497	Prai.g_00329	Syan.g_01975
OG0000498	Prai.g_00330	Syan.g_01974
OG0000499	Prai.g_00331	Syan.g_01973
OG0000500	Prai.g_00332	Syan.g_01972
OG0000501	Prai.g_00334	Syan.g_01969
OG0000502	Prai.g_00337	Syan.g_01961
OG0000503	Prai.g_00347	Syan.g_02144
OG0000504	Prai.g_00348	Syan.g_02142
OG0000505	Prai.g_00349	Syan.g_02141
OG0000506	Prai.g_00351	Syan.g_02139
OG0000507	Prai.g_00354	Syan.g_02133
OG0000508	Prai.g_00357	Syan.g_02998
OG0000509	Prai.g_00359	Syan.g_02993
OG0000510	Prai.g_00360	Syan.g_02992
OG0000511	Prai.g_00361	Syan.g_02991
OG0000512	Prai.g_00363	Syan.g_02989
OG0000513	Prai.g_00370	Syan.g_02320
OG0000514	Prai.g_00462	Syan.g_02326
OG0000515	Prai.g_00463	Syan.g_02327
OG0000516	Prai.g_00464	Syan.g_02389
OG0000517	Prai.g_00466	Syan.g_02395
OG0000518	Prai.g_00477	Syan.g_01336
OG0000519	Prai.g_00478	Syan.g_01335
OG0000520	Prai.g_00479	Syan.g_01334
OG0000521	Prai.g_00484	Syan.g_02805
OG0000522	Prai.g_00486	Syan.g_02803
OG0000523	Prai.g_00487	Syan.g_02802
OG0000524	Prai.g_00492	Syan.g_02878
OG0000525	Prai.g_00495	Syan.g_02853
OG0000526	Prai.g_00496	Syan.g_02852
OG0000527	Prai.g_00503	Syan.g_02848
OG0000528	Prai.g_00508	Syan.g_02767
OG0000529	Prai.g_00511	Syan.g_02763
OG0000530	Prai.g_00514	Syan.g_02760
OG0000531	Prai.g_00515	Syan.g_02759
OG0000532	Prai.g_00517	Syan.g_02756
OG0000533	Prai.g_00518	Syan.g_02754
OG0000534	Prai.g_00519	Syan.g_02753
OG0000535	Prai.g_00520	Syan.g_02752
OG0000536	Prai.g_00521	Syan.g_02751
OG0000537	Prai.g_00522	Syan.g_02750
OG0000538	Prai.g_00530	Syan.g_02738
OG0000539	Prai.g_00531	Syan.g_02737
OG0000540	Prai.g_00532	Syan.g_02736
OG0000541	Prai.g_00533	Syan.g_02735
OG0000542	Prai.g_00535	Syan.g_02732
OG0000543	Prai.g_00537	Syan.g_02730
OG0000544	Prai.g_00538	Syan.g_02729
OG0000545	Prai.g_00540	Syan.g_02727
OG0000546	Prai.g_00543	Syan.g_02725
OG0000547	Prai.g_00544	Syan.g_02723
OG0000548	Prai.g_00545	Syan.g_02722
OG0000549	Prai.g_00547	Syan.g_01194
OG0000550	Prai.g_00552	Syan.g_01189
OG0000551	Prai.g_00555	Syan.g_01184
OG0000552	Prai.g_00556	Syan.g_01183
OG0000553	Prai.g_00557	Syan.g_01179
OG0000554	Prai.g_00562	Syan.g_01165
OG0000555	Prai.g_00570	Syan.g_00839
OG0000556	Prai.g_00572	Syan.g_00842
OG0000557	Prai.g_00573	Syan.g_00847
OG0000558	Prai.g_00575	Syan.g_00849
OG0000559	Prai.g_00579	Syan.g_00853
OG0000560	Prai.g_00582	Syan.g_00856
OG0000561	Prai.g_00583	Syan.g_00857
OG0000562	Prai.g_00584	Syan.g_00858
OG0000563	Prai.g_00585	Syan.g_00859
OG0000564	Prai.g_00586	Syan.g_00860
OG0000565	Prai.g_00589	Syan.g_00864
OG0000566	Prai.g_00592	Syan.g_00868
OG0000567	Prai.g_00596	Syan.g_00872
OG0000568	Prai.g_00597	Syan.g_00874
OG0000569	Prai.g_00598	Syan.g_00875
OG0000570	Prai.g_00599	Syan.g_00876
OG0000571	Prai.g_00601	Syan.g_00879
OG0000572	Prai.g_00614	Syan.g_00954
OG0000573	Prai.g_00620	Syan.g_00963
OG0000574	Prai.g_00621	Syan.g_00965
OG0000575	Prai.g_00625	Syan.g_01003
OG0000576	Prai.g_00627	Syan.g_01007
OG0000577	Prai.g_00628	Syan.g_01008
OG0000578	Prai.g_00629	Syan.g_01009
