Orthogroup	Prbh	Praw
OG0000111	Prbh.g_01202	Praw.g_01871
OG0000112	Prbh.g_01201	Praw.g_01870
OG0000113	Prbh.g_01149	Praw.g_01787
OG0000114	Prbh.g_00951	Praw.g_01699
OG0000115	Prbh.g_01086	Praw.g_01539
OG0000116	Prbh.g_01090	Praw.g_01535
OG0000117	Prbh.g_01034	Praw.g_01470
OG0000118	Prbh.g_01328	Praw.g_01418
OG0000119	Prbh.g_01865	Praw.g_00204
OG0000120	Prbh.g_01276	Praw.g_00240
OG0000121	Prbh.g_01253	Praw.g_00259
OG0000122	Prbh.g_01233	Praw.g_00278
OG0000123	Prbh.g_01450	Praw.g_00291
OG0000124	Prbh.g_01397	Praw.g_00904
OG0000125	Prbh.g_01385	Praw.g_00993
OG0000126	Prbh.g_00009	Praw.g_01016
OG0000127	Prbh.g_00084	Praw.g_01096
OG0000128	Prbh.g_00100	Praw.g_01079, Praw.g_01080
OG0000129	Prbh.g_00136	Praw.g_00374
OG0000130	Prbh.g_01785	Praw.g_00513
OG0000131	Prbh.g_01745	Praw.g_00551
OG0000132	Prbh.g_01742	Praw.g_00554
OG0000133	Prbh.g_01686	Praw.g_00137
OG0000134	Prbh.g_01650	Praw.g_00101
OG0000135	Prbh.g_01648	Praw.g_00099
OG0000136	Prbh.g_01597	Praw.g_00055
OG0000137	Prbh.g_01563	Praw.g_00022
OG0000138	Prbh.g_01528	Praw.g_01180
OG0000139	Prbh.g_01497	Praw.g_01153
OG0000140	Prbh.g_01475	Praw.g_01135
OG0000141	Prbh.g_01474	Praw.g_01134
OG0000142	Prbh.g_01472	Praw.g_01132
OG0000143	Prbh.g_01471	Praw.g_01131
OG0000144	Prbh.g_01469	Praw.g_01129
OG0000145	Prbh.g_01468	Praw.g_01128
OG0000146	Prbh.g_01467	Praw.g_01127
OG0000147	Prbh.g_01466	Praw.g_01126
OG0000148	Prbh.g_01952	Praw.g_01124
OG0000149	Prbh.g_00766	Praw.g_01414
OG0000150	Prbh.g_00765	Praw.g_01413
OG0000151	Prbh.g_00764	Praw.g_01412
OG0000152	Prbh.g_00763	Praw.g_01411
OG0000153	Prbh.g_00762	Praw.g_01410
OG0000154	Prbh.g_00761	Praw.g_01409
OG0000155	Prbh.g_00760	Praw.g_01408
OG0000156	Prbh.g_00759	Praw.g_01407
OG0000157	Prbh.g_00758	Praw.g_01406
OG0000158	Prbh.g_00756	Praw.g_01404
OG0000159	Prbh.g_00755	Praw.g_01403
OG0000160	Prbh.g_00754	Praw.g_01402
OG0000161	Prbh.g_00753	Praw.g_01401
OG0000162	Prbh.g_00752	Praw.g_01400
OG0000163	Prbh.g_00751	Praw.g_01399
OG0000164	Prbh.g_00748	Praw.g_01396
OG0000165	Prbh.g_00746	Praw.g_01393
OG0000166	Prbh.g_00745	Praw.g_01392
OG0000167	Prbh.g_00744	Praw.g_01391
OG0000168	Prbh.g_00743	Praw.g_01388
OG0000169	Prbh.g_00741	Praw.g_01386
OG0000170	Prbh.g_00739	Praw.g_01385
OG0000171	Prbh.g_00738	Praw.g_01384
OG0000172	Prbh.g_00737	Praw.g_01383
OG0000173	Prbh.g_00734	Praw.g_01382
OG0000174	Prbh.g_00733	Praw.g_01381
OG0000175	Prbh.g_00732	Praw.g_01380
OG0000176	Prbh.g_00730	Praw.g_01378
OG0000177	Prbh.g_00729	Praw.g_01377
OG0000178	Prbh.g_00728	Praw.g_01376
OG0000179	Prbh.g_00719	Praw.g_01370
OG0000180	Prbh.g_00718	Praw.g_01369
OG0000181	Prbh.g_00717	Praw.g_01368
OG0000182	Prbh.g_00713	Praw.g_01365
OG0000183	Prbh.g_00712	Praw.g_01364
OG0000184	Prbh.g_00709	Praw.g_01361
OG0000185	Prbh.g_00705	Praw.g_01357
OG0000186	Prbh.g_00704	Praw.g_01356
OG0000187	Prbh.g_01878	Praw.g_01355
OG0000188	Prbh.g_00703	Praw.g_01354
OG0000189	Prbh.g_00702	Praw.g_01353
OG0000190	Prbh.g_00701	Praw.g_01352
OG0000191	Prbh.g_00700	Praw.g_01351
OG0000192	Prbh.g_00699	Praw.g_01350
OG0000193	Prbh.g_00698	Praw.g_01349
OG0000194	Prbh.g_00697	Praw.g_01348
OG0000195	Prbh.g_00695	Praw.g_01346
OG0000196	Prbh.g_00694	Praw.g_01345
OG0000197	Prbh.g_00693	Praw.g_01344
OG0000198	Prbh.g_00692	Praw.g_01343
OG0000199	Prbh.g_00689	Praw.g_01341
OG0000200	Prbh.g_00688	Praw.g_01340
OG0000201	Prbh.g_00687	Praw.g_01339
OG0000202	Prbh.g_00686	Praw.g_01338
OG0000203	Prbh.g_00685	Praw.g_01337
OG0000204	Prbh.g_00684	Praw.g_01336
OG0000205	Prbh.g_00682	Praw.g_01335
OG0000206	Prbh.g_00681	Praw.g_01334
OG0000207	Prbh.g_00680	Praw.g_01333
OG0000208	Prbh.g_00679	Praw.g_01332
OG0000209	Prbh.g_00678	Praw.g_01331
OG0000210	Prbh.g_00677	Praw.g_01329
OG0000211	Prbh.g_00676	Praw.g_01328
OG0000212	Prbh.g_00675	Praw.g_01327
OG0000213	Prbh.g_00674	Praw.g_01326
OG0000214	Prbh.g_00670	Praw.g_01324
OG0000215	Prbh.g_00669	Praw.g_01323
OG0000216	Prbh.g_00667	Praw.g_01321
OG0000217	Prbh.g_00666	Praw.g_01320
OG0000218	Prbh.g_00665	Praw.g_01319
OG0000219	Prbh.g_00664	Praw.g_01318
OG0000220	Prbh.g_00661	Praw.g_01315
OG0000221	Prbh.g_00658	Praw.g_01313
OG0000222	Prbh.g_00657	Praw.g_01312
OG0000223	Prbh.g_00656	Praw.g_01311
OG0000224	Prbh.g_00654	Praw.g_01308
OG0000225	Prbh.g_00652	Praw.g_01306
OG0000226	Prbh.g_00650	Praw.g_01305
OG0000227	Prbh.g_00649	Praw.g_01304
OG0000228	Prbh.g_00648	Praw.g_01303
OG0000229	Prbh.g_00647	Praw.g_01302
OG0000230	Prbh.g_00646	Praw.g_01301
OG0000231	Prbh.g_01144	Praw.g_01299
OG0000232	Prbh.g_00644	Praw.g_01298
OG0000233	Prbh.g_00641	Praw.g_01295
OG0000234	Prbh.g_00639	Praw.g_01293
OG0000235	Prbh.g_00637	Praw.g_01290
OG0000236	Prbh.g_00636	Praw.g_01289
OG0000237	Prbh.g_00635	Praw.g_01288
OG0000238	Prbh.g_00634	Praw.g_01287
OG0000239	Prbh.g_00633	Praw.g_01286
OG0000240	Prbh.g_00631	Praw.g_01284
OG0000241	Prbh.g_00630	Praw.g_01283
OG0000242	Prbh.g_00629	Praw.g_01282
OG0000243	Prbh.g_00628	Praw.g_01281
OG0000244	Prbh.g_00627	Praw.g_01280
OG0000245	Prbh.g_00626	Praw.g_01279
OG0000246	Prbh.g_00624	Praw.g_01277
OG0000247	Prbh.g_00623	Praw.g_01276
OG0000248	Prbh.g_00622	Praw.g_01275
OG0000249	Prbh.g_00621	Praw.g_01274
OG0000250	Prbh.g_00620	Praw.g_01273
OG0000251	Prbh.g_00619	Praw.g_01272
OG0000252	Prbh.g_00618	Praw.g_01271
OG0000253	Prbh.g_00617	Praw.g_01270
OG0000254	Prbh.g_00615	Praw.g_01268
OG0000255	Prbh.g_00614	Praw.g_01267
OG0000256	Prbh.g_00611	Praw.g_01264
OG0000257	Prbh.g_00610	Praw.g_01262
OG0000258	Prbh.g_00609	Praw.g_01261
OG0000259	Prbh.g_00608	Praw.g_01260
OG0000260	Prbh.g_00607	Praw.g_01259
OG0000261	Prbh.g_00606	Praw.g_01258
OG0000262	Prbh.g_00605	Praw.g_01257
OG0000263	Prbh.g_00604	Praw.g_01256
OG0000264	Prbh.g_00602	Praw.g_01254
OG0000265	Prbh.g_00601	Praw.g_01253
OG0000266	Prbh.g_00600	Praw.g_01252
OG0000267	Prbh.g_00598	Praw.g_01250
OG0000268	Prbh.g_00596	Praw.g_01249
OG0000269	Prbh.g_00595	Praw.g_01248
OG0000270	Prbh.g_00594	Praw.g_01247
OG0000271	Prbh.g_00593	Praw.g_01246
OG0000272	Prbh.g_00592	Praw.g_01245
OG0000273	Prbh.g_00591	Praw.g_01244
OG0000274	Prbh.g_00590	Praw.g_01243
OG0000275	Prbh.g_00589	Praw.g_01242
OG0000276	Prbh.g_00588	Praw.g_01241
OG0000277	Prbh.g_00587	Praw.g_01240
OG0000278	Prbh.g_00586	Praw.g_01239
OG0000279	Prbh.g_00585	Praw.g_01238
OG0000280	Prbh.g_00584	Praw.g_01237
OG0000281	Prbh.g_00582	Praw.g_01235
OG0000282	Prbh.g_00581	Praw.g_01234
OG0000283	Prbh.g_00578	Praw.g_01231
OG0000284	Prbh.g_00577	Praw.g_01230
OG0000285	Prbh.g_00576	Praw.g_01229
OG0000286	Prbh.g_00574	Praw.g_01227
OG0000287	Prbh.g_00573	Praw.g_01226
OG0000288	Prbh.g_00572	Praw.g_01225
OG0000289	Prbh.g_00571	Praw.g_01224
OG0000290	Prbh.g_00570	Praw.g_01223
OG0000291	Prbh.g_00569	Praw.g_01222
OG0000292	Prbh.g_00568	Praw.g_01221
OG0000293	Prbh.g_00567	Praw.g_01220
OG0000294	Prbh.g_00566	Praw.g_01219
OG0000295	Prbh.g_00565	Praw.g_01218
OG0000296	Prbh.g_00564	Praw.g_01217
OG0000297	Prbh.g_00563	Praw.g_01216
OG0000298	Prbh.g_00562	Praw.g_01215
OG0000299	Prbh.g_00561	Praw.g_01214
OG0000300	Prbh.g_00560	Praw.g_01213
OG0000301	Prbh.g_00559	Praw.g_01212
OG0000302	Prbh.g_00558	Praw.g_01211
OG0000303	Prbh.g_00557	Praw.g_01210
OG0000304	Prbh.g_00555	Praw.g_01209
OG0000305	Prbh.g_00554	Praw.g_01208
OG0000306	Prbh.g_00553	Praw.g_01207
OG0000307	Prbh.g_00551	Praw.g_01206
OG0000308	Prbh.g_00550	Praw.g_01205
OG0000309	Prbh.g_00549	Praw.g_01204
OG0000310	Prbh.g_00548	Praw.g_01203
OG0000311	Prbh.g_00547	Praw.g_01202
OG0000312	Prbh.g_00545	Praw.g_01200
OG0000313	Prbh.g_00544	Praw.g_01199
OG0000314	Prbh.g_00540	Praw.g_01196
OG0000315	Prbh.g_00539	Praw.g_01195
OG0000316	Prbh.g_00537	Praw.g_00891
OG0000317	Prbh.g_00535	Praw.g_00889
OG0000318	Prbh.g_00534	Praw.g_00888
OG0000319	Prbh.g_00533	Praw.g_00887
OG0000320	Prbh.g_00532	Praw.g_00886
OG0000321	Prbh.g_00529	Praw.g_00883
OG0000322	Prbh.g_00525	Praw.g_00880
OG0000323	Prbh.g_00524	Praw.g_00879
OG0000324	Prbh.g_00521	Praw.g_00876
OG0000325	Prbh.g_00520	Praw.g_00875
OG0000326	Prbh.g_00519	Praw.g_00874
OG0000327	Prbh.g_00517	Praw.g_00872
OG0000328	Prbh.g_00516	Praw.g_00871
OG0000329	Prbh.g_00515	Praw.g_00870
OG0000330	Prbh.g_00514	Praw.g_00869
OG0000331	Prbh.g_00513	Praw.g_00868
OG0000332	Prbh.g_00512	Praw.g_00867
OG0000333	Prbh.g_00511	Praw.g_00866
OG0000334	Prbh.g_00510	Praw.g_00865
OG0000335	Prbh.g_00509	Praw.g_00864
OG0000336	Prbh.g_00507	Praw.g_00863
OG0000337	Prbh.g_00504	Praw.g_00859
OG0000338	Prbh.g_00503	Praw.g_00858
OG0000339	Prbh.g_00502	Praw.g_00857
OG0000340	Prbh.g_00501	Praw.g_00856
OG0000341	Prbh.g_00497	Praw.g_00852
OG0000342	Prbh.g_00496	Praw.g_00851
OG0000343	Prbh.g_00493	Praw.g_00849
OG0000344	Prbh.g_00492	Praw.g_00848
OG0000345	Prbh.g_00491	Praw.g_00847
OG0000346	Prbh.g_00490	Praw.g_00846
OG0000347	Prbh.g_00489	Praw.g_00845
OG0000348	Prbh.g_00487	Praw.g_00844
OG0000349	Prbh.g_00486	Praw.g_00843
OG0000350	Prbh.g_00485	Praw.g_00842
OG0000351	Prbh.g_00483	Praw.g_00839
OG0000352	Prbh.g_00480	Praw.g_00836
OG0000353	Prbh.g_00479	Praw.g_00835
OG0000354	Prbh.g_00478	Praw.g_00834
OG0000355	Prbh.g_00477	Praw.g_00833
OG0000356	Prbh.g_00476	Praw.g_00832
OG0000357	Prbh.g_00475	Praw.g_00831
OG0000358	Prbh.g_00474	Praw.g_00830
OG0000359	Prbh.g_00473	Praw.g_00829
OG0000360	Prbh.g_00471	Praw.g_00826
OG0000361	Prbh.g_00470	Praw.g_00825
OG0000362	Prbh.g_00469	Praw.g_00824
OG0000363	Prbh.g_00468	Praw.g_00823
OG0000364	Prbh.g_00467	Praw.g_00822
OG0000365	Prbh.g_00466	Praw.g_00821
OG0000366	Prbh.g_00465	Praw.g_00820
OG0000367	Prbh.g_00464	Praw.g_00819
OG0000368	Prbh.g_00463	Praw.g_00818
OG0000369	Prbh.g_00462	Praw.g_00817
OG0000370	Prbh.g_00461	Praw.g_00816
OG0000371	Prbh.g_00460	Praw.g_00815
OG0000372	Prbh.g_00458	Praw.g_00813
OG0000373	Prbh.g_00456	Praw.g_00811
OG0000374	Prbh.g_00455	Praw.g_00810
OG0000375	Prbh.g_00454	Praw.g_00809
OG0000376	Prbh.g_00452	Praw.g_00807
OG0000377	Prbh.g_00446	Praw.g_00806
OG0000378	Prbh.g_00445	Praw.g_00805
OG0000379	Prbh.g_00439	Praw.g_00796
OG0000380	Prbh.g_00437	Praw.g_00795
OG0000381	Prbh.g_00436	Praw.g_00794
OG0000382	Prbh.g_00435	Praw.g_00792
OG0000383	Prbh.g_00431	Praw.g_00790
OG0000384	Prbh.g_00430	Praw.g_00789
OG0000385	Prbh.g_00427	Praw.g_00787
OG0000386	Prbh.g_00426	Praw.g_00786
OG0000387	Prbh.g_00425	Praw.g_00785
OG0000388	Prbh.g_00424	Praw.g_00784
OG0000389	Prbh.g_00423	Praw.g_00783
OG0000390	Prbh.g_00422	Praw.g_00782
OG0000391	Prbh.g_00421	Praw.g_00781
OG0000392	Prbh.g_00420	Praw.g_00780
OG0000393	Prbh.g_00416	Praw.g_00777
OG0000394	Prbh.g_00415	Praw.g_00776
OG0000395	Prbh.g_00412	Praw.g_00774
OG0000396	Prbh.g_01008	Praw.g_00773
OG0000397	Prbh.g_01327	Praw.g_00761
OG0000398	Prbh.g_01877	Praw.g_00754
OG0000399	Prbh.g_01320	Praw.g_00753
OG0000400	Prbh.g_01718	Praw.g_00748
OG0000401	Prbh.g_00401	Praw.g_00716
OG0000402	Prbh.g_00400	Praw.g_00715
OG0000403	Prbh.g_00399	Praw.g_00714
OG0000404	Prbh.g_00397	Praw.g_00712
OG0000405	Prbh.g_00396	Praw.g_00711
OG0000406	Prbh.g_00394	Praw.g_00709
OG0000407	Prbh.g_00393	Praw.g_00708
OG0000408	Prbh.g_00392	Praw.g_00707
OG0000409	Prbh.g_00391	Praw.g_00706
OG0000410	Prbh.g_00390	Praw.g_00705
OG0000411	Prbh.g_00389	Praw.g_00704
OG0000412	Prbh.g_00388	Praw.g_00703
OG0000413	Prbh.g_00387	Praw.g_00702
OG0000414	Prbh.g_00386	Praw.g_00701
OG0000415	Prbh.g_00385	Praw.g_00700
OG0000416	Prbh.g_00384	Praw.g_00699
OG0000417	Prbh.g_00383	Praw.g_00698
OG0000418	Prbh.g_00382	Praw.g_00697
OG0000419	Prbh.g_00381	Praw.g_00696
OG0000420	Prbh.g_00380	Praw.g_00695
OG0000421	Prbh.g_00374	Praw.g_00694
OG0000422	Prbh.g_00372	Praw.g_00692
OG0000423	Prbh.g_00371	Praw.g_00691
OG0000424	Prbh.g_00370	Praw.g_00689
OG0000425	Prbh.g_00367	Praw.g_00686
OG0000426	Prbh.g_00366	Praw.g_00685
OG0000427	Prbh.g_00365	Praw.g_00684
OG0000428	Prbh.g_00363	Praw.g_00683
OG0000429	Prbh.g_00361	Praw.g_00682
OG0000430	Prbh.g_00360	Praw.g_00676
OG0000431	Prbh.g_00358	Praw.g_00674
OG0000432	Prbh.g_00357	Praw.g_00673
OG0000433	Prbh.g_00354	Praw.g_00670
OG0000434	Prbh.g_00353	Praw.g_00669
OG0000435	Prbh.g_00352	Praw.g_00668
OG0000436	Prbh.g_00350	Praw.g_00666
OG0000437	Prbh.g_00348	Praw.g_00665
OG0000438	Prbh.g_00347	Praw.g_00664
OG0000439	Prbh.g_00346	Praw.g_00663
OG0000440	Prbh.g_00344	Praw.g_00661
OG0000441	Prbh.g_00343	Praw.g_00660
OG0000442	Prbh.g_00342	Praw.g_00659
OG0000443	Prbh.g_00341	Praw.g_00658
OG0000444	Prbh.g_00340	Praw.g_00657
OG0000445	Prbh.g_00339	Praw.g_00656
OG0000446	Prbh.g_00338	Praw.g_00655
OG0000447	Prbh.g_00337	Praw.g_00654
OG0000448	Prbh.g_00336	Praw.g_00653
OG0000449	Prbh.g_00329	Praw.g_00648
OG0000450	Prbh.g_00328	Praw.g_00647
OG0000451	Prbh.g_00327	Praw.g_00646
OG0000452	Prbh.g_00326	Praw.g_00645
OG0000453	Prbh.g_00325	Praw.g_00643
OG0000454	Prbh.g_00324	Praw.g_00642
OG0000455	Prbh.g_00323	Praw.g_00641
OG0000456	Prbh.g_00322	Praw.g_00640
OG0000457	Prbh.g_00320	Praw.g_00638
OG0000458	Prbh.g_00318	Praw.g_00636
OG0000459	Prbh.g_00317	Praw.g_00635
OG0000460	Prbh.g_00315	Praw.g_00633
OG0000461	Prbh.g_00314	Praw.g_00632
OG0000462	Prbh.g_00313	Praw.g_00631
OG0000463	Prbh.g_00311	Praw.g_00630
OG0000464	Prbh.g_00306	Praw.g_00625
OG0000465	Prbh.g_00305	Praw.g_00623
OG0000466	Prbh.g_00304	Praw.g_00622
OG0000467	Prbh.g_00303	Praw.g_00621
OG0000468	Prbh.g_00302	Praw.g_00620
OG0000469	Prbh.g_00301	Praw.g_00619
OG0000470	Prbh.g_00299	Praw.g_00618
OG0000471	Prbh.g_00298	Praw.g_00617
OG0000472	Prbh.g_00295	Praw.g_00614
OG0000473	Prbh.g_00294	Praw.g_00613
OG0000474	Prbh.g_00293	Praw.g_00612
OG0000475	Prbh.g_00292	Praw.g_00611
OG0000476	Prbh.g_00291	Praw.g_00610
OG0000477	Prbh.g_00290	Praw.g_00608
OG0000478	Prbh.g_00289	Praw.g_00607
OG0000479	Prbh.g_00288	Praw.g_00606
OG0000480	Prbh.g_00286	Praw.g_00604
OG0000481	Prbh.g_00285	Praw.g_00603
OG0000482	Prbh.g_00284	Praw.g_00602
OG0000483	Prbh.g_00283	Praw.g_00601
OG0000484	Prbh.g_00282	Praw.g_00600
OG0000485	Prbh.g_00281	Praw.g_00599
OG0000486	Prbh.g_00280	Praw.g_00598
OG0000487	Prbh.g_00279	Praw.g_00597
OG0000488	Prbh.g_00277	Praw.g_00595
OG0000489	Prbh.g_00276	Praw.g_00594
OG0000490	Prbh.g_00275	Praw.g_00593
OG0000491	Prbh.g_00274	Praw.g_00592
OG0000492	Prbh.g_00273	Praw.g_00591
OG0000493	Prbh.g_00272	Praw.g_00590
OG0000494	Prbh.g_00270	Praw.g_00588
OG0000495	Prbh.g_00269	Praw.g_00587
OG0000496	Prbh.g_00267	Praw.g_00586
OG0000497	Prbh.g_00265	Praw.g_00585
OG0000498	Prbh.g_00264	Praw.g_00584
OG0000499	Prbh.g_00262	Praw.g_00582
OG0000500	Prbh.g_00261	Praw.g_00581
OG0000501	Prbh.g_00259	Praw.g_00579
OG0000502	Prbh.g_00258	Praw.g_00578
OG0000503	Prbh.g_00257	Praw.g_00577
OG0000504	Prbh.g_00256	Praw.g_00576
OG0000505	Prbh.g_00255	Praw.g_00575
OG0000506	Prbh.g_00254	Praw.g_01922
OG0000507	Prbh.g_00253	Praw.g_01923
OG0000508	Prbh.g_00251	Praw.g_01925
OG0000509	Prbh.g_00250	Praw.g_01926
OG0000510	Prbh.g_00249	Praw.g_01927
OG0000511	Prbh.g_00248	Praw.g_01928
OG0000512	Prbh.g_00247	Praw.g_01929
OG0000513	Prbh.g_00246	Praw.g_01930
OG0000514	Prbh.g_00245	Praw.g_01931
OG0000515	Prbh.g_00244	Praw.g_01933
OG0000516	Prbh.g_00243	Praw.g_01934
OG0000517	Prbh.g_00242	Praw.g_01935
OG0000518	Prbh.g_00239	Praw.g_01937
OG0000519	Prbh.g_00238	Praw.g_01938
OG0000520	Prbh.g_00237	Praw.g_01939
OG0000521	Prbh.g_00236	Praw.g_01940
OG0000522	Prbh.g_00235	Praw.g_01941
OG0000523	Prbh.g_00234	Praw.g_01942
OG0000524	Prbh.g_00233	Praw.g_01943
OG0000525	Prbh.g_00231	Praw.g_01945
OG0000526	Prbh.g_00230	Praw.g_01946
OG0000527	Prbh.g_00229	Praw.g_01947
OG0000528	Prbh.g_00228	Praw.g_01948
OG0000529	Prbh.g_00227	Praw.g_01949
OG0000530	Prbh.g_00226	Praw.g_00140
OG0000531	Prbh.g_00224	Praw.g_00141
OG0000532	Prbh.g_00223	Praw.g_00142
OG0000533	Prbh.g_00222	Praw.g_00143
OG0000534	Prbh.g_00221	Praw.g_00144
OG0000535	Prbh.g_00220	Praw.g_00145
OG0000536	Prbh.g_00219	Praw.g_00146
OG0000537	Prbh.g_00218	Praw.g_00147
OG0000538	Prbh.g_00217	Praw.g_00148
OG0000539	Prbh.g_00216	Praw.g_00149
OG0000540	Prbh.g_00215	Praw.g_00150
OG0000541	Prbh.g_00214	Praw.g_00151
OG0000542	Prbh.g_00213	Praw.g_00152
OG0000543	Prbh.g_00212	Praw.g_00153
OG0000544	Prbh.g_01465	Praw.g_00154
OG0000545	Prbh.g_01462	Praw.g_00157
OG0000546	Prbh.g_01461	Praw.g_00158
OG0000547	Prbh.g_01459	Praw.g_00160
OG0000548	Prbh.g_01457	Praw.g_00161
OG0000549	Prbh.g_01456	Praw.g_00162
OG0000550	Prbh.g_01455	Praw.g_00163
OG0000551	Prbh.g_01453	Praw.g_00164
OG0000552	Prbh.g_01452	Praw.g_00165
OG0000553	Prbh.g_01223	Praw.g_00166
OG0000554	Prbh.g_01222	Praw.g_00167
OG0000555	Prbh.g_01221	Praw.g_00168
OG0000556	Prbh.g_01220	Praw.g_00169
OG0000557	Prbh.g_01219	Praw.g_01888
OG0000558	Prbh.g_01218	Praw.g_01887
OG0000559	Prbh.g_01217	Praw.g_01886
OG0000560	Prbh.g_01216	Praw.g_01884
