Orthogroup	Prbh	Praj
OG0000050	Prbh.g_00749	Praj.g_00031
OG0000051	Prbh.g_00625	Praj.g_00197
OG0000052	Prbh.g_00821	Praj.g_01156, Praj.g_01282
OG0000053	Prbh.g_01856	Praj.g_00530
OG0000054	Prbh.g_01897	Praj.g_00042
OG0000055	Prbh.g_00976	Praj.g_00793, Praj.g_01176
OG0000056	Prbh.g_01334	Praj.g_00043
OG0000057	Prbh.g_00543	Praj.g_00277
OG0000058	Prbh.g_00356	Praj.g_00467
OG0000059	Prbh.g_00936	Praj.g_01313, Praj.g_00691
OG0000060	Prbh.g_00775	Praj.g_01170
OG0000062	Prbh.g_01868	Praj.g_01832
OG0000063	Prbh.g_01255	Praj.g_01355
OG0000065	Prbh.g_01373	Praj.g_01528
OG0000066	Prbh.g_00031	Praj.g_00664
OG0000067	Prbh.g_01835	Praj.g_01323, Praj.g_01158
OG0000068	Prbh.g_01644	Praj.g_01952
OG0000069	Prbh.g_00138	Praj.g_01669
OG0000071	Prbh.g_01953	Praj.g_00011
OG0000072	Prbh.g_00457	Praj.g_00357
OG0000073	Prbh.g_01182	Praj.g_00659
OG0000074	Prbh.g_00926	Praj.g_00684
OG0000075	Prbh.g_00960	Praj.g_00776
OG0000076	Prbh.g_01031	Praj.g_01024
OG0000077	Prbh.g_01904	Praj.g_01079, Praj.g_01203, Praj.g_01731, Praj.g_01273, Praj.g_00416, Praj.g_01310, Praj.g_01358
OG0000078	Prbh.g_00032	Praj.g_00372
OG0000079	Prbh.g_00184	Praj.g_01714
OG0000080	Prbh.g_01860	Praj.g_01166
OG0000081	Prbh.g_01609	Praj.g_01985
OG0000082	Prbh.g_01516	Praj.g_02103
OG0000083	Prbh.g_01473	Praj.g_00003
OG0000084	Prbh.g_01470	Praj.g_00006
OG0000085	Prbh.g_00757	Praj.g_00023
OG0000086	Prbh.g_01826	Praj.g_01154
OG0000087	Prbh.g_00731	Praj.g_00053
OG0000088	Prbh.g_00668	Praj.g_00153
OG0000089	Prbh.g_00659	Praj.g_00162
OG0000090	Prbh.g_00642	Praj.g_00179
OG0000091	Prbh.g_00613	Praj.g_00209
OG0000092	Prbh.g_00612	Praj.g_00210
OG0000093	Prbh.g_00599	Praj.g_00223
OG0000094	Prbh.g_00580	Praj.g_00242
OG0000095	Prbh.g_00575	Praj.g_00246
OG0000096	Prbh.g_00528	Praj.g_00290
OG0000097	Prbh.g_00505	Praj.g_00310
OG0000098	Prbh.g_00494	Praj.g_00320
OG0000099	Prbh.g_00484	Praj.g_00329
OG0000100	Prbh.g_00481	Praj.g_00332
OG0000101	Prbh.g_00413	Praj.g_00405
OG0000102	Prbh.g_01825	Praj.g_01279
OG0000103	Prbh.g_00355	Praj.g_00468
OG0000104	Prbh.g_00351	Praj.g_00473
OG0000105	Prbh.g_00330	Praj.g_00491
OG0000106	Prbh.g_00297	Praj.g_00523
OG0000107	Prbh.g_00296	Praj.g_00524
OG0000108	Prbh.g_00287	Praj.g_00534
OG0000109	Prbh.g_00278	Praj.g_00543
OG0000110	Prbh.g_00260	Praj.g_00559
OG0000111	Prbh.g_01202	Praj.g_00639
OG0000112	Prbh.g_01201	Praj.g_00640
OG0000113	Prbh.g_01149	Praj.g_00722
OG0000114	Prbh.g_00951	Praj.g_00767
OG0000115	Prbh.g_01086	Praj.g_01601, Praj.g_00946
OG0000116	Prbh.g_01090	Praj.g_00950
OG0000117	Prbh.g_01034	Praj.g_01021
OG0000118	Prbh.g_01328	Praj.g_01196
OG0000119	Prbh.g_01865	Praj.g_01835
OG0000120	Prbh.g_01276	Praj.g_01455
OG0000121	Prbh.g_01253	Praj.g_01433
OG0000122	Prbh.g_01233	Praj.g_01413
OG0000123	Prbh.g_01450	Praj.g_01402
OG0000124	Prbh.g_01397	Praj.g_01014
OG0000125	Prbh.g_01385	Praj.g_01540
OG0000126	Prbh.g_00009	Praj.g_01575
OG0000127	Prbh.g_00084	Praj.g_01618
OG0000128	Prbh.g_00100	Praj.g_01633
OG0000129	Prbh.g_00136	Praj.g_01667
OG0000130	Prbh.g_01785	Praj.g_01766
OG0000131	Prbh.g_01745	Praj.g_01803
OG0000132	Prbh.g_01742	Praj.g_01805
OG0000133	Prbh.g_01686	Praj.g_01910
OG0000134	Prbh.g_01650	Praj.g_01946
OG0000135	Prbh.g_01648	Praj.g_01948
OG0000136	Prbh.g_01597	Praj.g_01997
OG0000137	Prbh.g_01563	Praj.g_02034
OG0000138	Prbh.g_01528	Praj.g_02091
OG0000139	Prbh.g_01497	Praj.g_02128
OG0000140	Prbh.g_01475	Praj.g_00001
OG0000141	Prbh.g_01474	Praj.g_00002
OG0000142	Prbh.g_01472	Praj.g_00004
OG0000143	Prbh.g_01471	Praj.g_00005
OG0000144	Prbh.g_01469	Praj.g_00007
OG0000145	Prbh.g_01468	Praj.g_00008
OG0000146	Prbh.g_01467	Praj.g_00009
OG0000147	Prbh.g_01466	Praj.g_00010
OG0000148	Prbh.g_01952	Praj.g_00012
OG0000149	Prbh.g_00766	Praj.g_00014
OG0000150	Prbh.g_00765	Praj.g_00015
OG0000151	Prbh.g_00764	Praj.g_00016
OG0000152	Prbh.g_00763	Praj.g_00017
OG0000153	Prbh.g_00762	Praj.g_00018
OG0000154	Prbh.g_00761	Praj.g_00019
OG0000155	Prbh.g_00760	Praj.g_00020
OG0000156	Prbh.g_00759	Praj.g_00021
OG0000157	Prbh.g_00758	Praj.g_00022
OG0000158	Prbh.g_00756	Praj.g_00024
OG0000159	Prbh.g_00755	Praj.g_00025
OG0000160	Prbh.g_00754	Praj.g_00026
OG0000161	Prbh.g_00753	Praj.g_00027
OG0000162	Prbh.g_00752	Praj.g_00028
OG0000163	Prbh.g_00751	Praj.g_00029
OG0000164	Prbh.g_00748	Praj.g_00032
OG0000165	Prbh.g_00746	Praj.g_00034
OG0000166	Prbh.g_00745	Praj.g_00035
OG0000167	Prbh.g_00744	Praj.g_00036
OG0000168	Prbh.g_00743	Praj.g_00044
OG0000169	Prbh.g_00741	Praj.g_00046
OG0000170	Prbh.g_00739	Praj.g_00047
OG0000171	Prbh.g_00738	Praj.g_00048
OG0000172	Prbh.g_00737	Praj.g_00049
OG0000173	Prbh.g_00734	Praj.g_00050
OG0000174	Prbh.g_00733	Praj.g_00051
OG0000175	Prbh.g_00732	Praj.g_00052
OG0000176	Prbh.g_00730	Praj.g_00054
OG0000177	Prbh.g_00729	Praj.g_00055
OG0000178	Prbh.g_00728	Praj.g_00056
OG0000179	Prbh.g_00719	Praj.g_00102
OG0000180	Prbh.g_00718	Praj.g_00103
OG0000181	Prbh.g_00717	Praj.g_00104
OG0000182	Prbh.g_00713	Praj.g_00107
OG0000183	Prbh.g_00712	Praj.g_00108
OG0000184	Prbh.g_00709	Praj.g_00111
OG0000185	Prbh.g_00705	Praj.g_00115
OG0000186	Prbh.g_00704	Praj.g_00116
OG0000187	Prbh.g_01878	Praj.g_00117
OG0000188	Prbh.g_00703	Praj.g_00118
OG0000189	Prbh.g_00702	Praj.g_00119
OG0000190	Prbh.g_00701	Praj.g_00120
OG0000191	Prbh.g_00700	Praj.g_00121
OG0000192	Prbh.g_00699	Praj.g_00122
OG0000193	Prbh.g_00698	Praj.g_00123
OG0000194	Prbh.g_00697	Praj.g_00124
OG0000195	Prbh.g_00695	Praj.g_00126
OG0000196	Prbh.g_00694	Praj.g_00127
OG0000197	Prbh.g_00693	Praj.g_00128
OG0000198	Prbh.g_00692	Praj.g_00129
OG0000199	Prbh.g_00689	Praj.g_00132
OG0000200	Prbh.g_00688	Praj.g_00133
OG0000201	Prbh.g_00687	Praj.g_00134
OG0000202	Prbh.g_00686	Praj.g_00135
OG0000203	Prbh.g_00685	Praj.g_00136
OG0000204	Prbh.g_00684	Praj.g_00137
OG0000205	Prbh.g_00682	Praj.g_00139
OG0000206	Prbh.g_00681	Praj.g_00140
OG0000207	Prbh.g_00680	Praj.g_00141
OG0000208	Prbh.g_00679	Praj.g_00142
OG0000209	Prbh.g_00678	Praj.g_00143
OG0000210	Prbh.g_00677	Praj.g_00144
OG0000211	Prbh.g_00676	Praj.g_00145
OG0000212	Prbh.g_00675	Praj.g_00146
OG0000213	Prbh.g_00674	Praj.g_00147
OG0000214	Prbh.g_00670	Praj.g_00151
OG0000215	Prbh.g_00669	Praj.g_00152
OG0000216	Prbh.g_00667	Praj.g_00154
OG0000217	Prbh.g_00666	Praj.g_00156
OG0000218	Prbh.g_00665	Praj.g_00157
OG0000219	Prbh.g_00664	Praj.g_00158
OG0000220	Prbh.g_00661	Praj.g_00160
OG0000221	Prbh.g_00658	Praj.g_00163
OG0000222	Prbh.g_00657	Praj.g_00164
OG0000223	Prbh.g_00656	Praj.g_00165
OG0000224	Prbh.g_00654	Praj.g_00168
OG0000225	Prbh.g_00652	Praj.g_00170
OG0000226	Prbh.g_00650	Praj.g_00172
OG0000227	Prbh.g_00649	Praj.g_00173
OG0000228	Prbh.g_00648	Praj.g_00174
OG0000229	Prbh.g_00647	Praj.g_00175
OG0000230	Prbh.g_00646	Praj.g_00176
OG0000231	Prbh.g_01144	Praj.g_01057
OG0000232	Prbh.g_00644	Praj.g_00177
OG0000233	Prbh.g_00641	Praj.g_00180
OG0000234	Prbh.g_00639	Praj.g_00183
OG0000235	Prbh.g_00637	Praj.g_00185
OG0000236	Prbh.g_00636	Praj.g_00186
OG0000237	Prbh.g_00635	Praj.g_00187
OG0000238	Prbh.g_00634	Praj.g_00188
OG0000239	Prbh.g_00633	Praj.g_00189
OG0000240	Prbh.g_00631	Praj.g_00191
OG0000241	Prbh.g_00630	Praj.g_00192
OG0000242	Prbh.g_00629	Praj.g_00193
OG0000243	Prbh.g_00628	Praj.g_00194
OG0000244	Prbh.g_00627	Praj.g_00195
OG0000245	Prbh.g_00626	Praj.g_00196
OG0000246	Prbh.g_00624	Praj.g_00198
OG0000247	Prbh.g_00623	Praj.g_00199
OG0000248	Prbh.g_00622	Praj.g_00200
OG0000249	Prbh.g_00621	Praj.g_00201
OG0000250	Prbh.g_00620	Praj.g_00202
OG0000251	Prbh.g_00619	Praj.g_00203
OG0000252	Prbh.g_00618	Praj.g_00204
OG0000253	Prbh.g_00617	Praj.g_00205
OG0000254	Prbh.g_00615	Praj.g_00207
OG0000255	Prbh.g_00614	Praj.g_00208
OG0000256	Prbh.g_00611	Praj.g_00211
OG0000257	Prbh.g_00610	Praj.g_00212
OG0000258	Prbh.g_00609	Praj.g_00213
OG0000259	Prbh.g_00608	Praj.g_00214
OG0000260	Prbh.g_00607	Praj.g_00215
OG0000261	Prbh.g_00606	Praj.g_00216
OG0000262	Prbh.g_00605	Praj.g_00217
OG0000263	Prbh.g_00604	Praj.g_00218
OG0000264	Prbh.g_00602	Praj.g_00220
OG0000265	Prbh.g_00601	Praj.g_00221
OG0000266	Prbh.g_00600	Praj.g_00222
OG0000267	Prbh.g_00598	Praj.g_00224
OG0000268	Prbh.g_00596	Praj.g_00226
OG0000269	Prbh.g_00595	Praj.g_00227
OG0000270	Prbh.g_00594	Praj.g_00228
OG0000271	Prbh.g_00593	Praj.g_00229
OG0000272	Prbh.g_00592	Praj.g_00230
OG0000273	Prbh.g_00591	Praj.g_00231
OG0000274	Prbh.g_00590	Praj.g_00232
OG0000275	Prbh.g_00589	Praj.g_00233
OG0000276	Prbh.g_00588	Praj.g_00234
OG0000277	Prbh.g_00587	Praj.g_00235
OG0000278	Prbh.g_00586	Praj.g_00236
OG0000279	Prbh.g_00585	Praj.g_00237
OG0000280	Prbh.g_00584	Praj.g_00238
OG0000281	Prbh.g_00582	Praj.g_00240
OG0000282	Prbh.g_00581	Praj.g_00241
OG0000283	Prbh.g_00578	Praj.g_00243
OG0000284	Prbh.g_00577	Praj.g_00244
OG0000285	Prbh.g_00576	Praj.g_00245
OG0000286	Prbh.g_00574	Praj.g_00247
OG0000287	Prbh.g_00573	Praj.g_00248
OG0000288	Prbh.g_00572	Praj.g_00249
OG0000289	Prbh.g_00571	Praj.g_00250
OG0000290	Prbh.g_00570	Praj.g_00251
OG0000291	Prbh.g_00569	Praj.g_00252
OG0000292	Prbh.g_00568	Praj.g_00253
OG0000293	Prbh.g_00567	Praj.g_00254
OG0000294	Prbh.g_00566	Praj.g_00255
OG0000295	Prbh.g_00565	Praj.g_00256
OG0000296	Prbh.g_00564	Praj.g_00257
OG0000297	Prbh.g_00563	Praj.g_00258
OG0000298	Prbh.g_00562	Praj.g_00259
OG0000299	Prbh.g_00561	Praj.g_00260
OG0000300	Prbh.g_00560	Praj.g_00261
OG0000301	Prbh.g_00559	Praj.g_00262
OG0000302	Prbh.g_00558	Praj.g_00263
OG0000303	Prbh.g_00557	Praj.g_00264
OG0000304	Prbh.g_00555	Praj.g_00265
OG0000305	Prbh.g_00554	Praj.g_00266
OG0000306	Prbh.g_00553	Praj.g_00267
OG0000307	Prbh.g_00551	Praj.g_00268
OG0000308	Prbh.g_00550	Praj.g_00269
OG0000309	Prbh.g_00549	Praj.g_00270
OG0000310	Prbh.g_00548	Praj.g_00271
OG0000311	Prbh.g_00547	Praj.g_00273
OG0000312	Prbh.g_00545	Praj.g_00275
OG0000313	Prbh.g_00544	Praj.g_00276
OG0000314	Prbh.g_00540	Praj.g_00280
OG0000315	Prbh.g_00539	Praj.g_00281
OG0000316	Prbh.g_00537	Praj.g_00283
OG0000317	Prbh.g_00535	Praj.g_00285
OG0000318	Prbh.g_00534	Praj.g_00286
OG0000319	Prbh.g_00533	Praj.g_00287
OG0000320	Prbh.g_00532	Praj.g_00288
OG0000321	Prbh.g_00529	Praj.g_00289
OG0000322	Prbh.g_00525	Praj.g_00292
OG0000323	Prbh.g_00524	Praj.g_00293
OG0000324	Prbh.g_00521	Praj.g_00296
OG0000325	Prbh.g_00520	Praj.g_00297
OG0000326	Prbh.g_00519	Praj.g_00298
OG0000327	Prbh.g_00517	Praj.g_00299
OG0000328	Prbh.g_00516	Praj.g_00300
OG0000329	Prbh.g_00515	Praj.g_00301
OG0000330	Prbh.g_00514	Praj.g_00302
OG0000331	Prbh.g_00513	Praj.g_00303
OG0000332	Prbh.g_00512	Praj.g_00304
OG0000333	Prbh.g_00511	Praj.g_00305
OG0000334	Prbh.g_00510	Praj.g_00306
OG0000335	Prbh.g_00509	Praj.g_00307
OG0000336	Prbh.g_00507	Praj.g_00309
OG0000337	Prbh.g_00504	Praj.g_00311
OG0000338	Prbh.g_00503	Praj.g_00312
OG0000339	Prbh.g_00502	Praj.g_00313
OG0000340	Prbh.g_00501	Praj.g_00314
OG0000341	Prbh.g_00497	Praj.g_00318
OG0000342	Prbh.g_00496	Praj.g_00319
OG0000343	Prbh.g_00493	Praj.g_00321
OG0000344	Prbh.g_00492	Praj.g_00322
OG0000345	Prbh.g_00491	Praj.g_00323
OG0000346	Prbh.g_00490	Praj.g_00324
OG0000347	Prbh.g_00489	Praj.g_00325
OG0000348	Prbh.g_00487	Praj.g_00326
OG0000349	Prbh.g_00486	Praj.g_00327
OG0000350	Prbh.g_00485	Praj.g_00328
OG0000351	Prbh.g_00483	Praj.g_00330
OG0000352	Prbh.g_00480	Praj.g_00333
OG0000353	Prbh.g_00479	Praj.g_00334
OG0000354	Prbh.g_00478	Praj.g_00335
OG0000355	Prbh.g_00477	Praj.g_00336
OG0000356	Prbh.g_00476	Praj.g_00337
OG0000357	Prbh.g_00475	Praj.g_00338
OG0000358	Prbh.g_00474	Praj.g_00339
OG0000359	Prbh.g_00473	Praj.g_00340
OG0000360	Prbh.g_00471	Praj.g_00343
OG0000361	Prbh.g_00470	Praj.g_00344
OG0000362	Prbh.g_00469	Praj.g_00345
OG0000363	Prbh.g_00468	Praj.g_00346
OG0000364	Prbh.g_00467	Praj.g_00347
OG0000365	Prbh.g_00466	Praj.g_00348
OG0000366	Prbh.g_00465	Praj.g_00349
OG0000367	Prbh.g_00464	Praj.g_00350
OG0000368	Prbh.g_00463	Praj.g_00351
OG0000369	Prbh.g_00462	Praj.g_00352
OG0000370	Prbh.g_00461	Praj.g_00353
OG0000371	Prbh.g_00460	Praj.g_00354
OG0000372	Prbh.g_00458	Praj.g_00356
OG0000373	Prbh.g_00456	Praj.g_00358
OG0000374	Prbh.g_00455	Praj.g_00359
OG0000375	Prbh.g_00454	Praj.g_00360
OG0000376	Prbh.g_00452	Praj.g_00362
OG0000377	Prbh.g_00446	Praj.g_00368
OG0000378	Prbh.g_00445	Praj.g_00724
OG0000379	Prbh.g_00439	Praj.g_00380
OG0000380	Prbh.g_00437	Praj.g_00382
OG0000381	Prbh.g_00436	Praj.g_00383
OG0000382	Prbh.g_00435	Praj.g_00384
OG0000383	Prbh.g_00431	Praj.g_00387
OG0000384	Prbh.g_00430	Praj.g_00388
OG0000385	Prbh.g_00427	Praj.g_00390
OG0000386	Prbh.g_00426	Praj.g_00391
OG0000387	Prbh.g_00425	Praj.g_00392
OG0000388	Prbh.g_00424	Praj.g_00393
OG0000389	Prbh.g_00423	Praj.g_00394
OG0000390	Prbh.g_00422	Praj.g_00395
OG0000391	Prbh.g_00421	Praj.g_00396
OG0000392	Prbh.g_00420	Praj.g_00397
OG0000393	Prbh.g_00416	Praj.g_00402
OG0000394	Prbh.g_00415	Praj.g_00403
OG0000395	Prbh.g_00412	Praj.g_00406
OG0000396	Prbh.g_01008	Praj.g_00824
OG0000397	Prbh.g_01327	Praj.g_01049
OG0000398	Prbh.g_01877	Praj.g_01081
OG0000399	Prbh.g_01320	Praj.g_01244
OG0000400	Prbh.g_01718	Praj.g_01869
OG0000401	Prbh.g_00401	Praj.g_00425
OG0000402	Prbh.g_00400	Praj.g_00426
OG0000403	Prbh.g_00399	Praj.g_00427
OG0000404	Prbh.g_00397	Praj.g_00429
OG0000405	Prbh.g_00396	Praj.g_00430
OG0000406	Prbh.g_00394	Praj.g_00432
OG0000407	Prbh.g_00393	Praj.g_00433
OG0000408	Prbh.g_00392	Praj.g_00434
OG0000409	Prbh.g_00391	Praj.g_00435
OG0000410	Prbh.g_00390	Praj.g_00436
OG0000411	Prbh.g_00389	Praj.g_00437
OG0000412	Prbh.g_00388	Praj.g_00438
OG0000413	Prbh.g_00387	Praj.g_00439
OG0000414	Prbh.g_00386	Praj.g_00440
OG0000415	Prbh.g_00385	Praj.g_00441
OG0000416	Prbh.g_00384	Praj.g_00442
OG0000417	Prbh.g_00383	Praj.g_00443
OG0000418	Prbh.g_00382	Praj.g_00444
OG0000419	Prbh.g_00381	Praj.g_00445
OG0000420	Prbh.g_00380	Praj.g_00446
OG0000421	Prbh.g_00374	Praj.g_00447
OG0000422	Prbh.g_00372	Praj.g_00449
OG0000423	Prbh.g_00371	Praj.g_00450
OG0000424	Prbh.g_00370	Praj.g_00451
OG0000425	Prbh.g_00367	Praj.g_00457
OG0000426	Prbh.g_00366	Praj.g_00458
OG0000427	Prbh.g_00365	Praj.g_00459
OG0000428	Prbh.g_00363	Praj.g_00461
OG0000429	Prbh.g_00361	Praj.g_00462
OG0000430	Prbh.g_00360	Praj.g_00464
OG0000431	Prbh.g_00358	Praj.g_00465
OG0000432	Prbh.g_00357	Praj.g_00466
OG0000433	Prbh.g_00354	Praj.g_00469
OG0000434	Prbh.g_00353	Praj.g_00471
OG0000435	Prbh.g_00352	Praj.g_00472
OG0000436	Prbh.g_00350	Praj.g_00474
OG0000437	Prbh.g_00348	Praj.g_00476
OG0000438	Prbh.g_00347	Praj.g_00477
OG0000439	Prbh.g_00346	Praj.g_00478
OG0000440	Prbh.g_00344	Praj.g_00479
OG0000441	Prbh.g_00343	Praj.g_00480
OG0000442	Prbh.g_00342	Praj.g_00481
OG0000443	Prbh.g_00341	Praj.g_00482
OG0000444	Prbh.g_00340	Praj.g_00483
OG0000445	Prbh.g_00339	Praj.g_00484
OG0000446	Prbh.g_00338	Praj.g_00485
OG0000447	Prbh.g_00337	Praj.g_00486
OG0000448	Prbh.g_00336	Praj.g_00487
OG0000449	Prbh.g_00329	Praj.g_00492
OG0000450	Prbh.g_00328	Praj.g_00493
OG0000451	Prbh.g_00327	Praj.g_00494
OG0000452	Prbh.g_00326	Praj.g_00495
OG0000453	Prbh.g_00325	Praj.g_00497
OG0000454	Prbh.g_00324	Praj.g_00498
OG0000455	Prbh.g_00323	Praj.g_00499
OG0000456	Prbh.g_00322	Praj.g_00500
OG0000457	Prbh.g_00320	Praj.g_00502
OG0000458	Prbh.g_00318	Praj.g_00504
OG0000459	Prbh.g_00317	Praj.g_00505
OG0000460	Prbh.g_00315	Praj.g_00507
OG0000461	Prbh.g_00314	Praj.g_00508
OG0000462	Prbh.g_00313	Praj.g_00509
OG0000463	Prbh.g_00311	Praj.g_00511
OG0000464	Prbh.g_00306	Praj.g_00515
OG0000465	Prbh.g_00305	Praj.g_00516
OG0000466	Prbh.g_00304	Praj.g_00517
OG0000467	Prbh.g_00303	Praj.g_00518
OG0000468	Prbh.g_00302	Praj.g_00519
OG0000469	Prbh.g_00301	Praj.g_00520
OG0000470	Prbh.g_00299	Praj.g_00521
OG0000471	Prbh.g_00298	Praj.g_00522
OG0000472	Prbh.g_00295	Praj.g_00525
OG0000473	Prbh.g_00294	Praj.g_00526
OG0000474	Prbh.g_00293	Praj.g_00527
OG0000475	Prbh.g_00292	Praj.g_00528
OG0000476	Prbh.g_00291	Praj.g_00529
OG0000477	Prbh.g_00290	Praj.g_00531
OG0000478	Prbh.g_00289	Praj.g_00532
OG0000479	Prbh.g_00288	Praj.g_00533
OG0000480	Prbh.g_00286	Praj.g_00535
OG0000481	Prbh.g_00285	Praj.g_00536
OG0000482	Prbh.g_00284	Praj.g_00537
OG0000483	Prbh.g_00283	Praj.g_00538
OG0000484	Prbh.g_00282	Praj.g_00539
OG0000485	Prbh.g_00281	Praj.g_00540
OG0000486	Prbh.g_00280	Praj.g_00541
OG0000487	Prbh.g_00279	Praj.g_00542
OG0000488	Prbh.g_00277	Praj.g_00544
OG0000489	Prbh.g_00276	Praj.g_00545
OG0000490	Prbh.g_00275	Praj.g_00546
OG0000491	Prbh.g_00274	Praj.g_00547
OG0000492	Prbh.g_00273	Praj.g_00548
OG0000493	Prbh.g_00272	Praj.g_00549
OG0000494	Prbh.g_00270	Praj.g_00551
OG0000495	Prbh.g_00269	Praj.g_00552
OG0000496	Prbh.g_00267	Praj.g_00553
OG0000497	Prbh.g_00265	Praj.g_00554
OG0000498	Prbh.g_00264	Praj.g_00555
OG0000499	Prbh.g_00262	Praj.g_00557
OG0000500	Prbh.g_00261	Praj.g_00558
OG0000501	Prbh.g_00259	Praj.g_00560
OG0000502	Prbh.g_00258	Praj.g_00561
OG0000503	Prbh.g_00257	Praj.g_00562
OG0000504	Prbh.g_00256	Praj.g_00563
OG0000505	Prbh.g_00255	Praj.g_00564
OG0000506	Prbh.g_00254	Praj.g_00565
OG0000507	Prbh.g_00253	Praj.g_00566
OG0000508	Prbh.g_00251	Praj.g_00567
OG0000509	Prbh.g_00250	Praj.g_00568
OG0000510	Prbh.g_00249	Praj.g_00569
OG0000511	Prbh.g_00248	Praj.g_00570
OG0000512	Prbh.g_00247	Praj.g_00571
OG0000513	Prbh.g_00246	Praj.g_00572
OG0000514	Prbh.g_00245	Praj.g_00573
OG0000515	Prbh.g_00244	Praj.g_00574
OG0000516	Prbh.g_00243	Praj.g_00575
OG0000517	Prbh.g_00242	Praj.g_00576
OG0000518	Prbh.g_00239	Praj.g_00578
OG0000519	Prbh.g_00238	Praj.g_00579
OG0000520	Prbh.g_00237	Praj.g_00581
OG0000521	Prbh.g_00236	Praj.g_00580
OG0000522	Prbh.g_00235	Praj.g_00582
OG0000523	Prbh.g_00234	Praj.g_00583
OG0000524	Prbh.g_00233	Praj.g_00584
OG0000525	Prbh.g_00231	Praj.g_00586
OG0000526	Prbh.g_00230	Praj.g_00587
OG0000527	Prbh.g_00229	Praj.g_00588
OG0000528	Prbh.g_00228	Praj.g_00589
OG0000529	Prbh.g_00227	Praj.g_00590
OG0000530	Prbh.g_00226	Praj.g_00591
OG0000531	Prbh.g_00224	Praj.g_00593
OG0000532	Prbh.g_00223	Praj.g_00594
OG0000533	Prbh.g_00222	Praj.g_00595
OG0000534	Prbh.g_00221	Praj.g_00596
OG0000535	Prbh.g_00220	Praj.g_00597
OG0000536	Prbh.g_00219	Praj.g_00598
OG0000537	Prbh.g_00218	Praj.g_00599
OG0000538	Prbh.g_00217	Praj.g_00600
OG0000539	Prbh.g_00216	Praj.g_00601
OG0000540	Prbh.g_00215	Praj.g_00602
OG0000541	Prbh.g_00214	Praj.g_00603
