Orthogroup	Syao	Syap
OG0000088	Syao.g_02503	Syap.g_01202
OG0000089	Syao.g_01716	Syap.g_00115, Syap.g_02042
OG0000090	Syao.g_01412	Syap.g_01451
OG0000094	Syao.g_00458	Syap.g_02781
OG0000095	Syao.g_00331	Syap.g_01556
OG0000098	Syao.g_01374	Syap.g_01975
OG0000099	Syao.g_02019	Syap.g_01385
OG0000101	Syao.g_01840	Syap.g_00472
OG0000102	Syao.g_01945	Syap.g_01116
OG0000103	Syao.g_02340	Syap.g_02607
OG0000104	Syao.g_02157	Syap.g_02321, Syap.g_00051, Syap.g_02320
OG0000105	Syao.g_02071, Syao.g_02072	Syap.g_01369, Syap.g_01368
OG0000107	Syao.g_01935	Syap.g_02496
OG0000108	Syao.g_00028	Syap.g_00733, Syap.g_02255
OG0000109	Syao.g_00110	Syap.g_00279, Syap.g_02237
OG0000110	Syao.g_01051	Syap.g_01313
OG0000111	Syao.g_00378	Syap.g_01566, Syap.g_01568
OG0000112	Syao.g_00683, Syao.g_00303	Syap.g_02023
OG0000113	Syao.g_00782	Syap.g_02714
OG0000114	Syao.g_00965	Syap.g_01255
OG0000115	Syao.g_00065	Syap.g_02004
OG0000116	Syao.g_00137	Syap.g_00241
OG0000117	Syao.g_00169	Syap.g_01889
OG0000118	Syao.g_01475	Syap.g_02286
OG0000120	Syao.g_02009	Syap.g_02075
OG0000121	Syao.g_01489	Syap.g_02471
OG0000123	Syao.g_01832	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syao.g_02179	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syao.g_02444	Syap.g_01046
OG0000126	Syao.g_02198	Syap.g_02316
OG0000127	Syao.g_02375, Syao.g_01143	Syap.g_00736, Syap.g_00737, Syap.g_00735
OG0000128	Syao.g_02149	Syap.g_00069
OG0000129	Syao.g_02434	Syap.g_00130
OG0000130	Syao.g_02617	Syap.g_01688, Syap.g_01689
OG0000131	Syao.g_02480	Syap.g_02189
OG0000132	Syao.g_02501	Syap.g_01205
OG0000133	Syao.g_00678	Syap.g_02017
OG0000134	Syao.g_01719	Syap.g_02047
OG0000135	Syao.g_00147	Syap.g_02090
OG0000136	Syao.g_01614, Syao.g_01613	Syap.g_00089
OG0000137	Syao.g_02682	Syap.g_02756
OG0000138	Syao.g_00108	Syap.g_00278
OG0000139	Syao.g_02005	Syap.g_00410
OG0000140	Syao.g_01373, Syao.g_01372	Syap.g_01976
OG0000141	Syao.g_01202	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syao.g_00894	Syap.g_00895, Syap.g_00894
OG0000143	Syao.g_00898	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000145	Syao.g_00102	Syap.g_01860, Syap.g_01859
OG0000146	Syao.g_00684, Syao.g_00304	Syap.g_02024
OG0000147	Syao.g_00305, Syao.g_00685	Syap.g_02025
OG0000148	Syao.g_00776	Syap.g_02720
OG0000149	Syao.g_00534	Syap.g_00824
OG0000150	Syao.g_01203	Syap.g_01540
OG0000151	Syao.g_00975	Syap.g_00142
OG0000152	Syao.g_00674	Syap.g_02012
OG0000153	Syao.g_00818, Syao.g_01176	Syap.g_02682
OG0000154	Syao.g_00447	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syao.g_00178	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syao.g_00151	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syao.g_00152	Syap.g_00249, Syap.g_00286
OG0000158	Syao.g_02267	Syap.g_01075
OG0000159	Syao.g_02276	Syap.g_00852
OG0000160	Syao.g_01488	Syap.g_02470, Syap.g_02469
OG0000161	Syao.g_01494	Syap.g_02476
OG0000162	Syao.g_01515	Syap.g_02531
OG0000164	Syao.g_01663	Syap.g_01391, Syap.g_01392
OG0000165	Syao.g_01655	Syap.g_01381, Syap.g_01382
OG0000166	Syao.g_01790	Syap.g_00512, Syap.g_01238
OG0000167	Syao.g_01960	Syap.g_02080
OG0000168	Syao.g_02128	Syap.g_01076
OG0000169	Syao.g_02139	Syap.g_01049, Syap.g_01093
OG0000170	Syao.g_02148	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syao.g_02181	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syao.g_02170	Syap.g_01143, Syap.g_00635
OG0000173	Syao.g_02212	Syap.g_00982, Syap.g_00983
OG0000174	Syao.g_02364, Syao.g_02355	Syap.g_02092
OG0000175	Syao.g_02327, Syao.g_00308	Syap.g_02654
OG0000176	Syao.g_02165	Syap.g_00059
OG0000177	Syao.g_02156	Syap.g_00061, Syap.g_00060
OG0000178	Syao.g_02155	Syap.g_00062
OG0000179	Syao.g_02250	Syap.g_00077, Syap.g_02638
OG0000180	Syao.g_02249	Syap.g_00078, Syap.g_02640
OG0000181	Syao.g_02248	Syap.g_00079, Syap.g_02641
OG0000182	Syao.g_02247	Syap.g_00080, Syap.g_02642
OG0000183	Syao.g_02243	Syap.g_00084
OG0000184	Syao.g_02423	Syap.g_01337
OG0000185	Syao.g_02410	Syap.g_01322
OG0000186	Syao.g_02613	Syap.g_01684
OG0000187	Syao.g_02615	Syap.g_01686
OG0000188	Syao.g_02637	Syap.g_02547
OG0000191	Syao.g_02573	Syap.g_02233
OG0000192	Syao.g_02579	Syap.g_02224
OG0000193	Syao.g_02481	Syap.g_02188
OG0000194	Syao.g_02484	Syap.g_02183
OG0000195	Syao.g_02486	Syap.g_02180
OG0000196	Syao.g_02498	Syap.g_01208, Syap.g_02167
OG0000197	Syao.g_02499	Syap.g_01207, Syap.g_02166
OG0000198	Syao.g_02500	Syap.g_01206
OG0000199	Syao.g_02508	Syap.g_01197
OG0000200	Syao.g_02524	Syap.g_01181
OG0000201	Syao.g_02540	Syap.g_02265
OG0000202	Syao.g_02454	Syap.g_02264
OG0000203	Syao.g_02455	Syap.g_01601
OG0000204	Syao.g_02456	Syap.g_01602
OG0000205	Syao.g_02464	Syap.g_01616
OG0000206	Syao.g_02469	Syap.g_01628
OG0000207	Syao.g_02471	Syap.g_01426, Syap.g_00424
OG0000208	Syao.g_02472	Syap.g_00426, Syap.g_01425
OG0000209	Syao.g_02394	Syap.g_01906
OG0000210	Syao.g_02395	Syap.g_01905
OG0000211	Syao.g_01700	Syap.g_01160
OG0000212	Syao.g_01710	Syap.g_02664
OG0000213	Syao.g_02098	Syap.g_00107, Syap.g_01599
OG0000214	Syao.g_02081	Syap.g_02344, Syap.g_02345
OG0000215	Syao.g_02050	Syap.g_01347, Syap.g_01629
OG0000216	Syao.g_02045	Syap.g_01634
OG0000217	Syao.g_02041	Syap.g_01638
OG0000218	Syao.g_02039	Syap.g_01641, Syap.g_01640
OG0000219	Syao.g_02038	Syap.g_01642, Syap.g_01643
OG0000220	Syao.g_02037	Syap.g_01645
OG0000221	Syao.g_02034	Syap.g_01646
OG0000222	Syao.g_02023	Syap.g_01669
OG0000223	Syao.g_00291	Syap.g_02072, Syap.g_02073
OG0000224	Syao.g_01973	Syap.g_02064
OG0000225	Syao.g_01751	Syap.g_00553, Syap.g_00552
OG0000226	Syao.g_01758	Syap.g_02029, Syap.g_02144
OG0000227	Syao.g_01760	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Syao.g_01715	Syap.g_00116, Syap.g_02041
OG0000229	Syao.g_01736	Syap.g_02059
OG0000230	Syao.g_01738	Syap.g_02061
OG0000231	Syao.g_01513	Syap.g_02533
OG0000232	Syao.g_00057	Syap.g_02510, Syap.g_02511
OG0000233	Syao.g_02698	Syap.g_02133
OG0000234	Syao.g_02680	Syap.g_02755
OG0000235	Syao.g_00029	Syap.g_00732, Syap.g_02258
OG0000236	Syao.g_00111	Syap.g_02238
OG0000237	Syao.g_00166	Syap.g_00262, Syap.g_00263
OG0000238	Syao.g_00161	Syap.g_00257, Syap.g_00258
OG0000239	Syao.g_01398	Syap.g_02744
OG0000240	Syao.g_01399	Syap.g_02742
OG0000241	Syao.g_00887	Syap.g_00888
OG0000242	Syao.g_01410	Syap.g_01455
OG0000243	Syao.g_00873	Syap.g_01938
OG0000244	Syao.g_00865	Syap.g_01146, Syap.g_01145
OG0000245	Syao.g_00863	Syap.g_01148
OG0000246	Syao.g_00859	Syap.g_00308
OG0000247	Syao.g_00847	Syap.g_00288, Syap.g_00293
OG0000248	Syao.g_00844	Syap.g_00290
OG0000249	Syao.g_00842	Syap.g_01296, Syap.g_01295
OG0000250	Syao.g_00835	Syap.g_01306
OG0000251	Syao.g_01026	Syap.g_00442
OG0000252	Syao.g_01020	Syap.g_01857
OG0000253	Syao.g_01003	Syap.g_00443
OG0000254	Syao.g_01053	Syap.g_01527, Syap.g_01528
OG0000256	Syao.g_01328	Syap.g_01287
OG0000257	Syao.g_00884	Syap.g_00886
OG0000258	Syao.g_00907	Syap.g_00907
OG0000260	Syao.g_00936	Syap.g_01970
OG0000261	Syao.g_00941	Syap.g_01962, Syap.g_01961
OG0000262	Syao.g_00946	Syap.g_01954
OG0000263	Syao.g_00247	Syap.g_00432, Syap.g_00433
OG0000266	Syao.g_00480	Syap.g_00519
OG0000267	Syao.g_00589	Syap.g_02333, Syap.g_02332
OG0000268	Syao.g_00588	Syap.g_00646
OG0000269	Syao.g_00751	Syap.g_00188
OG0000270	Syao.g_00754	Syap.g_00192
OG0000271	Syao.g_00762	Syap.g_00200, Syap.g_00201
OG0000272	Syao.g_00763	Syap.g_00202
OG0000273	Syao.g_00791	Syap.g_02703
OG0000274	Syao.g_00792	Syap.g_02702
OG0000275	Syao.g_00438	Syap.g_01847
OG0000276	Syao.g_00558	Syap.g_01838
OG0000277	Syao.g_00557	Syap.g_01837
OG0000278	Syao.g_00554	Syap.g_01834
OG0000279	Syao.g_00529	Syap.g_00829, Syap.g_00830
OG0000280	Syao.g_00608	Syap.g_00365
OG0000281	Syao.g_01377	Syap.g_01977
OG0000282	Syao.g_00967	Syap.g_01252
OG0000283	Syao.g_00640	Syap.g_01728
OG0000284	Syao.g_00634	Syap.g_01736
OG0000285	Syao.g_00706	Syap.g_01746, Syap.g_01744
OG0000286	Syao.g_00675	Syap.g_02014
OG0000288	Syao.g_00446	Syap.g_02764, Syap.g_02763
OG0000289	Syao.g_00461	Syap.g_02784
OG0000290	Syao.g_00428	Syap.g_01552
OG0000291	Syao.g_00333	Syap.g_01554
OG0000292	Syao.g_02196	Syap.g_02314
OG0000293	Syao.g_00136	Syap.g_00240
OG0000294	Syao.g_00135	Syap.g_00239
OG0000295	Syao.g_00186	Syap.g_00206
OG0000296	Syao.g_00184	Syap.g_00204
OG0000297	Syao.g_00171	Syap.g_01887
OG0000298	Syao.g_00170	Syap.g_01888
OG0000299	Syao.g_00231	Syap.g_02620
OG0000302	Syao.g_00271	Syap.g_02445
OG0000303	Syao.g_00262	Syap.g_02435
OG0000304	Syao.g_00256	Syap.g_02430
OG0000305	Syao.g_00388	Syap.g_01557
OG0000306	Syao.g_01216	Syap.g_01966
OG0000307	Syao.g_00045	Syap.g_02517
OG0000308	Syao.g_00047	Syap.g_02514, Syap.g_02515
OG0000309	Syao.g_02705	Syap.g_02198, Syap.g_02446
OG0000310	Syao.g_01530	Syap.g_02660, Syap.g_02661
OG0000311	Syao.g_01533	Syap.g_02657
OG0000312	Syao.g_01538	Syap.g_02114
OG0000313	Syao.g_01491	Syap.g_02473
OG0000314	Syao.g_00078	Syap.g_00007
OG0000315	Syao.g_00088	Syap.g_00017
OG0000316	Syao.g_01602	Syap.g_00030
OG0000317	Syao.g_01560	Syap.g_00618
OG0000318	Syao.g_01553	Syap.g_00622, Syap.g_02786
OG0000319	Syao.g_01678	Syap.g_01764, Syap.g_01771
OG0000320	Syao.g_01676	Syap.g_01761, Syap.g_01769
OG0000321	Syao.g_01675	Syap.g_01760, Syap.g_01768
OG0000322	Syao.g_01674	Syap.g_01759, Syap.g_01767
OG0000323	Syao.g_01661	Syap.g_01389
OG0000324	Syao.g_01630	Syap.g_01503
OG0000325	Syao.g_01936	Syap.g_02680
OG0000326	Syao.g_01918	Syap.g_00544
OG0000327	Syao.g_01795	Syap.g_01233, Syap.g_01913
OG0000328	Syao.g_01794	Syap.g_01234, Syap.g_01912
OG0000329	Syao.g_01776	Syap.g_00498
OG0000330	Syao.g_01775	Syap.g_00497
OG0000331	Syao.g_01774	Syap.g_00496
OG0000332	Syao.g_01813	Syap.g_00481
OG0000333	Syao.g_01810	Syap.g_00478
OG0000334	Syao.g_01836	Syap.g_00468
OG0000335	Syao.g_01831	Syap.g_00101, Syap.g_00463
OG0000336	Syao.g_01827	Syap.g_00607
OG0000337	Syao.g_01968	Syap.g_01054
OG0000338	Syao.g_01962	Syap.g_01059
OG0000339	Syao.g_02259	Syap.g_01068
OG0000340	Syao.g_02129	Syap.g_01077
OG0000341	Syao.g_02131	Syap.g_01079
OG0000342	Syao.g_02132	Syap.g_01080, Syap.g_02477
OG0000343	Syao.g_02133	Syap.g_01086, Syap.g_02078
OG0000344	Syao.g_02137	Syap.g_01091
OG0000345	Syao.g_01953	Syap.g_01107, Syap.g_01470
OG0000346	Syao.g_01948	Syap.g_02423, Syap.g_01113
OG0000347	Syao.g_02178	Syap.g_01131, Syap.g_02459
OG0000348	Syao.g_02166	Syap.g_00632
OG0000349	Syao.g_02219	Syap.g_00110, Syap.g_01813
OG0000351	Syao.g_02331	Syap.g_02594
OG0000352	Syao.g_02332	Syap.g_02596, Syap.g_02597
OG0000353	Syao.g_02160	Syap.g_00054
OG0000354	Syao.g_02252	Syap.g_00075, Syap.g_02635
OG0000355	Syao.g_02162	Syap.g_00056
OG0000356	Syao.g_02163	Syap.g_00057
OG0000357	Syao.g_02164	Syap.g_00058
OG0000358	Syao.g_02154	Syap.g_00063
OG0000359	Syao.g_02152	Syap.g_00065
OG0000360	Syao.g_02151	Syap.g_00067
OG0000361	Syao.g_02150	Syap.g_00068
OG0000362	Syao.g_01954	Syap.g_00070
OG0000363	Syao.g_02255	Syap.g_00072
OG0000364	Syao.g_01558	Syap.g_00620
OG0000365	Syao.g_02246	Syap.g_00081
OG0000366	Syao.g_02245	Syap.g_00082
OG0000367	Syao.g_02244	Syap.g_00083
OG0000368	Syao.g_02242	Syap.g_00085
OG0000369	Syao.g_02241	Syap.g_00086
OG0000370	Syao.g_02240	Syap.g_00087
OG0000372	Syao.g_02226	Syap.g_01805
OG0000373	Syao.g_02225	Syap.g_01806
OG0000374	Syao.g_02224	Syap.g_01807
OG0000375	Syao.g_02223	Syap.g_01808
OG0000376	Syao.g_02221	Syap.g_01811
OG0000377	Syao.g_02429	Syap.g_00128
OG0000378	Syao.g_02414	Syap.g_01326
OG0000380	Syao.g_02616	Syap.g_01687
OG0000381	Syao.g_02618	Syap.g_01690
OG0000382	Syao.g_02636	Syap.g_02548
OG0000383	Syao.g_02643	Syap.g_02359
OG0000384	Syao.g_02644	Syap.g_02360
OG0000385	Syao.g_02645	Syap.g_02361
OG0000386	Syao.g_02646	Syap.g_02362
OG0000387	Syao.g_01019	Syap.g_01864
OG0000391	Syao.g_02572	Syap.g_02234
OG0000392	Syao.g_02578	Syap.g_02225
OG0000393	Syao.g_02581	Syap.g_02222
OG0000394	Syao.g_02582	Syap.g_02221
OG0000395	Syao.g_02583	Syap.g_02220
OG0000396	Syao.g_02586	Syap.g_02217
OG0000397	Syao.g_02542	Syap.g_02215
OG0000398	Syao.g_02547	Syap.g_02211
OG0000399	Syao.g_02548	Syap.g_02210
OG0000400	Syao.g_02549	Syap.g_02209
OG0000401	Syao.g_02550	Syap.g_02208
OG0000402	Syao.g_02552	Syap.g_02206
OG0000403	Syao.g_02553	Syap.g_02205
OG0000404	Syao.g_02554	Syap.g_02204, Syap.g_02618
OG0000405	Syao.g_02478	Syap.g_02191
OG0000406	Syao.g_02482	Syap.g_02186
OG0000407	Syao.g_02483	Syap.g_02185
OG0000408	Syao.g_02485	Syap.g_02181, Syap.g_02182
OG0000409	Syao.g_02487	Syap.g_02179
OG0000410	Syao.g_02488	Syap.g_02178
OG0000411	Syao.g_02489	Syap.g_02177
OG0000412	Syao.g_02490	Syap.g_02176
OG0000413	Syao.g_02492	Syap.g_02174
OG0000414	Syao.g_02493	Syap.g_02173
OG0000415	Syao.g_02494	Syap.g_02172
OG0000416	Syao.g_02495	Syap.g_02171
OG0000417	Syao.g_02497	Syap.g_02169
OG0000418	Syao.g_02502	Syap.g_01204
OG0000419	Syao.g_02504	Syap.g_01201
OG0000420	Syao.g_02506	Syap.g_01199
OG0000421	Syao.g_02510	Syap.g_01195
OG0000422	Syao.g_02511	Syap.g_01194
OG0000423	Syao.g_02512	Syap.g_01193
OG0000424	Syao.g_02513	Syap.g_01192
OG0000425	Syao.g_02514	Syap.g_01191
OG0000426	Syao.g_02515	Syap.g_01190
OG0000427	Syao.g_02516	Syap.g_01189
OG0000428	Syao.g_02519	Syap.g_01186
OG0000429	Syao.g_02522	Syap.g_01184
OG0000430	Syao.g_02523	Syap.g_01182
OG0000431	Syao.g_02526	Syap.g_01179
OG0000432	Syao.g_02532	Syap.g_02277
OG0000433	Syao.g_02534	Syap.g_02272
OG0000434	Syao.g_02535	Syap.g_02271
OG0000435	Syao.g_02538	Syap.g_02268
OG0000436	Syao.g_02458	Syap.g_01607
OG0000437	Syao.g_02459	Syap.g_01608
OG0000438	Syao.g_02460	Syap.g_01612
OG0000439	Syao.g_02462	Syap.g_01614
OG0000440	Syao.g_02463	Syap.g_01615
OG0000441	Syao.g_02466	Syap.g_01619
OG0000442	Syao.g_02467	Syap.g_01620
OG0000443	Syao.g_02468	Syap.g_01622
OG0000444	Syao.g_02473	Syap.g_01424
OG0000445	Syao.g_02474	Syap.g_01421
OG0000446	Syao.g_02476	Syap.g_01419
OG0000447	Syao.g_02383	Syap.g_01410
OG0000448	Syao.g_02384	Syap.g_01407
OG0000449	Syao.g_02385	Syap.g_01406
OG0000450	Syao.g_02391	Syap.g_01909
OG0000451	Syao.g_02392	Syap.g_01908
OG0000452	Syao.g_02396	Syap.g_01904
OG0000453	Syao.g_02397	Syap.g_01903
OG0000454	Syao.g_02398	Syap.g_01902
OG0000455	Syao.g_02399	Syap.g_01901
OG0000456	Syao.g_02400	Syap.g_01900
OG0000457	Syao.g_02402	Syap.g_01896
OG0000458	Syao.g_02403	Syap.g_01895
OG0000459	Syao.g_02404	Syap.g_01894
OG0000460	Syao.g_01702	Syap.g_01159
OG0000461	Syao.g_02119	Syap.g_01575
OG0000462	Syao.g_02116	Syap.g_01578
OG0000463	Syao.g_02115	Syap.g_01579
OG0000464	Syao.g_02114	Syap.g_01580
OG0000465	Syao.g_02112	Syap.g_01582
OG0000466	Syao.g_02107	Syap.g_01587
OG0000467	Syao.g_02106	Syap.g_01588
OG0000468	Syao.g_02102	Syap.g_01593
OG0000469	Syao.g_02087	Syap.g_02352
OG0000470	Syao.g_02085	Syap.g_02349
OG0000471	Syao.g_02084	Syap.g_02348
OG0000472	Syao.g_02082	Syap.g_02347
OG0000473	Syao.g_02080	Syap.g_02343
OG0000474	Syao.g_02079	Syap.g_02342
OG0000475	Syao.g_02078	Syap.g_02341
OG0000476	Syao.g_02076	Syap.g_02339
OG0000477	Syao.g_02069	Syap.g_01367
OG0000478	Syao.g_02068	Syap.g_01366
OG0000479	Syao.g_02067	Syap.g_01364
OG0000480	Syao.g_02060	Syap.g_01357
OG0000482	Syao.g_02058	Syap.g_01355
OG0000483	Syao.g_02054	Syap.g_01344
OG0000484	Syao.g_02053	Syap.g_01350
OG0000485	Syao.g_02052	Syap.g_01349
OG0000487	Syao.g_02044	Syap.g_01635
OG0000488	Syao.g_02040	Syap.g_01639
OG0000489	Syao.g_02033	Syap.g_02482
OG0000490	Syao.g_02025	Syap.g_01673
OG0000491	Syao.g_02024	Syap.g_01670
OG0000492	Syao.g_02022	Syap.g_01668
OG0000493	Syao.g_02021	Syap.g_01667
OG0000494	Syao.g_02020	Syap.g_01666
OG0000495	Syao.g_02018	Syap.g_01665
OG0000496	Syao.g_02017	Syap.g_01663
OG0000497	Syao.g_02016	Syap.g_01662
OG0000498	Syao.g_02015	Syap.g_01661
OG0000499	Syao.g_02014	Syap.g_01660
OG0000500	Syao.g_02013	Syap.g_01659
OG0000501	Syao.g_02010	Syap.g_01656
OG0000502	Syao.g_01974	Syap.g_02066
OG0000503	Syao.g_01877	Syap.g_00569
OG0000504	Syao.g_01875	Syap.g_00567
OG0000505	Syao.g_01874	Syap.g_00566
OG0000506	Syao.g_01872	Syap.g_00564
OG0000507	Syao.g_01866	Syap.g_00558
OG0000508	Syao.g_01750	Syap.g_00554
OG0000509	Syao.g_01755	Syap.g_00551
OG0000510	Syao.g_01756	Syap.g_00550
OG0000511	Syao.g_01757	Syap.g_00548
OG0000512	Syao.g_01759	Syap.g_02145
OG0000513	Syao.g_01720	Syap.g_02048
OG0000514	Syao.g_01727	Syap.g_02051
OG0000515	Syao.g_01728	Syap.g_02052
OG0000516	Syao.g_01730	Syap.g_02054
OG0000517	Syao.g_01735	Syap.g_02057
OG0000519	Syao.g_01622	Syap.g_00457
OG0000520	Syao.g_01512	Syap.g_00456
OG0000521	Syao.g_00061	Syap.g_01997
OG0000522	Syao.g_00059	Syap.g_01995
OG0000523	Syao.g_00058	Syap.g_02507
OG0000524	Syao.g_02699	Syap.g_02135
OG0000525	Syao.g_02691	Syap.g_02159
OG0000526	Syao.g_02688	Syap.g_02157
OG0000527	Syao.g_02684	Syap.g_02758
OG0000528	Syao.g_00031	Syap.g_02261
OG0000529	Syao.g_00027	Syap.g_02254
OG0000530	Syao.g_00122	Syap.g_02252
OG0000531	Syao.g_00121	Syap.g_02251
OG0000532	Syao.g_00118	Syap.g_02247
OG0000533	Syao.g_00116	Syap.g_02244
OG0000534	Syao.g_00115	Syap.g_02243
OG0000535	Syao.g_00114	Syap.g_02242
OG0000536	Syao.g_00113	Syap.g_02241
OG0000537	Syao.g_00112	Syap.g_02240
OG0000538	Syao.g_00100	Syap.g_00271
OG0000539	Syao.g_00099	Syap.g_00270
OG0000540	Syao.g_00098	Syap.g_00269
OG0000541	Syao.g_00097	Syap.g_00268
OG0000542	Syao.g_00167	Syap.g_00264
OG0000543	Syao.g_00165	Syap.g_00261
OG0000544	Syao.g_00164	Syap.g_00260
OG0000545	Syao.g_00162	Syap.g_00259
OG0000546	Syao.g_00160	Syap.g_00256
OG0000547	Syao.g_00158	Syap.g_00254
OG0000548	Syao.g_00157	Syap.g_00253
OG0000549	Syao.g_01391	Syap.g_00758
OG0000550	Syao.g_01396	Syap.g_02747
OG0000551	Syao.g_01401	Syap.g_02739
OG0000552	Syao.g_01402	Syap.g_02738
OG0000553	Syao.g_01404	Syap.g_02735
OG0000554	Syao.g_01413	Syap.g_01450
OG0000555	Syao.g_00875	Syap.g_01941
OG0000556	Syao.g_00871	Syap.g_01933
OG0000557	Syao.g_00866	Syap.g_01931
OG0000558	Syao.g_00864	Syap.g_01147
OG0000560	Syao.g_00857	Syap.g_00305
OG0000561	Syao.g_00856	Syap.g_00304
OG0000562	Syao.g_00855	Syap.g_00302
OG0000563	Syao.g_00854	Syap.g_00301
OG0000564	Syao.g_00853	Syap.g_00300
OG0000565	Syao.g_00849	Syap.g_00296
OG0000566	Syao.g_00845	Syap.g_00291
OG0000567	Syao.g_00841	Syap.g_01297
OG0000568	Syao.g_00839	Syap.g_01302
OG0000569	Syao.g_00838	Syap.g_01303
OG0000570	Syao.g_00837	Syap.g_01304
OG0000571	Syao.g_00834	Syap.g_01307
OG0000573	Syao.g_01022	Syap.g_00765
OG0000574	Syao.g_01021	Syap.g_00759
OG0000575	Syao.g_01000	Syap.g_00445
OG0000576	Syao.g_00996	Syap.g_00450
OG0000577	Syao.g_00995	Syap.g_00451
OG0000578	Syao.g_00994	Syap.g_00452
OG0000579	Syao.g_00993	Syap.g_00453
OG0000580	Syao.g_00992	Syap.g_00454
OG0000581	Syao.g_01059	Syap.g_01521
OG0000582	Syao.g_01204	Syap.g_01533
OG0000583	Syao.g_01205	Syap.g_01532
OG0000584	Syao.g_01206	Syap.g_01530
OG0000585	Syao.g_01054	Syap.g_01526
OG0000586	Syao.g_01055	Syap.g_01525
