Orthogroup	Syao	Prag
OG0000110	Syao.g_01051	Prag.g_00553
OG0000111	Syao.g_00378	Prag.g_00677
OG0000112	Syao.g_00683, Syao.g_00303	Prag.g_00771
OG0000113	Syao.g_00782	Prag.g_00828
OG0000114	Syao.g_00965	Prag.g_00906
OG0000115	Syao.g_00065, Syao.g_01464	Prag.g_01097
OG0000116	Syao.g_00137	Prag.g_01143
OG0000117	Syao.g_00169	Prag.g_01298
OG0000118	Syao.g_01475	Prag.g_01367
OG0000120	Syao.g_02009	Prag.g_01423
OG0000121	Syao.g_01489	Prag.g_01492
OG0000122	Syao.g_01247	Prag.g_01530
OG0000123	Syao.g_01832	Prag.g_01811
OG0000124	Syao.g_02179	Prag.g_01877
OG0000125	Syao.g_02444	Prag.g_01913
OG0000126	Syao.g_02198	Prag.g_01952
OG0000128	Syao.g_02149	Prag.g_00011
OG0000129	Syao.g_02434	Prag.g_00044
OG0000130	Syao.g_02617	Prag.g_00063
OG0000131	Syao.g_02480	Prag.g_00138
OG0000132	Syao.g_02501	Prag.g_00157
OG0000133	Syao.g_00678	Prag.g_00313
OG0000134	Syao.g_01719	Prag.g_00351
OG0000135	Syao.g_00147	Prag.g_00375
OG0000136	Syao.g_01614, Syao.g_01613	Prag.g_00420
OG0000137	Syao.g_02682	Prag.g_00454
OG0000138	Syao.g_00108	Prag.g_00474
OG0000139	Syao.g_02005	Prag.g_00516
OG0000140	Syao.g_01373, Syao.g_01372	Prag.g_00517
OG0000141	Syao.g_01202	Prag.g_00585
OG0000142	Syao.g_00894	Prag.g_00613
OG0000143	Syao.g_00898	Prag.g_00617
OG0000145	Syao.g_00102	Prag.g_00758
OG0000146	Syao.g_00684, Syao.g_00304	Prag.g_00772
OG0000147	Syao.g_00305, Syao.g_00685	Prag.g_00773
OG0000148	Syao.g_00776	Prag.g_00822
OG0000149	Syao.g_00534	Prag.g_00851
OG0000150	Syao.g_01203	Prag.g_00859
OG0000151	Syao.g_00975	Prag.g_00916
OG0000152	Syao.g_00674	Prag.g_00964
OG0000153	Syao.g_00818, Syao.g_01176	Prag.g_00983
OG0000154	Syao.g_00447	Prag.g_01010
OG0000155	Syao.g_00178	Prag.g_01173
OG0000156	Syao.g_00151	Prag.g_01342
OG0000157	Syao.g_00152	Prag.g_01343
OG0000158	Syao.g_02267	Prag.g_01425
OG0000159	Syao.g_02276	Prag.g_01427
OG0000160	Syao.g_01488	Prag.g_01491
OG0000161	Syao.g_01494	Prag.g_01497
OG0000162	Syao.g_01515	Prag.g_01503
OG0000163	Syao.g_01745	Prag.g_01537
OG0000164	Syao.g_01663	Prag.g_01693
OG0000165	Syao.g_01655	Prag.g_01700
OG0000166	Syao.g_01790	Prag.g_01768
OG0000167	Syao.g_01960	Prag.g_01834
OG0000168	Syao.g_02128	Prag.g_01844
OG0000169	Syao.g_02139	Prag.g_01854
OG0000170	Syao.g_02148	Prag.g_01856
OG0000171	Syao.g_02181	Prag.g_01876
OG0000172	Syao.g_02170	Prag.g_01884
OG0000173	Syao.g_02212	Prag.g_01899
OG0000174	Syao.g_02364, Syao.g_02355	Prag.g_01927
OG0000175	Syao.g_02327, Syao.g_00308	Prag.g_01937
OG0000176	Syao.g_02165	Prag.g_00004
OG0000177	Syao.g_02156	Prag.g_00005
OG0000178	Syao.g_02155	Prag.g_00006
OG0000179	Syao.g_02250	Prag.g_00016
OG0000180	Syao.g_02249	Prag.g_00017
OG0000181	Syao.g_02248	Prag.g_00018
OG0000182	Syao.g_02247	Prag.g_00019
OG0000183	Syao.g_02243	Prag.g_00023
OG0000184	Syao.g_02423	Prag.g_00046
OG0000185	Syao.g_02410	Prag.g_00049
OG0000186	Syao.g_02613	Prag.g_00058
OG0000187	Syao.g_02615	Prag.g_00059
OG0000188	Syao.g_02637	Prag.g_00076
OG0000189	Syao.g_02672	Prag.g_00089
OG0000190	Syao.g_01015	Prag.g_00090
OG0000191	Syao.g_02573	Prag.g_00110
OG0000192	Syao.g_02579	Prag.g_00114
OG0000193	Syao.g_02481	Prag.g_00139
OG0000194	Syao.g_02484	Prag.g_00142
OG0000195	Syao.g_02486	Prag.g_00144
OG0000196	Syao.g_02498	Prag.g_00154
OG0000197	Syao.g_02499	Prag.g_00155
OG0000198	Syao.g_02500	Prag.g_00156
OG0000199	Syao.g_02508	Prag.g_00163
OG0000200	Syao.g_02524	Prag.g_00177
OG0000201	Syao.g_02540	Prag.g_00185
OG0000202	Syao.g_02454	Prag.g_00186
OG0000203	Syao.g_02455	Prag.g_00187
OG0000204	Syao.g_02456	Prag.g_00188
OG0000205	Syao.g_02464	Prag.g_00195
OG0000206	Syao.g_02469	Prag.g_00200
OG0000207	Syao.g_02471	Prag.g_00202
OG0000208	Syao.g_02472	Prag.g_00203
OG0000209	Syao.g_02394	Prag.g_00212
OG0000210	Syao.g_02395	Prag.g_00213
OG0000211	Syao.g_01700	Prag.g_00226
OG0000212	Syao.g_01710	Prag.g_00233
OG0000213	Syao.g_02098	Prag.g_00249
OG0000214	Syao.g_02081	Prag.g_00258
OG0000215	Syao.g_02050	Prag.g_00283
OG0000216	Syao.g_02045	Prag.g_00285
OG0000217	Syao.g_02041	Prag.g_00288
OG0000218	Syao.g_02039	Prag.g_00290
OG0000219	Syao.g_02038	Prag.g_00291
OG0000220	Syao.g_02037	Prag.g_00292
OG0000221	Syao.g_02034	Prag.g_00293
OG0000222	Syao.g_02023	Prag.g_00301
OG0000223	Syao.g_00291	Prag.g_00314
OG0000224	Syao.g_01973	Prag.g_00316
OG0000225	Syao.g_01751	Prag.g_00340
OG0000226	Syao.g_01758	Prag.g_00344
OG0000227	Syao.g_01760	Prag.g_00346
OG0000228	Syao.g_01715	Prag.g_00349
OG0000229	Syao.g_01736	Prag.g_00415
OG0000230	Syao.g_01738	Prag.g_00417
OG0000231	Syao.g_01513	Prag.g_00428
OG0000232	Syao.g_00057	Prag.g_00437
OG0000233	Syao.g_02698	Prag.g_00442
OG0000234	Syao.g_02680	Prag.g_00455
OG0000235	Syao.g_00029	Prag.g_00458
OG0000236	Syao.g_00111	Prag.g_00472
OG0000237	Syao.g_00166	Prag.g_00485
OG0000238	Syao.g_00161	Prag.g_00491
OG0000239	Syao.g_01398	Prag.g_00504
OG0000240	Syao.g_01399	Prag.g_00505
OG0000241	Syao.g_00887	Prag.g_00509
OG0000242	Syao.g_01410	Prag.g_00511
OG0000243	Syao.g_00873	Prag.g_00522
OG0000244	Syao.g_00865	Prag.g_00525
OG0000245	Syao.g_00863	Prag.g_00527
OG0000246	Syao.g_00859	Prag.g_00531
OG0000247	Syao.g_00847	Prag.g_00541
OG0000248	Syao.g_00844	Prag.g_00543
OG0000249	Syao.g_00842	Prag.g_00545
OG0000250	Syao.g_00835	Prag.g_00550
OG0000251	Syao.g_01026	Prag.g_00569
OG0000252	Syao.g_01020	Prag.g_00572
OG0000253	Syao.g_01003	Prag.g_00573
OG0000254	Syao.g_01053	Prag.g_00589
OG0000255	Syao.g_01009	Prag.g_00595
OG0000256	Syao.g_01328	Prag.g_00605
OG0000257	Syao.g_00884	Prag.g_00608
OG0000258	Syao.g_00907	Prag.g_00621
OG0000259	Syao.g_00933, Syao.g_00932	Prag.g_00638
OG0000260	Syao.g_00936	Prag.g_00641
OG0000261	Syao.g_00941	Prag.g_00643
OG0000262	Syao.g_00946	Prag.g_00647
OG0000263	Syao.g_00247	Prag.g_00659
OG0000264	Syao.g_00699	Prag.g_00669
OG0000265	Syao.g_00049	Prag.g_00692
OG0000266	Syao.g_00480	Prag.g_00702
OG0000267	Syao.g_00589	Prag.g_00713
OG0000268	Syao.g_00588	Prag.g_00714
OG0000269	Syao.g_00751	Prag.g_00801
OG0000270	Syao.g_00754	Prag.g_00804
OG0000271	Syao.g_00762	Prag.g_00812
OG0000272	Syao.g_00763	Prag.g_00813
OG0000273	Syao.g_00791	Prag.g_00835
OG0000274	Syao.g_00792	Prag.g_00836
OG0000275	Syao.g_00438	Prag.g_00838
OG0000276	Syao.g_00558	Prag.g_00843
OG0000277	Syao.g_00557	Prag.g_00844
OG0000278	Syao.g_00554	Prag.g_00847
OG0000279	Syao.g_00529	Prag.g_00854
OG0000280	Syao.g_00608	Prag.g_00855
OG0000281	Syao.g_01377	Prag.g_00860
OG0000282	Syao.g_00967	Prag.g_00908
OG0000283	Syao.g_00640	Prag.g_00941
OG0000284	Syao.g_00634	Prag.g_00946
OG0000285	Syao.g_00706	Prag.g_00951
OG0000286	Syao.g_00675	Prag.g_00963
OG0000287	Syao.g_00825	Prag.g_00980
OG0000288	Syao.g_00446	Prag.g_01009
OG0000289	Syao.g_00461	Prag.g_01020
OG0000290	Syao.g_00428	Prag.g_01033
OG0000291	Syao.g_00333	Prag.g_01035
OG0000292	Syao.g_02196	Prag.g_01085
OG0000293	Syao.g_00136	Prag.g_01144
OG0000294	Syao.g_00135	Prag.g_01145
OG0000295	Syao.g_00186	Prag.g_01165
OG0000296	Syao.g_00184	Prag.g_01167
OG0000299	Syao.g_00231	Prag.g_01193
OG0000301	Syao.g_00272, Syao.g_00273	Prag.g_01197
OG0000302	Syao.g_00271	Prag.g_01199
OG0000303	Syao.g_00262	Prag.g_01206
OG0000304	Syao.g_00256	Prag.g_01210
OG0000305	Syao.g_00388	Prag.g_01381
OG0000306	Syao.g_01216	Prag.g_01384
OG0000307	Syao.g_00045	Prag.g_01398
OG0000308	Syao.g_00047	Prag.g_01399
OG0000309	Syao.g_02705	Prag.g_01403
OG0000310	Syao.g_01530	Prag.g_01473
OG0000311	Syao.g_01533	Prag.g_01475
OG0000312	Syao.g_01538	Prag.g_01478
OG0000313	Syao.g_01491	Prag.g_01494
OG0000314	Syao.g_00078	Prag.g_01516
OG0000315	Syao.g_00088	Prag.g_01527
OG0000316	Syao.g_01602	Prag.g_01547
OG0000317	Syao.g_01560	Prag.g_01667
OG0000318	Syao.g_01553	Prag.g_01670
OG0000319	Syao.g_01678	Prag.g_01683
OG0000320	Syao.g_01676	Prag.g_01685
OG0000321	Syao.g_01675	Prag.g_01686
OG0000322	Syao.g_01674	Prag.g_01687
OG0000323	Syao.g_01661	Prag.g_01696
OG0000324	Syao.g_01630	Prag.g_01723
OG0000325	Syao.g_01936	Prag.g_01733
OG0000326	Syao.g_01918	Prag.g_01739
OG0000327	Syao.g_01795	Prag.g_01763
OG0000328	Syao.g_01794	Prag.g_01764
OG0000329	Syao.g_01776	Prag.g_01781
OG0000330	Syao.g_01775	Prag.g_01782
OG0000331	Syao.g_01774	Prag.g_01783
OG0000332	Syao.g_01813	Prag.g_01797
OG0000333	Syao.g_01810	Prag.g_01799
OG0000334	Syao.g_01836	Prag.g_01807
OG0000335	Syao.g_01831	Prag.g_01812
OG0000336	Syao.g_01827	Prag.g_01816
OG0000337	Syao.g_01968	Prag.g_01832
OG0000338	Syao.g_01962	Prag.g_01833
OG0000339	Syao.g_02259	Prag.g_01837
OG0000340	Syao.g_02129	Prag.g_01845
OG0000341	Syao.g_02131	Prag.g_01847
OG0000342	Syao.g_02132	Prag.g_01848
OG0000343	Syao.g_02133	Prag.g_01849
OG0000344	Syao.g_02137	Prag.g_01852
OG0000345	Syao.g_01953	Prag.g_01857
OG0000346	Syao.g_01948	Prag.g_01862
OG0000347	Syao.g_02178	Prag.g_01878
OG0000348	Syao.g_02166	Prag.g_01887
OG0000349	Syao.g_02219	Prag.g_01904
OG0000350	Syao.g_01925	Prag.g_01923
OG0000351	Syao.g_02331	Prag.g_01940
OG0000352	Syao.g_02332	Prag.g_01941
OG0000353	Syao.g_02160	Prag.g_01956
OG0000354	Syao.g_02252	Prag.g_01282
OG0000355	Syao.g_02162	Prag.g_00001
OG0000356	Syao.g_02163	Prag.g_00002
OG0000357	Syao.g_02164	Prag.g_00003
OG0000358	Syao.g_02154	Prag.g_00007
OG0000359	Syao.g_02152	Prag.g_00008
OG0000360	Syao.g_02151	Prag.g_00009
OG0000361	Syao.g_02150	Prag.g_00010
OG0000362	Syao.g_01954	Prag.g_00012
OG0000363	Syao.g_02255	Prag.g_00014
OG0000364	Syao.g_01558	Prag.g_00015
OG0000365	Syao.g_02246	Prag.g_00020
OG0000366	Syao.g_02245	Prag.g_00021
OG0000367	Syao.g_02244	Prag.g_00022
OG0000368	Syao.g_02242	Prag.g_00024
OG0000369	Syao.g_02241	Prag.g_00025
OG0000370	Syao.g_02240	Prag.g_00026
OG0000371	Syao.g_02231	Prag.g_00032
OG0000372	Syao.g_02226	Prag.g_00035
OG0000373	Syao.g_02225	Prag.g_00036
OG0000374	Syao.g_02224	Prag.g_00037
OG0000375	Syao.g_02223	Prag.g_00040
OG0000376	Syao.g_02221	Prag.g_00042
OG0000377	Syao.g_02429	Prag.g_00045
OG0000378	Syao.g_02414	Prag.g_00047
OG0000379	Syao.g_02409	Prag.g_00050
OG0000380	Syao.g_02616	Prag.g_00060
OG0000381	Syao.g_02618	Prag.g_00064
OG0000382	Syao.g_02636	Prag.g_00075
OG0000383	Syao.g_02643	Prag.g_00077
OG0000384	Syao.g_02644	Prag.g_00078
OG0000385	Syao.g_02645	Prag.g_00079
OG0000386	Syao.g_02646	Prag.g_00080
OG0000387	Syao.g_01019	Prag.g_00092
OG0000388	Syao.g_02596	Prag.g_00095
OG0000389	Syao.g_02599	Prag.g_00099
OG0000390	Syao.g_02567	Prag.g_00106
OG0000391	Syao.g_02572	Prag.g_00109
OG0000392	Syao.g_02578	Prag.g_00113
OG0000393	Syao.g_02581	Prag.g_00115
OG0000394	Syao.g_02582	Prag.g_00116
OG0000395	Syao.g_02583	Prag.g_00117
OG0000396	Syao.g_02586	Prag.g_00120
OG0000397	Syao.g_02542	Prag.g_00122
OG0000398	Syao.g_02547	Prag.g_00124
OG0000399	Syao.g_02548	Prag.g_00125
OG0000400	Syao.g_02549	Prag.g_00126
OG0000401	Syao.g_02550	Prag.g_00127
OG0000402	Syao.g_02552	Prag.g_00129
OG0000403	Syao.g_02553	Prag.g_00130
OG0000404	Syao.g_02554	Prag.g_00131
OG0000405	Syao.g_02478	Prag.g_00135
OG0000406	Syao.g_02482	Prag.g_00140
OG0000407	Syao.g_02483	Prag.g_00141
OG0000408	Syao.g_02485	Prag.g_00143
OG0000409	Syao.g_02487	Prag.g_00145
OG0000410	Syao.g_02488	Prag.g_00146
OG0000411	Syao.g_02489	Prag.g_00147
OG0000412	Syao.g_02490	Prag.g_00148
OG0000413	Syao.g_02492	Prag.g_00149
OG0000414	Syao.g_02493	Prag.g_00150
OG0000415	Syao.g_02494	Prag.g_00151
OG0000416	Syao.g_02495	Prag.g_00152
OG0000417	Syao.g_02497	Prag.g_00153
OG0000418	Syao.g_02502	Prag.g_00158
OG0000419	Syao.g_02504	Prag.g_00160
OG0000420	Syao.g_02506	Prag.g_00161
OG0000421	Syao.g_02510	Prag.g_00166
OG0000422	Syao.g_02511	Prag.g_00167
OG0000423	Syao.g_02512	Prag.g_00168
OG0000424	Syao.g_02513	Prag.g_00169
OG0000425	Syao.g_02514	Prag.g_00170
OG0000426	Syao.g_02515	Prag.g_00171
OG0000427	Syao.g_02516	Prag.g_00172
OG0000428	Syao.g_02519	Prag.g_00174
OG0000429	Syao.g_02522	Prag.g_00175
OG0000430	Syao.g_02523	Prag.g_00176
OG0000431	Syao.g_02526	Prag.g_00178
OG0000432	Syao.g_02532	Prag.g_00181
OG0000433	Syao.g_02534	Prag.g_00182
OG0000434	Syao.g_02535	Prag.g_00183
OG0000435	Syao.g_02538	Prag.g_00184
OG0000436	Syao.g_02458	Prag.g_00189
OG0000437	Syao.g_02459	Prag.g_00190
OG0000438	Syao.g_02460	Prag.g_00191
OG0000439	Syao.g_02462	Prag.g_00193
OG0000440	Syao.g_02463	Prag.g_00194
OG0000441	Syao.g_02466	Prag.g_00197
OG0000442	Syao.g_02467	Prag.g_00198
OG0000443	Syao.g_02468	Prag.g_00199
OG0000444	Syao.g_02473	Prag.g_00204
OG0000445	Syao.g_02474	Prag.g_00205
OG0000446	Syao.g_02476	Prag.g_00206
OG0000447	Syao.g_02383	Prag.g_00207
OG0000448	Syao.g_02384	Prag.g_00208
OG0000449	Syao.g_02385	Prag.g_00209
OG0000450	Syao.g_02391	Prag.g_00210
OG0000451	Syao.g_02392	Prag.g_00211
OG0000452	Syao.g_02396	Prag.g_00214
OG0000453	Syao.g_02397	Prag.g_00215
OG0000454	Syao.g_02398	Prag.g_00216
OG0000455	Syao.g_02399	Prag.g_00217
OG0000456	Syao.g_02400	Prag.g_00218
OG0000457	Syao.g_02402	Prag.g_00219
OG0000458	Syao.g_02403	Prag.g_00220
OG0000459	Syao.g_02404	Prag.g_00221
OG0000460	Syao.g_01702	Prag.g_00228
OG0000461	Syao.g_02119	Prag.g_00235
OG0000462	Syao.g_02116	Prag.g_00237
OG0000463	Syao.g_02115	Prag.g_00238
OG0000464	Syao.g_02114	Prag.g_00239
OG0000465	Syao.g_02112	Prag.g_00240
OG0000466	Syao.g_02107	Prag.g_00243
OG0000467	Syao.g_02106	Prag.g_00244
OG0000468	Syao.g_02102	Prag.g_00245
OG0000469	Syao.g_02087	Prag.g_00253
OG0000470	Syao.g_02085	Prag.g_00255
OG0000471	Syao.g_02084	Prag.g_00256
OG0000472	Syao.g_02082	Prag.g_00257
OG0000473	Syao.g_02080	Prag.g_00259
OG0000474	Syao.g_02079	Prag.g_00260
OG0000475	Syao.g_02078	Prag.g_00261
OG0000476	Syao.g_02076	Prag.g_00262
OG0000477	Syao.g_02069	Prag.g_00266
OG0000478	Syao.g_02068	Prag.g_00267
OG0000479	Syao.g_02067	Prag.g_00268
OG0000480	Syao.g_02060	Prag.g_00273
OG0000481	Syao.g_01012	Prag.g_00275
OG0000482	Syao.g_02058	Prag.g_00276
OG0000483	Syao.g_02054	Prag.g_00279
OG0000484	Syao.g_02053	Prag.g_00280
OG0000485	Syao.g_02052	Prag.g_00281
OG0000486	Syao.g_02051	Prag.g_00282
OG0000487	Syao.g_02044	Prag.g_00286
OG0000488	Syao.g_02040	Prag.g_00289
OG0000489	Syao.g_02033	Prag.g_00294
OG0000490	Syao.g_02025	Prag.g_00299
OG0000491	Syao.g_02024	Prag.g_00300
OG0000492	Syao.g_02022	Prag.g_00302
OG0000493	Syao.g_02021	Prag.g_00303
OG0000494	Syao.g_02020	Prag.g_00304
OG0000495	Syao.g_02018	Prag.g_00305
OG0000496	Syao.g_02017	Prag.g_00306
OG0000497	Syao.g_02016	Prag.g_00307
OG0000498	Syao.g_02015	Prag.g_00308
OG0000499	Syao.g_02014	Prag.g_00309
OG0000500	Syao.g_02013	Prag.g_00310
OG0000501	Syao.g_02010	Prag.g_00312
OG0000502	Syao.g_01974	Prag.g_00315
OG0000503	Syao.g_01877	Prag.g_00329
OG0000504	Syao.g_01875	Prag.g_00330
OG0000505	Syao.g_01874	Prag.g_00331
OG0000506	Syao.g_01872	Prag.g_00333
OG0000507	Syao.g_01866	Prag.g_00336
OG0000508	Syao.g_01750	Prag.g_00339
OG0000509	Syao.g_01755	Prag.g_00341
OG0000510	Syao.g_01756	Prag.g_00342
OG0000511	Syao.g_01757	Prag.g_00343
OG0000512	Syao.g_01759	Prag.g_00345
OG0000513	Syao.g_01720	Prag.g_00352
OG0000514	Syao.g_01727	Prag.g_00410
OG0000515	Syao.g_01728	Prag.g_00411
OG0000516	Syao.g_01730	Prag.g_00412
OG0000517	Syao.g_01735	Prag.g_00414
OG0000518	Syao.g_01621	Prag.g_00425
OG0000519	Syao.g_01622	Prag.g_00426
OG0000520	Syao.g_01512	Prag.g_00427
OG0000521	Syao.g_00061	Prag.g_00432
OG0000522	Syao.g_00059	Prag.g_00434
OG0000523	Syao.g_00058	Prag.g_00435
OG0000524	Syao.g_02699	Prag.g_00440
OG0000525	Syao.g_02691	Prag.g_00443
OG0000526	Syao.g_02688	Prag.g_00444
OG0000527	Syao.g_02684	Prag.g_00452
OG0000528	Syao.g_00031	Prag.g_00457
OG0000529	Syao.g_00027	Prag.g_00460
OG0000530	Syao.g_00122	Prag.g_00463
OG0000531	Syao.g_00121	Prag.g_00464
OG0000532	Syao.g_00118	Prag.g_00466
OG0000533	Syao.g_00116	Prag.g_00467
OG0000534	Syao.g_00115	Prag.g_00468
OG0000535	Syao.g_00114	Prag.g_00469
OG0000536	Syao.g_00113	Prag.g_00470
OG0000537	Syao.g_00112	Prag.g_00471
OG0000538	Syao.g_00100	Prag.g_00479
OG0000539	Syao.g_00099	Prag.g_00480
OG0000540	Syao.g_00098	Prag.g_00481
OG0000541	Syao.g_00097	Prag.g_00482
OG0000542	Syao.g_00167	Prag.g_00484
OG0000543	Syao.g_00165	Prag.g_00486
OG0000544	Syao.g_00164	Prag.g_00487
OG0000545	Syao.g_00162	Prag.g_00489
OG0000546	Syao.g_00160	Prag.g_00492
OG0000547	Syao.g_00158	Prag.g_00494
OG0000548	Syao.g_00157	Prag.g_00495
OG0000549	Syao.g_01391	Prag.g_00497
OG0000550	Syao.g_01396	Prag.g_00502
OG0000551	Syao.g_01401	Prag.g_00506
OG0000552	Syao.g_01402	Prag.g_00507
OG0000553	Syao.g_01404	Prag.g_00508
OG0000554	Syao.g_01413	Prag.g_00513
OG0000555	Syao.g_00875	Prag.g_00521
OG0000556	Syao.g_00871	Prag.g_00523
OG0000557	Syao.g_00866	Prag.g_00524
OG0000558	Syao.g_00864	Prag.g_00526
OG0000559	Syao.g_00860	Prag.g_00530
OG0000560	Syao.g_00857	Prag.g_00533
OG0000561	Syao.g_00856	Prag.g_00534
OG0000562	Syao.g_00855	Prag.g_00535
OG0000563	Syao.g_00854	Prag.g_00536
OG0000564	Syao.g_00853	Prag.g_00537
OG0000565	Syao.g_00849	Prag.g_00540
OG0000566	Syao.g_00845	Prag.g_00542
OG0000567	Syao.g_00841	Prag.g_00546
OG0000568	Syao.g_00839	Prag.g_00547
OG0000569	Syao.g_00838	Prag.g_00548
OG0000570	Syao.g_00837	Prag.g_00549
OG0000571	Syao.g_00834	Prag.g_00551
OG0000572	Syao.g_01033	Prag.g_00564
OG0000573	Syao.g_01022	Prag.g_00570
OG0000574	Syao.g_01021	Prag.g_00571
OG0000575	Syao.g_01000	Prag.g_00575
OG0000576	Syao.g_00996	Prag.g_00577
OG0000577	Syao.g_00995	Prag.g_00578
OG0000578	Syao.g_00994	Prag.g_00579
OG0000579	Syao.g_00993	Prag.g_00580
OG0000580	Syao.g_00992	Prag.g_00581
OG0000581	Syao.g_01059	Prag.g_00583
OG0000582	Syao.g_01204	Prag.g_00586
OG0000583	Syao.g_01205	Prag.g_00587
OG0000584	Syao.g_01206	Prag.g_00588
OG0000585	Syao.g_01054	Prag.g_00590
OG0000586	Syao.g_01055	Prag.g_00591
OG0000587	Syao.g_01057	Prag.g_00592
OG0000588	Syao.g_00406	Prag.g_00596
OG0000589	Syao.g_01342	Prag.g_00599
OG0000590	Syao.g_01341	Prag.g_00600
OG0000591	Syao.g_01330	Prag.g_00603
OG0000592	Syao.g_01329	Prag.g_00604
OG0000593	Syao.g_00890	Prag.g_00610
OG0000594	Syao.g_00891	Prag.g_00611
OG0000595	Syao.g_00892	Prag.g_00612
OG0000596	Syao.g_00897	Prag.g_00616
OG0000597	Syao.g_00900	Prag.g_00618
OG0000598	Syao.g_00901	Prag.g_00619
OG0000599	Syao.g_00908	Prag.g_00622
