Orthogroup	Syao	Prbc
OG0000053	Syao.g_00067	Prbc.g_00728
OG0000055	Syao.g_00498	Prbc.g_00907
OG0000058	Syao.g_01080	Prbc.g_01928
OG0000059	Syao.g_01959	Prbc.g_00958
OG0000061	Syao.g_00123	Prbc.g_01446
OG0000063	Syao.g_02230	Prbc.g_00932
OG0000065	Syao.g_02600	Prbc.g_00466
OG0000066	Syao.g_01422	Prbc.g_01618
OG0000067	Syao.g_00756	Prbc.g_01858
OG0000068	Syao.g_00868, Syao.g_00036	Prbc.g_00657
OG0000069	Syao.g_00313	Prbc.g_02181, Prbc.g_00752
OG0000070	Syao.g_00330	Prbc.g_01511
OG0000071	Syao.g_01433	Prbc.g_00566
OG0000072	Syao.g_02509, Syao.g_01749	Prbc.g_00400
OG0000073	Syao.g_00103	Prbc.g_01579
OG0000075	Syao.g_02257	Prbc.g_00236
OG0000076	Syao.g_01949	Prbc.g_00211
OG0000077	Syao.g_02629	Prbc.g_00495
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prbc.g_01148
OG0000082	Syao.g_01035	Prbc.g_00891
OG0000084	Syao.g_02606	Prbc.g_00705
OG0000085	Syao.g_01569	Prbc.g_00826
OG0000086	Syao.g_02653, Syao.g_01240	Prbc.g_00485
OG0000087	Syao.g_02555	Prbc.g_00432
OG0000088	Syao.g_02503	Prbc.g_00405
OG0000089	Syao.g_01716	Prbc.g_01268
OG0000090	Syao.g_01412	Prbc.g_01612
OG0000091	Syao.g_00902	Prbc.g_01719
OG0000092	Syao.g_00656	Prbc.g_01982, Prbc.g_01110, Prbc.g_00263
OG0000097	Syao.g_00973	Prbc.g_01400
OG0000098	Syao.g_01374	Prbc.g_00585
OG0000099	Syao.g_02019	Prbc.g_01229
OG0000100	Syao.g_00787	Prbc.g_00785
OG0000101	Syao.g_01840	Prbc.g_00284
OG0000102	Syao.g_01945	Prbc.g_00206
OG0000103	Syao.g_02340	Prbc.g_01053
OG0000104	Syao.g_02157	Prbc.g_01065
OG0000105	Syao.g_02071, Syao.g_02072	Prbc.g_01167
OG0000106	Syao.g_01385	Prbc.g_00134, Prbc.g_00641
OG0000107	Syao.g_01935	Prbc.g_00934
OG0000108	Syao.g_00028	Prbc.g_01540
OG0000109	Syao.g_00110	Prbc.g_01553
OG0000110	Syao.g_01051	Prbc.g_01654
OG0000111	Syao.g_00378	Prbc.g_01781
OG0000112	Syao.g_00683, Syao.g_00303	Prbc.g_02028
OG0000113	Syao.g_00782	Prbc.g_01882, Prbc.g_00153
OG0000114	Syao.g_00965	Prbc.g_01977
OG0000115	Syao.g_00065, Syao.g_01464	Prbc.g_00801
OG0000116	Syao.g_00137	Prbc.g_01457
OG0000117	Syao.g_00169	Prbc.g_00102
OG0000118	Syao.g_01475	Prbc.g_00577
OG0000120	Syao.g_02009	Prbc.g_01753
OG0000121	Syao.g_01489	Prbc.g_00711
OG0000122	Syao.g_01247	Prbc.g_00750
OG0000123	Syao.g_01832	Prbc.g_00277
OG0000124	Syao.g_02179	Prbc.g_00193
OG0000125	Syao.g_02444	Prbc.g_00997
OG0000126	Syao.g_02198	Prbc.g_01063
OG0000127	Syao.g_01312	Prbc.g_00002, Prbc.g_00016
OG0000127	Syao.g_02375, Syao.g_01143	Prbc.g_01367
OG0000128	Syao.g_02149	Prbc.g_01081
OG0000129	Syao.g_02434	Prbc.g_01122
OG0000130	Syao.g_02617	Prbc.g_00504
OG0000131	Syao.g_02480	Prbc.g_00426
OG0000132	Syao.g_02501	Prbc.g_00407
OG0000133	Syao.g_00678	Prbc.g_01214
OG0000134	Syao.g_01719	Prbc.g_01270
OG0000135	Syao.g_00147	Prbc.g_02198, Prbc.g_02183
OG0000136	Syao.g_01614, Syao.g_01613	Prbc.g_01502
OG0000137	Syao.g_02682	Prbc.g_01534
OG0000138	Syao.g_00108	Prbc.g_01554
OG0000139	Syao.g_02005	Prbc.g_01616
OG0000140	Syao.g_01373, Syao.g_01372	Prbc.g_01617
OG0000141	Syao.g_01202	Prbc.g_01684
OG0000142	Syao.g_00894	Prbc.g_01712
OG0000143	Syao.g_00898	Prbc.g_01716
OG0000145	Syao.g_00102	Prbc.g_02142
OG0000146	Syao.g_00684, Syao.g_00304	Prbc.g_02027
OG0000147	Syao.g_00305, Syao.g_00685	Prbc.g_02026
OG0000148	Syao.g_00776	Prbc.g_01876
OG0000149	Syao.g_00534	Prbc.g_01908
OG0000150	Syao.g_01203	Prbc.g_01916
OG0000151	Syao.g_00975	Prbc.g_01988
OG0000152	Syao.g_00674	Prbc.g_02036
OG0000153	Syao.g_00818, Syao.g_01176	Prbc.g_02054
OG0000154	Syao.g_00447	Prbc.g_02083
OG0000155	Syao.g_00178	Prbc.g_01424
OG0000156	Syao.g_00151	Prbc.g_00555
OG0000157	Syao.g_00152	Prbc.g_00556
OG0000158	Syao.g_02267	Prbc.g_00228
OG0000160	Syao.g_01488	Prbc.g_00710
OG0000161	Syao.g_01494	Prbc.g_00716
OG0000162	Syao.g_01515	Prbc.g_00722
OG0000163	Syao.g_01745	Prbc.g_00758
OG0000164	Syao.g_01663	Prbc.g_00854
OG0000165	Syao.g_01655	Prbc.g_00862
OG0000166	Syao.g_01790	Prbc.g_00321
OG0000167	Syao.g_01960	Prbc.g_00238
OG0000168	Syao.g_02128	Prbc.g_00227
OG0000169	Syao.g_02139	Prbc.g_00217
OG0000170	Syao.g_02148	Prbc.g_00215
OG0000171	Syao.g_02181	Prbc.g_00194
OG0000172	Syao.g_02170	Prbc.g_00967
OG0000173	Syao.g_02212	Prbc.g_00982
OG0000174	Syao.g_02364, Syao.g_02355	Prbc.g_01013
OG0000175	Syao.g_02327, Syao.g_00308	Prbc.g_01044
OG0000176	Syao.g_02165	Prbc.g_01074
OG0000177	Syao.g_02156	Prbc.g_01075
OG0000178	Syao.g_02155	Prbc.g_01076
OG0000179	Syao.g_02250	Prbc.g_01086
OG0000180	Syao.g_02249	Prbc.g_01087
OG0000181	Syao.g_02248	Prbc.g_01088
OG0000182	Syao.g_02247	Prbc.g_01089
OG0000183	Syao.g_02243	Prbc.g_01093
OG0000184	Syao.g_02423	Prbc.g_01124
OG0000185	Syao.g_02410	Prbc.g_01127
OG0000186	Syao.g_02613	Prbc.g_00509
OG0000187	Syao.g_02615	Prbc.g_00508
OG0000188	Syao.g_02637	Prbc.g_00491
OG0000189	Syao.g_02672	Prbc.g_00477
OG0000190	Syao.g_01015	Prbc.g_00476
OG0000191	Syao.g_02573	Prbc.g_00453
OG0000192	Syao.g_02579	Prbc.g_00449
OG0000193	Syao.g_02481	Prbc.g_00425
OG0000194	Syao.g_02484	Prbc.g_00422
OG0000195	Syao.g_02486	Prbc.g_00420
OG0000196	Syao.g_02498	Prbc.g_00410
OG0000197	Syao.g_02499	Prbc.g_00409
OG0000198	Syao.g_02500	Prbc.g_00408
OG0000199	Syao.g_02508	Prbc.g_00401
OG0000200	Syao.g_02524	Prbc.g_00388
OG0000201	Syao.g_02540	Prbc.g_00379
OG0000202	Syao.g_02454	Prbc.g_00378
OG0000203	Syao.g_02455	Prbc.g_00377
OG0000204	Syao.g_02456	Prbc.g_00376
OG0000205	Syao.g_02464	Prbc.g_00369
OG0000206	Syao.g_02469	Prbc.g_00365
OG0000207	Syao.g_02471	Prbc.g_00363
OG0000208	Syao.g_02472	Prbc.g_00362
OG0000209	Syao.g_02394	Prbc.g_00352
OG0000210	Syao.g_02395	Prbc.g_00351
OG0000211	Syao.g_01700	Prbc.g_00337
OG0000212	Syao.g_01710	Prbc.g_00329
OG0000213	Syao.g_02098	Prbc.g_01153
OG0000214	Syao.g_02081	Prbc.g_01161
OG0000215	Syao.g_02050	Prbc.g_01185
OG0000216	Syao.g_02045	Prbc.g_01186
OG0000217	Syao.g_02041	Prbc.g_01189
OG0000218	Syao.g_02039	Prbc.g_01191
OG0000219	Syao.g_02038	Prbc.g_01192
OG0000220	Syao.g_02037	Prbc.g_01193
OG0000221	Syao.g_02034	Prbc.g_01194
OG0000222	Syao.g_02023	Prbc.g_01202
OG0000223	Syao.g_00291	Prbc.g_01215
OG0000224	Syao.g_01973	Prbc.g_01217
OG0000225	Syao.g_01751	Prbc.g_01257
OG0000226	Syao.g_01758	Prbc.g_01261
OG0000227	Syao.g_01760	Prbc.g_01263
OG0000228	Syao.g_01715	Prbc.g_01267
OG0000229	Syao.g_01736	Prbc.g_01497
OG0000230	Syao.g_01738	Prbc.g_01499
OG0000231	Syao.g_01513	Prbc.g_01510
OG0000232	Syao.g_00057	Prbc.g_01518
OG0000233	Syao.g_02698	Prbc.g_01526
OG0000234	Syao.g_02680	Prbc.g_01535
OG0000235	Syao.g_00029	Prbc.g_01539
OG0000236	Syao.g_00111	Prbc.g_01552
OG0000237	Syao.g_00166	Prbc.g_01586
OG0000238	Syao.g_00161	Prbc.g_01592
OG0000239	Syao.g_01398	Prbc.g_01604
OG0000240	Syao.g_01399	Prbc.g_01605
OG0000241	Syao.g_00887	Prbc.g_01609
OG0000242	Syao.g_01410	Prbc.g_01611
OG0000243	Syao.g_00873	Prbc.g_01622
OG0000244	Syao.g_00865	Prbc.g_01626
OG0000245	Syao.g_00863	Prbc.g_01628
OG0000246	Syao.g_00859	Prbc.g_01632
OG0000247	Syao.g_00847	Prbc.g_01642
OG0000248	Syao.g_00844	Prbc.g_01644
OG0000249	Syao.g_00842	Prbc.g_01646
OG0000250	Syao.g_00835	Prbc.g_01651
OG0000251	Syao.g_01026	Prbc.g_01667
OG0000252	Syao.g_01020	Prbc.g_01669
OG0000253	Syao.g_01003	Prbc.g_01671
OG0000254	Syao.g_01053	Prbc.g_01688
OG0000255	Syao.g_01009	Prbc.g_01694
OG0000256	Syao.g_01328	Prbc.g_01704
OG0000257	Syao.g_00884	Prbc.g_01707
OG0000258	Syao.g_00907	Prbc.g_01720
OG0000259	Syao.g_00933, Syao.g_00932	Prbc.g_01737
OG0000260	Syao.g_00936	Prbc.g_01740
OG0000261	Syao.g_00941	Prbc.g_01743
OG0000262	Syao.g_00946	Prbc.g_01748
OG0000263	Syao.g_00247	Prbc.g_01762
OG0000264	Syao.g_00699	Prbc.g_01773
OG0000265	Syao.g_00049	Prbc.g_01787
OG0000266	Syao.g_00480	Prbc.g_01797
OG0000267	Syao.g_00589	Prbc.g_01810
OG0000268	Syao.g_00588	Prbc.g_01811
OG0000269	Syao.g_00751	Prbc.g_01853
OG0000270	Syao.g_00754	Prbc.g_01856
OG0000271	Syao.g_00762	Prbc.g_01864
OG0000272	Syao.g_00763	Prbc.g_01865
OG0000273	Syao.g_00791	Prbc.g_01890
OG0000274	Syao.g_00792	Prbc.g_01891
OG0000275	Syao.g_00438	Prbc.g_01893
OG0000276	Syao.g_00558	Prbc.g_01899
OG0000277	Syao.g_00557	Prbc.g_01900
OG0000278	Syao.g_00554	Prbc.g_01904
OG0000279	Syao.g_00529	Prbc.g_01911
OG0000280	Syao.g_00608	Prbc.g_00068
OG0000281	Syao.g_01377	Prbc.g_01917
OG0000282	Syao.g_00967	Prbc.g_01979
OG0000283	Syao.g_00640	Prbc.g_02010
OG0000284	Syao.g_00634	Prbc.g_02015
OG0000285	Syao.g_00706	Prbc.g_02020
OG0000286	Syao.g_00675	Prbc.g_02035
OG0000287	Syao.g_00825	Prbc.g_02190
OG0000288	Syao.g_00446	Prbc.g_02082
OG0000289	Syao.g_00461	Prbc.g_02094
OG0000290	Syao.g_00428	Prbc.g_02110
OG0000291	Syao.g_00333	Prbc.g_02112
OG0000292	Syao.g_02196	Prbc.g_00173
OG0000293	Syao.g_00136	Prbc.g_01456
OG0000294	Syao.g_00135	Prbc.g_01455
OG0000295	Syao.g_00186	Prbc.g_01431
OG0000296	Syao.g_00184	Prbc.g_01429
OG0000299	Syao.g_00231	Prbc.g_01401
OG0000301	Syao.g_00272, Syao.g_00273	Prbc.g_01397
OG0000302	Syao.g_00271	Prbc.g_01395
OG0000303	Syao.g_00262	Prbc.g_01390
OG0000304	Syao.g_00256	Prbc.g_01387
OG0000305	Syao.g_00388	Prbc.g_00810
OG0000306	Syao.g_01216	Prbc.g_01921
OG0000307	Syao.g_00045	Prbc.g_00666
OG0000308	Syao.g_00047	Prbc.g_00667
OG0000309	Syao.g_02705	Prbc.g_00671
OG0000310	Syao.g_01530	Prbc.g_00693
OG0000311	Syao.g_01533	Prbc.g_00695
OG0000312	Syao.g_01538	Prbc.g_00698
OG0000313	Syao.g_01491	Prbc.g_00713
OG0000314	Syao.g_00078	Prbc.g_00734
OG0000315	Syao.g_00088	Prbc.g_00744
OG0000316	Syao.g_01602	Prbc.g_00768
OG0000317	Syao.g_01560	Prbc.g_00830
OG0000318	Syao.g_01553	Prbc.g_00833
OG0000319	Syao.g_01678	Prbc.g_00844
OG0000320	Syao.g_01676	Prbc.g_00846
OG0000321	Syao.g_01675	Prbc.g_00847
OG0000322	Syao.g_01674	Prbc.g_00848
OG0000323	Syao.g_01661	Prbc.g_00857
OG0000324	Syao.g_01630	Prbc.g_00884
OG0000325	Syao.g_01936	Prbc.g_00935
OG0000326	Syao.g_01918	Prbc.g_00941
OG0000327	Syao.g_01795	Prbc.g_00326
OG0000328	Syao.g_01794	Prbc.g_00325
OG0000329	Syao.g_01776	Prbc.g_00308
OG0000330	Syao.g_01775	Prbc.g_00307
OG0000331	Syao.g_01774	Prbc.g_00306
OG0000332	Syao.g_01813	Prbc.g_00292
OG0000333	Syao.g_01810	Prbc.g_00290
OG0000334	Syao.g_01836	Prbc.g_00281
OG0000335	Syao.g_01831	Prbc.g_00276
OG0000336	Syao.g_01827	Prbc.g_00272
OG0000337	Syao.g_01968	Prbc.g_00241
OG0000338	Syao.g_01962	Prbc.g_00240
OG0000339	Syao.g_02259	Prbc.g_00235
OG0000340	Syao.g_02129	Prbc.g_00226
OG0000341	Syao.g_02131	Prbc.g_00224
OG0000342	Syao.g_02132	Prbc.g_00223
OG0000343	Syao.g_02133	Prbc.g_00222
OG0000344	Syao.g_02137	Prbc.g_00219
OG0000345	Syao.g_01953	Prbc.g_00214
OG0000346	Syao.g_01948	Prbc.g_00210
OG0000347	Syao.g_02178	Prbc.g_00190
OG0000348	Syao.g_02166	Prbc.g_00970
OG0000349	Syao.g_02219	Prbc.g_00988
OG0000350	Syao.g_01925	Prbc.g_01009
OG0000351	Syao.g_02331	Prbc.g_01047
OG0000352	Syao.g_02332	Prbc.g_01048
OG0000353	Syao.g_02160	Prbc.g_01068
OG0000355	Syao.g_02162	Prbc.g_01071
OG0000356	Syao.g_02163	Prbc.g_01072
OG0000357	Syao.g_02164	Prbc.g_01073
OG0000358	Syao.g_02154	Prbc.g_01077
OG0000359	Syao.g_02152	Prbc.g_01078
OG0000360	Syao.g_02151	Prbc.g_01079
OG0000361	Syao.g_02150	Prbc.g_01080
OG0000362	Syao.g_01954	Prbc.g_01082
OG0000363	Syao.g_02255	Prbc.g_01084
OG0000364	Syao.g_01558	Prbc.g_01085
OG0000365	Syao.g_02246	Prbc.g_01090
OG0000366	Syao.g_02245	Prbc.g_01091
OG0000367	Syao.g_02244	Prbc.g_01092
OG0000368	Syao.g_02242	Prbc.g_01094
OG0000369	Syao.g_02241	Prbc.g_01095
OG0000370	Syao.g_02240	Prbc.g_01096
OG0000371	Syao.g_02231	Prbc.g_01102
OG0000372	Syao.g_02226	Prbc.g_01104
OG0000373	Syao.g_02225	Prbc.g_01105
OG0000374	Syao.g_02224	Prbc.g_01106
OG0000375	Syao.g_02223	Prbc.g_01118
OG0000376	Syao.g_02221	Prbc.g_01120
OG0000377	Syao.g_02429	Prbc.g_01123
OG0000378	Syao.g_02414	Prbc.g_01125
OG0000379	Syao.g_02409	Prbc.g_01128
OG0000380	Syao.g_02616	Prbc.g_00507
OG0000381	Syao.g_02618	Prbc.g_00503
OG0000382	Syao.g_02636	Prbc.g_00492
OG0000383	Syao.g_02643	Prbc.g_00490
OG0000384	Syao.g_02644	Prbc.g_00489
OG0000385	Syao.g_02645	Prbc.g_00488
OG0000386	Syao.g_02646	Prbc.g_00487
OG0000387	Syao.g_01019	Prbc.g_00474
OG0000388	Syao.g_02596	Prbc.g_00470
OG0000389	Syao.g_02599	Prbc.g_00467
OG0000390	Syao.g_02567	Prbc.g_00458
OG0000391	Syao.g_02572	Prbc.g_00454
OG0000392	Syao.g_02578	Prbc.g_00451
OG0000393	Syao.g_02581	Prbc.g_00448
OG0000394	Syao.g_02582	Prbc.g_00447
OG0000395	Syao.g_02583	Prbc.g_00446
OG0000396	Syao.g_02586	Prbc.g_00443
OG0000397	Syao.g_02542	Prbc.g_00441
OG0000398	Syao.g_02547	Prbc.g_00438
OG0000399	Syao.g_02548	Prbc.g_00437
OG0000400	Syao.g_02549	Prbc.g_00436
OG0000401	Syao.g_02550	Prbc.g_00435
OG0000402	Syao.g_02552	Prbc.g_02145
OG0000403	Syao.g_02553	Prbc.g_00434
OG0000404	Syao.g_02554	Prbc.g_00433
OG0000405	Syao.g_02478	Prbc.g_00428
OG0000406	Syao.g_02482	Prbc.g_00424
OG0000407	Syao.g_02483	Prbc.g_00423
OG0000408	Syao.g_02485	Prbc.g_00421
OG0000409	Syao.g_02487	Prbc.g_00419
OG0000410	Syao.g_02488	Prbc.g_00418
OG0000411	Syao.g_02489	Prbc.g_00417
OG0000412	Syao.g_02490	Prbc.g_00416
OG0000413	Syao.g_02492	Prbc.g_00415
OG0000414	Syao.g_02493	Prbc.g_00414
OG0000415	Syao.g_02494	Prbc.g_00413
OG0000416	Syao.g_02495	Prbc.g_00412
OG0000417	Syao.g_02497	Prbc.g_00411
OG0000418	Syao.g_02502	Prbc.g_00406
OG0000419	Syao.g_02504	Prbc.g_00404
OG0000420	Syao.g_02506	Prbc.g_00403
OG0000421	Syao.g_02510	Prbc.g_00399
OG0000422	Syao.g_02511	Prbc.g_00398
OG0000423	Syao.g_02512	Prbc.g_00397
OG0000424	Syao.g_02513	Prbc.g_00396
OG0000425	Syao.g_02514	Prbc.g_00395
OG0000426	Syao.g_02515	Prbc.g_00394
OG0000427	Syao.g_02516	Prbc.g_00393
OG0000428	Syao.g_02519	Prbc.g_00391
OG0000429	Syao.g_02522	Prbc.g_00390
OG0000430	Syao.g_02523	Prbc.g_00389
OG0000431	Syao.g_02526	Prbc.g_00387
OG0000432	Syao.g_02532	Prbc.g_00383
OG0000433	Syao.g_02534	Prbc.g_00382
OG0000434	Syao.g_02535	Prbc.g_00381
OG0000435	Syao.g_02538	Prbc.g_00380
OG0000436	Syao.g_02458	Prbc.g_00375
OG0000437	Syao.g_02459	Prbc.g_00374
OG0000438	Syao.g_02460	Prbc.g_00373
OG0000439	Syao.g_02462	Prbc.g_00371
OG0000440	Syao.g_02463	Prbc.g_00370
OG0000441	Syao.g_02466	Prbc.g_00368
OG0000442	Syao.g_02467	Prbc.g_00367
OG0000443	Syao.g_02468	Prbc.g_00366
OG0000444	Syao.g_02473	Prbc.g_00361
OG0000445	Syao.g_02474	Prbc.g_00360
OG0000446	Syao.g_02476	Prbc.g_00358
OG0000447	Syao.g_02383	Prbc.g_00357
OG0000448	Syao.g_02384	Prbc.g_00356
OG0000449	Syao.g_02385	Prbc.g_00355
OG0000450	Syao.g_02391	Prbc.g_00354
OG0000451	Syao.g_02392	Prbc.g_00353
OG0000452	Syao.g_02396	Prbc.g_00350
OG0000453	Syao.g_02397	Prbc.g_00349
OG0000454	Syao.g_02398	Prbc.g_00348
OG0000455	Syao.g_02399	Prbc.g_00347
OG0000456	Syao.g_02400	Prbc.g_00346
OG0000457	Syao.g_02402	Prbc.g_00345
OG0000458	Syao.g_02403	Prbc.g_00344
OG0000459	Syao.g_02404	Prbc.g_00343
OG0000460	Syao.g_01702	Prbc.g_00335
OG0000461	Syao.g_02119	Prbc.g_01140
OG0000462	Syao.g_02116	Prbc.g_01142
OG0000463	Syao.g_02115	Prbc.g_01143
OG0000464	Syao.g_02114	Prbc.g_01144
OG0000465	Syao.g_02112	Prbc.g_01145
OG0000466	Syao.g_02107	Prbc.g_01146
OG0000467	Syao.g_02106	Prbc.g_01147
OG0000468	Syao.g_02102	Prbc.g_01149
OG0000469	Syao.g_02087	Prbc.g_01156
OG0000470	Syao.g_02085	Prbc.g_01158
OG0000471	Syao.g_02084	Prbc.g_01159
OG0000472	Syao.g_02082	Prbc.g_01160
OG0000473	Syao.g_02080	Prbc.g_01162
OG0000474	Syao.g_02079	Prbc.g_01163
OG0000475	Syao.g_02078	Prbc.g_01164
OG0000476	Syao.g_02076	Prbc.g_01166
OG0000477	Syao.g_02069	Prbc.g_01168
OG0000478	Syao.g_02068	Prbc.g_01169
OG0000479	Syao.g_02067	Prbc.g_01170
OG0000480	Syao.g_02060	Prbc.g_01175
OG0000481	Syao.g_01012	Prbc.g_01177
OG0000482	Syao.g_02058	Prbc.g_01178
OG0000483	Syao.g_02054	Prbc.g_01181
OG0000484	Syao.g_02053	Prbc.g_01182
OG0000485	Syao.g_02052	Prbc.g_01183
OG0000486	Syao.g_02051	Prbc.g_01184
OG0000487	Syao.g_02044	Prbc.g_01187
OG0000488	Syao.g_02040	Prbc.g_01190
OG0000489	Syao.g_02033	Prbc.g_01195
OG0000490	Syao.g_02025	Prbc.g_01200
OG0000491	Syao.g_02024	Prbc.g_01201
OG0000492	Syao.g_02022	Prbc.g_01203
OG0000493	Syao.g_02021	Prbc.g_01204
OG0000494	Syao.g_02020	Prbc.g_01205
OG0000495	Syao.g_02018	Prbc.g_01206
OG0000496	Syao.g_02017	Prbc.g_01207
OG0000497	Syao.g_02016	Prbc.g_01208
OG0000498	Syao.g_02015	Prbc.g_01209
OG0000499	Syao.g_02014	Prbc.g_01210
OG0000500	Syao.g_02013	Prbc.g_01211
OG0000501	Syao.g_02010	Prbc.g_01213
OG0000502	Syao.g_01974	Prbc.g_01216
OG0000503	Syao.g_01877	Prbc.g_01246
OG0000504	Syao.g_01875	Prbc.g_01248
OG0000505	Syao.g_01874	Prbc.g_01249
OG0000506	Syao.g_01872	Prbc.g_01250
OG0000507	Syao.g_01866	Prbc.g_01253
OG0000508	Syao.g_01750	Prbc.g_01256
OG0000509	Syao.g_01755	Prbc.g_01258
OG0000510	Syao.g_01756	Prbc.g_01259
OG0000511	Syao.g_01757	Prbc.g_01260
OG0000512	Syao.g_01759	Prbc.g_01262
OG0000513	Syao.g_01720	Prbc.g_01271
OG0000514	Syao.g_01727	Prbc.g_01492
OG0000515	Syao.g_01728	Prbc.g_01493
OG0000516	Syao.g_01730	Prbc.g_01494
OG0000517	Syao.g_01735	Prbc.g_01496
OG0000518	Syao.g_01621	Prbc.g_01507
OG0000519	Syao.g_01622	Prbc.g_01508
OG0000520	Syao.g_01512	Prbc.g_01509
OG0000521	Syao.g_00061	Prbc.g_01514
OG0000522	Syao.g_00059	Prbc.g_01516
OG0000523	Syao.g_00058	Prbc.g_01517
OG0000524	Syao.g_02699	Prbc.g_01524
OG0000525	Syao.g_02691	Prbc.g_01528
OG0000526	Syao.g_02688	Prbc.g_01529
OG0000527	Syao.g_02684	Prbc.g_01532
OG0000528	Syao.g_00031	Prbc.g_01538
OG0000529	Syao.g_00027	Prbc.g_01541
OG0000530	Syao.g_00122	Prbc.g_01544
OG0000531	Syao.g_00121	Prbc.g_01545
OG0000532	Syao.g_00118	Prbc.g_01546
OG0000533	Syao.g_00116	Prbc.g_01547
OG0000534	Syao.g_00115	Prbc.g_01548
OG0000535	Syao.g_00114	Prbc.g_01549
OG0000536	Syao.g_00113	Prbc.g_01550
OG0000537	Syao.g_00112	Prbc.g_01551
OG0000538	Syao.g_00100	Prbc.g_01580
OG0000539	Syao.g_00099	Prbc.g_01581
OG0000540	Syao.g_00098	Prbc.g_01582
OG0000541	Syao.g_00097	Prbc.g_01583
OG0000542	Syao.g_00167	Prbc.g_01585
OG0000543	Syao.g_00165	Prbc.g_01587
OG0000544	Syao.g_00164	Prbc.g_01588
OG0000545	Syao.g_00162	Prbc.g_01590
OG0000546	Syao.g_00160	Prbc.g_01593
OG0000547	Syao.g_00158	Prbc.g_01595
OG0000548	Syao.g_00157	Prbc.g_01596
OG0000549	Syao.g_01391	Prbc.g_01599
OG0000550	Syao.g_01396	Prbc.g_01603
OG0000551	Syao.g_01401	Prbc.g_01606
OG0000552	Syao.g_01402	Prbc.g_01607
OG0000553	Syao.g_01404	Prbc.g_01608
OG0000554	Syao.g_01413	Prbc.g_01613
OG0000555	Syao.g_00875	Prbc.g_01621
OG0000556	Syao.g_00871	Prbc.g_01623
OG0000557	Syao.g_00866	Prbc.g_01624
OG0000558	Syao.g_00864	Prbc.g_01627
OG0000559	Syao.g_00860	Prbc.g_01631
OG0000560	Syao.g_00857	Prbc.g_01634
OG0000561	Syao.g_00856	Prbc.g_01635
OG0000562	Syao.g_00855	Prbc.g_01636
OG0000563	Syao.g_00854	Prbc.g_01637
OG0000564	Syao.g_00853	Prbc.g_01638
OG0000565	Syao.g_00849	Prbc.g_01641
OG0000566	Syao.g_00845	Prbc.g_01643
OG0000567	Syao.g_00841	Prbc.g_01647
OG0000568	Syao.g_00839	Prbc.g_01648
OG0000569	Syao.g_00838	Prbc.g_01649
