Orthogroup	Syao	Prah
OG0000120	Syao.g_02009	Prah.g_02192
OG0000121	Syao.g_01489	Prah.g_00406
OG0000122	Syao.g_01247	Prah.g_01203
OG0000123	Syao.g_01832	Prah.g_01987
OG0000124	Syao.g_02179	Prah.g_00125
OG0000125	Syao.g_02444	Prah.g_02498
OG0000126	Syao.g_02198	Prah.g_02598
OG0000127	Syao.g_01312	Prah.g_01083
OG0000128	Syao.g_02149	Prah.g_00013
OG0000129	Syao.g_02434	Prah.g_02486
OG0000130	Syao.g_02617	Prah.g_01838
OG0000131	Syao.g_02480	Prah.g_02282
OG0000132	Syao.g_02501	Prah.g_02302
OG0000133	Syao.g_00678	Prah.g_02187
OG0000134	Syao.g_01719	Prah.g_00208
OG0000135	Syao.g_00147	Prah.g_02538
OG0000136	Syao.g_01614, Syao.g_01613	Prah.g_00235
OG0000137	Syao.g_02682	Prah.g_00105, Prah.g_00312
OG0000138	Syao.g_00108	Prah.g_01549
OG0000139	Syao.g_02005	Prah.g_01495
OG0000140	Syao.g_01373, Syao.g_01372	Prah.g_01489
OG0000141	Syao.g_01202	Prah.g_01393
OG0000142	Syao.g_00894	Prah.g_00501
OG0000143	Syao.g_00898	Prah.g_00497
OG0000145	Syao.g_00102	Prah.g_01543
OG0000146	Syao.g_00684, Syao.g_00304	Prah.g_00787
OG0000147	Syao.g_00305, Syao.g_00685	Prah.g_00786
OG0000148	Syao.g_00776	Prah.g_00649
OG0000149	Syao.g_00534	Prah.g_00591
OG0000150	Syao.g_01203	Prah.g_00568
OG0000151	Syao.g_00975	Prah.g_00718
OG0000152	Syao.g_00674	Prah.g_00796
OG0000153	Syao.g_00818, Syao.g_01176	Prah.g_00826
OG0000154	Syao.g_00447	Prah.g_00852
OG0000155	Syao.g_00178	Prah.g_01291
OG0000156	Syao.g_00151	Prah.g_01349
OG0000157	Syao.g_00152	Prah.g_01350
OG0000158	Syao.g_02267	Prah.g_02242
OG0000160	Syao.g_01488	Prah.g_00407
OG0000161	Syao.g_01494	Prah.g_00399
OG0000162	Syao.g_01515	Prah.g_00391
OG0000163	Syao.g_01745	Prah.g_01619
OG0000164	Syao.g_01663	Prah.g_01705
OG0000165	Syao.g_01655	Prah.g_01716
OG0000166	Syao.g_01790	Prah.g_02033
OG0000167	Syao.g_01960	Prah.g_02230
OG0000168	Syao.g_02128	Prah.g_02243
OG0000169	Syao.g_02139	Prah.g_00163
OG0000170	Syao.g_02148	Prah.g_00155
OG0000171	Syao.g_02181	Prah.g_00126
OG0000172	Syao.g_02170	Prah.g_00084
OG0000173	Syao.g_02212	Prah.g_00061
OG0000174	Syao.g_02364, Syao.g_02355	Prah.g_02541
OG0000175	Syao.g_02327, Syao.g_00308	Prah.g_02575
OG0000176	Syao.g_02165	Prah.g_00005
OG0000177	Syao.g_02156	Prah.g_00006
OG0000178	Syao.g_02155	Prah.g_00007
OG0000179	Syao.g_02250	Prah.g_00022
OG0000180	Syao.g_02249	Prah.g_00023
OG0000181	Syao.g_02248	Prah.g_00024
OG0000182	Syao.g_02247	Prah.g_00025
OG0000183	Syao.g_02243	Prah.g_00029
OG0000184	Syao.g_02423	Prah.g_02478
OG0000185	Syao.g_02410	Prah.g_02458
OG0000186	Syao.g_02613	Prah.g_01830
OG0000187	Syao.g_02615	Prah.g_01833
OG0000188	Syao.g_02637	Prah.g_01860
OG0000189	Syao.g_02672	Prah.g_01884
OG0000190	Syao.g_01015	Prah.g_01886
OG0000191	Syao.g_02573	Prah.g_00188
OG0000192	Syao.g_02579	Prah.g_00176, Prah.g_00180
OG0000193	Syao.g_02481	Prah.g_02283
OG0000194	Syao.g_02484	Prah.g_02286
OG0000196	Syao.g_02498	Prah.g_02299
OG0000197	Syao.g_02499	Prah.g_02300
OG0000198	Syao.g_02500	Prah.g_02301
OG0000199	Syao.g_02508	Prah.g_02308
OG0000200	Syao.g_02524	Prah.g_02324
OG0000201	Syao.g_02540	Prah.g_02352
OG0000202	Syao.g_02454	Prah.g_02353
OG0000203	Syao.g_02455	Prah.g_02354
OG0000204	Syao.g_02456	Prah.g_02355
OG0000205	Syao.g_02464	Prah.g_02362
OG0000206	Syao.g_02469	Prah.g_02371
OG0000207	Syao.g_02471	Prah.g_02420
OG0000208	Syao.g_02472	Prah.g_02419
OG0000209	Syao.g_02394	Prah.g_02400
OG0000210	Syao.g_02395	Prah.g_02399
OG0000211	Syao.g_01700	Prah.g_01782
OG0000212	Syao.g_01710	Prah.g_01772
OG0000213	Syao.g_02098	Prah.g_02101
OG0000214	Syao.g_02081	Prah.g_02118
OG0000215	Syao.g_02050	Prah.g_02148
OG0000216	Syao.g_02045	Prah.g_02151
OG0000217	Syao.g_02041	Prah.g_02155
OG0000218	Syao.g_02039	Prah.g_02157
OG0000219	Syao.g_02038	Prah.g_02158
OG0000220	Syao.g_02037	Prah.g_02159
OG0000221	Syao.g_02034	Prah.g_02166
OG0000222	Syao.g_02023	Prah.g_02174
OG0000223	Syao.g_00291	Prah.g_02197
OG0000224	Syao.g_01973	Prah.g_02207
OG0000225	Syao.g_01751	Prah.g_01921
OG0000226	Syao.g_01758	Prah.g_01917
OG0000227	Syao.g_01760	Prah.g_01915
OG0000228	Syao.g_01715	Prah.g_00204
OG0000229	Syao.g_01736	Prah.g_00230
OG0000230	Syao.g_01738	Prah.g_00232
OG0000231	Syao.g_01513	Prah.g_00251
OG0000232	Syao.g_00057	Prah.g_00261
OG0000233	Syao.g_02698	Prah.g_00294
OG0000234	Syao.g_02680	Prah.g_00313, Prah.g_00314
OG0000235	Syao.g_00029	Prah.g_01567
OG0000236	Syao.g_00111	Prah.g_01551
OG0000237	Syao.g_00166	Prah.g_01534
OG0000238	Syao.g_00161	Prah.g_01529
OG0000239	Syao.g_01398	Prah.g_01513
OG0000240	Syao.g_01399	Prah.g_01512
OG0000241	Syao.g_00887	Prah.g_01094
OG0000242	Syao.g_01410	Prah.g_00108, Prah.g_01503
OG0000243	Syao.g_00873	Prah.g_01476
OG0000244	Syao.g_00865	Prah.g_01472
OG0000245	Syao.g_00863	Prah.g_01469
OG0000246	Syao.g_00859	Prah.g_01465
OG0000247	Syao.g_00847	Prah.g_01454
OG0000248	Syao.g_00844	Prah.g_01451
OG0000249	Syao.g_00842	Prah.g_01449
OG0000250	Syao.g_00835	Prah.g_01443
OG0000251	Syao.g_01026	Prah.g_01417
OG0000252	Syao.g_01020	Prah.g_01414
OG0000253	Syao.g_01003	Prah.g_01408
OG0000254	Syao.g_01053	Prah.g_01389
OG0000255	Syao.g_01009	Prah.g_00530
OG0000256	Syao.g_01328	Prah.g_00516
OG0000257	Syao.g_00884	Prah.g_00509
OG0000258	Syao.g_00907	Prah.g_00486
OG0000259	Syao.g_00933, Syao.g_00932	Prah.g_00457
OG0000260	Syao.g_00936	Prah.g_00454
OG0000261	Syao.g_00941	Prah.g_00451
OG0000262	Syao.g_00946	Prah.g_00445
OG0000263	Syao.g_00247	Prah.g_02413
OG0000264	Syao.g_00699	Prah.g_00974
OG0000265	Syao.g_00049	Prah.g_00887, Prah.g_00958
OG0000266	Syao.g_00480	Prah.g_00876
OG0000267	Syao.g_00589	Prah.g_00751
OG0000268	Syao.g_00588	Prah.g_00752
OG0000269	Syao.g_00751	Prah.g_00672
OG0000270	Syao.g_00754	Prah.g_00669
OG0000271	Syao.g_00762	Prah.g_00661
OG0000272	Syao.g_00763	Prah.g_00660
OG0000273	Syao.g_00791	Prah.g_00609
OG0000274	Syao.g_00792	Prah.g_00608
OG0000275	Syao.g_00438	Prah.g_00605
OG0000276	Syao.g_00558	Prah.g_00599
OG0000277	Syao.g_00557	Prah.g_00598
OG0000278	Syao.g_00554	Prah.g_00595
OG0000279	Syao.g_00529	Prah.g_00587
OG0000280	Syao.g_00608	Prah.g_00581
OG0000281	Syao.g_01377	Prah.g_00566
OG0000282	Syao.g_00967	Prah.g_00731
OG0000283	Syao.g_00640	Prah.g_00761
OG0000284	Syao.g_00634	Prah.g_00767
OG0000285	Syao.g_00706	Prah.g_01178
OG0000286	Syao.g_00675	Prah.g_00795
OG0000287	Syao.g_00825	Prah.g_01131
OG0000288	Syao.g_00446	Prah.g_00851
OG0000289	Syao.g_00461	Prah.g_00864
OG0000290	Syao.g_00428	Prah.g_00912
OG0000291	Syao.g_00333	Prah.g_00914
OG0000292	Syao.g_02196	Prah.g_02597
OG0000293	Syao.g_00136	Prah.g_01336
OG0000294	Syao.g_00135	Prah.g_01335
OG0000295	Syao.g_00186	Prah.g_01298
OG0000296	Syao.g_00184	Prah.g_01296
OG0000298	Syao.g_00170	Prah.g_01258
OG0000299	Syao.g_00231	Prah.g_01268
OG0000301	Syao.g_00272, Syao.g_00273	Prah.g_01276
OG0000302	Syao.g_00271	Prah.g_01279
OG0000303	Syao.g_00262	Prah.g_01289
OG0000304	Syao.g_00256	Prah.g_01237, Prah.g_01238
OG0000305	Syao.g_00388	Prah.g_00918
OG0000306	Syao.g_01216	Prah.g_00560
OG0000307	Syao.g_00045	Prah.g_01584
OG0000308	Syao.g_00047	Prah.g_01586
OG0000309	Syao.g_02705	Prah.g_01590
OG0000310	Syao.g_01530	Prah.g_00428
OG0000311	Syao.g_01533	Prah.g_00424
OG0000312	Syao.g_01538	Prah.g_00420
OG0000313	Syao.g_01491	Prah.g_00402
OG0000314	Syao.g_00078	Prah.g_00371
OG0000315	Syao.g_00088	Prah.g_00361
OG0000316	Syao.g_01602	Prah.g_01631
OG0000317	Syao.g_01560	Prah.g_01672
OG0000318	Syao.g_01553	Prah.g_01677
OG0000319	Syao.g_01678	Prah.g_01694
OG0000320	Syao.g_01676	Prah.g_01696
OG0000321	Syao.g_01675	Prah.g_01697
OG0000322	Syao.g_01674	Prah.g_01698
OG0000323	Syao.g_01661	Prah.g_01710
OG0000324	Syao.g_01630	Prah.g_01744
OG0000325	Syao.g_01936	Prah.g_02071
OG0000326	Syao.g_01918	Prah.g_02064
OG0000327	Syao.g_01795	Prah.g_02038
OG0000328	Syao.g_01794	Prah.g_02037
OG0000329	Syao.g_01776	Prah.g_02020
OG0000330	Syao.g_01775	Prah.g_02019
OG0000331	Syao.g_01774	Prah.g_02018
OG0000332	Syao.g_01813	Prah.g_02003
OG0000333	Syao.g_01810	Prah.g_02001
OG0000334	Syao.g_01836	Prah.g_01991
OG0000335	Syao.g_01831	Prah.g_01986
OG0000336	Syao.g_01827	Prah.g_01982
OG0000337	Syao.g_01968	Prah.g_02224
OG0000338	Syao.g_01962	Prah.g_02227
OG0000339	Syao.g_02259	Prah.g_02234
OG0000340	Syao.g_02129	Prah.g_02244
OG0000341	Syao.g_02131	Prah.g_02246
OG0000342	Syao.g_02132	Prah.g_02247
OG0000343	Syao.g_02133	Prah.g_00168
OG0000344	Syao.g_02137	Prah.g_00165
OG0000345	Syao.g_01953	Prah.g_00154
OG0000346	Syao.g_01948	Prah.g_00149
OG0000347	Syao.g_02178	Prah.g_00089
OG0000348	Syao.g_02166	Prah.g_00078
OG0000349	Syao.g_02219	Prah.g_00053
OG0000350	Syao.g_01925	Prah.g_02533
OG0000351	Syao.g_02331	Prah.g_02578
OG0000352	Syao.g_02332	Prah.g_02579
OG0000353	Syao.g_02160	Prah.g_02603
OG0000354	Syao.g_00154, Syao.g_00155	Prah.g_01523
OG0000354	Syao.g_02252	Prah.g_00020
OG0000355	Syao.g_02162	Prah.g_00002
OG0000356	Syao.g_02163	Prah.g_00003
OG0000357	Syao.g_02164	Prah.g_00004
OG0000358	Syao.g_02154	Prah.g_00008
OG0000359	Syao.g_02152	Prah.g_00010
OG0000360	Syao.g_02151	Prah.g_00011
OG0000361	Syao.g_02150	Prah.g_00012
OG0000362	Syao.g_01954	Prah.g_00014
OG0000363	Syao.g_02255	Prah.g_00016
OG0000364	Syao.g_01558	Prah.g_00017
OG0000365	Syao.g_02246	Prah.g_00026
OG0000366	Syao.g_02245	Prah.g_00027
OG0000367	Syao.g_02244	Prah.g_00028
OG0000368	Syao.g_02242	Prah.g_00030
OG0000369	Syao.g_02241	Prah.g_00031
OG0000370	Syao.g_02240	Prah.g_00032
OG0000371	Syao.g_02231	Prah.g_00041
OG0000372	Syao.g_02226	Prah.g_00046
OG0000373	Syao.g_02225	Prah.g_00047
OG0000374	Syao.g_02224	Prah.g_00048
OG0000375	Syao.g_02223	Prah.g_00049
OG0000376	Syao.g_02221	Prah.g_00051
OG0000377	Syao.g_02429	Prah.g_02485
OG0000378	Syao.g_02414	Prah.g_02471
OG0000379	Syao.g_02409	Prah.g_02457
OG0000380	Syao.g_02616	Prah.g_01834
OG0000381	Syao.g_02618	Prah.g_01839
OG0000382	Syao.g_02636	Prah.g_01859
OG0000383	Syao.g_02643	Prah.g_01861
OG0000384	Syao.g_02644	Prah.g_01862
OG0000385	Syao.g_02645	Prah.g_01863
OG0000386	Syao.g_02646	Prah.g_01864
OG0000387	Syao.g_01019	Prah.g_01888
OG0000388	Syao.g_02596	Prah.g_01892
OG0000389	Syao.g_02599	Prah.g_01896
OG0000390	Syao.g_02567	Prah.g_00194
OG0000391	Syao.g_02572	Prah.g_00189
OG0000392	Syao.g_02578	Prah.g_00183
OG0000393	Syao.g_02581	Prah.g_00175
OG0000394	Syao.g_02582	Prah.g_00174
OG0000395	Syao.g_02583	Prah.g_00173
OG0000396	Syao.g_02586	Prah.g_02252
OG0000397	Syao.g_02542	Prah.g_02254
OG0000398	Syao.g_02547	Prah.g_02259
OG0000399	Syao.g_02548	Prah.g_02260
OG0000400	Syao.g_02549	Prah.g_02261
OG0000401	Syao.g_02550	Prah.g_02262
OG0000402	Syao.g_02552	Prah.g_02264
OG0000403	Syao.g_02553	Prah.g_02265
OG0000405	Syao.g_02478	Prah.g_02280
OG0000406	Syao.g_02482	Prah.g_02284
OG0000407	Syao.g_02483	Prah.g_02285
OG0000408	Syao.g_02485	Prah.g_02287
OG0000409	Syao.g_02487	Prah.g_02289
OG0000410	Syao.g_02488	Prah.g_02290
OG0000411	Syao.g_02489	Prah.g_02291
OG0000412	Syao.g_02490	Prah.g_02292
OG0000413	Syao.g_02492	Prah.g_02294
OG0000414	Syao.g_02493	Prah.g_02295
OG0000415	Syao.g_02494	Prah.g_02296
OG0000416	Syao.g_02495	Prah.g_02297
OG0000417	Syao.g_02497	Prah.g_02298
OG0000418	Syao.g_02502	Prah.g_02303
OG0000419	Syao.g_02504	Prah.g_02305
OG0000420	Syao.g_02506	Prah.g_02306
OG0000421	Syao.g_02510	Prah.g_02310
OG0000422	Syao.g_02511	Prah.g_02311
OG0000423	Syao.g_02512	Prah.g_02312
OG0000424	Syao.g_02513	Prah.g_02313
OG0000425	Syao.g_02514	Prah.g_02314
OG0000426	Syao.g_02515	Prah.g_02315
OG0000427	Syao.g_02516	Prah.g_02316
OG0000428	Syao.g_02519	Prah.g_00709
OG0000429	Syao.g_02522	Prah.g_02321
OG0000430	Syao.g_02523	Prah.g_02323
OG0000431	Syao.g_02526	Prah.g_02334
OG0000432	Syao.g_02532	Prah.g_02341
OG0000433	Syao.g_02534	Prah.g_02344
OG0000434	Syao.g_02535	Prah.g_02345
OG0000435	Syao.g_02538	Prah.g_02350
OG0000436	Syao.g_02458	Prah.g_02356
OG0000437	Syao.g_02459	Prah.g_02357
OG0000438	Syao.g_02460	Prah.g_02358
OG0000439	Syao.g_02462	Prah.g_02360
OG0000440	Syao.g_02463	Prah.g_02361
OG0000441	Syao.g_02466	Prah.g_02364
OG0000442	Syao.g_02467	Prah.g_02365
OG0000443	Syao.g_02468	Prah.g_02370
OG0000444	Syao.g_02473	Prah.g_02418
OG0000445	Syao.g_02474	Prah.g_02417
OG0000446	Syao.g_02476	Prah.g_02415
OG0000447	Syao.g_02383	Prah.g_02411
OG0000448	Syao.g_02384	Prah.g_02410
OG0000449	Syao.g_02385	Prah.g_02409
OG0000450	Syao.g_02391	Prah.g_02403
OG0000451	Syao.g_02392	Prah.g_02402
OG0000452	Syao.g_02396	Prah.g_02398
OG0000453	Syao.g_02397	Prah.g_02397
OG0000454	Syao.g_02398	Prah.g_02396
OG0000455	Syao.g_02399	Prah.g_02395
OG0000456	Syao.g_02400	Prah.g_02394
OG0000457	Syao.g_02402	Prah.g_02392
OG0000458	Syao.g_02403	Prah.g_02391
OG0000459	Syao.g_02404	Prah.g_02390
OG0000460	Syao.g_01702	Prah.g_01781
OG0000461	Syao.g_02119	Prah.g_02074
OG0000462	Syao.g_02116	Prah.g_02078
OG0000463	Syao.g_02115	Prah.g_02079
OG0000464	Syao.g_02114	Prah.g_02080
OG0000465	Syao.g_02112	Prah.g_02082
OG0000466	Syao.g_02107	Prah.g_02087
OG0000467	Syao.g_02106	Prah.g_02089
OG0000468	Syao.g_02102	Prah.g_02098
OG0000469	Syao.g_02087	Prah.g_02111
OG0000470	Syao.g_02085	Prah.g_02114
OG0000471	Syao.g_02084	Prah.g_02115
OG0000472	Syao.g_02082	Prah.g_02117
OG0000473	Syao.g_02080	Prah.g_02119
OG0000474	Syao.g_02079	Prah.g_02120
OG0000475	Syao.g_02078	Prah.g_02121
OG0000476	Syao.g_02076	Prah.g_02123
OG0000477	Syao.g_02069	Prah.g_02128
OG0000478	Syao.g_02068	Prah.g_02129
OG0000479	Syao.g_02067	Prah.g_02130
OG0000480	Syao.g_02060	Prah.g_02137
OG0000481	Syao.g_01012	Prah.g_02139
OG0000482	Syao.g_02058	Prah.g_02140
OG0000483	Syao.g_02054	Prah.g_02144
OG0000484	Syao.g_02053	Prah.g_02145
OG0000485	Syao.g_02052	Prah.g_02146
OG0000486	Syao.g_02051	Prah.g_02147
OG0000487	Syao.g_02044	Prah.g_02152
OG0000488	Syao.g_02040	Prah.g_02156
OG0000489	Syao.g_02033	Prah.g_02167
OG0000490	Syao.g_02025	Prah.g_02172
OG0000491	Syao.g_02024	Prah.g_02173
OG0000492	Syao.g_02022	Prah.g_02175
OG0000493	Syao.g_02021	Prah.g_02176
OG0000494	Syao.g_02020	Prah.g_02177
OG0000495	Syao.g_02018	Prah.g_02178
OG0000496	Syao.g_02017	Prah.g_02179
OG0000497	Syao.g_02016	Prah.g_02180
OG0000498	Syao.g_02015	Prah.g_02181
OG0000499	Syao.g_02014	Prah.g_02182
OG0000500	Syao.g_02013	Prah.g_02183
OG0000501	Syao.g_02010	Prah.g_02186
OG0000502	Syao.g_01974	Prah.g_02199
OG0000503	Syao.g_01877	Prah.g_01940
OG0000504	Syao.g_01875	Prah.g_01938
OG0000505	Syao.g_01874	Prah.g_01937
OG0000506	Syao.g_01872	Prah.g_01935
OG0000507	Syao.g_01866	Prah.g_01930
OG0000508	Syao.g_01750	Prah.g_01922
OG0000509	Syao.g_01755	Prah.g_01920
OG0000510	Syao.g_01756	Prah.g_01919
OG0000511	Syao.g_01757	Prah.g_01918
OG0000512	Syao.g_01759	Prah.g_01916
OG0000513	Syao.g_01720	Prah.g_00209
OG0000514	Syao.g_01727	Prah.g_00218
OG0000515	Syao.g_01728	Prah.g_00219
OG0000516	Syao.g_01730	Prah.g_00221
OG0000517	Syao.g_01735	Prah.g_00229
OG0000518	Syao.g_01621	Prah.g_00241
OG0000519	Syao.g_01622	Prah.g_00242
OG0000520	Syao.g_01512	Prah.g_00247
OG0000521	Syao.g_00061	Prah.g_00255
OG0000522	Syao.g_00059	Prah.g_00257
OG0000523	Syao.g_00058	Prah.g_00258
OG0000524	Syao.g_02699	Prah.g_00290
OG0000525	Syao.g_02691	Prah.g_00304
OG0000526	Syao.g_02688	Prah.g_00306
OG0000527	Syao.g_02684	Prah.g_00310
OG0000528	Syao.g_00031	Prah.g_01572
OG0000529	Syao.g_00027	Prah.g_01565
OG0000530	Syao.g_00122	Prah.g_01562
OG0000531	Syao.g_00121	Prah.g_01561
OG0000532	Syao.g_00118	Prah.g_01558
OG0000533	Syao.g_00116	Prah.g_01556
OG0000534	Syao.g_00115	Prah.g_01555
OG0000535	Syao.g_00114	Prah.g_01554
OG0000536	Syao.g_00113	Prah.g_01553
OG0000537	Syao.g_00112	Prah.g_01552
OG0000538	Syao.g_00100	Prah.g_01541
OG0000539	Syao.g_00099	Prah.g_01540
OG0000540	Syao.g_00098	Prah.g_01539
OG0000541	Syao.g_00097	Prah.g_01538
OG0000542	Syao.g_00167	Prah.g_01535
OG0000543	Syao.g_00165	Prah.g_01533
OG0000544	Syao.g_00164	Prah.g_01532
OG0000545	Syao.g_00162	Prah.g_01530
OG0000546	Syao.g_00160	Prah.g_01528
OG0000547	Syao.g_00158	Prah.g_01526
OG0000548	Syao.g_00157	Prah.g_01525
OG0000549	Syao.g_01391	Prah.g_01519
OG0000550	Syao.g_01396	Prah.g_01514
OG0000551	Syao.g_01401	Prah.g_01510
OG0000552	Syao.g_01402	Prah.g_01509
OG0000553	Syao.g_01404	Prah.g_01505
OG0000554	Syao.g_01413	Prah.g_01500
OG0000555	Syao.g_00875	Prah.g_01480
OG0000556	Syao.g_00871	Prah.g_01474
OG0000557	Syao.g_00866	Prah.g_01473
OG0000558	Syao.g_00864	Prah.g_01470
OG0000559	Syao.g_00860	Prah.g_01466
OG0000560	Syao.g_00857	Prah.g_01463
OG0000561	Syao.g_00856	Prah.g_01462
OG0000562	Syao.g_00855	Prah.g_01461
OG0000563	Syao.g_00854	Prah.g_01460
OG0000564	Syao.g_00853	Prah.g_01459
OG0000565	Syao.g_00849	Prah.g_01457
OG0000566	Syao.g_00845	Prah.g_01452
OG0000567	Syao.g_00841	Prah.g_01448
OG0000568	Syao.g_00839	Prah.g_01446
OG0000569	Syao.g_00838	Prah.g_01445
OG0000570	Syao.g_00837	Prah.g_01444
OG0000571	Syao.g_00834	Prah.g_01441
OG0000572	Syao.g_01033	Prah.g_01425
OG0000573	Syao.g_01022	Prah.g_01416
OG0000574	Syao.g_01021	Prah.g_01415
OG0000575	Syao.g_01000	Prah.g_01406
OG0000576	Syao.g_00996	Prah.g_01404
OG0000577	Syao.g_00995	Prah.g_01403
OG0000578	Syao.g_00994	Prah.g_01402
OG0000579	Syao.g_00993	Prah.g_01401
OG0000580	Syao.g_00992	Prah.g_01400
OG0000581	Syao.g_01059	Prah.g_01396
OG0000582	Syao.g_01204	Prah.g_01392
OG0000583	Syao.g_01205	Prah.g_01391
OG0000584	Syao.g_01206	Prah.g_01390
OG0000585	Syao.g_01054	Prah.g_01388
OG0000586	Syao.g_01055	Prah.g_01387
OG0000587	Syao.g_01057	Prah.g_01385
OG0000588	Syao.g_00406	Prah.g_00529
OG0000589	Syao.g_01342	Prah.g_00526
OG0000590	Syao.g_01341	Prah.g_00525
OG0000591	Syao.g_01330	Prah.g_00518
