Orthogroup	Syao	Prbi
OG0000090	Syao.g_01412	Prbi.g_00536
OG0000091	Syao.g_00902	Prbi.g_00645
OG0000092	Syao.g_00656	Prbi.g_00956
OG0000094	Syao.g_00458	Prbi.g_01067
OG0000097	Syao.g_00973	Prbi.g_01248
OG0000098	Syao.g_01374	Prbi.g_01421
OG0000099	Syao.g_02019	Prbi.g_01462
OG0000100	Syao.g_00787	Prbi.g_01664
OG0000101	Syao.g_01840	Prbi.g_01938
OG0000102	Syao.g_01945	Prbi.g_01999
OG0000103	Syao.g_02340	Prbi.g_02091
OG0000104	Syao.g_02157	Prbi.g_02099
OG0000105	Syao.g_02071, Syao.g_02072	Prbi.g_00298
OG0000106	Syao.g_01385	Prbi.g_00394
OG0000107	Syao.g_01935	Prbi.g_00409
OG0000108	Syao.g_00028	Prbi.g_00483
OG0000109	Syao.g_00110	Prbi.g_00497
OG0000110	Syao.g_01051	Prbi.g_00577
OG0000111	Syao.g_00378	Prbi.g_00703
OG0000112	Syao.g_00683, Syao.g_00303	Prbi.g_00811
OG0000113	Syao.g_00782	Prbi.g_00869
OG0000114	Syao.g_00965	Prbi.g_00951
OG0000115	Syao.g_00065, Syao.g_01464	Prbi.g_01148
OG0000116	Syao.g_00137	Prbi.g_01197
OG0000117	Syao.g_00169	Prbi.g_01330
OG0000118	Syao.g_01475	Prbi.g_01403
OG0000120	Syao.g_02009	Prbi.g_01460
OG0000121	Syao.g_01489	Prbi.g_01593
OG0000122	Syao.g_01247	Prbi.g_01630
OG0000123	Syao.g_01832	Prbi.g_01945
OG0000124	Syao.g_02179	Prbi.g_02010
OG0000125	Syao.g_02444	Prbi.g_02059
OG0000126	Syao.g_02198	Prbi.g_02098
OG0000127	Syao.g_01312	Prbi.g_01300, Prbi.g_01549
OG0000128	Syao.g_02149	Prbi.g_00011
OG0000129	Syao.g_02434	Prbi.g_00053
OG0000130	Syao.g_02617	Prbi.g_00076
OG0000131	Syao.g_02480	Prbi.g_00169
OG0000132	Syao.g_02501	Prbi.g_00188
OG0000133	Syao.g_00678	Prbi.g_00346
OG0000134	Syao.g_01719	Prbi.g_00381
OG0000135	Syao.g_00147	Prbi.g_00407
OG0000136	Syao.g_01614, Syao.g_01613	Prbi.g_00442
OG0000137	Syao.g_02682	Prbi.g_00478
OG0000138	Syao.g_00108	Prbi.g_00498
OG0000139	Syao.g_02005	Prbi.g_00540
OG0000140	Syao.g_01373, Syao.g_01372	Prbi.g_00541
OG0000141	Syao.g_01202	Prbi.g_00609
OG0000142	Syao.g_00894	Prbi.g_00638
OG0000143	Syao.g_00898	Prbi.g_00642
OG0000145	Syao.g_00102	Prbi.g_00807
OG0000146	Syao.g_00684, Syao.g_00304	Prbi.g_00812
OG0000147	Syao.g_00305, Syao.g_00685	Prbi.g_00813
OG0000148	Syao.g_00776	Prbi.g_00863
OG0000149	Syao.g_00534	Prbi.g_00894
OG0000150	Syao.g_01203	Prbi.g_00902
OG0000151	Syao.g_00975	Prbi.g_00961
OG0000152	Syao.g_00674	Prbi.g_01009
OG0000153	Syao.g_00818, Syao.g_01176	Prbi.g_01028
OG0000154	Syao.g_00447	Prbi.g_01060
OG0000155	Syao.g_00178	Prbi.g_01227
OG0000156	Syao.g_00151	Prbi.g_01380
OG0000157	Syao.g_00152	Prbi.g_01381
OG0000158	Syao.g_02267	Prbi.g_01489
OG0000159	Syao.g_02276	Prbi.g_01490
OG0000160	Syao.g_01488	Prbi.g_01592
OG0000161	Syao.g_01494	Prbi.g_01598
OG0000162	Syao.g_01515	Prbi.g_01604
OG0000163	Syao.g_01745	Prbi.g_01637
OG0000164	Syao.g_01663	Prbi.g_01811
OG0000165	Syao.g_01655	Prbi.g_01818
OG0000166	Syao.g_01790	Prbi.g_01902
OG0000167	Syao.g_01960	Prbi.g_01968
OG0000168	Syao.g_02128	Prbi.g_01978
OG0000169	Syao.g_02139	Prbi.g_01988
OG0000170	Syao.g_02148	Prbi.g_01990
OG0000171	Syao.g_02181	Prbi.g_02009
OG0000172	Syao.g_02170	Prbi.g_02030
OG0000173	Syao.g_02212	Prbi.g_02045
OG0000174	Syao.g_02364, Syao.g_02355	Prbi.g_02073
OG0000175	Syao.g_02327, Syao.g_00308	Prbi.g_02083
OG0000176	Syao.g_02165	Prbi.g_00004
OG0000177	Syao.g_02156	Prbi.g_00005
OG0000178	Syao.g_02155	Prbi.g_00006
OG0000179	Syao.g_02250	Prbi.g_00016
OG0000180	Syao.g_02249	Prbi.g_00017
OG0000181	Syao.g_02248	Prbi.g_00018
OG0000182	Syao.g_02247	Prbi.g_00019
OG0000183	Syao.g_02243	Prbi.g_00023
OG0000184	Syao.g_02423	Prbi.g_00057
OG0000185	Syao.g_02410	Prbi.g_00060
OG0000186	Syao.g_02613	Prbi.g_00071
OG0000187	Syao.g_02615	Prbi.g_00072
OG0000188	Syao.g_02637	Prbi.g_00089
OG0000189	Syao.g_02672	Prbi.g_00103
OG0000190	Syao.g_01015	Prbi.g_00104
OG0000191	Syao.g_02573	Prbi.g_00125
OG0000192	Syao.g_02579	Prbi.g_00129
OG0000193	Syao.g_02481	Prbi.g_00170
OG0000194	Syao.g_02484	Prbi.g_00173
OG0000195	Syao.g_02486	Prbi.g_00175
OG0000196	Syao.g_02498	Prbi.g_00185
OG0000197	Syao.g_02499	Prbi.g_00186
OG0000198	Syao.g_02500	Prbi.g_00187
OG0000199	Syao.g_02508	Prbi.g_00194
OG0000200	Syao.g_02524	Prbi.g_00208
OG0000201	Syao.g_02540	Prbi.g_00216
OG0000202	Syao.g_02454	Prbi.g_00217
OG0000203	Syao.g_02455	Prbi.g_00218
OG0000204	Syao.g_02456	Prbi.g_00219
OG0000205	Syao.g_02464	Prbi.g_00226
OG0000206	Syao.g_02469	Prbi.g_00231
OG0000207	Syao.g_02471	Prbi.g_00233
OG0000208	Syao.g_02472	Prbi.g_00234
OG0000209	Syao.g_02394	Prbi.g_00243
OG0000210	Syao.g_02395	Prbi.g_00244
OG0000211	Syao.g_01700	Prbi.g_00257
OG0000212	Syao.g_01710	Prbi.g_00264
OG0000213	Syao.g_02098	Prbi.g_00281
OG0000214	Syao.g_02081	Prbi.g_00291
OG0000215	Syao.g_02050	Prbi.g_00316
OG0000216	Syao.g_02045	Prbi.g_00318
OG0000217	Syao.g_02041	Prbi.g_00321
OG0000218	Syao.g_02039	Prbi.g_00323
OG0000219	Syao.g_02038	Prbi.g_00324
OG0000220	Syao.g_02037	Prbi.g_00325
OG0000221	Syao.g_02034	Prbi.g_00326
OG0000222	Syao.g_02023	Prbi.g_00334
OG0000223	Syao.g_00291	Prbi.g_00347
OG0000224	Syao.g_01973	Prbi.g_00349
OG0000225	Syao.g_01751	Prbi.g_00370
OG0000226	Syao.g_01758	Prbi.g_00374
OG0000227	Syao.g_01760	Prbi.g_00376
OG0000228	Syao.g_01715	Prbi.g_00379
OG0000229	Syao.g_01736	Prbi.g_00437
OG0000230	Syao.g_01738	Prbi.g_00439
OG0000231	Syao.g_01513	Prbi.g_00450
OG0000232	Syao.g_00057	Prbi.g_00459
OG0000233	Syao.g_02698	Prbi.g_00465
OG0000234	Syao.g_02680	Prbi.g_00479
OG0000235	Syao.g_00029	Prbi.g_00482
OG0000236	Syao.g_00111	Prbi.g_00496
OG0000237	Syao.g_00166	Prbi.g_00509
OG0000238	Syao.g_00161	Prbi.g_00515
OG0000239	Syao.g_01398	Prbi.g_00528
OG0000240	Syao.g_01399	Prbi.g_00529
OG0000241	Syao.g_00887	Prbi.g_00533
OG0000242	Syao.g_01410	Prbi.g_00535
OG0000243	Syao.g_00873	Prbi.g_00546
OG0000244	Syao.g_00865	Prbi.g_00549
OG0000245	Syao.g_00863	Prbi.g_00551
OG0000246	Syao.g_00859	Prbi.g_00555
OG0000247	Syao.g_00847	Prbi.g_00565
OG0000248	Syao.g_00844	Prbi.g_00567
OG0000249	Syao.g_00842	Prbi.g_00569
OG0000250	Syao.g_00835	Prbi.g_00574
OG0000251	Syao.g_01026	Prbi.g_00593
OG0000252	Syao.g_01020	Prbi.g_00596
OG0000253	Syao.g_01003	Prbi.g_00597
OG0000254	Syao.g_01053	Prbi.g_00613
OG0000255	Syao.g_01009	Prbi.g_00619
OG0000256	Syao.g_01328	Prbi.g_00629
OG0000257	Syao.g_00884	Prbi.g_00632
OG0000258	Syao.g_00907	Prbi.g_00646
OG0000259	Syao.g_00933, Syao.g_00932	Prbi.g_00663
OG0000260	Syao.g_00936	Prbi.g_00666
OG0000261	Syao.g_00941	Prbi.g_00668
OG0000262	Syao.g_00946	Prbi.g_00672
OG0000263	Syao.g_00247	Prbi.g_00684
OG0000264	Syao.g_00699	Prbi.g_00694
OG0000265	Syao.g_00049	Prbi.g_00745
OG0000266	Syao.g_00480	Prbi.g_00755
OG0000267	Syao.g_00589	Prbi.g_00766
OG0000268	Syao.g_00588	Prbi.g_00767
OG0000269	Syao.g_00751	Prbi.g_00842
OG0000270	Syao.g_00754	Prbi.g_00845
OG0000271	Syao.g_00762	Prbi.g_00853
OG0000272	Syao.g_00763	Prbi.g_00854
OG0000273	Syao.g_00791	Prbi.g_00877
OG0000274	Syao.g_00792	Prbi.g_00878
OG0000275	Syao.g_00438	Prbi.g_00881
OG0000276	Syao.g_00558	Prbi.g_00886
OG0000277	Syao.g_00557	Prbi.g_00887
OG0000278	Syao.g_00554	Prbi.g_00890
OG0000279	Syao.g_00529	Prbi.g_00897
OG0000280	Syao.g_00608	Prbi.g_00898
OG0000281	Syao.g_01377	Prbi.g_00903
OG0000282	Syao.g_00967	Prbi.g_00953
OG0000283	Syao.g_00640	Prbi.g_00986
OG0000284	Syao.g_00634	Prbi.g_00991
OG0000285	Syao.g_00706	Prbi.g_00996
OG0000286	Syao.g_00675	Prbi.g_01008
OG0000287	Syao.g_00825	Prbi.g_01025
OG0000288	Syao.g_00446	Prbi.g_01059
OG0000289	Syao.g_00461	Prbi.g_01070
OG0000290	Syao.g_00428	Prbi.g_01083
OG0000291	Syao.g_00333	Prbi.g_01085
OG0000292	Syao.g_02196	Prbi.g_01136
OG0000293	Syao.g_00136	Prbi.g_01198
OG0000294	Syao.g_00135	Prbi.g_01199
OG0000295	Syao.g_00186	Prbi.g_01219
OG0000296	Syao.g_00184	Prbi.g_01221
OG0000299	Syao.g_00231	Prbi.g_01247
OG0000301	Syao.g_00272, Syao.g_00273	Prbi.g_01251
OG0000302	Syao.g_00271	Prbi.g_01253
OG0000303	Syao.g_00262	Prbi.g_01260
OG0000304	Syao.g_00256	Prbi.g_01264
OG0000305	Syao.g_00388	Prbi.g_01431
OG0000306	Syao.g_01216	Prbi.g_01434
OG0000307	Syao.g_00045	Prbi.g_01448
OG0000308	Syao.g_00047	Prbi.g_01449
OG0000309	Syao.g_02705	Prbi.g_01453
OG0000310	Syao.g_01530	Prbi.g_01574
OG0000311	Syao.g_01533	Prbi.g_01576
OG0000312	Syao.g_01538	Prbi.g_01579
OG0000313	Syao.g_01491	Prbi.g_01595
OG0000314	Syao.g_00078	Prbi.g_01617
OG0000315	Syao.g_00088	Prbi.g_01627
OG0000316	Syao.g_01602	Prbi.g_01647
OG0000317	Syao.g_01560	Prbi.g_01785
OG0000318	Syao.g_01553	Prbi.g_01788
OG0000319	Syao.g_01678	Prbi.g_01801
OG0000320	Syao.g_01676	Prbi.g_01803
OG0000321	Syao.g_01675	Prbi.g_01804
OG0000322	Syao.g_01674	Prbi.g_01805
OG0000323	Syao.g_01661	Prbi.g_01814
OG0000324	Syao.g_01630	Prbi.g_01840
OG0000325	Syao.g_01936	Prbi.g_01849
OG0000326	Syao.g_01918	Prbi.g_01855
OG0000327	Syao.g_01795	Prbi.g_01897
OG0000328	Syao.g_01794	Prbi.g_01898
OG0000329	Syao.g_01776	Prbi.g_01915
OG0000330	Syao.g_01775	Prbi.g_01916
OG0000331	Syao.g_01774	Prbi.g_01917
OG0000332	Syao.g_01813	Prbi.g_01931
OG0000333	Syao.g_01810	Prbi.g_01933
OG0000334	Syao.g_01836	Prbi.g_01941
OG0000335	Syao.g_01831	Prbi.g_01946
OG0000336	Syao.g_01827	Prbi.g_01950
OG0000337	Syao.g_01968	Prbi.g_01966
OG0000338	Syao.g_01962	Prbi.g_01967
OG0000339	Syao.g_02259	Prbi.g_01971
OG0000340	Syao.g_02129	Prbi.g_01979
OG0000341	Syao.g_02131	Prbi.g_01981
OG0000342	Syao.g_02132	Prbi.g_01982
OG0000343	Syao.g_02133	Prbi.g_01983
OG0000344	Syao.g_02137	Prbi.g_01986
OG0000345	Syao.g_01953	Prbi.g_01991
OG0000346	Syao.g_01948	Prbi.g_01995
OG0000347	Syao.g_02178	Prbi.g_02011
OG0000348	Syao.g_02166	Prbi.g_02033
OG0000349	Syao.g_02219	Prbi.g_02050
OG0000350	Syao.g_01925	Prbi.g_02069
OG0000351	Syao.g_02331	Prbi.g_02086
OG0000352	Syao.g_02332	Prbi.g_02087
OG0000353	Syao.g_02160	Prbi.g_02102
OG0000355	Syao.g_02162	Prbi.g_00001
OG0000356	Syao.g_02163	Prbi.g_00002
OG0000357	Syao.g_02164	Prbi.g_00003
OG0000358	Syao.g_02154	Prbi.g_00007
OG0000359	Syao.g_02152	Prbi.g_00008
OG0000360	Syao.g_02151	Prbi.g_00009
OG0000361	Syao.g_02150	Prbi.g_00010
OG0000362	Syao.g_01954	Prbi.g_00012
OG0000363	Syao.g_02255	Prbi.g_00014
OG0000364	Syao.g_01558	Prbi.g_00015
OG0000365	Syao.g_02246	Prbi.g_00020
OG0000366	Syao.g_02245	Prbi.g_00021
OG0000367	Syao.g_02244	Prbi.g_00022
OG0000368	Syao.g_02242	Prbi.g_00024
OG0000369	Syao.g_02241	Prbi.g_00025
OG0000370	Syao.g_02240	Prbi.g_00026
OG0000371	Syao.g_02231	Prbi.g_00032
OG0000372	Syao.g_02226	Prbi.g_00035
OG0000373	Syao.g_02225	Prbi.g_00036
OG0000374	Syao.g_02224	Prbi.g_00037
OG0000375	Syao.g_02223	Prbi.g_00049
OG0000376	Syao.g_02221	Prbi.g_00051
OG0000377	Syao.g_02429	Prbi.g_00056
OG0000378	Syao.g_02414	Prbi.g_00058
OG0000379	Syao.g_02409	Prbi.g_00061
OG0000380	Syao.g_02616	Prbi.g_00073
OG0000381	Syao.g_02618	Prbi.g_00077
OG0000382	Syao.g_02636	Prbi.g_00088
OG0000383	Syao.g_02643	Prbi.g_00090
OG0000384	Syao.g_02644	Prbi.g_00091
OG0000385	Syao.g_02645	Prbi.g_00092
OG0000386	Syao.g_02646	Prbi.g_00093
OG0000387	Syao.g_01019	Prbi.g_00106
OG0000388	Syao.g_02596	Prbi.g_00109
OG0000389	Syao.g_02599	Prbi.g_00113
OG0000390	Syao.g_02567	Prbi.g_00120
OG0000391	Syao.g_02572	Prbi.g_00124
OG0000392	Syao.g_02578	Prbi.g_00128
OG0000393	Syao.g_02581	Prbi.g_00130
OG0000394	Syao.g_02582	Prbi.g_00131
OG0000395	Syao.g_02583	Prbi.g_00132
OG0000396	Syao.g_02586	Prbi.g_00135
OG0000397	Syao.g_02542	Prbi.g_00137
OG0000398	Syao.g_02547	Prbi.g_00139
OG0000399	Syao.g_02548	Prbi.g_00140
OG0000400	Syao.g_02549	Prbi.g_00141
OG0000401	Syao.g_02550	Prbi.g_00142
OG0000402	Syao.g_02552	Prbi.g_00144
OG0000403	Syao.g_02553	Prbi.g_00145
OG0000404	Syao.g_02554	Prbi.g_00146
OG0000405	Syao.g_02478	Prbi.g_00150
OG0000406	Syao.g_02482	Prbi.g_00171
OG0000407	Syao.g_02483	Prbi.g_00172
OG0000408	Syao.g_02485	Prbi.g_00174
OG0000409	Syao.g_02487	Prbi.g_00176
OG0000410	Syao.g_02488	Prbi.g_00177
OG0000411	Syao.g_02489	Prbi.g_00178
OG0000412	Syao.g_02490	Prbi.g_00179
OG0000413	Syao.g_02492	Prbi.g_00180
OG0000414	Syao.g_02493	Prbi.g_00181
OG0000415	Syao.g_02494	Prbi.g_00182
OG0000416	Syao.g_02495	Prbi.g_00183
OG0000417	Syao.g_02497	Prbi.g_00184
OG0000418	Syao.g_02502	Prbi.g_00189
OG0000419	Syao.g_02504	Prbi.g_00191
OG0000420	Syao.g_02506	Prbi.g_00192
OG0000421	Syao.g_02510	Prbi.g_00197
OG0000422	Syao.g_02511	Prbi.g_00198
OG0000423	Syao.g_02512	Prbi.g_00199
OG0000424	Syao.g_02513	Prbi.g_00200
OG0000425	Syao.g_02514	Prbi.g_00201
OG0000426	Syao.g_02515	Prbi.g_00202
OG0000427	Syao.g_02516	Prbi.g_00203
OG0000428	Syao.g_02519	Prbi.g_00205
OG0000429	Syao.g_02522	Prbi.g_00206
OG0000430	Syao.g_02523	Prbi.g_00207
OG0000431	Syao.g_02526	Prbi.g_00209
OG0000432	Syao.g_02532	Prbi.g_00212
OG0000433	Syao.g_02534	Prbi.g_00213
OG0000434	Syao.g_02535	Prbi.g_00214
OG0000435	Syao.g_02538	Prbi.g_00215
OG0000436	Syao.g_02458	Prbi.g_00220
OG0000437	Syao.g_02459	Prbi.g_00221
OG0000438	Syao.g_02460	Prbi.g_00222
OG0000439	Syao.g_02462	Prbi.g_00224
OG0000440	Syao.g_02463	Prbi.g_00225
OG0000441	Syao.g_02466	Prbi.g_00228
OG0000442	Syao.g_02467	Prbi.g_00229
OG0000443	Syao.g_02468	Prbi.g_00230
OG0000444	Syao.g_02473	Prbi.g_00235
OG0000445	Syao.g_02474	Prbi.g_00236
OG0000446	Syao.g_02476	Prbi.g_00237
OG0000447	Syao.g_02383	Prbi.g_00238
OG0000448	Syao.g_02384	Prbi.g_00239
OG0000449	Syao.g_02385	Prbi.g_00240
OG0000450	Syao.g_02391	Prbi.g_00241
OG0000451	Syao.g_02392	Prbi.g_00242
OG0000452	Syao.g_02396	Prbi.g_00245
OG0000453	Syao.g_02397	Prbi.g_00246
OG0000454	Syao.g_02398	Prbi.g_00247
OG0000455	Syao.g_02399	Prbi.g_00248
OG0000456	Syao.g_02400	Prbi.g_00249
OG0000457	Syao.g_02402	Prbi.g_00250
OG0000458	Syao.g_02403	Prbi.g_00251
OG0000459	Syao.g_02404	Prbi.g_00252
OG0000460	Syao.g_01702	Prbi.g_00259
OG0000461	Syao.g_02119	Prbi.g_00266
OG0000462	Syao.g_02116	Prbi.g_00268
OG0000463	Syao.g_02115	Prbi.g_00269
OG0000464	Syao.g_02114	Prbi.g_00270
OG0000465	Syao.g_02112	Prbi.g_00271
OG0000466	Syao.g_02107	Prbi.g_00274
OG0000467	Syao.g_02106	Prbi.g_00275
OG0000468	Syao.g_02102	Prbi.g_00277
OG0000469	Syao.g_02087	Prbi.g_00286
OG0000470	Syao.g_02085	Prbi.g_00288
OG0000471	Syao.g_02084	Prbi.g_00289
OG0000472	Syao.g_02082	Prbi.g_00290
OG0000473	Syao.g_02080	Prbi.g_00292
OG0000474	Syao.g_02079	Prbi.g_00293
OG0000475	Syao.g_02078	Prbi.g_00294
OG0000476	Syao.g_02076	Prbi.g_00295
OG0000477	Syao.g_02069	Prbi.g_00299
OG0000478	Syao.g_02068	Prbi.g_00300
OG0000479	Syao.g_02067	Prbi.g_00301
OG0000480	Syao.g_02060	Prbi.g_00306
OG0000481	Syao.g_01012	Prbi.g_00308
OG0000482	Syao.g_02058	Prbi.g_00309
OG0000483	Syao.g_02054	Prbi.g_00312
OG0000484	Syao.g_02053	Prbi.g_00313
OG0000485	Syao.g_02052	Prbi.g_00314
OG0000486	Syao.g_02051	Prbi.g_00315
OG0000487	Syao.g_02044	Prbi.g_00319
OG0000488	Syao.g_02040	Prbi.g_00322
OG0000489	Syao.g_02033	Prbi.g_00327
OG0000490	Syao.g_02025	Prbi.g_00332
OG0000491	Syao.g_02024	Prbi.g_00333
OG0000492	Syao.g_02022	Prbi.g_00335
OG0000493	Syao.g_02021	Prbi.g_00336
OG0000494	Syao.g_02020	Prbi.g_00337
OG0000495	Syao.g_02018	Prbi.g_00338
OG0000496	Syao.g_02017	Prbi.g_00339
OG0000497	Syao.g_02016	Prbi.g_00340
OG0000498	Syao.g_02015	Prbi.g_00341
OG0000499	Syao.g_02014	Prbi.g_00342
OG0000500	Syao.g_02013	Prbi.g_00343
OG0000501	Syao.g_02010	Prbi.g_00345
OG0000502	Syao.g_01974	Prbi.g_00348
OG0000503	Syao.g_01877	Prbi.g_00358
OG0000504	Syao.g_01875	Prbi.g_00359
OG0000505	Syao.g_01874	Prbi.g_00360
OG0000506	Syao.g_01872	Prbi.g_00362
OG0000507	Syao.g_01866	Prbi.g_00365
OG0000508	Syao.g_01750	Prbi.g_00369
OG0000509	Syao.g_01755	Prbi.g_00371
OG0000510	Syao.g_01756	Prbi.g_00372
OG0000511	Syao.g_01757	Prbi.g_00373
OG0000512	Syao.g_01759	Prbi.g_00375
OG0000513	Syao.g_01720	Prbi.g_00382
OG0000514	Syao.g_01727	Prbi.g_00432
OG0000515	Syao.g_01728	Prbi.g_00433
OG0000516	Syao.g_01730	Prbi.g_00434
OG0000517	Syao.g_01735	Prbi.g_00436
OG0000518	Syao.g_01621	Prbi.g_00447
OG0000519	Syao.g_01622	Prbi.g_00448
OG0000520	Syao.g_01512	Prbi.g_00449
OG0000521	Syao.g_00061	Prbi.g_00454
OG0000522	Syao.g_00059	Prbi.g_00456
OG0000523	Syao.g_00058	Prbi.g_00457
OG0000524	Syao.g_02699	Prbi.g_00463
OG0000525	Syao.g_02691	Prbi.g_00466
OG0000526	Syao.g_02688	Prbi.g_00467
OG0000527	Syao.g_02684	Prbi.g_00476
OG0000528	Syao.g_00031	Prbi.g_00481
OG0000529	Syao.g_00027	Prbi.g_00484
OG0000530	Syao.g_00122	Prbi.g_00487
OG0000531	Syao.g_00121	Prbi.g_00488
OG0000532	Syao.g_00118	Prbi.g_00490
OG0000533	Syao.g_00116	Prbi.g_00491
OG0000534	Syao.g_00115	Prbi.g_00492
OG0000535	Syao.g_00114	Prbi.g_00493
OG0000536	Syao.g_00113	Prbi.g_00494
OG0000537	Syao.g_00112	Prbi.g_00495
OG0000538	Syao.g_00100	Prbi.g_00503
OG0000539	Syao.g_00099	Prbi.g_00504
OG0000540	Syao.g_00098	Prbi.g_00505
OG0000541	Syao.g_00097	Prbi.g_00506
OG0000542	Syao.g_00167	Prbi.g_00508
OG0000543	Syao.g_00165	Prbi.g_00510
OG0000544	Syao.g_00164	Prbi.g_00511
OG0000545	Syao.g_00162	Prbi.g_00513
OG0000546	Syao.g_00160	Prbi.g_00516
OG0000547	Syao.g_00158	Prbi.g_00518
OG0000548	Syao.g_00157	Prbi.g_00519
OG0000549	Syao.g_01391	Prbi.g_00521
OG0000550	Syao.g_01396	Prbi.g_00526
OG0000551	Syao.g_01401	Prbi.g_00530
OG0000552	Syao.g_01402	Prbi.g_00531
OG0000553	Syao.g_01404	Prbi.g_00532
OG0000554	Syao.g_01413	Prbi.g_00537
OG0000555	Syao.g_00875	Prbi.g_00545
OG0000556	Syao.g_00871	Prbi.g_00547
OG0000557	Syao.g_00866	Prbi.g_00548
OG0000558	Syao.g_00864	Prbi.g_00550
OG0000559	Syao.g_00860	Prbi.g_00554
OG0000560	Syao.g_00857	Prbi.g_00557
OG0000561	Syao.g_00856	Prbi.g_00558
OG0000562	Syao.g_00855	Prbi.g_00559
OG0000563	Syao.g_00854	Prbi.g_00560
OG0000564	Syao.g_00853	Prbi.g_00561
OG0000565	Syao.g_00849	Prbi.g_00564
OG0000566	Syao.g_00845	Prbi.g_00566
OG0000567	Syao.g_00841	Prbi.g_00570
OG0000568	Syao.g_00839	Prbi.g_00571
OG0000569	Syao.g_00838	Prbi.g_00572
OG0000570	Syao.g_00837	Prbi.g_00573
OG0000571	Syao.g_00834	Prbi.g_00575
OG0000572	Syao.g_01033	Prbi.g_00588
OG0000573	Syao.g_01022	Prbi.g_00594
