Orthogroup	Prar	Praj
OG0000044	Prar.g_01263	Praj.g_01461
OG0000045	Prar.g_00362	Praj.g_00839
OG0000046	Prar.g_01150	Praj.g_01762
OG0000047	Prar.g_00653, Prar.g_00592	Praj.g_02012
OG0000048	Prar.g_00660	Praj.g_02020
OG0000050	Prar.g_00007	Praj.g_00031
OG0000051	Prar.g_00170, Prar.g_01569	Praj.g_00197
OG0000052	Prar.g_00431	Praj.g_01156, Praj.g_01282
OG0000053	Prar.g_01369	Praj.g_00530
OG0000054	Prar.g_01644	Praj.g_00042
OG0000055	Prar.g_01706	Praj.g_00793, Praj.g_01176
OG0000056	Prar.g_01307	Praj.g_00043
OG0000057	Prar.g_00090	Praj.g_00277
OG0000058	Prar.g_00525	Praj.g_00467
OG0000059	Prar.g_01528	Praj.g_01313, Praj.g_00691
OG0000060	Prar.g_01628, Prar.g_01004, Prar.g_01562, Prar.g_01558	Praj.g_01170
OG0000061	Prar.g_01298	Praj.g_01563
OG0000062	Prar.g_01296	Praj.g_01832
OG0000063	Prar.g_01003	Praj.g_01355
OG0000065	Prar.g_00955	Praj.g_01528
OG0000066	Prar.g_00880	Praj.g_00664
OG0000067	Prar.g_00988	Praj.g_01158, Praj.g_01323
OG0000068	Prar.g_01027	Praj.g_01952
OG0000069	Prar.g_00886	Praj.g_01669
OG0000071	Prar.g_00027	Praj.g_00011
OG0000072	Prar.g_00265	Praj.g_00357
OG0000073	Prar.g_01499	Praj.g_00659
OG0000074	Prar.g_01521	Praj.g_00684
OG0000075	Prar.g_01691	Praj.g_00776
OG0000076	Prar.g_01904	Praj.g_01024
OG0000077	Prar.g_00712	Praj.g_00416, Praj.g_01079, Praj.g_01203, Praj.g_01273, Praj.g_01310, Praj.g_01731, Praj.g_01358
OG0000078	Prar.g_00872	Praj.g_00372
OG0000079	Prar.g_00769	Praj.g_01714
OG0000080	Prar.g_01166	Praj.g_01166
OG0000081	Prar.g_00627	Praj.g_01985
OG0000082	Prar.g_00072	Praj.g_02103
OG0000083	Prar.g_00035	Praj.g_00003
OG0000084	Prar.g_00032	Praj.g_00006
OG0000085	Prar.g_00015	Praj.g_00023
OG0000086	Prar.g_00581	Praj.g_01154
OG0000087	Prar.g_00570	Praj.g_00053
OG0000088	Prar.g_00215	Praj.g_00153
OG0000089	Prar.g_00207	Praj.g_00162
OG0000090	Prar.g_00189	Praj.g_00179
OG0000091	Prar.g_00158	Praj.g_00209
OG0000092	Prar.g_00157	Praj.g_00210
OG0000093	Prar.g_00143	Praj.g_00223
OG0000094	Prar.g_00125	Praj.g_00242
OG0000095	Prar.g_00120	Praj.g_00246
OG0000096	Prar.g_00076	Praj.g_00290
OG0000097	Prar.g_00313	Praj.g_00310
OG0000098	Prar.g_00303	Praj.g_00320
OG0000099	Prar.g_00293	Praj.g_00329
OG0000100	Prar.g_01154	Praj.g_00332
OG0000101	Prar.g_00417	Praj.g_00405
OG0000102	Prar.g_00444	Praj.g_01279
OG0000103	Prar.g_00526	Praj.g_00468
OG0000104	Prar.g_00530	Praj.g_00473
OG0000105	Prar.g_01330	Praj.g_00491
OG0000106	Prar.g_01362	Praj.g_00523
OG0000107	Prar.g_01363	Praj.g_00524
OG0000108	Prar.g_01373	Praj.g_00534
OG0000109	Prar.g_01382	Praj.g_00543
OG0000110	Prar.g_01398	Praj.g_00559
OG0000111	Prar.g_01481	Praj.g_00639
OG0000112	Prar.g_01482	Praj.g_00640
OG0000113	Prar.g_01621	Praj.g_00722
OG0000114	Prar.g_01682	Praj.g_00767
OG0000115	Prar.g_01833	Praj.g_01601, Praj.g_00946
OG0000116	Prar.g_01837	Praj.g_00950
OG0000117	Prar.g_01901	Praj.g_01021
OG0000118	Prar.g_01953	Praj.g_01196
OG0000119	Prar.g_01293	Praj.g_01835
OG0000120	Prar.g_01257	Praj.g_01455
OG0000121	Prar.g_01238	Praj.g_01433
OG0000122	Prar.g_01219	Praj.g_01413
OG0000123	Prar.g_01206	Praj.g_01402
OG0000124	Prar.g_00376	Praj.g_01014
OG0000125	Prar.g_00943	Praj.g_01540
OG0000126	Prar.g_00911	Praj.g_01575
OG0000127	Prar.g_00352	Praj.g_01618
OG0000128	Prar.g_00338	Praj.g_01633
OG0000129	Prar.g_00810	Praj.g_01667
OG0000130	Prar.g_01145	Praj.g_01766
OG0000131	Prar.g_01959	Praj.g_01803
OG0000132	Prar.g_00595	Praj.g_01805
OG0000133	Prar.g_01068	Praj.g_01910
OG0000134	Prar.g_01032	Praj.g_01946
OG0000135	Prar.g_01030	Praj.g_01948
OG0000136	Prar.g_00638	Praj.g_01997
OG0000137	Prar.g_00669	Praj.g_02034
OG0000138	Prar.g_00704	Praj.g_02091
OG0000139	Prar.g_00055	Praj.g_02128
OG0000140	Prar.g_00037	Praj.g_00001
OG0000141	Prar.g_00036	Praj.g_00002
OG0000142	Prar.g_00034	Praj.g_00004
OG0000143	Prar.g_00033	Praj.g_00005
OG0000144	Prar.g_00031	Praj.g_00007
OG0000145	Prar.g_00030	Praj.g_00008
OG0000146	Prar.g_00029	Praj.g_00009
OG0000147	Prar.g_00028	Praj.g_00010
OG0000148	Prar.g_00026	Praj.g_00012
OG0000149	Prar.g_00024	Praj.g_00014
OG0000150	Prar.g_00023	Praj.g_00015
OG0000151	Prar.g_00022	Praj.g_00016
OG0000152	Prar.g_00021	Praj.g_00017
OG0000153	Prar.g_00020	Praj.g_00018
OG0000154	Prar.g_00019	Praj.g_00019
OG0000155	Prar.g_00018	Praj.g_00020
OG0000156	Prar.g_00017	Praj.g_00021
OG0000157	Prar.g_00016	Praj.g_00022
OG0000158	Prar.g_00014	Praj.g_00024
OG0000159	Prar.g_00013	Praj.g_00025
OG0000160	Prar.g_00012	Praj.g_00026
OG0000161	Prar.g_00011	Praj.g_00027
OG0000162	Prar.g_00010	Praj.g_00028
OG0000163	Prar.g_00009	Praj.g_00029
OG0000164	Prar.g_00006	Praj.g_00032
OG0000165	Prar.g_00002	Praj.g_00034
OG0000166	Prar.g_00001	Praj.g_00035
OG0000167	Prar.g_00594	Praj.g_00036
OG0000168	Prar.g_00580	Praj.g_00044
OG0000169	Prar.g_00578	Praj.g_00046
OG0000170	Prar.g_00577	Praj.g_00047
OG0000171	Prar.g_00576	Praj.g_00048
OG0000172	Prar.g_00574	Praj.g_00049
OG0000173	Prar.g_00573	Praj.g_00050
OG0000174	Prar.g_00572	Praj.g_00051
OG0000175	Prar.g_00571	Praj.g_00052
OG0000176	Prar.g_00569	Praj.g_00054
OG0000177	Prar.g_00568	Praj.g_00055
OG0000178	Prar.g_00567	Praj.g_00056
OG0000179	Prar.g_00554	Praj.g_00102
OG0000180	Prar.g_00553	Praj.g_00103
OG0000181	Prar.g_00552	Praj.g_00104
OG0000182	Prar.g_00549	Praj.g_00107
OG0000183	Prar.g_00548	Praj.g_00108
OG0000184	Prar.g_00255	Praj.g_00111
OG0000185	Prar.g_00251	Praj.g_00115
OG0000186	Prar.g_00250	Praj.g_00116
OG0000187	Prar.g_00249	Praj.g_00117
OG0000188	Prar.g_00248	Praj.g_00118
OG0000189	Prar.g_00247	Praj.g_00119
OG0000190	Prar.g_00246	Praj.g_00120
OG0000191	Prar.g_00245	Praj.g_00121
OG0000192	Prar.g_00244	Praj.g_00122
OG0000193	Prar.g_00243	Praj.g_00123
OG0000194	Prar.g_00242	Praj.g_00124
OG0000195	Prar.g_00240	Praj.g_00126
OG0000196	Prar.g_00239	Praj.g_00127
OG0000197	Prar.g_00238	Praj.g_00128
OG0000198	Prar.g_00237	Praj.g_00129
OG0000199	Prar.g_00234	Praj.g_00132
OG0000200	Prar.g_00233	Praj.g_00133
OG0000201	Prar.g_00232	Praj.g_00134
OG0000202	Prar.g_00231	Praj.g_00135
OG0000203	Prar.g_00230	Praj.g_00136
OG0000204	Prar.g_00229	Praj.g_00137
OG0000205	Prar.g_00228	Praj.g_00139
OG0000206	Prar.g_00227	Praj.g_00140
OG0000207	Prar.g_00226	Praj.g_00141
OG0000208	Prar.g_00225	Praj.g_00142
OG0000209	Prar.g_00224	Praj.g_00143
OG0000210	Prar.g_00222	Praj.g_00144
OG0000211	Prar.g_00221	Praj.g_00145
OG0000212	Prar.g_00220	Praj.g_00146
OG0000213	Prar.g_00219	Praj.g_00147
OG0000214	Prar.g_00217	Praj.g_00151
OG0000215	Prar.g_00216	Praj.g_00152
OG0000216	Prar.g_00214	Praj.g_00154
OG0000217	Prar.g_00213	Praj.g_00156
OG0000218	Prar.g_00212	Praj.g_00157
OG0000219	Prar.g_00211	Praj.g_00158
OG0000220	Prar.g_00208	Praj.g_00160
OG0000221	Prar.g_00206	Praj.g_00163
OG0000222	Prar.g_00205	Praj.g_00164
OG0000223	Prar.g_00204	Praj.g_00165
OG0000224	Prar.g_00201	Praj.g_00168
OG0000225	Prar.g_00199	Praj.g_00170
OG0000226	Prar.g_00198	Praj.g_00172
OG0000227	Prar.g_00197	Praj.g_00173
OG0000228	Prar.g_00196	Praj.g_00174
OG0000229	Prar.g_00195	Praj.g_00175
OG0000230	Prar.g_00194	Praj.g_00176
OG0000231	Prar.g_00192	Praj.g_01057
OG0000232	Prar.g_00191	Praj.g_00177
OG0000233	Prar.g_00188	Praj.g_00180
OG0000234	Prar.g_00186	Praj.g_00183
OG0000235	Prar.g_00182	Praj.g_00185
OG0000236	Prar.g_00181	Praj.g_00186
OG0000237	Prar.g_00180	Praj.g_00187
OG0000238	Prar.g_00179	Praj.g_00188
OG0000239	Prar.g_00178	Praj.g_00189
OG0000240	Prar.g_00176	Praj.g_00191
OG0000241	Prar.g_00175	Praj.g_00192
OG0000242	Prar.g_00174	Praj.g_00193
OG0000243	Prar.g_00173	Praj.g_00194
OG0000244	Prar.g_00172	Praj.g_00195
OG0000245	Prar.g_00171	Praj.g_00196
OG0000246	Prar.g_00169	Praj.g_00198
OG0000247	Prar.g_00168	Praj.g_00199
OG0000248	Prar.g_00167	Praj.g_00200
OG0000249	Prar.g_00166	Praj.g_00201
OG0000250	Prar.g_00165	Praj.g_00202
OG0000251	Prar.g_00164	Praj.g_00203
OG0000252	Prar.g_00163	Praj.g_00204
OG0000253	Prar.g_00162	Praj.g_00205
OG0000254	Prar.g_00160	Praj.g_00207
OG0000255	Prar.g_00159	Praj.g_00208
OG0000256	Prar.g_00156	Praj.g_00211
OG0000257	Prar.g_00154	Praj.g_00212
OG0000258	Prar.g_00153	Praj.g_00213
OG0000259	Prar.g_00152	Praj.g_00214
OG0000260	Prar.g_00151	Praj.g_00215
OG0000261	Prar.g_00150	Praj.g_00216
OG0000262	Prar.g_00149	Praj.g_00217
OG0000263	Prar.g_00148	Praj.g_00218
OG0000264	Prar.g_00146	Praj.g_00220
OG0000265	Prar.g_00145	Praj.g_00221
OG0000266	Prar.g_00144	Praj.g_00222
OG0000267	Prar.g_00142	Praj.g_00224
OG0000268	Prar.g_00141	Praj.g_00226
OG0000269	Prar.g_00140	Praj.g_00227
OG0000270	Prar.g_00139	Praj.g_00228
OG0000271	Prar.g_00138	Praj.g_00229
OG0000272	Prar.g_00137	Praj.g_00230
OG0000273	Prar.g_00136	Praj.g_00231
OG0000274	Prar.g_00135	Praj.g_00232
OG0000275	Prar.g_00134	Praj.g_00233
OG0000276	Prar.g_00133	Praj.g_00234
OG0000277	Prar.g_00132	Praj.g_00235
OG0000278	Prar.g_00131	Praj.g_00236
OG0000279	Prar.g_00130	Praj.g_00237
OG0000280	Prar.g_00129	Praj.g_00238
OG0000281	Prar.g_00127	Praj.g_00240
OG0000282	Prar.g_00126	Praj.g_00241
OG0000283	Prar.g_00123	Praj.g_00243
OG0000284	Prar.g_00122	Praj.g_00244
OG0000285	Prar.g_00121	Praj.g_00245
OG0000286	Prar.g_00119	Praj.g_00247
OG0000287	Prar.g_00118	Praj.g_00248
OG0000288	Prar.g_00117	Praj.g_00249
OG0000289	Prar.g_00116	Praj.g_00250
OG0000290	Prar.g_00115	Praj.g_00251
OG0000291	Prar.g_00114	Praj.g_00252
OG0000292	Prar.g_00113	Praj.g_00253
OG0000293	Prar.g_00112	Praj.g_00254
OG0000294	Prar.g_00111	Praj.g_00255
OG0000295	Prar.g_00110	Praj.g_00256
OG0000296	Prar.g_00109	Praj.g_00257
OG0000297	Prar.g_00108	Praj.g_00258
OG0000298	Prar.g_00107	Praj.g_00259
OG0000299	Prar.g_00106	Praj.g_00260
OG0000300	Prar.g_00105	Praj.g_00261
OG0000301	Prar.g_00104	Praj.g_00262
OG0000302	Prar.g_00103	Praj.g_00263
OG0000303	Prar.g_00102	Praj.g_00264
OG0000304	Prar.g_00101	Praj.g_00265
OG0000305	Prar.g_00100	Praj.g_00266
OG0000306	Prar.g_00099	Praj.g_00267
OG0000307	Prar.g_00098	Praj.g_00268
OG0000308	Prar.g_00097	Praj.g_00269
OG0000309	Prar.g_00096	Praj.g_00270
OG0000310	Prar.g_00095	Praj.g_00271
OG0000311	Prar.g_00094	Praj.g_00273
OG0000312	Prar.g_00092	Praj.g_00275
OG0000313	Prar.g_00091	Praj.g_00276
OG0000314	Prar.g_00088	Praj.g_00280
OG0000315	Prar.g_00087	Praj.g_00281
OG0000316	Prar.g_00085	Praj.g_00283
OG0000317	Prar.g_00083	Praj.g_00285
OG0000318	Prar.g_00082	Praj.g_00286
OG0000319	Prar.g_00081	Praj.g_00287
OG0000320	Prar.g_00080	Praj.g_00288
OG0000321	Prar.g_00077	Praj.g_00289
OG0000322	Prar.g_00334	Praj.g_00292
OG0000323	Prar.g_00333	Praj.g_00293
OG0000324	Prar.g_00330	Praj.g_00296
OG0000325	Prar.g_00328	Praj.g_00297
OG0000326	Prar.g_00327	Praj.g_00298
OG0000327	Prar.g_00325	Praj.g_00299
OG0000328	Prar.g_00324	Praj.g_00300
OG0000329	Prar.g_00323	Praj.g_00301
OG0000330	Prar.g_00322	Praj.g_00302
OG0000331	Prar.g_00321	Praj.g_00303
OG0000332	Prar.g_00320	Praj.g_00304
OG0000333	Prar.g_00319	Praj.g_00305
OG0000334	Prar.g_00318	Praj.g_00306
OG0000335	Prar.g_00317	Praj.g_00307
OG0000336	Prar.g_00316	Praj.g_00309
OG0000337	Prar.g_00312	Praj.g_00311
OG0000338	Prar.g_00311	Praj.g_00312
OG0000339	Prar.g_00310	Praj.g_00313
OG0000340	Prar.g_00309	Praj.g_00314
OG0000341	Prar.g_00305	Praj.g_00318
OG0000342	Prar.g_00304	Praj.g_00319
OG0000343	Prar.g_00302	Praj.g_00321
OG0000344	Prar.g_00301	Praj.g_00322
OG0000345	Prar.g_00300	Praj.g_00323
OG0000346	Prar.g_00299	Praj.g_00324
OG0000347	Prar.g_00298	Praj.g_00325
OG0000348	Prar.g_00297	Praj.g_00326
OG0000349	Prar.g_00296	Praj.g_00327
OG0000350	Prar.g_00295	Praj.g_00328
OG0000351	Prar.g_00292	Praj.g_00330
OG0000352	Prar.g_00289	Praj.g_00333
OG0000353	Prar.g_00288	Praj.g_00334
OG0000354	Prar.g_00287	Praj.g_00335
OG0000355	Prar.g_00286	Praj.g_00336
OG0000356	Prar.g_00285	Praj.g_00337
OG0000357	Prar.g_00284	Praj.g_00338
OG0000358	Prar.g_00283	Praj.g_00339
OG0000359	Prar.g_00282	Praj.g_00340
OG0000360	Prar.g_00279	Praj.g_00343
OG0000361	Prar.g_00278	Praj.g_00344
OG0000362	Prar.g_00277	Praj.g_00345
OG0000363	Prar.g_00276	Praj.g_00346
OG0000364	Prar.g_00275	Praj.g_00347
OG0000365	Prar.g_00274	Praj.g_00348
OG0000366	Prar.g_00273	Praj.g_00349
OG0000367	Prar.g_00272	Praj.g_00350
OG0000368	Prar.g_00271	Praj.g_00351
OG0000369	Prar.g_00270	Praj.g_00352
OG0000370	Prar.g_00269	Praj.g_00353
OG0000371	Prar.g_00268	Praj.g_00354
OG0000372	Prar.g_00266	Praj.g_00356
OG0000373	Prar.g_00264	Praj.g_00358
OG0000374	Prar.g_00263	Praj.g_00359
OG0000375	Prar.g_00262	Praj.g_00360
OG0000376	Prar.g_00260	Praj.g_00362
OG0000377	Prar.g_00259	Praj.g_00368
OG0000378	Prar.g_00258	Praj.g_00724
OG0000379	Prar.g_00394	Praj.g_00380
OG0000380	Prar.g_00395	Praj.g_00382
OG0000381	Prar.g_00396	Praj.g_00383
OG0000382	Prar.g_00398	Praj.g_00384
OG0000383	Prar.g_00401	Praj.g_00387
OG0000384	Prar.g_00402	Praj.g_00388
OG0000385	Prar.g_00405	Praj.g_00390
OG0000386	Prar.g_00406	Praj.g_00391
OG0000387	Prar.g_00407	Praj.g_00392
OG0000388	Prar.g_00408	Praj.g_00393
OG0000389	Prar.g_00409	Praj.g_00394
OG0000390	Prar.g_00410	Praj.g_00395
OG0000391	Prar.g_00411	Praj.g_00396
OG0000392	Prar.g_00412	Praj.g_00397
OG0000393	Prar.g_00415	Praj.g_00402
OG0000394	Prar.g_00416	Praj.g_00403
OG0000395	Prar.g_00418	Praj.g_00406
OG0000396	Prar.g_00419	Praj.g_00824
OG0000397	Prar.g_00432	Praj.g_01049
OG0000398	Prar.g_00440	Praj.g_01081
OG0000399	Prar.g_00441	Praj.g_01244
OG0000400	Prar.g_00446	Praj.g_01869
OG0000401	Prar.g_00479	Praj.g_00425
OG0000402	Prar.g_00480	Praj.g_00426
OG0000403	Prar.g_00481	Praj.g_00427
OG0000404	Prar.g_00483	Praj.g_00429
OG0000405	Prar.g_00484	Praj.g_00430
OG0000406	Prar.g_00486	Praj.g_00432
OG0000407	Prar.g_00487	Praj.g_00433
OG0000408	Prar.g_00488	Praj.g_00434
OG0000409	Prar.g_00489	Praj.g_00435
OG0000410	Prar.g_00490	Praj.g_00436
OG0000411	Prar.g_00491	Praj.g_00437
OG0000412	Prar.g_00492	Praj.g_00438
OG0000413	Prar.g_00493	Praj.g_00439
OG0000414	Prar.g_00494	Praj.g_00440
OG0000415	Prar.g_00495	Praj.g_00441
OG0000416	Prar.g_00496	Praj.g_00442
OG0000417	Prar.g_00497	Praj.g_00443
OG0000418	Prar.g_00498	Praj.g_00444
OG0000419	Prar.g_00499	Praj.g_00445
OG0000420	Prar.g_00500	Praj.g_00446
OG0000421	Prar.g_00501	Praj.g_00447
OG0000422	Prar.g_00503	Praj.g_00449
OG0000423	Prar.g_00504	Praj.g_00450
OG0000424	Prar.g_00506	Praj.g_00451
OG0000425	Prar.g_00510	Praj.g_00457
OG0000426	Prar.g_00511	Praj.g_00458
OG0000427	Prar.g_00512	Praj.g_00459
OG0000428	Prar.g_00513	Praj.g_00461
OG0000429	Prar.g_00514	Praj.g_00462
OG0000430	Prar.g_00521	Praj.g_00464
OG0000431	Prar.g_00523	Praj.g_00465
OG0000432	Prar.g_00524	Praj.g_00466
OG0000433	Prar.g_00527	Praj.g_00469
OG0000434	Prar.g_00528	Praj.g_00471
OG0000435	Prar.g_00529	Praj.g_00472
OG0000436	Prar.g_00531	Praj.g_00474
OG0000437	Prar.g_00533	Praj.g_00476
OG0000438	Prar.g_00534	Praj.g_00477
OG0000439	Prar.g_00535	Praj.g_00478
OG0000440	Prar.g_00537	Praj.g_00479
OG0000441	Prar.g_00538	Praj.g_00480
OG0000442	Prar.g_00539	Praj.g_00481
OG0000443	Prar.g_00540	Praj.g_00482
OG0000444	Prar.g_00541	Praj.g_00483
OG0000445	Prar.g_00542	Praj.g_00484
OG0000446	Prar.g_00543	Praj.g_00485
OG0000447	Prar.g_00544	Praj.g_00486
OG0000448	Prar.g_00545	Praj.g_00487
OG0000449	Prar.g_01331	Praj.g_00492
OG0000450	Prar.g_01332	Praj.g_00493
OG0000451	Prar.g_01333	Praj.g_00494
OG0000452	Prar.g_01334	Praj.g_00495
OG0000453	Prar.g_01336	Praj.g_00497
OG0000454	Prar.g_01337	Praj.g_00498
OG0000455	Prar.g_01338	Praj.g_00499
OG0000456	Prar.g_01339	Praj.g_00500
OG0000457	Prar.g_01341	Praj.g_00502
OG0000458	Prar.g_01343	Praj.g_00504
OG0000459	Prar.g_01344	Praj.g_00505
OG0000460	Prar.g_01345	Praj.g_00507
OG0000461	Prar.g_01346	Praj.g_00508
OG0000462	Prar.g_01347	Praj.g_00509
OG0000463	Prar.g_01348	Praj.g_00511
OG0000464	Prar.g_01353	Praj.g_00515
OG0000465	Prar.g_01355	Praj.g_00516
OG0000466	Prar.g_01356	Praj.g_00517
OG0000467	Prar.g_01357	Praj.g_00518
OG0000468	Prar.g_01358	Praj.g_00519
OG0000469	Prar.g_01359	Praj.g_00520
OG0000470	Prar.g_01360	Praj.g_00521
OG0000471	Prar.g_01361	Praj.g_00522
OG0000472	Prar.g_01364	Praj.g_00525
OG0000473	Prar.g_01365	Praj.g_00526
OG0000474	Prar.g_01366	Praj.g_00527
OG0000475	Prar.g_01367	Praj.g_00528
OG0000476	Prar.g_01368	Praj.g_00529
OG0000477	Prar.g_01370	Praj.g_00531
OG0000478	Prar.g_01371	Praj.g_00532
OG0000479	Prar.g_01372	Praj.g_00533
OG0000480	Prar.g_01374	Praj.g_00535
OG0000481	Prar.g_01375	Praj.g_00536
OG0000482	Prar.g_01376	Praj.g_00537
OG0000483	Prar.g_01377	Praj.g_00538
OG0000484	Prar.g_01378	Praj.g_00539
OG0000485	Prar.g_01379	Praj.g_00540
OG0000486	Prar.g_01380	Praj.g_00541
OG0000487	Prar.g_01381	Praj.g_00542
OG0000488	Prar.g_01383	Praj.g_00544
OG0000489	Prar.g_01384	Praj.g_00545
OG0000490	Prar.g_01385	Praj.g_00546
OG0000491	Prar.g_01386	Praj.g_00547
OG0000492	Prar.g_01387	Praj.g_00548
OG0000493	Prar.g_01388	Praj.g_00549
OG0000494	Prar.g_01390	Praj.g_00551
OG0000495	Prar.g_01391	Praj.g_00552
OG0000496	Prar.g_01392	Praj.g_00553
OG0000497	Prar.g_01393	Praj.g_00554
OG0000498	Prar.g_01394	Praj.g_00555
OG0000499	Prar.g_01396	Praj.g_00557
OG0000500	Prar.g_01397	Praj.g_00558
OG0000501	Prar.g_01399	Praj.g_00560
OG0000502	Prar.g_01400	Praj.g_00561
OG0000503	Prar.g_01401	Praj.g_00562
OG0000504	Prar.g_01402	Praj.g_00563
OG0000505	Prar.g_01403	Praj.g_00564
OG0000506	Prar.g_01404	Praj.g_00565
OG0000507	Prar.g_01405	Praj.g_00566
OG0000508	Prar.g_01407	Praj.g_00567
OG0000509	Prar.g_01408	Praj.g_00568
OG0000510	Prar.g_01409	Praj.g_00569
OG0000511	Prar.g_01410	Praj.g_00570
OG0000512	Prar.g_01411	Praj.g_00571
OG0000513	Prar.g_01412	Praj.g_00572
OG0000514	Prar.g_01413	Praj.g_00573
OG0000515	Prar.g_01415	Praj.g_00574
OG0000516	Prar.g_01416	Praj.g_00575
OG0000517	Prar.g_01417	Praj.g_00576
OG0000518	Prar.g_01420	Praj.g_00578
OG0000519	Prar.g_01422	Praj.g_00579
OG0000520	Prar.g_01423	Praj.g_00581
OG0000521	Prar.g_01424	Praj.g_00580
OG0000522	Prar.g_01425	Praj.g_00582
OG0000523	Prar.g_01426	Praj.g_00583
OG0000524	Prar.g_01427	Praj.g_00584
OG0000525	Prar.g_01429	Praj.g_00586
OG0000526	Prar.g_01430	Praj.g_00587
OG0000527	Prar.g_01431	Praj.g_00588
OG0000528	Prar.g_01432	Praj.g_00589
OG0000529	Prar.g_01433	Praj.g_00590
OG0000530	Prar.g_01434	Praj.g_00591
OG0000531	Prar.g_01435	Praj.g_00593
OG0000532	Prar.g_01436	Praj.g_00594
OG0000533	Prar.g_01437	Praj.g_00595
OG0000534	Prar.g_01438	Praj.g_00596
OG0000535	Prar.g_01439	Praj.g_00597
OG0000536	Prar.g_01440	Praj.g_00598
OG0000537	Prar.g_01441	Praj.g_00599
OG0000538	Prar.g_01442	Praj.g_00600
OG0000539	Prar.g_01443	Praj.g_00601
OG0000540	Prar.g_01444	Praj.g_00602
OG0000541	Prar.g_01445	Praj.g_00603
OG0000542	Prar.g_01446	Praj.g_00604
OG0000543	Prar.g_01447	Praj.g_00605
OG0000544	Prar.g_01448	Praj.g_00606
OG0000545	Prar.g_01451	Praj.g_00609
OG0000546	Prar.g_01452	Praj.g_00610
OG0000547	Prar.g_01454	Praj.g_00611
OG0000548	Prar.g_01455	Praj.g_00613
OG0000549	Prar.g_01456	Praj.g_00614
OG0000550	Prar.g_01457	Praj.g_00615
OG0000551	Prar.g_01458	Praj.g_00616
OG0000552	Prar.g_01459	Praj.g_00617
OG0000553	Prar.g_01460	Praj.g_00618
OG0000554	Prar.g_01461	Praj.g_00619
OG0000555	Prar.g_01462	Praj.g_00620
OG0000556	Prar.g_01463	Praj.g_00621
OG0000557	Prar.g_01464	Praj.g_00622
