Orthogroup	Prbi	Syao
OG0000032	Prbi.g_01497	Syao.g_01984, Syao.g_01983
OG0000035	Prbi.g_01589, Prbi.g_01591	Syao.g_01483, Syao.g_01486
OG0000037	Prbi.g_00116	Syao.g_00374
OG0000038	Prbi.g_02057	Syao.g_02440, Syao.g_02442
OG0000039	Prbi.g_00689	Syao.g_00704
OG0000040	Prbi.g_01187	Syao.g_00711
OG0000041	Prbi.g_01833	Syao.g_00509, Syao.g_01637
OG0000042	Prbi.g_02001	Syao.g_00019, Syao.g_01941
OG0000045	Prbi.g_00395	Syao.g_00148
OG0000048	Prbi.g_00398	Syao.g_02077
OG0000052	Prbi.g_01478	Syao.g_01085
OG0000053	Prbi.g_01611	Syao.g_00067
OG0000054	Prbi.g_00608	Syao.g_00295, Syao.g_00625
OG0000055	Prbi.g_00828	Syao.g_00498
OG0000057	Prbi.g_00702	Syao.g_00377
OG0000059	Prbi.g_01717	Syao.g_01959
OG0000059	Prbi.g_01873	Syao.g_01801
OG0000061	Prbi.g_01207	Syao.g_00123
OG0000062	Prbi.g_01668	Syao.g_01576
OG0000063	Prbi.g_00033	Syao.g_02230
OG0000065	Prbi.g_00114	Syao.g_02600
OG0000066	Prbi.g_00542	Syao.g_01422
OG0000067	Prbi.g_00847	Syao.g_00756
OG0000068	Prbi.g_01439	Syao.g_00868, Syao.g_00036
OG0000069	Prbi.g_01702	Syao.g_01265, Syao.g_01460, Syao.g_00313
OG0000070	Prbi.g_00451	Syao.g_00330
OG0000071	Prbi.g_01391	Syao.g_01433
OG0000072	Prbi.g_00195	Syao.g_02509, Syao.g_01749
OG0000073	Prbi.g_00502	Syao.g_00103
OG0000075	Prbi.g_01970	Syao.g_02257
OG0000076	Prbi.g_01994	Syao.g_01949
OG0000077	Prbi.g_00085	Syao.g_02629
OG0000078	Prbi.g_00263	Syao.g_01709
OG0000079	Prbi.g_00276	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Prbi.g_00587	Syao.g_01035
OG0000084	Prbi.g_01585	Syao.g_01509, Syao.g_02606
OG0000085	Prbi.g_01780	Syao.g_01569
OG0000086	Prbi.g_00095	Syao.g_02653, Syao.g_01240
OG0000087	Prbi.g_00147	Syao.g_02555
OG0000088	Prbi.g_00190	Syao.g_02503
OG0000089	Prbi.g_00380	Syao.g_01716
OG0000090	Prbi.g_00536	Syao.g_01412
OG0000091	Prbi.g_00645	Syao.g_00902
OG0000093	Prbi.g_00977	Syao.g_00739
OG0000094	Prbi.g_01067	Syao.g_00458
OG0000095	Prbi.g_01086	Syao.g_00331
OG0000097	Prbi.g_01248	Syao.g_00973
OG0000098	Prbi.g_01421	Syao.g_01374
OG0000099	Prbi.g_01462	Syao.g_02019
OG0000100	Prbi.g_01664	Syao.g_00787
OG0000101	Prbi.g_01938	Syao.g_01840
OG0000102	Prbi.g_01999	Syao.g_01945
OG0000103	Prbi.g_02091	Syao.g_02340
OG0000104	Prbi.g_02099	Syao.g_02157
OG0000105	Prbi.g_00298	Syao.g_02071, Syao.g_02072
OG0000106	Prbi.g_00394	Syao.g_01385
OG0000107	Prbi.g_00409	Syao.g_01935
OG0000108	Prbi.g_00483	Syao.g_00028
OG0000109	Prbi.g_00497	Syao.g_00110
OG0000110	Prbi.g_00577	Syao.g_01051
OG0000111	Prbi.g_00703	Syao.g_00378
OG0000112	Prbi.g_00811	Syao.g_00683, Syao.g_00303
OG0000113	Prbi.g_00869	Syao.g_00782
OG0000114	Prbi.g_00951	Syao.g_00965
OG0000115	Prbi.g_01148	Syao.g_01464, Syao.g_00065
OG0000116	Prbi.g_01197	Syao.g_00137
OG0000117	Prbi.g_01330	Syao.g_00169
OG0000118	Prbi.g_01403	Syao.g_01475
OG0000120	Prbi.g_01460	Syao.g_02009
OG0000121	Prbi.g_01593	Syao.g_01489
OG0000122	Prbi.g_01630	Syao.g_01247
OG0000123	Prbi.g_01945	Syao.g_01832
OG0000124	Prbi.g_02010	Syao.g_02179
OG0000125	Prbi.g_02059	Syao.g_02444
OG0000126	Prbi.g_02098	Syao.g_02198
OG0000127	Prbi.g_01300, Prbi.g_01549	Syao.g_01312
OG0000128	Prbi.g_00011	Syao.g_02149
OG0000129	Prbi.g_00053	Syao.g_02434
OG0000130	Prbi.g_00076	Syao.g_02617
OG0000131	Prbi.g_00169	Syao.g_02480
OG0000132	Prbi.g_00188	Syao.g_02501
OG0000133	Prbi.g_00346	Syao.g_00678
OG0000134	Prbi.g_00381	Syao.g_01719
OG0000135	Prbi.g_00407	Syao.g_00147
OG0000136	Prbi.g_00442	Syao.g_01614, Syao.g_01613
OG0000137	Prbi.g_00478	Syao.g_02682
OG0000138	Prbi.g_00498	Syao.g_00108
OG0000139	Prbi.g_00540	Syao.g_01418, Syao.g_02005
OG0000140	Prbi.g_00541	Syao.g_01373, Syao.g_01372
OG0000141	Prbi.g_00609	Syao.g_01202
OG0000142	Prbi.g_00638	Syao.g_00894
OG0000143	Prbi.g_00642	Syao.g_00898
OG0000145	Prbi.g_00807	Syao.g_00102
OG0000146	Prbi.g_00812	Syao.g_00684, Syao.g_00304
OG0000147	Prbi.g_00813	Syao.g_00305, Syao.g_00685
OG0000148	Prbi.g_00863	Syao.g_00776
OG0000149	Prbi.g_00894	Syao.g_00534
OG0000150	Prbi.g_00902	Syao.g_01203
OG0000151	Prbi.g_00961	Syao.g_00975
OG0000152	Prbi.g_01009	Syao.g_00674
OG0000153	Prbi.g_01028	Syao.g_00818, Syao.g_01176
OG0000154	Prbi.g_01060	Syao.g_00447
OG0000155	Prbi.g_01227	Syao.g_00178
OG0000156	Prbi.g_01380	Syao.g_00151
OG0000157	Prbi.g_01381	Syao.g_00152
OG0000158	Prbi.g_01489	Syao.g_01141, Syao.g_02267
OG0000159	Prbi.g_01490	Syao.g_02276
OG0000160	Prbi.g_01592	Syao.g_01488
OG0000161	Prbi.g_01598	Syao.g_01494
OG0000162	Prbi.g_01604	Syao.g_01515
OG0000163	Prbi.g_01637	Syao.g_01745
OG0000164	Prbi.g_01811	Syao.g_01663
OG0000165	Prbi.g_01818	Syao.g_01655
OG0000166	Prbi.g_01902	Syao.g_01790
OG0000167	Prbi.g_01968	Syao.g_01960
OG0000168	Prbi.g_01978	Syao.g_02128
OG0000169	Prbi.g_01988	Syao.g_02139
OG0000170	Prbi.g_01990	Syao.g_02148
OG0000171	Prbi.g_02009	Syao.g_02181
OG0000172	Prbi.g_02030	Syao.g_02170
OG0000173	Prbi.g_02045	Syao.g_02212
OG0000174	Prbi.g_02073	Syao.g_02364, Syao.g_02355
OG0000175	Prbi.g_02083	Syao.g_02327, Syao.g_00308
OG0000176	Prbi.g_00004	Syao.g_02165
OG0000177	Prbi.g_00005	Syao.g_02156
OG0000178	Prbi.g_00006	Syao.g_02155
OG0000179	Prbi.g_00016	Syao.g_02250
OG0000180	Prbi.g_00017	Syao.g_02249
OG0000181	Prbi.g_00018	Syao.g_02248
OG0000182	Prbi.g_00019	Syao.g_02247
OG0000183	Prbi.g_00023	Syao.g_02243
OG0000184	Prbi.g_00057	Syao.g_02423
OG0000185	Prbi.g_00060	Syao.g_02410
OG0000186	Prbi.g_00071	Syao.g_02613
OG0000187	Prbi.g_00072	Syao.g_02615
OG0000188	Prbi.g_00089	Syao.g_02637
OG0000189	Prbi.g_00103	Syao.g_02672
OG0000190	Prbi.g_00104	Syao.g_01015
OG0000191	Prbi.g_00125	Syao.g_02573
OG0000192	Prbi.g_00129	Syao.g_02579
OG0000193	Prbi.g_00170	Syao.g_02481
OG0000194	Prbi.g_00173	Syao.g_02484
OG0000195	Prbi.g_00175	Syao.g_02486
OG0000196	Prbi.g_00185	Syao.g_02498
OG0000197	Prbi.g_00186	Syao.g_02499
OG0000198	Prbi.g_00187	Syao.g_02500
OG0000199	Prbi.g_00194	Syao.g_02508
OG0000200	Prbi.g_00208	Syao.g_02524
OG0000201	Prbi.g_00216	Syao.g_02540
OG0000202	Prbi.g_00217	Syao.g_02454
OG0000203	Prbi.g_00218	Syao.g_02455
OG0000204	Prbi.g_00219	Syao.g_02456
OG0000205	Prbi.g_00226	Syao.g_02464
OG0000206	Prbi.g_00231	Syao.g_02469
OG0000207	Prbi.g_00233	Syao.g_02471
OG0000208	Prbi.g_00234	Syao.g_02472
OG0000209	Prbi.g_00243	Syao.g_02394
OG0000210	Prbi.g_00244	Syao.g_02395
OG0000211	Prbi.g_00257	Syao.g_01700
OG0000212	Prbi.g_00264	Syao.g_01710
OG0000213	Prbi.g_00281	Syao.g_02098
OG0000214	Prbi.g_00291	Syao.g_02081
OG0000215	Prbi.g_00316	Syao.g_02050
OG0000216	Prbi.g_00318	Syao.g_02045
OG0000217	Prbi.g_00321	Syao.g_02041
OG0000218	Prbi.g_00323	Syao.g_02039
OG0000219	Prbi.g_00324	Syao.g_02038
OG0000220	Prbi.g_00325	Syao.g_02037
OG0000221	Prbi.g_00326	Syao.g_02034
OG0000222	Prbi.g_00334	Syao.g_02023
OG0000223	Prbi.g_00347	Syao.g_00291
OG0000224	Prbi.g_00349	Syao.g_01973
OG0000225	Prbi.g_00370	Syao.g_01751
OG0000226	Prbi.g_00374	Syao.g_01758
OG0000227	Prbi.g_00376	Syao.g_01760
OG0000228	Prbi.g_00379	Syao.g_01715
OG0000229	Prbi.g_00437	Syao.g_01736
OG0000230	Prbi.g_00439	Syao.g_01738
OG0000231	Prbi.g_00450	Syao.g_01513
OG0000232	Prbi.g_00459	Syao.g_00057
OG0000233	Prbi.g_00465	Syao.g_02698
OG0000234	Prbi.g_00479	Syao.g_02680
OG0000235	Prbi.g_00482	Syao.g_00029
OG0000236	Prbi.g_00496	Syao.g_00111
OG0000237	Prbi.g_00509	Syao.g_00166
OG0000238	Prbi.g_00515	Syao.g_00161
OG0000239	Prbi.g_00528	Syao.g_01398
OG0000240	Prbi.g_00529	Syao.g_01399
OG0000241	Prbi.g_00533	Syao.g_00887
OG0000242	Prbi.g_00535	Syao.g_01410
OG0000243	Prbi.g_00546	Syao.g_00873
OG0000244	Prbi.g_00549	Syao.g_00865
OG0000245	Prbi.g_00551	Syao.g_00863
OG0000246	Prbi.g_00555	Syao.g_00859
OG0000247	Prbi.g_00565	Syao.g_00847
OG0000248	Prbi.g_00567	Syao.g_00844
OG0000249	Prbi.g_00569	Syao.g_00842
OG0000250	Prbi.g_00574	Syao.g_00835
OG0000251	Prbi.g_00593	Syao.g_01026
OG0000252	Prbi.g_00596	Syao.g_01020
OG0000253	Prbi.g_00597	Syao.g_01003
OG0000254	Prbi.g_00613	Syao.g_01053
OG0000255	Prbi.g_00619	Syao.g_01009
OG0000256	Prbi.g_00629	Syao.g_01328
OG0000257	Prbi.g_00632	Syao.g_00884
OG0000258	Prbi.g_00646	Syao.g_00907
OG0000259	Prbi.g_00663	Syao.g_00933, Syao.g_00932
OG0000260	Prbi.g_00666	Syao.g_00936
OG0000261	Prbi.g_00668	Syao.g_00941
OG0000262	Prbi.g_00672	Syao.g_00946
OG0000263	Prbi.g_00684	Syao.g_00247
OG0000264	Prbi.g_00694	Syao.g_00699
OG0000265	Prbi.g_00745	Syao.g_00049
OG0000266	Prbi.g_00755	Syao.g_00480
OG0000267	Prbi.g_00766	Syao.g_00589
OG0000268	Prbi.g_00767	Syao.g_00588
OG0000269	Prbi.g_00842	Syao.g_00751
OG0000270	Prbi.g_00845	Syao.g_00754
OG0000271	Prbi.g_00853	Syao.g_00762
OG0000272	Prbi.g_00854	Syao.g_00763
OG0000273	Prbi.g_00877	Syao.g_00791
OG0000274	Prbi.g_00878	Syao.g_00792
OG0000275	Prbi.g_00881	Syao.g_00438
OG0000276	Prbi.g_00886	Syao.g_00558
OG0000277	Prbi.g_00887	Syao.g_00557
OG0000278	Prbi.g_00890	Syao.g_00554
OG0000279	Prbi.g_00897	Syao.g_00529
OG0000280	Prbi.g_00898	Syao.g_00608
OG0000281	Prbi.g_00903	Syao.g_01377
OG0000282	Prbi.g_00953	Syao.g_00967
OG0000283	Prbi.g_00986	Syao.g_00640
OG0000284	Prbi.g_00991	Syao.g_00634
OG0000285	Prbi.g_00996	Syao.g_00706
OG0000286	Prbi.g_01008	Syao.g_00675
OG0000287	Prbi.g_01025	Syao.g_00825
OG0000288	Prbi.g_01059	Syao.g_00446
OG0000289	Prbi.g_01070	Syao.g_00461
OG0000290	Prbi.g_01083	Syao.g_00428
OG0000291	Prbi.g_01085	Syao.g_00333
OG0000292	Prbi.g_01136	Syao.g_02196
OG0000293	Prbi.g_01198	Syao.g_00136
OG0000294	Prbi.g_01199	Syao.g_00135
OG0000295	Prbi.g_01219	Syao.g_00186
OG0000296	Prbi.g_01221	Syao.g_00184
OG0000297	Prbi.g_01229	Syao.g_00171
OG0000298	Prbi.g_01230	Syao.g_00170
OG0000299	Prbi.g_01247	Syao.g_00231
OG0000300	Prbi.g_01250	Syao.g_00274
OG0000301	Prbi.g_01251	Syao.g_00272, Syao.g_00273
OG0000302	Prbi.g_01253	Syao.g_00271
OG0000303	Prbi.g_01260	Syao.g_00262
OG0000304	Prbi.g_01264	Syao.g_00256
OG0000305	Prbi.g_01431	Syao.g_00388
OG0000306	Prbi.g_01434	Syao.g_01216
OG0000307	Prbi.g_01448	Syao.g_00045
OG0000308	Prbi.g_01449	Syao.g_00047
OG0000309	Prbi.g_01453	Syao.g_02705
OG0000310	Prbi.g_01574	Syao.g_01530
OG0000311	Prbi.g_01576	Syao.g_01533
OG0000312	Prbi.g_01579	Syao.g_01538
OG0000313	Prbi.g_01595	Syao.g_01491
OG0000314	Prbi.g_01617	Syao.g_00078
OG0000315	Prbi.g_01627	Syao.g_00088
OG0000316	Prbi.g_01647	Syao.g_01602
OG0000317	Prbi.g_01785	Syao.g_01560
OG0000318	Prbi.g_01788	Syao.g_01553
OG0000319	Prbi.g_01801	Syao.g_01678
OG0000320	Prbi.g_01803	Syao.g_01676
OG0000321	Prbi.g_01804	Syao.g_01675
OG0000322	Prbi.g_01805	Syao.g_01674
OG0000323	Prbi.g_01814	Syao.g_01661
OG0000324	Prbi.g_01840	Syao.g_01630
OG0000325	Prbi.g_01849	Syao.g_01936
OG0000326	Prbi.g_01855	Syao.g_01918
OG0000327	Prbi.g_01897	Syao.g_01795
OG0000328	Prbi.g_01898	Syao.g_01794
OG0000329	Prbi.g_01915	Syao.g_01776
OG0000330	Prbi.g_01916	Syao.g_01775
OG0000331	Prbi.g_01917	Syao.g_01774
OG0000332	Prbi.g_01931	Syao.g_01813
OG0000333	Prbi.g_01933	Syao.g_01810
OG0000334	Prbi.g_01941	Syao.g_01836
OG0000335	Prbi.g_01946	Syao.g_01831
OG0000336	Prbi.g_01950	Syao.g_01827
OG0000337	Prbi.g_01966	Syao.g_01968
OG0000338	Prbi.g_01967	Syao.g_01962
OG0000339	Prbi.g_01971	Syao.g_02259
OG0000340	Prbi.g_01979	Syao.g_02129
OG0000341	Prbi.g_01981	Syao.g_02131
OG0000342	Prbi.g_01982	Syao.g_02132
OG0000343	Prbi.g_01983	Syao.g_02133
OG0000344	Prbi.g_01986	Syao.g_02137
OG0000345	Prbi.g_01991	Syao.g_01953
OG0000346	Prbi.g_01995	Syao.g_01948
OG0000347	Prbi.g_02011	Syao.g_02178
OG0000348	Prbi.g_02033	Syao.g_02166
OG0000349	Prbi.g_02050	Syao.g_02219
OG0000350	Prbi.g_02069	Syao.g_01925
OG0000351	Prbi.g_02086	Syao.g_02331
OG0000352	Prbi.g_02087	Syao.g_02332
OG0000353	Prbi.g_02102	Syao.g_02160
OG0000355	Prbi.g_00001	Syao.g_02162
OG0000356	Prbi.g_00002	Syao.g_02163
OG0000357	Prbi.g_00003	Syao.g_02164
OG0000358	Prbi.g_00007	Syao.g_02154
OG0000359	Prbi.g_00008	Syao.g_02152
OG0000360	Prbi.g_00009	Syao.g_02151
OG0000361	Prbi.g_00010	Syao.g_02150
OG0000362	Prbi.g_00012	Syao.g_01954
OG0000363	Prbi.g_00014	Syao.g_02255
OG0000364	Prbi.g_00015	Syao.g_01558
OG0000365	Prbi.g_00020	Syao.g_02246
OG0000366	Prbi.g_00021	Syao.g_02245
OG0000367	Prbi.g_00022	Syao.g_02244
OG0000368	Prbi.g_00024	Syao.g_02242
OG0000369	Prbi.g_00025	Syao.g_02241
OG0000370	Prbi.g_00026	Syao.g_02240
OG0000371	Prbi.g_00032	Syao.g_02231
OG0000372	Prbi.g_00035	Syao.g_02226
OG0000373	Prbi.g_00036	Syao.g_02225
OG0000374	Prbi.g_00037	Syao.g_02224
OG0000375	Prbi.g_00049	Syao.g_02223
OG0000376	Prbi.g_00051	Syao.g_02221
OG0000377	Prbi.g_00056	Syao.g_02429
OG0000378	Prbi.g_00058	Syao.g_02414
OG0000379	Prbi.g_00061	Syao.g_02409
OG0000380	Prbi.g_00073	Syao.g_02616
OG0000381	Prbi.g_00077	Syao.g_02618
OG0000382	Prbi.g_00088	Syao.g_02636
OG0000383	Prbi.g_00090	Syao.g_02643
OG0000384	Prbi.g_00091	Syao.g_02644
OG0000385	Prbi.g_00092	Syao.g_02645
OG0000386	Prbi.g_00093	Syao.g_02646
OG0000387	Prbi.g_00106	Syao.g_01019
OG0000388	Prbi.g_00109	Syao.g_02596
OG0000389	Prbi.g_00113	Syao.g_02599
OG0000390	Prbi.g_00120	Syao.g_02567
OG0000391	Prbi.g_00124	Syao.g_02572
OG0000392	Prbi.g_00128	Syao.g_02578
OG0000393	Prbi.g_00130	Syao.g_02581
OG0000394	Prbi.g_00131	Syao.g_02582
OG0000395	Prbi.g_00132	Syao.g_02583
OG0000396	Prbi.g_00135	Syao.g_02586
OG0000397	Prbi.g_00137	Syao.g_02542
OG0000398	Prbi.g_00139	Syao.g_02547
OG0000399	Prbi.g_00140	Syao.g_02548
OG0000400	Prbi.g_00141	Syao.g_02549
OG0000401	Prbi.g_00142	Syao.g_02550
OG0000402	Prbi.g_00144	Syao.g_02552
OG0000403	Prbi.g_00145	Syao.g_02553
OG0000404	Prbi.g_00146	Syao.g_02554
OG0000405	Prbi.g_00150	Syao.g_02478
OG0000406	Prbi.g_00171	Syao.g_02482
OG0000407	Prbi.g_00172	Syao.g_02483
OG0000408	Prbi.g_00174	Syao.g_02485
OG0000409	Prbi.g_00176	Syao.g_02487
OG0000410	Prbi.g_00177	Syao.g_02488
OG0000411	Prbi.g_00178	Syao.g_02489
OG0000412	Prbi.g_00179	Syao.g_02490
OG0000413	Prbi.g_00180	Syao.g_02492
OG0000414	Prbi.g_00181	Syao.g_02493
OG0000415	Prbi.g_00182	Syao.g_02494
OG0000416	Prbi.g_00183	Syao.g_02495
OG0000417	Prbi.g_00184	Syao.g_02497
OG0000418	Prbi.g_00189	Syao.g_02502
OG0000419	Prbi.g_00191	Syao.g_02504
OG0000420	Prbi.g_00192	Syao.g_02506
OG0000421	Prbi.g_00197	Syao.g_02510
OG0000422	Prbi.g_00198	Syao.g_02511
OG0000423	Prbi.g_00199	Syao.g_02512
OG0000424	Prbi.g_00200	Syao.g_02513
OG0000425	Prbi.g_00201	Syao.g_02514
OG0000426	Prbi.g_00202	Syao.g_02515
OG0000427	Prbi.g_00203	Syao.g_02516
OG0000428	Prbi.g_00205	Syao.g_02519
OG0000429	Prbi.g_00206	Syao.g_02522
OG0000430	Prbi.g_00207	Syao.g_02523
OG0000431	Prbi.g_00209	Syao.g_02526
OG0000432	Prbi.g_00212	Syao.g_02532
OG0000433	Prbi.g_00213	Syao.g_02534
OG0000434	Prbi.g_00214	Syao.g_02535
OG0000435	Prbi.g_00215	Syao.g_02538
OG0000436	Prbi.g_00220	Syao.g_02458
OG0000437	Prbi.g_00221	Syao.g_02459
OG0000438	Prbi.g_00222	Syao.g_02460
OG0000439	Prbi.g_00224	Syao.g_02462
OG0000440	Prbi.g_00225	Syao.g_02463
OG0000441	Prbi.g_00228	Syao.g_02466
OG0000442	Prbi.g_00229	Syao.g_02467
OG0000443	Prbi.g_00230	Syao.g_02468
OG0000444	Prbi.g_00235	Syao.g_02473
OG0000445	Prbi.g_00236	Syao.g_02474
OG0000446	Prbi.g_00237	Syao.g_02476
OG0000447	Prbi.g_00238	Syao.g_02383
OG0000448	Prbi.g_00239	Syao.g_02384
OG0000449	Prbi.g_00240	Syao.g_02385
OG0000450	Prbi.g_00241	Syao.g_02391
OG0000451	Prbi.g_00242	Syao.g_02392
OG0000452	Prbi.g_00245	Syao.g_02396
OG0000453	Prbi.g_00246	Syao.g_02397
OG0000454	Prbi.g_00247	Syao.g_02398
OG0000455	Prbi.g_00248	Syao.g_02399
OG0000456	Prbi.g_00249	Syao.g_02400
OG0000457	Prbi.g_00250	Syao.g_02402
OG0000458	Prbi.g_00251	Syao.g_02403
OG0000459	Prbi.g_00252	Syao.g_02404
OG0000460	Prbi.g_00259	Syao.g_01702
OG0000461	Prbi.g_00266	Syao.g_02119
OG0000462	Prbi.g_00268	Syao.g_02116
OG0000463	Prbi.g_00269	Syao.g_02115
OG0000464	Prbi.g_00270	Syao.g_02114
OG0000465	Prbi.g_00271	Syao.g_02112
OG0000466	Prbi.g_00274	Syao.g_02107
OG0000467	Prbi.g_00275	Syao.g_02106
OG0000468	Prbi.g_00277	Syao.g_02102
OG0000469	Prbi.g_00286	Syao.g_02087
OG0000470	Prbi.g_00288	Syao.g_02085
OG0000471	Prbi.g_00289	Syao.g_02084
OG0000472	Prbi.g_00290	Syao.g_02082
OG0000473	Prbi.g_00292	Syao.g_02080
OG0000474	Prbi.g_00293	Syao.g_02079
OG0000475	Prbi.g_00294	Syao.g_02078
OG0000476	Prbi.g_00295	Syao.g_02076
OG0000477	Prbi.g_00299	Syao.g_02069
OG0000478	Prbi.g_00300	Syao.g_02068
OG0000479	Prbi.g_00301	Syao.g_02067
OG0000480	Prbi.g_00306	Syao.g_02060
OG0000481	Prbi.g_00308	Syao.g_01012
OG0000482	Prbi.g_00309	Syao.g_02058
OG0000483	Prbi.g_00312	Syao.g_02054
OG0000484	Prbi.g_00313	Syao.g_02053
OG0000485	Prbi.g_00314	Syao.g_02052
OG0000486	Prbi.g_00315	Syao.g_02051
OG0000487	Prbi.g_00319	Syao.g_02044
OG0000488	Prbi.g_00322	Syao.g_02040
OG0000489	Prbi.g_00327	Syao.g_02033
OG0000490	Prbi.g_00332	Syao.g_02025
OG0000491	Prbi.g_00333	Syao.g_02024
OG0000492	Prbi.g_00335	Syao.g_02022
OG0000493	Prbi.g_00336	Syao.g_02021
OG0000494	Prbi.g_00337	Syao.g_02020
OG0000495	Prbi.g_00338	Syao.g_02018
OG0000496	Prbi.g_00339	Syao.g_02017
OG0000497	Prbi.g_00340	Syao.g_02016
OG0000498	Prbi.g_00341	Syao.g_02015
OG0000499	Prbi.g_00342	Syao.g_02014
OG0000500	Prbi.g_00343	Syao.g_02013
OG0000501	Prbi.g_00345	Syao.g_02010
OG0000502	Prbi.g_00348	Syao.g_01974
OG0000503	Prbi.g_00358	Syao.g_01877
OG0000504	Prbi.g_00359	Syao.g_01875
OG0000505	Prbi.g_00360	Syao.g_01874
OG0000506	Prbi.g_00362	Syao.g_01872
OG0000507	Prbi.g_00365	Syao.g_01866
OG0000508	Prbi.g_00369	Syao.g_01750
OG0000509	Prbi.g_00371	Syao.g_01755
OG0000510	Prbi.g_00372	Syao.g_01756
OG0000511	Prbi.g_00373	Syao.g_01757
OG0000512	Prbi.g_00375	Syao.g_01759
OG0000513	Prbi.g_00382	Syao.g_01720
OG0000514	Prbi.g_00432	Syao.g_01727
OG0000515	Prbi.g_00433	Syao.g_01728
OG0000516	Prbi.g_00434	Syao.g_01730
OG0000517	Prbi.g_00436	Syao.g_01735
OG0000518	Prbi.g_00447	Syao.g_01621
OG0000519	Prbi.g_00448	Syao.g_01622
OG0000520	Prbi.g_00449	Syao.g_01512
OG0000521	Prbi.g_00454	Syao.g_00061
OG0000522	Prbi.g_00456	Syao.g_00059
OG0000523	Prbi.g_00457	Syao.g_00058
OG0000524	Prbi.g_00463	Syao.g_02699
OG0000525	Prbi.g_00466	Syao.g_02691
OG0000526	Prbi.g_00467	Syao.g_02688
OG0000527	Prbi.g_00476	Syao.g_02684
OG0000528	Prbi.g_00481	Syao.g_00031
OG0000529	Prbi.g_00484	Syao.g_00027
OG0000530	Prbi.g_00487	Syao.g_00122
OG0000531	Prbi.g_00488	Syao.g_00121
OG0000532	Prbi.g_00490	Syao.g_00118
OG0000533	Prbi.g_00491	Syao.g_00116
OG0000534	Prbi.g_00492	Syao.g_00115
OG0000535	Prbi.g_00493	Syao.g_00114
OG0000536	Prbi.g_00494	Syao.g_00113
OG0000537	Prbi.g_00495	Syao.g_00112
OG0000538	Prbi.g_00503	Syao.g_00100
OG0000539	Prbi.g_00504	Syao.g_00099
OG0000540	Prbi.g_00505	Syao.g_00098
OG0000541	Prbi.g_00506	Syao.g_00097
OG0000542	Prbi.g_00508	Syao.g_00167
OG0000543	Prbi.g_00510	Syao.g_00165
OG0000544	Prbi.g_00511	Syao.g_00164
OG0000545	Prbi.g_00513	Syao.g_00162
OG0000546	Prbi.g_00516	Syao.g_00160
OG0000547	Prbi.g_00518	Syao.g_00158
OG0000548	Prbi.g_00519	Syao.g_00157
OG0000549	Prbi.g_00521	Syao.g_01391
OG0000550	Prbi.g_00526	Syao.g_01396
OG0000551	Prbi.g_00530	Syao.g_01401
OG0000552	Prbi.g_00531	Syao.g_01402
OG0000553	Prbi.g_00532	Syao.g_01404
OG0000554	Prbi.g_00537	Syao.g_01413
OG0000555	Prbi.g_00545	Syao.g_00875
OG0000556	Prbi.g_00547	Syao.g_00871
OG0000557	Prbi.g_00548	Syao.g_00866
OG0000558	Prbi.g_00550	Syao.g_00864
OG0000559	Prbi.g_00554	Syao.g_00860
OG0000560	Prbi.g_00557	Syao.g_00857
OG0000561	Prbi.g_00558	Syao.g_00856
