Orthogroup	Prbi	Syag
OG0000080	Prbi.g_01492	Syag.g_02499
OG0000081	Prbi.g_00534	Syag.g_00167
OG0000082	Prbi.g_00587	Syag.g_00318
OG0000084	Prbi.g_01585	Syag.g_00212, Syag.g_01425
OG0000085	Prbi.g_01780	Syag.g_01676
OG0000086	Prbi.g_00095	Syag.g_01853
OG0000087	Prbi.g_00147	Syag.g_01939
OG0000088	Prbi.g_00190	Syag.g_01974
OG0000089	Prbi.g_00380	Syag.g_00005
OG0000090	Prbi.g_00536	Syag.g_01454
OG0000091	Prbi.g_00645	Syag.g_00418
OG0000093	Prbi.g_00977	Syag.g_00649
OG0000094	Prbi.g_01067	Syag.g_00881
OG0000095	Prbi.g_01086	Syag.g_00974
OG0000097	Prbi.g_01248	Syag.g_01065
OG0000098	Prbi.g_01421	Syag.g_00578, Syag.g_01445
OG0000099	Prbi.g_01462	Syag.g_02536
OG0000100	Prbi.g_01664	Syag.g_00704
OG0000101	Prbi.g_01938	Syag.g_02773
OG0000102	Prbi.g_01999	Syag.g_02387
OG0000103	Prbi.g_02091	Syag.g_02253
OG0000104	Prbi.g_02099	Syag.g_02268
OG0000105	Prbi.g_00298	Syag.g_02606
OG0000106	Prbi.g_00394	Syag.g_00462
OG0000107	Prbi.g_00409	Syag.g_02689
OG0000108	Prbi.g_00483	Syag.g_01528
OG0000109	Prbi.g_00497	Syag.g_01512
OG0000110	Prbi.g_00577	Syag.g_00303
OG0000111	Prbi.g_00703	Syag.g_00984
OG0000112	Prbi.g_00811	Syag.g_00801
OG0000113	Prbi.g_00869	Syag.g_00699
OG0000114	Prbi.g_00951	Syag.g_00609
OG0000115	Prbi.g_01148	Syag.g_01397
OG0000116	Prbi.g_01197	Syag.g_01156
OG0000117	Prbi.g_01330	Syag.g_01097
OG0000118	Prbi.g_01403	Syag.g_01232
OG0000120	Prbi.g_01460	Syag.g_02535
OG0000121	Prbi.g_01593	Syag.g_01414
OG0000122	Prbi.g_01630	Syag.g_00446
OG0000123	Prbi.g_01945	Syag.g_02781
OG0000124	Prbi.g_02010	Syag.g_02367, Syag.g_02485
OG0000125	Prbi.g_02059	Syag.g_02136, Syag.g_02134
OG0000126	Prbi.g_02098	Syag.g_02266
OG0000128	Prbi.g_00011	Syag.g_02284
OG0000129	Prbi.g_00053	Syag.g_02121
OG0000130	Prbi.g_00076	Syag.g_01819
OG0000131	Prbi.g_00169	Syag.g_01951
OG0000132	Prbi.g_00188	Syag.g_01972
OG0000133	Prbi.g_00346	Syag.g_00806
OG0000134	Prbi.g_00381	Syag.g_00008
OG0000135	Prbi.g_00407	Syag.g_02171
OG0000136	Prbi.g_00442	Syag.g_00038
OG0000137	Prbi.g_00478	Syag.g_01356
OG0000138	Prbi.g_00498	Syag.g_01511
OG0000139	Prbi.g_00540	Syag.g_01448
OG0000140	Prbi.g_00541	Syag.g_01446
OG0000141	Prbi.g_00609	Syag.g_00351
OG0000142	Prbi.g_00638	Syag.g_00410
OG0000143	Prbi.g_00642	Syag.g_00414
OG0000144	Prbi.g_00655	Syag.g_00493
OG0000145	Prbi.g_00807	Syag.g_01504
OG0000146	Prbi.g_00812	Syag.g_00800
OG0000147	Prbi.g_00813	Syag.g_00799
OG0000148	Prbi.g_00863	Syag.g_00693
OG0000149	Prbi.g_00894	Syag.g_00731
OG0000150	Prbi.g_00902	Syag.g_00352
OG0000151	Prbi.g_00961	Syag.g_00623
OG0000152	Prbi.g_01009	Syag.g_00810
OG0000153	Prbi.g_01028	Syag.g_00845
OG0000154	Prbi.g_01060	Syag.g_00870
OG0000155	Prbi.g_01227	Syag.g_01107
OG0000156	Prbi.g_01380	Syag.g_01166
OG0000157	Prbi.g_01381	Syag.g_01167
OG0000158	Prbi.g_01489	Syag.g_02422
OG0000160	Prbi.g_01592	Syag.g_01415
OG0000161	Prbi.g_01598	Syag.g_01409
OG0000162	Prbi.g_01604	Syag.g_01402
OG0000163	Prbi.g_01637	Syag.g_00706, Syag.g_01618
OG0000164	Prbi.g_01811	Syag.g_01725
OG0000165	Prbi.g_01818	Syag.g_01733
OG0000166	Prbi.g_01902	Syag.g_02733
OG0000167	Prbi.g_01968	Syag.g_02437
OG0000168	Prbi.g_01978	Syag.g_02417
OG0000169	Prbi.g_01988	Syag.g_02405
OG0000170	Prbi.g_01990	Syag.g_02398
OG0000171	Prbi.g_02009	Syag.g_02368
OG0000172	Prbi.g_02030	Syag.g_02360
OG0000173	Prbi.g_02045	Syag.g_02337
OG0000174	Prbi.g_02073	Syag.g_02175
OG0000175	Prbi.g_02083	Syag.g_02240
OG0000176	Prbi.g_00004	Syag.g_02276
OG0000177	Prbi.g_00005	Syag.g_02277
OG0000178	Prbi.g_00006	Syag.g_02278
OG0000179	Prbi.g_00016	Syag.g_02293
OG0000180	Prbi.g_00017	Syag.g_02294
OG0000181	Prbi.g_00018	Syag.g_02295
OG0000182	Prbi.g_00019	Syag.g_02296
OG0000183	Prbi.g_00023	Syag.g_02300
OG0000184	Prbi.g_00057	Syag.g_02110
OG0000185	Prbi.g_00060	Syag.g_02092
OG0000186	Prbi.g_00071	Syag.g_01815
OG0000187	Prbi.g_00072	Syag.g_01816
OG0000188	Prbi.g_00089	Syag.g_01839
OG0000189	Prbi.g_00103	Syag.g_01872
OG0000190	Prbi.g_00104	Syag.g_01874
OG0000191	Prbi.g_00125	Syag.g_01909
OG0000192	Prbi.g_00129	Syag.g_01915
OG0000193	Prbi.g_00170	Syag.g_01952
OG0000194	Prbi.g_00173	Syag.g_01955
OG0000195	Prbi.g_00175	Syag.g_01957
OG0000196	Prbi.g_00185	Syag.g_01968
OG0000197	Prbi.g_00186	Syag.g_01969
OG0000198	Prbi.g_00187	Syag.g_00108, Syag.g_01971
OG0000199	Prbi.g_00194	Syag.g_01979
OG0000200	Prbi.g_00208	Syag.g_01996
OG0000201	Prbi.g_00216	Syag.g_02019, Syag.g_02023
OG0000202	Prbi.g_00217	Syag.g_02024
OG0000203	Prbi.g_00218	Syag.g_02025
OG0000204	Prbi.g_00219	Syag.g_02020, Syag.g_02026
OG0000205	Prbi.g_00226	Syag.g_02035
OG0000206	Prbi.g_00231	Syag.g_02047
OG0000207	Prbi.g_00233	Syag.g_02051
OG0000208	Prbi.g_00234	Syag.g_02052
OG0000209	Prbi.g_00243	Syag.g_02069
OG0000210	Prbi.g_00244	Syag.g_02070
OG0000211	Prbi.g_00257	Syag.g_01788
OG0000212	Prbi.g_00264	Syag.g_01777
OG0000213	Prbi.g_00281	Syag.g_02632
OG0000214	Prbi.g_00291	Syag.g_02615
OG0000215	Prbi.g_00316	Syag.g_02584
OG0000216	Prbi.g_00318	Syag.g_02580
OG0000217	Prbi.g_00321	Syag.g_02576
OG0000218	Prbi.g_00323	Syag.g_02574
OG0000219	Prbi.g_00324	Syag.g_02573
OG0000220	Prbi.g_00325	Syag.g_02572
OG0000221	Prbi.g_00326	Syag.g_02566
OG0000222	Prbi.g_00334	Syag.g_02550
OG0000223	Prbi.g_00347	Syag.g_02475
OG0000224	Prbi.g_00349	Syag.g_02471
OG0000225	Prbi.g_00370	Syag.g_02861
OG0000226	Prbi.g_00374	Syag.g_02865
OG0000227	Prbi.g_00376	Syag.g_02867
OG0000228	Prbi.g_00379	Syag.g_00004
OG0000229	Prbi.g_00437	Syag.g_00033
OG0000230	Prbi.g_00439	Syag.g_00035
OG0000231	Prbi.g_00450	Syag.g_00048
OG0000232	Prbi.g_00459	Syag.g_00059
OG0000233	Prbi.g_00465	Syag.g_01330
OG0000234	Prbi.g_00479	Syag.g_01358
OG0000235	Prbi.g_00482	Syag.g_01529
OG0000236	Prbi.g_00496	Syag.g_01513
OG0000237	Prbi.g_00509	Syag.g_01495
OG0000238	Prbi.g_00515	Syag.g_01490
OG0000239	Prbi.g_00528	Syag.g_01472
OG0000240	Prbi.g_00529	Syag.g_01471
OG0000241	Prbi.g_00533	Syag.g_00396
OG0000242	Prbi.g_00535	Syag.g_01456
OG0000243	Prbi.g_00546	Syag.g_00255
OG0000244	Prbi.g_00549	Syag.g_00268
OG0000245	Prbi.g_00551	Syag.g_00270
OG0000246	Prbi.g_00555	Syag.g_00274
OG0000247	Prbi.g_00565	Syag.g_00286
OG0000248	Prbi.g_00567	Syag.g_00289
OG0000249	Prbi.g_00569	Syag.g_00291
OG0000250	Prbi.g_00574	Syag.g_00299
OG0000251	Prbi.g_00593	Syag.g_00328
OG0000252	Prbi.g_00596	Syag.g_00331
OG0000253	Prbi.g_00597	Syag.g_00333
OG0000254	Prbi.g_00613	Syag.g_00356
OG0000255	Prbi.g_00619	Syag.g_00369
OG0000256	Prbi.g_00629	Syag.g_00385
OG0000257	Prbi.g_00632	Syag.g_00395
OG0000258	Prbi.g_00646	Syag.g_00423
OG0000259	Prbi.g_00663	Syag.g_00560
OG0000260	Prbi.g_00666	Syag.g_00570
OG0000261	Prbi.g_00668	Syag.g_00581
OG0000262	Prbi.g_00672	Syag.g_00586
OG0000263	Prbi.g_00684	Syag.g_01079
OG0000264	Prbi.g_00694	Syag.g_01011
OG0000265	Prbi.g_00745	Syag.g_01021
OG0000266	Prbi.g_00755	Syag.g_00907
OG0000267	Prbi.g_00766	Syag.g_00762
OG0000268	Prbi.g_00767	Syag.g_00763
OG0000269	Prbi.g_00842	Syag.g_00662
OG0000270	Prbi.g_00845	Syag.g_00665
OG0000271	Prbi.g_00853	Syag.g_00673
OG0000273	Prbi.g_00877	Syag.g_00713
OG0000274	Prbi.g_00878	Syag.g_00714
OG0000275	Prbi.g_00881	Syag.g_00717
OG0000276	Prbi.g_00886	Syag.g_00723
OG0000277	Prbi.g_00887	Syag.g_00724
OG0000278	Prbi.g_00890	Syag.g_00727
OG0000279	Prbi.g_00897	Syag.g_00735
OG0000280	Prbi.g_00898	Syag.g_00741
OG0000281	Prbi.g_00903	Syag.g_00572
OG0000282	Prbi.g_00953	Syag.g_00611
OG0000283	Prbi.g_00986	Syag.g_00775
OG0000284	Prbi.g_00991	Syag.g_00780
OG0000285	Prbi.g_00996	Syag.g_00791
OG0000286	Prbi.g_01008	Syag.g_00809
OG0000287	Prbi.g_01025	Syag.g_00838
OG0000288	Prbi.g_01059	Syag.g_00869
OG0000289	Prbi.g_01070	Syag.g_00884
OG0000290	Prbi.g_01083	Syag.g_00970
OG0000291	Prbi.g_01085	Syag.g_00972
OG0000292	Prbi.g_01136	Syag.g_02265
OG0000293	Prbi.g_01198	Syag.g_01155
OG0000294	Prbi.g_01199	Syag.g_01154
OG0000295	Prbi.g_01219	Syag.g_01115
OG0000296	Prbi.g_01221	Syag.g_01113
OG0000297	Prbi.g_01229	Syag.g_01099
OG0000298	Prbi.g_01230	Syag.g_01098
OG0000299	Prbi.g_01247	Syag.g_01067
OG0000300	Prbi.g_01250	Syag.g_01062
OG0000301	Prbi.g_01251	Syag.g_01061
OG0000302	Prbi.g_01253	Syag.g_01060
OG0000303	Prbi.g_01260	Syag.g_01048
OG0000304	Prbi.g_01264	Syag.g_01041
OG0000305	Prbi.g_01431	Syag.g_00977
OG0000306	Prbi.g_01434	Syag.g_00460
OG0000307	Prbi.g_01448	Syag.g_01546
OG0000308	Prbi.g_01449	Syag.g_01548
OG0000309	Prbi.g_01453	Syag.g_01553
OG0000310	Prbi.g_01574	Syag.g_01291
OG0000311	Prbi.g_01576	Syag.g_01300
OG0000312	Prbi.g_01579	Syag.g_01434
OG0000313	Prbi.g_01595	Syag.g_00966, Syag.g_01412
OG0000314	Prbi.g_01617	Syag.g_01380
OG0000315	Prbi.g_01627	Syag.g_01369
OG0000316	Prbi.g_01647	Syag.g_01641
OG0000317	Prbi.g_01785	Syag.g_01684
OG0000318	Prbi.g_01788	Syag.g_01688
OG0000319	Prbi.g_01801	Syag.g_01710
OG0000320	Prbi.g_01803	Syag.g_01712
OG0000321	Prbi.g_01804	Syag.g_01713
OG0000322	Prbi.g_01805	Syag.g_01714
OG0000323	Prbi.g_01814	Syag.g_01728
OG0000324	Prbi.g_01840	Syag.g_01757
OG0000325	Prbi.g_01849	Syag.g_02690
OG0000326	Prbi.g_01855	Syag.g_02698
OG0000327	Prbi.g_01897	Syag.g_02728
OG0000328	Prbi.g_01898	Syag.g_02729
OG0000329	Prbi.g_01915	Syag.g_02747
OG0000330	Prbi.g_01916	Syag.g_02748
OG0000331	Prbi.g_01917	Syag.g_02749
OG0000332	Prbi.g_01931	Syag.g_02764
OG0000333	Prbi.g_01933	Syag.g_02767
OG0000334	Prbi.g_01941	Syag.g_02777
OG0000335	Prbi.g_01946	Syag.g_02782
OG0000336	Prbi.g_01950	Syag.g_02786
OG0000337	Prbi.g_01966	Syag.g_02445
OG0000338	Prbi.g_01967	Syag.g_02440
OG0000340	Prbi.g_01979	Syag.g_02416
OG0000341	Prbi.g_01981	Syag.g_02414
OG0000342	Prbi.g_01982	Syag.g_02413
OG0000343	Prbi.g_01983	Syag.g_02411
OG0000344	Prbi.g_01986	Syag.g_02407
OG0000345	Prbi.g_01991	Syag.g_02397
OG0000346	Prbi.g_01995	Syag.g_02392
OG0000347	Prbi.g_02011	Syag.g_02366
OG0000348	Prbi.g_02033	Syag.g_02357
OG0000349	Prbi.g_02050	Syag.g_02330
OG0000350	Prbi.g_02069	Syag.g_02705
OG0000351	Prbi.g_02086	Syag.g_02244
OG0000352	Prbi.g_02087	Syag.g_02245
OG0000353	Prbi.g_02102	Syag.g_02271
OG0000355	Prbi.g_00001	Syag.g_02273
OG0000356	Prbi.g_00002	Syag.g_02274
OG0000357	Prbi.g_00003	Syag.g_02275
OG0000358	Prbi.g_00007	Syag.g_02279
OG0000359	Prbi.g_00008	Syag.g_02281
OG0000360	Prbi.g_00009	Syag.g_02282
OG0000361	Prbi.g_00010	Syag.g_02283
OG0000362	Prbi.g_00012	Syag.g_02285
OG0000363	Prbi.g_00014	Syag.g_02287
OG0000364	Prbi.g_00015	Syag.g_02288
OG0000365	Prbi.g_00020	Syag.g_02297
OG0000366	Prbi.g_00021	Syag.g_02298
OG0000367	Prbi.g_00022	Syag.g_02299
OG0000368	Prbi.g_00024	Syag.g_02301
OG0000369	Prbi.g_00025	Syag.g_02302
OG0000370	Prbi.g_00026	Syag.g_02303
OG0000371	Prbi.g_00032	Syag.g_02312
OG0000372	Prbi.g_00035	Syag.g_02317
OG0000373	Prbi.g_00036	Syag.g_02318
OG0000374	Prbi.g_00037	Syag.g_02319
OG0000375	Prbi.g_00049	Syag.g_02326
OG0000376	Prbi.g_00051	Syag.g_02328
OG0000377	Prbi.g_00056	Syag.g_02119
OG0000378	Prbi.g_00058	Syag.g_02099
OG0000379	Prbi.g_00061	Syag.g_02091
OG0000380	Prbi.g_00073	Syag.g_01817
OG0000381	Prbi.g_00077	Syag.g_01820
OG0000382	Prbi.g_00088	Syag.g_01838
OG0000383	Prbi.g_00090	Syag.g_01843
OG0000384	Prbi.g_00091	Syag.g_01844
OG0000385	Prbi.g_00092	Syag.g_01845
OG0000386	Prbi.g_00093	Syag.g_01846
OG0000387	Prbi.g_00106	Syag.g_01876
OG0000388	Prbi.g_00109	Syag.g_01880
OG0000389	Prbi.g_00113	Syag.g_01884
OG0000390	Prbi.g_00120	Syag.g_01903
OG0000391	Prbi.g_00124	Syag.g_01908
OG0000392	Prbi.g_00128	Syag.g_01914
OG0000393	Prbi.g_00130	Syag.g_01917
OG0000394	Prbi.g_00131	Syag.g_01918
OG0000395	Prbi.g_00132	Syag.g_01919
OG0000396	Prbi.g_00135	Syag.g_01922
OG0000397	Prbi.g_00137	Syag.g_01924
OG0000398	Prbi.g_00139	Syag.g_01929
OG0000399	Prbi.g_00140	Syag.g_01930
OG0000400	Prbi.g_00141	Syag.g_01931
OG0000401	Prbi.g_00142	Syag.g_01932
OG0000402	Prbi.g_00144	Syag.g_01934
OG0000403	Prbi.g_00145	Syag.g_01935
OG0000404	Prbi.g_00146	Syag.g_01937
OG0000405	Prbi.g_00150	Syag.g_01949
OG0000406	Prbi.g_00171	Syag.g_01953
OG0000407	Prbi.g_00172	Syag.g_01954
OG0000408	Prbi.g_00174	Syag.g_01956
OG0000409	Prbi.g_00176	Syag.g_01958
OG0000410	Prbi.g_00177	Syag.g_01959
OG0000411	Prbi.g_00178	Syag.g_01960
OG0000412	Prbi.g_00179	Syag.g_01961
OG0000413	Prbi.g_00180	Syag.g_01963
OG0000414	Prbi.g_00181	Syag.g_01964
OG0000415	Prbi.g_00182	Syag.g_01965
OG0000416	Prbi.g_00183	Syag.g_01966
OG0000417	Prbi.g_00184	Syag.g_01967
OG0000418	Prbi.g_00189	Syag.g_01973
OG0000419	Prbi.g_00191	Syag.g_01975
OG0000420	Prbi.g_00192	Syag.g_01977
OG0000421	Prbi.g_00197	Syag.g_01982
OG0000422	Prbi.g_00198	Syag.g_01983
OG0000423	Prbi.g_00199	Syag.g_01984
OG0000424	Prbi.g_00200	Syag.g_01985
OG0000425	Prbi.g_00201	Syag.g_01986
OG0000426	Prbi.g_00202	Syag.g_01987
OG0000427	Prbi.g_00203	Syag.g_01988
OG0000428	Prbi.g_00205	Syag.g_01991
OG0000429	Prbi.g_00206	Syag.g_01993
OG0000430	Prbi.g_00207	Syag.g_01995
OG0000431	Prbi.g_00209	Syag.g_01998
OG0000432	Prbi.g_00212	Syag.g_02007
OG0000433	Prbi.g_00213	Syag.g_02009
OG0000434	Prbi.g_00214	Syag.g_02010
OG0000435	Prbi.g_00215	Syag.g_02017
OG0000436	Prbi.g_00220	Syag.g_02028
OG0000437	Prbi.g_00221	Syag.g_02029
OG0000438	Prbi.g_00222	Syag.g_02031
OG0000439	Prbi.g_00224	Syag.g_02033
OG0000440	Prbi.g_00225	Syag.g_02034
OG0000441	Prbi.g_00228	Syag.g_02041
OG0000442	Prbi.g_00229	Syag.g_02044
OG0000443	Prbi.g_00230	Syag.g_02046
OG0000444	Prbi.g_00235	Syag.g_02053
OG0000445	Prbi.g_00236	Syag.g_02054
OG0000446	Prbi.g_00237	Syag.g_02056
OG0000447	Prbi.g_00238	Syag.g_02059
OG0000448	Prbi.g_00239	Syag.g_02060
OG0000449	Prbi.g_00240	Syag.g_02061
OG0000450	Prbi.g_00241	Syag.g_02066
OG0000451	Prbi.g_00242	Syag.g_02067
OG0000452	Prbi.g_00245	Syag.g_02071
OG0000453	Prbi.g_00246	Syag.g_02072
OG0000454	Prbi.g_00247	Syag.g_02073
OG0000455	Prbi.g_00248	Syag.g_02074
OG0000456	Prbi.g_00249	Syag.g_02075
OG0000457	Prbi.g_00250	Syag.g_02077
OG0000458	Prbi.g_00251	Syag.g_02080
OG0000459	Prbi.g_00252	Syag.g_02081
OG0000460	Prbi.g_00259	Syag.g_01786
OG0000461	Prbi.g_00266	Syag.g_02675
OG0000462	Prbi.g_00268	Syag.g_02672
OG0000463	Prbi.g_00269	Syag.g_02671
OG0000464	Prbi.g_00270	Syag.g_02670
OG0000465	Prbi.g_00271	Syag.g_02668
OG0000466	Prbi.g_00274	Syag.g_02662
OG0000467	Prbi.g_00275	Syag.g_02660
OG0000468	Prbi.g_00277	Syag.g_02636
OG0000469	Prbi.g_00286	Syag.g_02621
OG0000470	Prbi.g_00288	Syag.g_02619
OG0000471	Prbi.g_00289	Syag.g_02618
OG0000472	Prbi.g_00290	Syag.g_02616
OG0000473	Prbi.g_00292	Syag.g_02614
OG0000474	Prbi.g_00293	Syag.g_02613
OG0000475	Prbi.g_00294	Syag.g_02612
OG0000476	Prbi.g_00295	Syag.g_02610
OG0000477	Prbi.g_00299	Syag.g_02604
OG0000478	Prbi.g_00300	Syag.g_02603
OG0000479	Prbi.g_00301	Syag.g_02602
OG0000480	Prbi.g_00306	Syag.g_02595
OG0000481	Prbi.g_00308	Syag.g_02593
OG0000482	Prbi.g_00309	Syag.g_02592
OG0000483	Prbi.g_00312	Syag.g_02588
OG0000484	Prbi.g_00313	Syag.g_02587
OG0000485	Prbi.g_00314	Syag.g_02586
OG0000486	Prbi.g_00315	Syag.g_02585
OG0000487	Prbi.g_00319	Syag.g_02579
OG0000488	Prbi.g_00322	Syag.g_02575
OG0000489	Prbi.g_00327	Syag.g_02565
OG0000490	Prbi.g_00332	Syag.g_02553
OG0000491	Prbi.g_00333	Syag.g_02551
OG0000492	Prbi.g_00335	Syag.g_02549
OG0000493	Prbi.g_00336	Syag.g_02548
OG0000494	Prbi.g_00337	Syag.g_02547
OG0000495	Prbi.g_00338	Syag.g_02546
OG0000496	Prbi.g_00339	Syag.g_02545
OG0000497	Prbi.g_00340	Syag.g_02544
OG0000498	Prbi.g_00341	Syag.g_02543
OG0000499	Prbi.g_00342	Syag.g_02542
OG0000500	Prbi.g_00343	Syag.g_02541
OG0000501	Prbi.g_00345	Syag.g_02538
OG0000502	Prbi.g_00348	Syag.g_02467
OG0000503	Prbi.g_00358	Syag.g_02843
OG0000504	Prbi.g_00359	Syag.g_02845
OG0000505	Prbi.g_00360	Syag.g_02846
OG0000506	Prbi.g_00362	Syag.g_02849
OG0000507	Prbi.g_00365	Syag.g_02855
OG0000508	Prbi.g_00369	Syag.g_02860
OG0000509	Prbi.g_00371	Syag.g_02862
OG0000510	Prbi.g_00372	Syag.g_02863
OG0000511	Prbi.g_00373	Syag.g_02864
OG0000512	Prbi.g_00375	Syag.g_02866
OG0000513	Prbi.g_00382	Syag.g_00009
OG0000514	Prbi.g_00432	Syag.g_00018
OG0000515	Prbi.g_00433	Syag.g_00019
OG0000516	Prbi.g_00434	Syag.g_00025
OG0000517	Prbi.g_00436	Syag.g_00032
OG0000518	Prbi.g_00447	Syag.g_00044
OG0000519	Prbi.g_00448	Syag.g_00045
OG0000520	Prbi.g_00449	Syag.g_00046
OG0000521	Prbi.g_00454	Syag.g_00054
OG0000522	Prbi.g_00456	Syag.g_00056
OG0000523	Prbi.g_00457	Syag.g_00057
OG0000524	Prbi.g_00463	Syag.g_01327
OG0000525	Prbi.g_00466	Syag.g_01345
OG0000526	Prbi.g_00467	Syag.g_01348
OG0000527	Prbi.g_00476	Syag.g_01354
OG0000528	Prbi.g_00481	Syag.g_01532
OG0000529	Prbi.g_00484	Syag.g_01527
OG0000530	Prbi.g_00487	Syag.g_01524
OG0000531	Prbi.g_00488	Syag.g_01523
OG0000532	Prbi.g_00490	Syag.g_01520
OG0000533	Prbi.g_00491	Syag.g_01518
OG0000534	Prbi.g_00492	Syag.g_01517
OG0000535	Prbi.g_00493	Syag.g_01516
OG0000536	Prbi.g_00494	Syag.g_01515
OG0000537	Prbi.g_00495	Syag.g_01514
OG0000538	Prbi.g_00503	Syag.g_01502
OG0000539	Prbi.g_00504	Syag.g_01501
OG0000540	Prbi.g_00505	Syag.g_01500
OG0000541	Prbi.g_00506	Syag.g_01499
OG0000542	Prbi.g_00508	Syag.g_01496
OG0000543	Prbi.g_00510	Syag.g_01494
OG0000544	Prbi.g_00511	Syag.g_01493
OG0000545	Prbi.g_00513	Syag.g_01491
OG0000546	Prbi.g_00516	Syag.g_01489
OG0000547	Prbi.g_00518	Syag.g_01487
OG0000548	Prbi.g_00519	Syag.g_01486
OG0000549	Prbi.g_00521	Syag.g_01480
OG0000550	Prbi.g_00526	Syag.g_01474
OG0000551	Prbi.g_00530	Syag.g_01470
OG0000552	Prbi.g_00531	Syag.g_01469
OG0000553	Prbi.g_00532	Syag.g_01464
OG0000554	Prbi.g_00537	Syag.g_01453
OG0000555	Prbi.g_00545	Syag.g_00075
OG0000556	Prbi.g_00547	Syag.g_00257
OG0000557	Prbi.g_00548	Syag.g_00267
