Orthogroup	Prbi	Syal
OG0000087	Prbi.g_00147	Syal.g_00871
OG0000088	Prbi.g_00190	Syal.g_00908
OG0000089	Prbi.g_00380	Syal.g_00555
OG0000090	Prbi.g_00536	Syal.g_02838
OG0000091	Prbi.g_00645	Syal.g_02628
OG0000093	Prbi.g_00977	Syal.g_02233
OG0000094	Prbi.g_01067	Syal.g_01907
OG0000095	Prbi.g_01086	Syal.g_01823
OG0000097	Prbi.g_01248	Syal.g_01735, Syal.g_01553
OG0000098	Prbi.g_01421	Syal.g_02196
OG0000099	Prbi.g_01462	Syal.g_01323
OG0000100	Prbi.g_01664	Syal.g_02448
OG0000101	Prbi.g_01938	Syal.g_00275
OG0000102	Prbi.g_01999	Syal.g_01488
OG0000103	Prbi.g_02091	Syal.g_00077, Syal.g_01897
OG0000104	Prbi.g_02099	Syal.g_00092
OG0000105	Prbi.g_00298	Syal.g_01255
OG0000106	Prbi.g_00394	Syal.g_02577
OG0000107	Prbi.g_00409	Syal.g_00194
OG0000108	Prbi.g_00483	Syal.g_02897
OG0000109	Prbi.g_00497	Syal.g_02913
OG0000110	Prbi.g_00577	Syal.g_02782
OG0000111	Prbi.g_00703	Syal.g_01813
OG0000112	Prbi.g_00811	Syal.g_02000
OG0000113	Prbi.g_00869	Syal.g_02443
OG0000114	Prbi.g_00951	Syal.g_02286
OG0000115	Prbi.g_01148	Syal.g_00404
OG0000116	Prbi.g_01197	Syal.g_01630
OG0000117	Prbi.g_01330	Syal.g_01704
OG0000118	Prbi.g_01403	Syal.g_01583
OG0000119	Prbi.g_01435	Syal.g_02056
OG0000120	Prbi.g_01460	Syal.g_01324
OG0000121	Prbi.g_01593	Syal.g_00374
OG0000122	Prbi.g_01630	Syal.g_02602
OG0000123	Prbi.g_01945	Syal.g_00283
OG0000124	Prbi.g_02010	Syal.g_01519
OG0000125	Prbi.g_02059	Syal.g_01075
OG0000126	Prbi.g_02098	Syal.g_00090
OG0000128	Prbi.g_00011	Syal.g_00109
OG0000129	Prbi.g_00053	Syal.g_01062
OG0000130	Prbi.g_00076	Syal.g_00751
OG0000131	Prbi.g_00169	Syal.g_00886
OG0000132	Prbi.g_00188	Syal.g_00906
OG0000133	Prbi.g_00346	Syal.g_01995
OG0000134	Prbi.g_00381	Syal.g_00552
OG0000135	Prbi.g_00407	Syal.g_01119
OG0000136	Prbi.g_00442	Syal.g_00520
OG0000137	Prbi.g_00478	Syal.g_00463
OG0000138	Prbi.g_00498	Syal.g_02914
OG0000139	Prbi.g_00540	Syal.g_02832
OG0000140	Prbi.g_00541	Syal.g_02830
OG0000141	Prbi.g_00609	Syal.g_02738
OG0000142	Prbi.g_00638	Syal.g_02636
OG0000143	Prbi.g_00642	Syal.g_02632
OG0000144	Prbi.g_00655	Syal.g_02515
OG0000145	Prbi.g_00807	Syal.g_02921
OG0000146	Prbi.g_00812	Syal.g_02001
OG0000147	Prbi.g_00813	Syal.g_02002
OG0000148	Prbi.g_00863	Syal.g_02437
OG0000149	Prbi.g_00894	Syal.g_02475
OG0000150	Prbi.g_00902	Syal.g_02737
OG0000151	Prbi.g_00961	Syal.g_02263
OG0000152	Prbi.g_01009	Syal.g_01991
OG0000153	Prbi.g_01028	Syal.g_01958
OG0000154	Prbi.g_01060	Syal.g_01918
OG0000155	Prbi.g_01227	Syal.g_01695
OG0000156	Prbi.g_01380	Syal.g_01620
OG0000157	Prbi.g_01381	Syal.g_01619
OG0000158	Prbi.g_01489	Syal.g_01431
OG0000160	Prbi.g_01592	Syal.g_00372
OG0000161	Prbi.g_01598	Syal.g_00384
OG0000162	Prbi.g_01604	Syal.g_00396
OG0000163	Prbi.g_01637	Syal.g_02971
OG0000164	Prbi.g_01811	Syal.g_00623
OG0000165	Prbi.g_01818	Syal.g_00632
OG0000166	Prbi.g_01902	Syal.g_00236
OG0000167	Prbi.g_01968	Syal.g_01347
OG0000168	Prbi.g_01978	Syal.g_01433
OG0000169	Prbi.g_01988	Syal.g_01447
OG0000170	Prbi.g_01990	Syal.g_01454
OG0000171	Prbi.g_02009	Syal.g_01518
OG0000172	Prbi.g_02030	Syal.g_00174, Syal.g_00173
OG0000173	Prbi.g_02045	Syal.g_00155
OG0000174	Prbi.g_02073	Syal.g_01121
OG0000175	Prbi.g_02083	Syal.g_01172
OG0000176	Prbi.g_00004	Syal.g_00101
OG0000177	Prbi.g_00005	Syal.g_00102
OG0000178	Prbi.g_00006	Syal.g_00103
OG0000179	Prbi.g_00016	Syal.g_00118
OG0000180	Prbi.g_00017	Syal.g_00119
OG0000181	Prbi.g_00018	Syal.g_00120
OG0000182	Prbi.g_00019	Syal.g_00121
OG0000183	Prbi.g_00023	Syal.g_00125
OG0000184	Prbi.g_00057	Syal.g_02678, Syal.g_01050
OG0000185	Prbi.g_00060	Syal.g_01025
OG0000186	Prbi.g_00071	Syal.g_02684, Syal.g_00747
OG0000187	Prbi.g_00072	Syal.g_02685, Syal.g_00748
OG0000188	Prbi.g_00089	Syal.g_00771
OG0000189	Prbi.g_00103	Syal.g_00807
OG0000190	Prbi.g_00104	Syal.g_01364
OG0000191	Prbi.g_00125	Syal.g_00841
OG0000192	Prbi.g_00129	Syal.g_00847
OG0000193	Prbi.g_00170	Syal.g_00887
OG0000194	Prbi.g_00173	Syal.g_00890
OG0000195	Prbi.g_00175	Syal.g_00892
OG0000196	Prbi.g_00185	Syal.g_00903
OG0000197	Prbi.g_00186	Syal.g_00904
OG0000198	Prbi.g_00187	Syal.g_00905
OG0000199	Prbi.g_00194	Syal.g_00913
OG0000200	Prbi.g_00208	Syal.g_00932
OG0000201	Prbi.g_00216	Syal.g_00949
OG0000202	Prbi.g_00217	Syal.g_00950
OG0000203	Prbi.g_00218	Syal.g_00951
OG0000204	Prbi.g_00219	Syal.g_00952
OG0000205	Prbi.g_00226	Syal.g_00959
OG0000206	Prbi.g_00231	Syal.g_00971
OG0000207	Prbi.g_00233	Syal.g_00974
OG0000208	Prbi.g_00234	Syal.g_00975
OG0000209	Prbi.g_00243	Syal.g_01000
OG0000210	Prbi.g_00244	Syal.g_01001
OG0000211	Prbi.g_00257	Syal.g_00688
OG0000212	Prbi.g_00264	Syal.g_00679
OG0000213	Prbi.g_00281	Syal.g_01229
OG0000214	Prbi.g_00291	Syal.g_01246
OG0000215	Prbi.g_00316	Syal.g_01277
OG0000216	Prbi.g_00318	Syal.g_01281
OG0000217	Prbi.g_00321	Syal.g_01285
OG0000218	Prbi.g_00323	Syal.g_01287
OG0000219	Prbi.g_00324	Syal.g_01288
OG0000220	Prbi.g_00325	Syal.g_01289
OG0000221	Prbi.g_00326	Syal.g_01297
OG0000222	Prbi.g_00334	Syal.g_01309
OG0000223	Prbi.g_00347	Syal.g_01327
OG0000224	Prbi.g_00349	Syal.g_01329
OG0000225	Prbi.g_00370	Syal.g_00363
OG0000226	Prbi.g_00374	Syal.g_00367
OG0000227	Prbi.g_00376	Syal.g_00369
OG0000228	Prbi.g_00379	Syal.g_00556
OG0000229	Prbi.g_00437	Syal.g_00525
OG0000230	Prbi.g_00439	Syal.g_00523
OG0000231	Prbi.g_00450	Syal.g_00510
OG0000232	Prbi.g_00459	Syal.g_00495
OG0000233	Prbi.g_00465	Syal.g_00487
OG0000234	Prbi.g_00479	Syal.g_00461
OG0000235	Prbi.g_00482	Syal.g_02896
OG0000236	Prbi.g_00496	Syal.g_02912
OG0000237	Prbi.g_00509	Syal.g_02930
OG0000238	Prbi.g_00515	Syal.g_02935
OG0000239	Prbi.g_00528	Syal.g_02951
OG0000240	Prbi.g_00529	Syal.g_02952
OG0000241	Prbi.g_00533	Syal.g_02696
OG0000242	Prbi.g_00535	Syal.g_02840
OG0000243	Prbi.g_00546	Syal.g_02822
OG0000244	Prbi.g_00549	Syal.g_02815
OG0000245	Prbi.g_00551	Syal.g_02813
OG0000246	Prbi.g_00555	Syal.g_02809
OG0000247	Prbi.g_00565	Syal.g_02797
OG0000248	Prbi.g_00567	Syal.g_02794
OG0000249	Prbi.g_00569	Syal.g_02792
OG0000250	Prbi.g_00574	Syal.g_02786
OG0000251	Prbi.g_00593	Syal.g_02760
OG0000252	Prbi.g_00596	Syal.g_02757
OG0000253	Prbi.g_00597	Syal.g_02755
OG0000254	Prbi.g_00613	Syal.g_02732
OG0000255	Prbi.g_00619	Syal.g_02719
OG0000256	Prbi.g_00629	Syal.g_02705
OG0000257	Prbi.g_00632	Syal.g_02697
OG0000258	Prbi.g_00646	Syal.g_02623
OG0000259	Prbi.g_00663	Syal.g_02182
OG0000260	Prbi.g_00666	Syal.g_02188
OG0000261	Prbi.g_00668	Syal.g_02199
OG0000262	Prbi.g_00672	Syal.g_02204
OG0000263	Prbi.g_00684	Syal.g_01720
OG0000264	Prbi.g_00694	Syal.g_01788
OG0000265	Prbi.g_00745	Syal.g_02534
OG0000266	Prbi.g_00755	Syal.g_02421
OG0000267	Prbi.g_00766	Syal.g_02043
OG0000268	Prbi.g_00767	Syal.g_02042
OG0000269	Prbi.g_00842	Syal.g_02409
OG0000270	Prbi.g_00845	Syal.g_02412
OG0000271	Prbi.g_00853	Syal.g_01871
OG0000272	Prbi.g_00854	Syal.g_01872
OG0000273	Prbi.g_00877	Syal.g_02454
OG0000274	Prbi.g_00878	Syal.g_02455
OG0000275	Prbi.g_00881	Syal.g_02458
OG0000276	Prbi.g_00886	Syal.g_02467
OG0000277	Prbi.g_00887	Syal.g_02468
OG0000278	Prbi.g_00890	Syal.g_02471
OG0000279	Prbi.g_00897	Syal.g_02479
OG0000280	Prbi.g_00898	Syal.g_02493
OG0000281	Prbi.g_00903	Syal.g_02190
OG0000282	Prbi.g_00953	Syal.g_02284
OG0000283	Prbi.g_00986	Syal.g_02028, Syal.g_02131
OG0000284	Prbi.g_00991	Syal.g_02023
OG0000285	Prbi.g_00996	Syal.g_02012
OG0000286	Prbi.g_01008	Syal.g_01992
OG0000287	Prbi.g_01025	Syal.g_01965
OG0000288	Prbi.g_01059	Syal.g_01919
OG0000289	Prbi.g_01070	Syal.g_01904
OG0000290	Prbi.g_01083	Syal.g_01826
OG0000291	Prbi.g_01085	Syal.g_01824
OG0000292	Prbi.g_01136	Syal.g_00089
OG0000293	Prbi.g_01198	Syal.g_01631
OG0000294	Prbi.g_01199	Syal.g_01632
OG0000295	Prbi.g_01219	Syal.g_01687
OG0000296	Prbi.g_01221	Syal.g_01689
OG0000297	Prbi.g_01229	Syal.g_01702
OG0000298	Prbi.g_01230	Syal.g_01703
OG0000299	Prbi.g_01247	Syal.g_01732
OG0000300	Prbi.g_01250	Syal.g_01738
OG0000301	Prbi.g_01251	Syal.g_01739
OG0000302	Prbi.g_01253	Syal.g_01740
OG0000303	Prbi.g_01260	Syal.g_01763
OG0000304	Prbi.g_01264	Syal.g_01756
OG0000305	Prbi.g_01431	Syal.g_01821
OG0000306	Prbi.g_01434	Syal.g_02579
OG0000307	Prbi.g_01448	Syal.g_02880
OG0000308	Prbi.g_01449	Syal.g_02878
OG0000309	Prbi.g_01453	Syal.g_02873
OG0000310	Prbi.g_01574	Syal.g_01537
OG0000311	Prbi.g_01576	Syal.g_00061
OG0000312	Prbi.g_01579	Syal.g_00031
OG0000313	Prbi.g_01595	Syal.g_00381
OG0000314	Prbi.g_01617	Syal.g_00416
OG0000315	Prbi.g_01627	Syal.g_00426
OG0000316	Prbi.g_01647	Syal.g_02987
OG0000317	Prbi.g_01785	Syal.g_00583
OG0000318	Prbi.g_01788	Syal.g_00588
OG0000319	Prbi.g_01801	Syal.g_00608
OG0000320	Prbi.g_01803	Syal.g_00610
OG0000321	Prbi.g_01804	Syal.g_00611
OG0000322	Prbi.g_01805	Syal.g_00612
OG0000323	Prbi.g_01814	Syal.g_00626
OG0000324	Prbi.g_01840	Syal.g_00656
OG0000325	Prbi.g_01849	Syal.g_00195
OG0000326	Prbi.g_01855	Syal.g_00202
OG0000327	Prbi.g_01897	Syal.g_00230
OG0000328	Prbi.g_01898	Syal.g_00231
OG0000329	Prbi.g_01915	Syal.g_00249
OG0000330	Prbi.g_01916	Syal.g_00250
OG0000331	Prbi.g_01917	Syal.g_00251
OG0000332	Prbi.g_01931	Syal.g_00266
OG0000333	Prbi.g_01933	Syal.g_00269
OG0000334	Prbi.g_01941	Syal.g_00279
OG0000335	Prbi.g_01946	Syal.g_00284
OG0000336	Prbi.g_01950	Syal.g_00288
OG0000337	Prbi.g_01966	Syal.g_01343
OG0000338	Prbi.g_01967	Syal.g_01345
OG0000339	Prbi.g_01971	Syal.g_01351
OG0000340	Prbi.g_01979	Syal.g_01434
OG0000341	Prbi.g_01981	Syal.g_01436
OG0000342	Prbi.g_01982	Syal.g_01437
OG0000343	Prbi.g_01983	Syal.g_01441
OG0000344	Prbi.g_01986	Syal.g_01445
OG0000345	Prbi.g_01991	Syal.g_01455
OG0000346	Prbi.g_01995	Syal.g_01460
OG0000347	Prbi.g_02011	Syal.g_01525
OG0000348	Prbi.g_02033	Syal.g_00170
OG0000349	Prbi.g_02050	Syal.g_00148
OG0000350	Prbi.g_02069	Syal.g_00209
OG0000351	Prbi.g_02086	Syal.g_01175
OG0000352	Prbi.g_02087	Syal.g_01176
OG0000353	Prbi.g_02102	Syal.g_00095
OG0000355	Prbi.g_00001	Syal.g_00098
OG0000356	Prbi.g_00002	Syal.g_00099
OG0000357	Prbi.g_00003	Syal.g_00100
OG0000358	Prbi.g_00007	Syal.g_00104
OG0000359	Prbi.g_00008	Syal.g_00106
OG0000360	Prbi.g_00009	Syal.g_00107
OG0000361	Prbi.g_00010	Syal.g_00108
OG0000362	Prbi.g_00012	Syal.g_00110
OG0000363	Prbi.g_00014	Syal.g_00112
OG0000364	Prbi.g_00015	Syal.g_00113
OG0000365	Prbi.g_00020	Syal.g_00122
OG0000366	Prbi.g_00021	Syal.g_00123
OG0000367	Prbi.g_00022	Syal.g_00124
OG0000368	Prbi.g_00024	Syal.g_00126
OG0000369	Prbi.g_00025	Syal.g_00127
OG0000370	Prbi.g_00026	Syal.g_00128
OG0000371	Prbi.g_00032	Syal.g_00135
OG0000372	Prbi.g_00035	Syal.g_00141
OG0000373	Prbi.g_00036	Syal.g_00142
OG0000374	Prbi.g_00037	Syal.g_00143
OG0000375	Prbi.g_00049	Syal.g_00144
OG0000376	Prbi.g_00051	Syal.g_00146
OG0000377	Prbi.g_00056	Syal.g_01061
OG0000378	Prbi.g_00058	Syal.g_01027
OG0000379	Prbi.g_00061	Syal.g_02681, Syal.g_01024
OG0000380	Prbi.g_00073	Syal.g_00749
OG0000381	Prbi.g_00077	Syal.g_00752
OG0000382	Prbi.g_00088	Syal.g_00770
OG0000383	Prbi.g_00090	Syal.g_00775
OG0000384	Prbi.g_00091	Syal.g_00776
OG0000385	Prbi.g_00092	Syal.g_00777
OG0000386	Prbi.g_00093	Syal.g_00778
OG0000387	Prbi.g_00106	Syal.g_00811
OG0000388	Prbi.g_00109	Syal.g_00815
OG0000389	Prbi.g_00113	Syal.g_00819
OG0000390	Prbi.g_00120	Syal.g_00835
OG0000391	Prbi.g_00124	Syal.g_00840
OG0000392	Prbi.g_00128	Syal.g_00846
OG0000393	Prbi.g_00130	Syal.g_00849
OG0000394	Prbi.g_00131	Syal.g_00850
OG0000395	Prbi.g_00132	Syal.g_00851
OG0000396	Prbi.g_00135	Syal.g_00854
OG0000397	Prbi.g_00137	Syal.g_00857
OG0000398	Prbi.g_00139	Syal.g_00862
OG0000399	Prbi.g_00140	Syal.g_00863
OG0000400	Prbi.g_00141	Syal.g_00864
OG0000401	Prbi.g_00142	Syal.g_00865
OG0000402	Prbi.g_00144	Syal.g_00867
OG0000403	Prbi.g_00145	Syal.g_00868
OG0000404	Prbi.g_00146	Syal.g_00870
OG0000405	Prbi.g_00150	Syal.g_00883
OG0000406	Prbi.g_00171	Syal.g_00888
OG0000407	Prbi.g_00172	Syal.g_00889
OG0000408	Prbi.g_00174	Syal.g_00891
OG0000409	Prbi.g_00176	Syal.g_00893
OG0000410	Prbi.g_00177	Syal.g_00894
OG0000411	Prbi.g_00178	Syal.g_00895
OG0000412	Prbi.g_00179	Syal.g_00896
OG0000413	Prbi.g_00180	Syal.g_00898
OG0000414	Prbi.g_00181	Syal.g_00899
OG0000415	Prbi.g_00182	Syal.g_00900
OG0000416	Prbi.g_00183	Syal.g_00901
OG0000417	Prbi.g_00184	Syal.g_00902
OG0000418	Prbi.g_00189	Syal.g_00907
OG0000419	Prbi.g_00191	Syal.g_00909
OG0000420	Prbi.g_00192	Syal.g_00911
OG0000421	Prbi.g_00197	Syal.g_00916
OG0000422	Prbi.g_00198	Syal.g_00917
OG0000423	Prbi.g_00199	Syal.g_00918
OG0000424	Prbi.g_00200	Syal.g_00919
OG0000425	Prbi.g_00201	Syal.g_00920
OG0000426	Prbi.g_00202	Syal.g_00921
OG0000427	Prbi.g_00203	Syal.g_00922
OG0000428	Prbi.g_00205	Syal.g_00925
OG0000429	Prbi.g_00206	Syal.g_00929
OG0000430	Prbi.g_00207	Syal.g_00931
OG0000431	Prbi.g_00209	Syal.g_00934
OG0000432	Prbi.g_00212	Syal.g_00940
OG0000433	Prbi.g_00213	Syal.g_00943
OG0000434	Prbi.g_00214	Syal.g_00944
OG0000435	Prbi.g_00215	Syal.g_00946
OG0000436	Prbi.g_00220	Syal.g_00953
OG0000437	Prbi.g_00221	Syal.g_00954
OG0000438	Prbi.g_00222	Syal.g_00955
OG0000439	Prbi.g_00224	Syal.g_00957
OG0000440	Prbi.g_00225	Syal.g_00958
OG0000441	Prbi.g_00228	Syal.g_00962
OG0000442	Prbi.g_00229	Syal.g_00964
OG0000443	Prbi.g_00230	Syal.g_00966
OG0000444	Prbi.g_00235	Syal.g_00978
OG0000445	Prbi.g_00236	Syal.g_00979
OG0000446	Prbi.g_00237	Syal.g_00981
OG0000447	Prbi.g_00238	Syal.g_00989
OG0000448	Prbi.g_00239	Syal.g_00990
OG0000449	Prbi.g_00240	Syal.g_00991
OG0000450	Prbi.g_00241	Syal.g_00997
OG0000451	Prbi.g_00242	Syal.g_00998
OG0000452	Prbi.g_00245	Syal.g_01002
OG0000453	Prbi.g_00246	Syal.g_01003
OG0000454	Prbi.g_00247	Syal.g_01004
OG0000455	Prbi.g_00248	Syal.g_01005
OG0000456	Prbi.g_00249	Syal.g_01006
OG0000457	Prbi.g_00250	Syal.g_01008
OG0000458	Prbi.g_00251	Syal.g_01009
OG0000459	Prbi.g_00252	Syal.g_01010
OG0000460	Prbi.g_00259	Syal.g_00686
OG0000461	Prbi.g_00266	Syal.g_01199
OG0000462	Prbi.g_00268	Syal.g_01202
OG0000463	Prbi.g_00269	Syal.g_01203
OG0000464	Prbi.g_00270	Syal.g_01204
OG0000465	Prbi.g_00271	Syal.g_01205
OG0000466	Prbi.g_00274	Syal.g_01210
OG0000467	Prbi.g_00275	Syal.g_01212
OG0000468	Prbi.g_00277	Syal.g_01225
OG0000469	Prbi.g_00286	Syal.g_01240
OG0000470	Prbi.g_00288	Syal.g_01242
OG0000471	Prbi.g_00289	Syal.g_01243
OG0000472	Prbi.g_00290	Syal.g_01245
OG0000473	Prbi.g_00292	Syal.g_01247
OG0000474	Prbi.g_00293	Syal.g_01248
OG0000475	Prbi.g_00294	Syal.g_01249
OG0000476	Prbi.g_00295	Syal.g_01251
OG0000477	Prbi.g_00299	Syal.g_01257
OG0000478	Prbi.g_00300	Syal.g_01258
OG0000479	Prbi.g_00301	Syal.g_01259
OG0000480	Prbi.g_00306	Syal.g_01266
OG0000481	Prbi.g_00308	Syal.g_01268
OG0000482	Prbi.g_00309	Syal.g_01269
OG0000483	Prbi.g_00312	Syal.g_01273
OG0000484	Prbi.g_00313	Syal.g_01274
OG0000485	Prbi.g_00314	Syal.g_01275
OG0000486	Prbi.g_00315	Syal.g_01276
OG0000487	Prbi.g_00319	Syal.g_01282
OG0000488	Prbi.g_00322	Syal.g_01286
OG0000489	Prbi.g_00327	Syal.g_01298
OG0000490	Prbi.g_00332	Syal.g_01307
OG0000491	Prbi.g_00333	Syal.g_01308
OG0000492	Prbi.g_00335	Syal.g_01310
OG0000493	Prbi.g_00336	Syal.g_01311
OG0000494	Prbi.g_00337	Syal.g_01312
OG0000495	Prbi.g_00338	Syal.g_01313
OG0000496	Prbi.g_00339	Syal.g_01314
OG0000497	Prbi.g_00340	Syal.g_01315
OG0000498	Prbi.g_00341	Syal.g_01316
OG0000499	Prbi.g_00342	Syal.g_01317
OG0000500	Prbi.g_00343	Syal.g_01318
OG0000501	Prbi.g_00345	Syal.g_01321
OG0000502	Prbi.g_00348	Syal.g_01328
OG0000503	Prbi.g_00358	Syal.g_00347
OG0000504	Prbi.g_00359	Syal.g_00349
OG0000505	Prbi.g_00360	Syal.g_00350
OG0000506	Prbi.g_00362	Syal.g_00352
OG0000507	Prbi.g_00365	Syal.g_00358
OG0000508	Prbi.g_00369	Syal.g_00362
OG0000509	Prbi.g_00371	Syal.g_00364
OG0000510	Prbi.g_00372	Syal.g_00365
OG0000511	Prbi.g_00373	Syal.g_00366
OG0000512	Prbi.g_00375	Syal.g_00368
OG0000513	Prbi.g_00382	Syal.g_00551
OG0000514	Prbi.g_00432	Syal.g_00539
OG0000515	Prbi.g_00433	Syal.g_00538
OG0000516	Prbi.g_00434	Syal.g_00534
OG0000517	Prbi.g_00436	Syal.g_00526
OG0000518	Prbi.g_00447	Syal.g_00514
OG0000519	Prbi.g_00448	Syal.g_00513
OG0000520	Prbi.g_00449	Syal.g_00512
OG0000521	Prbi.g_00454	Syal.g_00502
OG0000522	Prbi.g_00456	Syal.g_00500
OG0000523	Prbi.g_00457	Syal.g_00499
OG0000524	Prbi.g_00463	Syal.g_00491
OG0000525	Prbi.g_00466	Syal.g_00473
OG0000526	Prbi.g_00467	Syal.g_00471
OG0000527	Prbi.g_00476	Syal.g_00465
OG0000528	Prbi.g_00481	Syal.g_02893
OG0000529	Prbi.g_00484	Syal.g_02898
OG0000530	Prbi.g_00487	Syal.g_02901
OG0000531	Prbi.g_00488	Syal.g_02902
OG0000532	Prbi.g_00490	Syal.g_02905
OG0000533	Prbi.g_00491	Syal.g_02907
OG0000534	Prbi.g_00492	Syal.g_02908
OG0000535	Prbi.g_00493	Syal.g_02909
OG0000536	Prbi.g_00494	Syal.g_02910
OG0000537	Prbi.g_00495	Syal.g_02911
OG0000538	Prbi.g_00503	Syal.g_02923
OG0000539	Prbi.g_00504	Syal.g_02924
OG0000540	Prbi.g_00505	Syal.g_02925
OG0000541	Prbi.g_00506	Syal.g_02926
OG0000542	Prbi.g_00508	Syal.g_02929
OG0000543	Prbi.g_00510	Syal.g_02931
OG0000544	Prbi.g_00511	Syal.g_02932
OG0000545	Prbi.g_00513	Syal.g_02934
OG0000546	Prbi.g_00516	Syal.g_02936
OG0000547	Prbi.g_00518	Syal.g_02938
OG0000548	Prbi.g_00519	Syal.g_02939
OG0000549	Prbi.g_00521	Syal.g_02945
OG0000550	Prbi.g_00526	Syal.g_02949
OG0000551	Prbi.g_00530	Syal.g_02953
OG0000552	Prbi.g_00531	Syal.g_02954
OG0000553	Prbi.g_00532	Syal.g_02843
OG0000554	Prbi.g_00537	Syal.g_02837
