Orthogroup	Syaq	Syap
OG0000215	Syaq.g_00777	Syap.g_01347, Syap.g_01629
OG0000216	Syaq.g_00781	Syap.g_01634
OG0000217	Syaq.g_00844	Syap.g_01638
OG0000218	Syaq.g_00846	Syap.g_01641, Syap.g_01640
OG0000219	Syaq.g_00847	Syap.g_01642, Syap.g_01643
OG0000220	Syaq.g_00848	Syap.g_01645
OG0000221	Syaq.g_00856	Syap.g_01646
OG0000222	Syaq.g_00868	Syap.g_01669
OG0000223	Syaq.g_00946	Syap.g_02072, Syap.g_02073
OG0000224	Syaq.g_00950	Syap.g_02064
OG0000225	Syaq.g_00543	Syap.g_00553, Syap.g_00552
OG0000226	Syaq.g_00536	Syap.g_02029, Syap.g_02144
OG0000227	Syaq.g_00534	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Syaq.g_00531	Syap.g_00116, Syap.g_02041
OG0000229	Syaq.g_00501	Syap.g_02059
OG0000230	Syaq.g_00499	Syap.g_02061
OG0000231	Syaq.g_00485	Syap.g_02533
OG0000232	Syaq.g_00472	Syap.g_02510, Syap.g_02511
OG0000233	Syaq.g_00464	Syap.g_02133
OG0000234	Syaq.g_00440	Syap.g_02755
OG0000235	Syaq.g_01771	Syap.g_00732, Syap.g_02258
OG0000236	Syaq.g_01787	Syap.g_02238
OG0000237	Syaq.g_01805	Syap.g_00262, Syap.g_00263
OG0000238	Syaq.g_01810	Syap.g_00257, Syap.g_00258
OG0000239	Syaq.g_01826	Syap.g_02744
OG0000240	Syaq.g_01827	Syap.g_02742
OG0000241	Syaq.g_02074	Syap.g_00888
OG0000242	Syaq.g_01836	Syap.g_01455
OG0000243	Syaq.g_01922	Syap.g_01938
OG0000244	Syaq.g_01928	Syap.g_01146, Syap.g_01145
OG0000245	Syaq.g_01930	Syap.g_01148
OG0000246	Syaq.g_01934	Syap.g_00308
OG0000247	Syaq.g_01945	Syap.g_00288, Syap.g_00293
OG0000248	Syaq.g_01948	Syap.g_00290
OG0000249	Syaq.g_01950	Syap.g_01296, Syap.g_01295
OG0000250	Syaq.g_01958	Syap.g_01306
OG0000251	Syaq.g_01984	Syap.g_00442
OG0000252	Syaq.g_01987	Syap.g_01857
OG0000253	Syaq.g_01989	Syap.g_00443
OG0000254	Syaq.g_02016	Syap.g_01527, Syap.g_01528
OG0000256	Syaq.g_02068	Syap.g_01287
OG0000257	Syaq.g_02073	Syap.g_00886
OG0000258	Syaq.g_02095	Syap.g_00907
OG0000260	Syaq.g_02242	Syap.g_01970
OG0000261	Syaq.g_02245	Syap.g_01962, Syap.g_01961
OG0000262	Syaq.g_02250	Syap.g_01954
OG0000263	Syaq.g_00185	Syap.g_00432, Syap.g_00433
OG0000266	Syaq.g_00037	Syap.g_00519
OG0000267	Syaq.g_02430	Syap.g_02333, Syap.g_02332
OG0000268	Syaq.g_02431	Syap.g_00646
OG0000269	Syaq.g_02335	Syap.g_00188
OG0000270	Syaq.g_02338	Syap.g_00192
OG0000271	Syaq.g_02346	Syap.g_00200, Syap.g_00201
OG0000272	Syaq.g_02347	Syap.g_00202
OG0000273	Syaq.g_02376	Syap.g_02703
OG0000274	Syaq.g_02377	Syap.g_02702
OG0000275	Syaq.g_02380	Syap.g_01847
OG0000276	Syaq.g_02387	Syap.g_01839, Syap.g_01838
OG0000277	Syaq.g_02388	Syap.g_01837
OG0000278	Syaq.g_02391	Syap.g_01834
OG0000279	Syaq.g_02401	Syap.g_00829, Syap.g_00830
OG0000280	Syaq.g_02410	Syap.g_00365
OG0000281	Syaq.g_02224	Syap.g_01977
OG0000282	Syaq.g_02271	Syap.g_01252
OG0000283	Syaq.g_02445	Syap.g_01728
OG0000284	Syaq.g_02450	Syap.g_01736
OG0000285	Syaq.g_02466	Syap.g_01746, Syap.g_01744
OG0000286	Syaq.g_02484	Syap.g_02014, Syap.g_02013
OG0000288	Syaq.g_00067	Syap.g_02764, Syap.g_02763
OG0000289	Syaq.g_00053	Syap.g_02784
OG0000290	Syaq.g_02682	Syap.g_01552
OG0000291	Syaq.g_02680	Syap.g_01554
OG0000292	Syaq.g_01157	Syap.g_02314
OG0000293	Syaq.g_00262	Syap.g_00240
OG0000294	Syaq.g_00261	Syap.g_00239
OG0000295	Syaq.g_00220	Syap.g_00206
OG0000296	Syaq.g_00218	Syap.g_00204
OG0000297	Syaq.g_00205	Syap.g_01887
OG0000298	Syaq.g_00204	Syap.g_01888
OG0000299	Syaq.g_00171	Syap.g_02620
OG0000302	Syaq.g_00162	Syap.g_02444, Syap.g_02445
OG0000303	Syaq.g_00152	Syap.g_02435
OG0000304	Syaq.g_00146	Syap.g_02430
OG0000305	Syaq.g_02677	Syap.g_01557
OG0000306	Syaq.g_01861	Syap.g_01966
OG0000307	Syaq.g_01754	Syap.g_02517
OG0000308	Syaq.g_01752	Syap.g_02514, Syap.g_02515
OG0000309	Syaq.g_01747	Syap.g_02198, Syap.g_02446
OG0000310	Syaq.g_00347	Syap.g_02660, Syap.g_02661
OG0000311	Syaq.g_00352	Syap.g_02657
OG0000312	Syaq.g_00359	Syap.g_02114
OG0000313	Syaq.g_00379	Syap.g_02473
OG0000314	Syaq.g_00408	Syap.g_00007
OG0000315	Syaq.g_00418	Syap.g_00017
OG0000316	Syaq.g_01716	Syap.g_00030
OG0000317	Syaq.g_01675	Syap.g_00618
OG0000318	Syaq.g_01672	Syap.g_00622, Syap.g_02786
OG0000319	Syaq.g_01657	Syap.g_01764, Syap.g_01771
OG0000320	Syaq.g_01655	Syap.g_01761, Syap.g_01769
OG0000321	Syaq.g_01654	Syap.g_01760, Syap.g_01768
OG0000322	Syaq.g_01653	Syap.g_01759, Syap.g_01767
OG0000323	Syaq.g_01638	Syap.g_01389
OG0000324	Syaq.g_01605	Syap.g_01503
OG0000325	Syaq.g_00693	Syap.g_02680
OG0000326	Syaq.g_00686	Syap.g_00544
OG0000327	Syaq.g_00652	Syap.g_01233, Syap.g_01913
OG0000328	Syaq.g_00651	Syap.g_01234, Syap.g_01912
OG0000329	Syaq.g_00633	Syap.g_00498
OG0000330	Syaq.g_00632	Syap.g_00497
OG0000331	Syaq.g_00631	Syap.g_00496
OG0000332	Syaq.g_00616	Syap.g_00481
OG0000333	Syaq.g_00613	Syap.g_00478
OG0000334	Syaq.g_00603	Syap.g_00468
OG0000335	Syaq.g_00598	Syap.g_00101, Syap.g_00463
OG0000336	Syaq.g_00594	Syap.g_00417, Syap.g_00607
OG0000337	Syaq.g_00975	Syap.g_01054
OG0000338	Syaq.g_00981	Syap.g_01059
OG0000339	Syaq.g_00988	Syap.g_01068
OG0000340	Syaq.g_01005	Syap.g_01077
OG0000341	Syaq.g_01007	Syap.g_01079
OG0000342	Syaq.g_01008	Syap.g_01080, Syap.g_02477
OG0000343	Syaq.g_01010	Syap.g_01086, Syap.g_02078
OG0000344	Syaq.g_01014	Syap.g_01091
OG0000345	Syaq.g_01024	Syap.g_01107, Syap.g_01470
OG0000346	Syaq.g_01029	Syap.g_01113
OG0000347	Syaq.g_01057	Syap.g_01131, Syap.g_02459
OG0000348	Syaq.g_01070	Syap.g_00632
OG0000349	Syaq.g_01099	Syap.g_00110, Syap.g_01813
OG0000351	Syaq.g_01179	Syap.g_02594
OG0000352	Syaq.g_01178	Syap.g_02596, Syap.g_02597
OG0000353	Syaq.g_01151	Syap.g_00054
OG0000354	Syaq.g_01131	Syap.g_00075, Syap.g_02635
OG0000355	Syaq.g_01149	Syap.g_00056
OG0000356	Syaq.g_01148	Syap.g_00057
OG0000357	Syaq.g_01147	Syap.g_00058
OG0000358	Syaq.g_01143	Syap.g_00063
OG0000359	Syaq.g_01141	Syap.g_00065
OG0000360	Syaq.g_01140	Syap.g_00067
OG0000361	Syaq.g_01139	Syap.g_00068
OG0000362	Syaq.g_01137	Syap.g_00070
OG0000363	Syaq.g_01135	Syap.g_00072
OG0000364	Syaq.g_01134	Syap.g_00620
OG0000365	Syaq.g_01125	Syap.g_00081
OG0000366	Syaq.g_01124	Syap.g_00082
OG0000367	Syaq.g_01123	Syap.g_00083
OG0000368	Syaq.g_01121	Syap.g_00085
OG0000369	Syaq.g_01120	Syap.g_00086
OG0000370	Syaq.g_01119	Syap.g_00087
OG0000372	Syaq.g_01106	Syap.g_01805
OG0000373	Syaq.g_01105	Syap.g_01806
OG0000374	Syaq.g_01104	Syap.g_01807
OG0000375	Syaq.g_01103	Syap.g_01808
OG0000376	Syaq.g_01101	Syap.g_01811
OG0000377	Syaq.g_01270	Syap.g_00128
OG0000378	Syaq.g_01286	Syap.g_01326
OG0000380	Syaq.g_01560	Syap.g_01687
OG0000381	Syaq.g_01558	Syap.g_01690
OG0000382	Syaq.g_01540	Syap.g_02548
OG0000383	Syaq.g_01535	Syap.g_02359
OG0000384	Syaq.g_01534	Syap.g_02360
OG0000385	Syaq.g_01533	Syap.g_02361
OG0000386	Syaq.g_01532	Syap.g_02362
OG0000387	Syaq.g_01495	Syap.g_01864
OG0000391	Syaq.g_01468	Syap.g_02234
OG0000392	Syaq.g_01463	Syap.g_02225
OG0000393	Syaq.g_01460	Syap.g_02222
OG0000394	Syaq.g_01459	Syap.g_02221
OG0000395	Syaq.g_01458	Syap.g_02220
OG0000396	Syaq.g_01455	Syap.g_02217
OG0000397	Syaq.g_01453	Syap.g_02215
OG0000398	Syaq.g_01448	Syap.g_02211
OG0000399	Syaq.g_01447	Syap.g_02210
OG0000400	Syaq.g_01446	Syap.g_02209
OG0000401	Syaq.g_01445	Syap.g_02208
OG0000402	Syaq.g_01443	Syap.g_02206
OG0000403	Syaq.g_01442	Syap.g_02205
OG0000404	Syaq.g_01440	Syap.g_02204, Syap.g_02618
OG0000405	Syaq.g_01429	Syap.g_02191
OG0000406	Syaq.g_01422	Syap.g_02186
OG0000407	Syaq.g_01421	Syap.g_02185
OG0000408	Syaq.g_01419	Syap.g_02181, Syap.g_02182
OG0000409	Syaq.g_01417	Syap.g_02179
OG0000410	Syaq.g_01416	Syap.g_02178
OG0000411	Syaq.g_01415	Syap.g_02177
OG0000412	Syaq.g_01414	Syap.g_02176
OG0000413	Syaq.g_01412	Syap.g_02174
OG0000414	Syaq.g_01411	Syap.g_02173
OG0000415	Syaq.g_01410	Syap.g_02172
OG0000416	Syaq.g_01409	Syap.g_02171
OG0000417	Syaq.g_01408	Syap.g_02169
OG0000418	Syaq.g_01403	Syap.g_01204
OG0000419	Syaq.g_01401	Syap.g_01201
OG0000420	Syaq.g_01400	Syap.g_01199
OG0000421	Syaq.g_01395	Syap.g_01195
OG0000422	Syaq.g_01394	Syap.g_01194
OG0000423	Syaq.g_01393	Syap.g_01193
OG0000424	Syaq.g_01392	Syap.g_01192
OG0000425	Syaq.g_01391	Syap.g_01191
OG0000426	Syaq.g_01390	Syap.g_01190
OG0000427	Syaq.g_01389	Syap.g_01189
OG0000428	Syaq.g_01386	Syap.g_01186
OG0000429	Syaq.g_01384	Syap.g_01184
OG0000430	Syaq.g_01383	Syap.g_01182
OG0000431	Syaq.g_01380	Syap.g_01179
OG0000432	Syaq.g_01374	Syap.g_02277
OG0000433	Syaq.g_01369	Syap.g_02272
OG0000434	Syaq.g_01368	Syap.g_02271
OG0000435	Syaq.g_01367	Syap.g_02268
OG0000436	Syaq.g_01361	Syap.g_01607
OG0000437	Syaq.g_01360	Syap.g_01608
OG0000438	Syaq.g_01359	Syap.g_01612
OG0000439	Syaq.g_01357	Syap.g_01614
OG0000440	Syaq.g_01356	Syap.g_01615
OG0000441	Syaq.g_01352	Syap.g_01619
OG0000442	Syaq.g_01350	Syap.g_01620
OG0000443	Syaq.g_01347	Syap.g_01622
OG0000444	Syaq.g_01333	Syap.g_01424
OG0000445	Syaq.g_01332	Syap.g_01421
OG0000446	Syaq.g_01330	Syap.g_01419
OG0000447	Syaq.g_01328	Syap.g_01410
OG0000448	Syaq.g_01327	Syap.g_01407
OG0000449	Syaq.g_01320	Syap.g_01406
OG0000450	Syaq.g_01313	Syap.g_01909
OG0000451	Syaq.g_01312	Syap.g_01908
OG0000452	Syaq.g_01308	Syap.g_01904
OG0000453	Syaq.g_01307	Syap.g_01903
OG0000454	Syaq.g_01306	Syap.g_01902
OG0000455	Syaq.g_01305	Syap.g_01901
OG0000456	Syaq.g_01304	Syap.g_01900
OG0000457	Syaq.g_01302	Syap.g_01896
OG0000458	Syaq.g_01299	Syap.g_01895
OG0000459	Syaq.g_01298	Syap.g_01894
OG0000460	Syaq.g_01577	Syap.g_01159
OG0000461	Syaq.g_00707	Syap.g_01575
OG0000462	Syaq.g_00710	Syap.g_01578
OG0000463	Syaq.g_00711	Syap.g_01579
OG0000464	Syaq.g_00712	Syap.g_01580
OG0000465	Syaq.g_00714	Syap.g_01582
OG0000466	Syaq.g_00718	Syap.g_01587
OG0000467	Syaq.g_00720	Syap.g_01588
OG0000468	Syaq.g_00725	Syap.g_01593
OG0000469	Syaq.g_00739	Syap.g_02352
OG0000470	Syaq.g_00741	Syap.g_02349
OG0000471	Syaq.g_00742	Syap.g_02348
OG0000472	Syaq.g_00744	Syap.g_02347
OG0000473	Syaq.g_00746	Syap.g_02343
OG0000474	Syaq.g_00747	Syap.g_02342
OG0000475	Syaq.g_00748	Syap.g_02341
OG0000476	Syaq.g_00750	Syap.g_02339
OG0000477	Syaq.g_00756	Syap.g_01367
OG0000478	Syaq.g_00757	Syap.g_01366
OG0000479	Syaq.g_00759	Syap.g_01364
OG0000480	Syaq.g_00766	Syap.g_01357
OG0000482	Syaq.g_00769	Syap.g_01355
OG0000483	Syaq.g_00773	Syap.g_01344
OG0000484	Syaq.g_00774	Syap.g_01350
OG0000485	Syaq.g_00775	Syap.g_01349
OG0000487	Syaq.g_00782	Syap.g_01635
OG0000488	Syaq.g_00845	Syap.g_01639
OG0000489	Syaq.g_00857	Syap.g_02482
OG0000490	Syaq.g_00864	Syap.g_01673
OG0000491	Syaq.g_00865	Syap.g_01670
OG0000492	Syaq.g_00869	Syap.g_01668
OG0000493	Syaq.g_00870	Syap.g_01667
OG0000494	Syaq.g_00871	Syap.g_01666
OG0000495	Syaq.g_00872	Syap.g_01665
OG0000496	Syaq.g_00873	Syap.g_01663
OG0000497	Syaq.g_00874	Syap.g_01662
OG0000498	Syaq.g_00875	Syap.g_01661
OG0000499	Syaq.g_00876	Syap.g_01660
OG0000500	Syaq.g_00877	Syap.g_01659
OG0000501	Syaq.g_00880	Syap.g_01656
OG0000502	Syaq.g_00953	Syap.g_02066
OG0000503	Syaq.g_00559	Syap.g_00569
OG0000504	Syaq.g_00557	Syap.g_00567
OG0000505	Syaq.g_00556	Syap.g_00566
OG0000506	Syaq.g_00554	Syap.g_00564
OG0000507	Syaq.g_00548	Syap.g_00558
OG0000508	Syaq.g_00544	Syap.g_00554
OG0000509	Syaq.g_00542	Syap.g_00551
OG0000510	Syaq.g_00538	Syap.g_00550
OG0000511	Syaq.g_00537	Syap.g_00548
OG0000512	Syaq.g_00535	Syap.g_02145
OG0000513	Syaq.g_00525	Syap.g_02048
OG0000514	Syaq.g_00514	Syap.g_02051
OG0000515	Syaq.g_00513	Syap.g_02052
OG0000516	Syaq.g_00509	Syap.g_02054
OG0000517	Syaq.g_00502	Syap.g_02057
OG0000519	Syaq.g_00489	Syap.g_00457
OG0000520	Syaq.g_00488	Syap.g_00456
OG0000521	Syaq.g_00477	Syap.g_01997
OG0000522	Syaq.g_00475	Syap.g_01995
OG0000523	Syaq.g_00474	Syap.g_02507
OG0000524	Syaq.g_00469	Syap.g_02135
OG0000525	Syaq.g_00450	Syap.g_02159
OG0000526	Syaq.g_00448	Syap.g_02157
OG0000527	Syaq.g_00444	Syap.g_02758
OG0000528	Syaq.g_01768	Syap.g_02261
OG0000529	Syaq.g_01773	Syap.g_02254
OG0000530	Syaq.g_01776	Syap.g_02252
OG0000531	Syaq.g_01777	Syap.g_02251
OG0000532	Syaq.g_01780	Syap.g_02247
OG0000533	Syaq.g_01782	Syap.g_02244
OG0000534	Syaq.g_01783	Syap.g_02243
OG0000535	Syaq.g_01784	Syap.g_02242
OG0000536	Syaq.g_01785	Syap.g_02241
OG0000537	Syaq.g_01786	Syap.g_02240
OG0000538	Syaq.g_01798	Syap.g_00271
OG0000539	Syaq.g_01799	Syap.g_00270
OG0000540	Syaq.g_01800	Syap.g_00269
OG0000541	Syaq.g_01801	Syap.g_00268
OG0000542	Syaq.g_01804	Syap.g_00264
OG0000543	Syaq.g_01806	Syap.g_00261
OG0000544	Syaq.g_01807	Syap.g_00260
OG0000545	Syaq.g_01809	Syap.g_00259
OG0000546	Syaq.g_01811	Syap.g_00256
OG0000547	Syaq.g_01813	Syap.g_00254
OG0000548	Syaq.g_01814	Syap.g_00253
OG0000549	Syaq.g_01819	Syap.g_00758
OG0000550	Syaq.g_01824	Syap.g_02747
OG0000551	Syaq.g_01829	Syap.g_02739
OG0000552	Syaq.g_01830	Syap.g_02738
OG0000553	Syaq.g_01834	Syap.g_02735
OG0000554	Syaq.g_01839	Syap.g_01450
OG0000555	Syaq.g_01857	Syap.g_01941
OG0000556	Syaq.g_01925	Syap.g_01933
OG0000557	Syaq.g_01927	Syap.g_01931
OG0000558	Syaq.g_01929	Syap.g_01147
OG0000560	Syaq.g_01936	Syap.g_00305
OG0000561	Syaq.g_01937	Syap.g_00304
OG0000562	Syaq.g_01938	Syap.g_00302
OG0000563	Syaq.g_01939	Syap.g_00301
OG0000564	Syaq.g_01940	Syap.g_00300
OG0000565	Syaq.g_01943	Syap.g_00296
OG0000566	Syaq.g_01947	Syap.g_00291
OG0000567	Syaq.g_01951	Syap.g_01297
OG0000568	Syaq.g_01954	Syap.g_01302
OG0000569	Syaq.g_01955	Syap.g_01303
OG0000570	Syaq.g_01956	Syap.g_01304
