Orthogroup	Prbg	Prbi
OG0000058	Prbg.g_00194	Prbi.g_00478
OG0000059	Prbg.g_01143	Prbi.g_00702
OG0000062	Prbg.g_00749	Prbi.g_01174
OG0000063	Prbg.g_01459	Prbi.g_01330
OG0000065	Prbg.g_00477	Prbi.g_01391
OG0000066	Prbg.g_00549	Prbi.g_01460
OG0000068	Prbg.g_01785	Prbi.g_01938
OG0000069	Prbg.g_00630	Prbi.g_01497
OG0000071	Prbg.g_00778	Prbi.g_00011
OG0000072	Prbg.g_00100	Prbi.g_00346
OG0000073	Prbg.g_01386	Prbi.g_00672
OG0000074	Prbg.g_01133	Prbi.g_00694
OG0000075	Prbg.g_01166	Prbi.g_00854
OG0000076	Prbg.g_01234	Prbi.g_01086
OG0000078	Prbg.g_00552	Prbi.g_01462
OG0000079	Prbg.g_00676	Prbi.g_01668
OG0000080	Prbg.g_00414	Prbi.g_01725
OG0000081	Prbg.g_01819	Prbi.g_01968
OG0000082	Prbg.g_00419	Prbi.g_02069
OG0000083	Prbg.g_00770	Prbi.g_00003
OG0000084	Prbg.g_00773	Prbi.g_00006
OG0000085	Prbg.g_00851	Prbi.g_00023
OG0000087	Prbg.g_00822	Prbi.g_00060
OG0000088	Prbg.g_00887	Prbi.g_00120
OG0000089	Prbg.g_00896	Prbi.g_00129
OG0000090	Prbg.g_00913	Prbi.g_00147
OG0000091	Prbg.g_00947	Prbi.g_00193
OG0000092	Prbg.g_00948	Prbi.g_00194
OG0000093	Prbg.g_00962	Prbi.g_00208
OG0000094	Prbg.g_00981	Prbi.g_00226
OG0000095	Prbg.g_00986	Prbi.g_00231
OG0000096	Prbg.g_01034	Prbi.g_00275
OG0000097	Prbg.g_00053	Prbi.g_00298
OG0000099	Prbg.g_00074	Prbi.g_00318
OG0000100	Prbg.g_00077	Prbi.g_00321
OG0000101	Prbg.g_00139	Prbi.g_00381
OG0000102	Prbg.g_00459	Prbi.g_00407
OG0000103	Prbg.g_00195	Prbi.g_00479
OG0000104	Prbg.g_00199	Prbi.g_00483
OG0000105	Prbg.g_00219	Prbi.g_00502
OG0000106	Prbg.g_00249	Prbi.g_00535
OG0000107	Prbg.g_00250	Prbi.g_00536
OG0000108	Prbg.g_00260	Prbi.g_00546
OG0000109	Prbg.g_00270	Prbi.g_00555
OG0000110	Prbg.g_00287	Prbi.g_00571
OG0000111	Prbg.g_01405	Prbi.g_00654
OG0000112	Prbg.g_01404	Prbi.g_00655
OG0000113	Prbg.g_01354	Prbi.g_00767
OG0000114	Prbg.g_01157	Prbi.g_00845
OG0000115	Prbg.g_01287	Prbi.g_01009
OG0000116	Prbg.g_01291	Prbi.g_01013
OG0000117	Prbg.g_01237	Prbi.g_01083
OG0000118	Prbg.g_01531	Prbi.g_01136
OG0000119	Prbg.g_00752	Prbi.g_01177
OG0000120	Prbg.g_01480	Prbi.g_01213
OG0000121	Prbg.g_01457	Prbi.g_01232
OG0000122	Prbg.g_01437	Prbi.g_01251
OG0000123	Prbg.g_00352	Prbi.g_01264
OG0000124	Prbg.g_00687	Prbi.g_01277
OG0000125	Prbg.g_00490	Prbi.g_01403
OG0000126	Prbg.g_00529	Prbi.g_01439
OG0000127	Prbg.g_00579	Prbi.g_01576
OG0000128	Prbg.g_00592	Prbi.g_01592
OG0000129	Prbg.g_00628	Prbi.g_01627
OG0000130	Prbg.g_01647	Prbi.g_01785
OG0000131	Prbg.g_01686	Prbi.g_01823
OG0000132	Prbg.g_01689	Prbi.g_01826
OG0000133	Prbg.g_01743	Prbi.g_01897
OG0000134	Prbg.g_01779	Prbi.g_01933
OG0000135	Prbg.g_01781	Prbi.g_01935
OG0000136	Prbg.g_01831	Prbi.g_01979
OG0000137	Prbg.g_01865	Prbi.g_02011
OG0000138	Prbg.g_01900	Prbi.g_02059
OG0000139	Prbg.g_01931	Prbi.g_02086
OG0000140	Prbg.g_00768	Prbi.g_00001
OG0000141	Prbg.g_00769	Prbi.g_00002
OG0000142	Prbg.g_00771	Prbi.g_00004
OG0000143	Prbg.g_00772	Prbi.g_00005
OG0000144	Prbg.g_00774	Prbi.g_00007
OG0000145	Prbg.g_00775	Prbi.g_00008
OG0000146	Prbg.g_00776	Prbi.g_00009
OG0000147	Prbg.g_00777	Prbi.g_00010
OG0000148	Prbg.g_00779	Prbi.g_00012
OG0000149	Prbg.g_00860	Prbi.g_00014
OG0000150	Prbg.g_00859	Prbi.g_00015
OG0000151	Prbg.g_00858	Prbi.g_00016
OG0000152	Prbg.g_00857	Prbi.g_00017
OG0000153	Prbg.g_00856	Prbi.g_00018
OG0000154	Prbg.g_00855	Prbi.g_00019
OG0000155	Prbg.g_00854	Prbi.g_00020
OG0000156	Prbg.g_00853	Prbi.g_00021
OG0000157	Prbg.g_00852	Prbi.g_00022
OG0000158	Prbg.g_00850	Prbi.g_00024
OG0000159	Prbg.g_00849	Prbi.g_00025
OG0000160	Prbg.g_00848	Prbi.g_00026
OG0000161	Prbg.g_00847	Prbi.g_00027
OG0000162	Prbg.g_00846	Prbi.g_00028
OG0000163	Prbg.g_00844	Prbi.g_00029
OG0000164	Prbg.g_00841	Prbi.g_00032
OG0000165	Prbg.g_00838	Prbi.g_00035
OG0000166	Prbg.g_00837	Prbi.g_00036
OG0000167	Prbg.g_00836	Prbi.g_00037
OG0000168	Prbg.g_00834	Prbi.g_00049
OG0000169	Prbg.g_00832	Prbi.g_00051
OG0000170	Prbg.g_00830	Prbi.g_00052
OG0000171	Prbg.g_00829	Prbi.g_00053
OG0000172	Prbg.g_00828	Prbi.g_00056
OG0000173	Prbg.g_00825	Prbi.g_00057
OG0000174	Prbg.g_00824	Prbi.g_00058
OG0000175	Prbg.g_00823	Prbi.g_00059
OG0000176	Prbg.g_00821	Prbi.g_00061
OG0000177	Prbg.g_00820	Prbi.g_00062
OG0000178	Prbg.g_00818	Prbi.g_00063
OG0000179	Prbg.g_00806	Prbi.g_00071
OG0000180	Prbg.g_00805	Prbi.g_00072
OG0000181	Prbg.g_00804	Prbi.g_00073
OG0000182	Prbg.g_00800	Prbi.g_00076
OG0000183	Prbg.g_00799	Prbi.g_00077
OG0000184	Prbg.g_00796	Prbi.g_00080
OG0000185	Prbg.g_00792	Prbi.g_00084
OG0000186	Prbg.g_00791	Prbi.g_00085
OG0000187	Prbg.g_00017	Prbi.g_00086
OG0000188	Prbg.g_00790	Prbi.g_00087
OG0000189	Prbg.g_00789	Prbi.g_00088
OG0000190	Prbg.g_00788	Prbi.g_00089
OG0000191	Prbg.g_00787	Prbi.g_00090
OG0000192	Prbg.g_00786	Prbi.g_00091
OG0000193	Prbg.g_00785	Prbi.g_00092
OG0000194	Prbg.g_00784	Prbi.g_00093
OG0000195	Prbg.g_00782	Prbi.g_00095
OG0000196	Prbg.g_00781	Prbi.g_00096
OG0000197	Prbg.g_00780	Prbi.g_00097
OG0000198	Prbg.g_00861	Prbi.g_00098
OG0000199	Prbg.g_00864	Prbi.g_00101
OG0000200	Prbg.g_00865	Prbi.g_00102
OG0000201	Prbg.g_00866	Prbi.g_00103
OG0000202	Prbg.g_00868	Prbi.g_00104
OG0000203	Prbg.g_00869	Prbi.g_00105
OG0000204	Prbg.g_00870	Prbi.g_00106
OG0000205	Prbg.g_00872	Prbi.g_00107
OG0000206	Prbg.g_00873	Prbi.g_00108
OG0000207	Prbg.g_00874	Prbi.g_00109
OG0000208	Prbg.g_00875	Prbi.g_00110
OG0000209	Prbg.g_00876	Prbi.g_00111
OG0000210	Prbg.g_00877	Prbi.g_00113
OG0000211	Prbg.g_00879	Prbi.g_00114
OG0000212	Prbg.g_00880	Prbi.g_00115
OG0000213	Prbg.g_00881	Prbi.g_00116
OG0000214	Prbg.g_00885	Prbi.g_00118
OG0000215	Prbg.g_00886	Prbi.g_00119
OG0000216	Prbg.g_00888	Prbi.g_00121
OG0000217	Prbg.g_00889	Prbi.g_00123
OG0000218	Prbg.g_00890	Prbi.g_00124
OG0000219	Prbg.g_00891	Prbi.g_00125
OG0000220	Prbg.g_00894	Prbi.g_00128
OG0000221	Prbg.g_00897	Prbi.g_00130
OG0000222	Prbg.g_00898	Prbi.g_00131
OG0000223	Prbg.g_00899	Prbi.g_00132
OG0000224	Prbg.g_00901	Prbi.g_00135
OG0000225	Prbg.g_00903	Prbi.g_00137
OG0000226	Prbg.g_00905	Prbi.g_00138
OG0000227	Prbg.g_00906	Prbi.g_00139
OG0000228	Prbg.g_00907	Prbi.g_00140
OG0000229	Prbg.g_00908	Prbi.g_00141
OG0000230	Prbg.g_00909	Prbi.g_00142
OG0000231	Prbg.g_01349	Prbi.g_00144
OG0000232	Prbg.g_00911	Prbi.g_00145
OG0000233	Prbg.g_00914	Prbi.g_00148
OG0000234	Prbg.g_00916	Prbi.g_00150
OG0000235	Prbg.g_00922	Prbi.g_00169
OG0000236	Prbg.g_00923	Prbi.g_00170
OG0000237	Prbg.g_00924	Prbi.g_00171
OG0000238	Prbg.g_00925	Prbi.g_00172
OG0000239	Prbg.g_00926	Prbi.g_00173
OG0000240	Prbg.g_00928	Prbi.g_00175
OG0000241	Prbg.g_00929	Prbi.g_00176
OG0000242	Prbg.g_00930	Prbi.g_00177
OG0000243	Prbg.g_00931	Prbi.g_00178
OG0000244	Prbg.g_00932	Prbi.g_00179
OG0000245	Prbg.g_00934	Prbi.g_00180
OG0000246	Prbg.g_00936	Prbi.g_00182
OG0000247	Prbg.g_00937	Prbi.g_00183
OG0000248	Prbg.g_00938	Prbi.g_00184
OG0000249	Prbg.g_00939	Prbi.g_00185
OG0000250	Prbg.g_00940	Prbi.g_00186
OG0000251	Prbg.g_00941	Prbi.g_00187
OG0000252	Prbg.g_00942	Prbi.g_00188
OG0000253	Prbg.g_00943	Prbi.g_00189
OG0000254	Prbg.g_00945	Prbi.g_00191
OG0000255	Prbg.g_00946	Prbi.g_00192
OG0000256	Prbg.g_00949	Prbi.g_00195
OG0000257	Prbg.g_00951	Prbi.g_00197
OG0000258	Prbg.g_00952	Prbi.g_00198
OG0000259	Prbg.g_00953	Prbi.g_00199
OG0000260	Prbg.g_00954	Prbi.g_00200
OG0000261	Prbg.g_00955	Prbi.g_00201
OG0000262	Prbg.g_00956	Prbi.g_00202
OG0000263	Prbg.g_00957	Prbi.g_00203
OG0000264	Prbg.g_00959	Prbi.g_00205
OG0000265	Prbg.g_00960	Prbi.g_00206
OG0000266	Prbg.g_00961	Prbi.g_00207
OG0000267	Prbg.g_00963	Prbi.g_00209
OG0000268	Prbg.g_00965	Prbi.g_00210
OG0000269	Prbg.g_00966	Prbi.g_00211
OG0000270	Prbg.g_00967	Prbi.g_00212
OG0000271	Prbg.g_00968	Prbi.g_00213
OG0000272	Prbg.g_00969	Prbi.g_00214
OG0000273	Prbg.g_00970	Prbi.g_00215
OG0000274	Prbg.g_00971	Prbi.g_00216
OG0000275	Prbg.g_00972	Prbi.g_00217
OG0000276	Prbg.g_00973	Prbi.g_00218
OG0000277	Prbg.g_00974	Prbi.g_00219
OG0000278	Prbg.g_00975	Prbi.g_00220
OG0000279	Prbg.g_00976	Prbi.g_00221
OG0000280	Prbg.g_00977	Prbi.g_00222
OG0000281	Prbg.g_00979	Prbi.g_00224
OG0000282	Prbg.g_00980	Prbi.g_00225
OG0000283	Prbg.g_00983	Prbi.g_00228
OG0000284	Prbg.g_00984	Prbi.g_00229
OG0000285	Prbg.g_00985	Prbi.g_00230
OG0000286	Prbg.g_00987	Prbi.g_00232
OG0000287	Prbg.g_00989	Prbi.g_00233
OG0000288	Prbg.g_00990	Prbi.g_00234
OG0000289	Prbg.g_00991	Prbi.g_00235
OG0000290	Prbg.g_00992	Prbi.g_00236
OG0000291	Prbg.g_00993	Prbi.g_00237
OG0000292	Prbg.g_00994	Prbi.g_00238
OG0000293	Prbg.g_00995	Prbi.g_00239
OG0000294	Prbg.g_00996	Prbi.g_00240
OG0000295	Prbg.g_00997	Prbi.g_00241
OG0000296	Prbg.g_00998	Prbi.g_00242
OG0000297	Prbg.g_00999	Prbi.g_00243
OG0000298	Prbg.g_01000	Prbi.g_00244
OG0000299	Prbg.g_01001	Prbi.g_00245
OG0000300	Prbg.g_01002	Prbi.g_00246
OG0000301	Prbg.g_01003	Prbi.g_00247
OG0000302	Prbg.g_01004	Prbi.g_00248
OG0000303	Prbg.g_01005	Prbi.g_00249
OG0000304	Prbg.g_01007	Prbi.g_00250
OG0000305	Prbg.g_01008	Prbi.g_00251
OG0000306	Prbg.g_01009	Prbi.g_00252
OG0000307	Prbg.g_01011	Prbi.g_00253
OG0000308	Prbg.g_01012	Prbi.g_00254
OG0000309	Prbg.g_01013	Prbi.g_00255
OG0000310	Prbg.g_01014	Prbi.g_00256
OG0000311	Prbg.g_01015	Prbi.g_00257
OG0000312	Prbg.g_01017	Prbi.g_00259
OG0000313	Prbg.g_01018	Prbi.g_00260
OG0000314	Prbg.g_01022	Prbi.g_00263
OG0000315	Prbg.g_01023	Prbi.g_00264
OG0000316	Prbg.g_01025	Prbi.g_00266
OG0000317	Prbg.g_01027	Prbi.g_00268
OG0000318	Prbg.g_01028	Prbi.g_00269
OG0000319	Prbg.g_01029	Prbi.g_00270
OG0000320	Prbg.g_01030	Prbi.g_00271
OG0000321	Prbg.g_01033	Prbi.g_00274
OG0000322	Prbg.g_01037	Prbi.g_00277
OG0000323	Prbg.g_01038	Prbi.g_00278
OG0000324	Prbg.g_01041	Prbi.g_00281
OG0000325	Prbg.g_01042	Prbi.g_00283
OG0000326	Prbg.g_01043	Prbi.g_00284
OG0000327	Prbg.g_01045	Prbi.g_00286
OG0000328	Prbg.g_01046	Prbi.g_00287
OG0000329	Prbg.g_00042	Prbi.g_00288
OG0000330	Prbg.g_00043	Prbi.g_00289
OG0000331	Prbg.g_00045	Prbi.g_00290
OG0000332	Prbg.g_00046	Prbi.g_00291
OG0000333	Prbg.g_00047	Prbi.g_00292
OG0000334	Prbg.g_00048	Prbi.g_00293
OG0000335	Prbg.g_00049	Prbi.g_00294
OG0000336	Prbg.g_00051	Prbi.g_00295
OG0000337	Prbg.g_00054	Prbi.g_00299
OG0000338	Prbg.g_00055	Prbi.g_00300
OG0000339	Prbg.g_00056	Prbi.g_00301
OG0000340	Prbg.g_00057	Prbi.g_00302
OG0000341	Prbg.g_00061	Prbi.g_00306
OG0000342	Prbg.g_00062	Prbi.g_00307
OG0000343	Prbg.g_00065	Prbi.g_00309
OG0000344	Prbg.g_00066	Prbi.g_00310
OG0000345	Prbg.g_00067	Prbi.g_00311
OG0000346	Prbg.g_00068	Prbi.g_00312
OG0000347	Prbg.g_00069	Prbi.g_00313
OG0000348	Prbg.g_00071	Prbi.g_00314
OG0000349	Prbg.g_00072	Prbi.g_00315
OG0000350	Prbg.g_00073	Prbi.g_00316
OG0000351	Prbg.g_00075	Prbi.g_00319
OG0000352	Prbg.g_00078	Prbi.g_00322
OG0000353	Prbg.g_00079	Prbi.g_00323
OG0000354	Prbg.g_00080	Prbi.g_00324
OG0000355	Prbg.g_00081	Prbi.g_00325
OG0000356	Prbg.g_00082	Prbi.g_00326
OG0000357	Prbg.g_00083	Prbi.g_00327
OG0000358	Prbg.g_00084	Prbi.g_00328
OG0000359	Prbg.g_00085	Prbi.g_00329
OG0000360	Prbg.g_00087	Prbi.g_00332
OG0000361	Prbg.g_00088	Prbi.g_00333
OG0000362	Prbg.g_00089	Prbi.g_00334
OG0000363	Prbg.g_00090	Prbi.g_00335
OG0000364	Prbg.g_00091	Prbi.g_00336
OG0000365	Prbg.g_00092	Prbi.g_00337
OG0000366	Prbg.g_00093	Prbi.g_00338
OG0000367	Prbg.g_00094	Prbi.g_00339
OG0000368	Prbg.g_00095	Prbi.g_00340
OG0000369	Prbg.g_00096	Prbi.g_00341
OG0000370	Prbg.g_00097	Prbi.g_00342
OG0000371	Prbg.g_00098	Prbi.g_00343
OG0000372	Prbg.g_00099	Prbi.g_00345
OG0000373	Prbg.g_00101	Prbi.g_00347
OG0000374	Prbg.g_00102	Prbi.g_00348
OG0000375	Prbg.g_00103	Prbi.g_00349
OG0000376	Prbg.g_00104	Prbi.g_00351
OG0000377	Prbg.g_00110	Prbi.g_00352
OG0000378	Prbg.g_00111	Prbi.g_00353
OG0000379	Prbg.g_00117	Prbi.g_00358
OG0000380	Prbg.g_00119	Prbi.g_00359
OG0000381	Prbg.g_00120	Prbi.g_00360
OG0000382	Prbg.g_00121	Prbi.g_00362
OG0000383	Prbg.g_00124	Prbi.g_00365
OG0000384	Prbg.g_00125	Prbi.g_00366
OG0000385	Prbg.g_00128	Prbi.g_00369
OG0000386	Prbg.g_00129	Prbi.g_00370
OG0000387	Prbg.g_00130	Prbi.g_00371
OG0000388	Prbg.g_00131	Prbi.g_00372
OG0000389	Prbg.g_00132	Prbi.g_00373
OG0000390	Prbg.g_01941	Prbi.g_00374
OG0000391	Prbg.g_01942	Prbi.g_00375
OG0000392	Prbg.g_01943	Prbi.g_00376
OG0000393	Prbg.g_00136	Prbi.g_00379
OG0000394	Prbg.g_00137	Prbi.g_00380
OG0000395	Prbg.g_00140	Prbi.g_00382
OG0000396	Prbg.g_01214	Prbi.g_00383
OG0000397	Prbg.g_01530	Prbi.g_00395
OG0000398	Prbg.g_01602	Prbi.g_00403
OG0000399	Prbg.g_01525	Prbi.g_00404
OG0000400	Prbg.g_01714	Prbi.g_00409
OG0000401	Prbg.g_00151	Prbi.g_00432
OG0000402	Prbg.g_00152	Prbi.g_00433
OG0000403	Prbg.g_00153	Prbi.g_00434
OG0000404	Prbg.g_00155	Prbi.g_00436
OG0000405	Prbg.g_00156	Prbi.g_00437
OG0000406	Prbg.g_00158	Prbi.g_00439
OG0000407	Prbg.g_00159	Prbi.g_00440
OG0000408	Prbg.g_00160	Prbi.g_00441
OG0000409	Prbg.g_00161	Prbi.g_00442
OG0000410	Prbg.g_00162	Prbi.g_00443
OG0000411	Prbg.g_00163	Prbi.g_00444
OG0000412	Prbg.g_00164	Prbi.g_00445
OG0000413	Prbg.g_00165	Prbi.g_00446
OG0000414	Prbg.g_00166	Prbi.g_00447
OG0000415	Prbg.g_00167	Prbi.g_00448
OG0000416	Prbg.g_00168	Prbi.g_00449
OG0000417	Prbg.g_00169	Prbi.g_00450
OG0000418	Prbg.g_00170	Prbi.g_00451
OG0000419	Prbg.g_00171	Prbi.g_00452
OG0000420	Prbg.g_00172	Prbi.g_00453
OG0000421	Prbg.g_00176	Prbi.g_00454
OG0000422	Prbg.g_00178	Prbi.g_00456
OG0000423	Prbg.g_00179	Prbi.g_00457
OG0000424	Prbg.g_00180	Prbi.g_00459
OG0000425	Prbg.g_00184	Prbi.g_00463
OG0000426	Prbg.g_00185	Prbi.g_00464
OG0000427	Prbg.g_00186	Prbi.g_00465
OG0000428	Prbg.g_00188	Prbi.g_00466
OG0000429	Prbg.g_00189	Prbi.g_00467
OG0000430	Prbg.g_00190	Prbi.g_00474
OG0000431	Prbg.g_00192	Prbi.g_00476
OG0000432	Prbg.g_00193	Prbi.g_00477
OG0000433	Prbg.g_00196	Prbi.g_00480
OG0000434	Prbg.g_00197	Prbi.g_00481
OG0000435	Prbg.g_00198	Prbi.g_00482
OG0000436	Prbg.g_00200	Prbi.g_00484
OG0000437	Prbg.g_00202	Prbi.g_00486
OG0000438	Prbg.g_00203	Prbi.g_00487
OG0000439	Prbg.g_00204	Prbi.g_00488
OG0000440	Prbg.g_00206	Prbi.g_00490
OG0000441	Prbg.g_00207	Prbi.g_00491
OG0000442	Prbg.g_00208	Prbi.g_00492
OG0000443	Prbg.g_00209	Prbi.g_00493
OG0000444	Prbg.g_00210	Prbi.g_00494
OG0000445	Prbg.g_00211	Prbi.g_00495
OG0000446	Prbg.g_00212	Prbi.g_00496
OG0000447	Prbg.g_00213	Prbi.g_00497
OG0000448	Prbg.g_00214	Prbi.g_00498
OG0000449	Prbg.g_00220	Prbi.g_00503
OG0000450	Prbg.g_00221	Prbi.g_00504
OG0000451	Prbg.g_00222	Prbi.g_00505
OG0000452	Prbg.g_00223	Prbi.g_00506
OG0000453	Prbg.g_00224	Prbi.g_00508
OG0000454	Prbg.g_00225	Prbi.g_00509
OG0000455	Prbg.g_00226	Prbi.g_00510
OG0000456	Prbg.g_00227	Prbi.g_00511
OG0000457	Prbg.g_00229	Prbi.g_00513
OG0000458	Prbg.g_00231	Prbi.g_00515
OG0000459	Prbg.g_00232	Prbi.g_00516
OG0000460	Prbg.g_00234	Prbi.g_00518
OG0000461	Prbg.g_00235	Prbi.g_00519
OG0000462	Prbg.g_00236	Prbi.g_00520
OG0000463	Prbg.g_00237	Prbi.g_00521
OG0000464	Prbg.g_00241	Prbi.g_00526
OG0000465	Prbg.g_00242	Prbi.g_00528
OG0000466	Prbg.g_00243	Prbi.g_00529
OG0000467	Prbg.g_00244	Prbi.g_00530
OG0000468	Prbg.g_00245	Prbi.g_00531
OG0000469	Prbg.g_00246	Prbi.g_00532
OG0000470	Prbg.g_00247	Prbi.g_00533
OG0000471	Prbg.g_00248	Prbi.g_00534
OG0000472	Prbg.g_00251	Prbi.g_00537
OG0000473	Prbg.g_00252	Prbi.g_00538
OG0000474	Prbg.g_00253	Prbi.g_00539
OG0000475	Prbg.g_00254	Prbi.g_00540
OG0000476	Prbg.g_00255	Prbi.g_00541
OG0000477	Prbg.g_00257	Prbi.g_00543
OG0000478	Prbg.g_00258	Prbi.g_00544
OG0000479	Prbg.g_00259	Prbi.g_00545
OG0000480	Prbg.g_00261	Prbi.g_00547
OG0000481	Prbg.g_00262	Prbi.g_00548
OG0000482	Prbg.g_00264	Prbi.g_00549
OG0000483	Prbg.g_00265	Prbi.g_00550
OG0000484	Prbg.g_00266	Prbi.g_00551
OG0000485	Prbg.g_00267	Prbi.g_00552
OG0000486	Prbg.g_00268	Prbi.g_00553
OG0000487	Prbg.g_00269	Prbi.g_00554
OG0000488	Prbg.g_00271	Prbi.g_00556
OG0000489	Prbg.g_00272	Prbi.g_00557
OG0000490	Prbg.g_00273	Prbi.g_00558
OG0000491	Prbg.g_00274	Prbi.g_00559
OG0000492	Prbg.g_00275	Prbi.g_00560
OG0000493	Prbg.g_00276	Prbi.g_00561
OG0000494	Prbg.g_00277	Prbi.g_00563
OG0000495	Prbg.g_00278	Prbi.g_00564
OG0000496	Prbg.g_00280	Prbi.g_00565
OG0000497	Prbg.g_00282	Prbi.g_00566
OG0000498	Prbg.g_00283	Prbi.g_00567
OG0000499	Prbg.g_00285	Prbi.g_00569
OG0000500	Prbg.g_00286	Prbi.g_00570
OG0000501	Prbg.g_00288	Prbi.g_00572
OG0000502	Prbg.g_00289	Prbi.g_00573
OG0000503	Prbg.g_00290	Prbi.g_00574
OG0000504	Prbg.g_00291	Prbi.g_00575
OG0000505	Prbg.g_00292	Prbi.g_00576
OG0000506	Prbg.g_00293	Prbi.g_00577
OG0000507	Prbg.g_00294	Prbi.g_00578
OG0000508	Prbg.g_00296	Prbi.g_00580
OG0000509	Prbg.g_00297	Prbi.g_00581
OG0000510	Prbg.g_00298	Prbi.g_00582
OG0000511	Prbg.g_00299	Prbi.g_00583
OG0000512	Prbg.g_00300	Prbi.g_00584
OG0000513	Prbg.g_00301	Prbi.g_00585
OG0000514	Prbg.g_00302	Prbi.g_00586
OG0000515	Prbg.g_00305	Prbi.g_00588
OG0000516	Prbg.g_00306	Prbi.g_00589
OG0000517	Prbg.g_00307	Prbi.g_00590
OG0000518	Prbg.g_00310	Prbi.g_00593
OG0000519	Prbg.g_00311	Prbi.g_00594
OG0000520	Prbg.g_00312	Prbi.g_00595
OG0000521	Prbg.g_00313	Prbi.g_00596
OG0000522	Prbg.g_00314	Prbi.g_00597
OG0000523	Prbg.g_00315	Prbi.g_00598
OG0000524	Prbg.g_00316	Prbi.g_00599
OG0000525	Prbg.g_00318	Prbi.g_00601
OG0000526	Prbg.g_00319	Prbi.g_00602
OG0000527	Prbg.g_00320	Prbi.g_00603
OG0000528	Prbg.g_00321	Prbi.g_00604
OG0000529	Prbg.g_00322	Prbi.g_00605
OG0000530	Prbg.g_00323	Prbi.g_00606
OG0000531	Prbg.g_00325	Prbi.g_00607
OG0000532	Prbg.g_00326	Prbi.g_00608
OG0000533	Prbg.g_00327	Prbi.g_00609
OG0000534	Prbg.g_00328	Prbi.g_00610
OG0000535	Prbg.g_00329	Prbi.g_00611
OG0000536	Prbg.g_00330	Prbi.g_00612
OG0000537	Prbg.g_00331	Prbi.g_00613
OG0000538	Prbg.g_00332	Prbi.g_00614
OG0000539	Prbg.g_00333	Prbi.g_00615
OG0000540	Prbg.g_00334	Prbi.g_00616
OG0000541	Prbg.g_00335	Prbi.g_00617
OG0000542	Prbg.g_00336	Prbi.g_00618
OG0000543	Prbg.g_00337	Prbi.g_00619
OG0000544	Prbg.g_00338	Prbi.g_00620
OG0000545	Prbg.g_00340	Prbi.g_00623
