Orthogroup	Prae	Syaf
OG0000059	Prae.g_01710	Syaf.g_00143
OG0000060	Prae.g_01238	Syaf.g_02515, Syaf.g_02726, Syaf.g_01425, Syaf.g_01603
OG0000061	Prae.g_01163	Syaf.g_01288
OG0000062	Prae.g_01537	Syaf.g_01055
OG0000063	Prae.g_00033	Syaf.g_00457
OG0000065	Prae.g_00106	Syaf.g_00903
OG0000066	Prae.g_00514	Syaf.g_02643
OG0000067	Prae.g_00806	Syaf.g_02049
OG0000068	Prae.g_01368	Syaf.g_02733
OG0000070	Prae.g_00424	Syaf.g_01237
OG0000071	Prae.g_01329	Syaf.g_01254
OG0000072	Prae.g_00174	Syaf.g_00805
OG0000073	Prae.g_00473	Syaf.g_02700
OG0000075	Prae.g_01791	Syaf.g_00353
OG0000076	Prae.g_01815	Syaf.g_00388
OG0000077	Prae.g_00078	Syaf.g_00951
OG0000078	Prae.g_00242	Syaf.g_02782
OG0000079	Prae.g_00255	Syaf.g_00197
OG0000081	Prae.g_00505	Syaf.g_02776
OG0000082	Prae.g_00559	Syaf.g_02576
OG0000084	Prae.g_01455	Syaf.g_02409
OG0000085	Prae.g_01616	Syaf.g_01048
OG0000086	Prae.g_00088	Syaf.g_00932
OG0000087	Prae.g_00139	Syaf.g_00848
OG0000088	Prae.g_00169	Syaf.g_00811
OG0000089	Prae.g_00355	Syaf.g_02807
OG0000090	Prae.g_00508	Syaf.g_02654
OG0000091	Prae.g_00616	Syaf.g_02302
OG0000093	Prae.g_00933	Syaf.g_02065
OG0000094	Prae.g_01021	Syaf.g_01940
OG0000095	Prae.g_01040	Syaf.g_01442
OG0000097	Prae.g_01204	Syaf.g_01574
OG0000098	Prae.g_01350	Syaf.g_01637
OG0000099	Prae.g_01390	Syaf.g_00312
OG0000100	Prae.g_01533	Syaf.g_02017
OG0000101	Prae.g_01758	Syaf.g_00093
OG0000102	Prae.g_01820	Syaf.g_00393
OG0000103	Prae.g_01899	Syaf.g_00520
OG0000104	Prae.g_01907	Syaf.g_00502
OG0000105	Prae.g_01440	Syaf.g_00235
OG0000106	Prae.g_00370	Syaf.g_01745
OG0000107	Prae.g_00385	Syaf.g_00177, Syaf.g_00758
OG0000108	Prae.g_00454	Syaf.g_02721
OG0000109	Prae.g_00468	Syaf.g_02706
OG0000110	Prae.g_00549	Syaf.g_02589
OG0000111	Prae.g_00673	Syaf.g_01451
OG0000112	Prae.g_00770	Syaf.g_01852
OG0000113	Prae.g_00828	Syaf.g_02022
OG0000114	Prae.g_00908	Syaf.g_02103
OG0000115	Prae.g_01102	Syaf.g_02445
OG0000116	Prae.g_01153	Syaf.g_01276
OG0000117	Prae.g_01263	Syaf.g_01605
OG0000118	Prae.g_01341	Syaf.g_02544
OG0000120	Prae.g_01389	Syaf.g_00313
OG0000121	Prae.g_01461	Syaf.g_02419
OG0000123	Prae.g_01766	Syaf.g_00086
OG0000124	Prae.g_01831	Syaf.g_00414
OG0000125	Prae.g_01867	Syaf.g_00640
OG0000126	Prae.g_01906	Syaf.g_00504
OG0000128	Prae.g_00011	Syaf.g_00486
OG0000129	Prae.g_00046	Syaf.g_00651
OG0000130	Prae.g_00069	Syaf.g_00963
OG0000131	Prae.g_00148	Syaf.g_00833
OG0000132	Prae.g_00167	Syaf.g_00813
OG0000133	Prae.g_00323	Syaf.g_01857
OG0000134	Prae.g_00356	Syaf.g_02804
OG0000135	Prae.g_00382	Syaf.g_00605
OG0000136	Prae.g_00415	Syaf.g_01224
OG0000137	Prae.g_00449	Syaf.g_02498
OG0000138	Prae.g_00469	Syaf.g_02705
OG0000139	Prae.g_00512	Syaf.g_02648
OG0000140	Prae.g_00513	Syaf.g_02646
OG0000141	Prae.g_00581	Syaf.g_02375
OG0000142	Prae.g_00609	Syaf.g_02310
OG0000143	Prae.g_00613	Syaf.g_02306
OG0000144	Prae.g_00626	Syaf.g_01735
OG0000145	Prae.g_00766	Syaf.g_02699
OG0000146	Prae.g_00771	Syaf.g_01851
OG0000147	Prae.g_00772	Syaf.g_01850
OG0000148	Prae.g_00822	Syaf.g_02028
OG0000149	Prae.g_00852	Syaf.g_01371
OG0000150	Prae.g_00860	Syaf.g_02645
OG0000151	Prae.g_00918	Syaf.g_02091
OG0000152	Prae.g_00964	Syaf.g_01861
OG0000153	Prae.g_00983	Syaf.g_01904
OG0000154	Prae.g_01014	Syaf.g_01930
OG0000155	Prae.g_01183	Syaf.g_01324
OG0000156	Prae.g_01317	Syaf.g_01270
OG0000157	Prae.g_01318	Syaf.g_01269
OG0000158	Prae.g_01426	Syaf.g_00364
OG0000160	Prae.g_01460	Syaf.g_02418
OG0000161	Prae.g_01466	Syaf.g_02424
OG0000162	Prae.g_01472	Syaf.g_02431
OG0000163	Prae.g_01506	Syaf.g_01105
OG0000164	Prae.g_01647	Syaf.g_00999
OG0000165	Prae.g_01654	Syaf.g_01197
OG0000166	Prae.g_01722	Syaf.g_00133
OG0000167	Prae.g_01789	Syaf.g_00350
OG0000168	Prae.g_01799	Syaf.g_00365
OG0000169	Prae.g_01809	Syaf.g_00376
OG0000170	Prae.g_01811	Syaf.g_00383
OG0000171	Prae.g_01830	Syaf.g_00413
OG0000172	Prae.g_01838	Syaf.g_00419
OG0000173	Prae.g_01853	Syaf.g_00438
OG0000174	Prae.g_01881	Syaf.g_00603
OG0000175	Prae.g_01891	Syaf.g_00531
OG0000176	Prae.g_00004	Syaf.g_00494
OG0000177	Prae.g_00005	Syaf.g_00493
OG0000178	Prae.g_00006	Syaf.g_00492
OG0000179	Prae.g_00016	Syaf.g_00477
OG0000180	Prae.g_00017	Syaf.g_00476
OG0000181	Prae.g_00018	Syaf.g_00475
OG0000182	Prae.g_00019	Syaf.g_00474
OG0000183	Prae.g_00023	Syaf.g_00470
OG0000184	Prae.g_00048	Syaf.g_00664
OG0000185	Prae.g_00051	Syaf.g_00684
OG0000186	Prae.g_00064	Syaf.g_00968
OG0000187	Prae.g_00065	Syaf.g_00966
OG0000188	Prae.g_00082	Syaf.g_00944
OG0000189	Prae.g_00096	Syaf.g_00916
OG0000190	Prae.g_00097	Syaf.g_00914
OG0000191	Prae.g_00117	Syaf.g_00877
OG0000192	Prae.g_00121	Syaf.g_00871
OG0000193	Prae.g_00149	Syaf.g_00832
OG0000194	Prae.g_00152	Syaf.g_00829
OG0000195	Prae.g_00154	Syaf.g_00827
OG0000196	Prae.g_00164	Syaf.g_00816
OG0000197	Prae.g_00165	Syaf.g_00815
OG0000198	Prae.g_00166	Syaf.g_00814
OG0000199	Prae.g_00173	Syaf.g_00806
OG0000200	Prae.g_00187	Syaf.g_00789
OG0000201	Prae.g_00195	Syaf.g_00771
OG0000202	Prae.g_00196	Syaf.g_00770
OG0000203	Prae.g_00197	Syaf.g_00769
OG0000204	Prae.g_00198	Syaf.g_00768
OG0000205	Prae.g_00205	Syaf.g_00761
OG0000206	Prae.g_00210	Syaf.g_00736
OG0000207	Prae.g_00212	Syaf.g_00735
OG0000208	Prae.g_00213	Syaf.g_00734
OG0000209	Prae.g_00222	Syaf.g_00714
OG0000210	Prae.g_00223	Syaf.g_00713
OG0000211	Prae.g_00236	Syaf.g_02791
OG0000212	Prae.g_00243	Syaf.g_02781
OG0000213	Prae.g_00260	Syaf.g_00210
OG0000214	Prae.g_00270	Syaf.g_00226
OG0000215	Prae.g_00293	Syaf.g_00258
OG0000216	Prae.g_00295	Syaf.g_00262
OG0000217	Prae.g_00298	Syaf.g_00266
OG0000218	Prae.g_00300	Syaf.g_00268
OG0000219	Prae.g_00301	Syaf.g_00269
OG0000220	Prae.g_00302	Syaf.g_00270
OG0000221	Prae.g_00303	Syaf.g_02597, Syaf.g_00273
OG0000222	Prae.g_00311	Syaf.g_00287
OG0000223	Prae.g_00324	Syaf.g_00317
OG0000224	Prae.g_00326	Syaf.g_00324
OG0000225	Prae.g_00345	Syaf.g_00007
OG0000226	Prae.g_00349	Syaf.g_00003
OG0000227	Prae.g_00351	Syaf.g_00001
OG0000228	Prae.g_00354	Syaf.g_02808
OG0000229	Prae.g_00410	Syaf.g_01214
OG0000230	Prae.g_00412	Syaf.g_01216
OG0000231	Prae.g_00423	Syaf.g_01236
OG0000232	Prae.g_00432	Syaf.g_02536
OG0000233	Prae.g_00437	Syaf.g_02528
OG0000234	Prae.g_00450	Syaf.g_02497
OG0000235	Prae.g_00453	Syaf.g_02722
OG0000236	Prae.g_00467	Syaf.g_02707
OG0000237	Prae.g_00480	Syaf.g_02690
OG0000238	Prae.g_00486	Syaf.g_02685
OG0000239	Prae.g_00499	Syaf.g_02669
OG0000240	Prae.g_00500	Syaf.g_02668
OG0000241	Prae.g_00504	Syaf.g_02322
OG0000242	Prae.g_00506	Syaf.g_02656
OG0000243	Prae.g_00518	Syaf.g_02634
OG0000244	Prae.g_00521	Syaf.g_02627
OG0000245	Prae.g_00523	Syaf.g_02625
OG0000246	Prae.g_00527	Syaf.g_02621
OG0000247	Prae.g_00537	Syaf.g_02610
OG0000248	Prae.g_00539	Syaf.g_02607
OG0000249	Prae.g_00541	Syaf.g_02605
OG0000250	Prae.g_00546	Syaf.g_02593
OG0000251	Prae.g_00565	Syaf.g_02568
OG0000252	Prae.g_00568	Syaf.g_02565
OG0000253	Prae.g_00569	Syaf.g_02564
OG0000254	Prae.g_00585	Syaf.g_02371
OG0000255	Prae.g_00591	Syaf.g_02352
OG0000256	Prae.g_00601	Syaf.g_02329
OG0000257	Prae.g_00604	Syaf.g_02323
OG0000258	Prae.g_00617	Syaf.g_02301
OG0000259	Prae.g_00634	Syaf.g_02137
OG0000260	Prae.g_00637	Syaf.g_02134
OG0000261	Prae.g_00639	Syaf.g_02131
OG0000262	Prae.g_00643	Syaf.g_02126
OG0000263	Prae.g_00655	Syaf.g_01585
OG0000264	Prae.g_00665	Syaf.g_01473
OG0000265	Prae.g_00711	Syaf.g_01196
OG0000266	Prae.g_00721	Syaf.g_01967
OG0000267	Prae.g_00732	Syaf.g_01787
OG0000268	Prae.g_00733	Syaf.g_00307, Syaf.g_01788
OG0000269	Prae.g_00801	Syaf.g_02054
OG0000270	Prae.g_00804	Syaf.g_02051
OG0000271	Prae.g_00812	Syaf.g_02043
OG0000272	Prae.g_00813	Syaf.g_02042
OG0000273	Prae.g_00836	Syaf.g_01392
OG0000274	Prae.g_00837	Syaf.g_01391
OG0000275	Prae.g_00839	Syaf.g_01386
OG0000276	Prae.g_00844	Syaf.g_01379
OG0000277	Prae.g_00845	Syaf.g_01378
OG0000278	Prae.g_00848	Syaf.g_01375
OG0000279	Prae.g_00855	Syaf.g_01367
OG0000280	Prae.g_00856	Syaf.g_01337
OG0000281	Prae.g_00861	Syaf.g_01636
OG0000282	Prae.g_00910	Syaf.g_02101
OG0000283	Prae.g_00941	Syaf.g_01804
OG0000284	Prae.g_00946	Syaf.g_01810
OG0000285	Prae.g_00951	Syaf.g_01842
OG0000286	Prae.g_00963	Syaf.g_01860
OG0000287	Prae.g_00980	Syaf.g_01896
OG0000288	Prae.g_01013	Syaf.g_01929
OG0000289	Prae.g_01024	Syaf.g_01943
OG0000290	Prae.g_01037	Syaf.g_01439
OG0000291	Prae.g_01039	Syaf.g_01441
OG0000292	Prae.g_01090	Syaf.g_00505
OG0000293	Prae.g_01154	Syaf.g_01277
OG0000294	Prae.g_01155	Syaf.g_01278
OG0000295	Prae.g_01175	Syaf.g_01316
OG0000296	Prae.g_01177	Syaf.g_01318
OG0000297	Prae.g_01185	Syaf.g_01607
OG0000298	Prae.g_01186	Syaf.g_01606
OG0000299	Prae.g_01203	Syaf.g_01578
OG0000300	Prae.g_01206	Syaf.g_01571
OG0000301	Prae.g_01207	Syaf.g_01570
OG0000302	Prae.g_01209	Syaf.g_01568
OG0000303	Prae.g_01216	Syaf.g_01559
OG0000304	Prae.g_01220	Syaf.g_01551
OG0000305	Prae.g_01360	Syaf.g_01444
OG0000306	Prae.g_01363	Syaf.g_01332
OG0000307	Prae.g_01377	Syaf.g_02742
OG0000308	Prae.g_01378	Syaf.g_02744
OG0000309	Prae.g_01382	Syaf.g_02749
OG0000310	Prae.g_01444	Syaf.g_02387
OG0000311	Prae.g_01446	Syaf.g_02391
OG0000312	Prae.g_01449	Syaf.g_02397
OG0000313	Prae.g_01463	Syaf.g_02421
OG0000314	Prae.g_01486	Syaf.g_02458
OG0000315	Prae.g_01496	Syaf.g_02468
OG0000316	Prae.g_01516	Syaf.g_01088
OG0000317	Prae.g_01621	Syaf.g_01040
OG0000318	Prae.g_01624	Syaf.g_01032
OG0000319	Prae.g_01637	Syaf.g_01015
OG0000320	Prae.g_01639	Syaf.g_01013
OG0000321	Prae.g_01640	Syaf.g_01012
OG0000322	Prae.g_01641	Syaf.g_01011
OG0000323	Prae.g_01650	Syaf.g_00997
OG0000324	Prae.g_01676	Syaf.g_01164
OG0000325	Prae.g_01687	Syaf.g_00176
OG0000326	Prae.g_01693	Syaf.g_00169
OG0000327	Prae.g_01717	Syaf.g_00138
OG0000328	Prae.g_01718	Syaf.g_00137
OG0000329	Prae.g_01735	Syaf.g_00119
OG0000330	Prae.g_01736	Syaf.g_00118
OG0000331	Prae.g_01737	Syaf.g_00117
OG0000332	Prae.g_01751	Syaf.g_00102
OG0000333	Prae.g_01753	Syaf.g_00099
OG0000334	Prae.g_01761	Syaf.g_00090
OG0000335	Prae.g_01767	Syaf.g_00085
OG0000336	Prae.g_01771	Syaf.g_00081
OG0000337	Prae.g_01787	Syaf.g_00344
OG0000338	Prae.g_01788	Syaf.g_00348
OG0000339	Prae.g_01792	Syaf.g_00355
OG0000340	Prae.g_01800	Syaf.g_00366
OG0000341	Prae.g_01802	Syaf.g_00368
OG0000342	Prae.g_01803	Syaf.g_00369
OG0000343	Prae.g_01804	Syaf.g_00370
OG0000344	Prae.g_01807	Syaf.g_00374
OG0000345	Prae.g_01812	Syaf.g_00384
OG0000346	Prae.g_01816	Syaf.g_00389
OG0000347	Prae.g_01832	Syaf.g_00415
OG0000348	Prae.g_01841	Syaf.g_00427
OG0000349	Prae.g_01858	Syaf.g_00445
OG0000350	Prae.g_01877	Syaf.g_00162
OG0000351	Prae.g_01894	Syaf.g_00528
OG0000352	Prae.g_01895	Syaf.g_00527
OG0000353	Prae.g_01910	Syaf.g_00499
OG0000354	Prae.g_00689	Syaf.g_00479
OG0000355	Prae.g_00001	Syaf.g_00497
OG0000356	Prae.g_00002	Syaf.g_00496
OG0000357	Prae.g_00003	Syaf.g_00495
OG0000358	Prae.g_00007	Syaf.g_00491
OG0000359	Prae.g_00008	Syaf.g_00489
OG0000360	Prae.g_00009	Syaf.g_00488
OG0000361	Prae.g_00010	Syaf.g_00487
OG0000362	Prae.g_00012	Syaf.g_00485
OG0000363	Prae.g_00014	Syaf.g_00483
OG0000364	Prae.g_00015	Syaf.g_00482
OG0000365	Prae.g_00020	Syaf.g_00473
OG0000366	Prae.g_00021	Syaf.g_00472
OG0000367	Prae.g_00022	Syaf.g_00471
OG0000368	Prae.g_00024	Syaf.g_00469
OG0000369	Prae.g_00025	Syaf.g_00468
OG0000370	Prae.g_00026	Syaf.g_00467
OG0000371	Prae.g_00032	Syaf.g_00458
OG0000372	Prae.g_00035	Syaf.g_00453
OG0000373	Prae.g_00036	Syaf.g_00452
OG0000374	Prae.g_00037	Syaf.g_00451
OG0000375	Prae.g_00042	Syaf.g_00449
OG0000376	Prae.g_00044	Syaf.g_00447
OG0000377	Prae.g_00047	Syaf.g_00654
OG0000378	Prae.g_00049	Syaf.g_00668
OG0000379	Prae.g_00052	Syaf.g_00686
OG0000380	Prae.g_00066	Syaf.g_00965
OG0000381	Prae.g_00070	Syaf.g_00962
OG0000382	Prae.g_00081	Syaf.g_00945
OG0000383	Prae.g_00083	Syaf.g_00941
OG0000384	Prae.g_00084	Syaf.g_00940
OG0000385	Prae.g_00085	Syaf.g_00939
OG0000386	Prae.g_00086	Syaf.g_00938
OG0000387	Prae.g_00099	Syaf.g_00912
OG0000388	Prae.g_00102	Syaf.g_00908
OG0000389	Prae.g_00105	Syaf.g_00904
OG0000390	Prae.g_00112	Syaf.g_00883
OG0000391	Prae.g_00116	Syaf.g_00878
OG0000392	Prae.g_00120	Syaf.g_00872
OG0000393	Prae.g_00122	Syaf.g_00870
OG0000394	Prae.g_00123	Syaf.g_00869
OG0000395	Prae.g_00124	Syaf.g_00868
OG0000396	Prae.g_00127	Syaf.g_00865
OG0000397	Prae.g_00129	Syaf.g_00863
OG0000398	Prae.g_00131	Syaf.g_00858
OG0000399	Prae.g_00132	Syaf.g_00857
OG0000400	Prae.g_00133	Syaf.g_00856
OG0000401	Prae.g_00134	Syaf.g_00855
OG0000402	Prae.g_00136	Syaf.g_00852
OG0000403	Prae.g_00137	Syaf.g_00851
OG0000404	Prae.g_00138	Syaf.g_00850
OG0000405	Prae.g_00142	Syaf.g_00835
OG0000406	Prae.g_00150	Syaf.g_00831
OG0000407	Prae.g_00151	Syaf.g_00830
OG0000408	Prae.g_00153	Syaf.g_00828
OG0000409	Prae.g_00155	Syaf.g_00826
OG0000410	Prae.g_00156	Syaf.g_00825
OG0000411	Prae.g_00157	Syaf.g_00824
OG0000412	Prae.g_00158	Syaf.g_00823
OG0000413	Prae.g_00159	Syaf.g_00821
OG0000414	Prae.g_00160	Syaf.g_00820
OG0000415	Prae.g_00161	Syaf.g_00819
OG0000416	Prae.g_00162	Syaf.g_00818
OG0000417	Prae.g_00163	Syaf.g_00817
OG0000418	Prae.g_00168	Syaf.g_00812
OG0000419	Prae.g_00170	Syaf.g_00810
OG0000420	Prae.g_00171	Syaf.g_00808
OG0000421	Prae.g_00176	Syaf.g_00803
OG0000422	Prae.g_00177	Syaf.g_00802
OG0000423	Prae.g_00178	Syaf.g_00801
OG0000424	Prae.g_00179	Syaf.g_00800
OG0000425	Prae.g_00180	Syaf.g_00799
OG0000426	Prae.g_00181	Syaf.g_00798
OG0000427	Prae.g_00182	Syaf.g_00797
OG0000428	Prae.g_00184	Syaf.g_00794
OG0000429	Prae.g_00185	Syaf.g_00792
OG0000430	Prae.g_00186	Syaf.g_00790
OG0000431	Prae.g_00188	Syaf.g_00786
OG0000432	Prae.g_00191	Syaf.g_00779
OG0000433	Prae.g_00192	Syaf.g_00777
OG0000434	Prae.g_00193	Syaf.g_00776
OG0000435	Prae.g_00194	Syaf.g_00772
OG0000436	Prae.g_00199	Syaf.g_00767
OG0000437	Prae.g_00200	Syaf.g_00766
OG0000438	Prae.g_00201	Syaf.g_00765
OG0000439	Prae.g_00203	Syaf.g_00763
OG0000440	Prae.g_00204	Syaf.g_00762
OG0000441	Prae.g_00207	Syaf.g_00756
OG0000442	Prae.g_00208	Syaf.g_00743
OG0000443	Prae.g_00209	Syaf.g_00739
OG0000444	Prae.g_00214	Syaf.g_00733
OG0000445	Prae.g_00215	Syaf.g_00729
OG0000446	Prae.g_00216	Syaf.g_00728
OG0000447	Prae.g_00217	Syaf.g_00725
OG0000448	Prae.g_00218	Syaf.g_00724
OG0000449	Prae.g_00219	Syaf.g_00723
OG0000450	Prae.g_00220	Syaf.g_00717
OG0000451	Prae.g_00221	Syaf.g_00716
OG0000452	Prae.g_00224	Syaf.g_00712
OG0000453	Prae.g_00225	Syaf.g_00711
OG0000454	Prae.g_00226	Syaf.g_00710
OG0000455	Prae.g_00227	Syaf.g_00709
OG0000456	Prae.g_00228	Syaf.g_00708
OG0000457	Prae.g_00229	Syaf.g_00706
OG0000458	Prae.g_00230	Syaf.g_00705
OG0000459	Prae.g_00231	Syaf.g_00704
OG0000460	Prae.g_00238	Syaf.g_02789
OG0000461	Prae.g_00245	Syaf.g_00183
OG0000462	Prae.g_00247	Syaf.g_00186
OG0000463	Prae.g_00248	Syaf.g_00187
OG0000464	Prae.g_00249	Syaf.g_00188
OG0000465	Prae.g_00250	Syaf.g_00190
OG0000466	Prae.g_00253	Syaf.g_00194
OG0000467	Prae.g_00254	Syaf.g_00196
OG0000468	Prae.g_00256	Syaf.g_00206
OG0000469	Prae.g_00265	Syaf.g_00220
OG0000470	Prae.g_00267	Syaf.g_00222
OG0000471	Prae.g_00268	Syaf.g_00223
OG0000472	Prae.g_00269	Syaf.g_00225
OG0000473	Prae.g_00271	Syaf.g_00227
OG0000474	Prae.g_00272	Syaf.g_00228
OG0000475	Prae.g_00273	Syaf.g_00229
OG0000476	Prae.g_00274	Syaf.g_00231
OG0000477	Prae.g_00276	Syaf.g_00237
OG0000478	Prae.g_00277	Syaf.g_00238
OG0000479	Prae.g_00278	Syaf.g_00239
OG0000480	Prae.g_00283	Syaf.g_00247
OG0000481	Prae.g_00285	Syaf.g_00249
OG0000482	Prae.g_00286	Syaf.g_00250
OG0000483	Prae.g_00289	Syaf.g_00254
OG0000484	Prae.g_00290	Syaf.g_00255
OG0000485	Prae.g_00291	Syaf.g_00256
OG0000486	Prae.g_00292	Syaf.g_00257
OG0000487	Prae.g_00296	Syaf.g_00263
OG0000488	Prae.g_00299	Syaf.g_00267
OG0000489	Prae.g_00304	Syaf.g_00274
OG0000490	Prae.g_00309	Syaf.g_00284
OG0000491	Prae.g_00310	Syaf.g_00285
OG0000492	Prae.g_00312	Syaf.g_00288
OG0000493	Prae.g_00313	Syaf.g_00289
OG0000494	Prae.g_00314	Syaf.g_00290
OG0000495	Prae.g_00315	Syaf.g_00291
OG0000496	Prae.g_00316	Syaf.g_00292
OG0000497	Prae.g_00317	Syaf.g_00293
OG0000498	Prae.g_00318	Syaf.g_00294
OG0000499	Prae.g_00319	Syaf.g_00295
OG0000500	Prae.g_00320	Syaf.g_00296
OG0000501	Prae.g_00322	Syaf.g_00299
OG0000502	Prae.g_00325	Syaf.g_00319
OG0000503	Prae.g_00335	Syaf.g_00023
OG0000504	Prae.g_00336	Syaf.g_00021
OG0000505	Prae.g_00337	Syaf.g_00020
OG0000506	Prae.g_00338	Syaf.g_00018
OG0000507	Prae.g_00341	Syaf.g_00012
OG0000508	Prae.g_00344	Syaf.g_00008
OG0000509	Prae.g_00346	Syaf.g_00006
OG0000510	Prae.g_00347	Syaf.g_00005
OG0000511	Prae.g_00348	Syaf.g_00004
OG0000512	Prae.g_00350	Syaf.g_00002
OG0000513	Prae.g_00357	Syaf.g_02803
OG0000514	Prae.g_00405	Syaf.g_02796
OG0000515	Prae.g_00406	Syaf.g_02795
OG0000516	Prae.g_00407	Syaf.g_01219
OG0000517	Prae.g_00409	Syaf.g_01213
OG0000518	Prae.g_00420	Syaf.g_01230
OG0000519	Prae.g_00421	Syaf.g_01231
OG0000520	Prae.g_00422	Syaf.g_01235
OG0000521	Prae.g_00427	Syaf.g_02542
OG0000522	Prae.g_00429	Syaf.g_02538
OG0000523	Prae.g_00430	Syaf.g_02537
OG0000524	Prae.g_00435	Syaf.g_02531
OG0000525	Prae.g_00438	Syaf.g_02507
OG0000526	Prae.g_00439	Syaf.g_02504
OG0000527	Prae.g_00447	Syaf.g_02500
OG0000528	Prae.g_00452	Syaf.g_02728
OG0000529	Prae.g_00455	Syaf.g_02720
OG0000530	Prae.g_00458	Syaf.g_02717
OG0000531	Prae.g_00459	Syaf.g_02716
OG0000532	Prae.g_00461	Syaf.g_02713
OG0000533	Prae.g_00462	Syaf.g_02712
OG0000534	Prae.g_00463	Syaf.g_02711
OG0000535	Prae.g_00464	Syaf.g_02710
OG0000536	Prae.g_00465	Syaf.g_02709
OG0000537	Prae.g_00466	Syaf.g_02708
OG0000538	Prae.g_00474	Syaf.g_02697
OG0000539	Prae.g_00475	Syaf.g_02696
OG0000540	Prae.g_00476	Syaf.g_02695
OG0000541	Prae.g_00477	Syaf.g_02694
OG0000542	Prae.g_00479	Syaf.g_02691
OG0000543	Prae.g_00481	Syaf.g_02689
OG0000544	Prae.g_00482	Syaf.g_02688
OG0000545	Prae.g_00484	Syaf.g_02686
OG0000546	Prae.g_00487	Syaf.g_02684
OG0000547	Prae.g_00489	Syaf.g_02682
OG0000548	Prae.g_00490	Syaf.g_02681
OG0000549	Prae.g_00492	Syaf.g_02676
OG0000550	Prae.g_00497	Syaf.g_02671
OG0000551	Prae.g_00501	Syaf.g_02666
OG0000552	Prae.g_00502	Syaf.g_02665
OG0000553	Prae.g_00503	Syaf.g_02663
OG0000554	Prae.g_00509	Syaf.g_02653
OG0000555	Prae.g_00517	Syaf.g_02635
OG0000556	Prae.g_00519	Syaf.g_02630
OG0000557	Prae.g_00520	Syaf.g_02628
OG0000558	Prae.g_00522	Syaf.g_02626
OG0000559	Prae.g_00526	Syaf.g_02622
OG0000560	Prae.g_00529	Syaf.g_02619
OG0000561	Prae.g_00530	Syaf.g_02618
OG0000562	Prae.g_00531	Syaf.g_02617
OG0000563	Prae.g_00532	Syaf.g_02616
OG0000564	Prae.g_00533	Syaf.g_02615
OG0000565	Prae.g_00536	Syaf.g_02612
OG0000566	Prae.g_00538	Syaf.g_02608
