	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Pral	11.0	12.0	13.0	10.0	8.0	38.0	9.0	18.0	14.0	25.0	13.0	0.0	9.0	12.0	6.0	14.0	13.0	13.0	14.0	17.0	16.0	16.0	9.0	11.0	9.0	8.0	10.0	30.0	33.0	10.0	14.0	15.0	14.0	8.0	17.0	15.0	16.0	16.0	34.0	15.0
Pram	9.0	10.0	12.0	9.0	8.0	35.0	7.0	21.0	10.0	27.0	7.0	11.0	0.0	9.0	5.0	8.0	11.0	12.0	17.0	15.0	19.0	15.0	7.0	10.0	5.0	4.0	8.0	33.0	38.0	6.0	7.0	9.0	7.0	0.0	17.0	13.0	14.0	14.0	38.0	8.0
Pran	14.0	5.0	10.0	14.0	9.0	35.0	10.0	25.0	10.0	28.0	18.0	17.0	10.0	0.0	10.0	18.0	10.0	12.0	22.0	20.0	21.0	18.0	11.0	20.0	7.0	9.0	12.0	32.0	36.0	12.0	17.0	18.0	16.0	11.0	17.0	13.0	13.0	13.0	39.0	19.0
Prao	4.0	13.0	3.0	3.0	2.0	38.0	7.0	26.0	12.0	28.0	15.0	16.0	13.0	10.0	0.0	16.0	3.0	3.0	8.0	19.0	9.0	5.0	6.0	5.0	3.0	4.0	6.0	29.0	36.0	3.0	15.0	16.0	15.0	13.0	6.0	14.0	14.0	14.0	35.0	17.0
Prap	14.0	13.0	15.0	13.0	9.0	38.0	11.0	23.0	14.0	25.0	1.0	11.0	5.0	13.0	6.0	0.0	13.0	14.0	19.0	14.0	20.0	17.0	11.0	13.0	8.0	8.0	10.0	28.0	34.0	10.0	1.0	0.0	1.0	4.0	20.0	11.0	12.0	12.0	30.0	1.0
Praq	7.0	13.0	3.0	6.0	3.0	36.0	7.0	22.0	12.0	29.0	17.0	16.0	14.0	12.0	3.0	18.0	0.0	1.0	6.0	19.0	11.0	7.0	5.0	9.0	5.0	4.0	7.0	32.0	40.0	4.0	17.0	18.0	16.0	14.0	13.0	14.0	14.0	14.0	34.0	19.0
Prar	7.0	12.0	2.0	8.0	3.0	39.0	6.0	23.0	11.0	30.0	17.0	16.0	14.0	11.0	3.0	18.0	2.0	0.0	6.0	19.0	9.0	6.0	5.0	7.0	4.0	3.0	7.0	33.0	42.0	4.0	17.0	18.0	16.0	14.0	17.0	15.0	15.0	15.0	34.0	19.0
Pras	4.0	12.0	6.0	5.0	1.0	32.0	4.0	22.0	11.0	29.0	17.0	15.0	15.0	10.0	1.0	18.0	5.0	6.0	0.0	19.0	13.0	9.0	4.0	5.0	1.0	3.0	5.0	29.0	35.0	0.0	17.0	18.0	16.0	15.0	9.0	15.0	15.0	15.0	35.0	19.0
Prat	13.0	15.0	13.0	13.0	11.0	34.0	12.0	21.0	11.0	22.0	15.0	9.0	8.0	14.0	7.0	15.0	13.0	14.0	17.0	0.0	19.0	20.0	12.0	13.0	9.0	8.0	10.0	27.0	28.0	12.0	14.0	16.0	14.0	8.0	19.0	16.0	17.0	17.0	31.0	15.0
Prau	4.0	11.0	4.0	7.0	2.0	32.0	4.0	22.0	11.0	30.0	16.0	15.0	13.0	9.0	1.0	17.0	4.0	4.0	4.0	18.0	0.0	9.0	3.0	4.0	3.0	5.0	7.0	31.0	39.0	0.0	16.0	17.0	15.0	13.0	10.0	14.0	14.0	14.0	34.0	18.0
Prav	6.0	12.0	5.0	3.0	2.0	33.0	8.0	26.0	10.0	28.0	16.0	15.0	12.0	12.0	1.0	16.0	5.0	5.0	7.0	19.0	9.0	0.0	7.0	6.0	3.0	1.0	4.0	28.0	38.0	1.0	15.0	16.0	14.0	12.0	17.0	14.0	14.0	14.0	37.0	17.0
Praw	5.0	9.0	4.0	5.0	3.0	33.0	2.0	25.0	11.0	29.0	16.0	14.0	12.0	9.0	3.0	16.0	5.0	5.0	8.0	16.0	10.0	10.0	0.0	4.0	3.0	3.0	5.0	30.0	36.0	1.0	15.0	16.0	14.0	12.0	7.0	12.0	13.0	13.0	40.0	17.0
Prax	4.0	14.0	3.0	7.0	0.0	35.0	6.0	26.0	13.0	27.0	17.0	18.0	14.0	13.0	2.0	18.0	3.0	3.0	8.0	17.0	3.0	5.0	5.0	0.0	2.0	2.0	5.0	27.0	35.0	2.0	17.0	18.0	16.0	14.0	3.0	14.0	14.0	14.0	39.0	19.0
Pray	3.0	12.0	4.0	3.0	2.0	36.0	5.0	28.0	14.0	29.0	15.0	14.0	14.0	11.0	2.0	16.0	4.0	5.0	9.0	17.0	10.0	5.0	4.0	3.0	0.0	0.0	4.0	31.0	36.0	1.0	15.0	16.0	14.0	14.0	8.0	16.0	16.0	16.0	40.0	17.0
Praz	4.0	12.0	4.0	4.0	2.0	36.0	5.0	27.0	14.0	29.0	15.0	14.0	14.0	11.0	2.0	16.0	4.0	5.0	9.0	17.0	10.0	4.0	4.0	3.0	1.0	0.0	4.0	30.0	37.0	0.0	15.0	16.0	14.0	14.0	8.0	16.0	16.0	16.0	41.0	17.0
Prba	3.0	12.0	4.0	4.0	2.0	36.0	5.0	27.0	14.0	29.0	15.0	14.0	14.0	11.0	2.0	16.0	4.0	5.0	8.0	17.0	10.0	5.0	4.0	3.0	1.0	0.0	0.0	30.0	37.0	1.0	15.0	16.0	14.0	14.0	7.0	15.0	15.0	15.0	41.0	17.0
Prbb	10.0	12.0	14.0	14.0	11.0	35.0	6.0	24.0	9.0	11.0	15.0	13.0	10.0	12.0	7.0	16.0	12.0	15.0	18.0	23.0	21.0	18.0	7.0	13.0	6.0	6.0	8.0	0.0	16.0	10.0	15.0	17.0	15.0	10.0	21.0	14.0	15.0	15.0	26.0	17.0
Prbc	13.0	11.0	15.0	15.0	11.0	32.0	9.0	24.0	12.0	10.0	14.0	15.0	11.0	11.0	7.0	15.0	14.0	16.0	15.0	21.0	22.0	18.0	9.0	13.0	7.0	7.0	9.0	8.0	0.0	12.0	14.0	16.0	14.0	11.0	36.0	15.0	15.0	15.0	27.0	16.0
Prbd	3.0	13.0	5.0	3.0	2.0	34.0	5.0	25.0	13.0	32.0	14.0	15.0	12.0	10.0	3.0	15.0	6.0	6.0	7.0	17.0	9.0	8.0	4.0	5.0	3.0	4.0	6.0	34.0	40.0	0.0	14.0	15.0	13.0	12.0	21.0	13.0	13.0	13.0	39.0	16.0
Prbe	14.0	13.0	16.0	13.0	9.0	38.0	11.0	23.0	14.0	25.0	1.0	11.0	5.0	13.0	6.0	1.0	14.0	15.0	19.0	14.0	20.0	17.0	11.0	13.0	8.0	8.0	10.0	27.0	34.0	10.0	0.0	1.0	1.0	4.0	20.0	11.0	12.0	12.0	30.0	1.0
Prbf	14.0	13.0	15.0	13.0	9.0	38.0	11.0	23.0	14.0	25.0	1.0	11.0	5.0	13.0	6.0	1.0	13.0	14.0	19.0	14.0	20.0	17.0	11.0	13.0	8.0	8.0	10.0	27.0	34.0	10.0	1.0	0.0	1.0	4.0	20.0	11.0	12.0	12.0	29.0	1.0
Prbg	14.0	13.0	15.0	13.0	9.0	38.0	11.0	23.0	14.0	24.0	1.0	11.0	5.0	13.0	6.0	1.0	13.0	14.0	19.0	14.0	20.0	17.0	11.0	13.0	8.0	8.0	10.0	27.0	34.0	10.0	1.0	2.0	0.0	4.0	20.0	11.0	12.0	12.0	29.0	1.0
Prbh	9.0	10.0	12.0	9.0	8.0	36.0	7.0	22.0	11.0	27.0	6.0	10.0	1.0	9.0	5.0	7.0	11.0	12.0	17.0	16.0	19.0	15.0	7.0	10.0	5.0	4.0	8.0	33.0	37.0	6.0	6.0	8.0	7.0	0.0	17.0	14.0	15.0	15.0	37.0	7.0
Prbi	5.0	14.0	6.0	7.0	1.0	34.0	5.0	22.0	14.0	29.0	15.0	17.0	11.0	12.0	3.0	16.0	5.0	4.0	7.0	16.0	12.0	7.0	4.0	4.0	2.0	2.0	5.0	32.0	42.0	2.0	15.0	16.0	14.0	11.0	0.0	11.0	11.0	11.0	36.0	17.0
Prbj	11.0	13.0	11.0	10.0	12.0	36.0	11.0	31.0	12.0	17.0	14.0	15.0	12.0	14.0	8.0	14.0	12.0	11.0	14.0	12.0	18.0	16.0	11.0	15.0	9.0	10.0	10.0	17.0	19.0	9.0	13.0	15.0	13.0	12.0	14.0	0.0	1.0	0.0	19.0	15.0
Prbk	11.0	13.0	11.0	10.0	12.0	37.0	11.0	31.0	12.0	17.0	14.0	15.0	12.0	14.0	8.0	14.0	12.0	11.0	14.0	12.0	18.0	17.0	12.0	16.0	8.0	10.0	10.0	17.0	19.0	9.0	13.0	15.0	13.0	12.0	14.0	4.0	0.0	0.0	19.0	15.0
Prbl	12.0	14.0	12.0	11.0	13.0	38.0	12.0	32.0	12.0	18.0	14.0	16.0	12.0	14.0	9.0	14.0	13.0	12.0	15.0	12.0	19.0	18.0	13.0	16.0	10.0	11.0	11.0	18.0	20.0	9.0	13.0	15.0	13.0	12.0	14.0	6.0	3.0	0.0	20.0	15.0
Prbm	7.0	9.0	12.0	10.0	8.0	31.0	6.0	23.0	9.0	10.0	14.0	13.0	10.0	10.0	4.0	15.0	11.0	13.0	12.0	21.0	15.0	13.0	7.0	12.0	4.0	4.0	6.0	14.0	20.0	7.0	14.0	16.0	13.0	10.0	18.0	16.0	17.0	17.0	0.0	16.0
Prbn	14.0	13.0	16.0	13.0	9.0	38.0	11.0	23.0	14.0	25.0	0.0	11.0	5.0	13.0	6.0	1.0	14.0	15.0	19.0	14.0	20.0	17.0	11.0	13.0	8.0	8.0	10.0	27.0	34.0	10.0	1.0	0.0	1.0	4.0	20.0	11.0	12.0	12.0	29.0	0.0
