Orthogroup	Prax	Prbj
OG0000047	Prax.g_00843	Prbj.g_00666
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Prbj.g_01393
OG0000053	Prax.g_01708	Prbj.g_00638
OG0000054	Prax.g_00065	Prbj.g_01758
OG0000057	Prax.g_00944	Prbj.g_00758
OG0000059	Prax.g_01286	Prbj.g_01029
OG0000060	Prax.g_00517	Prbj.g_01633, Prbj.g_01132
OG0000061	Prax.g_00200	Prbj.g_00971
OG0000062	Prax.g_01650	Prbj.g_00881
OG0000063	Prax.g_00280	Prbj.g_01208
OG0000065	Prax.g_01112	Prbj.g_00620
OG0000066	Prax.g_00662	Prbj.g_02141
OG0000067	Prax.g_00373	Prbj.g_02412
OG0000068	Prax.g_01863	Prbj.g_01639
OG0000070	Prax.g_00750	Prbj.g_00118
OG0000071	Prax.g_01899	Prbj.g_01728
OG0000072	Prax.g_01047	Prbj.g_00516
OG0000073	Prax.g_00702	Prbj.g_01608
OG0000075	Prax.g_01370	Prbj.g_01502
OG0000076	Prax.g_01394	Prbj.g_01598
OG0000077	Prax.g_00649	Prbj.g_01900, Prbj.g_00576
OG0000078	Prax.g_00979	Prbj.g_02614
OG0000079	Prax.g_00923	Prbj.g_01353
OG0000081	Prax.g_00670	Prbj.g_00799, Prbj.g_00765
OG0000082	Prax.g_00045	Prbj.g_01789
OG0000084	Prax.g_01737	Prbj.g_01052
OG0000085	Prax.g_01566	Prbj.g_00869
OG0000086	Prax.g_00659	Prbj.g_00589
OG0000087	Prax.g_01079	Prbj.g_01547
OG0000088	Prax.g_01052	Prbj.g_00521, Prbj.g_00912
OG0000089	Prax.g_00817	Prbj.g_00064
OG0000090	Prax.g_00668	Prbj.g_02127
OG0000091	Prax.g_00101	Prbj.g_02581
OG0000093	Prax.g_00588	Prbj.g_02388
OG0000094	Prax.g_01185	Prbj.g_01985
OG0000095	Prax.g_01204	Prbj.g_01838
OG0000097	Prax.g_00241	Prbj.g_02152
OG0000098	Prax.g_01881	Prbj.g_00669
OG0000099	Prax.g_01825	Prbj.g_01464
OG0000100	Prax.g_01654	Prbj.g_00185, Prbj.g_02442
OG0000101	Prax.g_01338	Prbj.g_00415, Prbj.g_00981
OG0000102	Prax.g_01399	Prbj.g_01819
OG0000103	Prax.g_01478	Prbj.g_02055
OG0000104	Prax.g_01486	Prbj.g_02069
OG0000105	Prax.g_00901	Prbj.g_01397
OG0000106	Prax.g_00803	Prbj.g_00875
OG0000107	Prax.g_00790	Prbj.g_02659
OG0000108	Prax.g_00722	Prbj.g_01630
OG0000109	Prax.g_00707	Prbj.g_01614
OG0000110	Prax.g_00035	Prbj.g_01801
OG0000111	Prax.g_00943	Prbj.g_00759
OG0000112	Prax.g_00409	Prbj.g_02276
OG0000113	Prax.g_00351	Prbj.g_02437
OG0000114	Prax.g_00561	Prbj.g_02340
OG0000115	Prax.g_00132	Prbj.g_00634
OG0000116	Prax.g_00190	Prbj.g_00956
OG0000117	Prax.g_01959	Prbj.g_01915
OG0000118	Prax.g_01887	Prbj.g_01742
OG0000119	Prax.g_01867	Prbj.g_00740, Prbj.g_00778
OG0000120	Prax.g_01832	Prbj.g_01465
OG0000121	Prax.g_01726	Prbj.g_01064, Prbj.g_01058
OG0000122	Prax.g_01688	Prbj.g_02627
OG0000123	Prax.g_01345	Prbj.g_00406
OG0000124	Prax.g_01410	Prbj.g_01281
OG0000125	Prax.g_01447	Prbj.g_01963
OG0000126	Prax.g_01485	Prbj.g_02067
OG0000128	Prax.g_01974	Prbj.g_02085
OG0000129	Prax.g_00269	Prbj.g_01951
OG0000130	Prax.g_00640	Prbj.g_00564
OG0000131	Prax.g_01073	Prbj.g_00543
OG0000132	Prax.g_01054	Prbj.g_00523
OG0000133	Prax.g_00853, Prax.g_00852, Prax.g_01783	Prbj.g_01460
OG0000134	Prax.g_00816, Prax.g_01573	Prbj.g_00067
OG0000135	Prax.g_00792	Prbj.g_02004
OG0000136	Prax.g_00759	Prbj.g_00105
OG0000137	Prax.g_00727	Prbj.g_00128
OG0000138	Prax.g_00706	Prbj.g_01613
OG0000139	Prax.g_00664	Prbj.g_02133
OG0000140	Prax.g_00663	Prbj.g_02139
OG0000141	Prax.g_00066	Prbj.g_01757
OG0000142	Prax.g_00094	Prbj.g_02573
OG0000143	Prax.g_00098	Prbj.g_02577
OG0000144	Prax.g_00111	Prbj.g_00793
OG0000145	Prax.g_00413	Prbj.g_01607
OG0000146	Prax.g_00408	Prbj.g_02277
OG0000147	Prax.g_00407	Prbj.g_02278
OG0000148	Prax.g_00357	Prbj.g_02431
OG0000149	Prax.g_00326	Prbj.g_02488
OG0000150	Prax.g_00318	Prbj.g_02511
OG0000151	Prax.g_00571	Prbj.g_02361
OG0000152	Prax.g_01129	Prbj.g_02268
OG0000153	Prax.g_01148	Prbj.g_02241
OG0000154	Prax.g_01178	Prbj.g_02213
OG0000155	Prax.g_00220	Prbj.g_00312
OG0000156	Prax.g_01910	Prbj.g_00163
OG0000157	Prax.g_01909	Prbj.g_00162
OG0000158	Prax.g_01780	Prbj.g_01514
OG0000160	Prax.g_01727	Prbj.g_01057
OG0000161	Prax.g_01721	Prbj.g_01071
OG0000162	Prax.g_01715	Prbj.g_01077
OG0000163	Prax.g_01681	Prbj.g_01688
OG0000164	Prax.g_01535	Prbj.g_00476
OG0000165	Prax.g_01528	Prbj.g_00467
OG0000166	Prax.g_01302	Prbj.g_01019
OG0000167	Prax.g_01368	Prbj.g_01500
OG0000168	Prax.g_01378	Prbj.g_01515
OG0000169	Prax.g_01388	Prbj.g_01581
OG0000170	Prax.g_01390	Prbj.g_01593
OG0000171	Prax.g_01409	Prbj.g_01282
OG0000172	Prax.g_01418	Prbj.g_01248
OG0000173	Prax.g_01433	Prbj.g_01227
OG0000174	Prax.g_01460	Prbj.g_02006
OG0000175	Prax.g_01470	Prbj.g_02044
OG0000176	Prax.g_01494	Prbj.g_02077
OG0000177	Prax.g_01495	Prbj.g_02078
OG0000178	Prax.g_01496	Prbj.g_02079
OG0000179	Prax.g_00297	Prbj.g_01188
OG0000180	Prax.g_00296	Prbj.g_01189
OG0000181	Prax.g_00295	Prbj.g_01190
OG0000182	Prax.g_00294	Prbj.g_01191
OG0000183	Prax.g_00290	Prbj.g_01195
OG0000184	Prax.g_00621	Prbj.g_01943
OG0000185	Prax.g_00624	Prbj.g_01921
OG0000186	Prax.g_00635	Prbj.g_00558
OG0000187	Prax.g_00636	Prbj.g_00560
OG0000188	Prax.g_00653	Prbj.g_00581
OG0000189	Prax.g_01122	Prbj.g_00607
OG0000190	Prax.g_01121	Prbj.g_00609
OG0000191	Prax.g_01101	Prbj.g_01557
OG0000192	Prax.g_01097	Prbj.g_01566
OG0000193	Prax.g_01072	Prbj.g_00542
OG0000194	Prax.g_01069	Prbj.g_00539
OG0000195	Prax.g_01067	Prbj.g_00537
OG0000196	Prax.g_01057	Prbj.g_00526
OG0000197	Prax.g_01056	Prbj.g_00525
OG0000198	Prax.g_01055	Prbj.g_00524
OG0000199	Prax.g_01048	Prbj.g_00517
OG0000200	Prax.g_01034	Prbj.g_01138
OG0000201	Prax.g_01026	Prbj.g_01157
OG0000202	Prax.g_01025	Prbj.g_01158
OG0000203	Prax.g_01024	Prbj.g_01159
OG0000204	Prax.g_01023	Prbj.g_01160
OG0000205	Prax.g_01016	Prbj.g_01167
OG0000206	Prax.g_01011	Prbj.g_00288
OG0000207	Prax.g_01009	Prbj.g_00234
OG0000208	Prax.g_01008	Prbj.g_00235
OG0000209	Prax.g_00999	Prbj.g_00262
OG0000210	Prax.g_00998	Prbj.g_00263
OG0000211	Prax.g_00985	Prbj.g_00177
OG0000212	Prax.g_00978	Prbj.g_02615
OG0000213	Prax.g_00918	Prbj.g_01362
OG0000214	Prax.g_00908	Prbj.g_01389
OG0000215	Prax.g_00883	Prbj.g_01419
OG0000216	Prax.g_00881	Prbj.g_01422
OG0000217	Prax.g_00878	Prbj.g_01426
OG0000218	Prax.g_00876	Prbj.g_01430
OG0000219	Prax.g_00875	Prbj.g_01431
OG0000220	Prax.g_00874	Prbj.g_01432
OG0000221	Prax.g_00873	Prbj.g_01437
OG0000222	Prax.g_00865	Prbj.g_01446
OG0000223	Prax.g_00850	Prbj.g_01469
OG0000224	Prax.g_00848	Prbj.g_01480
OG0000225	Prax.g_00827	Prbj.g_00323
OG0000226	Prax.g_00823	Prbj.g_00319
OG0000227	Prax.g_00821	Prbj.g_00317
OG0000228	Prax.g_00818	Prbj.g_00063
OG0000229	Prax.g_00764	Prbj.g_00100
OG0000230	Prax.g_00762	Prbj.g_00102
OG0000231	Prax.g_00751	Prbj.g_00117
OG0000232	Prax.g_00743	Prbj.g_01888
OG0000233	Prax.g_00738	Prbj.g_00148
OG0000234	Prax.g_00726	Prbj.g_00127
OG0000235	Prax.g_00723	Prbj.g_01631
OG0000236	Prax.g_00708	Prbj.g_01615
OG0000237	Prax.g_00695	Prbj.g_02094
OG0000238	Prax.g_00689	Prbj.g_02098
OG0000239	Prax.g_00676	Prbj.g_02114
OG0000240	Prax.g_00675	Prbj.g_02115
OG0000241	Prax.g_00671	Prbj.g_01116
OG0000242	Prax.g_00669	Prbj.g_02125
OG0000243	Prax.g_00004	Prbj.g_02668
OG0000244	Prax.g_00007	Prbj.g_01859
OG0000245	Prax.g_00009	Prbj.g_01862
OG0000246	Prax.g_00013	Prbj.g_01866
OG0000247	Prax.g_00023	Prbj.g_01877
OG0000248	Prax.g_00025	Prbj.g_01880
OG0000249	Prax.g_00027	Prbj.g_01882
OG0000250	Prax.g_00032	Prbj.g_01805
OG0000251	Prax.g_00050	Prbj.g_01781
OG0000252	Prax.g_00053	Prbj.g_01778
OG0000253	Prax.g_00054	Prbj.g_01772
OG0000254	Prax.g_00070	Prbj.g_01753
OG0000255	Prax.g_00076	Prbj.g_02546
OG0000256	Prax.g_00086	Prbj.g_02560
OG0000257	Prax.g_00089	Prbj.g_02566
OG0000258	Prax.g_00102	Prbj.g_02589
OG0000259	Prax.g_00119	Prbj.g_00812
OG0000260	Prax.g_00122	Prbj.g_00816
OG0000261	Prax.g_00977	Prbj.g_00819
OG0000262	Prax.g_00973	Prbj.g_00824
OG0000263	Prax.g_00961	Prbj.g_00248
OG0000264	Prax.g_00951	Prbj.g_00933
OG0000265	Prax.g_00485	Prbj.g_00913, Prbj.g_02178
OG0000266	Prax.g_00475	Prbj.g_02189
OG0000267	Prax.g_00464	Prbj.g_02315
OG0000268	Prax.g_00463	Prbj.g_02314
OG0000269	Prax.g_00378	Prbj.g_02407
OG0000270	Prax.g_00375	Prbj.g_02410
OG0000271	Prax.g_00367	Prbj.g_02418
OG0000272	Prax.g_00366	Prbj.g_02419
OG0000273	Prax.g_00343	Prbj.g_02470
OG0000274	Prax.g_00342	Prbj.g_02471
OG0000275	Prax.g_00339	Prbj.g_02474
OG0000276	Prax.g_00334	Prbj.g_02480
OG0000277	Prax.g_00333	Prbj.g_02481
OG0000278	Prax.g_00330	Prbj.g_02484
OG0000279	Prax.g_00323	Prbj.g_02492
OG0000280	Prax.g_00322	Prbj.g_02498
OG0000281	Prax.g_00317	Prbj.g_02512
OG0000282	Prax.g_00563	Prbj.g_02342
OG0000283	Prax.g_00597	Prbj.g_02303
OG0000284	Prax.g_00602	Prbj.g_02297
OG0000285	Prax.g_00607	Prbj.g_00694
OG0000286	Prax.g_00619	Prbj.g_02269
OG0000287	Prax.g_01145	Prbj.g_00722
OG0000288	Prax.g_01177	Prbj.g_02214
OG0000289	Prax.g_01188	Prbj.g_02201
OG0000290	Prax.g_01201	Prbj.g_01841
OG0000291	Prax.g_01203	Prbj.g_01839
OG0000292	Prax.g_01759, Prax.g_01254	Prbj.g_02066
OG0000293	Prax.g_00191	Prbj.g_00958
OG0000294	Prax.g_00192	Prbj.g_00959
OG0000295	Prax.g_00212	Prbj.g_00304
OG0000296	Prax.g_00214	Prbj.g_00306, Prbj.g_00307
OG0000297	Prax.g_00222	Prbj.g_01913
OG0000298	Prax.g_00223	Prbj.g_01914
OG0000299	Prax.g_00240	Prbj.g_01903
OG0000300	Prax.g_00243	Prbj.g_02155
OG0000301	Prax.g_00244	Prbj.g_02156
OG0000302	Prax.g_00246	Prbj.g_02159
OG0000303	Prax.g_00253	Prbj.g_00314
OG0000304	Prax.g_00257	Prbj.g_00020
OG0000305	Prax.g_01871	Prbj.g_01837
OG0000306	Prax.g_01868	Prbj.g_02521
OG0000307	Prax.g_01854	Prbj.g_01647
OG0000308	Prax.g_01853	Prbj.g_01649
OG0000309	Prax.g_01849	Prbj.g_01653
OG0000310	Prax.g_01748	Prbj.g_01294
OG0000311	Prax.g_01746	Prbj.g_01040
OG0000312	Prax.g_01743	Prbj.g_01044
OG0000313	Prax.g_01724	Prbj.g_01068
OG0000314	Prax.g_01701	Prbj.g_00646
OG0000315	Prax.g_01691	Prbj.g_00656
OG0000316	Prax.g_01671	Prbj.g_01699
OG0000317	Prax.g_01561	Prbj.g_00863
OG0000318	Prax.g_01558	Prbj.g_00856
OG0000319	Prax.g_01545	Prbj.g_00487
OG0000320	Prax.g_01543	Prbj.g_00485
OG0000321	Prax.g_01542	Prbj.g_00484
OG0000322	Prax.g_01541	Prbj.g_00483
OG0000323	Prax.g_01532	Prbj.g_00472
OG0000324	Prax.g_01505	Prbj.g_00443
OG0000325	Prax.g_01263	Prbj.g_02657
OG0000326	Prax.g_01269	Prbj.g_02649
OG0000327	Prax.g_01297	Prbj.g_01024
OG0000328	Prax.g_01298	Prbj.g_01023
OG0000329	Prax.g_01315	Prbj.g_01006
OG0000330	Prax.g_01316	Prbj.g_01005
OG0000331	Prax.g_01317	Prbj.g_01004
OG0000332	Prax.g_01331	Prbj.g_00989
OG0000333	Prax.g_01333	Prbj.g_00987
OG0000334	Prax.g_01341	Prbj.g_00410
OG0000335	Prax.g_01346	Prbj.g_00405
OG0000336	Prax.g_01350	Prbj.g_00401
OG0000337	Prax.g_01366	Prbj.g_01494
OG0000338	Prax.g_01367	Prbj.g_01498
OG0000339	Prax.g_01371	Prbj.g_01504
OG0000340	Prax.g_01379	Prbj.g_01516
OG0000341	Prax.g_01381	Prbj.g_01518
OG0000342	Prax.g_01382	Prbj.g_01519
OG0000343	Prax.g_01383	Prbj.g_01576
OG0000344	Prax.g_01386	Prbj.g_01579
OG0000345	Prax.g_01391	Prbj.g_01594
OG0000346	Prax.g_01395	Prbj.g_01599
OG0000347	Prax.g_01411	Prbj.g_01280
OG0000348	Prax.g_01421	Prbj.g_01243
OG0000349	Prax.g_01438	Prbj.g_01219
OG0000350	Prax.g_01456	Prbj.g_01999
OG0000351	Prax.g_01473	Prbj.g_02047
OG0000352	Prax.g_01474	Prbj.g_02048
OG0000353	Prax.g_01489	Prbj.g_02072
OG0000355	Prax.g_01491	Prbj.g_02074
OG0000356	Prax.g_01492	Prbj.g_02075
OG0000357	Prax.g_01493	Prbj.g_02076
OG0000358	Prax.g_01497	Prbj.g_02080
OG0000359	Prax.g_01498	Prbj.g_02082
OG0000360	Prax.g_01499	Prbj.g_02083
OG0000361	Prax.g_01975	Prbj.g_02084
OG0000362	Prax.g_01973	Prbj.g_02086
OG0000363	Prax.g_00299	Prbj.g_01182
OG0000364	Prax.g_00298	Prbj.g_01183
OG0000365	Prax.g_00293	Prbj.g_01192
OG0000366	Prax.g_00292	Prbj.g_01193
OG0000367	Prax.g_00291	Prbj.g_01194
OG0000368	Prax.g_00289	Prbj.g_01196
OG0000369	Prax.g_00288	Prbj.g_01197
OG0000370	Prax.g_00287	Prbj.g_01198
OG0000371	Prax.g_00281	Prbj.g_01207
OG0000372	Prax.g_00278	Prbj.g_01212
OG0000373	Prax.g_00277	Prbj.g_01213
OG0000374	Prax.g_00276	Prbj.g_01214
OG0000375	Prax.g_00273	Prbj.g_01215
OG0000376	Prax.g_00271	Prbj.g_01217
OG0000377	Prax.g_00261	Prbj.g_01950
OG0000378	Prax.g_00622	Prbj.g_01936
OG0000379	Prax.g_00625	Prbj.g_01920
OG0000380	Prax.g_00637	Prbj.g_00561
OG0000381	Prax.g_00641	Prbj.g_00565
OG0000382	Prax.g_00652	Prbj.g_00580
OG0000383	Prax.g_00654	Prbj.g_00582
OG0000384	Prax.g_00655	Prbj.g_00583
OG0000385	Prax.g_00656	Prbj.g_00584
OG0000386	Prax.g_00657	Prbj.g_00585
OG0000387	Prax.g_01119	Prbj.g_00611
OG0000388	Prax.g_01116	Prbj.g_00615
OG0000389	Prax.g_01113	Prbj.g_00619
OG0000390	Prax.g_01106	Prbj.g_01551
OG0000391	Prax.g_01102	Prbj.g_01556
OG0000392	Prax.g_01098	Prbj.g_01562
OG0000393	Prax.g_01096	Prbj.g_01567
OG0000394	Prax.g_01095	Prbj.g_01568
OG0000395	Prax.g_01094	Prbj.g_01569
OG0000396	Prax.g_01091	Prbj.g_01530
OG0000397	Prax.g_01089	Prbj.g_01532
OG0000398	Prax.g_01087	Prbj.g_01537
OG0000399	Prax.g_01086	Prbj.g_01538
OG0000400	Prax.g_01085	Prbj.g_01539
OG0000401	Prax.g_01084	Prbj.g_01540
OG0000402	Prax.g_01082	Prbj.g_01542
OG0000403	Prax.g_01081	Prbj.g_01543
OG0000404	Prax.g_01080	Prbj.g_01545
OG0000405	Prax.g_01076	Prbj.g_00545
OG0000406	Prax.g_01071	Prbj.g_00541
OG0000407	Prax.g_01070	Prbj.g_00540
OG0000408	Prax.g_01068	Prbj.g_00538
OG0000409	Prax.g_01066	Prbj.g_00536
OG0000410	Prax.g_01065	Prbj.g_00535
OG0000411	Prax.g_01064	Prbj.g_00534
OG0000412	Prax.g_01063	Prbj.g_00533
OG0000413	Prax.g_01062	Prbj.g_00531
OG0000414	Prax.g_01061	Prbj.g_00530
OG0000415	Prax.g_01060	Prbj.g_00529
OG0000416	Prax.g_01059	Prbj.g_00528
OG0000417	Prax.g_01058	Prbj.g_00527
OG0000418	Prax.g_01053	Prbj.g_00522
OG0000419	Prax.g_01051	Prbj.g_00520
OG0000420	Prax.g_01050	Prbj.g_00519
OG0000421	Prax.g_01045	Prbj.g_00515
OG0000422	Prax.g_01044	Prbj.g_00514
OG0000423	Prax.g_01043	Prbj.g_00513
OG0000424	Prax.g_01042	Prbj.g_00512
OG0000425	Prax.g_01041	Prbj.g_00511
OG0000426	Prax.g_01040	Prbj.g_00510
OG0000427	Prax.g_01039	Prbj.g_00509
OG0000428	Prax.g_01037	Prbj.g_02369
OG0000429	Prax.g_01036	Prbj.g_01135
OG0000430	Prax.g_01035	Prbj.g_01137
OG0000431	Prax.g_01033	Prbj.g_01141
OG0000432	Prax.g_01030	Prbj.g_01148
OG0000433	Prax.g_01029	Prbj.g_01151
OG0000434	Prax.g_01028	Prbj.g_01152
OG0000435	Prax.g_01027	Prbj.g_01155
OG0000436	Prax.g_01022	Prbj.g_01161
OG0000437	Prax.g_01021	Prbj.g_01162
OG0000438	Prax.g_01020	Prbj.g_01163
OG0000439	Prax.g_01018	Prbj.g_01165
OG0000440	Prax.g_01017	Prbj.g_01166
OG0000441	Prax.g_01014	Prbj.g_01173
OG0000442	Prax.g_01013	Prbj.g_01174
OG0000443	Prax.g_01012	Prbj.g_00289
OG0000444	Prax.g_01007	Prbj.g_00237
OG0000445	Prax.g_01006	Prbj.g_00238
OG0000446	Prax.g_01005	Prbj.g_00240
OG0000447	Prax.g_01004	Prbj.g_00250
OG0000448	Prax.g_01003	Prbj.g_00251
OG0000449	Prax.g_01002	Prbj.g_00252
OG0000450	Prax.g_01001	Prbj.g_00258
OG0000451	Prax.g_01000	Prbj.g_00259
OG0000452	Prax.g_00997	Prbj.g_00264
OG0000453	Prax.g_00996	Prbj.g_00265
OG0000454	Prax.g_00995	Prbj.g_00266
OG0000455	Prax.g_00994	Prbj.g_00267
OG0000456	Prax.g_00993	Prbj.g_00268
OG0000457	Prax.g_00992	Prbj.g_00270
OG0000458	Prax.g_00991	Prbj.g_00271
OG0000459	Prax.g_00990	Prbj.g_00272
OG0000460	Prax.g_00983	Prbj.g_00176
OG0000461	Prax.g_00933	Prbj.g_02661
OG0000462	Prax.g_00931	Prbj.g_01341
OG0000463	Prax.g_00930	Prbj.g_01342
OG0000464	Prax.g_00929	Prbj.g_01343
OG0000465	Prax.g_00928	Prbj.g_01345
OG0000466	Prax.g_00925	Prbj.g_01350
OG0000467	Prax.g_00924	Prbj.g_01352
OG0000468	Prax.g_00922	Prbj.g_01359
OG0000469	Prax.g_00913	Prbj.g_01372
OG0000470	Prax.g_00911	Prbj.g_01385
OG0000471	Prax.g_00910	Prbj.g_01386
OG0000472	Prax.g_00909	Prbj.g_01388
OG0000473	Prax.g_00907	Prbj.g_01390
OG0000474	Prax.g_00906	Prbj.g_01391
OG0000475	Prax.g_00905	Prbj.g_01392
OG0000476	Prax.g_00904	Prbj.g_01394
OG0000477	Prax.g_00900	Prbj.g_01399
OG0000478	Prax.g_00899	Prbj.g_01400
OG0000479	Prax.g_00898	Prbj.g_01401
OG0000480	Prax.g_00893	Prbj.g_01408
OG0000481	Prax.g_00891	Prbj.g_01410
OG0000482	Prax.g_00890	Prbj.g_01411
OG0000483	Prax.g_00887	Prbj.g_01415
OG0000484	Prax.g_00886	Prbj.g_01416
OG0000485	Prax.g_00885	Prbj.g_01417
OG0000486	Prax.g_00884	Prbj.g_01418
OG0000487	Prax.g_00880	Prbj.g_01423
OG0000488	Prax.g_00877	Prbj.g_01427
OG0000489	Prax.g_00872	Prbj.g_01438
OG0000490	Prax.g_00867	Prbj.g_01444
OG0000491	Prax.g_00866	Prbj.g_01445
OG0000492	Prax.g_00864	Prbj.g_01448
OG0000493	Prax.g_00863	Prbj.g_01449
OG0000494	Prax.g_00862	Prbj.g_01450
OG0000495	Prax.g_00861	Prbj.g_01451
OG0000496	Prax.g_00860	Prbj.g_01452
OG0000497	Prax.g_00859	Prbj.g_01453
OG0000498	Prax.g_00858	Prbj.g_01454
OG0000499	Prax.g_00857	Prbj.g_01455
OG0000500	Prax.g_00856	Prbj.g_01456
OG0000501	Prax.g_00854	Prbj.g_01459
OG0000502	Prax.g_00849	Prbj.g_01471
OG0000503	Prax.g_00839	Prbj.g_00341
OG0000504	Prax.g_00838	Prbj.g_00339
OG0000505	Prax.g_00837	Prbj.g_00338
OG0000506	Prax.g_00835	Prbj.g_00336
OG0000507	Prax.g_00832	Prbj.g_00331
OG0000508	Prax.g_00828	Prbj.g_00324
OG0000509	Prax.g_00826	Prbj.g_00322
OG0000510	Prax.g_00825	Prbj.g_00321
OG0000511	Prax.g_00824	Prbj.g_00320
OG0000512	Prax.g_00822	Prbj.g_00318
OG0000513	Prax.g_00815	Prbj.g_00068
OG0000514	Prax.g_00769	Prbj.g_00076
OG0000515	Prax.g_00768	Prbj.g_00077
OG0000516	Prax.g_00767	Prbj.g_00089
OG0000517	Prax.g_00765	Prbj.g_00099
OG0000518	Prax.g_00754	Prbj.g_00111
OG0000519	Prax.g_00753	Prbj.g_00112
OG0000520	Prax.g_00752	Prbj.g_00113
OG0000521	Prax.g_00747	Prbj.g_01894
OG0000522	Prax.g_00746	Prbj.g_01892
OG0000523	Prax.g_00745	Prbj.g_01891
OG0000524	Prax.g_00740	Prbj.g_00152
OG0000525	Prax.g_00737	Prbj.g_00136
OG0000526	Prax.g_00736	Prbj.g_00134
OG0000527	Prax.g_00729	Prbj.g_00130
OG0000528	Prax.g_00724	Prbj.g_01635
OG0000529	Prax.g_00721	Prbj.g_01629
OG0000530	Prax.g_00718	Prbj.g_01626
OG0000531	Prax.g_00717	Prbj.g_01625
OG0000532	Prax.g_00715	Prbj.g_01622
OG0000533	Prax.g_00714	Prbj.g_01620
OG0000534	Prax.g_00713	Prbj.g_01619
OG0000535	Prax.g_00712	Prbj.g_01618
OG0000536	Prax.g_00711	Prbj.g_01617
OG0000537	Prax.g_00709	Prbj.g_01616
OG0000538	Prax.g_00701	Prbj.g_01605
OG0000539	Prax.g_00700	Prbj.g_02088
OG0000540	Prax.g_00699	Prbj.g_02089
OG0000541	Prax.g_00698	Prbj.g_02090
OG0000542	Prax.g_00696	Prbj.g_02093
OG0000543	Prax.g_00694	Prbj.g_02095
OG0000544	Prax.g_00693	Prbj.g_02096
OG0000545	Prax.g_00691	Prbj.g_02097
OG0000546	Prax.g_00688	Prbj.g_02099
OG0000547	Prax.g_00686	Prbj.g_02101
OG0000548	Prax.g_00685	Prbj.g_02102
OG0000549	Prax.g_00683	Prbj.g_02108
OG0000550	Prax.g_00678	Prbj.g_02113
OG0000551	Prax.g_00674	Prbj.g_02117
OG0000552	Prax.g_00673	Prbj.g_02118
OG0000553	Prax.g_00672	Prbj.g_02123
OG0000554	Prax.g_00667	Prbj.g_02128
OG0000555	Prax.g_00003	Prbj.g_02146
OG0000556	Prax.g_00005	Prbj.g_02666
OG0000557	Prax.g_00006	Prbj.g_01858
OG0000558	Prax.g_00008	Prbj.g_01861
OG0000559	Prax.g_00012	Prbj.g_01865
OG0000560	Prax.g_00015	Prbj.g_01868
OG0000561	Prax.g_00016	Prbj.g_01869
OG0000562	Prax.g_00017	Prbj.g_01870
OG0000563	Prax.g_00018	Prbj.g_01871
OG0000564	Prax.g_00019	Prbj.g_01872
OG0000565	Prax.g_00022	Prbj.g_01875
OG0000566	Prax.g_00024	Prbj.g_01879
OG0000567	Prax.g_00028	Prbj.g_01883
