Orthogroup	Prag	Syar
OG0000041	Prag.g_01716	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prag.g_01868	Syar.g_00595, Syar.g_01970
OG0000048	Prag.g_01658, Prag.g_00368	Syar.g_00213
OG0000051	Prag.g_01645, Prag.g_01329	Syar.g_01597
OG0000053	Prag.g_01510	Syar.g_01413
OG0000054	Prag.g_00584	Syar.g_02265
OG0000055	Prag.g_00787	Syar.g_01386
OG0000057	Prag.g_00676	Syar.g_01941, Syar.g_00006
OG0000059	Prag.g_01755	Syar.g_01024
OG0000060	Prag.g_00760	Syar.g_01260, Syar.g_00178
OG0000061	Prag.g_01153	Syar.g_01539
OG0000062	Prag.g_01568	Syar.g_02911
OG0000063	Prag.g_00033	Syar.g_00509
OG0000065	Prag.g_00100	Syar.g_03119
OG0000066	Prag.g_00518	Syar.g_03187, Syar.g_02228
OG0000067	Prag.g_00806	Syar.g_02639
OG0000068	Prag.g_01389	Syar.g_02329, Syar.g_01461
OG0000069	Prag.g_01601	Syar.g_01716
OG0000070	Prag.g_00429	Syar.g_02223, Syar.g_03150
OG0000071	Prag.g_01355	Syar.g_02777
OG0000072	Prag.g_00164	Syar.g_00107, Syar.g_01140
OG0000073	Prag.g_00478	Syar.g_01364, Syar.g_01493
OG0000075	Prag.g_01836	Syar.g_03065, Syar.g_00659
OG0000076	Prag.g_01861	Syar.g_00608
OG0000077	Prag.g_00072	Syar.g_03051
OG0000078	Prag.g_00232	Syar.g_03265, Syar.g_03018, Syar.g_01366
OG0000081	Prag.g_00510	Syar.g_01898
OG0000082	Prag.g_00563	Syar.g_02202
OG0000085	Prag.g_01662	Syar.g_02919
OG0000086	Prag.g_00082	Syar.g_03085
OG0000087	Prag.g_00132	Syar.g_03192, Syar.g_00068
OG0000088	Prag.g_00159	Syar.g_00101
OG0000089	Prag.g_00350	Syar.g_01162
OG0000090	Prag.g_00512	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prag.g_00620	Syar.g_01891, Syar.g_02426
OG0000093	Prag.g_00932	Syar.g_02623
OG0000094	Prag.g_01017	Syar.g_01789
OG0000095	Prag.g_01036	Syar.g_01932
OG0000097	Prag.g_01194	Syar.g_01706, Syar.g_00364
OG0000098	Prag.g_01371	Syar.g_02343
OG0000099	Prag.g_01424	Syar.g_00715
OG0000100	Prag.g_01564	Syar.g_02477
OG0000101	Prag.g_01804	Syar.g_01073, Syar.g_03154
OG0000102	Prag.g_01866	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prag.g_01945	Syar.g_00014, Syar.g_00452
OG0000104	Prag.g_01953	Syar.g_00466
OG0000105	Prag.g_00265	Syar.g_00218
OG0000106	Prag.g_00364	Syar.g_01748
OG0000107	Prag.g_00378	Syar.g_03290, Syar.g_00149
OG0000108	Prag.g_00459	Syar.g_01469
OG0000109	Prag.g_00473	Syar.g_03310, Syar.g_01485
OG0000110	Prag.g_00553	Syar.g_02295
OG0000111	Prag.g_00677	Syar.g_01940, Syar.g_00005
OG0000112	Prag.g_00771	Syar.g_03195, Syar.g_02548
OG0000113	Prag.g_00828	Syar.g_02664
OG0000114	Prag.g_00906	Syar.g_01616
OG0000115	Prag.g_01097	Syar.g_02854, Syar.g_01415
OG0000116	Prag.g_01143	Syar.g_01525, Syar.g_02255
OG0000117	Prag.g_01298	Syar.g_01969
OG0000118	Prag.g_01367	Syar.g_02793
OG0000120	Prag.g_01423	Syar.g_00713
OG0000121	Prag.g_01492	Syar.g_02806
OG0000123	Prag.g_01811	Syar.g_01079
OG0000124	Prag.g_01877	Syar.g_00586
OG0000125	Prag.g_01913	Syar.g_00338
OG0000126	Prag.g_01952	Syar.g_00887, Syar.g_00888
OG0000128	Prag.g_00011	Syar.g_00482
OG0000129	Prag.g_00044	Syar.g_00324
OG0000130	Prag.g_00063	Syar.g_03040
OG0000131	Prag.g_00138	Syar.g_02216, Syar.g_00078
OG0000132	Prag.g_00157	Syar.g_00099
OG0000133	Prag.g_00313	Syar.g_02543
OG0000134	Prag.g_00351	Syar.g_02009, Syar.g_01165
OG0000135	Prag.g_00375	Syar.g_00698
OG0000136	Prag.g_00420	Syar.g_02874
OG0000137	Prag.g_00454	Syar.g_01273
OG0000138	Prag.g_00474	Syar.g_01486
OG0000139	Prag.g_00516	Syar.g_03245, Syar.g_02348
OG0000140	Prag.g_00517	Syar.g_02344, Syar.g_03246
OG0000141	Prag.g_00585	Syar.g_02129
OG0000142	Prag.g_00613	Syar.g_02418
OG0000143	Prag.g_00617	Syar.g_02422
OG0000144	Prag.g_00630	Syar.g_02441
OG0000145	Prag.g_00758	Syar.g_01494, Syar.g_03205
OG0000146	Prag.g_00772	Syar.g_02549
OG0000147	Prag.g_00773	Syar.g_02550
OG0000148	Prag.g_00822	Syar.g_02658
OG0000149	Prag.g_00851	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prag.g_00859	Syar.g_02130
OG0000151	Prag.g_00916	Syar.g_02038
OG0000152	Prag.g_00964	Syar.g_02539
OG0000153	Prag.g_00983	Syar.g_03283, Syar.g_02503
OG0000154	Prag.g_01010	Syar.g_01800
OG0000155	Prag.g_01173	Syar.g_01959
OG0000156	Prag.g_01342	Syar.g_01517
OG0000157	Prag.g_01343	Syar.g_01516
OG0000158	Prag.g_01425	Syar.g_00650
OG0000160	Prag.g_01491	Syar.g_02807
OG0000161	Prag.g_01497	Syar.g_02801
OG0000162	Prag.g_01503	Syar.g_02863
OG0000163	Prag.g_01537	Syar.g_00639, Syar.g_01186
OG0000164	Prag.g_01693	Syar.g_03168, Syar.g_02969
OG0000165	Prag.g_01700	Syar.g_02976
OG0000166	Prag.g_01768	Syar.g_01034
OG0000167	Prag.g_01834	Syar.g_00662
OG0000168	Prag.g_01844	Syar.g_00246
OG0000169	Prag.g_01854	Syar.g_00262
OG0000170	Prag.g_01856	Syar.g_00613
OG0000171	Prag.g_01876	Syar.g_00587
OG0000172	Prag.g_01884	Syar.g_00547
OG0000173	Prag.g_01899	Syar.g_00528
OG0000174	Prag.g_01927	Syar.g_00701
OG0000175	Prag.g_01937	Syar.g_00438
OG0000176	Prag.g_00004	Syar.g_00474
OG0000177	Prag.g_00005	Syar.g_00475
OG0000178	Prag.g_00006	Syar.g_00476
OG0000179	Prag.g_00016	Syar.g_00489
OG0000180	Prag.g_00017	Syar.g_00490
OG0000181	Prag.g_00018	Syar.g_00491
OG0000182	Prag.g_00019	Syar.g_00492
OG0000183	Prag.g_00023	Syar.g_00496
OG0000184	Prag.g_00046	Syar.g_00897
OG0000185	Prag.g_00049	Syar.g_00909
OG0000186	Prag.g_00058	Syar.g_03036
OG0000187	Prag.g_00059	Syar.g_03038
OG0000188	Prag.g_00076	Syar.g_03058
OG0000189	Prag.g_00089	Syar.g_03104
OG0000190	Prag.g_00090	Syar.g_03107, Syar.g_02374
OG0000191	Prag.g_00110	Syar.g_00039
OG0000192	Prag.g_00114	Syar.g_00046
OG0000193	Prag.g_00139	Syar.g_00079
OG0000194	Prag.g_00142	Syar.g_03236, Syar.g_00082
OG0000195	Prag.g_00144	Syar.g_00023, Syar.g_00084
OG0000196	Prag.g_00154	Syar.g_00096
OG0000197	Prag.g_00155	Syar.g_00097
OG0000198	Prag.g_00156	Syar.g_00098
OG0000199	Prag.g_00163	Syar.g_00106
OG0000200	Prag.g_00177	Syar.g_00124
OG0000201	Prag.g_00185	Syar.g_01000
OG0000202	Prag.g_00186	Syar.g_00998, Syar.g_00021
OG0000203	Prag.g_00187	Syar.g_00020, Syar.g_00997
OG0000204	Prag.g_00188	Syar.g_00996
OG0000205	Prag.g_00195	Syar.g_00988
OG0000206	Prag.g_00200	Syar.g_00963
OG0000207	Prag.g_00202	Syar.g_00957
OG0000208	Prag.g_00203	Syar.g_00956
OG0000209	Prag.g_00212	Syar.g_00936, Syar.g_03261
OG0000210	Prag.g_00213	Syar.g_00935, Syar.g_03260
OG0000211	Prag.g_00226	Syar.g_03026
OG0000212	Prag.g_00233	Syar.g_03017
OG0000213	Prag.g_00249	Syar.g_00187
OG0000214	Prag.g_00258	Syar.g_00209
OG0000215	Prag.g_00283	Syar.g_00239
OG0000216	Prag.g_00285	Syar.g_00244
OG0000217	Prag.g_00288	Syar.g_00854
OG0000218	Prag.g_00290	Syar.g_00852
OG0000219	Prag.g_00291	Syar.g_00851
OG0000220	Prag.g_00292	Syar.g_00850, Syar.g_02026
OG0000221	Prag.g_00293	Syar.g_00834
OG0000222	Prag.g_00301	Syar.g_02119, Syar.g_00728
OG0000223	Prag.g_00314	Syar.g_00649
OG0000224	Prag.g_00316	Syar.g_00762, Syar.g_00273
OG0000225	Prag.g_00340	Syar.g_01142
OG0000226	Prag.g_00344	Syar.g_01146
OG0000227	Prag.g_00346	Syar.g_01148
OG0000228	Prag.g_00349	Syar.g_01161
OG0000229	Prag.g_00415	Syar.g_01177, Syar.g_03273
OG0000230	Prag.g_00417	Syar.g_01179, Syar.g_03275
OG0000231	Prag.g_00428	Syar.g_02865, Syar.g_03151
OG0000232	Prag.g_00437	Syar.g_01424
OG0000233	Prag.g_00442	Syar.g_03183, Syar.g_01247
OG0000234	Prag.g_00455	Syar.g_01275
OG0000235	Prag.g_00458	Syar.g_01468
OG0000236	Prag.g_00472	Syar.g_03311, Syar.g_01484
OG0000237	Prag.g_00485	Syar.g_01503
OG0000238	Prag.g_00491	Syar.g_01508
OG0000239	Prag.g_00504	Syar.g_03277, Syar.g_02687
OG0000240	Prag.g_00505	Syar.g_03278, Syar.g_02686
OG0000241	Prag.g_00509	Syar.g_02410
OG0000242	Prag.g_00511	Syar.g_01926
OG0000243	Prag.g_00522	Syar.g_02335
OG0000244	Prag.g_00525	Syar.g_02327
OG0000245	Prag.g_00527	Syar.g_02325, Syar.g_03238
OG0000246	Prag.g_00531	Syar.g_02321
OG0000247	Prag.g_00541	Syar.g_02310
OG0000248	Prag.g_00543	Syar.g_02307, Syar.g_03293
OG0000249	Prag.g_00545	Syar.g_02305
OG0000250	Prag.g_00550	Syar.g_02299, Syar.g_03194
OG0000251	Prag.g_00569	Syar.g_03207, Syar.g_02194
OG0000252	Prag.g_00572	Syar.g_02189, Syar.g_03263
OG0000253	Prag.g_00573	Syar.g_02028, Syar.g_03229
OG0000254	Prag.g_00589	Syar.g_02169
OG0000255	Prag.g_00595	Syar.g_00011, Syar.g_02224
OG0000256	Prag.g_00605	Syar.g_02244
OG0000257	Prag.g_00608	Syar.g_02407, Syar.g_01762
OG0000258	Prag.g_00621	Syar.g_02427, Syar.g_00010
OG0000259	Prag.g_00638	Syar.g_02472
OG0000260	Prag.g_00641	Syar.g_03220, Syar.g_02475
OG0000261	Prag.g_00643	Syar.g_01916
OG0000262	Prag.g_00647	Syar.g_01690
OG0000263	Prag.g_00659	Syar.g_01991
OG0000264	Prag.g_00669	Syar.g_02135, Syar.g_03267
OG0000266	Prag.g_00702	Syar.g_01570
OG0000267	Prag.g_00713	Syar.g_01873
OG0000268	Prag.g_00714	Syar.g_02589
OG0000269	Prag.g_00801	Syar.g_02634
OG0000270	Prag.g_00804	Syar.g_00744, Syar.g_02637
OG0000271	Prag.g_00812	Syar.g_02645
OG0000272	Prag.g_00813	Syar.g_02646
OG0000273	Prag.g_00835	Syar.g_02481, Syar.g_00008
OG0000274	Prag.g_00836	Syar.g_00009, Syar.g_02482
OG0000275	Prag.g_00838	Syar.g_01810
OG0000276	Prag.g_00843	Syar.g_01817
OG0000277	Prag.g_00844	Syar.g_01818, Syar.g_03242
OG0000278	Prag.g_00847	Syar.g_01821, Syar.g_03174
OG0000279	Prag.g_00854	Syar.g_01838
OG0000280	Prag.g_00855	Syar.g_02067, Syar.g_00734
OG0000281	Prag.g_00860	Syar.g_02218
OG0000282	Prag.g_00908	Syar.g_01614, Syar.g_03255
OG0000283	Prag.g_00941	Syar.g_02574
OG0000284	Prag.g_00946	Syar.g_03258, Syar.g_02568
OG0000285	Prag.g_00951	Syar.g_02560
OG0000286	Prag.g_00963	Syar.g_02540
OG0000287	Prag.g_00980	Syar.g_02512
OG0000288	Prag.g_01009	Syar.g_01801
OG0000289	Prag.g_01020	Syar.g_03305, Syar.g_01786
OG0000290	Prag.g_01033	Syar.g_01928
OG0000291	Prag.g_01035	Syar.g_01930
OG0000292	Prag.g_01085	Syar.g_00463
OG0000293	Prag.g_01144	Syar.g_03297, Syar.g_01526
OG0000294	Prag.g_01145	Syar.g_01527, Syar.g_03296
OG0000295	Prag.g_01165	Syar.g_01951, Syar.g_03208
OG0000296	Prag.g_01167	Syar.g_01953
OG0000297	Prag.g_01175	Syar.g_01967, Syar.g_03216
OG0000298	Prag.g_01176	Syar.g_01968, Syar.g_03215
OG0000299	Prag.g_01193	Syar.g_01704
OG0000300	Prag.g_01196	Syar.g_01646, Syar.g_01711
OG0000301	Prag.g_01197	Syar.g_01712
OG0000302	Prag.g_01199	Syar.g_01713
OG0000303	Prag.g_01206	Syar.g_03136, Syar.g_01723
OG0000304	Prag.g_01210	Syar.g_01728
OG0000305	Prag.g_01381	Syar.g_01933, Syar.g_03163
OG0000306	Prag.g_01384	Syar.g_01884, Syar.g_03140
OG0000307	Prag.g_01398	Syar.g_01452, Syar.g_03153
OG0000308	Prag.g_01399	Syar.g_01450
OG0000309	Prag.g_01403	Syar.g_01239
OG0000310	Prag.g_01473	Syar.g_02826
OG0000311	Prag.g_01475	Syar.g_02823
OG0000312	Prag.g_01478	Syar.g_00015, Syar.g_02818
OG0000313	Prag.g_01494	Syar.g_02804
OG0000314	Prag.g_01516	Syar.g_01403
OG0000315	Prag.g_01527	Syar.g_01393
OG0000316	Prag.g_01547	Syar.g_02885
OG0000317	Prag.g_01667	Syar.g_02926
OG0000318	Prag.g_01670	Syar.g_02930
OG0000319	Prag.g_01683	Syar.g_02954
OG0000320	Prag.g_01685	Syar.g_02956
OG0000321	Prag.g_01686	Syar.g_02957
OG0000322	Prag.g_01687	Syar.g_02958
OG0000323	Prag.g_01696	Syar.g_02973
OG0000324	Prag.g_01723	Syar.g_00350, Syar.g_03001
OG0000325	Prag.g_01733	Syar.g_03291, Syar.g_00148
OG0000326	Prag.g_01739	Syar.g_00139, Syar.g_03134
OG0000327	Prag.g_01763	Syar.g_01029
OG0000328	Prag.g_01764	Syar.g_01030
OG0000329	Prag.g_01781	Syar.g_03189, Syar.g_01048
OG0000330	Prag.g_01782	Syar.g_03190, Syar.g_01049
OG0000331	Prag.g_01783	Syar.g_01050, Syar.g_03191
OG0000332	Prag.g_01797	Syar.g_01064, Syar.g_03299
OG0000333	Prag.g_01799	Syar.g_01067
OG0000334	Prag.g_01807	Syar.g_01076
OG0000335	Prag.g_01812	Syar.g_01080
OG0000336	Prag.g_01816	Syar.g_01084
OG0000337	Prag.g_01832	Syar.g_00285
OG0000338	Prag.g_01833	Syar.g_03225, Syar.g_00287
OG0000339	Prag.g_01837	Syar.g_00658
OG0000340	Prag.g_01845	Syar.g_00247
OG0000341	Prag.g_01847	Syar.g_00249
OG0000342	Prag.g_01848	Syar.g_00250
OG0000343	Prag.g_01849	Syar.g_00256
OG0000344	Prag.g_01852	Syar.g_00260
OG0000345	Prag.g_01857	Syar.g_00612
OG0000346	Prag.g_01862	Syar.g_00607
OG0000347	Prag.g_01878	Syar.g_00558
OG0000348	Prag.g_01887	Syar.g_00544
OG0000349	Prag.g_01904	Syar.g_00521
OG0000350	Prag.g_01923	Syar.g_00132
OG0000351	Prag.g_01940	Syar.g_00442
OG0000352	Prag.g_01941	Syar.g_00443
OG0000353	Prag.g_01956	Syar.g_00469
OG0000354	Prag.g_01282	Syar.g_00487
OG0000355	Prag.g_00001	Syar.g_00471
OG0000356	Prag.g_00002	Syar.g_00472
OG0000357	Prag.g_00003	Syar.g_00473
OG0000358	Prag.g_00007	Syar.g_00477
OG0000359	Prag.g_00008	Syar.g_00479
OG0000360	Prag.g_00009	Syar.g_00480
OG0000361	Prag.g_00010	Syar.g_00481
OG0000362	Prag.g_00012	Syar.g_00483
OG0000363	Prag.g_00014	Syar.g_00484
OG0000364	Prag.g_00015	Syar.g_02928
OG0000365	Prag.g_00020	Syar.g_00493
OG0000366	Prag.g_00021	Syar.g_00494
OG0000367	Prag.g_00022	Syar.g_03262, Syar.g_00495
OG0000368	Prag.g_00024	Syar.g_00497
OG0000369	Prag.g_00025	Syar.g_00498
OG0000370	Prag.g_00026	Syar.g_00499
OG0000371	Prag.g_00032	Syar.g_00508
OG0000372	Prag.g_00035	Syar.g_00514
OG0000373	Prag.g_00036	Syar.g_00515
OG0000374	Prag.g_00037	Syar.g_00516
OG0000375	Prag.g_00040	Syar.g_00517
OG0000376	Prag.g_00042	Syar.g_00519
OG0000377	Prag.g_00045	Syar.g_00322
OG0000378	Prag.g_00047	Syar.g_00905
OG0000379	Prag.g_00050	Syar.g_00910
OG0000380	Prag.g_00060	Syar.g_03039
OG0000381	Prag.g_00064	Syar.g_03041
OG0000382	Prag.g_00075	Syar.g_03057
OG0000383	Prag.g_00077	Syar.g_03074
OG0000384	Prag.g_00078	Syar.g_03075
OG0000385	Prag.g_00079	Syar.g_03076
OG0000386	Prag.g_00080	Syar.g_03077
OG0000387	Prag.g_00092	Syar.g_03109
OG0000388	Prag.g_00095	Syar.g_03148, Syar.g_03113
OG0000389	Prag.g_00099	Syar.g_03118
OG0000390	Prag.g_00106	Syar.g_00033
OG0000391	Prag.g_00109	Syar.g_00038
OG0000392	Prag.g_00113	Syar.g_00045
OG0000393	Prag.g_00115	Syar.g_00048
OG0000394	Prag.g_00116	Syar.g_00049
OG0000395	Prag.g_00117	Syar.g_00050
OG0000396	Prag.g_00120	Syar.g_00053
OG0000397	Prag.g_00122	Syar.g_00055
OG0000398	Prag.g_00124	Syar.g_00060
OG0000399	Prag.g_00125	Syar.g_00061
OG0000400	Prag.g_00126	Syar.g_00062
OG0000401	Prag.g_00127	Syar.g_00063
OG0000402	Prag.g_00129	Syar.g_00065
OG0000403	Prag.g_00130	Syar.g_00066
OG0000404	Prag.g_00131	Syar.g_00067
OG0000405	Prag.g_00135	Syar.g_00076
OG0000406	Prag.g_00140	Syar.g_00080
OG0000407	Prag.g_00141	Syar.g_00081
OG0000408	Prag.g_00143	Syar.g_00083
OG0000409	Prag.g_00145	Syar.g_00085
OG0000410	Prag.g_00146	Syar.g_00086
OG0000411	Prag.g_00147	Syar.g_00087
OG0000412	Prag.g_00148	Syar.g_00088
OG0000413	Prag.g_00149	Syar.g_00090
OG0000414	Prag.g_00150	Syar.g_00091, Syar.g_03179
OG0000415	Prag.g_00151	Syar.g_00092
OG0000416	Prag.g_00152	Syar.g_00093
OG0000417	Prag.g_00153	Syar.g_00095
OG0000418	Prag.g_00158	Syar.g_00100
OG0000419	Prag.g_00160	Syar.g_00102
OG0000420	Prag.g_00161	Syar.g_00104
OG0000421	Prag.g_00166	Syar.g_00109
OG0000422	Prag.g_00167	Syar.g_00110
OG0000423	Prag.g_00168	Syar.g_00111
OG0000424	Prag.g_00169	Syar.g_00112
OG0000425	Prag.g_00170	Syar.g_00113
OG0000426	Prag.g_00171	Syar.g_00114
OG0000427	Prag.g_00172	Syar.g_00115
OG0000428	Prag.g_00174	Syar.g_00118
OG0000429	Prag.g_00175	Syar.g_00121
OG0000430	Prag.g_00176	Syar.g_00123
OG0000431	Prag.g_00178	Syar.g_00127
OG0000432	Prag.g_00181	Syar.g_01009
OG0000433	Prag.g_00182	Syar.g_01007
OG0000434	Prag.g_00183	Syar.g_01006
OG0000435	Prag.g_00184	Syar.g_01003
OG0000436	Prag.g_00189	Syar.g_00994
OG0000437	Prag.g_00190	Syar.g_00993
OG0000438	Prag.g_00191	Syar.g_00992
OG0000439	Prag.g_00193	Syar.g_00990
OG0000440	Prag.g_00194	Syar.g_00989
OG0000441	Prag.g_00197	Syar.g_00986
OG0000442	Prag.g_00198	Syar.g_00977
OG0000443	Prag.g_00199	Syar.g_00964
OG0000444	Prag.g_00204	Syar.g_00954
OG0000445	Prag.g_00205	Syar.g_00953
OG0000446	Prag.g_00206	Syar.g_00951
OG0000447	Prag.g_00207	Syar.g_00948
OG0000448	Prag.g_00208	Syar.g_00947
OG0000449	Prag.g_00209	Syar.g_00946
OG0000450	Prag.g_00210	Syar.g_00939
OG0000451	Prag.g_00211	Syar.g_00938
OG0000452	Prag.g_00214	Syar.g_00934
OG0000453	Prag.g_00215	Syar.g_00933
OG0000454	Prag.g_00216	Syar.g_00932
OG0000455	Prag.g_00217	Syar.g_00931
OG0000456	Prag.g_00218	Syar.g_00930
OG0000457	Prag.g_00219	Syar.g_00928
OG0000458	Prag.g_00220	Syar.g_00918
OG0000459	Prag.g_00221	Syar.g_00917
OG0000460	Prag.g_00228	Syar.g_03024
OG0000461	Prag.g_00235	Syar.g_00153
OG0000462	Prag.g_00237	Syar.g_00155
OG0000463	Prag.g_00238	Syar.g_00156
OG0000464	Prag.g_00239	Syar.g_00157
OG0000465	Prag.g_00240	Syar.g_00159
OG0000466	Prag.g_00243	Syar.g_00164
OG0000467	Prag.g_00244	Syar.g_00165
OG0000468	Prag.g_00245	Syar.g_00170
OG0000469	Prag.g_00253	Syar.g_00203
OG0000470	Prag.g_00255	Syar.g_00206
OG0000471	Prag.g_00256	Syar.g_00207
OG0000472	Prag.g_00257	Syar.g_00208
OG0000473	Prag.g_00259	Syar.g_00210
OG0000474	Prag.g_00260	Syar.g_00211
OG0000475	Prag.g_00261	Syar.g_00212
OG0000476	Prag.g_00262	Syar.g_00214
OG0000477	Prag.g_00266	Syar.g_00219
OG0000478	Prag.g_00267	Syar.g_00220
OG0000479	Prag.g_00268	Syar.g_00221
OG0000480	Prag.g_00273	Syar.g_00228
OG0000481	Prag.g_00275	Syar.g_00230
OG0000482	Prag.g_00276	Syar.g_00231
OG0000483	Prag.g_00279	Syar.g_00235
OG0000484	Prag.g_00280	Syar.g_00236
OG0000485	Prag.g_00281	Syar.g_00237
OG0000486	Prag.g_00282	Syar.g_00024, Syar.g_00238
OG0000487	Prag.g_00286	Syar.g_00245
OG0000488	Prag.g_00289	Syar.g_00853
OG0000489	Prag.g_00294	Syar.g_00833
OG0000490	Prag.g_00299	Syar.g_00823
OG0000491	Prag.g_00300	Syar.g_00822
OG0000492	Prag.g_00302	Syar.g_00727
OG0000493	Prag.g_00303	Syar.g_00726
OG0000494	Prag.g_00304	Syar.g_00725
OG0000495	Prag.g_00305	Syar.g_00724
OG0000496	Prag.g_00306	Syar.g_00723
OG0000497	Prag.g_00307	Syar.g_00722
OG0000498	Prag.g_00308	Syar.g_00721
OG0000499	Prag.g_00309	Syar.g_00720
OG0000500	Prag.g_00310	Syar.g_00719
OG0000501	Prag.g_00312	Syar.g_00716
OG0000502	Prag.g_00315	Syar.g_00275
OG0000503	Prag.g_00329	Syar.g_01118
OG0000504	Prag.g_00330	Syar.g_01120
OG0000505	Prag.g_00331	Syar.g_01121
OG0000506	Prag.g_00333	Syar.g_01123
OG0000507	Prag.g_00336	Syar.g_01129
OG0000508	Prag.g_00339	Syar.g_01141
OG0000509	Prag.g_00341	Syar.g_01143
OG0000510	Prag.g_00342	Syar.g_01144
OG0000511	Prag.g_00343	Syar.g_01145
OG0000512	Prag.g_00345	Syar.g_01147
OG0000513	Prag.g_00352	Syar.g_01166
OG0000514	Prag.g_00410	Syar.g_01169
OG0000515	Prag.g_00411	Syar.g_01170
OG0000516	Prag.g_00412	Syar.g_01172
OG0000517	Prag.g_00414	Syar.g_01176
OG0000518	Prag.g_00425	Syar.g_02868
OG0000519	Prag.g_00426	Syar.g_02867
OG0000520	Prag.g_00427	Syar.g_02866
OG0000521	Prag.g_00432	Syar.g_01419
OG0000522	Prag.g_00434	Syar.g_01421
OG0000523	Prag.g_00435	Syar.g_01422
OG0000524	Prag.g_00440	Syar.g_01244
OG0000525	Prag.g_00443	Syar.g_01263
OG0000526	Prag.g_00444	Syar.g_01266
OG0000527	Prag.g_00452	Syar.g_01271
OG0000528	Prag.g_00457	Syar.g_01466
OG0000529	Prag.g_00460	Syar.g_01470
OG0000530	Prag.g_00463	Syar.g_01473
OG0000531	Prag.g_00464	Syar.g_01474
OG0000532	Prag.g_00466	Syar.g_01477
OG0000533	Prag.g_00467	Syar.g_01479
OG0000534	Prag.g_00468	Syar.g_01480
OG0000535	Prag.g_00469	Syar.g_01481
OG0000536	Prag.g_00470	Syar.g_01482
OG0000537	Prag.g_00471	Syar.g_01483
OG0000538	Prag.g_00479	Syar.g_01496
OG0000539	Prag.g_00480	Syar.g_01497
OG0000540	Prag.g_00481	Syar.g_01498
OG0000541	Prag.g_00482	Syar.g_01499
OG0000542	Prag.g_00484	Syar.g_01502
OG0000543	Prag.g_00486	Syar.g_01504
OG0000544	Prag.g_00487	Syar.g_01505
OG0000545	Prag.g_00489	Syar.g_01507
OG0000546	Prag.g_00492	Syar.g_01509
OG0000547	Prag.g_00494	Syar.g_01511
OG0000548	Prag.g_00495	Syar.g_01512
OG0000549	Prag.g_00497	Syar.g_02693
OG0000550	Prag.g_00502	Syar.g_02689
OG0000551	Prag.g_00506	Syar.g_02684
OG0000552	Prag.g_00507	Syar.g_02683
OG0000553	Prag.g_00508	Syar.g_02679
OG0000554	Prag.g_00513	Syar.g_02352
OG0000555	Prag.g_00521	Syar.g_02336
OG0000556	Prag.g_00523	Syar.g_02332
OG0000557	Prag.g_00524	Syar.g_02328
OG0000558	Prag.g_00526	Syar.g_02326
OG0000559	Prag.g_00530	Syar.g_02322
OG0000560	Prag.g_00533	Syar.g_02320
