Orthogroup	Prag	Syaj
OG0000028	Prag.g_01270, Prag.g_00311	Syaj.g_02506
OG0000029	Prag.g_00748	Syaj.g_01229
OG0000030	Prag.g_01871	Syaj.g_02396, Syaj.g_02395
OG0000034	Prag.g_01365	Syaj.g_01959
OG0000035	Prag.g_01490, Prag.g_01488	Syaj.g_01378
OG0000037	Prag.g_00102	Syaj.g_01891, Syaj.g_02902
OG0000038	Prag.g_01911	Syaj.g_02115
OG0000039	Prag.g_00664	Syaj.g_00392, Syaj.g_00275
OG0000040	Prag.g_01133	Syaj.g_02208
OG0000041	Prag.g_01716	Syaj.g_01602, Syaj.g_00418
OG0000042	Prag.g_01868	Syaj.g_02399
OG0000047	Prag.g_00321	Syaj.g_02799
OG0000048	Prag.g_01658, Prag.g_00368	Syaj.g_02578
OG0000050	Prag.g_01071	Syaj.g_01584
OG0000051	Prag.g_01329	Syaj.g_02898
OG0000053	Prag.g_01510	Syaj.g_01409
OG0000054	Prag.g_00584	Syaj.g_01341
OG0000055	Prag.g_00787	Syaj.g_00394
OG0000057	Prag.g_00676	Syaj.g_00438
OG0000059	Prag.g_01755	Syaj.g_02686
OG0000060	Prag.g_00760	Syaj.g_01469, Syaj.g_00067, Syaj.g_00635
OG0000061	Prag.g_01153	Syaj.g_00302
OG0000062	Prag.g_01568	Syaj.g_01700
OG0000063	Prag.g_00033	Syaj.g_02302
OG0000065	Prag.g_00100	Syaj.g_01887, Syaj.g_00007
OG0000066	Prag.g_00518	Syaj.g_00157
OG0000067	Prag.g_00806	Syaj.g_01023
OG0000068	Prag.g_01389	Syaj.g_00059
OG0000070	Prag.g_00429	Syaj.g_01529
OG0000071	Prag.g_01355	Syaj.g_01511
OG0000072	Prag.g_00164	Syaj.g_01992
OG0000073	Prag.g_00478	Syaj.g_00093
OG0000075	Prag.g_01836	Syaj.g_02457
OG0000076	Prag.g_01861	Syaj.g_02417
OG0000077	Prag.g_00072	Syaj.g_01831
OG0000078	Prag.g_00232	Syaj.g_02880
OG0000081	Prag.g_00510	Syaj.g_02888
OG0000082	Prag.g_00563	Syaj.g_00229
OG0000084	Prag.g_01484	Syaj.g_01375
OG0000085	Prag.g_01662	Syaj.g_01707
OG0000086	Prag.g_00082	Syaj.g_01848
OG0000087	Prag.g_00132	Syaj.g_01945
OG0000088	Prag.g_00159	Syaj.g_01986
OG0000089	Prag.g_00350	Syaj.g_02829, Syaj.g_01915
OG0000090	Prag.g_00512	Syaj.g_00144
OG0000091	Prag.g_00620	Syaj.g_01275
OG0000093	Prag.g_00932	Syaj.g_01042
OG0000094	Prag.g_01017	Syaj.g_00804
OG0000095	Prag.g_01036	Syaj.g_00427
OG0000097	Prag.g_01194	Syaj.g_00589
OG0000098	Prag.g_01371	Syaj.g_02671
OG0000099	Prag.g_01424	Syaj.g_02503
OG0000100	Prag.g_01564	Syaj.g_00987
OG0000101	Prag.g_01804	Syaj.g_02738
OG0000102	Prag.g_01866	Syaj.g_02411
OG0000103	Prag.g_01945	Syaj.g_02243
OG0000104	Prag.g_01953	Syaj.g_02258
OG0000105	Prag.g_00265	Syaj.g_02573
OG0000106	Prag.g_00364	Syaj.g_01130
OG0000107	Prag.g_00378	Syaj.g_02637
OG0000108	Prag.g_00459	Syaj.g_00072
OG0000109	Prag.g_00473	Syaj.g_00087
OG0000110	Prag.g_00553	Syaj.g_00215
OG0000111	Prag.g_00677	Syaj.g_00437
OG0000112	Prag.g_00771	Syaj.g_00907
OG0000113	Prag.g_00828	Syaj.g_00992
OG0000114	Prag.g_00906	Syaj.g_00741
OG0000115	Prag.g_01097	Syaj.g_01402
OG0000116	Prag.g_01143	Syaj.g_00289
OG0000117	Prag.g_01298	Syaj.g_00637
OG0000118	Prag.g_01367	Syaj.g_00267
OG0000119	Prag.g_01385	Syaj.g_00317
OG0000120	Prag.g_01423	Syaj.g_02502
OG0000121	Prag.g_01492	Syaj.g_01383
OG0000122	Prag.g_01530	Syaj.g_01250
OG0000123	Prag.g_01811	Syaj.g_02745
OG0000124	Prag.g_01877	Syaj.g_02388
OG0000125	Prag.g_01913	Syaj.g_02117
OG0000126	Prag.g_01952	Syaj.g_02256
OG0000128	Prag.g_00011	Syaj.g_02274
OG0000129	Prag.g_00044	Syaj.g_02106
OG0000130	Prag.g_00063	Syaj.g_01818
OG0000131	Prag.g_00138	Syaj.g_01964
OG0000132	Prag.g_00157	Syaj.g_00688, Syaj.g_01984
OG0000133	Prag.g_00313	Syaj.g_00902
OG0000134	Prag.g_00351	Syaj.g_02832
OG0000135	Prag.g_00375	Syaj.g_02167
OG0000136	Prag.g_00420	Syaj.g_01550
OG0000137	Prag.g_00454	Syaj.g_01444
OG0000138	Prag.g_00474	Syaj.g_00088, Syaj.g_02631
OG0000139	Prag.g_00516	Syaj.g_00150
OG0000140	Prag.g_00517	Syaj.g_00153
OG0000141	Prag.g_00585	Syaj.g_01340
OG0000142	Prag.g_00613	Syaj.g_01283
OG0000143	Prag.g_00617	Syaj.g_01279
OG0000144	Prag.g_00630	Syaj.g_01151
OG0000145	Prag.g_00758	Syaj.g_00094
OG0000146	Prag.g_00772	Syaj.g_00908
OG0000147	Prag.g_00773	Syaj.g_00909
OG0000148	Prag.g_00822	Syaj.g_01003, Syaj.g_01002
OG0000149	Prag.g_00851	Syaj.g_00369
OG0000150	Prag.g_00859	Syaj.g_01339, Syaj.g_00154
OG0000151	Prag.g_00916	Syaj.g_01074
OG0000152	Prag.g_00964	Syaj.g_00898
OG0000153	Prag.g_00983	Syaj.g_00842
OG0000154	Prag.g_01010	Syaj.g_00814
OG0000155	Prag.g_01173	Syaj.g_00338
OG0000156	Prag.g_01342	Syaj.g_00282
OG0000157	Prag.g_01343	Syaj.g_00281
OG0000158	Prag.g_01425	Syaj.g_02445
OG0000160	Prag.g_01491	Syaj.g_01382
OG0000161	Prag.g_01497	Syaj.g_01389
OG0000162	Prag.g_01503	Syaj.g_01395
OG0000163	Prag.g_01537	Syaj.g_01639
OG0000164	Prag.g_01693	Syaj.g_01758
OG0000165	Prag.g_01700	Syaj.g_01582
OG0000166	Prag.g_01768	Syaj.g_02698
OG0000167	Prag.g_01834	Syaj.g_02460
OG0000168	Prag.g_01844	Syaj.g_02444
OG0000169	Prag.g_01854	Syaj.g_02431, Syaj.g_02429
OG0000170	Prag.g_01856	Syaj.g_02422
OG0000171	Prag.g_01876	Syaj.g_02389
OG0000172	Prag.g_01884	Syaj.g_02365
OG0000173	Prag.g_01899	Syaj.g_02321
OG0000174	Prag.g_01927	Syaj.g_02169
OG0000175	Prag.g_01937	Syaj.g_02229
OG0000176	Prag.g_00004	Syaj.g_02266
OG0000177	Prag.g_00005	Syaj.g_02267
OG0000178	Prag.g_00006	Syaj.g_02268
OG0000179	Prag.g_00016	Syaj.g_02283
OG0000180	Prag.g_00017	Syaj.g_02284
OG0000181	Prag.g_00018	Syaj.g_02285
OG0000182	Prag.g_00019	Syaj.g_02286
OG0000183	Prag.g_00023	Syaj.g_02290
OG0000184	Prag.g_00046	Syaj.g_02098
OG0000185	Prag.g_00049	Syaj.g_02087
OG0000186	Prag.g_00058	Syaj.g_01812
OG0000187	Prag.g_00059	Syaj.g_01814
OG0000188	Prag.g_00076	Syaj.g_01837
OG0000189	Prag.g_00089	Syaj.g_01874
OG0000190	Prag.g_00090	Syaj.g_01876
OG0000191	Prag.g_00110	Syaj.g_01910
OG0000192	Prag.g_00114	Syaj.g_01919
OG0000193	Prag.g_00139	Syaj.g_01965
OG0000194	Prag.g_00142	Syaj.g_01968
OG0000195	Prag.g_00144	Syaj.g_01971
OG0000196	Prag.g_00154	Syaj.g_01981
OG0000197	Prag.g_00155	Syaj.g_01982
OG0000198	Prag.g_00156	Syaj.g_01983
OG0000199	Prag.g_00163	Syaj.g_01991
OG0000200	Prag.g_00177	Syaj.g_02008
OG0000201	Prag.g_00185	Syaj.g_02024
OG0000202	Prag.g_00186	Syaj.g_02025
OG0000203	Prag.g_00187	Syaj.g_02026
OG0000204	Prag.g_00188	Syaj.g_02027
OG0000205	Prag.g_00195	Syaj.g_02035
OG0000206	Prag.g_00200	Syaj.g_02043
OG0000207	Prag.g_00202	Syaj.g_02045
OG0000208	Prag.g_00203	Syaj.g_02046
OG0000209	Prag.g_00212	Syaj.g_02070
OG0000210	Prag.g_00213	Syaj.g_02071
OG0000211	Prag.g_00226	Syaj.g_02856
OG0000212	Prag.g_00233	Syaj.g_02881
OG0000213	Prag.g_00249	Syaj.g_02601
OG0000214	Prag.g_00258	Syaj.g_02582
OG0000215	Prag.g_00283	Syaj.g_02551
OG0000216	Prag.g_00285	Syaj.g_02547
OG0000217	Prag.g_00288	Syaj.g_02543
OG0000218	Prag.g_00290	Syaj.g_02541
OG0000219	Prag.g_00291	Syaj.g_02540
OG0000220	Prag.g_00292	Syaj.g_02539
OG0000221	Prag.g_00293	Syaj.g_02530
OG0000222	Prag.g_00301	Syaj.g_02516
OG0000223	Prag.g_00314	Syaj.g_02494
OG0000224	Prag.g_00316	Syaj.g_02487
OG0000225	Prag.g_00340	Syaj.g_02821
OG0000226	Prag.g_00344	Syaj.g_02825
OG0000227	Prag.g_00346	Syaj.g_02827
OG0000228	Prag.g_00349	Syaj.g_02828
OG0000229	Prag.g_00415	Syaj.g_01555
OG0000230	Prag.g_00417	Syaj.g_01553
OG0000231	Prag.g_00428	Syaj.g_01541
OG0000232	Prag.g_00437	Syaj.g_01497
OG0000233	Prag.g_00442	Syaj.g_01481
OG0000234	Prag.g_00455	Syaj.g_01442
OG0000235	Prag.g_00458	Syaj.g_00071
OG0000236	Prag.g_00472	Syaj.g_00086
OG0000237	Prag.g_00485	Syaj.g_00103
OG0000238	Prag.g_00491	Syaj.g_00108
OG0000239	Prag.g_00504	Syaj.g_00125
OG0000240	Prag.g_00505	Syaj.g_00126
OG0000241	Prag.g_00509	Syaj.g_01291
OG0000242	Prag.g_00511	Syaj.g_00142
OG0000243	Prag.g_00522	Syaj.g_00164
OG0000244	Prag.g_00525	Syaj.g_00180
OG0000245	Prag.g_00527	Syaj.g_00182
OG0000246	Prag.g_00531	Syaj.g_00186
OG0000247	Prag.g_00541	Syaj.g_00197
OG0000248	Prag.g_00543	Syaj.g_00200
OG0000249	Prag.g_00545	Syaj.g_00202
OG0000250	Prag.g_00550	Syaj.g_00211
OG0000251	Prag.g_00569	Syaj.g_00237
OG0000252	Prag.g_00572	Syaj.g_00243
OG0000253	Prag.g_00573	Syaj.g_00245
OG0000254	Prag.g_00589	Syaj.g_01335
OG0000255	Prag.g_00595	Syaj.g_01315
OG0000256	Prag.g_00605	Syaj.g_01297
OG0000257	Prag.g_00608	Syaj.g_01292
OG0000258	Prag.g_00621	Syaj.g_01274
OG0000259	Prag.g_00638	Syaj.g_00707
OG0000260	Prag.g_00641	Syaj.g_00712
OG0000261	Prag.g_00643	Syaj.g_00715
OG0000262	Prag.g_00647	Syaj.g_00720
OG0000263	Prag.g_00659	Syaj.g_00605
OG0000264	Prag.g_00669	Syaj.g_00485
OG0000265	Prag.g_00692	Syaj.g_00510
OG0000266	Prag.g_00702	Syaj.g_00946
OG0000267	Prag.g_00713	Syaj.g_00770
OG0000268	Prag.g_00714	Syaj.g_00771
OG0000269	Prag.g_00801	Syaj.g_01031
OG0000270	Prag.g_00804	Syaj.g_01025
OG0000271	Prag.g_00812	Syaj.g_01017
OG0000272	Prag.g_00813	Syaj.g_01016
OG0000273	Prag.g_00835	Syaj.g_00389
OG0000274	Prag.g_00836	Syaj.g_00388
OG0000275	Prag.g_00838	Syaj.g_00384
OG0000276	Prag.g_00843	Syaj.g_00377
OG0000277	Prag.g_00844	Syaj.g_00376
OG0000278	Prag.g_00847	Syaj.g_00373
OG0000279	Prag.g_00854	Syaj.g_00357
OG0000280	Prag.g_00855	Syaj.g_00348
OG0000281	Prag.g_00860	Syaj.g_02670
OG0000282	Prag.g_00908	Syaj.g_00743
OG0000283	Prag.g_00941	Syaj.g_00790
OG0000284	Prag.g_00946	Syaj.g_00930
OG0000285	Prag.g_00951	Syaj.g_00917
OG0000286	Prag.g_00963	Syaj.g_00899
OG0000287	Prag.g_00980	Syaj.g_00849
OG0000288	Prag.g_01009	Syaj.g_00815
OG0000289	Prag.g_01020	Syaj.g_00800
OG0000290	Prag.g_01033	Syaj.g_00424
OG0000291	Prag.g_01035	Syaj.g_00426
OG0000292	Prag.g_01085	Syaj.g_02255
OG0000293	Prag.g_01144	Syaj.g_00290
OG0000294	Prag.g_01145	Syaj.g_00291
OG0000295	Prag.g_01165	Syaj.g_00330
OG0000296	Prag.g_01167	Syaj.g_00332
OG0000297	Prag.g_01175	Syaj.g_00639
OG0000298	Prag.g_01176	Syaj.g_00638
OG0000299	Prag.g_01193	Syaj.g_00592
OG0000300	Prag.g_01196	Syaj.g_00586
OG0000301	Prag.g_01197	Syaj.g_00585
OG0000302	Prag.g_01199	Syaj.g_00582
OG0000303	Prag.g_01206	Syaj.g_00572
OG0000304	Prag.g_01210	Syaj.g_00566
OG0000305	Prag.g_01381	Syaj.g_00429
OG0000306	Prag.g_01384	Syaj.g_01126
OG0000307	Prag.g_01398	Syaj.g_00051
OG0000308	Prag.g_01399	Syaj.g_00049
OG0000309	Prag.g_01403	Syaj.g_00044
OG0000310	Prag.g_01473	Syaj.g_01358
OG0000311	Prag.g_01475	Syaj.g_01362
OG0000312	Prag.g_01478	Syaj.g_01368
OG0000313	Prag.g_01494	Syaj.g_01386
OG0000314	Prag.g_01516	Syaj.g_01420
OG0000315	Prag.g_01527	Syaj.g_01430
OG0000316	Prag.g_01547	Syaj.g_01664
OG0000317	Prag.g_01667	Syaj.g_01715
OG0000318	Prag.g_01670	Syaj.g_01722
OG0000319	Prag.g_01683	Syaj.g_01741
OG0000320	Prag.g_01685	Syaj.g_01743
OG0000321	Prag.g_01686	Syaj.g_01744
OG0000322	Prag.g_01687	Syaj.g_01745
OG0000323	Prag.g_01696	Syaj.g_01760
OG0000324	Prag.g_01723	Syaj.g_01609
OG0000325	Prag.g_01733	Syaj.g_02638
OG0000326	Prag.g_01739	Syaj.g_02645
OG0000327	Prag.g_01763	Syaj.g_02693
OG0000328	Prag.g_01764	Syaj.g_02694
OG0000329	Prag.g_01781	Syaj.g_02712
OG0000330	Prag.g_01782	Syaj.g_02713
OG0000331	Prag.g_01783	Syaj.g_02714
OG0000332	Prag.g_01797	Syaj.g_02729
OG0000333	Prag.g_01799	Syaj.g_02732
OG0000334	Prag.g_01807	Syaj.g_02741
OG0000335	Prag.g_01812	Syaj.g_02746
OG0000336	Prag.g_01816	Syaj.g_02750
OG0000337	Prag.g_01832	Syaj.g_02466
OG0000338	Prag.g_01833	Syaj.g_02462
OG0000339	Prag.g_01837	Syaj.g_02455
OG0000340	Prag.g_01845	Syaj.g_02443
OG0000341	Prag.g_01847	Syaj.g_02441
OG0000342	Prag.g_01848	Syaj.g_02440
OG0000343	Prag.g_01849	Syaj.g_02437
OG0000344	Prag.g_01852	Syaj.g_02433
OG0000345	Prag.g_01857	Syaj.g_02421
OG0000346	Prag.g_01862	Syaj.g_02416
OG0000347	Prag.g_01878	Syaj.g_02383
OG0000348	Prag.g_01887	Syaj.g_02333
OG0000349	Prag.g_01904	Syaj.g_02314
OG0000350	Prag.g_01923	Syaj.g_02652
OG0000351	Prag.g_01940	Syaj.g_02234
OG0000352	Prag.g_01941	Syaj.g_02235
OG0000353	Prag.g_01956	Syaj.g_02261
OG0000354	Prag.g_01282	Syaj.g_02281
OG0000355	Prag.g_00001	Syaj.g_02263
OG0000356	Prag.g_00002	Syaj.g_02264
OG0000357	Prag.g_00003	Syaj.g_02265
OG0000358	Prag.g_00007	Syaj.g_02269
OG0000359	Prag.g_00008	Syaj.g_02271
OG0000360	Prag.g_00009	Syaj.g_02272
OG0000361	Prag.g_00010	Syaj.g_02273
OG0000362	Prag.g_00012	Syaj.g_02275
OG0000363	Prag.g_00014	Syaj.g_02277
OG0000364	Prag.g_00015	Syaj.g_02278
OG0000365	Prag.g_00020	Syaj.g_02287
OG0000366	Prag.g_00021	Syaj.g_02288
OG0000367	Prag.g_00022	Syaj.g_02289
OG0000368	Prag.g_00024	Syaj.g_02291
OG0000369	Prag.g_00025	Syaj.g_02292
OG0000370	Prag.g_00026	Syaj.g_02293
OG0000371	Prag.g_00032	Syaj.g_02301
OG0000372	Prag.g_00035	Syaj.g_02307
OG0000373	Prag.g_00036	Syaj.g_02308
OG0000374	Prag.g_00037	Syaj.g_02309
OG0000375	Prag.g_00040	Syaj.g_02310
OG0000376	Prag.g_00042	Syaj.g_02312
OG0000377	Prag.g_00045	Syaj.g_02105
OG0000378	Prag.g_00047	Syaj.g_02091
OG0000379	Prag.g_00050	Syaj.g_02086
OG0000380	Prag.g_00060	Syaj.g_01815
OG0000381	Prag.g_00064	Syaj.g_01819
OG0000382	Prag.g_00075	Syaj.g_01836
OG0000383	Prag.g_00077	Syaj.g_01839
OG0000384	Prag.g_00078	Syaj.g_01840
OG0000385	Prag.g_00079	Syaj.g_01841
OG0000386	Prag.g_00080	Syaj.g_01842
OG0000387	Prag.g_00092	Syaj.g_01878
OG0000388	Prag.g_00095	Syaj.g_01882
OG0000389	Prag.g_00099	Syaj.g_01886
OG0000390	Prag.g_00106	Syaj.g_01904
OG0000391	Prag.g_00109	Syaj.g_01909
OG0000392	Prag.g_00113	Syaj.g_01918
OG0000393	Prag.g_00115	Syaj.g_01922
OG0000394	Prag.g_00116	Syaj.g_01923
OG0000395	Prag.g_00117	Syaj.g_01924
OG0000396	Prag.g_00120	Syaj.g_01928
OG0000397	Prag.g_00122	Syaj.g_01930
OG0000398	Prag.g_00124	Syaj.g_01935
OG0000399	Prag.g_00125	Syaj.g_01936
OG0000400	Prag.g_00126	Syaj.g_01937
OG0000401	Prag.g_00127	Syaj.g_01938
OG0000402	Prag.g_00129	Syaj.g_01940
OG0000403	Prag.g_00130	Syaj.g_01941
OG0000404	Prag.g_00131	Syaj.g_01943
OG0000405	Prag.g_00135	Syaj.g_01961
OG0000406	Prag.g_00140	Syaj.g_01966
OG0000407	Prag.g_00141	Syaj.g_01967
OG0000408	Prag.g_00143	Syaj.g_01970
OG0000409	Prag.g_00145	Syaj.g_01972
OG0000410	Prag.g_00146	Syaj.g_01973
OG0000411	Prag.g_00147	Syaj.g_01974
OG0000412	Prag.g_00148	Syaj.g_01975
OG0000413	Prag.g_00149	Syaj.g_01977
OG0000415	Prag.g_00151	Syaj.g_01978
OG0000416	Prag.g_00152	Syaj.g_01979
OG0000417	Prag.g_00153	Syaj.g_01980
OG0000418	Prag.g_00158	Syaj.g_01985
OG0000419	Prag.g_00160	Syaj.g_01987
OG0000420	Prag.g_00161	Syaj.g_01989
OG0000421	Prag.g_00166	Syaj.g_01994
OG0000422	Prag.g_00167	Syaj.g_01995
OG0000423	Prag.g_00168	Syaj.g_01996
OG0000424	Prag.g_00169	Syaj.g_01997
OG0000425	Prag.g_00170	Syaj.g_01998
OG0000426	Prag.g_00171	Syaj.g_01999
OG0000427	Prag.g_00172	Syaj.g_02000
OG0000428	Prag.g_00174	Syaj.g_02003
OG0000429	Prag.g_00175	Syaj.g_02005
OG0000430	Prag.g_00176	Syaj.g_02007
OG0000431	Prag.g_00178	Syaj.g_02010
OG0000432	Prag.g_00181	Syaj.g_02017
OG0000433	Prag.g_00182	Syaj.g_02020
OG0000434	Prag.g_00183	Syaj.g_02021
OG0000435	Prag.g_00184	Syaj.g_02023
OG0000436	Prag.g_00189	Syaj.g_02029
OG0000437	Prag.g_00190	Syaj.g_02030
OG0000438	Prag.g_00191	Syaj.g_02031
OG0000439	Prag.g_00193	Syaj.g_02033
OG0000440	Prag.g_00194	Syaj.g_02034
OG0000441	Prag.g_00197	Syaj.g_02038
OG0000442	Prag.g_00198	Syaj.g_02039
OG0000443	Prag.g_00199	Syaj.g_02040
OG0000444	Prag.g_00204	Syaj.g_02052
OG0000445	Prag.g_00205	Syaj.g_02053
OG0000446	Prag.g_00206	Syaj.g_02055
OG0000447	Prag.g_00207	Syaj.g_02058
OG0000448	Prag.g_00208	Syaj.g_02059
OG0000449	Prag.g_00209	Syaj.g_02060
OG0000450	Prag.g_00210	Syaj.g_02067
OG0000451	Prag.g_00211	Syaj.g_02068
OG0000452	Prag.g_00214	Syaj.g_02072
OG0000453	Prag.g_00215	Syaj.g_02073
OG0000454	Prag.g_00216	Syaj.g_02074
OG0000455	Prag.g_00217	Syaj.g_02075
OG0000456	Prag.g_00218	Syaj.g_02076
OG0000457	Prag.g_00219	Syaj.g_02078
OG0000458	Prag.g_00220	Syaj.g_02079
OG0000459	Prag.g_00221	Syaj.g_02080
OG0000460	Prag.g_00228	Syaj.g_02858
OG0000461	Prag.g_00235	Syaj.g_02623
OG0000462	Prag.g_00237	Syaj.g_02620
OG0000463	Prag.g_00238	Syaj.g_02619
OG0000464	Prag.g_00239	Syaj.g_02618
OG0000465	Prag.g_00240	Syaj.g_02617
OG0000466	Prag.g_00243	Syaj.g_02612
OG0000467	Prag.g_00244	Syaj.g_02610
OG0000468	Prag.g_00245	Syaj.g_02605
OG0000469	Prag.g_00253	Syaj.g_02590
OG0000470	Prag.g_00255	Syaj.g_02586
OG0000471	Prag.g_00256	Syaj.g_02585
OG0000472	Prag.g_00257	Syaj.g_02583
OG0000473	Prag.g_00259	Syaj.g_02581
OG0000474	Prag.g_00260	Syaj.g_02580
OG0000475	Prag.g_00261	Syaj.g_02579
OG0000476	Prag.g_00262	Syaj.g_02577
OG0000477	Prag.g_00266	Syaj.g_02571
OG0000478	Prag.g_00267	Syaj.g_02570
OG0000479	Prag.g_00268	Syaj.g_02569
OG0000480	Prag.g_00273	Syaj.g_02562
OG0000481	Prag.g_00275	Syaj.g_02560
OG0000482	Prag.g_00276	Syaj.g_02559
OG0000483	Prag.g_00279	Syaj.g_02555
OG0000484	Prag.g_00280	Syaj.g_02554
OG0000485	Prag.g_00281	Syaj.g_02553
OG0000486	Prag.g_00282	Syaj.g_02552
OG0000487	Prag.g_00286	Syaj.g_02546
OG0000488	Prag.g_00289	Syaj.g_02542
OG0000489	Prag.g_00294	Syaj.g_02529
OG0000490	Prag.g_00299	Syaj.g_02519
OG0000491	Prag.g_00300	Syaj.g_02517
OG0000492	Prag.g_00302	Syaj.g_02515
OG0000493	Prag.g_00303	Syaj.g_02514
OG0000494	Prag.g_00304	Syaj.g_02513
OG0000495	Prag.g_00305	Syaj.g_02512
OG0000496	Prag.g_00306	Syaj.g_02511
OG0000497	Prag.g_00307	Syaj.g_02510
OG0000498	Prag.g_00308	Syaj.g_02509
OG0000499	Prag.g_00309	Syaj.g_02508
OG0000500	Prag.g_00310	Syaj.g_02507
OG0000501	Prag.g_00312	Syaj.g_02504
OG0000502	Prag.g_00315	Syaj.g_02492
OG0000503	Prag.g_00329	Syaj.g_02805
OG0000504	Prag.g_00330	Syaj.g_02807
OG0000505	Prag.g_00331	Syaj.g_02808
OG0000506	Prag.g_00333	Syaj.g_02810
OG0000507	Prag.g_00336	Syaj.g_02816
OG0000508	Prag.g_00339	Syaj.g_02820
OG0000509	Prag.g_00341	Syaj.g_02822
OG0000510	Prag.g_00342	Syaj.g_02823
OG0000511	Prag.g_00343	Syaj.g_02824
OG0000512	Prag.g_00345	Syaj.g_02826
OG0000513	Prag.g_00352	Syaj.g_02833
OG0000514	Prag.g_00410	Syaj.g_02839
OG0000515	Prag.g_00411	Syaj.g_02840
OG0000516	Prag.g_00412	Syaj.g_01561
OG0000517	Prag.g_00414	Syaj.g_01556
OG0000518	Prag.g_00425	Syaj.g_01544
OG0000519	Prag.g_00426	Syaj.g_01543
OG0000520	Prag.g_00427	Syaj.g_01542
OG0000521	Prag.g_00432	Syaj.g_00271
OG0000522	Prag.g_00434	Syaj.g_00273
OG0000523	Prag.g_00435	Syaj.g_00274
OG0000524	Prag.g_00440	Syaj.g_01485
OG0000525	Prag.g_00443	Syaj.g_01454
OG0000526	Prag.g_00444	Syaj.g_01451
OG0000527	Prag.g_00452	Syaj.g_01446
OG0000528	Prag.g_00457	Syaj.g_00065
OG0000529	Prag.g_00460	Syaj.g_00073
OG0000530	Prag.g_00463	Syaj.g_00076
OG0000531	Prag.g_00464	Syaj.g_00077
OG0000532	Prag.g_00466	Syaj.g_00080
OG0000533	Prag.g_00467	Syaj.g_00081
OG0000534	Prag.g_00468	Syaj.g_00082
OG0000535	Prag.g_00469	Syaj.g_00083
OG0000536	Prag.g_00470	Syaj.g_00084
OG0000537	Prag.g_00471	Syaj.g_00085
OG0000538	Prag.g_00479	Syaj.g_00096
OG0000539	Prag.g_00480	Syaj.g_00097
OG0000540	Prag.g_00481	Syaj.g_00098
OG0000541	Prag.g_00482	Syaj.g_00099
OG0000542	Prag.g_00484	Syaj.g_00102
OG0000543	Prag.g_00486	Syaj.g_00104
OG0000544	Prag.g_00487	Syaj.g_00105
OG0000545	Prag.g_00489	Syaj.g_00107
OG0000546	Prag.g_00492	Syaj.g_00109
OG0000547	Prag.g_00494	Syaj.g_00111
OG0000548	Prag.g_00495	Syaj.g_00112
OG0000549	Prag.g_00497	Syaj.g_00118
OG0000550	Prag.g_00502	Syaj.g_00123
OG0000551	Prag.g_00506	Syaj.g_00128
OG0000552	Prag.g_00507	Syaj.g_00129
OG0000553	Prag.g_00508	Syaj.g_00133
OG0000554	Prag.g_00513	Syaj.g_00145
OG0000555	Prag.g_00521	Syaj.g_00163
OG0000556	Prag.g_00523	Syaj.g_00167
OG0000557	Prag.g_00524	Syaj.g_00178
OG0000558	Prag.g_00526	Syaj.g_00181
OG0000559	Prag.g_00530	Syaj.g_00185
OG0000560	Prag.g_00533	Syaj.g_00188
OG0000561	Prag.g_00534	Syaj.g_00189
