Orthogroup	Prag	Syat
OG0000037	Prag.g_00102	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Prag.g_01911	Syat.g_02688, Syat.g_02686
OG0000039	Prag.g_00664	Syat.g_01278
OG0000040	Prag.g_01133	Syat.g_02551
OG0000041	Prag.g_01716	Syat.g_00785, Syat.g_03006
OG0000042	Prag.g_01868	Syat.g_00223, Syat.g_02222
OG0000048	Prag.g_01658, Prag.g_00368	Syat.g_02046
OG0000053	Prag.g_01510	Syat.g_01330
OG0000054	Prag.g_00584	Syat.g_00987, Syat.g_03390
OG0000055	Prag.g_00787	Syat.g_00693
OG0000057	Prag.g_00676	Syat.g_00817, Syat.g_02055
OG0000059	Prag.g_01755	Syat.g_01832
OG0000060	Prag.g_00760	Syat.g_01384, Syat.g_01383, Syat.g_01047
OG0000061	Prag.g_01153	Syat.g_03260
OG0000062	Prag.g_01568	Syat.g_03107
OG0000063	Prag.g_00033	Syat.g_02303
OG0000065	Prag.g_00100	Syat.g_01571
OG0000066	Prag.g_00518	Syat.g_03283
OG0000067	Prag.g_00806	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Prag.g_01389	Syat.g_00085, Syat.g_01295
OG0000069	Prag.g_01601	Syat.g_00090, Syat.g_00879
OG0000070	Prag.g_00429	Syat.g_01032, Syat.g_01040
OG0000071	Prag.g_01355	Syat.g_01153
OG0000072	Prag.g_00164	Syat.g_02856, Syat.g_01597
OG0000073	Prag.g_00478	Syat.g_03201
OG0000075	Prag.g_01836	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prag.g_01861	Syat.g_02206
OG0000077	Prag.g_00072	Syat.g_01481
OG0000078	Prag.g_00232	Syat.g_00184
OG0000081	Prag.g_00510	Syat.g_00980
OG0000082	Prag.g_00563	Syat.g_00035
OG0000085	Prag.g_01662	Syat.g_03113
OG0000086	Prag.g_00082	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prag.g_00132	Syat.g_02912
OG0000088	Prag.g_00159	Syat.g_02862
OG0000089	Prag.g_00350	Syat.g_02953
OG0000090	Prag.g_00512	Syat.g_03270
OG0000091	Prag.g_00620	Syat.g_00939, Syat.g_00862
OG0000094	Prag.g_01017	Syat.g_00698, Syat.g_01034
OG0000095	Prag.g_01036	Syat.g_00808
OG0000097	Prag.g_01194	Syat.g_00907, Syat.g_00535
OG0000098	Prag.g_01371	Syat.g_03281
OG0000099	Prag.g_01424	Syat.g_02130
OG0000100	Prag.g_01564	Syat.g_00517
OG0000101	Prag.g_01804	Syat.g_01661
OG0000102	Prag.g_01866	Syat.g_00974
OG0000103	Prag.g_01945	Syat.g_02399
OG0000104	Prag.g_01953	Syat.g_02385
OG0000105	Prag.g_00265	Syat.g_02052
OG0000106	Prag.g_00364	Syat.g_00957
OG0000107	Prag.g_00378	Syat.g_02009, Syat.g_01862
OG0000108	Prag.g_00459	Syat.g_03170
OG0000109	Prag.g_00473	Syat.g_03187
OG0000110	Prag.g_00553	Syat.g_00049
OG0000111	Prag.g_00677	Syat.g_00816
OG0000112	Prag.g_00771	Syat.g_00593
OG0000113	Prag.g_00828	Syat.g_00509
OG0000114	Prag.g_00906	Syat.g_00426
OG0000115	Prag.g_01097	Syat.g_01328
OG0000116	Prag.g_01143	Syat.g_02641
OG0000117	Prag.g_01298	Syat.g_00224
OG0000118	Prag.g_01367	Syat.g_01168
OG0000119	Prag.g_01385	Syat.g_00309
OG0000120	Prag.g_01423	Syat.g_02132
OG0000121	Prag.g_01492	Syat.g_01223
OG0000123	Prag.g_01811	Syat.g_01653
OG0000124	Prag.g_01877	Syat.g_02231
OG0000125	Prag.g_01913	Syat.g_02684
OG0000126	Prag.g_01952	Syat.g_00976
OG0000128	Prag.g_00011	Syat.g_02331
OG0000129	Prag.g_00044	Syat.g_02693, Syat.g_02694
OG0000130	Prag.g_00063	Syat.g_01469
OG0000131	Prag.g_00138	Syat.g_02898
OG0000132	Prag.g_00157	Syat.g_02864
OG0000133	Prag.g_00313	Syat.g_00588
OG0000134	Prag.g_00351	Syat.g_02956
OG0000135	Prag.g_00375	Syat.g_02501
OG0000136	Prag.g_00420	Syat.g_01292
OG0000137	Prag.g_00454	Syat.g_01371
OG0000138	Prag.g_00474	Syat.g_03188
OG0000139	Prag.g_00516	Syat.g_03276
OG0000140	Prag.g_00517	Syat.g_03280
OG0000141	Prag.g_00585	Syat.g_03398
OG0000142	Prag.g_00613	Syat.g_00117
OG0000143	Prag.g_00617	Syat.g_00130
OG0000144	Prag.g_00630	Syat.g_00369
OG0000145	Prag.g_00758	Syat.g_03202
OG0000146	Prag.g_00772	Syat.g_00594
OG0000147	Prag.g_00773	Syat.g_00595
OG0000148	Prag.g_00822	Syat.g_00503
OG0000149	Prag.g_00851	Syat.g_00747
OG0000150	Prag.g_00859	Syat.g_03399
OG0000151	Prag.g_00916	Syat.g_00801, Syat.g_00440
OG0000152	Prag.g_00964	Syat.g_00578
OG0000153	Prag.g_00983	Syat.g_00542
OG0000154	Prag.g_01010	Syat.g_00708
OG0000155	Prag.g_01173	Syat.g_00287
OG0000156	Prag.g_01342	Syat.g_03228
OG0000157	Prag.g_01343	Syat.g_02012, Syat.g_03227
OG0000158	Prag.g_01425	Syat.g_02163
OG0000160	Prag.g_01491	Syat.g_01224
OG0000161	Prag.g_01497	Syat.g_01180
OG0000162	Prag.g_01503	Syat.g_01281
OG0000163	Prag.g_01537	Syat.g_02979
OG0000164	Prag.g_01693	Syat.g_03040
OG0000165	Prag.g_01700	Syat.g_03033
OG0000166	Prag.g_01768	Syat.g_01822
OG0000167	Prag.g_01834	Syat.g_02148
OG0000168	Prag.g_01844	Syat.g_02164
OG0000169	Prag.g_01854	Syat.g_02192
OG0000170	Prag.g_01856	Syat.g_02201
OG0000171	Prag.g_01876	Syat.g_02230
OG0000172	Prag.g_01884	Syat.g_02260
OG0000173	Prag.g_01899	Syat.g_02284
OG0000174	Prag.g_01927	Syat.g_02504
OG0000175	Prag.g_01937	Syat.g_02416
OG0000176	Prag.g_00004	Syat.g_02372
OG0000177	Prag.g_00005	Syat.g_02338
OG0000178	Prag.g_00006	Syat.g_02337
OG0000179	Prag.g_00016	Syat.g_02322
OG0000180	Prag.g_00017	Syat.g_02321
OG0000181	Prag.g_00018	Syat.g_02320
OG0000182	Prag.g_00019	Syat.g_02319
OG0000183	Prag.g_00023	Syat.g_02315
OG0000184	Prag.g_00046	Syat.g_02704
OG0000185	Prag.g_00049	Syat.g_02719
OG0000186	Prag.g_00058	Syat.g_01463
OG0000187	Prag.g_00059	Syat.g_01467
OG0000188	Prag.g_00076	Syat.g_01489
OG0000189	Prag.g_00089	Syat.g_00386, Syat.g_01557
OG0000190	Prag.g_00090	Syat.g_00330
OG0000191	Prag.g_00110	Syat.g_03344, Syat.g_02939
OG0000192	Prag.g_00114	Syat.g_02933
OG0000193	Prag.g_00139	Syat.g_02897
OG0000194	Prag.g_00142	Syat.g_02894
OG0000195	Prag.g_00144	Syat.g_02892
OG0000196	Prag.g_00154	Syat.g_02867
OG0000197	Prag.g_00155	Syat.g_02866
OG0000198	Prag.g_00156	Syat.g_02865
OG0000199	Prag.g_00163	Syat.g_02857
OG0000200	Prag.g_00177	Syat.g_02840
OG0000201	Prag.g_00185	Syat.g_02821
OG0000202	Prag.g_00186	Syat.g_02820
OG0000203	Prag.g_00187	Syat.g_02819
OG0000204	Prag.g_00188	Syat.g_02818
OG0000205	Prag.g_00195	Syat.g_02809
OG0000206	Prag.g_00200	Syat.g_02785
OG0000207	Prag.g_00202	Syat.g_02778
OG0000208	Prag.g_00203	Syat.g_02777
OG0000209	Prag.g_00212	Syat.g_02735
OG0000210	Prag.g_00213	Syat.g_02734
OG0000211	Prag.g_00226	Syat.g_01452
OG0000212	Prag.g_00233	Syat.g_01442
OG0000213	Prag.g_00249	Syat.g_01889
OG0000214	Prag.g_00258	Syat.g_02042
OG0000215	Prag.g_00283	Syat.g_02075
OG0000216	Prag.g_00285	Syat.g_02079
OG0000217	Prag.g_00288	Syat.g_02085
OG0000218	Prag.g_00290	Syat.g_02087
OG0000219	Prag.g_00291	Syat.g_02088
OG0000220	Prag.g_00292	Syat.g_02089
OG0000221	Prag.g_00293	Syat.g_02095
OG0000222	Prag.g_00301	Syat.g_02109
OG0000223	Prag.g_00314	Syat.g_02570
OG0000224	Prag.g_00316	Syat.g_02139
OG0000225	Prag.g_00340	Syat.g_01595
OG0000226	Prag.g_00344	Syat.g_01588
OG0000228	Prag.g_00349	Syat.g_02952
OG0000229	Prag.g_00415	Syat.g_02970
OG0000230	Prag.g_00417	Syat.g_02972
OG0000231	Prag.g_00428	Syat.g_01283
OG0000232	Prag.g_00437	Syat.g_01313
OG0000233	Prag.g_00442	Syat.g_01407
OG0000234	Prag.g_00455	Syat.g_01369
OG0000235	Prag.g_00458	Syat.g_03169
OG0000236	Prag.g_00472	Syat.g_03186
OG0000237	Prag.g_00485	Syat.g_03214
OG0000238	Prag.g_00491	Syat.g_03219
OG0000239	Prag.g_00504	Syat.g_01105
OG0000240	Prag.g_00505	Syat.g_01104
OG0000241	Prag.g_00509	Syat.g_00111
OG0000242	Prag.g_00511	Syat.g_01077
OG0000243	Prag.g_00522	Syat.g_00092
OG0000244	Prag.g_00525	Syat.g_00082
OG0000245	Prag.g_00527	Syat.g_00080
OG0000246	Prag.g_00531	Syat.g_00076
OG0000247	Prag.g_00541	Syat.g_00065
OG0000248	Prag.g_00543	Syat.g_00062
OG0000249	Prag.g_00545	Syat.g_00060
OG0000250	Prag.g_00550	Syat.g_00053
OG0000251	Prag.g_00569	Syat.g_00027
OG0000252	Prag.g_00572	Syat.g_00022
OG0000253	Prag.g_00573	Syat.g_00021
OG0000254	Prag.g_00589	Syat.g_03407
OG0000255	Prag.g_00595	Syat.g_02405
OG0000256	Prag.g_00605	Syat.g_03306
OG0000257	Prag.g_00608	Syat.g_00109
OG0000258	Prag.g_00621	Syat.g_00382
OG0000259	Prag.g_00638	Syat.g_00342
OG0000260	Prag.g_00641	Syat.g_00392
OG0000261	Prag.g_00643	Syat.g_00400
OG0000262	Prag.g_00647	Syat.g_00407
OG0000263	Prag.g_00659	Syat.g_00200
OG0000266	Prag.g_00702	Syat.g_00671
OG0000267	Prag.g_00713	Syat.g_00636
OG0000268	Prag.g_00714	Syat.g_00634
OG0000269	Prag.g_00801	Syat.g_00474, Syat.g_00126
OG0000270	Prag.g_00804	Syat.g_00477
OG0000271	Prag.g_00812	Syat.g_00485
OG0000272	Prag.g_00813	Syat.g_00486
OG0000273	Prag.g_00835	Syat.g_00520
OG0000274	Prag.g_00836	Syat.g_00521
OG0000275	Prag.g_00838	Syat.g_00718
OG0000276	Prag.g_00843	Syat.g_00725
OG0000277	Prag.g_00844	Syat.g_00738
OG0000278	Prag.g_00847	Syat.g_00741
OG0000279	Prag.g_00854	Syat.g_00755
OG0000280	Prag.g_00855	Syat.g_01669
OG0000281	Prag.g_00860	Syat.g_00960
OG0000282	Prag.g_00908	Syat.g_00431
OG0000283	Prag.g_00941	Syat.g_00620
OG0000284	Prag.g_00946	Syat.g_00614
OG0000285	Prag.g_00951	Syat.g_00607
OG0000286	Prag.g_00963	Syat.g_00579
OG0000287	Prag.g_00980	Syat.g_00550
OG0000288	Prag.g_01009	Syat.g_00709
OG0000289	Prag.g_01020	Syat.g_00695
OG0000290	Prag.g_01033	Syat.g_00805
OG0000291	Prag.g_01035	Syat.g_00807
OG0000292	Prag.g_01085	Syat.g_02388
OG0000293	Prag.g_01144	Syat.g_03241
OG0000294	Prag.g_01145	Syat.g_03248
OG0000295	Prag.g_01165	Syat.g_00297
OG0000296	Prag.g_01167	Syat.g_00295
OG0000297	Prag.g_01175	Syat.g_00226
OG0000298	Prag.g_01176	Syat.g_00225
OG0000299	Prag.g_01193	Syat.g_00910
OG0000300	Prag.g_01196	Syat.g_00904
OG0000301	Prag.g_01197	Syat.g_00903
OG0000302	Prag.g_01199	Syat.g_00901
OG0000303	Prag.g_01206	Syat.g_00892
OG0000304	Prag.g_01210	Syat.g_00885
OG0000305	Prag.g_01381	Syat.g_00809
OG0000306	Prag.g_01384	Syat.g_01704
OG0000307	Prag.g_01398	Syat.g_01304
OG0000308	Prag.g_01399	Syat.g_01306
OG0000309	Prag.g_01403	Syat.g_01417
OG0000310	Prag.g_01473	Syat.g_01246
OG0000311	Prag.g_01475	Syat.g_01242
OG0000312	Prag.g_01478	Syat.g_01237
OG0000313	Prag.g_01494	Syat.g_01183
OG0000314	Prag.g_01516	Syat.g_01341
OG0000315	Prag.g_01527	Syat.g_01351
OG0000316	Prag.g_01547	Syat.g_03082
OG0000317	Prag.g_01667	Syat.g_03120
OG0000318	Prag.g_01670	Syat.g_03125
OG0000319	Prag.g_01683	Syat.g_03055
OG0000320	Prag.g_01685	Syat.g_03053
OG0000321	Prag.g_01686	Syat.g_03052
OG0000322	Prag.g_01687	Syat.g_03051
OG0000323	Prag.g_01696	Syat.g_03038
OG0000324	Prag.g_01723	Syat.g_02998
OG0000325	Prag.g_01733	Syat.g_01861
OG0000326	Prag.g_01739	Syat.g_01854
OG0000327	Prag.g_01763	Syat.g_01827
OG0000328	Prag.g_01764	Syat.g_01826
OG0000329	Prag.g_01781	Syat.g_01808
OG0000330	Prag.g_01782	Syat.g_01807
OG0000331	Prag.g_01783	Syat.g_01806
OG0000332	Prag.g_01797	Syat.g_01790
OG0000333	Prag.g_01799	Syat.g_01787
OG0000334	Prag.g_01807	Syat.g_01657
OG0000335	Prag.g_01812	Syat.g_01652
OG0000336	Prag.g_01816	Syat.g_01648
OG0000337	Prag.g_01832	Syat.g_02144
OG0000338	Prag.g_01833	Syat.g_02146
OG0000339	Prag.g_01837	Syat.g_02155, Syat.g_01055
OG0000340	Prag.g_01845	Syat.g_02165
OG0000341	Prag.g_01847	Syat.g_02167
OG0000342	Prag.g_01848	Syat.g_02168
OG0000343	Prag.g_01849	Syat.g_02185
OG0000344	Prag.g_01852	Syat.g_02189
OG0000345	Prag.g_01857	Syat.g_02202
OG0000346	Prag.g_01862	Syat.g_02207
OG0000347	Prag.g_01878	Syat.g_02234
OG0000348	Prag.g_01887	Syat.g_02264
OG0000349	Prag.g_01904	Syat.g_02291
OG0000350	Prag.g_01923	Syat.g_01847
OG0000351	Prag.g_01940	Syat.g_02411
OG0000352	Prag.g_01941	Syat.g_02410
OG0000353	Prag.g_01956	Syat.g_00955, Syat.g_02377
OG0000354	Prag.g_01282	Syat.g_02325
OG0000355	Prag.g_00001	Syat.g_02375
OG0000356	Prag.g_00002	Syat.g_02374
OG0000357	Prag.g_00003	Syat.g_02373
OG0000358	Prag.g_00007	Syat.g_02336
OG0000359	Prag.g_00008	Syat.g_02334
OG0000360	Prag.g_00009	Syat.g_02333
OG0000361	Prag.g_00010	Syat.g_02332
OG0000362	Prag.g_00012	Syat.g_02330
OG0000363	Prag.g_00014	Syat.g_02328
OG0000364	Prag.g_00015	Syat.g_03122
OG0000365	Prag.g_00020	Syat.g_02318
OG0000366	Prag.g_00021	Syat.g_02317
OG0000367	Prag.g_00022	Syat.g_02316
OG0000368	Prag.g_00024	Syat.g_02314
OG0000369	Prag.g_00025	Syat.g_02313
OG0000370	Prag.g_00026	Syat.g_02312
OG0000371	Prag.g_00032	Syat.g_02304
OG0000372	Prag.g_00035	Syat.g_02298
OG0000373	Prag.g_00036	Syat.g_02297
OG0000374	Prag.g_00037	Syat.g_02296
OG0000375	Prag.g_00040	Syat.g_02295
OG0000376	Prag.g_00042	Syat.g_02293
OG0000377	Prag.g_00045	Syat.g_02695
OG0000378	Prag.g_00047	Syat.g_02715
OG0000379	Prag.g_00050	Syat.g_02720
OG0000380	Prag.g_00060	Syat.g_01468
OG0000381	Prag.g_00064	Syat.g_01470
OG0000382	Prag.g_00075	Syat.g_01488
OG0000383	Prag.g_00077	Syat.g_01521
OG0000384	Prag.g_00078	Syat.g_01522
OG0000385	Prag.g_00079	Syat.g_01523
OG0000386	Prag.g_00080	Syat.g_01524
OG0000387	Prag.g_00092	Syat.g_01561
OG0000388	Prag.g_00095	Syat.g_01565
OG0000389	Prag.g_00099	Syat.g_01569
OG0000390	Prag.g_00106	Syat.g_02945
OG0000391	Prag.g_00109	Syat.g_02940
OG0000392	Prag.g_00113	Syat.g_02934
OG0000393	Prag.g_00115	Syat.g_02931
OG0000394	Prag.g_00116	Syat.g_02930
OG0000395	Prag.g_00117	Syat.g_02929
OG0000396	Prag.g_00120	Syat.g_02927
OG0000397	Prag.g_00122	Syat.g_02925
OG0000398	Prag.g_00124	Syat.g_02920
OG0000399	Prag.g_00125	Syat.g_02919
OG0000400	Prag.g_00126	Syat.g_02918
OG0000401	Prag.g_00127	Syat.g_02917
OG0000402	Prag.g_00129	Syat.g_02915
OG0000403	Prag.g_00130	Syat.g_02914
OG0000404	Prag.g_00131	Syat.g_02913
OG0000405	Prag.g_00135	Syat.g_02900
OG0000406	Prag.g_00140	Syat.g_02896
OG0000407	Prag.g_00141	Syat.g_02895
OG0000408	Prag.g_00143	Syat.g_02893
OG0000409	Prag.g_00145	Syat.g_02891
OG0000410	Prag.g_00146	Syat.g_02890
OG0000411	Prag.g_00147	Syat.g_02889
OG0000412	Prag.g_00148	Syat.g_02888
OG0000413	Prag.g_00149	Syat.g_02886
OG0000414	Prag.g_00150	Syat.g_02885
OG0000415	Prag.g_00151	Syat.g_02884
OG0000416	Prag.g_00152	Syat.g_02883
OG0000417	Prag.g_00153	Syat.g_02868
OG0000418	Prag.g_00158	Syat.g_02863
OG0000419	Prag.g_00160	Syat.g_02861
OG0000420	Prag.g_00161	Syat.g_02859
OG0000421	Prag.g_00166	Syat.g_02855
OG0000422	Prag.g_00167	Syat.g_02854
OG0000423	Prag.g_00168	Syat.g_02853
OG0000424	Prag.g_00169	Syat.g_02852
OG0000425	Prag.g_00170	Syat.g_02851
OG0000426	Prag.g_00171	Syat.g_02850
OG0000427	Prag.g_00172	Syat.g_02849
OG0000428	Prag.g_00174	Syat.g_02846
OG0000429	Prag.g_00175	Syat.g_02843
OG0000430	Prag.g_00176	Syat.g_02841
OG0000431	Prag.g_00178	Syat.g_02838
OG0000432	Prag.g_00181	Syat.g_02832
OG0000433	Prag.g_00182	Syat.g_02829
OG0000434	Prag.g_00183	Syat.g_02828
OG0000435	Prag.g_00184	Syat.g_02824
OG0000436	Prag.g_00189	Syat.g_02817
OG0000437	Prag.g_00190	Syat.g_02558
OG0000438	Prag.g_00191	Syat.g_02813
OG0000439	Prag.g_00193	Syat.g_02811
OG0000440	Prag.g_00194	Syat.g_02810
OG0000441	Prag.g_00197	Syat.g_02807
OG0000442	Prag.g_00198	Syat.g_02797
OG0000443	Prag.g_00199	Syat.g_02787
OG0000444	Prag.g_00204	Syat.g_02756
OG0000445	Prag.g_00205	Syat.g_02755
OG0000446	Prag.g_00206	Syat.g_02753
OG0000447	Prag.g_00207	Syat.g_02749
OG0000448	Prag.g_00208	Syat.g_02748
OG0000449	Prag.g_00209	Syat.g_02747
OG0000450	Prag.g_00210	Syat.g_02738
OG0000451	Prag.g_00211	Syat.g_02737
OG0000452	Prag.g_00214	Syat.g_02732
OG0000453	Prag.g_00215	Syat.g_02731
OG0000454	Prag.g_00216	Syat.g_02730
OG0000455	Prag.g_00217	Syat.g_02729
OG0000456	Prag.g_00218	Syat.g_02728
OG0000457	Prag.g_00219	Syat.g_02726
OG0000458	Prag.g_00220	Syat.g_02725
OG0000459	Prag.g_00221	Syat.g_02724
OG0000460	Prag.g_00228	Syat.g_01450
OG0000461	Prag.g_00235	Syat.g_01866
OG0000462	Prag.g_00237	Syat.g_01868
OG0000463	Prag.g_00238	Syat.g_01869
OG0000464	Prag.g_00239	Syat.g_01870
OG0000465	Prag.g_00240	Syat.g_01872
OG0000466	Prag.g_00243	Syat.g_01877
OG0000467	Prag.g_00244	Syat.g_01878
OG0000468	Prag.g_00245	Syat.g_01884
OG0000469	Prag.g_00253	Syat.g_02000
OG0000470	Prag.g_00255	Syat.g_02038
OG0000471	Prag.g_00256	Syat.g_02039
OG0000472	Prag.g_00257	Syat.g_02041
OG0000473	Prag.g_00259	Syat.g_02043
OG0000474	Prag.g_00260	Syat.g_02044
OG0000475	Prag.g_00261	Syat.g_02045
OG0000476	Prag.g_00262	Syat.g_02047
OG0000477	Prag.g_00266	Syat.g_02053
OG0000478	Prag.g_00267	Syat.g_02054
OG0000479	Prag.g_00268	Syat.g_02056
OG0000480	Prag.g_00273	Syat.g_02063
OG0000481	Prag.g_00275	Syat.g_02066
OG0000482	Prag.g_00276	Syat.g_02067
OG0000483	Prag.g_00279	Syat.g_02071
OG0000484	Prag.g_00280	Syat.g_02072
OG0000485	Prag.g_00281	Syat.g_02073
OG0000486	Prag.g_00282	Syat.g_02074
OG0000487	Prag.g_00286	Syat.g_02080
OG0000488	Prag.g_00289	Syat.g_02086
OG0000489	Prag.g_00294	Syat.g_02097
OG0000490	Prag.g_00299	Syat.g_02106
OG0000491	Prag.g_00300	Syat.g_02107
OG0000492	Prag.g_00302	Syat.g_02110
OG0000493	Prag.g_00303	Syat.g_02111
OG0000494	Prag.g_00304	Syat.g_02112
OG0000495	Prag.g_00305	Syat.g_02120
OG0000496	Prag.g_00306	Syat.g_02121
OG0000497	Prag.g_00307	Syat.g_02122
OG0000498	Prag.g_00308	Syat.g_02123
OG0000499	Prag.g_00309	Syat.g_02124
OG0000500	Prag.g_00310	Syat.g_02125
OG0000501	Prag.g_00312	Syat.g_02128
OG0000502	Prag.g_00315	Syat.g_02135
OG0000503	Prag.g_00329	Syat.g_01614
OG0000504	Prag.g_00330	Syat.g_01612
OG0000505	Prag.g_00331	Syat.g_01611
OG0000506	Prag.g_00333	Syat.g_01609
OG0000507	Prag.g_00336	Syat.g_01603
OG0000508	Prag.g_00339	Syat.g_01596
OG0000509	Prag.g_00341	Syat.g_01591
OG0000510	Prag.g_00342	Syat.g_01590
OG0000511	Prag.g_00343	Syat.g_01589
OG0000512	Prag.g_00345	Syat.g_01587
OG0000513	Prag.g_00352	Syat.g_02957
OG0000514	Prag.g_00410	Syat.g_02962
OG0000515	Prag.g_00411	Syat.g_02963
OG0000516	Prag.g_00412	Syat.g_02965
OG0000517	Prag.g_00414	Syat.g_02969
OG0000518	Prag.g_00425	Syat.g_01286
OG0000519	Prag.g_00426	Syat.g_01285
OG0000520	Prag.g_00427	Syat.g_01284
OG0000521	Prag.g_00432	Syat.g_01319
OG0000522	Prag.g_00434	Syat.g_01317
OG0000523	Prag.g_00435	Syat.g_01316
OG0000524	Prag.g_00440	Syat.g_01409
OG0000525	Prag.g_00443	Syat.g_01382
OG0000526	Prag.g_00444	Syat.g_01380
OG0000527	Prag.g_00452	Syat.g_01373
OG0000528	Prag.g_00457	Syat.g_03167
OG0000529	Prag.g_00460	Syat.g_03171
OG0000530	Prag.g_00463	Syat.g_03174
OG0000531	Prag.g_00464	Syat.g_03175
OG0000532	Prag.g_00466	Syat.g_03178
OG0000533	Prag.g_00467	Syat.g_03180
OG0000534	Prag.g_00468	Syat.g_03181
OG0000535	Prag.g_00469	Syat.g_03182
OG0000536	Prag.g_00470	Syat.g_03183
OG0000537	Prag.g_00471	Syat.g_03185
OG0000538	Prag.g_00479	Syat.g_03204
OG0000539	Prag.g_00480	Syat.g_03206
OG0000540	Prag.g_00481	Syat.g_03207
OG0000541	Prag.g_00482	Syat.g_03208
OG0000542	Prag.g_00484	Syat.g_03213
OG0000543	Prag.g_00486	Syat.g_03215
OG0000544	Prag.g_00487	Syat.g_03216
OG0000545	Prag.g_00489	Syat.g_03218
OG0000546	Prag.g_00492	Syat.g_03220
OG0000547	Prag.g_00494	Syat.g_03222
OG0000548	Prag.g_00495	Syat.g_03223
OG0000549	Prag.g_00497	Syat.g_01795
OG0000550	Prag.g_00502	Syat.g_01107
OG0000551	Prag.g_00506	Syat.g_01103
OG0000552	Prag.g_00507	Syat.g_01102
OG0000553	Prag.g_00508	Syat.g_01098
OG0000554	Prag.g_00513	Syat.g_03271
OG0000555	Prag.g_00521	Syat.g_00093
OG0000556	Prag.g_00523	Syat.g_00088
OG0000557	Prag.g_00524	Syat.g_00083
OG0000558	Prag.g_00526	Syat.g_00081
OG0000559	Prag.g_00530	Syat.g_00077
OG0000560	Prag.g_00533	Syat.g_00074
OG0000561	Prag.g_00534	Syat.g_00073
OG0000562	Prag.g_00535	Syat.g_00072
OG0000563	Prag.g_00536	Syat.g_00071
OG0000564	Prag.g_00537	Syat.g_00070
OG0000565	Prag.g_00540	Syat.g_00067
OG0000566	Prag.g_00542	Syat.g_00063
OG0000567	Prag.g_00546	Syat.g_00059
OG0000568	Prag.g_00547	Syat.g_00057
OG0000569	Prag.g_00548	Syat.g_00056
OG0000570	Prag.g_00549	Syat.g_00055
OG0000571	Prag.g_00551	Syat.g_00052
OG0000572	Prag.g_00564	Syat.g_00033
OG0000573	Prag.g_00570	Syat.g_00024
OG0000574	Prag.g_00571	Syat.g_00023
OG0000575	Prag.g_00575	Syat.g_00018
OG0000576	Prag.g_00577	Syat.g_00014
OG0000577	Prag.g_00578	Syat.g_00013
OG0000578	Prag.g_00579	Syat.g_00012
OG0000579	Prag.g_00580	Syat.g_00011
OG0000580	Prag.g_00581	Syat.g_00010
OG0000581	Prag.g_00583	Syat.g_00003
OG0000582	Prag.g_00586	Syat.g_03403
OG0000583	Prag.g_00587	Syat.g_03404
OG0000584	Prag.g_00588	Syat.g_03405
OG0000585	Prag.g_00590	Syat.g_03408
OG0000586	Prag.g_00591	Syat.g_03409
OG0000587	Prag.g_00592	Syat.g_00001
OG0000588	Prag.g_00596	Syat.g_00338
OG0000589	Prag.g_00599	Syat.g_03318
OG0000590	Prag.g_00600	Syat.g_03317
OG0000591	Prag.g_00603	Syat.g_03308
