Orthogroup	Prbn	Syam
OG0000059	Prbn.g_01833	Syam.g_00320
OG0000061	Prbn.g_01189	Syam.g_01795
OG0000062	Prbn.g_00897	Syam.g_01972
OG0000063	Prbn.g_00130	Syam.g_00039
OG0000064	Prbn.g_00710	Syam.g_01964, Syam.g_02363, Syam.g_01415, Syam.g_01414, Syam.g_00978
OG0000065	Prbn.g_01312	Syam.g_02121
OG0000066	Prbn.g_00577, Prbn.g_01657	Syam.g_00552, Syam.g_00662
OG0000067	Prbn.g_01546	Syam.g_01290
OG0000068	Prbn.g_01240	Syam.g_00575
OG0000069	Prbn.g_00659	Syam.g_01521
OG0000070	Prbn.g_00663	Syam.g_01847
OG0000071	Prbn.g_01084	Syam.g_01830
OG0000072	Prbn.g_00383	Syam.g_02219
OG0000073	Prbn.g_00614	Syam.g_00604
OG0000074	Prbn.g_01038	Syam.g_00533
OG0000075	Prbn.g_01917	Syam.g_00148
OG0000076	Prbn.g_00996	Syam.g_00115
OG0000077	Prbn.g_01342	Syam.g_02074
OG0000078	Prbn.g_00310	Syam.g_00514
OG0000079	Prbn.g_00018	Syam.g_00270
OG0000081	Prbn.g_00585	Syam.g_00520, Syam.g_01918
OG0000082	Prbn.g_00530, Prbn.g_01734	Syam.g_01730
OG0000084	Prbn.g_00209	Syam.g_00441
OG0000085	Prbn.g_00144, Prbn.g_01737	Syam.g_01979
OG0000086	Prbn.g_01333	Syam.g_02092
OG0000087	Prbn.g_01278	Syam.g_02175
OG0000088	Prbn.g_01247	Syam.g_02213
OG0000089	Prbn.g_00696	Syam.g_00489
OG0000090	Prbn.g_00583	Syam.g_00651
OG0000091	Prbn.g_00434	Syam.g_01460
OG0000093	Prbn.g_00846	Syam.g_01305
OG0000094	Prbn.g_01369	Syam.g_01198
OG0000095	Prbn.g_01471	Syam.g_00774
OG0000097	Prbn.g_00408	Syam.g_00874
OG0000098	Prbn.g_01216	Syam.g_00944
OG0000099	Prbn.g_00173	Syam.g_00173
OG0000100	Prbn.g_00903	Syam.g_01259
OG0000101	Prbn.g_01881	Syam.g_00371
OG0000102	Prbn.g_00991	Syam.g_00110
OG0000103	Prbn.g_00907	Syam.g_02428
OG0000104	Prbn.g_00296	Syam.g_02442
OG0000105	Prbn.g_00041	Syam.g_00238
OG0000106	Prbn.g_00829	Syam.g_01039
OG0000107	Prbn.g_01810	Syam.g_00288
OG0000108	Prbn.g_00634	Syam.g_00583
OG0000109	Prbn.g_00620	Syam.g_00598
OG0000110	Prbn.g_00541	Syam.g_01743
OG0000111	Prbn.g_01561	Syam.g_00783
OG0000112	Prbn.g_00468	Syam.g_01115
OG0000113	Prbn.g_01523	Syam.g_01264
OG0000114	Prbn.g_01621	Syam.g_01349
OG0000115	Prbn.g_01120	Syam.g_01634
OG0000116	Prbn.g_01178	Syam.g_01807
OG0000117	Prbn.g_00389	Syam.g_00904
OG0000118	Prbn.g_01071	Syam.g_01698
OG0000120	Prbn.g_00170	Syam.g_00172
OG0000121	Prbn.g_00214	Syam.g_01615
OG0000122	Prbn.g_01113, Prbn.g_00255	Syam.g_01436
OG0000123	Prbn.g_01888	Syam.g_00379
OG0000124	Prbn.g_00979	Syam.g_00096
OG0000125	Prbn.g_00944	Syam.g_02319
OG0000126	Prbn.g_00295	Syam.g_02440
OG0000128	Prbn.g_00002, Prbn.g_00003	Syam.g_00012
OG0000129	Prbn.g_00737	Syam.g_02307
OG0000130	Prbn.g_00708	Syam.g_02062
OG0000131	Prbn.g_01269	Syam.g_02191
OG0000132	Prbn.g_01249	Syam.g_02211
OG0000133	Prbn.g_00088	Syam.g_01120
OG0000134	Prbn.g_00694	Syam.g_00492
OG0000135	Prbn.g_01102	Syam.g_02347
OG0000136	Prbn.g_00672	Syam.g_01857
OG0000137	Prbn.g_00639	Syam.g_01668
OG0000138	Prbn.g_00619	Syam.g_00599
OG0000139	Prbn.g_00579	Syam.g_00657
OG0000140	Prbn.g_00578	Syam.g_00659
OG0000141	Prbn.g_00507	Syam.g_01514
OG0000142	Prbn.g_00426	Syam.g_01468
OG0000143	Prbn.g_00430	Syam.g_01464
OG0000144	Prbn.g_00444	Syam.g_01032
OG0000145	Prbn.g_01100	Syam.g_00605
OG0000146	Prbn.g_00469	Syam.g_01114
OG0000147	Prbn.g_00470	Syam.g_01113
OG0000148	Prbn.g_01529	Syam.g_01270
OG0000149	Prbn.g_01497	Syam.g_00725
OG0000150	Prbn.g_01487	Syam.g_00660
OG0000151	Prbn.g_01611	Syam.g_01338
OG0000152	Prbn.g_01418	Syam.g_01124
OG0000153	Prbn.g_01399	Syam.g_01160
OG0000154	Prbn.g_01379	Syam.g_01187
OG0000155	Prbn.g_01210	Syam.g_01763
OG0000156	Prbn.g_01095	Syam.g_01814
OG0000157	Prbn.g_01094	Syam.g_01815
OG0000158	Prbn.g_01014	Syam.g_00139
OG0000160	Prbn.g_00213	Syam.g_01614
OG0000161	Prbn.g_00219	Syam.g_01620
OG0000162	Prbn.g_00225	Syam.g_01627
OG0000163	Prbn.g_00264	Syam.g_01927
OG0000164	Prbn.g_01770	Syam.g_02023
OG0000165	Prbn.g_01777	Syam.g_01879, Syam.g_01878
OG0000166	Prbn.g_01844	Syam.g_00330
OG0000167	Prbn.g_01915	Syam.g_00151
OG0000168	Prbn.g_01013	Syam.g_00138
OG0000169	Prbn.g_01003	Syam.g_00127
OG0000170	Prbn.g_01000	Syam.g_00120
OG0000171	Prbn.g_00980	Syam.g_00097
OG0000172	Prbn.g_00973	Syam.g_00075
OG0000173	Prbn.g_00958	Syam.g_00057
OG0000174	Prbn.g_00929	Syam.g_02349
OG0000175	Prbn.g_00916	Syam.g_02417
OG0000176	Prbn.g_00010	Syam.g_00004
OG0000177	Prbn.g_00009	Syam.g_00005
OG0000178	Prbn.g_00008	Syam.g_00006
OG0000179	Prbn.g_00766	Syam.g_00021
OG0000180	Prbn.g_00765	Syam.g_00022
OG0000181	Prbn.g_00764	Syam.g_00023
OG0000182	Prbn.g_00763	Syam.g_00024
OG0000183	Prbn.g_00759	Syam.g_00028
OG0000184	Prbn.g_00733	Syam.g_02298
OG0000185	Prbn.g_00730	Syam.g_02295
OG0000186	Prbn.g_00714	Syam.g_02058
OG0000187	Prbn.g_00713	Syam.g_02059
OG0000188	Prbn.g_01339	Syam.g_02081
OG0000189	Prbn.g_01325	Syam.g_02108
OG0000190	Prbn.g_01323	Syam.g_02110
OG0000191	Prbn.g_01300	Syam.g_02142
OG0000192	Prbn.g_01295	Syam.g_02148
OG0000193	Prbn.g_01268	Syam.g_02192
OG0000194	Prbn.g_01265	Syam.g_02195
OG0000195	Prbn.g_01263	Syam.g_02197
OG0000196	Prbn.g_01252	Syam.g_02208
OG0000197	Prbn.g_01251	Syam.g_02209
OG0000198	Prbn.g_01250	Syam.g_02210
OG0000199	Prbn.g_01243, Prbn.g_00384	Syam.g_02218
OG0000200	Prbn.g_00370	Syam.g_02234
OG0000201	Prbn.g_00361	Syam.g_02248
OG0000202	Prbn.g_00360	Syam.g_02249
OG0000203	Prbn.g_00359	Syam.g_02250
OG0000204	Prbn.g_00358	Syam.g_02251
OG0000205	Prbn.g_00351	Syam.g_02258
OG0000206	Prbn.g_00346	Syam.g_02264
OG0000207	Prbn.g_00343	Syam.g_02266
OG0000208	Prbn.g_00342	Syam.g_02267
OG0000209	Prbn.g_00333	Syam.g_02278
OG0000210	Prbn.g_00332	Syam.g_02279
OG0000211	Prbn.g_00317	Syam.g_00504
OG0000212	Prbn.g_00309	Syam.g_00515
OG0000213	Prbn.g_00024	Syam.g_00263
OG0000214	Prbn.g_00034	Syam.g_00247
OG0000215	Prbn.g_00061	Syam.g_00216
OG0000216	Prbn.g_00062	Syam.g_00212
OG0000217	Prbn.g_00065	Syam.g_00208
OG0000218	Prbn.g_00067	Syam.g_00206
OG0000219	Prbn.g_00068	Syam.g_00205
OG0000220	Prbn.g_00069	Syam.g_00204
OG0000221	Prbn.g_00070	Syam.g_00198
OG0000222	Prbn.g_00077	Syam.g_00186
OG0000223	Prbn.g_00089	Syam.g_00168
OG0000224	Prbn.g_00091	Syam.g_00164
OG0000225	Prbn.g_00117	Syam.g_00473
OG0000226	Prbn.g_00121	Syam.g_00477
OG0000227	Prbn.g_00123	Syam.g_00479
OG0000228	Prbn.g_00697	Syam.g_00488
OG0000229	Prbn.g_00677	Syam.g_01867
OG0000230	Prbn.g_00675	Syam.g_01865
OG0000231	Prbn.g_00664	Syam.g_01848
OG0000232	Prbn.g_00653	Syam.g_01692
OG0000233	Prbn.g_00647	Syam.g_01678
OG0000234	Prbn.g_00638	Syam.g_01667
OG0000235	Prbn.g_00635	Syam.g_00582
OG0000236	Prbn.g_00621	Syam.g_00597
OG0000237	Prbn.g_00608	Syam.g_00614
OG0000238	Prbn.g_00602	Syam.g_00619
OG0000239	Prbn.g_00591	Syam.g_00637
OG0000240	Prbn.g_00590	Syam.g_00638
OG0000241	Prbn.g_00586	Syam.g_01477
OG0000242	Prbn.g_00584	Syam.g_00649
OG0000243	Prbn.g_00573	Syam.g_00668
OG0000244	Prbn.g_00570	Syam.g_00674
OG0000245	Prbn.g_00568	Syam.g_00676
OG0000246	Prbn.g_00564	Syam.g_00680
OG0000247	Prbn.g_00554	Syam.g_00692
OG0000248	Prbn.g_00551	Syam.g_00695
OG0000249	Prbn.g_00549	Syam.g_00697
OG0000250	Prbn.g_00544	Syam.g_01747
OG0000251	Prbn.g_00524	Syam.g_01722
OG0000252	Prbn.g_00521	Syam.g_01719
OG0000253	Prbn.g_00520	Syam.g_01718
OG0000254	Prbn.g_00503	Syam.g_01510
OG0000255	Prbn.g_00497	Syam.g_01500
OG0000256	Prbn.g_00487	Syam.g_01484
OG0000257	Prbn.g_00421	Syam.g_01478
OG0000258	Prbn.g_00435	Syam.g_01459
OG0000259	Prbn.g_00835	Syam.g_01378
OG0000260	Prbn.g_00838	Syam.g_01375
OG0000261	Prbn.g_00841	Syam.g_01372
OG0000262	Prbn.g_00845	Syam.g_01367
OG0000263	Prbn.g_01583	Syam.g_00885
OG0000264	Prbn.g_01572	Syam.g_00805
OG0000265	Prbn.g_01554	Syam.g_01880
OG0000266	Prbn.g_00864	Syam.g_01234
OG0000267	Prbn.g_01350	Syam.g_01071
OG0000268	Prbn.g_01351	Syam.g_01072
OG0000269	Prbn.g_01551	Syam.g_01295
OG0000270	Prbn.g_01548	Syam.g_01292
OG0000271	Prbn.g_01540	Syam.g_01284
OG0000272	Prbn.g_01539	Syam.g_01283
OG0000273	Prbn.g_01515	Syam.g_00745
OG0000274	Prbn.g_01514	Syam.g_00744
OG0000275	Prbn.g_01511	Syam.g_00741
OG0000276	Prbn.g_01505	Syam.g_00733
OG0000277	Prbn.g_01504	Syam.g_00732
OG0000278	Prbn.g_01501	Syam.g_00729
OG0000279	Prbn.g_01494	Syam.g_00721
OG0000280	Prbn.g_01493	Syam.g_00701
OG0000281	Prbn.g_01486	Syam.g_00943
OG0000282	Prbn.g_01619	Syam.g_01347
OG0000283	Prbn.g_01442	Syam.g_01087
OG0000284	Prbn.g_01437	Syam.g_01093
OG0000285	Prbn.g_01432	Syam.g_01105
OG0000286	Prbn.g_01419	Syam.g_01123
OG0000287	Prbn.g_01123	Syam.g_01153
OG0000288	Prbn.g_01380	Syam.g_01186
OG0000289	Prbn.g_01364	Syam.g_01201
OG0000290	Prbn.g_01468	Syam.g_00771
OG0000291	Prbn.g_01470	Syam.g_00773
OG0000292	Prbn.g_01144	Syam.g_02439
OG0000293	Prbn.g_01179	Syam.g_01806
OG0000294	Prbn.g_01180	Syam.g_01805
OG0000295	Prbn.g_01203	Syam.g_01771
OG0000296	Prbn.g_01205	Syam.g_01769
OG0000297	Prbn.g_00387	Syam.g_00906
OG0000298	Prbn.g_00388	Syam.g_00905
OG0000299	Prbn.g_00407	Syam.g_00878
OG0000300	Prbn.g_00410	Syam.g_00871
OG0000301	Prbn.g_00411	Syam.g_00870
OG0000302	Prbn.g_00413	Syam.g_00868
OG0000303	Prbn.g_00419	Syam.g_00859
OG0000304	Prbn.g_00482	Syam.g_00853
OG0000305	Prbn.g_01146	Syam.g_00776
OG0000306	Prbn.g_01482	Syam.g_01757
OG0000307	Prbn.g_00159	Syam.g_00566
OG0000308	Prbn.g_00160	Syam.g_00564
OG0000309	Prbn.g_00164	Syam.g_00559
OG0000310	Prbn.g_00198	Syam.g_01591
OG0000311	Prbn.g_00200	Syam.g_01595
OG0000312	Prbn.g_00203	Syam.g_01601
OG0000313	Prbn.g_00216	Syam.g_01617
OG0000314	Prbn.g_00239	Syam.g_01647
OG0000315	Prbn.g_00249	Syam.g_01658
OG0000316	Prbn.g_00274	Syam.g_01945
OG0000317	Prbn.g_01742	Syam.g_01987
OG0000318	Prbn.g_01746	Syam.g_01991
OG0000319	Prbn.g_01759	Syam.g_02006
OG0000320	Prbn.g_01761	Syam.g_02008
OG0000321	Prbn.g_01762	Syam.g_02009
OG0000322	Prbn.g_01763	Syam.g_02010
OG0000323	Prbn.g_01773	Syam.g_02025
OG0000324	Prbn.g_01800	Syam.g_01906
OG0000325	Prbn.g_01811	Syam.g_00289
OG0000326	Prbn.g_01818	Syam.g_00296
OG0000327	Prbn.g_01839	Syam.g_00325
OG0000328	Prbn.g_01840	Syam.g_00326
OG0000329	Prbn.g_01857	Syam.g_00344
OG0000330	Prbn.g_01858	Syam.g_00345
OG0000331	Prbn.g_01859	Syam.g_00346
OG0000332	Prbn.g_01873	Syam.g_00361
OG0000333	Prbn.g_01875	Syam.g_00364
OG0000334	Prbn.g_01884	Syam.g_00375
OG0000335	Prbn.g_01889	Syam.g_00380
OG0000336	Prbn.g_01893	Syam.g_00384
OG0000337	Prbn.g_01911	Syam.g_00155
OG0000338	Prbn.g_01912	Syam.g_00153
OG0000339	Prbn.g_01918	Syam.g_00147
OG0000340	Prbn.g_01012	Syam.g_00137
OG0000341	Prbn.g_01010	Syam.g_00135
OG0000342	Prbn.g_01009	Syam.g_00134
OG0000343	Prbn.g_01008	Syam.g_00133
OG0000344	Prbn.g_01005	Syam.g_00129
OG0000345	Prbn.g_00999	Syam.g_00119
OG0000346	Prbn.g_00995	Syam.g_00114
OG0000347	Prbn.g_00978	Syam.g_00083
OG0000348	Prbn.g_00970	Syam.g_00068
OG0000349	Prbn.g_00953	Syam.g_00050
OG0000350	Prbn.g_00798	Syam.g_00303
OG0000351	Prbn.g_00913	Syam.g_02420
OG0000352	Prbn.g_00912	Syam.g_02421
OG0000353	Prbn.g_00299	Syam.g_02445
OG0000355	Prbn.g_00301	Syam.g_00001
OG0000356	Prbn.g_00302	Syam.g_00002
OG0000357	Prbn.g_00011	Syam.g_00003
OG0000358	Prbn.g_00007	Syam.g_00007
OG0000359	Prbn.g_00006	Syam.g_00009
OG0000360	Prbn.g_00005	Syam.g_00010
OG0000361	Prbn.g_00004	Syam.g_00011
OG0000362	Prbn.g_00001	Syam.g_00013
OG0000363	Prbn.g_00768	Syam.g_00015
OG0000364	Prbn.g_00767	Syam.g_00016
OG0000365	Prbn.g_00762	Syam.g_00025
OG0000366	Prbn.g_00761	Syam.g_00026
OG0000367	Prbn.g_00760	Syam.g_00027
OG0000368	Prbn.g_00758	Syam.g_00029
OG0000369	Prbn.g_00757	Syam.g_00030
OG0000370	Prbn.g_00756	Syam.g_00031
OG0000371	Prbn.g_00749	Syam.g_00038
OG0000372	Prbn.g_00746	Syam.g_00043
OG0000373	Prbn.g_00745	Syam.g_00044
OG0000374	Prbn.g_00744	Syam.g_00045
OG0000375	Prbn.g_00742	Syam.g_00046
OG0000376	Prbn.g_00740	Syam.g_00048
OG0000377	Prbn.g_00736	Syam.g_02306
OG0000378	Prbn.g_00732	Syam.g_02297
OG0000379	Prbn.g_00729	Syam.g_02294
OG0000380	Prbn.g_00712	Syam.g_02060
OG0000381	Prbn.g_00707	Syam.g_02063
OG0000382	Prbn.g_01340	Syam.g_02080
OG0000383	Prbn.g_01338	Syam.g_02083
OG0000384	Prbn.g_01337	Syam.g_02084
OG0000385	Prbn.g_01336	Syam.g_02085
OG0000386	Prbn.g_01335	Syam.g_02086
OG0000387	Prbn.g_01321	Syam.g_02112
OG0000388	Prbn.g_01317	Syam.g_02116
OG0000389	Prbn.g_01314	Syam.g_02120
OG0000390	Prbn.g_01304	Syam.g_02136
OG0000391	Prbn.g_01301	Syam.g_02141
OG0000392	Prbn.g_01297	Syam.g_02147
OG0000393	Prbn.g_01294	Syam.g_02149
OG0000394	Prbn.g_01293	Syam.g_02150
OG0000395	Prbn.g_01292	Syam.g_02151
OG0000396	Prbn.g_01290	Syam.g_02153
OG0000397	Prbn.g_01288	Syam.g_02160
OG0000398	Prbn.g_01285	Syam.g_02165
OG0000399	Prbn.g_01284	Syam.g_02166
OG0000400	Prbn.g_01283	Syam.g_02167
OG0000401	Prbn.g_01282	Syam.g_02168
OG0000402	Prbn.g_01356	Syam.g_02171
OG0000403	Prbn.g_01280	Syam.g_02172
OG0000404	Prbn.g_01279	Syam.g_02173
OG0000405	Prbn.g_01275	Syam.g_02189
OG0000406	Prbn.g_01267	Syam.g_02193
OG0000407	Prbn.g_01266	Syam.g_02194
OG0000408	Prbn.g_01264	Syam.g_02196
OG0000409	Prbn.g_01262	Syam.g_02198
OG0000410	Prbn.g_01261	Syam.g_02199
OG0000411	Prbn.g_01260	Syam.g_02200
OG0000412	Prbn.g_01259	Syam.g_02201
OG0000413	Prbn.g_01257	Syam.g_02203
OG0000414	Prbn.g_01256	Syam.g_02204
OG0000415	Prbn.g_01255	Syam.g_02205
OG0000416	Prbn.g_01254	Syam.g_02206
OG0000417	Prbn.g_01253	Syam.g_02207
OG0000418	Prbn.g_01248	Syam.g_02212
OG0000419	Prbn.g_01246	Syam.g_02214
OG0000420	Prbn.g_01245	Syam.g_02216
OG0000421	Prbn.g_00381	Syam.g_02221
OG0000422	Prbn.g_00380	Syam.g_02222
OG0000423	Prbn.g_00379	Syam.g_02223
OG0000424	Prbn.g_00378	Syam.g_02224
OG0000425	Prbn.g_00377	Syam.g_02225
OG0000426	Prbn.g_00376	Syam.g_02226
OG0000427	Prbn.g_00375	Syam.g_02227
OG0000428	Prbn.g_00373	Syam.g_02230
OG0000429	Prbn.g_00372	Syam.g_02232
OG0000430	Prbn.g_00371	Syam.g_02233
OG0000431	Prbn.g_00369	Syam.g_02237
OG0000432	Prbn.g_00365	Syam.g_02243
OG0000433	Prbn.g_00364	Syam.g_02244
OG0000434	Prbn.g_00363	Syam.g_02245
OG0000435	Prbn.g_00362	Syam.g_02246
OG0000436	Prbn.g_00357	Syam.g_02252
OG0000437	Prbn.g_00356	Syam.g_02253
OG0000438	Prbn.g_00355	Syam.g_02254
OG0000439	Prbn.g_00353	Syam.g_02256
OG0000440	Prbn.g_00352	Syam.g_02257
OG0000441	Prbn.g_00349	Syam.g_02261
OG0000442	Prbn.g_00348	Syam.g_02262
OG0000443	Prbn.g_00347	Syam.g_02263
OG0000444	Prbn.g_00341	Syam.g_02268
OG0000445	Prbn.g_00340	Syam.g_02269
OG0000446	Prbn.g_00339	Syam.g_02270
OG0000447	Prbn.g_00338	Syam.g_02272
OG0000448	Prbn.g_00337	Syam.g_02273
OG0000449	Prbn.g_00336	Syam.g_02274
OG0000450	Prbn.g_00335	Syam.g_02275
OG0000451	Prbn.g_00334	Syam.g_02276
OG0000452	Prbn.g_00331	Syam.g_02280
OG0000453	Prbn.g_00330	Syam.g_02281
OG0000454	Prbn.g_00329	Syam.g_02282
OG0000455	Prbn.g_00328	Syam.g_02283
OG0000456	Prbn.g_00327	Syam.g_02284
OG0000457	Prbn.g_00325	Syam.g_02286
OG0000458	Prbn.g_00324	Syam.g_02287
OG0000459	Prbn.g_00323	Syam.g_02288
OG0000460	Prbn.g_00315	Syam.g_00506
OG0000461	Prbn.g_00307	Syam.g_00284
OG0000462	Prbn.g_00305	Syam.g_00281
OG0000463	Prbn.g_00304	Syam.g_00280
OG0000464	Prbn.g_00012	Syam.g_00279
OG0000465	Prbn.g_00013	Syam.g_00277
OG0000466	Prbn.g_00016	Syam.g_00273
OG0000467	Prbn.g_00017	Syam.g_00271
OG0000468	Prbn.g_00020	Syam.g_00266
OG0000469	Prbn.g_00028	Syam.g_00253
OG0000470	Prbn.g_00030	Syam.g_00251
OG0000471	Prbn.g_00031	Syam.g_00250
OG0000472	Prbn.g_00033	Syam.g_00248
OG0000473	Prbn.g_00035	Syam.g_00246
OG0000474	Prbn.g_00036	Syam.g_00245
OG0000475	Prbn.g_00037	Syam.g_00244
OG0000476	Prbn.g_00039	Syam.g_00242
OG0000477	Prbn.g_00042	Syam.g_00236
OG0000478	Prbn.g_00043	Syam.g_00235
OG0000479	Prbn.g_00044	Syam.g_00234
OG0000480	Prbn.g_00049	Syam.g_00227
OG0000481	Prbn.g_00052	Syam.g_00225
OG0000482	Prbn.g_00053	Syam.g_00224
OG0000483	Prbn.g_00056	Syam.g_00220
OG0000484	Prbn.g_00057	Syam.g_00219
OG0000485	Prbn.g_00059	Syam.g_00218
OG0000486	Prbn.g_00060	Syam.g_00217
OG0000487	Prbn.g_00063	Syam.g_00211
OG0000488	Prbn.g_00066	Syam.g_00207
OG0000489	Prbn.g_00071	Syam.g_00197
OG0000490	Prbn.g_00075	Syam.g_00189
OG0000491	Prbn.g_00076	Syam.g_00187
OG0000492	Prbn.g_00078	Syam.g_00185
OG0000493	Prbn.g_00079	Syam.g_00184
OG0000494	Prbn.g_00080	Syam.g_00183
OG0000495	Prbn.g_00081	Syam.g_00182
OG0000496	Prbn.g_00082	Syam.g_00181
OG0000497	Prbn.g_00083	Syam.g_00180
OG0000498	Prbn.g_00084	Syam.g_00179
OG0000499	Prbn.g_00085	Syam.g_00178
OG0000500	Prbn.g_00086	Syam.g_00177
OG0000501	Prbn.g_00087	Syam.g_00174
OG0000502	Prbn.g_00090	Syam.g_00165
OG0000503	Prbn.g_00105	Syam.g_00457
OG0000504	Prbn.g_00107	Syam.g_00459
OG0000505	Prbn.g_00108	Syam.g_00460
OG0000506	Prbn.g_00109	Syam.g_00462
OG0000507	Prbn.g_00112	Syam.g_00468
OG0000508	Prbn.g_00116	Syam.g_00472
OG0000509	Prbn.g_00118	Syam.g_00474
OG0000510	Prbn.g_00119	Syam.g_00475
OG0000511	Prbn.g_00120	Syam.g_00476
OG0000512	Prbn.g_00122	Syam.g_00478
OG0000513	Prbn.g_00693	Syam.g_00493
OG0000514	Prbn.g_00682	Syam.g_00499
OG0000515	Prbn.g_00681	Syam.g_00500
OG0000516	Prbn.g_00680	Syam.g_01862
OG0000517	Prbn.g_00678	Syam.g_01868
OG0000518	Prbn.g_00667	Syam.g_01851
OG0000519	Prbn.g_00666	Syam.g_01850
OG0000520	Prbn.g_00665	Syam.g_01849
OG0000521	Prbn.g_00657	Syam.g_01696
OG0000522	Prbn.g_00655	Syam.g_01694
OG0000523	Prbn.g_00654	Syam.g_01693
OG0000524	Prbn.g_00649	Syam.g_01681
OG0000525	Prbn.g_00645	Syam.g_01677
OG0000526	Prbn.g_00644	Syam.g_01674
OG0000527	Prbn.g_00641	Syam.g_01670
OG0000528	Prbn.g_00636	Syam.g_00580
OG0000529	Prbn.g_00633	Syam.g_00584
OG0000530	Prbn.g_00630	Syam.g_00587
OG0000531	Prbn.g_00629	Syam.g_00588
OG0000532	Prbn.g_00627	Syam.g_00591
OG0000533	Prbn.g_00626	Syam.g_00592
OG0000534	Prbn.g_00625	Syam.g_00593
OG0000535	Prbn.g_00624	Syam.g_00594
OG0000536	Prbn.g_00623	Syam.g_00595
OG0000537	Prbn.g_00622	Syam.g_00596
OG0000538	Prbn.g_00613	Syam.g_00607
OG0000539	Prbn.g_00612	Syam.g_00608
OG0000540	Prbn.g_00611	Syam.g_00609
OG0000541	Prbn.g_00610	Syam.g_00610
OG0000542	Prbn.g_00609	Syam.g_00613
OG0000543	Prbn.g_00607	Syam.g_00615
OG0000544	Prbn.g_00606	Syam.g_00616
OG0000545	Prbn.g_00604	Syam.g_00618
OG0000546	Prbn.g_00601	Syam.g_00620
OG0000547	Prbn.g_00599	Syam.g_00622
OG0000548	Prbn.g_00598	Syam.g_00623
OG0000549	Prbn.g_00596	Syam.g_00630
OG0000550	Prbn.g_00592	Syam.g_00635
OG0000551	Prbn.g_00589	Syam.g_00640
OG0000552	Prbn.g_00588	Syam.g_00641
OG0000553	Prbn.g_00587	Syam.g_00643
OG0000554	Prbn.g_00582	Syam.g_00652
OG0000555	Prbn.g_00574	Syam.g_00667
OG0000556	Prbn.g_00572	Syam.g_00670
OG0000557	Prbn.g_00571	Syam.g_00672
