Orthogroup	Syar	Prbf
OG0000117	Syar.g_01969	Prbf.g_00945
OG0000118	Syar.g_02793	Prbf.g_00013
OG0000120	Syar.g_00713	Prbf.g_00115
OG0000121	Syar.g_02806	Prbf.g_00159
OG0000123	Syar.g_01079	Prbf.g_00551
OG0000124	Syar.g_00586	Prbf.g_00478
OG0000125	Syar.g_00338	Prbf.g_00443
OG0000126	Syar.g_00887, Syar.g_00888	Prbf.g_00398
OG0000128	Syar.g_00482	Prbf.g_00382
OG0000129	Syar.g_00324	Prbf.g_01367
OG0000130	Syar.g_03040	Prbf.g_01396
OG0000131	Syar.g_02216, Syar.g_00078	Prbf.g_01478
OG0000132	Syar.g_00099	Prbf.g_01498
OG0000133	Syar.g_02543	Prbf.g_01661
OG0000134	Syar.g_02009, Syar.g_01165	Prbf.g_01703
OG0000135	Syar.g_00698	Prbf.g_00044
OG0000136	Syar.g_02874	Prbf.g_01725
OG0000137	Syar.g_01273	Prbf.g_01758
OG0000138	Syar.g_01486	Prbf.g_01778
OG0000139	Syar.g_03245, Syar.g_02348	Prbf.g_01818
OG0000140	Syar.g_02344, Syar.g_03246	Prbf.g_01819
OG0000141	Syar.g_02129	Prbf.g_01890
OG0000142	Syar.g_02418	Prbf.g_00982
OG0000143	Syar.g_02422	Prbf.g_00986
OG0000144	Syar.g_02441	Prbf.g_01000
OG0000145	Syar.g_01494, Syar.g_03205	Prbf.g_00042
OG0000146	Syar.g_02549	Prbf.g_01928
OG0000147	Syar.g_02550	Prbf.g_01927
OG0000148	Syar.g_02658	Prbf.g_01228
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prbf.g_01196
OG0000150	Syar.g_02130	Prbf.g_01186
OG0000151	Syar.g_02038	Prbf.g_01310
OG0000152	Syar.g_02539	Prbf.g_01117
OG0000153	Syar.g_03283, Syar.g_02503	Prbf.g_01098
OG0000154	Syar.g_01800	Prbf.g_01078
OG0000155	Syar.g_01959	Prbf.g_00939
OG0000156	Syar.g_01517	Prbf.g_00037
OG0000157	Syar.g_01516	Prbf.g_00036
OG0000158	Syar.g_00650	Prbf.g_00514
OG0000159	Syar.g_02359, Syar.g_02762	Prbf.g_01387
OG0000160	Syar.g_02807	Prbf.g_00158
OG0000161	Syar.g_02801	Prbf.g_00164
OG0000162	Syar.g_02863	Prbf.g_00170
OG0000163	Syar.g_00639, Syar.g_01186	Prbf.g_00209
OG0000164	Syar.g_03168, Syar.g_02969	Prbf.g_00669
OG0000165	Syar.g_02976	Prbf.g_00662
OG0000166	Syar.g_01034	Prbf.g_00595
OG0000167	Syar.g_00662	Prbf.g_00524
OG0000168	Syar.g_00246	Prbf.g_00513
OG0000169	Syar.g_00262	Prbf.g_00503
OG0000170	Syar.g_00613	Prbf.g_00500
OG0000171	Syar.g_00587	Prbf.g_00479
OG0000172	Syar.g_00547	Prbf.g_00472
OG0000173	Syar.g_00528	Prbf.g_00457
OG0000174	Syar.g_00701	Prbf.g_00428
OG0000175	Syar.g_00438	Prbf.g_00415
OG0000176	Syar.g_00474	Prbf.g_00389
OG0000177	Syar.g_00475	Prbf.g_00388
OG0000178	Syar.g_00476	Prbf.g_00387
OG0000179	Syar.g_00489	Prbf.g_01338
OG0000180	Syar.g_00490	Prbf.g_01339
OG0000181	Syar.g_00491	Prbf.g_01340
OG0000182	Syar.g_00492	Prbf.g_01341
OG0000183	Syar.g_00496	Prbf.g_01345
OG0000184	Syar.g_00897	Prbf.g_01371
OG0000185	Syar.g_00909	Prbf.g_01374
OG0000186	Syar.g_03036	Prbf.g_01390
OG0000187	Syar.g_03038	Prbf.g_01391
OG0000188	Syar.g_03058	Prbf.g_01408
OG0000189	Syar.g_03104	Prbf.g_01422
OG0000190	Syar.g_03107, Syar.g_02374	Prbf.g_01424
OG0000191	Syar.g_00039	Prbf.g_01447
OG0000192	Syar.g_00046	Prbf.g_01452
OG0000193	Syar.g_00079	Prbf.g_01479
OG0000194	Syar.g_03236, Syar.g_00082	Prbf.g_01482
OG0000195	Syar.g_00023, Syar.g_00084	Prbf.g_01484
OG0000196	Syar.g_00096	Prbf.g_01495
OG0000197	Syar.g_00097	Prbf.g_01496
OG0000198	Syar.g_00098	Prbf.g_01497
OG0000199	Syar.g_00106	Prbf.g_01504
OG0000200	Syar.g_00124	Prbf.g_01518
OG0000201	Syar.g_01000	Prbf.g_01527
OG0000202	Syar.g_00998, Syar.g_00021	Prbf.g_01528
OG0000203	Syar.g_00020, Syar.g_00997	Prbf.g_01529
OG0000204	Syar.g_00996	Prbf.g_01530
OG0000205	Syar.g_00988	Prbf.g_01537
OG0000206	Syar.g_00963	Prbf.g_01542
OG0000207	Syar.g_00957	Prbf.g_01545
OG0000208	Syar.g_00956	Prbf.g_01546
OG0000209	Syar.g_00936, Syar.g_03261	Prbf.g_01555
OG0000210	Syar.g_00935, Syar.g_03260	Prbf.g_01556
OG0000211	Syar.g_03026	Prbf.g_01571
OG0000212	Syar.g_03017	Prbf.g_01579
OG0000213	Syar.g_00187	Prbf.g_01597
OG0000214	Syar.g_00209	Prbf.g_01607
OG0000215	Syar.g_00239	Prbf.g_01634
OG0000216	Syar.g_00244	Prbf.g_01635
OG0000217	Syar.g_00854	Prbf.g_01638
OG0000218	Syar.g_00852	Prbf.g_01640
OG0000219	Syar.g_00851	Prbf.g_01641
OG0000220	Syar.g_00850, Syar.g_02026	Prbf.g_01642
OG0000221	Syar.g_00834	Prbf.g_01643
OG0000222	Syar.g_02119, Syar.g_00728	Prbf.g_01650
OG0000223	Syar.g_00649	Prbf.g_01662
OG0000224	Syar.g_00762, Syar.g_00273	Prbf.g_01664
OG0000225	Syar.g_01142	Prbf.g_01690
OG0000226	Syar.g_01146	Prbf.g_01694
OG0000227	Syar.g_01148	Prbf.g_01696
OG0000228	Syar.g_01161	Prbf.g_01700
OG0000229	Syar.g_01177, Syar.g_03273	Prbf.g_01720
OG0000230	Syar.g_01179, Syar.g_03275	Prbf.g_01722
OG0000231	Syar.g_02865, Syar.g_03151	Prbf.g_01733
OG0000232	Syar.g_01424	Prbf.g_01744
OG0000233	Syar.g_03183, Syar.g_01247	Prbf.g_01750
OG0000234	Syar.g_01275	Prbf.g_01759
OG0000235	Syar.g_01468	Prbf.g_01762
OG0000236	Syar.g_03311, Syar.g_01484	Prbf.g_01776
OG0000237	Syar.g_01503	Prbf.g_01789
OG0000238	Syar.g_01508	Prbf.g_01795
OG0000239	Syar.g_03277, Syar.g_02687	Prbf.g_01806
OG0000240	Syar.g_03278, Syar.g_02686	Prbf.g_01807
OG0000241	Syar.g_02410	Prbf.g_01811
OG0000242	Syar.g_01926	Prbf.g_01813
OG0000243	Syar.g_02335	Prbf.g_01824
OG0000244	Syar.g_02327	Prbf.g_01827
OG0000245	Syar.g_02325, Syar.g_03238	Prbf.g_01829
OG0000246	Syar.g_02321	Prbf.g_01833
OG0000247	Syar.g_02310	Prbf.g_01843
OG0000248	Syar.g_02307, Syar.g_03293	Prbf.g_01846
OG0000249	Syar.g_02305	Prbf.g_01848
OG0000250	Syar.g_02299, Syar.g_03194	Prbf.g_01853
OG0000251	Syar.g_03207, Syar.g_02194	Prbf.g_01873
OG0000252	Syar.g_02189, Syar.g_03263	Prbf.g_01876
OG0000253	Syar.g_02028, Syar.g_03229	Prbf.g_01877
OG0000254	Syar.g_02169	Prbf.g_01894
OG0000255	Syar.g_00011, Syar.g_02224	Prbf.g_01900
OG0000256	Syar.g_02244	Prbf.g_01910
OG0000257	Syar.g_02407, Syar.g_01762	Prbf.g_00977
OG0000258	Syar.g_02427, Syar.g_00010	Prbf.g_00991
OG0000259	Syar.g_02472	Prbf.g_01008
OG0000260	Syar.g_03220, Syar.g_02475	Prbf.g_01011
OG0000261	Syar.g_01916	Prbf.g_01014
OG0000262	Syar.g_01690	Prbf.g_01018
OG0000263	Syar.g_01991	Prbf.g_01282
OG0000264	Syar.g_02135, Syar.g_03267	Prbf.g_01271
OG0000266	Syar.g_01570	Prbf.g_01037
OG0000267	Syar.g_01873	Prbf.g_01049
OG0000268	Syar.g_02589	Prbf.g_01050
OG0000269	Syar.g_02634	Prbf.g_01250
OG0000270	Syar.g_00744, Syar.g_02637	Prbf.g_01247
OG0000271	Syar.g_02645	Prbf.g_01239
OG0000272	Syar.g_02646	Prbf.g_01238
OG0000273	Syar.g_02481, Syar.g_00008	Prbf.g_01214
OG0000274	Syar.g_00009, Syar.g_02482	Prbf.g_01213
OG0000275	Syar.g_01810	Prbf.g_01210
OG0000276	Syar.g_01817	Prbf.g_01204
OG0000277	Syar.g_01818, Syar.g_03242	Prbf.g_01203
OG0000278	Syar.g_01821, Syar.g_03174	Prbf.g_01200
OG0000279	Syar.g_01838	Prbf.g_01193
OG0000280	Syar.g_02067, Syar.g_00734	Prbf.g_01192
OG0000281	Syar.g_02218	Prbf.g_01185
OG0000282	Syar.g_01614, Syar.g_03255	Prbf.g_01318
OG0000283	Syar.g_02574	Prbf.g_01141
OG0000284	Syar.g_03258, Syar.g_02568	Prbf.g_01136
OG0000285	Syar.g_02560	Prbf.g_01131
OG0000286	Syar.g_02540	Prbf.g_01118
OG0000287	Syar.g_02512	Prbf.g_00065
OG0000288	Syar.g_01801	Prbf.g_01079
OG0000289	Syar.g_03305, Syar.g_01786	Prbf.g_01063
OG0000290	Syar.g_01928	Prbf.g_01167
OG0000291	Syar.g_01930	Prbf.g_01169
OG0000292	Syar.g_00463	Prbf.g_00873
OG0000293	Syar.g_03297, Syar.g_01526	Prbf.g_00908
OG0000294	Syar.g_01527, Syar.g_03296	Prbf.g_00909
OG0000295	Syar.g_01951, Syar.g_03208	Prbf.g_00932
OG0000296	Syar.g_01953	Prbf.g_00934
OG0000297	Syar.g_01967, Syar.g_03216	Prbf.g_00943
OG0000298	Syar.g_01968, Syar.g_03215	Prbf.g_00944
OG0000299	Syar.g_01704	Prbf.g_00963
OG0000300	Syar.g_01646, Syar.g_01711	Prbf.g_00966
OG0000301	Syar.g_01712	Prbf.g_00967
OG0000302	Syar.g_01713	Prbf.g_00969
OG0000303	Syar.g_03136, Syar.g_01723	Prbf.g_00975
OG0000304	Syar.g_01728	Prbf.g_01915
OG0000305	Syar.g_01933, Syar.g_03163	Prbf.g_00875
OG0000306	Syar.g_01884, Syar.g_03140	Prbf.g_01181
OG0000307	Syar.g_01452, Syar.g_03153	Prbf.g_00104
OG0000308	Syar.g_01450	Prbf.g_00105
OG0000309	Syar.g_01239	Prbf.g_00109
OG0000310	Syar.g_02826	Prbf.g_00143
OG0000311	Syar.g_02823	Prbf.g_00145
OG0000312	Syar.g_00015, Syar.g_02818	Prbf.g_00148
OG0000313	Syar.g_02804	Prbf.g_00161
OG0000314	Syar.g_01403	Prbf.g_00184
OG0000315	Syar.g_01393	Prbf.g_00194
OG0000316	Syar.g_02885	Prbf.g_00219
OG0000317	Syar.g_02926	Prbf.g_00696
OG0000318	Syar.g_02930	Prbf.g_00692
OG0000319	Syar.g_02954	Prbf.g_00679
OG0000320	Syar.g_02956	Prbf.g_00677
OG0000321	Syar.g_02957	Prbf.g_00676
OG0000322	Syar.g_02958	Prbf.g_00675
OG0000323	Syar.g_02973	Prbf.g_00666
OG0000324	Syar.g_00350, Syar.g_03001	Prbf.g_00639
OG0000325	Syar.g_03291, Syar.g_00148	Prbf.g_00628
OG0000326	Syar.g_00139, Syar.g_03134	Prbf.g_00621
OG0000327	Syar.g_01029	Prbf.g_00600
OG0000328	Syar.g_01030	Prbf.g_00599
OG0000329	Syar.g_03189, Syar.g_01048	Prbf.g_00582
OG0000330	Syar.g_03190, Syar.g_01049	Prbf.g_00581
OG0000331	Syar.g_01050, Syar.g_03191	Prbf.g_00580
OG0000332	Syar.g_01064, Syar.g_03299	Prbf.g_00566
OG0000333	Syar.g_01067	Prbf.g_00564
OG0000334	Syar.g_01076	Prbf.g_00555
OG0000335	Syar.g_01080	Prbf.g_00550
OG0000336	Syar.g_01084	Prbf.g_00546
OG0000337	Syar.g_00285	Prbf.g_00528
OG0000338	Syar.g_03225, Syar.g_00287	Prbf.g_00527
OG0000339	Syar.g_00658	Prbf.g_00521
OG0000340	Syar.g_00247	Prbf.g_00512
OG0000341	Syar.g_00249	Prbf.g_00510
OG0000342	Syar.g_00250	Prbf.g_00509
OG0000343	Syar.g_00256	Prbf.g_00508
OG0000344	Syar.g_00260	Prbf.g_00505
OG0000345	Syar.g_00612	Prbf.g_00499
OG0000346	Syar.g_00607	Prbf.g_00495
OG0000347	Syar.g_00558	Prbf.g_00477
OG0000348	Syar.g_00544	Prbf.g_00469
OG0000349	Syar.g_00521	Prbf.g_00452
OG0000350	Syar.g_00132	Prbf.g_00351
OG0000351	Syar.g_00442	Prbf.g_00412
OG0000352	Syar.g_00443	Prbf.g_00411
OG0000353	Syar.g_00469	Prbf.g_00394
OG0000355	Syar.g_00471	Prbf.g_00392
OG0000356	Syar.g_00472	Prbf.g_00391
OG0000357	Syar.g_00473	Prbf.g_00390
OG0000358	Syar.g_00477	Prbf.g_00386
OG0000359	Syar.g_00479	Prbf.g_00385
OG0000360	Syar.g_00480	Prbf.g_00384
OG0000361	Syar.g_00481	Prbf.g_00383
OG0000362	Syar.g_00483	Prbf.g_00381
OG0000363	Syar.g_00484	Prbf.g_01336
OG0000364	Syar.g_02928	Prbf.g_01337
OG0000365	Syar.g_00493	Prbf.g_01342
OG0000366	Syar.g_00494	Prbf.g_01343
OG0000367	Syar.g_03262, Syar.g_00495	Prbf.g_01344
OG0000368	Syar.g_00497	Prbf.g_01346
OG0000369	Syar.g_00498	Prbf.g_01347
OG0000370	Syar.g_00499	Prbf.g_01348
OG0000371	Syar.g_00508	Prbf.g_01355
OG0000372	Syar.g_00514	Prbf.g_01358
OG0000373	Syar.g_00515	Prbf.g_01359
OG0000374	Syar.g_00516	Prbf.g_01360
OG0000375	Syar.g_00517	Prbf.g_01362
OG0000376	Syar.g_00519	Prbf.g_01364
OG0000377	Syar.g_00322	Prbf.g_01368
OG0000378	Syar.g_00905	Prbf.g_01372
OG0000379	Syar.g_00910	Prbf.g_01375
OG0000380	Syar.g_03039	Prbf.g_01392
OG0000381	Syar.g_03041	Prbf.g_01397
OG0000382	Syar.g_03057	Prbf.g_01407
OG0000383	Syar.g_03074	Prbf.g_01409
OG0000384	Syar.g_03075	Prbf.g_01410
OG0000385	Syar.g_03076	Prbf.g_01411
OG0000386	Syar.g_03077	Prbf.g_01412
OG0000387	Syar.g_03109	Prbf.g_01426
OG0000388	Syar.g_03148, Syar.g_03113	Prbf.g_01430
OG0000389	Syar.g_03118	Prbf.g_01433
OG0000390	Syar.g_00033	Prbf.g_01443
OG0000391	Syar.g_00038	Prbf.g_01446
OG0000392	Syar.g_00045	Prbf.g_01450
OG0000393	Syar.g_00048	Prbf.g_01453
OG0000394	Syar.g_00049	Prbf.g_01454
OG0000395	Syar.g_00050	Prbf.g_01455
OG0000396	Syar.g_00053	Prbf.g_01457
OG0000397	Syar.g_00055	Prbf.g_01459
OG0000398	Syar.g_00060	Prbf.g_01462
OG0000399	Syar.g_00061	Prbf.g_01463
OG0000400	Syar.g_00062	Prbf.g_01464
OG0000401	Syar.g_00063	Prbf.g_01465
OG0000402	Syar.g_00065	Prbf.g_01055
OG0000403	Syar.g_00066	Prbf.g_01467
OG0000404	Syar.g_00067	Prbf.g_01468
OG0000405	Syar.g_00076	Prbf.g_01472
OG0000406	Syar.g_00080	Prbf.g_01480
OG0000407	Syar.g_00081	Prbf.g_01481
OG0000408	Syar.g_00083	Prbf.g_01483
OG0000409	Syar.g_00085	Prbf.g_01485
OG0000410	Syar.g_00086	Prbf.g_01486
OG0000411	Syar.g_00087	Prbf.g_01487
OG0000412	Syar.g_00088	Prbf.g_01488
OG0000413	Syar.g_00090	Prbf.g_01490
OG0000414	Syar.g_00091, Syar.g_03179	Prbf.g_01491
OG0000415	Syar.g_00092	Prbf.g_01492
OG0000416	Syar.g_00093	Prbf.g_01493
OG0000417	Syar.g_00095	Prbf.g_01494
OG0000418	Syar.g_00100	Prbf.g_01499
OG0000419	Syar.g_00102	Prbf.g_01501
OG0000420	Syar.g_00104	Prbf.g_01502
OG0000421	Syar.g_00109	Prbf.g_01507
OG0000422	Syar.g_00110	Prbf.g_01508
OG0000423	Syar.g_00111	Prbf.g_01509
OG0000424	Syar.g_00112	Prbf.g_01510
OG0000425	Syar.g_00113	Prbf.g_01511
OG0000426	Syar.g_00114	Prbf.g_01512
OG0000427	Syar.g_00115	Prbf.g_01513
OG0000428	Syar.g_00118	Prbf.g_01515
OG0000429	Syar.g_00121	Prbf.g_01516
OG0000430	Syar.g_00123	Prbf.g_01517
OG0000431	Syar.g_00127	Prbf.g_01519
OG0000432	Syar.g_01009	Prbf.g_01523
OG0000433	Syar.g_01007	Prbf.g_01524
OG0000434	Syar.g_01006	Prbf.g_01525
OG0000435	Syar.g_01003	Prbf.g_01526
OG0000436	Syar.g_00994	Prbf.g_01531
OG0000437	Syar.g_00993	Prbf.g_01532
OG0000438	Syar.g_00992	Prbf.g_01533
OG0000439	Syar.g_00990	Prbf.g_01535
OG0000440	Syar.g_00989	Prbf.g_01536
OG0000441	Syar.g_00986	Prbf.g_01539
OG0000442	Syar.g_00977	Prbf.g_01540
OG0000443	Syar.g_00964	Prbf.g_01541
OG0000444	Syar.g_00954	Prbf.g_01547
OG0000445	Syar.g_00953	Prbf.g_01548
OG0000446	Syar.g_00951	Prbf.g_01549
OG0000447	Syar.g_00948	Prbf.g_01550
OG0000448	Syar.g_00947	Prbf.g_01551
OG0000449	Syar.g_00946	Prbf.g_01552
OG0000450	Syar.g_00939	Prbf.g_01553
OG0000451	Syar.g_00938	Prbf.g_01554
OG0000452	Syar.g_00934	Prbf.g_01557
OG0000453	Syar.g_00933	Prbf.g_01558
OG0000454	Syar.g_00932	Prbf.g_01559
OG0000455	Syar.g_00931	Prbf.g_01560
OG0000456	Syar.g_00930	Prbf.g_01561
OG0000457	Syar.g_00928	Prbf.g_01563
OG0000458	Syar.g_00918	Prbf.g_01564
OG0000459	Syar.g_00917	Prbf.g_01565
OG0000460	Syar.g_03024	Prbf.g_01573
OG0000461	Syar.g_00153	Prbf.g_01581
OG0000462	Syar.g_00155	Prbf.g_01583
OG0000463	Syar.g_00156	Prbf.g_01584
OG0000464	Syar.g_00157	Prbf.g_01585
OG0000465	Syar.g_00159	Prbf.g_01586
OG0000466	Syar.g_00164	Prbf.g_01589
OG0000467	Syar.g_00165	Prbf.g_01590
OG0000468	Syar.g_00170	Prbf.g_01593
OG0000469	Syar.g_00203	Prbf.g_01601
OG0000470	Syar.g_00206	Prbf.g_01603
OG0000471	Syar.g_00207	Prbf.g_01604
OG0000472	Syar.g_00208	Prbf.g_01606
OG0000473	Syar.g_00210	Prbf.g_01608
OG0000474	Syar.g_00211	Prbf.g_01609
OG0000475	Syar.g_00212	Prbf.g_01610
OG0000476	Syar.g_00214	Prbf.g_01612
OG0000477	Syar.g_00219	Prbf.g_01615
OG0000478	Syar.g_00220	Prbf.g_01616
OG0000479	Syar.g_00221	Prbf.g_01617
OG0000480	Syar.g_00228	Prbf.g_01622
OG0000481	Syar.g_00230	Prbf.g_01625
OG0000482	Syar.g_00231	Prbf.g_01626
OG0000483	Syar.g_00235	Prbf.g_01629
OG0000484	Syar.g_00236	Prbf.g_01630
OG0000485	Syar.g_00237	Prbf.g_01632
OG0000486	Syar.g_00024, Syar.g_00238	Prbf.g_01633
OG0000487	Syar.g_00245	Prbf.g_01636
OG0000488	Syar.g_00853	Prbf.g_01639
OG0000489	Syar.g_00833	Prbf.g_01644
OG0000490	Syar.g_00823	Prbf.g_01648
OG0000491	Syar.g_00822	Prbf.g_01649
OG0000492	Syar.g_00727	Prbf.g_01651
OG0000493	Syar.g_00726	Prbf.g_01652
OG0000494	Syar.g_00725	Prbf.g_01653
OG0000495	Syar.g_00724	Prbf.g_01654
OG0000496	Syar.g_00723	Prbf.g_01655
OG0000497	Syar.g_00722	Prbf.g_01656
OG0000498	Syar.g_00721	Prbf.g_01657
OG0000499	Syar.g_00720	Prbf.g_01658
OG0000500	Syar.g_00719	Prbf.g_01659
OG0000501	Syar.g_00716	Prbf.g_01660
OG0000502	Syar.g_00275	Prbf.g_01663
OG0000503	Syar.g_01118	Prbf.g_01678
OG0000504	Syar.g_01120	Prbf.g_01680
OG0000505	Syar.g_01121	Prbf.g_01681
OG0000506	Syar.g_01123	Prbf.g_01682
OG0000507	Syar.g_01129	Prbf.g_01685
OG0000508	Syar.g_01141	Prbf.g_01689
OG0000509	Syar.g_01143	Prbf.g_01691
OG0000510	Syar.g_01144	Prbf.g_01692
OG0000511	Syar.g_01145	Prbf.g_01693
OG0000512	Syar.g_01147	Prbf.g_01695
OG0000513	Syar.g_01166	Prbf.g_01704
OG0000514	Syar.g_01169	Prbf.g_01715
OG0000515	Syar.g_01170	Prbf.g_01716
OG0000516	Syar.g_01172	Prbf.g_01717
OG0000517	Syar.g_01176	Prbf.g_01719
OG0000518	Syar.g_02868	Prbf.g_01730
OG0000519	Syar.g_02867	Prbf.g_01731
OG0000520	Syar.g_02866	Prbf.g_01732
OG0000521	Syar.g_01419	Prbf.g_01740
OG0000522	Syar.g_01421	Prbf.g_01742
OG0000523	Syar.g_01422	Prbf.g_01743
OG0000524	Syar.g_01244	Prbf.g_01748
OG0000525	Syar.g_01263	Prbf.g_01752
OG0000526	Syar.g_01266	Prbf.g_01753
OG0000527	Syar.g_01271	Prbf.g_01756
OG0000528	Syar.g_01466	Prbf.g_01761
OG0000529	Syar.g_01470	Prbf.g_01764
OG0000530	Syar.g_01473	Prbf.g_01767
OG0000531	Syar.g_01474	Prbf.g_01768
OG0000532	Syar.g_01477	Prbf.g_01770
OG0000533	Syar.g_01479	Prbf.g_01771
OG0000534	Syar.g_01480	Prbf.g_01772
OG0000535	Syar.g_01481	Prbf.g_01773
OG0000536	Syar.g_01482	Prbf.g_01774
OG0000537	Syar.g_01483	Prbf.g_01775
