Orthogroup	Syar	Prai
OG0000097	Syar.g_01706, Syar.g_00364	Prai.g_01214
OG0000098	Syar.g_02343	Prai.g_01353
OG0000099	Syar.g_00715	Prai.g_01393
OG0000100	Syar.g_02477	Prai.g_01536
OG0000101	Syar.g_01073, Syar.g_03154	Prai.g_01782
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prai.g_01843
OG0000103	Syar.g_00014, Syar.g_00452	Prai.g_01923
OG0000104	Syar.g_00466	Prai.g_01932
OG0000105	Syar.g_00218	Prai.g_00286, Prai.g_00287
OG0000106	Syar.g_01748	Prai.g_00383
OG0000107	Syar.g_03290, Syar.g_00149	Prai.g_00397
OG0000108	Syar.g_01469	Prai.g_00510
OG0000109	Syar.g_03310, Syar.g_01485	Prai.g_00524
OG0000110	Syar.g_02295	Prai.g_00603
OG0000111	Syar.g_01940, Syar.g_00005	Prai.g_00728
OG0000112	Syar.g_03195, Syar.g_02548	Prai.g_00882
OG0000113	Syar.g_02664	Prai.g_00825
OG0000114	Syar.g_01616	Prai.g_01046
OG0000115	Syar.g_02854, Syar.g_01415	Prai.g_01119
OG0000116	Syar.g_01525, Syar.g_02255	Prai.g_01162
OG0000117	Syar.g_01969	Prai.g_01273
OG0000118	Syar.g_02793	Prai.g_01347
OG0000120	Syar.g_00713	Prai.g_01443
OG0000121	Syar.g_02806	Prai.g_01465
OG0000123	Syar.g_01079	Prai.g_01789
OG0000124	Syar.g_00586	Prai.g_01854
OG0000125	Syar.g_00338	Prai.g_01892
OG0000126	Syar.g_00887, Syar.g_00888	Prai.g_01931
OG0000128	Syar.g_00482	Prai.g_00011
OG0000129	Syar.g_00324	Prai.g_00051
OG0000130	Syar.g_03040	Prai.g_00069
OG0000131	Syar.g_02216, Syar.g_00078	Prai.g_00156
OG0000132	Syar.g_00099	Prai.g_00175
OG0000133	Syar.g_02543	Prai.g_00335
OG0000134	Syar.g_02009, Syar.g_01165	Prai.g_00369
OG0000135	Syar.g_00698	Prai.g_00393
OG0000136	Syar.g_02874	Prai.g_00472
OG0000137	Syar.g_01273	Prai.g_00505
OG0000138	Syar.g_01486	Prai.g_00525
OG0000139	Syar.g_03245, Syar.g_02348	Prai.g_00565
OG0000140	Syar.g_02344, Syar.g_03246	Prai.g_00566
OG0000141	Syar.g_02129	Prai.g_00635
OG0000142	Syar.g_02418	Prai.g_00664
OG0000143	Syar.g_02422	Prai.g_00668
OG0000144	Syar.g_02441	Prai.g_00681
OG0000145	Syar.g_01494, Syar.g_03205	Prai.g_00883
OG0000146	Syar.g_02549	Prai.g_00881
OG0000147	Syar.g_02550	Prai.g_00880
OG0000148	Syar.g_02658	Prai.g_00831
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prai.g_00800
OG0000150	Syar.g_02130	Prai.g_00792
OG0000151	Syar.g_02038	Prai.g_01036
OG0000152	Syar.g_02539	Prai.g_00989
OG0000153	Syar.g_03283, Syar.g_02503	Prai.g_00970
OG0000154	Syar.g_01800	Prai.g_00943
OG0000155	Syar.g_01959	Prai.g_01191
OG0000156	Syar.g_01517	Prai.g_01323
OG0000157	Syar.g_01516	Prai.g_01324
OG0000158	Syar.g_00650	Prai.g_01392
OG0000160	Syar.g_02807	Prai.g_01464
OG0000161	Syar.g_02801	Prai.g_01470
OG0000162	Syar.g_02863	Prai.g_01476
OG0000163	Syar.g_00639, Syar.g_01186	Prai.g_01509
OG0000164	Syar.g_03168, Syar.g_02969	Prai.g_01662
OG0000165	Syar.g_02976	Prai.g_01669
OG0000166	Syar.g_01034	Prai.g_01740
OG0000167	Syar.g_00662	Prai.g_01812
OG0000168	Syar.g_00246	Prai.g_01822
OG0000169	Syar.g_00262	Prai.g_01832
OG0000170	Syar.g_00613	Prai.g_01834
OG0000171	Syar.g_00587	Prai.g_01853
OG0000172	Syar.g_00547	Prai.g_01863
OG0000173	Syar.g_00528	Prai.g_01878
OG0000174	Syar.g_00701	Prai.g_01905
OG0000175	Syar.g_00438	Prai.g_01915
OG0000176	Syar.g_00474	Prai.g_00004
OG0000177	Syar.g_00475	Prai.g_00005
OG0000178	Syar.g_00476	Prai.g_00006
OG0000179	Syar.g_00489	Prai.g_00016
OG0000180	Syar.g_00490	Prai.g_00017
OG0000181	Syar.g_00491	Prai.g_00018
OG0000182	Syar.g_00492	Prai.g_00019
OG0000183	Syar.g_00496	Prai.g_00023
OG0000184	Syar.g_00897	Prai.g_00053
OG0000185	Syar.g_00909	Prai.g_00056
OG0000186	Syar.g_03036	Prai.g_00064
OG0000187	Syar.g_03038	Prai.g_00065
OG0000188	Syar.g_03058	Prai.g_00082
OG0000189	Syar.g_03104	Prai.g_00096
OG0000190	Syar.g_03107, Syar.g_02374	Prai.g_00097
OG0000191	Syar.g_00039	Prai.g_00117
OG0000192	Syar.g_00046	Prai.g_00121
OG0000193	Syar.g_00079	Prai.g_00157
OG0000194	Syar.g_03236, Syar.g_00082	Prai.g_00160
OG0000195	Syar.g_00023, Syar.g_00084	Prai.g_00162
OG0000196	Syar.g_00096	Prai.g_00172
OG0000197	Syar.g_00097	Prai.g_00173
OG0000198	Syar.g_00098	Prai.g_00174
OG0000199	Syar.g_00106	Prai.g_00181
OG0000200	Syar.g_00124	Prai.g_00195
OG0000201	Syar.g_01000	Prai.g_00203
OG0000202	Syar.g_00998, Syar.g_00021	Prai.g_00204
OG0000203	Syar.g_00020, Syar.g_00997	Prai.g_00205
OG0000204	Syar.g_00996	Prai.g_00206
OG0000205	Syar.g_00988	Prai.g_00213
OG0000206	Syar.g_00963	Prai.g_00218
OG0000207	Syar.g_00957	Prai.g_00220
OG0000208	Syar.g_00956	Prai.g_00221
OG0000209	Syar.g_00936, Syar.g_03261	Prai.g_00230
OG0000210	Syar.g_00935, Syar.g_03260	Prai.g_00231
OG0000211	Syar.g_03026	Prai.g_00244
OG0000212	Syar.g_03017	Prai.g_00251
OG0000213	Syar.g_00187	Prai.g_00270
OG0000214	Syar.g_00209	Prai.g_00280
OG0000215	Syar.g_00239	Prai.g_00305
OG0000216	Syar.g_00244	Prai.g_00307
OG0000217	Syar.g_00854	Prai.g_00310
OG0000218	Syar.g_00852	Prai.g_00312
OG0000219	Syar.g_00851	Prai.g_00313
OG0000220	Syar.g_00850, Syar.g_02026	Prai.g_00314
OG0000221	Syar.g_00834	Prai.g_00315
OG0000222	Syar.g_02119, Syar.g_00728	Prai.g_00323
OG0000223	Syar.g_00649	Prai.g_00336
OG0000224	Syar.g_00762, Syar.g_00273	Prai.g_00338
OG0000225	Syar.g_01142	Prai.g_00358
OG0000226	Syar.g_01146	Prai.g_00362
OG0000227	Syar.g_01148	Prai.g_00364
OG0000228	Syar.g_01161	Prai.g_00367
OG0000229	Syar.g_01177, Syar.g_03273	Prai.g_00467
OG0000230	Syar.g_01179, Syar.g_03275	Prai.g_00469
OG0000231	Syar.g_02865, Syar.g_03151	Prai.g_00480
OG0000232	Syar.g_01424	Prai.g_00489
OG0000233	Syar.g_03183, Syar.g_01247	Prai.g_00494
OG0000234	Syar.g_01275	Prai.g_00506
OG0000235	Syar.g_01468	Prai.g_00509
OG0000236	Syar.g_03311, Syar.g_01484	Prai.g_00523
OG0000237	Syar.g_01503	Prai.g_00536
OG0000238	Syar.g_01508	Prai.g_00542
OG0000239	Syar.g_03277, Syar.g_02687	Prai.g_00553
OG0000240	Syar.g_03278, Syar.g_02686	Prai.g_00554
OG0000241	Syar.g_02410	Prai.g_00558
OG0000242	Syar.g_01926	Prai.g_00560
OG0000243	Syar.g_02335	Prai.g_00571
OG0000244	Syar.g_02327	Prai.g_00574
OG0000245	Syar.g_02325, Syar.g_03238	Prai.g_00576
OG0000246	Syar.g_02321	Prai.g_00580
OG0000247	Syar.g_02310	Prai.g_00590
OG0000248	Syar.g_02307, Syar.g_03293	Prai.g_00593
OG0000249	Syar.g_02305	Prai.g_00595
OG0000250	Syar.g_02299, Syar.g_03194	Prai.g_00600
OG0000251	Syar.g_03207, Syar.g_02194	Prai.g_00619
OG0000252	Syar.g_02189, Syar.g_03263	Prai.g_00622
OG0000253	Syar.g_02028, Syar.g_03229	Prai.g_00623
OG0000254	Syar.g_02169	Prai.g_00639
OG0000255	Syar.g_00011, Syar.g_02224	Prai.g_00645
OG0000256	Syar.g_02244	Prai.g_00656
OG0000257	Syar.g_02407, Syar.g_01762	Prai.g_00659
OG0000258	Syar.g_02427, Syar.g_00010	Prai.g_00672
OG0000259	Syar.g_02472	Prai.g_00689
OG0000260	Syar.g_03220, Syar.g_02475	Prai.g_00692
OG0000261	Syar.g_01916	Prai.g_00694
OG0000262	Syar.g_01690	Prai.g_00698
OG0000263	Syar.g_01991	Prai.g_00710
OG0000264	Syar.g_02135, Syar.g_03267	Prai.g_00720
OG0000266	Syar.g_01570	Prai.g_00758
OG0000267	Syar.g_01873	Prai.g_00769
OG0000268	Syar.g_02589	Prai.g_00770
OG0000269	Syar.g_02634	Prai.g_00853
OG0000270	Syar.g_00744, Syar.g_02637	Prai.g_00850
OG0000271	Syar.g_02645	Prai.g_00842
OG0000272	Syar.g_02646	Prai.g_00840, Prai.g_00841
OG0000273	Syar.g_02481, Syar.g_00008	Prai.g_00817
OG0000274	Syar.g_00009, Syar.g_02482	Prai.g_00816
OG0000275	Syar.g_01810	Prai.g_00741, Prai.g_00813
OG0000276	Syar.g_01817	Prai.g_00808
OG0000277	Syar.g_01818, Syar.g_03242	Prai.g_00807
OG0000278	Syar.g_01821, Syar.g_03174	Prai.g_00804
OG0000279	Syar.g_01838	Prai.g_00797
OG0000280	Syar.g_02067, Syar.g_00734	Prai.g_00796
OG0000281	Syar.g_02218	Prai.g_00791
OG0000282	Syar.g_01614, Syar.g_03255	Prai.g_01044
OG0000283	Syar.g_02574	Prai.g_01012
OG0000284	Syar.g_03258, Syar.g_02568	Prai.g_01007
OG0000285	Syar.g_02560	Prai.g_01002
OG0000286	Syar.g_02540	Prai.g_00990
OG0000287	Syar.g_02512	Prai.g_00973
OG0000288	Syar.g_01801	Prai.g_00944
OG0000289	Syar.g_03305, Syar.g_01786	Prai.g_00934
OG0000290	Syar.g_01928	Prai.g_00921
OG0000291	Syar.g_01930	Prai.g_00919
OG0000292	Syar.g_00463	Prai.g_01107
OG0000293	Syar.g_03297, Syar.g_01526	Prai.g_01163
OG0000294	Syar.g_01527, Syar.g_03296	Prai.g_01164
OG0000295	Syar.g_01951, Syar.g_03208	Prai.g_01183
OG0000296	Syar.g_01953	Prai.g_01185
OG0000297	Syar.g_01967, Syar.g_03216	Prai.g_01193
OG0000298	Syar.g_01968, Syar.g_03215	Prai.g_01194
OG0000299	Syar.g_01704	Prai.g_01213
OG0000300	Syar.g_01646, Syar.g_01711	Prai.g_01216
OG0000301	Syar.g_01712	Prai.g_01217
OG0000302	Syar.g_01713	Prai.g_01219
OG0000303	Syar.g_03136, Syar.g_01723	Prai.g_01226
OG0000304	Syar.g_01728	Prai.g_01230
OG0000305	Syar.g_01933, Syar.g_03163	Prai.g_01362
OG0000306	Syar.g_01884, Syar.g_03140	Prai.g_01365
OG0000307	Syar.g_01452, Syar.g_03153	Prai.g_01379
OG0000308	Syar.g_01450	Prai.g_01380
OG0000309	Syar.g_01239	Prai.g_01384
OG0000310	Syar.g_02826	Prai.g_01448
OG0000311	Syar.g_02823	Prai.g_01450
OG0000312	Syar.g_00015, Syar.g_02818	Prai.g_01453
OG0000313	Syar.g_02804	Prai.g_01467
OG0000314	Syar.g_01403	Prai.g_01489
OG0000315	Syar.g_01393	Prai.g_01499
OG0000316	Syar.g_02885	Prai.g_01519
OG0000317	Syar.g_02926	Prai.g_01636
OG0000318	Syar.g_02930	Prai.g_01639
OG0000319	Syar.g_02954	Prai.g_01652
OG0000320	Syar.g_02956	Prai.g_01654
OG0000321	Syar.g_02957	Prai.g_01655
OG0000322	Syar.g_02958	Prai.g_01656
OG0000323	Syar.g_02973	Prai.g_01665
OG0000324	Syar.g_00350, Syar.g_03001	Prai.g_01691
OG0000325	Syar.g_03291, Syar.g_00148	Prai.g_01702
OG0000326	Syar.g_00139, Syar.g_03134	Prai.g_01708
OG0000327	Syar.g_01029	Prai.g_01735
OG0000328	Syar.g_01030	Prai.g_01736
OG0000329	Syar.g_03189, Syar.g_01048	Prai.g_01754
OG0000330	Syar.g_03190, Syar.g_01049	Prai.g_01755
OG0000331	Syar.g_01050, Syar.g_03191	Prai.g_01756
OG0000332	Syar.g_01064, Syar.g_03299	Prai.g_01770
OG0000333	Syar.g_01067	Prai.g_01777
OG0000334	Syar.g_01076	Prai.g_01785
OG0000335	Syar.g_01080	Prai.g_01790
OG0000336	Syar.g_01084	Prai.g_01794
OG0000337	Syar.g_00285	Prai.g_01810
OG0000338	Syar.g_03225, Syar.g_00287	Prai.g_01811
OG0000339	Syar.g_00658	Prai.g_01815
OG0000340	Syar.g_00247	Prai.g_01823
OG0000341	Syar.g_00249	Prai.g_01825
OG0000342	Syar.g_00250	Prai.g_01826
OG0000343	Syar.g_00256	Prai.g_01827
OG0000344	Syar.g_00260	Prai.g_01830
OG0000345	Syar.g_00612	Prai.g_01835
OG0000346	Syar.g_00607	Prai.g_01839
OG0000347	Syar.g_00558	Prai.g_01855
OG0000348	Syar.g_00544	Prai.g_01866
OG0000349	Syar.g_00521	Prai.g_01883
OG0000350	Syar.g_00132	Prai.g_01901
OG0000351	Syar.g_00442	Prai.g_01918
OG0000352	Syar.g_00443	Prai.g_01919
OG0000353	Syar.g_00469	Prai.g_01935
OG0000355	Syar.g_00471	Prai.g_00001
OG0000356	Syar.g_00472	Prai.g_00002
OG0000357	Syar.g_00473	Prai.g_00003
OG0000358	Syar.g_00477	Prai.g_00007
OG0000359	Syar.g_00479	Prai.g_00008
OG0000360	Syar.g_00480	Prai.g_00009
OG0000361	Syar.g_00481	Prai.g_00010
OG0000362	Syar.g_00483	Prai.g_00012
OG0000363	Syar.g_00484	Prai.g_00014
OG0000364	Syar.g_02928	Prai.g_00015
OG0000365	Syar.g_00493	Prai.g_00020
OG0000366	Syar.g_00494	Prai.g_00021
OG0000367	Syar.g_03262, Syar.g_00495	Prai.g_00022
OG0000368	Syar.g_00497	Prai.g_00024
OG0000369	Syar.g_00498	Prai.g_00025
OG0000370	Syar.g_00499	Prai.g_00026
OG0000371	Syar.g_00508	Prai.g_00032
OG0000372	Syar.g_00514	Prai.g_00035
OG0000373	Syar.g_00515	Prai.g_00036
OG0000374	Syar.g_00516	Prai.g_00037
OG0000375	Syar.g_00517	Prai.g_00047
OG0000376	Syar.g_00519	Prai.g_00049
OG0000377	Syar.g_00322	Prai.g_00052
OG0000378	Syar.g_00905	Prai.g_00054
OG0000379	Syar.g_00910	Prai.g_00057
OG0000380	Syar.g_03039	Prai.g_00066
OG0000381	Syar.g_03041	Prai.g_00070
OG0000382	Syar.g_03057	Prai.g_00081
OG0000383	Syar.g_03074	Prai.g_00083
OG0000384	Syar.g_03075	Prai.g_00084
OG0000385	Syar.g_03076	Prai.g_00085
OG0000386	Syar.g_03077	Prai.g_00086
OG0000387	Syar.g_03109	Prai.g_00099
OG0000388	Syar.g_03148, Syar.g_03113	Prai.g_00102
OG0000389	Syar.g_03118	Prai.g_00106
OG0000390	Syar.g_00033	Prai.g_00113
OG0000391	Syar.g_00038	Prai.g_00116
OG0000392	Syar.g_00045	Prai.g_00120
OG0000393	Syar.g_00048	Prai.g_00122
OG0000394	Syar.g_00049	Prai.g_00123
OG0000395	Syar.g_00050	Prai.g_00124
OG0000396	Syar.g_00053	Prai.g_00127
OG0000397	Syar.g_00055	Prai.g_00129
OG0000398	Syar.g_00060	Prai.g_00131
OG0000399	Syar.g_00061	Prai.g_00132
OG0000400	Syar.g_00062	Prai.g_00133
OG0000401	Syar.g_00063	Prai.g_00134
OG0000402	Syar.g_00065	Prai.g_00136
OG0000403	Syar.g_00066	Prai.g_00137
OG0000404	Syar.g_00067	Prai.g_00138
OG0000405	Syar.g_00076	Prai.g_00142
OG0000406	Syar.g_00080	Prai.g_00158
OG0000407	Syar.g_00081	Prai.g_00159
OG0000408	Syar.g_00083	Prai.g_00161
OG0000409	Syar.g_00085	Prai.g_00163
OG0000410	Syar.g_00086	Prai.g_00164
OG0000411	Syar.g_00087	Prai.g_00165
OG0000412	Syar.g_00088	Prai.g_00166
OG0000413	Syar.g_00090	Prai.g_00167
OG0000414	Syar.g_00091, Syar.g_03179	Prai.g_01288, Prai.g_00168
OG0000415	Syar.g_00092	Prai.g_00169
OG0000416	Syar.g_00093	Prai.g_00170
OG0000417	Syar.g_00095	Prai.g_00171
OG0000418	Syar.g_00100	Prai.g_00176
OG0000419	Syar.g_00102	Prai.g_00178
OG0000420	Syar.g_00104	Prai.g_00179
OG0000421	Syar.g_00109	Prai.g_00184
OG0000422	Syar.g_00110	Prai.g_00185
OG0000423	Syar.g_00111	Prai.g_00186
OG0000424	Syar.g_00112	Prai.g_00187
OG0000425	Syar.g_00113	Prai.g_00188
OG0000426	Syar.g_00114	Prai.g_00189
OG0000427	Syar.g_00115	Prai.g_00190
OG0000428	Syar.g_00118	Prai.g_00192
OG0000429	Syar.g_00121	Prai.g_00193
OG0000430	Syar.g_00123	Prai.g_00194
OG0000431	Syar.g_00127	Prai.g_00196
OG0000432	Syar.g_01009	Prai.g_00199
OG0000433	Syar.g_01007	Prai.g_00200
OG0000434	Syar.g_01006	Prai.g_00201
OG0000435	Syar.g_01003	Prai.g_00202
OG0000436	Syar.g_00994	Prai.g_00207
OG0000437	Syar.g_00993	Prai.g_00208
OG0000438	Syar.g_00992	Prai.g_00209
OG0000439	Syar.g_00990	Prai.g_00211
OG0000440	Syar.g_00989	Prai.g_00212
OG0000441	Syar.g_00986	Prai.g_00215
OG0000442	Syar.g_00977	Prai.g_00216
OG0000443	Syar.g_00964	Prai.g_00217
OG0000444	Syar.g_00954	Prai.g_00222
OG0000445	Syar.g_00953	Prai.g_00223
OG0000446	Syar.g_00951	Prai.g_00224
OG0000447	Syar.g_00948	Prai.g_00225
OG0000448	Syar.g_00947	Prai.g_00226
OG0000449	Syar.g_00946	Prai.g_00227
OG0000450	Syar.g_00939	Prai.g_00228
OG0000451	Syar.g_00938	Prai.g_00229
OG0000452	Syar.g_00934	Prai.g_00232
OG0000453	Syar.g_00933	Prai.g_00233
OG0000454	Syar.g_00932	Prai.g_00234
OG0000455	Syar.g_00931	Prai.g_00235
OG0000456	Syar.g_00930	Prai.g_00236
OG0000457	Syar.g_00928	Prai.g_00237
OG0000458	Syar.g_00918	Prai.g_00238
OG0000459	Syar.g_00917	Prai.g_00239
OG0000460	Syar.g_03024	Prai.g_00246
OG0000461	Syar.g_00153	Prai.g_00255
OG0000462	Syar.g_00155	Prai.g_00257
OG0000463	Syar.g_00156	Prai.g_00258
OG0000464	Syar.g_00157	Prai.g_00259
OG0000465	Syar.g_00159	Prai.g_00260
OG0000466	Syar.g_00164	Prai.g_00263
OG0000467	Syar.g_00165	Prai.g_00264
OG0000468	Syar.g_00170	Prai.g_00266
OG0000469	Syar.g_00203	Prai.g_00275
OG0000470	Syar.g_00206	Prai.g_00277
OG0000471	Syar.g_00207	Prai.g_00278
OG0000472	Syar.g_00208	Prai.g_00279
OG0000473	Syar.g_00210	Prai.g_00281
OG0000474	Syar.g_00211	Prai.g_00282
OG0000475	Syar.g_00212	Prai.g_00283
OG0000476	Syar.g_00214	Prai.g_00284
OG0000477	Syar.g_00219	Prai.g_00288
OG0000478	Syar.g_00220	Prai.g_00289
OG0000479	Syar.g_00221	Prai.g_00290
OG0000480	Syar.g_00228	Prai.g_00295
OG0000481	Syar.g_00230	Prai.g_00297
OG0000482	Syar.g_00231	Prai.g_00298
OG0000483	Syar.g_00235	Prai.g_00301
OG0000484	Syar.g_00236	Prai.g_00302
OG0000485	Syar.g_00237	Prai.g_00303
OG0000486	Syar.g_00024, Syar.g_00238	Prai.g_00304
OG0000487	Syar.g_00245	Prai.g_00308
OG0000488	Syar.g_00853	Prai.g_00311
OG0000489	Syar.g_00833	Prai.g_00316
OG0000490	Syar.g_00823	Prai.g_00321
OG0000491	Syar.g_00822	Prai.g_00322
OG0000492	Syar.g_00727	Prai.g_00324
OG0000493	Syar.g_00726	Prai.g_00325
OG0000494	Syar.g_00725	Prai.g_00326
OG0000495	Syar.g_00724	Prai.g_00327
OG0000496	Syar.g_00723	Prai.g_00328
OG0000497	Syar.g_00722	Prai.g_00329
OG0000498	Syar.g_00721	Prai.g_00330
OG0000499	Syar.g_00720	Prai.g_00331
OG0000500	Syar.g_00719	Prai.g_00332
OG0000501	Syar.g_00716	Prai.g_00334
OG0000502	Syar.g_00275	Prai.g_00337
OG0000503	Syar.g_01118	Prai.g_00347
OG0000504	Syar.g_01120	Prai.g_00348
OG0000505	Syar.g_01121	Prai.g_00349
OG0000506	Syar.g_01123	Prai.g_00351
OG0000507	Syar.g_01129	Prai.g_00354
OG0000508	Syar.g_01141	Prai.g_00357
OG0000509	Syar.g_01143	Prai.g_00359
OG0000510	Syar.g_01144	Prai.g_00360
OG0000511	Syar.g_01145	Prai.g_00361
OG0000512	Syar.g_01147	Prai.g_00363
OG0000513	Syar.g_01166	Prai.g_00370
OG0000514	Syar.g_01169	Prai.g_00462
OG0000515	Syar.g_01170	Prai.g_00463
OG0000516	Syar.g_01172	Prai.g_00464
OG0000517	Syar.g_01176	Prai.g_00466
OG0000518	Syar.g_02868	Prai.g_00477
OG0000519	Syar.g_02867	Prai.g_00478
OG0000520	Syar.g_02866	Prai.g_00479
OG0000521	Syar.g_01419	Prai.g_00484
OG0000522	Syar.g_01421	Prai.g_00486
OG0000523	Syar.g_01422	Prai.g_00487
OG0000524	Syar.g_01244	Prai.g_00492
OG0000525	Syar.g_01263	Prai.g_00495
OG0000526	Syar.g_01266	Prai.g_00496
OG0000527	Syar.g_01271	Prai.g_00503
OG0000528	Syar.g_01466	Prai.g_00508
OG0000529	Syar.g_01470	Prai.g_00511
OG0000530	Syar.g_01473	Prai.g_00514
OG0000531	Syar.g_01474	Prai.g_00515
OG0000532	Syar.g_01477	Prai.g_00517
OG0000533	Syar.g_01479	Prai.g_00518
OG0000534	Syar.g_01480	Prai.g_00519
OG0000535	Syar.g_01481	Prai.g_00520
OG0000536	Syar.g_01482	Prai.g_00521
OG0000537	Syar.g_01483	Prai.g_00522
OG0000538	Syar.g_01496	Prai.g_00530
OG0000539	Syar.g_01497	Prai.g_00531
OG0000540	Syar.g_01498	Prai.g_00532
OG0000541	Syar.g_01499	Prai.g_00533
OG0000542	Syar.g_01502	Prai.g_00535
OG0000543	Syar.g_01504	Prai.g_00537
OG0000544	Syar.g_01505	Prai.g_00538
OG0000545	Syar.g_01507	Prai.g_00540
OG0000546	Syar.g_01509	Prai.g_00543
OG0000547	Syar.g_01511	Prai.g_00544
OG0000548	Syar.g_01512	Prai.g_00545
OG0000549	Syar.g_02693	Prai.g_00547
OG0000550	Syar.g_02689	Prai.g_00552
OG0000551	Syar.g_02684	Prai.g_00555
OG0000552	Syar.g_02683	Prai.g_00556
OG0000553	Syar.g_02679	Prai.g_00557
OG0000554	Syar.g_02352	Prai.g_00562
OG0000555	Syar.g_02336	Prai.g_00570
OG0000556	Syar.g_02332	Prai.g_00572
OG0000557	Syar.g_02328	Prai.g_00573
OG0000558	Syar.g_02326	Prai.g_00575
OG0000559	Syar.g_02322	Prai.g_00579
OG0000560	Syar.g_02320	Prai.g_00582
OG0000561	Syar.g_02319	Prai.g_00583
OG0000562	Syar.g_02318	Prai.g_00584
OG0000563	Syar.g_02317	Prai.g_00585
