Orthogroup	Syar	Syan
OG0000206	Syar.g_00963	Syan.g_03095
OG0000207	Syar.g_00957	Syan.g_03100
OG0000208	Syar.g_00956	Syan.g_03101
OG0000209	Syar.g_00936, Syar.g_03261	Syan.g_01521
OG0000210	Syar.g_00935	Syan.g_01522
OG0000211	Syar.g_03026	Syan.g_02416
OG0000212	Syar.g_03017	Syan.g_01508, Syan.g_02438
OG0000213	Syar.g_00187	Syan.g_02059
OG0000214	Syar.g_00209	Syan.g_02040
OG0000215	Syar.g_00239	Syan.g_02010
OG0000216	Syar.g_00244	Syan.g_02006
OG0000217	Syar.g_00854	Syan.g_02001
OG0000218	Syar.g_00852	Syan.g_01999
OG0000219	Syar.g_00851	Syan.g_01998
OG0000220	Syar.g_00850, Syar.g_02026	Syan.g_01997
OG0000221	Syar.g_00834	Syan.g_01994
OG0000222	Syar.g_02119, Syar.g_00728	Syan.g_01981
OG0000223	Syar.g_00649	Syan.g_00228
OG0000224	Syar.g_00273	Syan.g_01959
OG0000225	Syar.g_01142	Syan.g_02997
OG0000226	Syar.g_01146	Syan.g_02990
OG0000227	Syar.g_01148	Syan.g_02988
OG0000228	Syar.g_01161	Syan.g_02315
OG0000229	Syar.g_01177, Syar.g_03273	Syan.g_02396
OG0000230	Syar.g_01179	Syan.g_02398
OG0000231	Syar.g_02865	Syan.g_01333
OG0000232	Syar.g_01424	Syan.g_02801
OG0000233	Syar.g_03183, Syar.g_01247	Syan.g_02876
OG0000234	Syar.g_01275	Syan.g_02844
OG0000235	Syar.g_01468	Syan.g_02765
OG0000236	Syar.g_03311, Syar.g_01484	Syan.g_02749
OG0000237	Syar.g_01503	Syan.g_02731
OG0000238	Syar.g_01508	Syan.g_02726
OG0000239	Syar.g_02687	Syan.g_01187
OG0000240	Syar.g_03278, Syar.g_02686	Syan.g_01186
OG0000241	Syar.g_02410	Syan.g_00822
OG0000242	Syar.g_01926	Syan.g_01168
OG0000243	Syar.g_02335	Syan.g_00840
OG0000244	Syar.g_02327	Syan.g_00848
OG0000245	Syar.g_02325	Syan.g_00850
OG0000246	Syar.g_02321	Syan.g_00854
OG0000247	Syar.g_02310	Syan.g_00866
OG0000248	Syar.g_02307	Syan.g_00869
OG0000249	Syar.g_02305	Syan.g_00871
OG0000250	Syar.g_02299	Syan.g_00878
OG0000251	Syar.g_03207, Syar.g_02194	Syan.g_00961
OG0000252	Syar.g_02189, Syar.g_03263	Syan.g_00966
OG0000253	Syar.g_02028	Syan.g_01000
OG0000254	Syar.g_02169	Syan.g_01026
OG0000255	Syar.g_00011, Syar.g_02224	Syan.g_00978
OG0000256	Syar.g_02244	Syan.g_00001, Syan.g_01135
OG0000257	Syar.g_02407, Syar.g_01762	Syan.g_00827
OG0000258	Syar.g_02427	Syan.g_00803
OG0000259	Syar.g_02472	Syan.g_00772
OG0000260	Syar.g_03220, Syar.g_02475	Syan.g_00769
OG0000261	Syar.g_01916	Syan.g_00765
OG0000262	Syar.g_01690	Syan.g_00760
OG0000263	Syar.g_01991	Syan.g_02618
OG0000264	Syar.g_02135, Syar.g_03267	Syan.g_00540
OG0000266	Syar.g_01570	Syan.g_00330
OG0000267	Syar.g_01873	Syan.g_00470
OG0000268	Syar.g_02589	Syan.g_00471
OG0000269	Syar.g_02634	Syan.g_00695
OG0000270	Syar.g_00744, Syar.g_02637	Syan.g_00692
OG0000271	Syar.g_02645	Syan.g_00684
OG0000272	Syar.g_02646	Syan.g_00683
OG0000273	Syar.g_02481	Syan.g_00654
OG0000274	Syar.g_00009, Syar.g_02482	Syan.g_00653
OG0000275	Syar.g_01810	Syan.g_00373
OG0000276	Syar.g_01817	Syan.g_00380
OG0000277	Syar.g_01818	Syan.g_00381
OG0000278	Syar.g_01821	Syan.g_00384
OG0000279	Syar.g_01838	Syan.g_00398
OG0000280	Syar.g_02067, Syar.g_00734	Syan.g_00518
OG0000282	Syar.g_01614	Syan.g_00739
OG0000283	Syar.g_02574	Syan.g_00491
OG0000284	Syar.g_02568	Syan.g_00497
OG0000285	Syar.g_02560	Syan.g_00533
OG0000286	Syar.g_02540	Syan.g_00564
OG0000287	Syar.g_02512	Syan.g_00593
OG0000288	Syar.g_01801	Syan.g_00364
OG0000289	Syar.g_01786	Syan.g_00350
OG0000290	Syar.g_01928	Syan.g_00293
OG0000291	Syar.g_01930	Syan.g_00291
OG0000292	Syar.g_00463	Syan.g_01703
OG0000293	Syar.g_03297, Syar.g_01526	Syan.g_02709
OG0000294	Syar.g_01527	Syan.g_02708
OG0000295	Syar.g_01951, Syar.g_03208	Syan.g_02662
OG0000296	Syar.g_01953	Syan.g_02660
OG0000297	Syar.g_01967	Syan.g_02646
OG0000298	Syar.g_01968	Syan.g_02645
OG0000299	Syar.g_01704	Syan.g_02601
OG0000300	Syar.g_01711	Syan.g_02593, Syan.g_02594
OG0000301	Syar.g_01712	Syan.g_02592
OG0000302	Syar.g_01713	Syan.g_02591
OG0000303	Syar.g_01723	Syan.g_02582
OG0000304	Syar.g_01728	Syan.g_02556
OG0000305	Syar.g_01933, Syar.g_03163	Syan.g_00195
OG0000306	Syar.g_01884	Syan.g_00087
OG0000307	Syar.g_01452, Syar.g_03153	Syan.g_02782
OG0000308	Syar.g_01450	Syan.g_02784
OG0000309	Syar.g_01239	Syan.g_02883
OG0000310	Syar.g_02826	Syan.g_01304
OG0000311	Syar.g_02823	Syan.g_01299
OG0000312	Syar.g_02818	Syan.g_01290
OG0000313	Syar.g_02804	Syan.g_01271
OG0000314	Syar.g_01403	Syan.g_02823
OG0000315	Syar.g_01393	Syan.g_02833
OG0000316	Syar.g_02885	Syan.g_01354
OG0000317	Syar.g_02926	Syan.g_01396
OG0000318	Syar.g_02930	Syan.g_01401
OG0000319	Syar.g_02954	Syan.g_01425
OG0000320	Syar.g_02956	Syan.g_01427
OG0000321	Syar.g_02957	Syan.g_01428
OG0000322	Syar.g_02958	Syan.g_01429
OG0000323	Syar.g_02973	Syan.g_01442
OG0000324	Syar.g_00350, Syar.g_03001	Syan.g_01472
OG0000325	Syar.g_03291, Syar.g_00148	Syan.g_02107
OG0000326	Syar.g_00139	Syan.g_02114
OG0000327	Syar.g_01029	Syan.g_02244
OG0000328	Syar.g_01030	Syan.g_02243
OG0000329	Syar.g_03189, Syar.g_01048	Syan.g_02225
OG0000330	Syar.g_01049	Syan.g_02224
OG0000331	Syar.g_01050, Syar.g_03191	Syan.g_02223
OG0000332	Syar.g_01064	Syan.g_02208
OG0000333	Syar.g_01067	Syan.g_02205
OG0000334	Syar.g_01076	Syan.g_00247, Syan.g_02194
OG0000335	Syar.g_01080	Syan.g_02189
OG0000336	Syar.g_01084	Syan.g_02185
OG0000337	Syar.g_00285	Syan.g_01949
OG0000338	Syar.g_03225, Syar.g_00287	Syan.g_01943
OG0000339	Syar.g_00658	Syan.g_01935, Syan.g_00264
OG0000340	Syar.g_00247	Syan.g_01923
OG0000341	Syar.g_00249	Syan.g_01921
OG0000342	Syar.g_00250	Syan.g_01920
OG0000343	Syar.g_00256	Syan.g_01918
OG0000344	Syar.g_00260	Syan.g_01914
OG0000345	Syar.g_00612	Syan.g_01900
OG0000346	Syar.g_00607	Syan.g_01895
OG0000347	Syar.g_00558	Syan.g_01867
OG0000348	Syar.g_00544	Syan.g_01803
OG0000349	Syar.g_00521	Syan.g_01727
OG0000350	Syar.g_00132	Syan.g_02121
OG0000351	Syar.g_00442	Syan.g_01682
OG0000352	Syar.g_00443	Syan.g_01683
OG0000353	Syar.g_00469	Syan.g_01795
OG0000354	Syar.g_01514	Syan.g_02720
OG0000354	Syar.g_00487	Syan.g_01761
OG0000355	Syar.g_00471	Syan.g_01797
OG0000356	Syar.g_00472	Syan.g_01798
OG0000357	Syar.g_00473	Syan.g_01800
OG0000358	Syar.g_00477	Syan.g_01773
OG0000359	Syar.g_00479	Syan.g_01771
OG0000360	Syar.g_00480	Syan.g_01770
OG0000361	Syar.g_00481	Syan.g_01769
OG0000362	Syar.g_00483	Syan.g_01767
OG0000363	Syar.g_00484	Syan.g_01765
OG0000364	Syar.g_02928	Syan.g_01398
OG0000365	Syar.g_00493	Syan.g_01755
OG0000366	Syar.g_00494	Syan.g_01754
OG0000367	Syar.g_03262, Syar.g_00495	Syan.g_01753
OG0000368	Syar.g_00497	Syan.g_01751
OG0000369	Syar.g_00498	Syan.g_01750
OG0000370	Syar.g_00499	Syan.g_01749
OG0000371	Syar.g_00508	Syan.g_01740
OG0000372	Syar.g_00514	Syan.g_01734
OG0000373	Syar.g_00515	Syan.g_01733
OG0000374	Syar.g_00516	Syan.g_01732
OG0000375	Syar.g_00517	Syan.g_01731
OG0000376	Syar.g_00519	Syan.g_01729
OG0000377	Syar.g_00322	Syan.g_01555
OG0000378	Syar.g_00905	Syan.g_01543
OG0000379	Syar.g_00910	Syan.g_01539
OG0000380	Syar.g_03039	Syan.g_02905
OG0000381	Syar.g_03041	Syan.g_02908
OG0000382	Syar.g_03057	Syan.g_02925
OG0000383	Syar.g_03074	Syan.g_02936
OG0000384	Syar.g_03075	Syan.g_02937
OG0000385	Syar.g_03076	Syan.g_02938
OG0000386	Syar.g_03077	Syan.g_02939
OG0000387	Syar.g_03109	Syan.g_00967
OG0000388	Syar.g_03113	Syan.g_02970
OG0000389	Syar.g_03118	Syan.g_02973
OG0000390	Syar.g_00033	Syan.g_02306
OG0000391	Syar.g_00038	Syan.g_02301
OG0000392	Syar.g_00045	Syan.g_02295
OG0000393	Syar.g_00048	Syan.g_02292
OG0000394	Syar.g_00049	Syan.g_02291
OG0000395	Syar.g_00050	Syan.g_02290
OG0000396	Syar.g_00053	Syan.g_02287
OG0000397	Syar.g_00055	Syan.g_02285
OG0000398	Syar.g_00060	Syan.g_02279
OG0000399	Syar.g_00061	Syan.g_02278
OG0000400	Syar.g_00062	Syan.g_02277
OG0000401	Syar.g_00063	Syan.g_02274
OG0000402	Syar.g_00065	Syan.g_02272
OG0000403	Syar.g_00066	Syan.g_02271
OG0000404	Syar.g_00067	Syan.g_02269
OG0000405	Syar.g_00076	Syan.g_03005
OG0000406	Syar.g_00080	Syan.g_03010
OG0000407	Syar.g_00081	Syan.g_03011
OG0000408	Syar.g_00083	Syan.g_03013
OG0000409	Syar.g_00085	Syan.g_03015
OG0000410	Syar.g_00086	Syan.g_03016
OG0000411	Syar.g_00087	Syan.g_03017
OG0000412	Syar.g_00088	Syan.g_03018
OG0000413	Syar.g_00090	Syan.g_03020
OG0000414	Syar.g_00091, Syar.g_03179	Syan.g_03021
OG0000415	Syar.g_00092	Syan.g_03022
OG0000416	Syar.g_00093	Syan.g_03023
OG0000417	Syar.g_00095	Syan.g_03025
OG0000418	Syar.g_00100	Syan.g_03030
OG0000419	Syar.g_00102	Syan.g_03033
OG0000420	Syar.g_00104	Syan.g_03035
OG0000421	Syar.g_00109	Syan.g_03040
OG0000422	Syar.g_00110	Syan.g_03041
OG0000423	Syar.g_00111	Syan.g_03042
OG0000424	Syar.g_00112	Syan.g_03043
OG0000425	Syar.g_00113	Syan.g_03044
OG0000426	Syar.g_00114	Syan.g_03045
OG0000427	Syar.g_00115	Syan.g_03046
OG0000428	Syar.g_00118	Syan.g_03049
OG0000429	Syar.g_00121	Syan.g_03051
OG0000430	Syar.g_00123	Syan.g_03053
OG0000431	Syar.g_00127	Syan.g_03058
OG0000432	Syar.g_01009	Syan.g_03065
OG0000433	Syar.g_01007	Syan.g_03068
OG0000434	Syar.g_01006	Syan.g_03069
OG0000435	Syar.g_01003	Syan.g_03071
OG0000436	Syar.g_00994	Syan.g_03079
OG0000437	Syar.g_00993	Syan.g_03080
OG0000438	Syar.g_00992	Syan.g_03083
OG0000439	Syar.g_00990	Syan.g_03085
OG0000440	Syar.g_00989	Syan.g_03086
OG0000441	Syar.g_00986	Syan.g_03089
OG0000442	Syar.g_00977	Syan.g_03090
OG0000443	Syar.g_00964	Syan.g_03094
OG0000444	Syar.g_00954	Syan.g_03102
OG0000445	Syar.g_00953	Syan.g_03103
OG0000446	Syar.g_00951	Syan.g_03105
OG0000447	Syar.g_00948	Syan.g_03111
OG0000448	Syar.g_00947	Syan.g_03112
OG0000449	Syar.g_00946	Syan.g_03113
OG0000450	Syar.g_00939	Syan.g_01518
OG0000451	Syar.g_00938	Syan.g_01519
OG0000452	Syar.g_00934	Syan.g_01523
OG0000453	Syar.g_00933	Syan.g_01524
OG0000454	Syar.g_00932	Syan.g_01525
OG0000455	Syar.g_00931	Syan.g_01526
OG0000456	Syar.g_00930	Syan.g_01527
OG0000457	Syar.g_00928	Syan.g_01529
OG0000458	Syar.g_00918	Syan.g_01530
OG0000459	Syar.g_00917	Syan.g_01531
OG0000460	Syar.g_03024	Syan.g_02423
OG0000461	Syar.g_00153	Syan.g_02099
OG0000462	Syar.g_00155	Syan.g_02096
OG0000463	Syar.g_00156	Syan.g_02095
OG0000464	Syar.g_00157	Syan.g_02094
OG0000465	Syar.g_00159	Syan.g_02092
OG0000466	Syar.g_00164	Syan.g_02087
OG0000467	Syar.g_00165	Syan.g_02086
OG0000468	Syar.g_00170	Syan.g_02063
OG0000469	Syar.g_00203	Syan.g_02046
OG0000470	Syar.g_00206	Syan.g_02044
OG0000471	Syar.g_00207	Syan.g_02043
OG0000472	Syar.g_00208	Syan.g_02041
OG0000473	Syar.g_00210	Syan.g_02039
OG0000474	Syar.g_00211	Syan.g_02038
OG0000475	Syar.g_00212	Syan.g_02037
OG0000476	Syar.g_00214	Syan.g_02035
OG0000477	Syar.g_00219	Syan.g_02029
OG0000478	Syar.g_00220	Syan.g_02028
OG0000479	Syar.g_00221	Syan.g_02027
OG0000480	Syar.g_00228	Syan.g_02020
OG0000481	Syar.g_00230	Syan.g_00975
OG0000482	Syar.g_00231	Syan.g_02018
OG0000483	Syar.g_00235	Syan.g_02014
OG0000484	Syar.g_00236	Syan.g_02013
OG0000485	Syar.g_00237	Syan.g_02012
OG0000486	Syar.g_00024, Syar.g_00238	Syan.g_02011
OG0000487	Syar.g_00245	Syan.g_02005
OG0000488	Syar.g_00853	Syan.g_02000
OG0000489	Syar.g_00833	Syan.g_01993
OG0000490	Syar.g_00823	Syan.g_01985
OG0000491	Syar.g_00822	Syan.g_01983
OG0000492	Syar.g_00727	Syan.g_01980
OG0000493	Syar.g_00726	Syan.g_01979
OG0000494	Syar.g_00725	Syan.g_01978
OG0000495	Syar.g_00724	Syan.g_01977
OG0000496	Syar.g_00723	Syan.g_01976
OG0000497	Syar.g_00722	Syan.g_01975
OG0000498	Syar.g_00721	Syan.g_01974
OG0000499	Syar.g_00720	Syan.g_01973
OG0000500	Syar.g_00719	Syan.g_01972
OG0000501	Syar.g_00716	Syan.g_01969
OG0000502	Syar.g_00275	Syan.g_01961
OG0000503	Syar.g_01118	Syan.g_02144
OG0000504	Syar.g_01120	Syan.g_02142
OG0000505	Syar.g_01121	Syan.g_02141
OG0000506	Syar.g_01123	Syan.g_02139
OG0000507	Syar.g_01129	Syan.g_02133
OG0000508	Syar.g_01141	Syan.g_02998
OG0000509	Syar.g_01143	Syan.g_02993
OG0000510	Syar.g_01144	Syan.g_02992
OG0000511	Syar.g_01145	Syan.g_02991
OG0000512	Syar.g_01147	Syan.g_02989
OG0000513	Syar.g_01166	Syan.g_02320
OG0000514	Syar.g_01169	Syan.g_02326
OG0000515	Syar.g_01170	Syan.g_02327
OG0000516	Syar.g_01172	Syan.g_02389
OG0000517	Syar.g_01176	Syan.g_02395
OG0000518	Syar.g_02868	Syan.g_01336
OG0000519	Syar.g_02867	Syan.g_01335
OG0000520	Syar.g_02866	Syan.g_01334
OG0000521	Syar.g_01419	Syan.g_02805
OG0000522	Syar.g_01421	Syan.g_02803
OG0000523	Syar.g_01422	Syan.g_02802
OG0000524	Syar.g_01244	Syan.g_02878
OG0000525	Syar.g_01263	Syan.g_02853
OG0000526	Syar.g_01266	Syan.g_02852
OG0000527	Syar.g_01271	Syan.g_02848
OG0000528	Syar.g_01466	Syan.g_02767
OG0000529	Syar.g_01470	Syan.g_02763
OG0000530	Syar.g_01473	Syan.g_02760
OG0000531	Syar.g_01474	Syan.g_02759
OG0000532	Syar.g_01477	Syan.g_02756
OG0000533	Syar.g_01479	Syan.g_02754
OG0000534	Syar.g_01480	Syan.g_02753
OG0000535	Syar.g_01481	Syan.g_02752
OG0000536	Syar.g_01482	Syan.g_02751
OG0000537	Syar.g_01483	Syan.g_02750
OG0000538	Syar.g_01496	Syan.g_02738
OG0000539	Syar.g_01497	Syan.g_02737
OG0000540	Syar.g_01498	Syan.g_02736
OG0000541	Syar.g_01499	Syan.g_02735
OG0000542	Syar.g_01502	Syan.g_02732
OG0000543	Syar.g_01504	Syan.g_02730
OG0000544	Syar.g_01505	Syan.g_02729
OG0000545	Syar.g_01507	Syan.g_02727
OG0000546	Syar.g_01509	Syan.g_02725
OG0000547	Syar.g_01511	Syan.g_02723
OG0000548	Syar.g_01512	Syan.g_02722
OG0000549	Syar.g_02693	Syan.g_01194
OG0000550	Syar.g_02689	Syan.g_01189
OG0000551	Syar.g_02684	Syan.g_01184
OG0000552	Syar.g_02683	Syan.g_01183
OG0000553	Syar.g_02679	Syan.g_01179
OG0000554	Syar.g_02352	Syan.g_01165
OG0000555	Syar.g_02336	Syan.g_00839
OG0000556	Syar.g_02332	Syan.g_00842
OG0000557	Syar.g_02328	Syan.g_00847
OG0000558	Syar.g_02326	Syan.g_00849
