Orthogroup	Syar	Pran
OG0000065	Syar.g_03119	Pran.g_00326
OG0000066	Syar.g_03187, Syar.g_02228	Pran.g_01639
OG0000067	Syar.g_02639	Pran.g_01343
OG0000068	Syar.g_02329, Syar.g_01461	Pran.g_00841
OG0000069	Syar.g_01716	Pran.g_00614
OG0000070	Syar.g_02223, Syar.g_03150	Pran.g_01727
OG0000071	Syar.g_02777	Pran.g_00938, Pran.g_00876
OG0000072	Syar.g_00107, Syar.g_01140	Pran.g_00261
OG0000073	Syar.g_01364, Syar.g_01493	Pran.g_01679
OG0000075	Syar.g_03065, Syar.g_00659	Pran.g_01137
OG0000076	Syar.g_00608	Pran.g_01160
OG0000077	Syar.g_03051	Pran.g_00354
OG0000078	Syar.g_03265, Syar.g_03018, Syar.g_01366	Pran.g_00194
OG0000079	Syar.g_00166	Pran.g_01940
OG0000080	Syar.g_00585	Pran.g_00796, Pran.g_00794
OG0000081	Syar.g_01898	Pran.g_01647
OG0000082	Syar.g_02202	Pran.g_01593
OG0000085	Syar.g_02919	Pran.g_00963
OG0000086	Syar.g_03085	Pran.g_00344
OG0000087	Syar.g_03192, Syar.g_00068	Pran.g_00295
OG0000088	Syar.g_00101	Pran.g_00266
OG0000089	Syar.g_01162	Pran.g_01839
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Pran.g_01645
OG0000091	Syar.g_01891, Syar.g_02426	Pran.g_01536
OG0000093	Syar.g_02623	Pran.g_00455
OG0000094	Syar.g_01789	Pran.g_00549
OG0000095	Syar.g_01932	Pran.g_00903
OG0000097	Syar.g_01706, Syar.g_00364	Pran.g_00019
OG0000098	Syar.g_02343	Pran.g_00855
OG0000099	Syar.g_00715	Pran.g_00806
OG0000100	Syar.g_02477	Pran.g_00659
OG0000101	Syar.g_01073, Syar.g_03154	Pran.g_01105
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Pran.g_01165
OG0000103	Syar.g_00014, Syar.g_00452	Pran.g_01244
OG0000104	Syar.g_00466	Pran.g_01253
OG0000105	Syar.g_00218	Pran.g_01920
OG0000106	Syar.g_01748	Pran.g_01824
OG0000107	Syar.g_03290, Syar.g_00149	Pran.g_01808
OG0000108	Syar.g_01469	Pran.g_01698
OG0000109	Syar.g_03310, Syar.g_01485	Pran.g_01684
OG0000110	Syar.g_02295	Pran.g_01603
OG0000111	Syar.g_01940, Syar.g_00005	Pran.g_01479
OG0000112	Syar.g_03195, Syar.g_02548	Pran.g_01378
OG0000113	Syar.g_02664	Pran.g_01321
OG0000114	Syar.g_01616	Pran.g_00429
OG0000115	Syar.g_02854, Syar.g_01415	Pran.g_00123
OG0000116	Syar.g_01525, Syar.g_02255	Pran.g_00070
OG0000117	Syar.g_01969	Pran.g_01466
OG0000118	Syar.g_02793	Pran.g_00864
OG0000120	Syar.g_00713	Pran.g_00752
OG0000121	Syar.g_02806	Pran.g_00731
OG0000123	Syar.g_01079	Pran.g_01112
OG0000124	Syar.g_00586	Pran.g_01176
OG0000125	Syar.g_00338	Pran.g_01212
OG0000126	Syar.g_00887, Syar.g_00888	Pran.g_01252
OG0000128	Syar.g_00482	Pran.g_01268
OG0000129	Syar.g_00324	Pran.g_00381
OG0000130	Syar.g_03040	Pran.g_00363
OG0000131	Syar.g_02216, Syar.g_00078	Pran.g_00288
OG0000132	Syar.g_00099	Pran.g_00268
OG0000133	Syar.g_02543	Pran.g_01872
OG0000134	Syar.g_02009, Syar.g_01165	Pran.g_01838
OG0000135	Syar.g_00698	Pran.g_01812
OG0000136	Syar.g_02874	Pran.g_01739
OG0000137	Syar.g_01273	Pran.g_01703
OG0000138	Syar.g_01486	Pran.g_01683
OG0000139	Syar.g_03245, Syar.g_02348	Pran.g_01641
OG0000140	Syar.g_02344, Syar.g_03246	Pran.g_01640
OG0000141	Syar.g_02129	Pran.g_01571
OG0000142	Syar.g_02418	Pran.g_01543
OG0000143	Syar.g_02422	Pran.g_01539
OG0000144	Syar.g_02441	Pran.g_01526
OG0000145	Syar.g_01494, Syar.g_03205	Pran.g_01400
OG0000146	Syar.g_02549	Pran.g_01377
OG0000147	Syar.g_02550	Pran.g_01376
OG0000148	Syar.g_02658	Pran.g_01327
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Pran.g_01297
OG0000150	Syar.g_02130	Pran.g_01289
OG0000151	Syar.g_02038	Pran.g_00439
OG0000152	Syar.g_02539	Pran.g_00487
OG0000153	Syar.g_03283, Syar.g_02503	Pran.g_00506
OG0000154	Syar.g_01800	Pran.g_00542
OG0000155	Syar.g_01959	Pran.g_00040
OG0000156	Syar.g_01517	Pran.g_00887
OG0000157	Syar.g_01516	Pran.g_00886
OG0000158	Syar.g_00650	Pran.g_00822
OG0000160	Syar.g_02807	Pran.g_00732
OG0000161	Syar.g_02801	Pran.g_00726
OG0000162	Syar.g_02863	Pran.g_00720
OG0000163	Syar.g_00639, Syar.g_01186	Pran.g_00686
OG0000164	Syar.g_03168, Syar.g_02969	Pran.g_00994
OG0000165	Syar.g_02976	Pran.g_01001
OG0000166	Syar.g_01034	Pran.g_01069, Pran.g_01068
OG0000167	Syar.g_00662	Pran.g_01135
OG0000168	Syar.g_00246	Pran.g_01144
OG0000169	Syar.g_00262	Pran.g_01154
OG0000170	Syar.g_00613	Pran.g_01156
OG0000171	Syar.g_00587	Pran.g_01175
OG0000172	Syar.g_00547	Pran.g_01184
OG0000173	Syar.g_00528	Pran.g_01199
OG0000174	Syar.g_00701	Pran.g_01226
OG0000175	Syar.g_00438	Pran.g_01236
OG0000176	Syar.g_00474	Pran.g_01261
OG0000177	Syar.g_00475	Pran.g_01262
OG0000178	Syar.g_00476	Pran.g_01263
OG0000179	Syar.g_00489	Pran.g_00408
OG0000180	Syar.g_00490	Pran.g_00407
OG0000181	Syar.g_00491	Pran.g_00406
OG0000182	Syar.g_00492	Pran.g_00405
OG0000183	Syar.g_00496	Pran.g_00401
OG0000184	Syar.g_00897	Pran.g_00379
OG0000185	Syar.g_00909	Pran.g_00376
OG0000186	Syar.g_03036	Pran.g_00368
OG0000187	Syar.g_03038	Pran.g_00367
OG0000188	Syar.g_03058	Pran.g_00350
OG0000189	Syar.g_03104	Pran.g_00337
OG0000190	Syar.g_03107, Syar.g_02374	Pran.g_00336
OG0000191	Syar.g_00039	Pran.g_00316
OG0000192	Syar.g_00046	Pran.g_00312
OG0000193	Syar.g_00079	Pran.g_00287
OG0000194	Syar.g_03236, Syar.g_00082	Pran.g_00283
OG0000195	Syar.g_00023, Syar.g_00084	Pran.g_00281
OG0000196	Syar.g_00096	Pran.g_00271
OG0000197	Syar.g_00097	Pran.g_00270
OG0000198	Syar.g_00098	Pran.g_00269
OG0000199	Syar.g_00106	Pran.g_00262
OG0000200	Syar.g_00124	Pran.g_00248
OG0000201	Syar.g_01000	Pran.g_00240
OG0000202	Syar.g_00998, Syar.g_00021	Pran.g_00239
OG0000203	Syar.g_00020, Syar.g_00997	Pran.g_00238
OG0000204	Syar.g_00996	Pran.g_00237
OG0000205	Syar.g_00988	Pran.g_00230
OG0000206	Syar.g_00963	Pran.g_00225
OG0000207	Syar.g_00957	Pran.g_00223
OG0000208	Syar.g_00956	Pran.g_00222
OG0000209	Syar.g_00936, Syar.g_03261	Pran.g_00213
OG0000210	Syar.g_00935, Syar.g_03260	Pran.g_00212
OG0000211	Syar.g_03026	Pran.g_00199
OG0000212	Syar.g_03017	Pran.g_00193
OG0000213	Syar.g_00187	Pran.g_01935
OG0000214	Syar.g_00209	Pran.g_01926
OG0000215	Syar.g_00239	Pran.g_01902
OG0000216	Syar.g_00244	Pran.g_01900
OG0000217	Syar.g_00854	Pran.g_01897
OG0000218	Syar.g_00852	Pran.g_01895
OG0000219	Syar.g_00851	Pran.g_01894
OG0000220	Syar.g_00850, Syar.g_02026	Pran.g_01893
OG0000221	Syar.g_00834	Pran.g_01892
OG0000222	Syar.g_02119, Syar.g_00728	Pran.g_01884
OG0000223	Syar.g_00649	Pran.g_01871
OG0000224	Syar.g_00762, Syar.g_00273	Pran.g_01869
OG0000225	Syar.g_01142	Pran.g_01849
OG0000226	Syar.g_01146	Pran.g_01845
OG0000227	Syar.g_01148	Pran.g_01843
OG0000228	Syar.g_01161	Pran.g_01840
OG0000229	Syar.g_01177, Syar.g_03273	Pran.g_01744
OG0000230	Syar.g_01179, Syar.g_03275	Pran.g_01742
OG0000231	Syar.g_02865, Syar.g_03151	Pran.g_01728
OG0000232	Syar.g_01424	Pran.g_01720
OG0000233	Syar.g_03183, Syar.g_01247	Pran.g_01715
OG0000234	Syar.g_01275	Pran.g_01702
OG0000235	Syar.g_01468	Pran.g_01699
OG0000236	Syar.g_03311, Syar.g_01484	Pran.g_01685
OG0000237	Syar.g_01503	Pran.g_01672
OG0000238	Syar.g_01508	Pran.g_01666
OG0000239	Syar.g_03277, Syar.g_02687	Pran.g_01653
OG0000240	Syar.g_03278, Syar.g_02686	Pran.g_01652
OG0000241	Syar.g_02410	Pran.g_01648
OG0000242	Syar.g_01926	Pran.g_01646
OG0000243	Syar.g_02335	Pran.g_01635
OG0000244	Syar.g_02327	Pran.g_01632
OG0000245	Syar.g_02325, Syar.g_03238	Pran.g_01630
OG0000246	Syar.g_02321	Pran.g_01626
OG0000247	Syar.g_02310	Pran.g_01616
OG0000248	Syar.g_02307, Syar.g_03293	Pran.g_01613
OG0000249	Syar.g_02305	Pran.g_01611
OG0000250	Syar.g_02299, Syar.g_03194	Pran.g_01606
OG0000251	Syar.g_03207, Syar.g_02194	Pran.g_01587
OG0000252	Syar.g_02189, Syar.g_03263	Pran.g_01584
OG0000253	Syar.g_02028, Syar.g_03229	Pran.g_01583
OG0000254	Syar.g_02169	Pran.g_01567
OG0000255	Syar.g_00011, Syar.g_02224	Pran.g_01561
OG0000256	Syar.g_02244	Pran.g_01551
OG0000257	Syar.g_02407, Syar.g_01762	Pran.g_01548
OG0000258	Syar.g_02427, Syar.g_00010	Pran.g_01535
OG0000259	Syar.g_02472	Pran.g_01518
OG0000260	Syar.g_03220, Syar.g_02475	Pran.g_01515
OG0000261	Syar.g_01916	Pran.g_01513
OG0000262	Syar.g_01690	Pran.g_01509
OG0000263	Syar.g_01991	Pran.g_01497
OG0000264	Syar.g_02135, Syar.g_03267	Pran.g_01487
OG0000266	Syar.g_01570	Pran.g_01450
OG0000267	Syar.g_01873	Pran.g_01439
OG0000268	Syar.g_02589	Pran.g_01438
OG0000269	Syar.g_02634	Pran.g_01348
OG0000270	Syar.g_00744, Syar.g_02637	Pran.g_01345
OG0000271	Syar.g_02645	Pran.g_01337
OG0000272	Syar.g_02646	Pran.g_01336
OG0000273	Syar.g_02481, Syar.g_00008	Pran.g_01313
OG0000274	Syar.g_00009, Syar.g_02482	Pran.g_01312
OG0000275	Syar.g_01810	Pran.g_01310
OG0000276	Syar.g_01817	Pran.g_01305
OG0000277	Syar.g_01818, Syar.g_03242	Pran.g_01304
OG0000278	Syar.g_01821, Syar.g_03174	Pran.g_01301
OG0000279	Syar.g_01838	Pran.g_01294
OG0000280	Syar.g_02067, Syar.g_00734	Pran.g_01293
OG0000281	Syar.g_02218	Pran.g_01287
OG0000282	Syar.g_01614, Syar.g_03255	Pran.g_00431
OG0000283	Syar.g_02574	Pran.g_00464
OG0000284	Syar.g_03258, Syar.g_02568	Pran.g_00469
OG0000285	Syar.g_02560	Pran.g_00474
OG0000286	Syar.g_02540	Pran.g_00486
OG0000287	Syar.g_02512	Pran.g_00503
OG0000288	Syar.g_01801	Pran.g_00541
OG0000289	Syar.g_03305, Syar.g_01786	Pran.g_00552
OG0000290	Syar.g_01928	Pran.g_00565
OG0000291	Syar.g_01930	Pran.g_00567
OG0000292	Syar.g_00463	Pran.g_00135
OG0000293	Syar.g_03297, Syar.g_01526	Pran.g_00069
OG0000294	Syar.g_01527, Syar.g_03296	Pran.g_00068
OG0000295	Syar.g_01951, Syar.g_03208	Pran.g_00048
OG0000296	Syar.g_01953	Pran.g_00046
OG0000297	Syar.g_01967, Syar.g_03216	Pran.g_00038
OG0000298	Syar.g_01968, Syar.g_03215	Pran.g_00037
OG0000299	Syar.g_01704	Pran.g_00020
OG0000300	Syar.g_01646, Syar.g_01711	Pran.g_00017
OG0000301	Syar.g_01712	Pran.g_00016
OG0000302	Syar.g_01713	Pran.g_00014
OG0000303	Syar.g_03136, Syar.g_01723	Pran.g_00007
OG0000304	Syar.g_01728	Pran.g_00003
OG0000305	Syar.g_01933, Syar.g_03163	Pran.g_00848
OG0000306	Syar.g_01884, Syar.g_03140	Pran.g_00846
OG0000307	Syar.g_01452, Syar.g_03153	Pran.g_00832
OG0000308	Syar.g_01450	Pran.g_00831
OG0000309	Syar.g_01239	Pran.g_00827
OG0000310	Syar.g_02826	Pran.g_00748
OG0000311	Syar.g_02823	Pran.g_00746
OG0000312	Syar.g_00015, Syar.g_02818	Pran.g_00743
OG0000313	Syar.g_02804	Pran.g_00729
OG0000314	Syar.g_01403	Pran.g_00706
OG0000315	Syar.g_01393	Pran.g_00696
OG0000316	Syar.g_02885	Pran.g_00676
OG0000317	Syar.g_02926	Pran.g_00968
OG0000318	Syar.g_02930	Pran.g_00971
OG0000319	Syar.g_02954	Pran.g_00984
OG0000320	Syar.g_02956	Pran.g_00986
OG0000321	Syar.g_02957	Pran.g_00987
OG0000322	Syar.g_02958	Pran.g_00988
OG0000323	Syar.g_02973	Pran.g_00997
OG0000324	Syar.g_00350, Syar.g_03001	Pran.g_01023
OG0000325	Syar.g_03291, Syar.g_00148	Pran.g_01033
OG0000326	Syar.g_00139, Syar.g_03134	Pran.g_01039
OG0000327	Syar.g_01029	Pran.g_01063
OG0000328	Syar.g_01030	Pran.g_01064
OG0000329	Syar.g_03189, Syar.g_01048	Pran.g_01082
OG0000330	Syar.g_03190, Syar.g_01049	Pran.g_01083
OG0000331	Syar.g_01050, Syar.g_03191	Pran.g_01084
OG0000332	Syar.g_01064, Syar.g_03299	Pran.g_01098
OG0000333	Syar.g_01067	Pran.g_01100
OG0000334	Syar.g_01076	Pran.g_01108
OG0000335	Syar.g_01080	Pran.g_01113
OG0000336	Syar.g_01084	Pran.g_01117
OG0000337	Syar.g_00285	Pran.g_01133
OG0000338	Syar.g_03225, Syar.g_00287	Pran.g_01134
OG0000339	Syar.g_00658	Pran.g_01138
OG0000340	Syar.g_00247	Pran.g_01145
OG0000341	Syar.g_00249	Pran.g_01147
OG0000342	Syar.g_00250	Pran.g_01148
OG0000343	Syar.g_00256	Pran.g_01149
OG0000344	Syar.g_00260	Pran.g_01152
OG0000345	Syar.g_00612	Pran.g_01157
OG0000346	Syar.g_00607	Pran.g_01161
OG0000347	Syar.g_00558	Pran.g_01177
OG0000348	Syar.g_00544	Pran.g_01187
OG0000349	Syar.g_00521	Pran.g_01203
OG0000350	Syar.g_00132	Pran.g_01222
OG0000351	Syar.g_00442	Pran.g_01239
OG0000352	Syar.g_00443	Pran.g_01240
OG0000353	Syar.g_00469	Pran.g_01256
OG0000355	Syar.g_00471	Pran.g_01258
OG0000356	Syar.g_00472	Pran.g_01259
OG0000357	Syar.g_00473	Pran.g_01260
OG0000358	Syar.g_00477	Pran.g_01264
OG0000359	Syar.g_00479	Pran.g_01265
OG0000360	Syar.g_00480	Pran.g_01266
OG0000361	Syar.g_00481	Pran.g_01267
OG0000362	Syar.g_00483	Pran.g_01269
OG0000363	Syar.g_00484	Pran.g_00410
OG0000364	Syar.g_02928	Pran.g_00409
OG0000365	Syar.g_00493	Pran.g_00404
OG0000366	Syar.g_00494	Pran.g_00403
OG0000367	Syar.g_03262, Syar.g_00495	Pran.g_00402
OG0000368	Syar.g_00497	Pran.g_00400
OG0000369	Syar.g_00498	Pran.g_00399
OG0000370	Syar.g_00499	Pran.g_00398
OG0000371	Syar.g_00508	Pran.g_00392
OG0000372	Syar.g_00514	Pran.g_00389
OG0000373	Syar.g_00515	Pran.g_00388
OG0000374	Syar.g_00516	Pran.g_00387
OG0000375	Syar.g_00517	Pran.g_00385
OG0000376	Syar.g_00519	Pran.g_00383
OG0000377	Syar.g_00322	Pran.g_00380
OG0000378	Syar.g_00905	Pran.g_00378
OG0000379	Syar.g_00910	Pran.g_00375
OG0000380	Syar.g_03039	Pran.g_00366
OG0000381	Syar.g_03041	Pran.g_00362
OG0000382	Syar.g_03057	Pran.g_00351
OG0000383	Syar.g_03074	Pran.g_00349
OG0000384	Syar.g_03075	Pran.g_00348
OG0000385	Syar.g_03076	Pran.g_00347
OG0000386	Syar.g_03077	Pran.g_00346
OG0000387	Syar.g_03109	Pran.g_00334
OG0000388	Syar.g_03148, Syar.g_03113	Pran.g_00331
OG0000389	Syar.g_03118	Pran.g_00327
OG0000390	Syar.g_00033	Pran.g_00320
OG0000391	Syar.g_00038	Pran.g_00317
OG0000392	Syar.g_00045	Pran.g_00313
OG0000393	Syar.g_00048	Pran.g_00311
OG0000394	Syar.g_00049	Pran.g_00310
OG0000395	Syar.g_00050	Pran.g_00309
OG0000396	Syar.g_00053	Pran.g_00307
OG0000397	Syar.g_00055	Pran.g_00305
OG0000398	Syar.g_00060	Pran.g_00303
OG0000399	Syar.g_00061	Pran.g_00302
OG0000400	Syar.g_00062	Pran.g_00301
OG0000401	Syar.g_00063	Pran.g_00300
OG0000402	Syar.g_00065	Pran.g_00298
OG0000403	Syar.g_00066	Pran.g_00297
OG0000404	Syar.g_00067	Pran.g_00296
OG0000405	Syar.g_00076	Pran.g_00292
OG0000406	Syar.g_00080	Pran.g_00286
OG0000407	Syar.g_00081	Pran.g_00285
OG0000408	Syar.g_00083	Pran.g_00282
OG0000409	Syar.g_00085	Pran.g_00280
OG0000410	Syar.g_00086	Pran.g_00279
OG0000411	Syar.g_00087	Pran.g_00278
OG0000412	Syar.g_00088	Pran.g_00277
OG0000413	Syar.g_00090	Pran.g_00276
OG0000414	Syar.g_00091, Syar.g_03179	Pran.g_00275
OG0000415	Syar.g_00092	Pran.g_00274
OG0000416	Syar.g_00093	Pran.g_00273
OG0000417	Syar.g_00095	Pran.g_00272
OG0000418	Syar.g_00100	Pran.g_00267
OG0000419	Syar.g_00102	Pran.g_00265
OG0000420	Syar.g_00104	Pran.g_00264
OG0000421	Syar.g_00109	Pran.g_00259
OG0000422	Syar.g_00110	Pran.g_00258
OG0000423	Syar.g_00111	Pran.g_00257
OG0000424	Syar.g_00112	Pran.g_00256
OG0000425	Syar.g_00113	Pran.g_00255
OG0000426	Syar.g_00114	Pran.g_00254
OG0000427	Syar.g_00115	Pran.g_00253
OG0000428	Syar.g_00118	Pran.g_00251
OG0000429	Syar.g_00121	Pran.g_00250
OG0000430	Syar.g_00123	Pran.g_00249
OG0000431	Syar.g_00127	Pran.g_00247
OG0000432	Syar.g_01009	Pran.g_00244
OG0000433	Syar.g_01007	Pran.g_00243
OG0000434	Syar.g_01006	Pran.g_00242
OG0000435	Syar.g_01003	Pran.g_00241
OG0000436	Syar.g_00994	Pran.g_00236
OG0000437	Syar.g_00993	Pran.g_00235
OG0000438	Syar.g_00992	Pran.g_00234
OG0000439	Syar.g_00990	Pran.g_00232
OG0000440	Syar.g_00989	Pran.g_00231
OG0000441	Syar.g_00986	Pran.g_00228
OG0000442	Syar.g_00977	Pran.g_00227
OG0000443	Syar.g_00964	Pran.g_00226
OG0000444	Syar.g_00954	Pran.g_00221
OG0000445	Syar.g_00953	Pran.g_00220
OG0000446	Syar.g_00951	Pran.g_00219
OG0000447	Syar.g_00948	Pran.g_00218
OG0000448	Syar.g_00947	Pran.g_00217
OG0000449	Syar.g_00946	Pran.g_00216
OG0000450	Syar.g_00939	Pran.g_00215
OG0000451	Syar.g_00938	Pran.g_00214
OG0000452	Syar.g_00934	Pran.g_00211
OG0000453	Syar.g_00933	Pran.g_00210
OG0000454	Syar.g_00932	Pran.g_00209
OG0000455	Syar.g_00931	Pran.g_00208
OG0000456	Syar.g_00930	Pran.g_00207
OG0000457	Syar.g_00928	Pran.g_00206
OG0000458	Syar.g_00918	Pran.g_00205
OG0000459	Syar.g_00917	Pran.g_00204
OG0000460	Syar.g_03024	Pran.g_00197
OG0000461	Syar.g_00153	Pran.g_01950
OG0000462	Syar.g_00155	Pran.g_01948
OG0000463	Syar.g_00156	Pran.g_01947
OG0000464	Syar.g_00157	Pran.g_01946
OG0000465	Syar.g_00159	Pran.g_01945
OG0000466	Syar.g_00164	Pran.g_01942
OG0000467	Syar.g_00165	Pran.g_01941
OG0000468	Syar.g_00170	Pran.g_01939
OG0000469	Syar.g_00203	Pran.g_01931
OG0000470	Syar.g_00206	Pran.g_01929
OG0000471	Syar.g_00207	Pran.g_01928
OG0000472	Syar.g_00208	Pran.g_01927
OG0000473	Syar.g_00210	Pran.g_01925
OG0000474	Syar.g_00211	Pran.g_01924
OG0000475	Syar.g_00212	Pran.g_01923
OG0000476	Syar.g_00214	Pran.g_01922
OG0000477	Syar.g_00219	Pran.g_01919
OG0000478	Syar.g_00220	Pran.g_01918
OG0000479	Syar.g_00221	Pran.g_01917
OG0000480	Syar.g_00228	Pran.g_01912
OG0000481	Syar.g_00230	Pran.g_01910
OG0000482	Syar.g_00231	Pran.g_01909
OG0000483	Syar.g_00235	Pran.g_01906
OG0000484	Syar.g_00236	Pran.g_01905
OG0000485	Syar.g_00237	Pran.g_01904
OG0000486	Syar.g_00024, Syar.g_00238	Pran.g_01903
OG0000487	Syar.g_00245	Pran.g_01899
OG0000488	Syar.g_00853	Pran.g_01896
OG0000489	Syar.g_00833	Pran.g_01891
OG0000490	Syar.g_00823	Pran.g_01886
OG0000491	Syar.g_00822	Pran.g_01885
OG0000492	Syar.g_00727	Pran.g_01883
OG0000493	Syar.g_00726	Pran.g_01882
OG0000494	Syar.g_00725	Pran.g_01881
OG0000495	Syar.g_00724	Pran.g_01880
OG0000496	Syar.g_00723	Pran.g_01879
OG0000497	Syar.g_00722	Pran.g_01878
OG0000498	Syar.g_00721	Pran.g_01877
OG0000499	Syar.g_00720	Pran.g_01876
OG0000500	Syar.g_00719	Pran.g_01875
OG0000501	Syar.g_00716	Pran.g_01873
OG0000502	Syar.g_00275	Pran.g_01870
OG0000503	Syar.g_01118	Pran.g_01860
OG0000504	Syar.g_01120	Pran.g_01859
OG0000505	Syar.g_01121	Pran.g_01858
OG0000506	Syar.g_01123	Pran.g_01857
OG0000507	Syar.g_01129	Pran.g_01854
OG0000508	Syar.g_01141	Pran.g_01850
OG0000509	Syar.g_01143	Pran.g_01848
OG0000510	Syar.g_01144	Pran.g_01847
OG0000511	Syar.g_01145	Pran.g_01846
OG0000512	Syar.g_01147	Pran.g_01844
OG0000513	Syar.g_01166	Pran.g_01837
OG0000514	Syar.g_01169	Pran.g_01749
OG0000515	Syar.g_01170	Pran.g_01748
OG0000516	Syar.g_01172	Pran.g_01747
OG0000517	Syar.g_01176	Pran.g_01745
OG0000518	Syar.g_02868	Pran.g_01734
OG0000519	Syar.g_02867	Pran.g_01733
OG0000520	Syar.g_02866	Pran.g_01729
OG0000521	Syar.g_01419	Pran.g_01724
OG0000522	Syar.g_01421	Pran.g_01723
OG0000523	Syar.g_01422	Pran.g_01722
OG0000524	Syar.g_01244	Pran.g_01717
OG0000525	Syar.g_01263	Pran.g_01714
OG0000526	Syar.g_01266	Pran.g_01713
OG0000527	Syar.g_01271	Pran.g_01705
OG0000528	Syar.g_01466	Pran.g_01700
OG0000529	Syar.g_01470	Pran.g_01697
OG0000530	Syar.g_01473	Pran.g_01694
OG0000531	Syar.g_01474	Pran.g_01693
OG0000532	Syar.g_01477	Pran.g_01691
OG0000533	Syar.g_01479	Pran.g_01690
OG0000534	Syar.g_01480	Pran.g_01689
OG0000535	Syar.g_01481	Pran.g_01688
OG0000536	Syar.g_01482	Pran.g_01687
OG0000537	Syar.g_01483	Pran.g_01686
OG0000538	Syar.g_01496	Pran.g_01678
OG0000539	Syar.g_01497	Pran.g_01677
OG0000540	Syar.g_01498	Pran.g_01676
OG0000541	Syar.g_01499	Pran.g_01675
OG0000542	Syar.g_01502	Pran.g_01673
OG0000543	Syar.g_01504	Pran.g_01671
OG0000544	Syar.g_01505	Pran.g_01670
OG0000545	Syar.g_01507	Pran.g_01668
OG0000546	Syar.g_01509	Pran.g_01665
OG0000547	Syar.g_01511	Pran.g_01663
OG0000548	Syar.g_01512	Pran.g_01662
OG0000549	Syar.g_02693	Pran.g_01660
OG0000550	Syar.g_02689	Pran.g_01655
OG0000551	Syar.g_02684	Pran.g_01651
OG0000552	Syar.g_02683	Pran.g_01650
OG0000553	Syar.g_02679	Pran.g_01649
OG0000554	Syar.g_02352	Pran.g_01644
OG0000555	Syar.g_02336	Pran.g_01636
OG0000556	Syar.g_02332	Pran.g_01634
OG0000557	Syar.g_02328	Pran.g_01633
OG0000558	Syar.g_02326	Pran.g_01631
OG0000559	Syar.g_02322	Pran.g_01627
