Orthogroup	Syar	Prbd
OG0000060	Syar.g_01260, Syar.g_00178	Prbd.g_00824
OG0000061	Syar.g_01539	Prbd.g_00468
OG0000062	Syar.g_02911	Prbd.g_01610
OG0000063	Syar.g_00509	Prbd.g_01204
OG0000065	Syar.g_03119	Prbd.g_01137
OG0000066	Syar.g_03187, Syar.g_02228	Prbd.g_00703
OG0000067	Syar.g_02639	Prbd.g_00102
OG0000068	Syar.g_02329, Syar.g_01461	Prbd.g_01764
OG0000069	Syar.g_01716	Prbd.g_01575
OG0000070	Syar.g_02223, Syar.g_03150	Prbd.g_00792
OG0000071	Syar.g_02777	Prbd.g_01801
OG0000072	Syar.g_00107, Syar.g_01140	Prbd.g_01069
OG0000073	Syar.g_01364, Syar.g_01493	Prbd.g_00743
OG0000075	Syar.g_03065, Syar.g_00659	Prbd.g_01359
OG0000076	Syar.g_00608	Prbd.g_01335
OG0000077	Syar.g_03051	Prbd.g_01166
OG0000078	Syar.g_03265, Syar.g_03018, Syar.g_01366	Prbd.g_01000
OG0000079	Syar.g_00166	Prbd.g_00987
OG0000081	Syar.g_01898	Prbd.g_00711
OG0000082	Syar.g_02202	Prbd.g_00658
OG0000085	Syar.g_02919	Prbd.g_01532
OG0000086	Syar.g_03085	Prbd.g_01156
OG0000087	Syar.g_03192, Syar.g_00068	Prbd.g_01104, Prbd.g_01103
OG0000088	Syar.g_00101	Prbd.g_01074
OG0000089	Syar.g_01162	Prbd.g_00883
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prbd.g_00709
OG0000091	Syar.g_01891, Syar.g_02426	Prbd.g_00602
OG0000092	Syar.g_01960	Prbd.g_01193
OG0000093	Syar.g_02623	Prbd.g_00232
OG0000094	Syar.g_01789	Prbd.g_00321
OG0000095	Syar.g_01932	Prbd.g_00340
OG0000097	Syar.g_01706, Syar.g_00364	Prbd.g_00509
OG0000098	Syar.g_02343	Prbd.g_01782
OG0000099	Syar.g_00715	Prbd.g_01734
OG0000100	Syar.g_02477	Prbd.g_01614
OG0000101	Syar.g_01073, Syar.g_03154	Prbd.g_01391
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prbd.g_01330
OG0000103	Syar.g_00014, Syar.g_00452	Prbd.g_01250
OG0000104	Syar.g_00466	Prbd.g_01241
OG0000105	Syar.g_00218	Prbd.g_00965
OG0000106	Syar.g_01748	Prbd.g_00868
OG0000107	Syar.g_03290, Syar.g_00149	Prbd.g_00852
OG0000108	Syar.g_01469	Prbd.g_00762
OG0000109	Syar.g_03310, Syar.g_01485	Prbd.g_00748
OG0000110	Syar.g_02295	Prbd.g_00668
OG0000111	Syar.g_01940, Syar.g_00005	Prbd.g_00545
OG0000112	Syar.g_03195, Syar.g_02548	Prbd.g_00066
OG0000113	Syar.g_02664	Prbd.g_00124
OG0000114	Syar.g_01616	Prbd.g_00206
OG0000115	Syar.g_02854, Syar.g_01415	Prbd.g_00401
OG0000116	Syar.g_01525, Syar.g_02255	Prbd.g_00458
OG0000117	Syar.g_01969	Prbd.g_01895
OG0000118	Syar.g_02793	Prbd.g_01789
OG0000120	Syar.g_00713	Prbd.g_01737
OG0000121	Syar.g_02806	Prbd.g_01687
OG0000123	Syar.g_01079	Prbd.g_01384
OG0000124	Syar.g_00586	Prbd.g_01318
OG0000125	Syar.g_00338	Prbd.g_01281
OG0000126	Syar.g_00887, Syar.g_00888	Prbd.g_01242
OG0000128	Syar.g_00482	Prbd.g_01226
OG0000129	Syar.g_00324	Prbd.g_01194
OG0000130	Syar.g_03040	Prbd.g_01175
OG0000131	Syar.g_02216, Syar.g_00078	Prbd.g_01095
OG0000132	Syar.g_00099	Prbd.g_01076
OG0000133	Syar.g_02543	Prbd.g_00917
OG0000134	Syar.g_02009, Syar.g_01165	Prbd.g_00882
OG0000135	Syar.g_00698	Prbd.g_00855
OG0000136	Syar.g_02874	Prbd.g_01722, Prbd.g_00801
OG0000137	Syar.g_01273	Prbd.g_00767
OG0000138	Syar.g_01486	Prbd.g_00747
OG0000139	Syar.g_03245, Syar.g_02348	Prbd.g_00705
OG0000140	Syar.g_02344, Syar.g_03246	Prbd.g_00704
OG0000141	Syar.g_02129	Prbd.g_00637
OG0000142	Syar.g_02418	Prbd.g_00609
OG0000143	Syar.g_02422	Prbd.g_00605
OG0000144	Syar.g_02441	Prbd.g_00592
OG0000145	Syar.g_01494, Syar.g_03205	Prbd.g_00062
OG0000146	Syar.g_02549	Prbd.g_00067
OG0000147	Syar.g_02550	Prbd.g_00068
OG0000148	Syar.g_02658	Prbd.g_00118
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prbd.g_00149
OG0000150	Syar.g_02130	Prbd.g_00157
OG0000151	Syar.g_02038	Prbd.g_00216
OG0000152	Syar.g_02539	Prbd.g_00264
OG0000153	Syar.g_03283, Syar.g_02503	Prbd.g_00283
OG0000154	Syar.g_01800	Prbd.g_00314
OG0000155	Syar.g_01959	Prbd.g_00488
OG0000156	Syar.g_01517	Prbd.g_01812
OG0000157	Syar.g_01516	Prbd.g_01811
OG0000158	Syar.g_00650	Prbd.g_01736
OG0000160	Syar.g_02807	Prbd.g_01688
OG0000161	Syar.g_02801	Prbd.g_01682
OG0000162	Syar.g_02863	Prbd.g_01676
OG0000163	Syar.g_00639, Syar.g_01186	Prbd.g_01642
OG0000164	Syar.g_03168, Syar.g_02969	Prbd.g_01501
OG0000165	Syar.g_02976	Prbd.g_01494
OG0000166	Syar.g_01034	Prbd.g_01427
OG0000167	Syar.g_00662	Prbd.g_01361
OG0000168	Syar.g_00246	Prbd.g_01351
OG0000169	Syar.g_00262	Prbd.g_01341
OG0000170	Syar.g_00613	Prbd.g_01339
OG0000171	Syar.g_00587	Prbd.g_01319
OG0000172	Syar.g_00547	Prbd.g_01310
OG0000173	Syar.g_00528	Prbd.g_01295
OG0000174	Syar.g_00701	Prbd.g_01268
OG0000175	Syar.g_00438	Prbd.g_01258
OG0000176	Syar.g_00474	Prbd.g_01233
OG0000177	Syar.g_00475	Prbd.g_01232
OG0000178	Syar.g_00476	Prbd.g_01231
OG0000179	Syar.g_00489	Prbd.g_01221
OG0000180	Syar.g_00490	Prbd.g_01220
OG0000181	Syar.g_00491	Prbd.g_01219
OG0000182	Syar.g_00492	Prbd.g_01218
OG0000183	Syar.g_00496	Prbd.g_01214
OG0000184	Syar.g_00897	Prbd.g_01191
OG0000185	Syar.g_00909	Prbd.g_01188
OG0000186	Syar.g_03036	Prbd.g_01180
OG0000187	Syar.g_03038	Prbd.g_01179
OG0000188	Syar.g_03058	Prbd.g_01162
OG0000189	Syar.g_03104	Prbd.g_01148
OG0000190	Syar.g_03107, Syar.g_02374	Prbd.g_01147
OG0000191	Syar.g_00039	Prbd.g_01126
OG0000192	Syar.g_00046	Prbd.g_01122
OG0000193	Syar.g_00079	Prbd.g_01094
OG0000194	Syar.g_03236, Syar.g_00082	Prbd.g_01091
OG0000195	Syar.g_00023, Syar.g_00084	Prbd.g_01089
OG0000196	Syar.g_00096	Prbd.g_01079
OG0000197	Syar.g_00097	Prbd.g_01078
OG0000198	Syar.g_00098	Prbd.g_01077
OG0000199	Syar.g_00106	Prbd.g_01070
OG0000200	Syar.g_00124	Prbd.g_01056
OG0000201	Syar.g_01000	Prbd.g_01048
OG0000202	Syar.g_00998, Syar.g_00021	Prbd.g_01047
OG0000203	Syar.g_00020, Syar.g_00997	Prbd.g_01046
OG0000204	Syar.g_00996	Prbd.g_01045
OG0000205	Syar.g_00988	Prbd.g_01038
OG0000206	Syar.g_00963	Prbd.g_01033
OG0000207	Syar.g_00957	Prbd.g_01031
OG0000208	Syar.g_00956	Prbd.g_01030
OG0000209	Syar.g_00936, Syar.g_03261	Prbd.g_01021
OG0000210	Syar.g_00935, Syar.g_03260	Prbd.g_01020
OG0000211	Syar.g_03026	Prbd.g_01006
OG0000212	Syar.g_03017	Prbd.g_00999
OG0000213	Syar.g_00187	Prbd.g_00982
OG0000214	Syar.g_00209	Prbd.g_00972
OG0000215	Syar.g_00239	Prbd.g_00947
OG0000216	Syar.g_00244	Prbd.g_00945
OG0000217	Syar.g_00854	Prbd.g_00942
OG0000218	Syar.g_00852	Prbd.g_00940
OG0000219	Syar.g_00851	Prbd.g_00939
OG0000220	Syar.g_00850, Syar.g_02026	Prbd.g_00938
OG0000221	Syar.g_00834	Prbd.g_00937
OG0000222	Syar.g_02119, Syar.g_00728	Prbd.g_00929
OG0000223	Syar.g_00649	Prbd.g_00916
OG0000224	Syar.g_00762, Syar.g_00273	Prbd.g_00914
OG0000225	Syar.g_01142	Prbd.g_00893
OG0000226	Syar.g_01146	Prbd.g_00889
OG0000227	Syar.g_01148	Prbd.g_00887
OG0000228	Syar.g_01161	Prbd.g_00884
OG0000229	Syar.g_01177, Syar.g_03273	Prbd.g_00806
OG0000230	Syar.g_01179, Syar.g_03275	Prbd.g_00804
OG0000231	Syar.g_02865, Syar.g_03151	Prbd.g_00793
OG0000232	Syar.g_01424	Prbd.g_00784
OG0000233	Syar.g_03183, Syar.g_01247	Prbd.g_00779
OG0000234	Syar.g_01275	Prbd.g_00766
OG0000235	Syar.g_01468	Prbd.g_00763
OG0000236	Syar.g_03311, Syar.g_01484	Prbd.g_00749
OG0000237	Syar.g_01503	Prbd.g_00736
OG0000238	Syar.g_01508	Prbd.g_00730
OG0000239	Syar.g_03277, Syar.g_02687	Prbd.g_00717
OG0000240	Syar.g_03278, Syar.g_02686	Prbd.g_00716
OG0000241	Syar.g_02410	Prbd.g_00712
OG0000242	Syar.g_01926	Prbd.g_00710
OG0000243	Syar.g_02335	Prbd.g_00699
OG0000244	Syar.g_02327	Prbd.g_00696
OG0000245	Syar.g_02325, Syar.g_03238	Prbd.g_00694
OG0000246	Syar.g_02321	Prbd.g_00690
OG0000247	Syar.g_02310	Prbd.g_00680
OG0000248	Syar.g_02307, Syar.g_03293	Prbd.g_00678
OG0000249	Syar.g_02305	Prbd.g_00676
OG0000250	Syar.g_02299, Syar.g_03194	Prbd.g_00671
OG0000251	Syar.g_03207, Syar.g_02194	Prbd.g_00653
OG0000252	Syar.g_02189, Syar.g_03263	Prbd.g_00650
OG0000253	Syar.g_02028, Syar.g_03229	Prbd.g_00649
OG0000254	Syar.g_02169	Prbd.g_00633
OG0000255	Syar.g_00011, Syar.g_02224	Prbd.g_00627
OG0000256	Syar.g_02244	Prbd.g_00617
OG0000257	Syar.g_02407, Syar.g_01762	Prbd.g_00614
OG0000258	Syar.g_02427, Syar.g_00010	Prbd.g_00601
OG0000259	Syar.g_02472	Prbd.g_00584
OG0000260	Syar.g_03220, Syar.g_02475	Prbd.g_00581
OG0000261	Syar.g_01916	Prbd.g_00579
OG0000262	Syar.g_01690	Prbd.g_00575
OG0000263	Syar.g_01991	Prbd.g_00563
OG0000264	Syar.g_02135, Syar.g_03267	Prbd.g_00553
OG0000266	Syar.g_01570	Prbd.g_00017
OG0000267	Syar.g_01873	Prbd.g_00028
OG0000268	Syar.g_02589	Prbd.g_00029
OG0000269	Syar.g_02634	Prbd.g_00097
OG0000270	Syar.g_00744, Syar.g_02637	Prbd.g_00100
OG0000271	Syar.g_02645	Prbd.g_00108
OG0000272	Syar.g_02646	Prbd.g_00109
OG0000273	Syar.g_02481, Syar.g_00008	Prbd.g_00132
OG0000274	Syar.g_00009, Syar.g_02482	Prbd.g_00133
OG0000275	Syar.g_01810	Prbd.g_00136
OG0000276	Syar.g_01817	Prbd.g_00141
OG0000277	Syar.g_01818, Syar.g_03242	Prbd.g_00142
OG0000278	Syar.g_01821, Syar.g_03174	Prbd.g_00145
OG0000279	Syar.g_01838	Prbd.g_00152
OG0000280	Syar.g_02067, Syar.g_00734	Prbd.g_00153
OG0000281	Syar.g_02218	Prbd.g_00158
OG0000282	Syar.g_01614, Syar.g_03255	Prbd.g_00208
OG0000283	Syar.g_02574	Prbd.g_00241
OG0000284	Syar.g_03258, Syar.g_02568	Prbd.g_00246
OG0000285	Syar.g_02560	Prbd.g_00251
OG0000286	Syar.g_02540	Prbd.g_00263
OG0000287	Syar.g_02512	Prbd.g_00280
OG0000288	Syar.g_01801	Prbd.g_00313
OG0000289	Syar.g_03305, Syar.g_01786	Prbd.g_00324
OG0000290	Syar.g_01928	Prbd.g_00337
OG0000291	Syar.g_01930	Prbd.g_00339
OG0000292	Syar.g_00463	Prbd.g_00389
OG0000293	Syar.g_03297, Syar.g_01526	Prbd.g_00459
OG0000294	Syar.g_01527, Syar.g_03296	Prbd.g_00460
OG0000295	Syar.g_01951, Syar.g_03208	Prbd.g_00480
OG0000296	Syar.g_01953	Prbd.g_00482
OG0000297	Syar.g_01967, Syar.g_03216	Prbd.g_00490
OG0000298	Syar.g_01968, Syar.g_03215	Prbd.g_00491
OG0000299	Syar.g_01704	Prbd.g_00508
OG0000300	Syar.g_01646, Syar.g_01711	Prbd.g_00511
OG0000301	Syar.g_01712	Prbd.g_00512
OG0000302	Syar.g_01713	Prbd.g_00514
OG0000303	Syar.g_03136, Syar.g_01723	Prbd.g_00521
OG0000304	Syar.g_01728	Prbd.g_00525
OG0000305	Syar.g_01933, Syar.g_03163	Prbd.g_01772
OG0000306	Syar.g_01884, Syar.g_03140	Prbd.g_01769
OG0000307	Syar.g_01452, Syar.g_03153	Prbd.g_01755
OG0000308	Syar.g_01450	Prbd.g_01754
OG0000309	Syar.g_01239	Prbd.g_01750
OG0000310	Syar.g_02826	Prbd.g_01704
OG0000311	Syar.g_02823	Prbd.g_01702
OG0000312	Syar.g_00015, Syar.g_02818	Prbd.g_01699
OG0000313	Syar.g_02804	Prbd.g_01685
OG0000314	Syar.g_01403	Prbd.g_01662
OG0000315	Syar.g_01393	Prbd.g_01652
OG0000316	Syar.g_02885	Prbd.g_01632
OG0000317	Syar.g_02926	Prbd.g_01527
OG0000318	Syar.g_02930	Prbd.g_01524
OG0000319	Syar.g_02954	Prbd.g_01511
OG0000320	Syar.g_02956	Prbd.g_01509
OG0000321	Syar.g_02957	Prbd.g_01508
OG0000322	Syar.g_02958	Prbd.g_01507
OG0000323	Syar.g_02973	Prbd.g_01498
OG0000324	Syar.g_00350, Syar.g_03001	Prbd.g_01471
OG0000325	Syar.g_03291, Syar.g_00148	Prbd.g_01462
OG0000326	Syar.g_00139, Syar.g_03134	Prbd.g_01456
OG0000327	Syar.g_01029	Prbd.g_01432
OG0000328	Syar.g_01030	Prbd.g_01431
OG0000329	Syar.g_03189, Syar.g_01048	Prbd.g_01414
OG0000330	Syar.g_03190, Syar.g_01049	Prbd.g_01413
OG0000331	Syar.g_01050, Syar.g_03191	Prbd.g_01412
OG0000332	Syar.g_01064, Syar.g_03299	Prbd.g_01398
OG0000333	Syar.g_01067	Prbd.g_01396
OG0000334	Syar.g_01076	Prbd.g_01388
OG0000335	Syar.g_01080	Prbd.g_01383
OG0000336	Syar.g_01084	Prbd.g_01379
OG0000337	Syar.g_00285	Prbd.g_01363
OG0000338	Syar.g_03225, Syar.g_00287	Prbd.g_01362
OG0000339	Syar.g_00658	Prbd.g_01358
OG0000340	Syar.g_00247	Prbd.g_01350
OG0000341	Syar.g_00249	Prbd.g_01348
OG0000342	Syar.g_00250	Prbd.g_01347
OG0000343	Syar.g_00256	Prbd.g_01346
OG0000344	Syar.g_00260	Prbd.g_01343
OG0000345	Syar.g_00612	Prbd.g_01338
OG0000346	Syar.g_00607	Prbd.g_01334
OG0000347	Syar.g_00558	Prbd.g_01317
OG0000348	Syar.g_00544	Prbd.g_01307
OG0000349	Syar.g_00521	Prbd.g_01290
OG0000350	Syar.g_00132	Prbd.g_01272
OG0000351	Syar.g_00442	Prbd.g_01255
OG0000352	Syar.g_00443	Prbd.g_01254
OG0000353	Syar.g_00469	Prbd.g_01238
OG0000355	Syar.g_00471	Prbd.g_01236
OG0000356	Syar.g_00472	Prbd.g_01235
OG0000357	Syar.g_00473	Prbd.g_01234
OG0000358	Syar.g_00477	Prbd.g_01230
OG0000359	Syar.g_00479	Prbd.g_01229
OG0000360	Syar.g_00480	Prbd.g_01228
OG0000361	Syar.g_00481	Prbd.g_01227
OG0000362	Syar.g_00483	Prbd.g_01225
OG0000363	Syar.g_00484	Prbd.g_01223
OG0000364	Syar.g_02928	Prbd.g_01222
OG0000365	Syar.g_00493	Prbd.g_01217
OG0000366	Syar.g_00494	Prbd.g_01216
OG0000367	Syar.g_03262, Syar.g_00495	Prbd.g_01215
OG0000368	Syar.g_00497	Prbd.g_01213
OG0000369	Syar.g_00498	Prbd.g_01212
OG0000370	Syar.g_00499	Prbd.g_01211
OG0000371	Syar.g_00508	Prbd.g_01205
OG0000372	Syar.g_00514	Prbd.g_01202
OG0000373	Syar.g_00515	Prbd.g_01201
OG0000374	Syar.g_00516	Prbd.g_01200
OG0000375	Syar.g_00517	Prbd.g_01198
OG0000376	Syar.g_00519	Prbd.g_01196
OG0000377	Syar.g_00322	Prbd.g_01192
OG0000378	Syar.g_00905	Prbd.g_01190
OG0000379	Syar.g_00910	Prbd.g_01187
OG0000380	Syar.g_03039	Prbd.g_01178
OG0000381	Syar.g_03041	Prbd.g_01174
OG0000382	Syar.g_03057	Prbd.g_01163
OG0000383	Syar.g_03074	Prbd.g_01161
OG0000384	Syar.g_03075	Prbd.g_01160
OG0000385	Syar.g_03076	Prbd.g_01159
OG0000386	Syar.g_03077	Prbd.g_01158
OG0000387	Syar.g_03109	Prbd.g_01145
OG0000388	Syar.g_03148, Syar.g_03113	Prbd.g_01142
OG0000389	Syar.g_03118	Prbd.g_01138
OG0000390	Syar.g_00033	Prbd.g_01131
OG0000391	Syar.g_00038	Prbd.g_01127
OG0000392	Syar.g_00045	Prbd.g_01123
OG0000393	Syar.g_00048	Prbd.g_01121
OG0000394	Syar.g_00049	Prbd.g_01120
OG0000395	Syar.g_00050	Prbd.g_01119
OG0000396	Syar.g_00053	Prbd.g_01116
OG0000397	Syar.g_00055	Prbd.g_01114
OG0000398	Syar.g_00060	Prbd.g_01112
OG0000399	Syar.g_00061	Prbd.g_01111
OG0000400	Syar.g_00062	Prbd.g_01110
OG0000401	Syar.g_00063	Prbd.g_01109
OG0000402	Syar.g_00065	Prbd.g_01107
OG0000403	Syar.g_00066	Prbd.g_01106
OG0000404	Syar.g_00067	Prbd.g_01105
OG0000405	Syar.g_00076	Prbd.g_01100
OG0000406	Syar.g_00080	Prbd.g_01093
OG0000407	Syar.g_00081	Prbd.g_01092
OG0000408	Syar.g_00083	Prbd.g_01090
OG0000409	Syar.g_00085	Prbd.g_01088
OG0000410	Syar.g_00086	Prbd.g_01087
OG0000411	Syar.g_00087	Prbd.g_01086
OG0000412	Syar.g_00088	Prbd.g_01085
OG0000413	Syar.g_00090	Prbd.g_01084
OG0000414	Syar.g_00091, Syar.g_03179	Prbd.g_01083
OG0000415	Syar.g_00092	Prbd.g_01082
OG0000416	Syar.g_00093	Prbd.g_01081
OG0000417	Syar.g_00095	Prbd.g_01080
OG0000418	Syar.g_00100	Prbd.g_01075
OG0000419	Syar.g_00102	Prbd.g_01073
OG0000420	Syar.g_00104	Prbd.g_01072
OG0000421	Syar.g_00109	Prbd.g_01067
OG0000422	Syar.g_00110	Prbd.g_01066
OG0000423	Syar.g_00111	Prbd.g_01065
OG0000424	Syar.g_00112	Prbd.g_01064
OG0000425	Syar.g_00113	Prbd.g_01063
OG0000426	Syar.g_00114	Prbd.g_01062
OG0000427	Syar.g_00115	Prbd.g_01061
OG0000428	Syar.g_00118	Prbd.g_01059
OG0000429	Syar.g_00121	Prbd.g_01058
OG0000430	Syar.g_00123	Prbd.g_01057
OG0000431	Syar.g_00127	Prbd.g_01055
OG0000432	Syar.g_01009	Prbd.g_01052
OG0000433	Syar.g_01007	Prbd.g_01051
OG0000434	Syar.g_01006	Prbd.g_01050
OG0000435	Syar.g_01003	Prbd.g_01049
OG0000436	Syar.g_00994	Prbd.g_01044
OG0000437	Syar.g_00993	Prbd.g_01043
OG0000438	Syar.g_00992	Prbd.g_01042
OG0000439	Syar.g_00990	Prbd.g_01040
OG0000440	Syar.g_00989	Prbd.g_01039
OG0000441	Syar.g_00986	Prbd.g_01036
OG0000442	Syar.g_00977	Prbd.g_01035
OG0000443	Syar.g_00964	Prbd.g_01034
OG0000444	Syar.g_00954	Prbd.g_01029
OG0000445	Syar.g_00953	Prbd.g_01028
OG0000446	Syar.g_00951	Prbd.g_01027
OG0000447	Syar.g_00948	Prbd.g_01026
OG0000448	Syar.g_00947	Prbd.g_01025
OG0000449	Syar.g_00946	Prbd.g_01024
OG0000450	Syar.g_00939	Prbd.g_01023
OG0000451	Syar.g_00938	Prbd.g_01022
OG0000452	Syar.g_00934	Prbd.g_01019
OG0000453	Syar.g_00933	Prbd.g_01018
OG0000454	Syar.g_00932	Prbd.g_01017
OG0000455	Syar.g_00931	Prbd.g_01016
OG0000456	Syar.g_00930	Prbd.g_01015
OG0000457	Syar.g_00928	Prbd.g_01013
OG0000458	Syar.g_00918	Prbd.g_01012
OG0000459	Syar.g_00917	Prbd.g_01011
OG0000460	Syar.g_03024	Prbd.g_01004
OG0000461	Syar.g_00153	Prbd.g_00997
OG0000462	Syar.g_00155	Prbd.g_00995
OG0000463	Syar.g_00156	Prbd.g_00994
OG0000464	Syar.g_00157	Prbd.g_00993
OG0000465	Syar.g_00159	Prbd.g_00992
OG0000466	Syar.g_00164	Prbd.g_00989
OG0000467	Syar.g_00165	Prbd.g_00988
OG0000468	Syar.g_00170	Prbd.g_00986
OG0000469	Syar.g_00203	Prbd.g_00977
OG0000470	Syar.g_00206	Prbd.g_00975
OG0000471	Syar.g_00207	Prbd.g_00974
OG0000472	Syar.g_00208	Prbd.g_00973
OG0000473	Syar.g_00210	Prbd.g_00971
OG0000474	Syar.g_00211	Prbd.g_00970
OG0000475	Syar.g_00212	Prbd.g_00969
OG0000476	Syar.g_00214	Prbd.g_00968
OG0000477	Syar.g_00219	Prbd.g_00964
OG0000478	Syar.g_00220	Prbd.g_00963
OG0000479	Syar.g_00221	Prbd.g_00962
OG0000480	Syar.g_00228	Prbd.g_00957
OG0000481	Syar.g_00230	Prbd.g_00955
OG0000482	Syar.g_00231	Prbd.g_00954
OG0000483	Syar.g_00235	Prbd.g_00951
OG0000484	Syar.g_00236	Prbd.g_00950
OG0000485	Syar.g_00237	Prbd.g_00949
OG0000486	Syar.g_00024, Syar.g_00238	Prbd.g_00948
OG0000487	Syar.g_00245	Prbd.g_00944
OG0000488	Syar.g_00853	Prbd.g_00941
OG0000489	Syar.g_00833	Prbd.g_00936
OG0000490	Syar.g_00823	Prbd.g_00931
OG0000491	Syar.g_00822	Prbd.g_00930
OG0000492	Syar.g_00727	Prbd.g_00928
OG0000493	Syar.g_00726	Prbd.g_00927
OG0000494	Syar.g_00725	Prbd.g_00926
OG0000495	Syar.g_00724	Prbd.g_00925
OG0000496	Syar.g_00723	Prbd.g_00924
OG0000497	Syar.g_00722	Prbd.g_00923
OG0000498	Syar.g_00721	Prbd.g_00922
OG0000499	Syar.g_00720	Prbd.g_00921
OG0000500	Syar.g_00719	Prbd.g_00920
OG0000501	Syar.g_00716	Prbd.g_00918
OG0000502	Syar.g_00275	Prbd.g_00915
OG0000503	Syar.g_01118	Prbd.g_00905
OG0000504	Syar.g_01120	Prbd.g_00904
OG0000505	Syar.g_01121	Prbd.g_00903
OG0000506	Syar.g_01123	Prbd.g_00901
OG0000507	Syar.g_01129	Prbd.g_00898
OG0000508	Syar.g_01141	Prbd.g_00894
OG0000509	Syar.g_01143	Prbd.g_00892
OG0000510	Syar.g_01144	Prbd.g_00891
OG0000511	Syar.g_01145	Prbd.g_00890
OG0000512	Syar.g_01147	Prbd.g_00888
OG0000513	Syar.g_01166	Prbd.g_00881
OG0000514	Syar.g_01169	Prbd.g_00811
OG0000515	Syar.g_01170	Prbd.g_00810
OG0000516	Syar.g_01172	Prbd.g_00809
OG0000517	Syar.g_01176	Prbd.g_00807
OG0000518	Syar.g_02868	Prbd.g_00796
OG0000519	Syar.g_02867	Prbd.g_00795
OG0000520	Syar.g_02866	Prbd.g_00794
OG0000521	Syar.g_01419	Prbd.g_00789
OG0000522	Syar.g_01421	Prbd.g_00787
OG0000523	Syar.g_01422	Prbd.g_00786
OG0000524	Syar.g_01244	Prbd.g_00781
OG0000525	Syar.g_01263	Prbd.g_00778
OG0000526	Syar.g_01266	Prbd.g_00777
OG0000527	Syar.g_01271	Prbd.g_00769
OG0000528	Syar.g_01466	Prbd.g_00764
OG0000529	Syar.g_01470	Prbd.g_00761
OG0000530	Syar.g_01473	Prbd.g_00758
OG0000531	Syar.g_01474	Prbd.g_00757
OG0000532	Syar.g_01477	Prbd.g_00755
OG0000533	Syar.g_01479	Prbd.g_00754
OG0000534	Syar.g_01480	Prbd.g_00753
OG0000535	Syar.g_01481	Prbd.g_00752
OG0000536	Syar.g_01482	Prbd.g_00751
OG0000537	Syar.g_01483	Prbd.g_00750
OG0000538	Syar.g_01496	Prbd.g_00742
OG0000539	Syar.g_01497	Prbd.g_00741
OG0000540	Syar.g_01498	Prbd.g_00740
