Orthogroup	Syar	Prbg
OG0000161	Syar.g_02801	Prbg.g_00598
OG0000162	Syar.g_02863	Prbg.g_00604
OG0000163	Syar.g_00639, Syar.g_01186	Prbg.g_00643
OG0000164	Syar.g_03168, Syar.g_02969	Prbg.g_01674
OG0000165	Syar.g_02976	Prbg.g_01681
OG0000166	Syar.g_01034	Prbg.g_01748
OG0000167	Syar.g_00662	Prbg.g_01819
OG0000168	Syar.g_00246	Prbg.g_01830
OG0000169	Syar.g_00262	Prbg.g_01840
OG0000170	Syar.g_00613	Prbg.g_01843
OG0000171	Syar.g_00587	Prbg.g_01863
OG0000172	Syar.g_00547	Prbg.g_01870
OG0000173	Syar.g_00528	Prbg.g_01885
OG0000174	Syar.g_00701	Prbg.g_01915
OG0000175	Syar.g_00438	Prbg.g_01928
OG0000176	Syar.g_00474	Prbg.g_00771
OG0000177	Syar.g_00475	Prbg.g_00772
OG0000178	Syar.g_00476	Prbg.g_00773
OG0000179	Syar.g_00489	Prbg.g_00858
OG0000180	Syar.g_00490	Prbg.g_00857
OG0000181	Syar.g_00491	Prbg.g_00856
OG0000182	Syar.g_00492	Prbg.g_00855
OG0000183	Syar.g_00496	Prbg.g_00851
OG0000184	Syar.g_00897	Prbg.g_00825
OG0000185	Syar.g_00909	Prbg.g_00822
OG0000186	Syar.g_03036	Prbg.g_00806
OG0000187	Syar.g_03038	Prbg.g_00805
OG0000188	Syar.g_03058	Prbg.g_00788
OG0000189	Syar.g_03104	Prbg.g_00866
OG0000190	Syar.g_03107, Syar.g_02374	Prbg.g_00868
OG0000191	Syar.g_00039	Prbg.g_00891
OG0000192	Syar.g_00046	Prbg.g_00896
OG0000193	Syar.g_00079	Prbg.g_00923
OG0000194	Syar.g_03236, Syar.g_00082	Prbg.g_00926
OG0000195	Syar.g_00023, Syar.g_00084	Prbg.g_00928
OG0000196	Syar.g_00096	Prbg.g_00939
OG0000197	Syar.g_00097	Prbg.g_00940
OG0000198	Syar.g_00098	Prbg.g_00941
OG0000199	Syar.g_00106	Prbg.g_00948
OG0000200	Syar.g_00124	Prbg.g_00962
OG0000201	Syar.g_01000	Prbg.g_00971
OG0000202	Syar.g_00998, Syar.g_00021	Prbg.g_00972
OG0000203	Syar.g_00020, Syar.g_00997	Prbg.g_00973
OG0000204	Syar.g_00996	Prbg.g_00974
OG0000205	Syar.g_00988	Prbg.g_00981
OG0000206	Syar.g_00963	Prbg.g_00986
OG0000207	Syar.g_00957	Prbg.g_00989
OG0000208	Syar.g_00956	Prbg.g_00990
OG0000209	Syar.g_00936, Syar.g_03261	Prbg.g_00999
OG0000210	Syar.g_00935, Syar.g_03260	Prbg.g_01000
OG0000211	Syar.g_03026	Prbg.g_01015
OG0000212	Syar.g_03017	Prbg.g_01023
OG0000213	Syar.g_00187	Prbg.g_01041
OG0000214	Syar.g_00209	Prbg.g_00046
OG0000215	Syar.g_00239	Prbg.g_00073
OG0000216	Syar.g_00244	Prbg.g_00074
OG0000217	Syar.g_00854	Prbg.g_00077
OG0000218	Syar.g_00852	Prbg.g_00079
OG0000219	Syar.g_00851	Prbg.g_00080
OG0000220	Syar.g_00850, Syar.g_02026	Prbg.g_00081
OG0000221	Syar.g_00834	Prbg.g_00082
OG0000222	Syar.g_02119, Syar.g_00728	Prbg.g_00089
OG0000223	Syar.g_00649	Prbg.g_00101
OG0000224	Syar.g_00762, Syar.g_00273	Prbg.g_00103
OG0000225	Syar.g_01142	Prbg.g_00129
OG0000226	Syar.g_01146	Prbg.g_01941
OG0000227	Syar.g_01148	Prbg.g_01943
OG0000228	Syar.g_01161	Prbg.g_00136
OG0000229	Syar.g_01177, Syar.g_03273	Prbg.g_00156
OG0000230	Syar.g_01179, Syar.g_03275	Prbg.g_00158
OG0000231	Syar.g_02865, Syar.g_03151	Prbg.g_00169
OG0000232	Syar.g_01424	Prbg.g_00180
OG0000233	Syar.g_03183, Syar.g_01247	Prbg.g_00186
OG0000234	Syar.g_01275	Prbg.g_00195
OG0000235	Syar.g_01468	Prbg.g_00198
OG0000236	Syar.g_03311, Syar.g_01484	Prbg.g_00212
OG0000237	Syar.g_01503	Prbg.g_00225
OG0000238	Syar.g_01508	Prbg.g_00231
OG0000239	Syar.g_03277, Syar.g_02687	Prbg.g_00242
OG0000240	Syar.g_03278, Syar.g_02686	Prbg.g_00243
OG0000241	Syar.g_02410	Prbg.g_00247
OG0000242	Syar.g_01926	Prbg.g_00249
OG0000243	Syar.g_02335	Prbg.g_00260
OG0000244	Syar.g_02327	Prbg.g_00264
OG0000245	Syar.g_02325, Syar.g_03238	Prbg.g_00266
OG0000246	Syar.g_02321	Prbg.g_00270
OG0000247	Syar.g_02310	Prbg.g_00280
OG0000248	Syar.g_02307, Syar.g_03293	Prbg.g_00283
OG0000249	Syar.g_02305	Prbg.g_00285
OG0000250	Syar.g_02299, Syar.g_03194	Prbg.g_00290
OG0000251	Syar.g_03207, Syar.g_02194	Prbg.g_00310
OG0000252	Syar.g_02189, Syar.g_03263	Prbg.g_00313
OG0000253	Syar.g_02028, Syar.g_03229	Prbg.g_00314
OG0000254	Syar.g_02169	Prbg.g_00331
OG0000255	Syar.g_00011, Syar.g_02224	Prbg.g_00337
OG0000256	Syar.g_02244	Prbg.g_00347
OG0000257	Syar.g_02407, Syar.g_01762	Prbg.g_01427
OG0000258	Syar.g_02427, Syar.g_00010	Prbg.g_01413
OG0000259	Syar.g_02472	Prbg.g_01396
OG0000260	Syar.g_03220, Syar.g_02475	Prbg.g_01393
OG0000261	Syar.g_01916	Prbg.g_01390
OG0000262	Syar.g_01690	Prbg.g_01386
OG0000263	Syar.g_01991	Prbg.g_01122
OG0000264	Syar.g_02135, Syar.g_03267	Prbg.g_01133
OG0000266	Syar.g_01570	Prbg.g_01367
OG0000267	Syar.g_01873	Prbg.g_01355
OG0000268	Syar.g_02589	Prbg.g_01354
OG0000269	Syar.g_02634	Prbg.g_01154
OG0000270	Syar.g_00744, Syar.g_02637	Prbg.g_01157
OG0000271	Syar.g_02645	Prbg.g_01165
OG0000272	Syar.g_02646	Prbg.g_01166
OG0000273	Syar.g_02481, Syar.g_00008	Prbg.g_01190
OG0000274	Syar.g_00009, Syar.g_02482	Prbg.g_01191
OG0000275	Syar.g_01810	Prbg.g_01194
OG0000276	Syar.g_01817	Prbg.g_01200
OG0000277	Syar.g_01818, Syar.g_03242	Prbg.g_01201
OG0000278	Syar.g_01821, Syar.g_03174	Prbg.g_01204
OG0000279	Syar.g_01838	Prbg.g_01211
OG0000280	Syar.g_02067, Syar.g_00734	Prbg.g_01212
OG0000281	Syar.g_02218	Prbg.g_01219
OG0000282	Syar.g_01614, Syar.g_03255	Prbg.g_01086
OG0000283	Syar.g_02574	Prbg.g_01263
OG0000284	Syar.g_03258, Syar.g_02568	Prbg.g_01268
OG0000285	Syar.g_02560	Prbg.g_01273
OG0000286	Syar.g_02540	Prbg.g_01286
OG0000287	Syar.g_02512	Prbg.g_01552
OG0000288	Syar.g_01801	Prbg.g_01325
OG0000289	Syar.g_03305, Syar.g_01786	Prbg.g_01341
OG0000290	Syar.g_01928	Prbg.g_01237
OG0000291	Syar.g_01930	Prbg.g_01235
OG0000292	Syar.g_00463	Prbg.g_01531
OG0000293	Syar.g_03297, Syar.g_01526	Prbg.g_01496
OG0000294	Syar.g_01527, Syar.g_03296	Prbg.g_01495
OG0000295	Syar.g_01951, Syar.g_03208	Prbg.g_01472
OG0000296	Syar.g_01953	Prbg.g_01470
OG0000297	Syar.g_01967, Syar.g_03216	Prbg.g_01461
OG0000298	Syar.g_01968, Syar.g_03215	Prbg.g_01460
OG0000299	Syar.g_01704	Prbg.g_01441
OG0000300	Syar.g_01646, Syar.g_01711	Prbg.g_01438
OG0000301	Syar.g_01712	Prbg.g_01437
OG0000302	Syar.g_01713	Prbg.g_01435
OG0000303	Syar.g_03136, Syar.g_01723	Prbg.g_01429
OG0000304	Syar.g_01728	Prbg.g_00352
OG0000305	Syar.g_01933, Syar.g_03163	Prbg.g_01529
OG0000306	Syar.g_01884, Syar.g_03140	Prbg.g_01223
OG0000307	Syar.g_01452, Syar.g_03153	Prbg.g_00538
OG0000308	Syar.g_01450	Prbg.g_00539
OG0000309	Syar.g_01239	Prbg.g_00543
OG0000310	Syar.g_02826	Prbg.g_00577
OG0000311	Syar.g_02823	Prbg.g_00579
OG0000312	Syar.g_00015, Syar.g_02818	Prbg.g_00582
OG0000313	Syar.g_02804	Prbg.g_00595
OG0000314	Syar.g_01403	Prbg.g_00618
OG0000315	Syar.g_01393	Prbg.g_00628
OG0000316	Syar.g_02885	Prbg.g_00653
OG0000317	Syar.g_02926	Prbg.g_01647
OG0000318	Syar.g_02930	Prbg.g_01651
OG0000319	Syar.g_02954	Prbg.g_01664
OG0000320	Syar.g_02956	Prbg.g_01666
OG0000321	Syar.g_02957	Prbg.g_01667
OG0000322	Syar.g_02958	Prbg.g_01668
OG0000323	Syar.g_02973	Prbg.g_01677
OG0000324	Syar.g_00350, Syar.g_03001	Prbg.g_01704
OG0000325	Syar.g_03291, Syar.g_00148	Prbg.g_01715
OG0000326	Syar.g_00139, Syar.g_03134	Prbg.g_01722
OG0000327	Syar.g_01029	Prbg.g_01743
OG0000328	Syar.g_01030	Prbg.g_01744
OG0000329	Syar.g_03189, Syar.g_01048	Prbg.g_01761
OG0000330	Syar.g_03190, Syar.g_01049	Prbg.g_01762
OG0000331	Syar.g_01050, Syar.g_03191	Prbg.g_01763
OG0000332	Syar.g_01064, Syar.g_03299	Prbg.g_01777
OG0000333	Syar.g_01067	Prbg.g_01779
OG0000334	Syar.g_01076	Prbg.g_01788
OG0000335	Syar.g_01080	Prbg.g_01793
OG0000336	Syar.g_01084	Prbg.g_01797
OG0000337	Syar.g_00285	Prbg.g_01815
OG0000338	Syar.g_03225, Syar.g_00287	Prbg.g_01816
OG0000339	Syar.g_00658	Prbg.g_01822
OG0000340	Syar.g_00247	Prbg.g_01831
OG0000341	Syar.g_00249	Prbg.g_01833
OG0000342	Syar.g_00250	Prbg.g_01834
OG0000343	Syar.g_00256	Prbg.g_01835
OG0000344	Syar.g_00260	Prbg.g_01838
OG0000345	Syar.g_00612	Prbg.g_01844
OG0000346	Syar.g_00607	Prbg.g_01848
OG0000347	Syar.g_00558	Prbg.g_01865
OG0000348	Syar.g_00544	Prbg.g_01873
OG0000349	Syar.g_00521	Prbg.g_01891
OG0000350	Syar.g_00132	Prbg.g_00419
OG0000351	Syar.g_00442	Prbg.g_01931
OG0000352	Syar.g_00443	Prbg.g_01932
OG0000353	Syar.g_00469	Prbg.g_00766
OG0000355	Syar.g_00471	Prbg.g_00768
OG0000356	Syar.g_00472	Prbg.g_00769
OG0000357	Syar.g_00473	Prbg.g_00770
OG0000358	Syar.g_00477	Prbg.g_00774
OG0000359	Syar.g_00479	Prbg.g_00775
OG0000360	Syar.g_00480	Prbg.g_00776
OG0000361	Syar.g_00481	Prbg.g_00777
OG0000362	Syar.g_00483	Prbg.g_00779
OG0000363	Syar.g_00484	Prbg.g_00860
OG0000364	Syar.g_02928	Prbg.g_00859
OG0000365	Syar.g_00493	Prbg.g_00854
OG0000366	Syar.g_00494	Prbg.g_00853
OG0000367	Syar.g_03262, Syar.g_00495	Prbg.g_00852
OG0000368	Syar.g_00497	Prbg.g_00850
OG0000369	Syar.g_00498	Prbg.g_00849
OG0000370	Syar.g_00499	Prbg.g_00848
OG0000371	Syar.g_00508	Prbg.g_00841
OG0000372	Syar.g_00514	Prbg.g_00838
OG0000373	Syar.g_00515	Prbg.g_00837
OG0000374	Syar.g_00516	Prbg.g_00836
OG0000375	Syar.g_00517	Prbg.g_00834
OG0000376	Syar.g_00519	Prbg.g_00832
OG0000377	Syar.g_00322	Prbg.g_00828
OG0000378	Syar.g_00905	Prbg.g_00824
OG0000379	Syar.g_00910	Prbg.g_00821
OG0000380	Syar.g_03039	Prbg.g_00804
OG0000381	Syar.g_03041	Prbg.g_00799
OG0000382	Syar.g_03057	Prbg.g_00789
OG0000383	Syar.g_03074	Prbg.g_00787
OG0000384	Syar.g_03075	Prbg.g_00786
OG0000385	Syar.g_03076	Prbg.g_00785
OG0000386	Syar.g_03077	Prbg.g_00784
OG0000387	Syar.g_03109	Prbg.g_00870
OG0000388	Syar.g_03148, Syar.g_03113	Prbg.g_00874
OG0000389	Syar.g_03118	Prbg.g_00877
OG0000390	Syar.g_00033	Prbg.g_00887
OG0000391	Syar.g_00038	Prbg.g_00890
OG0000392	Syar.g_00045	Prbg.g_00894
OG0000393	Syar.g_00048	Prbg.g_00897
OG0000394	Syar.g_00049	Prbg.g_00898
OG0000395	Syar.g_00050	Prbg.g_00899
OG0000396	Syar.g_00053	Prbg.g_00901
OG0000397	Syar.g_00055	Prbg.g_00903
OG0000398	Syar.g_00060	Prbg.g_00906
OG0000399	Syar.g_00061	Prbg.g_00907
OG0000400	Syar.g_00062	Prbg.g_00908
OG0000401	Syar.g_00063	Prbg.g_00909
OG0000402	Syar.g_00065	Prbg.g_01349
OG0000403	Syar.g_00066	Prbg.g_00911
OG0000404	Syar.g_00067	Prbg.g_00912
OG0000405	Syar.g_00076	Prbg.g_00916
OG0000406	Syar.g_00080	Prbg.g_00924
OG0000407	Syar.g_00081	Prbg.g_00925
OG0000408	Syar.g_00083	Prbg.g_00927
OG0000409	Syar.g_00085	Prbg.g_00929
OG0000410	Syar.g_00086	Prbg.g_00930
OG0000411	Syar.g_00087	Prbg.g_00931
OG0000412	Syar.g_00088	Prbg.g_00932
OG0000413	Syar.g_00090	Prbg.g_00934
OG0000414	Syar.g_00091, Syar.g_03179	Prbg.g_00935
OG0000415	Syar.g_00092	Prbg.g_00936
OG0000416	Syar.g_00093	Prbg.g_00937
OG0000417	Syar.g_00095	Prbg.g_00938
OG0000418	Syar.g_00100	Prbg.g_00943
OG0000419	Syar.g_00102	Prbg.g_00945
OG0000420	Syar.g_00104	Prbg.g_00946
OG0000421	Syar.g_00109	Prbg.g_00951
OG0000422	Syar.g_00110	Prbg.g_00952
OG0000423	Syar.g_00111	Prbg.g_00953
OG0000424	Syar.g_00112	Prbg.g_00954
OG0000425	Syar.g_00113	Prbg.g_00955
OG0000426	Syar.g_00114	Prbg.g_00956
OG0000427	Syar.g_00115	Prbg.g_00957
OG0000428	Syar.g_00118	Prbg.g_00959
OG0000429	Syar.g_00121	Prbg.g_00960
OG0000430	Syar.g_00123	Prbg.g_00961
OG0000431	Syar.g_00127	Prbg.g_00963
OG0000432	Syar.g_01009	Prbg.g_00967
OG0000433	Syar.g_01007	Prbg.g_00968
OG0000434	Syar.g_01006	Prbg.g_00969
OG0000435	Syar.g_01003	Prbg.g_00970
OG0000436	Syar.g_00994	Prbg.g_00975
OG0000437	Syar.g_00993	Prbg.g_00976
OG0000438	Syar.g_00992	Prbg.g_00977
OG0000439	Syar.g_00990	Prbg.g_00979
OG0000440	Syar.g_00989	Prbg.g_00980
OG0000441	Syar.g_00986	Prbg.g_00983
OG0000442	Syar.g_00977	Prbg.g_00984
OG0000443	Syar.g_00964	Prbg.g_00985
OG0000444	Syar.g_00954	Prbg.g_00991
OG0000445	Syar.g_00953	Prbg.g_00992
OG0000446	Syar.g_00951	Prbg.g_00993
OG0000447	Syar.g_00948	Prbg.g_00994
OG0000448	Syar.g_00947	Prbg.g_00995
OG0000449	Syar.g_00946	Prbg.g_00996
OG0000450	Syar.g_00939	Prbg.g_00997
OG0000451	Syar.g_00938	Prbg.g_00998
OG0000452	Syar.g_00934	Prbg.g_01001
OG0000453	Syar.g_00933	Prbg.g_01002
OG0000454	Syar.g_00932	Prbg.g_01003
OG0000455	Syar.g_00931	Prbg.g_01004
OG0000456	Syar.g_00930	Prbg.g_01005
OG0000457	Syar.g_00928	Prbg.g_01007
OG0000458	Syar.g_00918	Prbg.g_01008
OG0000459	Syar.g_00917	Prbg.g_01009
OG0000460	Syar.g_03024	Prbg.g_01017
OG0000461	Syar.g_00153	Prbg.g_01025
OG0000462	Syar.g_00155	Prbg.g_01027
OG0000463	Syar.g_00156	Prbg.g_01028
OG0000464	Syar.g_00157	Prbg.g_01029
OG0000465	Syar.g_00159	Prbg.g_01030
OG0000466	Syar.g_00164	Prbg.g_01033
OG0000467	Syar.g_00165	Prbg.g_01034
OG0000468	Syar.g_00170	Prbg.g_01037
OG0000469	Syar.g_00203	Prbg.g_01045
OG0000470	Syar.g_00206	Prbg.g_00042
OG0000471	Syar.g_00207	Prbg.g_00043
OG0000472	Syar.g_00208	Prbg.g_00045
OG0000473	Syar.g_00210	Prbg.g_00047
OG0000474	Syar.g_00211	Prbg.g_00048
OG0000475	Syar.g_00212	Prbg.g_00049
OG0000476	Syar.g_00214	Prbg.g_00051
OG0000477	Syar.g_00219	Prbg.g_00054
OG0000478	Syar.g_00220	Prbg.g_00055
OG0000479	Syar.g_00221	Prbg.g_00056
OG0000480	Syar.g_00228	Prbg.g_00061
OG0000481	Syar.g_00230	Prbg.g_00064
OG0000482	Syar.g_00231	Prbg.g_00065
OG0000483	Syar.g_00235	Prbg.g_00068
OG0000484	Syar.g_00236	Prbg.g_00069
OG0000485	Syar.g_00237	Prbg.g_00071
OG0000486	Syar.g_00024, Syar.g_00238	Prbg.g_00072
OG0000487	Syar.g_00245	Prbg.g_00075
OG0000488	Syar.g_00853	Prbg.g_00078
OG0000489	Syar.g_00833	Prbg.g_00083
OG0000490	Syar.g_00823	Prbg.g_00087
OG0000491	Syar.g_00822	Prbg.g_00088
OG0000492	Syar.g_00727	Prbg.g_00090
OG0000493	Syar.g_00726	Prbg.g_00091
OG0000494	Syar.g_00725	Prbg.g_00092
OG0000495	Syar.g_00724	Prbg.g_00093
OG0000496	Syar.g_00723	Prbg.g_00094
OG0000497	Syar.g_00722	Prbg.g_00095
OG0000498	Syar.g_00721	Prbg.g_00096
OG0000499	Syar.g_00720	Prbg.g_00097
OG0000500	Syar.g_00719	Prbg.g_00098
OG0000501	Syar.g_00716	Prbg.g_00099
OG0000502	Syar.g_00275	Prbg.g_00102
OG0000503	Syar.g_01118	Prbg.g_00117
OG0000504	Syar.g_01120	Prbg.g_00119
OG0000505	Syar.g_01121	Prbg.g_00120
OG0000506	Syar.g_01123	Prbg.g_00121
OG0000507	Syar.g_01129	Prbg.g_00124
OG0000508	Syar.g_01141	Prbg.g_00128
OG0000509	Syar.g_01143	Prbg.g_00130
OG0000510	Syar.g_01144	Prbg.g_00131
OG0000511	Syar.g_01145	Prbg.g_00132
OG0000512	Syar.g_01147	Prbg.g_01942
OG0000513	Syar.g_01166	Prbg.g_00140
OG0000514	Syar.g_01169	Prbg.g_00151
OG0000515	Syar.g_01170	Prbg.g_00152
OG0000516	Syar.g_01172	Prbg.g_00153
OG0000517	Syar.g_01176	Prbg.g_00155
OG0000518	Syar.g_02868	Prbg.g_00166
OG0000519	Syar.g_02867	Prbg.g_00167
OG0000520	Syar.g_02866	Prbg.g_00168
OG0000521	Syar.g_01419	Prbg.g_00176
OG0000522	Syar.g_01421	Prbg.g_00178
OG0000523	Syar.g_01422	Prbg.g_00179
OG0000524	Syar.g_01244	Prbg.g_00184
OG0000525	Syar.g_01263	Prbg.g_00188
OG0000526	Syar.g_01266	Prbg.g_00189
OG0000527	Syar.g_01271	Prbg.g_00192
OG0000528	Syar.g_01466	Prbg.g_00197
OG0000529	Syar.g_01470	Prbg.g_00200
OG0000530	Syar.g_01473	Prbg.g_00203
OG0000531	Syar.g_01474	Prbg.g_00204
OG0000532	Syar.g_01477	Prbg.g_00206
OG0000533	Syar.g_01479	Prbg.g_00207
OG0000534	Syar.g_01480	Prbg.g_00208
OG0000535	Syar.g_01481	Prbg.g_00209
OG0000536	Syar.g_01482	Prbg.g_00210
OG0000537	Syar.g_01483	Prbg.g_00211
