Orthogroup	Prbk	Syar
OG0000136	Prbk.g_00323	Syar.g_02874
OG0000137	Prbk.g_02113	Syar.g_01273
OG0000138	Prbk.g_02078	Syar.g_01486
OG0000139	Prbk.g_01086	Syar.g_03245
OG0000140	Prbk.g_01092	Syar.g_02344, Syar.g_03246
OG0000141	Prbk.g_01154	Syar.g_02129
OG0000142	Prbk.g_02631	Syar.g_02418
OG0000143	Prbk.g_02635	Syar.g_02422
OG0000144	Prbk.g_00739	Syar.g_02441
OG0000145	Prbk.g_01863	Syar.g_01494
OG0000146	Prbk.g_02333	Syar.g_02549
OG0000147	Prbk.g_02334	Syar.g_02550
OG0000148	Prbk.g_02487	Syar.g_02658
OG0000149	Prbk.g_02544	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prbk.g_02567	Syar.g_02130
OG0000151	Prbk.g_02417	Syar.g_02038
OG0000152	Prbk.g_02324	Syar.g_02539
OG0000153	Prbk.g_02297	Syar.g_03283, Syar.g_02503
OG0000154	Prbk.g_00584	Syar.g_01800
OG0000155	Prbk.g_00099	Syar.g_01959
OG0000156	Prbk.g_00164	Syar.g_01517
OG0000157	Prbk.g_00163	Syar.g_01516
OG0000158	Prbk.g_00526	Syar.g_00650
OG0000160	Prbk.g_00260	Syar.g_02807
OG0000161	Prbk.g_00274	Syar.g_02801
OG0000162	Prbk.g_00280	Syar.g_02863
OG0000163	Prbk.g_02002	Syar.g_01186
OG0000164	Prbk.g_01432	Syar.g_03168, Syar.g_02969
OG0000165	Prbk.g_01423	Syar.g_02976
OG0000166	Prbk.g_00982	Syar.g_01034
OG0000167	Prbk.g_00512	Syar.g_00662
OG0000168	Prbk.g_00527	Syar.g_00246
OG0000169	Prbk.g_00220	Syar.g_00262
OG0000170	Prbk.g_00232	Syar.g_00613
OG0000171	Prbk.g_01538	Syar.g_00587
OG0000172	Prbk.g_01573	Syar.g_00547
OG0000173	Prbk.g_01594	Syar.g_00528
OG0000174	Prbk.g_02211	Syar.g_00701
OG0000175	Prbk.g_02249	Syar.g_00438
OG0000176	Prbk.g_02282	Syar.g_00474
OG0000177	Prbk.g_02283	Syar.g_00475
OG0000178	Prbk.g_02284	Syar.g_00476
OG0000179	Prbk.g_01633	Syar.g_00489
OG0000180	Prbk.g_01632	Syar.g_00490
OG0000181	Prbk.g_01631	Syar.g_00491
OG0000182	Prbk.g_01630	Syar.g_00492
OG0000183	Prbk.g_01626	Syar.g_00496
OG0000184	Prbk.g_02148	Syar.g_00897
OG0000185	Prbk.g_02126	Syar.g_00909
OG0000186	Prbk.g_01326	Syar.g_03036
OG0000187	Prbk.g_01324	Syar.g_03038
OG0000188	Prbk.g_01303	Syar.g_03058
OG0000189	Prbk.g_00024	Syar.g_03104
OG0000190	Prbk.g_00022	Syar.g_03107, Syar.g_02374
OG0000191	Prbk.g_00197	Syar.g_00039
OG0000192	Prbk.g_00206	Syar.g_00046
OG0000193	Prbk.g_00752	Syar.g_00079
OG0000194	Prbk.g_00755	Syar.g_00082, Syar.g_03236
OG0000195	Prbk.g_00757	Syar.g_00023
OG0000196	Prbk.g_00768	Syar.g_00096
OG0000197	Prbk.g_00769	Syar.g_00097
OG0000198	Prbk.g_00770	Syar.g_00098
OG0000199	Prbk.g_00777	Syar.g_00106
OG0000200	Prbk.g_01280	Syar.g_00124
OG0000201	Prbk.g_01261	Syar.g_01000
OG0000202	Prbk.g_01260	Syar.g_00021, Syar.g_00998
OG0000203	Prbk.g_01259	Syar.g_00997, Syar.g_00020
OG0000204	Prbk.g_01258	Syar.g_00996
OG0000205	Prbk.g_01251	Syar.g_00988
OG0000206	Prbk.g_00632	Syar.g_00963
OG0000207	Prbk.g_00686	Syar.g_00957
OG0000208	Prbk.g_00685	Syar.g_00956
OG0000209	Prbk.g_00658	Syar.g_00936, Syar.g_03261
OG0000210	Prbk.g_00657	Syar.g_03260, Syar.g_00935
OG0000211	Prbk.g_01368	Syar.g_03026
OG0000212	Prbk.g_01514	Syar.g_03017
OG0000213	Prbk.g_00374	Syar.g_00187
OG0000214	Prbk.g_00401	Syar.g_00209
OG0000215	Prbk.g_00431	Syar.g_00239
OG0000216	Prbk.g_00434	Syar.g_00244
OG0000217	Prbk.g_00438	Syar.g_00854
OG0000218	Prbk.g_00442	Syar.g_00852
OG0000219	Prbk.g_00443	Syar.g_00851
OG0000220	Prbk.g_00444	Syar.g_00850, Syar.g_02026
OG0000221	Prbk.g_00449	Syar.g_00834
OG0000222	Prbk.g_00458	Syar.g_02119, Syar.g_00728
OG0000223	Prbk.g_00481	Syar.g_00649
OG0000224	Prbk.g_00492	Syar.g_00273, Syar.g_00762
OG0000225	Prbk.g_00889	Syar.g_01142
OG0000226	Prbk.g_00893	Syar.g_01146
OG0000227	Prbk.g_00895	Syar.g_01148
OG0000228	Prbk.g_00365	Syar.g_01161
OG0000229	Prbk.g_00328	Syar.g_01177, Syar.g_03273
OG0000230	Prbk.g_00326	Syar.g_01179
OG0000231	Prbk.g_00311	Syar.g_02865, Syar.g_03151
OG0000232	Prbk.g_00295	Syar.g_01424
OG0000233	Prbk.g_02092	Syar.g_03183, Syar.g_01247
OG0000234	Prbk.g_02114	Syar.g_01275
OG0000235	Prbk.g_02060	Syar.g_01468
OG0000236	Prbk.g_02076	Syar.g_01484, Syar.g_03311
OG0000237	Prbk.g_01047	Syar.g_01503
OG0000238	Prbk.g_01051	Syar.g_01508
OG0000239	Prbk.g_01067	Syar.g_03277, Syar.g_02687
OG0000240	Prbk.g_01068	Syar.g_02686, Syar.g_03278
OG0000241	Prbk.g_01965	Syar.g_02410
OG0000242	Prbk.g_01078	Syar.g_01926
OG0000243	Prbk.g_02684	Syar.g_02335
OG0000244	Prbk.g_01897	Syar.g_02327
OG0000245	Prbk.g_01894	Syar.g_02325, Syar.g_03238
OG0000246	Prbk.g_01890	Syar.g_02321
OG0000247	Prbk.g_01879	Syar.g_02310
OG0000248	Prbk.g_01876	Syar.g_02307, Syar.g_03293
OG0000249	Prbk.g_01874	Syar.g_02305
OG0000250	Prbk.g_01106	Syar.g_02299
OG0000251	Prbk.g_01130	Syar.g_03207, Syar.g_02194
OG0000252	Prbk.g_01133	Syar.g_02189, Syar.g_03263
OG0000253	Prbk.g_01139	Syar.g_03229, Syar.g_02028
OG0000254	Prbk.g_01158	Syar.g_02169
OG0000255	Prbk.g_02604	Syar.g_02224
OG0000256	Prbk.g_02618	Syar.g_02244
OG0000257	Prbk.g_02624	Syar.g_02407, Syar.g_01762
OG0000258	Prbk.g_02647	Syar.g_00010, Syar.g_02427
OG0000259	Prbk.g_00720	Syar.g_02472
OG0000260	Prbk.g_00717	Syar.g_03220, Syar.g_02475
OG0000261	Prbk.g_00714	Syar.g_01916
OG0000262	Prbk.g_00709	Syar.g_01690
OG0000263	Prbk.g_00672	Syar.g_01991
OG0000264	Prbk.g_01815	Syar.g_02135, Syar.g_03267
OG0000266	Prbk.g_00608	Syar.g_01570
OG0000267	Prbk.g_02371	Syar.g_01873
OG0000268	Prbk.g_02370	Syar.g_02589
OG0000269	Prbk.g_02463	Syar.g_02634
OG0000270	Prbk.g_02466	Syar.g_00744, Syar.g_02637
OG0000271	Prbk.g_02474	Syar.g_02645
OG0000272	Prbk.g_02475	Syar.g_02646
OG0000273	Prbk.g_02526	Syar.g_00008
OG0000274	Prbk.g_02527	Syar.g_02482
OG0000275	Prbk.g_02530	Syar.g_01810
OG0000276	Prbk.g_02536	Syar.g_01817
OG0000277	Prbk.g_02537	Syar.g_03242, Syar.g_01818
OG0000278	Prbk.g_02540	Syar.g_01821, Syar.g_03174
OG0000279	Prbk.g_02548	Syar.g_01838
OG0000280	Prbk.g_02554	Syar.g_02067, Syar.g_00734
OG0000281	Prbk.g_02568	Syar.g_02218
OG0000282	Prbk.g_02398	Syar.g_03255, Syar.g_01614
OG0000283	Prbk.g_02359	Syar.g_02574
OG0000284	Prbk.g_02353	Syar.g_02568
OG0000285	Prbk.g_01698	Syar.g_02560
OG0000286	Prbk.g_02325	Syar.g_02540
OG0000287	Prbk.g_01728	Syar.g_02512
OG0000288	Prbk.g_00583	Syar.g_01801
OG0000289	Prbk.g_00596	Syar.g_01786
OG0000290	Prbk.g_00059	Syar.g_01928
OG0000291	Prbk.g_00057	Syar.g_01930
OG0000292	Prbk.g_02271	Syar.g_00463
OG0000293	Prbk.g_01032	Syar.g_01526, Syar.g_03297
OG0000294	Prbk.g_01031	Syar.g_01527, Syar.g_03296
OG0000295	Prbk.g_00106	Syar.g_01951, Syar.g_03208
OG0000296	Prbk.g_00104	Syar.g_01953
OG0000297	Prbk.g_01498	Syar.g_03216
OG0000298	Prbk.g_01497	Syar.g_01968, Syar.g_03215
OG0000299	Prbk.g_01508	Syar.g_01704
OG0000300	Prbk.g_00186	Syar.g_01646
OG0000301	Prbk.g_00185	Syar.g_01712
OG0000302	Prbk.g_00182	Syar.g_01713
OG0000303	Prbk.g_00097	Syar.g_03136, Syar.g_01723
OG0000304	Prbk.g_00121	Syar.g_01728
OG0000305	Prbk.g_00055	Syar.g_01933, Syar.g_03163
OG0000306	Prbk.g_02578	Syar.g_01884
OG0000307	Prbk.g_02044	Syar.g_01452, Syar.g_03153
OG0000308	Prbk.g_02042	Syar.g_01450
OG0000309	Prbk.g_02038	Syar.g_01239
OG0000310	Prbk.g_01937	Syar.g_02826
OG0000311	Prbk.g_00243	Syar.g_02823
OG0000312	Prbk.g_00247	Syar.g_00015, Syar.g_02818
OG0000313	Prbk.g_00271	Syar.g_02804
OG0000314	Prbk.g_01222	Syar.g_01403
OG0000315	Prbk.g_01212	Syar.g_01393
OG0000316	Prbk.g_01991	Syar.g_02885
OG0000317	Prbk.g_00913	Syar.g_02926
OG0000318	Prbk.g_00906	Syar.g_02930
OG0000319	Prbk.g_01443	Syar.g_02954
OG0000320	Prbk.g_01441	Syar.g_02956
OG0000321	Prbk.g_01440	Syar.g_02957
OG0000322	Prbk.g_01439	Syar.g_02958
OG0000323	Prbk.g_01428	Syar.g_02973
OG0000324	Prbk.g_01399	Syar.g_00350, Syar.g_03001
OG0000325	Prbk.g_01904	Syar.g_03291, Syar.g_00148
OG0000326	Prbk.g_01912	Syar.g_00139, Syar.g_03134
OG0000327	Prbk.g_00987	Syar.g_01029
OG0000328	Prbk.g_00986	Syar.g_01030
OG0000329	Prbk.g_00969	Syar.g_03189, Syar.g_01048
OG0000330	Prbk.g_00968	Syar.g_01049
OG0000331	Prbk.g_00967	Syar.g_03191
OG0000332	Prbk.g_00952	Syar.g_01064, Syar.g_03299
OG0000333	Prbk.g_00950	Syar.g_01067
OG0000334	Prbk.g_00801	Syar.g_01076
OG0000335	Prbk.g_00806	Syar.g_01080
OG0000336	Prbk.g_00810	Syar.g_01084
OG0000337	Prbk.g_00506	Syar.g_00285
OG0000338	Prbk.g_00510	Syar.g_03225, Syar.g_00287
OG0000339	Prbk.g_00516	Syar.g_00658
OG0000340	Prbk.g_00528	Syar.g_00247
OG0000341	Prbk.g_00530	Syar.g_00249
OG0000342	Prbk.g_00531	Syar.g_00250
OG0000343	Prbk.g_00215	Syar.g_00256
OG0000344	Prbk.g_00218	Syar.g_00260
OG0000345	Prbk.g_00233	Syar.g_00612
OG0000346	Prbk.g_00238	Syar.g_00607
OG0000347	Prbk.g_01540	Syar.g_00558
OG0000348	Prbk.g_01578	Syar.g_00544
OG0000349	Prbk.g_01602	Syar.g_00521
OG0000350	Prbk.g_02204	Syar.g_00132
OG0000351	Prbk.g_02252	Syar.g_00442
OG0000352	Prbk.g_02253	Syar.g_00443
OG0000353	Prbk.g_02277	Syar.g_00469
OG0000354	Prbk.g_01057	Syar.g_01514
OG0000354	Prbk.g_01635	Syar.g_00487
OG0000355	Prbk.g_02279	Syar.g_00471
OG0000356	Prbk.g_02280	Syar.g_00472
OG0000357	Prbk.g_02281	Syar.g_00473
OG0000358	Prbk.g_02285	Syar.g_00477
OG0000359	Prbk.g_02287	Syar.g_00479
OG0000360	Prbk.g_02288	Syar.g_00480
OG0000361	Prbk.g_02289	Syar.g_00481
OG0000362	Prbk.g_02291	Syar.g_00483
OG0000363	Prbk.g_01639	Syar.g_00484
OG0000364	Prbk.g_01638	Syar.g_02928
OG0000365	Prbk.g_01629	Syar.g_00493
OG0000366	Prbk.g_01628	Syar.g_00494
OG0000367	Prbk.g_01627	Syar.g_03262, Syar.g_00495
OG0000368	Prbk.g_01625	Syar.g_00497
OG0000369	Prbk.g_01624	Syar.g_00498
OG0000370	Prbk.g_01623	Syar.g_00499
OG0000371	Prbk.g_01614	Syar.g_00508
OG0000372	Prbk.g_01609	Syar.g_00514
OG0000373	Prbk.g_01608	Syar.g_00515
OG0000374	Prbk.g_01607	Syar.g_00516
OG0000375	Prbk.g_01606	Syar.g_00517
OG0000376	Prbk.g_01604	Syar.g_00519
OG0000377	Prbk.g_02155	Syar.g_00322
OG0000378	Prbk.g_02141	Syar.g_00905
OG0000379	Prbk.g_02125	Syar.g_00910
OG0000380	Prbk.g_01323	Syar.g_03039
OG0000381	Prbk.g_01319	Syar.g_03041
OG0000382	Prbk.g_01304	Syar.g_03057
OG0000383	Prbk.g_01302	Syar.g_03074
OG0000384	Prbk.g_01301	Syar.g_03075
OG0000385	Prbk.g_01300	Syar.g_03076
OG0000386	Prbk.g_01299	Syar.g_03077
OG0000387	Prbk.g_00020	Syar.g_03109
OG0000388	Prbk.g_00016	Syar.g_03148, Syar.g_03113
OG0000389	Prbk.g_00012	Syar.g_03118
OG0000390	Prbk.g_00191	Syar.g_00033
OG0000391	Prbk.g_00196	Syar.g_00038
OG0000392	Prbk.g_00202	Syar.g_00045
OG0000393	Prbk.g_00207	Syar.g_00048
OG0000394	Prbk.g_00208	Syar.g_00049
OG0000395	Prbk.g_00209	Syar.g_00050
OG0000396	Prbk.g_00542	Syar.g_00053
OG0000397	Prbk.g_00544	Syar.g_00055
OG0000398	Prbk.g_00549	Syar.g_00060
OG0000399	Prbk.g_00550	Syar.g_00061
OG0000400	Prbk.g_00551	Syar.g_00062
OG0000401	Prbk.g_00552	Syar.g_00063
OG0000402	Prbk.g_00554	Syar.g_00065
OG0000403	Prbk.g_00555	Syar.g_00066
OG0000404	Prbk.g_00557	Syar.g_00067
OG0000405	Prbk.g_00749	Syar.g_00076
OG0000406	Prbk.g_00753	Syar.g_00080
OG0000407	Prbk.g_00754	Syar.g_00081
OG0000408	Prbk.g_00756	Syar.g_00083
OG0000409	Prbk.g_00758	Syar.g_00085
OG0000410	Prbk.g_00759	Syar.g_00086
OG0000411	Prbk.g_00760	Syar.g_00087
OG0000412	Prbk.g_00761	Syar.g_00088
OG0000413	Prbk.g_00763	Syar.g_00090
OG0000414	Prbk.g_00764	Syar.g_00091, Syar.g_03179
OG0000415	Prbk.g_00765	Syar.g_00092
OG0000416	Prbk.g_00766	Syar.g_00093
OG0000417	Prbk.g_00767	Syar.g_00095
OG0000418	Prbk.g_00772	Syar.g_00100
OG0000419	Prbk.g_00774	Syar.g_00102
OG0000420	Prbk.g_00775	Syar.g_00104
OG0000421	Prbk.g_00779	Syar.g_00109
OG0000422	Prbk.g_00780	Syar.g_00110
OG0000423	Prbk.g_00781	Syar.g_00111
OG0000424	Prbk.g_00782	Syar.g_00112
OG0000425	Prbk.g_00783	Syar.g_00113
OG0000426	Prbk.g_00784	Syar.g_00114
OG0000427	Prbk.g_00785	Syar.g_00115
OG0000428	Prbk.g_02425	Syar.g_00118
OG0000429	Prbk.g_01283	Syar.g_00121
OG0000430	Prbk.g_01281	Syar.g_00123
OG0000431	Prbk.g_01277	Syar.g_00127
OG0000432	Prbk.g_01270	Syar.g_01009
OG0000433	Prbk.g_01267	Syar.g_01007
OG0000434	Prbk.g_01266	Syar.g_01006
OG0000435	Prbk.g_01263	Syar.g_01003
OG0000436	Prbk.g_01257	Syar.g_00994
OG0000437	Prbk.g_01256	Syar.g_00993
OG0000438	Prbk.g_01255	Syar.g_00992
OG0000439	Prbk.g_01253	Syar.g_00990
OG0000440	Prbk.g_01252	Syar.g_00989
OG0000441	Prbk.g_01245	Syar.g_00986
OG0000442	Prbk.g_01244	Syar.g_00977
OG0000443	Prbk.g_00631	Syar.g_00964
OG0000444	Prbk.g_00683	Syar.g_00954
OG0000445	Prbk.g_00682	Syar.g_00953
OG0000446	Prbk.g_00680	Syar.g_00951
OG0000447	Prbk.g_00670	Syar.g_00948
OG0000448	Prbk.g_00669	Syar.g_00947
OG0000449	Prbk.g_00668	Syar.g_00946
OG0000450	Prbk.g_00662	Syar.g_00939
OG0000451	Prbk.g_00661	Syar.g_00938
OG0000452	Prbk.g_00656	Syar.g_00934
OG0000453	Prbk.g_00655	Syar.g_00933
OG0000454	Prbk.g_00654	Syar.g_00932
OG0000455	Prbk.g_00653	Syar.g_00931
OG0000456	Prbk.g_00652	Syar.g_00930
OG0000457	Prbk.g_00650	Syar.g_00928
OG0000458	Prbk.g_00649	Syar.g_00918
OG0000459	Prbk.g_00648	Syar.g_00917
OG0000460	Prbk.g_01369	Syar.g_03024
OG0000461	Prbk.g_01900	Syar.g_00153
OG0000462	Prbk.g_01012	Syar.g_00155
OG0000463	Prbk.g_01011	Syar.g_00156
OG0000464	Prbk.g_01010	Syar.g_00157
OG0000465	Prbk.g_01008	Syar.g_00159
OG0000466	Prbk.g_01003	Syar.g_00164
OG0000467	Prbk.g_01001	Syar.g_00165
OG0000468	Prbk.g_00371	Syar.g_00170
OG0000469	Prbk.g_00384	Syar.g_00203
OG0000470	Prbk.g_00397	Syar.g_00206
OG0000471	Prbk.g_00398	Syar.g_00207
OG0000472	Prbk.g_00400	Syar.g_00208
OG0000473	Prbk.g_00402	Syar.g_00210
OG0000474	Prbk.g_00403	Syar.g_00211
OG0000475	Prbk.g_00404	Syar.g_00212
OG0000476	Prbk.g_00406	Syar.g_00214
OG0000477	Prbk.g_00411	Syar.g_00219
OG0000478	Prbk.g_00412	Syar.g_00220
OG0000479	Prbk.g_00413	Syar.g_00221
OG0000480	Prbk.g_00420	Syar.g_00228
OG0000481	Prbk.g_00422	Syar.g_00230
OG0000482	Prbk.g_00423	Syar.g_00231
OG0000483	Prbk.g_00427	Syar.g_00235
OG0000484	Prbk.g_00428	Syar.g_00236
OG0000485	Prbk.g_00429	Syar.g_00237
OG0000486	Prbk.g_00430	Syar.g_00238, Syar.g_00024
OG0000487	Prbk.g_00435	Syar.g_00245
OG0000488	Prbk.g_00439	Syar.g_00853
OG0000489	Prbk.g_00450	Syar.g_00833
OG0000490	Prbk.g_00456	Syar.g_00823
OG0000491	Prbk.g_00457	Syar.g_00822
OG0000492	Prbk.g_00460	Syar.g_00727
OG0000493	Prbk.g_00461	Syar.g_00726
OG0000494	Prbk.g_00462	Syar.g_00725
OG0000495	Prbk.g_00463	Syar.g_00724
OG0000496	Prbk.g_00464	Syar.g_00723
OG0000497	Prbk.g_00465	Syar.g_00722
OG0000498	Prbk.g_00466	Syar.g_00721
OG0000499	Prbk.g_00467	Syar.g_00720
OG0000500	Prbk.g_00468	Syar.g_00719
OG0000501	Prbk.g_00471	Syar.g_00716
OG0000502	Prbk.g_00483	Syar.g_00275
OG0000503	Prbk.g_00871	Syar.g_01118
OG0000504	Prbk.g_00873	Syar.g_01120
OG0000505	Prbk.g_00874	Syar.g_01121
OG0000506	Prbk.g_00876	Syar.g_01123
OG0000507	Prbk.g_00881	Syar.g_01129
OG0000508	Prbk.g_00888	Syar.g_01141
OG0000509	Prbk.g_00890	Syar.g_01143
OG0000510	Prbk.g_00891	Syar.g_01144
OG0000511	Prbk.g_00892	Syar.g_01145
OG0000512	Prbk.g_00894	Syar.g_01147
OG0000513	Prbk.g_00360	Syar.g_01166
OG0000514	Prbk.g_00352	Syar.g_01169
OG0000515	Prbk.g_00351	Syar.g_01170
OG0000516	Prbk.g_00339	Syar.g_01172
OG0000517	Prbk.g_00329	Syar.g_01176
OG0000518	Prbk.g_00317	Syar.g_02868
OG0000519	Prbk.g_00316	Syar.g_02867
OG0000520	Prbk.g_00315	Syar.g_02866
OG0000521	Prbk.g_00301	Syar.g_01419
OG0000522	Prbk.g_00299	Syar.g_01421
OG0000523	Prbk.g_00298	Syar.g_01422
OG0000524	Prbk.g_02088	Syar.g_01244
OG0000525	Prbk.g_02105	Syar.g_01263
OG0000526	Prbk.g_02107	Syar.g_01266
OG0000527	Prbk.g_02111	Syar.g_01271
OG0000528	Prbk.g_02056	Syar.g_01466
OG0000529	Prbk.g_02062	Syar.g_01470
OG0000530	Prbk.g_02065	Syar.g_01473
OG0000531	Prbk.g_02066	Syar.g_01474
OG0000532	Prbk.g_02069	Syar.g_01477
OG0000533	Prbk.g_02071	Syar.g_01479
OG0000534	Prbk.g_02072	Syar.g_01480
OG0000535	Prbk.g_02073	Syar.g_01481
OG0000536	Prbk.g_02074	Syar.g_01482
OG0000537	Prbk.g_02075	Syar.g_01483
OG0000538	Prbk.g_01865	Syar.g_01496
OG0000539	Prbk.g_01041	Syar.g_01497
OG0000540	Prbk.g_01042	Syar.g_01498
OG0000541	Prbk.g_01043	Syar.g_01499
OG0000542	Prbk.g_01046	Syar.g_01502
OG0000543	Prbk.g_01048	Syar.g_01504
OG0000544	Prbk.g_01049	Syar.g_01505
OG0000545	Prbk.g_01050	Syar.g_01507
OG0000546	Prbk.g_01052	Syar.g_01509
