Orthogroup	Prbk	Syab
OG0000036	Prbk.g_00394, Prbk.g_01942, Prbk.g_01040, Prbk.g_00799, Prbk.g_00790, Prbk.g_00075, Prbk.g_01949, Prbk.g_01284, Prbk.g_02015, Prbk.g_01948	Syab.g_01108, Syab.g_01109, Syab.g_02412, Syab.g_01247
OG0000037	Prbk.g_00007	Syab.g_02504
OG0000038	Prbk.g_02164	Syab.g_02759
OG0000038	Prbk.g_02166	Syab.g_02761
OG0000039	Prbk.g_00642	Syab.g_02791
OG0000041	Prbk.g_01406	Syab.g_02333
OG0000042	Prbk.g_01495, Prbk.g_00140	Syab.g_01019, Syab.g_00099
OG0000045	Prbk.g_01321	Syab.g_00871, Syab.g_01787
OG0000046	Prbk.g_00854	Syab.g_00481, Syab.g_00488, Syab.g_00496
OG0000047	Prbk.g_02565, Prbk.g_01202	Syab.g_00876
OG0000048	Prbk.g_00405	Syab.g_00308
OG0000051	Prbk.g_01709	Syab.g_01073
OG0000052	Prbk.g_00499	Syab.g_00214
OG0000053	Prbk.g_01230	Syab.g_00746
OG0000054	Prbk.g_01153	Syab.g_01932
OG0000056	Prbk.g_02591, Prbk.g_00841, Prbk.g_00094	Syab.g_01452
OG0000057	Prbk.g_01765	Syab.g_01200
OG0000059	Prbk.g_00533	Syab.g_00397
OG0000060	Prbk.g_02058	Syab.g_02094
OG0000060	Prbk.g_01286	Syab.g_00707
OG0000061	Prbk.g_01019	Syab.g_00969
OG0000062	Prbk.g_00931	Syab.g_02234
OG0000063	Prbk.g_01613	Syab.g_00040
OG0000065	Prbk.g_00011	Syab.g_02500, Syab.g_01768
OG0000066	Prbk.g_01094	Syab.g_01516, Syab.g_02031
OG0000067	Prbk.g_02468	Syab.g_01659
OG0000068	Prbk.g_02052	Syab.g_02087
OG0000070	Prbk.g_00310	Syab.g_00614
OG0000071	Prbk.g_01183	Syab.g_00915
OG0000072	Prbk.g_00778	Syab.g_02593
OG0000073	Prbk.g_01862	Syab.g_02119
OG0000075	Prbk.g_00514	Syab.g_00202
OG0000076	Prbk.g_00237	Syab.g_00113
OG0000077	Prbk.g_01308	Syab.g_02446
OG0000078	Prbk.g_01515	Syab.g_02366
OG0000079	Prbk.g_01000	Syab.g_00340
OG0000081	Prbk.g_00733, Prbk.g_01772	Syab.g_01793
OG0000082	Prbk.g_01122	Syab.g_01971
OG0000084	Prbk.g_00255	Syab.g_00781
OG0000085	Prbk.g_00919	Syab.g_02243
OG0000086	Prbk.g_01295	Syab.g_02468
OG0000087	Prbk.g_00559	Syab.g_02551
OG0000088	Prbk.g_01836, Prbk.g_00773	Syab.g_02586
OG0000089	Prbk.g_00364	Syab.g_00551
OG0000090	Prbk.g_01080	Syab.g_02041
OG0000091	Prbk.g_02639	Syab.g_01866
OG0000093	Prbk.g_02444	Syab.g_01582, Syab.g_01090
OG0000095	Prbk.g_00056	Syab.g_01210
OG0000097	Prbk.g_00189	Syab.g_01051
OG0000098	Prbk.g_01199	Syab.g_01553
OG0000099	Prbk.g_00476	Syab.g_00230
OG0000100	Prbk.g_01360, Prbk.g_02498	Syab.g_01694
OG0000101	Prbk.g_00944	Syab.g_00446
OG0000102	Prbk.g_01484	Syab.g_00104
OG0000103	Prbk.g_02260	Syab.g_01296, Syab.g_02895
OG0000104	Prbk.g_02274	Syab.g_02910
OG0000105	Prbk.g_00409	Syab.g_00303
OG0000106	Prbk.g_00925	Syab.g_01817
OG0000107	Prbk.g_01902	Syab.g_00367
OG0000108	Prbk.g_02061	Syab.g_02096
OG0000109	Prbk.g_02077	Syab.g_02112
OG0000110	Prbk.g_01110	Syab.g_01984
OG0000111	Prbk.g_01766	Syab.g_01201
OG0000112	Prbk.g_02332	Syab.g_01392
OG0000113	Prbk.g_02493	Syab.g_01689
OG0000114	Prbk.g_02396	Syab.g_01633
OG0000115	Prbk.g_01234	Syab.g_00748
OG0000116	Prbk.g_01034	Syab.g_00945
OG0000117	Prbk.g_01496	Syab.g_01018
OG0000118	Prbk.g_01169	Syab.g_00897
OG0000120	Prbk.g_00477	Syab.g_00229
OG0000121	Prbk.g_00267, Prbk.g_00261	Syab.g_00772
OG0000122	Prbk.g_02664	Syab.g_01839
OG0000123	Prbk.g_00805	Syab.g_00454
OG0000124	Prbk.g_01539	Syab.g_00088
OG0000125	Prbk.g_02168	Syab.g_02763
OG0000126	Prbk.g_02272	Syab.g_02908
OG0000128	Prbk.g_02290	Syab.g_00012
OG0000129	Prbk.g_02156	Syab.g_02749
OG0000130	Prbk.g_01320	Syab.g_02434
OG0000131	Prbk.g_00751	Syab.g_02564
OG0000132	Prbk.g_00771	Syab.g_02584
OG0000133	Prbk.g_00472	Syab.g_01387
OG0000134	Prbk.g_00361	Syab.g_00554
OG0000135	Prbk.g_02209	Syab.g_02815
OG0000136	Prbk.g_00323	Syab.g_00588
OG0000137	Prbk.g_02113	Syab.g_00697
OG0000138	Prbk.g_02078	Syab.g_02113
OG0000139	Prbk.g_01086	Syab.g_02035
OG0000140	Prbk.g_01092	Syab.g_02033
OG0000141	Prbk.g_01154	Syab.g_01931
OG0000142	Prbk.g_02631	Syab.g_01873
OG0000143	Prbk.g_02635	Syab.g_01870
OG0000144	Prbk.g_00739	Syab.g_01757
OG0000145	Prbk.g_01863	Syab.g_02120
OG0000146	Prbk.g_02333	Syab.g_01393
OG0000147	Prbk.g_02334	Syab.g_01394
OG0000148	Prbk.g_02487	Syab.g_01682
OG0000149	Prbk.g_02544	Syab.g_01720
OG0000150	Prbk.g_02567	Syab.g_01930
OG0000151	Prbk.g_02417	Syab.g_01612
OG0000152	Prbk.g_02324	Syab.g_01383
OG0000153	Prbk.g_02297	Syab.g_01343
OG0000154	Prbk.g_00584	Syab.g_01317
OG0000155	Prbk.g_00099	Syab.g_01009
OG0000156	Prbk.g_00164	Syab.g_00933
OG0000157	Prbk.g_00163	Syab.g_00932
OG0000158	Prbk.g_00526	Syab.g_00161
OG0000160	Prbk.g_00260	Syab.g_00774
OG0000161	Prbk.g_00274	Syab.g_00766
OG0000162	Prbk.g_00280	Syab.g_00755
OG0000163	Prbk.g_02002	Syab.g_02173
OG0000164	Prbk.g_01432	Syab.g_02307
OG0000165	Prbk.g_01423	Syab.g_02316
OG0000166	Prbk.g_00982	Syab.g_00407
OG0000167	Prbk.g_00512	Syab.g_00205
OG0000168	Prbk.g_00527	Syab.g_00136
OG0000169	Prbk.g_00220	Syab.g_00125
OG0000170	Prbk.g_00232	Syab.g_00118
OG0000171	Prbk.g_01538	Syab.g_00089
OG0000172	Prbk.g_01573	Syab.g_00080
OG0000173	Prbk.g_01594	Syab.g_00061
OG0000174	Prbk.g_02211	Syab.g_02819
OG0000175	Prbk.g_02249	Syab.g_02876
OG0000176	Prbk.g_02282	Syab.g_00004
OG0000177	Prbk.g_02283	Syab.g_00005
OG0000178	Prbk.g_02284	Syab.g_00006
OG0000179	Prbk.g_01633	Syab.g_00022
OG0000180	Prbk.g_01632	Syab.g_00023
OG0000181	Prbk.g_01631	Syab.g_00024
OG0000182	Prbk.g_01630	Syab.g_00025
OG0000183	Prbk.g_01626	Syab.g_00029
OG0000184	Prbk.g_02148	Syab.g_02738
OG0000185	Prbk.g_02126	Syab.g_02715
OG0000186	Prbk.g_01326	Syab.g_02430
OG0000187	Prbk.g_01324	Syab.g_02431
OG0000188	Prbk.g_01303	Syab.g_02454
OG0000189	Prbk.g_00024	Syab.g_02487
OG0000190	Prbk.g_00022	Syab.g_00190, Syab.g_00139
OG0000191	Prbk.g_00197	Syab.g_02522
OG0000192	Prbk.g_00206	Syab.g_02528
OG0000193	Prbk.g_00752	Syab.g_02565
OG0000194	Prbk.g_00755	Syab.g_02568
OG0000195	Prbk.g_00757	Syab.g_02570
OG0000196	Prbk.g_00768	Syab.g_02581
OG0000197	Prbk.g_00769	Syab.g_02582
OG0000198	Prbk.g_00770	Syab.g_02583
OG0000199	Prbk.g_00777	Syab.g_02591
OG0000200	Prbk.g_01280	Syab.g_02611
OG0000201	Prbk.g_01261	Syab.g_02628
OG0000202	Prbk.g_01260	Syab.g_02629
OG0000203	Prbk.g_01259	Syab.g_02630
OG0000204	Prbk.g_01258	Syab.g_02631
OG0000205	Prbk.g_01251	Syab.g_02638
OG0000206	Prbk.g_00632	Syab.g_02674
OG0000207	Prbk.g_00686	Syab.g_02677
OG0000208	Prbk.g_00685	Syab.g_02678
OG0000209	Prbk.g_00658	Syab.g_02698
OG0000210	Prbk.g_00657	Syab.g_02699
OG0000211	Prbk.g_01368	Syab.g_02374
OG0000212	Prbk.g_01514	Syab.g_02365
OG0000213	Prbk.g_00374	Syab.g_00332
OG0000214	Prbk.g_00401	Syab.g_00312
OG0000215	Prbk.g_00431	Syab.g_00281
OG0000216	Prbk.g_00434	Syab.g_00277
OG0000217	Prbk.g_00438	Syab.g_00273
OG0000218	Prbk.g_00442	Syab.g_00271
OG0000219	Prbk.g_00443	Syab.g_00270
OG0000220	Prbk.g_00444	Syab.g_00269
OG0000221	Prbk.g_00449	Syab.g_00257
OG0000222	Prbk.g_00458	Syab.g_00244
OG0000223	Prbk.g_00481	Syab.g_00226
OG0000224	Prbk.g_00492	Syab.g_00223
OG0000225	Prbk.g_00889	Syab.g_00538
OG0000226	Prbk.g_00893	Syab.g_00542
OG0000227	Prbk.g_00895	Syab.g_00544
OG0000228	Prbk.g_00365	Syab.g_00550
OG0000229	Prbk.g_00328	Syab.g_00583
OG0000230	Prbk.g_00326	Syab.g_00585
OG0000231	Prbk.g_00311	Syab.g_00613
OG0000232	Prbk.g_00295	Syab.g_00631
OG0000233	Prbk.g_02092	Syab.g_00645
OG0000234	Prbk.g_02114	Syab.g_00699
OG0000235	Prbk.g_02060	Syab.g_02095
OG0000236	Prbk.g_02076	Syab.g_02111
OG0000237	Prbk.g_01047	Syab.g_02129
OG0000238	Prbk.g_01051	Syab.g_02134
OG0000239	Prbk.g_01067	Syab.g_02151
OG0000240	Prbk.g_01068	Syab.g_02152
OG0000241	Prbk.g_01965	Syab.g_01884
OG0000242	Prbk.g_01078	Syab.g_02043
OG0000243	Prbk.g_02684	Syab.g_02025
OG0000244	Prbk.g_01897	Syab.g_02017
OG0000245	Prbk.g_01894	Syab.g_02015
OG0000246	Prbk.g_01890	Syab.g_02011
OG0000247	Prbk.g_01879	Syab.g_01999
OG0000248	Prbk.g_01876	Syab.g_01996
OG0000249	Prbk.g_01874	Syab.g_01994
OG0000250	Prbk.g_01106	Syab.g_01988
OG0000251	Prbk.g_01130	Syab.g_01961
OG0000252	Prbk.g_01133	Syab.g_01958
OG0000253	Prbk.g_01139	Syab.g_01956
OG0000254	Prbk.g_01158	Syab.g_01925
OG0000255	Prbk.g_02604	Syab.g_01912
OG0000256	Prbk.g_02618	Syab.g_01890
OG0000257	Prbk.g_02624	Syab.g_01885
OG0000258	Prbk.g_02647	Syab.g_01861
OG0000259	Prbk.g_00720	Syab.g_01538
OG0000260	Prbk.g_00717	Syab.g_01544
OG0000261	Prbk.g_00714	Syab.g_01556
OG0000262	Prbk.g_00709	Syab.g_01561
OG0000263	Prbk.g_00672	Syab.g_01035
OG0000264	Prbk.g_01815	Syab.g_01173
OG0000265	Prbk.g_00619, Prbk.g_01835	Syab.g_01773
OG0000266	Prbk.g_00608	Syab.g_01667
OG0000267	Prbk.g_02371	Syab.g_01433
OG0000268	Prbk.g_02370	Syab.g_01432
OG0000269	Prbk.g_02463	Syab.g_01650
OG0000270	Prbk.g_02466	Syab.g_01657
OG0000271	Prbk.g_02474	Syab.g_01279
OG0000272	Prbk.g_02475	Syab.g_01280
OG0000274	Prbk.g_02527	Syab.g_01700
OG0000275	Prbk.g_02530	Syab.g_01704
OG0000276	Prbk.g_02536	Syab.g_01712
OG0000277	Prbk.g_02537	Syab.g_01713
OG0000278	Prbk.g_02540	Syab.g_01716
OG0000279	Prbk.g_02548	Syab.g_01724
OG0000280	Prbk.g_02554	Syab.g_01736
OG0000281	Prbk.g_02568	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Prbk.g_02398	Syab.g_01631
OG0000283	Prbk.g_02359	Syab.g_01418
OG0000284	Prbk.g_02353	Syab.g_01413
OG0000285	Prbk.g_01698	Syab.g_01402
OG0000286	Prbk.g_02325	Syab.g_01384
OG0000287	Prbk.g_01728	Syab.g_01350
OG0000288	Prbk.g_00583	Syab.g_01318
OG0000289	Prbk.g_00596	Syab.g_01303
OG0000290	Prbk.g_00059	Syab.g_01213
OG0000291	Prbk.g_00057	Syab.g_01211
OG0000292	Prbk.g_02271	Syab.g_02907
OG0000293	Prbk.g_01032	Syab.g_00946
OG0000294	Prbk.g_01031	Syab.g_00947
OG0000295	Prbk.g_00106	Syab.g_01001
OG0000296	Prbk.g_00104	Syab.g_01003
OG0000297	Prbk.g_01498	Syab.g_01016
OG0000298	Prbk.g_01497	Syab.g_01017
OG0000299	Prbk.g_01508	Syab.g_01047
OG0000300	Prbk.g_00186	Syab.g_01054
OG0000301	Prbk.g_00185	Syab.g_01055
OG0000302	Prbk.g_00182	Syab.g_01056
OG0000303	Prbk.g_00097	Syab.g_01149
OG0000304	Prbk.g_00121	Syab.g_01143
OG0000305	Prbk.g_00055	Syab.g_01208
OG0000306	Prbk.g_02578	Syab.g_01819
OG0000307	Prbk.g_02044	Syab.g_02078
OG0000308	Prbk.g_02042	Syab.g_02076
OG0000309	Prbk.g_02038	Syab.g_02071
OG0000310	Prbk.g_01937	Syab.g_00817
OG0000311	Prbk.g_00243	Syab.g_00811
OG0000312	Prbk.g_00247	Syab.g_00793
OG0000313	Prbk.g_00271	Syab.g_00769
OG0000314	Prbk.g_01222	Syab.g_00736
OG0000315	Prbk.g_01212	Syab.g_00726
OG0000316	Prbk.g_01991	Syab.g_02189
OG0000317	Prbk.g_00913	Syab.g_02251
OG0000318	Prbk.g_00906	Syab.g_02257
OG0000319	Prbk.g_01443	Syab.g_02291
OG0000320	Prbk.g_01441	Syab.g_02293
OG0000321	Prbk.g_01440	Syab.g_02294
OG0000322	Prbk.g_01439	Syab.g_02295
OG0000323	Prbk.g_01428	Syab.g_02310
OG0000324	Prbk.g_01399	Syab.g_02341
OG0000325	Prbk.g_01904	Syab.g_00368
OG0000326	Prbk.g_01912	Syab.g_00375
OG0000327	Prbk.g_00987	Syab.g_00402
OG0000328	Prbk.g_00986	Syab.g_00403
OG0000329	Prbk.g_00969	Syab.g_00420
OG0000330	Prbk.g_00968	Syab.g_00421
OG0000331	Prbk.g_00967	Syab.g_00422
OG0000332	Prbk.g_00952	Syab.g_00437
OG0000333	Prbk.g_00950	Syab.g_00440
OG0000334	Prbk.g_00801	Syab.g_00450
OG0000335	Prbk.g_00806	Syab.g_00455
OG0000336	Prbk.g_00810	Syab.g_00459
OG0000337	Prbk.g_00506	Syab.g_00210
OG0000338	Prbk.g_00510	Syab.g_00207
OG0000339	Prbk.g_00516	Syab.g_00201
OG0000340	Prbk.g_00528	Syab.g_00135
OG0000341	Prbk.g_00530	Syab.g_00157, Syab.g_00133
OG0000342	Prbk.g_00531	Syab.g_00132
OG0000343	Prbk.g_00215	Syab.g_00131
OG0000344	Prbk.g_00218	Syab.g_00127
OG0000345	Prbk.g_00233	Syab.g_00117
OG0000346	Prbk.g_00238	Syab.g_00112
OG0000347	Prbk.g_01540	Syab.g_00087
OG0000348	Prbk.g_01578	Syab.g_00076
OG0000349	Prbk.g_01602	Syab.g_00054
OG0000350	Prbk.g_02204	Syab.g_00382
OG0000351	Prbk.g_02252	Syab.g_02879
OG0000352	Prbk.g_02253	Syab.g_02880
OG0000353	Prbk.g_02277	Syab.g_02913
OG0000354	Prbk.g_01057	Syab.g_02140
OG0000354	Prbk.g_01635	Syab.g_00020
OG0000355	Prbk.g_02279	Syab.g_00001
OG0000356	Prbk.g_02280	Syab.g_00002
OG0000357	Prbk.g_02281	Syab.g_00003
OG0000358	Prbk.g_02285	Syab.g_00007
OG0000359	Prbk.g_02287	Syab.g_00009
OG0000360	Prbk.g_02288	Syab.g_00010
OG0000361	Prbk.g_02289	Syab.g_00011
OG0000362	Prbk.g_02291	Syab.g_00013
OG0000363	Prbk.g_01639	Syab.g_00015
OG0000364	Prbk.g_01638	Syab.g_00016
OG0000365	Prbk.g_01629	Syab.g_00026
OG0000366	Prbk.g_01628	Syab.g_00027
OG0000367	Prbk.g_01627	Syab.g_00028
OG0000368	Prbk.g_01625	Syab.g_00030
OG0000369	Prbk.g_01624	Syab.g_00031
OG0000370	Prbk.g_01623	Syab.g_00032
OG0000371	Prbk.g_01614	Syab.g_00711, Syab.g_00039
OG0000372	Prbk.g_01609	Syab.g_00045
OG0000373	Prbk.g_01608	Syab.g_00046
OG0000374	Prbk.g_01607	Syab.g_00047
OG0000375	Prbk.g_01606	Syab.g_00050
OG0000376	Prbk.g_01604	Syab.g_00052
OG0000377	Prbk.g_02155	Syab.g_02748
OG0000378	Prbk.g_02141	Syab.g_02717
OG0000379	Prbk.g_02125	Syab.g_02714
OG0000380	Prbk.g_01323	Syab.g_02432
OG0000381	Prbk.g_01319	Syab.g_02435
OG0000382	Prbk.g_01304	Syab.g_02453
OG0000383	Prbk.g_01302	Syab.g_02459
OG0000384	Prbk.g_01301	Syab.g_02460
OG0000385	Prbk.g_01300	Syab.g_02461
OG0000386	Prbk.g_01299	Syab.g_02462
OG0000387	Prbk.g_00020	Syab.g_02491
OG0000388	Prbk.g_00016	Syab.g_02495
OG0000389	Prbk.g_00012	Syab.g_02499
OG0000390	Prbk.g_00191	Syab.g_02516
OG0000391	Prbk.g_00196	Syab.g_02521
OG0000392	Prbk.g_00202	Syab.g_02527
OG0000393	Prbk.g_00207	Syab.g_02530
OG0000394	Prbk.g_00208	Syab.g_02531
OG0000395	Prbk.g_00209	Syab.g_02532
OG0000396	Prbk.g_00542	Syab.g_02535
OG0000397	Prbk.g_00544	Syab.g_02537
OG0000398	Prbk.g_00549	Syab.g_02542
OG0000399	Prbk.g_00550	Syab.g_02543
OG0000400	Prbk.g_00551	Syab.g_02544
OG0000401	Prbk.g_00552	Syab.g_02545
OG0000402	Prbk.g_00554	Syab.g_02547
OG0000403	Prbk.g_00555	Syab.g_02548
OG0000404	Prbk.g_00557	Syab.g_02550
OG0000405	Prbk.g_00749	Syab.g_02562
OG0000406	Prbk.g_00753	Syab.g_02566
OG0000407	Prbk.g_00754	Syab.g_02567
OG0000408	Prbk.g_00756	Syab.g_02569
OG0000409	Prbk.g_00758	Syab.g_02571
OG0000410	Prbk.g_00759	Syab.g_02572
OG0000411	Prbk.g_00760	Syab.g_02573
OG0000412	Prbk.g_00761	Syab.g_02574
OG0000413	Prbk.g_00763	Syab.g_02576
OG0000414	Prbk.g_00764	Syab.g_02577
OG0000415	Prbk.g_00765	Syab.g_02578
OG0000416	Prbk.g_00766	Syab.g_02579
OG0000417	Prbk.g_00767	Syab.g_02580
OG0000418	Prbk.g_00772	Syab.g_02585
OG0000419	Prbk.g_00774	Syab.g_02587
OG0000420	Prbk.g_00775	Syab.g_02589
OG0000421	Prbk.g_00779	Syab.g_02595
OG0000422	Prbk.g_00780	Syab.g_02596
OG0000423	Prbk.g_00781	Syab.g_02597
OG0000424	Prbk.g_00782	Syab.g_02598
OG0000425	Prbk.g_00783	Syab.g_02599
OG0000426	Prbk.g_00784	Syab.g_02600
OG0000427	Prbk.g_00785	Syab.g_02601
OG0000428	Prbk.g_02425	Syab.g_02604
OG0000429	Prbk.g_01283	Syab.g_02608
OG0000430	Prbk.g_01281	Syab.g_02610
OG0000431	Prbk.g_01277	Syab.g_02613
OG0000432	Prbk.g_01270	Syab.g_02619
OG0000433	Prbk.g_01267	Syab.g_02622
OG0000434	Prbk.g_01266	Syab.g_02623
OG0000435	Prbk.g_01263	Syab.g_02625
OG0000436	Prbk.g_01257	Syab.g_02632
OG0000437	Prbk.g_01256	Syab.g_02633
OG0000438	Prbk.g_01255	Syab.g_02634
OG0000439	Prbk.g_01253	Syab.g_02636
OG0000440	Prbk.g_01252	Syab.g_02637
OG0000441	Prbk.g_01245	Syab.g_02641
OG0000442	Prbk.g_01244	Syab.g_02642
OG0000443	Prbk.g_00631	Syab.g_02668
OG0000444	Prbk.g_00683	Syab.g_02681
OG0000445	Prbk.g_00682	Syab.g_02682
OG0000446	Prbk.g_00680	Syab.g_02684
OG0000447	Prbk.g_00670	Syab.g_02687
OG0000448	Prbk.g_00669	Syab.g_02688
OG0000449	Prbk.g_00668	Syab.g_02689
OG0000450	Prbk.g_00662	Syab.g_02695
OG0000451	Prbk.g_00661	Syab.g_02696
OG0000452	Prbk.g_00656	Syab.g_02701
OG0000453	Prbk.g_00655	Syab.g_02702
OG0000454	Prbk.g_00654	Syab.g_02703
OG0000455	Prbk.g_00653	Syab.g_02704
OG0000456	Prbk.g_00652	Syab.g_02705
OG0000457	Prbk.g_00650	Syab.g_02707
OG0000458	Prbk.g_00649	Syab.g_02708
OG0000459	Prbk.g_00648	Syab.g_02709
OG0000460	Prbk.g_01369	Syab.g_02372
OG0000461	Prbk.g_01900	Syab.g_00356
OG0000462	Prbk.g_01012	Syab.g_00352
OG0000463	Prbk.g_01011	Syab.g_00351
OG0000464	Prbk.g_01010	Syab.g_00350
OG0000465	Prbk.g_01008	Syab.g_00349
OG0000466	Prbk.g_01003	Syab.g_00343
OG0000467	Prbk.g_01001	Syab.g_00341
OG0000468	Prbk.g_00371	Syab.g_00336
OG0000469	Prbk.g_00384	Syab.g_00318
OG0000470	Prbk.g_00397	Syab.g_00316
OG0000471	Prbk.g_00398	Syab.g_00315
OG0000472	Prbk.g_00400	Syab.g_00313
OG0000473	Prbk.g_00402	Syab.g_00311
OG0000474	Prbk.g_00403	Syab.g_00310
OG0000475	Prbk.g_00404	Syab.g_00309
OG0000476	Prbk.g_00406	Syab.g_00307
OG0000477	Prbk.g_00411	Syab.g_00301
OG0000478	Prbk.g_00412	Syab.g_00300
OG0000479	Prbk.g_00413	Syab.g_00299
OG0000480	Prbk.g_00420	Syab.g_00292
OG0000481	Prbk.g_00422	Syab.g_00290
OG0000482	Prbk.g_00423	Syab.g_00289
OG0000483	Prbk.g_00427	Syab.g_00285
OG0000484	Prbk.g_00428	Syab.g_00284
OG0000485	Prbk.g_00429	Syab.g_00283
OG0000486	Prbk.g_00430	Syab.g_00282
OG0000487	Prbk.g_00435	Syab.g_00276
OG0000488	Prbk.g_00439	Syab.g_00272
OG0000489	Prbk.g_00450	Syab.g_00256
OG0000490	Prbk.g_00456	Syab.g_00247
OG0000491	Prbk.g_00457	Syab.g_00245
OG0000492	Prbk.g_00460	Syab.g_00243
OG0000493	Prbk.g_00461	Syab.g_00242
OG0000494	Prbk.g_00462	Syab.g_00241
OG0000495	Prbk.g_00463	Syab.g_00240
OG0000496	Prbk.g_00464	Syab.g_00239
OG0000497	Prbk.g_00465	Syab.g_00238
OG0000498	Prbk.g_00466	Syab.g_00237
OG0000499	Prbk.g_00467	Syab.g_00236
OG0000500	Prbk.g_00468	Syab.g_00235
OG0000501	Prbk.g_00471	Syab.g_00232
OG0000502	Prbk.g_00483	Syab.g_00224
OG0000503	Prbk.g_00871	Syab.g_00523
OG0000504	Prbk.g_00873	Syab.g_00525
OG0000505	Prbk.g_00874	Syab.g_00526
OG0000506	Prbk.g_00876	Syab.g_00528
OG0000507	Prbk.g_00881	Syab.g_00533
OG0000508	Prbk.g_00888	Syab.g_00537
OG0000509	Prbk.g_00890	Syab.g_00539
OG0000510	Prbk.g_00891	Syab.g_00540
OG0000511	Prbk.g_00892	Syab.g_00541
OG0000512	Prbk.g_00894	Syab.g_00543
OG0000513	Prbk.g_00360	Syab.g_00555
OG0000514	Prbk.g_00352	Syab.g_00566
OG0000515	Prbk.g_00351	Syab.g_00567
OG0000516	Prbk.g_00339	Syab.g_00575
OG0000517	Prbk.g_00329	Syab.g_00582
OG0000518	Prbk.g_00317	Syab.g_00594
OG0000519	Prbk.g_00316	Syab.g_00610
OG0000520	Prbk.g_00315	Syab.g_00611
OG0000521	Prbk.g_00301	Syab.g_00624
OG0000522	Prbk.g_00299	Syab.g_00626
OG0000523	Prbk.g_00298	Syab.g_00627
OG0000524	Prbk.g_02088	Syab.g_00640
OG0000525	Prbk.g_02105	Syab.g_00671
OG0000526	Prbk.g_02107	Syab.g_00689
OG0000527	Prbk.g_02111	Syab.g_00695
OG0000528	Prbk.g_02056	Syab.g_02092
OG0000529	Prbk.g_02062	Syab.g_02097
OG0000530	Prbk.g_02065	Syab.g_02100
OG0000531	Prbk.g_02066	Syab.g_02101
OG0000532	Prbk.g_02069	Syab.g_02104
OG0000533	Prbk.g_02071	Syab.g_02106
OG0000534	Prbk.g_02072	Syab.g_02107
OG0000535	Prbk.g_02073	Syab.g_02108
OG0000536	Prbk.g_02074	Syab.g_02109
OG0000537	Prbk.g_02075	Syab.g_02110
OG0000538	Prbk.g_01865	Syab.g_02122
OG0000539	Prbk.g_01041	Syab.g_02123
OG0000540	Prbk.g_01042	Syab.g_02124
OG0000541	Prbk.g_01043	Syab.g_02125
OG0000542	Prbk.g_01046	Syab.g_02128
OG0000543	Prbk.g_01048	Syab.g_02130
OG0000544	Prbk.g_01049	Syab.g_02131
OG0000545	Prbk.g_01050	Syab.g_02133
OG0000546	Prbk.g_01052	Syab.g_02135
OG0000547	Prbk.g_01054	Syab.g_02137
OG0000548	Prbk.g_01055	Syab.g_02138
OG0000549	Prbk.g_01061	Syab.g_02144
OG0000550	Prbk.g_01066	Syab.g_02149
OG0000551	Prbk.g_01070	Syab.g_02153
OG0000552	Prbk.g_01071	Syab.g_02154
OG0000553	Prbk.g_01076	Syab.g_02046
