Orthogroup	Syae	Praj
OG0000073	Syae.g_02330	Praj.g_00491
OG0000074	Syae.g_00719	Praj.g_01060
OG0000075	Syae.g_01871	Praj.g_01987
OG0000076	Syae.g_01829	Praj.g_02012
OG0000078	Syae.g_02243	Praj.g_00280
OG0000079	Syae.g_02011	Praj.g_00291
OG0000081	Syae.g_02261	Praj.g_00522
OG0000082	Syae.g_02447	Praj.g_01827
OG0000084	Syae.g_00857, Syae.g_02656	Praj.g_01628
OG0000085	Syae.g_01152	Praj.g_01762
OG0000086	Syae.g_01333	Praj.g_00126
OG0000087	Syae.g_01414	Praj.g_00179
OG0000088	Syae.g_01449	Praj.g_00206
OG0000089	Syae.g_02219	Praj.g_00403
OG0000090	Syae.g_02374	Praj.g_00524
OG0000091	Syae.g_00082	Praj.g_00630
OG0000092	Syae.g_00884	Praj.g_00892
OG0000093	Syae.g_00537	Praj.g_00754
OG0000094	Syae.g_00430	Praj.g_00846
OG0000095	Syae.g_00793, Syae.g_00259	Praj.g_01024
OG0000097	Syae.g_00683	Praj.g_01416
OG0000098	Syae.g_02384, Syae.g_02058	Praj.g_01546
OG0000099	Syae.g_01913, Syae.g_01226	Praj.g_00372
OG0000100	Syae.g_00489	Praj.g_01709
OG0000101	Syae.g_02125	Praj.g_01952
OG0000102	Syae.g_01824	Praj.g_02017
OG0000103	Syae.g_01694	Praj.g_02135
OG0000104	Syae.g_01708	Praj.g_02145
OG0000105	Syae.g_01977	Praj.g_00310
OG0000106	Syae.g_00272	Praj.g_01156, Praj.g_01282
OG0000107	Syae.g_02032	Praj.g_01869
OG0000108	Syae.g_02309	Praj.g_00473
OG0000109	Syae.g_02324	Praj.g_00486
OG0000110	Syae.g_02435	Praj.g_00565
OG0000111	Syae.g_00783	Praj.g_00692
OG0000112	Syae.g_00351	Praj.g_00938
OG0000113	Syae.g_00494	Praj.g_00793, Praj.g_01176
OG0000114	Syae.g_00575	Praj.g_00887
OG0000115	Syae.g_02631	Praj.g_01725
OG0000116	Syae.g_00939	Praj.g_01471
OG0000117	Syae.g_00647	Praj.g_01355
OG0000118	Syae.g_02479	Praj.g_01540
OG0000119	Syae.g_00904	Praj.g_01568
OG0000120	Syae.g_01912	Praj.g_00664
OG0000121	Syae.g_02649	Praj.g_01634
OG0000122	Syae.g_00112	Praj.g_01673
OG0000123	Syae.g_02131	Praj.g_01959
OG0000124	Syae.g_01809	Praj.g_02031
OG0000125	Syae.g_01573	Praj.g_02091
OG0000126	Syae.g_01706	Praj.g_02144
OG0000128	Syae.g_01724	Praj.g_00011
OG0000129	Syae.g_01562	Praj.g_00048
OG0000130	Syae.g_01284	Praj.g_00107
OG0000131	Syae.g_01428	Praj.g_00185
OG0000132	Syae.g_01447	Praj.g_00204
OG0000133	Syae.g_00356	Praj.g_00357
OG0000134	Syae.g_02222	Praj.g_00405
OG0000135	Syae.g_01608	Praj.g_01279
OG0000136	Syae.g_00989	Praj.g_00435
OG0000137	Syae.g_02530	Praj.g_00467
OG0000138	Syae.g_02325	Praj.g_00487
OG0000139	Syae.g_02380	Praj.g_00528
OG0000140	Syae.g_02383	Praj.g_00529
OG0000141	Syae.g_00016	Praj.g_00595
OG0000142	Syae.g_00074	Praj.g_00623
OG0000143	Syae.g_00078	Praj.g_00627
OG0000144	Syae.g_00261	Praj.g_00640
OG0000145	Syae.g_02331	Praj.g_01054
OG0000146	Syae.g_00350	Praj.g_00937
OG0000147	Syae.g_00349	Praj.g_00936
OG0000148	Syae.g_00500	Praj.g_00787
OG0000149	Syae.g_00847	Praj.g_00819
OG0000150	Syae.g_00017	Praj.g_00828
OG0000151	Syae.g_00563	Praj.g_00898
OG0000152	Syae.g_00360	Praj.g_01601, Praj.g_00946
OG0000153	Syae.g_00394	Praj.g_00965
OG0000154	Syae.g_00420	Praj.g_00995
OG0000155	Syae.g_00885	Praj.g_01440
OG0000156	Syae.g_00945	Praj.g_01517
OG0000157	Syae.g_00946	Praj.g_01518
OG0000158	Syae.g_01858	Praj.g_01995
OG0000160	Syae.g_02650	Praj.g_01633
OG0000161	Syae.g_02644	Praj.g_01639
OG0000162	Syae.g_02638	Praj.g_01645
OG0000163	Syae.g_01092	Praj.g_01681
OG0000164	Syae.g_01198	Praj.g_01790
OG0000165	Syae.g_01021	Praj.g_01798
OG0000166	Syae.g_02085	Praj.g_01915
OG0000167	Syae.g_01874	Praj.g_01985
OG0000168	Syae.g_01856	Praj.g_01996
OG0000169	Syae.g_01841	Praj.g_02006
OG0000170	Syae.g_01834	Praj.g_02008
OG0000171	Syae.g_01810	Praj.g_02030
OG0000172	Syae.g_01788	Praj.g_02061
OG0000173	Syae.g_01770	Praj.g_02076
OG0000174	Syae.g_01610	Praj.g_02107
OG0000175	Syae.g_01679	Praj.g_02125
OG0000176	Syae.g_01716	Praj.g_00004
OG0000177	Syae.g_01717	Praj.g_00005
OG0000178	Syae.g_01718	Praj.g_00006
OG0000179	Syae.g_01733	Praj.g_00016
OG0000180	Syae.g_01734	Praj.g_00017
OG0000181	Syae.g_01735	Praj.g_00018
OG0000182	Syae.g_01736	Praj.g_00019
OG0000183	Syae.g_01740	Praj.g_00023
OG0000184	Syae.g_01554	Praj.g_00050
OG0000185	Syae.g_01551	Praj.g_00053
OG0000186	Syae.g_01279	Praj.g_00102
OG0000187	Syae.g_01280	Praj.g_00103
OG0000188	Syae.g_01323	Praj.g_00120
OG0000189	Syae.g_01350	Praj.g_00134
OG0000190	Syae.g_01352	Praj.g_00135
OG0000191	Syae.g_01384	Praj.g_00158
OG0000192	Syae.g_01390	Praj.g_00162
OG0000193	Syae.g_01429	Praj.g_00186
OG0000194	Syae.g_01432	Praj.g_00189
OG0000195	Syae.g_01434	Praj.g_00191
OG0000196	Syae.g_01444	Praj.g_00201
OG0000197	Syae.g_01445	Praj.g_00202
OG0000198	Syae.g_01446	Praj.g_00203
OG0000199	Syae.g_01454	Praj.g_00210
OG0000200	Syae.g_01471	Praj.g_00223
OG0000201	Syae.g_01487	Praj.g_00232
OG0000202	Syae.g_01488	Praj.g_00233
OG0000203	Syae.g_01489	Praj.g_00234
OG0000204	Syae.g_01490	Praj.g_00235
OG0000205	Syae.g_01497	Praj.g_00242
OG0000206	Syae.g_01504	Praj.g_00246
OG0000207	Syae.g_01506	Praj.g_00248
OG0000208	Syae.g_01507	Praj.g_00249
OG0000209	Syae.g_01528	Praj.g_00258
OG0000210	Syae.g_01529	Praj.g_00259
OG0000211	Syae.g_02234	Praj.g_00273
OG0000212	Syae.g_02244	Praj.g_00281
OG0000213	Syae.g_02003	Praj.g_00296
OG0000214	Syae.g_01986	Praj.g_00304
OG0000215	Syae.g_01955	Praj.g_00328
OG0000216	Syae.g_01951	Praj.g_00329
OG0000217	Syae.g_01947	Praj.g_00332
OG0000218	Syae.g_01945	Praj.g_00334
OG0000219	Syae.g_01944	Praj.g_00335
OG0000220	Syae.g_01943	Praj.g_00336
OG0000221	Syae.g_01937	Praj.g_00337
OG0000222	Syae.g_01926	Praj.g_00345
OG0000223	Syae.g_01904	Praj.g_00358
OG0000224	Syae.g_01897	Praj.g_00360
OG0000225	Syae.g_02208	Praj.g_00391
OG0000226	Syae.g_02212	Praj.g_00395
OG0000227	Syae.g_02214	Praj.g_00397
OG0000228	Syae.g_02218	Praj.g_00402
OG0000229	Syae.g_00994	Praj.g_00430
OG0000230	Syae.g_00992	Praj.g_00432
OG0000231	Syae.g_00980	Praj.g_00443
OG0000232	Syae.g_02496	Praj.g_00451
OG0000233	Syae.g_02504	Praj.g_00459
OG0000234	Syae.g_02532	Praj.g_00468
OG0000235	Syae.g_02308	Praj.g_00472
OG0000236	Syae.g_02323	Praj.g_00485
OG0000237	Syae.g_02340	Praj.g_00498
OG0000238	Syae.g_02345	Praj.g_00504
OG0000239	Syae.g_02360	Praj.g_00516
OG0000240	Syae.g_02361	Praj.g_00517
OG0000241	Syae.g_00065	Praj.g_00521
OG0000242	Syae.g_02372	Praj.g_00523
OG0000243	Syae.g_02391	Praj.g_00534
OG0000244	Syae.g_02399	Praj.g_00537
OG0000245	Syae.g_02401	Praj.g_00539
OG0000246	Syae.g_02405	Praj.g_00543
OG0000247	Syae.g_02416	Praj.g_00553
OG0000248	Syae.g_02419	Praj.g_00555
OG0000249	Syae.g_02421	Praj.g_00557
OG0000250	Syae.g_02431	Praj.g_00562
OG0000251	Syae.g_02455	Praj.g_00578
OG0000252	Syae.g_02458	Praj.g_00580
OG0000253	Syae.g_02459	Praj.g_00582
OG0000254	Syae.g_00021	Praj.g_00599
OG0000255	Syae.g_00041	Praj.g_00605
OG0000256	Syae.g_00058	Praj.g_00615
OG0000257	Syae.g_00064	Praj.g_00618
OG0000258	Syae.g_00083	Praj.g_00631
OG0000259	Syae.g_00608	Praj.g_00648
OG0000260	Syae.g_00603	Praj.g_00651
OG0000261	Syae.g_00600	Praj.g_00654
OG0000262	Syae.g_00595	Praj.g_00659
OG0000263	Syae.g_00671	Praj.g_00673
OG0000264	Syae.g_00761	Praj.g_00684
OG0000265	Syae.g_00932, Syae.g_00226	Praj.g_00698
OG0000266	Syae.g_00457	Praj.g_00708
OG0000267	Syae.g_00304	Praj.g_00721
OG0000268	Syae.g_00308	Praj.g_00722
OG0000269	Syae.g_00526	Praj.g_00764
OG0000270	Syae.g_00523	Praj.g_00767
OG0000271	Syae.g_00515	Praj.g_00775
OG0000272	Syae.g_00514	Praj.g_00776
OG0000273	Syae.g_00825	Praj.g_00801
OG0000274	Syae.g_00826	Praj.g_00802
OG0000275	Syae.g_00832	Praj.g_00804
OG0000276	Syae.g_00839	Praj.g_00810
OG0000277	Syae.g_00840	Praj.g_00811
OG0000278	Syae.g_00843	Praj.g_00815
OG0000279	Syae.g_00851	Praj.g_00822
OG0000280	Syae.g_00877	Praj.g_01326
OG0000281	Syae.g_02057	Praj.g_00829
OG0000282	Syae.g_00573	Praj.g_00889
OG0000283	Syae.g_00321	Praj.g_00920
OG0000284	Syae.g_00327	Praj.g_00925
OG0000285	Syae.g_00340	Praj.g_00930
OG0000286	Syae.g_00359	Praj.g_00945
OG0000287	Syae.g_00387	Praj.g_00085
OG0000288	Syae.g_00419	Praj.g_00994
OG0000289	Syae.g_00433	Praj.g_01005
OG0000290	Syae.g_00796	Praj.g_01021
OG0000291	Syae.g_00794	Praj.g_01023
OG0000292	Syae.g_01705	Praj.g_01196
OG0000293	Syae.g_00938	Praj.g_01470
OG0000294	Syae.g_00937	Praj.g_01469
OG0000295	Syae.g_00893	Praj.g_01447
OG0000296	Syae.g_00891	Praj.g_01445
OG0000297	Syae.g_00645	Praj.g_01437
OG0000298	Syae.g_00646	Praj.g_01436
OG0000299	Syae.g_00680	Praj.g_01417
OG0000300	Syae.g_00686	Praj.g_01414
OG0000301	Syae.g_00687	Praj.g_01413
OG0000302	Syae.g_00691	Praj.g_01410
OG0000303	Syae.g_00700	Praj.g_01405
OG0000304	Syae.g_00706	Praj.g_01402
OG0000305	Syae.g_00791	Praj.g_01734
OG0000306	Syae.g_00277	Praj.g_00833
OG0000307	Syae.g_02290	Praj.g_01584
OG0000308	Syae.g_02288	Praj.g_01585
OG0000309	Syae.g_02283	Praj.g_01589
OG0000310	Syae.g_02687	Praj.g_01616
OG0000311	Syae.g_02682	Praj.g_01618
OG0000312	Syae.g_02664	Praj.g_01621
OG0000313	Syae.g_02647	Praj.g_01636
OG0000314	Syae.g_02618	Praj.g_01657
OG0000315	Syae.g_02609	Praj.g_01667
OG0000316	Syae.g_01118	Praj.g_01692
OG0000317	Syae.g_01160	Praj.g_01766
OG0000318	Syae.g_01164	Praj.g_01769
OG0000319	Syae.g_01181	Praj.g_01780
OG0000320	Syae.g_01183	Praj.g_01782
OG0000321	Syae.g_01184	Praj.g_01783
OG0000322	Syae.g_01185	Praj.g_01784
OG0000323	Syae.g_01200	Praj.g_01793
OG0000324	Syae.g_01049	Praj.g_01820
OG0000325	Syae.g_02033	Praj.g_01870
OG0000326	Syae.g_02040	Praj.g_01876
OG0000327	Syae.g_02080	Praj.g_01910
OG0000328	Syae.g_02081	Praj.g_01911
OG0000329	Syae.g_02099	Praj.g_01928
OG0000330	Syae.g_02100	Praj.g_01929
OG0000331	Syae.g_02101	Praj.g_01930
OG0000332	Syae.g_02116	Praj.g_01944
OG0000333	Syae.g_02119	Praj.g_01946
OG0000334	Syae.g_02128	Praj.g_01955
OG0000335	Syae.g_02132	Praj.g_01960
OG0000336	Syae.g_02136	Praj.g_01964
OG0000337	Syae.g_01879	Praj.g_01982
OG0000338	Syae.g_01876	Praj.g_01983
OG0000339	Syae.g_01869	Praj.g_01988
OG0000340	Syae.g_01855	Praj.g_01997
OG0000341	Syae.g_01853	Praj.g_01999
OG0000342	Syae.g_01852	Praj.g_02000
OG0000343	Syae.g_01848	Praj.g_02001
OG0000344	Syae.g_01843	Praj.g_02004
OG0000345	Syae.g_01833	Praj.g_02009
OG0000346	Syae.g_01828	Praj.g_02013
OG0000347	Syae.g_01805	Praj.g_02034
OG0000348	Syae.g_01781	Praj.g_02064
OG0000349	Syae.g_01763	Praj.g_02082
OG0000350	Syae.g_02047	Praj.g_02103
OG0000351	Syae.g_01684	Praj.g_02128
OG0000352	Syae.g_01685	Praj.g_02129
OG0000353	Syae.g_01711	Praj.g_02148
OG0000355	Syae.g_01713	Praj.g_00001
OG0000356	Syae.g_01714	Praj.g_00002
OG0000357	Syae.g_01715	Praj.g_00003
OG0000358	Syae.g_01719	Praj.g_00007
OG0000359	Syae.g_01721	Praj.g_00008
OG0000360	Syae.g_01722	Praj.g_00009
OG0000361	Syae.g_01723	Praj.g_00010
OG0000362	Syae.g_01725	Praj.g_00012
OG0000363	Syae.g_01727	Praj.g_00014
OG0000364	Syae.g_01728	Praj.g_00015
OG0000365	Syae.g_01737	Praj.g_00020
OG0000366	Syae.g_01738	Praj.g_00021
OG0000367	Syae.g_01739	Praj.g_00022
OG0000368	Syae.g_01741	Praj.g_00024
OG0000369	Syae.g_01742	Praj.g_00025
OG0000370	Syae.g_01743	Praj.g_00026
OG0000371	Syae.g_01751	Praj.g_00032
OG0000372	Syae.g_01756	Praj.g_00034
OG0000373	Syae.g_01757	Praj.g_00035
OG0000374	Syae.g_01758	Praj.g_00036
OG0000375	Syae.g_01759	Praj.g_00044
OG0000376	Syae.g_01761	Praj.g_00046
OG0000377	Syae.g_01561	Praj.g_00049
OG0000378	Syae.g_01553	Praj.g_00051
OG0000379	Syae.g_01550	Praj.g_00054
OG0000380	Syae.g_01281	Praj.g_00104
OG0000381	Syae.g_01285	Praj.g_00108
OG0000382	Syae.g_01322	Praj.g_00119
OG0000383	Syae.g_01324	Praj.g_00121
OG0000384	Syae.g_01325	Praj.g_00122
OG0000385	Syae.g_01326	Praj.g_00123
OG0000386	Syae.g_01327	Praj.g_00124
OG0000387	Syae.g_01354	Praj.g_00137
OG0000388	Syae.g_01358	Praj.g_00141
OG0000389	Syae.g_01362	Praj.g_00144
OG0000390	Syae.g_01378	Praj.g_00153
OG0000391	Syae.g_01383	Praj.g_00157
OG0000392	Syae.g_01389	Praj.g_00160
OG0000393	Syae.g_01392	Praj.g_00163
OG0000394	Syae.g_01393	Praj.g_00164
OG0000395	Syae.g_01394	Praj.g_00165
OG0000396	Syae.g_01397	Praj.g_00168
OG0000397	Syae.g_01400	Praj.g_00170
OG0000398	Syae.g_01405	Praj.g_00173
OG0000399	Syae.g_01406	Praj.g_00174
OG0000400	Syae.g_01407	Praj.g_00175
OG0000401	Syae.g_01408	Praj.g_00176
OG0000402	Syae.g_01410	Praj.g_01057
OG0000403	Syae.g_01411	Praj.g_00177
OG0000404	Syae.g_01412	Praj.g_00178
OG0000405	Syae.g_01426	Praj.g_00183
OG0000406	Syae.g_01430	Praj.g_00187
OG0000407	Syae.g_01431	Praj.g_00188
OG0000408	Syae.g_01433	Praj.g_00190
OG0000409	Syae.g_01435	Praj.g_00192
OG0000410	Syae.g_01436	Praj.g_00193
OG0000411	Syae.g_01437	Praj.g_00194
OG0000412	Syae.g_01438	Praj.g_00195
OG0000413	Syae.g_01440	Praj.g_00196
OG0000415	Syae.g_01441	Praj.g_00198
OG0000416	Syae.g_01442	Praj.g_00199
OG0000417	Syae.g_01443	Praj.g_00200
OG0000418	Syae.g_01448	Praj.g_00205
OG0000419	Syae.g_01450	Praj.g_00207
OG0000420	Syae.g_01452	Praj.g_00208
OG0000421	Syae.g_01457	Praj.g_00212
OG0000422	Syae.g_01458	Praj.g_00213
OG0000423	Syae.g_01459	Praj.g_00214
OG0000424	Syae.g_01460	Praj.g_00215
OG0000425	Syae.g_01461	Praj.g_00216
OG0000426	Syae.g_01462	Praj.g_00217
OG0000427	Syae.g_01463	Praj.g_00218
OG0000428	Syae.g_01466	Praj.g_00220
OG0000429	Syae.g_01468	Praj.g_00221
OG0000430	Syae.g_01470	Praj.g_00222
OG0000431	Syae.g_01473	Praj.g_00224
OG0000432	Syae.g_01481	Praj.g_00228
OG0000433	Syae.g_01484	Praj.g_00229
OG0000434	Syae.g_01485	Praj.g_00230
OG0000435	Syae.g_01486	Praj.g_00231
OG0000436	Syae.g_01491	Praj.g_00236
OG0000437	Syae.g_01492	Praj.g_00237
OG0000438	Syae.g_01493	Praj.g_00238
OG0000439	Syae.g_01495	Praj.g_00240
OG0000440	Syae.g_01496	Praj.g_00241
OG0000441	Syae.g_01501	Praj.g_00243
OG0000442	Syae.g_01502	Praj.g_00244
OG0000443	Syae.g_01503	Praj.g_00245
OG0000444	Syae.g_01509	Praj.g_00250
OG0000445	Syae.g_01510	Praj.g_00251
OG0000446	Syae.g_01512	Praj.g_00252
OG0000447	Syae.g_01517	Praj.g_00253
OG0000448	Syae.g_01518	Praj.g_00254
OG0000449	Syae.g_01519	Praj.g_00255
OG0000450	Syae.g_01525	Praj.g_00256
OG0000451	Syae.g_01526	Praj.g_00257
OG0000452	Syae.g_01530	Praj.g_00260
OG0000453	Syae.g_01531	Praj.g_00261
OG0000454	Syae.g_01532	Praj.g_00262
OG0000455	Syae.g_01533	Praj.g_00263
OG0000456	Syae.g_01534	Praj.g_00264
OG0000457	Syae.g_01536	Praj.g_00265
OG0000458	Syae.g_01538	Praj.g_00266
OG0000459	Syae.g_01539	Praj.g_00267
OG0000460	Syae.g_02236	Praj.g_00275
OG0000461	Syae.g_02024	Praj.g_00283
OG0000462	Syae.g_02021	Praj.g_00285
OG0000463	Syae.g_02020	Praj.g_00286
OG0000464	Syae.g_02019	Praj.g_00287
OG0000465	Syae.g_02018	Praj.g_00288
OG0000466	Syae.g_02014	Praj.g_00289
OG0000467	Syae.g_02012	Praj.g_00290
OG0000468	Syae.g_02007	Praj.g_00292
OG0000469	Syae.g_01992	Praj.g_00299
OG0000470	Syae.g_01990	Praj.g_00301
OG0000471	Syae.g_01989	Praj.g_00302
OG0000472	Syae.g_01987	Praj.g_00303
OG0000473	Syae.g_01985	Praj.g_00305
OG0000474	Syae.g_01984	Praj.g_00306
OG0000475	Syae.g_01983	Praj.g_00307
OG0000476	Syae.g_01981	Praj.g_00309
OG0000477	Syae.g_01975	Praj.g_00311
OG0000478	Syae.g_01974	Praj.g_00312
OG0000479	Syae.g_01973	Praj.g_00313
OG0000480	Syae.g_01966	Praj.g_00318
OG0000481	Syae.g_01964	Praj.g_00320
OG0000482	Syae.g_01963	Praj.g_00321
OG0000483	Syae.g_01959	Praj.g_00324
OG0000484	Syae.g_01958	Praj.g_00325
OG0000485	Syae.g_01957	Praj.g_00326
OG0000486	Syae.g_01956	Praj.g_00327
OG0000487	Syae.g_01950	Praj.g_00330
OG0000488	Syae.g_01946	Praj.g_00333
OG0000489	Syae.g_01936	Praj.g_00338
OG0000490	Syae.g_01928	Praj.g_00343
OG0000491	Syae.g_01927	Praj.g_00344
OG0000492	Syae.g_01925	Praj.g_00346
OG0000493	Syae.g_01924	Praj.g_00347
OG0000494	Syae.g_01923	Praj.g_00348
OG0000495	Syae.g_01922	Praj.g_00349
OG0000496	Syae.g_01921	Praj.g_00350
OG0000497	Syae.g_01920	Praj.g_00351
OG0000498	Syae.g_01919	Praj.g_00352
OG0000499	Syae.g_01918	Praj.g_00353
OG0000500	Syae.g_01917	Praj.g_00354
OG0000501	Syae.g_01914	Praj.g_00356
OG0000502	Syae.g_01902	Praj.g_00359
OG0000503	Syae.g_02192	Praj.g_00380
OG0000504	Syae.g_02194	Praj.g_00382
OG0000505	Syae.g_02195	Praj.g_00383
OG0000506	Syae.g_02197	Praj.g_00384
OG0000507	Syae.g_02203	Praj.g_00387
OG0000508	Syae.g_02207	Praj.g_00390
OG0000509	Syae.g_02209	Praj.g_00392
OG0000510	Syae.g_02210	Praj.g_00393
OG0000511	Syae.g_02211	Praj.g_00394
OG0000512	Syae.g_02213	Praj.g_00396
OG0000513	Syae.g_02223	Praj.g_00406
OG0000514	Syae.g_02229	Praj.g_00425
OG0000515	Syae.g_02230	Praj.g_00426
OG0000516	Syae.g_01000	Praj.g_00427
OG0000517	Syae.g_00995	Praj.g_00429
OG0000518	Syae.g_00983	Praj.g_00440
OG0000519	Syae.g_00982	Praj.g_00441
OG0000520	Syae.g_00981	Praj.g_00442
OG0000521	Syae.g_02491	Praj.g_00447
OG0000522	Syae.g_02493	Praj.g_00449
OG0000523	Syae.g_02494	Praj.g_00450
OG0000524	Syae.g_02501	Praj.g_00457
OG0000525	Syae.g_02520	Praj.g_00461
OG0000526	Syae.g_02523	Praj.g_00462
OG0000527	Syae.g_02528	Praj.g_00465
OG0000528	Syae.g_02304	Praj.g_00471
OG0000529	Syae.g_02310	Praj.g_00474
OG0000530	Syae.g_02313	Praj.g_00477
OG0000531	Syae.g_02314	Praj.g_00478
OG0000532	Syae.g_02317	Praj.g_00479
OG0000533	Syae.g_02318	Praj.g_00480
OG0000534	Syae.g_02319	Praj.g_00481
OG0000535	Syae.g_02320	Praj.g_00482
OG0000536	Syae.g_02321	Praj.g_00483
OG0000537	Syae.g_02322	Praj.g_00484
OG0000538	Syae.g_02333	Praj.g_00492
OG0000539	Syae.g_02334	Praj.g_00493
OG0000540	Syae.g_02335	Praj.g_00494
OG0000541	Syae.g_02336	Praj.g_00495
OG0000542	Syae.g_02339	Praj.g_00497
OG0000543	Syae.g_02341	Praj.g_00499
OG0000544	Syae.g_02342	Praj.g_00500
OG0000545	Syae.g_02344	Praj.g_00502
OG0000546	Syae.g_02346	Praj.g_00505
OG0000547	Syae.g_02348	Praj.g_00507
OG0000548	Syae.g_02349	Praj.g_00508
OG0000549	Syae.g_02354	Praj.g_00511
OG0000550	Syae.g_02358	Praj.g_00515
OG0000551	Syae.g_02363	Praj.g_00518
OG0000552	Syae.g_02364	Praj.g_00519
OG0000553	Syae.g_02366	Praj.g_00520
OG0000554	Syae.g_02375	Praj.g_00525
OG0000555	Syae.g_02390	Praj.g_00533
OG0000556	Syae.g_02394	Praj.g_00535
OG0000557	Syae.g_02398	Praj.g_00536
OG0000558	Syae.g_02400	Praj.g_00538
OG0000559	Syae.g_02404	Praj.g_00542
OG0000560	Syae.g_02407	Praj.g_00545
OG0000561	Syae.g_02408	Praj.g_00546
OG0000562	Syae.g_02409	Praj.g_00547
OG0000563	Syae.g_02410	Praj.g_00548
OG0000564	Syae.g_02411	Praj.g_00549
OG0000565	Syae.g_02414	Praj.g_00552
OG0000566	Syae.g_02418	Praj.g_00554
OG0000567	Syae.g_02422	Praj.g_00558
OG0000568	Syae.g_02427	Praj.g_00559
OG0000569	Syae.g_02428	Praj.g_00560
OG0000570	Syae.g_02429	Praj.g_00561
OG0000571	Syae.g_02433	Praj.g_00563
OG0000572	Syae.g_02448	Praj.g_00574
OG0000573	Syae.g_02456	Praj.g_00579
OG0000574	Syae.g_02457	Praj.g_00581
OG0000575	Syae.g_02461	Praj.g_00584
OG0000576	Syae.g_02463	Praj.g_00586
OG0000577	Syae.g_02464	Praj.g_00587
OG0000578	Syae.g_02465	Praj.g_00588
OG0000579	Syae.g_02466	Praj.g_00589
OG0000580	Syae.g_02467	Praj.g_00590
OG0000581	Syae.g_02473	Praj.g_00593
OG0000582	Syae.g_00018	Praj.g_00596
