Orthogroup	Prbm	Pram
OG0000082	Prbm.g_01900	Pram.g_01559
OG0000084	Prbm.g_01706	Pram.g_01384
OG0000085	Prbm.g_01834	Pram.g_01265
OG0000086	Prbm.g_00145	Pram.g_00072
OG0000087	Prbm.g_00198	Pram.g_00125
OG0000088	Prbm.g_00225	Pram.g_00151
OG0000089	Prbm.g_00423	Pram.g_00352
OG0000090	Prbm.g_00566	Pram.g_00471
OG0000091	Prbm.g_00673	Pram.g_01068
OG0000092	Prbm.g_00934	Pram.g_00739
OG0000093	Prbm.g_00799	Pram.g_01038
OG0000094	Prbm.g_00888	Pram.g_00987
OG0000095	Prbm.g_01064	Pram.g_00888
OG0000096	Prbm.g_01359	Pram.g_01505, Pram.g_00621
OG0000097	Prbm.g_01502	Pram.g_01093
OG0000098	Prbm.g_01630	Pram.g_01478
OG0000099	Prbm.g_00394	Pram.g_01445
OG0000100	Prbm.g_01787	Pram.g_01298
OG0000101	Prbm.g_02033	Pram.g_01770
OG0000102	Prbm.g_02099	Pram.g_01838
OG0000103	Prbm.g_02218	Pram.g_01925
OG0000104	Prbm.g_02229	Pram.g_01934
OG0000105	Prbm.g_00331	Pram.g_00262
OG0000106	Prbm.g_01172, Prbm.g_01237	Pram.g_00677
OG0000107	Prbm.g_01949	Pram.g_01696
OG0000108	Prbm.g_00506	Pram.g_00416
OG0000109	Prbm.g_00519	Pram.g_00430
OG0000110	Prbm.g_00607	Pram.g_00513
OG0000111	Prbm.g_00736	Pram.g_00793
OG0000112	Prbm.g_00980	Pram.g_00935
OG0000113	Prbm.g_01191	Pram.g_00832
OG0000114	Prbm.g_00929	Pram.g_00734
OG0000115	Prbm.g_01803	Pram.g_01201
OG0000116	Prbm.g_01560	Pram.g_01151
OG0000117	Prbm.g_01522	Pram.g_01112
OG0000118	Prbm.g_01622	Pram.g_01242
OG0000119	Prbm.g_01653	Pram.g_01283
OG0000120	Prbm.g_00707	Pram.g_01446
OG0000121	Prbm.g_01712	Pram.g_01376
OG0000122	Prbm.g_01751	Pram.g_01334
OG0000123	Prbm.g_02040	Pram.g_01777
OG0000124	Prbm.g_02111	Pram.g_01850
OG0000125	Prbm.g_02176	Pram.g_01886
OG0000126	Prbm.g_02228	Pram.g_01933
OG0000127	Prbm.g_01460, Prbm.g_01293, Prbm.g_01292	Pram.g_00611
OG0000128	Prbm.g_00011	Pram.g_01949
OG0000129	Prbm.g_00053	Pram.g_00029
OG0000130	Prbm.g_00126	Pram.g_00054
OG0000131	Prbm.g_00204	Pram.g_00130
OG0000132	Prbm.g_00223	Pram.g_00149
OG0000133	Prbm.g_00377	Pram.g_00310
OG0000134	Prbm.g_00425	Pram.g_00354
OG0000135	Prbm.g_01389	Pram.g_01589
OG0000136	Prbm.g_00451	Pram.g_00376
OG0000137	Prbm.g_00500	Pram.g_00411
OG0000138	Prbm.g_00520	Pram.g_00431
OG0000139	Prbm.g_00570	Pram.g_00475
OG0000140	Prbm.g_00571	Pram.g_00476
OG0000141	Prbm.g_00638	Pram.g_00545
OG0000142	Prbm.g_00666	Pram.g_01075
OG0000143	Prbm.g_00670	Pram.g_01072
OG0000144	Prbm.g_00683	Pram.g_01058
OG0000145	Prbm.g_01094	Pram.g_01534
OG0000146	Prbm.g_00979	Pram.g_00934
OG0000147	Prbm.g_00978	Pram.g_00933
OG0000148	Prbm.g_00832	Pram.g_00826
OG0000149	Prbm.g_00862	Pram.g_00858
OG0000150	Prbm.g_00870	Pram.g_00868
OG0000151	Prbm.g_00940	Pram.g_00744
OG0000152	Prbm.g_00988	Pram.g_00943
OG0000153	Prbm.g_01006	Pram.g_00961
OG0000154	Prbm.g_01035	Pram.g_00978
OG0000155	Prbm.g_01527	Pram.g_01118
OG0000156	Prbm.g_01600	Pram.g_01219
OG0000157	Prbm.g_01601	Pram.g_01220
OG0000158	Prbm.g_02077	Pram.g_01815
OG0000159	Prbm.g_02133	Pram.g_01438
OG0000160	Prbm.g_01711	Pram.g_01377
OG0000161	Prbm.g_01717	Pram.g_01145, Pram.g_01371
OG0000162	Prbm.g_01723	Pram.g_01365
OG0000163	Prbm.g_01759	Pram.g_01326
OG0000164	Prbm.g_01863	Pram.g_01656
OG0000165	Prbm.g_01871	Pram.g_01664
OG0000166	Prbm.g_01996	Pram.g_01733
OG0000167	Prbm.g_02067	Pram.g_01805
OG0000168	Prbm.g_02078	Pram.g_01816
OG0000169	Prbm.g_02088	Pram.g_01826
OG0000170	Prbm.g_02090	Pram.g_01829
OG0000171	Prbm.g_02110	Pram.g_01849
OG0000172	Prbm.g_02146	Pram.g_01856
OG0000173	Prbm.g_02161	Pram.g_01871
OG0000174	Prbm.g_02192	Pram.g_01902
OG0000175	Prbm.g_02209	Pram.g_01914
OG0000176	Prbm.g_00004	Pram.g_01942
OG0000177	Prbm.g_00005	Pram.g_01943
OG0000178	Prbm.g_00006	Pram.g_01944
OG0000179	Prbm.g_00016	Pram.g_00003
OG0000180	Prbm.g_00017	Pram.g_00004
OG0000181	Prbm.g_00018	Pram.g_00005
OG0000182	Prbm.g_00019	Pram.g_00006
OG0000183	Prbm.g_00023	Pram.g_00010
OG0000184	Prbm.g_00055	Pram.g_00033
OG0000185	Prbm.g_00058	Pram.g_00036
OG0000186	Prbm.g_00121	Pram.g_00048
OG0000187	Prbm.g_00122	Pram.g_00049
OG0000188	Prbm.g_00139	Pram.g_00066
OG0000189	Prbm.g_00153	Pram.g_00080
OG0000190	Prbm.g_00154	Pram.g_00081
OG0000191	Prbm.g_00177	Pram.g_00103
OG0000192	Prbm.g_00181	Pram.g_00108
OG0000193	Prbm.g_00205	Pram.g_00131
OG0000194	Prbm.g_00208	Pram.g_00134
OG0000195	Prbm.g_00210	Pram.g_00136
OG0000196	Prbm.g_00220	Pram.g_00146
OG0000197	Prbm.g_00221	Pram.g_00147
OG0000198	Prbm.g_00222	Pram.g_00148
OG0000199	Prbm.g_00229	Pram.g_00155
OG0000200	Prbm.g_00243	Pram.g_00168
OG0000201	Prbm.g_00252	Pram.g_00177
OG0000202	Prbm.g_00253	Pram.g_00178
OG0000203	Prbm.g_00254	Pram.g_00179
OG0000204	Prbm.g_00255	Pram.g_00180
OG0000205	Prbm.g_00262	Pram.g_00187
OG0000206	Prbm.g_00266	Pram.g_00192
OG0000207	Prbm.g_00268	Pram.g_00194
OG0000208	Prbm.g_00269	Pram.g_00195
OG0000209	Prbm.g_00278	Pram.g_00204
OG0000210	Prbm.g_00279	Pram.g_00205
OG0000211	Prbm.g_00293	Pram.g_00220
OG0000212	Prbm.g_00301	Pram.g_00228
OG0000213	Prbm.g_00317	Pram.g_00246
OG0000214	Prbm.g_00325	Pram.g_00255
OG0000215	Prbm.g_00349	Pram.g_00282
OG0000216	Prbm.g_00350	Pram.g_00283
OG0000217	Prbm.g_00353	Pram.g_00286
OG0000218	Prbm.g_00355	Pram.g_00288
OG0000219	Prbm.g_00356	Pram.g_00289
OG0000220	Prbm.g_00357	Pram.g_00290
OG0000221	Prbm.g_00358	Pram.g_00291
OG0000222	Prbm.g_00366	Pram.g_00298
OG0000223	Prbm.g_00378	Pram.g_00311
OG0000224	Prbm.g_00380	Pram.g_00313
OG0000225	Prbm.g_00411	Pram.g_00341
OG0000226	Prbm.g_00415	Pram.g_00345
OG0000227	Prbm.g_00417	Pram.g_00347
OG0000228	Prbm.g_00422	Pram.g_00351
OG0000229	Prbm.g_00446	Pram.g_00371
OG0000230	Prbm.g_00448	Pram.g_00373
OG0000231	Prbm.g_00459	Pram.g_00384
OG0000232	Prbm.g_00484	Pram.g_00397
OG0000233	Prbm.g_00492	Pram.g_00402
OG0000234	Prbm.g_00501	Pram.g_00412
OG0000235	Prbm.g_00505	Pram.g_00415
OG0000236	Prbm.g_00518	Pram.g_00429
OG0000237	Prbm.g_00540	Pram.g_00443
OG0000238	Prbm.g_00546	Pram.g_00449
OG0000239	Prbm.g_00558	Pram.g_00462
OG0000240	Prbm.g_00559	Pram.g_00463
OG0000241	Prbm.g_00563	Pram.g_00468
OG0000242	Prbm.g_00565	Pram.g_00470
OG0000243	Prbm.g_00576	Pram.g_00480
OG0000244	Prbm.g_00579	Pram.g_00483
OG0000245	Prbm.g_00581	Pram.g_00485
OG0000246	Prbm.g_00585	Pram.g_00489
OG0000247	Prbm.g_00595	Pram.g_00500
OG0000248	Prbm.g_00597	Pram.g_00503
OG0000249	Prbm.g_00599	Pram.g_00505
OG0000250	Prbm.g_00604	Pram.g_00510
OG0000251	Prbm.g_00620	Pram.g_00528
OG0000252	Prbm.g_00623	Pram.g_00531
OG0000253	Prbm.g_00625	Pram.g_00532
OG0000254	Prbm.g_00642	Pram.g_00549
OG0000255	Prbm.g_00648	Pram.g_00555
OG0000256	Prbm.g_00658	Pram.g_00566
OG0000257	Prbm.g_00661	Pram.g_01080
OG0000258	Prbm.g_00674	Pram.g_01067
OG0000259	Prbm.g_00691	Pram.g_01050
OG0000260	Prbm.g_00694	Pram.g_01047
OG0000261	Prbm.g_00697	Pram.g_01044
OG0000262	Prbm.g_00702	Pram.g_01039
OG0000263	Prbm.g_00716	Pram.g_00771
OG0000264	Prbm.g_00728	Pram.g_00782
OG0000265	Prbm.g_00742	Pram.g_00801
OG0000266	Prbm.g_00752	Pram.g_01020
OG0000267	Prbm.g_00765	Pram.g_01007
OG0000268	Prbm.g_00766	Pram.g_01006
OG0000269	Prbm.g_00809	Pram.g_00804
OG0000270	Prbm.g_00812	Pram.g_00807
OG0000271	Prbm.g_00820	Pram.g_00815
OG0000272	Prbm.g_00821	Pram.g_00816
OG0000273	Prbm.g_00845	Pram.g_00839
OG0000274	Prbm.g_00846	Pram.g_00840
OG0000275	Prbm.g_00848	Pram.g_00843
OG0000276	Prbm.g_00854	Pram.g_00849
OG0000277	Prbm.g_00855	Pram.g_00850
OG0000278	Prbm.g_00858	Pram.g_00853
OG0000279	Prbm.g_00865	Pram.g_00861
OG0000281	Prbm.g_00871	Pram.g_00870
OG0000282	Prbm.g_00931	Pram.g_00736
OG0000283	Prbm.g_00962	Pram.g_00916
OG0000284	Prbm.g_00967	Pram.g_00921
OG0000285	Prbm.g_00972	Pram.g_00926
OG0000286	Prbm.g_00987	Pram.g_00942
OG0000287	Prbm.g_00102	Pram.g_01199
OG0000288	Prbm.g_01034	Pram.g_00977
OG0000289	Prbm.g_01045	Pram.g_00992
OG0000290	Prbm.g_01061	Pram.g_00891
OG0000291	Prbm.g_01063	Pram.g_00889
OG0000292	Prbm.g_01210	Pram.g_01185
OG0000293	Prbm.g_01559	Pram.g_01150
OG0000294	Prbm.g_01558	Pram.g_01149
OG0000295	Prbm.g_01534	Pram.g_01125
OG0000296	Prbm.g_01532	Pram.g_01123
OG0000297	Prbm.g_01524	Pram.g_01114
OG0000298	Prbm.g_01523	Pram.g_01113
OG0000299	Prbm.g_01503	Pram.g_01094
OG0000300	Prbm.g_01500	Pram.g_01091
OG0000301	Prbm.g_01499	Pram.g_01090
OG0000302	Prbm.g_01497	Pram.g_01088
OG0000303	Prbm.g_01492	Pram.g_01082
OG0000304	Prbm.g_01489	Pram.g_00571
OG0000305	Prbm.g_01812	Pram.g_01183
OG0000306	Prbm.g_00875	Pram.g_00874
OG0000307	Prbm.g_01669	Pram.g_01458
OG0000308	Prbm.g_01670	Pram.g_01457
OG0000309	Prbm.g_01674	Pram.g_01453
OG0000310	Prbm.g_01694	Pram.g_01395
OG0000311	Prbm.g_01696	Pram.g_01393
OG0000312	Prbm.g_01699	Pram.g_01390
OG0000313	Prbm.g_01714	Pram.g_01374
OG0000314	Prbm.g_01735	Pram.g_01351
OG0000315	Prbm.g_01745	Pram.g_01341
OG0000316	Prbm.g_01770	Pram.g_01315
OG0000317	Prbm.g_01839	Pram.g_01629
OG0000318	Prbm.g_01842	Pram.g_01633
OG0000319	Prbm.g_01853	Pram.g_01646
OG0000320	Prbm.g_01855	Pram.g_01648
OG0000321	Prbm.g_01856	Pram.g_01649
OG0000322	Prbm.g_01857	Pram.g_01650
OG0000323	Prbm.g_01866	Pram.g_01659
OG0000324	Prbm.g_01893	Pram.g_01687
OG0000325	Prbm.g_01950	Pram.g_01697
OG0000326	Prbm.g_01956	Pram.g_01704
OG0000327	Prbm.g_01991	Pram.g_01728
OG0000328	Prbm.g_01992	Pram.g_01729
OG0000329	Prbm.g_02009	Pram.g_01746
OG0000330	Prbm.g_02010	Pram.g_01747
OG0000331	Prbm.g_02011	Pram.g_01748
OG0000332	Prbm.g_02025	Pram.g_01762
OG0000333	Prbm.g_02027	Pram.g_01764
OG0000334	Prbm.g_02036	Pram.g_01773
OG0000335	Prbm.g_02041	Pram.g_01778
OG0000336	Prbm.g_02045	Pram.g_01782
OG0000337	Prbm.g_02064	Pram.g_01801
OG0000338	Prbm.g_02065	Pram.g_01802
OG0000339	Prbm.g_02070	Pram.g_01808
OG0000340	Prbm.g_02079	Pram.g_01817
OG0000341	Prbm.g_02081	Pram.g_01819
OG0000342	Prbm.g_02082	Pram.g_01820
OG0000343	Prbm.g_02083	Pram.g_01821
OG0000344	Prbm.g_02086	Pram.g_01824
OG0000345	Prbm.g_02091	Pram.g_01830
OG0000346	Prbm.g_02095	Pram.g_01834
OG0000347	Prbm.g_02114	Pram.g_01851
OG0000348	Prbm.g_02149	Pram.g_01859
OG0000349	Prbm.g_02167	Pram.g_01877
OG0000350	Prbm.g_02188	Pram.g_01898
OG0000351	Prbm.g_02212	Pram.g_01917
OG0000352	Prbm.g_02213	Pram.g_01918
OG0000353	Prbm.g_02232	Pram.g_01937
OG0000355	Prbm.g_00001	Pram.g_01939
OG0000356	Prbm.g_00002	Pram.g_01940
OG0000357	Prbm.g_00003	Pram.g_01941
OG0000358	Prbm.g_00007	Pram.g_01945
OG0000359	Prbm.g_00008	Pram.g_01946
OG0000360	Prbm.g_00009	Pram.g_01947
OG0000361	Prbm.g_00010	Pram.g_01948
OG0000362	Prbm.g_00012	Pram.g_01950
OG0000363	Prbm.g_00014	Pram.g_00001
OG0000364	Prbm.g_00015	Pram.g_00002
OG0000365	Prbm.g_00020	Pram.g_00007
OG0000366	Prbm.g_00021	Pram.g_00008
OG0000367	Prbm.g_00022	Pram.g_00009
OG0000368	Prbm.g_00024	Pram.g_00011
OG0000369	Prbm.g_00025	Pram.g_00012
OG0000370	Prbm.g_00026	Pram.g_00013
OG0000371	Prbm.g_00032	Pram.g_00019
OG0000372	Prbm.g_00033	Pram.g_00021
OG0000373	Prbm.g_00034	Pram.g_00022
OG0000374	Prbm.g_00035	Pram.g_00023
OG0000375	Prbm.g_00049	Pram.g_00024
OG0000376	Prbm.g_00051	Pram.g_00026
OG0000377	Prbm.g_00054	Pram.g_00030
OG0000378	Prbm.g_00056	Pram.g_00034
OG0000379	Prbm.g_00059	Pram.g_00037
OG0000380	Prbm.g_00123	Pram.g_00050
OG0000381	Prbm.g_00127	Pram.g_00055
OG0000382	Prbm.g_00138	Pram.g_00065
OG0000383	Prbm.g_00140	Pram.g_00067
OG0000384	Prbm.g_00141	Pram.g_00068
OG0000385	Prbm.g_00142	Pram.g_00069
OG0000386	Prbm.g_00143	Pram.g_00070
OG0000387	Prbm.g_00156	Pram.g_00083
OG0000388	Prbm.g_00160	Pram.g_00087
OG0000389	Prbm.g_00163	Pram.g_00090
OG0000390	Prbm.g_00172	Pram.g_00099
OG0000391	Prbm.g_00176	Pram.g_00102
OG0000392	Prbm.g_00179	Pram.g_00106
OG0000393	Prbm.g_00182	Pram.g_00109
OG0000394	Prbm.g_00183	Pram.g_00110
OG0000395	Prbm.g_00184	Pram.g_00111
OG0000396	Prbm.g_00187	Pram.g_00113
OG0000397	Prbm.g_00189	Pram.g_00115
OG0000398	Prbm.g_00192	Pram.g_00118
OG0000399	Prbm.g_00193	Pram.g_00119
OG0000400	Prbm.g_00194	Pram.g_00120
OG0000401	Prbm.g_00195	Pram.g_00121
OG0000402	Prbm.g_01096	Pram.g_01001
OG0000403	Prbm.g_00196	Pram.g_00123
OG0000404	Prbm.g_00197	Pram.g_00124
OG0000405	Prbm.g_00202	Pram.g_00128
OG0000406	Prbm.g_00206	Pram.g_00132
OG0000407	Prbm.g_00207	Pram.g_00133
OG0000408	Prbm.g_00209	Pram.g_00135
OG0000409	Prbm.g_00211	Pram.g_00137
OG0000410	Prbm.g_00212	Pram.g_00138
OG0000411	Prbm.g_00213	Pram.g_00139
OG0000412	Prbm.g_00214	Pram.g_00140
OG0000413	Prbm.g_00215	Pram.g_00141
OG0000414	Prbm.g_00216	Pram.g_00142
OG0000415	Prbm.g_00217	Pram.g_00143
OG0000416	Prbm.g_00218	Pram.g_00144
OG0000417	Prbm.g_00219	Pram.g_00145
OG0000418	Prbm.g_00224	Pram.g_00150
OG0000419	Prbm.g_00226	Pram.g_00152
OG0000420	Prbm.g_00227	Pram.g_00153
OG0000421	Prbm.g_00232	Pram.g_00157
OG0000422	Prbm.g_00233	Pram.g_00158
OG0000423	Prbm.g_00234	Pram.g_00159
OG0000424	Prbm.g_00235	Pram.g_00160
OG0000425	Prbm.g_00236	Pram.g_00161
OG0000426	Prbm.g_00237	Pram.g_00162
OG0000427	Prbm.g_00238	Pram.g_00163
OG0000428	Prbm.g_00240	Pram.g_00165
OG0000429	Prbm.g_00241	Pram.g_00166
OG0000430	Prbm.g_00242	Pram.g_00167
OG0000431	Prbm.g_00244	Pram.g_00169
OG0000432	Prbm.g_00248	Pram.g_00173
OG0000433	Prbm.g_00249	Pram.g_00174
OG0000434	Prbm.g_00250	Pram.g_00175
OG0000435	Prbm.g_00251	Pram.g_00176
OG0000436	Prbm.g_00256	Pram.g_00181
OG0000437	Prbm.g_00257	Pram.g_00182
OG0000438	Prbm.g_00258	Pram.g_00183
OG0000439	Prbm.g_00260	Pram.g_00185
OG0000440	Prbm.g_00261	Pram.g_00186
OG0000441	Prbm.g_00263	Pram.g_00189
OG0000442	Prbm.g_00264	Pram.g_00190
OG0000443	Prbm.g_00265	Pram.g_00191
OG0000444	Prbm.g_00270	Pram.g_00196
OG0000445	Prbm.g_00271	Pram.g_00197
OG0000446	Prbm.g_00272	Pram.g_00198
OG0000447	Prbm.g_00273	Pram.g_00199
OG0000448	Prbm.g_00274	Pram.g_00200
OG0000449	Prbm.g_00275	Pram.g_00201
OG0000450	Prbm.g_00276	Pram.g_00202
OG0000451	Prbm.g_00277	Pram.g_00203
OG0000452	Prbm.g_00280	Pram.g_00206
OG0000453	Prbm.g_00281	Pram.g_00207
OG0000454	Prbm.g_00282	Pram.g_00208
OG0000455	Prbm.g_00283	Pram.g_00209
OG0000456	Prbm.g_00284	Pram.g_00210
OG0000457	Prbm.g_00285	Pram.g_00212
OG0000458	Prbm.g_00286	Pram.g_00213
OG0000459	Prbm.g_00287	Pram.g_00214
OG0000460	Prbm.g_00295	Pram.g_00222
OG0000461	Prbm.g_00303	Pram.g_00230
OG0000462	Prbm.g_00305	Pram.g_00232
OG0000463	Prbm.g_00306	Pram.g_00233
OG0000464	Prbm.g_00307	Pram.g_00234
OG0000465	Prbm.g_00308	Pram.g_00235
OG0000466	Prbm.g_00309	Pram.g_00238
OG0000467	Prbm.g_00310	Pram.g_00239
OG0000468	Prbm.g_00312	Pram.g_00242
OG0000469	Prbm.g_00320	Pram.g_00250
OG0000470	Prbm.g_00322	Pram.g_00252
OG0000471	Prbm.g_00323	Pram.g_00253
OG0000472	Prbm.g_00324	Pram.g_00254
OG0000473	Prbm.g_00326	Pram.g_00256
OG0000474	Prbm.g_00327	Pram.g_00257
OG0000475	Prbm.g_00328	Pram.g_00258
OG0000476	Prbm.g_00330	Pram.g_00260
OG0000477	Prbm.g_00332	Pram.g_00263
OG0000478	Prbm.g_00333	Pram.g_00264
OG0000479	Prbm.g_00334	Pram.g_00265
OG0000480	Prbm.g_00339	Pram.g_00270
OG0000481	Prbm.g_00341	Pram.g_00273
OG0000482	Prbm.g_00342	Pram.g_00274
OG0000483	Prbm.g_00345	Pram.g_00277
OG0000484	Prbm.g_00346	Pram.g_00278
OG0000485	Prbm.g_00347	Pram.g_00280
OG0000486	Prbm.g_00348	Pram.g_00281
OG0000487	Prbm.g_00351	Pram.g_00284
OG0000488	Prbm.g_00354	Pram.g_00287
OG0000489	Prbm.g_00359	Pram.g_00292
OG0000490	Prbm.g_00364	Pram.g_00296
OG0000491	Prbm.g_00365	Pram.g_00297
OG0000492	Prbm.g_00367	Pram.g_00299
OG0000493	Prbm.g_00368	Pram.g_00300
OG0000494	Prbm.g_00369	Pram.g_00301
OG0000495	Prbm.g_00370	Pram.g_00302
OG0000496	Prbm.g_00371	Pram.g_00303
OG0000497	Prbm.g_00372	Pram.g_00304
OG0000498	Prbm.g_00373	Pram.g_00305
OG0000499	Prbm.g_00374	Pram.g_00306
OG0000500	Prbm.g_00375	Pram.g_00307
OG0000501	Prbm.g_00376	Pram.g_00309
OG0000502	Prbm.g_00379	Pram.g_00312
OG0000503	Prbm.g_00400	Pram.g_00328
OG0000504	Prbm.g_00402	Pram.g_00330
OG0000505	Prbm.g_00403	Pram.g_00331
OG0000506	Prbm.g_00404	Pram.g_00332
OG0000507	Prbm.g_00407	Pram.g_00336
OG0000508	Prbm.g_00410	Pram.g_00340
OG0000509	Prbm.g_00412	Pram.g_00342
OG0000510	Prbm.g_00413	Pram.g_00343
OG0000511	Prbm.g_00414	Pram.g_00344
OG0000512	Prbm.g_00416	Pram.g_00346
OG0000513	Prbm.g_00426	Pram.g_00355
OG0000514	Prbm.g_00440	Pram.g_00366
OG0000515	Prbm.g_00441	Pram.g_00367
OG0000516	Prbm.g_00442	Pram.g_00368
OG0000517	Prbm.g_00445	Pram.g_00370
OG0000518	Prbm.g_00456	Pram.g_00381
OG0000519	Prbm.g_00457	Pram.g_00382
OG0000520	Prbm.g_00458	Pram.g_00383
OG0000521	Prbm.g_00480	Pram.g_00393
OG0000522	Prbm.g_00482	Pram.g_00395
OG0000523	Prbm.g_00483	Pram.g_00396
OG0000524	Prbm.g_00490	Pram.g_00400
OG0000525	Prbm.g_00494	Pram.g_00404
OG0000526	Prbm.g_00495	Pram.g_00406
OG0000527	Prbm.g_00498	Pram.g_00409
OG0000528	Prbm.g_00504	Pram.g_00414
OG0000529	Prbm.g_00507	Pram.g_00417
OG0000530	Prbm.g_00510	Pram.g_00420
OG0000531	Prbm.g_00511	Pram.g_00421
OG0000532	Prbm.g_00512	Pram.g_00423
OG0000533	Prbm.g_00513	Pram.g_00424
OG0000534	Prbm.g_00514	Pram.g_00425
