Orthogroup	Prbm	Syal
OG0000044	Prbm.g_00478, Prbm.g_01281	Syal.g_01853, Syal.g_01847
OG0000046	Prbm.g_00383	Syal.g_00316, Syal.g_00321, Syal.g_00309
OG0000047	Prbm.g_00390, Prbm.g_00428	Syal.g_01568
OG0000048	Prbm.g_00329	Syal.g_01250
OG0000050	Prbm.g_00118	Syal.g_01549
OG0000052	Prbm.g_00114	Syal.g_01338
OG0000053	Prbm.g_01729	Syal.g_00406
OG0000054	Prbm.g_00637	Syal.g_02739, Syal.g_02098
OG0000057	Prbm.g_00735	Syal.g_01812
OG0000058	Prbm.g_00881	Syal.g_01326
OG0000059	Prbm.g_01973	Syal.g_00225
OG0000060	Prbm.g_01422	Syal.g_00480, Syal.g_02895, Syal.g_02214
OG0000061	Prbm.g_01549	Syal.g_01653
OG0000062	Prbm.g_01792	Syal.g_00567
OG0000063	Prbm.g_01947	Syal.g_00136
OG0000065	Prbm.g_00164	Syal.g_00820, Syal.g_02528
OG0000066	Prbm.g_00572	Syal.g_02828
OG0000067	Prbm.g_00814	Syal.g_02414
OG0000068	Prbm.g_01660	Syal.g_02888
OG0000070	Prbm.g_00460	Syal.g_00509
OG0000071	Prbm.g_00468, Prbm.g_01611	Syal.g_02099, Syal.g_01601
OG0000072	Prbm.g_00230	Syal.g_00914
OG0000073	Prbm.g_00533	Syal.g_02920
OG0000075	Prbm.g_02069	Syal.g_01350
OG0000076	Prbm.g_02094	Syal.g_01459
OG0000077	Prbm.g_00135	Syal.g_00763, Syal.g_00506
OG0000078	Prbm.g_00300	Syal.g_00680
OG0000079	Prbm.g_00311	Syal.g_01213
OG0000081	Prbm.g_00564	Syal.g_02555
OG0000082	Prbm.g_01900	Syal.g_02769
OG0000084	Prbm.g_01706	Syal.g_01896, Syal.g_00023
OG0000085	Prbm.g_01834	Syal.g_00575
OG0000086	Prbm.g_00145	Syal.g_00784
OG0000087	Prbm.g_00198	Syal.g_00871
OG0000088	Prbm.g_00225	Syal.g_00908
OG0000089	Prbm.g_00423	Syal.g_00555
OG0000090	Prbm.g_00566	Syal.g_02838
OG0000091	Prbm.g_00673	Syal.g_02628
OG0000092	Prbm.g_00934	Syal.g_00470
OG0000093	Prbm.g_00799	Syal.g_02233
OG0000094	Prbm.g_00888	Syal.g_01907
OG0000095	Prbm.g_01064	Syal.g_01823
OG0000097	Prbm.g_01502	Syal.g_01735, Syal.g_01553
OG0000098	Prbm.g_01630	Syal.g_02196
OG0000099	Prbm.g_00394	Syal.g_01323
OG0000100	Prbm.g_01787	Syal.g_02448
OG0000101	Prbm.g_02033	Syal.g_00275
OG0000102	Prbm.g_02099	Syal.g_01488
OG0000103	Prbm.g_02218	Syal.g_00077, Syal.g_01897
OG0000104	Prbm.g_02229	Syal.g_00092
OG0000105	Prbm.g_00331	Syal.g_01255
OG0000106	Prbm.g_01172, Prbm.g_01237	Syal.g_02577
OG0000107	Prbm.g_01949	Syal.g_00194
OG0000108	Prbm.g_00506	Syal.g_02897
OG0000109	Prbm.g_00519	Syal.g_02913
OG0000110	Prbm.g_00607	Syal.g_02782
OG0000111	Prbm.g_00736	Syal.g_01813
OG0000112	Prbm.g_00980	Syal.g_02000
OG0000113	Prbm.g_00838, Prbm.g_01191	Syal.g_02443
OG0000114	Prbm.g_00929	Syal.g_02286
OG0000115	Prbm.g_01803	Syal.g_00404
OG0000116	Prbm.g_01560	Syal.g_01630
OG0000117	Prbm.g_01522	Syal.g_01704
OG0000118	Prbm.g_01622	Syal.g_01583
OG0000119	Prbm.g_01653	Syal.g_02056
OG0000120	Prbm.g_00707	Syal.g_01324
OG0000121	Prbm.g_01712	Syal.g_00374
OG0000122	Prbm.g_01751	Syal.g_02602
OG0000123	Prbm.g_02040	Syal.g_00283
OG0000124	Prbm.g_02111	Syal.g_01519
OG0000125	Prbm.g_02176	Syal.g_01075
OG0000126	Prbm.g_02228	Syal.g_00090
OG0000128	Prbm.g_00011	Syal.g_00109
OG0000129	Prbm.g_00053	Syal.g_01062
OG0000130	Prbm.g_00126	Syal.g_00751
OG0000131	Prbm.g_00204	Syal.g_00886
OG0000132	Prbm.g_00223	Syal.g_00906
OG0000133	Prbm.g_00377	Syal.g_01995
OG0000134	Prbm.g_00425	Syal.g_00552
OG0000135	Prbm.g_01389	Syal.g_01119
OG0000136	Prbm.g_00451	Syal.g_00520
OG0000137	Prbm.g_00500	Syal.g_00463
OG0000138	Prbm.g_00520	Syal.g_02914
OG0000139	Prbm.g_00570	Syal.g_02832
OG0000140	Prbm.g_00571	Syal.g_02830
OG0000141	Prbm.g_00638	Syal.g_02738
OG0000142	Prbm.g_00666	Syal.g_02636
OG0000143	Prbm.g_00670	Syal.g_02632
OG0000144	Prbm.g_00683	Syal.g_02515
OG0000145	Prbm.g_01094	Syal.g_02921
OG0000146	Prbm.g_00979	Syal.g_02001
OG0000147	Prbm.g_00978	Syal.g_02002
OG0000148	Prbm.g_00832	Syal.g_02437
OG0000149	Prbm.g_00862	Syal.g_02475
OG0000150	Prbm.g_00870	Syal.g_02737
OG0000151	Prbm.g_00940	Syal.g_02263
OG0000152	Prbm.g_00988	Syal.g_01991
OG0000153	Prbm.g_01006	Syal.g_01958
OG0000154	Prbm.g_01035	Syal.g_01918
OG0000155	Prbm.g_01527	Syal.g_01695
OG0000156	Prbm.g_01600	Syal.g_01620
OG0000157	Prbm.g_01601	Syal.g_01619
OG0000158	Prbm.g_02077	Syal.g_01431
OG0000160	Prbm.g_01711	Syal.g_00372
OG0000161	Prbm.g_01717	Syal.g_00384
OG0000162	Prbm.g_01723	Syal.g_00396
OG0000163	Prbm.g_01759	Syal.g_02971
OG0000164	Prbm.g_01863	Syal.g_00623
OG0000165	Prbm.g_01871	Syal.g_00632
OG0000166	Prbm.g_01996	Syal.g_00236
OG0000167	Prbm.g_02067	Syal.g_01347
OG0000168	Prbm.g_02078	Syal.g_01433
OG0000169	Prbm.g_02088	Syal.g_01447
OG0000170	Prbm.g_02090	Syal.g_01454
OG0000171	Prbm.g_02110	Syal.g_01518
OG0000172	Prbm.g_02146	Syal.g_00174, Syal.g_00173
OG0000173	Prbm.g_02161	Syal.g_00155
OG0000174	Prbm.g_02192	Syal.g_01121
OG0000175	Prbm.g_02209	Syal.g_01172
OG0000176	Prbm.g_00004	Syal.g_00101
OG0000177	Prbm.g_00005	Syal.g_00102
OG0000178	Prbm.g_00006	Syal.g_00103
OG0000179	Prbm.g_00016	Syal.g_00118
OG0000180	Prbm.g_00017	Syal.g_00119
OG0000181	Prbm.g_00018	Syal.g_00120
OG0000182	Prbm.g_00019	Syal.g_00121
OG0000183	Prbm.g_00023	Syal.g_00125
OG0000184	Prbm.g_00055	Syal.g_02678, Syal.g_01050
OG0000185	Prbm.g_00058	Syal.g_01025
OG0000186	Prbm.g_00121	Syal.g_02684, Syal.g_00747
OG0000187	Prbm.g_00122	Syal.g_02685, Syal.g_00748
OG0000188	Prbm.g_00139	Syal.g_00771
OG0000189	Prbm.g_00153	Syal.g_00807
OG0000190	Prbm.g_00154	Syal.g_01364
OG0000191	Prbm.g_00177	Syal.g_00841
OG0000192	Prbm.g_00181	Syal.g_00847
OG0000193	Prbm.g_00205	Syal.g_00887
OG0000194	Prbm.g_00208	Syal.g_00890
OG0000195	Prbm.g_00210	Syal.g_00892
OG0000196	Prbm.g_00220	Syal.g_00903
OG0000197	Prbm.g_00221	Syal.g_00904
OG0000198	Prbm.g_00222	Syal.g_00905
OG0000199	Prbm.g_00229	Syal.g_00913
OG0000200	Prbm.g_00243	Syal.g_00932
OG0000201	Prbm.g_00252	Syal.g_00949
OG0000202	Prbm.g_00253	Syal.g_00950
OG0000203	Prbm.g_00254	Syal.g_00951
OG0000204	Prbm.g_00255	Syal.g_00952
OG0000205	Prbm.g_00262	Syal.g_00959
OG0000206	Prbm.g_00266	Syal.g_00971
OG0000207	Prbm.g_00268	Syal.g_00974
OG0000208	Prbm.g_00269	Syal.g_00975
OG0000209	Prbm.g_00278	Syal.g_01000
OG0000210	Prbm.g_00279	Syal.g_01001
OG0000211	Prbm.g_00293	Syal.g_00688
OG0000212	Prbm.g_00301	Syal.g_00679
OG0000213	Prbm.g_00317	Syal.g_01229
OG0000214	Prbm.g_00325	Syal.g_01246
OG0000215	Prbm.g_00349	Syal.g_01277
OG0000216	Prbm.g_00350	Syal.g_01281
OG0000217	Prbm.g_00353	Syal.g_01285
OG0000218	Prbm.g_00355	Syal.g_01287
OG0000219	Prbm.g_00356	Syal.g_01288
OG0000220	Prbm.g_00357	Syal.g_01289
OG0000221	Prbm.g_00358	Syal.g_01297
OG0000222	Prbm.g_00366	Syal.g_01309
OG0000223	Prbm.g_00378	Syal.g_01327
OG0000224	Prbm.g_00380	Syal.g_01329
OG0000225	Prbm.g_00411	Syal.g_00363
OG0000226	Prbm.g_00415	Syal.g_00367
OG0000227	Prbm.g_00417	Syal.g_00369
OG0000228	Prbm.g_00422	Syal.g_00556
OG0000229	Prbm.g_00446	Syal.g_00525
OG0000230	Prbm.g_00448	Syal.g_00523
OG0000231	Prbm.g_00459	Syal.g_00510
OG0000232	Prbm.g_00484	Syal.g_00495
OG0000233	Prbm.g_00492	Syal.g_00487
OG0000234	Prbm.g_00501	Syal.g_00461
OG0000235	Prbm.g_00505	Syal.g_02896
OG0000236	Prbm.g_00518	Syal.g_02912
OG0000237	Prbm.g_00540	Syal.g_02930
OG0000238	Prbm.g_00546	Syal.g_02935
OG0000239	Prbm.g_00558	Syal.g_02951
OG0000240	Prbm.g_00559	Syal.g_02952
OG0000241	Prbm.g_00563	Syal.g_02696
OG0000242	Prbm.g_00565	Syal.g_02840
OG0000243	Prbm.g_00576	Syal.g_02822
OG0000244	Prbm.g_00579	Syal.g_02815
OG0000245	Prbm.g_00581	Syal.g_02813
OG0000246	Prbm.g_00585	Syal.g_02809
OG0000247	Prbm.g_00595	Syal.g_02797
OG0000248	Prbm.g_00597	Syal.g_02794
OG0000249	Prbm.g_00599	Syal.g_02792
OG0000250	Prbm.g_00604	Syal.g_02786
OG0000251	Prbm.g_00620	Syal.g_02760
OG0000252	Prbm.g_00623	Syal.g_02757
OG0000253	Prbm.g_00625	Syal.g_02755
OG0000254	Prbm.g_00642	Syal.g_02732
OG0000255	Prbm.g_00648	Syal.g_02719
OG0000256	Prbm.g_00658	Syal.g_02705
OG0000257	Prbm.g_00661	Syal.g_02697
OG0000258	Prbm.g_00674	Syal.g_02623
OG0000259	Prbm.g_00691	Syal.g_02182
OG0000260	Prbm.g_00694	Syal.g_02188
OG0000261	Prbm.g_00697	Syal.g_02199
OG0000262	Prbm.g_00702	Syal.g_02204
OG0000263	Prbm.g_00716	Syal.g_01720
OG0000264	Prbm.g_00728	Syal.g_01788
OG0000265	Prbm.g_00742	Syal.g_02534
OG0000266	Prbm.g_00752	Syal.g_02421
OG0000267	Prbm.g_00765	Syal.g_02043
OG0000268	Prbm.g_00766	Syal.g_02042
OG0000269	Prbm.g_00809	Syal.g_02409
OG0000270	Prbm.g_00812	Syal.g_02412
OG0000271	Prbm.g_00820	Syal.g_01871
OG0000272	Prbm.g_00821	Syal.g_01872
OG0000273	Prbm.g_00845	Syal.g_02454
OG0000274	Prbm.g_00846	Syal.g_02455
OG0000275	Prbm.g_00848	Syal.g_02458
OG0000276	Prbm.g_00854	Syal.g_02467
OG0000277	Prbm.g_00855	Syal.g_02468
OG0000278	Prbm.g_00858	Syal.g_02471
OG0000279	Prbm.g_00865	Syal.g_02479
OG0000281	Prbm.g_00871	Syal.g_02190
OG0000282	Prbm.g_00931	Syal.g_02284
OG0000283	Prbm.g_00962	Syal.g_02028, Syal.g_02131
OG0000284	Prbm.g_00967	Syal.g_02023
OG0000285	Prbm.g_00972	Syal.g_02012
OG0000286	Prbm.g_00987	Syal.g_01992
OG0000287	Prbm.g_00102	Syal.g_01965
OG0000288	Prbm.g_01034	Syal.g_01919
OG0000289	Prbm.g_01045	Syal.g_01904
OG0000290	Prbm.g_01061	Syal.g_01826
OG0000291	Prbm.g_01063	Syal.g_01824
OG0000292	Prbm.g_01210	Syal.g_00089
OG0000293	Prbm.g_01559	Syal.g_01631
OG0000294	Prbm.g_01558	Syal.g_01632
OG0000295	Prbm.g_01534	Syal.g_01687
OG0000296	Prbm.g_01532	Syal.g_01689
OG0000297	Prbm.g_01524	Syal.g_01702
OG0000298	Prbm.g_01523	Syal.g_01703
OG0000299	Prbm.g_01503	Syal.g_01732
OG0000300	Prbm.g_01500	Syal.g_01738
OG0000301	Prbm.g_01499	Syal.g_01739
OG0000302	Prbm.g_01497	Syal.g_01740
OG0000303	Prbm.g_01492	Syal.g_01763
OG0000304	Prbm.g_01489	Syal.g_01756
OG0000305	Prbm.g_01812	Syal.g_01821
OG0000306	Prbm.g_00875	Syal.g_02579
OG0000307	Prbm.g_01669	Syal.g_02880
OG0000308	Prbm.g_01670	Syal.g_02878
OG0000309	Prbm.g_01674	Syal.g_02873
OG0000310	Prbm.g_01694	Syal.g_01537
OG0000311	Prbm.g_01696	Syal.g_00061
OG0000312	Prbm.g_01699	Syal.g_00031
OG0000313	Prbm.g_01714	Syal.g_00381
OG0000314	Prbm.g_01735	Syal.g_00416
OG0000315	Prbm.g_01745	Syal.g_00426
OG0000316	Prbm.g_01770	Syal.g_02987
OG0000317	Prbm.g_01839	Syal.g_00583
OG0000318	Prbm.g_01842	Syal.g_00588
OG0000319	Prbm.g_01853	Syal.g_00608
OG0000320	Prbm.g_01855	Syal.g_00610
OG0000321	Prbm.g_01856	Syal.g_00611
OG0000322	Prbm.g_01857	Syal.g_00612
OG0000323	Prbm.g_01866	Syal.g_00626
OG0000324	Prbm.g_01893	Syal.g_00656
OG0000325	Prbm.g_01950	Syal.g_00195
OG0000326	Prbm.g_01956	Syal.g_00202
OG0000327	Prbm.g_01991	Syal.g_00230
OG0000328	Prbm.g_01992	Syal.g_00231
OG0000329	Prbm.g_02009	Syal.g_00249
OG0000330	Prbm.g_02010	Syal.g_00250
OG0000331	Prbm.g_02011	Syal.g_00251
OG0000332	Prbm.g_02025	Syal.g_00266
OG0000333	Prbm.g_02027	Syal.g_00269
OG0000334	Prbm.g_02036	Syal.g_00279
OG0000335	Prbm.g_02041	Syal.g_00284
OG0000336	Prbm.g_02045	Syal.g_00288
OG0000337	Prbm.g_02064	Syal.g_01343
OG0000338	Prbm.g_02065	Syal.g_01345
OG0000339	Prbm.g_02070	Syal.g_01351
OG0000340	Prbm.g_02079	Syal.g_01434
OG0000341	Prbm.g_02081	Syal.g_01436
OG0000342	Prbm.g_02082	Syal.g_01437
OG0000343	Prbm.g_02083	Syal.g_01441
OG0000344	Prbm.g_02086	Syal.g_01445
OG0000345	Prbm.g_02091	Syal.g_01455
OG0000346	Prbm.g_02095	Syal.g_01460
OG0000347	Prbm.g_02114	Syal.g_01525
OG0000348	Prbm.g_02149	Syal.g_00170
OG0000349	Prbm.g_02167	Syal.g_00148
OG0000350	Prbm.g_02188	Syal.g_00209
OG0000351	Prbm.g_02212	Syal.g_01175
OG0000352	Prbm.g_02213	Syal.g_01176
OG0000353	Prbm.g_02232	Syal.g_00095
OG0000354	Prbm.g_01220	Syal.g_00116
OG0000355	Prbm.g_00001	Syal.g_00098
OG0000356	Prbm.g_00002	Syal.g_00099
OG0000357	Prbm.g_00003	Syal.g_00100
OG0000358	Prbm.g_00007	Syal.g_00104
OG0000359	Prbm.g_00008	Syal.g_00106
OG0000360	Prbm.g_00009	Syal.g_00107
OG0000361	Prbm.g_00010	Syal.g_00108
OG0000362	Prbm.g_00012	Syal.g_00110
OG0000363	Prbm.g_00014	Syal.g_00112
OG0000364	Prbm.g_00015	Syal.g_00113
OG0000365	Prbm.g_00020	Syal.g_00122
OG0000366	Prbm.g_00021	Syal.g_00123
OG0000367	Prbm.g_00022	Syal.g_00124
OG0000368	Prbm.g_00024	Syal.g_00126
OG0000369	Prbm.g_00025	Syal.g_00127
OG0000370	Prbm.g_00026	Syal.g_00128
OG0000371	Prbm.g_00032	Syal.g_00135
OG0000372	Prbm.g_00033	Syal.g_00141
OG0000373	Prbm.g_00034	Syal.g_00142
OG0000374	Prbm.g_00035	Syal.g_00143
OG0000375	Prbm.g_00049	Syal.g_00144
OG0000376	Prbm.g_00051	Syal.g_00146
OG0000377	Prbm.g_00054	Syal.g_01061
OG0000378	Prbm.g_00056	Syal.g_01027
OG0000379	Prbm.g_00059	Syal.g_02681, Syal.g_01024
OG0000380	Prbm.g_00123	Syal.g_00749
OG0000381	Prbm.g_00127	Syal.g_00752
OG0000382	Prbm.g_00138	Syal.g_00770
OG0000383	Prbm.g_00140	Syal.g_00775
OG0000384	Prbm.g_00141	Syal.g_00776
OG0000385	Prbm.g_00142	Syal.g_00777
OG0000386	Prbm.g_00143	Syal.g_00778
OG0000387	Prbm.g_00156	Syal.g_00811
OG0000388	Prbm.g_00160	Syal.g_00815
OG0000389	Prbm.g_00163	Syal.g_00819
OG0000390	Prbm.g_00172	Syal.g_00835
OG0000391	Prbm.g_00176	Syal.g_00840
OG0000392	Prbm.g_00179	Syal.g_00846
OG0000393	Prbm.g_00182	Syal.g_00849
OG0000394	Prbm.g_00183	Syal.g_00850
OG0000395	Prbm.g_00184	Syal.g_00851
OG0000396	Prbm.g_00187	Syal.g_00854
OG0000397	Prbm.g_00189	Syal.g_00857
OG0000398	Prbm.g_00192	Syal.g_00862
OG0000399	Prbm.g_00193	Syal.g_00863
OG0000400	Prbm.g_00194	Syal.g_00864
OG0000401	Prbm.g_00195	Syal.g_00865
OG0000402	Prbm.g_01096	Syal.g_00867
OG0000403	Prbm.g_00196	Syal.g_00868
OG0000404	Prbm.g_00197	Syal.g_00870
OG0000405	Prbm.g_00202	Syal.g_00883
OG0000406	Prbm.g_00206	Syal.g_00888
OG0000407	Prbm.g_00207	Syal.g_00889
OG0000408	Prbm.g_00209	Syal.g_00891
OG0000409	Prbm.g_00211	Syal.g_00893
OG0000410	Prbm.g_00212	Syal.g_00894
OG0000411	Prbm.g_00213	Syal.g_00895
OG0000412	Prbm.g_00214	Syal.g_00896
OG0000413	Prbm.g_00215	Syal.g_00898
OG0000414	Prbm.g_00216	Syal.g_00899
OG0000415	Prbm.g_00217	Syal.g_00900
OG0000416	Prbm.g_00218	Syal.g_00901
OG0000417	Prbm.g_00219	Syal.g_00902
OG0000418	Prbm.g_00224	Syal.g_00907
OG0000419	Prbm.g_00226	Syal.g_00909
OG0000420	Prbm.g_00227	Syal.g_00911
OG0000421	Prbm.g_00232	Syal.g_00916
OG0000422	Prbm.g_00233	Syal.g_00917
OG0000423	Prbm.g_00234	Syal.g_00918
OG0000424	Prbm.g_00235	Syal.g_00919
OG0000425	Prbm.g_00236	Syal.g_00920
OG0000426	Prbm.g_00237	Syal.g_00921
OG0000427	Prbm.g_00238	Syal.g_00922
OG0000428	Prbm.g_00240	Syal.g_00925
OG0000429	Prbm.g_00241	Syal.g_00929
OG0000430	Prbm.g_00242	Syal.g_00931
OG0000431	Prbm.g_00244	Syal.g_00934
OG0000432	Prbm.g_00248	Syal.g_00940
OG0000433	Prbm.g_00249	Syal.g_00943
OG0000434	Prbm.g_00250	Syal.g_00944
OG0000435	Prbm.g_00251	Syal.g_00946
OG0000436	Prbm.g_00256	Syal.g_00953
OG0000437	Prbm.g_00257	Syal.g_00954
OG0000438	Prbm.g_00258	Syal.g_00955
OG0000439	Prbm.g_00260	Syal.g_00957
OG0000440	Prbm.g_00261	Syal.g_00958
OG0000441	Prbm.g_00263	Syal.g_00962
OG0000442	Prbm.g_00264	Syal.g_00964
OG0000443	Prbm.g_00265	Syal.g_00966
OG0000444	Prbm.g_00270	Syal.g_00978
OG0000445	Prbm.g_00271	Syal.g_00979
OG0000446	Prbm.g_00272	Syal.g_00981
OG0000447	Prbm.g_00273	Syal.g_00989
OG0000448	Prbm.g_00274	Syal.g_00990
OG0000449	Prbm.g_00275	Syal.g_00991
OG0000450	Prbm.g_00276	Syal.g_00997
OG0000451	Prbm.g_00277	Syal.g_00998
OG0000452	Prbm.g_00280	Syal.g_01002
OG0000453	Prbm.g_00281	Syal.g_01003
OG0000454	Prbm.g_00282	Syal.g_01004
OG0000455	Prbm.g_00283	Syal.g_01005
OG0000456	Prbm.g_00284	Syal.g_01006
OG0000457	Prbm.g_00285	Syal.g_01008
OG0000458	Prbm.g_00286	Syal.g_01009
OG0000459	Prbm.g_00287	Syal.g_01010
OG0000460	Prbm.g_00295	Syal.g_00686
OG0000461	Prbm.g_00303	Syal.g_01199
OG0000462	Prbm.g_00305	Syal.g_01202
OG0000463	Prbm.g_00306	Syal.g_01203
OG0000464	Prbm.g_00307	Syal.g_01204
OG0000465	Prbm.g_00308	Syal.g_01205
OG0000466	Prbm.g_00309	Syal.g_01210
OG0000467	Prbm.g_00310	Syal.g_01212
OG0000468	Prbm.g_00312	Syal.g_01225
OG0000469	Prbm.g_00320	Syal.g_01240
OG0000470	Prbm.g_00322	Syal.g_01242
OG0000471	Prbm.g_00323	Syal.g_01243
OG0000472	Prbm.g_00324	Syal.g_01245
OG0000473	Prbm.g_00326	Syal.g_01247
OG0000474	Prbm.g_00327	Syal.g_01248
OG0000475	Prbm.g_00328	Syal.g_01249
OG0000476	Prbm.g_00330	Syal.g_01251
OG0000477	Prbm.g_00332	Syal.g_01257
OG0000478	Prbm.g_00333	Syal.g_01258
OG0000479	Prbm.g_00334	Syal.g_01259
OG0000480	Prbm.g_00339	Syal.g_01266
OG0000481	Prbm.g_00341	Syal.g_01268
OG0000482	Prbm.g_00342	Syal.g_01269
OG0000483	Prbm.g_00345	Syal.g_01273
OG0000484	Prbm.g_00346	Syal.g_01274
OG0000485	Prbm.g_00347	Syal.g_01275
OG0000486	Prbm.g_00348	Syal.g_01276
OG0000487	Prbm.g_00351	Syal.g_01282
OG0000488	Prbm.g_00354	Syal.g_01286
OG0000489	Prbm.g_00359	Syal.g_01298
OG0000490	Prbm.g_00364	Syal.g_01307
OG0000491	Prbm.g_00365	Syal.g_01308
OG0000492	Prbm.g_00367	Syal.g_01310
OG0000493	Prbm.g_00368	Syal.g_01311
OG0000494	Prbm.g_00369	Syal.g_01312
OG0000495	Prbm.g_00370	Syal.g_01313
OG0000496	Prbm.g_00371	Syal.g_01314
OG0000497	Prbm.g_00372	Syal.g_01315
OG0000498	Prbm.g_00373	Syal.g_01316
OG0000499	Prbm.g_00374	Syal.g_01317
OG0000500	Prbm.g_00375	Syal.g_01318
OG0000501	Prbm.g_00376	Syal.g_01321
OG0000502	Prbm.g_00379	Syal.g_01328
OG0000503	Prbm.g_00400	Syal.g_00347
OG0000504	Prbm.g_00402	Syal.g_00349
OG0000505	Prbm.g_00403	Syal.g_00350
OG0000506	Prbm.g_00404	Syal.g_00352
OG0000507	Prbm.g_00407	Syal.g_00358
OG0000508	Prbm.g_00410	Syal.g_00362
OG0000509	Prbm.g_00412	Syal.g_00364
OG0000510	Prbm.g_00413	Syal.g_00365
OG0000511	Prbm.g_00414	Syal.g_00366
OG0000512	Prbm.g_00416	Syal.g_00368
OG0000513	Prbm.g_00426	Syal.g_00551
OG0000514	Prbm.g_00440	Syal.g_00539
OG0000515	Prbm.g_00441	Syal.g_00538
OG0000516	Prbm.g_00442	Syal.g_00534
OG0000517	Prbm.g_00445	Syal.g_00526
OG0000518	Prbm.g_00456	Syal.g_00514
OG0000519	Prbm.g_00457	Syal.g_00513
OG0000520	Prbm.g_00458	Syal.g_00512
OG0000521	Prbm.g_00480	Syal.g_00502
OG0000522	Prbm.g_00482	Syal.g_00500
OG0000523	Prbm.g_00483	Syal.g_00499
OG0000524	Prbm.g_00490	Syal.g_00491
OG0000525	Prbm.g_00494	Syal.g_00473
OG0000526	Prbm.g_00495	Syal.g_00471
OG0000527	Prbm.g_00498	Syal.g_00465
OG0000528	Prbm.g_00504	Syal.g_02893
OG0000529	Prbm.g_00507	Syal.g_02898
OG0000530	Prbm.g_00510	Syal.g_02901
OG0000531	Prbm.g_00511	Syal.g_02902
OG0000532	Prbm.g_00512	Syal.g_02905
OG0000533	Prbm.g_00513	Syal.g_02907
OG0000534	Prbm.g_00514	Syal.g_02908
OG0000535	Prbm.g_00515	Syal.g_02909
OG0000536	Prbm.g_00516	Syal.g_02910
OG0000537	Prbm.g_00517	Syal.g_02911
OG0000538	Prbm.g_00534	Syal.g_02923
OG0000539	Prbm.g_00535	Syal.g_02924
OG0000540	Prbm.g_00536	Syal.g_02925
OG0000541	Prbm.g_00537	Syal.g_02926
OG0000542	Prbm.g_00539	Syal.g_02929
OG0000543	Prbm.g_00541	Syal.g_02931
OG0000544	Prbm.g_00542	Syal.g_02932
OG0000545	Prbm.g_00544	Syal.g_02934
OG0000546	Prbm.g_00547	Syal.g_02936
OG0000547	Prbm.g_00549	Syal.g_02938
OG0000548	Prbm.g_00550	Syal.g_02939
OG0000549	Prbm.g_00553	Syal.g_02945
OG0000550	Prbm.g_00557	Syal.g_02949
OG0000551	Prbm.g_00560	Syal.g_02953
OG0000552	Prbm.g_00561	Syal.g_02954
