Orthogroup	Prbm	Syat
OG0000295	Prbm.g_01534	Syat.g_00297
OG0000296	Prbm.g_01532	Syat.g_00295
OG0000297	Prbm.g_01524	Syat.g_00226
OG0000298	Prbm.g_01523	Syat.g_00225
OG0000299	Prbm.g_01503	Syat.g_00910
OG0000300	Prbm.g_01500	Syat.g_00904
OG0000301	Prbm.g_01499	Syat.g_00903
OG0000302	Prbm.g_01497	Syat.g_00901
OG0000303	Prbm.g_01492	Syat.g_00892
OG0000304	Prbm.g_01489	Syat.g_00885
OG0000305	Prbm.g_01812	Syat.g_00809
OG0000306	Prbm.g_00875	Syat.g_01704
OG0000307	Prbm.g_01669	Syat.g_01304
OG0000308	Prbm.g_01670	Syat.g_01306
OG0000309	Prbm.g_01674	Syat.g_01417
OG0000310	Prbm.g_01694	Syat.g_01246
OG0000311	Prbm.g_01696	Syat.g_01242
OG0000312	Prbm.g_01699	Syat.g_01237
OG0000313	Prbm.g_01714	Syat.g_01183
OG0000314	Prbm.g_01735	Syat.g_01341
OG0000315	Prbm.g_01745	Syat.g_01351
OG0000316	Prbm.g_01770	Syat.g_03082
OG0000317	Prbm.g_01839	Syat.g_03120
OG0000318	Prbm.g_01842	Syat.g_03125
OG0000319	Prbm.g_01853	Syat.g_03055
OG0000320	Prbm.g_01855	Syat.g_03053
OG0000321	Prbm.g_01856	Syat.g_03052
OG0000322	Prbm.g_01857	Syat.g_03051
OG0000323	Prbm.g_01866	Syat.g_03038
OG0000324	Prbm.g_01893	Syat.g_02998
OG0000325	Prbm.g_01950	Syat.g_01861
OG0000326	Prbm.g_01956	Syat.g_01854
OG0000327	Prbm.g_01991	Syat.g_01827
OG0000328	Prbm.g_01992	Syat.g_01826
OG0000329	Prbm.g_02009	Syat.g_01808
OG0000330	Prbm.g_02010	Syat.g_01807
OG0000331	Prbm.g_02011	Syat.g_01806
OG0000332	Prbm.g_02025	Syat.g_01790
OG0000333	Prbm.g_02027	Syat.g_01787
OG0000334	Prbm.g_02036	Syat.g_01657
OG0000335	Prbm.g_02041	Syat.g_01652
OG0000336	Prbm.g_02045	Syat.g_01648
OG0000337	Prbm.g_02064	Syat.g_02144
OG0000338	Prbm.g_02065	Syat.g_02146
OG0000339	Prbm.g_02070	Syat.g_02155, Syat.g_01055
OG0000340	Prbm.g_02079	Syat.g_02165
OG0000341	Prbm.g_02081	Syat.g_02167
OG0000342	Prbm.g_02082	Syat.g_02168
OG0000343	Prbm.g_02083	Syat.g_02185
OG0000344	Prbm.g_02086	Syat.g_02189
OG0000345	Prbm.g_02091	Syat.g_02202
OG0000346	Prbm.g_02095	Syat.g_02207
OG0000347	Prbm.g_02114	Syat.g_02234
OG0000348	Prbm.g_02149	Syat.g_02264
OG0000349	Prbm.g_02167	Syat.g_02291
OG0000350	Prbm.g_02188	Syat.g_01847
OG0000351	Prbm.g_02212	Syat.g_02411
OG0000352	Prbm.g_02213	Syat.g_02410
OG0000353	Prbm.g_02232	Syat.g_00955, Syat.g_02377
OG0000354	Prbm.g_01220	Syat.g_02325
OG0000355	Prbm.g_00001	Syat.g_02375
OG0000356	Prbm.g_00002	Syat.g_02374
OG0000357	Prbm.g_00003	Syat.g_02373
OG0000358	Prbm.g_00007	Syat.g_02336
OG0000359	Prbm.g_00008	Syat.g_02334
OG0000360	Prbm.g_00009	Syat.g_02333
OG0000361	Prbm.g_00010	Syat.g_02332
OG0000362	Prbm.g_00012	Syat.g_02330
OG0000363	Prbm.g_00014	Syat.g_02328
OG0000364	Prbm.g_00015	Syat.g_03122
OG0000365	Prbm.g_00020	Syat.g_02318
OG0000366	Prbm.g_00021	Syat.g_02317
OG0000367	Prbm.g_00022	Syat.g_02316
OG0000368	Prbm.g_00024	Syat.g_02314
OG0000369	Prbm.g_00025	Syat.g_02313
OG0000370	Prbm.g_00026	Syat.g_02312
OG0000371	Prbm.g_00032	Syat.g_02304
OG0000372	Prbm.g_00033	Syat.g_02298
OG0000373	Prbm.g_00034	Syat.g_02297
OG0000374	Prbm.g_00035	Syat.g_02296
OG0000375	Prbm.g_00049	Syat.g_02295
OG0000376	Prbm.g_00051	Syat.g_02293
OG0000377	Prbm.g_00054	Syat.g_02695
OG0000378	Prbm.g_00056	Syat.g_02715
OG0000379	Prbm.g_00059	Syat.g_02720
OG0000380	Prbm.g_00123	Syat.g_01468
OG0000381	Prbm.g_00127	Syat.g_01470
OG0000382	Prbm.g_00138	Syat.g_01488
OG0000383	Prbm.g_00140	Syat.g_01521
OG0000384	Prbm.g_00141	Syat.g_01522
OG0000385	Prbm.g_00142	Syat.g_01523
OG0000386	Prbm.g_00143	Syat.g_01524
OG0000387	Prbm.g_00156	Syat.g_01561
OG0000388	Prbm.g_00160	Syat.g_01565
OG0000389	Prbm.g_00163	Syat.g_01569
OG0000390	Prbm.g_00172	Syat.g_02945
OG0000391	Prbm.g_00176	Syat.g_02940
OG0000392	Prbm.g_00179	Syat.g_02934
OG0000393	Prbm.g_00182	Syat.g_02931
OG0000394	Prbm.g_00183	Syat.g_02930
OG0000395	Prbm.g_00184	Syat.g_02929
OG0000396	Prbm.g_00187	Syat.g_02927
OG0000397	Prbm.g_00189	Syat.g_02925
OG0000398	Prbm.g_00192	Syat.g_02920
OG0000399	Prbm.g_00193	Syat.g_02919
OG0000400	Prbm.g_00194	Syat.g_02918
OG0000401	Prbm.g_00195	Syat.g_02917
OG0000402	Prbm.g_01096	Syat.g_02915
OG0000403	Prbm.g_00196	Syat.g_02914
OG0000404	Prbm.g_00197	Syat.g_02913
OG0000405	Prbm.g_00202	Syat.g_02900
OG0000406	Prbm.g_00206	Syat.g_02896
OG0000407	Prbm.g_00207	Syat.g_02895
OG0000408	Prbm.g_00209	Syat.g_02893
OG0000409	Prbm.g_00211	Syat.g_02891
OG0000410	Prbm.g_00212	Syat.g_02890
OG0000411	Prbm.g_00213	Syat.g_02889
OG0000412	Prbm.g_00214	Syat.g_02888
OG0000413	Prbm.g_00215	Syat.g_02886
OG0000414	Prbm.g_00216	Syat.g_02885
OG0000415	Prbm.g_00217	Syat.g_02884
OG0000416	Prbm.g_00218	Syat.g_02883
OG0000417	Prbm.g_00219	Syat.g_02868
OG0000418	Prbm.g_00224	Syat.g_02863
OG0000419	Prbm.g_00226	Syat.g_02861
OG0000420	Prbm.g_00227	Syat.g_02859
OG0000421	Prbm.g_00232	Syat.g_02855
OG0000422	Prbm.g_00233	Syat.g_02854
OG0000423	Prbm.g_00234	Syat.g_02853
OG0000424	Prbm.g_00235	Syat.g_02852
OG0000425	Prbm.g_00236	Syat.g_02851
OG0000426	Prbm.g_00237	Syat.g_02850
OG0000427	Prbm.g_00238	Syat.g_02849
OG0000428	Prbm.g_00240	Syat.g_02846
OG0000429	Prbm.g_00241	Syat.g_02843
OG0000430	Prbm.g_00242	Syat.g_02841
OG0000431	Prbm.g_00244	Syat.g_02838
OG0000432	Prbm.g_00248	Syat.g_02832
OG0000433	Prbm.g_00249	Syat.g_02829
OG0000434	Prbm.g_00250	Syat.g_02828
OG0000435	Prbm.g_00251	Syat.g_02824
OG0000436	Prbm.g_00256	Syat.g_02817
OG0000437	Prbm.g_00257	Syat.g_02558
OG0000438	Prbm.g_00258	Syat.g_02813
OG0000439	Prbm.g_00260	Syat.g_02811
OG0000440	Prbm.g_00261	Syat.g_02810
OG0000441	Prbm.g_00263	Syat.g_02807
OG0000442	Prbm.g_00264	Syat.g_02797
OG0000443	Prbm.g_00265	Syat.g_02787
OG0000444	Prbm.g_00270	Syat.g_02756
OG0000445	Prbm.g_00271	Syat.g_02755
OG0000446	Prbm.g_00272	Syat.g_02753
OG0000447	Prbm.g_00273	Syat.g_02749
OG0000448	Prbm.g_00274	Syat.g_02748
OG0000449	Prbm.g_00275	Syat.g_02747
OG0000450	Prbm.g_00276	Syat.g_02738
OG0000451	Prbm.g_00277	Syat.g_02737
OG0000452	Prbm.g_00280	Syat.g_02732
OG0000453	Prbm.g_00281	Syat.g_02731
OG0000454	Prbm.g_00282	Syat.g_02730
OG0000455	Prbm.g_00283	Syat.g_02729
OG0000456	Prbm.g_00284	Syat.g_02728
OG0000457	Prbm.g_00285	Syat.g_02726
OG0000458	Prbm.g_00286	Syat.g_02725
OG0000459	Prbm.g_00287	Syat.g_02724
OG0000460	Prbm.g_00295	Syat.g_01450
OG0000461	Prbm.g_00303	Syat.g_01866
OG0000462	Prbm.g_00305	Syat.g_01868
OG0000463	Prbm.g_00306	Syat.g_01869
OG0000464	Prbm.g_00307	Syat.g_01870
OG0000465	Prbm.g_00308	Syat.g_01872
OG0000466	Prbm.g_00309	Syat.g_01877
OG0000467	Prbm.g_00310	Syat.g_01878
OG0000468	Prbm.g_00312	Syat.g_01884
OG0000469	Prbm.g_00320	Syat.g_02000
OG0000470	Prbm.g_00322	Syat.g_02038
OG0000471	Prbm.g_00323	Syat.g_02039
OG0000472	Prbm.g_00324	Syat.g_02041
OG0000473	Prbm.g_00326	Syat.g_02043
OG0000474	Prbm.g_00327	Syat.g_02044
OG0000475	Prbm.g_00328	Syat.g_02045
OG0000476	Prbm.g_00330	Syat.g_02047
OG0000477	Prbm.g_00332	Syat.g_02053
OG0000478	Prbm.g_00333	Syat.g_02054
OG0000479	Prbm.g_00334	Syat.g_02056
OG0000480	Prbm.g_00339	Syat.g_02063
OG0000481	Prbm.g_00341	Syat.g_02066
OG0000482	Prbm.g_00342	Syat.g_02067
OG0000483	Prbm.g_00345	Syat.g_02071
OG0000484	Prbm.g_00346	Syat.g_02072
OG0000485	Prbm.g_00347	Syat.g_02073
OG0000486	Prbm.g_00348	Syat.g_02074
OG0000487	Prbm.g_00351	Syat.g_02080
OG0000488	Prbm.g_00354	Syat.g_02086
OG0000489	Prbm.g_00359	Syat.g_02097
OG0000490	Prbm.g_00364	Syat.g_02106
OG0000491	Prbm.g_00365	Syat.g_02107
OG0000492	Prbm.g_00367	Syat.g_02110
OG0000493	Prbm.g_00368	Syat.g_02111
OG0000494	Prbm.g_00369	Syat.g_02112
OG0000495	Prbm.g_00370	Syat.g_02120
OG0000496	Prbm.g_00371	Syat.g_02121
OG0000497	Prbm.g_00372	Syat.g_02122
OG0000498	Prbm.g_00373	Syat.g_02123
OG0000499	Prbm.g_00374	Syat.g_02124
OG0000500	Prbm.g_00375	Syat.g_02125
OG0000501	Prbm.g_00376	Syat.g_02128
OG0000502	Prbm.g_00379	Syat.g_02135
OG0000503	Prbm.g_00400	Syat.g_01614
OG0000504	Prbm.g_00402	Syat.g_01612
OG0000505	Prbm.g_00403	Syat.g_01611
OG0000506	Prbm.g_00404	Syat.g_01609
OG0000507	Prbm.g_00407	Syat.g_01603
OG0000508	Prbm.g_00410	Syat.g_01596
OG0000509	Prbm.g_00412	Syat.g_01591
OG0000510	Prbm.g_00413	Syat.g_01590
OG0000511	Prbm.g_00414	Syat.g_01589
OG0000512	Prbm.g_00416	Syat.g_01587
OG0000513	Prbm.g_00426	Syat.g_02957
OG0000514	Prbm.g_00440	Syat.g_02962
OG0000515	Prbm.g_00441	Syat.g_02963
OG0000516	Prbm.g_00442	Syat.g_02965
OG0000517	Prbm.g_00445	Syat.g_02969
OG0000518	Prbm.g_00456	Syat.g_01286
OG0000519	Prbm.g_00457	Syat.g_01285
OG0000520	Prbm.g_00458	Syat.g_01284
OG0000521	Prbm.g_00480	Syat.g_01319
OG0000522	Prbm.g_00482	Syat.g_01317
OG0000523	Prbm.g_00483	Syat.g_01316
OG0000524	Prbm.g_00490	Syat.g_01409
OG0000525	Prbm.g_00494	Syat.g_01382
OG0000526	Prbm.g_00495	Syat.g_01380
OG0000527	Prbm.g_00498	Syat.g_01373
OG0000528	Prbm.g_00504	Syat.g_03167
OG0000529	Prbm.g_00507	Syat.g_03171
OG0000530	Prbm.g_00510	Syat.g_03174
OG0000531	Prbm.g_00511	Syat.g_03175
OG0000532	Prbm.g_00512	Syat.g_03178
OG0000533	Prbm.g_00513	Syat.g_03180
OG0000534	Prbm.g_00514	Syat.g_03181
OG0000535	Prbm.g_00515	Syat.g_03182
OG0000536	Prbm.g_00516	Syat.g_03183
OG0000537	Prbm.g_00517	Syat.g_03185
OG0000538	Prbm.g_00534	Syat.g_03204
OG0000539	Prbm.g_00535	Syat.g_03206
OG0000540	Prbm.g_00536	Syat.g_03207
OG0000541	Prbm.g_00537	Syat.g_03208
OG0000542	Prbm.g_00539	Syat.g_03213
OG0000543	Prbm.g_00541	Syat.g_03215
OG0000544	Prbm.g_00542	Syat.g_03216
OG0000545	Prbm.g_00544	Syat.g_03218
OG0000546	Prbm.g_00547	Syat.g_03220
OG0000547	Prbm.g_00549	Syat.g_03222
OG0000548	Prbm.g_00550	Syat.g_03223
OG0000549	Prbm.g_00553	Syat.g_01795
OG0000550	Prbm.g_00557	Syat.g_01107
OG0000551	Prbm.g_00560	Syat.g_01103
OG0000552	Prbm.g_00561	Syat.g_01102
OG0000553	Prbm.g_00562	Syat.g_01098
OG0000554	Prbm.g_00567	Syat.g_03271
OG0000555	Prbm.g_00575	Syat.g_00093
OG0000556	Prbm.g_00577	Syat.g_00088
OG0000557	Prbm.g_00578	Syat.g_00083
OG0000558	Prbm.g_00580	Syat.g_00081
