Orthogroup	Prbm	Syai
OG0000068	Prbm.g_01660	Syai.g_00628
OG0000070	Prbm.g_00460	Syai.g_02196
OG0000071	Prbm.g_00468, Prbm.g_01611	Syai.g_02179
OG0000072	Prbm.g_00230	Syai.g_02636
OG0000073	Prbm.g_00533	Syai.g_00659
OG0000075	Prbm.g_02069	Syai.g_00161
OG0000076	Prbm.g_02094	Syai.g_00111
OG0000077	Prbm.g_00135	Syai.g_02486
OG0000078	Prbm.g_00300	Syai.g_00543
OG0000079	Prbm.g_00311	Syai.g_00300
OG0000081	Prbm.g_00564	Syai.g_00553, Syai.g_02292
OG0000082	Prbm.g_01900	Syai.g_00781
OG0000084	Prbm.g_01706	Syai.g_01196, Syai.g_00958
OG0000085	Prbm.g_01834	Syai.g_02365
OG0000086	Prbm.g_00145	Syai.g_02507
OG0000087	Prbm.g_00198	Syai.g_02592
OG0000088	Prbm.g_00225	Syai.g_02630
OG0000089	Prbm.g_00423	Syai.g_00517
OG0000090	Prbm.g_00566	Syai.g_00707
OG0000091	Prbm.g_00673	Syai.g_01112
OG0000092	Prbm.g_00934	Syai.g_01358
OG0000093	Prbm.g_00799	Syai.g_01306
OG0000094	Prbm.g_00888	Syai.g_01424
OG0000095	Prbm.g_01064	Syai.g_02007
OG0000097	Prbm.g_01502	Syai.g_01787
OG0000098	Prbm.g_01630	Syai.g_01718
OG0000099	Prbm.g_00394	Syai.g_00199
OG0000100	Prbm.g_01787	Syai.g_01372
OG0000101	Prbm.g_02033	Syai.g_00404
OG0000102	Prbm.g_02099	Syai.g_00106
OG0000103	Prbm.g_02218	Syai.g_02912
OG0000104	Prbm.g_02229	Syai.g_02929
OG0000105	Prbm.g_00331	Syai.g_00267
OG0000106	Prbm.g_01172, Prbm.g_01237	Syai.g_01601
OG0000107	Prbm.g_01949	Syai.g_00319
OG0000108	Prbm.g_00506	Syai.g_00638
OG0000109	Prbm.g_00519	Syai.g_00653
OG0000110	Prbm.g_00607	Syai.g_00878, Syai.g_00766
OG0000111	Prbm.g_00736	Syai.g_00884, Syai.g_01998
OG0000112	Prbm.g_00980	Syai.g_01512
OG0000113	Prbm.g_00838, Prbm.g_01191	Syai.g_01367
OG0000114	Prbm.g_00929	Syai.g_01261
OG0000115	Prbm.g_01803	Syai.g_00932
OG0000116	Prbm.g_01560	Syai.g_02156
OG0000117	Prbm.g_01522	Syai.g_01756
OG0000118	Prbm.g_01622	Syai.g_00818
OG0000119	Prbm.g_01653	Syai.g_02127
OG0000120	Prbm.g_00707	Syai.g_00198
OG0000121	Prbm.g_01712	Syai.g_00951
OG0000122	Prbm.g_01751	Syai.g_01143
OG0000123	Prbm.g_02040	Syai.g_00411
OG0000124	Prbm.g_02111	Syai.g_00089
OG0000125	Prbm.g_02176	Syai.g_02782
OG0000126	Prbm.g_02228	Syai.g_02927
OG0000127	Prbm.g_01460	Syai.g_01872, Syai.g_01906, Syai.g_01855
OG0000128	Prbm.g_00011	Syai.g_00012
OG0000129	Prbm.g_00053	Syai.g_02771
OG0000130	Prbm.g_00126	Syai.g_02474
OG0000131	Prbm.g_00204	Syai.g_02608
OG0000132	Prbm.g_00223	Syai.g_02628
OG0000133	Prbm.g_00377	Syai.g_01507
OG0000134	Prbm.g_00425	Syai.g_00520
OG0000135	Prbm.g_01389	Syai.g_02826
OG0000136	Prbm.g_00451	Syai.g_02217
OG0000137	Prbm.g_00500	Syai.g_00865
OG0000138	Prbm.g_00520	Syai.g_00654
OG0000139	Prbm.g_00570	Syai.g_00714
OG0000140	Prbm.g_00571	Syai.g_00716
OG0000141	Prbm.g_00638	Syai.g_01041
OG0000142	Prbm.g_00666	Syai.g_01104
OG0000143	Prbm.g_00670	Syai.g_01108
OG0000144	Prbm.g_00683	Syai.g_01608
OG0000145	Prbm.g_01094	Syai.g_00660
OG0000146	Prbm.g_00979	Syai.g_01513
OG0000147	Prbm.g_00978	Syai.g_01514
OG0000148	Prbm.g_00832	Syai.g_01361
OG0000149	Prbm.g_00862	Syai.g_02059
OG0000150	Prbm.g_00870	Syai.g_00717
OG0000151	Prbm.g_00940	Syai.g_01280
OG0000152	Prbm.g_00988	Syai.g_01503
OG0000153	Prbm.g_01006	Syai.g_01461
OG0000154	Prbm.g_01035	Syai.g_01434
OG0000155	Prbm.g_01527	Syai.g_02109
OG0000156	Prbm.g_01600	Syai.g_02162
OG0000157	Prbm.g_01601	Syai.g_02163
OG0000158	Prbm.g_02077	Syai.g_00135
OG0000160	Prbm.g_01711	Syai.g_00952
OG0000161	Prbm.g_01717	Syai.g_00946
OG0000162	Prbm.g_01723	Syai.g_00939
OG0000163	Prbm.g_01759	Syai.g_02300
OG0000164	Prbm.g_01863	Syai.g_02411
OG0000165	Prbm.g_01871	Syai.g_02244
OG0000166	Prbm.g_01996	Syai.g_00364
OG0000167	Prbm.g_02067	Syai.g_00164
OG0000168	Prbm.g_02078	Syai.g_00134
OG0000169	Prbm.g_02088	Syai.g_00123
OG0000170	Prbm.g_02090	Syai.g_00116
OG0000171	Prbm.g_02110	Syai.g_00090
OG0000172	Prbm.g_02146	Syai.g_00083
OG0000173	Prbm.g_02161	Syai.g_00064
OG0000174	Prbm.g_02192	Syai.g_02828
OG0000175	Prbm.g_02209	Syai.g_02901
OG0000176	Prbm.g_00004	Syai.g_00004
OG0000177	Prbm.g_00005	Syai.g_00005
OG0000178	Prbm.g_00006	Syai.g_00006
OG0000179	Prbm.g_00016	Syai.g_00023
OG0000180	Prbm.g_00017	Syai.g_00024
OG0000181	Prbm.g_00018	Syai.g_00025
OG0000182	Prbm.g_00019	Syai.g_00026
OG0000183	Prbm.g_00023	Syai.g_00030
OG0000184	Prbm.g_00055	Syai.g_02756
OG0000185	Prbm.g_00058	Syai.g_02734
OG0000186	Prbm.g_00121	Syai.g_02469
OG0000187	Prbm.g_00122	Syai.g_02471
OG0000188	Prbm.g_00139	Syai.g_00696, Syai.g_02494
OG0000189	Prbm.g_00153	Syai.g_02530
OG0000190	Prbm.g_00154	Syai.g_02532
OG0000191	Prbm.g_00177	Syai.g_02562
OG0000192	Prbm.g_00181	Syai.g_02569
OG0000193	Prbm.g_00205	Syai.g_02609
OG0000194	Prbm.g_00208	Syai.g_02612
OG0000195	Prbm.g_00210	Syai.g_02614
OG0000196	Prbm.g_00220	Syai.g_02625
OG0000197	Prbm.g_00221	Syai.g_02626
OG0000198	Prbm.g_00222	Syai.g_02627
OG0000199	Prbm.g_00229	Syai.g_02635
OG0000200	Prbm.g_00243	Syai.g_02651
OG0000201	Prbm.g_00252	Syai.g_02667
OG0000202	Prbm.g_00253	Syai.g_02668
OG0000203	Prbm.g_00254	Syai.g_02669
OG0000204	Prbm.g_00255	Syai.g_02670
OG0000205	Prbm.g_00262	Syai.g_02677
OG0000206	Prbm.g_00266	Syai.g_02684
OG0000207	Prbm.g_00268	Syai.g_02686
OG0000208	Prbm.g_00269	Syai.g_02687
OG0000209	Prbm.g_00278	Syai.g_02699
OG0000210	Prbm.g_00279	Syai.g_02700
OG0000211	Prbm.g_00293	Syai.g_00533
OG0000212	Prbm.g_00301	Syai.g_00544
OG0000213	Prbm.g_00317	Syai.g_00292
OG0000214	Prbm.g_00325	Syai.g_00276
OG0000215	Prbm.g_00349	Syai.g_00245
OG0000216	Prbm.g_00350	Syai.g_00241
OG0000217	Prbm.g_00353	Syai.g_00237
OG0000218	Prbm.g_00355	Syai.g_00235
OG0000219	Prbm.g_00356	Syai.g_00234
OG0000220	Prbm.g_00357	Syai.g_00233
OG0000221	Prbm.g_00358	Syai.g_00227
OG0000222	Prbm.g_00366	Syai.g_00215
OG0000223	Prbm.g_00378	Syai.g_00194
OG0000224	Prbm.g_00380	Syai.g_00186
OG0000225	Prbm.g_00411	Syai.g_00502
OG0000226	Prbm.g_00415	Syai.g_00506
OG0000227	Prbm.g_00417	Syai.g_00508
OG0000228	Prbm.g_00422	Syai.g_00516
OG0000229	Prbm.g_00446	Syai.g_02228
OG0000230	Prbm.g_00448	Syai.g_02226
OG0000231	Prbm.g_00459	Syai.g_02208
OG0000232	Prbm.g_00484	Syai.g_00846
OG0000233	Prbm.g_00492	Syai.g_00855
OG0000234	Prbm.g_00501	Syai.g_00866
OG0000235	Prbm.g_00505	Syai.g_00637
OG0000236	Prbm.g_00518	Syai.g_00652
OG0000237	Prbm.g_00540	Syai.g_00669
OG0000238	Prbm.g_00546	Syai.g_00674
OG0000239	Prbm.g_00558	Syai.g_00691
OG0000240	Prbm.g_00559	Syai.g_00692
OG0000241	Prbm.g_00563	Syai.g_01085, Syai.g_01089
OG0000242	Prbm.g_00565	Syai.g_00705
OG0000243	Prbm.g_00576	Syai.g_00726
OG0000244	Prbm.g_00579	Syai.g_00731
OG0000245	Prbm.g_00581	Syai.g_00733
OG0000246	Prbm.g_00585	Syai.g_00737
OG0000247	Prbm.g_00595	Syai.g_00748
OG0000248	Prbm.g_00597	Syai.g_00751
OG0000249	Prbm.g_00599	Syai.g_00753
OG0000250	Prbm.g_00604	Syai.g_00762
OG0000251	Prbm.g_00620	Syai.g_00789
OG0000252	Prbm.g_00623	Syai.g_00797
OG0000253	Prbm.g_00625	Syai.g_00798
OG0000254	Prbm.g_00642	Syai.g_01045
OG0000255	Prbm.g_00648	Syai.g_01061
OG0000256	Prbm.g_00658	Syai.g_01077
OG0000257	Prbm.g_00661	Syai.g_01084
OG0000258	Prbm.g_00674	Syai.g_01113
OG0000259	Prbm.g_00691	Syai.g_01229
OG0000260	Prbm.g_00694	Syai.g_01232
OG0000261	Prbm.g_00697	Syai.g_01235
OG0000262	Prbm.g_00702	Syai.g_01240
OG0000263	Prbm.g_00716	Syai.g_01776
OG0000264	Prbm.g_00728	Syai.g_01962
OG0000265	Prbm.g_00742	Syai.g_02245
OG0000266	Prbm.g_00752	Syai.g_01401
OG0000267	Prbm.g_00765	Syai.g_01569
OG0000268	Prbm.g_00766	Syai.g_01568
OG0000269	Prbm.g_00809	Syai.g_01316
OG0000270	Prbm.g_00812	Syai.g_01319
OG0000271	Prbm.g_00820	Syai.g_01327
OG0000272	Prbm.g_00821	Syai.g_01328
OG0000273	Prbm.g_00845	Syai.g_02037
OG0000274	Prbm.g_00846	Syai.g_02038
OG0000275	Prbm.g_00848	Syai.g_02043
OG0000276	Prbm.g_00854	Syai.g_02051
OG0000277	Prbm.g_00855	Syai.g_02052
OG0000278	Prbm.g_00858	Syai.g_02055
OG0000279	Prbm.g_00865	Syai.g_02063
OG0000281	Prbm.g_00871	Syai.g_01719
OG0000282	Prbm.g_00931	Syai.g_01263
OG0000283	Prbm.g_00962	Syai.g_01554
OG0000284	Prbm.g_00967	Syai.g_01548
OG0000285	Prbm.g_00972	Syai.g_01522
OG0000286	Prbm.g_00987	Syai.g_01504
OG0000287	Prbm.g_00102	Syai.g_01469
OG0000288	Prbm.g_01034	Syai.g_01435
OG0000289	Prbm.g_01045	Syai.g_01421
OG0000290	Prbm.g_01061	Syai.g_02010
OG0000291	Prbm.g_01063	Syai.g_02008
OG0000292	Prbm.g_01210	Syai.g_02926
OG0000293	Prbm.g_01559	Syai.g_02155
OG0000294	Prbm.g_01558	Syai.g_02154
OG0000295	Prbm.g_01534	Syai.g_02117
OG0000296	Prbm.g_01532	Syai.g_02115
OG0000297	Prbm.g_01524	Syai.g_01754
OG0000298	Prbm.g_01523	Syai.g_01755
OG0000299	Prbm.g_01503	Syai.g_01783
OG0000300	Prbm.g_01500	Syai.g_01790
OG0000301	Prbm.g_01499	Syai.g_01791
OG0000302	Prbm.g_01497	Syai.g_01793
OG0000303	Prbm.g_01492	Syai.g_01802
OG0000304	Prbm.g_01489	Syai.g_01826
OG0000305	Prbm.g_01812	Syai.g_02005
OG0000306	Prbm.g_00875	Syai.g_02090
OG0000307	Prbm.g_01669	Syai.g_00619
OG0000308	Prbm.g_01670	Syai.g_00617
OG0000309	Prbm.g_01674	Syai.g_00612
OG0000310	Prbm.g_01694	Syai.g_00989
OG0000311	Prbm.g_01696	Syai.g_00985
OG0000312	Prbm.g_01699	Syai.g_00966
OG0000313	Prbm.g_01714	Syai.g_00949
OG0000314	Prbm.g_01735	Syai.g_00908
OG0000315	Prbm.g_01745	Syai.g_00897
OG0000316	Prbm.g_01770	Syai.g_02320, Syai.g_02322
OG0000317	Prbm.g_01839	Syai.g_02373
OG0000318	Prbm.g_01842	Syai.g_02379
OG0000319	Prbm.g_01853	Syai.g_02395
OG0000320	Prbm.g_01855	Syai.g_02397
OG0000321	Prbm.g_01856	Syai.g_02398
OG0000322	Prbm.g_01857	Syai.g_02399
OG0000323	Prbm.g_01866	Syai.g_02413
OG0000324	Prbm.g_01893	Syai.g_02272
OG0000325	Prbm.g_01950	Syai.g_00320
OG0000326	Prbm.g_01956	Syai.g_00327
OG0000327	Prbm.g_01991	Syai.g_00359
OG0000328	Prbm.g_01992	Syai.g_00360
OG0000329	Prbm.g_02009	Syai.g_00378
OG0000330	Prbm.g_02010	Syai.g_00379
OG0000331	Prbm.g_02011	Syai.g_00380
OG0000332	Prbm.g_02025	Syai.g_00395
OG0000333	Prbm.g_02027	Syai.g_00398
OG0000334	Prbm.g_02036	Syai.g_00407
OG0000335	Prbm.g_02041	Syai.g_00412
OG0000336	Prbm.g_02045	Syai.g_00416
OG0000337	Prbm.g_02064	Syai.g_00169
OG0000338	Prbm.g_02065	Syai.g_00166
OG0000339	Prbm.g_02070	Syai.g_00160
OG0000340	Prbm.g_02079	Syai.g_00133
OG0000341	Prbm.g_02081	Syai.g_00131
OG0000342	Prbm.g_02082	Syai.g_00130
OG0000343	Prbm.g_02083	Syai.g_00129
OG0000344	Prbm.g_02086	Syai.g_00125
OG0000345	Prbm.g_02091	Syai.g_00115
OG0000346	Prbm.g_02095	Syai.g_00110
OG0000347	Prbm.g_02114	Syai.g_00087
OG0000348	Prbm.g_02149	Syai.g_00076
OG0000349	Prbm.g_02167	Syai.g_00057
OG0000350	Prbm.g_02188	Syai.g_00334
OG0000351	Prbm.g_02212	Syai.g_02904
OG0000352	Prbm.g_02213	Syai.g_02905
OG0000353	Prbm.g_02232	Syai.g_02932
OG0000354	Prbm.g_01220	Syai.g_00019
OG0000355	Prbm.g_00001	Syai.g_00001
OG0000356	Prbm.g_00002	Syai.g_00002
OG0000357	Prbm.g_00003	Syai.g_00003
OG0000358	Prbm.g_00007	Syai.g_00007
OG0000359	Prbm.g_00008	Syai.g_00009
OG0000360	Prbm.g_00009	Syai.g_00010
OG0000361	Prbm.g_00010	Syai.g_00011
OG0000362	Prbm.g_00012	Syai.g_00013
OG0000363	Prbm.g_00014	Syai.g_00015
OG0000364	Prbm.g_00015	Syai.g_00016
OG0000365	Prbm.g_00020	Syai.g_00027
OG0000366	Prbm.g_00021	Syai.g_00028
OG0000367	Prbm.g_00022	Syai.g_00029
OG0000368	Prbm.g_00024	Syai.g_00031
OG0000369	Prbm.g_00025	Syai.g_00032
OG0000370	Prbm.g_00026	Syai.g_00033
OG0000371	Prbm.g_00032	Syai.g_00041
OG0000372	Prbm.g_00033	Syai.g_00047
OG0000373	Prbm.g_00034	Syai.g_00048
OG0000374	Prbm.g_00035	Syai.g_00049
OG0000375	Prbm.g_00049	Syai.g_00053
OG0000376	Prbm.g_00051	Syai.g_00055
OG0000377	Prbm.g_00054	Syai.g_02769
OG0000378	Prbm.g_00056	Syai.g_02751
OG0000379	Prbm.g_00059	Syai.g_02733
OG0000380	Prbm.g_00123	Syai.g_02472
OG0000381	Prbm.g_00127	Syai.g_02475
OG0000382	Prbm.g_00138	Syai.g_02493
OG0000383	Prbm.g_00140	Syai.g_02498
OG0000384	Prbm.g_00141	Syai.g_02499
OG0000385	Prbm.g_00142	Syai.g_02500
OG0000386	Prbm.g_00143	Syai.g_02501
OG0000387	Prbm.g_00156	Syai.g_02534
OG0000388	Prbm.g_00160	Syai.g_02538
OG0000389	Prbm.g_00163	Syai.g_02542
OG0000390	Prbm.g_00172	Syai.g_02556
OG0000391	Prbm.g_00176	Syai.g_02561
OG0000392	Prbm.g_00179	Syai.g_02568
OG0000393	Prbm.g_00182	Syai.g_02570
OG0000394	Prbm.g_00183	Syai.g_02571
OG0000395	Prbm.g_00184	Syai.g_02572
OG0000396	Prbm.g_00187	Syai.g_02575
OG0000397	Prbm.g_00189	Syai.g_02577
OG0000398	Prbm.g_00192	Syai.g_02582
OG0000399	Prbm.g_00193	Syai.g_02583
OG0000400	Prbm.g_00194	Syai.g_02584
OG0000401	Prbm.g_00195	Syai.g_02585
OG0000402	Prbm.g_01096	Syai.g_02588
OG0000403	Prbm.g_00196	Syai.g_02589
OG0000404	Prbm.g_00197	Syai.g_02590
OG0000405	Prbm.g_00202	Syai.g_02606
OG0000406	Prbm.g_00206	Syai.g_02610
OG0000407	Prbm.g_00207	Syai.g_02611
OG0000408	Prbm.g_00209	Syai.g_02613
OG0000409	Prbm.g_00211	Syai.g_02615
OG0000410	Prbm.g_00212	Syai.g_02616
OG0000411	Prbm.g_00213	Syai.g_02617
OG0000412	Prbm.g_00214	Syai.g_02618
OG0000413	Prbm.g_00215	Syai.g_02620
OG0000414	Prbm.g_00216	Syai.g_02621
OG0000415	Prbm.g_00217	Syai.g_02622
OG0000416	Prbm.g_00218	Syai.g_02623
OG0000417	Prbm.g_00219	Syai.g_02624
OG0000418	Prbm.g_00224	Syai.g_02629
OG0000419	Prbm.g_00226	Syai.g_02631
OG0000420	Prbm.g_00227	Syai.g_02633
OG0000421	Prbm.g_00232	Syai.g_02638
OG0000422	Prbm.g_00233	Syai.g_02639
OG0000423	Prbm.g_00234	Syai.g_02640
OG0000424	Prbm.g_00235	Syai.g_02641
OG0000425	Prbm.g_00236	Syai.g_02642
OG0000426	Prbm.g_00237	Syai.g_02643
OG0000427	Prbm.g_00238	Syai.g_02644
OG0000428	Prbm.g_00240	Syai.g_02647
OG0000429	Prbm.g_00241	Syai.g_02649
OG0000430	Prbm.g_00242	Syai.g_02650
OG0000431	Prbm.g_00244	Syai.g_02654
OG0000432	Prbm.g_00248	Syai.g_02660
OG0000433	Prbm.g_00249	Syai.g_02662
OG0000434	Prbm.g_00250	Syai.g_02663
OG0000435	Prbm.g_00251	Syai.g_02666
OG0000436	Prbm.g_00256	Syai.g_02671
OG0000437	Prbm.g_00257	Syai.g_02672
OG0000438	Prbm.g_00258	Syai.g_02673
OG0000439	Prbm.g_00260	Syai.g_02675
OG0000440	Prbm.g_00261	Syai.g_02676
OG0000441	Prbm.g_00263	Syai.g_02681
OG0000442	Prbm.g_00264	Syai.g_02682
OG0000443	Prbm.g_00265	Syai.g_02683
OG0000444	Prbm.g_00270	Syai.g_02688
OG0000445	Prbm.g_00271	Syai.g_02689
OG0000446	Prbm.g_00272	Syai.g_02690
OG0000447	Prbm.g_00273	Syai.g_02693
OG0000448	Prbm.g_00274	Syai.g_02694
OG0000449	Prbm.g_00275	Syai.g_02695
OG0000450	Prbm.g_00276	Syai.g_02696
OG0000451	Prbm.g_00277	Syai.g_02697
OG0000452	Prbm.g_00280	Syai.g_02701
OG0000453	Prbm.g_00281	Syai.g_02702
OG0000454	Prbm.g_00282	Syai.g_02703
OG0000455	Prbm.g_00283	Syai.g_02704
OG0000456	Prbm.g_00284	Syai.g_02705
OG0000457	Prbm.g_00285	Syai.g_02707
OG0000458	Prbm.g_00286	Syai.g_02708
OG0000459	Prbm.g_00287	Syai.g_02709
OG0000460	Prbm.g_00295	Syai.g_00535
OG0000461	Prbm.g_00303	Syai.g_00314
OG0000462	Prbm.g_00305	Syai.g_00311
OG0000463	Prbm.g_00306	Syai.g_00310
OG0000464	Prbm.g_00307	Syai.g_00309
OG0000465	Prbm.g_00308	Syai.g_00307
OG0000466	Prbm.g_00309	Syai.g_00303
OG0000467	Prbm.g_00310	Syai.g_00301
OG0000468	Prbm.g_00312	Syai.g_00296
OG0000469	Prbm.g_00320	Syai.g_00282
OG0000470	Prbm.g_00322	Syai.g_00280
OG0000471	Prbm.g_00323	Syai.g_00279
OG0000472	Prbm.g_00324	Syai.g_00277
OG0000473	Prbm.g_00326	Syai.g_00275
OG0000474	Prbm.g_00327	Syai.g_00274
OG0000475	Prbm.g_00328	Syai.g_00273
OG0000476	Prbm.g_00330	Syai.g_00271
OG0000477	Prbm.g_00332	Syai.g_00265
OG0000478	Prbm.g_00333	Syai.g_00264
OG0000479	Prbm.g_00334	Syai.g_00263
OG0000480	Prbm.g_00339	Syai.g_00256
OG0000481	Prbm.g_00341	Syai.g_00254
OG0000482	Prbm.g_00342	Syai.g_00253
OG0000483	Prbm.g_00345	Syai.g_00249
OG0000484	Prbm.g_00346	Syai.g_00248
OG0000485	Prbm.g_00347	Syai.g_00247
OG0000486	Prbm.g_00348	Syai.g_00246
OG0000487	Prbm.g_00351	Syai.g_00240
OG0000488	Prbm.g_00354	Syai.g_00236
OG0000489	Prbm.g_00359	Syai.g_00226
OG0000490	Prbm.g_00364	Syai.g_00218
OG0000491	Prbm.g_00365	Syai.g_00217
OG0000492	Prbm.g_00367	Syai.g_00214
OG0000493	Prbm.g_00368	Syai.g_00213
OG0000494	Prbm.g_00369	Syai.g_00212
OG0000495	Prbm.g_00370	Syai.g_00211
OG0000496	Prbm.g_00371	Syai.g_00210
OG0000497	Prbm.g_00372	Syai.g_00209
OG0000498	Prbm.g_00373	Syai.g_00208
OG0000499	Prbm.g_00374	Syai.g_00207
OG0000500	Prbm.g_00375	Syai.g_00206
OG0000501	Prbm.g_00376	Syai.g_00203
OG0000502	Prbm.g_00379	Syai.g_00192
OG0000503	Prbm.g_00400	Syai.g_00486
OG0000504	Prbm.g_00402	Syai.g_00488
OG0000505	Prbm.g_00403	Syai.g_00489
OG0000506	Prbm.g_00404	Syai.g_00491
OG0000507	Prbm.g_00407	Syai.g_00497
OG0000508	Prbm.g_00410	Syai.g_00501
OG0000509	Prbm.g_00412	Syai.g_00503
OG0000510	Prbm.g_00413	Syai.g_00504
OG0000511	Prbm.g_00414	Syai.g_00505
OG0000512	Prbm.g_00416	Syai.g_00507
OG0000513	Prbm.g_00426	Syai.g_00521
OG0000514	Prbm.g_00440	Syai.g_00528
OG0000515	Prbm.g_00441	Syai.g_00529
OG0000516	Prbm.g_00442	Syai.g_02223
OG0000517	Prbm.g_00445	Syai.g_02229
OG0000518	Prbm.g_00456	Syai.g_02211
OG0000519	Prbm.g_00457	Syai.g_02210
OG0000520	Prbm.g_00458	Syai.g_02209
OG0000521	Prbm.g_00480	Syai.g_00842
OG0000522	Prbm.g_00482	Syai.g_00844
OG0000523	Prbm.g_00483	Syai.g_00845
OG0000524	Prbm.g_00490	Syai.g_00852
OG0000525	Prbm.g_00494	Syai.g_00856
OG0000526	Prbm.g_00495	Syai.g_00859
OG0000527	Prbm.g_00498	Syai.g_00863
OG0000528	Prbm.g_00504	Syai.g_00633
OG0000529	Prbm.g_00507	Syai.g_00639
OG0000530	Prbm.g_00510	Syai.g_00642
OG0000531	Prbm.g_00511	Syai.g_00643
OG0000532	Prbm.g_00512	Syai.g_00646
OG0000533	Prbm.g_00513	Syai.g_00647
OG0000534	Prbm.g_00514	Syai.g_00648
OG0000535	Prbm.g_00515	Syai.g_00649
OG0000536	Prbm.g_00516	Syai.g_00650
OG0000537	Prbm.g_00517	Syai.g_00651
OG0000538	Prbm.g_00534	Syai.g_00662
OG0000539	Prbm.g_00535	Syai.g_00663
OG0000540	Prbm.g_00536	Syai.g_00664
OG0000541	Prbm.g_00537	Syai.g_00665
OG0000542	Prbm.g_00539	Syai.g_00668
OG0000543	Prbm.g_00541	Syai.g_00670
OG0000544	Prbm.g_00542	Syai.g_00671
OG0000545	Prbm.g_00544	Syai.g_00673
OG0000546	Prbm.g_00547	Syai.g_00675
OG0000547	Prbm.g_00549	Syai.g_00677
OG0000548	Prbm.g_00550	Syai.g_00678
OG0000549	Prbm.g_00553	Syai.g_00684
OG0000550	Prbm.g_00557	Syai.g_00689
