Orthogroup	Praa	Prat
OG0000077	Praa.g_00011	Prat.g_00012, Prat.g_00011
OG0000078	Praa.g_00322	Prat.g_00329
OG0000079	Praa.g_00381	Prat.g_01477
OG0000080	Praa.g_00669	Prat.g_01054
OG0000081	Praa.g_00691	Prat.g_00765
OG0000082	Praa.g_00810, Praa.g_00811	Prat.g_01030
OG0000083	Praa.g_00876	Prat.g_01176
OG0000084	Praa.g_00964	Prat.g_00896, Prat.g_01277
OG0000085	Praa.g_01089	Prat.g_01208
OG0000086	Praa.g_01127	Prat.g_01561, Prat.g_01495
OG0000090	Praa.g_01394	Prat.g_01312
OG0000091	Praa.g_01484	Prat.g_01361
OG0000092	Praa.g_01606	Prat.g_01539
OG0000093	Praa.g_01723	Prat.g_01679
OG0000094	Praa.g_01772	Prat.g_01722
OG0000095	Praa.g_01806	Prat.g_01759
OG0000096	Praa.g_01877	Prat.g_01833
OG0000098	Praa.g_00003	Prat.g_00003
OG0000099	Praa.g_00023	Prat.g_01314, Prat.g_00024
OG0000100	Praa.g_00409	Prat.g_00614
OG0000101	Praa.g_00049	Prat.g_00054
OG0000102	Praa.g_00113	Prat.g_00112
OG0000103	Praa.g_00121	Prat.g_00121
OG0000104	Praa.g_00139	Prat.g_00138
OG0000105	Praa.g_00170	Prat.g_00171
OG0000106	Praa.g_00184	Prat.g_00185
OG0000107	Praa.g_00192	Prat.g_00194
OG0000108	Praa.g_00202	Prat.g_00204
OG0000109	Praa.g_00239	Prat.g_00245
OG0000110	Praa.g_00251	Prat.g_00257
OG0000111	Praa.g_00274	Prat.g_00281
OG0000113	Praa.g_00297	Prat.g_00305
OG0000114	Praa.g_00325	Prat.g_00332
OG0000115	Praa.g_00474	Prat.g_00433
OG0000116	Praa.g_00476	Prat.g_00435
OG0000117	Praa.g_00480	Prat.g_00440
OG0000118	Praa.g_00499	Prat.g_00462
OG0000119	Praa.g_00532	Prat.g_00494
OG0000120	Praa.g_00533	Prat.g_00495
OG0000121	Praa.g_00544	Prat.g_00504
OG0000122	Praa.g_00553	Prat.g_00514, Prat.g_00513
OG0000123	Praa.g_00584	Prat.g_00548
OG0000124	Praa.g_00651	Prat.g_01073
OG0000125	Praa.g_00652	Prat.g_01072
OG0000126	Praa.g_00653	Prat.g_01071
OG0000127	Praa.g_00686	Prat.g_00760
OG0000128	Praa.g_00713	Prat.g_00790
OG0000129	Praa.g_00733	Prat.g_00815
OG0000130	Praa.g_00787	Prat.g_00856
OG0000131	Praa.g_00801	Prat.g_01039
OG0000132	Praa.g_00838	Prat.g_01004
OG0000133	Praa.g_00923	Prat.g_00734
OG0000134	Praa.g_00932	Prat.g_01053
OG0000135	Praa.g_00968	Prat.g_00900
OG0000136	Praa.g_01036	Prat.g_00962
OG0000137	Praa.g_01130	Prat.g_01557
OG0000139	Praa.g_01165	Prat.g_01150
OG0000140	Praa.g_01216	Prat.g_00595
OG0000141	Praa.g_01224	Prat.g_01509
OG0000142	Praa.g_01330	Prat.g_01261
OG0000143	Praa.g_01366	Prat.g_01291
OG0000144	Praa.g_01463	Prat.g_01338
OG0000145	Praa.g_01477	Prat.g_01354
OG0000146	Praa.g_01513	Prat.g_01392
OG0000147	Praa.g_01554	Prat.g_01441
OG0000148	Praa.g_01555	Prat.g_01442
OG0000149	Praa.g_01633	Prat.g_01589
OG0000150	Praa.g_01672	Prat.g_01377, Prat.g_01628
OG0000151	Praa.g_01675	Prat.g_01631
OG0000152	Praa.g_01695	Prat.g_01652
OG0000153	Praa.g_01734	Prat.g_01685
OG0000154	Praa.g_01770	Prat.g_01720
OG0000155	Praa.g_01788	Prat.g_01739
OG0000156	Praa.g_01817	Prat.g_01771
OG0000157	Praa.g_01849	Prat.g_01806
OG0000158	Praa.g_01911	Prat.g_01873
OG0000160	Praa.g_00001	Prat.g_00001
OG0000161	Praa.g_00002	Prat.g_00002
OG0000162	Praa.g_00004	Prat.g_00004
OG0000163	Praa.g_00005	Prat.g_00005
OG0000164	Praa.g_00006	Prat.g_00006
OG0000165	Praa.g_00007	Prat.g_00007
OG0000166	Praa.g_00008	Prat.g_00008
OG0000167	Praa.g_00009	Prat.g_00009
OG0000168	Praa.g_00010	Prat.g_00010
OG0000169	Praa.g_00012	Prat.g_00013
OG0000170	Praa.g_00014	Prat.g_00015
OG0000171	Praa.g_00015	Prat.g_00016
OG0000172	Praa.g_00016	Prat.g_00017
OG0000173	Praa.g_00017	Prat.g_00018
OG0000174	Praa.g_00018	Prat.g_00019
OG0000175	Praa.g_00019	Prat.g_00020
OG0000176	Praa.g_00020	Prat.g_00021
OG0000177	Praa.g_00021	Prat.g_00022
OG0000178	Praa.g_00022	Prat.g_00023
OG0000179	Praa.g_00024	Prat.g_00025
OG0000180	Praa.g_00025	Prat.g_00026
OG0000181	Praa.g_00026	Prat.g_00027
OG0000182	Praa.g_00027	Prat.g_00028
OG0000183	Praa.g_00028	Prat.g_00029
OG0000184	Praa.g_00029	Prat.g_00031
OG0000185	Praa.g_00032	Prat.g_00034
OG0000186	Praa.g_00035	Prat.g_00036
OG0000187	Praa.g_00036	Prat.g_00037
OG0000188	Praa.g_00037	Prat.g_00038
OG0000189	Praa.g_00040	Prat.g_00042
OG0000190	Praa.g_00042	Prat.g_00044
OG0000191	Praa.g_00043	Prat.g_00046
OG0000192	Praa.g_00044	Prat.g_00047
OG0000193	Praa.g_00045	Prat.g_00048
OG0000194	Praa.g_00046	Prat.g_00051
OG0000195	Praa.g_00047	Prat.g_00052
OG0000196	Praa.g_00048	Prat.g_00053
OG0000197	Praa.g_00050	Prat.g_00055
OG0000198	Praa.g_00051	Prat.g_00056
OG0000199	Praa.g_00052	Prat.g_00057
OG0000200	Praa.g_00064	Prat.g_00060
OG0000201	Praa.g_00065	Prat.g_00061
OG0000202	Praa.g_00066	Prat.g_00062
OG0000203	Praa.g_00069	Prat.g_00066
OG0000204	Praa.g_00070	Prat.g_00067
OG0000205	Praa.g_00073	Prat.g_00070
OG0000206	Praa.g_00075	Prat.g_00072
OG0000207	Praa.g_00077	Prat.g_00074
OG0000208	Praa.g_00078	Prat.g_00075
OG0000209	Praa.g_00079	Prat.g_01504
OG0000210	Praa.g_00080	Prat.g_00076
OG0000211	Praa.g_00081	Prat.g_00079
OG0000212	Praa.g_00082	Prat.g_00080
OG0000213	Praa.g_00083	Prat.g_00081
OG0000214	Praa.g_00084	Prat.g_00082
OG0000215	Praa.g_00085	Prat.g_00083
OG0000216	Praa.g_00086	Prat.g_00084
OG0000217	Praa.g_00088	Prat.g_00086
OG0000218	Praa.g_00089	Prat.g_00087
OG0000219	Praa.g_00090	Prat.g_00088
OG0000220	Praa.g_00091	Prat.g_00089
OG0000221	Praa.g_00094	Prat.g_00091
OG0000222	Praa.g_00095	Prat.g_00092
OG0000223	Praa.g_00096	Prat.g_00093
OG0000224	Praa.g_00097	Prat.g_00094
OG0000225	Praa.g_00098	Prat.g_00095
OG0000226	Praa.g_00099	Prat.g_00096
OG0000227	Praa.g_00100	Prat.g_00098
OG0000228	Praa.g_00101	Prat.g_00099
OG0000229	Praa.g_00102	Prat.g_00100
OG0000230	Praa.g_00103	Prat.g_00101
OG0000231	Praa.g_00104	Prat.g_00102
OG0000232	Praa.g_00106	Prat.g_00103
OG0000233	Praa.g_00107	Prat.g_00104
OG0000234	Praa.g_00108	Prat.g_00105
OG0000235	Praa.g_00109	Prat.g_00106
OG0000236	Praa.g_00110	Prat.g_00109
OG0000237	Praa.g_00111	Prat.g_00110
OG0000238	Praa.g_00112	Prat.g_00111
OG0000239	Praa.g_00114	Prat.g_00113
OG0000240	Praa.g_00115	Prat.g_00114
OG0000241	Praa.g_00116	Prat.g_00115
OG0000242	Praa.g_00117	Prat.g_00116
OG0000243	Praa.g_00120	Prat.g_00118
OG0000244	Praa.g_00122	Prat.g_00122
OG0000245	Praa.g_00123	Prat.g_00123
OG0000246	Praa.g_00124	Prat.g_00124
OG0000247	Praa.g_00127	Prat.g_00126
OG0000248	Praa.g_00129	Prat.g_00128
OG0000249	Praa.g_00130	Prat.g_00130
OG0000250	Praa.g_00131	Prat.g_00131
OG0000251	Praa.g_00132	Prat.g_00132
OG0000252	Praa.g_00133	Prat.g_00133
OG0000253	Praa.g_00134	Prat.g_00134
OG0000254	Praa.g_00136	Prat.g_00601
OG0000255	Praa.g_00137	Prat.g_00136
OG0000256	Praa.g_00140	Prat.g_00139
OG0000257	Praa.g_00142	Prat.g_00141
OG0000258	Praa.g_00145	Prat.g_00144
OG0000259	Praa.g_00146	Prat.g_00145
OG0000260	Praa.g_00147	Prat.g_00146
OG0000261	Praa.g_00148	Prat.g_00147
OG0000262	Praa.g_00149	Prat.g_00148
OG0000263	Praa.g_00151	Prat.g_00150
OG0000264	Praa.g_00152	Prat.g_00151
OG0000265	Praa.g_00153	Prat.g_00152
OG0000266	Praa.g_00154	Prat.g_00153
OG0000267	Praa.g_00155	Prat.g_00154
OG0000268	Praa.g_00156	Prat.g_00156
OG0000269	Praa.g_00158	Prat.g_00158
OG0000270	Praa.g_00159	Prat.g_00159
OG0000271	Praa.g_00160	Prat.g_00160
OG0000272	Praa.g_00161	Prat.g_00161
OG0000273	Praa.g_00162	Prat.g_00162
OG0000274	Praa.g_00163	Prat.g_00163
OG0000275	Praa.g_00164	Prat.g_00164
OG0000276	Praa.g_00165	Prat.g_00165
OG0000277	Praa.g_00167	Prat.g_00167
OG0000278	Praa.g_00168	Prat.g_00169
OG0000279	Praa.g_00169	Prat.g_00170
OG0000280	Praa.g_00171	Prat.g_00172
OG0000281	Praa.g_00173	Prat.g_00174
OG0000282	Praa.g_00174	Prat.g_00175
OG0000283	Praa.g_00175	Prat.g_00176
OG0000284	Praa.g_00176	Prat.g_00177
OG0000285	Praa.g_00177	Prat.g_00178
OG0000286	Praa.g_00178	Prat.g_00179
OG0000287	Praa.g_00179	Prat.g_00180
OG0000288	Praa.g_00181	Prat.g_00182
OG0000289	Praa.g_00182	Prat.g_00183
OG0000290	Praa.g_00183	Prat.g_00184
OG0000291	Praa.g_00185	Prat.g_00186
OG0000292	Praa.g_00186	Prat.g_00188
OG0000293	Praa.g_00187	Prat.g_00189
OG0000294	Praa.g_00188	Prat.g_00190
OG0000295	Praa.g_00189	Prat.g_00191
OG0000296	Praa.g_00190	Prat.g_00192
OG0000297	Praa.g_00191	Prat.g_00193
OG0000298	Praa.g_00193	Prat.g_00195
OG0000299	Praa.g_00194	Prat.g_00196
OG0000300	Praa.g_00195	Prat.g_00197
OG0000301	Praa.g_00196	Prat.g_00198
OG0000302	Praa.g_00197	Prat.g_00199
OG0000303	Praa.g_00198	Prat.g_00200
OG0000304	Praa.g_00200	Prat.g_00202
OG0000305	Praa.g_00201	Prat.g_00203
OG0000306	Praa.g_00204	Prat.g_00206
OG0000307	Praa.g_00205	Prat.g_00207
OG0000308	Praa.g_00206	Prat.g_00208
OG0000309	Praa.g_00207	Prat.g_00209
OG0000310	Praa.g_00208	Prat.g_00210
OG0000311	Praa.g_00209	Prat.g_00211
OG0000312	Praa.g_00210	Prat.g_00212
OG0000313	Praa.g_00211	Prat.g_00213
OG0000314	Praa.g_00212	Prat.g_00214
OG0000315	Praa.g_00213	Prat.g_00215
OG0000316	Praa.g_00214	Prat.g_00216
OG0000317	Praa.g_00215	Prat.g_00217
OG0000318	Praa.g_00216	Prat.g_00218
OG0000319	Praa.g_00217	Prat.g_00219
OG0000320	Praa.g_00218	Prat.g_00220
OG0000321	Praa.g_00219	Prat.g_00221
OG0000322	Praa.g_00220	Prat.g_00222
OG0000323	Praa.g_00221	Prat.g_00223
OG0000324	Praa.g_00222	Prat.g_00224
OG0000325	Praa.g_00223	Prat.g_00225
OG0000326	Praa.g_00224	Prat.g_00226
OG0000327	Praa.g_00225	Prat.g_00227
OG0000328	Praa.g_00226	Prat.g_00229
OG0000329	Praa.g_00227	Prat.g_00230
OG0000330	Praa.g_00228	Prat.g_00231
OG0000331	Praa.g_00229	Prat.g_00233
OG0000332	Praa.g_00230	Prat.g_00234
OG0000333	Praa.g_00231	Prat.g_00235
OG0000334	Praa.g_00232	Prat.g_00236
OG0000335	Praa.g_00233	Prat.g_00238
OG0000336	Praa.g_00235	Prat.g_00240
OG0000337	Praa.g_00236	Prat.g_00241
OG0000338	Praa.g_00240	Prat.g_00246
OG0000339	Praa.g_00242	Prat.g_00249
OG0000340	Praa.g_00244	Prat.g_00250
OG0000341	Praa.g_00245	Prat.g_00251
OG0000342	Praa.g_00246	Prat.g_00252
OG0000343	Praa.g_00247	Prat.g_00253
OG0000344	Praa.g_00250	Prat.g_00256
OG0000345	Praa.g_00253	Prat.g_00260
OG0000346	Praa.g_00254	Prat.g_00261
OG0000347	Praa.g_00257	Prat.g_00264
OG0000348	Praa.g_00259	Prat.g_00266
OG0000349	Praa.g_00260	Prat.g_00267
OG0000350	Praa.g_00262	Prat.g_00269
OG0000351	Praa.g_00263	Prat.g_00270
OG0000352	Praa.g_00264	Prat.g_00271
OG0000353	Praa.g_00265	Prat.g_00272
OG0000354	Praa.g_00266	Prat.g_00273
OG0000355	Praa.g_00267	Prat.g_00274
OG0000356	Praa.g_00268	Prat.g_00275
OG0000357	Praa.g_00269	Prat.g_00276
OG0000358	Praa.g_00270	Prat.g_00277
OG0000359	Praa.g_00271	Prat.g_00279
OG0000360	Praa.g_00275	Prat.g_00282
OG0000361	Praa.g_00276	Prat.g_00283
OG0000362	Praa.g_00277	Prat.g_00284
OG0000363	Praa.g_00278	Prat.g_00285
OG0000364	Praa.g_00282	Prat.g_00290
OG0000365	Praa.g_00283	Prat.g_00291
OG0000366	Praa.g_00285	Prat.g_00293
OG0000367	Praa.g_00286	Prat.g_00294
OG0000368	Praa.g_00287	Prat.g_00295
OG0000369	Praa.g_00288	Prat.g_00296
OG0000370	Praa.g_00289	Prat.g_00297
OG0000371	Praa.g_00290	Prat.g_00298
OG0000372	Praa.g_00291	Prat.g_00299
OG0000373	Praa.g_00292	Prat.g_00300
OG0000374	Praa.g_00294	Prat.g_00302
OG0000375	Praa.g_00295	Prat.g_00303
OG0000376	Praa.g_00298	Prat.g_00306
OG0000377	Praa.g_00299	Prat.g_00307
OG0000378	Praa.g_00300	Prat.g_00308
OG0000379	Praa.g_00301	Prat.g_00309
OG0000380	Praa.g_00302	Prat.g_00310
OG0000381	Praa.g_00303	Prat.g_00311
OG0000382	Praa.g_00304	Prat.g_00312
OG0000383	Praa.g_00305	Prat.g_00313
OG0000384	Praa.g_00308	Prat.g_00315
OG0000385	Praa.g_00309	Prat.g_00316
OG0000386	Praa.g_00310	Prat.g_00317
OG0000387	Praa.g_00311	Prat.g_00318
OG0000388	Praa.g_00312	Prat.g_00319
OG0000389	Praa.g_00313	Prat.g_00320
OG0000390	Praa.g_00314	Prat.g_00321
OG0000391	Praa.g_00315	Prat.g_00322
OG0000392	Praa.g_00316	Prat.g_00323
OG0000393	Praa.g_00317	Prat.g_00324
OG0000394	Praa.g_00318	Prat.g_00325
OG0000395	Praa.g_00319	Prat.g_00326
OG0000396	Praa.g_00321	Prat.g_00328
OG0000397	Praa.g_00323	Prat.g_00330
OG0000398	Praa.g_00324	Prat.g_00331
OG0000399	Praa.g_00327	Prat.g_00334
OG0000400	Praa.g_00328	Prat.g_00340
OG0000401	Praa.g_00329	Prat.g_00341
OG0000402	Praa.g_00334	Prat.g_00348
OG0000403	Praa.g_00335	Prat.g_00350
OG0000404	Praa.g_00336	Prat.g_00351
OG0000405	Praa.g_00338	Prat.g_00352
OG0000406	Praa.g_00340	Prat.g_00355
OG0000407	Praa.g_00341	Prat.g_00356
OG0000408	Praa.g_00344	Prat.g_00359
OG0000409	Praa.g_00345	Prat.g_00360
OG0000410	Praa.g_00346	Prat.g_00361
OG0000411	Praa.g_00347	Prat.g_00362
OG0000412	Praa.g_00348	Prat.g_00363
OG0000413	Praa.g_00349	Prat.g_00364
OG0000414	Praa.g_00350	Prat.g_00365
OG0000415	Praa.g_00351	Prat.g_00366
OG0000416	Praa.g_00354	Prat.g_00369
OG0000417	Praa.g_00355	Prat.g_00370
OG0000418	Praa.g_00356	Prat.g_00372
OG0000419	Praa.g_00357	Prat.g_00373
OG0000420	Praa.g_00358	Prat.g_00985
OG0000421	Praa.g_00370	Prat.g_01203
OG0000422	Praa.g_00378	Prat.g_01469
OG0000423	Praa.g_00379	Prat.g_00671
OG0000424	Praa.g_00383	Prat.g_01656
OG0000425	Praa.g_00431	Prat.g_00390
OG0000426	Praa.g_00432	Prat.g_00391
OG0000427	Praa.g_00433	Prat.g_00392
OG0000428	Praa.g_00435	Prat.g_00395
OG0000429	Praa.g_00436	Prat.g_00396
OG0000430	Praa.g_00437	Prat.g_00398
OG0000431	Praa.g_00438	Prat.g_00399
OG0000432	Praa.g_00439	Prat.g_00400
OG0000433	Praa.g_00440	Prat.g_00401
OG0000434	Praa.g_00441	Prat.g_00403
OG0000435	Praa.g_00442	Prat.g_00404
OG0000436	Praa.g_00443	Prat.g_00405
OG0000437	Praa.g_00444	Prat.g_00406
OG0000438	Praa.g_00445	Prat.g_00407
OG0000439	Praa.g_00446	Prat.g_00408
OG0000440	Praa.g_00447	Prat.g_00410
OG0000441	Praa.g_00448	Prat.g_00411
OG0000442	Praa.g_00449	Prat.g_00412
OG0000443	Praa.g_00450	Prat.g_00413
OG0000444	Praa.g_00451	Prat.g_00414
OG0000445	Praa.g_00452	Prat.g_00415
OG0000446	Praa.g_00454	Prat.g_00417
OG0000447	Praa.g_00455	Prat.g_00418
OG0000448	Praa.g_00457	Prat.g_00419
OG0000449	Praa.g_00461	Prat.g_00424
OG0000450	Praa.g_00462	Prat.g_00425
OG0000451	Praa.g_00463	Prat.g_00426
OG0000452	Praa.g_00464	Prat.g_00428
OG0000453	Praa.g_00465	Prat.g_00429
OG0000454	Praa.g_00471	Prat.g_00430
OG0000455	Praa.g_00473	Prat.g_00432
OG0000456	Praa.g_00477	Prat.g_00436
OG0000457	Praa.g_00478	Prat.g_00438
OG0000458	Praa.g_00479	Prat.g_00439
OG0000459	Praa.g_00481	Prat.g_00441
OG0000460	Praa.g_00483	Prat.g_00443
OG0000461	Praa.g_00484	Prat.g_00444
OG0000462	Praa.g_00485	Prat.g_00445
OG0000463	Praa.g_00487	Prat.g_00447
OG0000464	Praa.g_00488	Prat.g_00448
OG0000465	Praa.g_00489	Prat.g_00449
OG0000466	Praa.g_00490	Prat.g_00450
OG0000467	Praa.g_00491	Prat.g_00451
OG0000468	Praa.g_00492	Prat.g_00453
OG0000469	Praa.g_00493	Prat.g_00454
OG0000470	Praa.g_00494	Prat.g_00455
OG0000471	Praa.g_00495	Prat.g_00456
OG0000472	Praa.g_00500	Prat.g_00463
OG0000473	Praa.g_00501	Prat.g_00464
OG0000474	Praa.g_00502	Prat.g_00465
OG0000475	Praa.g_00503	Prat.g_00466
OG0000476	Praa.g_00505	Prat.g_00468
OG0000477	Praa.g_00506	Prat.g_00469
OG0000478	Praa.g_00507	Prat.g_00470
OG0000479	Praa.g_00508	Prat.g_00471
OG0000480	Praa.g_00510	Prat.g_00473
OG0000481	Praa.g_00512	Prat.g_00475
OG0000482	Praa.g_00513	Prat.g_00476
OG0000483	Praa.g_00515	Prat.g_00478
OG0000484	Praa.g_00516	Prat.g_00479
OG0000485	Praa.g_00517	Prat.g_00480
OG0000486	Praa.g_00518	Prat.g_00482
OG0000487	Praa.g_00523	Prat.g_00486
OG0000488	Praa.g_00525	Prat.g_00487
OG0000489	Praa.g_00526	Prat.g_00488
OG0000490	Praa.g_00527	Prat.g_00489
OG0000491	Praa.g_00528	Prat.g_00490
OG0000492	Praa.g_00529	Prat.g_00491
OG0000493	Praa.g_00530	Prat.g_00492
OG0000494	Praa.g_00531	Prat.g_00493
OG0000495	Praa.g_00534	Prat.g_00496
OG0000496	Praa.g_00535	Prat.g_00497
OG0000497	Praa.g_00536	Prat.g_00498
OG0000498	Praa.g_00537	Prat.g_00499
OG0000499	Praa.g_00538	Prat.g_00500
OG0000500	Praa.g_00540	Prat.g_00501
OG0000501	Praa.g_00541	Prat.g_00502
OG0000502	Praa.g_00543	Prat.g_00503
OG0000503	Praa.g_00545	Prat.g_00505
OG0000504	Praa.g_00546	Prat.g_00506
OG0000505	Praa.g_00547	Prat.g_00507
OG0000506	Praa.g_00548	Prat.g_00508
OG0000507	Praa.g_00549	Prat.g_00509
OG0000508	Praa.g_00550	Prat.g_00510
OG0000509	Praa.g_00551	Prat.g_00511
OG0000510	Praa.g_00552	Prat.g_00512
OG0000511	Praa.g_00554	Prat.g_00515
OG0000512	Praa.g_00555	Prat.g_00516
OG0000513	Praa.g_00556	Prat.g_00517
OG0000514	Praa.g_00557	Prat.g_00518
OG0000515	Praa.g_00558	Prat.g_00519
OG0000516	Praa.g_00559	Prat.g_00520
OG0000517	Praa.g_00561	Prat.g_00522
OG0000518	Praa.g_00562	Prat.g_00523
OG0000519	Praa.g_00563	Prat.g_00525
OG0000520	Praa.g_00564	Prat.g_00527
OG0000521	Praa.g_00565	Prat.g_00528
OG0000522	Praa.g_00566	Prat.g_00529
OG0000523	Praa.g_00567	Prat.g_00530
OG0000524	Praa.g_00568	Prat.g_00531
OG0000525	Praa.g_00569	Prat.g_00532
OG0000526	Praa.g_00570	Prat.g_00533
OG0000527	Praa.g_00571	Prat.g_00534
OG0000528	Praa.g_00572	Prat.g_00536
OG0000529	Praa.g_00573	Prat.g_00537
OG0000530	Praa.g_00574	Prat.g_00538
OG0000531	Praa.g_00575	Prat.g_00539
OG0000532	Praa.g_00576	Prat.g_00540
OG0000533	Praa.g_00578	Prat.g_00542
OG0000534	Praa.g_00579	Prat.g_00543
OG0000535	Praa.g_00580	Prat.g_00544
OG0000536	Praa.g_00581	Prat.g_00545
OG0000537	Praa.g_00582	Prat.g_00546
OG0000538	Praa.g_00583	Prat.g_00547
OG0000539	Praa.g_00586	Prat.g_00549
OG0000540	Praa.g_00587	Prat.g_00550
OG0000541	Praa.g_00588	Prat.g_00551
OG0000542	Praa.g_00591	Prat.g_00553
OG0000543	Praa.g_00592	Prat.g_00554
OG0000544	Praa.g_00593	Prat.g_00555
OG0000545	Praa.g_00594	Prat.g_00556
OG0000546	Praa.g_00595	Prat.g_00557
OG0000547	Praa.g_00596	Prat.g_00558
OG0000548	Praa.g_00597	Prat.g_00559
OG0000549	Praa.g_00599	Prat.g_00561
OG0000550	Praa.g_00600	Prat.g_00562
OG0000551	Praa.g_00601	Prat.g_00563
OG0000552	Praa.g_00602	Prat.g_00564
OG0000553	Praa.g_00603	Prat.g_00565
OG0000554	Praa.g_00604	Prat.g_00566
OG0000555	Praa.g_00605	Prat.g_00568
OG0000556	Praa.g_00606	Prat.g_00569
OG0000557	Praa.g_00607	Prat.g_00570
OG0000558	Praa.g_00608	Prat.g_00571
OG0000559	Praa.g_00609	Prat.g_00572
OG0000560	Praa.g_00610	Prat.g_00573
OG0000561	Praa.g_00611	Prat.g_00574
OG0000562	Praa.g_00612	Prat.g_00575
OG0000563	Praa.g_00613	Prat.g_00576
OG0000564	Praa.g_00614	Prat.g_00577
OG0000565	Praa.g_00615	Prat.g_00579
OG0000566	Praa.g_00616	Prat.g_00580
OG0000567	Praa.g_00617	Prat.g_00581
OG0000568	Praa.g_00618	Prat.g_00582
OG0000569	Praa.g_00621	Prat.g_00584
OG0000570	Praa.g_00622	Prat.g_00585
OG0000571	Praa.g_00624	Prat.g_00587
OG0000572	Praa.g_00625	Prat.g_00589
OG0000573	Praa.g_00626	Prat.g_00590
OG0000574	Praa.g_00627	Prat.g_00591
OG0000575	Praa.g_00628	Prat.g_00592
OG0000576	Praa.g_00629	Prat.g_00593
OG0000577	Praa.g_00630	Prat.g_01097
OG0000578	Praa.g_00631	Prat.g_01095
OG0000579	Praa.g_00632	Prat.g_01094
OG0000580	Praa.g_00633	Prat.g_01093
OG0000581	Praa.g_00634	Prat.g_01091
OG0000582	Praa.g_00635	Prat.g_01090
OG0000583	Praa.g_00636	Prat.g_01089
OG0000584	Praa.g_00638	Prat.g_01087
OG0000585	Praa.g_00639	Prat.g_01086
OG0000586	Praa.g_00640	Prat.g_01084
OG0000587	Praa.g_00641	Prat.g_01083
OG0000588	Praa.g_00642	Prat.g_01082
OG0000589	Praa.g_00643	Prat.g_01081
OG0000590	Praa.g_00644	Prat.g_01080
OG0000591	Praa.g_00645	Prat.g_01079
OG0000592	Praa.g_00646	Prat.g_01078
OG0000593	Praa.g_00647	Prat.g_01077
