Orthogroup	Praa	Prbf
OG0000098	Praa.g_00003	Prbf.g_00390
OG0000099	Praa.g_00023	Prbf.g_01345
OG0000101	Praa.g_00049	Prbf.g_01374
OG0000102	Praa.g_00113	Prbf.g_01443
OG0000103	Praa.g_00121	Prbf.g_01452
OG0000104	Praa.g_00139	Prbf.g_01469
OG0000105	Praa.g_00170	Prbf.g_01504
OG0000106	Praa.g_00184	Prbf.g_01518
OG0000107	Praa.g_00192	Prbf.g_01527
OG0000108	Praa.g_00202	Prbf.g_01537
OG0000109	Praa.g_00239	Prbf.g_01578
OG0000110	Praa.g_00251	Prbf.g_01590
OG0000111	Praa.g_00274	Prbf.g_01614
OG0000113	Praa.g_00297	Prbf.g_01638
OG0000114	Praa.g_00325	Prbf.g_01664
OG0000115	Praa.g_00474	Prbf.g_01757
OG0000116	Praa.g_00476	Prbf.g_01759
OG0000117	Praa.g_00480	Prbf.g_01763
OG0000118	Praa.g_00499	Prbf.g_01783
OG0000119	Praa.g_00532	Prbf.g_01813
OG0000120	Praa.g_00533	Prbf.g_01814
OG0000121	Praa.g_00544	Prbf.g_01824
OG0000122	Praa.g_00553	Prbf.g_01833
OG0000123	Praa.g_00584	Prbf.g_01865
OG0000124	Praa.g_00651	Prbf.g_00999
OG0000125	Praa.g_00652	Prbf.g_01000
OG0000126	Praa.g_00653	Prbf.g_01001
OG0000127	Praa.g_00686	Prbf.g_01276
OG0000128	Praa.g_00713	Prbf.g_01251
OG0000129	Praa.g_00733	Prbf.g_01050
OG0000130	Praa.g_00787	Prbf.g_01153
OG0000131	Praa.g_00801	Prbf.g_01247
OG0000132	Praa.g_00838	Prbf.g_01210
OG0000133	Praa.g_00923	Prbf.g_01303
OG0000134	Praa.g_00932	Prbf.g_01019
OG0000135	Praa.g_00968	Prbf.g_01113
OG0000136	Praa.g_01036	Prbf.g_01167
OG0000137	Praa.g_01130	Prbf.g_00785
OG0000139	Praa.g_01165	Prbf.g_00924
OG0000140	Praa.g_01216	Prbf.g_01915
OG0000141	Praa.g_01224	Prbf.g_00253
OG0000142	Praa.g_01330	Prbf.g_00013
OG0000143	Praa.g_01366	Prbf.g_00095
OG0000144	Praa.g_01463	Prbf.g_00145
OG0000145	Praa.g_01477	Prbf.g_00158
OG0000146	Praa.g_01513	Prbf.g_00194
OG0000147	Praa.g_01554	Prbf.g_00241
OG0000148	Praa.g_01555	Prbf.g_00242
OG0000149	Praa.g_01633	Prbf.g_00696
OG0000150	Praa.g_01672	Prbf.g_00657
OG0000151	Praa.g_01675	Prbf.g_00654
OG0000152	Praa.g_01695	Prbf.g_00634
OG0000153	Praa.g_01734	Prbf.g_00600
OG0000154	Praa.g_01770	Prbf.g_00564
OG0000155	Praa.g_01788	Prbf.g_00545
OG0000156	Praa.g_01817	Prbf.g_00512
OG0000157	Praa.g_01849	Prbf.g_00477
OG0000158	Praa.g_01911	Prbf.g_00412
OG0000160	Praa.g_00001	Prbf.g_00392
OG0000161	Praa.g_00002	Prbf.g_00391
OG0000162	Praa.g_00004	Prbf.g_00389
OG0000163	Praa.g_00005	Prbf.g_00388
OG0000164	Praa.g_00006	Prbf.g_00387
OG0000165	Praa.g_00007	Prbf.g_00386
OG0000166	Praa.g_00008	Prbf.g_00385
OG0000167	Praa.g_00009	Prbf.g_00384
OG0000168	Praa.g_00010	Prbf.g_00383
OG0000169	Praa.g_00012	Prbf.g_00381
OG0000170	Praa.g_00014	Prbf.g_01336
OG0000171	Praa.g_00015	Prbf.g_01337
OG0000172	Praa.g_00016	Prbf.g_01338
OG0000173	Praa.g_00017	Prbf.g_01339
OG0000174	Praa.g_00018	Prbf.g_01340
OG0000175	Praa.g_00019	Prbf.g_01341
OG0000176	Praa.g_00020	Prbf.g_01342
OG0000177	Praa.g_00021	Prbf.g_01343
OG0000178	Praa.g_00022	Prbf.g_01344
OG0000179	Praa.g_00024	Prbf.g_01346
OG0000180	Praa.g_00025	Prbf.g_01347
OG0000181	Praa.g_00026	Prbf.g_01348
OG0000182	Praa.g_00027	Prbf.g_01349
OG0000183	Praa.g_00028	Prbf.g_01350
OG0000184	Praa.g_00029	Prbf.g_01352
OG0000185	Praa.g_00032	Prbf.g_01355
OG0000186	Praa.g_00035	Prbf.g_01358
OG0000187	Praa.g_00036	Prbf.g_01359
OG0000188	Praa.g_00037	Prbf.g_01360
OG0000189	Praa.g_00040	Prbf.g_01362
OG0000190	Praa.g_00042	Prbf.g_01364
OG0000191	Praa.g_00043	Prbf.g_01366
OG0000192	Praa.g_00044	Prbf.g_01367
OG0000193	Praa.g_00045	Prbf.g_01368
OG0000194	Praa.g_00046	Prbf.g_01371
OG0000195	Praa.g_00047	Prbf.g_01372
OG0000196	Praa.g_00048	Prbf.g_01373
OG0000197	Praa.g_00050	Prbf.g_01375
OG0000198	Praa.g_00051	Prbf.g_01376
OG0000199	Praa.g_00052	Prbf.g_01378
OG0000200	Praa.g_00064	Prbf.g_01390
OG0000201	Praa.g_00065	Prbf.g_01391
OG0000202	Praa.g_00066	Prbf.g_01392
OG0000203	Praa.g_00069	Prbf.g_01396
OG0000204	Praa.g_00070	Prbf.g_01397
OG0000205	Praa.g_00073	Prbf.g_01400
OG0000206	Praa.g_00075	Prbf.g_01402
OG0000207	Praa.g_00077	Prbf.g_01404
OG0000208	Praa.g_00078	Prbf.g_01405
OG0000209	Praa.g_00079	Prbf.g_00291
OG0000210	Praa.g_00080	Prbf.g_01406
OG0000211	Praa.g_00081	Prbf.g_01407
OG0000212	Praa.g_00082	Prbf.g_01408
OG0000213	Praa.g_00083	Prbf.g_01409
OG0000214	Praa.g_00084	Prbf.g_01410
OG0000215	Praa.g_00085	Prbf.g_01411
OG0000216	Praa.g_00086	Prbf.g_01412
OG0000217	Praa.g_00088	Prbf.g_01414
OG0000218	Praa.g_00089	Prbf.g_01415
OG0000219	Praa.g_00090	Prbf.g_01416
OG0000220	Praa.g_00091	Prbf.g_01417
OG0000221	Praa.g_00094	Prbf.g_01420
OG0000222	Praa.g_00095	Prbf.g_01421
OG0000223	Praa.g_00096	Prbf.g_01422
OG0000224	Praa.g_00097	Prbf.g_01424
OG0000225	Praa.g_00098	Prbf.g_01425
OG0000226	Praa.g_00099	Prbf.g_01426
OG0000227	Praa.g_00100	Prbf.g_01428
OG0000228	Praa.g_00101	Prbf.g_01429
OG0000229	Praa.g_00102	Prbf.g_01430
OG0000230	Praa.g_00103	Prbf.g_01431
OG0000231	Praa.g_00104	Prbf.g_01432
OG0000232	Praa.g_00106	Prbf.g_01433
OG0000233	Praa.g_00107	Prbf.g_01435
OG0000234	Praa.g_00108	Prbf.g_01436
OG0000235	Praa.g_00109	Prbf.g_01437
OG0000236	Praa.g_00110	Prbf.g_01440
OG0000237	Praa.g_00111	Prbf.g_01441
OG0000238	Praa.g_00112	Prbf.g_01442
OG0000239	Praa.g_00114	Prbf.g_01444
OG0000240	Praa.g_00115	Prbf.g_01445
OG0000241	Praa.g_00116	Prbf.g_01446
OG0000242	Praa.g_00117	Prbf.g_01447
OG0000243	Praa.g_00120	Prbf.g_01450
OG0000244	Praa.g_00122	Prbf.g_01453
OG0000245	Praa.g_00123	Prbf.g_01454
OG0000246	Praa.g_00124	Prbf.g_01455
OG0000247	Praa.g_00127	Prbf.g_01457
OG0000248	Praa.g_00129	Prbf.g_01459
OG0000249	Praa.g_00130	Prbf.g_01461
OG0000250	Praa.g_00131	Prbf.g_01462
OG0000251	Praa.g_00132	Prbf.g_01463
OG0000252	Praa.g_00133	Prbf.g_01464
OG0000253	Praa.g_00134	Prbf.g_01465
OG0000254	Praa.g_00136	Prbf.g_01055
OG0000255	Praa.g_00137	Prbf.g_01467
OG0000256	Praa.g_00140	Prbf.g_01470
OG0000257	Praa.g_00142	Prbf.g_01472
OG0000258	Praa.g_00145	Prbf.g_01478
OG0000259	Praa.g_00146	Prbf.g_01479
OG0000260	Praa.g_00147	Prbf.g_01480
OG0000261	Praa.g_00148	Prbf.g_01481
OG0000262	Praa.g_00149	Prbf.g_01482
OG0000263	Praa.g_00151	Prbf.g_01484
OG0000264	Praa.g_00152	Prbf.g_01485
OG0000265	Praa.g_00153	Prbf.g_01486
OG0000266	Praa.g_00154	Prbf.g_01487
OG0000267	Praa.g_00155	Prbf.g_01488
OG0000268	Praa.g_00156	Prbf.g_01490
OG0000269	Praa.g_00158	Prbf.g_01492
OG0000270	Praa.g_00159	Prbf.g_01493
OG0000271	Praa.g_00160	Prbf.g_01494
OG0000272	Praa.g_00161	Prbf.g_01495
OG0000273	Praa.g_00162	Prbf.g_01496
OG0000274	Praa.g_00163	Prbf.g_01497
OG0000275	Praa.g_00164	Prbf.g_01498
OG0000276	Praa.g_00165	Prbf.g_01499
OG0000277	Praa.g_00167	Prbf.g_01501
OG0000278	Praa.g_00168	Prbf.g_01502
OG0000279	Praa.g_00169	Prbf.g_01503
OG0000280	Praa.g_00171	Prbf.g_01505
OG0000281	Praa.g_00173	Prbf.g_01507
OG0000282	Praa.g_00174	Prbf.g_01508
OG0000283	Praa.g_00175	Prbf.g_01509
OG0000284	Praa.g_00176	Prbf.g_01510
OG0000285	Praa.g_00177	Prbf.g_01511
OG0000286	Praa.g_00178	Prbf.g_01512
OG0000287	Praa.g_00179	Prbf.g_01513
OG0000288	Praa.g_00181	Prbf.g_01515
OG0000289	Praa.g_00182	Prbf.g_01516
OG0000290	Praa.g_00183	Prbf.g_01517
OG0000291	Praa.g_00185	Prbf.g_01519
OG0000292	Praa.g_00186	Prbf.g_01521
OG0000293	Praa.g_00187	Prbf.g_01522
OG0000294	Praa.g_00188	Prbf.g_01523
OG0000295	Praa.g_00189	Prbf.g_01524
OG0000296	Praa.g_00190	Prbf.g_01525
OG0000297	Praa.g_00191	Prbf.g_01526
OG0000298	Praa.g_00193	Prbf.g_01528
OG0000299	Praa.g_00194	Prbf.g_01529
OG0000300	Praa.g_00195	Prbf.g_01530
OG0000301	Praa.g_00196	Prbf.g_01531
OG0000302	Praa.g_00197	Prbf.g_01532
OG0000303	Praa.g_00198	Prbf.g_01533
OG0000304	Praa.g_00200	Prbf.g_01535
OG0000305	Praa.g_00201	Prbf.g_01536
OG0000306	Praa.g_00204	Prbf.g_01539
OG0000307	Praa.g_00205	Prbf.g_01540
OG0000308	Praa.g_00206	Prbf.g_01541
OG0000309	Praa.g_00207	Prbf.g_01542
OG0000310	Praa.g_00208	Prbf.g_01543
OG0000311	Praa.g_00209	Prbf.g_01545
OG0000312	Praa.g_00210	Prbf.g_01546
OG0000313	Praa.g_00211	Prbf.g_01547
OG0000314	Praa.g_00212	Prbf.g_01548
OG0000315	Praa.g_00213	Prbf.g_01549
OG0000316	Praa.g_00214	Prbf.g_01550
OG0000317	Praa.g_00215	Prbf.g_01551
OG0000318	Praa.g_00216	Prbf.g_01552
OG0000319	Praa.g_00217	Prbf.g_01553
OG0000320	Praa.g_00218	Prbf.g_01554
OG0000321	Praa.g_00219	Prbf.g_01555
OG0000322	Praa.g_00220	Prbf.g_01556
OG0000323	Praa.g_00221	Prbf.g_01557
OG0000324	Praa.g_00222	Prbf.g_01558
OG0000325	Praa.g_00223	Prbf.g_01559
OG0000326	Praa.g_00224	Prbf.g_01560
OG0000327	Praa.g_00225	Prbf.g_01561
OG0000328	Praa.g_00226	Prbf.g_01563
OG0000329	Praa.g_00227	Prbf.g_01564
OG0000330	Praa.g_00228	Prbf.g_01565
OG0000331	Praa.g_00229	Prbf.g_01567
OG0000332	Praa.g_00230	Prbf.g_01568
OG0000333	Praa.g_00231	Prbf.g_01569
OG0000334	Praa.g_00232	Prbf.g_01570
OG0000335	Praa.g_00233	Prbf.g_01571
OG0000336	Praa.g_00235	Prbf.g_01573
OG0000337	Praa.g_00236	Prbf.g_01574
OG0000338	Praa.g_00240	Prbf.g_01579
OG0000339	Praa.g_00242	Prbf.g_01581
OG0000340	Praa.g_00244	Prbf.g_01583
OG0000341	Praa.g_00245	Prbf.g_01584
OG0000342	Praa.g_00246	Prbf.g_01585
OG0000343	Praa.g_00247	Prbf.g_01586
OG0000344	Praa.g_00250	Prbf.g_01589
OG0000345	Praa.g_00253	Prbf.g_01593
OG0000346	Praa.g_00254	Prbf.g_01594
OG0000347	Praa.g_00257	Prbf.g_01597
OG0000348	Praa.g_00259	Prbf.g_01598
OG0000349	Praa.g_00260	Prbf.g_01599
OG0000350	Praa.g_00262	Prbf.g_01601
OG0000351	Praa.g_00263	Prbf.g_01602
OG0000352	Praa.g_00264	Prbf.g_01603
OG0000353	Praa.g_00265	Prbf.g_01604
OG0000354	Praa.g_00266	Prbf.g_01606
OG0000355	Praa.g_00267	Prbf.g_01607
OG0000356	Praa.g_00268	Prbf.g_01608
OG0000357	Praa.g_00269	Prbf.g_01609
OG0000358	Praa.g_00270	Prbf.g_01610
OG0000359	Praa.g_00271	Prbf.g_01612
OG0000360	Praa.g_00275	Prbf.g_01615
OG0000361	Praa.g_00276	Prbf.g_01616
OG0000362	Praa.g_00277	Prbf.g_01617
OG0000363	Praa.g_00278	Prbf.g_01618
OG0000364	Praa.g_00282	Prbf.g_01622
OG0000365	Praa.g_00283	Prbf.g_01623
OG0000366	Praa.g_00285	Prbf.g_01626
OG0000367	Praa.g_00286	Prbf.g_01627
OG0000368	Praa.g_00287	Prbf.g_01628
OG0000369	Praa.g_00288	Prbf.g_01629
OG0000370	Praa.g_00289	Prbf.g_01630
OG0000371	Praa.g_00290	Prbf.g_01632
OG0000372	Praa.g_00291	Prbf.g_01633
OG0000373	Praa.g_00292	Prbf.g_01634
OG0000374	Praa.g_00294	Prbf.g_01635
OG0000375	Praa.g_00295	Prbf.g_01636
OG0000376	Praa.g_00298	Prbf.g_01639
OG0000377	Praa.g_00299	Prbf.g_01640
OG0000378	Praa.g_00300	Prbf.g_01641
OG0000379	Praa.g_00301	Prbf.g_01642
OG0000380	Praa.g_00302	Prbf.g_01643
OG0000381	Praa.g_00303	Prbf.g_01644
OG0000382	Praa.g_00304	Prbf.g_01645
OG0000383	Praa.g_00305	Prbf.g_01646
OG0000384	Praa.g_00308	Prbf.g_01648
OG0000385	Praa.g_00309	Prbf.g_01649
OG0000386	Praa.g_00310	Prbf.g_01650
OG0000387	Praa.g_00311	Prbf.g_01651
OG0000388	Praa.g_00312	Prbf.g_01652
OG0000389	Praa.g_00313	Prbf.g_01653
OG0000390	Praa.g_00314	Prbf.g_01654
OG0000391	Praa.g_00315	Prbf.g_01655
OG0000392	Praa.g_00316	Prbf.g_01656
OG0000393	Praa.g_00317	Prbf.g_01657
OG0000394	Praa.g_00318	Prbf.g_01658
OG0000395	Praa.g_00319	Prbf.g_01659
OG0000396	Praa.g_00321	Prbf.g_01660
OG0000397	Praa.g_00323	Prbf.g_01662
OG0000398	Praa.g_00324	Prbf.g_01663
OG0000399	Praa.g_00327	Prbf.g_01665
OG0000400	Praa.g_00328	Prbf.g_01671
OG0000401	Praa.g_00329	Prbf.g_01672
OG0000402	Praa.g_00334	Prbf.g_01678
OG0000403	Praa.g_00335	Prbf.g_01680
OG0000404	Praa.g_00336	Prbf.g_01681
OG0000405	Praa.g_00338	Prbf.g_01682
OG0000406	Praa.g_00340	Prbf.g_01685
OG0000407	Praa.g_00341	Prbf.g_01686
OG0000408	Praa.g_00344	Prbf.g_01689
OG0000409	Praa.g_00345	Prbf.g_01690
OG0000410	Praa.g_00346	Prbf.g_01691
OG0000411	Praa.g_00347	Prbf.g_01692
OG0000412	Praa.g_00348	Prbf.g_01693
OG0000413	Praa.g_00349	Prbf.g_01694
OG0000414	Praa.g_00350	Prbf.g_01695
OG0000415	Praa.g_00351	Prbf.g_01696
OG0000416	Praa.g_00354	Prbf.g_01700
OG0000417	Praa.g_00355	Prbf.g_01701
OG0000418	Praa.g_00356	Prbf.g_01703
OG0000419	Praa.g_00357	Prbf.g_01704
OG0000420	Praa.g_00358	Prbf.g_01190
OG0000421	Praa.g_00370	Prbf.g_00874
OG0000422	Praa.g_00378	Prbf.g_00741
OG0000423	Praa.g_00379	Prbf.g_00879
OG0000424	Praa.g_00383	Prbf.g_00629
OG0000425	Praa.g_00431	Prbf.g_01715
OG0000426	Praa.g_00432	Prbf.g_01716
OG0000427	Praa.g_00433	Prbf.g_01717
OG0000428	Praa.g_00435	Prbf.g_01719
OG0000429	Praa.g_00436	Prbf.g_01720
OG0000430	Praa.g_00437	Prbf.g_01722
OG0000431	Praa.g_00438	Prbf.g_01723
OG0000432	Praa.g_00439	Prbf.g_01724
OG0000433	Praa.g_00440	Prbf.g_01725
OG0000434	Praa.g_00441	Prbf.g_01726
OG0000435	Praa.g_00442	Prbf.g_01727
OG0000436	Praa.g_00443	Prbf.g_01728
OG0000437	Praa.g_00444	Prbf.g_01729
OG0000438	Praa.g_00445	Prbf.g_01730
OG0000439	Praa.g_00446	Prbf.g_01731
OG0000440	Praa.g_00447	Prbf.g_01732
OG0000441	Praa.g_00448	Prbf.g_01733
OG0000442	Praa.g_00449	Prbf.g_01734
OG0000443	Praa.g_00450	Prbf.g_01735
OG0000444	Praa.g_00451	Prbf.g_01736
OG0000445	Praa.g_00452	Prbf.g_01740
OG0000446	Praa.g_00454	Prbf.g_01742
OG0000447	Praa.g_00455	Prbf.g_01743
OG0000448	Praa.g_00457	Prbf.g_01744
OG0000449	Praa.g_00461	Prbf.g_01748
OG0000450	Praa.g_00462	Prbf.g_01749
OG0000451	Praa.g_00463	Prbf.g_01750
OG0000452	Praa.g_00464	Prbf.g_01752
OG0000453	Praa.g_00465	Prbf.g_01753
OG0000454	Praa.g_00471	Prbf.g_01754
OG0000455	Praa.g_00473	Prbf.g_01756
OG0000456	Praa.g_00477	Prbf.g_01760
OG0000457	Praa.g_00478	Prbf.g_01761
OG0000458	Praa.g_00479	Prbf.g_01762
OG0000459	Praa.g_00481	Prbf.g_01764
OG0000460	Praa.g_00483	Prbf.g_01766
OG0000461	Praa.g_00484	Prbf.g_01767
OG0000462	Praa.g_00485	Prbf.g_01768
OG0000463	Praa.g_00487	Prbf.g_01770
OG0000464	Praa.g_00488	Prbf.g_01771
OG0000465	Praa.g_00489	Prbf.g_01772
OG0000466	Praa.g_00490	Prbf.g_01773
OG0000467	Praa.g_00491	Prbf.g_01774
OG0000468	Praa.g_00492	Prbf.g_01775
OG0000469	Praa.g_00493	Prbf.g_01776
OG0000470	Praa.g_00494	Prbf.g_01777
OG0000471	Praa.g_00495	Prbf.g_01778
OG0000472	Praa.g_00500	Prbf.g_01784
OG0000473	Praa.g_00501	Prbf.g_01785
OG0000474	Praa.g_00502	Prbf.g_01786
OG0000475	Praa.g_00503	Prbf.g_01787
OG0000476	Praa.g_00505	Prbf.g_01788
OG0000477	Praa.g_00506	Prbf.g_01789
OG0000478	Praa.g_00507	Prbf.g_01790
OG0000479	Praa.g_00508	Prbf.g_01791
OG0000480	Praa.g_00510	Prbf.g_01793
OG0000481	Praa.g_00512	Prbf.g_01795
OG0000482	Praa.g_00513	Prbf.g_01796
OG0000483	Praa.g_00515	Prbf.g_01798
OG0000484	Praa.g_00516	Prbf.g_01799
OG0000485	Praa.g_00517	Prbf.g_01800
OG0000486	Praa.g_00518	Prbf.g_01801
OG0000487	Praa.g_00523	Prbf.g_01805
OG0000488	Praa.g_00525	Prbf.g_01806
OG0000489	Praa.g_00526	Prbf.g_01807
OG0000490	Praa.g_00527	Prbf.g_01808
OG0000491	Praa.g_00528	Prbf.g_01809
OG0000492	Praa.g_00529	Prbf.g_01810
OG0000493	Praa.g_00530	Prbf.g_01811
OG0000494	Praa.g_00531	Prbf.g_01812
OG0000495	Praa.g_00534	Prbf.g_01815
OG0000496	Praa.g_00535	Prbf.g_01816
OG0000497	Praa.g_00536	Prbf.g_01817
OG0000498	Praa.g_00537	Prbf.g_01818
OG0000499	Praa.g_00538	Prbf.g_01819
OG0000500	Praa.g_00540	Prbf.g_01821
OG0000501	Praa.g_00541	Prbf.g_01822
OG0000502	Praa.g_00543	Prbf.g_01823
OG0000503	Praa.g_00545	Prbf.g_01825
OG0000504	Praa.g_00546	Prbf.g_01826
OG0000505	Praa.g_00547	Prbf.g_01827
OG0000506	Praa.g_00548	Prbf.g_01828
OG0000507	Praa.g_00549	Prbf.g_01829
OG0000508	Praa.g_00550	Prbf.g_01830
OG0000509	Praa.g_00551	Prbf.g_01831
OG0000510	Praa.g_00552	Prbf.g_01832
OG0000511	Praa.g_00554	Prbf.g_01834
OG0000512	Praa.g_00555	Prbf.g_01835
OG0000513	Praa.g_00556	Prbf.g_01836
OG0000514	Praa.g_00557	Prbf.g_01837
OG0000515	Praa.g_00558	Prbf.g_01838
OG0000516	Praa.g_00559	Prbf.g_01839
OG0000517	Praa.g_00561	Prbf.g_01840
OG0000518	Praa.g_00562	Prbf.g_01841
OG0000519	Praa.g_00563	Prbf.g_01843
OG0000520	Praa.g_00564	Prbf.g_01845
OG0000521	Praa.g_00565	Prbf.g_01846
OG0000522	Praa.g_00566	Prbf.g_01847
OG0000523	Praa.g_00567	Prbf.g_01848
OG0000524	Praa.g_00568	Prbf.g_01849
OG0000525	Praa.g_00569	Prbf.g_01850
OG0000526	Praa.g_00570	Prbf.g_01851
OG0000527	Praa.g_00571	Prbf.g_01852
OG0000528	Praa.g_00572	Prbf.g_01853
OG0000529	Praa.g_00573	Prbf.g_01854
OG0000530	Praa.g_00574	Prbf.g_01855
OG0000531	Praa.g_00575	Prbf.g_01856
OG0000532	Praa.g_00576	Prbf.g_01857
OG0000533	Praa.g_00578	Prbf.g_01859
OG0000534	Praa.g_00579	Prbf.g_01860
OG0000535	Praa.g_00580	Prbf.g_01861
OG0000536	Praa.g_00581	Prbf.g_01862
OG0000537	Praa.g_00582	Prbf.g_01863
OG0000538	Praa.g_00583	Prbf.g_01864
OG0000539	Praa.g_00586	Prbf.g_01868
OG0000540	Praa.g_00587	Prbf.g_01869
OG0000541	Praa.g_00588	Prbf.g_01870
OG0000542	Praa.g_00591	Prbf.g_01873
OG0000543	Praa.g_00592	Prbf.g_01874
OG0000544	Praa.g_00593	Prbf.g_01875
OG0000545	Praa.g_00594	Prbf.g_01876
OG0000546	Praa.g_00595	Prbf.g_01877
OG0000547	Praa.g_00596	Prbf.g_01878
OG0000548	Praa.g_00597	Prbf.g_01879
OG0000549	Praa.g_00599	Prbf.g_01881
OG0000550	Praa.g_00600	Prbf.g_01882
OG0000551	Praa.g_00601	Prbf.g_01883
OG0000552	Praa.g_00602	Prbf.g_01884
OG0000553	Praa.g_00603	Prbf.g_01885
OG0000554	Praa.g_00604	Prbf.g_01886
OG0000555	Praa.g_00605	Prbf.g_01888
OG0000556	Praa.g_00606	Prbf.g_01889
OG0000557	Praa.g_00607	Prbf.g_01890
OG0000558	Praa.g_00608	Prbf.g_01891
OG0000559	Praa.g_00609	Prbf.g_01892
OG0000560	Praa.g_00610	Prbf.g_01893
OG0000561	Praa.g_00611	Prbf.g_01894
OG0000562	Praa.g_00612	Prbf.g_01895
OG0000563	Praa.g_00613	Prbf.g_01896
OG0000564	Praa.g_00614	Prbf.g_01897
OG0000565	Praa.g_00615	Prbf.g_01898
OG0000566	Praa.g_00616	Prbf.g_01899
OG0000567	Praa.g_00617	Prbf.g_01900
OG0000568	Praa.g_00618	Prbf.g_01901
OG0000569	Praa.g_00621	Prbf.g_01903
OG0000570	Praa.g_00622	Prbf.g_01904
