Orthogroup	Praj	Prax
OG0000287	Praj.g_00248	Prax.g_01009
OG0000288	Praj.g_00249	Prax.g_01008
OG0000289	Praj.g_00250	Prax.g_01007
OG0000290	Praj.g_00251	Prax.g_01006
OG0000291	Praj.g_00252	Prax.g_01005
OG0000292	Praj.g_00253	Prax.g_01004
OG0000293	Praj.g_00254	Prax.g_01003
OG0000294	Praj.g_00255	Prax.g_01002
OG0000295	Praj.g_00256	Prax.g_01001
OG0000296	Praj.g_00257	Prax.g_01000
OG0000297	Praj.g_00258	Prax.g_00999
OG0000298	Praj.g_00259	Prax.g_00998
OG0000299	Praj.g_00260	Prax.g_00997
OG0000300	Praj.g_00261	Prax.g_00996
OG0000301	Praj.g_00262	Prax.g_00995
OG0000302	Praj.g_00263	Prax.g_00994
OG0000303	Praj.g_00264	Prax.g_00993
OG0000304	Praj.g_00265	Prax.g_00992
OG0000305	Praj.g_00266	Prax.g_00991
OG0000306	Praj.g_00267	Prax.g_00990
OG0000307	Praj.g_00268	Prax.g_00989
OG0000308	Praj.g_00269	Prax.g_00988
OG0000309	Praj.g_00270	Prax.g_00987
OG0000310	Praj.g_00271	Prax.g_00986
OG0000311	Praj.g_00273	Prax.g_00985
OG0000312	Praj.g_00275	Prax.g_00983
OG0000313	Praj.g_00276	Prax.g_00982
OG0000314	Praj.g_00280	Prax.g_00979
OG0000315	Praj.g_00281	Prax.g_00978
OG0000316	Praj.g_00283	Prax.g_00933
OG0000317	Praj.g_00285	Prax.g_00931
OG0000318	Praj.g_00286	Prax.g_00930
OG0000319	Praj.g_00287	Prax.g_00929
OG0000320	Praj.g_00288	Prax.g_00928
OG0000321	Praj.g_00289	Prax.g_00925
OG0000322	Praj.g_00292	Prax.g_00922
OG0000323	Praj.g_00293	Prax.g_00921
OG0000324	Praj.g_00296	Prax.g_00918
OG0000325	Praj.g_00297	Prax.g_00916
OG0000326	Praj.g_00298	Prax.g_00915
OG0000327	Praj.g_00299	Prax.g_00913
OG0000328	Praj.g_00300	Prax.g_00912
OG0000329	Praj.g_00301	Prax.g_00911
OG0000330	Praj.g_00302	Prax.g_00910
OG0000331	Praj.g_00303	Prax.g_00909
OG0000332	Praj.g_00304	Prax.g_00908
OG0000333	Praj.g_00305	Prax.g_00907
OG0000334	Praj.g_00306	Prax.g_00906
OG0000335	Praj.g_00307	Prax.g_00905
OG0000336	Praj.g_00309	Prax.g_00904
OG0000337	Praj.g_00311	Prax.g_00900
OG0000338	Praj.g_00312	Prax.g_00899
OG0000339	Praj.g_00313	Prax.g_00898
OG0000340	Praj.g_00314	Prax.g_00897
OG0000341	Praj.g_00318	Prax.g_00893
OG0000342	Praj.g_00319	Prax.g_00892
OG0000343	Praj.g_00321	Prax.g_00890
OG0000344	Praj.g_00322	Prax.g_00889
OG0000345	Praj.g_00323	Prax.g_00888
OG0000346	Praj.g_00324	Prax.g_00887
OG0000347	Praj.g_00325	Prax.g_00886
OG0000348	Praj.g_00326	Prax.g_00885
OG0000349	Praj.g_00327	Prax.g_00884
OG0000350	Praj.g_00328	Prax.g_00883
OG0000351	Praj.g_00330	Prax.g_00880
OG0000352	Praj.g_00333	Prax.g_00877
OG0000353	Praj.g_00334	Prax.g_00876
OG0000354	Praj.g_00335	Prax.g_00875
OG0000355	Praj.g_00336	Prax.g_00874
OG0000356	Praj.g_00337	Prax.g_00873
OG0000357	Praj.g_00338	Prax.g_00872
OG0000358	Praj.g_00339	Prax.g_00871
OG0000359	Praj.g_00340	Prax.g_00870
OG0000360	Praj.g_00343	Prax.g_00867
OG0000361	Praj.g_00344	Prax.g_00866
OG0000362	Praj.g_00345	Prax.g_00865
OG0000363	Praj.g_00346	Prax.g_00864
OG0000364	Praj.g_00347	Prax.g_00863
OG0000365	Praj.g_00348	Prax.g_00862
OG0000366	Praj.g_00349	Prax.g_00861
OG0000367	Praj.g_00350	Prax.g_00860
OG0000368	Praj.g_00351	Prax.g_00859
OG0000369	Praj.g_00352	Prax.g_00858
OG0000370	Praj.g_00353	Prax.g_00857
OG0000371	Praj.g_00354	Prax.g_00856
OG0000372	Praj.g_00356	Prax.g_00854
OG0000373	Praj.g_00358	Prax.g_00850
OG0000374	Praj.g_00359	Prax.g_00849
OG0000375	Praj.g_00360	Prax.g_00848
OG0000376	Praj.g_00362	Prax.g_00846
OG0000377	Praj.g_00368	Prax.g_00845
OG0000378	Praj.g_00724	Prax.g_00844
OG0000379	Praj.g_00380	Prax.g_00839
OG0000380	Praj.g_00382	Prax.g_00838
OG0000381	Praj.g_00383	Prax.g_00837
OG0000382	Praj.g_00384	Prax.g_00835
OG0000383	Praj.g_00387	Prax.g_00832
OG0000384	Praj.g_00388	Prax.g_00831
OG0000385	Praj.g_00390	Prax.g_00828
OG0000386	Praj.g_00391	Prax.g_00827
OG0000387	Praj.g_00392	Prax.g_00826
OG0000388	Praj.g_00393	Prax.g_00825
OG0000389	Praj.g_00394	Prax.g_00824
OG0000390	Praj.g_00395	Prax.g_00823
OG0000391	Praj.g_00396	Prax.g_00822
OG0000392	Praj.g_00397	Prax.g_00821
OG0000393	Praj.g_00402	Prax.g_00818
OG0000394	Praj.g_00403	Prax.g_00817
OG0000395	Praj.g_00406	Prax.g_00815
OG0000396	Praj.g_00824	Prax.g_00814
OG0000397	Praj.g_01049	Prax.g_00802
OG0000398	Praj.g_01081	Prax.g_00795
OG0000399	Praj.g_01244	Prax.g_00794
OG0000400	Praj.g_01869	Prax.g_00790
OG0000401	Praj.g_00425	Prax.g_00769
OG0000402	Praj.g_00426	Prax.g_00768
OG0000403	Praj.g_00427	Prax.g_00767
OG0000404	Praj.g_00429	Prax.g_00765
OG0000405	Praj.g_00430	Prax.g_00764
OG0000406	Praj.g_00432	Prax.g_00762
OG0000407	Praj.g_00433	Prax.g_00761
OG0000408	Praj.g_00434	Prax.g_00760
OG0000409	Praj.g_00435	Prax.g_00759
OG0000410	Praj.g_00436	Prax.g_00758
OG0000411	Praj.g_00437	Prax.g_00757
OG0000412	Praj.g_00438	Prax.g_00756
OG0000413	Praj.g_00439	Prax.g_00755
OG0000414	Praj.g_00440	Prax.g_00754
OG0000415	Praj.g_00441	Prax.g_00753
OG0000416	Praj.g_00442	Prax.g_00752
OG0000417	Praj.g_00443	Prax.g_00751
OG0000418	Praj.g_00444	Prax.g_00750
OG0000419	Praj.g_00445	Prax.g_00749
OG0000420	Praj.g_00446	Prax.g_00748
OG0000421	Praj.g_00447	Prax.g_00747
OG0000422	Praj.g_00449	Prax.g_00746
OG0000423	Praj.g_00450	Prax.g_00745
OG0000424	Praj.g_00451	Prax.g_00743
OG0000425	Praj.g_00457	Prax.g_00740
OG0000426	Praj.g_00458	Prax.g_00739
OG0000427	Praj.g_00459	Prax.g_00738
OG0000428	Praj.g_00461	Prax.g_00737
OG0000429	Praj.g_00462	Prax.g_00736
OG0000430	Praj.g_00464	Prax.g_00731
OG0000431	Praj.g_00465	Prax.g_00729
OG0000432	Praj.g_00466	Prax.g_00728
OG0000433	Praj.g_00469	Prax.g_00725
OG0000434	Praj.g_00471	Prax.g_00724
OG0000435	Praj.g_00472	Prax.g_00723
OG0000436	Praj.g_00474	Prax.g_00721
OG0000437	Praj.g_00476	Prax.g_00719
OG0000438	Praj.g_00477	Prax.g_00718
OG0000439	Praj.g_00478	Prax.g_00717
OG0000440	Praj.g_00479	Prax.g_00715
OG0000441	Praj.g_00480	Prax.g_00714
OG0000442	Praj.g_00481	Prax.g_00713
OG0000443	Praj.g_00482	Prax.g_00712
OG0000444	Praj.g_00483	Prax.g_00711
OG0000445	Praj.g_00484	Prax.g_00709
OG0000446	Praj.g_00485	Prax.g_00708
OG0000447	Praj.g_00486	Prax.g_00707
OG0000448	Praj.g_00487	Prax.g_00706
OG0000449	Praj.g_00492	Prax.g_00701
OG0000450	Praj.g_00493	Prax.g_00700
OG0000451	Praj.g_00494	Prax.g_00699
OG0000452	Praj.g_00495	Prax.g_00698
OG0000453	Praj.g_00497	Prax.g_00696
OG0000454	Praj.g_00498	Prax.g_00695
OG0000455	Praj.g_00499	Prax.g_00694
OG0000456	Praj.g_00500	Prax.g_00693
OG0000457	Praj.g_00502	Prax.g_00691
OG0000458	Praj.g_00504	Prax.g_00689
OG0000459	Praj.g_00505	Prax.g_00688
OG0000460	Praj.g_00507	Prax.g_00686
OG0000461	Praj.g_00508	Prax.g_00685
OG0000462	Praj.g_00509	Prax.g_00684
OG0000463	Praj.g_00511	Prax.g_00683
OG0000464	Praj.g_00515	Prax.g_00678
OG0000465	Praj.g_00516	Prax.g_00676
OG0000466	Praj.g_00517	Prax.g_00675
OG0000467	Praj.g_00518	Prax.g_00674
OG0000468	Praj.g_00519	Prax.g_00673
OG0000469	Praj.g_00520	Prax.g_00672
OG0000470	Praj.g_00521	Prax.g_00671
OG0000471	Praj.g_00522	Prax.g_00670
OG0000472	Praj.g_00525	Prax.g_00667
OG0000473	Praj.g_00526	Prax.g_00666
OG0000474	Praj.g_00527	Prax.g_00665
OG0000475	Praj.g_00528	Prax.g_00664
OG0000476	Praj.g_00529	Prax.g_00663
OG0000477	Praj.g_00531	Prax.g_00001
OG0000478	Praj.g_00532	Prax.g_00002
OG0000479	Praj.g_00533	Prax.g_00003
OG0000480	Praj.g_00535	Prax.g_00005
OG0000481	Praj.g_00536	Prax.g_00006
OG0000482	Praj.g_00537	Prax.g_00007
OG0000483	Praj.g_00538	Prax.g_00008
OG0000484	Praj.g_00539	Prax.g_00009
OG0000485	Praj.g_00540	Prax.g_00010
OG0000486	Praj.g_00541	Prax.g_00011
OG0000487	Praj.g_00542	Prax.g_00012
OG0000488	Praj.g_00544	Prax.g_00014
OG0000489	Praj.g_00545	Prax.g_00015
OG0000490	Praj.g_00546	Prax.g_00016
OG0000491	Praj.g_00547	Prax.g_00017
OG0000492	Praj.g_00548	Prax.g_00018
OG0000493	Praj.g_00549	Prax.g_00019
OG0000494	Praj.g_00551	Prax.g_00021
OG0000495	Praj.g_00552	Prax.g_00022
OG0000496	Praj.g_00553	Prax.g_00023
OG0000497	Praj.g_00554	Prax.g_00024
OG0000498	Praj.g_00555	Prax.g_00025
OG0000499	Praj.g_00557	Prax.g_00027
OG0000500	Praj.g_00558	Prax.g_00028
OG0000501	Praj.g_00560	Prax.g_00030
OG0000502	Praj.g_00561	Prax.g_00031
OG0000503	Praj.g_00562	Prax.g_00032
OG0000504	Praj.g_00563	Prax.g_00033
OG0000505	Praj.g_00564	Prax.g_00034
OG0000506	Praj.g_00565	Prax.g_00035
OG0000507	Praj.g_00566	Prax.g_00036
OG0000508	Praj.g_00567	Prax.g_00038
OG0000509	Praj.g_00568	Prax.g_00039
OG0000510	Praj.g_00569	Prax.g_00040
OG0000511	Praj.g_00570	Prax.g_00041
OG0000512	Praj.g_00571	Prax.g_00042
OG0000513	Praj.g_00572	Prax.g_00043
OG0000514	Praj.g_00573	Prax.g_00044
OG0000515	Praj.g_00574	Prax.g_00046
OG0000516	Praj.g_00575	Prax.g_00047
OG0000517	Praj.g_00576	Prax.g_00048
OG0000518	Praj.g_00578	Prax.g_00050
OG0000519	Praj.g_00579	Prax.g_00051
OG0000520	Praj.g_00581	Prax.g_00052
OG0000521	Praj.g_00580	Prax.g_00053
OG0000522	Praj.g_00582	Prax.g_00054
OG0000523	Praj.g_00583	Prax.g_00055
OG0000524	Praj.g_00584	Prax.g_00056
OG0000525	Praj.g_00586	Prax.g_00058
OG0000526	Praj.g_00587	Prax.g_00059
OG0000527	Praj.g_00588	Prax.g_00060
OG0000528	Praj.g_00589	Prax.g_00061
OG0000529	Praj.g_00590	Prax.g_00062
OG0000530	Praj.g_00591	Prax.g_00063
OG0000531	Praj.g_00593	Prax.g_00064
OG0000532	Praj.g_00594	Prax.g_00065
OG0000533	Praj.g_00595	Prax.g_00066
OG0000534	Praj.g_00596	Prax.g_00067
OG0000535	Praj.g_00597	Prax.g_00068
OG0000536	Praj.g_00598	Prax.g_00069
OG0000537	Praj.g_00599	Prax.g_00070
OG0000538	Praj.g_00600	Prax.g_00071
OG0000539	Praj.g_00601	Prax.g_00072
OG0000540	Praj.g_00602	Prax.g_00073
OG0000541	Praj.g_00603	Prax.g_00074
OG0000542	Praj.g_00604	Prax.g_00075
OG0000543	Praj.g_00605	Prax.g_00076
OG0000544	Praj.g_00606	Prax.g_00077
OG0000545	Praj.g_00609	Prax.g_00080
OG0000546	Praj.g_00610	Prax.g_00081
OG0000547	Praj.g_00611	Prax.g_00083
OG0000548	Praj.g_00613	Prax.g_00084
OG0000549	Praj.g_00614	Prax.g_00085
OG0000550	Praj.g_00615	Prax.g_00086
OG0000551	Praj.g_00616	Prax.g_00087
OG0000552	Praj.g_00617	Prax.g_00088
OG0000553	Praj.g_00618	Prax.g_00089
OG0000554	Praj.g_00619	Prax.g_00090
OG0000555	Praj.g_00620	Prax.g_00091
OG0000556	Praj.g_00621	Prax.g_00092
OG0000557	Praj.g_00622	Prax.g_00093
OG0000558	Praj.g_00623	Prax.g_00094
OG0000559	Praj.g_00624	Prax.g_00095
OG0000560	Praj.g_00626	Prax.g_00097
OG0000561	Praj.g_00627	Prax.g_00098
OG0000562	Praj.g_00628	Prax.g_00099
OG0000563	Praj.g_00629	Prax.g_00100
OG0000564	Praj.g_00630	Prax.g_00101
OG0000565	Praj.g_00631	Prax.g_00102
OG0000566	Praj.g_00632	Prax.g_00103
OG0000567	Praj.g_00633	Prax.g_00104
OG0000568	Praj.g_00634	Prax.g_00105
OG0000569	Praj.g_00635	Prax.g_00106
OG0000570	Praj.g_00636	Prax.g_00107
OG0000571	Praj.g_00637	Prax.g_00108
OG0000572	Praj.g_00638	Prax.g_00109
OG0000573	Praj.g_00641	Prax.g_00112
OG0000574	Praj.g_00642	Prax.g_00113
