Orthogroup	Praj	Praz
OG0000151	Praj.g_00016	Praz.g_00381
OG0000152	Praj.g_00017	Praz.g_00382
OG0000153	Praj.g_00018	Praz.g_00383
OG0000154	Praj.g_00019	Praz.g_00384
OG0000155	Praj.g_00020	Praz.g_00385
OG0000156	Praj.g_00021	Praz.g_00386
OG0000157	Praj.g_00022	Praz.g_00387
OG0000158	Praj.g_00024	Praz.g_00389
OG0000159	Praj.g_00025	Praz.g_00390
OG0000160	Praj.g_00026	Praz.g_00391
OG0000161	Praj.g_00027	Praz.g_00392
OG0000162	Praj.g_00028	Praz.g_00393
OG0000163	Praj.g_00029	Praz.g_00394
OG0000164	Praj.g_00032	Praz.g_00397
OG0000165	Praj.g_00034	Praz.g_00400
OG0000166	Praj.g_00035	Praz.g_00401
OG0000167	Praj.g_00036	Praz.g_00402
OG0000168	Praj.g_00044	Praz.g_00406
OG0000169	Praj.g_00046	Praz.g_00408
OG0000170	Praj.g_00047	Praz.g_00409
OG0000171	Praj.g_00048	Praz.g_00410
OG0000172	Praj.g_00049	Praz.g_00411
OG0000173	Praj.g_00050	Praz.g_00412
OG0000174	Praj.g_00051	Praz.g_00413
OG0000175	Praj.g_00052	Praz.g_00414
OG0000176	Praj.g_00054	Praz.g_00416
OG0000177	Praj.g_00055	Praz.g_00417
OG0000178	Praj.g_00056	Praz.g_00418
OG0000179	Praj.g_00102	Praz.g_00424
OG0000180	Praj.g_00103	Praz.g_00425
OG0000181	Praj.g_00104	Praz.g_00426
OG0000182	Praj.g_00107	Praz.g_00429
OG0000183	Praj.g_00108	Praz.g_00430
OG0000184	Praj.g_00111	Praz.g_00433
OG0000185	Praj.g_00115	Praz.g_00437
OG0000186	Praj.g_00116	Praz.g_00438
OG0000187	Praj.g_00117	Praz.g_00439
OG0000188	Praj.g_00118	Praz.g_00440
OG0000189	Praj.g_00119	Praz.g_00441
OG0000190	Praj.g_00120	Praz.g_00442
OG0000191	Praj.g_00121	Praz.g_00443
OG0000192	Praj.g_00122	Praz.g_00444
OG0000193	Praj.g_00123	Praz.g_00445
OG0000194	Praj.g_00124	Praz.g_00446
OG0000195	Praj.g_00126	Praz.g_00448
OG0000196	Praj.g_00127	Praz.g_00449
OG0000197	Praj.g_00128	Praz.g_00450
OG0000198	Praj.g_00129	Praz.g_00451
OG0000199	Praj.g_00132	Praz.g_00454
OG0000200	Praj.g_00133	Praz.g_00455
OG0000201	Praj.g_00134	Praz.g_00456
OG0000202	Praj.g_00135	Praz.g_00457
OG0000203	Praj.g_00136	Praz.g_00458
OG0000204	Praj.g_00137	Praz.g_00459
OG0000205	Praj.g_00139	Praz.g_00460
OG0000206	Praj.g_00140	Praz.g_00461
OG0000207	Praj.g_00141	Praz.g_00462
OG0000208	Praj.g_00142	Praz.g_00463
OG0000209	Praj.g_00143	Praz.g_00464
OG0000210	Praj.g_00144	Praz.g_00466
OG0000211	Praj.g_00145	Praz.g_00467
OG0000212	Praj.g_00146	Praz.g_00468
OG0000213	Praj.g_00147	Praz.g_00469
OG0000214	Praj.g_00151	Praz.g_00471
OG0000215	Praj.g_00152	Praz.g_00472
OG0000216	Praj.g_00154	Praz.g_00474
OG0000217	Praj.g_00156	Praz.g_00475
OG0000218	Praj.g_00157	Praz.g_00476
OG0000219	Praj.g_00158	Praz.g_00477
OG0000220	Praj.g_00160	Praz.g_00480
OG0000221	Praj.g_00163	Praz.g_00482
OG0000222	Praj.g_00164	Praz.g_00483
OG0000223	Praj.g_00165	Praz.g_00484
OG0000224	Praj.g_00168	Praz.g_00487
OG0000225	Praj.g_00170	Praz.g_00489
OG0000226	Praj.g_00172	Praz.g_00490
OG0000227	Praj.g_00173	Praz.g_00491
OG0000228	Praj.g_00174	Praz.g_00492
OG0000229	Praj.g_00175	Praz.g_00493
OG0000230	Praj.g_00176	Praz.g_00494
OG0000231	Praj.g_01057	Praz.g_00496
OG0000232	Praj.g_00177	Praz.g_00497
OG0000233	Praj.g_00180	Praz.g_00500
OG0000234	Praj.g_00183	Praz.g_00502
OG0000235	Praj.g_00185	Praz.g_00505
OG0000236	Praj.g_00186	Praz.g_00506
OG0000237	Praj.g_00187	Praz.g_00507
OG0000238	Praj.g_00188	Praz.g_00508
OG0000239	Praj.g_00189	Praz.g_00509
OG0000240	Praj.g_00191	Praz.g_00511
OG0000241	Praj.g_00192	Praz.g_00512
OG0000242	Praj.g_00193	Praz.g_00513
OG0000243	Praj.g_00194	Praz.g_00514
OG0000244	Praj.g_00195	Praz.g_00515
OG0000245	Praj.g_00196	Praz.g_00516
OG0000246	Praj.g_00198	Praz.g_00518
OG0000247	Praj.g_00199	Praz.g_00519
OG0000248	Praj.g_00200	Praz.g_00520
OG0000249	Praj.g_00201	Praz.g_00521
OG0000250	Praj.g_00202	Praz.g_00522
OG0000251	Praj.g_00203	Praz.g_00523
OG0000252	Praj.g_00204	Praz.g_00524
OG0000253	Praj.g_00205	Praz.g_00525
OG0000254	Praj.g_00207	Praz.g_00527
OG0000255	Praj.g_00208	Praz.g_00528
OG0000256	Praj.g_00211	Praz.g_00531
OG0000257	Praj.g_00212	Praz.g_00533
OG0000258	Praj.g_00213	Praz.g_00534
OG0000259	Praj.g_00214	Praz.g_00535
OG0000260	Praj.g_00215	Praz.g_00536
OG0000261	Praj.g_00216	Praz.g_00537
OG0000262	Praj.g_00217	Praz.g_00538
OG0000263	Praj.g_00218	Praz.g_00539
OG0000264	Praj.g_00220	Praz.g_00541
OG0000265	Praj.g_00221	Praz.g_00542
OG0000266	Praj.g_00222	Praz.g_00543
OG0000267	Praj.g_00224	Praz.g_00545
OG0000268	Praj.g_00226	Praz.g_00546
OG0000269	Praj.g_00227	Praz.g_00547
OG0000270	Praj.g_00228	Praz.g_00548
OG0000271	Praj.g_00229	Praz.g_00549
OG0000272	Praj.g_00230	Praz.g_00550
OG0000273	Praj.g_00231	Praz.g_00551
OG0000274	Praj.g_00232	Praz.g_00552
OG0000275	Praj.g_00233	Praz.g_00553
OG0000276	Praj.g_00234	Praz.g_00554
OG0000277	Praj.g_00235	Praz.g_00555
OG0000278	Praj.g_00236	Praz.g_00556
OG0000279	Praj.g_00237	Praz.g_00557
OG0000280	Praj.g_00238	Praz.g_00558
OG0000281	Praj.g_00240	Praz.g_00560
OG0000282	Praj.g_00241	Praz.g_00561
OG0000283	Praj.g_00243	Praz.g_00564
OG0000284	Praj.g_00244	Praz.g_00565
OG0000285	Praj.g_00245	Praz.g_00566
OG0000286	Praj.g_00247	Praz.g_00568
OG0000287	Praj.g_00248	Praz.g_00569
OG0000288	Praj.g_00249	Praz.g_00570
OG0000289	Praj.g_00250	Praz.g_00571
OG0000290	Praj.g_00251	Praz.g_00572
OG0000291	Praj.g_00252	Praz.g_00573
OG0000292	Praj.g_00253	Praz.g_00574
OG0000293	Praj.g_00254	Praz.g_00575
OG0000294	Praj.g_00255	Praz.g_00576
OG0000295	Praj.g_00256	Praz.g_00577
OG0000296	Praj.g_00257	Praz.g_00578
OG0000297	Praj.g_00258	Praz.g_00579
OG0000298	Praj.g_00259	Praz.g_00580
OG0000299	Praj.g_00260	Praz.g_00581
OG0000300	Praj.g_00261	Praz.g_00582
OG0000301	Praj.g_00262	Praz.g_00583
OG0000302	Praj.g_00263	Praz.g_00584
OG0000303	Praj.g_00264	Praz.g_00585
OG0000304	Praj.g_00265	Praz.g_00586
OG0000305	Praj.g_00266	Praz.g_00587
OG0000306	Praj.g_00267	Praz.g_00588
OG0000307	Praj.g_00268	Praz.g_00589
OG0000308	Praj.g_00269	Praz.g_00590
OG0000309	Praj.g_00270	Praz.g_00591
OG0000310	Praj.g_00271	Praz.g_00592
OG0000311	Praj.g_00273	Praz.g_00593
OG0000312	Praj.g_00275	Praz.g_00595
OG0000313	Praj.g_00276	Praz.g_00596
OG0000314	Praj.g_00280	Praz.g_00599
OG0000315	Praj.g_00281	Praz.g_00600
OG0000316	Praj.g_00283	Praz.g_00602
OG0000317	Praj.g_00285	Praz.g_00604
OG0000318	Praj.g_00286	Praz.g_00605
OG0000319	Praj.g_00287	Praz.g_00606
OG0000320	Praj.g_00288	Praz.g_00607
OG0000321	Praj.g_00289	Praz.g_00610
OG0000322	Praj.g_00292	Praz.g_00613
OG0000323	Praj.g_00293	Praz.g_00614
OG0000324	Praj.g_00296	Praz.g_00617
OG0000325	Praj.g_00297	Praz.g_00618
OG0000326	Praj.g_00298	Praz.g_00619
OG0000327	Praj.g_00299	Praz.g_00621
OG0000328	Praj.g_00300	Praz.g_00622
OG0000329	Praj.g_00301	Praz.g_00623
OG0000330	Praj.g_00302	Praz.g_00624
OG0000331	Praj.g_00303	Praz.g_00625
OG0000332	Praj.g_00304	Praz.g_00626
OG0000333	Praj.g_00305	Praz.g_00627
OG0000334	Praj.g_00306	Praz.g_00628
OG0000335	Praj.g_00307	Praz.g_00629
OG0000336	Praj.g_00309	Praz.g_00630
OG0000337	Praj.g_00311	Praz.g_00633
OG0000338	Praj.g_00312	Praz.g_00634
OG0000339	Praj.g_00313	Praz.g_00635
OG0000340	Praj.g_00314	Praz.g_00636
OG0000341	Praj.g_00318	Praz.g_00640
OG0000342	Praj.g_00319	Praz.g_00641
OG0000343	Praj.g_00321	Praz.g_00643
OG0000344	Praj.g_00322	Praz.g_00644
OG0000345	Praj.g_00323	Praz.g_00645
OG0000346	Praj.g_00324	Praz.g_00646
OG0000347	Praj.g_00325	Praz.g_00647
OG0000348	Praj.g_00326	Praz.g_00648
OG0000349	Praj.g_00327	Praz.g_00649
OG0000350	Praj.g_00328	Praz.g_00650
OG0000351	Praj.g_00330	Praz.g_00652
OG0000352	Praj.g_00333	Praz.g_00655
OG0000353	Praj.g_00334	Praz.g_00656
OG0000354	Praj.g_00335	Praz.g_00657
OG0000355	Praj.g_00336	Praz.g_00658
OG0000356	Praj.g_00337	Praz.g_00659
OG0000357	Praj.g_00338	Praz.g_00660
OG0000358	Praj.g_00339	Praz.g_00661
OG0000359	Praj.g_00340	Praz.g_00662
OG0000360	Praj.g_00343	Praz.g_00665
OG0000361	Praj.g_00344	Praz.g_00666
OG0000362	Praj.g_00345	Praz.g_00667
OG0000363	Praj.g_00346	Praz.g_00668
OG0000364	Praj.g_00347	Praz.g_00669
OG0000365	Praj.g_00348	Praz.g_00670
OG0000366	Praj.g_00349	Praz.g_00671
OG0000367	Praj.g_00350	Praz.g_00672
OG0000368	Praj.g_00351	Praz.g_00673
OG0000369	Praj.g_00352	Praz.g_00674
OG0000370	Praj.g_00353	Praz.g_00675
OG0000371	Praj.g_00354	Praz.g_00676
OG0000372	Praj.g_00356	Praz.g_00678
OG0000373	Praj.g_00358	Praz.g_00680
OG0000374	Praj.g_00359	Praz.g_00681
OG0000375	Praj.g_00360	Praz.g_00682
OG0000376	Praj.g_00362	Praz.g_00684
OG0000377	Praj.g_00368	Praz.g_00685
OG0000378	Praj.g_00724	Praz.g_00686
OG0000379	Praj.g_00380	Praz.g_01931
OG0000380	Praj.g_00382	Praz.g_01932
OG0000381	Praj.g_00383	Praz.g_01933
OG0000382	Praj.g_00384	Praz.g_01935
OG0000383	Praj.g_00387	Praz.g_00343
OG0000384	Praj.g_00388	Praz.g_00344
OG0000385	Praj.g_00390	Praz.g_00347
OG0000386	Praj.g_00391	Praz.g_00348
OG0000387	Praj.g_00392	Praz.g_00349
OG0000388	Praj.g_00393	Praz.g_00350
OG0000389	Praj.g_00394	Praz.g_00351
OG0000390	Praj.g_00395	Praz.g_00352
OG0000391	Praj.g_00396	Praz.g_00353
OG0000392	Praj.g_00397	Praz.g_00354
OG0000393	Praj.g_00402	Praz.g_00819
OG0000394	Praj.g_00403	Praz.g_00818
OG0000395	Praj.g_00406	Praz.g_00816
OG0000396	Praj.g_00824	Praz.g_00815
OG0000397	Praj.g_01049	Praz.g_00803
OG0000398	Praj.g_01081	Praz.g_00795
OG0000399	Praj.g_01244	Praz.g_00794
OG0000400	Praj.g_01869	Praz.g_00788
OG0000401	Praj.g_00425	Praz.g_01897
OG0000402	Praj.g_00426	Praz.g_01896
OG0000403	Praj.g_00427	Praz.g_01895
OG0000404	Praj.g_00429	Praz.g_01893
OG0000405	Praj.g_00430	Praz.g_01892
OG0000406	Praj.g_00432	Praz.g_01890
OG0000407	Praj.g_00433	Praz.g_01889
OG0000408	Praj.g_00434	Praz.g_01888
OG0000409	Praj.g_00435	Praz.g_01887
OG0000410	Praj.g_00436	Praz.g_01886
OG0000411	Praj.g_00437	Praz.g_01885
OG0000412	Praj.g_00438	Praz.g_01884
OG0000413	Praj.g_00439	Praz.g_01883
OG0000414	Praj.g_00440	Praz.g_01882
OG0000415	Praj.g_00441	Praz.g_01881
OG0000416	Praj.g_00442	Praz.g_01880
OG0000417	Praj.g_00443	Praz.g_01879
OG0000418	Praj.g_00444	Praz.g_01878
OG0000419	Praj.g_00445	Praz.g_01877
OG0000420	Praj.g_00446	Praz.g_01876
OG0000421	Praj.g_00447	Praz.g_01875
OG0000422	Praj.g_00449	Praz.g_01873
OG0000423	Praj.g_00450	Praz.g_01872
OG0000424	Praj.g_00451	Praz.g_01870
OG0000425	Praj.g_00457	Praz.g_01867
OG0000426	Praj.g_00458	Praz.g_01866
OG0000427	Praj.g_00459	Praz.g_01865
OG0000428	Praj.g_00461	Praz.g_01864
OG0000429	Praj.g_00462	Praz.g_01863
OG0000430	Praj.g_00464	Praz.g_01857
OG0000431	Praj.g_00465	Praz.g_01855
OG0000432	Praj.g_00466	Praz.g_01854
OG0000433	Praj.g_00469	Praz.g_01851
OG0000434	Praj.g_00471	Praz.g_01850
OG0000435	Praj.g_00472	Praz.g_01849
OG0000436	Praj.g_00474	Praz.g_01847
OG0000437	Praj.g_00476	Praz.g_01845
OG0000438	Praj.g_00477	Praz.g_01844
OG0000439	Praj.g_00478	Praz.g_01843
OG0000440	Praj.g_00479	Praz.g_01841
OG0000441	Praj.g_00480	Praz.g_01840
OG0000442	Praj.g_00481	Praz.g_01839
OG0000443	Praj.g_00482	Praz.g_01838
OG0000444	Praj.g_00483	Praz.g_01837
OG0000445	Praj.g_00484	Praz.g_01836
OG0000446	Praj.g_00485	Praz.g_01835
OG0000447	Praj.g_00486	Praz.g_01834
OG0000448	Praj.g_00487	Praz.g_01833
OG0000449	Praj.g_00492	Praz.g_01828
OG0000450	Praj.g_00493	Praz.g_01827
OG0000451	Praj.g_00494	Praz.g_01826
OG0000452	Praj.g_00495	Praz.g_01825
OG0000453	Praj.g_00497	Praz.g_01823
OG0000454	Praj.g_00498	Praz.g_01822
OG0000455	Praj.g_00499	Praz.g_01821
OG0000456	Praj.g_00500	Praz.g_01820
OG0000457	Praj.g_00502	Praz.g_01818
OG0000458	Praj.g_00504	Praz.g_01816
OG0000459	Praj.g_00505	Praz.g_01815
OG0000460	Praj.g_00507	Praz.g_01813
OG0000461	Praj.g_00508	Praz.g_01812
OG0000462	Praj.g_00509	Praz.g_01811
OG0000463	Praj.g_00511	Praz.g_01810
OG0000464	Praj.g_00515	Praz.g_01805
OG0000465	Praj.g_00516	Praz.g_01803
OG0000466	Praj.g_00517	Praz.g_01802
OG0000467	Praj.g_00518	Praz.g_01801
OG0000468	Praj.g_00519	Praz.g_01800
OG0000469	Praj.g_00520	Praz.g_01799
OG0000470	Praj.g_00521	Praz.g_01798
OG0000471	Praj.g_00522	Praz.g_01797
OG0000472	Praj.g_00525	Praz.g_01794
OG0000473	Praj.g_00526	Praz.g_01793
OG0000474	Praj.g_00527	Praz.g_01792
OG0000475	Praj.g_00528	Praz.g_01791
OG0000476	Praj.g_00529	Praz.g_01790
OG0000477	Praj.g_00531	Praz.g_01788
OG0000478	Praj.g_00532	Praz.g_01787
OG0000479	Praj.g_00533	Praz.g_01786
OG0000480	Praj.g_00535	Praz.g_01784
OG0000481	Praj.g_00536	Praz.g_01783
OG0000482	Praj.g_00537	Praz.g_01782
OG0000483	Praj.g_00538	Praz.g_01781
OG0000484	Praj.g_00539	Praz.g_01780
OG0000485	Praj.g_00540	Praz.g_01779
OG0000486	Praj.g_00541	Praz.g_01778
OG0000487	Praj.g_00542	Praz.g_01777
OG0000488	Praj.g_00544	Praz.g_01775
OG0000489	Praj.g_00545	Praz.g_01774
OG0000490	Praj.g_00546	Praz.g_01773
OG0000491	Praj.g_00547	Praz.g_01772
OG0000492	Praj.g_00548	Praz.g_01771
OG0000493	Praj.g_00549	Praz.g_01770
OG0000494	Praj.g_00551	Praz.g_01768
OG0000495	Praj.g_00552	Praz.g_01767
OG0000496	Praj.g_00553	Praz.g_01766
OG0000497	Praj.g_00554	Praz.g_01765
OG0000498	Praj.g_00555	Praz.g_01764
OG0000499	Praj.g_00557	Praz.g_01762
OG0000500	Praj.g_00558	Praz.g_01761
OG0000501	Praj.g_00560	Praz.g_01759
OG0000502	Praj.g_00561	Praz.g_01758
OG0000503	Praj.g_00562	Praz.g_01757
OG0000504	Praj.g_00563	Praz.g_01756
OG0000505	Praj.g_00564	Praz.g_01755
OG0000506	Praj.g_00565	Praz.g_01754
OG0000507	Praj.g_00566	Praz.g_01753
OG0000508	Praj.g_00567	Praz.g_01751
OG0000509	Praj.g_00568	Praz.g_01750
OG0000510	Praj.g_00569	Praz.g_01749
OG0000511	Praj.g_00570	Praz.g_01748
OG0000512	Praj.g_00571	Praz.g_01747
OG0000513	Praj.g_00572	Praz.g_01746
OG0000514	Praj.g_00573	Praz.g_01745
OG0000515	Praj.g_00574	Praz.g_01743
OG0000516	Praj.g_00575	Praz.g_01742
OG0000517	Praj.g_00576	Praz.g_01741
OG0000518	Praj.g_00578	Praz.g_01739
OG0000519	Praj.g_00579	Praz.g_01738
OG0000520	Praj.g_00581	Praz.g_01737
OG0000521	Praj.g_00580	Praz.g_01736
OG0000522	Praj.g_00582	Praz.g_01735
OG0000523	Praj.g_00583	Praz.g_01734
OG0000524	Praj.g_00584	Praz.g_01733
OG0000525	Praj.g_00586	Praz.g_01731
OG0000526	Praj.g_00587	Praz.g_01730
OG0000527	Praj.g_00588	Praz.g_01729
OG0000528	Praj.g_00589	Praz.g_01728
OG0000529	Praj.g_00590	Praz.g_01727
OG0000530	Praj.g_00591	Praz.g_01726
OG0000531	Praj.g_00593	Praz.g_01725
OG0000532	Praj.g_00594	Praz.g_01724
OG0000533	Praj.g_00595	Praz.g_01723
OG0000534	Praj.g_00596	Praz.g_01722
OG0000535	Praj.g_00597	Praz.g_01721
OG0000536	Praj.g_00598	Praz.g_01720
OG0000537	Praj.g_00599	Praz.g_01719
OG0000538	Praj.g_00600	Praz.g_01718
OG0000539	Praj.g_00601	Praz.g_01717
OG0000540	Praj.g_00602	Praz.g_01716
OG0000541	Praj.g_00603	Praz.g_01715
OG0000542	Praj.g_00604	Praz.g_01714
OG0000543	Praj.g_00605	Praz.g_01713
OG0000544	Praj.g_00606	Praz.g_01712
OG0000545	Praj.g_00609	Praz.g_01709
OG0000546	Praj.g_00610	Praz.g_01708
OG0000547	Praj.g_00611	Praz.g_01706
OG0000548	Praj.g_00613	Praz.g_01705
OG0000549	Praj.g_00614	Praz.g_01704
OG0000550	Praj.g_00615	Praz.g_01703
OG0000551	Praj.g_00616	Praz.g_01702
OG0000552	Praj.g_00617	Praz.g_01701
OG0000553	Praj.g_00618	Praz.g_01700
OG0000554	Praj.g_00619	Praz.g_01699
OG0000555	Praj.g_00620	Praz.g_01698
OG0000556	Praj.g_00621	Praz.g_01697
OG0000557	Praj.g_00622	Praz.g_01696
OG0000558	Praj.g_00623	Praz.g_01695
OG0000559	Praj.g_00624	Praz.g_01694
OG0000560	Praj.g_00626	Praz.g_01692
OG0000561	Praj.g_00627	Praz.g_01691
OG0000562	Praj.g_00628	Praz.g_01690
OG0000563	Praj.g_00629	Praz.g_01689
OG0000564	Praj.g_00630	Praz.g_01688
OG0000565	Praj.g_00631	Praz.g_01687
OG0000566	Praj.g_00632	Praz.g_01686
OG0000567	Praj.g_00633	Praz.g_01685
OG0000568	Praj.g_00634	Praz.g_01684
