Orthogroup	Prbk	Syas
OG0000077	Prbk.g_00307	Syas.g_02510
OG0000078	Prbk.g_01515	Syas.g_02561
OG0000079	Prbk.g_01000	Syas.g_01699
OG0000081	Prbk.g_00733	Syas.g_00391
OG0000082	Prbk.g_01122	Syas.g_00837
OG0000085	Prbk.g_00919	Syas.g_02695
OG0000086	Prbk.g_01295	Syas.g_02470
OG0000087	Prbk.g_00559	Syas.g_02374
OG0000089	Prbk.g_00364	Syas.g_01512
OG0000090	Prbk.g_01080	Syas.g_00062
OG0000091	Prbk.g_02639	Syas.g_00907, Syas.g_00146
OG0000094	Prbk.g_02190	Syas.g_00208, Syas.g_01716
OG0000095	Prbk.g_00056	Syas.g_01021
OG0000098	Prbk.g_01199	Syas.g_00091
OG0000099	Prbk.g_00476	Syas.g_01826
OG0000100	Prbk.g_01360, Prbk.g_02498	Syas.g_00567
OG0000101	Prbk.g_00796	Syas.g_01589
OG0000102	Prbk.g_01484	Syas.g_02152, Syas.g_01395
OG0000103	Prbk.g_02260	Syas.g_02009
OG0000104	Prbk.g_02274	Syas.g_02027, Syas.g_02026
OG0000105	Prbk.g_00409	Syas.g_01739
OG0000106	Prbk.g_00925	Syas.g_01451
OG0000107	Prbk.g_01902	Syas.g_01669
OG0000108	Prbk.g_02061	Syas.g_01253
OG0000109	Prbk.g_02077	Syas.g_01236
OG0000110	Prbk.g_01110	Syas.g_00359, Syas.g_00818
OG0000111	Prbk.g_01766	Syas.g_01037
OG0000112	Prbk.g_02332	Syas.g_00452
OG0000113	Prbk.g_02493	Syas.g_00571
OG0000114	Prbk.g_02396	Syas.g_00252, Syas.g_00674
OG0000115	Prbk.g_01234	Syas.g_02548, Syas.g_01285
OG0000116	Prbk.g_01034	Syas.g_01198, Syas.g_00317
OG0000117	Prbk.g_01496	Syas.g_01122
OG0000118	Prbk.g_01169	Syas.g_02835
OG0000120	Prbk.g_00477	Syas.g_01828
OG0000121	Prbk.g_00267, Prbk.g_00261	Syas.g_02821
OG0000122	Prbk.g_02664	Syas.g_00393
OG0000123	Prbk.g_00805	Syas.g_01582
OG0000124	Prbk.g_01539	Syas.g_02137
OG0000125	Prbk.g_02168	Syas.g_01889
OG0000126	Prbk.g_02272	Syas.g_01992
OG0000128	Prbk.g_02290	Syas.g_02046
OG0000129	Prbk.g_02156	Syas.g_01880
OG0000130	Prbk.g_01320	Syas.g_02522
OG0000131	Prbk.g_00751	Syas.g_02367
OG0000132	Prbk.g_00771	Syas.g_02334
OG0000133	Prbk.g_00472	Syas.g_00457
OG0000134	Prbk.g_00361	Syas.g_01509
OG0000135	Prbk.g_02209	Syas.g_01938
OG0000136	Prbk.g_00323	Syas.g_02740
OG0000137	Prbk.g_02113	Syas.g_01333
OG0000138	Prbk.g_02078	Syas.g_01235
OG0000139	Prbk.g_01086	Syas.g_00069
OG0000140	Prbk.g_01092	Syas.g_00090
OG0000141	Prbk.g_01154	Syas.g_00875
OG0000142	Prbk.g_02631	Syas.g_00746
OG0000143	Prbk.g_02635	Syas.g_00742
OG0000144	Prbk.g_00739	Syas.g_00718
OG0000145	Prbk.g_01863	Syas.g_00948
OG0000146	Prbk.g_02333	Syas.g_00451
OG0000147	Prbk.g_02334	Syas.g_00450
OG0000148	Prbk.g_02487	Syas.g_00577
OG0000149	Prbk.g_02544	Syas.g_00282
OG0000150	Prbk.g_02567	Syas.g_00874
OG0000151	Prbk.g_02417	Syas.g_00148, Syas.g_00659
OG0000152	Prbk.g_02324	Syas.g_00461
OG0000153	Prbk.g_02297	Syas.g_00543
OG0000154	Prbk.g_00584	Syas.g_00219
OG0000155	Prbk.g_00099	Syas.g_01131
OG0000156	Prbk.g_00164	Syas.g_01206
OG0000157	Prbk.g_00163	Syas.g_01207
OG0000158	Prbk.g_00526	Syas.g_02185
OG0000160	Prbk.g_00260	Syas.g_02820
OG0000161	Prbk.g_00274	Syas.g_02826
OG0000162	Prbk.g_00280	Syas.g_02751
OG0000163	Prbk.g_02002	Syas.g_01488
OG0000164	Prbk.g_01432	Syas.g_02648
OG0000165	Prbk.g_01423	Syas.g_02609
OG0000166	Prbk.g_00982	Syas.g_01629
OG0000167	Prbk.g_00512	Syas.g_01449
OG0000168	Prbk.g_00527	Syas.g_02184
OG0000169	Prbk.g_00220	Syas.g_02170
OG0000170	Prbk.g_00232	Syas.g_02161
OG0000171	Prbk.g_01538	Syas.g_02139
OG0000172	Prbk.g_01573	Syas.g_02110
OG0000173	Prbk.g_01594	Syas.g_02092
OG0000174	Prbk.g_02211	Syas.g_01940
OG0000175	Prbk.g_02249	Syas.g_01994
OG0000176	Prbk.g_02282	Syas.g_02038
OG0000177	Prbk.g_02283	Syas.g_02039
OG0000178	Prbk.g_02284	Syas.g_02040
OG0000179	Prbk.g_01633	Syas.g_02054
OG0000180	Prbk.g_01632	Syas.g_02055
OG0000181	Prbk.g_01631	Syas.g_02056
OG0000182	Prbk.g_01630	Syas.g_02057
OG0000183	Prbk.g_01626	Syas.g_02061
OG0000184	Prbk.g_02148	Syas.g_01872
OG0000186	Prbk.g_01326	Syas.g_02525
OG0000187	Prbk.g_01324	Syas.g_02524
OG0000188	Prbk.g_01303	Syas.g_02502
OG0000189	Prbk.g_00024	Syas.g_02432
OG0000190	Prbk.g_00022	Syas.g_00133
OG0000191	Prbk.g_00197	Syas.g_02400
OG0000192	Prbk.g_00206	Syas.g_02395
OG0000193	Prbk.g_00752	Syas.g_02366
OG0000194	Prbk.g_00755	Syas.g_02363
OG0000195	Prbk.g_00757	Syas.g_02360
OG0000196	Prbk.g_00768	Syas.g_02337
OG0000197	Prbk.g_00769	Syas.g_02336
OG0000198	Prbk.g_00770	Syas.g_02335
OG0000199	Prbk.g_00777	Syas.g_02327
OG0000200	Prbk.g_01280	Syas.g_02298
OG0000201	Prbk.g_01261	Syas.g_02279
OG0000202	Prbk.g_01260	Syas.g_02278
OG0000203	Prbk.g_01259	Syas.g_02277
OG0000204	Prbk.g_01258	Syas.g_02276
OG0000205	Prbk.g_01251	Syas.g_02267
OG0000206	Prbk.g_00632	Syas.g_02240
OG0000207	Prbk.g_00686	Syas.g_02237
OG0000208	Prbk.g_00685	Syas.g_02236
OG0000209	Prbk.g_00658	Syas.g_01837
OG0000210	Prbk.g_00657	Syas.g_01838
OG0000211	Prbk.g_01368	Syas.g_02552
OG0000212	Prbk.g_01514	Syas.g_02562
OG0000213	Prbk.g_00374	Syas.g_01707
OG0000214	Prbk.g_00401	Syas.g_01730
OG0000215	Prbk.g_00431	Syas.g_01766
OG0000216	Prbk.g_00434	Syas.g_01770
OG0000217	Prbk.g_00438	Syas.g_01778
OG0000218	Prbk.g_00442	Syas.g_01780
OG0000219	Prbk.g_00443	Syas.g_01783
OG0000220	Prbk.g_00444	Syas.g_01784
OG0000221	Prbk.g_00449	Syas.g_01785
OG0000222	Prbk.g_00458	Syas.g_01804
OG0000223	Prbk.g_00481	Syas.g_02221
OG0000224	Prbk.g_00492	Syas.g_02215
OG0000225	Prbk.g_00889	Syas.g_01522
OG0000226	Prbk.g_00893	Syas.g_01518
OG0000227	Prbk.g_00895	Syas.g_01516
OG0000228	Prbk.g_00365	Syas.g_01513
OG0000229	Prbk.g_00328	Syas.g_01497
OG0000230	Prbk.g_00326	Syas.g_01495
OG0000231	Prbk.g_00311	Syas.g_02749
OG0000232	Prbk.g_00295	Syas.g_01276
OG0000233	Prbk.g_02092	Syas.g_01352
OG0000234	Prbk.g_02114	Syas.g_01331
OG0000235	Prbk.g_02060	Syas.g_01254
OG0000236	Prbk.g_02076	Syas.g_01237
OG0000237	Prbk.g_01047	Syas.g_01220
OG0000238	Prbk.g_01051	Syas.g_01215
OG0000239	Prbk.g_01067	Syas.g_00012
OG0000240	Prbk.g_01068	Syas.g_00013
OG0000241	Prbk.g_01965	Syas.g_00754
OG0000242	Prbk.g_01078	Syas.g_00059
OG0000243	Prbk.g_02684	Syas.g_00777
OG0000244	Prbk.g_01897	Syas.g_00784
OG0000245	Prbk.g_01894	Syas.g_00786
OG0000246	Prbk.g_01890	Syas.g_00790
OG0000247	Prbk.g_01879	Syas.g_00802
OG0000248	Prbk.g_01876	Syas.g_00805
OG0000249	Prbk.g_01874	Syas.g_00807
OG0000250	Prbk.g_01106	Syas.g_00814
OG0000251	Prbk.g_01130	Syas.g_00845
OG0000252	Prbk.g_01133	Syas.g_00950
OG0000253	Prbk.g_01139	Syas.g_00846
OG0000254	Prbk.g_01158	Syas.g_00869
OG0000255	Prbk.g_02604	Syas.g_00132, Syas.g_01062
OG0000256	Prbk.g_02618	Syas.g_00104
OG0000257	Prbk.g_02624	Syas.g_00757
OG0000258	Prbk.g_02647	Syas.g_00733
OG0000259	Prbk.g_00720	Syas.g_00708
OG0000260	Prbk.g_00717	Syas.g_00705
OG0000261	Prbk.g_00714	Syas.g_00701
OG0000262	Prbk.g_00709	Syas.g_00695
OG0000263	Prbk.g_00672	Syas.g_01103
OG0000264	Prbk.g_01815	Syas.g_02588
OG0000266	Prbk.g_00608	Syas.g_00186
OG0000267	Prbk.g_02371	Syas.g_00377
OG0000268	Prbk.g_02370	Syas.g_00390
OG0000269	Prbk.g_02463	Syas.g_00601
OG0000270	Prbk.g_02466	Syas.g_00598
OG0000271	Prbk.g_02474	Syas.g_00590
OG0000272	Prbk.g_02475	Syas.g_00589
OG0000274	Prbk.g_02527	Syas.g_00562
OG0000275	Prbk.g_02530	Syas.g_00230
OG0000276	Prbk.g_02536	Syas.g_00237
OG0000277	Prbk.g_02537	Syas.g_00238
OG0000278	Prbk.g_02540	Syas.g_00241
OG0000279	Prbk.g_02548	Syas.g_00288
OG0000280	Prbk.g_02554	Syas.g_00889, Syas.g_00481
OG0000281	Prbk.g_02568	Syas.g_00970
OG0000282	Prbk.g_02398	Syas.g_00672
OG0000283	Prbk.g_02359	Syas.g_00409
OG0000284	Prbk.g_02353	Syas.g_00416
OG0000285	Prbk.g_01698	Syas.g_00436
OG0000286	Prbk.g_02325	Syas.g_00460
OG0000287	Prbk.g_01728	Syas.g_00534
OG0000288	Prbk.g_00583	Syas.g_00220
OG0000289	Prbk.g_00596	Syas.g_00205
OG0000290	Prbk.g_00059	Syas.g_01016
OG0000291	Prbk.g_00057	Syas.g_01018
OG0000292	Prbk.g_02271	Syas.g_02020
OG0000293	Prbk.g_01032	Syas.g_01197
OG0000294	Prbk.g_01031	Syas.g_01196
OG0000295	Prbk.g_00106	Syas.g_01139
OG0000296	Prbk.g_00104	Syas.g_01137
OG0000297	Prbk.g_01498	Syas.g_01124
OG0000298	Prbk.g_01497	Syas.g_01123
OG0000299	Prbk.g_01508	Syas.g_01087
OG0000300	Prbk.g_00186	Syas.g_01082
OG0000301	Prbk.g_00185	Syas.g_01081
OG0000302	Prbk.g_00182	Syas.g_01080
OG0000303	Prbk.g_00097	Syas.g_01071
OG0000304	Prbk.g_00121	Syas.g_01066
OG0000305	Prbk.g_00055	Syas.g_01023
OG0000306	Prbk.g_02578	Syas.g_01929
OG0000307	Prbk.g_02044	Syas.g_01270
OG0000308	Prbk.g_02042	Syas.g_01272
OG0000309	Prbk.g_02038	Syas.g_01364
OG0000310	Prbk.g_01937	Syas.g_02796
OG0000311	Prbk.g_00243	Syas.g_02799
OG0000312	Prbk.g_00247	Syas.g_02804
OG0000313	Prbk.g_00271	Syas.g_02823
OG0000314	Prbk.g_01222	Syas.g_01296
OG0000315	Prbk.g_01212	Syas.g_01306
OG0000316	Prbk.g_01991	Syas.g_02728
OG0000317	Prbk.g_00913	Syas.g_02687
OG0000318	Prbk.g_00906	Syas.g_02680
OG0000319	Prbk.g_01443	Syas.g_02663
OG0000320	Prbk.g_01441	Syas.g_02661
OG0000321	Prbk.g_01440	Syas.g_02660
OG0000322	Prbk.g_01439	Syas.g_02659
OG0000323	Prbk.g_01428	Syas.g_02646
OG0000324	Prbk.g_01399	Syas.g_02578
OG0000325	Prbk.g_01904	Syas.g_01668
OG0000326	Prbk.g_01912	Syas.g_01661
OG0000327	Prbk.g_00987	Syas.g_01634
OG0000328	Prbk.g_00986	Syas.g_01633
OG0000329	Prbk.g_00969	Syas.g_01615
OG0000330	Prbk.g_00968	Syas.g_01614
OG0000331	Prbk.g_00967	Syas.g_01613
OG0000332	Prbk.g_00952	Syas.g_01598
OG0000333	Prbk.g_00950	Syas.g_01595
OG0000334	Prbk.g_00801	Syas.g_01586
OG0000335	Prbk.g_00806	Syas.g_01581
OG0000336	Prbk.g_00810	Syas.g_01577
OG0000337	Prbk.g_00506	Syas.g_02211
OG0000338	Prbk.g_00510	Syas.g_02199
OG0000339	Prbk.g_00516	Syas.g_02192
OG0000340	Prbk.g_00528	Syas.g_02183
OG0000341	Prbk.g_00530	Syas.g_02181
OG0000342	Prbk.g_00531	Syas.g_02180
OG0000343	Prbk.g_00215	Syas.g_02176
OG0000344	Prbk.g_00218	Syas.g_02172
OG0000345	Prbk.g_00233	Syas.g_02160
OG0000346	Prbk.g_00238	Syas.g_02155
OG0000347	Prbk.g_01540	Syas.g_02136
OG0000348	Prbk.g_01578	Syas.g_02107
OG0000349	Prbk.g_01602	Syas.g_02085
OG0000350	Prbk.g_02204	Syas.g_01654
OG0000351	Prbk.g_02252	Syas.g_01998
OG0000352	Prbk.g_02253	Syas.g_01999
OG0000353	Prbk.g_02277	Syas.g_02033
OG0000354	Prbk.g_01057	Syas.g_01209
OG0000354	Prbk.g_01635	Syas.g_02052
OG0000355	Prbk.g_02279	Syas.g_02035
OG0000356	Prbk.g_02280	Syas.g_02036
OG0000357	Prbk.g_02281	Syas.g_02037
OG0000358	Prbk.g_02285	Syas.g_02041
OG0000359	Prbk.g_02287	Syas.g_02043
OG0000360	Prbk.g_02288	Syas.g_02044
OG0000361	Prbk.g_02289	Syas.g_02045
OG0000362	Prbk.g_02291	Syas.g_02047
OG0000363	Prbk.g_01639	Syas.g_02049
OG0000364	Prbk.g_01638	Syas.g_02685
OG0000365	Prbk.g_01629	Syas.g_02058
OG0000366	Prbk.g_01628	Syas.g_02059
OG0000368	Prbk.g_01625	Syas.g_02062
OG0000369	Prbk.g_01624	Syas.g_02063
OG0000370	Prbk.g_01623	Syas.g_02064
OG0000371	Prbk.g_01614	Syas.g_02073
OG0000372	Prbk.g_01609	Syas.g_02078
OG0000373	Prbk.g_01608	Syas.g_02079
OG0000374	Prbk.g_01607	Syas.g_02080
OG0000375	Prbk.g_01606	Syas.g_02081
OG0000376	Prbk.g_01604	Syas.g_02083
OG0000377	Prbk.g_02155	Syas.g_01879
OG0000378	Prbk.g_02141	Syas.g_01867
OG0000379	Prbk.g_02125	Syas.g_01859
OG0000380	Prbk.g_01323	Syas.g_02523
OG0000381	Prbk.g_01319	Syas.g_02521
OG0000382	Prbk.g_01304	Syas.g_02503
OG0000383	Prbk.g_01302	Syas.g_02480
OG0000384	Prbk.g_01301	Syas.g_02479
OG0000385	Prbk.g_01300	Syas.g_02478
OG0000386	Prbk.g_01299	Syas.g_02477
OG0000387	Prbk.g_00020	Syas.g_00134
OG0000388	Prbk.g_00016	Syas.g_02426
OG0000389	Prbk.g_00012	Syas.g_02422
OG0000390	Prbk.g_00191	Syas.g_02406
OG0000391	Prbk.g_00196	Syas.g_02401
OG0000392	Prbk.g_00202	Syas.g_02396
OG0000393	Prbk.g_00207	Syas.g_02394
OG0000394	Prbk.g_00208	Syas.g_02393
OG0000395	Prbk.g_00209	Syas.g_02392
OG0000396	Prbk.g_00542	Syas.g_02389
OG0000397	Prbk.g_00544	Syas.g_02387
OG0000398	Prbk.g_00549	Syas.g_02382
OG0000399	Prbk.g_00550	Syas.g_02381
OG0000400	Prbk.g_00551	Syas.g_02380
OG0000401	Prbk.g_00552	Syas.g_02379
OG0000402	Prbk.g_00554	Syas.g_02377
OG0000403	Prbk.g_00555	Syas.g_02376
OG0000404	Prbk.g_00557	Syas.g_02375
OG0000405	Prbk.g_00749	Syas.g_02369
OG0000406	Prbk.g_00753	Syas.g_02365
OG0000407	Prbk.g_00754	Syas.g_02364
OG0000408	Prbk.g_00756	Syas.g_02361
OG0000409	Prbk.g_00758	Syas.g_02359
OG0000410	Prbk.g_00759	Syas.g_02358
OG0000411	Prbk.g_00760	Syas.g_02357
OG0000412	Prbk.g_00761	Syas.g_02356
OG0000413	Prbk.g_00763	Syas.g_02354
OG0000414	Prbk.g_00764	Syas.g_02353
OG0000415	Prbk.g_00765	Syas.g_02352
OG0000416	Prbk.g_00766	Syas.g_02351
OG0000417	Prbk.g_00767	Syas.g_02338
OG0000418	Prbk.g_00772	Syas.g_02333
OG0000419	Prbk.g_00774	Syas.g_02331
OG0000420	Prbk.g_00775	Syas.g_02329
OG0000421	Prbk.g_00779	Syas.g_02324
OG0000422	Prbk.g_00780	Syas.g_02323
OG0000423	Prbk.g_00781	Syas.g_02322
OG0000424	Prbk.g_00782	Syas.g_02321
OG0000425	Prbk.g_00783	Syas.g_02320
OG0000426	Prbk.g_00784	Syas.g_02319
OG0000427	Prbk.g_00785	Syas.g_02318
OG0000428	Prbk.g_02425	Syas.g_02315
OG0000429	Prbk.g_01283	Syas.g_02312
OG0000430	Prbk.g_01281	Syas.g_02311
OG0000431	Prbk.g_01277	Syas.g_02296
OG0000432	Prbk.g_01270	Syas.g_02288
OG0000433	Prbk.g_01267	Syas.g_02286
OG0000434	Prbk.g_01266	Syas.g_02285
OG0000435	Prbk.g_01263	Syas.g_02282
OG0000436	Prbk.g_01257	Syas.g_02273
OG0000437	Prbk.g_01256	Syas.g_02272
OG0000438	Prbk.g_01255	Syas.g_02271
OG0000439	Prbk.g_01253	Syas.g_02269
OG0000440	Prbk.g_01252	Syas.g_02268
OG0000441	Prbk.g_01245	Syas.g_02265
OG0000442	Prbk.g_01244	Syas.g_02259
OG0000443	Prbk.g_00631	Syas.g_02241
OG0000444	Prbk.g_00683	Syas.g_02234
OG0000445	Prbk.g_00682	Syas.g_02233
OG0000446	Prbk.g_00680	Syas.g_02231
OG0000447	Prbk.g_00670	Syas.g_02229
OG0000448	Prbk.g_00669	Syas.g_02228
OG0000449	Prbk.g_00668	Syas.g_02226
OG0000450	Prbk.g_00662	Syas.g_01834
OG0000451	Prbk.g_00661	Syas.g_01835
OG0000452	Prbk.g_00656	Syas.g_01844
OG0000453	Prbk.g_00655	Syas.g_01845
OG0000454	Prbk.g_00654	Syas.g_01846
OG0000455	Prbk.g_00653	Syas.g_01847
OG0000456	Prbk.g_00652	Syas.g_01848
OG0000457	Prbk.g_00650	Syas.g_01850
OG0000458	Prbk.g_00649	Syas.g_01851
OG0000459	Prbk.g_00648	Syas.g_01852
OG0000460	Prbk.g_01369	Syas.g_02554
OG0000461	Prbk.g_01900	Syas.g_01686
OG0000462	Prbk.g_01012	Syas.g_01688
OG0000463	Prbk.g_01011	Syas.g_01689
OG0000464	Prbk.g_01010	Syas.g_01690
OG0000465	Prbk.g_01008	Syas.g_01692
OG0000466	Prbk.g_01003	Syas.g_01697
OG0000467	Prbk.g_01001	Syas.g_01698
OG0000468	Prbk.g_00371	Syas.g_01703
OG0000469	Prbk.g_00384	Syas.g_01725
OG0000470	Prbk.g_00397	Syas.g_01727
OG0000471	Prbk.g_00398	Syas.g_01728
OG0000472	Prbk.g_00400	Syas.g_01729
OG0000473	Prbk.g_00402	Syas.g_01731
OG0000474	Prbk.g_00403	Syas.g_01732
OG0000475	Prbk.g_00404	Syas.g_01733
OG0000476	Prbk.g_00406	Syas.g_01735
OG0000477	Prbk.g_00411	Syas.g_01740
OG0000478	Prbk.g_00412	Syas.g_01741
OG0000479	Prbk.g_00413	Syas.g_01749
OG0000480	Prbk.g_00420	Syas.g_01756
OG0000481	Prbk.g_00422	Syas.g_00161, Syas.g_00162
OG0000482	Prbk.g_00423	Syas.g_01758
OG0000483	Prbk.g_00427	Syas.g_01762
OG0000484	Prbk.g_00428	Syas.g_01763
OG0000485	Prbk.g_00429	Syas.g_01764
OG0000486	Prbk.g_00430	Syas.g_01765
OG0000487	Prbk.g_00435	Syas.g_01771
OG0000488	Prbk.g_00439	Syas.g_01779
OG0000489	Prbk.g_00450	Syas.g_01823
OG0000490	Prbk.g_00456	Syas.g_01808
OG0000491	Prbk.g_00457	Syas.g_01806
OG0000492	Prbk.g_00460	Syas.g_01803
OG0000493	Prbk.g_00461	Syas.g_01802
OG0000494	Prbk.g_00462	Syas.g_01801
OG0000495	Prbk.g_00463	Syas.g_01799
OG0000496	Prbk.g_00464	Syas.g_01798
OG0000497	Prbk.g_00465	Syas.g_01797
OG0000498	Prbk.g_00466	Syas.g_01796
OG0000499	Prbk.g_00467	Syas.g_01795
OG0000500	Prbk.g_00468	Syas.g_01794
OG0000501	Prbk.g_00471	Syas.g_01791
OG0000502	Prbk.g_00483	Syas.g_02216
OG0000503	Prbk.g_00871	Syas.g_01541
OG0000504	Prbk.g_00873	Syas.g_01539
OG0000505	Prbk.g_00874	Syas.g_01538
OG0000506	Prbk.g_00876	Syas.g_01536
OG0000507	Prbk.g_00881	Syas.g_01530
OG0000508	Prbk.g_00888	Syas.g_01523
OG0000509	Prbk.g_00890	Syas.g_01521
OG0000510	Prbk.g_00891	Syas.g_01520
OG0000511	Prbk.g_00892	Syas.g_01519
OG0000512	Prbk.g_00894	Syas.g_01517
OG0000513	Prbk.g_00360	Syas.g_01508
OG0000514	Prbk.g_00352	Syas.g_01504
OG0000515	Prbk.g_00351	Syas.g_01503
OG0000516	Prbk.g_00339	Syas.g_01501
OG0000517	Prbk.g_00329	Syas.g_01498
OG0000518	Prbk.g_00317	Syas.g_00360, Syas.g_02746
OG0000519	Prbk.g_00316	Syas.g_02747
OG0000520	Prbk.g_00315	Syas.g_02748
OG0000521	Prbk.g_00301	Syas.g_01281
OG0000522	Prbk.g_00299	Syas.g_01279
OG0000523	Prbk.g_00298	Syas.g_01278
OG0000524	Prbk.g_02088	Syas.g_01354
OG0000525	Prbk.g_02105	Syas.g_01342
OG0000526	Prbk.g_02107	Syas.g_01340
OG0000527	Prbk.g_02111	Syas.g_01335
OG0000528	Prbk.g_02056	Syas.g_01256
OG0000529	Prbk.g_02062	Syas.g_01252
OG0000530	Prbk.g_02065	Syas.g_01249
OG0000531	Prbk.g_02066	Syas.g_01248
OG0000532	Prbk.g_02069	Syas.g_01245
OG0000533	Prbk.g_02071	Syas.g_01243
OG0000534	Prbk.g_02072	Syas.g_01242
OG0000535	Prbk.g_02073	Syas.g_01241
OG0000536	Prbk.g_02074	Syas.g_01240
OG0000537	Prbk.g_02075	Syas.g_01238
OG0000538	Prbk.g_01865	Syas.g_01228
OG0000539	Prbk.g_01041	Syas.g_01227
OG0000540	Prbk.g_01042	Syas.g_01226
OG0000541	Prbk.g_01043	Syas.g_01225
OG0000542	Prbk.g_01046	Syas.g_01221
OG0000543	Prbk.g_01048	Syas.g_01219
OG0000544	Prbk.g_01049	Syas.g_01218
OG0000545	Prbk.g_01050	Syas.g_01216
OG0000546	Prbk.g_01052	Syas.g_01214
OG0000547	Prbk.g_01054	Syas.g_01212
OG0000548	Prbk.g_01055	Syas.g_01211
OG0000549	Prbk.g_01061	Syas.g_00005
OG0000550	Prbk.g_01066	Syas.g_00010
OG0000551	Prbk.g_01070	Syas.g_00015
OG0000552	Prbk.g_01071	Syas.g_00016
OG0000553	Prbk.g_01076	Syas.g_00019
OG0000554	Prbk.g_01081	Syas.g_00063
OG0000555	Prbk.g_01099	Syas.g_00775
OG0000556	Prbk.g_02686	Syas.g_00781
OG0000557	Prbk.g_01898	Syas.g_00783
OG0000558	Prbk.g_01895	Syas.g_00785
OG0000559	Prbk.g_01891	Syas.g_00789
OG0000560	Prbk.g_01888	Syas.g_00792
OG0000561	Prbk.g_01887	Syas.g_00793
OG0000562	Prbk.g_01886	Syas.g_00794
OG0000563	Prbk.g_01885	Syas.g_00795
OG0000564	Prbk.g_01884	Syas.g_00796
OG0000565	Prbk.g_01881	Syas.g_00800
OG0000566	Prbk.g_01877	Syas.g_00804
OG0000567	Prbk.g_01873	Syas.g_00808
OG0000568	Prbk.g_01871	Syas.g_00810
OG0000569	Prbk.g_01104	Syas.g_00811
OG0000570	Prbk.g_01105	Syas.g_00812
OG0000571	Prbk.g_01108	Syas.g_00815
OG0000572	Prbk.g_01124	Syas.g_00839
OG0000573	Prbk.g_01131	Syas.g_00952
OG0000574	Prbk.g_01132	Syas.g_00951
OG0000575	Prbk.g_01141	Syas.g_00848
OG0000576	Prbk.g_01143	Syas.g_00850
