Orthogroup	Prbn	Syao
OG0000059	Prbn.g_01833	Syao.g_01959
OG0000061	Prbn.g_01189	Syao.g_00123
OG0000062	Prbn.g_00897	Syao.g_01576
OG0000063	Prbn.g_00130	Syao.g_02230
OG0000064	Prbn.g_00710	Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605, Syao.g_01898
OG0000065	Prbn.g_01312	Syao.g_02600
OG0000066	Prbn.g_00577, Prbn.g_01657	Syao.g_01422
OG0000067	Prbn.g_01546	Syao.g_00756
OG0000068	Prbn.g_01240	Syao.g_00868, Syao.g_00036
OG0000069	Prbn.g_00659	Syao.g_00313
OG0000070	Prbn.g_00663	Syao.g_00330
OG0000071	Prbn.g_01084	Syao.g_01433
OG0000072	Prbn.g_00383	Syao.g_02509, Syao.g_01749
OG0000073	Prbn.g_00614	Syao.g_00103
OG0000075	Prbn.g_01917	Syao.g_02257
OG0000076	Prbn.g_00996	Syao.g_01949
OG0000079	Prbn.g_00018	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Prbn.g_00530, Prbn.g_01734	Syao.g_01035
OG0000084	Prbn.g_00209	Syao.g_02606
OG0000085	Prbn.g_01737, Prbn.g_00144	Syao.g_01569
OG0000086	Prbn.g_01333	Syao.g_02653, Syao.g_01240
OG0000087	Prbn.g_01278	Syao.g_02555
OG0000088	Prbn.g_01247	Syao.g_02503
OG0000089	Prbn.g_00696	Syao.g_01716
OG0000090	Prbn.g_00583	Syao.g_01412
OG0000091	Prbn.g_00434	Syao.g_00902
OG0000092	Prbn.g_01616	Syao.g_00656
OG0000097	Prbn.g_00408	Syao.g_00973
OG0000098	Prbn.g_01216	Syao.g_01374
OG0000099	Prbn.g_00173	Syao.g_02019
OG0000100	Prbn.g_00903	Syao.g_00787
OG0000101	Prbn.g_01881	Syao.g_01840
OG0000102	Prbn.g_00991	Syao.g_01945
OG0000103	Prbn.g_00907	Syao.g_02340
OG0000104	Prbn.g_00296	Syao.g_02157
OG0000105	Prbn.g_00041	Syao.g_02071, Syao.g_02072
OG0000106	Prbn.g_00829	Syao.g_01385
OG0000107	Prbn.g_01810	Syao.g_01935
OG0000108	Prbn.g_00634	Syao.g_00028
OG0000109	Prbn.g_00620	Syao.g_00110
OG0000110	Prbn.g_00541	Syao.g_01051
OG0000111	Prbn.g_01561	Syao.g_00378
OG0000112	Prbn.g_00468	Syao.g_00683, Syao.g_00303
OG0000113	Prbn.g_01523	Syao.g_00782
OG0000114	Prbn.g_01621	Syao.g_00965
OG0000115	Prbn.g_01120	Syao.g_00065, Syao.g_01464
OG0000116	Prbn.g_01178	Syao.g_00137
OG0000117	Prbn.g_00389	Syao.g_00169
OG0000118	Prbn.g_01071	Syao.g_01475
OG0000120	Prbn.g_00170	Syao.g_02009
OG0000121	Prbn.g_00214	Syao.g_01489
OG0000122	Prbn.g_01113, Prbn.g_00255	Syao.g_01247
OG0000123	Prbn.g_01888	Syao.g_01832
OG0000124	Prbn.g_00979	Syao.g_02179
OG0000125	Prbn.g_00944	Syao.g_02444
OG0000126	Prbn.g_00295	Syao.g_02198
OG0000128	Prbn.g_00002, Prbn.g_00003	Syao.g_02149
OG0000129	Prbn.g_00737	Syao.g_02434
OG0000130	Prbn.g_00708	Syao.g_02617
OG0000131	Prbn.g_01269	Syao.g_02480
OG0000132	Prbn.g_01249	Syao.g_02501
OG0000133	Prbn.g_00088	Syao.g_00678
OG0000134	Prbn.g_00694	Syao.g_01719
OG0000135	Prbn.g_01102	Syao.g_00147
OG0000136	Prbn.g_00672	Syao.g_01614, Syao.g_01613
OG0000137	Prbn.g_00639	Syao.g_02682
OG0000138	Prbn.g_00619	Syao.g_00108
OG0000139	Prbn.g_00579	Syao.g_02005
OG0000140	Prbn.g_00578	Syao.g_01373, Syao.g_01372
OG0000141	Prbn.g_00507	Syao.g_01202
OG0000142	Prbn.g_00426	Syao.g_00894
OG0000143	Prbn.g_00430	Syao.g_00898
OG0000145	Prbn.g_01100	Syao.g_00102
OG0000146	Prbn.g_00469	Syao.g_00684, Syao.g_00304
OG0000147	Prbn.g_00470	Syao.g_00305, Syao.g_00685
OG0000148	Prbn.g_01529	Syao.g_00776
OG0000149	Prbn.g_01497	Syao.g_00534
OG0000150	Prbn.g_01487	Syao.g_01203
OG0000151	Prbn.g_01611	Syao.g_00975
OG0000152	Prbn.g_01418	Syao.g_00674
OG0000153	Prbn.g_01399	Syao.g_00818, Syao.g_01176
OG0000154	Prbn.g_01379	Syao.g_00447
OG0000155	Prbn.g_01210	Syao.g_00178
OG0000156	Prbn.g_01095	Syao.g_00151
OG0000157	Prbn.g_01094	Syao.g_00152
OG0000158	Prbn.g_01014	Syao.g_02267
OG0000159	Prbn.g_00717	Syao.g_02276
OG0000160	Prbn.g_00213	Syao.g_01488
OG0000161	Prbn.g_00219	Syao.g_01494
OG0000162	Prbn.g_00225	Syao.g_01515
OG0000163	Prbn.g_00264	Syao.g_01745
OG0000164	Prbn.g_01770	Syao.g_01663
OG0000165	Prbn.g_01777	Syao.g_01655
OG0000166	Prbn.g_01844	Syao.g_01790
OG0000167	Prbn.g_01915	Syao.g_01960
OG0000168	Prbn.g_01013	Syao.g_02128
OG0000169	Prbn.g_01003	Syao.g_02139
OG0000170	Prbn.g_01000	Syao.g_02148
OG0000171	Prbn.g_00980	Syao.g_02181
OG0000172	Prbn.g_00973	Syao.g_02170
OG0000173	Prbn.g_00958	Syao.g_02212
OG0000174	Prbn.g_00929	Syao.g_02364, Syao.g_02355
OG0000175	Prbn.g_00916	Syao.g_02327, Syao.g_00308
OG0000176	Prbn.g_00010	Syao.g_02165
OG0000177	Prbn.g_00009	Syao.g_02156
OG0000178	Prbn.g_00008	Syao.g_02155
OG0000179	Prbn.g_00766	Syao.g_02250
OG0000180	Prbn.g_00765	Syao.g_02249
OG0000181	Prbn.g_00764	Syao.g_02248
OG0000182	Prbn.g_00763	Syao.g_02247
OG0000183	Prbn.g_00759	Syao.g_02243
OG0000184	Prbn.g_00733	Syao.g_02423
OG0000185	Prbn.g_00730	Syao.g_02410
OG0000186	Prbn.g_00714	Syao.g_02613
OG0000187	Prbn.g_00713	Syao.g_02615
OG0000188	Prbn.g_01339	Syao.g_02637
OG0000189	Prbn.g_01325	Syao.g_02672
OG0000190	Prbn.g_01323	Syao.g_01015
OG0000191	Prbn.g_01300	Syao.g_02573
OG0000192	Prbn.g_01295	Syao.g_02579
OG0000193	Prbn.g_01268	Syao.g_02481
OG0000194	Prbn.g_01265	Syao.g_02484
OG0000195	Prbn.g_01263	Syao.g_02486
OG0000196	Prbn.g_01252	Syao.g_02498
OG0000197	Prbn.g_01251	Syao.g_02499
OG0000198	Prbn.g_01250	Syao.g_02500
OG0000199	Prbn.g_01243, Prbn.g_00384	Syao.g_02508
OG0000200	Prbn.g_00370	Syao.g_02524
OG0000201	Prbn.g_00361	Syao.g_02540
OG0000202	Prbn.g_00360	Syao.g_02454
OG0000203	Prbn.g_00359	Syao.g_02455
OG0000204	Prbn.g_00358	Syao.g_02456
OG0000205	Prbn.g_00351	Syao.g_02464
OG0000206	Prbn.g_00346	Syao.g_02469
OG0000207	Prbn.g_00343	Syao.g_02471
OG0000208	Prbn.g_00342	Syao.g_02472
OG0000209	Prbn.g_00333	Syao.g_02394
OG0000210	Prbn.g_00332	Syao.g_02395
OG0000211	Prbn.g_00317	Syao.g_01700
OG0000212	Prbn.g_00309	Syao.g_01710
OG0000213	Prbn.g_00024	Syao.g_02098
OG0000214	Prbn.g_00034	Syao.g_02081
OG0000215	Prbn.g_00061	Syao.g_02050
OG0000216	Prbn.g_00062	Syao.g_02045
OG0000217	Prbn.g_00065	Syao.g_02041
OG0000218	Prbn.g_00067	Syao.g_02039
OG0000219	Prbn.g_00068	Syao.g_02038
OG0000220	Prbn.g_00069	Syao.g_02037
OG0000221	Prbn.g_00070	Syao.g_02034
OG0000222	Prbn.g_00077	Syao.g_02023
OG0000223	Prbn.g_00089	Syao.g_00291
OG0000224	Prbn.g_00091	Syao.g_01973
OG0000225	Prbn.g_00117	Syao.g_01751
OG0000226	Prbn.g_00121	Syao.g_01758
OG0000227	Prbn.g_00123	Syao.g_01760
OG0000228	Prbn.g_00697	Syao.g_01715
OG0000229	Prbn.g_00677	Syao.g_01736
OG0000230	Prbn.g_00675	Syao.g_01738
OG0000231	Prbn.g_00664	Syao.g_01513
OG0000232	Prbn.g_00653	Syao.g_00057
OG0000233	Prbn.g_00647	Syao.g_02698
OG0000234	Prbn.g_00638	Syao.g_02680
OG0000235	Prbn.g_00635	Syao.g_00029
OG0000236	Prbn.g_00621	Syao.g_00111
OG0000237	Prbn.g_00608	Syao.g_00166
OG0000238	Prbn.g_00602	Syao.g_00161
OG0000239	Prbn.g_00591	Syao.g_01398
OG0000240	Prbn.g_00590	Syao.g_01399
OG0000241	Prbn.g_00586	Syao.g_00887
OG0000242	Prbn.g_00584	Syao.g_01410
OG0000243	Prbn.g_00573	Syao.g_00873
OG0000244	Prbn.g_00570	Syao.g_00865
OG0000245	Prbn.g_00568	Syao.g_00863
OG0000246	Prbn.g_00564	Syao.g_00859
OG0000247	Prbn.g_00554	Syao.g_00847
OG0000248	Prbn.g_00551	Syao.g_00844
OG0000249	Prbn.g_00549	Syao.g_00842
OG0000250	Prbn.g_00544	Syao.g_00835
OG0000251	Prbn.g_00524	Syao.g_01026
OG0000252	Prbn.g_00521	Syao.g_01020
OG0000253	Prbn.g_00520	Syao.g_01003
OG0000254	Prbn.g_00503	Syao.g_01053
OG0000255	Prbn.g_00497	Syao.g_01009
OG0000256	Prbn.g_00487	Syao.g_01328
OG0000257	Prbn.g_00421	Syao.g_00884
OG0000258	Prbn.g_00435	Syao.g_00907
OG0000259	Prbn.g_00835	Syao.g_00933, Syao.g_00932
OG0000260	Prbn.g_00838	Syao.g_00936
OG0000261	Prbn.g_00841	Syao.g_00941
OG0000262	Prbn.g_00845	Syao.g_00946
OG0000263	Prbn.g_01583	Syao.g_00247
OG0000264	Prbn.g_01572	Syao.g_00699
OG0000265	Prbn.g_01554	Syao.g_00049
OG0000266	Prbn.g_00864	Syao.g_00480
OG0000267	Prbn.g_01350	Syao.g_00589
OG0000268	Prbn.g_01351	Syao.g_00588
OG0000269	Prbn.g_01551	Syao.g_00751
OG0000270	Prbn.g_01548	Syao.g_00754
OG0000271	Prbn.g_01540	Syao.g_00762
OG0000272	Prbn.g_01539	Syao.g_00763
OG0000273	Prbn.g_01515	Syao.g_00791
OG0000274	Prbn.g_01514	Syao.g_00792
OG0000275	Prbn.g_01511	Syao.g_00438
OG0000276	Prbn.g_01505	Syao.g_00558
OG0000277	Prbn.g_01504	Syao.g_00557
OG0000278	Prbn.g_01501	Syao.g_00554
OG0000279	Prbn.g_01494	Syao.g_00529
OG0000280	Prbn.g_01493	Syao.g_00608
OG0000281	Prbn.g_01486	Syao.g_01377
OG0000282	Prbn.g_01619	Syao.g_00967
OG0000283	Prbn.g_01442	Syao.g_00640
OG0000284	Prbn.g_01437	Syao.g_00634
OG0000285	Prbn.g_01432	Syao.g_00706
OG0000286	Prbn.g_01419	Syao.g_00675
OG0000287	Prbn.g_01123	Syao.g_00825
OG0000288	Prbn.g_01380	Syao.g_00446
OG0000289	Prbn.g_01364	Syao.g_00461
OG0000290	Prbn.g_01468	Syao.g_00428
OG0000291	Prbn.g_01470	Syao.g_00333
OG0000292	Prbn.g_01144	Syao.g_02196
OG0000293	Prbn.g_01179	Syao.g_00136
OG0000294	Prbn.g_01180	Syao.g_00135
OG0000295	Prbn.g_01203	Syao.g_00186
OG0000296	Prbn.g_01205	Syao.g_00184
OG0000299	Prbn.g_00407	Syao.g_00231
OG0000301	Prbn.g_00411	Syao.g_00272, Syao.g_00273
OG0000302	Prbn.g_00413	Syao.g_00271
OG0000303	Prbn.g_00419	Syao.g_00262
OG0000304	Prbn.g_00482	Syao.g_00256
OG0000305	Prbn.g_01146	Syao.g_00388
OG0000306	Prbn.g_01482	Syao.g_01216
OG0000307	Prbn.g_00159	Syao.g_00045
OG0000308	Prbn.g_00160	Syao.g_00047
OG0000309	Prbn.g_00164	Syao.g_02705
OG0000310	Prbn.g_00198	Syao.g_01530
OG0000311	Prbn.g_00200	Syao.g_01533
OG0000312	Prbn.g_00203	Syao.g_01538
OG0000313	Prbn.g_00216	Syao.g_01491
OG0000314	Prbn.g_00239	Syao.g_00078
OG0000315	Prbn.g_00249	Syao.g_00088
OG0000316	Prbn.g_00274	Syao.g_01602
OG0000317	Prbn.g_01742	Syao.g_01560
OG0000318	Prbn.g_01746	Syao.g_01553
OG0000319	Prbn.g_01759	Syao.g_01678
OG0000320	Prbn.g_01761	Syao.g_01676
OG0000321	Prbn.g_01762	Syao.g_01675
OG0000322	Prbn.g_01763	Syao.g_01674
OG0000323	Prbn.g_01773	Syao.g_01661
OG0000324	Prbn.g_01800	Syao.g_01630
OG0000325	Prbn.g_01811	Syao.g_01936
OG0000326	Prbn.g_01818	Syao.g_01918
OG0000327	Prbn.g_01839	Syao.g_01795
OG0000328	Prbn.g_01840	Syao.g_01794
OG0000329	Prbn.g_01857	Syao.g_01776
OG0000330	Prbn.g_01858	Syao.g_01775
OG0000331	Prbn.g_01859	Syao.g_01774
OG0000332	Prbn.g_01873	Syao.g_01813
OG0000333	Prbn.g_01875	Syao.g_01810
OG0000334	Prbn.g_01884	Syao.g_01836
OG0000335	Prbn.g_01889	Syao.g_01831
OG0000336	Prbn.g_01893	Syao.g_01827
OG0000337	Prbn.g_01911	Syao.g_01968
OG0000338	Prbn.g_01912	Syao.g_01962
OG0000339	Prbn.g_01918	Syao.g_02259
OG0000340	Prbn.g_01012	Syao.g_02129
OG0000341	Prbn.g_01010	Syao.g_02131
OG0000342	Prbn.g_01009	Syao.g_02132
OG0000343	Prbn.g_01008	Syao.g_02133
OG0000344	Prbn.g_01005	Syao.g_02137
OG0000345	Prbn.g_00999	Syao.g_01953
OG0000346	Prbn.g_00995	Syao.g_01948
OG0000347	Prbn.g_00978	Syao.g_02178
OG0000348	Prbn.g_00970	Syao.g_02166
OG0000349	Prbn.g_00953	Syao.g_02219
OG0000350	Prbn.g_00798	Syao.g_01925
OG0000351	Prbn.g_00913	Syao.g_02331
OG0000352	Prbn.g_00912	Syao.g_02332
OG0000353	Prbn.g_00299	Syao.g_02160
OG0000355	Prbn.g_00301	Syao.g_02162
OG0000356	Prbn.g_00302	Syao.g_02163
OG0000357	Prbn.g_00011	Syao.g_02164
OG0000358	Prbn.g_00007	Syao.g_02154
OG0000359	Prbn.g_00006	Syao.g_02152
OG0000360	Prbn.g_00005	Syao.g_02151
OG0000361	Prbn.g_00004	Syao.g_02150
OG0000362	Prbn.g_00001	Syao.g_01954
OG0000363	Prbn.g_00768	Syao.g_02255
OG0000364	Prbn.g_00767	Syao.g_01558
OG0000365	Prbn.g_00762	Syao.g_02246
OG0000366	Prbn.g_00761	Syao.g_02245
OG0000367	Prbn.g_00760	Syao.g_02244
OG0000368	Prbn.g_00758	Syao.g_02242
OG0000369	Prbn.g_00757	Syao.g_02241
OG0000370	Prbn.g_00756	Syao.g_02240
OG0000371	Prbn.g_00749	Syao.g_02231
OG0000372	Prbn.g_00746	Syao.g_02226
OG0000373	Prbn.g_00745	Syao.g_02225
OG0000374	Prbn.g_00744	Syao.g_02224
OG0000375	Prbn.g_00742	Syao.g_02223
OG0000376	Prbn.g_00740	Syao.g_02221
OG0000377	Prbn.g_00736	Syao.g_02429
OG0000378	Prbn.g_00732	Syao.g_02414
OG0000379	Prbn.g_00729	Syao.g_02409
OG0000380	Prbn.g_00712	Syao.g_02616
OG0000381	Prbn.g_00707	Syao.g_02618
OG0000382	Prbn.g_01340	Syao.g_02636
OG0000383	Prbn.g_01338	Syao.g_02643
OG0000384	Prbn.g_01337	Syao.g_02644
OG0000385	Prbn.g_01336	Syao.g_02645
OG0000386	Prbn.g_01335	Syao.g_02646
OG0000387	Prbn.g_01321	Syao.g_01019
OG0000388	Prbn.g_01317	Syao.g_02596
OG0000389	Prbn.g_01314	Syao.g_02599
OG0000390	Prbn.g_01304	Syao.g_02567
OG0000391	Prbn.g_01301	Syao.g_02572
OG0000392	Prbn.g_01297	Syao.g_02578
OG0000393	Prbn.g_01294	Syao.g_02581
OG0000394	Prbn.g_01293	Syao.g_02582
OG0000395	Prbn.g_01292	Syao.g_02583
OG0000396	Prbn.g_01290	Syao.g_02586
OG0000397	Prbn.g_01288	Syao.g_02542
OG0000398	Prbn.g_01285	Syao.g_02547
OG0000399	Prbn.g_01284	Syao.g_02548
OG0000400	Prbn.g_01283	Syao.g_02549
OG0000401	Prbn.g_01282	Syao.g_02550
OG0000402	Prbn.g_01356	Syao.g_02552
OG0000403	Prbn.g_01280	Syao.g_02553
OG0000404	Prbn.g_01279	Syao.g_02554
OG0000405	Prbn.g_01275	Syao.g_02478
OG0000406	Prbn.g_01267	Syao.g_02482
OG0000407	Prbn.g_01266	Syao.g_02483
OG0000408	Prbn.g_01264	Syao.g_02485
OG0000409	Prbn.g_01262	Syao.g_02487
OG0000410	Prbn.g_01261	Syao.g_02488
OG0000411	Prbn.g_01260	Syao.g_02489
OG0000412	Prbn.g_01259	Syao.g_02490
OG0000413	Prbn.g_01257	Syao.g_02492
OG0000414	Prbn.g_01256	Syao.g_02493
OG0000415	Prbn.g_01255	Syao.g_02494
OG0000416	Prbn.g_01254	Syao.g_02495
OG0000417	Prbn.g_01253	Syao.g_02497
OG0000418	Prbn.g_01248	Syao.g_02502
OG0000419	Prbn.g_01246	Syao.g_02504
OG0000420	Prbn.g_01245	Syao.g_02506
OG0000421	Prbn.g_00381	Syao.g_02510
OG0000422	Prbn.g_00380	Syao.g_02511
OG0000423	Prbn.g_00379	Syao.g_02512
OG0000424	Prbn.g_00378	Syao.g_02513
OG0000425	Prbn.g_00377	Syao.g_02514
OG0000426	Prbn.g_00376	Syao.g_02515
OG0000427	Prbn.g_00375	Syao.g_02516
OG0000428	Prbn.g_00373	Syao.g_02519
OG0000429	Prbn.g_00372	Syao.g_02522
OG0000430	Prbn.g_00371	Syao.g_02523
OG0000431	Prbn.g_00369	Syao.g_02526
OG0000432	Prbn.g_00365	Syao.g_02532
OG0000433	Prbn.g_00364	Syao.g_02534
OG0000434	Prbn.g_00363	Syao.g_02535
OG0000435	Prbn.g_00362	Syao.g_02538
OG0000436	Prbn.g_00357	Syao.g_02458
OG0000437	Prbn.g_00356	Syao.g_02459
OG0000438	Prbn.g_00355	Syao.g_02460
OG0000439	Prbn.g_00353	Syao.g_02462
OG0000440	Prbn.g_00352	Syao.g_02463
OG0000441	Prbn.g_00349	Syao.g_02466
OG0000442	Prbn.g_00348	Syao.g_02467
OG0000443	Prbn.g_00347	Syao.g_02468
OG0000444	Prbn.g_00341	Syao.g_02473
OG0000445	Prbn.g_00340	Syao.g_02474
OG0000446	Prbn.g_00339	Syao.g_02476
OG0000447	Prbn.g_00338	Syao.g_02383
OG0000448	Prbn.g_00337	Syao.g_02384
OG0000449	Prbn.g_00336	Syao.g_02385
OG0000450	Prbn.g_00335	Syao.g_02391
OG0000451	Prbn.g_00334	Syao.g_02392
OG0000452	Prbn.g_00331	Syao.g_02396
OG0000453	Prbn.g_00330	Syao.g_02397
OG0000454	Prbn.g_00329	Syao.g_02398
OG0000455	Prbn.g_00328	Syao.g_02399
OG0000456	Prbn.g_00327	Syao.g_02400
OG0000457	Prbn.g_00325	Syao.g_02402
OG0000458	Prbn.g_00324	Syao.g_02403
OG0000459	Prbn.g_00323	Syao.g_02404
OG0000460	Prbn.g_00315	Syao.g_01702
OG0000461	Prbn.g_00307	Syao.g_02119
OG0000462	Prbn.g_00305	Syao.g_02116
OG0000463	Prbn.g_00304	Syao.g_02115
OG0000464	Prbn.g_00012	Syao.g_02114
OG0000465	Prbn.g_00013	Syao.g_02112
OG0000466	Prbn.g_00016	Syao.g_02107
OG0000467	Prbn.g_00017	Syao.g_02106
OG0000468	Prbn.g_00020	Syao.g_02102
OG0000469	Prbn.g_00028	Syao.g_02087
OG0000470	Prbn.g_00030	Syao.g_02085
OG0000471	Prbn.g_00031	Syao.g_02084
OG0000472	Prbn.g_00033	Syao.g_02082
OG0000473	Prbn.g_00035	Syao.g_02080
OG0000474	Prbn.g_00036	Syao.g_02079
OG0000475	Prbn.g_00037	Syao.g_02078
OG0000476	Prbn.g_00039	Syao.g_02076
OG0000477	Prbn.g_00042	Syao.g_02069
OG0000478	Prbn.g_00043	Syao.g_02068
OG0000479	Prbn.g_00044	Syao.g_02067
OG0000480	Prbn.g_00049	Syao.g_02060
OG0000481	Prbn.g_00052	Syao.g_01012
OG0000482	Prbn.g_00053	Syao.g_02058
OG0000483	Prbn.g_00056	Syao.g_02054
OG0000484	Prbn.g_00057	Syao.g_02053
OG0000485	Prbn.g_00059	Syao.g_02052
OG0000486	Prbn.g_00060	Syao.g_02051
OG0000487	Prbn.g_00063	Syao.g_02044
OG0000488	Prbn.g_00066	Syao.g_02040
OG0000489	Prbn.g_00071	Syao.g_02033
OG0000490	Prbn.g_00075	Syao.g_02025
OG0000491	Prbn.g_00076	Syao.g_02024
OG0000492	Prbn.g_00078	Syao.g_02022
OG0000493	Prbn.g_00079	Syao.g_02021
OG0000494	Prbn.g_00080	Syao.g_02020
OG0000495	Prbn.g_00081	Syao.g_02018
OG0000496	Prbn.g_00082	Syao.g_02017
OG0000497	Prbn.g_00083	Syao.g_02016
OG0000498	Prbn.g_00084	Syao.g_02015
OG0000499	Prbn.g_00085	Syao.g_02014
OG0000500	Prbn.g_00086	Syao.g_02013
OG0000501	Prbn.g_00087	Syao.g_02010
OG0000502	Prbn.g_00090	Syao.g_01974
OG0000503	Prbn.g_00105	Syao.g_01877
OG0000504	Prbn.g_00107	Syao.g_01875
OG0000505	Prbn.g_00108	Syao.g_01874
OG0000506	Prbn.g_00109	Syao.g_01872
OG0000507	Prbn.g_00112	Syao.g_01866
OG0000508	Prbn.g_00116	Syao.g_01750
OG0000509	Prbn.g_00118	Syao.g_01755
OG0000510	Prbn.g_00119	Syao.g_01756
OG0000511	Prbn.g_00120	Syao.g_01757
OG0000512	Prbn.g_00122	Syao.g_01759
OG0000513	Prbn.g_00693	Syao.g_01720
OG0000514	Prbn.g_00682	Syao.g_01727
OG0000515	Prbn.g_00681	Syao.g_01728
OG0000516	Prbn.g_00680	Syao.g_01730
OG0000517	Prbn.g_00678	Syao.g_01735
OG0000518	Prbn.g_00667	Syao.g_01621
OG0000519	Prbn.g_00666	Syao.g_01622
OG0000520	Prbn.g_00665	Syao.g_01512
OG0000521	Prbn.g_00657	Syao.g_00061
OG0000522	Prbn.g_00655	Syao.g_00059
OG0000523	Prbn.g_00654	Syao.g_00058
OG0000524	Prbn.g_00649	Syao.g_02699
OG0000525	Prbn.g_00645	Syao.g_02691
OG0000526	Prbn.g_00644	Syao.g_02688
OG0000527	Prbn.g_00641	Syao.g_02684
OG0000528	Prbn.g_00636	Syao.g_00031
OG0000529	Prbn.g_00633	Syao.g_00027
OG0000530	Prbn.g_00630	Syao.g_00122
OG0000531	Prbn.g_00629	Syao.g_00121
OG0000532	Prbn.g_00627	Syao.g_00118
OG0000533	Prbn.g_00626	Syao.g_00116
OG0000534	Prbn.g_00625	Syao.g_00115
OG0000535	Prbn.g_00624	Syao.g_00114
OG0000536	Prbn.g_00623	Syao.g_00113
OG0000537	Prbn.g_00622	Syao.g_00112
OG0000538	Prbn.g_00613	Syao.g_00100
OG0000539	Prbn.g_00612	Syao.g_00099
OG0000540	Prbn.g_00611	Syao.g_00098
OG0000541	Prbn.g_00610	Syao.g_00097
OG0000542	Prbn.g_00609	Syao.g_00167
OG0000543	Prbn.g_00607	Syao.g_00165
OG0000544	Prbn.g_00606	Syao.g_00164
OG0000545	Prbn.g_00604	Syao.g_00162
OG0000546	Prbn.g_00601	Syao.g_00160
OG0000547	Prbn.g_00599	Syao.g_00158
OG0000548	Prbn.g_00598	Syao.g_00157
OG0000549	Prbn.g_00596	Syao.g_01391
OG0000550	Prbn.g_00592	Syao.g_01396
OG0000551	Prbn.g_00589	Syao.g_01401
OG0000552	Prbn.g_00588	Syao.g_01402
OG0000553	Prbn.g_00587	Syao.g_01404
OG0000554	Prbn.g_00582	Syao.g_01413
OG0000555	Prbn.g_00574	Syao.g_00875
OG0000556	Prbn.g_00572	Syao.g_00871
OG0000557	Prbn.g_00571	Syao.g_00866
OG0000558	Prbn.g_00569	Syao.g_00864
OG0000559	Prbn.g_00565	Syao.g_00860
OG0000560	Prbn.g_00562	Syao.g_00857
OG0000561	Prbn.g_00561	Syao.g_00856
OG0000562	Prbn.g_00560	Syao.g_00855
OG0000563	Prbn.g_00559	Syao.g_00854
OG0000564	Prbn.g_00558	Syao.g_00853
OG0000565	Prbn.g_00556	Syao.g_00849
OG0000566	Prbn.g_00552	Syao.g_00845
OG0000567	Prbn.g_00548	Syao.g_00841
OG0000568	Prbn.g_00547	Syao.g_00839
OG0000569	Prbn.g_00546	Syao.g_00838
OG0000570	Prbn.g_00545	Syao.g_00837
OG0000571	Prbn.g_00543	Syao.g_00834
OG0000572	Prbn.g_00529	Syao.g_01033
