Orthogroup	Prbn	Prbc
OG0000042	Prbn.g_00988	Prbc.g_00203
OG0000043	Prbn.g_01168	Prbc.g_01953
OG0000045	Prbn.g_01145	Prbc.g_02137
OG0000046	Prbn.g_00093	Prbc.g_01220
OG0000047	Prbn.g_00690	Prbc.g_01273
OG0000048	Prbn.g_01097, Prbn.g_00038	Prbc.g_01165
OG0000051	Prbn.g_00809	Prbc.g_00088
OG0000052	Prbn.g_00724	Prbc.g_00518, Prbc.g_00517
OG0000053	Prbn.g_01690, Prbn.g_00233	Prbc.g_00728
OG0000054	Prbn.g_00508	Prbc.g_01683
OG0000055	Prbn.g_01140	Prbc.g_01822
OG0000055	Prbn.g_01719	Prbc.g_00907
OG0000057	Prbn.g_01562	Prbc.g_01780, Prbc.g_00055
OG0000058	Prbn.g_00172	Prbc.g_01928
OG0000059	Prbn.g_01833	Prbc.g_00958
OG0000061	Prbn.g_01189	Prbc.g_01446
OG0000062	Prbn.g_00897	Prbc.g_00790
OG0000063	Prbn.g_00130	Prbc.g_00932
OG0000065	Prbn.g_01312	Prbc.g_00466
OG0000066	Prbn.g_00577, Prbn.g_01657	Prbc.g_01618
OG0000067	Prbn.g_01546	Prbc.g_01858
OG0000068	Prbn.g_01240	Prbc.g_00657
OG0000069	Prbn.g_00659	Prbc.g_02181, Prbc.g_00752
OG0000070	Prbn.g_00663	Prbc.g_01511
OG0000071	Prbn.g_01084	Prbc.g_00566
OG0000072	Prbn.g_00383	Prbc.g_00400
OG0000073	Prbn.g_00614	Prbc.g_01579
OG0000074	Prbn.g_01928	Prbc.g_01960
OG0000074	Prbn.g_01582	Prbc.g_01763
OG0000075	Prbn.g_01917	Prbc.g_00236
OG0000076	Prbn.g_00996	Prbc.g_00211
OG0000077	Prbn.g_01342	Prbc.g_00495
OG0000078	Prbn.g_00310	Prbc.g_00330
OG0000079	Prbn.g_00018	Prbc.g_01148
OG0000081	Prbn.g_00585	Prbc.g_01610
OG0000082	Prbn.g_01734	Prbc.g_00891
OG0000084	Prbn.g_00209	Prbc.g_00705
OG0000085	Prbn.g_01737, Prbn.g_00144	Prbc.g_00826
OG0000086	Prbn.g_01333	Prbc.g_00485
OG0000087	Prbn.g_01278	Prbc.g_00432
OG0000088	Prbn.g_01247	Prbc.g_00405
OG0000089	Prbn.g_00696	Prbc.g_01268
OG0000090	Prbn.g_00583	Prbc.g_01612
OG0000091	Prbn.g_00434	Prbc.g_01719
OG0000092	Prbn.g_01616	Prbc.g_01982
OG0000093	Prbn.g_00846	Prbc.g_01843
OG0000094	Prbn.g_01369	Prbc.g_01935
OG0000095	Prbn.g_01471	Prbc.g_02113
OG0000096	Prbn.g_01049	Prbc.g_01323
OG0000097	Prbn.g_00408	Prbc.g_01400
OG0000098	Prbn.g_01216	Prbc.g_00585
OG0000099	Prbn.g_00173	Prbc.g_01229
OG0000100	Prbn.g_00903	Prbc.g_00785
OG0000101	Prbn.g_01881	Prbc.g_00284
OG0000102	Prbn.g_00991	Prbc.g_00206
OG0000103	Prbn.g_00907	Prbc.g_01053
OG0000104	Prbn.g_00296	Prbc.g_01065
OG0000105	Prbn.g_00041	Prbc.g_01167
OG0000106	Prbn.g_00829	Prbc.g_00134, Prbc.g_00641
OG0000107	Prbn.g_01810	Prbc.g_00934
OG0000108	Prbn.g_00634	Prbc.g_01540
OG0000109	Prbn.g_00620	Prbc.g_01553
OG0000110	Prbn.g_00541	Prbc.g_01654
OG0000111	Prbn.g_01561	Prbc.g_01781
OG0000112	Prbn.g_00468	Prbc.g_02028
OG0000113	Prbn.g_01523	Prbc.g_00153
OG0000114	Prbn.g_01621	Prbc.g_01977
OG0000115	Prbn.g_01120	Prbc.g_00801
OG0000116	Prbn.g_01178	Prbc.g_01457
OG0000117	Prbn.g_00389	Prbc.g_00102
OG0000118	Prbn.g_01071	Prbc.g_00577
OG0000119	Prbn.g_01135, Prbn.g_00885	Prbc.g_00650
OG0000120	Prbn.g_00170	Prbc.g_01753
OG0000121	Prbn.g_00214	Prbc.g_00711
OG0000122	Prbn.g_00255	Prbc.g_00750
OG0000123	Prbn.g_01888	Prbc.g_00277
OG0000124	Prbn.g_00979	Prbc.g_00193
OG0000125	Prbn.g_00944	Prbc.g_00997
OG0000126	Prbn.g_00295	Prbc.g_01063
OG0000128	Prbn.g_00002, Prbn.g_00003	Prbc.g_01081
OG0000129	Prbn.g_00737	Prbc.g_01122
OG0000130	Prbn.g_00708	Prbc.g_00504
OG0000131	Prbn.g_01269	Prbc.g_00426
OG0000132	Prbn.g_01249	Prbc.g_00407
OG0000133	Prbn.g_00088	Prbc.g_01214
OG0000134	Prbn.g_00694	Prbc.g_01270
OG0000135	Prbn.g_01102	Prbc.g_02198, Prbc.g_02183
OG0000136	Prbn.g_00672	Prbc.g_01502
OG0000137	Prbn.g_00639	Prbc.g_01534
OG0000138	Prbn.g_00619	Prbc.g_01554
OG0000139	Prbn.g_00579	Prbc.g_01616
OG0000140	Prbn.g_00578	Prbc.g_01617
OG0000141	Prbn.g_00507	Prbc.g_01684
OG0000142	Prbn.g_00426	Prbc.g_01712
OG0000143	Prbn.g_00430	Prbc.g_01716
OG0000144	Prbn.g_00444	Prbc.g_01729
OG0000145	Prbn.g_01100	Prbc.g_02142
OG0000146	Prbn.g_00469	Prbc.g_02027
OG0000147	Prbn.g_00470	Prbc.g_02026
OG0000148	Prbn.g_01529	Prbc.g_01876
OG0000149	Prbn.g_01497	Prbc.g_01908
OG0000150	Prbn.g_01487	Prbc.g_01916
OG0000151	Prbn.g_01611	Prbc.g_01988
OG0000152	Prbn.g_01418	Prbc.g_02036
OG0000153	Prbn.g_01399	Prbc.g_02054
OG0000154	Prbn.g_01379	Prbc.g_02083
OG0000155	Prbn.g_01210	Prbc.g_01424
OG0000156	Prbn.g_01095	Prbc.g_00555
OG0000157	Prbn.g_01094	Prbc.g_00556
OG0000158	Prbn.g_01014	Prbc.g_00228
OG0000160	Prbn.g_00213	Prbc.g_00710
OG0000161	Prbn.g_00219	Prbc.g_00716
OG0000162	Prbn.g_00225	Prbc.g_00722
OG0000163	Prbn.g_00264	Prbc.g_00758
OG0000164	Prbn.g_01770	Prbc.g_00854
OG0000165	Prbn.g_01777	Prbc.g_00862
OG0000166	Prbn.g_01844	Prbc.g_00321
OG0000167	Prbn.g_01915	Prbc.g_00238
OG0000168	Prbn.g_01013	Prbc.g_00227
OG0000169	Prbn.g_01003	Prbc.g_00217
OG0000170	Prbn.g_01000	Prbc.g_00215
OG0000171	Prbn.g_00980	Prbc.g_00194
OG0000172	Prbn.g_00973	Prbc.g_00967
OG0000173	Prbn.g_00958	Prbc.g_00982
OG0000174	Prbn.g_00929	Prbc.g_01013
OG0000175	Prbn.g_00916	Prbc.g_01044
OG0000176	Prbn.g_00010	Prbc.g_01074
OG0000177	Prbn.g_00009	Prbc.g_01075
OG0000178	Prbn.g_00008	Prbc.g_01076
OG0000179	Prbn.g_00766	Prbc.g_01086
OG0000180	Prbn.g_00765	Prbc.g_01087
OG0000181	Prbn.g_00764	Prbc.g_01088
OG0000182	Prbn.g_00763	Prbc.g_01089
OG0000183	Prbn.g_00759	Prbc.g_01093
OG0000184	Prbn.g_00733	Prbc.g_01124
OG0000185	Prbn.g_00730	Prbc.g_01127
OG0000186	Prbn.g_00714	Prbc.g_00509
OG0000187	Prbn.g_00713	Prbc.g_00508
OG0000188	Prbn.g_01339	Prbc.g_00491
OG0000189	Prbn.g_01325	Prbc.g_00477
OG0000190	Prbn.g_01323	Prbc.g_00476
OG0000191	Prbn.g_01300	Prbc.g_00453
OG0000192	Prbn.g_01295	Prbc.g_00449
OG0000193	Prbn.g_01268	Prbc.g_00425
OG0000194	Prbn.g_01265	Prbc.g_00422
OG0000195	Prbn.g_01263	Prbc.g_00420
OG0000196	Prbn.g_01252	Prbc.g_00410
OG0000197	Prbn.g_01251	Prbc.g_00409
OG0000198	Prbn.g_01250	Prbc.g_00408
OG0000199	Prbn.g_01243, Prbn.g_00384	Prbc.g_00401
OG0000200	Prbn.g_00370	Prbc.g_00388
OG0000201	Prbn.g_00361	Prbc.g_00379
OG0000202	Prbn.g_00360	Prbc.g_00378
OG0000203	Prbn.g_00359	Prbc.g_00377
OG0000204	Prbn.g_00358	Prbc.g_00376
OG0000205	Prbn.g_00351	Prbc.g_00369
OG0000206	Prbn.g_00346	Prbc.g_00365
OG0000207	Prbn.g_00343	Prbc.g_00363
OG0000208	Prbn.g_00342	Prbc.g_00362
OG0000209	Prbn.g_00333	Prbc.g_00352
OG0000210	Prbn.g_00332	Prbc.g_00351
OG0000211	Prbn.g_00317	Prbc.g_00337
OG0000212	Prbn.g_00309	Prbc.g_00329
OG0000213	Prbn.g_00024	Prbc.g_01153
OG0000214	Prbn.g_00034	Prbc.g_01161
OG0000215	Prbn.g_00061	Prbc.g_01185
OG0000216	Prbn.g_00062	Prbc.g_01186
OG0000217	Prbn.g_00065	Prbc.g_01189
OG0000218	Prbn.g_00067	Prbc.g_01191
OG0000219	Prbn.g_00068	Prbc.g_01192
OG0000220	Prbn.g_00069	Prbc.g_01193
OG0000221	Prbn.g_00070	Prbc.g_01194
OG0000222	Prbn.g_00077	Prbc.g_01202
OG0000223	Prbn.g_00089	Prbc.g_01215
OG0000224	Prbn.g_00091	Prbc.g_01217
OG0000225	Prbn.g_00117	Prbc.g_01257
OG0000226	Prbn.g_00121	Prbc.g_01261
OG0000227	Prbn.g_00123	Prbc.g_01263
OG0000228	Prbn.g_00697	Prbc.g_01267
OG0000229	Prbn.g_00677	Prbc.g_01497
OG0000230	Prbn.g_00675	Prbc.g_01499
OG0000231	Prbn.g_00664	Prbc.g_01510
OG0000232	Prbn.g_00653	Prbc.g_01518
OG0000233	Prbn.g_00647	Prbc.g_01526
OG0000234	Prbn.g_00638	Prbc.g_01535
OG0000235	Prbn.g_00635	Prbc.g_01539
OG0000236	Prbn.g_00621	Prbc.g_01552
OG0000237	Prbn.g_00608	Prbc.g_01586
OG0000238	Prbn.g_00602	Prbc.g_01592
OG0000239	Prbn.g_00591	Prbc.g_01604
OG0000240	Prbn.g_00590	Prbc.g_01605
OG0000241	Prbn.g_00586	Prbc.g_01609
OG0000242	Prbn.g_00584	Prbc.g_01611
OG0000243	Prbn.g_00573	Prbc.g_01622
OG0000244	Prbn.g_00570	Prbc.g_01626
OG0000245	Prbn.g_00568	Prbc.g_01628
OG0000246	Prbn.g_00564	Prbc.g_01632
OG0000247	Prbn.g_00554	Prbc.g_01642
OG0000248	Prbn.g_00551	Prbc.g_01644
OG0000249	Prbn.g_00549	Prbc.g_01646
OG0000250	Prbn.g_00544	Prbc.g_01651
OG0000251	Prbn.g_00524	Prbc.g_01667
OG0000252	Prbn.g_00521	Prbc.g_01669
OG0000253	Prbn.g_00520	Prbc.g_01671
OG0000254	Prbn.g_00503	Prbc.g_01688
OG0000255	Prbn.g_00497	Prbc.g_01694
OG0000256	Prbn.g_00487	Prbc.g_01704
OG0000257	Prbn.g_00421	Prbc.g_01707
OG0000258	Prbn.g_00435	Prbc.g_01720
OG0000259	Prbn.g_00835	Prbc.g_01737
OG0000260	Prbn.g_00838	Prbc.g_01740
OG0000261	Prbn.g_00841	Prbc.g_01743
OG0000262	Prbn.g_00845	Prbc.g_01748
OG0000263	Prbn.g_01583	Prbc.g_01762
OG0000264	Prbn.g_01572	Prbc.g_01773
OG0000265	Prbn.g_01554	Prbc.g_01787
OG0000266	Prbn.g_00864	Prbc.g_01797
OG0000267	Prbn.g_01350	Prbc.g_01810
OG0000268	Prbn.g_01351	Prbc.g_01811
OG0000269	Prbn.g_01551	Prbc.g_01853
OG0000270	Prbn.g_01548	Prbc.g_01856
OG0000271	Prbn.g_01540	Prbc.g_01864
OG0000272	Prbn.g_01539	Prbc.g_01865
OG0000273	Prbn.g_01515	Prbc.g_01890
OG0000274	Prbn.g_01514	Prbc.g_01891
OG0000275	Prbn.g_01511	Prbc.g_01893
OG0000276	Prbn.g_01505	Prbc.g_01899
OG0000277	Prbn.g_01504	Prbc.g_01900
OG0000278	Prbn.g_01501	Prbc.g_01904
OG0000279	Prbn.g_01494	Prbc.g_01911
OG0000280	Prbn.g_01493	Prbc.g_00068
OG0000281	Prbn.g_01486	Prbc.g_01917
OG0000282	Prbn.g_01619	Prbc.g_01979
OG0000283	Prbn.g_01442	Prbc.g_02010
OG0000284	Prbn.g_01437	Prbc.g_02015
OG0000285	Prbn.g_01432	Prbc.g_02020
OG0000286	Prbn.g_01419	Prbc.g_02035
OG0000287	Prbn.g_01123	Prbc.g_02190
OG0000288	Prbn.g_01380	Prbc.g_02082
OG0000289	Prbn.g_01364	Prbc.g_02094
OG0000290	Prbn.g_01468	Prbc.g_02110
OG0000291	Prbn.g_01470	Prbc.g_02112
OG0000292	Prbn.g_01144	Prbc.g_00173
OG0000293	Prbn.g_01179	Prbc.g_01456
OG0000294	Prbn.g_01180	Prbc.g_01455
OG0000295	Prbn.g_01203	Prbc.g_01431
OG0000296	Prbn.g_01205	Prbc.g_01429
OG0000297	Prbn.g_00387	Prbc.g_01421
OG0000298	Prbn.g_00388	Prbc.g_01420
OG0000299	Prbn.g_00407	Prbc.g_01401
OG0000300	Prbn.g_00410	Prbc.g_01398
OG0000301	Prbn.g_00411	Prbc.g_01397
OG0000302	Prbn.g_00413	Prbc.g_01395
OG0000303	Prbn.g_00419	Prbc.g_01390
OG0000304	Prbn.g_00482	Prbc.g_01387
OG0000305	Prbn.g_01146	Prbc.g_00810
OG0000306	Prbn.g_01482	Prbc.g_01921
OG0000307	Prbn.g_00159	Prbc.g_00666
OG0000308	Prbn.g_00160	Prbc.g_00667
OG0000309	Prbn.g_00164	Prbc.g_00671
OG0000310	Prbn.g_00198	Prbc.g_00693
OG0000311	Prbn.g_00200	Prbc.g_00695
OG0000312	Prbn.g_00203	Prbc.g_00698
OG0000313	Prbn.g_00216	Prbc.g_00713
OG0000314	Prbn.g_00239	Prbc.g_00734
OG0000315	Prbn.g_00249	Prbc.g_00744
OG0000316	Prbn.g_00274	Prbc.g_00768
OG0000317	Prbn.g_01742	Prbc.g_00830
OG0000318	Prbn.g_01746	Prbc.g_00833
OG0000319	Prbn.g_01759	Prbc.g_00844
OG0000320	Prbn.g_01761	Prbc.g_00846
OG0000321	Prbn.g_01762	Prbc.g_00847
OG0000322	Prbn.g_01763	Prbc.g_00848
OG0000323	Prbn.g_01773	Prbc.g_00857
OG0000324	Prbn.g_01800	Prbc.g_00884
OG0000325	Prbn.g_01811	Prbc.g_00935
OG0000326	Prbn.g_01818	Prbc.g_00941
OG0000327	Prbn.g_01839	Prbc.g_00326
OG0000328	Prbn.g_01840	Prbc.g_00325
OG0000329	Prbn.g_01857	Prbc.g_00308
OG0000330	Prbn.g_01858	Prbc.g_00307
OG0000331	Prbn.g_01859	Prbc.g_00306
OG0000332	Prbn.g_01873	Prbc.g_00292
OG0000333	Prbn.g_01875	Prbc.g_00290
OG0000334	Prbn.g_01884	Prbc.g_00281
OG0000335	Prbn.g_01889	Prbc.g_00276
OG0000336	Prbn.g_01893	Prbc.g_00272
OG0000337	Prbn.g_01911	Prbc.g_00241
OG0000338	Prbn.g_01912	Prbc.g_00240
OG0000339	Prbn.g_01918	Prbc.g_00235
OG0000340	Prbn.g_01012	Prbc.g_00226
OG0000341	Prbn.g_01010	Prbc.g_00224
OG0000342	Prbn.g_01009	Prbc.g_00223
OG0000343	Prbn.g_01008	Prbc.g_00222
OG0000344	Prbn.g_01005	Prbc.g_00219
OG0000345	Prbn.g_00999	Prbc.g_00214
OG0000346	Prbn.g_00995	Prbc.g_00210
OG0000347	Prbn.g_00978	Prbc.g_00190
OG0000348	Prbn.g_00970	Prbc.g_00970
OG0000349	Prbn.g_00953	Prbc.g_00988
OG0000350	Prbn.g_00798	Prbc.g_01009
OG0000351	Prbn.g_00913	Prbc.g_01047
OG0000352	Prbn.g_00912	Prbc.g_01048
OG0000353	Prbn.g_00299	Prbc.g_01068
OG0000355	Prbn.g_00301	Prbc.g_01071
OG0000356	Prbn.g_00302	Prbc.g_01072
OG0000357	Prbn.g_00011	Prbc.g_01073
OG0000358	Prbn.g_00007	Prbc.g_01077
OG0000359	Prbn.g_00006	Prbc.g_01078
OG0000360	Prbn.g_00005	Prbc.g_01079
OG0000361	Prbn.g_00004	Prbc.g_01080
OG0000362	Prbn.g_00001	Prbc.g_01082
OG0000363	Prbn.g_00768	Prbc.g_01084
OG0000364	Prbn.g_00767	Prbc.g_01085
OG0000365	Prbn.g_00762	Prbc.g_01090
OG0000366	Prbn.g_00761	Prbc.g_01091
OG0000367	Prbn.g_00760	Prbc.g_01092
OG0000368	Prbn.g_00758	Prbc.g_01094
OG0000369	Prbn.g_00757	Prbc.g_01095
OG0000370	Prbn.g_00756	Prbc.g_01096
OG0000371	Prbn.g_00749	Prbc.g_01102
OG0000372	Prbn.g_00746	Prbc.g_01104
OG0000373	Prbn.g_00745	Prbc.g_01105
OG0000374	Prbn.g_00744	Prbc.g_01106
OG0000375	Prbn.g_00742	Prbc.g_01118
OG0000376	Prbn.g_00740	Prbc.g_01120
OG0000377	Prbn.g_00736	Prbc.g_01123
OG0000378	Prbn.g_00732	Prbc.g_01125
OG0000379	Prbn.g_00729	Prbc.g_01128
OG0000380	Prbn.g_00712	Prbc.g_00507
OG0000381	Prbn.g_00707	Prbc.g_00503
OG0000382	Prbn.g_01340	Prbc.g_00492
OG0000383	Prbn.g_01338	Prbc.g_00490
OG0000384	Prbn.g_01337	Prbc.g_00489
OG0000385	Prbn.g_01336	Prbc.g_00488
OG0000386	Prbn.g_01335	Prbc.g_00487
OG0000387	Prbn.g_01321	Prbc.g_00474
OG0000388	Prbn.g_01317	Prbc.g_00470
OG0000389	Prbn.g_01314	Prbc.g_00467
OG0000390	Prbn.g_01304	Prbc.g_00458
OG0000391	Prbn.g_01301	Prbc.g_00454
OG0000392	Prbn.g_01297	Prbc.g_00451
OG0000393	Prbn.g_01294	Prbc.g_00448
OG0000394	Prbn.g_01293	Prbc.g_00447
OG0000395	Prbn.g_01292	Prbc.g_00446
OG0000396	Prbn.g_01290	Prbc.g_00443
OG0000397	Prbn.g_01288	Prbc.g_00441
OG0000398	Prbn.g_01285	Prbc.g_00438
OG0000399	Prbn.g_01284	Prbc.g_00437
OG0000400	Prbn.g_01283	Prbc.g_00436
OG0000401	Prbn.g_01282	Prbc.g_00435
OG0000402	Prbn.g_01356	Prbc.g_02145
OG0000403	Prbn.g_01280	Prbc.g_00434
OG0000404	Prbn.g_01279	Prbc.g_00433
OG0000405	Prbn.g_01275	Prbc.g_00428
OG0000406	Prbn.g_01267	Prbc.g_00424
OG0000407	Prbn.g_01266	Prbc.g_00423
OG0000408	Prbn.g_01264	Prbc.g_00421
OG0000409	Prbn.g_01262	Prbc.g_00419
OG0000410	Prbn.g_01261	Prbc.g_00418
OG0000411	Prbn.g_01260	Prbc.g_00417
OG0000412	Prbn.g_01259	Prbc.g_00416
OG0000413	Prbn.g_01257	Prbc.g_00415
OG0000414	Prbn.g_01256	Prbc.g_00414
OG0000415	Prbn.g_01255	Prbc.g_00413
OG0000416	Prbn.g_01254	Prbc.g_00412
OG0000417	Prbn.g_01253	Prbc.g_00411
OG0000418	Prbn.g_01248	Prbc.g_00406
OG0000419	Prbn.g_01246	Prbc.g_00404
OG0000420	Prbn.g_01245	Prbc.g_00403
OG0000421	Prbn.g_00381	Prbc.g_00399
OG0000422	Prbn.g_00380	Prbc.g_00398
OG0000423	Prbn.g_00379	Prbc.g_00397
OG0000424	Prbn.g_00378	Prbc.g_00396
OG0000425	Prbn.g_00377	Prbc.g_00395
OG0000426	Prbn.g_00376	Prbc.g_00394
OG0000427	Prbn.g_00375	Prbc.g_00393
OG0000428	Prbn.g_00373	Prbc.g_00391
OG0000429	Prbn.g_00372	Prbc.g_00390
OG0000430	Prbn.g_00371	Prbc.g_00389
OG0000431	Prbn.g_00369	Prbc.g_00387
OG0000432	Prbn.g_00365	Prbc.g_00383
OG0000433	Prbn.g_00364	Prbc.g_00382
OG0000434	Prbn.g_00363	Prbc.g_00381
OG0000435	Prbn.g_00362	Prbc.g_00380
OG0000436	Prbn.g_00357	Prbc.g_00375
OG0000437	Prbn.g_00356	Prbc.g_00374
OG0000438	Prbn.g_00355	Prbc.g_00373
OG0000439	Prbn.g_00353	Prbc.g_00371
OG0000440	Prbn.g_00352	Prbc.g_00370
OG0000441	Prbn.g_00349	Prbc.g_00368
OG0000442	Prbn.g_00348	Prbc.g_00367
OG0000443	Prbn.g_00347	Prbc.g_00366
OG0000444	Prbn.g_00341	Prbc.g_00361
OG0000445	Prbn.g_00340	Prbc.g_00360
OG0000446	Prbn.g_00339	Prbc.g_00358
OG0000447	Prbn.g_00338	Prbc.g_00357
OG0000448	Prbn.g_00337	Prbc.g_00356
OG0000449	Prbn.g_00336	Prbc.g_00355
OG0000450	Prbn.g_00335	Prbc.g_00354
OG0000451	Prbn.g_00334	Prbc.g_00353
OG0000452	Prbn.g_00331	Prbc.g_00350
OG0000453	Prbn.g_00330	Prbc.g_00349
OG0000454	Prbn.g_00329	Prbc.g_00348
OG0000455	Prbn.g_00328	Prbc.g_00347
OG0000456	Prbn.g_00327	Prbc.g_00346
OG0000457	Prbn.g_00325	Prbc.g_00345
OG0000458	Prbn.g_00324	Prbc.g_00344
OG0000459	Prbn.g_00323	Prbc.g_00343
OG0000460	Prbn.g_00315	Prbc.g_00335
OG0000461	Prbn.g_00307	Prbc.g_01140
OG0000462	Prbn.g_00305	Prbc.g_01142
OG0000463	Prbn.g_00304	Prbc.g_01143
OG0000464	Prbn.g_00012	Prbc.g_01144
OG0000465	Prbn.g_00013	Prbc.g_01145
OG0000466	Prbn.g_00016	Prbc.g_01146
OG0000467	Prbn.g_00017	Prbc.g_01147
OG0000468	Prbn.g_00020	Prbc.g_01149
OG0000469	Prbn.g_00028	Prbc.g_01156
OG0000470	Prbn.g_00030	Prbc.g_01158
OG0000471	Prbn.g_00031	Prbc.g_01159
OG0000472	Prbn.g_00033	Prbc.g_01160
OG0000473	Prbn.g_00035	Prbc.g_01162
OG0000474	Prbn.g_00036	Prbc.g_01163
OG0000475	Prbn.g_00037	Prbc.g_01164
OG0000476	Prbn.g_00039	Prbc.g_01166
OG0000477	Prbn.g_00042	Prbc.g_01168
OG0000478	Prbn.g_00043	Prbc.g_01169
OG0000479	Prbn.g_00044	Prbc.g_01170
OG0000480	Prbn.g_00049	Prbc.g_01175
OG0000481	Prbn.g_00052	Prbc.g_01177
OG0000482	Prbn.g_00053	Prbc.g_01178
OG0000483	Prbn.g_00056	Prbc.g_01181
OG0000484	Prbn.g_00057	Prbc.g_01182
OG0000485	Prbn.g_00059	Prbc.g_01183
OG0000486	Prbn.g_00060	Prbc.g_01184
OG0000487	Prbn.g_00063	Prbc.g_01187
OG0000488	Prbn.g_00066	Prbc.g_01190
OG0000489	Prbn.g_00071	Prbc.g_01195
OG0000490	Prbn.g_00075	Prbc.g_01200
OG0000491	Prbn.g_00076	Prbc.g_01201
OG0000492	Prbn.g_00078	Prbc.g_01203
OG0000493	Prbn.g_00079	Prbc.g_01204
OG0000494	Prbn.g_00080	Prbc.g_01205
OG0000495	Prbn.g_00081	Prbc.g_01206
OG0000496	Prbn.g_00082	Prbc.g_01207
OG0000497	Prbn.g_00083	Prbc.g_01208
OG0000498	Prbn.g_00084	Prbc.g_01209
OG0000499	Prbn.g_00085	Prbc.g_01210
OG0000500	Prbn.g_00086	Prbc.g_01211
OG0000501	Prbn.g_00087	Prbc.g_01213
OG0000502	Prbn.g_00090	Prbc.g_01216
OG0000503	Prbn.g_00105	Prbc.g_01246
OG0000504	Prbn.g_00107	Prbc.g_01248
OG0000505	Prbn.g_00108	Prbc.g_01249
OG0000506	Prbn.g_00109	Prbc.g_01250
OG0000507	Prbn.g_00112	Prbc.g_01253
OG0000508	Prbn.g_00116	Prbc.g_01256
OG0000509	Prbn.g_00118	Prbc.g_01258
OG0000510	Prbn.g_00119	Prbc.g_01259
OG0000511	Prbn.g_00120	Prbc.g_01260
OG0000512	Prbn.g_00122	Prbc.g_01262
OG0000513	Prbn.g_00693	Prbc.g_01271
OG0000514	Prbn.g_00682	Prbc.g_01492
OG0000515	Prbn.g_00681	Prbc.g_01493
OG0000516	Prbn.g_00680	Prbc.g_01494
OG0000517	Prbn.g_00678	Prbc.g_01496
OG0000518	Prbn.g_00667	Prbc.g_01507
OG0000519	Prbn.g_00666	Prbc.g_01508
OG0000520	Prbn.g_00665	Prbc.g_01509
