Orthogroup	Prbn	Prau
OG0000037	Prbn.g_01310	Prau.g_00110
OG0000038	Prbn.g_00946	Prau.g_01976
OG0000039	Prbn.g_01577	Prau.g_00726
OG0000041	Prbn.g_01793	Prau.g_01778
OG0000042	Prbn.g_00988	Prau.g_01932
OG0000043	Prbn.g_01168	Prau.g_00926
OG0000045	Prbn.g_01145	Prau.g_00374
OG0000047	Prbn.g_00690	Prau.g_00414
OG0000048	Prbn.g_00038	Prau.g_00377
OG0000052	Prbn.g_00190	Prau.g_01489
OG0000053	Prbn.g_01690, Prbn.g_00233	Prau.g_00040, Prau.g_01551
OG0000054	Prbn.g_00508	Prau.g_00644
OG0000055	Prbn.g_01140	Prau.g_00835
OG0000057	Prbn.g_01562	Prau.g_00738
OG0000058	Prbn.g_00172	Prau.g_01432, Prau.g_01460
OG0000059	Prbn.g_01833	Prau.g_01818
OG0000061	Prbn.g_01189	Prau.g_01206
OG0000062	Prbn.g_00897	Prau.g_01609
OG0000063	Prbn.g_00130	Prau.g_00032, Prau.g_01295
OG0000065	Prbn.g_01312	Prau.g_00108
OG0000066	Prbn.g_00577, Prbn.g_01657	Prau.g_00579
OG0000067	Prbn.g_01546	Prau.g_00854
OG0000068	Prbn.g_01240	Prau.g_01409
OG0000069	Prbn.g_00659	Prau.g_01285, Prau.g_01642
OG0000070	Prbn.g_00663	Prau.g_00491
OG0000071	Prbn.g_01084	Prau.g_01371
OG0000072	Prbn.g_00383	Prau.g_00172
OG0000073	Prbn.g_00614	Prau.g_00540
OG0000074	Prbn.g_01582	Prau.g_00722
OG0000075	Prbn.g_01917	Prau.g_01901
OG0000076	Prbn.g_00996	Prau.g_00037, Prau.g_01925
OG0000077	Prbn.g_01342	Prau.g_00079
OG0000078	Prbn.g_00310	Prau.g_00240
OG0000079	Prbn.g_00018	Prau.g_00254
OG0000081	Prbn.g_00585	Prau.g_00571
OG0000082	Prbn.g_00530, Prbn.g_01734	Prau.g_00624
OG0000084	Prbn.g_00209	Prau.g_01524
OG0000085	Prbn.g_01737, Prbn.g_00144	Prau.g_01725
OG0000086	Prbn.g_01333	Prau.g_00089
OG0000087	Prbn.g_01278	Prau.g_00140
OG0000088	Prbn.g_01247	Prau.g_00167
OG0000089	Prbn.g_00696	Prau.g_00358
OG0000090	Prbn.g_00583	Prau.g_00573
OG0000091	Prbn.g_00434	Prau.g_00682
OG0000092	Prbn.g_01616	Prau.g_00961
OG0000093	Prbn.g_00846	Prau.g_00983
OG0000094	Prbn.g_01369	Prau.g_01070
OG0000095	Prbn.g_01471	Prau.g_01089
OG0000096	Prbn.g_01049	Prau.g_01156, Prau.g_01331
OG0000097	Prbn.g_00408	Prau.g_01247
OG0000098	Prbn.g_01216	Prau.g_01391
OG0000099	Prbn.g_00173	Prau.g_01434, Prau.g_01435
OG0000100	Prbn.g_00903	Prau.g_01605
OG0000101	Prbn.g_01881	Prau.g_01869
OG0000102	Prbn.g_00991	Prau.g_01930
OG0000103	Prbn.g_00907	Prau.g_02009
OG0000104	Prbn.g_00296	Prau.g_02018
OG0000105	Prbn.g_00041	Prau.g_00276
OG0000106	Prbn.g_00829	Prau.g_00373
OG0000107	Prbn.g_01810	Prau.g_00389
OG0000108	Prbn.g_00634	Prau.g_00521
OG0000109	Prbn.g_00620	Prau.g_00535
OG0000110	Prbn.g_00541	Prau.g_00614
OG0000111	Prbn.g_01561	Prau.g_00739
OG0000112	Prbn.g_00468	Prau.g_00818
OG0000113	Prbn.g_01523	Prau.g_00876
OG0000114	Prbn.g_01621	Prau.g_00956
OG0000115	Prbn.g_01120	Prau.g_01148
OG0000116	Prbn.g_01178	Prau.g_01197
OG0000117	Prbn.g_00389	Prau.g_01318
OG0000118	Prbn.g_01071	Prau.g_01383
OG0000119	Prbn.g_01135, Prbn.g_00885	Prau.g_01405
OG0000120	Prbn.g_00170	Prau.g_01430
OG0000121	Prbn.g_00214	Prau.g_01533
OG0000122	Prbn.g_01113, Prbn.g_00255	Prau.g_01571
OG0000123	Prbn.g_01888	Prau.g_01876
OG0000124	Prbn.g_00979	Prau.g_01941
OG0000125	Prbn.g_00944	Prau.g_01978
OG0000126	Prbn.g_00295	Prau.g_02017
OG0000128	Prbn.g_00002, Prbn.g_00003	Prau.g_00011
OG0000129	Prbn.g_00737	Prau.g_00051
OG0000130	Prbn.g_00708	Prau.g_00071
OG0000131	Prbn.g_01269	Prau.g_00146
OG0000132	Prbn.g_01249	Prau.g_00165
OG0000133	Prbn.g_00088	Prau.g_00324
OG0000134	Prbn.g_00694	Prau.g_00359
OG0000135	Prbn.g_01102	Prau.g_00386
OG0000136	Prbn.g_00672	Prau.g_00482
OG0000137	Prbn.g_00639	Prau.g_00516
OG0000138	Prbn.g_00619	Prau.g_00536
OG0000139	Prbn.g_00579	Prau.g_00577
OG0000140	Prbn.g_00578	Prau.g_00578
OG0000141	Prbn.g_00507	Prau.g_00645
OG0000142	Prbn.g_00426	Prau.g_00675
OG0000143	Prbn.g_00430	Prau.g_00679
OG0000144	Prbn.g_00444	Prau.g_00692
OG0000145	Prbn.g_01100	Prau.g_00816
OG0000146	Prbn.g_00469	Prau.g_00819
OG0000147	Prbn.g_00470	Prau.g_00820
OG0000148	Prbn.g_01529	Prau.g_00870
OG0000149	Prbn.g_01497	Prau.g_00900
OG0000150	Prbn.g_01487	Prau.g_00909
OG0000151	Prbn.g_01611	Prau.g_00966
OG0000152	Prbn.g_01418	Prau.g_01015
OG0000153	Prbn.g_01399	Prau.g_01034
OG0000154	Prbn.g_01379	Prau.g_01063
OG0000155	Prbn.g_01210	Prau.g_01226
OG0000156	Prbn.g_01095	Prau.g_01359
OG0000157	Prbn.g_01094	Prau.g_01360
OG0000158	Prbn.g_01014	Prau.g_01436
OG0000159	Prbn.g_00717	Prau.g_01433, Prau.g_01457
OG0000160	Prbn.g_00213	Prau.g_01532
OG0000161	Prbn.g_00219	Prau.g_01538
OG0000162	Prbn.g_00225	Prau.g_01544
OG0000163	Prbn.g_00264	Prau.g_01578
OG0000164	Prbn.g_01770	Prau.g_01756
OG0000165	Prbn.g_01777	Prau.g_01763
OG0000166	Prbn.g_01844	Prau.g_01833
OG0000167	Prbn.g_01915	Prau.g_01899
OG0000168	Prbn.g_01013	Prau.g_01909
OG0000169	Prbn.g_01003	Prau.g_01919
OG0000170	Prbn.g_01000	Prau.g_01921
OG0000171	Prbn.g_00980	Prau.g_01940
OG0000172	Prbn.g_00973	Prau.g_01949
OG0000173	Prbn.g_00958	Prau.g_01964
OG0000174	Prbn.g_00929	Prau.g_01991
OG0000175	Prbn.g_00916	Prau.g_02001
OG0000176	Prbn.g_00010	Prau.g_00004
OG0000177	Prbn.g_00009	Prau.g_00005
OG0000178	Prbn.g_00008	Prau.g_00006
OG0000179	Prbn.g_00766	Prau.g_00016
OG0000180	Prbn.g_00765	Prau.g_00017
OG0000181	Prbn.g_00764	Prau.g_00018
OG0000182	Prbn.g_00763	Prau.g_00019
OG0000183	Prbn.g_00759	Prau.g_00023
OG0000184	Prbn.g_00733	Prau.g_00054
OG0000185	Prbn.g_00730	Prau.g_00057
OG0000186	Prbn.g_00714	Prau.g_00066
OG0000187	Prbn.g_00713	Prau.g_00067
OG0000188	Prbn.g_01339	Prau.g_00083
OG0000189	Prbn.g_01325	Prau.g_00097
OG0000190	Prbn.g_01323	Prau.g_00098
OG0000191	Prbn.g_01300	Prau.g_00118
OG0000192	Prbn.g_01295	Prau.g_00122
OG0000193	Prbn.g_01268	Prau.g_00147
OG0000194	Prbn.g_01265	Prau.g_00150
OG0000195	Prbn.g_01263	Prau.g_00152
OG0000196	Prbn.g_01252	Prau.g_00162
OG0000197	Prbn.g_01251	Prau.g_00163
OG0000198	Prbn.g_01250	Prau.g_00164
OG0000199	Prbn.g_01243, Prbn.g_00384	Prau.g_00171
OG0000200	Prbn.g_00370	Prau.g_00185
OG0000201	Prbn.g_00361	Prau.g_00193
OG0000202	Prbn.g_00360	Prau.g_00194
OG0000203	Prbn.g_00359	Prau.g_00195
OG0000204	Prbn.g_00358	Prau.g_00196
OG0000205	Prbn.g_00351	Prau.g_00203
OG0000206	Prbn.g_00346	Prau.g_00208
OG0000207	Prbn.g_00343	Prau.g_00210
OG0000208	Prbn.g_00342	Prau.g_00211
OG0000209	Prbn.g_00333	Prau.g_00220
OG0000210	Prbn.g_00332	Prau.g_00221
OG0000211	Prbn.g_00317	Prau.g_00234
OG0000212	Prbn.g_00309	Prau.g_00241
OG0000213	Prbn.g_00024	Prau.g_00259
OG0000214	Prbn.g_00034	Prau.g_00269
OG0000215	Prbn.g_00061	Prau.g_00294
OG0000216	Prbn.g_00062	Prau.g_00296
OG0000217	Prbn.g_00065	Prau.g_00299
OG0000218	Prbn.g_00067	Prau.g_00301
OG0000219	Prbn.g_00068	Prau.g_00302
OG0000220	Prbn.g_00069	Prau.g_00303
OG0000221	Prbn.g_00070	Prau.g_00304
OG0000222	Prbn.g_00077	Prau.g_00312
OG0000223	Prbn.g_00089	Prau.g_00325
OG0000224	Prbn.g_00091	Prau.g_00327
OG0000225	Prbn.g_00117	Prau.g_00348
OG0000226	Prbn.g_00121	Prau.g_00352
OG0000227	Prbn.g_00123	Prau.g_00354
OG0000228	Prbn.g_00697	Prau.g_00357
OG0000229	Prbn.g_00677	Prau.g_00477
OG0000230	Prbn.g_00675	Prau.g_00479
OG0000231	Prbn.g_00664	Prau.g_00490
OG0000232	Prbn.g_00653	Prau.g_00499
OG0000233	Prbn.g_00647	Prau.g_00505
OG0000234	Prbn.g_00638	Prau.g_00517
OG0000235	Prbn.g_00635	Prau.g_00520
OG0000236	Prbn.g_00621	Prau.g_00534
OG0000237	Prbn.g_00608	Prau.g_00547
OG0000238	Prbn.g_00602	Prau.g_00553
OG0000239	Prbn.g_00591	Prau.g_00565
OG0000240	Prbn.g_00590	Prau.g_00566
OG0000241	Prbn.g_00586	Prau.g_00570
OG0000242	Prbn.g_00584	Prau.g_00572
OG0000243	Prbn.g_00573	Prau.g_00583
OG0000244	Prbn.g_00570	Prau.g_00586
OG0000245	Prbn.g_00568	Prau.g_00588
OG0000246	Prbn.g_00564	Prau.g_00592
OG0000247	Prbn.g_00554	Prau.g_00602
OG0000248	Prbn.g_00551	Prau.g_00604
OG0000249	Prbn.g_00549	Prau.g_00606
OG0000250	Prbn.g_00544	Prau.g_00611
OG0000251	Prbn.g_00524	Prau.g_00629
OG0000252	Prbn.g_00521	Prau.g_00632
OG0000253	Prbn.g_00520	Prau.g_00633
OG0000254	Prbn.g_00503	Prau.g_00649
OG0000255	Prbn.g_00497	Prau.g_00655
OG0000256	Prbn.g_00487	Prau.g_00667
OG0000257	Prbn.g_00421	Prau.g_00670
OG0000258	Prbn.g_00435	Prau.g_00683
OG0000259	Prbn.g_00835	Prau.g_00700
OG0000260	Prbn.g_00838	Prau.g_00703
OG0000261	Prbn.g_00841	Prau.g_00705
OG0000262	Prbn.g_00845	Prau.g_00709
OG0000263	Prbn.g_01583	Prau.g_00721
OG0000264	Prbn.g_01572	Prau.g_00731
OG0000265	Prbn.g_01554	Prau.g_00755
OG0000266	Prbn.g_00864	Prau.g_00765
OG0000267	Prbn.g_01350	Prau.g_00776
OG0000268	Prbn.g_01351	Prau.g_00777
OG0000269	Prbn.g_01551	Prau.g_00849
OG0000270	Prbn.g_01548	Prau.g_00852
OG0000271	Prbn.g_01540	Prau.g_00860
OG0000272	Prbn.g_01539	Prau.g_00861
OG0000273	Prbn.g_01515	Prau.g_00884
OG0000274	Prbn.g_01514	Prau.g_00885
OG0000275	Prbn.g_01511	Prau.g_00887
OG0000276	Prbn.g_01505	Prau.g_00892
OG0000277	Prbn.g_01504	Prau.g_00893
OG0000278	Prbn.g_01501	Prau.g_00896
OG0000279	Prbn.g_01494	Prau.g_00904
OG0000280	Prbn.g_01493	Prau.g_00905
OG0000281	Prbn.g_01486	Prau.g_00910
OG0000282	Prbn.g_01619	Prau.g_00958
OG0000283	Prbn.g_01442	Prau.g_00992
OG0000284	Prbn.g_01437	Prau.g_00997
OG0000285	Prbn.g_01432	Prau.g_01002
OG0000286	Prbn.g_01419	Prau.g_01014
OG0000287	Prbn.g_01123	Prau.g_01031
OG0000288	Prbn.g_01380	Prau.g_01062
OG0000289	Prbn.g_01364	Prau.g_01073
OG0000290	Prbn.g_01468	Prau.g_01086
OG0000291	Prbn.g_01470	Prau.g_01088
OG0000292	Prbn.g_01144	Prau.g_01136
OG0000293	Prbn.g_01179	Prau.g_01198
OG0000294	Prbn.g_01180	Prau.g_01199
OG0000295	Prbn.g_01203	Prau.g_01218
OG0000296	Prbn.g_01205	Prau.g_01220
OG0000297	Prbn.g_00387	Prau.g_01228
OG0000298	Prbn.g_00388	Prau.g_01229
OG0000299	Prbn.g_00407	Prau.g_01246
OG0000300	Prbn.g_00410	Prau.g_01249
OG0000301	Prbn.g_00411	Prau.g_01250
OG0000302	Prbn.g_00413	Prau.g_01252
OG0000303	Prbn.g_00419	Prau.g_01259
OG0000304	Prbn.g_00482	Prau.g_01263
OG0000305	Prbn.g_01146	Prau.g_01401
OG0000306	Prbn.g_01482	Prau.g_01404
OG0000307	Prbn.g_00159	Prau.g_01418
OG0000308	Prbn.g_00160	Prau.g_01419
OG0000309	Prbn.g_00164	Prau.g_01423
OG0000310	Prbn.g_00198	Prau.g_01513
OG0000311	Prbn.g_00200	Prau.g_01515
OG0000312	Prbn.g_00203	Prau.g_01518
OG0000313	Prbn.g_00216	Prau.g_01535
OG0000314	Prbn.g_00239	Prau.g_01558
OG0000315	Prbn.g_00249	Prau.g_01568
OG0000316	Prbn.g_00274	Prau.g_01588
OG0000317	Prbn.g_01742	Prau.g_01730
OG0000318	Prbn.g_01746	Prau.g_01733
OG0000319	Prbn.g_01759	Prau.g_01746
OG0000320	Prbn.g_01761	Prau.g_01748
OG0000321	Prbn.g_01762	Prau.g_01749
OG0000322	Prbn.g_01763	Prau.g_01750
OG0000323	Prbn.g_01773	Prau.g_01759
OG0000324	Prbn.g_01800	Prau.g_01785
OG0000325	Prbn.g_01811	Prau.g_01795
OG0000326	Prbn.g_01818	Prau.g_01801
OG0000327	Prbn.g_01839	Prau.g_01828
OG0000328	Prbn.g_01840	Prau.g_01829
OG0000329	Prbn.g_01857	Prau.g_01846
OG0000330	Prbn.g_01858	Prau.g_01847
OG0000331	Prbn.g_01859	Prau.g_01848
OG0000332	Prbn.g_01873	Prau.g_01862
OG0000333	Prbn.g_01875	Prau.g_01864
OG0000334	Prbn.g_01884	Prau.g_01872
OG0000335	Prbn.g_01889	Prau.g_01877
OG0000336	Prbn.g_01893	Prau.g_01881
OG0000337	Prbn.g_01911	Prau.g_01897
OG0000338	Prbn.g_01912	Prau.g_01898
OG0000339	Prbn.g_01918	Prau.g_01902
OG0000340	Prbn.g_01012	Prau.g_01910
OG0000341	Prbn.g_01010	Prau.g_01912
OG0000342	Prbn.g_01009	Prau.g_01913
OG0000343	Prbn.g_01008	Prau.g_01914
OG0000344	Prbn.g_01005	Prau.g_01917
OG0000345	Prbn.g_00999	Prau.g_01922
OG0000346	Prbn.g_00995	Prau.g_01926
OG0000347	Prbn.g_00978	Prau.g_01942
OG0000348	Prbn.g_00970	Prau.g_01952
OG0000349	Prbn.g_00953	Prau.g_01969
OG0000350	Prbn.g_00798	Prau.g_01987, Prau.g_01297
OG0000351	Prbn.g_00913	Prau.g_02004
OG0000352	Prbn.g_00912	Prau.g_02005
OG0000353	Prbn.g_00299	Prau.g_02021
OG0000355	Prbn.g_00301	Prau.g_00001
OG0000356	Prbn.g_00302	Prau.g_00002
OG0000357	Prbn.g_00011	Prau.g_00003
OG0000358	Prbn.g_00007	Prau.g_00007
OG0000359	Prbn.g_00006	Prau.g_00008
OG0000360	Prbn.g_00005	Prau.g_00009
OG0000361	Prbn.g_00004	Prau.g_00010
OG0000362	Prbn.g_00001	Prau.g_00012
OG0000363	Prbn.g_00768	Prau.g_00014
OG0000364	Prbn.g_00767	Prau.g_00015
OG0000365	Prbn.g_00762	Prau.g_00020
OG0000366	Prbn.g_00761	Prau.g_00021
OG0000367	Prbn.g_00760	Prau.g_00022
OG0000368	Prbn.g_00758	Prau.g_00024
OG0000369	Prbn.g_00757	Prau.g_00025
OG0000370	Prbn.g_00756	Prau.g_00026
OG0000371	Prbn.g_00749	Prau.g_00031
OG0000372	Prbn.g_00746	Prau.g_00034
OG0000373	Prbn.g_00745	Prau.g_00035
OG0000374	Prbn.g_00744	Prau.g_00036
OG0000375	Prbn.g_00742	Prau.g_00047
OG0000376	Prbn.g_00740	Prau.g_00049
OG0000377	Prbn.g_00736	Prau.g_00053
OG0000378	Prbn.g_00732	Prau.g_00055
OG0000379	Prbn.g_00729	Prau.g_00058
OG0000380	Prbn.g_00712	Prau.g_00068
OG0000381	Prbn.g_00707	Prau.g_00072
OG0000382	Prbn.g_01340	Prau.g_00082
OG0000383	Prbn.g_01338	Prau.g_00084
OG0000384	Prbn.g_01337	Prau.g_00085
OG0000385	Prbn.g_01336	Prau.g_00086
OG0000386	Prbn.g_01335	Prau.g_00087
OG0000387	Prbn.g_01321	Prau.g_00100
OG0000388	Prbn.g_01317	Prau.g_00103
OG0000389	Prbn.g_01314	Prau.g_00107
OG0000390	Prbn.g_01304	Prau.g_00114
OG0000391	Prbn.g_01301	Prau.g_00117
OG0000392	Prbn.g_01297	Prau.g_00121
OG0000393	Prbn.g_01294	Prau.g_00123
OG0000394	Prbn.g_01293	Prau.g_00124
OG0000395	Prbn.g_01292	Prau.g_00125
OG0000396	Prbn.g_01290	Prau.g_00128
OG0000397	Prbn.g_01288	Prau.g_00130
OG0000398	Prbn.g_01285	Prau.g_00132
OG0000399	Prbn.g_01284	Prau.g_00133
OG0000400	Prbn.g_01283	Prau.g_00134
OG0000401	Prbn.g_01282	Prau.g_00135
OG0000402	Prbn.g_01356	Prau.g_00137
OG0000403	Prbn.g_01280	Prau.g_00138
OG0000404	Prbn.g_01279	Prau.g_00139
OG0000405	Prbn.g_01275	Prau.g_00143
OG0000406	Prbn.g_01267	Prau.g_00148
OG0000407	Prbn.g_01266	Prau.g_00149
OG0000408	Prbn.g_01264	Prau.g_00151
OG0000409	Prbn.g_01262	Prau.g_00153
OG0000410	Prbn.g_01261	Prau.g_00154
OG0000411	Prbn.g_01260	Prau.g_00155
OG0000412	Prbn.g_01259	Prau.g_00156
OG0000413	Prbn.g_01257	Prau.g_00157
OG0000414	Prbn.g_01256	Prau.g_00158
OG0000415	Prbn.g_01255	Prau.g_00159
OG0000416	Prbn.g_01254	Prau.g_00160
OG0000417	Prbn.g_01253	Prau.g_00161
OG0000418	Prbn.g_01248	Prau.g_00166
OG0000419	Prbn.g_01246	Prau.g_00168
OG0000420	Prbn.g_01245	Prau.g_00169
OG0000421	Prbn.g_00381	Prau.g_00174
OG0000422	Prbn.g_00380	Prau.g_00175
OG0000423	Prbn.g_00379	Prau.g_00176
OG0000424	Prbn.g_00378	Prau.g_00177
OG0000425	Prbn.g_00377	Prau.g_00178
OG0000426	Prbn.g_00376	Prau.g_00179
OG0000427	Prbn.g_00375	Prau.g_00180
OG0000428	Prbn.g_00373	Prau.g_00182
OG0000429	Prbn.g_00372	Prau.g_00183
OG0000430	Prbn.g_00371	Prau.g_00184
OG0000431	Prbn.g_00369	Prau.g_00186
OG0000432	Prbn.g_00365	Prau.g_00189
OG0000433	Prbn.g_00364	Prau.g_00190
OG0000434	Prbn.g_00363	Prau.g_00191
OG0000435	Prbn.g_00362	Prau.g_00192
OG0000436	Prbn.g_00357	Prau.g_00197
OG0000437	Prbn.g_00356	Prau.g_00198
OG0000438	Prbn.g_00355	Prau.g_00199
OG0000439	Prbn.g_00353	Prau.g_00201
OG0000440	Prbn.g_00352	Prau.g_00202
OG0000441	Prbn.g_00349	Prau.g_00205
OG0000442	Prbn.g_00348	Prau.g_00206
OG0000443	Prbn.g_00347	Prau.g_00207
OG0000444	Prbn.g_00341	Prau.g_00212
OG0000445	Prbn.g_00340	Prau.g_00213
OG0000446	Prbn.g_00339	Prau.g_00214
OG0000447	Prbn.g_00338	Prau.g_00215
OG0000448	Prbn.g_00337	Prau.g_00216
OG0000449	Prbn.g_00336	Prau.g_00217
OG0000450	Prbn.g_00335	Prau.g_00218
OG0000451	Prbn.g_00334	Prau.g_00219
OG0000452	Prbn.g_00331	Prau.g_00222
OG0000453	Prbn.g_00330	Prau.g_00223
OG0000454	Prbn.g_00329	Prau.g_00224
OG0000455	Prbn.g_00328	Prau.g_00225
OG0000456	Prbn.g_00327	Prau.g_00226
OG0000457	Prbn.g_00325	Prau.g_00227
OG0000458	Prbn.g_00324	Prau.g_00228
OG0000459	Prbn.g_00323	Prau.g_00229
OG0000460	Prbn.g_00315	Prau.g_00236
OG0000461	Prbn.g_00307	Prau.g_00244
OG0000462	Prbn.g_00305	Prau.g_00246
OG0000463	Prbn.g_00304	Prau.g_00247
OG0000464	Prbn.g_00012	Prau.g_00248
OG0000465	Prbn.g_00013	Prau.g_00249
OG0000466	Prbn.g_00016	Prau.g_00252
OG0000467	Prbn.g_00017	Prau.g_00253
OG0000468	Prbn.g_00020	Prau.g_00255
OG0000469	Prbn.g_00028	Prau.g_00264
OG0000470	Prbn.g_00030	Prau.g_00266
OG0000471	Prbn.g_00031	Prau.g_00267
OG0000472	Prbn.g_00033	Prau.g_00268
OG0000473	Prbn.g_00035	Prau.g_00270
OG0000474	Prbn.g_00036	Prau.g_00271
OG0000475	Prbn.g_00037	Prau.g_00272
OG0000476	Prbn.g_00039	Prau.g_00273
OG0000477	Prbn.g_00042	Prau.g_00277
OG0000478	Prbn.g_00043	Prau.g_00278
OG0000479	Prbn.g_00044	Prau.g_00279
OG0000480	Prbn.g_00049	Prau.g_00284
OG0000481	Prbn.g_00052	Prau.g_00286
OG0000482	Prbn.g_00053	Prau.g_00287
OG0000483	Prbn.g_00056	Prau.g_00290
OG0000484	Prbn.g_00057	Prau.g_00291
OG0000485	Prbn.g_00059	Prau.g_00292
OG0000486	Prbn.g_00060	Prau.g_00293
OG0000487	Prbn.g_00063	Prau.g_00297
OG0000488	Prbn.g_00066	Prau.g_00300
OG0000489	Prbn.g_00071	Prau.g_00305
OG0000490	Prbn.g_00075	Prau.g_00310
OG0000491	Prbn.g_00076	Prau.g_00311
OG0000492	Prbn.g_00078	Prau.g_00313
OG0000493	Prbn.g_00079	Prau.g_00314
OG0000494	Prbn.g_00080	Prau.g_00315
OG0000495	Prbn.g_00081	Prau.g_00316
OG0000496	Prbn.g_00082	Prau.g_00317
OG0000497	Prbn.g_00083	Prau.g_00318
OG0000498	Prbn.g_00084	Prau.g_00319
OG0000499	Prbn.g_00085	Prau.g_00320
OG0000500	Prbn.g_00086	Prau.g_00321
OG0000501	Prbn.g_00087	Prau.g_00323
OG0000502	Prbn.g_00090	Prau.g_00326
OG0000503	Prbn.g_00105	Prau.g_00336
OG0000504	Prbn.g_00107	Prau.g_00337
OG0000505	Prbn.g_00108	Prau.g_00338
OG0000506	Prbn.g_00109	Prau.g_00340
OG0000507	Prbn.g_00112	Prau.g_00343
OG0000508	Prbn.g_00116	Prau.g_00347
OG0000509	Prbn.g_00118	Prau.g_00349
OG0000510	Prbn.g_00119	Prau.g_00350
OG0000511	Prbn.g_00120	Prau.g_00351
OG0000512	Prbn.g_00122	Prau.g_00353
OG0000513	Prbn.g_00693	Prau.g_00360
OG0000514	Prbn.g_00682	Prau.g_00472
OG0000515	Prbn.g_00681	Prau.g_00473
OG0000516	Prbn.g_00680	Prau.g_00474
OG0000517	Prbn.g_00678	Prau.g_00476
OG0000518	Prbn.g_00667	Prau.g_00487
OG0000519	Prbn.g_00666	Prau.g_00488
OG0000520	Prbn.g_00665	Prau.g_00489
OG0000521	Prbn.g_00657	Prau.g_00494
OG0000522	Prbn.g_00655	Prau.g_00496
OG0000523	Prbn.g_00654	Prau.g_00497
OG0000524	Prbn.g_00649	Prau.g_00503
OG0000525	Prbn.g_00645	Prau.g_00506
OG0000526	Prbn.g_00644	Prau.g_00507
OG0000527	Prbn.g_00641	Prau.g_00514
OG0000528	Prbn.g_00636	Prau.g_00519
OG0000529	Prbn.g_00633	Prau.g_00522
OG0000530	Prbn.g_00630	Prau.g_00525
OG0000531	Prbn.g_00629	Prau.g_00526
OG0000532	Prbn.g_00627	Prau.g_00528
OG0000533	Prbn.g_00626	Prau.g_00529
OG0000534	Prbn.g_00625	Prau.g_00530
OG0000535	Prbn.g_00624	Prau.g_00531
OG0000536	Prbn.g_00623	Prau.g_00532
OG0000537	Prbn.g_00622	Prau.g_00533
OG0000538	Prbn.g_00613	Prau.g_00541
OG0000539	Prbn.g_00612	Prau.g_00542
OG0000540	Prbn.g_00611	Prau.g_00543
OG0000541	Prbn.g_00610	Prau.g_00544
OG0000542	Prbn.g_00609	Prau.g_00546
OG0000543	Prbn.g_00607	Prau.g_00548
OG0000544	Prbn.g_00606	Prau.g_00549
OG0000545	Prbn.g_00604	Prau.g_00551
OG0000546	Prbn.g_00601	Prau.g_00554
OG0000547	Prbn.g_00599	Prau.g_00556
OG0000548	Prbn.g_00598	Prau.g_00557
OG0000549	Prbn.g_00596	Prau.g_00559
OG0000550	Prbn.g_00592	Prau.g_00564
OG0000551	Prbn.g_00589	Prau.g_00567
OG0000552	Prbn.g_00588	Prau.g_00568
OG0000553	Prbn.g_00587	Prau.g_00569
OG0000554	Prbn.g_00582	Prau.g_00574
OG0000555	Prbn.g_00574	Prau.g_00582
OG0000556	Prbn.g_00572	Prau.g_00584
