Orthogroup	Prbn	Syaa
OG0000039	Prbn.g_01577	Syaa.g_00846
OG0000041	Prbn.g_01793	Syaa.g_00660
OG0000042	Prbn.g_00988	Syaa.g_00103
OG0000045	Prbn.g_01145	Syaa.g_01560
OG0000046	Prbn.g_00093	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Prbn.g_00690	Syaa.g_02189
OG0000048	Prbn.g_01097, Prbn.g_00038	Syaa.g_02719, Syaa.g_00275
OG0000050	Prbn.g_01937	Syaa.g_01591
OG0000052	Prbn.g_00190	Syaa.g_00174
OG0000053	Prbn.g_01690, Prbn.g_00233	Syaa.g_01797
OG0000054	Prbn.g_00508	Syaa.g_01691
OG0000055	Prbn.g_01140	Syaa.g_00852
OG0000055	Prbn.g_01719	Syaa.g_01564
OG0000057	Prbn.g_01562	Syaa.g_00889
OG0000058	Prbn.g_00172	Syaa.g_00193
OG0000059	Prbn.g_01833	Syaa.g_02315
OG0000061	Prbn.g_01189	Syaa.g_00770
OG0000062	Prbn.g_00897	Syaa.g_00571
OG0000063	Prbn.g_00130	Syaa.g_00042
OG0000064	Prbn.g_00710	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579
OG0000065	Prbn.g_01312	Syaa.g_02380
OG0000066	Prbn.g_00577, Prbn.g_01657	Syaa.g_01968
OG0000067	Prbn.g_01546	Syaa.g_01154
OG0000068	Prbn.g_01240	Syaa.g_02059
OG0000069	Prbn.g_00659	Syaa.g_01256
OG0000070	Prbn.g_00663	Syaa.g_00718
OG0000071	Prbn.g_01084	Syaa.g_00735
OG0000072	Prbn.g_00383	Syaa.g_02480
OG0000073	Prbn.g_00614	Syaa.g_02030
OG0000074	Prbn.g_01038, Prbn.g_01928, Prbn.g_01582	Syaa.g_00372
OG0000075	Prbn.g_01917	Syaa.g_00157
OG0000076	Prbn.g_00996	Syaa.g_00123
OG0000077	Prbn.g_01342	Syaa.g_00341
OG0000078	Prbn.g_00310	Syaa.g_02103
OG0000079	Prbn.g_00018	Syaa.g_00303
OG0000080	Prbn.g_00184, Prbn.g_00186	Syaa.g_00487
OG0000081	Prbn.g_00585	Syaa.g_02089
OG0000082	Prbn.g_00530, Prbn.g_01734	Syaa.g_01905
OG0000084	Prbn.g_00209	Syaa.g_01770
OG0000085	Prbn.g_01737, Prbn.g_00144	Syaa.g_00564
OG0000086	Prbn.g_01333	Syaa.g_00324
OG0000087	Prbn.g_01278	Syaa.g_02433
OG0000088	Prbn.g_01247	Syaa.g_02474
OG0000089	Prbn.g_00696	Syaa.g_02149
OG0000090	Prbn.g_00583	Syaa.g_01980
OG0000091	Prbn.g_00434	Syaa.g_01625
OG0000097	Prbn.g_00408	Syaa.g_00979
OG0000099	Prbn.g_00173	Syaa.g_00202
OG0000100	Prbn.g_00903	Syaa.g_01201
OG0000101	Prbn.g_01881	Syaa.g_02249
OG0000102	Prbn.g_00991	Syaa.g_00118
OG0000103	Prbn.g_00907	Syaa.g_02740
OG0000104	Prbn.g_00296	Syaa.g_02754
OG0000105	Prbn.g_00041	Syaa.g_00270
OG0000106	Prbn.g_00829	Syaa.g_01439
OG0000107	Prbn.g_01810	Syaa.g_02351
OG0000108	Prbn.g_00634	Syaa.g_02051
OG0000109	Prbn.g_00620	Syaa.g_02036
OG0000110	Prbn.g_00541	Syaa.g_01918
OG0000111	Prbn.g_01561	Syaa.g_00888
OG0000112	Prbn.g_00468	Syaa.g_01366
OG0000113	Prbn.g_01523	Syaa.g_01196
OG0000114	Prbn.g_01621	Syaa.g_01094
OG0000115	Prbn.g_01120	Syaa.g_01795
OG0000116	Prbn.g_01178	Syaa.g_00757
OG0000117	Prbn.g_00389	Syaa.g_01009
OG0000118	Prbn.g_01071	Syaa.g_01874
OG0000119	Prbn.g_01135, Prbn.g_00885	Syaa.g_00785
OG0000120	Prbn.g_00170	Syaa.g_00201
OG0000121	Prbn.g_00214	Syaa.g_01777
OG0000122	Prbn.g_01113, Prbn.g_00255	Syaa.g_01598
OG0000123	Prbn.g_01888	Syaa.g_02242
OG0000124	Prbn.g_00979	Syaa.g_00092
OG0000125	Prbn.g_00944	Syaa.g_02598
OG0000126	Prbn.g_00295	Syaa.g_02752
OG0000128	Prbn.g_00002, Prbn.g_00003	Syaa.g_00012
OG0000129	Prbn.g_00737	Syaa.g_02586
OG0000130	Prbn.g_00708	Syaa.g_00354
OG0000131	Prbn.g_01269	Syaa.g_02448
OG0000132	Prbn.g_01249	Syaa.g_02472
OG0000133	Prbn.g_00088	Syaa.g_01361
OG0000134	Prbn.g_00694	Syaa.g_02146
OG0000135	Prbn.g_01102	Syaa.g_02649
OG0000136	Prbn.g_00672	Syaa.g_00708
OG0000137	Prbn.g_00639	Syaa.g_01842
OG0000138	Prbn.g_00619	Syaa.g_02035
OG0000139	Prbn.g_00579	Syaa.g_01974
OG0000140	Prbn.g_00578	Syaa.g_01971
OG0000141	Prbn.g_00507	Syaa.g_01689
OG0000142	Prbn.g_00426	Syaa.g_01633
OG0000143	Prbn.g_00430	Syaa.g_01629
OG0000144	Prbn.g_00444	Syaa.g_01446
OG0000145	Prbn.g_01100	Syaa.g_02029
OG0000146	Prbn.g_00469	Syaa.g_01367
OG0000147	Prbn.g_00470	Syaa.g_01368
OG0000148	Prbn.g_01529	Syaa.g_01190
OG0000149	Prbn.g_01497	Syaa.g_00826
OG0000150	Prbn.g_01487	Syaa.g_01688
OG0000151	Prbn.g_01611	Syaa.g_01107
OG0000152	Prbn.g_01418	Syaa.g_01357
OG0000153	Prbn.g_01399	Syaa.g_01324
OG0000154	Prbn.g_01379	Syaa.g_01298
OG0000155	Prbn.g_01210	Syaa.g_00804
OG0000156	Prbn.g_01095	Syaa.g_00751
OG0000157	Prbn.g_01094	Syaa.g_00750
OG0000158	Prbn.g_01014	Syaa.g_00148
OG0000160	Prbn.g_00213	Syaa.g_01776
OG0000161	Prbn.g_00219	Syaa.g_01782
OG0000162	Prbn.g_00225	Syaa.g_01788
OG0000163	Prbn.g_00264	Syaa.g_00624
OG0000164	Prbn.g_01770	Syaa.g_00507
OG0000165	Prbn.g_01777	Syaa.g_00681
OG0000166	Prbn.g_01844	Syaa.g_02289
OG0000167	Prbn.g_01915	Syaa.g_00160
OG0000168	Prbn.g_01013	Syaa.g_00145
OG0000169	Prbn.g_01003	Syaa.g_00134
OG0000170	Prbn.g_01000	Syaa.g_00128
OG0000171	Prbn.g_00980	Syaa.g_00093
OG0000172	Prbn.g_00973	Syaa.g_00079
OG0000173	Prbn.g_00958	Syaa.g_00060
OG0000174	Prbn.g_00929	Syaa.g_02651
OG0000175	Prbn.g_00916	Syaa.g_02726
OG0000176	Prbn.g_00010	Syaa.g_00004
OG0000177	Prbn.g_00009	Syaa.g_00005
OG0000178	Prbn.g_00008	Syaa.g_00006
OG0000179	Prbn.g_00766	Syaa.g_00023
OG0000180	Prbn.g_00765	Syaa.g_00024
OG0000181	Prbn.g_00764	Syaa.g_00025
OG0000182	Prbn.g_00763	Syaa.g_00026
OG0000183	Prbn.g_00759	Syaa.g_00030
OG0000184	Prbn.g_00733	Syaa.g_02578
OG0000185	Prbn.g_00730	Syaa.g_02575
OG0000186	Prbn.g_00714	Syaa.g_00359
OG0000187	Prbn.g_00713	Syaa.g_00358
OG0000188	Prbn.g_01339	Syaa.g_00334
OG0000189	Prbn.g_01325	Syaa.g_02367
OG0000190	Prbn.g_01323	Syaa.g_02369
OG0000191	Prbn.g_01300	Syaa.g_02404
OG0000192	Prbn.g_01295	Syaa.g_02410
OG0000193	Prbn.g_01268	Syaa.g_02449
OG0000194	Prbn.g_01265	Syaa.g_02452
OG0000195	Prbn.g_01263	Syaa.g_02459
OG0000196	Prbn.g_01252	Syaa.g_02469
OG0000197	Prbn.g_01251	Syaa.g_02470
OG0000198	Prbn.g_01250	Syaa.g_02471
OG0000199	Prbn.g_01243, Prbn.g_00384	Syaa.g_02479
OG0000200	Prbn.g_00370	Syaa.g_02496
OG0000201	Prbn.g_00361	Syaa.g_02521
OG0000202	Prbn.g_00360	Syaa.g_02522
OG0000203	Prbn.g_00359	Syaa.g_02523
OG0000204	Prbn.g_00358	Syaa.g_02524
OG0000205	Prbn.g_00351	Syaa.g_02531
OG0000206	Prbn.g_00346	Syaa.g_02538
OG0000207	Prbn.g_00343	Syaa.g_02540
OG0000208	Prbn.g_00342	Syaa.g_02541
OG0000209	Prbn.g_00333	Syaa.g_02556
OG0000210	Prbn.g_00332	Syaa.g_02557
OG0000211	Prbn.g_00317	Syaa.g_02113
OG0000212	Prbn.g_00309	Syaa.g_02102
OG0000213	Prbn.g_00024	Syaa.g_00295
OG0000214	Prbn.g_00034	Syaa.g_00279
OG0000215	Prbn.g_00061	Syaa.g_00248
OG0000216	Prbn.g_00062	Syaa.g_00244
OG0000217	Prbn.g_00065	Syaa.g_00240
OG0000218	Prbn.g_00067	Syaa.g_00238
OG0000219	Prbn.g_00068	Syaa.g_00237
OG0000220	Prbn.g_00069	Syaa.g_00236
OG0000221	Prbn.g_00070	Syaa.g_00229
OG0000222	Prbn.g_00077	Syaa.g_00215
OG0000223	Prbn.g_00089	Syaa.g_00192
OG0000224	Prbn.g_00091	Syaa.g_00183
OG0000225	Prbn.g_00117	Syaa.g_02166
OG0000226	Prbn.g_00121	Syaa.g_02162
OG0000227	Prbn.g_00123	Syaa.g_02160
OG0000228	Prbn.g_00697	Syaa.g_02150
OG0000229	Prbn.g_00677	Syaa.g_00703
OG0000230	Prbn.g_00675	Syaa.g_00705
OG0000231	Prbn.g_00664	Syaa.g_00717
OG0000232	Prbn.g_00653	Syaa.g_01858
OG0000233	Prbn.g_00647	Syaa.g_01853
OG0000234	Prbn.g_00638	Syaa.g_01841
OG0000235	Prbn.g_00635	Syaa.g_02052
OG0000236	Prbn.g_00621	Syaa.g_02037
OG0000237	Prbn.g_00608	Syaa.g_02020
OG0000238	Prbn.g_00602	Syaa.g_02015
OG0000239	Prbn.g_00591	Syaa.g_01996
OG0000240	Prbn.g_00590	Syaa.g_01995
OG0000241	Prbn.g_00586	Syaa.g_01644
OG0000242	Prbn.g_00584	Syaa.g_01982
OG0000243	Prbn.g_00573	Syaa.g_01960
OG0000244	Prbn.g_00570	Syaa.g_01954
OG0000245	Prbn.g_00568	Syaa.g_01952
OG0000246	Prbn.g_00564	Syaa.g_01948
OG0000247	Prbn.g_00554	Syaa.g_01937
OG0000248	Prbn.g_00551	Syaa.g_01934
OG0000249	Prbn.g_00549	Syaa.g_01932
OG0000250	Prbn.g_00544	Syaa.g_01922
OG0000251	Prbn.g_00524	Syaa.g_01897
OG0000252	Prbn.g_00521	Syaa.g_01894
OG0000253	Prbn.g_00520	Syaa.g_01893
OG0000254	Prbn.g_00503	Syaa.g_01684
OG0000255	Prbn.g_00497	Syaa.g_01668
OG0000256	Prbn.g_00487	Syaa.g_01651
OG0000257	Prbn.g_00421	Syaa.g_01645
OG0000258	Prbn.g_00435	Syaa.g_01624
OG0000259	Prbn.g_00835	Syaa.g_01063
OG0000260	Prbn.g_00838	Syaa.g_01066
OG0000261	Prbn.g_00841	Syaa.g_01069
OG0000262	Prbn.g_00845	Syaa.g_01074
OG0000263	Prbn.g_01583	Syaa.g_00989
OG0000264	Prbn.g_01572	Syaa.g_00910
OG0000265	Prbn.g_01554	Syaa.g_00931, Syaa.g_01498
OG0000266	Prbn.g_00864	Syaa.g_01257, Syaa.g_01258
OG0000267	Prbn.g_01350	Syaa.g_01409
OG0000268	Prbn.g_01351	Syaa.g_01408
OG0000269	Prbn.g_01551	Syaa.g_01149
OG0000270	Prbn.g_01548	Syaa.g_01152
OG0000271	Prbn.g_01540	Syaa.g_01160
OG0000272	Prbn.g_01539	Syaa.g_01161
OG0000273	Prbn.g_01515	Syaa.g_00844
OG0000274	Prbn.g_01514	Syaa.g_00843
OG0000275	Prbn.g_01511	Syaa.g_00840
OG0000276	Prbn.g_01505	Syaa.g_00834
OG0000277	Prbn.g_01504	Syaa.g_00833
OG0000278	Prbn.g_01501	Syaa.g_00830
OG0000279	Prbn.g_01494	Syaa.g_00822
OG0000280	Prbn.g_01493	Syaa.g_00815
OG0000282	Prbn.g_01619	Syaa.g_01096
OG0000283	Prbn.g_01442	Syaa.g_01396
OG0000284	Prbn.g_01437	Syaa.g_01390
OG0000285	Prbn.g_01432	Syaa.g_01377
OG0000286	Prbn.g_01419	Syaa.g_01358
OG0000287	Prbn.g_01123	Syaa.g_01330
OG0000288	Prbn.g_01380	Syaa.g_01299
OG0000289	Prbn.g_01364	Syaa.g_01285
OG0000290	Prbn.g_01468	Syaa.g_00875
OG0000291	Prbn.g_01470	Syaa.g_00877
OG0000292	Prbn.g_01144	Syaa.g_02751
OG0000293	Prbn.g_01179	Syaa.g_00758
OG0000294	Prbn.g_01180	Syaa.g_00759
OG0000295	Prbn.g_01203	Syaa.g_00796
OG0000296	Prbn.g_01205	Syaa.g_00798
OG0000297	Prbn.g_00387	Syaa.g_01021
OG0000298	Prbn.g_00388	Syaa.g_01010
OG0000299	Prbn.g_00407	Syaa.g_00982
OG0000300	Prbn.g_00410	Syaa.g_00976
OG0000301	Prbn.g_00411	Syaa.g_00975
OG0000302	Prbn.g_00413	Syaa.g_00972
OG0000303	Prbn.g_00419	Syaa.g_00963
OG0000304	Prbn.g_00482	Syaa.g_00957
OG0000305	Prbn.g_01146	Syaa.g_00881
OG0000306	Prbn.g_01482	Syaa.g_00807
OG0000307	Prbn.g_00159	Syaa.g_02068
OG0000308	Prbn.g_00160	Syaa.g_02070
OG0000309	Prbn.g_00164	Syaa.g_02075
OG0000310	Prbn.g_00198	Syaa.g_01752
OG0000311	Prbn.g_00200	Syaa.g_01757
OG0000312	Prbn.g_00203	Syaa.g_01762
OG0000313	Prbn.g_00216	Syaa.g_01779
OG0000314	Prbn.g_00239	Syaa.g_01806
OG0000315	Prbn.g_00249	Syaa.g_01816
OG0000316	Prbn.g_00274	Syaa.g_00598
OG0000317	Prbn.g_01742	Syaa.g_00556
OG0000318	Prbn.g_01746	Syaa.g_00550
OG0000319	Prbn.g_01759	Syaa.g_00532
OG0000320	Prbn.g_01761	Syaa.g_00530
OG0000321	Prbn.g_01762	Syaa.g_00529
OG0000322	Prbn.g_01763	Syaa.g_00528
OG0000323	Prbn.g_01773	Syaa.g_00496
OG0000324	Prbn.g_01800	Syaa.g_00653
OG0000325	Prbn.g_01811	Syaa.g_02350
OG0000326	Prbn.g_01818	Syaa.g_02343
OG0000327	Prbn.g_01839	Syaa.g_02294
OG0000328	Prbn.g_01840	Syaa.g_02293
OG0000329	Prbn.g_01857	Syaa.g_02275
OG0000330	Prbn.g_01858	Syaa.g_02274
OG0000331	Prbn.g_01859	Syaa.g_02273
OG0000332	Prbn.g_01873	Syaa.g_02258
OG0000333	Prbn.g_01875	Syaa.g_02255
OG0000334	Prbn.g_01884	Syaa.g_02246
OG0000335	Prbn.g_01889	Syaa.g_02241
OG0000336	Prbn.g_01893	Syaa.g_02237
OG0000337	Prbn.g_01911	Syaa.g_00167
OG0000338	Prbn.g_01912	Syaa.g_00162
OG0000339	Prbn.g_01918	Syaa.g_00156
OG0000340	Prbn.g_01012	Syaa.g_00144
OG0000341	Prbn.g_01010	Syaa.g_00142
OG0000342	Prbn.g_01009	Syaa.g_00141
OG0000343	Prbn.g_01008	Syaa.g_00140
OG0000344	Prbn.g_01005	Syaa.g_00136
OG0000345	Prbn.g_00999	Syaa.g_00127
OG0000346	Prbn.g_00995	Syaa.g_00122
OG0000347	Prbn.g_00978	Syaa.g_00088
OG0000348	Prbn.g_00970	Syaa.g_00071
OG0000349	Prbn.g_00953	Syaa.g_00053
OG0000350	Prbn.g_00798	Syaa.g_02336
OG0000351	Prbn.g_00913	Syaa.g_02730
OG0000352	Prbn.g_00912	Syaa.g_02731
OG0000353	Prbn.g_00299	Syaa.g_02757
OG0000355	Prbn.g_00301	Syaa.g_00001
OG0000356	Prbn.g_00302	Syaa.g_00002
OG0000357	Prbn.g_00011	Syaa.g_00003
OG0000358	Prbn.g_00007	Syaa.g_00007
OG0000359	Prbn.g_00006	Syaa.g_00009
OG0000360	Prbn.g_00005	Syaa.g_00010
OG0000361	Prbn.g_00004	Syaa.g_00011
OG0000362	Prbn.g_00001	Syaa.g_00013
OG0000363	Prbn.g_00768	Syaa.g_00015
OG0000364	Prbn.g_00767	Syaa.g_00016
OG0000365	Prbn.g_00762	Syaa.g_00027
OG0000366	Prbn.g_00761	Syaa.g_00028
OG0000367	Prbn.g_00760	Syaa.g_00029
OG0000368	Prbn.g_00758	Syaa.g_00031
OG0000369	Prbn.g_00757	Syaa.g_00032
OG0000370	Prbn.g_00756	Syaa.g_00033
OG0000371	Prbn.g_00749	Syaa.g_00041
OG0000372	Prbn.g_00746	Syaa.g_00046
OG0000373	Prbn.g_00745	Syaa.g_00047
OG0000374	Prbn.g_00744	Syaa.g_00048
OG0000375	Prbn.g_00742	Syaa.g_00049
OG0000376	Prbn.g_00740	Syaa.g_00051
OG0000377	Prbn.g_00736	Syaa.g_02585
OG0000378	Prbn.g_00732	Syaa.g_02577
OG0000379	Prbn.g_00729	Syaa.g_02574
OG0000380	Prbn.g_00712	Syaa.g_00357
OG0000381	Prbn.g_00707	Syaa.g_00353
OG0000382	Prbn.g_01340	Syaa.g_00335
OG0000383	Prbn.g_01338	Syaa.g_00333
OG0000384	Prbn.g_01337	Syaa.g_00332
OG0000385	Prbn.g_01336	Syaa.g_00331
OG0000386	Prbn.g_01335	Syaa.g_00330
OG0000387	Prbn.g_01321	Syaa.g_02371
OG0000388	Prbn.g_01317	Syaa.g_02375
OG0000389	Prbn.g_01314	Syaa.g_02379
OG0000390	Prbn.g_01304	Syaa.g_02398
OG0000391	Prbn.g_01301	Syaa.g_02403
OG0000392	Prbn.g_01297	Syaa.g_02409
OG0000393	Prbn.g_01294	Syaa.g_02412
OG0000394	Prbn.g_01293	Syaa.g_02413
OG0000395	Prbn.g_01292	Syaa.g_02414
OG0000396	Prbn.g_01290	Syaa.g_02417
OG0000397	Prbn.g_01288	Syaa.g_02419
OG0000398	Prbn.g_01285	Syaa.g_02424
OG0000399	Prbn.g_01284	Syaa.g_02425
OG0000400	Prbn.g_01283	Syaa.g_02426
OG0000401	Prbn.g_01282	Syaa.g_02427
OG0000402	Prbn.g_01356	Syaa.g_02429
OG0000403	Prbn.g_01280	Syaa.g_02430
OG0000404	Prbn.g_01279	Syaa.g_02431
OG0000405	Prbn.g_01275	Syaa.g_02446
OG0000406	Prbn.g_01267	Syaa.g_02450
OG0000407	Prbn.g_01266	Syaa.g_02451
OG0000408	Prbn.g_01264	Syaa.g_02458
OG0000409	Prbn.g_01262	Syaa.g_02460
OG0000410	Prbn.g_01261	Syaa.g_02461
OG0000411	Prbn.g_01260	Syaa.g_02462
OG0000412	Prbn.g_01259	Syaa.g_02463
OG0000413	Prbn.g_01257	Syaa.g_02465
OG0000415	Prbn.g_01255	Syaa.g_02466
OG0000416	Prbn.g_01254	Syaa.g_02467
OG0000417	Prbn.g_01253	Syaa.g_02468
OG0000418	Prbn.g_01248	Syaa.g_02473
OG0000419	Prbn.g_01246	Syaa.g_02475
OG0000420	Prbn.g_01245	Syaa.g_02477
OG0000421	Prbn.g_00381	Syaa.g_02482
OG0000422	Prbn.g_00380	Syaa.g_02483
OG0000423	Prbn.g_00379	Syaa.g_02484
OG0000424	Prbn.g_00378	Syaa.g_02485
OG0000425	Prbn.g_00377	Syaa.g_02486
OG0000426	Prbn.g_00376	Syaa.g_02487
OG0000427	Prbn.g_00375	Syaa.g_02488
OG0000428	Prbn.g_00373	Syaa.g_02491
OG0000429	Prbn.g_00372	Syaa.g_02493
OG0000430	Prbn.g_00371	Syaa.g_02495
OG0000431	Prbn.g_00369	Syaa.g_02498
OG0000432	Prbn.g_00365	Syaa.g_02504
OG0000433	Prbn.g_00364	Syaa.g_02513
OG0000434	Prbn.g_00363	Syaa.g_02514
OG0000435	Prbn.g_00362	Syaa.g_02516
OG0000436	Prbn.g_00357	Syaa.g_02525
OG0000437	Prbn.g_00356	Syaa.g_02526
OG0000438	Prbn.g_00355	Syaa.g_02527
OG0000439	Prbn.g_00353	Syaa.g_02529
OG0000440	Prbn.g_00352	Syaa.g_02530
OG0000441	Prbn.g_00349	Syaa.g_02534
OG0000442	Prbn.g_00348	Syaa.g_02535
OG0000443	Prbn.g_00347	Syaa.g_02536
OG0000444	Prbn.g_00341	Syaa.g_02542
OG0000445	Prbn.g_00340	Syaa.g_02543
OG0000446	Prbn.g_00339	Syaa.g_02545
OG0000447	Prbn.g_00338	Syaa.g_02548
OG0000448	Prbn.g_00337	Syaa.g_02549
OG0000449	Prbn.g_00336	Syaa.g_02550
OG0000450	Prbn.g_00335	Syaa.g_02553
OG0000451	Prbn.g_00334	Syaa.g_02554
OG0000452	Prbn.g_00331	Syaa.g_02558
OG0000453	Prbn.g_00330	Syaa.g_02559
OG0000454	Prbn.g_00329	Syaa.g_02560
OG0000455	Prbn.g_00328	Syaa.g_02561
OG0000456	Prbn.g_00327	Syaa.g_02562
OG0000457	Prbn.g_00325	Syaa.g_02564
OG0000458	Prbn.g_00324	Syaa.g_02565
OG0000459	Prbn.g_00323	Syaa.g_02566
OG0000460	Prbn.g_00315	Syaa.g_02111
OG0000461	Prbn.g_00307	Syaa.g_00318
OG0000462	Prbn.g_00305	Syaa.g_00315
OG0000463	Prbn.g_00304	Syaa.g_00314
OG0000464	Prbn.g_00012	Syaa.g_00313
OG0000465	Prbn.g_00013	Syaa.g_00311
OG0000466	Prbn.g_00016	Syaa.g_00306
OG0000467	Prbn.g_00017	Syaa.g_00304
OG0000468	Prbn.g_00020	Syaa.g_00299
OG0000469	Prbn.g_00028	Syaa.g_00285
OG0000470	Prbn.g_00030	Syaa.g_00283
OG0000471	Prbn.g_00031	Syaa.g_00282
OG0000472	Prbn.g_00033	Syaa.g_00280
OG0000473	Prbn.g_00035	Syaa.g_00278
OG0000474	Prbn.g_00036	Syaa.g_00277
OG0000475	Prbn.g_00037	Syaa.g_00276
OG0000476	Prbn.g_00039	Syaa.g_00274
OG0000477	Prbn.g_00042	Syaa.g_00268
OG0000478	Prbn.g_00043	Syaa.g_00267
OG0000479	Prbn.g_00044	Syaa.g_00266
OG0000480	Prbn.g_00049	Syaa.g_00259
OG0000481	Prbn.g_00052	Syaa.g_00257
OG0000482	Prbn.g_00053	Syaa.g_00256
OG0000483	Prbn.g_00056	Syaa.g_00252
OG0000484	Prbn.g_00057	Syaa.g_00251
OG0000485	Prbn.g_00059	Syaa.g_00250
OG0000486	Prbn.g_00060	Syaa.g_00249
OG0000487	Prbn.g_00063	Syaa.g_00243
OG0000488	Prbn.g_00066	Syaa.g_00239
OG0000489	Prbn.g_00071	Syaa.g_00228
OG0000490	Prbn.g_00075	Syaa.g_00220
OG0000491	Prbn.g_00076	Syaa.g_00218
OG0000492	Prbn.g_00078	Syaa.g_00214
OG0000493	Prbn.g_00079	Syaa.g_00213
OG0000494	Prbn.g_00080	Syaa.g_00212
OG0000495	Prbn.g_00081	Syaa.g_00211
OG0000496	Prbn.g_00082	Syaa.g_00210
OG0000497	Prbn.g_00083	Syaa.g_00209
OG0000498	Prbn.g_00084	Syaa.g_00208
OG0000499	Prbn.g_00085	Syaa.g_00207
OG0000500	Prbn.g_00086	Syaa.g_00206
OG0000501	Prbn.g_00087	Syaa.g_00203
OG0000502	Prbn.g_00090	Syaa.g_00190
OG0000503	Prbn.g_00105	Syaa.g_02182
OG0000504	Prbn.g_00107	Syaa.g_02180
OG0000505	Prbn.g_00108	Syaa.g_02179
OG0000506	Prbn.g_00109	Syaa.g_02177
OG0000507	Prbn.g_00112	Syaa.g_02171
OG0000508	Prbn.g_00116	Syaa.g_02167
OG0000509	Prbn.g_00118	Syaa.g_02165
OG0000510	Prbn.g_00119	Syaa.g_02164
OG0000511	Prbn.g_00120	Syaa.g_02163
OG0000512	Prbn.g_00122	Syaa.g_02161
OG0000513	Prbn.g_00693	Syaa.g_02145
OG0000514	Prbn.g_00682	Syaa.g_02118
OG0000515	Prbn.g_00681	Syaa.g_02117
OG0000516	Prbn.g_00680	Syaa.g_00698
OG0000517	Prbn.g_00678	Syaa.g_00702
OG0000518	Prbn.g_00667	Syaa.g_00714
OG0000519	Prbn.g_00666	Syaa.g_00715
OG0000520	Prbn.g_00665	Syaa.g_00716
OG0000521	Prbn.g_00657	Syaa.g_01864
OG0000522	Prbn.g_00655	Syaa.g_01862
OG0000523	Prbn.g_00654	Syaa.g_01859
OG0000524	Prbn.g_00649	Syaa.g_01856
OG0000525	Prbn.g_00645	Syaa.g_01851
OG0000526	Prbn.g_00644	Syaa.g_01848
OG0000527	Prbn.g_00641	Syaa.g_01844
OG0000528	Prbn.g_00636	Syaa.g_02054
OG0000529	Prbn.g_00633	Syaa.g_02050
OG0000530	Prbn.g_00630	Syaa.g_02047
OG0000531	Prbn.g_00629	Syaa.g_02046
OG0000532	Prbn.g_00627	Syaa.g_02043
OG0000533	Prbn.g_00626	Syaa.g_02042
OG0000534	Prbn.g_00625	Syaa.g_02041
OG0000535	Prbn.g_00624	Syaa.g_02040
OG0000536	Prbn.g_00623	Syaa.g_02039
OG0000537	Prbn.g_00622	Syaa.g_02038
OG0000538	Prbn.g_00613	Syaa.g_02027
OG0000539	Prbn.g_00612	Syaa.g_02026
OG0000540	Prbn.g_00611	Syaa.g_02025
OG0000541	Prbn.g_00610	Syaa.g_02024
