Orthogroup	Prax	Syag
OG0000087	Prax.g_01079	Syag.g_01939
OG0000088	Prax.g_01052	Syag.g_01974
OG0000089	Prax.g_00817	Syag.g_00005
OG0000090	Prax.g_00668	Syag.g_01454
OG0000091	Prax.g_00101	Syag.g_00418
OG0000092	Prax.g_00566	Syag.g_00242
OG0000094	Prax.g_01185	Syag.g_00881
OG0000097	Prax.g_00241	Syag.g_01065
OG0000098	Prax.g_01881	Syag.g_00578
OG0000099	Prax.g_01825	Syag.g_02536
OG0000100	Prax.g_01654	Syag.g_00704
OG0000101	Prax.g_01338	Syag.g_02773
OG0000102	Prax.g_01399	Syag.g_02387
OG0000103	Prax.g_01478	Syag.g_02253
OG0000104	Prax.g_01486	Syag.g_02268
OG0000105	Prax.g_00901	Syag.g_02606
OG0000106	Prax.g_00803	Syag.g_00462
OG0000108	Prax.g_00722	Syag.g_01528
OG0000109	Prax.g_00707	Syag.g_01512
OG0000110	Prax.g_00035	Syag.g_00303
OG0000111	Prax.g_00943	Syag.g_00984
OG0000112	Prax.g_00409	Syag.g_00801
OG0000113	Prax.g_00351	Syag.g_00699
OG0000114	Prax.g_00561	Syag.g_00609
OG0000115	Prax.g_00132	Syag.g_01397
OG0000116	Prax.g_00190	Syag.g_01156
OG0000117	Prax.g_01959	Syag.g_01097
OG0000118	Prax.g_01887	Syag.g_01232
OG0000120	Prax.g_01832	Syag.g_02535
OG0000121	Prax.g_01726	Syag.g_01414
OG0000122	Prax.g_01688	Syag.g_00446
OG0000123	Prax.g_01345	Syag.g_02781
OG0000124	Prax.g_01410	Syag.g_02367
OG0000125	Prax.g_01447	Syag.g_02136, Syag.g_02134
OG0000126	Prax.g_01485	Syag.g_02266
OG0000128	Prax.g_01974	Syag.g_02284
OG0000129	Prax.g_00269	Syag.g_02121
OG0000130	Prax.g_00640	Syag.g_01819
OG0000131	Prax.g_01073	Syag.g_01951
OG0000132	Prax.g_01054	Syag.g_01972
OG0000133	Prax.g_00853, Prax.g_00852, Prax.g_01783	Syag.g_00806
OG0000134	Prax.g_01573, Prax.g_00816	Syag.g_00008
OG0000135	Prax.g_00792	Syag.g_02171
OG0000136	Prax.g_00759	Syag.g_00038
OG0000137	Prax.g_00727	Syag.g_01356
OG0000138	Prax.g_00706	Syag.g_01511
OG0000139	Prax.g_00664	Syag.g_01448
OG0000140	Prax.g_00663	Syag.g_01446
OG0000141	Prax.g_00066	Syag.g_00351
OG0000142	Prax.g_00094	Syag.g_00410
OG0000143	Prax.g_00098	Syag.g_00414
OG0000144	Prax.g_00111	Syag.g_00493
OG0000145	Prax.g_00413	Syag.g_01504
OG0000146	Prax.g_00408	Syag.g_00800
OG0000147	Prax.g_00407	Syag.g_00799
OG0000148	Prax.g_00357	Syag.g_00693
OG0000149	Prax.g_00326	Syag.g_00731
OG0000150	Prax.g_00318	Syag.g_00352
OG0000151	Prax.g_00571	Syag.g_00623
OG0000152	Prax.g_01129	Syag.g_00810
OG0000153	Prax.g_01148	Syag.g_00845
OG0000154	Prax.g_01178	Syag.g_00870
OG0000155	Prax.g_00220	Syag.g_01107
OG0000156	Prax.g_01910	Syag.g_01166
OG0000157	Prax.g_01909	Syag.g_01167
OG0000158	Prax.g_01780	Syag.g_02422
OG0000160	Prax.g_01727	Syag.g_01415
OG0000161	Prax.g_01721	Syag.g_01409
OG0000162	Prax.g_01715	Syag.g_01402
OG0000163	Prax.g_01681	Syag.g_01618
OG0000164	Prax.g_01535	Syag.g_01725
OG0000165	Prax.g_01528	Syag.g_01733
OG0000166	Prax.g_01302	Syag.g_02733
OG0000167	Prax.g_01368	Syag.g_02437
OG0000168	Prax.g_01378	Syag.g_02417
OG0000169	Prax.g_01388	Syag.g_02405
OG0000170	Prax.g_01390	Syag.g_02398
OG0000171	Prax.g_01409	Syag.g_02368
OG0000172	Prax.g_01418	Syag.g_02360
OG0000173	Prax.g_01433	Syag.g_02337
OG0000174	Prax.g_01460	Syag.g_02175
OG0000175	Prax.g_01470	Syag.g_02240
OG0000176	Prax.g_01494	Syag.g_02276
OG0000177	Prax.g_01495	Syag.g_02277
OG0000178	Prax.g_01496	Syag.g_02278
OG0000179	Prax.g_00297	Syag.g_02293
OG0000180	Prax.g_00296	Syag.g_02294
OG0000181	Prax.g_00295	Syag.g_02295
OG0000182	Prax.g_00294	Syag.g_02296
OG0000183	Prax.g_00290	Syag.g_02300
OG0000184	Prax.g_00621	Syag.g_02110
OG0000185	Prax.g_00624	Syag.g_02092
OG0000186	Prax.g_00635	Syag.g_01815
OG0000187	Prax.g_00636	Syag.g_01816
OG0000188	Prax.g_00653	Syag.g_01839
OG0000189	Prax.g_01122	Syag.g_01872
OG0000190	Prax.g_01121	Syag.g_01874
OG0000191	Prax.g_01101	Syag.g_01909
OG0000192	Prax.g_01097	Syag.g_01915
OG0000193	Prax.g_01072	Syag.g_01952
OG0000194	Prax.g_01069	Syag.g_01955
OG0000195	Prax.g_01067	Syag.g_01957
OG0000196	Prax.g_01057	Syag.g_01968
OG0000197	Prax.g_01056	Syag.g_01969
OG0000198	Prax.g_01055	Syag.g_00108, Syag.g_01971
OG0000199	Prax.g_01048	Syag.g_01979
OG0000200	Prax.g_01034	Syag.g_01996
OG0000201	Prax.g_01026	Syag.g_02019
OG0000202	Prax.g_01025	Syag.g_02024
OG0000203	Prax.g_01024	Syag.g_02025
OG0000204	Prax.g_01023	Syag.g_02020, Syag.g_02026
OG0000205	Prax.g_01016	Syag.g_02035
OG0000206	Prax.g_01011	Syag.g_02047
OG0000207	Prax.g_01009	Syag.g_02051
OG0000208	Prax.g_01008	Syag.g_02052
OG0000209	Prax.g_00999	Syag.g_02069
OG0000210	Prax.g_00998	Syag.g_02070
OG0000212	Prax.g_00978	Syag.g_01777
OG0000213	Prax.g_00918	Syag.g_02632
OG0000214	Prax.g_00908	Syag.g_02615
OG0000215	Prax.g_00883	Syag.g_02584
OG0000216	Prax.g_00881	Syag.g_02580
OG0000217	Prax.g_00878	Syag.g_02576
OG0000218	Prax.g_00876	Syag.g_02574
OG0000219	Prax.g_00875	Syag.g_02573
OG0000220	Prax.g_00874	Syag.g_02572
OG0000221	Prax.g_00873	Syag.g_02566
OG0000222	Prax.g_00865	Syag.g_02550
OG0000223	Prax.g_00850	Syag.g_02475
OG0000224	Prax.g_00848	Syag.g_02471
OG0000225	Prax.g_00827	Syag.g_02861
OG0000226	Prax.g_00823	Syag.g_02865
OG0000227	Prax.g_00821	Syag.g_02867
OG0000228	Prax.g_00818	Syag.g_00004
OG0000229	Prax.g_00764	Syag.g_00033
OG0000230	Prax.g_00762	Syag.g_00035
OG0000231	Prax.g_00751	Syag.g_00048
OG0000232	Prax.g_00743	Syag.g_00059
OG0000233	Prax.g_00738	Syag.g_01330
OG0000234	Prax.g_00726	Syag.g_01358
OG0000235	Prax.g_00723	Syag.g_01529
OG0000236	Prax.g_00708	Syag.g_01513
OG0000237	Prax.g_00695	Syag.g_01495
OG0000238	Prax.g_00689	Syag.g_01490
OG0000239	Prax.g_00676	Syag.g_01472
OG0000240	Prax.g_00675	Syag.g_01471
OG0000241	Prax.g_00671	Syag.g_00396
OG0000242	Prax.g_00669	Syag.g_01456
OG0000243	Prax.g_00004	Syag.g_00255
OG0000244	Prax.g_00007	Syag.g_00268
OG0000245	Prax.g_00009	Syag.g_00270
OG0000246	Prax.g_00013	Syag.g_00274
OG0000247	Prax.g_00023	Syag.g_00286
OG0000248	Prax.g_00025	Syag.g_00289
OG0000249	Prax.g_00027	Syag.g_00291
OG0000250	Prax.g_00032	Syag.g_00299
OG0000251	Prax.g_00050	Syag.g_00328
OG0000252	Prax.g_00053	Syag.g_00331
OG0000253	Prax.g_00054	Syag.g_00333
OG0000254	Prax.g_00070	Syag.g_00356
OG0000255	Prax.g_00076	Syag.g_00369
OG0000256	Prax.g_00086	Syag.g_00385
OG0000257	Prax.g_00089	Syag.g_00395
OG0000258	Prax.g_00102	Syag.g_00423
OG0000259	Prax.g_00119	Syag.g_00560
OG0000260	Prax.g_00122	Syag.g_00570
OG0000261	Prax.g_00977	Syag.g_00581
OG0000262	Prax.g_00973	Syag.g_00586
OG0000263	Prax.g_00961	Syag.g_01079
OG0000264	Prax.g_00951	Syag.g_01011
OG0000265	Prax.g_00485	Syag.g_01021
OG0000266	Prax.g_00475	Syag.g_00907
OG0000267	Prax.g_00464	Syag.g_00762
OG0000268	Prax.g_00463	Syag.g_00763
OG0000269	Prax.g_00378	Syag.g_00662
OG0000270	Prax.g_00375	Syag.g_00665
OG0000271	Prax.g_00367	Syag.g_00673
OG0000274	Prax.g_00342	Syag.g_00714
OG0000275	Prax.g_00339	Syag.g_00717
OG0000276	Prax.g_00334	Syag.g_00723
OG0000277	Prax.g_00333	Syag.g_00724
OG0000278	Prax.g_00330	Syag.g_00727
OG0000279	Prax.g_00323	Syag.g_00735
OG0000280	Prax.g_00322	Syag.g_00741
OG0000281	Prax.g_00317	Syag.g_00572
OG0000282	Prax.g_00563	Syag.g_00611
OG0000283	Prax.g_00597	Syag.g_00775
OG0000284	Prax.g_00602	Syag.g_00780
OG0000285	Prax.g_00607	Syag.g_00791
OG0000286	Prax.g_00619	Syag.g_00809
OG0000287	Prax.g_01145	Syag.g_00838
OG0000288	Prax.g_01177	Syag.g_00869
OG0000289	Prax.g_01188	Syag.g_00884
OG0000290	Prax.g_01201	Syag.g_00970
OG0000291	Prax.g_01203	Syag.g_00972
OG0000292	Prax.g_01759, Prax.g_01254	Syag.g_02265
OG0000293	Prax.g_00191	Syag.g_01155
OG0000294	Prax.g_00192	Syag.g_01154
OG0000295	Prax.g_00212	Syag.g_01115
OG0000296	Prax.g_00214	Syag.g_01113
OG0000297	Prax.g_00222	Syag.g_01099
OG0000298	Prax.g_00223	Syag.g_01098
OG0000299	Prax.g_00240	Syag.g_01067
OG0000301	Prax.g_00244	Syag.g_01061
OG0000302	Prax.g_00246	Syag.g_01060
OG0000303	Prax.g_00253	Syag.g_01048
OG0000304	Prax.g_00257	Syag.g_01041
OG0000305	Prax.g_01871	Syag.g_00977
OG0000306	Prax.g_01868	Syag.g_00460
OG0000307	Prax.g_01854	Syag.g_01546
OG0000308	Prax.g_01853	Syag.g_01548
OG0000309	Prax.g_01849	Syag.g_01553
OG0000310	Prax.g_01748	Syag.g_01291
OG0000311	Prax.g_01746	Syag.g_01300
OG0000312	Prax.g_01743	Syag.g_01434
OG0000313	Prax.g_01724	Syag.g_00966, Syag.g_01412
OG0000314	Prax.g_01701	Syag.g_01380
OG0000315	Prax.g_01691	Syag.g_01369
OG0000316	Prax.g_01671	Syag.g_01641
OG0000317	Prax.g_01561	Syag.g_01684
OG0000318	Prax.g_01558	Syag.g_01688
OG0000319	Prax.g_01545	Syag.g_01710
OG0000320	Prax.g_01543	Syag.g_01712
OG0000321	Prax.g_01542	Syag.g_01713
OG0000322	Prax.g_01541	Syag.g_01714
OG0000323	Prax.g_01532	Syag.g_01728
OG0000324	Prax.g_01505	Syag.g_01757
OG0000325	Prax.g_01263	Syag.g_02690
OG0000326	Prax.g_01269	Syag.g_02698
OG0000327	Prax.g_01297	Syag.g_02728
OG0000328	Prax.g_01298	Syag.g_02729
OG0000329	Prax.g_01315	Syag.g_02747
OG0000330	Prax.g_01316	Syag.g_02748
OG0000331	Prax.g_01317	Syag.g_02749
OG0000332	Prax.g_01331	Syag.g_02764
OG0000333	Prax.g_01333	Syag.g_02767
OG0000334	Prax.g_01341	Syag.g_02777
OG0000335	Prax.g_01346	Syag.g_02782
OG0000336	Prax.g_01350	Syag.g_02786
OG0000337	Prax.g_01366	Syag.g_02445
OG0000338	Prax.g_01367	Syag.g_02440
OG0000340	Prax.g_01379	Syag.g_02416
OG0000341	Prax.g_01381	Syag.g_02414
OG0000342	Prax.g_01382	Syag.g_02413
OG0000343	Prax.g_01383	Syag.g_02411
OG0000344	Prax.g_01386	Syag.g_02407
OG0000345	Prax.g_01391	Syag.g_02397
OG0000346	Prax.g_01395	Syag.g_02392
OG0000347	Prax.g_01411	Syag.g_02366
OG0000348	Prax.g_01421	Syag.g_02357
OG0000349	Prax.g_01438	Syag.g_02330
OG0000350	Prax.g_01456	Syag.g_02705
OG0000351	Prax.g_01473	Syag.g_02244
OG0000352	Prax.g_01474	Syag.g_02245
OG0000353	Prax.g_01489	Syag.g_02271
OG0000355	Prax.g_01491	Syag.g_02273
OG0000356	Prax.g_01492	Syag.g_02274
OG0000357	Prax.g_01493	Syag.g_02275
OG0000358	Prax.g_01497	Syag.g_02279
OG0000359	Prax.g_01498	Syag.g_02281
OG0000360	Prax.g_01499	Syag.g_02282
OG0000361	Prax.g_01975	Syag.g_02283
OG0000362	Prax.g_01973	Syag.g_02285
OG0000363	Prax.g_00299	Syag.g_02287
OG0000364	Prax.g_00298	Syag.g_02288
OG0000365	Prax.g_00293	Syag.g_02297
OG0000366	Prax.g_00292	Syag.g_02298
OG0000367	Prax.g_00291	Syag.g_02299
OG0000368	Prax.g_00289	Syag.g_02301
OG0000369	Prax.g_00288	Syag.g_02302
OG0000370	Prax.g_00287	Syag.g_02303
OG0000371	Prax.g_00281	Syag.g_02312
OG0000372	Prax.g_00278	Syag.g_02317
OG0000373	Prax.g_00277	Syag.g_02318
OG0000374	Prax.g_00276	Syag.g_02319
OG0000375	Prax.g_00273	Syag.g_02326
OG0000376	Prax.g_00271	Syag.g_02328
OG0000377	Prax.g_00261	Syag.g_02119
OG0000378	Prax.g_00622	Syag.g_02099
OG0000379	Prax.g_00625	Syag.g_02091
OG0000380	Prax.g_00637	Syag.g_01817
OG0000381	Prax.g_00641	Syag.g_01820
OG0000382	Prax.g_00652	Syag.g_01838
OG0000383	Prax.g_00654	Syag.g_01843
OG0000384	Prax.g_00655	Syag.g_01844
OG0000385	Prax.g_00656	Syag.g_01845
OG0000386	Prax.g_00657	Syag.g_01846
OG0000387	Prax.g_01119	Syag.g_01876
OG0000388	Prax.g_01116	Syag.g_01880
OG0000389	Prax.g_01113	Syag.g_01884
OG0000390	Prax.g_01106	Syag.g_01903
OG0000391	Prax.g_01102	Syag.g_01908
OG0000392	Prax.g_01098	Syag.g_01914
OG0000393	Prax.g_01096	Syag.g_01917
OG0000394	Prax.g_01095	Syag.g_01918
OG0000395	Prax.g_01094	Syag.g_01919
OG0000396	Prax.g_01091	Syag.g_01922
OG0000397	Prax.g_01089	Syag.g_01924
OG0000398	Prax.g_01087	Syag.g_01929
OG0000399	Prax.g_01086	Syag.g_01930
OG0000400	Prax.g_01085	Syag.g_01931
OG0000401	Prax.g_01084	Syag.g_01932
OG0000402	Prax.g_01082	Syag.g_01934
OG0000403	Prax.g_01081	Syag.g_01935
OG0000404	Prax.g_01080	Syag.g_01937
OG0000405	Prax.g_01076	Syag.g_01949
OG0000406	Prax.g_01071	Syag.g_01953
OG0000407	Prax.g_01070	Syag.g_01954
OG0000408	Prax.g_01068	Syag.g_01956
OG0000409	Prax.g_01066	Syag.g_01958
OG0000410	Prax.g_01065	Syag.g_01959
OG0000411	Prax.g_01064	Syag.g_01960
OG0000412	Prax.g_01063	Syag.g_01961
OG0000413	Prax.g_01062	Syag.g_01963
OG0000414	Prax.g_01061	Syag.g_01964
OG0000415	Prax.g_01060	Syag.g_01965
OG0000416	Prax.g_01059	Syag.g_01966
OG0000417	Prax.g_01058	Syag.g_01967
OG0000418	Prax.g_01053	Syag.g_01973
OG0000419	Prax.g_01051	Syag.g_01975
OG0000420	Prax.g_01050	Syag.g_01977
OG0000421	Prax.g_01045	Syag.g_01982
OG0000422	Prax.g_01044	Syag.g_01983
OG0000423	Prax.g_01043	Syag.g_01984
OG0000424	Prax.g_01042	Syag.g_01985
OG0000425	Prax.g_01041	Syag.g_01986
OG0000426	Prax.g_01040	Syag.g_01987
OG0000427	Prax.g_01039	Syag.g_01988
OG0000428	Prax.g_01037	Syag.g_01991
OG0000429	Prax.g_01036	Syag.g_01993
OG0000430	Prax.g_01035	Syag.g_01995
OG0000431	Prax.g_01033	Syag.g_01998
OG0000432	Prax.g_01030	Syag.g_02007
OG0000433	Prax.g_01029	Syag.g_02009
OG0000434	Prax.g_01028	Syag.g_02010
OG0000435	Prax.g_01027	Syag.g_02017
OG0000436	Prax.g_01022	Syag.g_02028
OG0000437	Prax.g_01021	Syag.g_02029
OG0000438	Prax.g_01020	Syag.g_02031
OG0000439	Prax.g_01018	Syag.g_02033
OG0000440	Prax.g_01017	Syag.g_02034
OG0000441	Prax.g_01014	Syag.g_02041
OG0000442	Prax.g_01013	Syag.g_02044
OG0000443	Prax.g_01012	Syag.g_02046
OG0000444	Prax.g_01007	Syag.g_02053
OG0000445	Prax.g_01006	Syag.g_02054
OG0000446	Prax.g_01005	Syag.g_02056
OG0000447	Prax.g_01004	Syag.g_02059
OG0000448	Prax.g_01003	Syag.g_02060
OG0000449	Prax.g_01002	Syag.g_02061
OG0000450	Prax.g_01001	Syag.g_02066
OG0000451	Prax.g_01000	Syag.g_02067
OG0000452	Prax.g_00997	Syag.g_02071
OG0000453	Prax.g_00996	Syag.g_02072
OG0000454	Prax.g_00995	Syag.g_02073
OG0000455	Prax.g_00994	Syag.g_02074
OG0000456	Prax.g_00993	Syag.g_02075
OG0000457	Prax.g_00992	Syag.g_02077
OG0000458	Prax.g_00991	Syag.g_02080
OG0000459	Prax.g_00990	Syag.g_02081
OG0000460	Prax.g_00983	Syag.g_01786
OG0000461	Prax.g_00933	Syag.g_02675
OG0000462	Prax.g_00931	Syag.g_02672
OG0000463	Prax.g_00930	Syag.g_02671
OG0000464	Prax.g_00929	Syag.g_02670
OG0000465	Prax.g_00928	Syag.g_02668
OG0000466	Prax.g_00925	Syag.g_02662
OG0000467	Prax.g_00924	Syag.g_02660
OG0000468	Prax.g_00922	Syag.g_02636
OG0000469	Prax.g_00913	Syag.g_02621
OG0000470	Prax.g_00911	Syag.g_02619
OG0000471	Prax.g_00910	Syag.g_02618
OG0000472	Prax.g_00909	Syag.g_02616
OG0000473	Prax.g_00907	Syag.g_02614
OG0000474	Prax.g_00906	Syag.g_02613
OG0000475	Prax.g_00905	Syag.g_02612
OG0000476	Prax.g_00904	Syag.g_02610
OG0000477	Prax.g_00900	Syag.g_02604
OG0000478	Prax.g_00899	Syag.g_02603
OG0000479	Prax.g_00898	Syag.g_02602
OG0000480	Prax.g_00893	Syag.g_02595
OG0000481	Prax.g_00891	Syag.g_02593
OG0000482	Prax.g_00890	Syag.g_02592
OG0000483	Prax.g_00887	Syag.g_02588
OG0000484	Prax.g_00886	Syag.g_02587
OG0000485	Prax.g_00885	Syag.g_02586
OG0000486	Prax.g_00884	Syag.g_02585
OG0000487	Prax.g_00880	Syag.g_02579
OG0000488	Prax.g_00877	Syag.g_02575
OG0000489	Prax.g_00872	Syag.g_02565
OG0000490	Prax.g_00867	Syag.g_02553
OG0000491	Prax.g_00866	Syag.g_02551
OG0000492	Prax.g_00864	Syag.g_02549
OG0000493	Prax.g_00863	Syag.g_02548
OG0000494	Prax.g_00862	Syag.g_02547
OG0000495	Prax.g_00861	Syag.g_02546
OG0000496	Prax.g_00860	Syag.g_02545
OG0000497	Prax.g_00859	Syag.g_02544
OG0000498	Prax.g_00858	Syag.g_02543
OG0000499	Prax.g_00857	Syag.g_02542
OG0000500	Prax.g_00856	Syag.g_02541
OG0000501	Prax.g_00854	Syag.g_02538
OG0000502	Prax.g_00849	Syag.g_02467
OG0000503	Prax.g_00839	Syag.g_02843
OG0000504	Prax.g_00838	Syag.g_02845
OG0000505	Prax.g_00837	Syag.g_02846
OG0000506	Prax.g_00835	Syag.g_02849
OG0000507	Prax.g_00832	Syag.g_02855
OG0000508	Prax.g_00828	Syag.g_02860
OG0000509	Prax.g_00826	Syag.g_02862
OG0000510	Prax.g_00825	Syag.g_02863
OG0000511	Prax.g_00824	Syag.g_02864
OG0000512	Prax.g_00822	Syag.g_02866
OG0000513	Prax.g_00815	Syag.g_00009
OG0000514	Prax.g_00769	Syag.g_00018
OG0000515	Prax.g_00768	Syag.g_00019
OG0000516	Prax.g_00767	Syag.g_00025
OG0000517	Prax.g_00765	Syag.g_00032
OG0000518	Prax.g_00754	Syag.g_00044
OG0000519	Prax.g_00753	Syag.g_00045
OG0000520	Prax.g_00752	Syag.g_00046
OG0000521	Prax.g_00747	Syag.g_00054
OG0000522	Prax.g_00746	Syag.g_00056
OG0000523	Prax.g_00745	Syag.g_00057
OG0000524	Prax.g_00740	Syag.g_01327
OG0000525	Prax.g_00737	Syag.g_01345
OG0000526	Prax.g_00736	Syag.g_01348
OG0000527	Prax.g_00729	Syag.g_01354
OG0000528	Prax.g_00724	Syag.g_01532
OG0000529	Prax.g_00721	Syag.g_01527
OG0000530	Prax.g_00718	Syag.g_01524
OG0000531	Prax.g_00717	Syag.g_01523
OG0000532	Prax.g_00715	Syag.g_01520
OG0000533	Prax.g_00714	Syag.g_01518
OG0000534	Prax.g_00713	Syag.g_01517
OG0000535	Prax.g_00712	Syag.g_01516
OG0000536	Prax.g_00711	Syag.g_01515
OG0000537	Prax.g_00709	Syag.g_01514
OG0000538	Prax.g_00701	Syag.g_01502
OG0000539	Prax.g_00700	Syag.g_01501
OG0000540	Prax.g_00699	Syag.g_01500
OG0000541	Prax.g_00698	Syag.g_01499
OG0000542	Prax.g_00696	Syag.g_01496
OG0000543	Prax.g_00694	Syag.g_01494
OG0000544	Prax.g_00693	Syag.g_01493
OG0000545	Prax.g_00691	Syag.g_01491
OG0000546	Prax.g_00688	Syag.g_01489
OG0000547	Prax.g_00686	Syag.g_01487
OG0000548	Prax.g_00685	Syag.g_01486
OG0000549	Prax.g_00683	Syag.g_01480
OG0000550	Prax.g_00678	Syag.g_01474
OG0000551	Prax.g_00674	Syag.g_01470
OG0000552	Prax.g_00673	Syag.g_01469
OG0000553	Prax.g_00672	Syag.g_01464
OG0000554	Prax.g_00667	Syag.g_01453
OG0000555	Prax.g_00003	Syag.g_00075
OG0000556	Prax.g_00005	Syag.g_00257
OG0000557	Prax.g_00006	Syag.g_00267
OG0000558	Prax.g_00008	Syag.g_00269
OG0000559	Prax.g_00012	Syag.g_00273
OG0000560	Prax.g_00015	Syag.g_00276
OG0000561	Prax.g_00016	Syag.g_00277
OG0000562	Prax.g_00017	Syag.g_00278
OG0000563	Prax.g_00018	Syag.g_00279
OG0000564	Prax.g_00019	Syag.g_00280
OG0000565	Prax.g_00022	Syag.g_00284
OG0000566	Prax.g_00024	Syag.g_00288
OG0000567	Prax.g_00028	Syag.g_00292
OG0000568	Prax.g_00029	Syag.g_00295
OG0000569	Prax.g_00030	Syag.g_00296
OG0000570	Prax.g_00031	Syag.g_00297
OG0000571	Prax.g_00033	Syag.g_00301
OG0000572	Prax.g_00046	Syag.g_00251, Syag.g_00320
OG0000573	Prax.g_00051	Syag.g_00329
OG0000574	Prax.g_00052	Syag.g_00330
OG0000575	Prax.g_00056	Syag.g_00335
OG0000576	Prax.g_00058	Syag.g_00337
OG0000577	Prax.g_00059	Syag.g_00338
OG0000578	Prax.g_00060	Syag.g_00339
OG0000579	Prax.g_00061	Syag.g_00340
OG0000580	Prax.g_00062	Syag.g_00341
OG0000581	Prax.g_00064	Syag.g_00348
OG0000582	Prax.g_00067	Syag.g_00353
OG0000583	Prax.g_00068	Syag.g_00354
OG0000584	Prax.g_00069	Syag.g_00355
OG0000585	Prax.g_00071	Syag.g_00357
OG0000586	Prax.g_00072	Syag.g_00358
OG0000587	Prax.g_00073	Syag.g_00360
OG0000588	Prax.g_00077	Syag.g_00371
OG0000589	Prax.g_00080	Syag.g_00375
OG0000590	Prax.g_00081	Syag.g_00376
OG0000591	Prax.g_00084	Syag.g_00383
OG0000592	Prax.g_00085	Syag.g_00384
OG0000593	Prax.g_00091	Syag.g_00406
