Orthogroup	Prax	Prap
OG0000063	Prax.g_00280	Prap.g_01903
OG0000065	Prax.g_01112	Prap.g_01069
OG0000066	Prax.g_00662	Prap.g_01230, Prap.g_01867
OG0000067	Prax.g_00373	Prap.g_00783
OG0000068	Prax.g_01863	Prap.g_00059
OG0000069	Prax.g_01616	Prap.g_01312
OG0000070	Prax.g_00750	Prap.g_01316
OG0000071	Prax.g_01899	Prap.g_00561
OG0000072	Prax.g_01047	Prap.g_00999
OG0000073	Prax.g_00702	Prap.g_01267
OG0000074	Prax.g_00960	Prap.g_00819
OG0000075	Prax.g_01370	Prap.g_01606
OG0000076	Prax.g_01394	Prap.g_01580
OG0000077	Prax.g_00649	Prap.g_01099
OG0000078	Prax.g_00979	Prap.g_01472
OG0000079	Prax.g_00923	Prap.g_01459
OG0000081	Prax.g_00670	Prap.g_01238
OG0000082	Prax.g_00045	Prap.g_01183, Prap.g_01790
OG0000084	Prax.g_01737	Prap.g_00118
OG0000085	Prax.g_01566	Prap.g_01787, Prap.g_01917
OG0000086	Prax.g_00659	Prap.g_01090
OG0000087	Prax.g_01079	Prap.g_01035
OG0000088	Prax.g_01052	Prap.g_01004
OG0000089	Prax.g_00817	Prap.g_01349
OG0000090	Prax.g_00668	Prap.g_01236
OG0000091	Prax.g_00101	Prap.g_00384
OG0000092	Prax.g_00566	Prap.g_00853
OG0000093	Prax.g_01769, Prax.g_00588	Prap.g_00355
OG0000094	Prax.g_01185	Prap.g_00306
OG0000095	Prax.g_01204	Prap.g_00708
OG0000096	Prax.g_00500, Prax.g_00141, Prax.g_01936	Prap.g_00010
OG0000097	Prax.g_00241	Prap.g_00410
OG0000098	Prax.g_01881	Prap.g_01928
OG0000099	Prax.g_01825	Prap.g_00082
OG0000100	Prax.g_01654	Prap.g_00200
OG0000101	Prax.g_01338	Prap.g_01642
OG0000102	Prax.g_01399	Prap.g_01575
OG0000103	Prax.g_01478	Prap.g_01491
OG0000104	Prax.g_01486	Prap.g_01869
OG0000105	Prax.g_00901	Prap.g_01436
OG0000106	Prax.g_00803	Prap.g_00591
OG0000107	Prax.g_00790	Prap.g_01714
OG0000108	Prax.g_00722	Prap.g_01287
OG0000109	Prax.g_00707	Prap.g_01273
OG0000110	Prax.g_00035	Prap.g_01194
OG0000111	Prax.g_00943	Prap.g_00798
OG0000112	Prax.g_00409	Prap.g_01121
OG0000113	Prax.g_00351	Prap.g_00760
OG0000114	Prax.g_00561	Prap.g_00858
OG0000115	Prax.g_00132	Prap.g_00525
OG0000116	Prax.g_00190	Prap.g_00467
OG0000117	Prax.g_01959	Prap.g_00429
OG0000118	Prax.g_01887	Prap.g_00574
OG0000119	Prax.g_01867	Prap.g_00510, Prap.g_00218
OG0000120	Prax.g_01832	Prap.g_00079
OG0000121	Prax.g_01726	Prap.g_00123
OG0000122	Prax.g_01688	Prap.g_00532, Prap.g_00164
OG0000123	Prax.g_01345	Prap.g_01635
OG0000124	Prax.g_01410	Prap.g_01563
OG0000125	Prax.g_01447	Prap.g_01528
OG0000126	Prax.g_01485	Prap.g_01870
OG0000128	Prax.g_01974	Prap.g_00043
OG0000129	Prax.g_00269	Prap.g_00910
OG0000130	Prax.g_00640	Prap.g_00881
OG0000131	Prax.g_01073	Prap.g_01026
OG0000132	Prax.g_01054	Prap.g_01006
OG0000133	Prax.g_00853, Prax.g_00852, Prax.g_01783	Prap.g_01389
OG0000134	Prax.g_01573, Prax.g_00816	Prap.g_01347
OG0000135	Prax.g_00792	Prap.g_00543
OG0000136	Prax.g_00759	Prap.g_01325
OG0000137	Prax.g_00727	Prap.g_01292
OG0000138	Prax.g_00706	Prap.g_01272
OG0000139	Prax.g_00664	Prap.g_01232
OG0000140	Prax.g_00663	Prap.g_01231
OG0000141	Prax.g_00066	Prap.g_01160
OG0000142	Prax.g_00094	Prap.g_00392
OG0000143	Prax.g_00098	Prap.g_00388
OG0000144	Prax.g_00111	Prap.g_00374
OG0000145	Prax.g_00413	Prap.g_00545
OG0000146	Prax.g_00408	Prap.g_01122
OG0000147	Prax.g_00407	Prap.g_01123
OG0000148	Prax.g_00357	Prap.g_00766
OG0000149	Prax.g_00326	Prap.g_00734
OG0000150	Prax.g_00318	Prap.g_00724
OG0000151	Prax.g_00571	Prap.g_00848
OG0000152	Prax.g_01129	Prap.g_00257
OG0000153	Prax.g_01148	Prap.g_00276
OG0000154	Prax.g_01178	Prap.g_00296
OG0000155	Prax.g_00220	Prap.g_00435
OG0000156	Prax.g_01910	Prap.g_00550
OG0000157	Prax.g_01909	Prap.g_00551
OG0000158	Prax.g_01780	Prap.g_01598
OG0000159	Prax.g_01824	Prap.g_00890
OG0000160	Prax.g_01727	Prap.g_00122
OG0000161	Prax.g_01721	Prap.g_00128
OG0000162	Prax.g_01715	Prap.g_00134
OG0000163	Prax.g_01681	Prap.g_00173
OG0000164	Prax.g_01535	Prap.g_01754
OG0000165	Prax.g_01528	Prap.g_01747
OG0000166	Prax.g_01302	Prap.g_01680
OG0000167	Prax.g_01368	Prap.g_01608
OG0000168	Prax.g_01378	Prap.g_01597
OG0000169	Prax.g_01388	Prap.g_01587
OG0000170	Prax.g_01390	Prap.g_01584
OG0000171	Prax.g_01409	Prap.g_01564
OG0000172	Prax.g_01418	Prap.g_01557
OG0000173	Prax.g_01433	Prap.g_01542
OG0000174	Prax.g_01460	Prap.g_01513
OG0000175	Prax.g_01470	Prap.g_01500
OG0000176	Prax.g_01494	Prap.g_00050
OG0000177	Prax.g_01495	Prap.g_00049
OG0000178	Prax.g_01496	Prap.g_00048
OG0000179	Prax.g_00297	Prap.g_00939
OG0000180	Prax.g_00296	Prap.g_00938
OG0000181	Prax.g_00295	Prap.g_00937
OG0000182	Prax.g_00294	Prap.g_00936
OG0000183	Prax.g_00290	Prap.g_00932
OG0000184	Prax.g_00621	Prap.g_00906
OG0000185	Prax.g_00624	Prap.g_00903
OG0000186	Prax.g_00635	Prap.g_00887
OG0000187	Prax.g_00636	Prap.g_00886
OG0000188	Prax.g_00653	Prap.g_01096
OG0000189	Prax.g_01122	Prap.g_01082
OG0000190	Prax.g_01121	Prap.g_01080
OG0000191	Prax.g_01101	Prap.g_01057
OG0000192	Prax.g_01097	Prap.g_01052
OG0000193	Prax.g_01072	Prap.g_01025
OG0000194	Prax.g_01069	Prap.g_01022
OG0000195	Prax.g_01067	Prap.g_01020
OG0000196	Prax.g_01057	Prap.g_01009
OG0000197	Prax.g_01056	Prap.g_01008
OG0000198	Prax.g_01055	Prap.g_01007
OG0000199	Prax.g_01048	Prap.g_01000
OG0000200	Prax.g_01034	Prap.g_00986
OG0000201	Prax.g_01026	Prap.g_00977
OG0000202	Prax.g_01025	Prap.g_00976
OG0000203	Prax.g_01024	Prap.g_00975
OG0000204	Prax.g_01023	Prap.g_00974
OG0000205	Prax.g_01016	Prap.g_00967
OG0000206	Prax.g_01011	Prap.g_00962
OG0000207	Prax.g_01009	Prap.g_00959
OG0000208	Prax.g_01008	Prap.g_00958
OG0000209	Prax.g_00999	Prap.g_00949
OG0000210	Prax.g_00998	Prap.g_00948
OG0000211	Prax.g_00985	Prap.g_01479
OG0000212	Prax.g_00978	Prap.g_01471
OG0000213	Prax.g_00918	Prap.g_01453
OG0000214	Prax.g_00908	Prap.g_01443
OG0000215	Prax.g_00883	Prap.g_01416
OG0000216	Prax.g_00881	Prap.g_01415
OG0000217	Prax.g_00878	Prap.g_01412
OG0000218	Prax.g_00876	Prap.g_01410
OG0000219	Prax.g_00875	Prap.g_01409
OG0000220	Prax.g_00874	Prap.g_01408
OG0000221	Prax.g_00873	Prap.g_01407
OG0000222	Prax.g_00865	Prap.g_01400
OG0000223	Prax.g_00850	Prap.g_01388
OG0000224	Prax.g_00848	Prap.g_01386
OG0000225	Prax.g_00827	Prap.g_01360
OG0000226	Prax.g_00823	Prap.g_01356
OG0000227	Prax.g_00821	Prap.g_01354
OG0000228	Prax.g_00818	Prap.g_01350
OG0000229	Prax.g_00764	Prap.g_01330
OG0000230	Prax.g_00762	Prap.g_01328
OG0000231	Prax.g_00751	Prap.g_01317
OG0000232	Prax.g_00743	Prap.g_01306
OG0000233	Prax.g_00738	Prap.g_01300
OG0000234	Prax.g_00726	Prap.g_01291
OG0000235	Prax.g_00723	Prap.g_01288
OG0000236	Prax.g_00708	Prap.g_01274
OG0000237	Prax.g_00695	Prap.g_01261
OG0000238	Prax.g_00689	Prap.g_01255
OG0000239	Prax.g_00676	Prap.g_01244
OG0000240	Prax.g_00675	Prap.g_01243
OG0000241	Prax.g_00671	Prap.g_01239
OG0000242	Prax.g_00669	Prap.g_01237
OG0000243	Prax.g_00004	Prap.g_01226
OG0000244	Prax.g_00007	Prap.g_01223
OG0000245	Prax.g_00009	Prap.g_01221
OG0000246	Prax.g_00013	Prap.g_01217
OG0000247	Prax.g_00023	Prap.g_01207
OG0000248	Prax.g_00025	Prap.g_01204
OG0000249	Prax.g_00027	Prap.g_01202
OG0000250	Prax.g_00032	Prap.g_01197
OG0000251	Prax.g_00050	Prap.g_01177
OG0000252	Prax.g_00053	Prap.g_01174
OG0000253	Prax.g_00054	Prap.g_01173
OG0000254	Prax.g_00070	Prap.g_01156
OG0000255	Prax.g_00076	Prap.g_01150
OG0000256	Prax.g_00086	Prap.g_01140
OG0000257	Prax.g_00089	Prap.g_00397
OG0000258	Prax.g_00102	Prap.g_00383
OG0000259	Prax.g_00119	Prap.g_00366
OG0000260	Prax.g_00122	Prap.g_00363
OG0000261	Prax.g_00977	Prap.g_00360
OG0000262	Prax.g_00973	Prap.g_00356
OG0000263	Prax.g_00961	Prap.g_00820
OG0000264	Prax.g_00951	Prap.g_00809
OG0000265	Prax.g_00485	Prap.g_00791
OG0000266	Prax.g_00475	Prap.g_00337
OG0000267	Prax.g_00464	Prap.g_00325
OG0000268	Prax.g_00463	Prap.g_00324
OG0000269	Prax.g_00378	Prap.g_00788
OG0000270	Prax.g_00375	Prap.g_00785
OG0000271	Prax.g_00367	Prap.g_00777
OG0000272	Prax.g_00366	Prap.g_00776
OG0000273	Prax.g_00343	Prap.g_00752
OG0000274	Prax.g_00342	Prap.g_00751
OG0000275	Prax.g_00339	Prap.g_00748
OG0000276	Prax.g_00334	Prap.g_00742
OG0000277	Prax.g_00333	Prap.g_00741
OG0000278	Prax.g_00330	Prap.g_00738
OG0000279	Prax.g_00323	Prap.g_00731
OG0000280	Prax.g_00322	Prap.g_00730
OG0000281	Prax.g_00317	Prap.g_00723
OG0000282	Prax.g_00563	Prap.g_00856
OG0000283	Prax.g_00597	Prap.g_00680
OG0000284	Prax.g_00602	Prap.g_00675
OG0000285	Prax.g_00607	Prap.g_00243
OG0000286	Prax.g_00619	Prap.g_00256
OG0000287	Prax.g_01145	Prap.g_00522
OG0000288	Prax.g_01177	Prap.g_00295
OG0000289	Prax.g_01188	Prap.g_00311
OG0000290	Prax.g_01201	Prap.g_00705
OG0000291	Prax.g_01203	Prap.g_00707
OG0000292	Prax.g_01759, Prax.g_01254	Prap.g_00501
OG0000293	Prax.g_00191	Prap.g_00466
OG0000294	Prax.g_00192	Prap.g_00465
OG0000295	Prax.g_00212	Prap.g_00442
OG0000296	Prax.g_00214	Prap.g_00440
OG0000297	Prax.g_00222	Prap.g_00431
OG0000298	Prax.g_00223	Prap.g_00430
OG0000299	Prax.g_00240	Prap.g_00411
OG0000300	Prax.g_00243	Prap.g_00408
OG0000301	Prax.g_00244	Prap.g_00407
OG0000302	Prax.g_00246	Prap.g_00405
OG0000303	Prax.g_00253	Prap.g_00399
OG0000304	Prax.g_00257	Prap.g_01135
OG0000305	Prax.g_01871	Prap.g_00499
OG0000306	Prax.g_01868	Prap.g_00719
OG0000307	Prax.g_01854	Prap.g_00068
OG0000308	Prax.g_01853	Prap.g_00069
OG0000309	Prax.g_01849	Prap.g_00073
OG0000310	Prax.g_01748	Prap.g_00107
OG0000311	Prax.g_01746	Prap.g_00109
OG0000312	Prax.g_01743	Prap.g_00112
OG0000313	Prax.g_01724	Prap.g_00125
OG0000314	Prax.g_01701	Prap.g_00148
OG0000315	Prax.g_01691	Prap.g_00158
OG0000316	Prax.g_01671	Prap.g_00183
OG0000317	Prax.g_01561	Prap.g_01782
OG0000318	Prax.g_01558	Prap.g_01778
OG0000319	Prax.g_01545	Prap.g_01765
OG0000320	Prax.g_01543	Prap.g_01763
OG0000321	Prax.g_01542	Prap.g_01762
OG0000322	Prax.g_01541	Prap.g_01761
OG0000323	Prax.g_01532	Prap.g_01751
OG0000324	Prax.g_01505	Prap.g_01724
OG0000325	Prax.g_01263	Prap.g_01713
OG0000326	Prax.g_01269	Prap.g_01706
OG0000327	Prax.g_01297	Prap.g_01685
OG0000328	Prax.g_01298	Prap.g_01684
OG0000329	Prax.g_01315	Prap.g_01667
OG0000330	Prax.g_01316	Prap.g_01666
OG0000331	Prax.g_01317	Prap.g_01665
OG0000332	Prax.g_01331	Prap.g_01651
OG0000333	Prax.g_01333	Prap.g_01648, Prap.g_01649
OG0000334	Prax.g_01341	Prap.g_01639
OG0000335	Prax.g_01346	Prap.g_01634
OG0000336	Prax.g_01350	Prap.g_01630
OG0000337	Prax.g_01366	Prap.g_01612
OG0000338	Prax.g_01367	Prap.g_01611
OG0000339	Prax.g_01371	Prap.g_01605
OG0000340	Prax.g_01379	Prap.g_01596
OG0000341	Prax.g_01381	Prap.g_01594
OG0000342	Prax.g_01382	Prap.g_01593
OG0000343	Prax.g_01383	Prap.g_01592
OG0000344	Prax.g_01386	Prap.g_01589
OG0000345	Prax.g_01391	Prap.g_01583
OG0000346	Prax.g_01395	Prap.g_01579
OG0000347	Prax.g_01411	Prap.g_01562
OG0000348	Prax.g_01421	Prap.g_01554
OG0000349	Prax.g_01438	Prap.g_01537
OG0000350	Prax.g_01456	Prap.g_00623
OG0000351	Prax.g_01473	Prap.g_01497
OG0000352	Prax.g_01474	Prap.g_01496
OG0000353	Prax.g_01489	Prap.g_00055
OG0000355	Prax.g_01491	Prap.g_00053
OG0000356	Prax.g_01492	Prap.g_00052
OG0000357	Prax.g_01493	Prap.g_00051
OG0000358	Prax.g_01497	Prap.g_00047
OG0000359	Prax.g_01498	Prap.g_00046
OG0000360	Prax.g_01499	Prap.g_00045
OG0000361	Prax.g_01975	Prap.g_00044
OG0000362	Prax.g_01973	Prap.g_00042
OG0000363	Prax.g_00299	Prap.g_00941
OG0000364	Prax.g_00298	Prap.g_00940
OG0000365	Prax.g_00293	Prap.g_00935
OG0000366	Prax.g_00292	Prap.g_00934
OG0000367	Prax.g_00291	Prap.g_00933
OG0000368	Prax.g_00289	Prap.g_00931
OG0000369	Prax.g_00288	Prap.g_00930
OG0000370	Prax.g_00287	Prap.g_00929
OG0000371	Prax.g_00281	Prap.g_00922
OG0000372	Prax.g_00278	Prap.g_00919
OG0000373	Prax.g_00277	Prap.g_00918
OG0000374	Prax.g_00276	Prap.g_00917
OG0000375	Prax.g_00273	Prap.g_00915
OG0000376	Prax.g_00271	Prap.g_00913
OG0000377	Prax.g_00261	Prap.g_00909
OG0000378	Prax.g_00622	Prap.g_00905
OG0000379	Prax.g_00625	Prap.g_00902
OG0000380	Prax.g_00637	Prap.g_00885
OG0000381	Prax.g_00641	Prap.g_00880
OG0000382	Prax.g_00652	Prap.g_01097
OG0000383	Prax.g_00654	Prap.g_01095
OG0000384	Prax.g_00655	Prap.g_01094
OG0000385	Prax.g_00656	Prap.g_01093
OG0000386	Prax.g_00657	Prap.g_01092
OG0000387	Prax.g_01119	Prap.g_01078
OG0000388	Prax.g_01116	Prap.g_01074
OG0000389	Prax.g_01113	Prap.g_01071
OG0000390	Prax.g_01106	Prap.g_01061
OG0000391	Prax.g_01102	Prap.g_01058
OG0000392	Prax.g_01098	Prap.g_01054
OG0000393	Prax.g_01096	Prap.g_01051
OG0000394	Prax.g_01095	Prap.g_01050
OG0000395	Prax.g_01094	Prap.g_01049
OG0000396	Prax.g_01091	Prap.g_01047
OG0000397	Prax.g_01089	Prap.g_01045
OG0000398	Prax.g_01087	Prap.g_01042
OG0000399	Prax.g_01086	Prap.g_01041
OG0000400	Prax.g_01085	Prap.g_01040
OG0000401	Prax.g_01084	Prap.g_01039
OG0000402	Prax.g_01082	Prap.g_00319
OG0000403	Prax.g_01081	Prap.g_01037
OG0000404	Prax.g_01080	Prap.g_01036
OG0000405	Prax.g_01076	Prap.g_01032
OG0000406	Prax.g_01071	Prap.g_01024
OG0000407	Prax.g_01070	Prap.g_01023
OG0000408	Prax.g_01068	Prap.g_01021
OG0000409	Prax.g_01066	Prap.g_01019
OG0000410	Prax.g_01065	Prap.g_01018
OG0000411	Prax.g_01064	Prap.g_01017
OG0000412	Prax.g_01063	Prap.g_01016
OG0000413	Prax.g_01062	Prap.g_01014
OG0000414	Prax.g_01061	Prap.g_01013
OG0000415	Prax.g_01060	Prap.g_01012
OG0000416	Prax.g_01059	Prap.g_01011
OG0000417	Prax.g_01058	Prap.g_01010
OG0000418	Prax.g_01053	Prap.g_01005
OG0000419	Prax.g_01051	Prap.g_01003
OG0000420	Prax.g_01050	Prap.g_01002
OG0000421	Prax.g_01045	Prap.g_00997
OG0000422	Prax.g_01044	Prap.g_00996
OG0000423	Prax.g_01043	Prap.g_00995
OG0000424	Prax.g_01042	Prap.g_00994
OG0000425	Prax.g_01041	Prap.g_00993
OG0000426	Prax.g_01040	Prap.g_00992
OG0000427	Prax.g_01039	Prap.g_00991
OG0000428	Prax.g_01037	Prap.g_00989
OG0000429	Prax.g_01036	Prap.g_00988
OG0000430	Prax.g_01035	Prap.g_00987
OG0000431	Prax.g_01033	Prap.g_00985
OG0000432	Prax.g_01030	Prap.g_00981
OG0000433	Prax.g_01029	Prap.g_00980
OG0000434	Prax.g_01028	Prap.g_00979
OG0000435	Prax.g_01027	Prap.g_00978
OG0000436	Prax.g_01022	Prap.g_00973
OG0000437	Prax.g_01021	Prap.g_00972
OG0000438	Prax.g_01020	Prap.g_00971
OG0000439	Prax.g_01018	Prap.g_00969
OG0000440	Prax.g_01017	Prap.g_00968
OG0000441	Prax.g_01014	Prap.g_00965
OG0000442	Prax.g_01013	Prap.g_00964
OG0000443	Prax.g_01012	Prap.g_00963
OG0000444	Prax.g_01007	Prap.g_00957
OG0000445	Prax.g_01006	Prap.g_00956
OG0000446	Prax.g_01005	Prap.g_00955
OG0000447	Prax.g_01004	Prap.g_00954
OG0000448	Prax.g_01003	Prap.g_00953
OG0000449	Prax.g_01002	Prap.g_00952
OG0000450	Prax.g_01001	Prap.g_00951
OG0000451	Prax.g_01000	Prap.g_00950
OG0000452	Prax.g_00997	Prap.g_00947
OG0000453	Prax.g_00996	Prap.g_00946
OG0000454	Prax.g_00995	Prap.g_00945
OG0000455	Prax.g_00994	Prap.g_00944
OG0000456	Prax.g_00993	Prap.g_00943
OG0000457	Prax.g_00992	Prap.g_01487
OG0000458	Prax.g_00991	Prap.g_01486
OG0000459	Prax.g_00990	Prap.g_01485
OG0000460	Prax.g_00983	Prap.g_01477
OG0000461	Prax.g_00933	Prap.g_01469
OG0000462	Prax.g_00931	Prap.g_01467
OG0000463	Prax.g_00930	Prap.g_01466
OG0000464	Prax.g_00929	Prap.g_01465
OG0000465	Prax.g_00928	Prap.g_01464
OG0000466	Prax.g_00925	Prap.g_01461
OG0000467	Prax.g_00924	Prap.g_01460
OG0000468	Prax.g_00922	Prap.g_01457
OG0000469	Prax.g_00913	Prap.g_01449
OG0000470	Prax.g_00911	Prap.g_01447
OG0000471	Prax.g_00910	Prap.g_01446
OG0000472	Prax.g_00909	Prap.g_01444
OG0000473	Prax.g_00907	Prap.g_01442
OG0000474	Prax.g_00906	Prap.g_01441
OG0000475	Prax.g_00905	Prap.g_01440
OG0000476	Prax.g_00904	Prap.g_01438
OG0000477	Prax.g_00900	Prap.g_01435
OG0000478	Prax.g_00899	Prap.g_01434
OG0000479	Prax.g_00898	Prap.g_01433
OG0000480	Prax.g_00893	Prap.g_01428
OG0000481	Prax.g_00891	Prap.g_01425
OG0000482	Prax.g_00890	Prap.g_01424
OG0000483	Prax.g_00887	Prap.g_01421
OG0000484	Prax.g_00886	Prap.g_01420
OG0000485	Prax.g_00885	Prap.g_01418
OG0000486	Prax.g_00884	Prap.g_01417
OG0000487	Prax.g_00880	Prap.g_01414
OG0000488	Prax.g_00877	Prap.g_01411
OG0000489	Prax.g_00872	Prap.g_01406
OG0000490	Prax.g_00867	Prap.g_01402
OG0000491	Prax.g_00866	Prap.g_01401
OG0000492	Prax.g_00864	Prap.g_01399
OG0000493	Prax.g_00863	Prap.g_01398
OG0000494	Prax.g_00862	Prap.g_01397
OG0000495	Prax.g_00861	Prap.g_01396
OG0000496	Prax.g_00860	Prap.g_01395
OG0000497	Prax.g_00859	Prap.g_01394
OG0000498	Prax.g_00858	Prap.g_01393
OG0000499	Prax.g_00857	Prap.g_01392
OG0000500	Prax.g_00856	Prap.g_01391
OG0000501	Prax.g_00854	Prap.g_01390
OG0000502	Prax.g_00849	Prap.g_01387
OG0000503	Prax.g_00839	Prap.g_01372
OG0000504	Prax.g_00838	Prap.g_01370
OG0000505	Prax.g_00837	Prap.g_01369
OG0000506	Prax.g_00835	Prap.g_01368
OG0000507	Prax.g_00832	Prap.g_01365
OG0000508	Prax.g_00828	Prap.g_01361
OG0000509	Prax.g_00826	Prap.g_01359
OG0000510	Prax.g_00825	Prap.g_01358
OG0000511	Prax.g_00824	Prap.g_01357
OG0000512	Prax.g_00822	Prap.g_01355
OG0000513	Prax.g_00815	Prap.g_01346
OG0000514	Prax.g_00769	Prap.g_01335
OG0000515	Prax.g_00768	Prap.g_01334
OG0000516	Prax.g_00767	Prap.g_01333
OG0000517	Prax.g_00765	Prap.g_01331
OG0000518	Prax.g_00754	Prap.g_01320
OG0000519	Prax.g_00753	Prap.g_01319
OG0000520	Prax.g_00752	Prap.g_01318
OG0000521	Prax.g_00747	Prap.g_01310
OG0000522	Prax.g_00746	Prap.g_01308
OG0000523	Prax.g_00745	Prap.g_01307
OG0000524	Prax.g_00740	Prap.g_01302
OG0000525	Prax.g_00737	Prap.g_01298
OG0000526	Prax.g_00736	Prap.g_01297
OG0000527	Prax.g_00729	Prap.g_01294
OG0000528	Prax.g_00724	Prap.g_01289
OG0000529	Prax.g_00721	Prap.g_01286
OG0000530	Prax.g_00718	Prap.g_01283
OG0000531	Prax.g_00717	Prap.g_01282
OG0000532	Prax.g_00715	Prap.g_01280
OG0000533	Prax.g_00714	Prap.g_01279
OG0000534	Prax.g_00713	Prap.g_01278
OG0000535	Prax.g_00712	Prap.g_01277
OG0000536	Prax.g_00711	Prap.g_01276
OG0000537	Prax.g_00709	Prap.g_01275
OG0000538	Prax.g_00701	Prap.g_01266
OG0000539	Prax.g_00700	Prap.g_01265
OG0000540	Prax.g_00699	Prap.g_01264
OG0000541	Prax.g_00698	Prap.g_01263
OG0000542	Prax.g_00696	Prap.g_01262
OG0000543	Prax.g_00694	Prap.g_01260
OG0000544	Prax.g_00693	Prap.g_01259
OG0000545	Prax.g_00691	Prap.g_01257
OG0000546	Prax.g_00688	Prap.g_01254
OG0000547	Prax.g_00686	Prap.g_01252
OG0000548	Prax.g_00685	Prap.g_01251
OG0000549	Prax.g_00683	Prap.g_01249
OG0000550	Prax.g_00678	Prap.g_01245
OG0000551	Prax.g_00674	Prap.g_01242
OG0000552	Prax.g_00673	Prap.g_01241
OG0000553	Prax.g_00672	Prap.g_01240
OG0000554	Prax.g_00667	Prap.g_01235
OG0000555	Prax.g_00003	Prap.g_01227
OG0000556	Prax.g_00005	Prap.g_01225
OG0000557	Prax.g_00006	Prap.g_01224
OG0000558	Prax.g_00008	Prap.g_01222
OG0000559	Prax.g_00012	Prap.g_01218
OG0000560	Prax.g_00015	Prap.g_01215
OG0000561	Prax.g_00016	Prap.g_01214
OG0000562	Prax.g_00017	Prap.g_01213
OG0000563	Prax.g_00018	Prap.g_01212
OG0000564	Prax.g_00019	Prap.g_01211
OG0000565	Prax.g_00022	Prap.g_01209
OG0000566	Prax.g_00024	Prap.g_01205
OG0000567	Prax.g_00028	Prap.g_01201
OG0000568	Prax.g_00029	Prap.g_01200
OG0000569	Prax.g_00030	Prap.g_01199
OG0000570	Prax.g_00031	Prap.g_01198
OG0000571	Prax.g_00033	Prap.g_01196
OG0000572	Prax.g_00046	Prap.g_01182
OG0000573	Prax.g_00051	Prap.g_01176
OG0000574	Prax.g_00052	Prap.g_01175
OG0000575	Prax.g_00056	Prap.g_01171
OG0000576	Prax.g_00058	Prap.g_01169
OG0000577	Prax.g_00059	Prap.g_01168
OG0000578	Prax.g_00060	Prap.g_01167
OG0000579	Prax.g_00061	Prap.g_01166
OG0000580	Prax.g_00062	Prap.g_01165
OG0000581	Prax.g_00064	Prap.g_01162
OG0000582	Prax.g_00067	Prap.g_01159
