Orthogroup	Prbb	Syab
OG0000137	Prbb.g_00478	Syab.g_00697
OG0000138	Prbb.g_00499	Syab.g_02113
OG0000139	Prbb.g_00540	Syab.g_02035
OG0000140	Prbb.g_00541	Syab.g_02033
OG0000141	Prbb.g_00608	Syab.g_01931
OG0000142	Prbb.g_00636	Syab.g_01873
OG0000143	Prbb.g_00640	Syab.g_01870
OG0000144	Prbb.g_00653	Syab.g_01757
OG0000145	Prbb.g_01099	Syab.g_02120
OG0000146	Prbb.g_00982	Syab.g_01393
OG0000147	Prbb.g_00981	Syab.g_01394
OG0000148	Prbb.g_00801	Syab.g_01682
OG0000149	Prbb.g_00832	Syab.g_01720
OG0000150	Prbb.g_00840	Syab.g_01930
OG0000151	Prbb.g_00943	Syab.g_01612
OG0000152	Prbb.g_00991	Syab.g_01383
OG0000153	Prbb.g_01009	Syab.g_01343
OG0000154	Prbb.g_01040	Syab.g_01317
OG0000155	Prbb.g_01495	Syab.g_01009
OG0000156	Prbb.g_01575	Syab.g_00933
OG0000157	Prbb.g_01576	Syab.g_00932
OG0000158	Prbb.g_02044	Syab.g_00161
OG0000160	Prbb.g_01687	Syab.g_00774
OG0000161	Prbb.g_01693	Syab.g_00766
OG0000162	Prbb.g_01699	Syab.g_00755
OG0000163	Prbb.g_01735	Syab.g_02173
OG0000164	Prbb.g_01845	Syab.g_02307
OG0000165	Prbb.g_01853	Syab.g_02316
OG0000166	Prbb.g_01964	Syab.g_00407
OG0000167	Prbb.g_02034	Syab.g_00205
OG0000168	Prbb.g_02045	Syab.g_00136
OG0000169	Prbb.g_02055	Syab.g_00125
OG0000170	Prbb.g_02057	Syab.g_00118
OG0000171	Prbb.g_02078	Syab.g_00089
OG0000172	Prbb.g_02101	Syab.g_00080
OG0000173	Prbb.g_02116	Syab.g_00061
OG0000174	Prbb.g_02147	Syab.g_02819
OG0000175	Prbb.g_02165	Syab.g_02876
OG0000176	Prbb.g_00004	Syab.g_00004
OG0000177	Prbb.g_00005	Syab.g_00005
OG0000178	Prbb.g_00007, Prbb.g_00006	Syab.g_00006
OG0000179	Prbb.g_00017	Syab.g_00022
OG0000180	Prbb.g_00018	Syab.g_00023
OG0000181	Prbb.g_00019	Syab.g_00024
OG0000182	Prbb.g_00020	Syab.g_00025
OG0000183	Prbb.g_00024	Syab.g_00029
OG0000184	Prbb.g_00061	Syab.g_02738
OG0000185	Prbb.g_00064	Syab.g_02715
OG0000186	Prbb.g_00119	Syab.g_02430
OG0000187	Prbb.g_00120	Syab.g_02431
OG0000188	Prbb.g_00137	Syab.g_02454
OG0000189	Prbb.g_00151	Syab.g_02487
OG0000190	Prbb.g_00152	Syab.g_00190, Syab.g_00139
OG0000191	Prbb.g_00175	Syab.g_02522
OG0000192	Prbb.g_00179	Syab.g_02528
OG0000193	Prbb.g_00203	Syab.g_02565
OG0000194	Prbb.g_00206	Syab.g_02568
OG0000195	Prbb.g_00208	Syab.g_02570
OG0000196	Prbb.g_00218	Syab.g_02581
OG0000197	Prbb.g_00219	Syab.g_02582
OG0000198	Prbb.g_00220	Syab.g_02583
OG0000199	Prbb.g_00227	Syab.g_02591
OG0000200	Prbb.g_00240	Syab.g_02611
OG0000201	Prbb.g_00249	Syab.g_02628
OG0000202	Prbb.g_00250	Syab.g_02629
OG0000203	Prbb.g_00251	Syab.g_02630
OG0000204	Prbb.g_00252	Syab.g_02631
OG0000205	Prbb.g_00259	Syab.g_02638
OG0000206	Prbb.g_00263	Syab.g_02674
OG0000207	Prbb.g_00265	Syab.g_02677
OG0000208	Prbb.g_00266	Syab.g_02678
OG0000209	Prbb.g_00275	Syab.g_02698
OG0000210	Prbb.g_00276	Syab.g_02699
OG0000212	Prbb.g_00298	Syab.g_02365
OG0000213	Prbb.g_00313	Syab.g_00332
OG0000214	Prbb.g_00321	Syab.g_00312
OG0000215	Prbb.g_00344	Syab.g_00281
OG0000216	Prbb.g_00345	Syab.g_00277
OG0000217	Prbb.g_00348	Syab.g_00273
OG0000218	Prbb.g_00350	Syab.g_00271
OG0000219	Prbb.g_00351	Syab.g_00270
OG0000220	Prbb.g_00352	Syab.g_00269
OG0000221	Prbb.g_00353	Syab.g_00257
OG0000222	Prbb.g_00361	Syab.g_00244
OG0000223	Prbb.g_00374	Syab.g_00226
OG0000224	Prbb.g_00376	Syab.g_00223
OG0000225	Prbb.g_00405	Syab.g_00538
OG0000226	Prbb.g_00409	Syab.g_00542
OG0000227	Prbb.g_00411	Syab.g_00544
OG0000228	Prbb.g_00415	Syab.g_00550
OG0000229	Prbb.g_00441	Syab.g_00583
OG0000230	Prbb.g_00443	Syab.g_00585
OG0000231	Prbb.g_00454	Syab.g_00613
OG0000232	Prbb.g_00462	Syab.g_00631
OG0000233	Prbb.g_00470	Syab.g_00645
OG0000234	Prbb.g_00479	Syab.g_00699
OG0000235	Prbb.g_00483	Syab.g_02095
OG0000236	Prbb.g_00497	Syab.g_02111
OG0000237	Prbb.g_00510	Syab.g_02129
OG0000238	Prbb.g_00516	Syab.g_02134
OG0000239	Prbb.g_00528	Syab.g_02151
OG0000240	Prbb.g_00529	Syab.g_02152
OG0000241	Prbb.g_00533	Syab.g_01884
OG0000242	Prbb.g_00535	Syab.g_02043
OG0000243	Prbb.g_00546	Syab.g_02025
OG0000244	Prbb.g_00550	Syab.g_02017
OG0000245	Prbb.g_00552	Syab.g_02015
OG0000246	Prbb.g_00556	Syab.g_02011
OG0000247	Prbb.g_00566	Syab.g_01999
OG0000248	Prbb.g_00568	Syab.g_01996
OG0000249	Prbb.g_00570	Syab.g_01994
OG0000250	Prbb.g_00575	Syab.g_01988
OG0000251	Prbb.g_00591	Syab.g_01961
OG0000252	Prbb.g_00593	Syab.g_01958
OG0000253	Prbb.g_00595	Syab.g_01956
OG0000254	Prbb.g_00612	Syab.g_01925
OG0000255	Prbb.g_00618	Syab.g_01912
OG0000256	Prbb.g_00628	Syab.g_01890
OG0000257	Prbb.g_00631	Syab.g_01885
OG0000258	Prbb.g_00644	Syab.g_01861
OG0000259	Prbb.g_00661	Syab.g_01538
OG0000260	Prbb.g_00665	Syab.g_01544
OG0000261	Prbb.g_00668	Syab.g_01556
OG0000262	Prbb.g_00673	Syab.g_01561
OG0000263	Prbb.g_00686	Syab.g_01035
OG0000264	Prbb.g_00697, Prbb.g_00698	Syab.g_01173
OG0000265	Prbb.g_00713	Syab.g_01773
OG0000266	Prbb.g_00723	Syab.g_01667
OG0000267	Prbb.g_00736	Syab.g_01433
OG0000268	Prbb.g_00737	Syab.g_01432
OG0000269	Prbb.g_00778	Syab.g_01650
OG0000270	Prbb.g_00781	Syab.g_01657
OG0000271	Prbb.g_00789	Syab.g_01279
OG0000272	Prbb.g_00790	Syab.g_01280
OG0000274	Prbb.g_00815	Syab.g_01700
OG0000275	Prbb.g_00817	Syab.g_01704
OG0000276	Prbb.g_00823	Syab.g_01712
OG0000277	Prbb.g_00824	Syab.g_01713
OG0000278	Prbb.g_00828	Syab.g_01716
OG0000279	Prbb.g_00835	Syab.g_01724
OG0000280	Prbb.g_01370	Syab.g_01736
OG0000281	Prbb.g_00841	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Prbb.g_00934	Syab.g_01631
OG0000283	Prbb.g_00965	Syab.g_01418
OG0000284	Prbb.g_00970	Syab.g_01413
OG0000285	Prbb.g_00975	Syab.g_01402
OG0000286	Prbb.g_00990	Syab.g_01384
OG0000287	Prbb.g_00101	Syab.g_01350
OG0000288	Prbb.g_01039	Syab.g_01318
OG0000289	Prbb.g_01051	Syab.g_01303
OG0000290	Prbb.g_01067	Syab.g_01213
OG0000291	Prbb.g_01069	Syab.g_01211
OG0000292	Prbb.g_01238	Syab.g_02907
OG0000293	Prbb.g_01527	Syab.g_00946
OG0000294	Prbb.g_01526	Syab.g_00947
OG0000295	Prbb.g_01502	Syab.g_01001
OG0000296	Prbb.g_01500	Syab.g_01003
OG0000297	Prbb.g_01491	Syab.g_01016
OG0000298	Prbb.g_01490	Syab.g_01017
OG0000299	Prbb.g_01471	Syab.g_01047
OG0000300	Prbb.g_01468	Syab.g_01054
OG0000301	Prbb.g_01467	Syab.g_01055
OG0000302	Prbb.g_01464	Syab.g_01056
OG0000303	Prbb.g_01459	Syab.g_01149
OG0000304	Prbb.g_01456	Syab.g_01143
OG0000305	Prbb.g_01789	Syab.g_01208
OG0000306	Prbb.g_00845	Syab.g_01819
OG0000307	Prbb.g_01648	Syab.g_02078
OG0000308	Prbb.g_01649	Syab.g_02076
OG0000309	Prbb.g_01653	Syab.g_02071
OG0000310	Prbb.g_01671	Syab.g_00817
OG0000311	Prbb.g_01673	Syab.g_00811
OG0000312	Prbb.g_01676	Syab.g_00793
OG0000313	Prbb.g_01690	Syab.g_00769
OG0000314	Prbb.g_01711	Syab.g_00736
OG0000315	Prbb.g_01721	Syab.g_00726
OG0000316	Prbb.g_01746	Syab.g_02189
OG0000317	Prbb.g_01821	Syab.g_02251
OG0000318	Prbb.g_01824	Syab.g_02257
OG0000319	Prbb.g_01835	Syab.g_02291
OG0000320	Prbb.g_01837	Syab.g_02293
OG0000321	Prbb.g_01838	Syab.g_02294
OG0000322	Prbb.g_01839	Syab.g_02295
OG0000323	Prbb.g_01848	Syab.g_02310
OG0000324	Prbb.g_01875	Syab.g_02341
OG0000325	Prbb.g_01924	Syab.g_00368
OG0000326	Prbb.g_01930	Syab.g_00375
OG0000327	Prbb.g_01959	Syab.g_00402
OG0000328	Prbb.g_01960	Syab.g_00403
OG0000329	Prbb.g_01977	Syab.g_00420
OG0000330	Prbb.g_01978	Syab.g_00421
OG0000331	Prbb.g_01979	Syab.g_00422
OG0000332	Prbb.g_01993	Syab.g_00437
OG0000333	Prbb.g_01995	Syab.g_00440
OG0000334	Prbb.g_02004	Syab.g_00450
OG0000335	Prbb.g_02009	Syab.g_00455
OG0000336	Prbb.g_02013	Syab.g_00459
OG0000337	Prbb.g_02031	Syab.g_00210
OG0000338	Prbb.g_02032	Syab.g_00207
OG0000339	Prbb.g_02037	Syab.g_00201
OG0000340	Prbb.g_02046	Syab.g_00135
OG0000341	Prbb.g_02048	Syab.g_00157, Syab.g_00133
OG0000342	Prbb.g_02049	Syab.g_00132
OG0000343	Prbb.g_02050	Syab.g_00131
OG0000344	Prbb.g_02053	Syab.g_00127
OG0000345	Prbb.g_02058	Syab.g_00117
OG0000346	Prbb.g_02062	Syab.g_00112
OG0000347	Prbb.g_02082	Syab.g_00087
OG0000348	Prbb.g_02104	Syab.g_00076
OG0000349	Prbb.g_02122	Syab.g_00054
OG0000350	Prbb.g_02143	Syab.g_00382
OG0000351	Prbb.g_02168	Syab.g_02879
OG0000352	Prbb.g_02169	Syab.g_02880
OG0000353	Prbb.g_02188	Syab.g_02913
OG0000355	Prbb.g_00001	Syab.g_00001
OG0000356	Prbb.g_00002	Syab.g_00002
OG0000357	Prbb.g_00003	Syab.g_00003
OG0000358	Prbb.g_00008	Syab.g_00007
OG0000359	Prbb.g_00009	Syab.g_00009
OG0000360	Prbb.g_00010	Syab.g_00010
OG0000361	Prbb.g_00011	Syab.g_00011
OG0000362	Prbb.g_00013	Syab.g_00013
OG0000363	Prbb.g_00015	Syab.g_00015
OG0000364	Prbb.g_00016	Syab.g_00016
OG0000365	Prbb.g_00021	Syab.g_00026
OG0000366	Prbb.g_00022	Syab.g_00027
OG0000367	Prbb.g_00023	Syab.g_00028
OG0000368	Prbb.g_00025	Syab.g_00030
OG0000369	Prbb.g_00026	Syab.g_00031
OG0000370	Prbb.g_00027	Syab.g_00032
OG0000371	Prbb.g_00033	Syab.g_00711, Syab.g_00039
OG0000372	Prbb.g_00035	Syab.g_00045
OG0000373	Prbb.g_00036	Syab.g_00046
OG0000374	Prbb.g_00037	Syab.g_00047
OG0000375	Prbb.g_00055	Syab.g_00050
OG0000376	Prbb.g_00057	Syab.g_00052
OG0000377	Prbb.g_00060	Syab.g_02748
OG0000378	Prbb.g_00062	Syab.g_02717
OG0000379	Prbb.g_00065	Syab.g_02714
OG0000380	Prbb.g_00121	Syab.g_02432
OG0000381	Prbb.g_00125	Syab.g_02435
OG0000382	Prbb.g_00136	Syab.g_02453
OG0000383	Prbb.g_00138	Syab.g_02459
OG0000384	Prbb.g_00139	Syab.g_02460
OG0000385	Prbb.g_00140	Syab.g_02461
OG0000386	Prbb.g_00141	Syab.g_02462
OG0000387	Prbb.g_00154	Syab.g_02491
OG0000388	Prbb.g_00158	Syab.g_02495
OG0000389	Prbb.g_00161	Syab.g_02499
OG0000390	Prbb.g_00170	Syab.g_02516
OG0000391	Prbb.g_00174	Syab.g_02521
OG0000392	Prbb.g_00177	Syab.g_02527
OG0000393	Prbb.g_00180	Syab.g_02530
OG0000394	Prbb.g_00181	Syab.g_02531
OG0000395	Prbb.g_00182	Syab.g_02532
OG0000396	Prbb.g_00185	Syab.g_02535
OG0000397	Prbb.g_00187	Syab.g_02537
OG0000398	Prbb.g_00190	Syab.g_02542
OG0000399	Prbb.g_00191	Syab.g_02543
OG0000400	Prbb.g_00192	Syab.g_02544
OG0000401	Prbb.g_00193	Syab.g_02545
OG0000402	Prbb.g_01101	Syab.g_02547
OG0000403	Prbb.g_00194	Syab.g_02548
OG0000404	Prbb.g_00195	Syab.g_02550
OG0000405	Prbb.g_00200	Syab.g_02562
OG0000406	Prbb.g_00204	Syab.g_02566
OG0000407	Prbb.g_00205	Syab.g_02567
OG0000408	Prbb.g_00207	Syab.g_02569
OG0000409	Prbb.g_00209	Syab.g_02571
OG0000410	Prbb.g_00210	Syab.g_02572
OG0000411	Prbb.g_00211	Syab.g_02573
OG0000412	Prbb.g_00212	Syab.g_02574
OG0000413	Prbb.g_00213	Syab.g_02576
OG0000414	Prbb.g_00214	Syab.g_02577
OG0000415	Prbb.g_00215	Syab.g_02578
OG0000416	Prbb.g_00216	Syab.g_02579
OG0000417	Prbb.g_00217	Syab.g_02580
OG0000418	Prbb.g_00222	Syab.g_02585
OG0000419	Prbb.g_00224	Syab.g_02587
OG0000420	Prbb.g_00225	Syab.g_02589
OG0000421	Prbb.g_00229	Syab.g_02595
OG0000422	Prbb.g_00230	Syab.g_02596
OG0000423	Prbb.g_00231	Syab.g_02597
OG0000424	Prbb.g_00232	Syab.g_02598
OG0000425	Prbb.g_00233	Syab.g_02599
OG0000426	Prbb.g_00234	Syab.g_02600
OG0000427	Prbb.g_00235	Syab.g_02601
OG0000428	Prbb.g_00237	Syab.g_02604
OG0000429	Prbb.g_00238	Syab.g_02608
OG0000430	Prbb.g_00239	Syab.g_02610
OG0000431	Prbb.g_00241	Syab.g_02613
OG0000432	Prbb.g_00245	Syab.g_02619
OG0000433	Prbb.g_00246	Syab.g_02622
OG0000434	Prbb.g_00247	Syab.g_02623
OG0000435	Prbb.g_00248	Syab.g_02625
OG0000436	Prbb.g_00253	Syab.g_02632
OG0000437	Prbb.g_00254	Syab.g_02633
OG0000438	Prbb.g_00255	Syab.g_02634
OG0000439	Prbb.g_00257	Syab.g_02636
OG0000440	Prbb.g_00258	Syab.g_02637
OG0000441	Prbb.g_00260	Syab.g_02641
OG0000442	Prbb.g_00261	Syab.g_02642
OG0000443	Prbb.g_00262	Syab.g_02668
OG0000444	Prbb.g_00267	Syab.g_02681
OG0000445	Prbb.g_00268	Syab.g_02682
OG0000446	Prbb.g_00269	Syab.g_02684
OG0000447	Prbb.g_00270	Syab.g_02687
OG0000448	Prbb.g_00271	Syab.g_02688
OG0000449	Prbb.g_00272	Syab.g_02689
OG0000450	Prbb.g_00273	Syab.g_02695
OG0000451	Prbb.g_00274	Syab.g_02696
OG0000452	Prbb.g_00277	Syab.g_02701
OG0000453	Prbb.g_00278	Syab.g_02702
OG0000454	Prbb.g_00279	Syab.g_02703
OG0000455	Prbb.g_00280	Syab.g_02704
OG0000456	Prbb.g_00281	Syab.g_02705
OG0000457	Prbb.g_00282	Syab.g_02707
OG0000458	Prbb.g_00283	Syab.g_02708
OG0000459	Prbb.g_00284	Syab.g_02709
OG0000460	Prbb.g_00292	Syab.g_02372
OG0000461	Prbb.g_00300	Syab.g_00356
OG0000462	Prbb.g_00302	Syab.g_00352
OG0000463	Prbb.g_00303	Syab.g_00351
OG0000464	Prbb.g_00304	Syab.g_00350
OG0000465	Prbb.g_00305	Syab.g_00349
OG0000466	Prbb.g_00306	Syab.g_00343
OG0000467	Prbb.g_00307	Syab.g_00341
OG0000468	Prbb.g_00309	Syab.g_00336
OG0000469	Prbb.g_00316	Syab.g_00318
OG0000470	Prbb.g_00318	Syab.g_00316
OG0000471	Prbb.g_00319	Syab.g_00315
OG0000472	Prbb.g_00320	Syab.g_00313
OG0000473	Prbb.g_00322	Syab.g_00311
OG0000474	Prbb.g_00323	Syab.g_00310
OG0000475	Prbb.g_00324	Syab.g_00309
OG0000476	Prbb.g_00326	Syab.g_00307
OG0000477	Prbb.g_00328	Syab.g_00301
OG0000478	Prbb.g_00329	Syab.g_00300
OG0000479	Prbb.g_00330	Syab.g_00299
OG0000480	Prbb.g_00334	Syab.g_00292
OG0000481	Prbb.g_00336	Syab.g_00290
OG0000482	Prbb.g_00337	Syab.g_00289
OG0000483	Prbb.g_00340	Syab.g_00285
OG0000484	Prbb.g_00341	Syab.g_00284
OG0000485	Prbb.g_00342	Syab.g_00283
OG0000486	Prbb.g_00343	Syab.g_00282
OG0000487	Prbb.g_00346	Syab.g_00276
OG0000488	Prbb.g_00349	Syab.g_00272
OG0000489	Prbb.g_00354	Syab.g_00256
OG0000490	Prbb.g_00359	Syab.g_00247
OG0000491	Prbb.g_00360	Syab.g_00245
OG0000492	Prbb.g_00362	Syab.g_00243
OG0000493	Prbb.g_00363	Syab.g_00242
OG0000494	Prbb.g_00364	Syab.g_00241
OG0000495	Prbb.g_00365	Syab.g_00240
OG0000496	Prbb.g_00366	Syab.g_00239
OG0000497	Prbb.g_00367	Syab.g_00238
OG0000498	Prbb.g_00368	Syab.g_00237
OG0000499	Prbb.g_00369	Syab.g_00236
OG0000500	Prbb.g_00370	Syab.g_00235
OG0000501	Prbb.g_00372	Syab.g_00232
OG0000502	Prbb.g_00375	Syab.g_00224
OG0000503	Prbb.g_00394	Syab.g_00523
OG0000504	Prbb.g_00396	Syab.g_00525
OG0000505	Prbb.g_00397	Syab.g_00526
OG0000506	Prbb.g_00398	Syab.g_00528
OG0000507	Prbb.g_00401	Syab.g_00533
OG0000508	Prbb.g_00404	Syab.g_00537
OG0000509	Prbb.g_00406	Syab.g_00539
OG0000510	Prbb.g_00407	Syab.g_00540
OG0000511	Prbb.g_00408	Syab.g_00541
OG0000512	Prbb.g_00410	Syab.g_00543
OG0000513	Prbb.g_00419	Syab.g_00555
OG0000514	Prbb.g_00436	Syab.g_00566
OG0000515	Prbb.g_00437	Syab.g_00567
OG0000516	Prbb.g_00438	Syab.g_00575
OG0000517	Prbb.g_00440	Syab.g_00582
OG0000518	Prbb.g_00451	Syab.g_00594
OG0000519	Prbb.g_00452	Syab.g_00610
OG0000520	Prbb.g_00453	Syab.g_00611
OG0000521	Prbb.g_00458	Syab.g_00624
OG0000522	Prbb.g_00460	Syab.g_00626
OG0000523	Prbb.g_00461	Syab.g_00627
OG0000524	Prbb.g_00468	Syab.g_00640
OG0000525	Prbb.g_00472	Syab.g_00671
OG0000526	Prbb.g_00473	Syab.g_00689
OG0000527	Prbb.g_00476	Syab.g_00695
OG0000528	Prbb.g_00482	Syab.g_02092
OG0000529	Prbb.g_00486	Syab.g_02097
OG0000530	Prbb.g_00489	Syab.g_02100
OG0000531	Prbb.g_00490	Syab.g_02101
OG0000532	Prbb.g_00491	Syab.g_02104
OG0000533	Prbb.g_00492	Syab.g_02106
OG0000534	Prbb.g_00493	Syab.g_02107
OG0000535	Prbb.g_00494	Syab.g_02108
OG0000536	Prbb.g_00495	Syab.g_02109
OG0000537	Prbb.g_00496	Syab.g_02110
OG0000538	Prbb.g_00504	Syab.g_02122
OG0000539	Prbb.g_00505	Syab.g_02123
OG0000540	Prbb.g_00506	Syab.g_02124
OG0000541	Prbb.g_00507	Syab.g_02125
OG0000542	Prbb.g_00509	Syab.g_02128
OG0000543	Prbb.g_00511	Syab.g_02130
OG0000544	Prbb.g_00512	Syab.g_02131
OG0000545	Prbb.g_00514	Syab.g_02133
OG0000546	Prbb.g_00517	Syab.g_02135
OG0000547	Prbb.g_00519	Syab.g_02137
