Orthogroup	Prbb	Syar
OG0000092	Prbb.g_00937	Syar.g_01960
OG0000093	Prbb.g_00768	Syar.g_00819
OG0000094	Prbb.g_00892	Syar.g_01789
OG0000095	Prbb.g_01070	Syar.g_01932
OG0000097	Prbb.g_01470	Syar.g_01706, Syar.g_00364
OG0000098	Prbb.g_01608	Syar.g_02343
OG0000099	Prbb.g_00388	Syar.g_00715
OG0000100	Prbb.g_01763	Syar.g_02477
OG0000101	Prbb.g_02001	Syar.g_01073, Syar.g_03154
OG0000102	Prbb.g_02066	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prbb.g_02174	Syar.g_00452, Syar.g_00014
OG0000104	Prbb.g_02185	Syar.g_00466
OG0000105	Prbb.g_00327	Syar.g_00218
OG0000106	Prbb.g_01197, Prbb.g_01329	Syar.g_01748
OG0000107	Prbb.g_01923	Syar.g_00149
OG0000108	Prbb.g_00484, Prbb.g_00485	Syar.g_01469
OG0000109	Prbb.g_00498	Syar.g_03310, Syar.g_01485
OG0000110	Prbb.g_00578	Syar.g_02295
OG0000111	Prbb.g_00707	Syar.g_01940
OG0000112	Prbb.g_00983	Syar.g_02548, Syar.g_03195
OG0000113	Prbb.g_00807, Prbb.g_01218	Syar.g_02664
OG0000114	Prbb.g_00932	Syar.g_01616
OG0000115	Prbb.g_01780	Syar.g_02854, Syar.g_01415
OG0000116	Prbb.g_01528	Syar.g_01525, Syar.g_02255
OG0000117	Prbb.g_01399	Syar.g_01969
OG0000118	Prbb.g_01598	Syar.g_02793
OG0000120	Prbb.g_00678	Syar.g_00713
OG0000121	Prbb.g_01688	Syar.g_02806
OG0000123	Prbb.g_02008	Syar.g_01079
OG0000124	Prbb.g_02079	Syar.g_00586
OG0000125	Prbb.g_02131	Syar.g_00338
OG0000126	Prbb.g_02183	Syar.g_00887, Syar.g_00888
OG0000128	Prbb.g_00012	Syar.g_00482
OG0000129	Prbb.g_00059	Syar.g_00324
OG0000130	Prbb.g_00124	Syar.g_03040
OG0000131	Prbb.g_00202	Syar.g_00078
OG0000132	Prbb.g_00221	Syar.g_00099
OG0000133	Prbb.g_00373	Syar.g_02543
OG0000134	Prbb.g_00418	Syar.g_02009, Syar.g_01165
OG0000135	Prbb.g_01326	Syar.g_00698
OG0000136	Prbb.g_00446	Syar.g_02874
OG0000137	Prbb.g_00478	Syar.g_01273
OG0000138	Prbb.g_00499	Syar.g_01486
OG0000139	Prbb.g_00540	Syar.g_03245
OG0000140	Prbb.g_00541	Syar.g_02344, Syar.g_03246
OG0000141	Prbb.g_00608	Syar.g_02129
OG0000142	Prbb.g_00636	Syar.g_02418
OG0000143	Prbb.g_00640	Syar.g_02422
OG0000144	Prbb.g_00653	Syar.g_02441
OG0000145	Prbb.g_01099	Syar.g_01494
OG0000146	Prbb.g_00982	Syar.g_02549
OG0000147	Prbb.g_00981	Syar.g_02550
OG0000148	Prbb.g_00801	Syar.g_02658
OG0000149	Prbb.g_00832	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prbb.g_00840	Syar.g_02130
OG0000151	Prbb.g_00943	Syar.g_02038
OG0000152	Prbb.g_00991	Syar.g_02539
OG0000153	Prbb.g_01009	Syar.g_03283, Syar.g_02503
OG0000154	Prbb.g_01040	Syar.g_01800
OG0000155	Prbb.g_01495	Syar.g_01959
OG0000156	Prbb.g_01575	Syar.g_01517
OG0000157	Prbb.g_01576	Syar.g_01516
OG0000158	Prbb.g_02044	Syar.g_00650
OG0000159	Prbb.g_02093, Prbb.g_02083	Syar.g_02359
OG0000160	Prbb.g_01687	Syar.g_02807
OG0000161	Prbb.g_01693	Syar.g_02801
OG0000162	Prbb.g_01699	Syar.g_02863
OG0000163	Prbb.g_01735	Syar.g_01186
OG0000164	Prbb.g_01845	Syar.g_03168, Syar.g_02969
OG0000165	Prbb.g_01853	Syar.g_02976
OG0000166	Prbb.g_01964	Syar.g_01034
OG0000167	Prbb.g_02034	Syar.g_00662
OG0000168	Prbb.g_02045	Syar.g_00246
OG0000169	Prbb.g_02055	Syar.g_00262
OG0000170	Prbb.g_02057	Syar.g_00613
OG0000171	Prbb.g_02078	Syar.g_00587
OG0000172	Prbb.g_02101	Syar.g_00547
OG0000173	Prbb.g_02116	Syar.g_00528
OG0000174	Prbb.g_02147	Syar.g_00701
OG0000175	Prbb.g_02165	Syar.g_00438
OG0000176	Prbb.g_00004	Syar.g_00474
OG0000177	Prbb.g_00005	Syar.g_00475
OG0000178	Prbb.g_00007, Prbb.g_00006	Syar.g_00476
OG0000179	Prbb.g_00017	Syar.g_00489
OG0000180	Prbb.g_00018	Syar.g_00490
OG0000181	Prbb.g_00019	Syar.g_00491
OG0000182	Prbb.g_00020	Syar.g_00492
OG0000183	Prbb.g_00024	Syar.g_00496
OG0000184	Prbb.g_00061	Syar.g_00897
OG0000185	Prbb.g_00064	Syar.g_00909
OG0000186	Prbb.g_00119	Syar.g_03036
OG0000187	Prbb.g_00120	Syar.g_03038
OG0000188	Prbb.g_00137	Syar.g_03058
OG0000189	Prbb.g_00151	Syar.g_03104
OG0000190	Prbb.g_00152	Syar.g_03107, Syar.g_02374
OG0000191	Prbb.g_00175	Syar.g_00039
OG0000192	Prbb.g_00179	Syar.g_00046
OG0000193	Prbb.g_00203	Syar.g_00079
OG0000194	Prbb.g_00206	Syar.g_00082, Syar.g_03236
OG0000195	Prbb.g_00208	Syar.g_00023, Syar.g_00084
OG0000196	Prbb.g_00218	Syar.g_00096
OG0000197	Prbb.g_00219	Syar.g_00097
OG0000198	Prbb.g_00220	Syar.g_00098
OG0000199	Prbb.g_00227	Syar.g_00106
OG0000200	Prbb.g_00240	Syar.g_00124
OG0000201	Prbb.g_00249	Syar.g_01000
OG0000202	Prbb.g_00250	Syar.g_00021, Syar.g_00998
OG0000203	Prbb.g_00251	Syar.g_00997, Syar.g_00020
OG0000204	Prbb.g_00252	Syar.g_00996
OG0000205	Prbb.g_00259	Syar.g_00988
OG0000206	Prbb.g_00263	Syar.g_00963
OG0000207	Prbb.g_00265	Syar.g_00957
OG0000208	Prbb.g_00266	Syar.g_00956
OG0000209	Prbb.g_00275	Syar.g_00936, Syar.g_03261
OG0000210	Prbb.g_00276	Syar.g_03260, Syar.g_00935
OG0000211	Prbb.g_00290	Syar.g_03026
OG0000212	Prbb.g_00298	Syar.g_03017
OG0000213	Prbb.g_00313	Syar.g_00187
OG0000214	Prbb.g_00321	Syar.g_00209
OG0000215	Prbb.g_00344	Syar.g_00239
OG0000216	Prbb.g_00345	Syar.g_00244
OG0000217	Prbb.g_00348	Syar.g_00854
OG0000218	Prbb.g_00350	Syar.g_00852
OG0000219	Prbb.g_00351	Syar.g_00851
OG0000220	Prbb.g_00352	Syar.g_00850, Syar.g_02026
OG0000221	Prbb.g_00353	Syar.g_00834
OG0000222	Prbb.g_00361	Syar.g_02119, Syar.g_00728
OG0000223	Prbb.g_00374	Syar.g_00649
OG0000224	Prbb.g_00376	Syar.g_00273
OG0000225	Prbb.g_00405	Syar.g_01142
OG0000226	Prbb.g_00409	Syar.g_01146
OG0000227	Prbb.g_00411	Syar.g_01148
OG0000228	Prbb.g_00415	Syar.g_01161
OG0000229	Prbb.g_00441	Syar.g_01177, Syar.g_03273
OG0000230	Prbb.g_00443	Syar.g_01179
OG0000231	Prbb.g_00454	Syar.g_02865, Syar.g_03151
OG0000232	Prbb.g_00462	Syar.g_01424
OG0000233	Prbb.g_00470	Syar.g_03183, Syar.g_01247
OG0000234	Prbb.g_00479	Syar.g_01275
OG0000235	Prbb.g_00483	Syar.g_01468
OG0000236	Prbb.g_00497	Syar.g_01484, Syar.g_03311
OG0000237	Prbb.g_00510	Syar.g_01503
OG0000238	Prbb.g_00516	Syar.g_01508
OG0000239	Prbb.g_00528	Syar.g_03277, Syar.g_02687
OG0000240	Prbb.g_00529	Syar.g_02686, Syar.g_03278
OG0000241	Prbb.g_00533	Syar.g_02410
OG0000242	Prbb.g_00535	Syar.g_01926
OG0000243	Prbb.g_00546	Syar.g_02335
OG0000244	Prbb.g_00550	Syar.g_02327
OG0000245	Prbb.g_00552	Syar.g_02325, Syar.g_03238
OG0000246	Prbb.g_00556	Syar.g_02321
OG0000247	Prbb.g_00566	Syar.g_02310
OG0000248	Prbb.g_00568	Syar.g_02307, Syar.g_03293
OG0000249	Prbb.g_00570	Syar.g_02305
OG0000250	Prbb.g_00575	Syar.g_02299
OG0000251	Prbb.g_00591	Syar.g_03207, Syar.g_02194
OG0000252	Prbb.g_00593	Syar.g_02189, Syar.g_03263
OG0000253	Prbb.g_00595	Syar.g_02028
OG0000254	Prbb.g_00612	Syar.g_02169
OG0000255	Prbb.g_00618	Syar.g_02224, Syar.g_00011
OG0000256	Prbb.g_00628	Syar.g_02244
OG0000257	Prbb.g_00631	Syar.g_02407, Syar.g_01762
OG0000258	Prbb.g_00644	Syar.g_00010, Syar.g_02427
OG0000259	Prbb.g_00661	Syar.g_02472
OG0000260	Prbb.g_00665	Syar.g_03220, Syar.g_02475
OG0000261	Prbb.g_00668	Syar.g_01916
OG0000262	Prbb.g_00673	Syar.g_01690
OG0000263	Prbb.g_00686	Syar.g_01991
OG0000264	Prbb.g_00697, Prbb.g_00698	Syar.g_02135, Syar.g_03267
OG0000266	Prbb.g_00723	Syar.g_01570
OG0000267	Prbb.g_00736	Syar.g_01873
OG0000268	Prbb.g_00737	Syar.g_02589
OG0000269	Prbb.g_00778	Syar.g_02634
OG0000270	Prbb.g_00781	Syar.g_00744, Syar.g_02637
OG0000271	Prbb.g_00789	Syar.g_02645
OG0000272	Prbb.g_00790	Syar.g_02646
OG0000273	Prbb.g_00814	Syar.g_00008
OG0000274	Prbb.g_00815	Syar.g_02482, Syar.g_00009
OG0000275	Prbb.g_00817	Syar.g_01810
OG0000276	Prbb.g_00823	Syar.g_01817
OG0000277	Prbb.g_00824	Syar.g_03242, Syar.g_01818
OG0000278	Prbb.g_00828	Syar.g_01821, Syar.g_03174
OG0000279	Prbb.g_00835	Syar.g_01838
OG0000280	Prbb.g_01370	Syar.g_02067, Syar.g_00734
OG0000281	Prbb.g_00841	Syar.g_02218
OG0000282	Prbb.g_00934	Syar.g_03255, Syar.g_01614
OG0000283	Prbb.g_00965	Syar.g_02574
OG0000284	Prbb.g_00970	Syar.g_02568
OG0000285	Prbb.g_00975	Syar.g_02560
OG0000286	Prbb.g_00990	Syar.g_02540
OG0000287	Prbb.g_00101	Syar.g_02512
OG0000288	Prbb.g_01039	Syar.g_01801
OG0000289	Prbb.g_01051	Syar.g_01786
OG0000290	Prbb.g_01067	Syar.g_01928
OG0000291	Prbb.g_01069	Syar.g_01930
OG0000292	Prbb.g_01238	Syar.g_00463
OG0000293	Prbb.g_01527	Syar.g_01526, Syar.g_03297
OG0000294	Prbb.g_01526	Syar.g_01527, Syar.g_03296
OG0000295	Prbb.g_01502	Syar.g_01951, Syar.g_03208
OG0000296	Prbb.g_01500	Syar.g_01953
OG0000297	Prbb.g_01491	Syar.g_03216
OG0000298	Prbb.g_01490	Syar.g_03215
OG0000299	Prbb.g_01471	Syar.g_01704
OG0000300	Prbb.g_01468	Syar.g_01646
OG0000301	Prbb.g_01467	Syar.g_01712
OG0000302	Prbb.g_01464	Syar.g_01713
OG0000303	Prbb.g_01459	Syar.g_01723
OG0000304	Prbb.g_01456	Syar.g_01728
OG0000305	Prbb.g_01789	Syar.g_01933, Syar.g_03163
OG0000306	Prbb.g_00845	Syar.g_01884, Syar.g_03140
OG0000307	Prbb.g_01648	Syar.g_01452, Syar.g_03153
OG0000308	Prbb.g_01649	Syar.g_01450
OG0000309	Prbb.g_01653	Syar.g_01239
OG0000310	Prbb.g_01671	Syar.g_02826
OG0000311	Prbb.g_01673	Syar.g_02823
OG0000312	Prbb.g_01676	Syar.g_00015, Syar.g_02818
OG0000313	Prbb.g_01690	Syar.g_02804
OG0000314	Prbb.g_01711	Syar.g_01403
OG0000315	Prbb.g_01721	Syar.g_01393
OG0000316	Prbb.g_01746	Syar.g_02885
OG0000317	Prbb.g_01821	Syar.g_02926
OG0000318	Prbb.g_01824	Syar.g_02930
OG0000319	Prbb.g_01835	Syar.g_02954
OG0000320	Prbb.g_01837	Syar.g_02956
OG0000321	Prbb.g_01838	Syar.g_02957
OG0000322	Prbb.g_01839	Syar.g_02958
OG0000323	Prbb.g_01848	Syar.g_02973
OG0000324	Prbb.g_01875	Syar.g_00350, Syar.g_03001
OG0000325	Prbb.g_01924	Syar.g_03291, Syar.g_00148
OG0000326	Prbb.g_01930	Syar.g_00139, Syar.g_03134
OG0000327	Prbb.g_01959	Syar.g_01029
OG0000328	Prbb.g_01960	Syar.g_01030
OG0000329	Prbb.g_01977	Syar.g_03189, Syar.g_01048
OG0000330	Prbb.g_01978	Syar.g_01049
OG0000331	Prbb.g_01979	Syar.g_03191, Syar.g_01050
OG0000332	Prbb.g_01993	Syar.g_01064, Syar.g_03299
OG0000333	Prbb.g_01995	Syar.g_01067
OG0000334	Prbb.g_02004	Syar.g_01076
OG0000335	Prbb.g_02009	Syar.g_01080
OG0000336	Prbb.g_02013	Syar.g_01084
OG0000337	Prbb.g_02031	Syar.g_00285
OG0000338	Prbb.g_02032	Syar.g_03225, Syar.g_00287
OG0000339	Prbb.g_02037	Syar.g_00658
OG0000340	Prbb.g_02046	Syar.g_00247
OG0000341	Prbb.g_02048	Syar.g_00249
OG0000342	Prbb.g_02049	Syar.g_00250
OG0000343	Prbb.g_02050	Syar.g_00256
OG0000344	Prbb.g_02053	Syar.g_00260
OG0000345	Prbb.g_02058	Syar.g_00612
OG0000346	Prbb.g_02062	Syar.g_00607
OG0000347	Prbb.g_02082	Syar.g_00558
OG0000348	Prbb.g_02104	Syar.g_00544
OG0000349	Prbb.g_02122	Syar.g_00521
OG0000350	Prbb.g_02143	Syar.g_00132
OG0000351	Prbb.g_02168	Syar.g_00442
OG0000352	Prbb.g_02169	Syar.g_00443
OG0000353	Prbb.g_02188	Syar.g_00469
OG0000355	Prbb.g_00001	Syar.g_00471
OG0000356	Prbb.g_00002	Syar.g_00472
OG0000357	Prbb.g_00003	Syar.g_00473
OG0000358	Prbb.g_00008	Syar.g_00477
OG0000359	Prbb.g_00009	Syar.g_00479
OG0000360	Prbb.g_00010	Syar.g_00480
OG0000361	Prbb.g_00011	Syar.g_00481
OG0000362	Prbb.g_00013	Syar.g_00483
OG0000363	Prbb.g_00015	Syar.g_00484
OG0000364	Prbb.g_00016	Syar.g_02928
OG0000365	Prbb.g_00021	Syar.g_00493
OG0000366	Prbb.g_00022	Syar.g_00494
OG0000367	Prbb.g_00023	Syar.g_03262, Syar.g_00495
OG0000368	Prbb.g_00025	Syar.g_00497
OG0000369	Prbb.g_00026	Syar.g_00498
OG0000370	Prbb.g_00027	Syar.g_00499
OG0000371	Prbb.g_00033	Syar.g_00508
OG0000372	Prbb.g_00035	Syar.g_00514
OG0000373	Prbb.g_00036	Syar.g_00515
OG0000374	Prbb.g_00037	Syar.g_00516
OG0000375	Prbb.g_00055	Syar.g_00517
OG0000376	Prbb.g_00057	Syar.g_00519
OG0000377	Prbb.g_00060	Syar.g_00322
OG0000378	Prbb.g_00062	Syar.g_00905
OG0000379	Prbb.g_00065	Syar.g_00910
OG0000380	Prbb.g_00121	Syar.g_03039
OG0000381	Prbb.g_00125	Syar.g_03041
OG0000382	Prbb.g_00136	Syar.g_03057
OG0000383	Prbb.g_00138	Syar.g_03074
OG0000384	Prbb.g_00139	Syar.g_03075
OG0000385	Prbb.g_00140	Syar.g_03076
OG0000386	Prbb.g_00141	Syar.g_03077
OG0000387	Prbb.g_00154	Syar.g_03109
OG0000388	Prbb.g_00158	Syar.g_03148, Syar.g_03113
OG0000389	Prbb.g_00161	Syar.g_03118
OG0000390	Prbb.g_00170	Syar.g_00033
OG0000391	Prbb.g_00174	Syar.g_00038
OG0000392	Prbb.g_00177	Syar.g_00045
OG0000393	Prbb.g_00180	Syar.g_00048
OG0000394	Prbb.g_00181	Syar.g_00049
OG0000395	Prbb.g_00182	Syar.g_00050
OG0000396	Prbb.g_00185	Syar.g_00053
OG0000397	Prbb.g_00187	Syar.g_00055
OG0000398	Prbb.g_00190	Syar.g_00060
OG0000399	Prbb.g_00191	Syar.g_00061
OG0000400	Prbb.g_00192	Syar.g_00062
OG0000401	Prbb.g_00193	Syar.g_00063
OG0000402	Prbb.g_01101	Syar.g_00065
OG0000403	Prbb.g_00194	Syar.g_00066
OG0000404	Prbb.g_00195	Syar.g_00067
OG0000405	Prbb.g_00200	Syar.g_00076
OG0000406	Prbb.g_00204	Syar.g_00080
OG0000407	Prbb.g_00205	Syar.g_00081
OG0000408	Prbb.g_00207	Syar.g_00083
OG0000409	Prbb.g_00209	Syar.g_00085
OG0000410	Prbb.g_00210	Syar.g_00086
OG0000411	Prbb.g_00211	Syar.g_00087
OG0000412	Prbb.g_00212	Syar.g_00088
OG0000413	Prbb.g_00213	Syar.g_00090
OG0000414	Prbb.g_00214	Syar.g_00091, Syar.g_03179
OG0000415	Prbb.g_00215	Syar.g_00092
OG0000416	Prbb.g_00216	Syar.g_00093
OG0000417	Prbb.g_00217	Syar.g_00095
OG0000418	Prbb.g_00222	Syar.g_00100
OG0000419	Prbb.g_00224	Syar.g_00102
OG0000420	Prbb.g_00225	Syar.g_00104
OG0000421	Prbb.g_00229	Syar.g_00109
OG0000422	Prbb.g_00230	Syar.g_00110
OG0000423	Prbb.g_00231	Syar.g_00111
OG0000424	Prbb.g_00232	Syar.g_00112
OG0000425	Prbb.g_00233	Syar.g_00113
OG0000426	Prbb.g_00234	Syar.g_00114
OG0000427	Prbb.g_00235	Syar.g_00115
OG0000428	Prbb.g_00237	Syar.g_00118
OG0000429	Prbb.g_00238	Syar.g_00121
OG0000430	Prbb.g_00239	Syar.g_00123
OG0000431	Prbb.g_00241	Syar.g_00127
OG0000432	Prbb.g_00245	Syar.g_01009
OG0000433	Prbb.g_00246	Syar.g_01007
OG0000434	Prbb.g_00247	Syar.g_01006
OG0000435	Prbb.g_00248	Syar.g_01003
OG0000436	Prbb.g_00253	Syar.g_00994
OG0000437	Prbb.g_00254	Syar.g_00993
OG0000438	Prbb.g_00255	Syar.g_00992
OG0000439	Prbb.g_00257	Syar.g_00990
OG0000440	Prbb.g_00258	Syar.g_00989
OG0000441	Prbb.g_00260	Syar.g_00986
OG0000442	Prbb.g_00261	Syar.g_00977
OG0000443	Prbb.g_00262	Syar.g_00964
OG0000444	Prbb.g_00267	Syar.g_00954
OG0000445	Prbb.g_00268	Syar.g_00953
OG0000446	Prbb.g_00269	Syar.g_00951
OG0000447	Prbb.g_00270	Syar.g_00948
OG0000448	Prbb.g_00271	Syar.g_00947
OG0000449	Prbb.g_00272	Syar.g_00946
OG0000450	Prbb.g_00273	Syar.g_00939
OG0000451	Prbb.g_00274	Syar.g_00938
OG0000452	Prbb.g_00277	Syar.g_00934
OG0000453	Prbb.g_00278	Syar.g_00933
OG0000454	Prbb.g_00279	Syar.g_00932
OG0000455	Prbb.g_00280	Syar.g_00931
OG0000456	Prbb.g_00281	Syar.g_00930
OG0000457	Prbb.g_00282	Syar.g_00928
OG0000458	Prbb.g_00283	Syar.g_00918
OG0000459	Prbb.g_00284	Syar.g_00917
OG0000460	Prbb.g_00292	Syar.g_03024
OG0000461	Prbb.g_00300	Syar.g_00153
OG0000462	Prbb.g_00302	Syar.g_00155
OG0000463	Prbb.g_00303	Syar.g_00156
OG0000464	Prbb.g_00304	Syar.g_00157
OG0000465	Prbb.g_00305	Syar.g_00159
OG0000466	Prbb.g_00306	Syar.g_00164
OG0000467	Prbb.g_00307	Syar.g_00165
OG0000468	Prbb.g_00309	Syar.g_00170
OG0000469	Prbb.g_00316	Syar.g_00203
OG0000470	Prbb.g_00318	Syar.g_00206
OG0000471	Prbb.g_00319	Syar.g_00207
OG0000472	Prbb.g_00320	Syar.g_00208
OG0000473	Prbb.g_00322	Syar.g_00210
OG0000474	Prbb.g_00323	Syar.g_00211
OG0000475	Prbb.g_00324	Syar.g_00212
OG0000476	Prbb.g_00326	Syar.g_00214
OG0000477	Prbb.g_00328	Syar.g_00219
OG0000478	Prbb.g_00329	Syar.g_00220
OG0000479	Prbb.g_00330	Syar.g_00221
OG0000480	Prbb.g_00334	Syar.g_00228
OG0000481	Prbb.g_00336	Syar.g_00230
OG0000482	Prbb.g_00337	Syar.g_00231
OG0000483	Prbb.g_00340	Syar.g_00235
OG0000484	Prbb.g_00341	Syar.g_00236
OG0000485	Prbb.g_00342	Syar.g_00237
OG0000486	Prbb.g_00343	Syar.g_00238, Syar.g_00024
OG0000487	Prbb.g_00346	Syar.g_00245
OG0000488	Prbb.g_00349	Syar.g_00853
OG0000489	Prbb.g_00354	Syar.g_00833
OG0000490	Prbb.g_00359	Syar.g_00823
OG0000491	Prbb.g_00360	Syar.g_00822
OG0000492	Prbb.g_00362	Syar.g_00727
OG0000493	Prbb.g_00363	Syar.g_00726
OG0000494	Prbb.g_00364	Syar.g_00725
OG0000495	Prbb.g_00365	Syar.g_00724
OG0000496	Prbb.g_00366	Syar.g_00723
OG0000497	Prbb.g_00367	Syar.g_00722
OG0000498	Prbb.g_00368	Syar.g_00721
OG0000499	Prbb.g_00369	Syar.g_00720
OG0000500	Prbb.g_00370	Syar.g_00719
OG0000501	Prbb.g_00372	Syar.g_00716
OG0000502	Prbb.g_00375	Syar.g_00275
OG0000503	Prbb.g_00394	Syar.g_01118
OG0000504	Prbb.g_00396	Syar.g_01120
OG0000505	Prbb.g_00397	Syar.g_01121
OG0000506	Prbb.g_00398	Syar.g_01123
OG0000507	Prbb.g_00401	Syar.g_01129
OG0000508	Prbb.g_00404	Syar.g_01141
OG0000509	Prbb.g_00406	Syar.g_01143
OG0000510	Prbb.g_00407	Syar.g_01144
OG0000511	Prbb.g_00408	Syar.g_01145
OG0000512	Prbb.g_00410	Syar.g_01147
OG0000513	Prbb.g_00419	Syar.g_01166
OG0000514	Prbb.g_00436	Syar.g_01169
OG0000515	Prbb.g_00437	Syar.g_01170
OG0000516	Prbb.g_00438	Syar.g_01172
OG0000517	Prbb.g_00440	Syar.g_01176
OG0000518	Prbb.g_00451	Syar.g_02868
OG0000519	Prbb.g_00452	Syar.g_02867
OG0000520	Prbb.g_00453	Syar.g_02866
OG0000521	Prbb.g_00458	Syar.g_01419
OG0000522	Prbb.g_00460	Syar.g_01421
OG0000523	Prbb.g_00461	Syar.g_01422
OG0000524	Prbb.g_00468	Syar.g_01244
OG0000525	Prbb.g_00472	Syar.g_01263
OG0000526	Prbb.g_00473	Syar.g_01266
OG0000527	Prbb.g_00476	Syar.g_01271
OG0000528	Prbb.g_00482	Syar.g_01466
OG0000529	Prbb.g_00486	Syar.g_01470
OG0000530	Prbb.g_00489	Syar.g_01473
OG0000531	Prbb.g_00490	Syar.g_01474
OG0000532	Prbb.g_00491	Syar.g_01477
OG0000533	Prbb.g_00492	Syar.g_01479
OG0000534	Prbb.g_00493	Syar.g_01480
OG0000535	Prbb.g_00494	Syar.g_01481
OG0000536	Prbb.g_00495	Syar.g_01482
OG0000537	Prbb.g_00496	Syar.g_01483
OG0000538	Prbb.g_00504	Syar.g_01496
OG0000539	Prbb.g_00505	Syar.g_01497
OG0000540	Prbb.g_00506	Syar.g_01498
OG0000541	Prbb.g_00507	Syar.g_01499
OG0000542	Prbb.g_00509	Syar.g_01502
OG0000543	Prbb.g_00511	Syar.g_01504
OG0000544	Prbb.g_00512	Syar.g_01505
OG0000545	Prbb.g_00514	Syar.g_01507
OG0000546	Prbb.g_00517	Syar.g_01509
OG0000547	Prbb.g_00519	Syar.g_01511
