Orthogroup	Prab	Syab
OG0000048	Prab.g_00411, Prab.g_00363	Syab.g_00308
OG0000053	Prab.g_01486	Syab.g_00746
OG0000054	Prab.g_00610	Syab.g_01932
OG0000055	Prab.g_00821	Syab.g_01255
OG0000057	Prab.g_00703	Syab.g_01200
OG0000059	Prab.g_01754	Syab.g_00397
OG0000060	Prab.g_00784	Syab.g_00662, Syab.g_02094, Syab.g_01222, Syab.g_00707
OG0000061	Prab.g_01219	Syab.g_00969
OG0000062	Prab.g_01544	Syab.g_02234
OG0000063	Prab.g_00033	Syab.g_00040
OG0000065	Prab.g_00098	Syab.g_02500, Syab.g_01768
OG0000066	Prab.g_00543	Syab.g_01516, Syab.g_02031
OG0000067	Prab.g_00840	Syab.g_01659
OG0000068	Prab.g_01360	Syab.g_02087
OG0000070	Prab.g_00456	Syab.g_00614
OG0000071	Prab.g_01637, Prab.g_01326	Syab.g_00915
OG0000072	Prab.g_00162	Syab.g_02593
OG0000073	Prab.g_00503	Syab.g_02119
OG0000075	Prab.g_01834	Syab.g_00202
OG0000076	Prab.g_01857	Syab.g_00113
OG0000077	Prab.g_00070	Syab.g_02446
OG0000078	Prab.g_00229	Syab.g_02366
OG0000079	Prab.g_00242	Syab.g_00340
OG0000080	Prab.g_01404, Prab.g_01406	Syab.g_00140
OG0000081	Prab.g_00535	Syab.g_01793
OG0000082	Prab.g_00589	Syab.g_01971
OG0000084	Prab.g_01462	Syab.g_00781
OG0000085	Prab.g_01662	Syab.g_02243
OG0000086	Prab.g_00080	Syab.g_02468
OG0000087	Prab.g_00129	Syab.g_02551
OG0000088	Prab.g_00157	Syab.g_02586
OG0000089	Prab.g_00343	Syab.g_00551
OG0000090	Prab.g_00537	Syab.g_02041
OG0000091	Prab.g_00647	Syab.g_01866
OG0000093	Prab.g_01042	Syab.g_01582
OG0000094	Prab.g_00948	Syab.g_01306
OG0000095	Prab.g_01299	Syab.g_01210
OG0000097	Prab.g_01260	Syab.g_01051
OG0000098	Prab.g_01346	Syab.g_01553
OG0000099	Prab.g_01394	Syab.g_00230
OG0000100	Prab.g_01540	Syab.g_01694
OG0000101	Prab.g_01802	Syab.g_00446
OG0000102	Prab.g_01862	Syab.g_00104
OG0000103	Prab.g_01942	Syab.g_02895, Syab.g_01296
OG0000104	Prab.g_01951	Syab.g_02910
OG0000105	Prab.g_00262	Syab.g_00303
OG0000106	Prab.g_00359	Syab.g_01817
OG0000107	Prab.g_00375	Syab.g_00367
OG0000108	Prab.g_00484	Syab.g_02096
OG0000109	Prab.g_00498	Syab.g_02112
OG0000110	Prab.g_00579	Syab.g_01984
OG0000111	Prab.g_00704	Syab.g_01201
OG0000112	Prab.g_00804	Syab.g_01392
OG0000113	Prab.g_00862	Syab.g_01689
OG0000114	Prab.g_01068	Syab.g_02656, Syab.g_01633
OG0000115	Prab.g_01156	Syab.g_00748
OG0000116	Prab.g_01209	Syab.g_00945
OG0000117	Prab.g_00717	Syab.g_01018
OG0000118	Prab.g_01338	Syab.g_00897
OG0000120	Prab.g_01447	Syab.g_00229
OG0000121	Prab.g_01468	Syab.g_00772
OG0000122	Prab.g_01506	Syab.g_01839
OG0000123	Prab.g_01809	Syab.g_00454
OG0000124	Prab.g_01873	Syab.g_00088
OG0000125	Prab.g_01910	Syab.g_02763
OG0000126	Prab.g_01950	Syab.g_02908
OG0000128	Prab.g_00011	Syab.g_00012
OG0000129	Prab.g_00043	Syab.g_02749
OG0000130	Prab.g_00061	Syab.g_02434
OG0000131	Prab.g_00136	Syab.g_02564
OG0000132	Prab.g_00155	Syab.g_02584
OG0000133	Prab.g_00310	Syab.g_01387
OG0000134	Prab.g_00344	Syab.g_00554
OG0000135	Prab.g_00371	Syab.g_02815
OG0000136	Prab.g_00444	Syab.g_00588
OG0000137	Prab.g_00479	Syab.g_00697
OG0000138	Prab.g_00499	Syab.g_02113
OG0000139	Prab.g_00541	Syab.g_02035
OG0000140	Prab.g_00542	Syab.g_02033
OG0000141	Prab.g_00611	Syab.g_01931
OG0000142	Prab.g_00640	Syab.g_01524, Syab.g_01873
OG0000143	Prab.g_00644	Syab.g_01870
OG0000144	Prab.g_00657	Syab.g_01757
OG0000145	Prab.g_00783	Syab.g_02120
OG0000146	Prab.g_00805	Syab.g_01393
OG0000147	Prab.g_00806	Syab.g_01394
OG0000148	Prab.g_00856	Syab.g_01682, Syab.g_01683
OG0000149	Prab.g_00886	Syab.g_01720
OG0000150	Prab.g_00894	Syab.g_01930
OG0000151	Prab.g_01058	Syab.g_01612
OG0000152	Prab.g_01010	Syab.g_01383
OG0000153	Prab.g_00991	Syab.g_01343
OG0000154	Prab.g_00955	Syab.g_01317
OG0000155	Prab.g_01239	Syab.g_01009
OG0000156	Prab.g_01315	Syab.g_00933
OG0000157	Prab.g_01316	Syab.g_00932
OG0000158	Prab.g_01379	Syab.g_00161
OG0000160	Prab.g_01467	Syab.g_00774
OG0000161	Prab.g_01473	Syab.g_00766
OG0000162	Prab.g_01479	Syab.g_00755
OG0000163	Prab.g_01513	Syab.g_02173
OG0000164	Prab.g_01693	Syab.g_02307
OG0000165	Prab.g_01700	Syab.g_02316
OG0000166	Prab.g_01766	Syab.g_00407
OG0000167	Prab.g_01832	Syab.g_00205
OG0000168	Prab.g_01841	Syab.g_00136
OG0000169	Prab.g_01851	Syab.g_00125
OG0000170	Prab.g_01853	Syab.g_00118
OG0000171	Prab.g_01872	Syab.g_00089
OG0000172	Prab.g_01881	Syab.g_00080
OG0000173	Prab.g_01896	Syab.g_00061
OG0000174	Prab.g_01924	Syab.g_02819
OG0000175	Prab.g_01934	Syab.g_02876
OG0000176	Prab.g_00004	Syab.g_00004
OG0000177	Prab.g_00005	Syab.g_00005
OG0000178	Prab.g_00006	Syab.g_00006
OG0000179	Prab.g_00016	Syab.g_00022
OG0000180	Prab.g_00017	Syab.g_00023
OG0000181	Prab.g_00018	Syab.g_00024
OG0000182	Prab.g_00019	Syab.g_00025
OG0000183	Prab.g_00023	Syab.g_00029
OG0000184	Prab.g_00045	Syab.g_02738
OG0000185	Prab.g_00048	Syab.g_02715
OG0000186	Prab.g_00056	Syab.g_02430
OG0000187	Prab.g_00057	Syab.g_02431
OG0000188	Prab.g_00074	Syab.g_02454
OG0000189	Prab.g_00087	Syab.g_02487
OG0000190	Prab.g_00088	Syab.g_00190, Syab.g_00139
OG0000191	Prab.g_00108	Syab.g_02522
OG0000192	Prab.g_00112	Syab.g_02528
OG0000193	Prab.g_00137	Syab.g_02565
OG0000194	Prab.g_00140	Syab.g_02568
OG0000195	Prab.g_00142	Syab.g_02570
OG0000196	Prab.g_00152	Syab.g_02581
OG0000197	Prab.g_00153	Syab.g_02582
OG0000198	Prab.g_00154	Syab.g_02583
OG0000199	Prab.g_00161	Syab.g_02591
OG0000200	Prab.g_00175	Syab.g_02611
OG0000201	Prab.g_00183	Syab.g_02628
OG0000202	Prab.g_00184	Syab.g_02629
OG0000203	Prab.g_00185	Syab.g_02630
OG0000204	Prab.g_00186	Syab.g_02631
OG0000205	Prab.g_00193	Syab.g_02638
OG0000206	Prab.g_00198	Syab.g_02674
OG0000207	Prab.g_00200	Syab.g_02677
OG0000208	Prab.g_00201	Syab.g_02678
OG0000209	Prab.g_00210	Syab.g_02698
OG0000210	Prab.g_00211	Syab.g_02699
OG0000211	Prab.g_00224	Syab.g_02374
OG0000212	Prab.g_00230	Syab.g_02365
OG0000213	Prab.g_00247	Syab.g_00332
OG0000214	Prab.g_00256	Syab.g_00312
OG0000215	Prab.g_00280	Syab.g_00281
OG0000216	Prab.g_00282	Syab.g_00277
OG0000217	Prab.g_00285	Syab.g_00273
OG0000218	Prab.g_00287	Syab.g_00271
OG0000219	Prab.g_00288	Syab.g_00270
OG0000220	Prab.g_00289	Syab.g_00269
OG0000221	Prab.g_00290	Syab.g_00257
OG0000222	Prab.g_00298	Syab.g_00244
OG0000223	Prab.g_00311	Syab.g_00226
OG0000224	Prab.g_00313	Syab.g_00223
OG0000225	Prab.g_00333	Syab.g_00538
OG0000226	Prab.g_00337	Syab.g_00542
OG0000227	Prab.g_00339	Syab.g_00544
OG0000228	Prab.g_00342	Syab.g_00550
OG0000229	Prab.g_00439	Syab.g_00583
OG0000230	Prab.g_00441	Syab.g_00585
OG0000231	Prab.g_00455	Syab.g_00613
OG0000232	Prab.g_00463	Syab.g_00631
OG0000233	Prab.g_00468	Syab.g_00645
OG0000234	Prab.g_00480	Syab.g_00699
OG0000235	Prab.g_00483	Syab.g_02095
OG0000236	Prab.g_00497	Syab.g_02111
OG0000237	Prab.g_00510	Syab.g_02129
OG0000238	Prab.g_00516	Syab.g_02134
OG0000239	Prab.g_00529	Syab.g_02151
OG0000240	Prab.g_00530	Syab.g_02152
OG0000241	Prab.g_00534	Syab.g_01884
OG0000242	Prab.g_00536	Syab.g_02043
OG0000243	Prab.g_00547	Syab.g_02025
OG0000244	Prab.g_00550	Syab.g_02017
OG0000245	Prab.g_00552	Syab.g_02015
OG0000246	Prab.g_00556	Syab.g_02011
OG0000247	Prab.g_00566	Syab.g_01999
OG0000248	Prab.g_00569	Syab.g_01996
OG0000249	Prab.g_00571	Syab.g_01994
OG0000250	Prab.g_00576	Syab.g_01988
OG0000251	Prab.g_00595	Syab.g_01961
OG0000252	Prab.g_00598	Syab.g_01958
OG0000253	Prab.g_00599	Syab.g_01956
OG0000254	Prab.g_00615	Syab.g_01925
OG0000255	Prab.g_00621	Syab.g_01912
OG0000256	Prab.g_00632	Syab.g_01890
OG0000257	Prab.g_00635	Syab.g_01885
OG0000258	Prab.g_00648	Syab.g_01861
OG0000259	Prab.g_00665	Syab.g_01538
OG0000260	Prab.g_00668	Syab.g_01544
OG0000261	Prab.g_00670	Syab.g_01556
OG0000262	Prab.g_00674	Syab.g_01561
OG0000263	Prab.g_00686	Syab.g_01035
OG0000264	Prab.g_00696	Syab.g_01173
OG0000265	Prab.g_00723	Syab.g_01773
OG0000266	Prab.g_00733	Syab.g_01667
OG0000267	Prab.g_00744	Syab.g_01433
OG0000268	Prab.g_00745	Syab.g_01432
OG0000269	Prab.g_00835	Syab.g_01650
OG0000270	Prab.g_00838	Syab.g_01657
OG0000271	Prab.g_00846	Syab.g_01279
OG0000272	Prab.g_00847	Syab.g_01280
OG0000273	Prab.g_00870	Syab.g_01699
OG0000274	Prab.g_00871	Syab.g_01700
OG0000275	Prab.g_00873	Syab.g_01704
OG0000276	Prab.g_00878	Syab.g_01712
OG0000277	Prab.g_00879	Syab.g_01713
OG0000278	Prab.g_00882	Syab.g_01716
OG0000279	Prab.g_00889	Syab.g_01724
OG0000280	Prab.g_00890	Syab.g_01736
OG0000281	Prab.g_00896	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Prab.g_01066	Syab.g_01631
OG0000283	Prab.g_01033	Syab.g_01418
OG0000284	Prab.g_01028	Syab.g_01413
OG0000285	Prab.g_01023	Syab.g_01402
OG0000286	Prab.g_01011	Syab.g_01384
OG0000287	Prab.g_00994	Syab.g_01350
OG0000288	Prab.g_00956	Syab.g_01318
OG0000289	Prab.g_00945	Syab.g_01303
OG0000290	Prab.g_00932	Syab.g_01213
OG0000291	Prab.g_00930	Syab.g_01211
OG0000292	Prab.g_01144	Syab.g_02907
OG0000293	Prab.g_01210	Syab.g_00946
OG0000294	Prab.g_01211	Syab.g_00947
OG0000295	Prab.g_01231	Syab.g_01001
OG0000296	Prab.g_01233	Syab.g_01003
OG0000297	Prab.g_01241	Syab.g_01016
OG0000298	Prab.g_01242	Syab.g_01017
OG0000299	Prab.g_01259	Syab.g_01047
OG0000300	Prab.g_01262	Syab.g_01054
OG0000301	Prab.g_01263	Syab.g_01055
OG0000302	Prab.g_01265	Syab.g_01056
OG0000303	Prab.g_01272	Syab.g_01149
OG0000304	Prab.g_01276	Syab.g_01143
OG0000305	Prab.g_01353	Syab.g_01208
OG0000306	Prab.g_01355	Syab.g_01819
OG0000307	Prab.g_01369	Syab.g_02078
OG0000308	Prab.g_01370	Syab.g_02076
OG0000309	Prab.g_01374	Syab.g_02071
OG0000310	Prab.g_01451	Syab.g_00817
OG0000311	Prab.g_01453	Syab.g_00811
OG0000312	Prab.g_01456	Syab.g_00793
OG0000313	Prab.g_01470	Syab.g_00769
OG0000314	Prab.g_01493	Syab.g_00736
OG0000315	Prab.g_01503	Syab.g_00726
OG0000316	Prab.g_01523	Syab.g_02189
OG0000317	Prab.g_01667	Syab.g_02251
OG0000318	Prab.g_01670	Syab.g_02257
OG0000319	Prab.g_01683	Syab.g_02291
OG0000320	Prab.g_01685	Syab.g_02293
OG0000321	Prab.g_01686	Syab.g_02294
OG0000322	Prab.g_01687	Syab.g_02295
OG0000323	Prab.g_01696	Syab.g_02310
OG0000324	Prab.g_01722	Syab.g_02341
OG0000325	Prab.g_01732	Syab.g_00368
OG0000326	Prab.g_01738	Syab.g_00375
OG0000327	Prab.g_01761	Syab.g_00402
OG0000328	Prab.g_01762	Syab.g_00403
OG0000329	Prab.g_01779	Syab.g_00420
OG0000330	Prab.g_01780	Syab.g_00421
OG0000331	Prab.g_01781	Syab.g_00422
OG0000332	Prab.g_01795	Syab.g_00437
OG0000333	Prab.g_01797	Syab.g_00440
OG0000334	Prab.g_01805	Syab.g_00450
OG0000335	Prab.g_01810	Syab.g_00455
OG0000336	Prab.g_01814	Syab.g_00459
OG0000337	Prab.g_01830	Syab.g_00210
OG0000338	Prab.g_01831	Syab.g_00207
OG0000339	Prab.g_01835	Syab.g_00201
OG0000340	Prab.g_01842	Syab.g_00135
OG0000341	Prab.g_01844	Syab.g_00157, Syab.g_00133
OG0000342	Prab.g_01845	Syab.g_00132
OG0000343	Prab.g_01846	Syab.g_00131
OG0000344	Prab.g_01849	Syab.g_00127, Syab.g_02424
OG0000345	Prab.g_01854	Syab.g_00117
OG0000346	Prab.g_01858	Syab.g_00112
OG0000347	Prab.g_01874	Syab.g_00087
OG0000348	Prab.g_01884	Syab.g_00076
OG0000349	Prab.g_01901	Syab.g_00054
OG0000350	Prab.g_01920	Syab.g_00382
OG0000351	Prab.g_01937	Syab.g_02879
OG0000352	Prab.g_01938	Syab.g_02880
OG0000353	Prab.g_01954	Syab.g_02913
OG0000355	Prab.g_00001	Syab.g_00001
OG0000356	Prab.g_00002	Syab.g_00002
OG0000357	Prab.g_00003	Syab.g_00003
OG0000358	Prab.g_00007	Syab.g_00007
OG0000359	Prab.g_00008	Syab.g_00009
OG0000360	Prab.g_00009	Syab.g_00010
OG0000361	Prab.g_00010	Syab.g_00011
OG0000362	Prab.g_00012	Syab.g_00013
OG0000363	Prab.g_00014	Syab.g_00015
OG0000364	Prab.g_00015	Syab.g_00016
OG0000365	Prab.g_00020	Syab.g_00026
OG0000366	Prab.g_00021	Syab.g_00027
OG0000367	Prab.g_00022	Syab.g_00028
OG0000368	Prab.g_00024	Syab.g_00030
OG0000369	Prab.g_00025	Syab.g_00031
OG0000370	Prab.g_00026	Syab.g_00032
OG0000371	Prab.g_00032	Syab.g_00711, Syab.g_00039
OG0000372	Prab.g_00035	Syab.g_00045
OG0000373	Prab.g_00036	Syab.g_00046
OG0000374	Prab.g_00037	Syab.g_00047
OG0000375	Prab.g_00039	Syab.g_00050
OG0000376	Prab.g_00041	Syab.g_00052
OG0000377	Prab.g_00044	Syab.g_02748
OG0000378	Prab.g_00046	Syab.g_02717
OG0000379	Prab.g_00049	Syab.g_02714
OG0000380	Prab.g_00058	Syab.g_02432
OG0000381	Prab.g_00062	Syab.g_02435
OG0000382	Prab.g_00073	Syab.g_02453
OG0000383	Prab.g_00075	Syab.g_02459
OG0000384	Prab.g_00076	Syab.g_02460
OG0000385	Prab.g_00077	Syab.g_02461
OG0000386	Prab.g_00078	Syab.g_02462
OG0000387	Prab.g_00090	Syab.g_02491
OG0000388	Prab.g_00093	Syab.g_02495
OG0000389	Prab.g_00097	Syab.g_02499
OG0000390	Prab.g_00104	Syab.g_02516
OG0000391	Prab.g_00107	Syab.g_02521
OG0000392	Prab.g_00111	Syab.g_02527
OG0000393	Prab.g_00113	Syab.g_02530
OG0000394	Prab.g_00114	Syab.g_02531
OG0000395	Prab.g_00115	Syab.g_02532
OG0000396	Prab.g_00117	Syab.g_02535
OG0000397	Prab.g_00119	Syab.g_02537
OG0000398	Prab.g_00121	Syab.g_02542
OG0000399	Prab.g_00122	Syab.g_02543
OG0000400	Prab.g_00123	Syab.g_02544
OG0000401	Prab.g_00124	Syab.g_02545
OG0000402	Prab.g_00126	Syab.g_02547
OG0000403	Prab.g_00127	Syab.g_02548
OG0000404	Prab.g_00128	Syab.g_02550
OG0000405	Prab.g_00132	Syab.g_02562
OG0000406	Prab.g_00138	Syab.g_02566
OG0000407	Prab.g_00139	Syab.g_02567
OG0000408	Prab.g_00141	Syab.g_02569
OG0000409	Prab.g_00143	Syab.g_02571
OG0000410	Prab.g_00144	Syab.g_02572
OG0000411	Prab.g_00145	Syab.g_02573
OG0000412	Prab.g_00146	Syab.g_02574
OG0000413	Prab.g_00147	Syab.g_02576
OG0000414	Prab.g_00148	Syab.g_02577
OG0000415	Prab.g_00149	Syab.g_02578
OG0000416	Prab.g_00150	Syab.g_02579
OG0000417	Prab.g_00151	Syab.g_02580
OG0000418	Prab.g_00156	Syab.g_02585
OG0000419	Prab.g_00158	Syab.g_02587
OG0000420	Prab.g_00159	Syab.g_02589
OG0000421	Prab.g_00164	Syab.g_02595
OG0000422	Prab.g_00165	Syab.g_02596
OG0000423	Prab.g_00166	Syab.g_02597
OG0000424	Prab.g_00167	Syab.g_02598
OG0000425	Prab.g_00168	Syab.g_02599
OG0000426	Prab.g_00169	Syab.g_02600
OG0000427	Prab.g_00170	Syab.g_02601
OG0000428	Prab.g_00172	Syab.g_02604
OG0000429	Prab.g_00173	Syab.g_02608
OG0000430	Prab.g_00174	Syab.g_02610
OG0000431	Prab.g_00176	Syab.g_02613
OG0000432	Prab.g_00179	Syab.g_02619
OG0000433	Prab.g_00180	Syab.g_02622
OG0000434	Prab.g_00181	Syab.g_02623
OG0000435	Prab.g_00182	Syab.g_02625
OG0000436	Prab.g_00187	Syab.g_02632
OG0000437	Prab.g_00188	Syab.g_02633
OG0000438	Prab.g_00189	Syab.g_02634
OG0000439	Prab.g_00191	Syab.g_02636
OG0000440	Prab.g_00192	Syab.g_02637
OG0000441	Prab.g_00195	Syab.g_02641
OG0000442	Prab.g_00196	Syab.g_02642
OG0000443	Prab.g_00197	Syab.g_02668
OG0000444	Prab.g_00202	Syab.g_02681
OG0000445	Prab.g_00203	Syab.g_02682
OG0000446	Prab.g_00204	Syab.g_02684
OG0000447	Prab.g_00205	Syab.g_02687
OG0000448	Prab.g_00206	Syab.g_02688
OG0000449	Prab.g_00207	Syab.g_02689
OG0000450	Prab.g_00208	Syab.g_02695
OG0000451	Prab.g_00209	Syab.g_02696
OG0000452	Prab.g_00212	Syab.g_02701
OG0000453	Prab.g_00213	Syab.g_02702
OG0000454	Prab.g_00214	Syab.g_02703
OG0000455	Prab.g_00215	Syab.g_02704
OG0000456	Prab.g_00216	Syab.g_02705
OG0000457	Prab.g_00217	Syab.g_02707
OG0000458	Prab.g_00218	Syab.g_02708
OG0000459	Prab.g_00219	Syab.g_02709
OG0000460	Prab.g_00226	Syab.g_02372
OG0000461	Prab.g_00232	Syab.g_00356
OG0000462	Prab.g_00234	Syab.g_00352
OG0000463	Prab.g_00235	Syab.g_00351
OG0000464	Prab.g_00236	Syab.g_00350
OG0000465	Prab.g_00237	Syab.g_00349
OG0000466	Prab.g_00240	Syab.g_00343
OG0000467	Prab.g_00241	Syab.g_00341
OG0000468	Prab.g_00243	Syab.g_00336
OG0000469	Prab.g_00251	Syab.g_00318
OG0000470	Prab.g_00253	Syab.g_00316
OG0000471	Prab.g_00254	Syab.g_00315
OG0000472	Prab.g_00255	Syab.g_00313
OG0000473	Prab.g_00257	Syab.g_00311
OG0000474	Prab.g_00258	Syab.g_00310
OG0000475	Prab.g_00259	Syab.g_00309
OG0000476	Prab.g_00260	Syab.g_00307
OG0000477	Prab.g_00263	Syab.g_00301
OG0000478	Prab.g_00264	Syab.g_00300
OG0000479	Prab.g_00265	Syab.g_00299
OG0000480	Prab.g_00270	Syab.g_00292
OG0000481	Prab.g_00272	Syab.g_00290
OG0000482	Prab.g_00273	Syab.g_00289
OG0000483	Prab.g_00276	Syab.g_00285
OG0000484	Prab.g_00277	Syab.g_00284
OG0000485	Prab.g_00278	Syab.g_00283
OG0000486	Prab.g_00279	Syab.g_00282
OG0000487	Prab.g_00283	Syab.g_00276
OG0000488	Prab.g_00286	Syab.g_00272
OG0000489	Prab.g_00291	Syab.g_00256
OG0000490	Prab.g_00296	Syab.g_00247
OG0000491	Prab.g_00297	Syab.g_00245
OG0000492	Prab.g_00299	Syab.g_00243
OG0000493	Prab.g_00300	Syab.g_00242
OG0000494	Prab.g_00301	Syab.g_00241
OG0000495	Prab.g_00302	Syab.g_00240
OG0000496	Prab.g_00303	Syab.g_00239
OG0000497	Prab.g_00304	Syab.g_00238
OG0000498	Prab.g_00305	Syab.g_00237
OG0000499	Prab.g_00306	Syab.g_00236
OG0000500	Prab.g_00307	Syab.g_00235
OG0000501	Prab.g_00309	Syab.g_00232
OG0000502	Prab.g_00312	Syab.g_00224
OG0000503	Prab.g_00322	Syab.g_00523
OG0000504	Prab.g_00323	Syab.g_00525
OG0000505	Prab.g_00324	Syab.g_00526
OG0000506	Prab.g_00325	Syab.g_00528
OG0000507	Prab.g_00328	Syab.g_00533
OG0000508	Prab.g_00332	Syab.g_00537
OG0000509	Prab.g_00334	Syab.g_00539
OG0000510	Prab.g_00335	Syab.g_00540
OG0000511	Prab.g_00336	Syab.g_00541
OG0000512	Prab.g_00338	Syab.g_00543
OG0000513	Prab.g_00345	Syab.g_00555
OG0000514	Prab.g_00434	Syab.g_00566
OG0000515	Prab.g_00435	Syab.g_00567
OG0000516	Prab.g_00436	Syab.g_00575
OG0000517	Prab.g_00438	Syab.g_00582
OG0000518	Prab.g_00449	Syab.g_00594
OG0000519	Prab.g_00450	Syab.g_00610
OG0000520	Prab.g_00454	Syab.g_00611
OG0000521	Prab.g_00459	Syab.g_00624
OG0000522	Prab.g_00460	Syab.g_00626
OG0000523	Prab.g_00461	Syab.g_00627
OG0000524	Prab.g_00466	Syab.g_00640
OG0000525	Prab.g_00469	Syab.g_00671
OG0000526	Prab.g_00470	Syab.g_00689
OG0000527	Prab.g_00477	Syab.g_00695
OG0000528	Prab.g_00482	Syab.g_02092
OG0000529	Prab.g_00485	Syab.g_02097
OG0000530	Prab.g_00488	Syab.g_02100
OG0000531	Prab.g_00489	Syab.g_02101
OG0000532	Prab.g_00491	Syab.g_02104
OG0000533	Prab.g_00492	Syab.g_02106
OG0000534	Prab.g_00493	Syab.g_02107
OG0000535	Prab.g_00494	Syab.g_02108
OG0000536	Prab.g_00495	Syab.g_02109
OG0000537	Prab.g_00496	Syab.g_02110
OG0000538	Prab.g_00504	Syab.g_02122
OG0000539	Prab.g_00505	Syab.g_02123
OG0000540	Prab.g_00506	Syab.g_02124
OG0000541	Prab.g_00507	Syab.g_02125
OG0000542	Prab.g_00509	Syab.g_02128
OG0000543	Prab.g_00511	Syab.g_02130
OG0000544	Prab.g_00512	Syab.g_02131
OG0000545	Prab.g_00514	Syab.g_02133
OG0000546	Prab.g_00517	Syab.g_02135
OG0000547	Prab.g_00519	Syab.g_02137
OG0000548	Prab.g_00520	Syab.g_02138
OG0000549	Prab.g_00522	Syab.g_02144
OG0000550	Prab.g_00527	Syab.g_02149
OG0000551	Prab.g_00531	Syab.g_02153
OG0000552	Prab.g_00532	Syab.g_02154
OG0000553	Prab.g_00533	Syab.g_02046
OG0000554	Prab.g_00538	Syab.g_02040
OG0000555	Prab.g_00546	Syab.g_02026
OG0000556	Prab.g_00548	Syab.g_02022
OG0000557	Prab.g_00549	Syab.g_02019
OG0000558	Prab.g_00551	Syab.g_02016
OG0000559	Prab.g_00555	Syab.g_02012
OG0000560	Prab.g_00558	Syab.g_02009
OG0000561	Prab.g_00559	Syab.g_02008
OG0000562	Prab.g_00560	Syab.g_02007
OG0000563	Prab.g_00561	Syab.g_02006
OG0000564	Prab.g_00562	Syab.g_02005
OG0000565	Prab.g_00565	Syab.g_02001
OG0000566	Prab.g_00568	Syab.g_01997
OG0000567	Prab.g_00572	Syab.g_01993
OG0000568	Prab.g_00573	Syab.g_01991
OG0000569	Prab.g_00574	Syab.g_01990
OG0000570	Prab.g_00575	Syab.g_01989
OG0000571	Prab.g_00577	Syab.g_01986
OG0000572	Prab.g_00590	Syab.g_01969
OG0000573	Prab.g_00596	Syab.g_01960
OG0000574	Prab.g_00597	Syab.g_01959
OG0000575	Prab.g_00601	Syab.g_01954
OG0000576	Prab.g_00603	Syab.g_01952
OG0000577	Prab.g_00604	Syab.g_01951
OG0000578	Prab.g_00605	Syab.g_01950
OG0000579	Prab.g_00606	Syab.g_01949
OG0000580	Prab.g_00607	Syab.g_01948
OG0000581	Prab.g_00609	Syab.g_01934
