Orthogroup	Prab	Syad
OG0000077	Prab.g_00070	Syad.g_02741
OG0000078	Prab.g_00229	Syad.g_00824
OG0000079	Prab.g_00242	Syad.g_00565
OG0000080	Prab.g_01404, Prab.g_01406	Syad.g_02256
OG0000081	Prab.g_00535	Syad.g_00833
OG0000082	Prab.g_00589	Syad.g_01063
OG0000084	Prab.g_01462	Syad.g_02272
OG0000085	Prab.g_01662	Syad.g_02612
OG0000086	Prab.g_00080	Syad.g_02770
OG0000087	Prab.g_00129	Syad.g_02860
OG0000088	Prab.g_00157	Syad.g_02899
OG0000089	Prab.g_00343	Syad.g_00785, Syad.g_02829
OG0000090	Prab.g_00537	Syad.g_00977
OG0000091	Prab.g_00647	Syad.g_02144
OG0000093	Prab.g_01042	Syad.g_01905
OG0000094	Prab.g_00948	Syad.g_01676
OG0000095	Prab.g_01299	Syad.g_01290
OG0000097	Prab.g_01260	Syad.g_01458
OG0000098	Prab.g_01346	Syad.g_00625
OG0000099	Prab.g_01394	Syad.g_00460
OG0000100	Prab.g_01540	Syad.g_01846
OG0000101	Prab.g_01802	Syad.g_00694
OG0000102	Prab.g_01862	Syad.g_00343
OG0000103	Prab.g_01942	Syad.g_00143
OG0000104	Prab.g_01951	Syad.g_00158
OG0000105	Prab.g_00262	Syad.g_00530
OG0000106	Prab.g_00359	Syad.g_01993
OG0000107	Prab.g_00375	Syad.g_00590
OG0000108	Prab.g_00484	Syad.g_00904
OG0000109	Prab.g_00498	Syad.g_00919
OG0000110	Prab.g_00579	Syad.g_01048
OG0000111	Prab.g_00704	Syad.g_01300
OG0000112	Prab.g_00804	Syad.g_01766
OG0000113	Prab.g_00862	Syad.g_01851
OG0000114	Prab.g_01068	Syad.g_01617
OG0000115	Prab.g_01156	Syad.g_02300
OG0000116	Prab.g_01209	Syad.g_01123
OG0000117	Prab.g_00717	Syad.g_01510
OG0000118	Prab.g_01338	Syad.g_01104
OG0000119	Prab.g_01356	Syad.g_01168
OG0000120	Prab.g_01447	Syad.g_00459
OG0000121	Prab.g_01468	Syad.g_02280
OG0000122	Prab.g_01506	Syad.g_02122
OG0000123	Prab.g_01809	Syad.g_00701
OG0000124	Prab.g_01873	Syad.g_00320
OG0000125	Prab.g_01910	Syad.g_03040
OG0000126	Prab.g_01950	Syad.g_00156
OG0000128	Prab.g_00011	Syad.g_00174
OG0000129	Prab.g_00043	Syad.g_03028
OG0000130	Prab.g_00061	Syad.g_02728
OG0000131	Prab.g_00136	Syad.g_02876
OG0000132	Prab.g_00155	Syad.g_02897
OG0000133	Prab.g_00310	Syad.g_01761
OG0000134	Prab.g_00344	Syad.g_00788
OG0000135	Prab.g_00371	Syad.g_00063
OG0000136	Prab.g_00444	Syad.g_02445
OG0000137	Prab.g_00479	Syad.g_02353
OG0000138	Prab.g_00499	Syad.g_00920
OG0000139	Prab.g_00541	Syad.g_00983
OG0000140	Prab.g_00542	Syad.g_00987
OG0000141	Prab.g_00611	Syad.g_02208
OG0000142	Prab.g_00640	Syad.g_02152
OG0000143	Prab.g_00644	Syad.g_02148
OG0000144	Prab.g_00657	Syad.g_02024
OG0000145	Prab.g_00783	Syad.g_00927
OG0000146	Prab.g_00805	Syad.g_01767
OG0000147	Prab.g_00806	Syad.g_01768
OG0000148	Prab.g_00856	Syad.g_01861
OG0000149	Prab.g_00886	Syad.g_01221
OG0000150	Prab.g_00894	Syad.g_02207, Syad.g_00989
OG0000151	Prab.g_01058	Syad.g_01956
OG0000152	Prab.g_01010	Syad.g_01757
OG0000153	Prab.g_00991	Syad.g_01713
OG0000154	Prab.g_00955	Syad.g_01686
OG0000155	Prab.g_01239	Syad.g_01189
OG0000156	Prab.g_01315	Syad.g_01116
OG0000157	Prab.g_01316	Syad.g_01115
OG0000158	Prab.g_01379	Syad.g_00374
OG0000160	Prab.g_01467	Syad.g_02279
OG0000161	Prab.g_01473	Syad.g_02287
OG0000162	Prab.g_01479	Syad.g_02293
OG0000163	Prab.g_01513	Syad.g_02542
OG0000164	Prab.g_01693	Syad.g_02659
OG0000165	Prab.g_01700	Syad.g_02476
OG0000166	Prab.g_01766	Syad.g_00654
OG0000167	Prab.g_01832	Syad.g_00419
OG0000168	Prab.g_01841	Syad.g_00371
OG0000169	Prab.g_01851	Syad.g_00360
OG0000170	Prab.g_01853	Syad.g_00353
OG0000171	Prab.g_01872	Syad.g_00321
OG0000172	Prab.g_01881	Syad.g_00244
OG0000173	Prab.g_01896	Syad.g_00220
OG0000174	Prab.g_01924	Syad.g_00065
OG0000175	Prab.g_01934	Syad.g_00129
OG0000176	Prab.g_00004	Syad.g_00166
OG0000177	Prab.g_00005	Syad.g_00167
OG0000178	Prab.g_00006	Syad.g_00168
OG0000179	Prab.g_00016	Syad.g_00183
OG0000180	Prab.g_00017	Syad.g_00184
OG0000181	Prab.g_00018	Syad.g_00185
OG0000182	Prab.g_00019	Syad.g_00186
OG0000183	Prab.g_00023	Syad.g_00190
OG0000184	Prab.g_00045	Syad.g_03018
OG0000185	Prab.g_00048	Syad.g_03006
OG0000186	Prab.g_00056	Syad.g_02722
OG0000187	Prab.g_00057	Syad.g_02724
OG0000188	Prab.g_00074	Syad.g_02759
OG0000189	Prab.g_00087	Syad.g_02788
OG0000190	Prab.g_00088	Syad.g_02790
OG0000191	Prab.g_00108	Syad.g_02824
OG0000192	Prab.g_00112	Syad.g_02834
OG0000193	Prab.g_00137	Syad.g_02877
OG0000194	Prab.g_00140	Syad.g_02880
OG0000195	Prab.g_00142	Syad.g_02884
OG0000196	Prab.g_00152	Syad.g_02894
OG0000197	Prab.g_00153	Syad.g_02895
OG0000198	Prab.g_00154	Syad.g_02896
OG0000199	Prab.g_00161	Syad.g_02904
OG0000200	Prab.g_00175	Syad.g_02921
OG0000201	Prab.g_00183	Syad.g_02937
OG0000202	Prab.g_00184	Syad.g_02938
OG0000203	Prab.g_00185	Syad.g_02939
OG0000204	Prab.g_00186	Syad.g_02940
OG0000205	Prab.g_00193	Syad.g_02948
OG0000206	Prab.g_00198	Syad.g_02955
OG0000207	Prab.g_00200	Syad.g_02957
OG0000208	Prab.g_00201	Syad.g_02958
OG0000209	Prab.g_00210	Syad.g_02981
OG0000210	Prab.g_00211	Syad.g_02982
OG0000211	Prab.g_00224	Syad.g_00813
OG0000212	Prab.g_00230	Syad.g_00825
OG0000213	Prab.g_00247	Syad.g_00556
OG0000214	Prab.g_00256	Syad.g_00538
OG0000215	Prab.g_00280	Syad.g_00508
OG0000216	Prab.g_00282	Syad.g_00504, Syad.g_00285
OG0000217	Prab.g_00285	Syad.g_00500
OG0000218	Prab.g_00287	Syad.g_00498
OG0000219	Prab.g_00288	Syad.g_00497
OG0000220	Prab.g_00289	Syad.g_00496
OG0000221	Prab.g_00290	Syad.g_00488
OG0000222	Prab.g_00298	Syad.g_00473
OG0000223	Prab.g_00311	Syad.g_00451
OG0000224	Prab.g_00313	Syad.g_00444
OG0000225	Prab.g_00333	Syad.g_00777
OG0000226	Prab.g_00337	Syad.g_00781
OG0000227	Prab.g_00339	Syad.g_00783
OG0000228	Prab.g_00342	Syad.g_00784
OG0000229	Prab.g_00439	Syad.g_02450
OG0000230	Prab.g_00441	Syad.g_02448
OG0000231	Prab.g_00455	Syad.g_02436
OG0000232	Prab.g_00463	Syad.g_02392
OG0000233	Prab.g_00468	Syad.g_02382
OG0000234	Prab.g_00480	Syad.g_02351
OG0000235	Prab.g_00483	Syad.g_00903
OG0000236	Prab.g_00497	Syad.g_00918
OG0000237	Prab.g_00510	Syad.g_00936
OG0000238	Prab.g_00516	Syad.g_00941
OG0000239	Prab.g_00529	Syad.g_00957
OG0000240	Prab.g_00530	Syad.g_00958
OG0000241	Prab.g_00534	Syad.g_02160
OG0000242	Prab.g_00536	Syad.g_00975
OG0000243	Prab.g_00547	Syad.g_01000
OG0000244	Prab.g_00550	Syad.g_01012
OG0000245	Prab.g_00552	Syad.g_01014
OG0000246	Prab.g_00556	Syad.g_01017
OG0000247	Prab.g_00566	Syad.g_01029
OG0000248	Prab.g_00569	Syad.g_01032
OG0000249	Prab.g_00571	Syad.g_01034
OG0000250	Prab.g_00576	Syad.g_01044
OG0000251	Prab.g_00595	Syad.g_01071
OG0000252	Prab.g_00598	Syad.g_01078
OG0000253	Prab.g_00599	Syad.g_01081
OG0000254	Prab.g_00615	Syad.g_02203
OG0000255	Prab.g_00621	Syad.g_02185
OG0000256	Prab.g_00632	Syad.g_02167
OG0000257	Prab.g_00635	Syad.g_02161
OG0000258	Prab.g_00648	Syad.g_02143
OG0000259	Prab.g_00665	Syad.g_01576
OG0000260	Prab.g_00668	Syad.g_01587
OG0000261	Prab.g_00670	Syad.g_01590
OG0000262	Prab.g_00674	Syad.g_01595
OG0000263	Prab.g_00686	Syad.g_01475
OG0000264	Prab.g_00696	Syad.g_01360
OG0000265	Prab.g_00723	Syad.g_01383
OG0000266	Prab.g_00733	Syad.g_01804
OG0000267	Prab.g_00744	Syad.g_01645
OG0000268	Prab.g_00745	Syad.g_01646
OG0000269	Prab.g_00835	Syad.g_01894
OG0000270	Prab.g_00838	Syad.g_01891
OG0000271	Prab.g_00846	Syad.g_01883
OG0000272	Prab.g_00847	Syad.g_01882
OG0000273	Prab.g_00870	Syad.g_01247
OG0000274	Prab.g_00871	Syad.g_01246
OG0000275	Prab.g_00873	Syad.g_01242
OG0000276	Prab.g_00878	Syad.g_01229
OG0000277	Prab.g_00879	Syad.g_01228
OG0000278	Prab.g_00882	Syad.g_01225
OG0000279	Prab.g_00889	Syad.g_01208
OG0000280	Prab.g_00890	Syad.g_01198
OG0000281	Prab.g_00896	Syad.g_00624
OG0000282	Prab.g_01066	Syad.g_01619
OG0000283	Prab.g_01033	Syad.g_01661
OG0000284	Prab.g_01028	Syad.g_01787
OG0000285	Prab.g_01023	Syad.g_01776
OG0000286	Prab.g_01011	Syad.g_01758
OG0000287	Prab.g_00994	Syad.g_01720
OG0000288	Prab.g_00956	Syad.g_01687
OG0000289	Prab.g_00945	Syad.g_01672
OG0000290	Prab.g_00932	Syad.g_01287
OG0000291	Prab.g_00930	Syad.g_01289
OG0000292	Prab.g_01144	Syad.g_00155
OG0000293	Prab.g_01210	Syad.g_01124
OG0000294	Prab.g_01211	Syad.g_01125
OG0000295	Prab.g_01231	Syad.g_01181
OG0000296	Prab.g_01233	Syad.g_01183
OG0000297	Prab.g_01241	Syad.g_01512
OG0000298	Prab.g_01242	Syad.g_01511
OG0000299	Prab.g_01259	Syad.g_01462
OG0000300	Prab.g_01262	Syad.g_01455
OG0000301	Prab.g_01263	Syad.g_01454
OG0000302	Prab.g_01265	Syad.g_01453
OG0000303	Prab.g_01272	Syad.g_01442
OG0000304	Prab.g_01276	Syad.g_01436
OG0000305	Prab.g_01353	Syad.g_01292
OG0000306	Prab.g_01355	Syad.g_01989
OG0000307	Prab.g_01369	Syad.g_00883
OG0000308	Prab.g_01370	Syad.g_00881
OG0000309	Prab.g_01374	Syad.g_00876
OG0000310	Prab.g_01451	Syad.g_02250
OG0000311	Prab.g_01453	Syad.g_02254
OG0000312	Prab.g_01456	Syad.g_02265
OG0000313	Prab.g_01470	Syad.g_02284
OG0000314	Prab.g_01493	Syad.g_02313, Syad.g_02231
OG0000315	Prab.g_01503	Syad.g_02323
OG0000316	Prab.g_01523	Syad.g_02564
OG0000317	Prab.g_01667	Syad.g_02620
OG0000318	Prab.g_01670	Syad.g_02624
OG0000319	Prab.g_01683	Syad.g_02642
OG0000320	Prab.g_01685	Syad.g_02644
OG0000321	Prab.g_01686	Syad.g_02645
OG0000322	Prab.g_01687	Syad.g_02646
OG0000323	Prab.g_01696	Syad.g_02661
OG0000324	Prab.g_01722	Syad.g_02505
OG0000325	Prab.g_01732	Syad.g_00591
OG0000326	Prab.g_01738	Syad.g_00598
OG0000327	Prab.g_01761	Syad.g_00649
OG0000328	Prab.g_01762	Syad.g_00650
OG0000329	Prab.g_01779	Syad.g_00668
OG0000330	Prab.g_01780	Syad.g_00669
OG0000331	Prab.g_01781	Syad.g_00670
OG0000332	Prab.g_01795	Syad.g_00685
OG0000333	Prab.g_01797	Syad.g_00688
OG0000334	Prab.g_01805	Syad.g_00697
OG0000335	Prab.g_01810	Syad.g_00702
OG0000336	Prab.g_01814	Syad.g_00706
OG0000337	Prab.g_01830	Syad.g_00425, Syad.g_00427
OG0000338	Prab.g_01831	Syad.g_00421
OG0000339	Prab.g_01835	Syad.g_00414
OG0000340	Prab.g_01842	Syad.g_00370
OG0000341	Prab.g_01844	Syad.g_00368
OG0000342	Prab.g_01845	Syad.g_00367
OG0000343	Prab.g_01846	Syad.g_00366
OG0000344	Prab.g_01849	Syad.g_00362
OG0000345	Prab.g_01854	Syad.g_00352
OG0000346	Prab.g_01858	Syad.g_00347
OG0000347	Prab.g_01874	Syad.g_00318
OG0000348	Prab.g_01884	Syad.g_00233
OG0000349	Prab.g_01901	Syad.g_00213
OG0000350	Prab.g_01920	Syad.g_00605
OG0000351	Prab.g_01937	Syad.g_00134
OG0000352	Prab.g_01938	Syad.g_00135
OG0000353	Prab.g_01954	Syad.g_00161
OG0000355	Prab.g_00001	Syad.g_00163
OG0000356	Prab.g_00002	Syad.g_00164
OG0000357	Prab.g_00003	Syad.g_00165
OG0000358	Prab.g_00007	Syad.g_00169
OG0000359	Prab.g_00008	Syad.g_00171
OG0000360	Prab.g_00009	Syad.g_00172
OG0000361	Prab.g_00010	Syad.g_00173
OG0000362	Prab.g_00012	Syad.g_00175
OG0000363	Prab.g_00014	Syad.g_00177
OG0000364	Prab.g_00015	Syad.g_00178
OG0000365	Prab.g_00020	Syad.g_00187
OG0000366	Prab.g_00021	Syad.g_00188
OG0000367	Prab.g_00022	Syad.g_00189
OG0000368	Prab.g_00024	Syad.g_00191
OG0000369	Prab.g_00025	Syad.g_00192
OG0000370	Prab.g_00026	Syad.g_00193
OG0000371	Prab.g_00032	Syad.g_00201
OG0000372	Prab.g_00035	Syad.g_00206
OG0000373	Prab.g_00036	Syad.g_00207
OG0000374	Prab.g_00037	Syad.g_00208
OG0000375	Prab.g_00039	Syad.g_00209
OG0000376	Prab.g_00041	Syad.g_00211
OG0000377	Prab.g_00044	Syad.g_03027
OG0000378	Prab.g_00046	Syad.g_03012
OG0000379	Prab.g_00049	Syad.g_03005
OG0000380	Prab.g_00058	Syad.g_02725
OG0000381	Prab.g_00062	Syad.g_02729
OG0000382	Prab.g_00073	Syad.g_02758
OG0000383	Prab.g_00075	Syad.g_02761
OG0000384	Prab.g_00076	Syad.g_02762
OG0000385	Prab.g_00077	Syad.g_02763
OG0000386	Prab.g_00078	Syad.g_02764
OG0000387	Prab.g_00090	Syad.g_02792
OG0000388	Prab.g_00093	Syad.g_02796
OG0000389	Prab.g_00097	Syad.g_02800
OG0000390	Prab.g_00104	Syad.g_02818
OG0000391	Prab.g_00107	Syad.g_02823
OG0000392	Prab.g_00111	Syad.g_02833
OG0000393	Prab.g_00113	Syad.g_02837
OG0000394	Prab.g_00114	Syad.g_02838
OG0000395	Prab.g_00115	Syad.g_02839
OG0000396	Prab.g_00117	Syad.g_02843
OG0000397	Prab.g_00119	Syad.g_02845
OG0000398	Prab.g_00121	Syad.g_02850
OG0000399	Prab.g_00122	Syad.g_02851
OG0000400	Prab.g_00123	Syad.g_02852
OG0000401	Prab.g_00124	Syad.g_02853
OG0000402	Prab.g_00126	Syad.g_02855
OG0000403	Prab.g_00127	Syad.g_02856
OG0000404	Prab.g_00128	Syad.g_02858
OG0000405	Prab.g_00132	Syad.g_02874
OG0000406	Prab.g_00138	Syad.g_02878
OG0000407	Prab.g_00139	Syad.g_02879
OG0000408	Prab.g_00141	Syad.g_02883
OG0000409	Prab.g_00143	Syad.g_02885
OG0000410	Prab.g_00144	Syad.g_02886
OG0000411	Prab.g_00145	Syad.g_02887
OG0000412	Prab.g_00146	Syad.g_02888
OG0000413	Prab.g_00147	Syad.g_02890
OG0000415	Prab.g_00149	Syad.g_02891
OG0000416	Prab.g_00150	Syad.g_02892
OG0000417	Prab.g_00151	Syad.g_02893
OG0000418	Prab.g_00156	Syad.g_02898
OG0000419	Prab.g_00158	Syad.g_02900
OG0000420	Prab.g_00159	Syad.g_02902
OG0000421	Prab.g_00164	Syad.g_02907
OG0000422	Prab.g_00165	Syad.g_02908
OG0000423	Prab.g_00166	Syad.g_02909
OG0000424	Prab.g_00167	Syad.g_02910
OG0000425	Prab.g_00168	Syad.g_02911
OG0000426	Prab.g_00169	Syad.g_02912
OG0000427	Prab.g_00170	Syad.g_02913
OG0000428	Prab.g_00172	Syad.g_02916
OG0000429	Prab.g_00173	Syad.g_02918
OG0000430	Prab.g_00174	Syad.g_02920
OG0000431	Prab.g_00176	Syad.g_02923
OG0000432	Prab.g_00179	Syad.g_02930
OG0000433	Prab.g_00180	Syad.g_02933
OG0000434	Prab.g_00181	Syad.g_02934
OG0000435	Prab.g_00182	Syad.g_02936
OG0000436	Prab.g_00187	Syad.g_02942
OG0000437	Prab.g_00188	Syad.g_02943
OG0000438	Prab.g_00189	Syad.g_02944
OG0000439	Prab.g_00191	Syad.g_02946
OG0000440	Prab.g_00192	Syad.g_02947
OG0000441	Prab.g_00195	Syad.g_02951
OG0000442	Prab.g_00196	Syad.g_02952
OG0000443	Prab.g_00197	Syad.g_02953
OG0000444	Prab.g_00202	Syad.g_02964
OG0000445	Prab.g_00203	Syad.g_02965
OG0000446	Prab.g_00204	Syad.g_02967
OG0000447	Prab.g_00205	Syad.g_02970
OG0000448	Prab.g_00206	Syad.g_02971
OG0000449	Prab.g_00207	Syad.g_02972
OG0000450	Prab.g_00208	Syad.g_02978
OG0000451	Prab.g_00209	Syad.g_02979
OG0000452	Prab.g_00212	Syad.g_02983
OG0000453	Prab.g_00213	Syad.g_02984
OG0000454	Prab.g_00214	Syad.g_02985
OG0000455	Prab.g_00215	Syad.g_02986
OG0000456	Prab.g_00216	Syad.g_02987
OG0000457	Prab.g_00217	Syad.g_02989
OG0000458	Prab.g_00218	Syad.g_02998
OG0000459	Prab.g_00219	Syad.g_02999
OG0000460	Prab.g_00226	Syad.g_00815
OG0000461	Prab.g_00232	Syad.g_00579
OG0000462	Prab.g_00234	Syad.g_00576
OG0000463	Prab.g_00235	Syad.g_00575
OG0000464	Prab.g_00236	Syad.g_00574
OG0000465	Prab.g_00237	Syad.g_00573
OG0000466	Prab.g_00240	Syad.g_00568
OG0000467	Prab.g_00241	Syad.g_00566
OG0000468	Prab.g_00243	Syad.g_00561
OG0000469	Prab.g_00251	Syad.g_00545
OG0000470	Prab.g_00253	Syad.g_00542
OG0000471	Prab.g_00254	Syad.g_00541
OG0000472	Prab.g_00255	Syad.g_00539
OG0000473	Prab.g_00257	Syad.g_00537
OG0000474	Prab.g_00258	Syad.g_00536
OG0000475	Prab.g_00259	Syad.g_00535
OG0000476	Prab.g_00260	Syad.g_00533
OG0000477	Prab.g_00263	Syad.g_00528
OG0000478	Prab.g_00264	Syad.g_00527
OG0000479	Prab.g_00265	Syad.g_00526
OG0000480	Prab.g_00270	Syad.g_00520
OG0000481	Prab.g_00272	Syad.g_00518
OG0000482	Prab.g_00273	Syad.g_00517
OG0000483	Prab.g_00276	Syad.g_00513
OG0000484	Prab.g_00277	Syad.g_00512
OG0000485	Prab.g_00278	Syad.g_00511
OG0000486	Prab.g_00279	Syad.g_00510
OG0000487	Prab.g_00283	Syad.g_00503
OG0000488	Prab.g_00286	Syad.g_00499
OG0000489	Prab.g_00291	Syad.g_00487
OG0000490	Prab.g_00296	Syad.g_00475
OG0000491	Prab.g_00297	Syad.g_00474
OG0000492	Prab.g_00299	Syad.g_00472
OG0000493	Prab.g_00300	Syad.g_00471
OG0000494	Prab.g_00301	Syad.g_00470
OG0000495	Prab.g_00302	Syad.g_00469
OG0000496	Prab.g_00303	Syad.g_00468
OG0000497	Prab.g_00304	Syad.g_00467
OG0000498	Prab.g_00305	Syad.g_00466
OG0000499	Prab.g_00306	Syad.g_00465
OG0000500	Prab.g_00307	Syad.g_00464
OG0000501	Prab.g_00309	Syad.g_00461
OG0000502	Prab.g_00312	Syad.g_00449
OG0000503	Prab.g_00322	Syad.g_00761
OG0000504	Prab.g_00323	Syad.g_00763
OG0000505	Prab.g_00324	Syad.g_00764
OG0000506	Prab.g_00325	Syad.g_00766
OG0000507	Prab.g_00328	Syad.g_00772
OG0000508	Prab.g_00332	Syad.g_00776
OG0000509	Prab.g_00334	Syad.g_00778
OG0000510	Prab.g_00335	Syad.g_00779
OG0000511	Prab.g_00336	Syad.g_00780
OG0000512	Prab.g_00338	Syad.g_00782
OG0000513	Prab.g_00345	Syad.g_00789
OG0000514	Prab.g_00434	Syad.g_00795
OG0000515	Prab.g_00435	Syad.g_00796
OG0000516	Prab.g_00436	Syad.g_02456
OG0000517	Prab.g_00438	Syad.g_02451
OG0000518	Prab.g_00449	Syad.g_02439
OG0000519	Prab.g_00450	Syad.g_02438
OG0000520	Prab.g_00454	Syad.g_02437
OG0000521	Prab.g_00459	Syad.g_01108
OG0000522	Prab.g_00460	Syad.g_01109
OG0000523	Prab.g_00461	Syad.g_01110
OG0000524	Prab.g_00466	Syad.g_02386
OG0000525	Prab.g_00469	Syad.g_02363
OG0000526	Prab.g_00470	Syad.g_02360
OG0000527	Prab.g_00477	Syad.g_02355
OG0000528	Prab.g_00482	Syad.g_00897
OG0000529	Prab.g_00485	Syad.g_00905
OG0000530	Prab.g_00488	Syad.g_00908
OG0000531	Prab.g_00489	Syad.g_00909
OG0000532	Prab.g_00491	Syad.g_00912
OG0000533	Prab.g_00492	Syad.g_00913
OG0000534	Prab.g_00493	Syad.g_00914
OG0000535	Prab.g_00494	Syad.g_00915
OG0000536	Prab.g_00495	Syad.g_00916
OG0000537	Prab.g_00496	Syad.g_00917
OG0000538	Prab.g_00504	Syad.g_00929
OG0000539	Prab.g_00505	Syad.g_00930
OG0000540	Prab.g_00506	Syad.g_00931
OG0000541	Prab.g_00507	Syad.g_00932
OG0000542	Prab.g_00509	Syad.g_00935
OG0000543	Prab.g_00511	Syad.g_00937
OG0000544	Prab.g_00512	Syad.g_00938
OG0000545	Prab.g_00514	Syad.g_00940
OG0000546	Prab.g_00517	Syad.g_00942
OG0000547	Prab.g_00519	Syad.g_00944
OG0000548	Prab.g_00520	Syad.g_00945
OG0000549	Prab.g_00522	Syad.g_00952
OG0000550	Prab.g_00527	Syad.g_00956
OG0000551	Prab.g_00531	Syad.g_00960
OG0000552	Prab.g_00532	Syad.g_00961
OG0000553	Prab.g_00533	Syad.g_00965
OG0000554	Prab.g_00538	Syad.g_00978
OG0000555	Prab.g_00546	Syad.g_00999
OG0000556	Prab.g_00548	Syad.g_01003
OG0000557	Prab.g_00549	Syad.g_01011
OG0000558	Prab.g_00551	Syad.g_01013
OG0000559	Prab.g_00555	Syad.g_01016
OG0000560	Prab.g_00558	Syad.g_01019
OG0000561	Prab.g_00559	Syad.g_01020
OG0000562	Prab.g_00560	Syad.g_01021
OG0000563	Prab.g_00561	Syad.g_01022
OG0000564	Prab.g_00562	Syad.g_01023
OG0000565	Prab.g_00565	Syad.g_01027
OG0000566	Prab.g_00568	Syad.g_01031
OG0000567	Prab.g_00572	Syad.g_01035
OG0000568	Prab.g_00573	Syad.g_01040
OG0000569	Prab.g_00574	Syad.g_01041
OG0000570	Prab.g_00575	Syad.g_01042
OG0000571	Prab.g_00577	Syad.g_01046
OG0000572	Prab.g_00590	Syad.g_01064
OG0000573	Prab.g_00596	Syad.g_01072
OG0000574	Prab.g_00597	Syad.g_01077
OG0000575	Prab.g_00601	Syad.g_01083
OG0000576	Prab.g_00603	Syad.g_01085
OG0000577	Prab.g_00604	Syad.g_01086
OG0000578	Prab.g_00605	Syad.g_01087
OG0000579	Prab.g_00606	Syad.g_01088
OG0000580	Prab.g_00607	Syad.g_01089
