Orthogroup	Prab	Syam
OG0000062	Prab.g_01544	Syam.g_01972
OG0000063	Prab.g_00033	Syam.g_00039
OG0000065	Prab.g_00098	Syam.g_02121
OG0000066	Prab.g_00543	Syam.g_00552, Syam.g_00662
OG0000067	Prab.g_00840	Syam.g_01290
OG0000068	Prab.g_01360	Syam.g_00575
OG0000069	Prab.g_01585	Syam.g_01521
OG0000070	Prab.g_00456	Syam.g_01847
OG0000071	Prab.g_01637, Prab.g_01326	Syam.g_01830
OG0000072	Prab.g_00162	Syam.g_02219
OG0000073	Prab.g_00503	Syam.g_00604
OG0000074	Prab.g_00687	Syam.g_00533
OG0000075	Prab.g_01834	Syam.g_00148
OG0000076	Prab.g_01857	Syam.g_00115
OG0000077	Prab.g_00070	Syam.g_02074
OG0000078	Prab.g_00229	Syam.g_00514
OG0000079	Prab.g_00242	Syam.g_00270
OG0000081	Prab.g_00535	Syam.g_00520, Syam.g_01918
OG0000082	Prab.g_00589	Syam.g_01730
OG0000084	Prab.g_01462	Syam.g_00441
OG0000085	Prab.g_01662	Syam.g_01979
OG0000086	Prab.g_00080	Syam.g_02092
OG0000087	Prab.g_00129	Syam.g_02175
OG0000088	Prab.g_00157	Syam.g_02213
OG0000089	Prab.g_00343	Syam.g_00489
OG0000090	Prab.g_00537	Syam.g_00651
OG0000091	Prab.g_00647	Syam.g_01460
OG0000093	Prab.g_01042	Syam.g_01305
OG0000094	Prab.g_00948	Syam.g_01198
OG0000095	Prab.g_01299	Syam.g_00774
OG0000097	Prab.g_01260	Syam.g_00874
OG0000098	Prab.g_01346	Syam.g_00944
OG0000099	Prab.g_01394	Syam.g_00173
OG0000100	Prab.g_01540	Syam.g_01259
OG0000101	Prab.g_01802	Syam.g_00371
OG0000102	Prab.g_01862	Syam.g_00110
OG0000103	Prab.g_01942	Syam.g_02428
OG0000104	Prab.g_01951	Syam.g_02442
OG0000105	Prab.g_00262	Syam.g_00238
OG0000106	Prab.g_00359	Syam.g_01039
OG0000107	Prab.g_00375	Syam.g_00288
OG0000108	Prab.g_00484	Syam.g_00583
OG0000109	Prab.g_00498	Syam.g_00598
OG0000110	Prab.g_00579	Syam.g_01743
OG0000111	Prab.g_00704	Syam.g_00783
OG0000112	Prab.g_00804	Syam.g_01115
OG0000113	Prab.g_00862	Syam.g_01264
OG0000114	Prab.g_01068	Syam.g_01349
OG0000115	Prab.g_01156	Syam.g_01634
OG0000116	Prab.g_01209	Syam.g_01807
OG0000117	Prab.g_00717	Syam.g_00904
OG0000118	Prab.g_01338	Syam.g_01698
OG0000120	Prab.g_01447	Syam.g_00172
OG0000121	Prab.g_01468	Syam.g_01615
OG0000122	Prab.g_01506	Syam.g_01436
OG0000123	Prab.g_01809	Syam.g_00379
OG0000124	Prab.g_01873	Syam.g_00096
OG0000125	Prab.g_01910	Syam.g_02319
OG0000126	Prab.g_01950	Syam.g_02440
OG0000128	Prab.g_00011	Syam.g_00012
OG0000129	Prab.g_00043	Syam.g_02307
OG0000130	Prab.g_00061	Syam.g_02062
OG0000131	Prab.g_00136	Syam.g_02191
OG0000132	Prab.g_00155	Syam.g_02211
OG0000133	Prab.g_00310	Syam.g_01120
OG0000134	Prab.g_00344	Syam.g_00492
OG0000135	Prab.g_00371	Syam.g_02347
OG0000136	Prab.g_00444	Syam.g_01857
OG0000137	Prab.g_00479	Syam.g_01668
OG0000138	Prab.g_00499	Syam.g_00599
OG0000139	Prab.g_00541	Syam.g_00657
OG0000140	Prab.g_00542	Syam.g_00659
OG0000141	Prab.g_00611	Syam.g_01514
OG0000142	Prab.g_00640	Syam.g_01468
OG0000143	Prab.g_00644	Syam.g_01464
OG0000144	Prab.g_00657	Syam.g_01032
OG0000145	Prab.g_00783	Syam.g_00605
OG0000146	Prab.g_00805	Syam.g_01114
OG0000147	Prab.g_00806	Syam.g_01113
OG0000148	Prab.g_00856	Syam.g_01270
OG0000149	Prab.g_00886	Syam.g_00725
OG0000150	Prab.g_00894	Syam.g_00660
OG0000151	Prab.g_01058	Syam.g_01338
OG0000152	Prab.g_01010	Syam.g_01124
OG0000153	Prab.g_00991	Syam.g_01160
OG0000154	Prab.g_00955	Syam.g_01187
OG0000155	Prab.g_01239	Syam.g_01763
OG0000156	Prab.g_01315	Syam.g_01814
OG0000157	Prab.g_01316	Syam.g_01815
OG0000158	Prab.g_01379	Syam.g_00139
OG0000160	Prab.g_01467	Syam.g_01614
OG0000161	Prab.g_01473	Syam.g_01620
OG0000162	Prab.g_01479	Syam.g_01627
OG0000163	Prab.g_01513	Syam.g_01927
OG0000164	Prab.g_01693	Syam.g_02023
OG0000165	Prab.g_01700	Syam.g_01879, Syam.g_01878
OG0000166	Prab.g_01766	Syam.g_00330
OG0000167	Prab.g_01832	Syam.g_00151
OG0000168	Prab.g_01841	Syam.g_00138
OG0000169	Prab.g_01851	Syam.g_00127
OG0000170	Prab.g_01853	Syam.g_00120
OG0000171	Prab.g_01872	Syam.g_00097
OG0000172	Prab.g_01881	Syam.g_00075
OG0000173	Prab.g_01896	Syam.g_00057
OG0000174	Prab.g_01924	Syam.g_02349
OG0000175	Prab.g_01934	Syam.g_02417
OG0000176	Prab.g_00004	Syam.g_00004
OG0000177	Prab.g_00005	Syam.g_00005
OG0000178	Prab.g_00006	Syam.g_00006
OG0000179	Prab.g_00016	Syam.g_00021
OG0000180	Prab.g_00017	Syam.g_00022
OG0000181	Prab.g_00018	Syam.g_00023
OG0000182	Prab.g_00019	Syam.g_00024
OG0000183	Prab.g_00023	Syam.g_00028
OG0000184	Prab.g_00045	Syam.g_02298
OG0000185	Prab.g_00048	Syam.g_02295
OG0000186	Prab.g_00056	Syam.g_02058
OG0000187	Prab.g_00057	Syam.g_02059
OG0000188	Prab.g_00074	Syam.g_02081
OG0000189	Prab.g_00087	Syam.g_02108
OG0000190	Prab.g_00088	Syam.g_02110
OG0000191	Prab.g_00108	Syam.g_02142
OG0000192	Prab.g_00112	Syam.g_02148
OG0000193	Prab.g_00137	Syam.g_02192
OG0000194	Prab.g_00140	Syam.g_02195
OG0000195	Prab.g_00142	Syam.g_02197
OG0000196	Prab.g_00152	Syam.g_02208
OG0000197	Prab.g_00153	Syam.g_02209
OG0000198	Prab.g_00154	Syam.g_02210
OG0000199	Prab.g_00161	Syam.g_02218
OG0000200	Prab.g_00175	Syam.g_02234
OG0000201	Prab.g_00183	Syam.g_02248
OG0000202	Prab.g_00184	Syam.g_02249
OG0000203	Prab.g_00185	Syam.g_02250
OG0000204	Prab.g_00186	Syam.g_02251
OG0000205	Prab.g_00193	Syam.g_02258
OG0000206	Prab.g_00198	Syam.g_02264
OG0000207	Prab.g_00200	Syam.g_02266
OG0000208	Prab.g_00201	Syam.g_02267
OG0000209	Prab.g_00210	Syam.g_02278
OG0000210	Prab.g_00211	Syam.g_02279
OG0000211	Prab.g_00224	Syam.g_00504
OG0000212	Prab.g_00230	Syam.g_00515
OG0000213	Prab.g_00247	Syam.g_00263
OG0000214	Prab.g_00256	Syam.g_00247
OG0000215	Prab.g_00280	Syam.g_00216
OG0000216	Prab.g_00282	Syam.g_00212
OG0000217	Prab.g_00285	Syam.g_00208
OG0000218	Prab.g_00287	Syam.g_00206
OG0000219	Prab.g_00288	Syam.g_00205
OG0000220	Prab.g_00289	Syam.g_00204
OG0000221	Prab.g_00290	Syam.g_00198
OG0000222	Prab.g_00298	Syam.g_00186
OG0000223	Prab.g_00311	Syam.g_00168
OG0000224	Prab.g_00313	Syam.g_00164
OG0000225	Prab.g_00333	Syam.g_00473
OG0000226	Prab.g_00337	Syam.g_00477
OG0000227	Prab.g_00339	Syam.g_00479
OG0000228	Prab.g_00342	Syam.g_00488
OG0000229	Prab.g_00439	Syam.g_01867
OG0000230	Prab.g_00441	Syam.g_01865
OG0000231	Prab.g_00455	Syam.g_01848
OG0000232	Prab.g_00463	Syam.g_01692
OG0000233	Prab.g_00468	Syam.g_01678
OG0000234	Prab.g_00480	Syam.g_01667
OG0000235	Prab.g_00483	Syam.g_00582
OG0000236	Prab.g_00497	Syam.g_00597
OG0000237	Prab.g_00510	Syam.g_00614
OG0000238	Prab.g_00516	Syam.g_00619
OG0000239	Prab.g_00529	Syam.g_00637
OG0000240	Prab.g_00530	Syam.g_00638
OG0000241	Prab.g_00534	Syam.g_01477
OG0000242	Prab.g_00536	Syam.g_00649
OG0000243	Prab.g_00547	Syam.g_00668
OG0000244	Prab.g_00550	Syam.g_00674
OG0000245	Prab.g_00552	Syam.g_00676
OG0000246	Prab.g_00556	Syam.g_00680
OG0000247	Prab.g_00566	Syam.g_00692
OG0000248	Prab.g_00569	Syam.g_00695
OG0000249	Prab.g_00571	Syam.g_00697
OG0000250	Prab.g_00576	Syam.g_01747
OG0000251	Prab.g_00595	Syam.g_01722
OG0000252	Prab.g_00598	Syam.g_01719
OG0000253	Prab.g_00599	Syam.g_01718
OG0000254	Prab.g_00615	Syam.g_01510
OG0000255	Prab.g_00621	Syam.g_01500
OG0000256	Prab.g_00632	Syam.g_01484
OG0000257	Prab.g_00635	Syam.g_01478
OG0000258	Prab.g_00648	Syam.g_01459
OG0000259	Prab.g_00665	Syam.g_01378
OG0000260	Prab.g_00668	Syam.g_01375
OG0000261	Prab.g_00670	Syam.g_01372
OG0000262	Prab.g_00674	Syam.g_01367
OG0000263	Prab.g_00686	Syam.g_00885
OG0000264	Prab.g_00696	Syam.g_00805
OG0000265	Prab.g_00723	Syam.g_01880
OG0000266	Prab.g_00733	Syam.g_01234
OG0000267	Prab.g_00744	Syam.g_01071
OG0000268	Prab.g_00745	Syam.g_01072
OG0000269	Prab.g_00835	Syam.g_01295
OG0000270	Prab.g_00838	Syam.g_01292
OG0000271	Prab.g_00846	Syam.g_01284
OG0000272	Prab.g_00847	Syam.g_01283
OG0000273	Prab.g_00870	Syam.g_00745
OG0000274	Prab.g_00871	Syam.g_00744
OG0000275	Prab.g_00873	Syam.g_00741
OG0000276	Prab.g_00878	Syam.g_00733
OG0000277	Prab.g_00879	Syam.g_00732
OG0000278	Prab.g_00882	Syam.g_00729
OG0000279	Prab.g_00889	Syam.g_00721
OG0000280	Prab.g_00890	Syam.g_00701
OG0000281	Prab.g_00896	Syam.g_00943
OG0000282	Prab.g_01066	Syam.g_01347
OG0000283	Prab.g_01033	Syam.g_01087
OG0000284	Prab.g_01028	Syam.g_01093
OG0000285	Prab.g_01023	Syam.g_01105
OG0000286	Prab.g_01011	Syam.g_01123
OG0000287	Prab.g_00994	Syam.g_01153
OG0000288	Prab.g_00956	Syam.g_01186
OG0000289	Prab.g_00945	Syam.g_01201
OG0000290	Prab.g_00932	Syam.g_00771
OG0000291	Prab.g_00930	Syam.g_00773
OG0000292	Prab.g_01144	Syam.g_02439
OG0000293	Prab.g_01210	Syam.g_01806
OG0000294	Prab.g_01211	Syam.g_01805
OG0000295	Prab.g_01231	Syam.g_01771
OG0000296	Prab.g_01233	Syam.g_01769
OG0000297	Prab.g_01241	Syam.g_00906
OG0000298	Prab.g_01242	Syam.g_00905
OG0000299	Prab.g_01259	Syam.g_00878
OG0000300	Prab.g_01262	Syam.g_00871
OG0000301	Prab.g_01263	Syam.g_00870
OG0000302	Prab.g_01265	Syam.g_00868
OG0000303	Prab.g_01272	Syam.g_00859
OG0000304	Prab.g_01276	Syam.g_00853
OG0000305	Prab.g_01353	Syam.g_00776
OG0000306	Prab.g_01355	Syam.g_01757
OG0000307	Prab.g_01369	Syam.g_00566
OG0000308	Prab.g_01370	Syam.g_00564
OG0000309	Prab.g_01374	Syam.g_00559
OG0000310	Prab.g_01451	Syam.g_01591
OG0000311	Prab.g_01453	Syam.g_01595
OG0000312	Prab.g_01456	Syam.g_01601
OG0000313	Prab.g_01470	Syam.g_01617
OG0000314	Prab.g_01493	Syam.g_01647
OG0000315	Prab.g_01503	Syam.g_01658
OG0000316	Prab.g_01523	Syam.g_01945
OG0000317	Prab.g_01667	Syam.g_01987
OG0000318	Prab.g_01670	Syam.g_01991
OG0000319	Prab.g_01683	Syam.g_02006
OG0000320	Prab.g_01685	Syam.g_02008
OG0000321	Prab.g_01686	Syam.g_02009
OG0000322	Prab.g_01687	Syam.g_02010
OG0000323	Prab.g_01696	Syam.g_02025
OG0000324	Prab.g_01722	Syam.g_01906
OG0000325	Prab.g_01732	Syam.g_00289
OG0000326	Prab.g_01738	Syam.g_00296
OG0000327	Prab.g_01761	Syam.g_00325
OG0000328	Prab.g_01762	Syam.g_00326
OG0000329	Prab.g_01779	Syam.g_00344
OG0000330	Prab.g_01780	Syam.g_00345
OG0000331	Prab.g_01781	Syam.g_00346
OG0000332	Prab.g_01795	Syam.g_00361
OG0000333	Prab.g_01797	Syam.g_00364
OG0000334	Prab.g_01805	Syam.g_00375
OG0000335	Prab.g_01810	Syam.g_00380
OG0000336	Prab.g_01814	Syam.g_00384
OG0000337	Prab.g_01830	Syam.g_00155
OG0000338	Prab.g_01831	Syam.g_00153
OG0000339	Prab.g_01835	Syam.g_00147
OG0000340	Prab.g_01842	Syam.g_00137
OG0000341	Prab.g_01844	Syam.g_00135
OG0000342	Prab.g_01845	Syam.g_00134
OG0000343	Prab.g_01846	Syam.g_00133
OG0000344	Prab.g_01849	Syam.g_00129
OG0000345	Prab.g_01854	Syam.g_00119
OG0000346	Prab.g_01858	Syam.g_00114
OG0000347	Prab.g_01874	Syam.g_00083
OG0000348	Prab.g_01884	Syam.g_00068
OG0000349	Prab.g_01901	Syam.g_00050
OG0000350	Prab.g_01920	Syam.g_00303
OG0000351	Prab.g_01937	Syam.g_02420
OG0000352	Prab.g_01938	Syam.g_02421
OG0000353	Prab.g_01954	Syam.g_02445
OG0000355	Prab.g_00001	Syam.g_00001
OG0000356	Prab.g_00002	Syam.g_00002
OG0000357	Prab.g_00003	Syam.g_00003
OG0000358	Prab.g_00007	Syam.g_00007
OG0000359	Prab.g_00008	Syam.g_00009
OG0000360	Prab.g_00009	Syam.g_00010
OG0000361	Prab.g_00010	Syam.g_00011
OG0000362	Prab.g_00012	Syam.g_00013
OG0000363	Prab.g_00014	Syam.g_00015
OG0000364	Prab.g_00015	Syam.g_00016
OG0000365	Prab.g_00020	Syam.g_00025
OG0000366	Prab.g_00021	Syam.g_00026
OG0000367	Prab.g_00022	Syam.g_00027
OG0000368	Prab.g_00024	Syam.g_00029
OG0000369	Prab.g_00025	Syam.g_00030
OG0000370	Prab.g_00026	Syam.g_00031
OG0000371	Prab.g_00032	Syam.g_00038
OG0000372	Prab.g_00035	Syam.g_00043
OG0000373	Prab.g_00036	Syam.g_00044
OG0000374	Prab.g_00037	Syam.g_00045
OG0000375	Prab.g_00039	Syam.g_00046
OG0000376	Prab.g_00041	Syam.g_00048
OG0000377	Prab.g_00044	Syam.g_02306
OG0000378	Prab.g_00046	Syam.g_02297
OG0000379	Prab.g_00049	Syam.g_02294
OG0000380	Prab.g_00058	Syam.g_02060
OG0000381	Prab.g_00062	Syam.g_02063
OG0000382	Prab.g_00073	Syam.g_02080
OG0000383	Prab.g_00075	Syam.g_02083
OG0000384	Prab.g_00076	Syam.g_02084
OG0000385	Prab.g_00077	Syam.g_02085
OG0000386	Prab.g_00078	Syam.g_02086
OG0000387	Prab.g_00090	Syam.g_02112
OG0000388	Prab.g_00093	Syam.g_02116
OG0000389	Prab.g_00097	Syam.g_02120
OG0000390	Prab.g_00104	Syam.g_02136
OG0000391	Prab.g_00107	Syam.g_02141
OG0000392	Prab.g_00111	Syam.g_02147
OG0000393	Prab.g_00113	Syam.g_02149
OG0000394	Prab.g_00114	Syam.g_02150
OG0000395	Prab.g_00115	Syam.g_02151
OG0000396	Prab.g_00117	Syam.g_02153
OG0000397	Prab.g_00119	Syam.g_02160
OG0000398	Prab.g_00121	Syam.g_02165
OG0000399	Prab.g_00122	Syam.g_02166
OG0000400	Prab.g_00123	Syam.g_02167
OG0000401	Prab.g_00124	Syam.g_02168
OG0000402	Prab.g_00126	Syam.g_02171
OG0000403	Prab.g_00127	Syam.g_02172
OG0000404	Prab.g_00128	Syam.g_02173
OG0000405	Prab.g_00132	Syam.g_02189
OG0000406	Prab.g_00138	Syam.g_02193
OG0000407	Prab.g_00139	Syam.g_02194
OG0000408	Prab.g_00141	Syam.g_02196
OG0000409	Prab.g_00143	Syam.g_02198
OG0000410	Prab.g_00144	Syam.g_02199
OG0000411	Prab.g_00145	Syam.g_02200
OG0000412	Prab.g_00146	Syam.g_02201
OG0000413	Prab.g_00147	Syam.g_02203
OG0000414	Prab.g_00148	Syam.g_02204
OG0000415	Prab.g_00149	Syam.g_02205
OG0000416	Prab.g_00150	Syam.g_02206
OG0000417	Prab.g_00151	Syam.g_02207
OG0000418	Prab.g_00156	Syam.g_02212
OG0000419	Prab.g_00158	Syam.g_02214
OG0000420	Prab.g_00159	Syam.g_02216
OG0000421	Prab.g_00164	Syam.g_02221
OG0000422	Prab.g_00165	Syam.g_02222
OG0000423	Prab.g_00166	Syam.g_02223
OG0000424	Prab.g_00167	Syam.g_02224
OG0000425	Prab.g_00168	Syam.g_02225
OG0000426	Prab.g_00169	Syam.g_02226
OG0000427	Prab.g_00170	Syam.g_02227
OG0000428	Prab.g_00172	Syam.g_02230
OG0000429	Prab.g_00173	Syam.g_02232
OG0000430	Prab.g_00174	Syam.g_02233
OG0000431	Prab.g_00176	Syam.g_02237
OG0000432	Prab.g_00179	Syam.g_02243
OG0000433	Prab.g_00180	Syam.g_02244
OG0000434	Prab.g_00181	Syam.g_02245
OG0000435	Prab.g_00182	Syam.g_02246
OG0000436	Prab.g_00187	Syam.g_02252
OG0000437	Prab.g_00188	Syam.g_02253
OG0000438	Prab.g_00189	Syam.g_02254
OG0000439	Prab.g_00191	Syam.g_02256
OG0000440	Prab.g_00192	Syam.g_02257
OG0000441	Prab.g_00195	Syam.g_02261
OG0000442	Prab.g_00196	Syam.g_02262
OG0000443	Prab.g_00197	Syam.g_02263
OG0000444	Prab.g_00202	Syam.g_02268
OG0000445	Prab.g_00203	Syam.g_02269
OG0000446	Prab.g_00204	Syam.g_02270
OG0000447	Prab.g_00205	Syam.g_02272
OG0000448	Prab.g_00206	Syam.g_02273
OG0000449	Prab.g_00207	Syam.g_02274
OG0000450	Prab.g_00208	Syam.g_02275
OG0000451	Prab.g_00209	Syam.g_02276
OG0000452	Prab.g_00212	Syam.g_02280
OG0000453	Prab.g_00213	Syam.g_02281
OG0000454	Prab.g_00214	Syam.g_02282
OG0000455	Prab.g_00215	Syam.g_02283
OG0000456	Prab.g_00216	Syam.g_02284
OG0000457	Prab.g_00217	Syam.g_02286
OG0000458	Prab.g_00218	Syam.g_02287
OG0000459	Prab.g_00219	Syam.g_02288
OG0000460	Prab.g_00226	Syam.g_00506
OG0000461	Prab.g_00232	Syam.g_00284
OG0000462	Prab.g_00234	Syam.g_00281
OG0000463	Prab.g_00235	Syam.g_00280
OG0000464	Prab.g_00236	Syam.g_00279
OG0000465	Prab.g_00237	Syam.g_00277
OG0000466	Prab.g_00240	Syam.g_00273
OG0000467	Prab.g_00241	Syam.g_00271
OG0000468	Prab.g_00243	Syam.g_00266
OG0000469	Prab.g_00251	Syam.g_00253
OG0000470	Prab.g_00253	Syam.g_00251
OG0000471	Prab.g_00254	Syam.g_00250
OG0000472	Prab.g_00255	Syam.g_00248
OG0000473	Prab.g_00257	Syam.g_00246
OG0000474	Prab.g_00258	Syam.g_00245
OG0000475	Prab.g_00259	Syam.g_00244
OG0000476	Prab.g_00260	Syam.g_00242
OG0000477	Prab.g_00263	Syam.g_00236
OG0000478	Prab.g_00264	Syam.g_00235
OG0000479	Prab.g_00265	Syam.g_00234
OG0000480	Prab.g_00270	Syam.g_00227
OG0000481	Prab.g_00272	Syam.g_00225
OG0000482	Prab.g_00273	Syam.g_00224
OG0000483	Prab.g_00276	Syam.g_00220
OG0000484	Prab.g_00277	Syam.g_00219
OG0000485	Prab.g_00278	Syam.g_00218
OG0000486	Prab.g_00279	Syam.g_00217
OG0000487	Prab.g_00283	Syam.g_00211
OG0000488	Prab.g_00286	Syam.g_00207
OG0000489	Prab.g_00291	Syam.g_00197
OG0000490	Prab.g_00296	Syam.g_00189
OG0000491	Prab.g_00297	Syam.g_00187
OG0000492	Prab.g_00299	Syam.g_00185
OG0000493	Prab.g_00300	Syam.g_00184
OG0000494	Prab.g_00301	Syam.g_00183
OG0000495	Prab.g_00302	Syam.g_00182
OG0000496	Prab.g_00303	Syam.g_00181
OG0000497	Prab.g_00304	Syam.g_00180
OG0000498	Prab.g_00305	Syam.g_00179
OG0000499	Prab.g_00306	Syam.g_00178
OG0000500	Prab.g_00307	Syam.g_00177
OG0000501	Prab.g_00309	Syam.g_00174
OG0000502	Prab.g_00312	Syam.g_00165
OG0000503	Prab.g_00322	Syam.g_00457
OG0000504	Prab.g_00323	Syam.g_00459
OG0000505	Prab.g_00324	Syam.g_00460
OG0000506	Prab.g_00325	Syam.g_00462
OG0000507	Prab.g_00328	Syam.g_00468
OG0000508	Prab.g_00332	Syam.g_00472
OG0000509	Prab.g_00334	Syam.g_00474
OG0000510	Prab.g_00335	Syam.g_00475
OG0000511	Prab.g_00336	Syam.g_00476
OG0000512	Prab.g_00338	Syam.g_00478
OG0000513	Prab.g_00345	Syam.g_00493
OG0000514	Prab.g_00434	Syam.g_00499
OG0000515	Prab.g_00435	Syam.g_00500
OG0000516	Prab.g_00436	Syam.g_01862
OG0000517	Prab.g_00438	Syam.g_01868
OG0000518	Prab.g_00449	Syam.g_01851
OG0000519	Prab.g_00450	Syam.g_01850
OG0000520	Prab.g_00454	Syam.g_01849
OG0000521	Prab.g_00459	Syam.g_01696
OG0000522	Prab.g_00460	Syam.g_01694
OG0000523	Prab.g_00461	Syam.g_01693
OG0000524	Prab.g_00466	Syam.g_01681
OG0000525	Prab.g_00469	Syam.g_01677
OG0000526	Prab.g_00470	Syam.g_01674
OG0000527	Prab.g_00477	Syam.g_01670
OG0000528	Prab.g_00482	Syam.g_00580
OG0000529	Prab.g_00485	Syam.g_00584
OG0000530	Prab.g_00488	Syam.g_00587
OG0000531	Prab.g_00489	Syam.g_00588
OG0000532	Prab.g_00491	Syam.g_00591
OG0000533	Prab.g_00492	Syam.g_00592
OG0000534	Prab.g_00493	Syam.g_00593
OG0000535	Prab.g_00494	Syam.g_00594
OG0000536	Prab.g_00495	Syam.g_00595
OG0000537	Prab.g_00496	Syam.g_00596
OG0000538	Prab.g_00504	Syam.g_00607
OG0000539	Prab.g_00505	Syam.g_00608
OG0000540	Prab.g_00506	Syam.g_00609
OG0000541	Prab.g_00507	Syam.g_00610
OG0000542	Prab.g_00509	Syam.g_00613
OG0000543	Prab.g_00511	Syam.g_00615
OG0000544	Prab.g_00512	Syam.g_00616
OG0000545	Prab.g_00514	Syam.g_00618
OG0000546	Prab.g_00517	Syam.g_00620
OG0000547	Prab.g_00519	Syam.g_00622
OG0000548	Prab.g_00520	Syam.g_00623
OG0000549	Prab.g_00522	Syam.g_00630
OG0000550	Prab.g_00527	Syam.g_00635
OG0000551	Prab.g_00531	Syam.g_00640
OG0000552	Prab.g_00532	Syam.g_00641
OG0000553	Prab.g_00533	Syam.g_00643
OG0000554	Prab.g_00538	Syam.g_00652
OG0000555	Prab.g_00546	Syam.g_00667
OG0000556	Prab.g_00548	Syam.g_00670
OG0000557	Prab.g_00549	Syam.g_00672
OG0000558	Prab.g_00551	Syam.g_00675
OG0000559	Prab.g_00555	Syam.g_00679
OG0000560	Prab.g_00558	Syam.g_00682
OG0000561	Prab.g_00559	Syam.g_00683
OG0000562	Prab.g_00560	Syam.g_00684
OG0000563	Prab.g_00561	Syam.g_00685
OG0000564	Prab.g_00562	Syam.g_00686
OG0000565	Prab.g_00565	Syam.g_00690
OG0000566	Prab.g_00568	Syam.g_00694
OG0000567	Prab.g_00572	Syam.g_00698
OG0000568	Prab.g_00573	Syam.g_01751
OG0000569	Prab.g_00574	Syam.g_01750
OG0000570	Prab.g_00575	Syam.g_01749
OG0000571	Prab.g_00577	Syam.g_01745
OG0000572	Prab.g_00590	Syam.g_01729
OG0000573	Prab.g_00596	Syam.g_01721
OG0000574	Prab.g_00597	Syam.g_01720
OG0000575	Prab.g_00601	Syam.g_01716
OG0000576	Prab.g_00603	Syam.g_01714
OG0000577	Prab.g_00604	Syam.g_01713
OG0000578	Prab.g_00605	Syam.g_01712
OG0000579	Prab.g_00606	Syam.g_01711
OG0000580	Prab.g_00607	Syam.g_01710
OG0000581	Prab.g_00609	Syam.g_01704
OG0000582	Prab.g_00612	Syam.g_01513
OG0000583	Prab.g_00613	Syam.g_01512
OG0000584	Prab.g_00614	Syam.g_01511
OG0000585	Prab.g_00616	Syam.g_01509
OG0000586	Prab.g_00617	Syam.g_01508
OG0000587	Prab.g_00618	Syam.g_01506
OG0000588	Prab.g_00622	Syam.g_01498
