Orthogroup	Prab	Syas
OG0000067	Prab.g_00840	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Prab.g_01360	Syas.g_00969, Syas.g_01261
OG0000069	Prab.g_01585	Syas.g_00779, Syas.g_00876
OG0000070	Prab.g_00456	Syas.g_00173
OG0000071	Prab.g_01637, Prab.g_01326	Syas.g_02854
OG0000072	Prab.g_00162	Syas.g_02326, Syas.g_01524
OG0000073	Prab.g_00503	Syas.g_00358, Syas.g_00264, Syas.g_01230
OG0000075	Prab.g_01834	Syas.g_01921, Syas.g_02194
OG0000076	Prab.g_01857	Syas.g_02156
OG0000077	Prab.g_00070	Syas.g_02510
OG0000078	Prab.g_00229	Syas.g_02561, Syas.g_02308
OG0000079	Prab.g_00242	Syas.g_01699
OG0000080	Prab.g_01404, Prab.g_01406	Syas.g_02616, Syas.g_02149
OG0000081	Prab.g_00535	Syas.g_00391
OG0000082	Prab.g_00589	Syas.g_00837
OG0000085	Prab.g_01662	Syas.g_02695
OG0000086	Prab.g_00080	Syas.g_02470
OG0000087	Prab.g_00129	Syas.g_02374
OG0000089	Prab.g_00343	Syas.g_01512
OG0000090	Prab.g_00537	Syas.g_00062
OG0000091	Prab.g_00647	Syas.g_00907, Syas.g_00146
OG0000094	Prab.g_00948	Syas.g_00208, Syas.g_01716
OG0000095	Prab.g_01299	Syas.g_01021
OG0000097	Prab.g_01260	Syas.g_00114, Syas.g_01443
OG0000098	Prab.g_01346	Syas.g_00091
OG0000099	Prab.g_01394	Syas.g_01826
OG0000100	Prab.g_01540	Syas.g_00567
OG0000101	Prab.g_01802	Syas.g_01589
OG0000102	Prab.g_01862	Syas.g_02152, Syas.g_01395
OG0000103	Prab.g_01942	Syas.g_02009
OG0000104	Prab.g_01951	Syas.g_02027, Syas.g_02026
OG0000105	Prab.g_00262	Syas.g_01739
OG0000106	Prab.g_00359	Syas.g_01451
OG0000107	Prab.g_00375	Syas.g_01669
OG0000108	Prab.g_00484	Syas.g_01253
OG0000109	Prab.g_00498	Syas.g_01236
OG0000110	Prab.g_00579	Syas.g_00359, Syas.g_00818
OG0000111	Prab.g_00704	Syas.g_01037
OG0000112	Prab.g_00804	Syas.g_00452
OG0000113	Prab.g_00862	Syas.g_00571
OG0000114	Prab.g_01068	Syas.g_00252, Syas.g_00674
OG0000115	Prab.g_01156	Syas.g_02548, Syas.g_01285
OG0000116	Prab.g_01209	Syas.g_01198, Syas.g_00317
OG0000117	Prab.g_00717	Syas.g_01122
OG0000118	Prab.g_01338	Syas.g_02835
OG0000120	Prab.g_01447	Syas.g_01828
OG0000121	Prab.g_01468	Syas.g_02821
OG0000122	Prab.g_01506	Syas.g_00393
OG0000123	Prab.g_01809	Syas.g_01582
OG0000124	Prab.g_01873	Syas.g_02137
OG0000125	Prab.g_01910	Syas.g_01889
OG0000126	Prab.g_01950	Syas.g_01992
OG0000128	Prab.g_00011	Syas.g_02046
OG0000129	Prab.g_00043	Syas.g_01880
OG0000130	Prab.g_00061	Syas.g_02522
OG0000131	Prab.g_00136	Syas.g_02367
OG0000132	Prab.g_00155	Syas.g_02334
OG0000133	Prab.g_00310	Syas.g_00457
OG0000134	Prab.g_00344	Syas.g_01509
OG0000135	Prab.g_00371	Syas.g_01938
OG0000136	Prab.g_00444	Syas.g_02740
OG0000137	Prab.g_00479	Syas.g_01333
OG0000138	Prab.g_00499	Syas.g_01235
OG0000139	Prab.g_00541	Syas.g_00069
OG0000140	Prab.g_00542	Syas.g_00090
OG0000141	Prab.g_00611	Syas.g_00875
OG0000142	Prab.g_00640	Syas.g_00746
OG0000143	Prab.g_00644	Syas.g_00742
OG0000144	Prab.g_00657	Syas.g_00718
OG0000145	Prab.g_00783	Syas.g_00948
OG0000146	Prab.g_00805	Syas.g_00451
OG0000147	Prab.g_00806	Syas.g_00450
OG0000148	Prab.g_00856	Syas.g_00577
OG0000149	Prab.g_00886	Syas.g_00282
OG0000150	Prab.g_00894	Syas.g_00874
OG0000151	Prab.g_01058	Syas.g_00148, Syas.g_00659
OG0000152	Prab.g_01010	Syas.g_00461
OG0000153	Prab.g_00991	Syas.g_00543
OG0000154	Prab.g_00955	Syas.g_00219
OG0000155	Prab.g_01239	Syas.g_01131
OG0000156	Prab.g_01315	Syas.g_01206
OG0000157	Prab.g_01316	Syas.g_01207
OG0000158	Prab.g_01379	Syas.g_02185
OG0000160	Prab.g_01467	Syas.g_02820
OG0000161	Prab.g_01473	Syas.g_02826
OG0000162	Prab.g_01479	Syas.g_02751
OG0000163	Prab.g_01513	Syas.g_01488
OG0000164	Prab.g_01693	Syas.g_02648
OG0000165	Prab.g_01700	Syas.g_02609
OG0000166	Prab.g_01766	Syas.g_01629
OG0000167	Prab.g_01832	Syas.g_01449
OG0000168	Prab.g_01841	Syas.g_02184
OG0000169	Prab.g_01851	Syas.g_02170
OG0000170	Prab.g_01853	Syas.g_02161
OG0000171	Prab.g_01872	Syas.g_02139
OG0000172	Prab.g_01881	Syas.g_02110
OG0000173	Prab.g_01896	Syas.g_02092
OG0000174	Prab.g_01924	Syas.g_01940
OG0000175	Prab.g_01934	Syas.g_01994
OG0000176	Prab.g_00004	Syas.g_02038
OG0000177	Prab.g_00005	Syas.g_02039
OG0000178	Prab.g_00006	Syas.g_02040
OG0000179	Prab.g_00016	Syas.g_02054
OG0000180	Prab.g_00017	Syas.g_02055
OG0000181	Prab.g_00018	Syas.g_02056
OG0000182	Prab.g_00019	Syas.g_02057
OG0000183	Prab.g_00023	Syas.g_02061
OG0000184	Prab.g_00045	Syas.g_01872
OG0000185	Prab.g_00048	Syas.g_01861
OG0000186	Prab.g_00056	Syas.g_02525
OG0000187	Prab.g_00057	Syas.g_02524
OG0000188	Prab.g_00074	Syas.g_02502
OG0000189	Prab.g_00087	Syas.g_02432
OG0000190	Prab.g_00088	Syas.g_00133
OG0000191	Prab.g_00108	Syas.g_02400
OG0000192	Prab.g_00112	Syas.g_02395
OG0000193	Prab.g_00137	Syas.g_02366
OG0000194	Prab.g_00140	Syas.g_02363
OG0000195	Prab.g_00142	Syas.g_02360
OG0000196	Prab.g_00152	Syas.g_02337
OG0000197	Prab.g_00153	Syas.g_02336
OG0000198	Prab.g_00154	Syas.g_02335
OG0000199	Prab.g_00161	Syas.g_02327
OG0000200	Prab.g_00175	Syas.g_02298
OG0000201	Prab.g_00183	Syas.g_02279
OG0000202	Prab.g_00184	Syas.g_02278
OG0000203	Prab.g_00185	Syas.g_02277
OG0000204	Prab.g_00186	Syas.g_02276
OG0000205	Prab.g_00193	Syas.g_02267
OG0000206	Prab.g_00198	Syas.g_02240
OG0000207	Prab.g_00200	Syas.g_02237
OG0000208	Prab.g_00201	Syas.g_02236
OG0000209	Prab.g_00210	Syas.g_01837
OG0000210	Prab.g_00211	Syas.g_01838
OG0000211	Prab.g_00224	Syas.g_02552
OG0000212	Prab.g_00230	Syas.g_02562
OG0000213	Prab.g_00247	Syas.g_01707
OG0000214	Prab.g_00256	Syas.g_01730
OG0000215	Prab.g_00280	Syas.g_01766
OG0000216	Prab.g_00282	Syas.g_01770
OG0000217	Prab.g_00285	Syas.g_01778
OG0000218	Prab.g_00287	Syas.g_01780
OG0000219	Prab.g_00288	Syas.g_01783
OG0000220	Prab.g_00289	Syas.g_01784
OG0000221	Prab.g_00290	Syas.g_01785
OG0000222	Prab.g_00298	Syas.g_01804
OG0000223	Prab.g_00311	Syas.g_02221
OG0000224	Prab.g_00313	Syas.g_02215
OG0000225	Prab.g_00333	Syas.g_01522
OG0000226	Prab.g_00337	Syas.g_01518
OG0000227	Prab.g_00339	Syas.g_01516
OG0000228	Prab.g_00342	Syas.g_01513
OG0000229	Prab.g_00439	Syas.g_01497
OG0000230	Prab.g_00441	Syas.g_01495
OG0000231	Prab.g_00455	Syas.g_02749
OG0000232	Prab.g_00463	Syas.g_01276
OG0000233	Prab.g_00468	Syas.g_01352
OG0000234	Prab.g_00480	Syas.g_01331
OG0000235	Prab.g_00483	Syas.g_01254
OG0000236	Prab.g_00497	Syas.g_01237
OG0000237	Prab.g_00510	Syas.g_01220
OG0000238	Prab.g_00516	Syas.g_01215
OG0000239	Prab.g_00529	Syas.g_00012
OG0000240	Prab.g_00530	Syas.g_00013
OG0000241	Prab.g_00534	Syas.g_00754
OG0000242	Prab.g_00536	Syas.g_00059
OG0000243	Prab.g_00547	Syas.g_00777
OG0000244	Prab.g_00550	Syas.g_00784
OG0000245	Prab.g_00552	Syas.g_00786
OG0000246	Prab.g_00556	Syas.g_00790
OG0000247	Prab.g_00566	Syas.g_00802
OG0000248	Prab.g_00569	Syas.g_00805
OG0000249	Prab.g_00571	Syas.g_00807
OG0000250	Prab.g_00576	Syas.g_00814
OG0000251	Prab.g_00595	Syas.g_00845
OG0000252	Prab.g_00598	Syas.g_00950
OG0000253	Prab.g_00599	Syas.g_00846
OG0000254	Prab.g_00615	Syas.g_00869
OG0000255	Prab.g_00621	Syas.g_00132, Syas.g_01062
OG0000256	Prab.g_00632	Syas.g_00104
OG0000257	Prab.g_00635	Syas.g_00757
OG0000258	Prab.g_00648	Syas.g_00733
OG0000259	Prab.g_00665	Syas.g_01006, Syas.g_00708
OG0000260	Prab.g_00668	Syas.g_00705
OG0000261	Prab.g_00670	Syas.g_00701
OG0000262	Prab.g_00674	Syas.g_00695
OG0000263	Prab.g_00686	Syas.g_01103
OG0000264	Prab.g_00696	Syas.g_02588
OG0000266	Prab.g_00733	Syas.g_00186
OG0000267	Prab.g_00744	Syas.g_00377
OG0000268	Prab.g_00745	Syas.g_00390
OG0000269	Prab.g_00835	Syas.g_00601
OG0000270	Prab.g_00838	Syas.g_00598
OG0000271	Prab.g_00846	Syas.g_00590
OG0000272	Prab.g_00847	Syas.g_00589
OG0000273	Prab.g_00870	Syas.g_00563
OG0000274	Prab.g_00871	Syas.g_00562
OG0000275	Prab.g_00873	Syas.g_00230
OG0000276	Prab.g_00878	Syas.g_00237
OG0000277	Prab.g_00879	Syas.g_00238
OG0000278	Prab.g_00882	Syas.g_00241
OG0000279	Prab.g_00889	Syas.g_00288
OG0000280	Prab.g_00890	Syas.g_00889, Syas.g_00481
OG0000281	Prab.g_00896	Syas.g_00970
OG0000282	Prab.g_01066	Syas.g_00672
OG0000283	Prab.g_01033	Syas.g_00409
OG0000284	Prab.g_01028	Syas.g_00416
OG0000285	Prab.g_01023	Syas.g_00436
OG0000286	Prab.g_01011	Syas.g_00460
OG0000287	Prab.g_00994	Syas.g_00534
OG0000288	Prab.g_00956	Syas.g_00220
OG0000289	Prab.g_00945	Syas.g_00205
OG0000290	Prab.g_00932	Syas.g_01016
OG0000291	Prab.g_00930	Syas.g_01018
OG0000292	Prab.g_01144	Syas.g_02020
OG0000293	Prab.g_01210	Syas.g_01197
OG0000294	Prab.g_01211	Syas.g_01196
OG0000295	Prab.g_01231	Syas.g_01139
OG0000296	Prab.g_01233	Syas.g_01137
OG0000297	Prab.g_01241	Syas.g_01124
OG0000298	Prab.g_01242	Syas.g_01123
OG0000299	Prab.g_01259	Syas.g_01087
OG0000300	Prab.g_01262	Syas.g_01082
OG0000301	Prab.g_01263	Syas.g_01081
OG0000302	Prab.g_01265	Syas.g_01080
OG0000303	Prab.g_01272	Syas.g_01071
OG0000304	Prab.g_01276	Syas.g_01066
OG0000305	Prab.g_01353	Syas.g_01023
OG0000306	Prab.g_01355	Syas.g_01929
OG0000307	Prab.g_01369	Syas.g_01270
OG0000308	Prab.g_01370	Syas.g_01272
OG0000309	Prab.g_01374	Syas.g_01364
OG0000310	Prab.g_01451	Syas.g_02796
OG0000311	Prab.g_01453	Syas.g_02799
OG0000312	Prab.g_01456	Syas.g_02804
OG0000313	Prab.g_01470	Syas.g_02823
OG0000314	Prab.g_01493	Syas.g_01296
OG0000315	Prab.g_01503	Syas.g_01306
OG0000316	Prab.g_01523	Syas.g_02728
OG0000317	Prab.g_01667	Syas.g_02687
OG0000318	Prab.g_01670	Syas.g_02680
OG0000319	Prab.g_01683	Syas.g_02663
OG0000320	Prab.g_01685	Syas.g_02661
OG0000321	Prab.g_01686	Syas.g_02660
OG0000322	Prab.g_01687	Syas.g_02659
OG0000323	Prab.g_01696	Syas.g_02646, Syas.g_00159
OG0000324	Prab.g_01722	Syas.g_02578
OG0000325	Prab.g_01732	Syas.g_01668
OG0000326	Prab.g_01738	Syas.g_01661
OG0000327	Prab.g_01761	Syas.g_01634
OG0000328	Prab.g_01762	Syas.g_01633
OG0000329	Prab.g_01779	Syas.g_01615
OG0000330	Prab.g_01780	Syas.g_01614
OG0000331	Prab.g_01781	Syas.g_01613
OG0000332	Prab.g_01795	Syas.g_01598
OG0000333	Prab.g_01797	Syas.g_01595
OG0000334	Prab.g_01805	Syas.g_01586
OG0000335	Prab.g_01810	Syas.g_01581
OG0000336	Prab.g_01814	Syas.g_01577
OG0000337	Prab.g_01830	Syas.g_02211
OG0000338	Prab.g_01831	Syas.g_02199
OG0000339	Prab.g_01835	Syas.g_02192
OG0000340	Prab.g_01842	Syas.g_02183
OG0000341	Prab.g_01844	Syas.g_02181
OG0000342	Prab.g_01845	Syas.g_02180
OG0000343	Prab.g_01846	Syas.g_02176
OG0000344	Prab.g_01849	Syas.g_02172
OG0000345	Prab.g_01854	Syas.g_02160
OG0000346	Prab.g_01858	Syas.g_02155
OG0000347	Prab.g_01874	Syas.g_02136
OG0000348	Prab.g_01884	Syas.g_02107
OG0000349	Prab.g_01901	Syas.g_02085
OG0000350	Prab.g_01920	Syas.g_01654
OG0000351	Prab.g_01937	Syas.g_01998
OG0000352	Prab.g_01938	Syas.g_01999
OG0000353	Prab.g_01954	Syas.g_02033
OG0000355	Prab.g_00001	Syas.g_02035
OG0000356	Prab.g_00002	Syas.g_02036
OG0000357	Prab.g_00003	Syas.g_02037
OG0000358	Prab.g_00007	Syas.g_02041
OG0000359	Prab.g_00008	Syas.g_02043
OG0000360	Prab.g_00009	Syas.g_02044
OG0000361	Prab.g_00010	Syas.g_02045
OG0000362	Prab.g_00012	Syas.g_02047
OG0000363	Prab.g_00014	Syas.g_02049
OG0000364	Prab.g_00015	Syas.g_02685
OG0000365	Prab.g_00020	Syas.g_02058
OG0000366	Prab.g_00021	Syas.g_02059
OG0000368	Prab.g_00024	Syas.g_02062
OG0000369	Prab.g_00025	Syas.g_02063
OG0000370	Prab.g_00026	Syas.g_02064
OG0000371	Prab.g_00032	Syas.g_02073
OG0000372	Prab.g_00035	Syas.g_02078
OG0000373	Prab.g_00036	Syas.g_02079
OG0000374	Prab.g_00037	Syas.g_02080
OG0000375	Prab.g_00039	Syas.g_02081
OG0000376	Prab.g_00041	Syas.g_02083
OG0000377	Prab.g_00044	Syas.g_01879
OG0000378	Prab.g_00046	Syas.g_01867
OG0000379	Prab.g_00049	Syas.g_01859
OG0000380	Prab.g_00058	Syas.g_02523
OG0000381	Prab.g_00062	Syas.g_02521
OG0000382	Prab.g_00073	Syas.g_02503
OG0000383	Prab.g_00075	Syas.g_02480
OG0000384	Prab.g_00076	Syas.g_02479
OG0000385	Prab.g_00077	Syas.g_02478
OG0000386	Prab.g_00078	Syas.g_02477
OG0000387	Prab.g_00090	Syas.g_00134
OG0000388	Prab.g_00093	Syas.g_02426
OG0000389	Prab.g_00097	Syas.g_02422
OG0000390	Prab.g_00104	Syas.g_02406
OG0000391	Prab.g_00107	Syas.g_02401
OG0000392	Prab.g_00111	Syas.g_02396
OG0000393	Prab.g_00113	Syas.g_02394
OG0000394	Prab.g_00114	Syas.g_02393
OG0000395	Prab.g_00115	Syas.g_02392
OG0000396	Prab.g_00117	Syas.g_02389
OG0000397	Prab.g_00119	Syas.g_02387
OG0000398	Prab.g_00121	Syas.g_02382
OG0000399	Prab.g_00122	Syas.g_02381
OG0000400	Prab.g_00123	Syas.g_02380
OG0000401	Prab.g_00124	Syas.g_02379
OG0000402	Prab.g_00126	Syas.g_02377
OG0000403	Prab.g_00127	Syas.g_02376
OG0000404	Prab.g_00128	Syas.g_02375
OG0000405	Prab.g_00132	Syas.g_02369
OG0000406	Prab.g_00138	Syas.g_02365
OG0000407	Prab.g_00139	Syas.g_02364
OG0000408	Prab.g_00141	Syas.g_02361
OG0000409	Prab.g_00143	Syas.g_02359
OG0000410	Prab.g_00144	Syas.g_02358
OG0000411	Prab.g_00145	Syas.g_02357
OG0000412	Prab.g_00146	Syas.g_02356
OG0000413	Prab.g_00147	Syas.g_02354
OG0000414	Prab.g_00148	Syas.g_02353
OG0000415	Prab.g_00149	Syas.g_02352
OG0000416	Prab.g_00150	Syas.g_02351
OG0000417	Prab.g_00151	Syas.g_02338
OG0000418	Prab.g_00156	Syas.g_02333
OG0000419	Prab.g_00158	Syas.g_02331
OG0000420	Prab.g_00159	Syas.g_02329
OG0000421	Prab.g_00164	Syas.g_02324
OG0000422	Prab.g_00165	Syas.g_02323
OG0000423	Prab.g_00166	Syas.g_02322
OG0000424	Prab.g_00167	Syas.g_02321
OG0000425	Prab.g_00168	Syas.g_02320
OG0000426	Prab.g_00169	Syas.g_02319
OG0000427	Prab.g_00170	Syas.g_02318
OG0000428	Prab.g_00172	Syas.g_02315
OG0000429	Prab.g_00173	Syas.g_02312
OG0000430	Prab.g_00174	Syas.g_02311
OG0000431	Prab.g_00176	Syas.g_02296
OG0000432	Prab.g_00179	Syas.g_02288
OG0000433	Prab.g_00180	Syas.g_02286
OG0000434	Prab.g_00181	Syas.g_02285
OG0000435	Prab.g_00182	Syas.g_02282
OG0000436	Prab.g_00187	Syas.g_02273
OG0000437	Prab.g_00188	Syas.g_02272
OG0000438	Prab.g_00189	Syas.g_02271
OG0000439	Prab.g_00191	Syas.g_02269
OG0000440	Prab.g_00192	Syas.g_02268
OG0000441	Prab.g_00195	Syas.g_02265
OG0000442	Prab.g_00196	Syas.g_02259
OG0000443	Prab.g_00197	Syas.g_02241
OG0000444	Prab.g_00202	Syas.g_02234
OG0000445	Prab.g_00203	Syas.g_02233
OG0000446	Prab.g_00204	Syas.g_02231
OG0000447	Prab.g_00205	Syas.g_02229
OG0000448	Prab.g_00206	Syas.g_02228
OG0000449	Prab.g_00207	Syas.g_02226
OG0000450	Prab.g_00208	Syas.g_01834
OG0000451	Prab.g_00209	Syas.g_01835
OG0000452	Prab.g_00212	Syas.g_01844
OG0000453	Prab.g_00213	Syas.g_01845
OG0000454	Prab.g_00214	Syas.g_01846
OG0000455	Prab.g_00215	Syas.g_01847
OG0000456	Prab.g_00216	Syas.g_01848
OG0000457	Prab.g_00217	Syas.g_01850
OG0000458	Prab.g_00218	Syas.g_01851
OG0000459	Prab.g_00219	Syas.g_01852
OG0000460	Prab.g_00226	Syas.g_02554
OG0000461	Prab.g_00232	Syas.g_01686
OG0000462	Prab.g_00234	Syas.g_01688
OG0000463	Prab.g_00235	Syas.g_01689
OG0000464	Prab.g_00236	Syas.g_01690
OG0000465	Prab.g_00237	Syas.g_01692
OG0000466	Prab.g_00240	Syas.g_01697
OG0000467	Prab.g_00241	Syas.g_01698
OG0000468	Prab.g_00243	Syas.g_01703
OG0000469	Prab.g_00251	Syas.g_01725
OG0000470	Prab.g_00253	Syas.g_01727
OG0000471	Prab.g_00254	Syas.g_01728
OG0000472	Prab.g_00255	Syas.g_01729
OG0000473	Prab.g_00257	Syas.g_01731
OG0000474	Prab.g_00258	Syas.g_01732
OG0000475	Prab.g_00259	Syas.g_01733
OG0000476	Prab.g_00260	Syas.g_01735
OG0000477	Prab.g_00263	Syas.g_01740
OG0000478	Prab.g_00264	Syas.g_01741
OG0000479	Prab.g_00265	Syas.g_01749
OG0000480	Prab.g_00270	Syas.g_01756
OG0000481	Prab.g_00272	Syas.g_00161, Syas.g_00162
OG0000482	Prab.g_00273	Syas.g_01758
OG0000483	Prab.g_00276	Syas.g_01762
OG0000484	Prab.g_00277	Syas.g_01763
OG0000485	Prab.g_00278	Syas.g_01764
OG0000486	Prab.g_00279	Syas.g_01765
OG0000487	Prab.g_00283	Syas.g_01771
OG0000488	Prab.g_00286	Syas.g_01779
OG0000489	Prab.g_00291	Syas.g_01823
OG0000490	Prab.g_00296	Syas.g_01808
OG0000491	Prab.g_00297	Syas.g_01806
OG0000492	Prab.g_00299	Syas.g_01803
OG0000493	Prab.g_00300	Syas.g_01802
OG0000494	Prab.g_00301	Syas.g_01801
OG0000495	Prab.g_00302	Syas.g_01799
OG0000496	Prab.g_00303	Syas.g_01798
OG0000497	Prab.g_00304	Syas.g_01797
OG0000498	Prab.g_00305	Syas.g_01796
OG0000499	Prab.g_00306	Syas.g_01795
OG0000500	Prab.g_00307	Syas.g_01794
OG0000501	Prab.g_00309	Syas.g_01791
OG0000502	Prab.g_00312	Syas.g_02216
OG0000503	Prab.g_00322	Syas.g_01541
OG0000504	Prab.g_00323	Syas.g_01539
OG0000505	Prab.g_00324	Syas.g_01538
OG0000506	Prab.g_00325	Syas.g_01536
OG0000507	Prab.g_00328	Syas.g_01530
OG0000508	Prab.g_00332	Syas.g_01523
OG0000509	Prab.g_00334	Syas.g_01521
OG0000510	Prab.g_00335	Syas.g_01520
OG0000511	Prab.g_00336	Syas.g_01519
OG0000512	Prab.g_00338	Syas.g_01517
OG0000513	Prab.g_00345	Syas.g_01508
OG0000514	Prab.g_00434	Syas.g_01504
OG0000515	Prab.g_00435	Syas.g_01503
OG0000516	Prab.g_00436	Syas.g_01501
OG0000517	Prab.g_00438	Syas.g_01498
OG0000518	Prab.g_00449	Syas.g_00360, Syas.g_02746
OG0000519	Prab.g_00450	Syas.g_02747
OG0000520	Prab.g_00454	Syas.g_02748
OG0000521	Prab.g_00459	Syas.g_01281
OG0000522	Prab.g_00460	Syas.g_01279
OG0000523	Prab.g_00461	Syas.g_01278
OG0000524	Prab.g_00466	Syas.g_01354
OG0000525	Prab.g_00469	Syas.g_01342
OG0000526	Prab.g_00470	Syas.g_01340
OG0000527	Prab.g_00477	Syas.g_01335
OG0000528	Prab.g_00482	Syas.g_01256
OG0000529	Prab.g_00485	Syas.g_01252
OG0000530	Prab.g_00488	Syas.g_01249
OG0000531	Prab.g_00489	Syas.g_01248
OG0000532	Prab.g_00491	Syas.g_01245
OG0000533	Prab.g_00492	Syas.g_01243
OG0000534	Prab.g_00493	Syas.g_01242
OG0000535	Prab.g_00494	Syas.g_01241
OG0000536	Prab.g_00495	Syas.g_01240
OG0000537	Prab.g_00496	Syas.g_01238
OG0000538	Prab.g_00504	Syas.g_01228
OG0000539	Prab.g_00505	Syas.g_01227
OG0000540	Prab.g_00506	Syas.g_01226
OG0000541	Prab.g_00507	Syas.g_01225
OG0000542	Prab.g_00509	Syas.g_01221
OG0000543	Prab.g_00511	Syas.g_01219
OG0000544	Prab.g_00512	Syas.g_01218
OG0000545	Prab.g_00514	Syas.g_01216
OG0000546	Prab.g_00517	Syas.g_01214
OG0000547	Prab.g_00519	Syas.g_01212
OG0000548	Prab.g_00520	Syas.g_01211
OG0000549	Prab.g_00522	Syas.g_00005
OG0000550	Prab.g_00527	Syas.g_00010
OG0000551	Prab.g_00531	Syas.g_00015
OG0000552	Prab.g_00532	Syas.g_00016
OG0000553	Prab.g_00533	Syas.g_00019
OG0000554	Prab.g_00538	Syas.g_00063
OG0000555	Prab.g_00546	Syas.g_00775
OG0000556	Prab.g_00548	Syas.g_00781
OG0000557	Prab.g_00549	Syas.g_00783
OG0000558	Prab.g_00551	Syas.g_00785
OG0000559	Prab.g_00555	Syas.g_00789
OG0000560	Prab.g_00558	Syas.g_00792
OG0000561	Prab.g_00559	Syas.g_00793
OG0000562	Prab.g_00560	Syas.g_00794
OG0000563	Prab.g_00561	Syas.g_00795
OG0000564	Prab.g_00562	Syas.g_00796
OG0000565	Prab.g_00565	Syas.g_00800
OG0000566	Prab.g_00568	Syas.g_00804
OG0000567	Prab.g_00572	Syas.g_00808
OG0000568	Prab.g_00573	Syas.g_00810
OG0000569	Prab.g_00574	Syas.g_00811
OG0000570	Prab.g_00575	Syas.g_00812
OG0000571	Prab.g_00577	Syas.g_00815
OG0000572	Prab.g_00590	Syas.g_00839
OG0000573	Prab.g_00596	Syas.g_00952
OG0000574	Prab.g_00597	Syas.g_00951
OG0000575	Prab.g_00601	Syas.g_00848
OG0000576	Prab.g_00603	Syas.g_00850
OG0000577	Prab.g_00604	Syas.g_00851
OG0000578	Prab.g_00605	Syas.g_00852
OG0000579	Prab.g_00606	Syas.g_00853
OG0000580	Prab.g_00607	Syas.g_00854
OG0000581	Prab.g_00609	Syas.g_00861
OG0000582	Prab.g_00612	Syas.g_00873
OG0000583	Prab.g_00613	Syas.g_00872
OG0000584	Prab.g_00614	Syas.g_00871
OG0000585	Prab.g_00616	Syas.g_00868
OG0000586	Prab.g_00617	Syas.g_00867
OG0000587	Prab.g_00618	Syas.g_00865
OG0000588	Prab.g_00622	Syas.g_00960
OG0000589	Prab.g_00625	Syas.g_00121
OG0000590	Prab.g_00626	Syas.g_00120
