Orthogroup	Praf	Syab
OG0000150	Praf.g_01625	Syab.g_01930
OG0000151	Praf.g_01478	Syab.g_01612
OG0000152	Praf.g_01392	Syab.g_01383
OG0000153	Praf.g_01362	Syab.g_01343
OG0000154	Praf.g_01337	Syab.g_01317
OG0000155	Praf.g_00886	Syab.g_01009
OG0000156	Praf.g_00810	Syab.g_00933
OG0000157	Praf.g_00809	Syab.g_00932
OG0000158	Praf.g_02394	Syab.g_00161
OG0000160	Praf.g_01795	Syab.g_00774
OG0000161	Praf.g_01805	Syab.g_00766
OG0000162	Praf.g_01817	Syab.g_00755
OG0000163	Praf.g_00538	Syab.g_02173
OG0000164	Praf.g_00453	Syab.g_02307
OG0000165	Praf.g_00444	Syab.g_02316
OG0000166	Praf.g_02157	Syab.g_00407
OG0000167	Praf.g_02382, Praf.g_02378, Praf.g_02380	Syab.g_00205
OG0000168	Praf.g_02395	Syab.g_00136
OG0000169	Praf.g_00191	Syab.g_00125
OG0000170	Praf.g_00183	Syab.g_00118
OG0000171	Praf.g_00154	Syab.g_00089
OG0000172	Praf.g_00087	Syab.g_00080
OG0000173	Praf.g_00062	Syab.g_00061
OG0000174	Praf.g_02717	Syab.g_02819
OG0000175	Praf.g_02754	Syab.g_02876
OG0000176	Praf.g_00004	Syab.g_00004
OG0000177	Praf.g_00005	Syab.g_00005
OG0000178	Praf.g_00006	Syab.g_00006
OG0000179	Praf.g_00021	Syab.g_00022
OG0000180	Praf.g_00022	Syab.g_00023
OG0000181	Praf.g_00023	Syab.g_00024
OG0000182	Praf.g_00024	Syab.g_00025
OG0000183	Praf.g_00028	Syab.g_00029
OG0000184	Praf.g_02611	Syab.g_02738
OG0000185	Praf.g_02602	Syab.g_02715
OG0000186	Praf.g_00328	Syab.g_02430
OG0000187	Praf.g_00326	Syab.g_02431
OG0000188	Praf.g_00303	Syab.g_02454
OG0000189	Praf.g_00257	Syab.g_02487
OG0000190	Praf.g_00255	Syab.g_00190, Syab.g_00139
OG0000191	Praf.g_00218	Syab.g_02522
OG0000192	Praf.g_00212	Syab.g_02528
OG0000193	Praf.g_02433	Syab.g_02565
OG0000194	Praf.g_02436	Syab.g_02568
OG0000195	Praf.g_02438	Syab.g_02570
OG0000196	Praf.g_02449	Syab.g_02581
OG0000197	Praf.g_02450	Syab.g_02582
OG0000198	Praf.g_02451	Syab.g_02583
OG0000199	Praf.g_02468	Syab.g_02591
OG0000200	Praf.g_02711, Praf.g_02492	Syab.g_02611
OG0000201	Praf.g_02511	Syab.g_02628
OG0000202	Praf.g_02512	Syab.g_02629
OG0000203	Praf.g_02513	Syab.g_02630
OG0000204	Praf.g_02514	Syab.g_02631
OG0000205	Praf.g_02708, Praf.g_02521	Syab.g_02638
OG0000206	Praf.g_02532	Syab.g_02674
OG0000207	Praf.g_02582	Syab.g_02677
OG0000208	Praf.g_02581	Syab.g_02678
OG0000209	Praf.g_02557	Syab.g_02698
OG0000210	Praf.g_02556	Syab.g_02699
OG0000211	Praf.g_00378	Syab.g_02374
OG0000212	Praf.g_00392	Syab.g_02365
OG0000213	Praf.g_02245	Syab.g_00332
OG0000214	Praf.g_02263	Syab.g_00312
OG0000215	Praf.g_02293	Syab.g_00281
OG0000216	Praf.g_02296	Syab.g_00277
OG0000217	Praf.g_02300	Syab.g_00273
OG0000218	Praf.g_02302	Syab.g_00271
OG0000219	Praf.g_02303	Syab.g_00270
OG0000220	Praf.g_02304	Syab.g_00269
OG0000221	Praf.g_02314	Syab.g_00257
OG0000222	Praf.g_02323	Syab.g_00244
OG0000223	Praf.g_02347	Syab.g_00226
OG0000224	Praf.g_02358	Syab.g_00223
OG0000225	Praf.g_02030	Syab.g_00538
OG0000226	Praf.g_02026	Syab.g_00542
OG0000227	Praf.g_02024	Syab.g_00544
OG0000228	Praf.g_02016	Syab.g_00550
OG0000229	Praf.g_01989	Syab.g_00583
OG0000230	Praf.g_01987	Syab.g_00585
OG0000231	Praf.g_01963	Syab.g_00613
OG0000232	Praf.g_01952	Syab.g_00631
OG0000233	Praf.g_01938	Syab.g_00645
OG0000234	Praf.g_01905	Syab.g_00699
OG0000235	Praf.g_00594	Syab.g_02095
OG0000236	Praf.g_00610	Syab.g_02111
OG0000237	Praf.g_00627	Syab.g_02129
OG0000238	Praf.g_00631	Syab.g_02134
OG0000239	Praf.g_00647	Syab.g_02151
OG0000240	Praf.g_00648	Syab.g_02152
OG0000241	Praf.g_01177	Syab.g_01884
OG0000242	Praf.g_00658	Syab.g_02043
OG0000243	Praf.g_00681	Syab.g_02025
OG0000244	Praf.g_00685	Syab.g_02017
OG0000245	Praf.g_00688	Syab.g_02015
OG0000246	Praf.g_00692	Syab.g_02011
OG0000247	Praf.g_00703	Syab.g_01999
OG0000248	Praf.g_00706	Syab.g_01996
OG0000249	Praf.g_00708	Syab.g_01994
OG0000250	Praf.g_00714	Syab.g_01988
OG0000251	Praf.g_00739	Syab.g_01961
OG0000252	Praf.g_00742	Syab.g_01958
OG0000253	Praf.g_00749	Syab.g_01956
OG0000254	Praf.g_00768	Syab.g_01925
OG0000255	Praf.g_01662	Syab.g_01912
OG0000256	Praf.g_01676	Syab.g_01890
OG0000257	Praf.g_01685	Syab.g_01885
OG0000258	Praf.g_01708	Syab.g_01861
OG0000259	Praf.g_01736	Syab.g_01538
OG0000260	Praf.g_01739	Syab.g_01544
OG0000261	Praf.g_01742	Syab.g_01556
OG0000262	Praf.g_01748	Syab.g_01561
OG0000263	Praf.g_02570	Syab.g_01035
OG0000264	Praf.g_01218, Praf.g_01219	Syab.g_01173
OG0000265	Praf.g_01302, Praf.g_01238	Syab.g_01773
OG0000266	Praf.g_01313	Syab.g_01667
OG0000267	Praf.g_01436	Syab.g_01433
OG0000268	Praf.g_01435	Syab.g_01432
OG0000269	Praf.g_01525	Syab.g_01650
OG0000270	Praf.g_01528	Syab.g_01657
OG0000271	Praf.g_01536	Syab.g_01279
OG0000272	Praf.g_01537	Syab.g_01280
OG0000274	Praf.g_01586	Syab.g_01700
OG0000275	Praf.g_01590	Syab.g_01704
OG0000276	Praf.g_01596	Syab.g_01712
OG0000277	Praf.g_01597	Syab.g_01713
OG0000278	Praf.g_01600	Syab.g_01716
OG0000279	Praf.g_01608	Syab.g_01724
OG0000280	Praf.g_01614	Syab.g_01736
OG0000281	Praf.g_01627	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Praf.g_01463	Syab.g_01631
OG0000283	Praf.g_01426	Syab.g_01418
OG0000284	Praf.g_01420	Syab.g_01413
OG0000285	Praf.g_01006	Syab.g_01402
OG0000286	Praf.g_01393	Syab.g_01384
OG0000287	Praf.g_01073	Syab.g_01350
OG0000288	Praf.g_01338	Syab.g_01318
OG0000289	Praf.g_01325	Syab.g_01303
OG0000290	Praf.g_01277	Syab.g_01213
OG0000291	Praf.g_01275	Syab.g_01211
OG0000292	Praf.g_02776	Syab.g_02907
OG0000293	Praf.g_00826	Syab.g_00946
OG0000294	Praf.g_00827	Syab.g_00947
OG0000295	Praf.g_00879	Syab.g_01001
OG0000296	Praf.g_00881	Syab.g_01003
OG0000297	Praf.g_00917	Syab.g_01016
OG0000298	Praf.g_00918	Syab.g_01017
OG0000299	Praf.g_00908	Syab.g_01047
OG0000300	Praf.g_00902	Syab.g_01054
OG0000301	Praf.g_00901	Syab.g_01055
OG0000302	Praf.g_00898	Syab.g_01056
OG0000303	Praf.g_00888	Syab.g_01149
OG0000304	Praf.g_00938	Syab.g_01143
OG0000305	Praf.g_01271	Syab.g_01208
OG0000306	Praf.g_01635	Syab.g_01819
OG0000307	Praf.g_00575	Syab.g_02078
OG0000308	Praf.g_00573	Syab.g_02076
OG0000309	Praf.g_00569	Syab.g_02071
OG0000310	Praf.g_01772	Syab.g_00817
OG0000311	Praf.g_01778, Praf.g_01776	Syab.g_00811
OG0000312	Praf.g_01782	Syab.g_00793
OG0000313	Praf.g_01802	Syab.g_00769
OG0000314	Praf.g_01837	Syab.g_00736
OG0000315	Praf.g_01848	Syab.g_00726
OG0000316	Praf.g_00526	Syab.g_02189
OG0000317	Praf.g_00485	Syab.g_02251
OG0000318	Praf.g_00479	Syab.g_02257
OG0000319	Praf.g_00464	Syab.g_02291
OG0000320	Praf.g_00462	Syab.g_02293
OG0000321	Praf.g_00461	Syab.g_02294
OG0000322	Praf.g_00460	Syab.g_02295
OG0000323	Praf.g_00449	Syab.g_02310
OG0000324	Praf.g_00419	Syab.g_02341
OG0000325	Praf.g_02200	Syab.g_00368
OG0000326	Praf.g_02193	Syab.g_00375
OG0000327	Praf.g_02162	Syab.g_00402
OG0000328	Praf.g_02161	Syab.g_00403
OG0000329	Praf.g_02144	Syab.g_00420
OG0000330	Praf.g_02143	Syab.g_00421
OG0000331	Praf.g_02142	Syab.g_00422
OG0000332	Praf.g_02127	Syab.g_00437
OG0000333	Praf.g_02125	Syab.g_00440
OG0000334	Praf.g_02112	Syab.g_00450
OG0000335	Praf.g_02107	Syab.g_00455
OG0000336	Praf.g_02103	Syab.g_00459
OG0000337	Praf.g_02372	Syab.g_00210
OG0000338	Praf.g_02375	Syab.g_00207
OG0000339	Praf.g_02386	Syab.g_00201
OG0000340	Praf.g_02396	Syab.g_00135
OG0000341	Praf.g_02398	Syab.g_00157, Syab.g_00133
OG0000342	Praf.g_02399	Syab.g_00132
OG0000343	Praf.g_00196	Syab.g_00131
OG0000344	Praf.g_00193	Syab.g_00127
OG0000345	Praf.g_00182	Syab.g_00117
OG0000346	Praf.g_00177	Syab.g_00112
OG0000347	Praf.g_00152	Syab.g_00087
OG0000348	Praf.g_00081	Syab.g_00076
OG0000349	Praf.g_00054	Syab.g_00054
OG0000350	Praf.g_02699	Syab.g_00382
OG0000351	Praf.g_02757	Syab.g_02879
OG0000352	Praf.g_02758	Syab.g_02880
OG0000353	Praf.g_02782	Syab.g_02913
OG0000354	Praf.g_00637	Syab.g_02140
OG0000354	Praf.g_00019	Syab.g_00020
OG0000355	Praf.g_00001	Syab.g_00001
OG0000356	Praf.g_00002	Syab.g_00002
OG0000357	Praf.g_00003	Syab.g_00003
OG0000358	Praf.g_00007	Syab.g_00007
OG0000359	Praf.g_00009	Syab.g_00009
OG0000360	Praf.g_00010	Syab.g_00010
OG0000361	Praf.g_00011	Syab.g_00011
OG0000362	Praf.g_00013	Syab.g_00013
OG0000363	Praf.g_00015	Syab.g_00015
OG0000364	Praf.g_00016	Syab.g_00016
OG0000365	Praf.g_00025	Syab.g_00026
OG0000366	Praf.g_00026	Syab.g_00027
OG0000367	Praf.g_00027	Syab.g_00028
OG0000368	Praf.g_00029	Syab.g_00030
OG0000369	Praf.g_00030	Syab.g_00031
OG0000370	Praf.g_00031	Syab.g_00032
OG0000371	Praf.g_00040	Syab.g_00711, Syab.g_00039
OG0000372	Praf.g_00045	Syab.g_00045
OG0000373	Praf.g_00046	Syab.g_00046
OG0000374	Praf.g_00047	Syab.g_00047
OG0000375	Praf.g_00050	Syab.g_00050
OG0000376	Praf.g_00052	Syab.g_00052
OG0000377	Praf.g_02618	Syab.g_02748
OG0000378	Praf.g_02605	Syab.g_02717
OG0000379	Praf.g_02601	Syab.g_02714
OG0000380	Praf.g_00325	Syab.g_02432
OG0000381	Praf.g_00320	Syab.g_02435
OG0000382	Praf.g_00304	Syab.g_02453
OG0000383	Praf.g_00302	Syab.g_02459
OG0000384	Praf.g_00301	Syab.g_02460
OG0000385	Praf.g_00300	Syab.g_02461
OG0000386	Praf.g_00299	Syab.g_02462
OG0000387	Praf.g_00253	Syab.g_02491
OG0000388	Praf.g_00249	Syab.g_02495
OG0000389	Praf.g_00245	Syab.g_02499
OG0000390	Praf.g_00224	Syab.g_02516
OG0000391	Praf.g_00219	Syab.g_02521
OG0000392	Praf.g_00214	Syab.g_02527
OG0000393	Praf.g_00209	Syab.g_02530
OG0000394	Praf.g_00208	Syab.g_02531
OG0000395	Praf.g_00207	Syab.g_02532
OG0000396	Praf.g_02403	Syab.g_02535
OG0000397	Praf.g_02405	Syab.g_02537
OG0000398	Praf.g_02410	Syab.g_02542
OG0000399	Praf.g_02411	Syab.g_02543
OG0000400	Praf.g_02412	Syab.g_02544
OG0000401	Praf.g_02413	Syab.g_02545
OG0000402	Praf.g_02415	Syab.g_02547
OG0000403	Praf.g_02416	Syab.g_02548
OG0000404	Praf.g_02418	Syab.g_02550
OG0000405	Praf.g_02430	Syab.g_02562
OG0000406	Praf.g_02434	Syab.g_02566
OG0000407	Praf.g_02435	Syab.g_02567
OG0000408	Praf.g_02437	Syab.g_02569
OG0000409	Praf.g_02439	Syab.g_02571
OG0000410	Praf.g_02440	Syab.g_02572
OG0000411	Praf.g_02441	Syab.g_02573
OG0000412	Praf.g_02442	Syab.g_02574
OG0000413	Praf.g_02444	Syab.g_02576
OG0000414	Praf.g_02445	Syab.g_02577
OG0000415	Praf.g_02446	Syab.g_02578
OG0000416	Praf.g_02447	Syab.g_02579
OG0000417	Praf.g_02448	Syab.g_02580
OG0000418	Praf.g_02453	Syab.g_02585
OG0000419	Praf.g_02455	Syab.g_02587
OG0000420	Praf.g_02456	Syab.g_02589
OG0000421	Praf.g_02470	Syab.g_02595
OG0000422	Praf.g_02471	Syab.g_02596
OG0000423	Praf.g_02472	Syab.g_02597
OG0000424	Praf.g_02473	Syab.g_02598
OG0000425	Praf.g_02474	Syab.g_02599
OG0000426	Praf.g_02475	Syab.g_02600
OG0000427	Praf.g_02476	Syab.g_02601
OG0000428	Praf.g_01486	Syab.g_02604
OG0000429	Praf.g_02489	Syab.g_02608
OG0000430	Praf.g_02491	Syab.g_02610
OG0000431	Praf.g_02495	Syab.g_02613
OG0000432	Praf.g_02502	Syab.g_02619
OG0000433	Praf.g_02505	Syab.g_02622
OG0000434	Praf.g_02506	Syab.g_02623
OG0000435	Praf.g_02509	Syab.g_02625
OG0000436	Praf.g_02515	Syab.g_02632
OG0000437	Praf.g_02516	Syab.g_02633
OG0000438	Praf.g_02517	Syab.g_02634
OG0000439	Praf.g_02519	Syab.g_02636
OG0000440	Praf.g_02520	Syab.g_02637
OG0000441	Praf.g_02524	Syab.g_02641
OG0000442	Praf.g_02525	Syab.g_02642
OG0000443	Praf.g_02531	Syab.g_02668
OG0000444	Praf.g_02575	Syab.g_02681
OG0000445	Praf.g_02574	Syab.g_02682
OG0000446	Praf.g_02572	Syab.g_02684
OG0000447	Praf.g_02568	Syab.g_02687
OG0000448	Praf.g_02567	Syab.g_02688
OG0000449	Praf.g_02566	Syab.g_02689
OG0000450	Praf.g_02560	Syab.g_02695
OG0000451	Praf.g_02559	Syab.g_02696
OG0000452	Praf.g_02555	Syab.g_02701
OG0000453	Praf.g_02554	Syab.g_02702
OG0000454	Praf.g_02553	Syab.g_02703
OG0000455	Praf.g_02552	Syab.g_02704
OG0000456	Praf.g_02551	Syab.g_02705
OG0000457	Praf.g_02549	Syab.g_02707
OG0000458	Praf.g_02548	Syab.g_02708
OG0000459	Praf.g_02547	Syab.g_02709
OG0000460	Praf.g_00379	Syab.g_02372
OG0000461	Praf.g_02203	Syab.g_00356
OG0000462	Praf.g_02207	Syab.g_00352
OG0000463	Praf.g_02208	Syab.g_00351
OG0000464	Praf.g_02209	Syab.g_00350
OG0000465	Praf.g_02210	Syab.g_00349
OG0000466	Praf.g_02215	Syab.g_00343
OG0000467	Praf.g_02217	Syab.g_00341
OG0000468	Praf.g_02242	Syab.g_00336
OG0000469	Praf.g_02255	Syab.g_00318
OG0000470	Praf.g_02259	Syab.g_00316
OG0000471	Praf.g_02260	Syab.g_00315
OG0000472	Praf.g_02262	Syab.g_00313
OG0000473	Praf.g_02264	Syab.g_00311
OG0000474	Praf.g_02265	Syab.g_00310
OG0000475	Praf.g_02266	Syab.g_00309
OG0000476	Praf.g_02268	Syab.g_00307
OG0000477	Praf.g_02273	Syab.g_00301
OG0000478	Praf.g_02274	Syab.g_00300
OG0000479	Praf.g_02275	Syab.g_00299
OG0000480	Praf.g_02282	Syab.g_00292
OG0000481	Praf.g_02284	Syab.g_00290
OG0000482	Praf.g_02285	Syab.g_00289
OG0000483	Praf.g_02289	Syab.g_00285
OG0000484	Praf.g_02290	Syab.g_00284
OG0000485	Praf.g_02291	Syab.g_00283
OG0000486	Praf.g_02292	Syab.g_00282
OG0000487	Praf.g_02297	Syab.g_00276
OG0000488	Praf.g_02301	Syab.g_00272
OG0000489	Praf.g_02315	Syab.g_00256
OG0000490	Praf.g_02321	Syab.g_00247
OG0000491	Praf.g_02322	Syab.g_00245
OG0000492	Praf.g_02324	Syab.g_00243
OG0000493	Praf.g_02325	Syab.g_00242
OG0000494	Praf.g_02326	Syab.g_00241
OG0000495	Praf.g_02327	Syab.g_00240
OG0000496	Praf.g_02328	Syab.g_00239
OG0000497	Praf.g_02329	Syab.g_00238
OG0000498	Praf.g_02330	Syab.g_00237
OG0000499	Praf.g_02331	Syab.g_00236
OG0000500	Praf.g_02332	Syab.g_00235
OG0000501	Praf.g_02335	Syab.g_00232
OG0000502	Praf.g_02349	Syab.g_00224
OG0000503	Praf.g_02054	Syab.g_00523
OG0000504	Praf.g_02052	Syab.g_00525
OG0000505	Praf.g_02051	Syab.g_00526
OG0000506	Praf.g_02049	Syab.g_00528
OG0000507	Praf.g_02045	Syab.g_00533
OG0000508	Praf.g_02031	Syab.g_00537
OG0000509	Praf.g_02029	Syab.g_00539
OG0000510	Praf.g_02028	Syab.g_00540
OG0000511	Praf.g_02027	Syab.g_00541
OG0000512	Praf.g_02025	Syab.g_00543
OG0000513	Praf.g_02011	Syab.g_00555
OG0000514	Praf.g_02002	Syab.g_00566
OG0000515	Praf.g_02001	Syab.g_00567
OG0000516	Praf.g_01999	Syab.g_00575
OG0000517	Praf.g_01990	Syab.g_00582
OG0000518	Praf.g_01978	Syab.g_00594
OG0000519	Praf.g_01977	Syab.g_00610
OG0000520	Praf.g_01972	Syab.g_00611
OG0000521	Praf.g_01959	Syab.g_00624
OG0000522	Praf.g_01957	Syab.g_00626
OG0000523	Praf.g_01956	Syab.g_00627
OG0000524	Praf.g_01942	Syab.g_00640
OG0000525	Praf.g_01915	Syab.g_00671
OG0000526	Praf.g_01913	Syab.g_00689
OG0000527	Praf.g_01909	Syab.g_00695
OG0000528	Praf.g_00589	Syab.g_02092
OG0000529	Praf.g_00596	Syab.g_02097
OG0000530	Praf.g_00599	Syab.g_02100
OG0000531	Praf.g_00600	Syab.g_02101
OG0000532	Praf.g_00603	Syab.g_02104
OG0000533	Praf.g_00605	Syab.g_02106
OG0000534	Praf.g_00606	Syab.g_02107
OG0000535	Praf.g_00607	Syab.g_02108
OG0000536	Praf.g_00608	Syab.g_02109
OG0000537	Praf.g_00609	Syab.g_02110
OG0000538	Praf.g_00619	Syab.g_02122
OG0000539	Praf.g_00621	Syab.g_02123
OG0000540	Praf.g_00622	Syab.g_02124
OG0000541	Praf.g_00623	Syab.g_02125
OG0000542	Praf.g_00626	Syab.g_02128
OG0000543	Praf.g_00628	Syab.g_02130
OG0000544	Praf.g_00629	Syab.g_02131
OG0000545	Praf.g_00630	Syab.g_02133
OG0000546	Praf.g_00632	Syab.g_02135
OG0000547	Praf.g_00634	Syab.g_02137
OG0000548	Praf.g_00635	Syab.g_02138
OG0000549	Praf.g_00641	Syab.g_02144
OG0000550	Praf.g_00646	Syab.g_02149
OG0000551	Praf.g_00650	Syab.g_02153
OG0000552	Praf.g_00651	Syab.g_02154
OG0000553	Praf.g_00656	Syab.g_02046
OG0000554	Praf.g_00661	Syab.g_02040
OG0000555	Praf.g_00677	Syab.g_02026
OG0000556	Praf.g_00683	Syab.g_02022
OG0000557	Praf.g_00684	Syab.g_02019
OG0000558	Praf.g_00687	Syab.g_02016
OG0000559	Praf.g_00691	Syab.g_02012
OG0000560	Praf.g_00694	Syab.g_02009
OG0000561	Praf.g_00695	Syab.g_02008
OG0000562	Praf.g_00696	Syab.g_02007
OG0000563	Praf.g_00697	Syab.g_02006
OG0000564	Praf.g_00698	Syab.g_02005
OG0000565	Praf.g_00701	Syab.g_02001
OG0000566	Praf.g_00705	Syab.g_01997
OG0000567	Praf.g_00709	Syab.g_01993
OG0000568	Praf.g_00711	Syab.g_01991
OG0000569	Praf.g_00712	Syab.g_01990
OG0000570	Praf.g_00713	Syab.g_01989
OG0000571	Praf.g_00716	Syab.g_01986
OG0000572	Praf.g_00733	Syab.g_01969
