Orthogroup	Praf	Prbn
OG0000035	Praf.g_01794	Prbn.g_00212
OG0000037	Praf.g_00240	Prbn.g_01310
OG0000038	Praf.g_02660, Praf.g_02662	Prbn.g_00946
OG0000039	Praf.g_00406, Praf.g_02541	Prbn.g_01577
OG0000041	Praf.g_00426	Prbn.g_01793
OG0000042	Praf.g_00164, Praf.g_00920	Prbn.g_00988
OG0000045	Praf.g_00322	Prbn.g_01145
OG0000046	Praf.g_02072	Prbn.g_00093
OG0000047	Praf.g_01898	Prbn.g_00690
OG0000048	Praf.g_02267	Prbn.g_01097, Prbn.g_00038
OG0000051	Praf.g_01022	Prbn.g_00809
OG0000052	Praf.g_02366	Prbn.g_00190
OG0000053	Praf.g_01828	Prbn.g_01690, Prbn.g_00233
OG0000054	Praf.g_00763	Prbn.g_00508
OG0000055	Praf.g_01257	Prbn.g_01140
OG0000057	Praf.g_01125	Prbn.g_01562
OG0000061	Praf.g_01859	Prbn.g_01189
OG0000062	Praf.g_01047, Praf.g_00501	Prbn.g_00897
OG0000063	Praf.g_00041	Prbn.g_00130
OG0000065	Praf.g_00244	Prbn.g_01312
OG0000066	Praf.g_00672	Prbn.g_00577, Prbn.g_01657
OG0000067	Praf.g_01530	Prbn.g_01546
OG0000068	Praf.g_00585, Praf.g_00583	Prbn.g_01240
OG0000070	Praf.g_01962	Prbn.g_00663
OG0000071	Praf.g_00796	Prbn.g_01084
OG0000072	Praf.g_02469	Prbn.g_00383
OG0000073	Praf.g_00616	Prbn.g_00614
OG0000075	Praf.g_02384	Prbn.g_01917
OG0000076	Praf.g_00178	Prbn.g_00996
OG0000077	Praf.g_00309	Prbn.g_01342
OG0000078	Praf.g_00391	Prbn.g_00310
OG0000079	Praf.g_02234, Praf.g_02218, Praf.g_02225	Prbn.g_00018
OG0000081	Praf.g_01131	Prbn.g_00585
OG0000082	Praf.g_00731	Prbn.g_00530, Prbn.g_01734
OG0000084	Praf.g_01790	Prbn.g_00209
OG0000085	Praf.g_00491	Prbn.g_01737, Prbn.g_00144
OG0000086	Praf.g_00297	Prbn.g_01333
OG0000087	Praf.g_02420	Prbn.g_01278
OG0000088	Praf.g_02454	Prbn.g_01247
OG0000089	Praf.g_02015	Prbn.g_00696
OG0000090	Praf.g_00660	Prbn.g_00583
OG0000091	Praf.g_01700	Prbn.g_00434
OG0000093	Praf.g_01503	Prbn.g_00846
OG0000094	Praf.g_02685	Prbn.g_01369
OG0000097	Praf.g_00905	Prbn.g_00408
OG0000098	Praf.g_01886	Prbn.g_01216
OG0000099	Praf.g_02342	Prbn.g_00173
OG0000100	Praf.g_00370, Praf.g_01561	Prbn.g_00903
OG0000101	Praf.g_02119	Prbn.g_01881
OG0000102	Praf.g_00173	Prbn.g_00991
OG0000103	Praf.g_02765	Prbn.g_00907
OG0000104	Praf.g_02779	Prbn.g_00296
OG0000105	Praf.g_02271	Prbn.g_00041
OG0000106	Praf.g_00496	Prbn.g_00829
OG0000108	Praf.g_00595	Prbn.g_00634
OG0000109	Praf.g_00611	Prbn.g_00620
OG0000110	Praf.g_00718	Prbn.g_00541
OG0000111	Praf.g_01126	Prbn.g_01561
OG0000112	Praf.g_01400	Prbn.g_00468
OG0000113	Praf.g_01556	Prbn.g_01523
OG0000114	Praf.g_01461	Prbn.g_01621
OG0000115	Praf.g_01825	Prbn.g_01120
OG0000116	Praf.g_00825	Prbn.g_01178
OG0000117	Praf.g_00919	Prbn.g_00389
OG0000118	Praf.g_00779	Prbn.g_01071
OG0000119	Praf.g_01108	Prbn.g_01135
OG0000119	Praf.g_01143	Prbn.g_00885
OG0000120	Praf.g_02343	Prbn.g_00170
OG0000121	Praf.g_01796	Prbn.g_00214
OG0000122	Praf.g_00976	Prbn.g_00255
OG0000123	Praf.g_02108	Prbn.g_01888
OG0000124	Praf.g_00153	Prbn.g_00979
OG0000125	Praf.g_02664	Prbn.g_00944
OG0000126	Praf.g_02777	Prbn.g_00295
OG0000128	Praf.g_00012	Prbn.g_00002, Prbn.g_00003
OG0000129	Praf.g_02652	Prbn.g_00737
OG0000130	Praf.g_00321	Prbn.g_00708
OG0000131	Praf.g_02432	Prbn.g_01269
OG0000132	Praf.g_02452	Prbn.g_01249
OG0000133	Praf.g_02336	Prbn.g_00088
OG0000134	Praf.g_02012	Prbn.g_00694
OG0000135	Praf.g_02705	Prbn.g_01102
OG0000136	Praf.g_01984	Prbn.g_00672
OG0000137	Praf.g_01907	Prbn.g_00639
OG0000138	Praf.g_00612	Prbn.g_00619
OG0000139	Praf.g_00666	Prbn.g_00579
OG0000140	Praf.g_00670	Prbn.g_00578
OG0000141	Praf.g_00764	Prbn.g_00507
OG0000142	Praf.g_01692	Prbn.g_00426
OG0000143	Praf.g_01696	Prbn.g_00430
OG0000144	Praf.g_01721	Prbn.g_00444
OG0000145	Praf.g_00617	Prbn.g_01100
OG0000146	Praf.g_01401	Prbn.g_00469
OG0000147	Praf.g_01402	Prbn.g_00470
OG0000148	Praf.g_01548	Prbn.g_01529
OG0000149	Praf.g_01604	Prbn.g_01497
OG0000150	Praf.g_01625	Prbn.g_01487
OG0000151	Praf.g_01478	Prbn.g_01611
OG0000152	Praf.g_01392	Prbn.g_01418
OG0000153	Praf.g_01362	Prbn.g_01399
OG0000154	Praf.g_01337	Prbn.g_01379
OG0000155	Praf.g_00886	Prbn.g_01210
OG0000156	Praf.g_00810	Prbn.g_01095
OG0000157	Praf.g_00809	Prbn.g_01094
OG0000158	Praf.g_02394	Prbn.g_01014
OG0000160	Praf.g_01795	Prbn.g_00213
OG0000161	Praf.g_01805	Prbn.g_00219
OG0000162	Praf.g_01817	Prbn.g_00225
OG0000163	Praf.g_00538	Prbn.g_00264
OG0000164	Praf.g_00453	Prbn.g_01770
OG0000165	Praf.g_00444	Prbn.g_01777
OG0000166	Praf.g_02157	Prbn.g_01844
OG0000167	Praf.g_02382, Praf.g_02378, Praf.g_02380	Prbn.g_01915
OG0000168	Praf.g_02395	Prbn.g_01013
OG0000169	Praf.g_00191	Prbn.g_01003
OG0000170	Praf.g_00183	Prbn.g_01000
OG0000171	Praf.g_00154	Prbn.g_00980
OG0000172	Praf.g_00087	Prbn.g_00973
OG0000173	Praf.g_00062	Prbn.g_00958
OG0000174	Praf.g_02717	Prbn.g_00929
OG0000175	Praf.g_02754	Prbn.g_00916
OG0000176	Praf.g_00004	Prbn.g_00010
OG0000177	Praf.g_00005	Prbn.g_00009
OG0000178	Praf.g_00006	Prbn.g_00008
OG0000179	Praf.g_00021	Prbn.g_00766
OG0000180	Praf.g_00022	Prbn.g_00765
OG0000181	Praf.g_00023	Prbn.g_00764
OG0000182	Praf.g_00024	Prbn.g_00763
OG0000183	Praf.g_00028	Prbn.g_00759
OG0000184	Praf.g_02611	Prbn.g_00733
OG0000185	Praf.g_02602	Prbn.g_00730
OG0000186	Praf.g_00328	Prbn.g_00714
OG0000187	Praf.g_00326	Prbn.g_00713
OG0000188	Praf.g_00303	Prbn.g_01339
OG0000189	Praf.g_00257	Prbn.g_01325
OG0000190	Praf.g_00255	Prbn.g_01323
OG0000191	Praf.g_00218	Prbn.g_01300
OG0000192	Praf.g_00212	Prbn.g_01295
OG0000193	Praf.g_02433	Prbn.g_01268
OG0000194	Praf.g_02436	Prbn.g_01265
OG0000195	Praf.g_02438	Prbn.g_01263
OG0000196	Praf.g_02449	Prbn.g_01252
OG0000197	Praf.g_02450	Prbn.g_01251
OG0000198	Praf.g_02451	Prbn.g_01250
OG0000199	Praf.g_02468	Prbn.g_01243, Prbn.g_00384
OG0000200	Praf.g_02711	Prbn.g_00370
OG0000201	Praf.g_02511	Prbn.g_00361
OG0000202	Praf.g_02512	Prbn.g_00360
OG0000203	Praf.g_02513	Prbn.g_00359
OG0000204	Praf.g_02514	Prbn.g_00358
OG0000205	Praf.g_02521	Prbn.g_00351
OG0000206	Praf.g_02532	Prbn.g_00346
OG0000207	Praf.g_02582	Prbn.g_00343
OG0000208	Praf.g_02581	Prbn.g_00342
OG0000209	Praf.g_02557	Prbn.g_00333
OG0000210	Praf.g_02556	Prbn.g_00332
OG0000211	Praf.g_00378	Prbn.g_00317
OG0000212	Praf.g_00392	Prbn.g_00309
OG0000213	Praf.g_02245	Prbn.g_00024
OG0000214	Praf.g_02263	Prbn.g_00034
OG0000215	Praf.g_02293	Prbn.g_00061
OG0000216	Praf.g_02296	Prbn.g_00062
OG0000217	Praf.g_02300	Prbn.g_00065
OG0000218	Praf.g_02302	Prbn.g_00067
OG0000219	Praf.g_02303	Prbn.g_00068
OG0000220	Praf.g_02304	Prbn.g_00069
OG0000221	Praf.g_02314	Prbn.g_00070
OG0000222	Praf.g_02323	Prbn.g_00077
OG0000223	Praf.g_02347	Prbn.g_00089
OG0000224	Praf.g_02358	Prbn.g_00091
OG0000225	Praf.g_02030	Prbn.g_00117
OG0000226	Praf.g_02026	Prbn.g_00121
OG0000227	Praf.g_02024	Prbn.g_00123
OG0000228	Praf.g_02016	Prbn.g_00697
OG0000229	Praf.g_01989	Prbn.g_00677
OG0000230	Praf.g_01987	Prbn.g_00675
OG0000231	Praf.g_01963	Prbn.g_00664
OG0000232	Praf.g_01952	Prbn.g_00653
OG0000233	Praf.g_01938	Prbn.g_00647
OG0000234	Praf.g_01905	Prbn.g_00638
OG0000235	Praf.g_00594	Prbn.g_00635
OG0000236	Praf.g_00610	Prbn.g_00621
OG0000237	Praf.g_00627	Prbn.g_00608
OG0000238	Praf.g_00631	Prbn.g_00602
OG0000239	Praf.g_00647	Prbn.g_00591
OG0000240	Praf.g_00648	Prbn.g_00590
OG0000241	Praf.g_01177	Prbn.g_00586
OG0000242	Praf.g_00658	Prbn.g_00584
OG0000243	Praf.g_00681	Prbn.g_00573
OG0000244	Praf.g_00685	Prbn.g_00570
OG0000245	Praf.g_00688	Prbn.g_00568
OG0000246	Praf.g_00692	Prbn.g_00564
OG0000247	Praf.g_00703	Prbn.g_00554
OG0000248	Praf.g_00706	Prbn.g_00551
OG0000249	Praf.g_00708	Prbn.g_00549
OG0000250	Praf.g_00714	Prbn.g_00544
OG0000251	Praf.g_00739	Prbn.g_00524
OG0000252	Praf.g_00742	Prbn.g_00521
OG0000253	Praf.g_00749	Prbn.g_00520
OG0000254	Praf.g_00768	Prbn.g_00503
OG0000255	Praf.g_01662	Prbn.g_00497
OG0000256	Praf.g_01676	Prbn.g_00487
OG0000257	Praf.g_01685	Prbn.g_00421
OG0000258	Praf.g_01708	Prbn.g_00435
OG0000259	Praf.g_01736	Prbn.g_00835
OG0000260	Praf.g_01739	Prbn.g_00838
OG0000261	Praf.g_01742	Prbn.g_00841
OG0000262	Praf.g_01748	Prbn.g_00845
OG0000263	Praf.g_02570	Prbn.g_01583
OG0000264	Praf.g_01218, Praf.g_01219	Prbn.g_01572
OG0000265	Praf.g_01302, Praf.g_01238	Prbn.g_01554
OG0000266	Praf.g_01313	Prbn.g_00864
OG0000267	Praf.g_01436	Prbn.g_01350
OG0000268	Praf.g_01435	Prbn.g_01351
OG0000269	Praf.g_01525	Prbn.g_01551
OG0000270	Praf.g_01528	Prbn.g_01548
OG0000271	Praf.g_01536	Prbn.g_01540
OG0000272	Praf.g_01537	Prbn.g_01539
OG0000273	Praf.g_01585	Prbn.g_01515
OG0000274	Praf.g_01586	Prbn.g_01514
OG0000275	Praf.g_01590	Prbn.g_01511
OG0000276	Praf.g_01596	Prbn.g_01505
OG0000277	Praf.g_01597	Prbn.g_01504
OG0000278	Praf.g_01600	Prbn.g_01501
OG0000279	Praf.g_01608	Prbn.g_01494
OG0000280	Praf.g_01614	Prbn.g_01493
OG0000281	Praf.g_01627	Prbn.g_01486
OG0000282	Praf.g_01463	Prbn.g_01619
OG0000283	Praf.g_01426	Prbn.g_01442
OG0000284	Praf.g_01420	Prbn.g_01437
OG0000285	Praf.g_01006	Prbn.g_01432
OG0000286	Praf.g_01393	Prbn.g_01419
OG0000287	Praf.g_01073	Prbn.g_01123
OG0000288	Praf.g_01338	Prbn.g_01380
OG0000289	Praf.g_01325	Prbn.g_01364
OG0000290	Praf.g_01277	Prbn.g_01468
OG0000291	Praf.g_01275	Prbn.g_01470
OG0000292	Praf.g_02776	Prbn.g_01144
OG0000293	Praf.g_00826	Prbn.g_01179
OG0000294	Praf.g_00827	Prbn.g_01180
OG0000295	Praf.g_00879	Prbn.g_01203
OG0000296	Praf.g_00881	Prbn.g_01205
OG0000297	Praf.g_00917	Prbn.g_00387
OG0000298	Praf.g_00918	Prbn.g_00388
OG0000299	Praf.g_00908	Prbn.g_00407
OG0000300	Praf.g_00902	Prbn.g_00410
OG0000301	Praf.g_00901	Prbn.g_00411
OG0000302	Praf.g_00898	Prbn.g_00413
OG0000303	Praf.g_00888	Prbn.g_00419
OG0000304	Praf.g_00938	Prbn.g_00482
OG0000305	Praf.g_01271	Prbn.g_01146
OG0000306	Praf.g_01635	Prbn.g_01482
OG0000307	Praf.g_00575	Prbn.g_00159
OG0000308	Praf.g_00573	Prbn.g_00160
OG0000309	Praf.g_00569	Prbn.g_00164
OG0000310	Praf.g_01772	Prbn.g_00198
OG0000311	Praf.g_01778, Praf.g_01776	Prbn.g_00200
OG0000312	Praf.g_01782	Prbn.g_00203
OG0000313	Praf.g_01802	Prbn.g_00216
OG0000314	Praf.g_01837	Prbn.g_00239
OG0000315	Praf.g_01848	Prbn.g_00249
OG0000316	Praf.g_00526	Prbn.g_00274
OG0000317	Praf.g_00485	Prbn.g_01742
OG0000318	Praf.g_00479	Prbn.g_01746
OG0000319	Praf.g_00464	Prbn.g_01759
OG0000320	Praf.g_00462	Prbn.g_01761
OG0000321	Praf.g_00461	Prbn.g_01762
OG0000322	Praf.g_00460	Prbn.g_01763
OG0000323	Praf.g_00449	Prbn.g_01773
OG0000324	Praf.g_00419	Prbn.g_01800
OG0000325	Praf.g_02200	Prbn.g_01811
OG0000326	Praf.g_02193	Prbn.g_01818
OG0000327	Praf.g_02162	Prbn.g_01839
OG0000328	Praf.g_02161	Prbn.g_01840
OG0000329	Praf.g_02144	Prbn.g_01857
OG0000330	Praf.g_02143	Prbn.g_01858
OG0000331	Praf.g_02142	Prbn.g_01859
OG0000332	Praf.g_02127	Prbn.g_01873
OG0000333	Praf.g_02125	Prbn.g_01875
OG0000334	Praf.g_02112	Prbn.g_01884
OG0000335	Praf.g_02107	Prbn.g_01889
OG0000336	Praf.g_02103	Prbn.g_01893
OG0000337	Praf.g_02372	Prbn.g_01911
OG0000338	Praf.g_02375	Prbn.g_01912
OG0000339	Praf.g_02386	Prbn.g_01918
OG0000340	Praf.g_02396	Prbn.g_01012
OG0000341	Praf.g_02398	Prbn.g_01010
OG0000342	Praf.g_02399	Prbn.g_01009
OG0000343	Praf.g_00196	Prbn.g_01008
OG0000344	Praf.g_00193	Prbn.g_01005
OG0000345	Praf.g_00182	Prbn.g_00999
OG0000346	Praf.g_00177	Prbn.g_00995
OG0000347	Praf.g_00152	Prbn.g_00978
OG0000348	Praf.g_00081	Prbn.g_00970
OG0000349	Praf.g_00054	Prbn.g_00953
OG0000350	Praf.g_02699	Prbn.g_00798
OG0000351	Praf.g_02757	Prbn.g_00913
OG0000352	Praf.g_02758	Prbn.g_00912
OG0000353	Praf.g_02782	Prbn.g_00299
OG0000355	Praf.g_00001	Prbn.g_00301
OG0000356	Praf.g_00002	Prbn.g_00302
OG0000357	Praf.g_00003	Prbn.g_00011
OG0000358	Praf.g_00007	Prbn.g_00007
OG0000359	Praf.g_00009	Prbn.g_00006
OG0000360	Praf.g_00010	Prbn.g_00005
OG0000361	Praf.g_00011	Prbn.g_00004
OG0000362	Praf.g_00013	Prbn.g_00001
OG0000363	Praf.g_00015	Prbn.g_00768
OG0000364	Praf.g_00016	Prbn.g_00767
OG0000365	Praf.g_00025	Prbn.g_00762
OG0000366	Praf.g_00026	Prbn.g_00761
OG0000367	Praf.g_00027	Prbn.g_00760
OG0000368	Praf.g_00029	Prbn.g_00758
OG0000369	Praf.g_00030	Prbn.g_00757
OG0000370	Praf.g_00031	Prbn.g_00756
OG0000371	Praf.g_00040	Prbn.g_00749
OG0000372	Praf.g_00045	Prbn.g_00746
OG0000373	Praf.g_00046	Prbn.g_00745
OG0000374	Praf.g_00047	Prbn.g_00744
OG0000375	Praf.g_00050	Prbn.g_00742
OG0000376	Praf.g_00052	Prbn.g_00740
OG0000377	Praf.g_02618	Prbn.g_00736
OG0000378	Praf.g_02605	Prbn.g_00732
OG0000379	Praf.g_02601	Prbn.g_00729
OG0000380	Praf.g_00325	Prbn.g_00712
OG0000381	Praf.g_00320	Prbn.g_00707
OG0000382	Praf.g_00304	Prbn.g_01340
OG0000383	Praf.g_00302	Prbn.g_01338
OG0000384	Praf.g_00301	Prbn.g_01337
OG0000385	Praf.g_00300	Prbn.g_01336
OG0000386	Praf.g_00299	Prbn.g_01335
OG0000387	Praf.g_00253	Prbn.g_01321
OG0000388	Praf.g_00249	Prbn.g_01317
OG0000389	Praf.g_00245	Prbn.g_01314
OG0000390	Praf.g_00224	Prbn.g_01304
OG0000391	Praf.g_00219	Prbn.g_01301
OG0000392	Praf.g_00214	Prbn.g_01297
OG0000393	Praf.g_00209	Prbn.g_01294
OG0000394	Praf.g_00208	Prbn.g_01293
OG0000395	Praf.g_00207	Prbn.g_01292
OG0000396	Praf.g_02403	Prbn.g_01290
OG0000397	Praf.g_02405	Prbn.g_01288
OG0000398	Praf.g_02410	Prbn.g_01285
OG0000399	Praf.g_02411	Prbn.g_01284
OG0000400	Praf.g_02412	Prbn.g_01283
OG0000401	Praf.g_02413	Prbn.g_01282
OG0000402	Praf.g_02415	Prbn.g_01356
OG0000403	Praf.g_02416	Prbn.g_01280
OG0000404	Praf.g_02418	Prbn.g_01279
OG0000405	Praf.g_02430	Prbn.g_01275
OG0000406	Praf.g_02434	Prbn.g_01267
OG0000407	Praf.g_02435	Prbn.g_01266
OG0000408	Praf.g_02437	Prbn.g_01264
OG0000409	Praf.g_02439	Prbn.g_01262
OG0000410	Praf.g_02440	Prbn.g_01261
OG0000411	Praf.g_02441	Prbn.g_01260
OG0000412	Praf.g_02442	Prbn.g_01259
OG0000413	Praf.g_02444	Prbn.g_01257
OG0000414	Praf.g_02445	Prbn.g_01256
OG0000415	Praf.g_02446	Prbn.g_01255
OG0000416	Praf.g_02447	Prbn.g_01254
OG0000417	Praf.g_02448	Prbn.g_01253
OG0000418	Praf.g_02453	Prbn.g_01248
OG0000419	Praf.g_02455	Prbn.g_01246
OG0000420	Praf.g_02456	Prbn.g_01245
OG0000421	Praf.g_02470	Prbn.g_00381
OG0000422	Praf.g_02471	Prbn.g_00380
OG0000423	Praf.g_02472	Prbn.g_00379
OG0000424	Praf.g_02473	Prbn.g_00378
OG0000425	Praf.g_02474	Prbn.g_00377
OG0000426	Praf.g_02475	Prbn.g_00376
OG0000427	Praf.g_02476	Prbn.g_00375
OG0000428	Praf.g_01486	Prbn.g_00373
OG0000429	Praf.g_02489	Prbn.g_00372
OG0000430	Praf.g_02491	Prbn.g_00371
OG0000431	Praf.g_02495	Prbn.g_00369
OG0000432	Praf.g_02502	Prbn.g_00365
OG0000433	Praf.g_02505	Prbn.g_00364
OG0000434	Praf.g_02506	Prbn.g_00363
OG0000435	Praf.g_02509	Prbn.g_00362
OG0000436	Praf.g_02515	Prbn.g_00357
OG0000437	Praf.g_02516	Prbn.g_00356
OG0000438	Praf.g_02517	Prbn.g_00355
OG0000439	Praf.g_02519	Prbn.g_00353
OG0000440	Praf.g_02520	Prbn.g_00352
OG0000441	Praf.g_02524	Prbn.g_00349
OG0000442	Praf.g_02525	Prbn.g_00348
OG0000443	Praf.g_02531	Prbn.g_00347
OG0000444	Praf.g_02575	Prbn.g_00341
OG0000445	Praf.g_02574	Prbn.g_00340
OG0000446	Praf.g_02572	Prbn.g_00339
OG0000447	Praf.g_02568	Prbn.g_00338
OG0000448	Praf.g_02567	Prbn.g_00337
OG0000449	Praf.g_02566	Prbn.g_00336
OG0000450	Praf.g_02560	Prbn.g_00335
OG0000451	Praf.g_02559	Prbn.g_00334
OG0000452	Praf.g_02555	Prbn.g_00331
OG0000453	Praf.g_02554	Prbn.g_00330
OG0000454	Praf.g_02553	Prbn.g_00329
OG0000455	Praf.g_02552	Prbn.g_00328
OG0000456	Praf.g_02551	Prbn.g_00327
OG0000457	Praf.g_02549	Prbn.g_00325
OG0000458	Praf.g_02548	Prbn.g_00324
OG0000459	Praf.g_02547	Prbn.g_00323
OG0000460	Praf.g_00379	Prbn.g_00315
OG0000461	Praf.g_02203	Prbn.g_00307
OG0000462	Praf.g_02207	Prbn.g_00305
OG0000463	Praf.g_02208	Prbn.g_00304
OG0000464	Praf.g_02209	Prbn.g_00012
OG0000465	Praf.g_02210	Prbn.g_00013
OG0000466	Praf.g_02215	Prbn.g_00016
OG0000467	Praf.g_02217	Prbn.g_00017
OG0000468	Praf.g_02242	Prbn.g_00020
OG0000469	Praf.g_02255	Prbn.g_00028
OG0000470	Praf.g_02259	Prbn.g_00030
OG0000471	Praf.g_02260	Prbn.g_00031
OG0000472	Praf.g_02262	Prbn.g_00033
OG0000473	Praf.g_02264	Prbn.g_00035
OG0000474	Praf.g_02265	Prbn.g_00036
OG0000475	Praf.g_02266	Prbn.g_00037
OG0000476	Praf.g_02268	Prbn.g_00039
OG0000477	Praf.g_02273	Prbn.g_00042
OG0000478	Praf.g_02274	Prbn.g_00043
OG0000479	Praf.g_02275	Prbn.g_00044
OG0000480	Praf.g_02282	Prbn.g_00049
OG0000481	Praf.g_02284	Prbn.g_00052
OG0000482	Praf.g_02285	Prbn.g_00053
OG0000483	Praf.g_02289	Prbn.g_00056
OG0000484	Praf.g_02290	Prbn.g_00057
OG0000485	Praf.g_02291	Prbn.g_00059
OG0000486	Praf.g_02292	Prbn.g_00060
OG0000487	Praf.g_02297	Prbn.g_00063
OG0000488	Praf.g_02301	Prbn.g_00066
OG0000489	Praf.g_02315	Prbn.g_00071
OG0000490	Praf.g_02321	Prbn.g_00075
OG0000491	Praf.g_02322	Prbn.g_00076
OG0000492	Praf.g_02324	Prbn.g_00078
OG0000493	Praf.g_02325	Prbn.g_00079
OG0000494	Praf.g_02326	Prbn.g_00080
OG0000495	Praf.g_02327	Prbn.g_00081
OG0000496	Praf.g_02328	Prbn.g_00082
OG0000497	Praf.g_02329	Prbn.g_00083
OG0000498	Praf.g_02330	Prbn.g_00084
OG0000499	Praf.g_02331	Prbn.g_00085
OG0000500	Praf.g_02332	Prbn.g_00086
OG0000501	Praf.g_02335	Prbn.g_00087
OG0000502	Praf.g_02349	Prbn.g_00090
OG0000503	Praf.g_02054	Prbn.g_00105
OG0000504	Praf.g_02052	Prbn.g_00107
OG0000505	Praf.g_02051	Prbn.g_00108
OG0000506	Praf.g_02049	Prbn.g_00109
OG0000507	Praf.g_02045	Prbn.g_00112
OG0000508	Praf.g_02031	Prbn.g_00116
OG0000509	Praf.g_02029	Prbn.g_00118
OG0000510	Praf.g_02028	Prbn.g_00119
OG0000511	Praf.g_02027	Prbn.g_00120
OG0000512	Praf.g_02025	Prbn.g_00122
OG0000513	Praf.g_02011	Prbn.g_00693
OG0000514	Praf.g_02002	Prbn.g_00682
OG0000515	Praf.g_02001	Prbn.g_00681
OG0000516	Praf.g_01999	Prbn.g_00680
OG0000517	Praf.g_01990	Prbn.g_00678
OG0000518	Praf.g_01978	Prbn.g_00667
OG0000519	Praf.g_01977	Prbn.g_00666
OG0000520	Praf.g_01972	Prbn.g_00665
OG0000521	Praf.g_01959	Prbn.g_00657
OG0000522	Praf.g_01957	Prbn.g_00655
OG0000523	Praf.g_01956	Prbn.g_00654
OG0000524	Praf.g_01942	Prbn.g_00649
OG0000525	Praf.g_01915	Prbn.g_00645
OG0000526	Praf.g_01913	Prbn.g_00644
OG0000527	Praf.g_01909	Prbn.g_00641
OG0000528	Praf.g_00589	Prbn.g_00636
OG0000529	Praf.g_00596	Prbn.g_00633
OG0000530	Praf.g_00599	Prbn.g_00630
OG0000531	Praf.g_00600	Prbn.g_00629
OG0000532	Praf.g_00603	Prbn.g_00627
OG0000533	Praf.g_00605	Prbn.g_00626
OG0000534	Praf.g_00606	Prbn.g_00625
OG0000535	Praf.g_00607	Prbn.g_00624
OG0000536	Praf.g_00608	Prbn.g_00623
OG0000537	Praf.g_00609	Prbn.g_00622
OG0000538	Praf.g_00619	Prbn.g_00613
OG0000539	Praf.g_00621	Prbn.g_00612
OG0000540	Praf.g_00622	Prbn.g_00611
OG0000541	Praf.g_00623	Prbn.g_00610
OG0000542	Praf.g_00626	Prbn.g_00609
OG0000543	Praf.g_00628	Prbn.g_00607
OG0000544	Praf.g_00629	Prbn.g_00606
OG0000545	Praf.g_00630	Prbn.g_00604
OG0000546	Praf.g_00632	Prbn.g_00601
OG0000547	Praf.g_00634	Prbn.g_00599
OG0000548	Praf.g_00635	Prbn.g_00598
OG0000549	Praf.g_00641	Prbn.g_00596
OG0000550	Praf.g_00646	Prbn.g_00592
OG0000551	Praf.g_00650	Prbn.g_00589
OG0000552	Praf.g_00651	Prbn.g_00588
OG0000553	Praf.g_00656	Prbn.g_00587
OG0000554	Praf.g_00661	Prbn.g_00582
OG0000555	Praf.g_00677	Prbn.g_00574
OG0000556	Praf.g_00683	Prbn.g_00572
OG0000557	Praf.g_00684	Prbn.g_00571
OG0000558	Praf.g_00687	Prbn.g_00569
OG0000559	Praf.g_00691	Prbn.g_00565
