Orthogroup	Syad	Prbc
OG0000059	Syad.g_00642	Prbc.g_00958
OG0000061	Syad.g_01152	Prbc.g_01446
OG0000062	Syad.g_02598	Prbc.g_00790
OG0000063	Syad.g_00202	Prbc.g_00932
OG0000065	Syad.g_02801, Syad.g_02574	Prbc.g_00466
OG0000066	Syad.g_00992	Prbc.g_01618
OG0000067	Syad.g_01889	Prbc.g_01858
OG0000068	Syad.g_00891	Prbc.g_00657
OG0000070	Syad.g_02424	Prbc.g_01511
OG0000071	Syad.g_02405	Prbc.g_00566
OG0000072	Syad.g_02905	Prbc.g_00400
OG0000073	Syad.g_00926	Prbc.g_01579
OG0000075	Syad.g_00416	Prbc.g_00236
OG0000076	Syad.g_00348	Prbc.g_00211
OG0000077	Syad.g_02741	Prbc.g_00495
OG0000078	Syad.g_00824	Prbc.g_00330
OG0000079	Syad.g_00565	Prbc.g_01148
OG0000080	Syad.g_02935, Syad.g_02256	Prbc.g_00679
OG0000081	Syad.g_00833	Prbc.g_01610
OG0000082	Syad.g_01063	Prbc.g_00891
OG0000084	Syad.g_02272	Prbc.g_00705
OG0000085	Syad.g_02612	Prbc.g_00826
OG0000086	Syad.g_02770	Prbc.g_00485
OG0000087	Syad.g_02860	Prbc.g_00432
OG0000088	Syad.g_02899	Prbc.g_00405
OG0000089	Syad.g_00785, Syad.g_02829	Prbc.g_01268
OG0000090	Syad.g_00977	Prbc.g_01612
OG0000091	Syad.g_02144	Prbc.g_01719
OG0000092	Syad.g_01190	Prbc.g_01982
OG0000093	Syad.g_01905	Prbc.g_01843
OG0000094	Syad.g_01676	Prbc.g_01935
OG0000095	Syad.g_01290	Prbc.g_02113
OG0000097	Syad.g_01458	Prbc.g_01400
OG0000098	Syad.g_00625	Prbc.g_00585
OG0000099	Syad.g_00460	Prbc.g_01229
OG0000100	Syad.g_01846	Prbc.g_00785
OG0000101	Syad.g_00694	Prbc.g_00284
OG0000102	Syad.g_00343	Prbc.g_00206
OG0000103	Syad.g_00143	Prbc.g_01053
OG0000104	Syad.g_00158	Prbc.g_01065
OG0000105	Syad.g_00530	Prbc.g_01167
OG0000106	Syad.g_01993	Prbc.g_00134, Prbc.g_00641
OG0000107	Syad.g_00590	Prbc.g_00934
OG0000108	Syad.g_00904	Prbc.g_01540
OG0000109	Syad.g_00919	Prbc.g_01553
OG0000110	Syad.g_01048	Prbc.g_01654
OG0000111	Syad.g_01300	Prbc.g_01781
OG0000112	Syad.g_01766	Prbc.g_02028
OG0000113	Syad.g_01851	Prbc.g_01882, Prbc.g_00153
OG0000114	Syad.g_01617	Prbc.g_01977
OG0000115	Syad.g_02300	Prbc.g_00801
OG0000116	Syad.g_01123	Prbc.g_01457
OG0000117	Syad.g_01510	Prbc.g_00102
OG0000118	Syad.g_01104	Prbc.g_00577
OG0000119	Syad.g_01168	Prbc.g_00650
OG0000120	Syad.g_00459	Prbc.g_01753
OG0000121	Syad.g_02280	Prbc.g_00711
OG0000122	Syad.g_02122	Prbc.g_00750
OG0000123	Syad.g_00701	Prbc.g_00277
OG0000124	Syad.g_00320	Prbc.g_00193
OG0000125	Syad.g_03040	Prbc.g_00997
OG0000126	Syad.g_00156	Prbc.g_01063
OG0000127	Syad.g_02710, Syad.g_00058, Syad.g_00383	Prbc.g_01367
OG0000128	Syad.g_00174	Prbc.g_01081
OG0000129	Syad.g_03028	Prbc.g_01122
OG0000130	Syad.g_02728	Prbc.g_00504
OG0000131	Syad.g_02876	Prbc.g_00426
OG0000132	Syad.g_02897	Prbc.g_00407
OG0000133	Syad.g_01761	Prbc.g_01214
OG0000134	Syad.g_00788	Prbc.g_01270
OG0000135	Syad.g_00063	Prbc.g_02198, Prbc.g_02183
OG0000136	Syad.g_02445	Prbc.g_01502
OG0000137	Syad.g_02353	Prbc.g_01534
OG0000138	Syad.g_00920	Prbc.g_01554
OG0000139	Syad.g_00983	Prbc.g_01616
OG0000140	Syad.g_00987	Prbc.g_01617
OG0000141	Syad.g_02208	Prbc.g_01684
OG0000142	Syad.g_02152	Prbc.g_01712
OG0000143	Syad.g_02148	Prbc.g_01716
OG0000144	Syad.g_02024	Prbc.g_01729
OG0000145	Syad.g_00927	Prbc.g_02142
OG0000146	Syad.g_01767	Prbc.g_02027
OG0000147	Syad.g_01768	Prbc.g_02026
OG0000148	Syad.g_01861	Prbc.g_01876
OG0000149	Syad.g_01221	Prbc.g_01908
OG0000150	Syad.g_02207, Syad.g_00989	Prbc.g_01916
OG0000151	Syad.g_01956	Prbc.g_01988
OG0000152	Syad.g_01757	Prbc.g_02036
OG0000153	Syad.g_01713	Prbc.g_02054
OG0000154	Syad.g_01686	Prbc.g_02083
OG0000155	Syad.g_01189	Prbc.g_01424
OG0000156	Syad.g_01116	Prbc.g_00555
OG0000157	Syad.g_01115	Prbc.g_00556
OG0000158	Syad.g_00374	Prbc.g_00228
OG0000160	Syad.g_02279	Prbc.g_00710
OG0000161	Syad.g_02287	Prbc.g_00716
OG0000162	Syad.g_02293	Prbc.g_00722
OG0000163	Syad.g_02542	Prbc.g_00758
OG0000164	Syad.g_02659	Prbc.g_00854
OG0000165	Syad.g_02476	Prbc.g_00862
OG0000166	Syad.g_00654	Prbc.g_00321
OG0000167	Syad.g_00419	Prbc.g_00238
OG0000168	Syad.g_00371	Prbc.g_00227
OG0000169	Syad.g_00360	Prbc.g_00217
OG0000170	Syad.g_00353	Prbc.g_00215
OG0000171	Syad.g_00321	Prbc.g_00194
OG0000172	Syad.g_00244	Prbc.g_00967
OG0000173	Syad.g_00220	Prbc.g_00982
OG0000174	Syad.g_00065	Prbc.g_01013
OG0000175	Syad.g_00129	Prbc.g_01044
OG0000176	Syad.g_00166	Prbc.g_01074
OG0000177	Syad.g_00167	Prbc.g_01075
OG0000178	Syad.g_00168	Prbc.g_01076
OG0000179	Syad.g_00183	Prbc.g_01086
OG0000180	Syad.g_00184	Prbc.g_01087
OG0000181	Syad.g_00185	Prbc.g_01088
OG0000182	Syad.g_00186	Prbc.g_01089
OG0000183	Syad.g_00190	Prbc.g_01093
OG0000184	Syad.g_03018	Prbc.g_01124
OG0000185	Syad.g_03006	Prbc.g_01127
OG0000186	Syad.g_02722	Prbc.g_00509
OG0000187	Syad.g_02724	Prbc.g_00508
OG0000188	Syad.g_02759	Prbc.g_00491
OG0000189	Syad.g_02788	Prbc.g_00477
OG0000190	Syad.g_02790	Prbc.g_00476
OG0000191	Syad.g_02824	Prbc.g_00453
OG0000192	Syad.g_02834	Prbc.g_00449
OG0000193	Syad.g_02877	Prbc.g_00425
OG0000194	Syad.g_02880	Prbc.g_00422
OG0000195	Syad.g_02884	Prbc.g_00420
OG0000196	Syad.g_02894	Prbc.g_00410
OG0000197	Syad.g_02895	Prbc.g_00409
OG0000198	Syad.g_02896	Prbc.g_00408
OG0000199	Syad.g_02904	Prbc.g_00401
OG0000200	Syad.g_02921	Prbc.g_00388
OG0000201	Syad.g_02937	Prbc.g_00379
OG0000202	Syad.g_02938	Prbc.g_00378
OG0000203	Syad.g_02939	Prbc.g_00377
OG0000204	Syad.g_02940	Prbc.g_00376
OG0000205	Syad.g_02948	Prbc.g_00369
OG0000206	Syad.g_02955	Prbc.g_00365
OG0000207	Syad.g_02957	Prbc.g_00363
OG0000208	Syad.g_02958	Prbc.g_00362
OG0000209	Syad.g_02981	Prbc.g_00352
OG0000210	Syad.g_02982	Prbc.g_00351
OG0000211	Syad.g_00813	Prbc.g_00337
OG0000212	Syad.g_00825	Prbc.g_00329
OG0000213	Syad.g_00556	Prbc.g_01153
OG0000214	Syad.g_00538	Prbc.g_01161
OG0000215	Syad.g_00508	Prbc.g_01185
OG0000216	Syad.g_00504, Syad.g_00285	Prbc.g_01186
OG0000217	Syad.g_00500	Prbc.g_01189
OG0000218	Syad.g_00498	Prbc.g_01191
OG0000219	Syad.g_00497	Prbc.g_01192
OG0000220	Syad.g_00496	Prbc.g_01193
OG0000221	Syad.g_00488	Prbc.g_01194
OG0000222	Syad.g_00473	Prbc.g_01202
OG0000223	Syad.g_00451	Prbc.g_01215
OG0000224	Syad.g_00444	Prbc.g_01217
OG0000225	Syad.g_00777	Prbc.g_01257
OG0000226	Syad.g_00781	Prbc.g_01261
OG0000227	Syad.g_00783	Prbc.g_01263
OG0000228	Syad.g_00784	Prbc.g_01267
OG0000229	Syad.g_02450	Prbc.g_01497
OG0000230	Syad.g_02448	Prbc.g_01499
OG0000231	Syad.g_02436	Prbc.g_01510
OG0000232	Syad.g_02392	Prbc.g_01518
OG0000233	Syad.g_02382	Prbc.g_01526
OG0000234	Syad.g_02351	Prbc.g_01535
OG0000235	Syad.g_00903	Prbc.g_01539
OG0000236	Syad.g_00918	Prbc.g_01552
OG0000237	Syad.g_00936	Prbc.g_01586
OG0000238	Syad.g_00941	Prbc.g_01592
OG0000239	Syad.g_00957	Prbc.g_01604
OG0000240	Syad.g_00958	Prbc.g_01605
OG0000241	Syad.g_02160	Prbc.g_01609
OG0000242	Syad.g_00975	Prbc.g_01611
OG0000243	Syad.g_01000	Prbc.g_01622
OG0000244	Syad.g_01012	Prbc.g_01626
OG0000245	Syad.g_01014	Prbc.g_01628
OG0000246	Syad.g_01017	Prbc.g_01632
OG0000247	Syad.g_01029	Prbc.g_01642
OG0000248	Syad.g_01032	Prbc.g_01644
OG0000249	Syad.g_01034	Prbc.g_01646
OG0000250	Syad.g_01044	Prbc.g_01651
OG0000251	Syad.g_01071	Prbc.g_01667
OG0000252	Syad.g_01078	Prbc.g_01669
OG0000253	Syad.g_01081	Prbc.g_01671
OG0000254	Syad.g_02203	Prbc.g_01688
OG0000255	Syad.g_02185	Prbc.g_01694
OG0000256	Syad.g_02167	Prbc.g_01704
OG0000257	Syad.g_02161	Prbc.g_01707
OG0000258	Syad.g_02143	Prbc.g_01720
OG0000259	Syad.g_01576	Prbc.g_01737
OG0000260	Syad.g_01587	Prbc.g_01740
OG0000261	Syad.g_01590	Prbc.g_01743
OG0000262	Syad.g_01595	Prbc.g_01748
OG0000263	Syad.g_01475	Prbc.g_01762
OG0000264	Syad.g_01360	Prbc.g_01773
OG0000265	Syad.g_01383	Prbc.g_01787
OG0000266	Syad.g_01804	Prbc.g_01797
OG0000267	Syad.g_01645	Prbc.g_01810
OG0000268	Syad.g_01646	Prbc.g_01811
OG0000269	Syad.g_01894	Prbc.g_01853
OG0000270	Syad.g_01891	Prbc.g_01856
OG0000271	Syad.g_01883	Prbc.g_01864
OG0000272	Syad.g_01882	Prbc.g_01865
OG0000273	Syad.g_01247	Prbc.g_01890
OG0000274	Syad.g_01246	Prbc.g_01891
OG0000275	Syad.g_01242	Prbc.g_01893
OG0000276	Syad.g_01229	Prbc.g_01899
OG0000277	Syad.g_01228	Prbc.g_01900
OG0000278	Syad.g_01225	Prbc.g_01904
OG0000279	Syad.g_01208	Prbc.g_01911
OG0000280	Syad.g_01198	Prbc.g_00068
OG0000281	Syad.g_00624	Prbc.g_01917
OG0000282	Syad.g_01619	Prbc.g_01979
OG0000283	Syad.g_01661	Prbc.g_02010
OG0000284	Syad.g_01787	Prbc.g_02015
OG0000285	Syad.g_01776	Prbc.g_02020
OG0000286	Syad.g_01758	Prbc.g_02035
OG0000287	Syad.g_01720	Prbc.g_02190
OG0000288	Syad.g_01687	Prbc.g_02082
OG0000289	Syad.g_01672	Prbc.g_02094
OG0000290	Syad.g_01287	Prbc.g_02110
OG0000291	Syad.g_01289	Prbc.g_02112
OG0000292	Syad.g_00155	Prbc.g_00173
OG0000293	Syad.g_01124	Prbc.g_01456
OG0000294	Syad.g_01125	Prbc.g_01455
OG0000295	Syad.g_01181	Prbc.g_01431
OG0000296	Syad.g_01183	Prbc.g_01429
OG0000297	Syad.g_01512	Prbc.g_01421
OG0000298	Syad.g_01511	Prbc.g_01420
OG0000299	Syad.g_01462	Prbc.g_01401
OG0000300	Syad.g_01455	Prbc.g_01398
OG0000301	Syad.g_01454	Prbc.g_01397
OG0000302	Syad.g_01453	Prbc.g_01395
OG0000303	Syad.g_01442	Prbc.g_01390
OG0000304	Syad.g_01436	Prbc.g_01387
OG0000305	Syad.g_01292	Prbc.g_00810
OG0000306	Syad.g_01989	Prbc.g_01921
OG0000307	Syad.g_00883	Prbc.g_00666
OG0000308	Syad.g_00881	Prbc.g_00667
OG0000309	Syad.g_00876	Prbc.g_00671
OG0000310	Syad.g_02250	Prbc.g_00693
OG0000311	Syad.g_02254	Prbc.g_00695
OG0000312	Syad.g_02265	Prbc.g_00698
OG0000313	Syad.g_02284	Prbc.g_00713
OG0000314	Syad.g_02313, Syad.g_02231	Prbc.g_00734
OG0000315	Syad.g_02323	Prbc.g_00744
OG0000316	Syad.g_02564	Prbc.g_00768
OG0000317	Syad.g_02620	Prbc.g_00830
OG0000318	Syad.g_02624	Prbc.g_00833
OG0000319	Syad.g_02642	Prbc.g_00844
OG0000320	Syad.g_02644	Prbc.g_00846
OG0000321	Syad.g_02645	Prbc.g_00847
OG0000322	Syad.g_02646	Prbc.g_00848
OG0000323	Syad.g_02661	Prbc.g_00857
OG0000324	Syad.g_02505	Prbc.g_00884
OG0000325	Syad.g_00591	Prbc.g_00935
OG0000326	Syad.g_00598	Prbc.g_00941
OG0000327	Syad.g_00649	Prbc.g_00326
OG0000328	Syad.g_00650	Prbc.g_00325
OG0000329	Syad.g_00668	Prbc.g_00308
OG0000330	Syad.g_00669	Prbc.g_00307
OG0000331	Syad.g_00670	Prbc.g_00306
OG0000332	Syad.g_00685	Prbc.g_00292
OG0000333	Syad.g_00688	Prbc.g_00290
OG0000334	Syad.g_00697	Prbc.g_00281
OG0000335	Syad.g_00702	Prbc.g_00276
OG0000336	Syad.g_00706	Prbc.g_00272
OG0000337	Syad.g_00425, Syad.g_00427	Prbc.g_00241
OG0000338	Syad.g_00421	Prbc.g_00240
OG0000339	Syad.g_00414	Prbc.g_00235
OG0000340	Syad.g_00370	Prbc.g_00226
OG0000341	Syad.g_00368	Prbc.g_00224
OG0000342	Syad.g_00367	Prbc.g_00223
OG0000343	Syad.g_00366	Prbc.g_00222
OG0000344	Syad.g_00362	Prbc.g_00219
OG0000345	Syad.g_00352	Prbc.g_00214
OG0000346	Syad.g_00347	Prbc.g_00210
OG0000347	Syad.g_00318	Prbc.g_00190
OG0000348	Syad.g_00233	Prbc.g_00970
OG0000349	Syad.g_00213	Prbc.g_00988
OG0000350	Syad.g_00605	Prbc.g_01009
OG0000351	Syad.g_00134	Prbc.g_01047
OG0000352	Syad.g_00135	Prbc.g_01048
OG0000353	Syad.g_00161	Prbc.g_01068
OG0000355	Syad.g_00163	Prbc.g_01071
OG0000356	Syad.g_00164	Prbc.g_01072
OG0000357	Syad.g_00165	Prbc.g_01073
OG0000358	Syad.g_00169	Prbc.g_01077
OG0000359	Syad.g_00171	Prbc.g_01078
OG0000360	Syad.g_00172	Prbc.g_01079
OG0000361	Syad.g_00173	Prbc.g_01080
OG0000362	Syad.g_00175	Prbc.g_01082
OG0000363	Syad.g_00177	Prbc.g_01084
OG0000364	Syad.g_00178	Prbc.g_01085
OG0000365	Syad.g_00187	Prbc.g_01090
OG0000366	Syad.g_00188	Prbc.g_01091
OG0000367	Syad.g_00189	Prbc.g_01092
OG0000368	Syad.g_00191	Prbc.g_01094
OG0000369	Syad.g_00192	Prbc.g_01095
OG0000370	Syad.g_00193	Prbc.g_01096
OG0000371	Syad.g_00201	Prbc.g_01102
OG0000372	Syad.g_00206	Prbc.g_01104
OG0000373	Syad.g_00207	Prbc.g_01105
OG0000374	Syad.g_00208	Prbc.g_01106
OG0000375	Syad.g_00209	Prbc.g_01118
OG0000376	Syad.g_00211	Prbc.g_01120
OG0000377	Syad.g_03027	Prbc.g_01123
OG0000378	Syad.g_03012	Prbc.g_01125
OG0000379	Syad.g_03005	Prbc.g_01128
OG0000380	Syad.g_02725	Prbc.g_00507
OG0000381	Syad.g_02729	Prbc.g_00503
OG0000382	Syad.g_02758	Prbc.g_00492
OG0000383	Syad.g_02761	Prbc.g_00490
OG0000384	Syad.g_02762	Prbc.g_00489
OG0000385	Syad.g_02763	Prbc.g_00488
OG0000386	Syad.g_02764	Prbc.g_00487
OG0000387	Syad.g_02792	Prbc.g_00474
OG0000388	Syad.g_02796	Prbc.g_00470
OG0000389	Syad.g_02800	Prbc.g_00467
OG0000390	Syad.g_02818	Prbc.g_00458
OG0000391	Syad.g_02823	Prbc.g_00454
OG0000392	Syad.g_02833	Prbc.g_00451
OG0000393	Syad.g_02837	Prbc.g_00448
OG0000394	Syad.g_02838	Prbc.g_00447
OG0000395	Syad.g_02839	Prbc.g_00446
OG0000396	Syad.g_02843	Prbc.g_00443
OG0000397	Syad.g_02845	Prbc.g_00441
OG0000398	Syad.g_02850	Prbc.g_00438
OG0000399	Syad.g_02851	Prbc.g_00437
OG0000400	Syad.g_02852	Prbc.g_00436
OG0000401	Syad.g_02853	Prbc.g_00435
OG0000402	Syad.g_02855	Prbc.g_02145
OG0000403	Syad.g_02856	Prbc.g_00434
OG0000404	Syad.g_02858	Prbc.g_00433
OG0000405	Syad.g_02874	Prbc.g_00428
OG0000406	Syad.g_02878	Prbc.g_00424
OG0000407	Syad.g_02879	Prbc.g_00423
OG0000408	Syad.g_02883	Prbc.g_00421
OG0000409	Syad.g_02885	Prbc.g_00419
OG0000410	Syad.g_02886	Prbc.g_00418
OG0000411	Syad.g_02887	Prbc.g_00417
OG0000412	Syad.g_02888	Prbc.g_00416
OG0000413	Syad.g_02890	Prbc.g_00415
OG0000415	Syad.g_02891	Prbc.g_00413
OG0000416	Syad.g_02892	Prbc.g_00412
OG0000417	Syad.g_02893	Prbc.g_00411
OG0000418	Syad.g_02898	Prbc.g_00406
OG0000419	Syad.g_02900	Prbc.g_00404
OG0000420	Syad.g_02902	Prbc.g_00403
OG0000421	Syad.g_02907	Prbc.g_00399
OG0000422	Syad.g_02908	Prbc.g_00398
OG0000423	Syad.g_02909	Prbc.g_00397
OG0000424	Syad.g_02910	Prbc.g_00396
OG0000425	Syad.g_02911	Prbc.g_00395
OG0000426	Syad.g_02912	Prbc.g_00394
OG0000427	Syad.g_02913	Prbc.g_00393
OG0000428	Syad.g_02916	Prbc.g_00391
OG0000429	Syad.g_02918	Prbc.g_00390
OG0000430	Syad.g_02920	Prbc.g_00389
OG0000431	Syad.g_02923	Prbc.g_00387
OG0000432	Syad.g_02930	Prbc.g_00383
OG0000433	Syad.g_02933	Prbc.g_00382
OG0000434	Syad.g_02934	Prbc.g_00381
OG0000435	Syad.g_02936	Prbc.g_00380
OG0000436	Syad.g_02942	Prbc.g_00375
OG0000437	Syad.g_02943	Prbc.g_00374
OG0000438	Syad.g_02944	Prbc.g_00373
OG0000439	Syad.g_02946	Prbc.g_00371
OG0000440	Syad.g_02947	Prbc.g_00370
OG0000441	Syad.g_02951	Prbc.g_00368
OG0000442	Syad.g_02952	Prbc.g_00367
OG0000443	Syad.g_02953	Prbc.g_00366
OG0000444	Syad.g_02964	Prbc.g_00361
OG0000445	Syad.g_02965	Prbc.g_00360
OG0000446	Syad.g_02967	Prbc.g_00358
OG0000447	Syad.g_02970	Prbc.g_00357
OG0000448	Syad.g_02971	Prbc.g_00356
OG0000449	Syad.g_02972	Prbc.g_00355
OG0000450	Syad.g_02978	Prbc.g_00354
OG0000451	Syad.g_02979	Prbc.g_00353
OG0000452	Syad.g_02983	Prbc.g_00350
OG0000453	Syad.g_02984	Prbc.g_00349
OG0000454	Syad.g_02985	Prbc.g_00348
OG0000455	Syad.g_02986	Prbc.g_00347
OG0000456	Syad.g_02987	Prbc.g_00346
OG0000457	Syad.g_02989	Prbc.g_00345
OG0000458	Syad.g_02998	Prbc.g_00344
OG0000459	Syad.g_02999	Prbc.g_00343
OG0000460	Syad.g_00815	Prbc.g_00335
OG0000461	Syad.g_00579	Prbc.g_01140
OG0000462	Syad.g_00576	Prbc.g_01142
OG0000463	Syad.g_00575	Prbc.g_01143
OG0000464	Syad.g_00574	Prbc.g_01144
OG0000465	Syad.g_00573	Prbc.g_01145
OG0000466	Syad.g_00568	Prbc.g_01146
OG0000467	Syad.g_00566	Prbc.g_01147
OG0000468	Syad.g_00561	Prbc.g_01149
OG0000469	Syad.g_00545	Prbc.g_01156
OG0000470	Syad.g_00542	Prbc.g_01158
OG0000471	Syad.g_00541	Prbc.g_01159
OG0000472	Syad.g_00539	Prbc.g_01160
OG0000473	Syad.g_00537	Prbc.g_01162
OG0000474	Syad.g_00536	Prbc.g_01163
OG0000475	Syad.g_00535	Prbc.g_01164
OG0000476	Syad.g_00533	Prbc.g_01166
OG0000477	Syad.g_00528	Prbc.g_01168
OG0000478	Syad.g_00527	Prbc.g_01169
OG0000479	Syad.g_00526	Prbc.g_01170
OG0000480	Syad.g_00520	Prbc.g_01175
OG0000481	Syad.g_00518	Prbc.g_01177
OG0000482	Syad.g_00517	Prbc.g_01178
OG0000483	Syad.g_00513	Prbc.g_01181
OG0000484	Syad.g_00512	Prbc.g_01182
OG0000485	Syad.g_00511	Prbc.g_01183
OG0000486	Syad.g_00510	Prbc.g_01184
OG0000487	Syad.g_00503	Prbc.g_01187
OG0000488	Syad.g_00499	Prbc.g_01190
OG0000489	Syad.g_00487	Prbc.g_01195
OG0000490	Syad.g_00475	Prbc.g_01200
OG0000491	Syad.g_00474	Prbc.g_01201
OG0000492	Syad.g_00472	Prbc.g_01203
OG0000493	Syad.g_00471	Prbc.g_01204
OG0000494	Syad.g_00470	Prbc.g_01205
OG0000495	Syad.g_00469	Prbc.g_01206
OG0000496	Syad.g_00468	Prbc.g_01207
OG0000497	Syad.g_00467	Prbc.g_01208
OG0000498	Syad.g_00466	Prbc.g_01209
OG0000499	Syad.g_00465	Prbc.g_01210
OG0000500	Syad.g_00464	Prbc.g_01211
OG0000501	Syad.g_00461	Prbc.g_01213
OG0000502	Syad.g_00449	Prbc.g_01216
OG0000503	Syad.g_00761	Prbc.g_01246
OG0000504	Syad.g_00763	Prbc.g_01248
OG0000505	Syad.g_00764	Prbc.g_01249
OG0000506	Syad.g_00766	Prbc.g_01250
OG0000507	Syad.g_00772	Prbc.g_01253
OG0000508	Syad.g_00776	Prbc.g_01256
OG0000509	Syad.g_00778	Prbc.g_01258
OG0000510	Syad.g_00779	Prbc.g_01259
OG0000511	Syad.g_00780	Prbc.g_01260
OG0000512	Syad.g_00782	Prbc.g_01262
OG0000513	Syad.g_00789	Prbc.g_01271
OG0000514	Syad.g_00795	Prbc.g_01492
OG0000515	Syad.g_00796	Prbc.g_01493
OG0000516	Syad.g_02456	Prbc.g_01494
OG0000517	Syad.g_02451	Prbc.g_01496
OG0000518	Syad.g_02439	Prbc.g_01507
OG0000519	Syad.g_02438	Prbc.g_01508
OG0000520	Syad.g_02437	Prbc.g_01509
OG0000521	Syad.g_01108	Prbc.g_01514
OG0000522	Syad.g_01109	Prbc.g_01516
OG0000523	Syad.g_01110	Prbc.g_01517
OG0000524	Syad.g_02386	Prbc.g_01524
OG0000525	Syad.g_02363	Prbc.g_01528
OG0000526	Syad.g_02360	Prbc.g_01529
OG0000527	Syad.g_02355	Prbc.g_01532
OG0000528	Syad.g_00897	Prbc.g_01538
OG0000529	Syad.g_00905	Prbc.g_01541
OG0000530	Syad.g_00908	Prbc.g_01544
OG0000531	Syad.g_00909	Prbc.g_01545
OG0000532	Syad.g_00912	Prbc.g_01546
OG0000533	Syad.g_00913	Prbc.g_01547
OG0000534	Syad.g_00914	Prbc.g_01548
OG0000535	Syad.g_00915	Prbc.g_01549
OG0000536	Syad.g_00916	Prbc.g_01550
OG0000537	Syad.g_00917	Prbc.g_01551
OG0000538	Syad.g_00929	Prbc.g_01580
OG0000539	Syad.g_00930	Prbc.g_01581
OG0000540	Syad.g_00931	Prbc.g_01582
OG0000541	Syad.g_00932	Prbc.g_01583
OG0000542	Syad.g_00935	Prbc.g_01585
OG0000543	Syad.g_00937	Prbc.g_01587
OG0000544	Syad.g_00938	Prbc.g_01588
OG0000545	Syad.g_00940	Prbc.g_01590
OG0000546	Syad.g_00942	Prbc.g_01593
OG0000547	Syad.g_00944	Prbc.g_01595
