Orthogroup	Syad	Praz
OG0000056	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691	Praz.g_01253
OG0000057	Syad.g_01301	Praz.g_01632
OG0000058	Syad.g_00452	Praz.g_01096
OG0000059	Syad.g_00642	Praz.g_00311
OG0000061	Syad.g_01152	Praz.g_00755
OG0000062	Syad.g_02598	Praz.g_00963
OG0000063	Syad.g_00202	Praz.g_00398
OG0000065	Syad.g_02801, Syad.g_02574	Praz.g_00467
OG0000066	Syad.g_00992	Praz.g_01789
OG0000067	Syad.g_01889	Praz.g_01512
OG0000068	Syad.g_00891	Praz.g_01139
OG0000070	Syad.g_02424	Praz.g_01878
OG0000071	Syad.g_02405	Praz.g_01180
OG0000072	Syad.g_02905	Praz.g_00531
OG0000073	Syad.g_00926	Praz.g_01829
OG0000075	Syad.g_00416	Praz.g_00230
OG0000076	Syad.g_00348	Praz.g_00205
OG0000077	Syad.g_02741	Praz.g_00438
OG0000078	Syad.g_00824	Praz.g_00599
OG0000079	Syad.g_00565	Praz.g_00612
OG0000081	Syad.g_00833	Praz.g_01797
OG0000082	Syad.g_01063	Praz.g_01744
OG0000084	Syad.g_02272	Praz.g_01045
OG0000085	Syad.g_02612	Praz.g_00884
OG0000086	Syad.g_02770	Praz.g_00448
OG0000087	Syad.g_02860	Praz.g_00499
OG0000088	Syad.g_02899	Praz.g_00526
OG0000089	Syad.g_00785, Syad.g_02829	Praz.g_00818
OG0000090	Syad.g_00977	Praz.g_01795
OG0000091	Syad.g_02144	Praz.g_01688
OG0000092	Syad.g_01190	Praz.g_00244
OG0000093	Syad.g_01905	Praz.g_01382
OG0000094	Syad.g_01676	Praz.g_01296
OG0000095	Syad.g_01290	Praz.g_00066
OG0000097	Syad.g_01458	Praz.g_00713
OG0000098	Syad.g_00625	Praz.g_01157
OG0000099	Syad.g_00460	Praz.g_01098
OG0000100	Syad.g_01846	Praz.g_00967
OG0000101	Syad.g_00694	Praz.g_00263
OG0000102	Syad.g_00343	Praz.g_00200
OG0000103	Syad.g_00143	Praz.g_00120
OG0000104	Syad.g_00158	Praz.g_00361
OG0000105	Syad.g_00530	Praz.g_00632
OG0000106	Syad.g_01993	Praz.g_00804
OG0000107	Syad.g_00590	Praz.g_00788
OG0000108	Syad.g_00904	Praz.g_01848
OG0000109	Syad.g_00919	Praz.g_01834
OG0000110	Syad.g_01048	Praz.g_01754
OG0000111	Syad.g_01300	Praz.g_01631
OG0000112	Syad.g_01766	Praz.g_01547
OG0000113	Syad.g_01851	Praz.g_01490
OG0000114	Syad.g_01617	Praz.g_01408
OG0000115	Syad.g_02300	Praz.g_00054
OG0000116	Syad.g_01123	Praz.g_00002
OG0000117	Syad.g_01510	Praz.g_01237
OG0000118	Syad.g_01104	Praz.g_01168
OG0000119	Syad.g_01168	Praz.g_01143
OG0000120	Syad.g_00459	Praz.g_01118
OG0000121	Syad.g_02280	Praz.g_01039
OG0000122	Syad.g_02122	Praz.g_01001
OG0000123	Syad.g_00701	Praz.g_00256
OG0000124	Syad.g_00320	Praz.g_00189
OG0000125	Syad.g_03040	Praz.g_00152
OG0000126	Syad.g_00156	Praz.g_00360
OG0000127	Syad.g_02710, Syad.g_00058, Syad.g_00383	Praz.g_01255
OG0000128	Syad.g_00174	Praz.g_00376
OG0000129	Syad.g_03028	Praz.g_00410
OG0000130	Syad.g_02728	Praz.g_00429
OG0000131	Syad.g_02876	Praz.g_00505
OG0000132	Syad.g_02897	Praz.g_00524
OG0000133	Syad.g_01761	Praz.g_00679
OG0000134	Syad.g_00788	Praz.g_00817
OG0000135	Syad.g_00063	Praz.g_00791
OG0000136	Syad.g_02445	Praz.g_01887
OG0000137	Syad.g_02353	Praz.g_01853
OG0000138	Syad.g_00920	Praz.g_01833
OG0000139	Syad.g_00983	Praz.g_01791
OG0000140	Syad.g_00987	Praz.g_01790
OG0000141	Syad.g_02208	Praz.g_01723
OG0000142	Syad.g_02152	Praz.g_01695
OG0000143	Syad.g_02148	Praz.g_01691
OG0000144	Syad.g_02024	Praz.g_01678
OG0000145	Syad.g_00927	Praz.g_01554
OG0000146	Syad.g_01767	Praz.g_01546
OG0000147	Syad.g_01768	Praz.g_01545
OG0000148	Syad.g_01861	Praz.g_01496
OG0000149	Syad.g_01221	Praz.g_01465
OG0000150	Syad.g_02207, Syad.g_00989	Praz.g_01457
OG0000151	Syad.g_01956	Praz.g_01398
OG0000152	Syad.g_01757	Praz.g_01350
OG0000153	Syad.g_01713	Praz.g_01331
OG0000154	Syad.g_01686	Praz.g_01303
OG0000155	Syad.g_01189	Praz.g_00734
OG0000156	Syad.g_01116	Praz.g_01191
OG0000157	Syad.g_01115	Praz.g_01190
OG0000158	Syad.g_00374	Praz.g_01097
OG0000160	Syad.g_02279	Praz.g_01040
OG0000161	Syad.g_02287	Praz.g_01034
OG0000162	Syad.g_02293	Praz.g_01028
OG0000163	Syad.g_02542	Praz.g_00994
OG0000164	Syad.g_02659	Praz.g_00853
OG0000165	Syad.g_02476	Praz.g_00846
OG0000166	Syad.g_00654	Praz.g_00299
OG0000167	Syad.g_00419	Praz.g_00232
OG0000168	Syad.g_00371	Praz.g_00222
OG0000169	Syad.g_00360	Praz.g_00212
OG0000170	Syad.g_00353	Praz.g_00210
OG0000171	Syad.g_00321	Praz.g_00190
OG0000172	Syad.g_00244	Praz.g_00181
OG0000173	Syad.g_00220	Praz.g_00166
OG0000174	Syad.g_00065	Praz.g_00138
OG0000175	Syad.g_00129	Praz.g_00128
OG0000176	Syad.g_00166	Praz.g_00369
OG0000177	Syad.g_00167	Praz.g_00370
OG0000178	Syad.g_00168	Praz.g_00371
OG0000179	Syad.g_00183	Praz.g_00381
OG0000180	Syad.g_00184	Praz.g_00382
OG0000181	Syad.g_00185	Praz.g_00383
OG0000182	Syad.g_00186	Praz.g_00384
OG0000183	Syad.g_00190	Praz.g_00388
OG0000184	Syad.g_03018	Praz.g_00412
OG0000185	Syad.g_03006	Praz.g_00415
OG0000186	Syad.g_02722	Praz.g_00424
OG0000187	Syad.g_02724	Praz.g_00425
OG0000188	Syad.g_02759	Praz.g_00442
OG0000189	Syad.g_02788	Praz.g_00456
OG0000190	Syad.g_02790	Praz.g_00457
OG0000191	Syad.g_02824	Praz.g_00477
OG0000192	Syad.g_02834	Praz.g_00481
OG0000193	Syad.g_02877	Praz.g_00506
OG0000194	Syad.g_02880	Praz.g_00509
OG0000195	Syad.g_02884	Praz.g_00511
OG0000196	Syad.g_02894	Praz.g_00521
OG0000197	Syad.g_02895	Praz.g_00522
OG0000198	Syad.g_02896	Praz.g_00523
OG0000199	Syad.g_02904	Praz.g_00530
OG0000200	Syad.g_02921	Praz.g_00544
OG0000201	Syad.g_02937	Praz.g_00552
OG0000202	Syad.g_02938	Praz.g_00553
OG0000203	Syad.g_02939	Praz.g_00554
OG0000204	Syad.g_02940	Praz.g_00555
OG0000205	Syad.g_02948	Praz.g_00562
OG0000206	Syad.g_02955	Praz.g_00567
OG0000207	Syad.g_02957	Praz.g_00569
OG0000208	Syad.g_02958	Praz.g_00570
OG0000209	Syad.g_02981	Praz.g_00579
OG0000210	Syad.g_02982	Praz.g_00580
OG0000211	Syad.g_00813	Praz.g_00593
OG0000212	Syad.g_00825	Praz.g_00600
OG0000213	Syad.g_00556	Praz.g_00617
OG0000214	Syad.g_00538	Praz.g_00626
OG0000215	Syad.g_00508	Praz.g_00650
OG0000216	Syad.g_00504, Syad.g_00285	Praz.g_00651
OG0000217	Syad.g_00500	Praz.g_00654
OG0000218	Syad.g_00498	Praz.g_00656
OG0000219	Syad.g_00497	Praz.g_00657
OG0000220	Syad.g_00496	Praz.g_00658
OG0000221	Syad.g_00488	Praz.g_00659
OG0000222	Syad.g_00473	Praz.g_00667
OG0000223	Syad.g_00451	Praz.g_00680
OG0000224	Syad.g_00444	Praz.g_00682
OG0000225	Syad.g_00777	Praz.g_00348
OG0000226	Syad.g_00781	Praz.g_00352
OG0000227	Syad.g_00783	Praz.g_00354
OG0000228	Syad.g_00784	Praz.g_00819
OG0000229	Syad.g_02450	Praz.g_01892
OG0000230	Syad.g_02448	Praz.g_01890
OG0000231	Syad.g_02436	Praz.g_01879
OG0000232	Syad.g_02392	Praz.g_01870
OG0000233	Syad.g_02382	Praz.g_01865
OG0000234	Syad.g_02351	Praz.g_01852
OG0000235	Syad.g_00903	Praz.g_01849
OG0000236	Syad.g_00918	Praz.g_01835
OG0000237	Syad.g_00936	Praz.g_01822
OG0000238	Syad.g_00941	Praz.g_01816
OG0000239	Syad.g_00957	Praz.g_01803
OG0000240	Syad.g_00958	Praz.g_01802
OG0000241	Syad.g_02160	Praz.g_01798
OG0000242	Syad.g_00975	Praz.g_01796
OG0000243	Syad.g_01000	Praz.g_01785
OG0000244	Syad.g_01012	Praz.g_01782
OG0000245	Syad.g_01014	Praz.g_01780
OG0000246	Syad.g_01017	Praz.g_01776
OG0000247	Syad.g_01029	Praz.g_01766
OG0000248	Syad.g_01032	Praz.g_01764
OG0000249	Syad.g_01034	Praz.g_01762
OG0000250	Syad.g_01044	Praz.g_01757
OG0000251	Syad.g_01071	Praz.g_01739
OG0000252	Syad.g_01078	Praz.g_01736
OG0000253	Syad.g_01081	Praz.g_01735
OG0000254	Syad.g_02203	Praz.g_01719
OG0000255	Syad.g_02185	Praz.g_01713
OG0000256	Syad.g_02167	Praz.g_01703
OG0000257	Syad.g_02161	Praz.g_01700
OG0000258	Syad.g_02143	Praz.g_01687
OG0000259	Syad.g_01576	Praz.g_01670
OG0000260	Syad.g_01587	Praz.g_01667
OG0000261	Syad.g_01590	Praz.g_01665
OG0000262	Syad.g_01595	Praz.g_01661
OG0000263	Syad.g_01475	Praz.g_01649
OG0000264	Syad.g_01360	Praz.g_01639
OG0000265	Syad.g_01383	Praz.g_01607
OG0000266	Syad.g_01804	Praz.g_01597
OG0000267	Syad.g_01645	Praz.g_01586
OG0000268	Syad.g_01646	Praz.g_01585
OG0000269	Syad.g_01894	Praz.g_01517
OG0000270	Syad.g_01891	Praz.g_01514
OG0000271	Syad.g_01883	Praz.g_01506
OG0000272	Syad.g_01882	Praz.g_01505
OG0000273	Syad.g_01247	Praz.g_01482
OG0000274	Syad.g_01246	Praz.g_01481
OG0000275	Syad.g_01242	Praz.g_01478
OG0000276	Syad.g_01229	Praz.g_01473
OG0000277	Syad.g_01228	Praz.g_01472
OG0000278	Syad.g_01225	Praz.g_01469
OG0000279	Syad.g_01208	Praz.g_01462
OG0000280	Syad.g_01198	Praz.g_01461
OG0000281	Syad.g_00624	Praz.g_01456
OG0000282	Syad.g_01619	Praz.g_01406
OG0000283	Syad.g_01661	Praz.g_01373
OG0000284	Syad.g_01787	Praz.g_01368
OG0000285	Syad.g_01776	Praz.g_01363
OG0000286	Syad.g_01758	Praz.g_01351
OG0000287	Syad.g_01720	Praz.g_01334
OG0000288	Syad.g_01687	Praz.g_01304
OG0000289	Syad.g_01672	Praz.g_01292
OG0000290	Syad.g_01287	Praz.g_01279, Praz.g_00063
OG0000291	Syad.g_01289	Praz.g_00065
OG0000292	Syad.g_00155	Praz.g_00114
OG0000293	Syad.g_01124	Praz.g_00001
OG0000294	Syad.g_01125	Praz.g_00763
OG0000295	Syad.g_01181	Praz.g_00742
OG0000296	Syad.g_01183	Praz.g_00740
OG0000297	Syad.g_01512	Praz.g_00732
OG0000298	Syad.g_01511	Praz.g_00731
OG0000299	Syad.g_01462	Praz.g_00714
OG0000300	Syad.g_01455	Praz.g_00711
OG0000301	Syad.g_01454	Praz.g_00710
OG0000302	Syad.g_01453	Praz.g_00708
OG0000303	Syad.g_01442	Praz.g_00701
OG0000304	Syad.g_01436	Praz.g_00697
OG0000305	Syad.g_01292	Praz.g_01147
OG0000306	Syad.g_01989	Praz.g_01144
OG0000307	Syad.g_00883	Praz.g_01130
OG0000308	Syad.g_00881	Praz.g_01129
OG0000309	Syad.g_00876	Praz.g_01125
OG0000310	Syad.g_02250	Praz.g_01056
OG0000311	Syad.g_02254	Praz.g_01054
OG0000312	Syad.g_02265	Praz.g_01051
OG0000313	Syad.g_02284	Praz.g_01037
OG0000314	Syad.g_02313, Syad.g_02231	Praz.g_01014
OG0000315	Syad.g_02323	Praz.g_01004
OG0000316	Syad.g_02564	Praz.g_00984
OG0000317	Syad.g_02620	Praz.g_00879
OG0000318	Syad.g_02624	Praz.g_00876
OG0000319	Syad.g_02642	Praz.g_00863
OG0000320	Syad.g_02644	Praz.g_00861
OG0000321	Syad.g_02645	Praz.g_00860
OG0000322	Syad.g_02646	Praz.g_00859
OG0000323	Syad.g_02661	Praz.g_00850
OG0000324	Syad.g_02505	Praz.g_00824
OG0000325	Syad.g_00591	Praz.g_00334
OG0000326	Syad.g_00598	Praz.g_00328
OG0000327	Syad.g_00649	Praz.g_00304
OG0000328	Syad.g_00650	Praz.g_00303
OG0000329	Syad.g_00668	Praz.g_00286
OG0000330	Syad.g_00669	Praz.g_00285
OG0000331	Syad.g_00670	Praz.g_00284
OG0000332	Syad.g_00685	Praz.g_00270
OG0000333	Syad.g_00688	Praz.g_00268
OG0000334	Syad.g_00697	Praz.g_00260
OG0000335	Syad.g_00702	Praz.g_00255
OG0000336	Syad.g_00706	Praz.g_00251
OG0000337	Syad.g_00425, Syad.g_00427	Praz.g_00234
OG0000338	Syad.g_00421	Praz.g_00233
OG0000339	Syad.g_00414	Praz.g_00229
OG0000340	Syad.g_00370	Praz.g_00221
OG0000341	Syad.g_00368	Praz.g_00219
OG0000342	Syad.g_00367	Praz.g_00218
OG0000343	Syad.g_00366	Praz.g_00217
OG0000344	Syad.g_00362	Praz.g_00214
OG0000345	Syad.g_00352	Praz.g_00209
OG0000346	Syad.g_00347	Praz.g_00204
OG0000347	Syad.g_00318	Praz.g_00188
OG0000348	Syad.g_00233	Praz.g_00178
OG0000349	Syad.g_00213	Praz.g_00161
OG0000350	Syad.g_00605	Praz.g_00142
OG0000351	Syad.g_00134	Praz.g_00125
OG0000352	Syad.g_00135	Praz.g_00124
OG0000353	Syad.g_00161	Praz.g_00364
OG0000355	Syad.g_00163	Praz.g_00366
OG0000356	Syad.g_00164	Praz.g_00367
OG0000357	Syad.g_00165	Praz.g_00368
OG0000358	Syad.g_00169	Praz.g_00372
OG0000359	Syad.g_00171	Praz.g_00373
OG0000360	Syad.g_00172	Praz.g_00374
OG0000361	Syad.g_00173	Praz.g_00375
OG0000362	Syad.g_00175	Praz.g_00377
OG0000363	Syad.g_00177	Praz.g_00379
OG0000364	Syad.g_00178	Praz.g_00380
OG0000365	Syad.g_00187	Praz.g_00385
OG0000366	Syad.g_00188	Praz.g_00386
OG0000367	Syad.g_00189	Praz.g_00387
OG0000368	Syad.g_00191	Praz.g_00389
OG0000369	Syad.g_00192	Praz.g_00390
OG0000370	Syad.g_00193	Praz.g_00391
OG0000371	Syad.g_00201	Praz.g_00397
OG0000372	Syad.g_00206	Praz.g_00400
OG0000373	Syad.g_00207	Praz.g_00401
OG0000374	Syad.g_00208	Praz.g_00402
OG0000375	Syad.g_00209	Praz.g_00406
OG0000376	Syad.g_00211	Praz.g_00408
OG0000377	Syad.g_03027	Praz.g_00411
OG0000378	Syad.g_03012	Praz.g_00413
OG0000379	Syad.g_03005	Praz.g_00416
OG0000380	Syad.g_02725	Praz.g_00426
OG0000381	Syad.g_02729	Praz.g_00430
OG0000382	Syad.g_02758	Praz.g_00441
OG0000383	Syad.g_02761	Praz.g_00443
OG0000384	Syad.g_02762	Praz.g_00444
OG0000385	Syad.g_02763	Praz.g_00445
OG0000386	Syad.g_02764	Praz.g_00446
OG0000387	Syad.g_02792	Praz.g_00459
OG0000388	Syad.g_02796	Praz.g_00462
OG0000389	Syad.g_02800	Praz.g_00466
OG0000390	Syad.g_02818	Praz.g_00473
OG0000391	Syad.g_02823	Praz.g_00476
OG0000392	Syad.g_02833	Praz.g_00480
OG0000393	Syad.g_02837	Praz.g_00482
OG0000394	Syad.g_02838	Praz.g_00483
OG0000395	Syad.g_02839	Praz.g_00484
OG0000396	Syad.g_02843	Praz.g_00487
OG0000397	Syad.g_02845	Praz.g_00489
OG0000398	Syad.g_02850	Praz.g_00491
OG0000399	Syad.g_02851	Praz.g_00492
OG0000400	Syad.g_02852	Praz.g_00493
OG0000401	Syad.g_02853	Praz.g_00494
OG0000402	Syad.g_02855	Praz.g_00496
OG0000403	Syad.g_02856	Praz.g_00497
OG0000404	Syad.g_02858	Praz.g_00498
OG0000405	Syad.g_02874	Praz.g_00502
OG0000406	Syad.g_02878	Praz.g_00507
OG0000407	Syad.g_02879	Praz.g_00508
OG0000408	Syad.g_02883	Praz.g_00510
OG0000409	Syad.g_02885	Praz.g_00512
OG0000410	Syad.g_02886	Praz.g_00513
OG0000411	Syad.g_02887	Praz.g_00514
OG0000412	Syad.g_02888	Praz.g_00515
OG0000413	Syad.g_02890	Praz.g_00516
OG0000415	Syad.g_02891	Praz.g_00518
OG0000416	Syad.g_02892	Praz.g_00519
OG0000417	Syad.g_02893	Praz.g_00520
OG0000418	Syad.g_02898	Praz.g_00525
OG0000419	Syad.g_02900	Praz.g_00527
OG0000420	Syad.g_02902	Praz.g_00528
OG0000421	Syad.g_02907	Praz.g_00533
OG0000422	Syad.g_02908	Praz.g_00534
OG0000423	Syad.g_02909	Praz.g_00535
OG0000424	Syad.g_02910	Praz.g_00536
OG0000425	Syad.g_02911	Praz.g_00537
OG0000426	Syad.g_02912	Praz.g_00538
OG0000427	Syad.g_02913	Praz.g_00539
OG0000428	Syad.g_02916	Praz.g_00541
OG0000429	Syad.g_02918	Praz.g_00542
OG0000430	Syad.g_02920	Praz.g_00543
OG0000431	Syad.g_02923	Praz.g_00545
OG0000432	Syad.g_02930	Praz.g_00548
OG0000433	Syad.g_02933	Praz.g_00549
OG0000434	Syad.g_02934	Praz.g_00550
OG0000435	Syad.g_02936	Praz.g_00551
OG0000436	Syad.g_02942	Praz.g_00556
OG0000437	Syad.g_02943	Praz.g_00557
OG0000438	Syad.g_02944	Praz.g_00558
OG0000439	Syad.g_02946	Praz.g_00560
OG0000440	Syad.g_02947	Praz.g_00561
OG0000441	Syad.g_02951	Praz.g_00564
OG0000442	Syad.g_02952	Praz.g_00565
OG0000443	Syad.g_02953	Praz.g_00566
OG0000444	Syad.g_02964	Praz.g_00571
OG0000445	Syad.g_02965	Praz.g_00572
OG0000446	Syad.g_02967	Praz.g_00573
OG0000447	Syad.g_02970	Praz.g_00574
OG0000448	Syad.g_02971	Praz.g_00575
OG0000449	Syad.g_02972	Praz.g_00576
OG0000450	Syad.g_02978	Praz.g_00577
OG0000451	Syad.g_02979	Praz.g_00578
OG0000452	Syad.g_02983	Praz.g_00581
OG0000453	Syad.g_02984	Praz.g_00582
OG0000454	Syad.g_02985	Praz.g_00583
OG0000455	Syad.g_02986	Praz.g_00584
OG0000456	Syad.g_02987	Praz.g_00585
OG0000457	Syad.g_02989	Praz.g_00586
OG0000458	Syad.g_02998	Praz.g_00587
OG0000459	Syad.g_02999	Praz.g_00588
OG0000460	Syad.g_00815	Praz.g_00595
OG0000461	Syad.g_00579	Praz.g_00602
OG0000462	Syad.g_00576	Praz.g_00604
OG0000463	Syad.g_00575	Praz.g_00605
OG0000464	Syad.g_00574	Praz.g_00606
OG0000465	Syad.g_00573	Praz.g_00607
OG0000466	Syad.g_00568	Praz.g_00610
OG0000467	Syad.g_00566	Praz.g_00611
OG0000468	Syad.g_00561	Praz.g_00613
OG0000469	Syad.g_00545	Praz.g_00621
OG0000470	Syad.g_00542	Praz.g_00623
OG0000471	Syad.g_00541	Praz.g_00624
OG0000472	Syad.g_00539	Praz.g_00625
OG0000473	Syad.g_00537	Praz.g_00627
OG0000474	Syad.g_00536	Praz.g_00628
OG0000475	Syad.g_00535	Praz.g_00629
OG0000476	Syad.g_00533	Praz.g_00630
OG0000477	Syad.g_00528	Praz.g_00633
OG0000478	Syad.g_00527	Praz.g_00634
OG0000479	Syad.g_00526	Praz.g_00635
OG0000480	Syad.g_00520	Praz.g_00640
OG0000481	Syad.g_00518	Praz.g_00642
OG0000482	Syad.g_00517	Praz.g_00643
OG0000483	Syad.g_00513	Praz.g_00646
OG0000484	Syad.g_00512	Praz.g_00647
OG0000485	Syad.g_00511	Praz.g_00648
OG0000486	Syad.g_00510	Praz.g_00649
OG0000487	Syad.g_00503	Praz.g_00652
OG0000488	Syad.g_00499	Praz.g_00655
OG0000489	Syad.g_00487	Praz.g_00660
OG0000490	Syad.g_00475	Praz.g_00665
OG0000491	Syad.g_00474	Praz.g_00666
OG0000492	Syad.g_00472	Praz.g_00668
OG0000493	Syad.g_00471	Praz.g_00669
OG0000494	Syad.g_00470	Praz.g_00670
OG0000495	Syad.g_00469	Praz.g_00671
OG0000496	Syad.g_00468	Praz.g_00672
OG0000497	Syad.g_00467	Praz.g_00673
OG0000498	Syad.g_00466	Praz.g_00674
OG0000499	Syad.g_00465	Praz.g_00675
OG0000500	Syad.g_00464	Praz.g_00676
OG0000501	Syad.g_00461	Praz.g_00678
OG0000502	Syad.g_00449	Praz.g_00681
OG0000503	Syad.g_00761	Praz.g_01931
OG0000504	Syad.g_00763	Praz.g_01932
OG0000505	Syad.g_00764	Praz.g_01933
OG0000506	Syad.g_00766	Praz.g_01935
OG0000507	Syad.g_00772	Praz.g_00343
OG0000508	Syad.g_00776	Praz.g_00347
OG0000509	Syad.g_00778	Praz.g_00349
OG0000510	Syad.g_00779	Praz.g_00350
OG0000511	Syad.g_00780	Praz.g_00351
OG0000512	Syad.g_00782	Praz.g_00353
OG0000513	Syad.g_00789	Praz.g_00816
OG0000514	Syad.g_00795	Praz.g_01897
OG0000515	Syad.g_00796	Praz.g_01896
OG0000516	Syad.g_02456	Praz.g_01895
OG0000517	Syad.g_02451	Praz.g_01893
OG0000518	Syad.g_02439	Praz.g_01882
OG0000519	Syad.g_02438	Praz.g_01881
OG0000520	Syad.g_02437	Praz.g_01880
OG0000521	Syad.g_01108	Praz.g_01875
OG0000522	Syad.g_01109	Praz.g_01873
OG0000523	Syad.g_01110	Praz.g_01872
OG0000524	Syad.g_02386	Praz.g_01867
OG0000525	Syad.g_02363	Praz.g_01864
OG0000526	Syad.g_02360	Praz.g_01863
OG0000527	Syad.g_02355	Praz.g_01855
OG0000528	Syad.g_00897	Praz.g_01850
OG0000529	Syad.g_00905	Praz.g_01847
OG0000530	Syad.g_00908	Praz.g_01844
OG0000531	Syad.g_00909	Praz.g_01843
OG0000532	Syad.g_00912	Praz.g_01841
OG0000533	Syad.g_00913	Praz.g_01840
OG0000534	Syad.g_00914	Praz.g_01839
OG0000535	Syad.g_00915	Praz.g_01838
OG0000536	Syad.g_00916	Praz.g_01837
OG0000537	Syad.g_00917	Praz.g_01836
OG0000538	Syad.g_00929	Praz.g_01828
OG0000539	Syad.g_00930	Praz.g_01827
OG0000540	Syad.g_00931	Praz.g_01826
OG0000541	Syad.g_00932	Praz.g_01825
OG0000542	Syad.g_00935	Praz.g_01823
OG0000543	Syad.g_00937	Praz.g_01821
OG0000544	Syad.g_00938	Praz.g_01820
OG0000545	Syad.g_00940	Praz.g_01818
OG0000546	Syad.g_00942	Praz.g_01815
OG0000547	Syad.g_00944	Praz.g_01813
OG0000548	Syad.g_00945	Praz.g_01812
OG0000549	Syad.g_00952	Praz.g_01810
OG0000550	Syad.g_00956	Praz.g_01805
OG0000551	Syad.g_00960	Praz.g_01801
OG0000552	Syad.g_00961	Praz.g_01800
OG0000553	Syad.g_00965	Praz.g_01799
OG0000554	Syad.g_00978	Praz.g_01794
OG0000555	Syad.g_00999	Praz.g_01786
OG0000556	Syad.g_01003	Praz.g_01784
OG0000557	Syad.g_01011	Praz.g_01783
OG0000558	Syad.g_01013	Praz.g_01781
OG0000559	Syad.g_01016	Praz.g_01777
OG0000560	Syad.g_01019	Praz.g_01774
OG0000561	Syad.g_01020	Praz.g_01773
OG0000562	Syad.g_01021	Praz.g_01772
OG0000563	Syad.g_01022	Praz.g_01771
OG0000564	Syad.g_01023	Praz.g_01770
OG0000565	Syad.g_01027	Praz.g_01767
OG0000566	Syad.g_01031	Praz.g_01765
OG0000567	Syad.g_01035	Praz.g_01761
OG0000568	Syad.g_01040	Praz.g_01760
OG0000569	Syad.g_01041	Praz.g_01759
OG0000570	Syad.g_01042	Praz.g_01758
OG0000571	Syad.g_01046	Praz.g_01756
OG0000572	Syad.g_01064	Praz.g_01743
OG0000573	Syad.g_01072	Praz.g_01738
OG0000574	Syad.g_01077	Praz.g_01737
OG0000575	Syad.g_01083	Praz.g_01733
OG0000576	Syad.g_01085	Praz.g_01731
OG0000577	Syad.g_01086	Praz.g_01730
