Orthogroup	Syad	Syap
OG0000184	Syad.g_03018	Syap.g_01337
OG0000185	Syad.g_03006	Syap.g_01322
OG0000186	Syad.g_02722	Syap.g_01684
OG0000187	Syad.g_02724	Syap.g_01686
OG0000188	Syad.g_02759	Syap.g_02547
OG0000191	Syad.g_02824	Syap.g_02233
OG0000192	Syad.g_02834	Syap.g_02224
OG0000193	Syad.g_02877	Syap.g_02187, Syap.g_02188
OG0000194	Syad.g_02880	Syap.g_02183
OG0000196	Syad.g_02894	Syap.g_01208, Syap.g_02167
OG0000197	Syad.g_02895	Syap.g_01207, Syap.g_02166
OG0000198	Syad.g_02896	Syap.g_01206
OG0000199	Syad.g_02904	Syap.g_01197
OG0000200	Syad.g_02921	Syap.g_01181
OG0000201	Syad.g_02937	Syap.g_02265
OG0000202	Syad.g_02938	Syap.g_02264
OG0000203	Syad.g_02939	Syap.g_01601
OG0000204	Syad.g_02940	Syap.g_01602
OG0000205	Syad.g_02948	Syap.g_01616
OG0000206	Syad.g_02955	Syap.g_01628
OG0000207	Syad.g_02957	Syap.g_01426, Syap.g_00424
OG0000208	Syad.g_02958	Syap.g_00426, Syap.g_01425
OG0000209	Syad.g_02981	Syap.g_01906
OG0000210	Syad.g_02982	Syap.g_01905
OG0000211	Syad.g_00813	Syap.g_01160
OG0000212	Syad.g_00825	Syap.g_02664
OG0000213	Syad.g_00556	Syap.g_00107, Syap.g_01599
OG0000214	Syad.g_00538	Syap.g_02344, Syap.g_02345
OG0000215	Syad.g_00508	Syap.g_01347, Syap.g_01629
OG0000216	Syad.g_00504, Syad.g_00285	Syap.g_01634
OG0000217	Syad.g_00500	Syap.g_01638
OG0000218	Syad.g_00498	Syap.g_01641, Syap.g_01640
OG0000219	Syad.g_00497	Syap.g_01642, Syap.g_01643
OG0000220	Syad.g_00496	Syap.g_01645
OG0000221	Syad.g_00488	Syap.g_01646
OG0000222	Syad.g_00473	Syap.g_01669
OG0000223	Syad.g_00451	Syap.g_02072, Syap.g_02073
OG0000224	Syad.g_00444	Syap.g_02064
OG0000225	Syad.g_00777	Syap.g_00553, Syap.g_00552
OG0000226	Syad.g_00781	Syap.g_02029, Syap.g_02144
OG0000227	Syad.g_00783	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Syad.g_00784	Syap.g_00116, Syap.g_02041
OG0000229	Syad.g_02450	Syap.g_02059
OG0000230	Syad.g_02448	Syap.g_02061
OG0000231	Syad.g_02436	Syap.g_02533
OG0000232	Syad.g_02392	Syap.g_02510, Syap.g_02511
OG0000233	Syad.g_02382	Syap.g_02133
OG0000234	Syad.g_02351	Syap.g_02755
OG0000235	Syad.g_00903	Syap.g_00732, Syap.g_02258
OG0000236	Syad.g_00918	Syap.g_02238
OG0000237	Syad.g_00936	Syap.g_00262, Syap.g_00263
OG0000238	Syad.g_00941	Syap.g_00257, Syap.g_00258
OG0000239	Syad.g_00957	Syap.g_02744
OG0000240	Syad.g_00958	Syap.g_02742
OG0000241	Syad.g_02160	Syap.g_00888
OG0000242	Syad.g_00975	Syap.g_01455
OG0000243	Syad.g_01000	Syap.g_01938
OG0000244	Syad.g_01012	Syap.g_01146, Syap.g_01145
OG0000245	Syad.g_01014	Syap.g_01148
OG0000246	Syad.g_01017	Syap.g_00308
OG0000247	Syad.g_01029	Syap.g_00288, Syap.g_00293
OG0000248	Syad.g_01032	Syap.g_00290
OG0000249	Syad.g_01034	Syap.g_01296, Syap.g_01295
OG0000250	Syad.g_01044	Syap.g_01306
OG0000251	Syad.g_01071	Syap.g_00442
OG0000252	Syad.g_01078	Syap.g_01857
OG0000253	Syad.g_01081	Syap.g_00443
OG0000254	Syad.g_02203	Syap.g_01527, Syap.g_01528
OG0000256	Syad.g_02167	Syap.g_01287
OG0000257	Syad.g_02161	Syap.g_00886
OG0000258	Syad.g_02143	Syap.g_00907
OG0000260	Syad.g_01587	Syap.g_01970
OG0000261	Syad.g_01590	Syap.g_01962, Syap.g_01961
OG0000262	Syad.g_01595	Syap.g_01954
OG0000263	Syad.g_01475	Syap.g_00432, Syap.g_00433
OG0000266	Syad.g_01804	Syap.g_00519
OG0000267	Syad.g_01645	Syap.g_02333, Syap.g_02332
OG0000268	Syad.g_01646	Syap.g_00646
OG0000269	Syad.g_01894	Syap.g_00188
OG0000270	Syad.g_01891	Syap.g_00192
OG0000271	Syad.g_01883	Syap.g_00200, Syap.g_00201
OG0000272	Syad.g_01882	Syap.g_00202
OG0000273	Syad.g_01247	Syap.g_02703
OG0000274	Syad.g_01246	Syap.g_02702
OG0000275	Syad.g_01242	Syap.g_01847
OG0000276	Syad.g_01229	Syap.g_01839, Syap.g_01838
OG0000278	Syad.g_01225	Syap.g_01834
OG0000279	Syad.g_01208	Syap.g_00829, Syap.g_00830
OG0000280	Syad.g_01198	Syap.g_00365
OG0000281	Syad.g_00624	Syap.g_01977
OG0000282	Syad.g_01619	Syap.g_01252
OG0000283	Syad.g_01661	Syap.g_01728
OG0000284	Syad.g_01787	Syap.g_01736
OG0000285	Syad.g_01776	Syap.g_01746, Syap.g_01744
OG0000286	Syad.g_01758	Syap.g_02014, Syap.g_02013
OG0000288	Syad.g_01687	Syap.g_02764, Syap.g_02763
OG0000289	Syad.g_01672	Syap.g_02784
OG0000290	Syad.g_01287	Syap.g_01552
OG0000291	Syad.g_01289	Syap.g_01554
OG0000292	Syad.g_00155	Syap.g_02314
OG0000293	Syad.g_01124	Syap.g_00240
OG0000295	Syad.g_01181	Syap.g_00206
OG0000296	Syad.g_01183	Syap.g_00204
OG0000298	Syad.g_01511	Syap.g_01888
OG0000299	Syad.g_01462	Syap.g_02620
OG0000302	Syad.g_01453	Syap.g_02444, Syap.g_02445
OG0000303	Syad.g_01442	Syap.g_02435
OG0000304	Syad.g_01436	Syap.g_02430
OG0000305	Syad.g_01292	Syap.g_01557
OG0000306	Syad.g_01989	Syap.g_01966
OG0000307	Syad.g_00883	Syap.g_02517
OG0000308	Syad.g_00881	Syap.g_02514, Syap.g_02515
OG0000309	Syad.g_00876	Syap.g_02198, Syap.g_02446
OG0000310	Syad.g_02250	Syap.g_02660, Syap.g_02661
OG0000311	Syad.g_02254	Syap.g_02657
OG0000312	Syad.g_02265	Syap.g_02114
OG0000313	Syad.g_02284	Syap.g_02473
OG0000314	Syad.g_02313	Syap.g_00007
OG0000315	Syad.g_02323	Syap.g_00017
OG0000316	Syad.g_02564	Syap.g_00030
OG0000317	Syad.g_02620	Syap.g_00618
OG0000318	Syad.g_02624	Syap.g_00622, Syap.g_02786
OG0000319	Syad.g_02642	Syap.g_01764, Syap.g_01771
OG0000320	Syad.g_02644	Syap.g_01761, Syap.g_01769
OG0000321	Syad.g_02645	Syap.g_01760, Syap.g_01768
OG0000322	Syad.g_02646	Syap.g_01759, Syap.g_01767
OG0000323	Syad.g_02661	Syap.g_01389
OG0000324	Syad.g_02505	Syap.g_01503
OG0000325	Syad.g_00591	Syap.g_02680
OG0000326	Syad.g_00598	Syap.g_00544
OG0000327	Syad.g_00649	Syap.g_01233, Syap.g_01913
OG0000328	Syad.g_00650	Syap.g_01234, Syap.g_01912
OG0000329	Syad.g_00668	Syap.g_00498
OG0000330	Syad.g_00669	Syap.g_00497
OG0000331	Syad.g_00670	Syap.g_00496
OG0000332	Syad.g_00685	Syap.g_00481
OG0000333	Syad.g_00688	Syap.g_00478
OG0000334	Syad.g_00697	Syap.g_00468
OG0000335	Syad.g_00702	Syap.g_00101, Syap.g_00463
OG0000336	Syad.g_00706	Syap.g_00417, Syap.g_00607
OG0000337	Syad.g_00425, Syad.g_00427	Syap.g_01054
OG0000338	Syad.g_00421	Syap.g_01059
OG0000339	Syad.g_00414	Syap.g_01068
OG0000340	Syad.g_00370	Syap.g_01077
OG0000341	Syad.g_00368	Syap.g_01079
OG0000342	Syad.g_00367	Syap.g_01080, Syap.g_02477
OG0000343	Syad.g_00366	Syap.g_01086, Syap.g_02078
OG0000344	Syad.g_00362	Syap.g_01091
OG0000345	Syad.g_00352	Syap.g_01107, Syap.g_01470
OG0000346	Syad.g_00347	Syap.g_02423, Syap.g_01113
OG0000347	Syad.g_00318	Syap.g_01131, Syap.g_02459
OG0000348	Syad.g_00233	Syap.g_00632
OG0000349	Syad.g_00213	Syap.g_00110, Syap.g_01813
OG0000351	Syad.g_00134	Syap.g_02594
OG0000352	Syad.g_00135	Syap.g_02596, Syap.g_02597
OG0000353	Syad.g_00161	Syap.g_00054
OG0000354	Syad.g_00181	Syap.g_00075, Syap.g_02635
OG0000355	Syad.g_00163	Syap.g_00056
OG0000356	Syad.g_00164	Syap.g_00057
OG0000357	Syad.g_00165	Syap.g_00058
OG0000358	Syad.g_00169	Syap.g_00063
OG0000359	Syad.g_00171	Syap.g_00065
OG0000360	Syad.g_00172	Syap.g_00067
OG0000361	Syad.g_00173	Syap.g_00068
OG0000362	Syad.g_00175	Syap.g_00070
OG0000363	Syad.g_00177	Syap.g_00072
OG0000364	Syad.g_00178	Syap.g_00620
OG0000365	Syad.g_00187	Syap.g_00081
OG0000366	Syad.g_00188	Syap.g_00082
OG0000367	Syad.g_00189	Syap.g_00083
OG0000368	Syad.g_00191	Syap.g_00085
OG0000369	Syad.g_00192	Syap.g_00086
OG0000370	Syad.g_00193	Syap.g_00087
OG0000372	Syad.g_00206	Syap.g_01805
OG0000373	Syad.g_00207	Syap.g_01806
OG0000374	Syad.g_00208	Syap.g_01807
OG0000375	Syad.g_00209	Syap.g_01808
OG0000376	Syad.g_00211	Syap.g_01811
OG0000377	Syad.g_03027	Syap.g_00128
OG0000378	Syad.g_03012	Syap.g_01326
OG0000380	Syad.g_02725	Syap.g_01687
OG0000381	Syad.g_02729	Syap.g_01690
OG0000382	Syad.g_02758	Syap.g_02548
OG0000383	Syad.g_02761	Syap.g_02359
OG0000384	Syad.g_02762	Syap.g_02360
OG0000385	Syad.g_02763	Syap.g_02361
OG0000386	Syad.g_02764	Syap.g_02362
OG0000387	Syad.g_02792	Syap.g_01864
OG0000391	Syad.g_02823	Syap.g_02234
OG0000392	Syad.g_02833	Syap.g_02225
OG0000393	Syad.g_02837	Syap.g_02222
OG0000394	Syad.g_02838	Syap.g_02221
OG0000395	Syad.g_02839	Syap.g_02220
OG0000396	Syad.g_02843	Syap.g_02217
OG0000397	Syad.g_02845	Syap.g_02215
OG0000398	Syad.g_02850	Syap.g_02211
OG0000399	Syad.g_02851	Syap.g_02210
OG0000400	Syad.g_02852	Syap.g_02209
OG0000401	Syad.g_02853	Syap.g_02208
OG0000402	Syad.g_02855	Syap.g_02206
OG0000403	Syad.g_02856	Syap.g_02205
OG0000404	Syad.g_02858	Syap.g_02204, Syap.g_02618
OG0000405	Syad.g_02874	Syap.g_02191
OG0000406	Syad.g_02878	Syap.g_02186
OG0000407	Syad.g_02879	Syap.g_02185
OG0000408	Syad.g_02883	Syap.g_02181, Syap.g_02182
OG0000409	Syad.g_02885	Syap.g_02179
OG0000410	Syad.g_02886	Syap.g_02178
OG0000411	Syad.g_02887	Syap.g_02177
OG0000412	Syad.g_02888	Syap.g_02176
OG0000413	Syad.g_02890	Syap.g_02174
OG0000415	Syad.g_02891	Syap.g_02172
OG0000416	Syad.g_02892	Syap.g_02171
OG0000417	Syad.g_02893	Syap.g_02169
OG0000418	Syad.g_02898	Syap.g_01204
OG0000419	Syad.g_02900	Syap.g_01201
OG0000420	Syad.g_02902	Syap.g_01199
OG0000421	Syad.g_02907	Syap.g_01195
OG0000422	Syad.g_02908	Syap.g_01194
OG0000423	Syad.g_02909	Syap.g_01193
OG0000424	Syad.g_02910	Syap.g_01192
OG0000425	Syad.g_02911	Syap.g_01191
OG0000426	Syad.g_02912	Syap.g_01190
OG0000427	Syad.g_02913	Syap.g_01189
OG0000428	Syad.g_02916	Syap.g_01186
OG0000429	Syad.g_02918	Syap.g_01184
OG0000430	Syad.g_02920	Syap.g_01182
OG0000431	Syad.g_02923	Syap.g_01179
OG0000432	Syad.g_02930	Syap.g_02277
OG0000433	Syad.g_02933	Syap.g_02272
OG0000434	Syad.g_02934	Syap.g_02271
OG0000435	Syad.g_02936	Syap.g_02268
OG0000436	Syad.g_02942	Syap.g_01607
OG0000437	Syad.g_02943	Syap.g_01608
OG0000438	Syad.g_02944	Syap.g_01612
OG0000439	Syad.g_02946	Syap.g_01614
OG0000440	Syad.g_02947	Syap.g_01615
OG0000441	Syad.g_02951	Syap.g_01619
OG0000442	Syad.g_02952	Syap.g_01620
OG0000443	Syad.g_02953	Syap.g_01622
OG0000444	Syad.g_02964	Syap.g_01424
OG0000445	Syad.g_02965	Syap.g_01421
OG0000446	Syad.g_02967	Syap.g_01419
OG0000447	Syad.g_02970	Syap.g_01410
OG0000448	Syad.g_02971	Syap.g_01407
OG0000449	Syad.g_02972	Syap.g_01406
OG0000450	Syad.g_02978	Syap.g_01909
OG0000451	Syad.g_02979	Syap.g_01908
OG0000452	Syad.g_02983	Syap.g_01904
OG0000453	Syad.g_02984	Syap.g_01903
OG0000454	Syad.g_02985	Syap.g_01902
OG0000455	Syad.g_02986	Syap.g_01901
OG0000456	Syad.g_02987	Syap.g_01900
OG0000457	Syad.g_02989	Syap.g_01896
OG0000458	Syad.g_02998	Syap.g_01895
OG0000459	Syad.g_02999	Syap.g_01894
OG0000460	Syad.g_00815	Syap.g_01159
OG0000461	Syad.g_00579	Syap.g_01575
OG0000462	Syad.g_00576	Syap.g_01578
OG0000463	Syad.g_00575	Syap.g_01579
OG0000464	Syad.g_00574	Syap.g_01580
OG0000465	Syad.g_00573	Syap.g_01582
OG0000466	Syad.g_00568	Syap.g_01587
OG0000467	Syad.g_00566	Syap.g_01588
OG0000468	Syad.g_00561	Syap.g_01593
OG0000469	Syad.g_00545	Syap.g_02352
OG0000470	Syad.g_00542	Syap.g_02349
OG0000471	Syad.g_00541	Syap.g_02348
OG0000472	Syad.g_00539	Syap.g_02347
OG0000473	Syad.g_00537	Syap.g_02343
OG0000474	Syad.g_00536	Syap.g_02342
OG0000475	Syad.g_00535	Syap.g_02341
OG0000476	Syad.g_00533	Syap.g_02339
OG0000477	Syad.g_00528	Syap.g_01367
OG0000478	Syad.g_00527	Syap.g_01366
OG0000479	Syad.g_00526	Syap.g_01364
OG0000480	Syad.g_00520	Syap.g_01357
OG0000482	Syad.g_00517	Syap.g_01355
OG0000483	Syad.g_00513	Syap.g_01344
OG0000484	Syad.g_00512	Syap.g_01350
OG0000485	Syad.g_00511	Syap.g_01349
OG0000487	Syad.g_00503	Syap.g_01635
OG0000488	Syad.g_00499	Syap.g_01639
OG0000489	Syad.g_00487	Syap.g_02482
OG0000490	Syad.g_00475	Syap.g_01673
OG0000491	Syad.g_00474	Syap.g_01670
OG0000492	Syad.g_00472	Syap.g_01668
OG0000493	Syad.g_00471	Syap.g_01667
OG0000494	Syad.g_00470	Syap.g_01666
OG0000495	Syad.g_00469	Syap.g_01665
OG0000496	Syad.g_00468	Syap.g_01663
OG0000497	Syad.g_00467	Syap.g_01662
OG0000498	Syad.g_00466	Syap.g_01661
OG0000499	Syad.g_00465	Syap.g_01660
OG0000500	Syad.g_00464	Syap.g_01659
OG0000501	Syad.g_00461	Syap.g_01656
OG0000502	Syad.g_00449	Syap.g_02066
OG0000503	Syad.g_00761	Syap.g_00569
OG0000504	Syad.g_00763	Syap.g_00567
OG0000505	Syad.g_00764	Syap.g_00566
OG0000506	Syad.g_00766	Syap.g_00564
OG0000507	Syad.g_00772	Syap.g_00558
OG0000508	Syad.g_00776	Syap.g_00554
OG0000509	Syad.g_00778	Syap.g_00551
OG0000510	Syad.g_00779	Syap.g_00550
OG0000511	Syad.g_00780	Syap.g_00548
OG0000512	Syad.g_00782	Syap.g_02145
OG0000513	Syad.g_00789	Syap.g_02048
OG0000514	Syad.g_00795	Syap.g_02051
OG0000515	Syad.g_00796	Syap.g_02052
OG0000516	Syad.g_02456	Syap.g_02054
OG0000517	Syad.g_02451	Syap.g_02057
OG0000519	Syad.g_02438	Syap.g_00457
OG0000520	Syad.g_02437	Syap.g_00456
OG0000521	Syad.g_01108	Syap.g_01997
OG0000522	Syad.g_01109	Syap.g_01995
OG0000523	Syad.g_01110	Syap.g_02507
OG0000524	Syad.g_02386	Syap.g_02135
OG0000525	Syad.g_02363	Syap.g_02159
OG0000526	Syad.g_02360	Syap.g_02157
OG0000527	Syad.g_02355	Syap.g_02758
OG0000528	Syad.g_00897	Syap.g_02261
OG0000529	Syad.g_00905	Syap.g_02254
OG0000530	Syad.g_00908	Syap.g_02252
OG0000531	Syad.g_00909	Syap.g_02251
OG0000532	Syad.g_00912	Syap.g_02247
OG0000533	Syad.g_00913	Syap.g_02244
OG0000534	Syad.g_00914	Syap.g_02243
OG0000535	Syad.g_00915	Syap.g_02242
OG0000536	Syad.g_00916	Syap.g_02241
OG0000537	Syad.g_00917	Syap.g_02240
OG0000538	Syad.g_00929	Syap.g_00271
OG0000539	Syad.g_00930	Syap.g_00270
OG0000540	Syad.g_00931	Syap.g_00269
OG0000541	Syad.g_00932	Syap.g_00268
OG0000542	Syad.g_00935	Syap.g_00264
OG0000543	Syad.g_00937	Syap.g_00261
OG0000544	Syad.g_00938	Syap.g_00260
OG0000545	Syad.g_00940	Syap.g_00259
OG0000546	Syad.g_00942	Syap.g_00256
OG0000547	Syad.g_00944	Syap.g_00254
OG0000548	Syad.g_00945	Syap.g_00253
OG0000549	Syad.g_00952	Syap.g_00758
OG0000550	Syad.g_00956	Syap.g_02747
OG0000551	Syad.g_00960	Syap.g_02739
OG0000552	Syad.g_00961	Syap.g_02738
OG0000553	Syad.g_00965	Syap.g_02735
OG0000554	Syad.g_00978	Syap.g_01450
OG0000555	Syad.g_00999	Syap.g_01941
OG0000556	Syad.g_01003	Syap.g_01933
OG0000557	Syad.g_01011	Syap.g_01931
OG0000558	Syad.g_01013	Syap.g_01147
OG0000560	Syad.g_01019	Syap.g_00305
OG0000561	Syad.g_01020	Syap.g_00304
OG0000562	Syad.g_01021	Syap.g_00302
OG0000563	Syad.g_01022	Syap.g_00301
OG0000564	Syad.g_01023	Syap.g_00300
OG0000565	Syad.g_01027	Syap.g_00296
OG0000566	Syad.g_01031	Syap.g_00291
OG0000567	Syad.g_01035	Syap.g_01297
OG0000568	Syad.g_01040	Syap.g_01302
OG0000569	Syad.g_01041	Syap.g_01303
OG0000570	Syad.g_01042	Syap.g_01304
OG0000571	Syad.g_01046	Syap.g_01307
OG0000573	Syad.g_01072	Syap.g_00765
OG0000574	Syad.g_01077	Syap.g_00759
OG0000575	Syad.g_01083	Syap.g_00445
OG0000576	Syad.g_01085	Syap.g_00450
OG0000577	Syad.g_01086	Syap.g_00451
OG0000578	Syad.g_01087	Syap.g_00452
OG0000579	Syad.g_01088	Syap.g_00453
OG0000580	Syad.g_01089	Syap.g_00454
OG0000581	Syad.g_01097	Syap.g_01521
OG0000582	Syad.g_02206	Syap.g_01533
OG0000583	Syad.g_02205	Syap.g_01532
OG0000584	Syad.g_02204	Syap.g_01530
OG0000585	Syad.g_02202	Syap.g_01526
OG0000586	Syad.g_02201	Syap.g_01525
OG0000587	Syad.g_02199	Syap.g_01523
OG0000588	Syad.g_02183	Syap.g_00776
OG0000589	Syad.g_02178	Syap.g_00941
OG0000590	Syad.g_02177	Syap.g_00940
OG0000591	Syad.g_02169	Syap.g_01289
OG0000592	Syad.g_02168	Syap.g_01288
OG0000593	Syad.g_02156	Syap.g_00890
OG0000594	Syad.g_02155	Syap.g_00891
OG0000595	Syad.g_02154	Syap.g_00892
OG0000596	Syad.g_02149	Syap.g_00898
OG0000597	Syad.g_02146	Syap.g_00903
OG0000598	Syad.g_02145	Syap.g_00904
OG0000599	Syad.g_02142	Syap.g_00908
OG0000600	Syad.g_02141	Syap.g_00909
OG0000601	Syad.g_02140	Syap.g_00910
OG0000602	Syad.g_02135	Syap.g_00640
