Orthogroup	Syad	Praw
OG0000053	Syad.g_02302	Praw.g_00357
OG0000054	Syad.g_02209	Praw.g_00142
OG0000055	Syad.g_01255	Praw.g_01716
OG0000057	Syad.g_01301	Praw.g_01824
OG0000059	Syad.g_00642	Praw.g_01894
OG0000060	Syad.g_02370, Syad.g_00899, Syad.g_01508	Praw.g_01743
OG0000061	Syad.g_01152	Praw.g_00234
OG0000062	Syad.g_02598	Praw.g_00415
OG0000063	Syad.g_00202	Praw.g_01395
OG0000065	Syad.g_02801, Syad.g_02574	Praw.g_01328
OG0000066	Syad.g_00992	Praw.g_00609
OG0000067	Syad.g_01889	Praw.g_01697
OG0000068	Syad.g_00891	Praw.g_01016
OG0000070	Syad.g_02424	Praw.g_00697
OG0000071	Syad.g_02405	Praw.g_00981
OG0000072	Syad.g_02905	Praw.g_01264
OG0000073	Syad.g_00926	Praw.g_00649
OG0000075	Syad.g_00416	Praw.g_00064
OG0000076	Syad.g_00348	Praw.g_00039
OG0000077	Syad.g_02741	Praw.g_01356
OG0000078	Syad.g_00824	Praw.g_01196
OG0000081	Syad.g_00833	Praw.g_00617
OG0000082	Syad.g_01063	Praw.g_01932
OG0000084	Syad.g_02272	Praw.g_01087
OG0000085	Syad.g_02612	Praw.g_00508
OG0000086	Syad.g_02770	Praw.g_01346
OG0000087	Syad.g_02860	Praw.g_01296
OG0000088	Syad.g_02899	Praw.g_01269
OG0000089	Syad.g_00785, Syad.g_02829	Praw.g_00776
OG0000090	Syad.g_00977	Praw.g_00615
OG0000091	Syad.g_02144	Praw.g_01880
OG0000093	Syad.g_01905	Praw.g_01571
OG0000094	Syad.g_01676	Praw.g_01486
OG0000095	Syad.g_01290	Praw.g_01467
OG0000097	Syad.g_01458	Praw.g_00275
OG0000098	Syad.g_00625	Praw.g_00997
OG0000099	Syad.g_00460	Praw.g_01051
OG0000100	Syad.g_01846	Praw.g_00411
OG0000101	Syad.g_00694	Praw.g_00096
OG0000102	Syad.g_00343	Praw.g_00034
OG0000103	Syad.g_00143	Praw.g_01148
OG0000104	Syad.g_00158	Praw.g_01140
OG0000105	Syad.g_00530	Praw.g_00860
OG0000106	Syad.g_01993	Praw.g_00762
OG0000107	Syad.g_00590	Praw.g_00748
OG0000108	Syad.g_00904	Praw.g_00667
OG0000109	Syad.g_00919	Praw.g_00654
OG0000110	Syad.g_01048	Praw.g_01922
OG0000111	Syad.g_01300	Praw.g_01823
OG0000112	Syad.g_01766	Praw.g_01732
OG0000113	Syad.g_01851	Praw.g_01675
OG0000114	Syad.g_01617	Praw.g_01597
OG0000115	Syad.g_02300	Praw.g_00178
OG0000116	Syad.g_01123	Praw.g_00224
OG0000117	Syad.g_01510	Praw.g_00926
OG0000118	Syad.g_01104	Praw.g_00993
OG0000119	Syad.g_01168	Praw.g_01012
OG0000120	Syad.g_00459	Praw.g_01050
OG0000121	Syad.g_02280	Praw.g_01078
OG0000122	Syad.g_02122	Praw.g_00377
OG0000123	Syad.g_00701	Praw.g_00089
OG0000124	Syad.g_00320	Praw.g_00023
OG0000125	Syad.g_03040	Praw.g_01180
OG0000126	Syad.g_00156	Praw.g_01141
OG0000128	Syad.g_00174	Praw.g_01125
OG0000129	Syad.g_03028	Praw.g_01384
OG0000130	Syad.g_02728	Praw.g_01365
OG0000131	Syad.g_02876	Praw.g_01290
OG0000132	Syad.g_02897	Praw.g_01271
OG0000133	Syad.g_01761	Praw.g_00812
OG0000134	Syad.g_00788	Praw.g_00775
OG0000135	Syad.g_00063	Praw.g_00751
OG0000136	Syad.g_02445	Praw.g_00706
OG0000137	Syad.g_02353	Praw.g_00672
OG0000138	Syad.g_00920	Praw.g_00653
OG0000139	Syad.g_00983	Praw.g_00611
OG0000140	Syad.g_00987	Praw.g_00610
OG0000141	Syad.g_02208	Praw.g_00143
OG0000142	Syad.g_02152	Praw.g_01887
OG0000143	Syad.g_02148	Praw.g_01883
OG0000144	Syad.g_02024	Praw.g_01870
OG0000145	Syad.g_00927	Praw.g_01745
OG0000146	Syad.g_01767	Praw.g_01731
OG0000147	Syad.g_01768	Praw.g_01730
OG0000148	Syad.g_01861	Praw.g_01681
OG0000149	Syad.g_01221	Praw.g_01652
OG0000150	Syad.g_02207, Syad.g_00989	Praw.g_01644
OG0000151	Syad.g_01956	Praw.g_01587
OG0000152	Syad.g_01757	Praw.g_01539
OG0000153	Syad.g_01713	Praw.g_01520
OG0000154	Syad.g_01686	Praw.g_01493
OG0000155	Syad.g_01189	Praw.g_00254
OG0000156	Syad.g_01116	Praw.g_00968
OG0000157	Syad.g_01115	Praw.g_00969
OG0000158	Syad.g_00374	Praw.g_01052
OG0000160	Syad.g_02279	Praw.g_01079, Praw.g_01080
OG0000161	Syad.g_02287	Praw.g_00344
OG0000162	Syad.g_02293	Praw.g_00350
OG0000163	Syad.g_02542	Praw.g_00384
OG0000164	Syad.g_02659	Praw.g_00539
OG0000165	Syad.g_02476	Praw.g_00546
OG0000166	Syad.g_00654	Praw.g_00132
OG0000167	Syad.g_00419	Praw.g_00066
OG0000168	Syad.g_00371	Praw.g_00056
OG0000169	Syad.g_00360	Praw.g_00046
OG0000170	Syad.g_00353	Praw.g_00044
OG0000171	Syad.g_00321	Praw.g_00024
OG0000172	Syad.g_00244	Praw.g_00016
OG0000173	Syad.g_00220	Praw.g_00001
OG0000174	Syad.g_00065	Praw.g_01166
OG0000175	Syad.g_00129	Praw.g_01156
OG0000176	Syad.g_00166	Praw.g_01132
OG0000177	Syad.g_00167	Praw.g_01131
OG0000178	Syad.g_00168	Praw.g_01130
OG0000179	Syad.g_00183	Praw.g_01412
OG0000180	Syad.g_00184	Praw.g_01411
OG0000181	Syad.g_00185	Praw.g_01410
OG0000182	Syad.g_00186	Praw.g_01409
OG0000183	Syad.g_00190	Praw.g_01405
OG0000184	Syad.g_03018	Praw.g_01382
OG0000185	Syad.g_03006	Praw.g_01379
OG0000186	Syad.g_02722	Praw.g_01370
OG0000187	Syad.g_02724	Praw.g_01369
OG0000188	Syad.g_02759	Praw.g_01352
OG0000189	Syad.g_02788	Praw.g_01339
OG0000190	Syad.g_02790	Praw.g_01338
OG0000191	Syad.g_02824	Praw.g_01318
OG0000192	Syad.g_02834	Praw.g_01314
OG0000193	Syad.g_02877	Praw.g_01289
OG0000194	Syad.g_02880	Praw.g_01286
OG0000195	Syad.g_02884	Praw.g_01284
OG0000196	Syad.g_02894	Praw.g_01274
OG0000197	Syad.g_02895	Praw.g_01273
OG0000198	Syad.g_02896	Praw.g_01272
OG0000199	Syad.g_02904	Praw.g_01265
OG0000200	Syad.g_02921	Praw.g_01251
OG0000201	Syad.g_02937	Praw.g_01243
OG0000202	Syad.g_02938	Praw.g_01242
OG0000203	Syad.g_02939	Praw.g_01241
OG0000204	Syad.g_02940	Praw.g_01240
OG0000205	Syad.g_02948	Praw.g_01233
OG0000206	Syad.g_02955	Praw.g_01228
OG0000207	Syad.g_02957	Praw.g_01226
OG0000208	Syad.g_02958	Praw.g_01225
OG0000209	Syad.g_02981	Praw.g_01216
OG0000210	Syad.g_02982	Praw.g_01215
OG0000211	Syad.g_00813	Praw.g_01202
OG0000212	Syad.g_00825	Praw.g_01195
OG0000213	Syad.g_00556	Praw.g_00876
OG0000214	Syad.g_00538	Praw.g_00867
OG0000215	Syad.g_00508	Praw.g_00842
OG0000216	Syad.g_00504, Syad.g_00285	Praw.g_00840
OG0000217	Syad.g_00500	Praw.g_00837
OG0000218	Syad.g_00498	Praw.g_00835
OG0000219	Syad.g_00497	Praw.g_00834
OG0000220	Syad.g_00496	Praw.g_00833
OG0000221	Syad.g_00488	Praw.g_00832
OG0000222	Syad.g_00473	Praw.g_00824
OG0000223	Syad.g_00451	Praw.g_00811
OG0000224	Syad.g_00444	Praw.g_00809
OG0000225	Syad.g_00777	Praw.g_00786
OG0000226	Syad.g_00781	Praw.g_00782
OG0000227	Syad.g_00783	Praw.g_00780
OG0000228	Syad.g_00784	Praw.g_00777
OG0000229	Syad.g_02450	Praw.g_00711
OG0000230	Syad.g_02448	Praw.g_00709
OG0000231	Syad.g_02436	Praw.g_00698
OG0000232	Syad.g_02392	Praw.g_00689
OG0000233	Syad.g_02382	Praw.g_00684
OG0000234	Syad.g_02351	Praw.g_00671
OG0000235	Syad.g_00903	Praw.g_00668
OG0000236	Syad.g_00918	Praw.g_00655
OG0000237	Syad.g_00936	Praw.g_00642
OG0000238	Syad.g_00941	Praw.g_00636
OG0000239	Syad.g_00957	Praw.g_00623
OG0000240	Syad.g_00958	Praw.g_00622
OG0000241	Syad.g_02160	Praw.g_00618
OG0000242	Syad.g_00975	Praw.g_00616
OG0000243	Syad.g_01000	Praw.g_00605
OG0000244	Syad.g_01012	Praw.g_00602
OG0000245	Syad.g_01014	Praw.g_00600
OG0000246	Syad.g_01017	Praw.g_00596
OG0000247	Syad.g_01029	Praw.g_00586
OG0000248	Syad.g_01032	Praw.g_00584
OG0000249	Syad.g_01034	Praw.g_00582
OG0000250	Syad.g_01044	Praw.g_00577
OG0000251	Syad.g_01071	Praw.g_01937
OG0000252	Syad.g_01078	Praw.g_01940
OG0000253	Syad.g_01081	Praw.g_01941
OG0000254	Syad.g_02203	Praw.g_00147
OG0000255	Syad.g_02185	Praw.g_00153
OG0000256	Syad.g_02167	Praw.g_00163
OG0000257	Syad.g_02161	Praw.g_00166
OG0000258	Syad.g_02143	Praw.g_01879
OG0000259	Syad.g_01576	Praw.g_01862
OG0000260	Syad.g_01587	Praw.g_01859
OG0000261	Syad.g_01590	Praw.g_01857
OG0000262	Syad.g_01595	Praw.g_01853
OG0000263	Syad.g_01475	Praw.g_01841
OG0000264	Syad.g_01360	Praw.g_01831
OG0000265	Syad.g_01383	Praw.g_01809
OG0000266	Syad.g_01804	Praw.g_01799
OG0000267	Syad.g_01645	Praw.g_01788
OG0000268	Syad.g_01646	Praw.g_01787
OG0000269	Syad.g_01894	Praw.g_01702
OG0000270	Syad.g_01891	Praw.g_01699
OG0000271	Syad.g_01883	Praw.g_01691
OG0000272	Syad.g_01882	Praw.g_01690
OG0000273	Syad.g_01247	Praw.g_01668
OG0000274	Syad.g_01246	Praw.g_01667
OG0000275	Syad.g_01242	Praw.g_01665
OG0000276	Syad.g_01229	Praw.g_01660
OG0000277	Syad.g_01228	Praw.g_01659
OG0000278	Syad.g_01225	Praw.g_01656
OG0000279	Syad.g_01208	Praw.g_01649
OG0000280	Syad.g_01198	Praw.g_01648
OG0000281	Syad.g_00624	Praw.g_01643
OG0000282	Syad.g_01619	Praw.g_01595
OG0000283	Syad.g_01661	Praw.g_01562
OG0000284	Syad.g_01787	Praw.g_01557
OG0000285	Syad.g_01776	Praw.g_01552
OG0000286	Syad.g_01758	Praw.g_01540
OG0000287	Syad.g_01720	Praw.g_01523
OG0000288	Syad.g_01687	Praw.g_01494
OG0000289	Syad.g_01672	Praw.g_01483
OG0000290	Syad.g_01287	Praw.g_01470
OG0000291	Syad.g_01289	Praw.g_01468
OG0000292	Syad.g_00155	Praw.g_01418
OG0000293	Syad.g_01124	Praw.g_00225
OG0000294	Syad.g_01125	Praw.g_00226
OG0000295	Syad.g_01181	Praw.g_00246
OG0000296	Syad.g_01183	Praw.g_00248
OG0000297	Syad.g_01512	Praw.g_00256
OG0000298	Syad.g_01511	Praw.g_00257
OG0000299	Syad.g_01462	Praw.g_00274
OG0000300	Syad.g_01455	Praw.g_00277
OG0000301	Syad.g_01454	Praw.g_00278
OG0000302	Syad.g_01453	Praw.g_00280
OG0000303	Syad.g_01442	Praw.g_00287
OG0000304	Syad.g_01436	Praw.g_00291
OG0000305	Syad.g_01292	Praw.g_01008
OG0000306	Syad.g_01989	Praw.g_01011
OG0000307	Syad.g_00883	Praw.g_01025
OG0000308	Syad.g_00881	Praw.g_01026
OG0000309	Syad.g_00876	Praw.g_01030
OG0000310	Syad.g_02250	Praw.g_01098
OG0000311	Syad.g_02254	Praw.g_01096
OG0000312	Syad.g_02265	Praw.g_01093
OG0000313	Syad.g_02284	Praw.g_01076
OG0000314	Syad.g_02313, Syad.g_02231	Praw.g_00363
OG0000315	Syad.g_02323	Praw.g_00374
OG0000316	Syad.g_02564	Praw.g_00394
OG0000317	Syad.g_02620	Praw.g_00513
OG0000318	Syad.g_02624	Praw.g_00516
OG0000319	Syad.g_02642	Praw.g_00529
OG0000320	Syad.g_02644	Praw.g_00531
OG0000321	Syad.g_02645	Praw.g_00532
OG0000322	Syad.g_02646	Praw.g_00533
OG0000323	Syad.g_02661	Praw.g_00542
OG0000324	Syad.g_02505	Praw.g_00569
OG0000325	Syad.g_00591	Praw.g_01916
OG0000326	Syad.g_00598	Praw.g_01910
OG0000327	Syad.g_00649	Praw.g_00137
OG0000328	Syad.g_00650	Praw.g_00136
OG0000329	Syad.g_00668	Praw.g_00119
OG0000330	Syad.g_00669	Praw.g_00118
OG0000331	Syad.g_00670	Praw.g_00117
OG0000332	Syad.g_00685	Praw.g_00103
OG0000333	Syad.g_00688	Praw.g_00101
OG0000334	Syad.g_00697	Praw.g_00093
OG0000335	Syad.g_00702	Praw.g_00088
OG0000336	Syad.g_00706	Praw.g_00084
OG0000337	Syad.g_00425, Syad.g_00427	Praw.g_00068
OG0000338	Syad.g_00421	Praw.g_00067
OG0000339	Syad.g_00414	Praw.g_00063
OG0000340	Syad.g_00370	Praw.g_00055
OG0000341	Syad.g_00368	Praw.g_00053
OG0000342	Syad.g_00367	Praw.g_00052
OG0000343	Syad.g_00366	Praw.g_00051
OG0000344	Syad.g_00362	Praw.g_00048
OG0000345	Syad.g_00352	Praw.g_00043
OG0000346	Syad.g_00347	Praw.g_00038
OG0000347	Syad.g_00318	Praw.g_00022
OG0000348	Syad.g_00233	Praw.g_00013
OG0000349	Syad.g_00213	Praw.g_01189
OG0000350	Syad.g_00605	Praw.g_01170
OG0000351	Syad.g_00134	Praw.g_01153
OG0000352	Syad.g_00135	Praw.g_01152
OG0000353	Syad.g_00161	Praw.g_01137
OG0000354	Syad.g_00181	Praw.g_00910
OG0000355	Syad.g_00163	Praw.g_01135
OG0000356	Syad.g_00164	Praw.g_01134
OG0000357	Syad.g_00165	Praw.g_01133
OG0000358	Syad.g_00169	Praw.g_01129
OG0000359	Syad.g_00171	Praw.g_01128
OG0000360	Syad.g_00172	Praw.g_01127
OG0000361	Syad.g_00173	Praw.g_01126
OG0000362	Syad.g_00175	Praw.g_01124
OG0000363	Syad.g_00177	Praw.g_01414
OG0000364	Syad.g_00178	Praw.g_01413
OG0000365	Syad.g_00187	Praw.g_01408
OG0000366	Syad.g_00188	Praw.g_01407
OG0000367	Syad.g_00189	Praw.g_01406
OG0000368	Syad.g_00191	Praw.g_01404
OG0000369	Syad.g_00192	Praw.g_01403
OG0000370	Syad.g_00193	Praw.g_01402
OG0000371	Syad.g_00201	Praw.g_01396
OG0000372	Syad.g_00206	Praw.g_01393
OG0000373	Syad.g_00207	Praw.g_01392
OG0000374	Syad.g_00208	Praw.g_01391
OG0000375	Syad.g_00209	Praw.g_01388
OG0000376	Syad.g_00211	Praw.g_01386
OG0000377	Syad.g_03027	Praw.g_01383
OG0000378	Syad.g_03012	Praw.g_01381
OG0000379	Syad.g_03005	Praw.g_01378
OG0000380	Syad.g_02725	Praw.g_01368
OG0000381	Syad.g_02729	Praw.g_01364
OG0000382	Syad.g_02758	Praw.g_01353
OG0000383	Syad.g_02761	Praw.g_01351
OG0000384	Syad.g_02762	Praw.g_01350
OG0000385	Syad.g_02763	Praw.g_01349
OG0000386	Syad.g_02764	Praw.g_01348
OG0000387	Syad.g_02792	Praw.g_01336
OG0000388	Syad.g_02796	Praw.g_01333
OG0000389	Syad.g_02800	Praw.g_01329
OG0000390	Syad.g_02818	Praw.g_01322
OG0000391	Syad.g_02823	Praw.g_01319
OG0000392	Syad.g_02833	Praw.g_01315
OG0000393	Syad.g_02837	Praw.g_01313
OG0000394	Syad.g_02838	Praw.g_01312
OG0000395	Syad.g_02839	Praw.g_01311
OG0000396	Syad.g_02843	Praw.g_01308
OG0000397	Syad.g_02845	Praw.g_01306
OG0000398	Syad.g_02850	Praw.g_01304
OG0000399	Syad.g_02851	Praw.g_01303
OG0000400	Syad.g_02852	Praw.g_01302
OG0000401	Syad.g_02853	Praw.g_01301
OG0000402	Syad.g_02855	Praw.g_01299
OG0000403	Syad.g_02856	Praw.g_01298
OG0000404	Syad.g_02858	Praw.g_01297
OG0000405	Syad.g_02874	Praw.g_01293
OG0000406	Syad.g_02878	Praw.g_01288
OG0000407	Syad.g_02879	Praw.g_01287
OG0000408	Syad.g_02883	Praw.g_01285
OG0000409	Syad.g_02885	Praw.g_01283
OG0000410	Syad.g_02886	Praw.g_01282
OG0000411	Syad.g_02887	Praw.g_01281
OG0000412	Syad.g_02888	Praw.g_01280
OG0000413	Syad.g_02890	Praw.g_01279
OG0000415	Syad.g_02891	Praw.g_01277
OG0000416	Syad.g_02892	Praw.g_01276
OG0000417	Syad.g_02893	Praw.g_01275
OG0000418	Syad.g_02898	Praw.g_01270
OG0000419	Syad.g_02900	Praw.g_01268
OG0000420	Syad.g_02902	Praw.g_01267
OG0000421	Syad.g_02907	Praw.g_01262
OG0000422	Syad.g_02908	Praw.g_01261
OG0000423	Syad.g_02909	Praw.g_01260
OG0000424	Syad.g_02910	Praw.g_01259
OG0000425	Syad.g_02911	Praw.g_01258
OG0000426	Syad.g_02912	Praw.g_01257
OG0000427	Syad.g_02913	Praw.g_01256
OG0000428	Syad.g_02916	Praw.g_01254
OG0000429	Syad.g_02918	Praw.g_01253
OG0000430	Syad.g_02920	Praw.g_01252
OG0000431	Syad.g_02923	Praw.g_01250
OG0000432	Syad.g_02930	Praw.g_01247
OG0000433	Syad.g_02933	Praw.g_01246
OG0000434	Syad.g_02934	Praw.g_01245
OG0000435	Syad.g_02936	Praw.g_01244
OG0000436	Syad.g_02942	Praw.g_01239
OG0000437	Syad.g_02943	Praw.g_01238
OG0000438	Syad.g_02944	Praw.g_01237
OG0000439	Syad.g_02946	Praw.g_01235
OG0000440	Syad.g_02947	Praw.g_01234
OG0000441	Syad.g_02951	Praw.g_01231
OG0000442	Syad.g_02952	Praw.g_01230
OG0000443	Syad.g_02953	Praw.g_01229
OG0000444	Syad.g_02964	Praw.g_01224
OG0000445	Syad.g_02965	Praw.g_01223
OG0000446	Syad.g_02967	Praw.g_01222
OG0000447	Syad.g_02970	Praw.g_01221
OG0000448	Syad.g_02971	Praw.g_01220
OG0000449	Syad.g_02972	Praw.g_01219
OG0000450	Syad.g_02978	Praw.g_01218
OG0000451	Syad.g_02979	Praw.g_01217
OG0000452	Syad.g_02983	Praw.g_01214
OG0000453	Syad.g_02984	Praw.g_01213
OG0000454	Syad.g_02985	Praw.g_01212
OG0000455	Syad.g_02986	Praw.g_01211
OG0000456	Syad.g_02987	Praw.g_01210
OG0000457	Syad.g_02989	Praw.g_01209
OG0000458	Syad.g_02998	Praw.g_01208
OG0000459	Syad.g_02999	Praw.g_01207
OG0000460	Syad.g_00815	Praw.g_01200
OG0000461	Syad.g_00579	Praw.g_00891
OG0000462	Syad.g_00576	Praw.g_00889
OG0000463	Syad.g_00575	Praw.g_00888
OG0000464	Syad.g_00574	Praw.g_00887
OG0000465	Syad.g_00573	Praw.g_00886
OG0000466	Syad.g_00568	Praw.g_00883
OG0000467	Syad.g_00566	Praw.g_00882
OG0000468	Syad.g_00561	Praw.g_00880
OG0000469	Syad.g_00545	Praw.g_00872
OG0000470	Syad.g_00542	Praw.g_00870
OG0000471	Syad.g_00541	Praw.g_00869
OG0000472	Syad.g_00539	Praw.g_00868
OG0000473	Syad.g_00537	Praw.g_00866
OG0000474	Syad.g_00536	Praw.g_00865
OG0000475	Syad.g_00535	Praw.g_00864
OG0000476	Syad.g_00533	Praw.g_00863
OG0000477	Syad.g_00528	Praw.g_00859
OG0000478	Syad.g_00527	Praw.g_00858
OG0000479	Syad.g_00526	Praw.g_00857
OG0000480	Syad.g_00520	Praw.g_00852
OG0000481	Syad.g_00518	Praw.g_00850
OG0000482	Syad.g_00517	Praw.g_00849
OG0000483	Syad.g_00513	Praw.g_00846
OG0000484	Syad.g_00512	Praw.g_00845
OG0000485	Syad.g_00511	Praw.g_00844
OG0000486	Syad.g_00510	Praw.g_00843
OG0000487	Syad.g_00503	Praw.g_00839
OG0000488	Syad.g_00499	Praw.g_00836
OG0000489	Syad.g_00487	Praw.g_00831
OG0000490	Syad.g_00475	Praw.g_00826
OG0000491	Syad.g_00474	Praw.g_00825
OG0000492	Syad.g_00472	Praw.g_00823
OG0000493	Syad.g_00471	Praw.g_00822
OG0000494	Syad.g_00470	Praw.g_00821
OG0000495	Syad.g_00469	Praw.g_00820
OG0000496	Syad.g_00468	Praw.g_00819
OG0000497	Syad.g_00467	Praw.g_00818
OG0000498	Syad.g_00466	Praw.g_00817
OG0000499	Syad.g_00465	Praw.g_00816
OG0000500	Syad.g_00464	Praw.g_00815
OG0000501	Syad.g_00461	Praw.g_00813
OG0000502	Syad.g_00449	Praw.g_00810
OG0000503	Syad.g_00761	Praw.g_00796
OG0000504	Syad.g_00763	Praw.g_00795
OG0000505	Syad.g_00764	Praw.g_00794
OG0000506	Syad.g_00766	Praw.g_00792
OG0000507	Syad.g_00772	Praw.g_00790
OG0000508	Syad.g_00776	Praw.g_00787
OG0000509	Syad.g_00778	Praw.g_00785
OG0000510	Syad.g_00779	Praw.g_00784
OG0000511	Syad.g_00780	Praw.g_00783
OG0000512	Syad.g_00782	Praw.g_00781
OG0000513	Syad.g_00789	Praw.g_00774
OG0000514	Syad.g_00795	Praw.g_00716
OG0000515	Syad.g_00796	Praw.g_00715
OG0000516	Syad.g_02456	Praw.g_00714
OG0000517	Syad.g_02451	Praw.g_00712
OG0000518	Syad.g_02439	Praw.g_00701
OG0000519	Syad.g_02438	Praw.g_00700
OG0000520	Syad.g_02437	Praw.g_00699
OG0000521	Syad.g_01108	Praw.g_00694
OG0000522	Syad.g_01109	Praw.g_00692
OG0000523	Syad.g_01110	Praw.g_00691
OG0000524	Syad.g_02386	Praw.g_00686
OG0000525	Syad.g_02363	Praw.g_00683
OG0000526	Syad.g_02360	Praw.g_00682
OG0000527	Syad.g_02355	Praw.g_00674
OG0000528	Syad.g_00897	Praw.g_00669
OG0000529	Syad.g_00905	Praw.g_00666
OG0000530	Syad.g_00908	Praw.g_00664
OG0000531	Syad.g_00909	Praw.g_00663
OG0000532	Syad.g_00912	Praw.g_00661
OG0000533	Syad.g_00913	Praw.g_00660
OG0000534	Syad.g_00914	Praw.g_00659
OG0000535	Syad.g_00915	Praw.g_00658
OG0000536	Syad.g_00916	Praw.g_00657
OG0000537	Syad.g_00917	Praw.g_00656
OG0000538	Syad.g_00929	Praw.g_00648
OG0000539	Syad.g_00930	Praw.g_00647
OG0000540	Syad.g_00931	Praw.g_00646
OG0000541	Syad.g_00932	Praw.g_00645
OG0000542	Syad.g_00935	Praw.g_00643
OG0000543	Syad.g_00937	Praw.g_00641
OG0000544	Syad.g_00938	Praw.g_00640
OG0000545	Syad.g_00940	Praw.g_00638
OG0000546	Syad.g_00942	Praw.g_00635
OG0000547	Syad.g_00944	Praw.g_00633
OG0000548	Syad.g_00945	Praw.g_00632
OG0000549	Syad.g_00952	Praw.g_00630
OG0000550	Syad.g_00956	Praw.g_00625
OG0000551	Syad.g_00960	Praw.g_00621
OG0000552	Syad.g_00961	Praw.g_00620
OG0000553	Syad.g_00965	Praw.g_00619
OG0000554	Syad.g_00978	Praw.g_00614
OG0000555	Syad.g_00999	Praw.g_00606
OG0000556	Syad.g_01003	Praw.g_00604
OG0000557	Syad.g_01011	Praw.g_00603
OG0000558	Syad.g_01013	Praw.g_00601
OG0000559	Syad.g_01016	Praw.g_00597
OG0000560	Syad.g_01019	Praw.g_00594
OG0000561	Syad.g_01020	Praw.g_00593
OG0000562	Syad.g_01021	Praw.g_00592
OG0000563	Syad.g_01022	Praw.g_00591
OG0000564	Syad.g_01023	Praw.g_00590
OG0000565	Syad.g_01027	Praw.g_00587
OG0000566	Syad.g_01031	Praw.g_00585
OG0000567	Syad.g_01035	Praw.g_00581
OG0000568	Syad.g_01040	Praw.g_00580
OG0000569	Syad.g_01041	Praw.g_00579
OG0000570	Syad.g_01042	Praw.g_00578
OG0000571	Syad.g_01046	Praw.g_00576
OG0000572	Syad.g_01064	Praw.g_01933
OG0000573	Syad.g_01072	Praw.g_01938
OG0000574	Syad.g_01077	Praw.g_01939
OG0000575	Syad.g_01083	Praw.g_01943
OG0000576	Syad.g_01085	Praw.g_01945
OG0000577	Syad.g_01086	Praw.g_01946
OG0000578	Syad.g_01087	Praw.g_01947
OG0000579	Syad.g_01088	Praw.g_01948
OG0000580	Syad.g_01089	Praw.g_01949
OG0000581	Syad.g_01097	Praw.g_00141
OG0000582	Syad.g_02206	Praw.g_00144
