Orthogroup	Prbj	Prbn
OG0000076	Prbj.g_01838	Prbn.g_01471
OG0000078	Prbj.g_01464	Prbn.g_00173
OG0000079	Prbj.g_00881	Prbn.g_00897
OG0000080	Prbj.g_01678	Prbn.g_00803
OG0000081	Prbj.g_01500	Prbn.g_01915
OG0000082	Prbj.g_01999	Prbn.g_00798
OG0000083	Prbj.g_02076	Prbn.g_00011
OG0000084	Prbj.g_02079	Prbn.g_00008
OG0000085	Prbj.g_01195	Prbn.g_00759
OG0000087	Prbj.g_01921	Prbn.g_00730
OG0000088	Prbj.g_01551	Prbn.g_01304
OG0000089	Prbj.g_01566	Prbn.g_01295
OG0000090	Prbj.g_01547	Prbn.g_01278
OG0000091	Prbj.g_00518	Prbn.g_01244
OG0000092	Prbj.g_00517	Prbn.g_01243, Prbn.g_00384
OG0000093	Prbj.g_01138	Prbn.g_00370
OG0000094	Prbj.g_01167	Prbn.g_00351
OG0000095	Prbj.g_00288	Prbn.g_00346
OG0000096	Prbj.g_01352	Prbn.g_00017
OG0000097	Prbj.g_01397	Prbn.g_00041
OG0000098	Prbj.g_01410	Prbn.g_00052
OG0000099	Prbj.g_01422	Prbn.g_00062
OG0000100	Prbj.g_01426	Prbn.g_00065
OG0000101	Prbj.g_00067	Prbn.g_00694
OG0000102	Prbj.g_02004	Prbn.g_01102
OG0000103	Prbj.g_00127	Prbn.g_00638
OG0000104	Prbj.g_01630	Prbn.g_00634
OG0000105	Prbj.g_01608	Prbn.g_00614
OG0000106	Prbj.g_02125	Prbn.g_00584
OG0000107	Prbj.g_02127	Prbn.g_00583
OG0000108	Prbj.g_02668	Prbn.g_00573
OG0000109	Prbj.g_01866	Prbn.g_00564
OG0000110	Prbj.g_01885	Prbn.g_00547
OG0000111	Prbj.g_00792	Prbn.g_00443
OG0000112	Prbj.g_00793	Prbn.g_00444
OG0000113	Prbj.g_02314	Prbn.g_01351
OG0000114	Prbj.g_02410	Prbn.g_01548
OG0000115	Prbj.g_02268	Prbn.g_01418
OG0000116	Prbj.g_02260	Prbn.g_01414
OG0000117	Prbj.g_01841	Prbn.g_01468
OG0000118	Prbj.g_02066	Prbn.g_01144
OG0000119	Prbj.g_01992	Prbn.g_01653
OG0000120	Prbj.g_00843	Prbn.g_01195
OG0000121	Prbj.g_00003	Prbn.g_00391
OG0000122	Prbj.g_02156	Prbn.g_00411
OG0000123	Prbj.g_00020	Prbn.g_00482
OG0000124	Prbj.g_01848	Prbn.g_00886
OG0000125	Prbj.g_01742	Prbn.g_01071
OG0000126	Prbj.g_01639	Prbn.g_01240
OG0000127	Prbj.g_01040	Prbn.g_00200
OG0000128	Prbj.g_01057	Prbn.g_00213
OG0000129	Prbj.g_00656	Prbn.g_00249
OG0000130	Prbj.g_00863	Prbn.g_01742
OG0000131	Prbj.g_00461	Prbn.g_01782
OG0000132	Prbj.g_00458	Prbn.g_01785
OG0000133	Prbj.g_01024	Prbn.g_01839
OG0000134	Prbj.g_00987	Prbn.g_01875
OG0000135	Prbj.g_00985	Prbn.g_01877
OG0000136	Prbj.g_01516	Prbn.g_01012
OG0000137	Prbj.g_01280	Prbn.g_00978
OG0000138	Prbj.g_01963	Prbn.g_00944
OG0000139	Prbj.g_02047	Prbn.g_00913
OG0000140	Prbj.g_02074	Prbn.g_00301
OG0000141	Prbj.g_02075	Prbn.g_00302
OG0000142	Prbj.g_02077	Prbn.g_00010
OG0000143	Prbj.g_02078	Prbn.g_00009
OG0000144	Prbj.g_02080	Prbn.g_00007
OG0000145	Prbj.g_02082	Prbn.g_00006
OG0000146	Prbj.g_02083	Prbn.g_00005
OG0000147	Prbj.g_02084	Prbn.g_00004
OG0000148	Prbj.g_02086	Prbn.g_00001
OG0000149	Prbj.g_01182	Prbn.g_00768
OG0000150	Prbj.g_01183	Prbn.g_00767
OG0000151	Prbj.g_01188	Prbn.g_00766
OG0000152	Prbj.g_01189	Prbn.g_00765
OG0000153	Prbj.g_01190	Prbn.g_00764
OG0000154	Prbj.g_01191	Prbn.g_00763
OG0000155	Prbj.g_01192	Prbn.g_00762
OG0000156	Prbj.g_01193	Prbn.g_00761
OG0000157	Prbj.g_01194	Prbn.g_00760
OG0000158	Prbj.g_01196	Prbn.g_00758
OG0000159	Prbj.g_01197	Prbn.g_00757
OG0000160	Prbj.g_01198	Prbn.g_00756
OG0000161	Prbj.g_01199	Prbn.g_00755
OG0000162	Prbj.g_01200	Prbn.g_00754
OG0000163	Prbj.g_01202	Prbn.g_00752
OG0000164	Prbj.g_01207	Prbn.g_00749
OG0000165	Prbj.g_01212	Prbn.g_00746
OG0000166	Prbj.g_01213	Prbn.g_00745
OG0000167	Prbj.g_01214	Prbn.g_00744
OG0000168	Prbj.g_01215	Prbn.g_00742
OG0000169	Prbj.g_01217	Prbn.g_00740
OG0000170	Prbj.g_01953	Prbn.g_00738
OG0000171	Prbj.g_01951	Prbn.g_00737
OG0000172	Prbj.g_01950	Prbn.g_00736
OG0000173	Prbj.g_01943	Prbn.g_00733
OG0000174	Prbj.g_01936	Prbn.g_00732
OG0000175	Prbj.g_01928	Prbn.g_00731
OG0000176	Prbj.g_01920	Prbn.g_00729
OG0000177	Prbj.g_01919	Prbn.g_00728
OG0000178	Prbj.g_01918	Prbn.g_00726
OG0000179	Prbj.g_00558	Prbn.g_00714
OG0000180	Prbj.g_00560	Prbn.g_00713
OG0000181	Prbj.g_00561	Prbn.g_00712
OG0000182	Prbj.g_00564	Prbn.g_00708
OG0000183	Prbj.g_00565	Prbn.g_00707
OG0000184	Prbj.g_00569	Prbn.g_00704
OG0000185	Prbj.g_00575	Prbn.g_01343
OG0000186	Prbj.g_00576	Prbn.g_01342
OG0000187	Prbj.g_00047	Prbn.g_01034
OG0000188	Prbj.g_00577	Prbn.g_01341
OG0000189	Prbj.g_00580	Prbn.g_01340
OG0000190	Prbj.g_00581	Prbn.g_01339
OG0000191	Prbj.g_00582	Prbn.g_01338
OG0000192	Prbj.g_00583	Prbn.g_01337
OG0000193	Prbj.g_00584	Prbn.g_01336
OG0000194	Prbj.g_00585	Prbn.g_01335
OG0000195	Prbj.g_00589	Prbn.g_01333
OG0000196	Prbj.g_00590	Prbn.g_01332
OG0000197	Prbj.g_00596	Prbn.g_01331
OG0000198	Prbj.g_00600	Prbn.g_01330
OG0000199	Prbj.g_00605	Prbn.g_01327
OG0000200	Prbj.g_00606	Prbn.g_01326
OG0000201	Prbj.g_00607	Prbn.g_01325
OG0000202	Prbj.g_00609	Prbn.g_01323
OG0000203	Prbj.g_00610	Prbn.g_01322
OG0000204	Prbj.g_00611	Prbn.g_01321
OG0000205	Prbj.g_00613	Prbn.g_01319
OG0000206	Prbj.g_00614	Prbn.g_01318
OG0000207	Prbj.g_00615	Prbn.g_01317
OG0000208	Prbj.g_00616	Prbn.g_01316
OG0000209	Prbj.g_00617	Prbn.g_01315
OG0000210	Prbj.g_00619	Prbn.g_01314
OG0000211	Prbj.g_00620	Prbn.g_01312
OG0000212	Prbj.g_00621	Prbn.g_01311
OG0000213	Prbj.g_00624	Prbn.g_01310
OG0000214	Prbj.g_00630	Prbn.g_01306
OG0000215	Prbj.g_01550	Prbn.g_01305
OG0000216	Prbj.g_01552	Prbn.g_01303
OG0000217	Prbj.g_01554	Prbn.g_01302
OG0000218	Prbj.g_01556	Prbn.g_01301
OG0000219	Prbj.g_01557	Prbn.g_01300
OG0000220	Prbj.g_01562	Prbn.g_01297
OG0000221	Prbj.g_01567	Prbn.g_01294
OG0000222	Prbj.g_01568	Prbn.g_01293
OG0000223	Prbj.g_01569	Prbn.g_01292
OG0000224	Prbj.g_01530	Prbn.g_01290
OG0000225	Prbj.g_01532	Prbn.g_01288
OG0000226	Prbj.g_01535	Prbn.g_01286
OG0000227	Prbj.g_01537	Prbn.g_01285
OG0000228	Prbj.g_01538	Prbn.g_01284
OG0000229	Prbj.g_01539	Prbn.g_01283
OG0000230	Prbj.g_01540	Prbn.g_01282
OG0000231	Prbj.g_01542	Prbn.g_01356
OG0000232	Prbj.g_01543	Prbn.g_01280
OG0000233	Prbj.g_01548	Prbn.g_01277
OG0000234	Prbj.g_00545	Prbn.g_01275
OG0000235	Prbj.g_00543	Prbn.g_01269
OG0000236	Prbj.g_00542	Prbn.g_01268
OG0000237	Prbj.g_00541	Prbn.g_01267
OG0000238	Prbj.g_00540	Prbn.g_01266
OG0000239	Prbj.g_00539	Prbn.g_01265
OG0000240	Prbj.g_00537	Prbn.g_01263
OG0000241	Prbj.g_00536	Prbn.g_01262
OG0000242	Prbj.g_00535	Prbn.g_01261
OG0000243	Prbj.g_00534	Prbn.g_01260
OG0000244	Prbj.g_00533	Prbn.g_01259
OG0000245	Prbj.g_00531	Prbn.g_01257
OG0000246	Prbj.g_00529	Prbn.g_01255
OG0000247	Prbj.g_00528	Prbn.g_01254
OG0000248	Prbj.g_00527	Prbn.g_01253
OG0000249	Prbj.g_00526	Prbn.g_01252
OG0000250	Prbj.g_00525	Prbn.g_01251
OG0000251	Prbj.g_00524	Prbn.g_01250
OG0000252	Prbj.g_00523	Prbn.g_01249
OG0000253	Prbj.g_00522	Prbn.g_01248
OG0000254	Prbj.g_00520	Prbn.g_01246
OG0000255	Prbj.g_00519	Prbn.g_01245
OG0000256	Prbj.g_00516	Prbn.g_00383
OG0000257	Prbj.g_00515	Prbn.g_00381
OG0000258	Prbj.g_00514	Prbn.g_00380
OG0000259	Prbj.g_00513	Prbn.g_00379
OG0000260	Prbj.g_00512	Prbn.g_00378
OG0000261	Prbj.g_00511	Prbn.g_00377
OG0000262	Prbj.g_00510	Prbn.g_00376
OG0000263	Prbj.g_00509	Prbn.g_00375
OG0000264	Prbj.g_02369	Prbn.g_00373
OG0000265	Prbj.g_01135	Prbn.g_00372
OG0000266	Prbj.g_01137	Prbn.g_00371
OG0000267	Prbj.g_01141	Prbn.g_00369
OG0000268	Prbj.g_01143	Prbn.g_00367
OG0000269	Prbj.g_01146	Prbn.g_00366
OG0000270	Prbj.g_01148	Prbn.g_00365
OG0000271	Prbj.g_01151	Prbn.g_00364
OG0000272	Prbj.g_01152	Prbn.g_00363
OG0000273	Prbj.g_01155	Prbn.g_00362
OG0000274	Prbj.g_01157	Prbn.g_00361
OG0000275	Prbj.g_01158	Prbn.g_00360
OG0000276	Prbj.g_01159	Prbn.g_00359
OG0000277	Prbj.g_01160	Prbn.g_00358
OG0000278	Prbj.g_01161	Prbn.g_00357
OG0000279	Prbj.g_01162	Prbn.g_00356
OG0000280	Prbj.g_01163	Prbn.g_00355
OG0000281	Prbj.g_01165	Prbn.g_00353
OG0000282	Prbj.g_01166	Prbn.g_00352
OG0000283	Prbj.g_01173	Prbn.g_00349
OG0000284	Prbj.g_01174	Prbn.g_00348
OG0000285	Prbj.g_00289	Prbn.g_00347
OG0000286	Prbj.g_00287	Prbn.g_00345
OG0000287	Prbj.g_00234	Prbn.g_00343
OG0000288	Prbj.g_00235	Prbn.g_00342
OG0000289	Prbj.g_00237	Prbn.g_00341
OG0000290	Prbj.g_00238	Prbn.g_00340
OG0000291	Prbj.g_00240	Prbn.g_00339
OG0000292	Prbj.g_00250	Prbn.g_00338
OG0000293	Prbj.g_00251	Prbn.g_00337
OG0000294	Prbj.g_00252	Prbn.g_00336
OG0000295	Prbj.g_00258	Prbn.g_00335
OG0000296	Prbj.g_00259	Prbn.g_00334
OG0000297	Prbj.g_00262	Prbn.g_00333
OG0000298	Prbj.g_00263	Prbn.g_00332
OG0000299	Prbj.g_00264	Prbn.g_00331
OG0000300	Prbj.g_00265	Prbn.g_00330
OG0000301	Prbj.g_00266	Prbn.g_00329
OG0000302	Prbj.g_00267	Prbn.g_00328
OG0000303	Prbj.g_00268	Prbn.g_00327
OG0000304	Prbj.g_00270	Prbn.g_00325
OG0000305	Prbj.g_00271	Prbn.g_00324
OG0000306	Prbj.g_00272	Prbn.g_00323
OG0000307	Prbj.g_00181	Prbn.g_00321
OG0000308	Prbj.g_01775	Prbn.g_00320
OG0000309	Prbj.g_01776	Prbn.g_00319
OG0000310	Prbj.g_01777	Prbn.g_00318
OG0000311	Prbj.g_00177	Prbn.g_00317
OG0000312	Prbj.g_00176	Prbn.g_00315
OG0000313	Prbj.g_02608	Prbn.g_00314
OG0000314	Prbj.g_02614	Prbn.g_00310
OG0000315	Prbj.g_02615	Prbn.g_00309
OG0000316	Prbj.g_02661	Prbn.g_00307
OG0000317	Prbj.g_01341	Prbn.g_00305
OG0000318	Prbj.g_01342	Prbn.g_00304
OG0000319	Prbj.g_01343	Prbn.g_00012
OG0000320	Prbj.g_01345	Prbn.g_00013
OG0000321	Prbj.g_01350	Prbn.g_00016
OG0000322	Prbj.g_01359	Prbn.g_00020
OG0000323	Prbj.g_01360	Prbn.g_00021
OG0000324	Prbj.g_01362	Prbn.g_00024
OG0000325	Prbj.g_01364	Prbn.g_00025
OG0000326	Prbj.g_01366	Prbn.g_00026
OG0000327	Prbj.g_01372	Prbn.g_00028
OG0000328	Prbj.g_00180	Prbn.g_00029
OG0000329	Prbj.g_01385	Prbn.g_00030
OG0000330	Prbj.g_01386	Prbn.g_00031
OG0000331	Prbj.g_01388	Prbn.g_00033
OG0000332	Prbj.g_01389	Prbn.g_00034
OG0000333	Prbj.g_01390	Prbn.g_00035
OG0000334	Prbj.g_01391	Prbn.g_00036
OG0000335	Prbj.g_01392	Prbn.g_00037
OG0000336	Prbj.g_01394	Prbn.g_00039
OG0000337	Prbj.g_01399	Prbn.g_00042
OG0000338	Prbj.g_01400	Prbn.g_00043
OG0000339	Prbj.g_01401	Prbn.g_00044
OG0000340	Prbj.g_01403	Prbn.g_00045
OG0000341	Prbj.g_01408	Prbn.g_00049
OG0000342	Prbj.g_01409	Prbn.g_00050
OG0000343	Prbj.g_01411	Prbn.g_00053
OG0000344	Prbj.g_01413	Prbn.g_00054
OG0000345	Prbj.g_01414	Prbn.g_00055
OG0000346	Prbj.g_01415	Prbn.g_00056
OG0000347	Prbj.g_01416	Prbn.g_00057
OG0000348	Prbj.g_01417	Prbn.g_00059
OG0000349	Prbj.g_01418	Prbn.g_00060
OG0000350	Prbj.g_01419	Prbn.g_00061
OG0000351	Prbj.g_01423	Prbn.g_00063
OG0000352	Prbj.g_01427	Prbn.g_00066
OG0000353	Prbj.g_01430	Prbn.g_00067
OG0000354	Prbj.g_01431	Prbn.g_00068
OG0000355	Prbj.g_01432	Prbn.g_00069
OG0000356	Prbj.g_01437	Prbn.g_00070
OG0000357	Prbj.g_01438	Prbn.g_00071
OG0000358	Prbj.g_01439	Prbn.g_00072
OG0000359	Prbj.g_01441	Prbn.g_00073
OG0000360	Prbj.g_01444	Prbn.g_00075
OG0000361	Prbj.g_01445	Prbn.g_00076
OG0000362	Prbj.g_01446	Prbn.g_00077
OG0000363	Prbj.g_01448	Prbn.g_00078
OG0000364	Prbj.g_01449	Prbn.g_00079
OG0000365	Prbj.g_01450	Prbn.g_00080
OG0000366	Prbj.g_01451	Prbn.g_00081
OG0000367	Prbj.g_01452	Prbn.g_00082
OG0000368	Prbj.g_01453	Prbn.g_00083
OG0000369	Prbj.g_01454	Prbn.g_00084
OG0000370	Prbj.g_01455	Prbn.g_00085
OG0000371	Prbj.g_01456	Prbn.g_00086
OG0000372	Prbj.g_01459	Prbn.g_00087
OG0000373	Prbj.g_01469	Prbn.g_00089
OG0000374	Prbj.g_01471	Prbn.g_00090
OG0000375	Prbj.g_01480	Prbn.g_00091
OG0000376	Prbj.g_00359	Prbn.g_00092
OG0000377	Prbj.g_00352	Prbn.g_00098
OG0000378	Prbj.g_00351	Prbn.g_00099
OG0000379	Prbj.g_00341	Prbn.g_00105
OG0000380	Prbj.g_00339	Prbn.g_00107
OG0000381	Prbj.g_00338	Prbn.g_00108
OG0000382	Prbj.g_00336	Prbn.g_00109
OG0000383	Prbj.g_00331	Prbn.g_00112
OG0000384	Prbj.g_00330	Prbn.g_00113
OG0000385	Prbj.g_00324	Prbn.g_00116
OG0000386	Prbj.g_00323	Prbn.g_00117
OG0000387	Prbj.g_00322	Prbn.g_00118
OG0000388	Prbj.g_00321	Prbn.g_00119
OG0000389	Prbj.g_00320	Prbn.g_00120
OG0000390	Prbj.g_00319	Prbn.g_00121
OG0000391	Prbj.g_00318	Prbn.g_00122
OG0000392	Prbj.g_00317	Prbn.g_00123
OG0000393	Prbj.g_00063	Prbn.g_00697
OG0000394	Prbj.g_00064	Prbn.g_00696
OG0000395	Prbj.g_00068	Prbn.g_00693
OG0000396	Prbj.g_02500	Prbn.g_01491
OG0000397	Prbj.g_00563	Prbn.g_01145
OG0000398	Prbj.g_00874	Prbn.g_01697
OG0000399	Prbj.g_00689	Prbn.g_01150
OG0000400	Prbj.g_02659	Prbn.g_01810
OG0000401	Prbj.g_00076	Prbn.g_00682
OG0000402	Prbj.g_00077	Prbn.g_00681
OG0000403	Prbj.g_00089	Prbn.g_00680
OG0000404	Prbj.g_00099	Prbn.g_00678
OG0000405	Prbj.g_00100	Prbn.g_00677
OG0000406	Prbj.g_00102	Prbn.g_00675
OG0000407	Prbj.g_00103	Prbn.g_00674
OG0000408	Prbj.g_00104	Prbn.g_00673
OG0000409	Prbj.g_00105	Prbn.g_00672
OG0000410	Prbj.g_00107	Prbn.g_00671
OG0000411	Prbj.g_00108	Prbn.g_00670
OG0000412	Prbj.g_00109	Prbn.g_00669
OG0000413	Prbj.g_00110	Prbn.g_00668
OG0000414	Prbj.g_00111	Prbn.g_00667
OG0000415	Prbj.g_00112	Prbn.g_00666
OG0000416	Prbj.g_00113	Prbn.g_00665
OG0000417	Prbj.g_00117	Prbn.g_00664
OG0000418	Prbj.g_00118	Prbn.g_00663
OG0000419	Prbj.g_00119	Prbn.g_00662
OG0000420	Prbj.g_00120	Prbn.g_00661
OG0000421	Prbj.g_01894	Prbn.g_00657
OG0000422	Prbj.g_01892	Prbn.g_00655
OG0000423	Prbj.g_01891	Prbn.g_00654
OG0000424	Prbj.g_01888	Prbn.g_00653
OG0000425	Prbj.g_00152	Prbn.g_00649
OG0000426	Prbj.g_00151	Prbn.g_00648
OG0000427	Prbj.g_00148	Prbn.g_00647
OG0000428	Prbj.g_00136	Prbn.g_00645
OG0000429	Prbj.g_00134	Prbn.g_00644
OG0000430	Prbj.g_00132	Prbn.g_00643
OG0000431	Prbj.g_00130	Prbn.g_00641
OG0000432	Prbj.g_00129	Prbn.g_00640
OG0000433	Prbj.g_01638	Prbn.g_00637
OG0000434	Prbj.g_01635	Prbn.g_00636
OG0000435	Prbj.g_01631	Prbn.g_00635
OG0000436	Prbj.g_01629	Prbn.g_00633
OG0000437	Prbj.g_01627	Prbn.g_00631
OG0000438	Prbj.g_01626	Prbn.g_00630
OG0000439	Prbj.g_01625	Prbn.g_00629
OG0000440	Prbj.g_01622	Prbn.g_00627
OG0000441	Prbj.g_01620	Prbn.g_00626
OG0000442	Prbj.g_01619	Prbn.g_00625
OG0000443	Prbj.g_01618	Prbn.g_00624
OG0000444	Prbj.g_01617	Prbn.g_00623
OG0000445	Prbj.g_01616	Prbn.g_00622
OG0000446	Prbj.g_01615	Prbn.g_00621
OG0000447	Prbj.g_01614	Prbn.g_00620
OG0000448	Prbj.g_01613	Prbn.g_00619
OG0000449	Prbj.g_01605	Prbn.g_00613
OG0000450	Prbj.g_02088	Prbn.g_00612
OG0000451	Prbj.g_02089	Prbn.g_00611
OG0000452	Prbj.g_02090	Prbn.g_00610
OG0000453	Prbj.g_02093	Prbn.g_00609
OG0000454	Prbj.g_02094	Prbn.g_00608
OG0000455	Prbj.g_02095	Prbn.g_00607
OG0000456	Prbj.g_02096	Prbn.g_00606
OG0000457	Prbj.g_02097	Prbn.g_00604
OG0000458	Prbj.g_02098	Prbn.g_00602
OG0000459	Prbj.g_02099	Prbn.g_00601
OG0000460	Prbj.g_02101	Prbn.g_00599
OG0000461	Prbj.g_02102	Prbn.g_00598
OG0000462	Prbj.g_02103	Prbn.g_00597
OG0000463	Prbj.g_02108	Prbn.g_00596
OG0000464	Prbj.g_02113	Prbn.g_00592
OG0000465	Prbj.g_02114	Prbn.g_00591
OG0000466	Prbj.g_02115	Prbn.g_00590
OG0000467	Prbj.g_02117	Prbn.g_00589
OG0000468	Prbj.g_02118	Prbn.g_00588
OG0000469	Prbj.g_02123	Prbn.g_00587
OG0000470	Prbj.g_01116	Prbn.g_00586
OG0000471	Prbj.g_00765	Prbn.g_00585
OG0000472	Prbj.g_02128	Prbn.g_00582
OG0000473	Prbj.g_02130	Prbn.g_00581
OG0000474	Prbj.g_02132	Prbn.g_00580
OG0000475	Prbj.g_02133	Prbn.g_00579
OG0000476	Prbj.g_02139	Prbn.g_00578
OG0000477	Prbj.g_02142	Prbn.g_00576
OG0000478	Prbj.g_02144	Prbn.g_00575
OG0000479	Prbj.g_02146	Prbn.g_00574
OG0000480	Prbj.g_02666	Prbn.g_00572
OG0000481	Prbj.g_01858	Prbn.g_00571
OG0000482	Prbj.g_01859	Prbn.g_00570
OG0000483	Prbj.g_01861	Prbn.g_00569
OG0000484	Prbj.g_01862	Prbn.g_00568
OG0000485	Prbj.g_01863	Prbn.g_00567
OG0000486	Prbj.g_01864	Prbn.g_00566
OG0000487	Prbj.g_01865	Prbn.g_00565
OG0000488	Prbj.g_01867	Prbn.g_00563
OG0000489	Prbj.g_01868	Prbn.g_00562
OG0000490	Prbj.g_01869	Prbn.g_00561
OG0000491	Prbj.g_01870	Prbn.g_00560
OG0000492	Prbj.g_01871	Prbn.g_00559
OG0000493	Prbj.g_01872	Prbn.g_00558
OG0000494	Prbj.g_01874	Prbn.g_00557
OG0000495	Prbj.g_01875	Prbn.g_00556
OG0000496	Prbj.g_01877	Prbn.g_00554
OG0000497	Prbj.g_01879	Prbn.g_00552
OG0000498	Prbj.g_01880	Prbn.g_00551
OG0000499	Prbj.g_01882	Prbn.g_00549
OG0000500	Prbj.g_01883	Prbn.g_00548
OG0000501	Prbj.g_01807	Prbn.g_00546
OG0000502	Prbj.g_01806	Prbn.g_00545
OG0000503	Prbj.g_01805	Prbn.g_00544
OG0000504	Prbj.g_01803	Prbn.g_00543
OG0000505	Prbj.g_01802	Prbn.g_00542
OG0000506	Prbj.g_01801	Prbn.g_00541
OG0000507	Prbj.g_01800	Prbn.g_00540
OG0000508	Prbj.g_01796	Prbn.g_00538
OG0000509	Prbj.g_01795	Prbn.g_00537
OG0000510	Prbj.g_01794	Prbn.g_00536
OG0000511	Prbj.g_01793	Prbn.g_00535
OG0000512	Prbj.g_01792	Prbn.g_00534
OG0000513	Prbj.g_01791	Prbn.g_00533
OG0000514	Prbj.g_01790	Prbn.g_00532
OG0000515	Prbj.g_01787	Prbn.g_00529
OG0000516	Prbj.g_01786	Prbn.g_00528
OG0000517	Prbj.g_01785	Prbn.g_00527
OG0000518	Prbj.g_01781	Prbn.g_00524
OG0000519	Prbj.g_01780	Prbn.g_00523
OG0000520	Prbj.g_01779	Prbn.g_00522
OG0000521	Prbj.g_01778	Prbn.g_00521
OG0000522	Prbj.g_01772	Prbn.g_00520
OG0000523	Prbj.g_01771	Prbn.g_00519
OG0000524	Prbj.g_01770	Prbn.g_00518
OG0000525	Prbj.g_01768	Prbn.g_00516
OG0000526	Prbj.g_01767	Prbn.g_00515
OG0000527	Prbj.g_01766	Prbn.g_00514
OG0000528	Prbj.g_01765	Prbn.g_00513
OG0000529	Prbj.g_01764	Prbn.g_00512
OG0000530	Prbj.g_01763	Prbn.g_00511
OG0000531	Prbj.g_01760	Prbn.g_00509
OG0000532	Prbj.g_01758	Prbn.g_00508
OG0000533	Prbj.g_01757	Prbn.g_00507
OG0000534	Prbj.g_01756	Prbn.g_00506
OG0000535	Prbj.g_01755	Prbn.g_00505
OG0000536	Prbj.g_01754	Prbn.g_00504
OG0000537	Prbj.g_01753	Prbn.g_00503
OG0000538	Prbj.g_01752	Prbn.g_00502
OG0000539	Prbj.g_01750	Prbn.g_00501
OG0000540	Prbj.g_01748	Prbn.g_00500
OG0000541	Prbj.g_02544	Prbn.g_00499
OG0000542	Prbj.g_02545	Prbn.g_00498
OG0000543	Prbj.g_02546	Prbn.g_00497
OG0000544	Prbj.g_02547	Prbn.g_00496
OG0000545	Prbj.g_02550	Prbn.g_00494
OG0000546	Prbj.g_02551	Prbn.g_00493
OG0000547	Prbj.g_02553	Prbn.g_00491
