Orthogroup	Syao	Syam
OG0000046	Syao.g_01845	Syam.g_00403
OG0000047	Syao.g_01899	Syam.g_00434
OG0000048	Syao.g_02077	Syam.g_00243
OG0000052	Syao.g_01085, Syao.g_02520, Syao.g_01972	Syam.g_00161
OG0000053	Syao.g_00067	Syam.g_01636
OG0000058	Syao.g_01978	Syam.g_00169
OG0000059	Syao.g_01801	Syam.g_00320
OG0000060	Syao.g_00312	Syam.g_00902
OG0000061	Syao.g_00123	Syam.g_01795
OG0000062	Syao.g_01576	Syam.g_01972
OG0000063	Syao.g_02230	Syam.g_00039
OG0000064	Syao.g_01898	Syam.g_01964
OG0000064	Syao.g_01462, Syao.g_02605	Syam.g_02363
OG0000066	Syao.g_01422	Syam.g_00552, Syam.g_00662
OG0000067	Syao.g_00756	Syam.g_01290
OG0000068	Syao.g_00868, Syao.g_00036	Syam.g_00575
OG0000069	Syao.g_01460	Syam.g_01521
OG0000070	Syao.g_00330	Syam.g_01847
OG0000071	Syao.g_01433	Syam.g_01830
OG0000072	Syao.g_02509	Syam.g_02219
OG0000073	Syao.g_00103	Syam.g_00604
OG0000075	Syao.g_02257	Syam.g_00148
OG0000076	Syao.g_01949	Syam.g_00115
OG0000077	Syao.g_02629	Syam.g_02074
OG0000078	Syao.g_01709	Syam.g_00514
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Syam.g_00270
OG0000082	Syao.g_01035	Syam.g_01730
OG0000084	Syao.g_01509	Syam.g_00441
OG0000085	Syao.g_01569	Syam.g_01979
OG0000086	Syao.g_02653, Syao.g_01240	Syam.g_02092
OG0000087	Syao.g_02555	Syam.g_02175
OG0000088	Syao.g_02503	Syam.g_02213
OG0000089	Syao.g_01716	Syam.g_00489
OG0000090	Syao.g_01412	Syam.g_00651
OG0000091	Syao.g_00902	Syam.g_01460
OG0000093	Syao.g_00739	Syam.g_01305
OG0000094	Syao.g_00458	Syam.g_01198
OG0000095	Syao.g_00331	Syam.g_00774
OG0000097	Syao.g_00973	Syam.g_00874
OG0000098	Syao.g_01374	Syam.g_00944
OG0000099	Syao.g_02019	Syam.g_00173
OG0000100	Syao.g_00787	Syam.g_01259
OG0000102	Syao.g_01945	Syam.g_00110
OG0000104	Syao.g_02157	Syam.g_02442
OG0000105	Syao.g_02071, Syao.g_02072	Syam.g_00238
OG0000106	Syao.g_01385	Syam.g_01039
OG0000107	Syao.g_01935	Syam.g_00288
OG0000108	Syao.g_00028	Syam.g_00583
OG0000110	Syao.g_01051	Syam.g_01743
OG0000112	Syao.g_00683, Syao.g_00303	Syam.g_01115
OG0000113	Syao.g_00782	Syam.g_01264
OG0000114	Syao.g_00965	Syam.g_01349
OG0000115	Syao.g_01464, Syao.g_00065	Syam.g_01634
OG0000116	Syao.g_00137	Syam.g_01807
OG0000117	Syao.g_00169	Syam.g_00904
OG0000118	Syao.g_01475	Syam.g_01698
OG0000120	Syao.g_02009	Syam.g_00172
OG0000121	Syao.g_01489	Syam.g_01615
OG0000122	Syao.g_01247	Syam.g_01436
OG0000123	Syao.g_01832	Syam.g_00379
OG0000124	Syao.g_02179	Syam.g_00096
OG0000125	Syao.g_02444	Syam.g_02319
OG0000126	Syao.g_02198	Syam.g_02440
OG0000127	Syao.g_02375	Syam.g_02032
OG0000128	Syao.g_02149	Syam.g_00012
OG0000129	Syao.g_02434	Syam.g_02307
OG0000130	Syao.g_02617	Syam.g_02062
OG0000131	Syao.g_02480	Syam.g_02191
OG0000132	Syao.g_02501	Syam.g_02211
OG0000133	Syao.g_00678	Syam.g_01120
OG0000134	Syao.g_01719	Syam.g_00492
OG0000135	Syao.g_00147	Syam.g_02347
OG0000136	Syao.g_01614, Syao.g_01613	Syam.g_01857
OG0000137	Syao.g_02682	Syam.g_01668
OG0000138	Syao.g_00108	Syam.g_00599
OG0000139	Syao.g_01418	Syam.g_00657
OG0000140	Syao.g_01373, Syao.g_01372	Syam.g_00659
OG0000141	Syao.g_01202	Syam.g_01514
OG0000142	Syao.g_00894	Syam.g_01468
OG0000143	Syao.g_00898	Syam.g_01464
OG0000145	Syao.g_00102	Syam.g_00605
OG0000146	Syao.g_00684, Syao.g_00304	Syam.g_01114
OG0000147	Syao.g_00305, Syao.g_00685	Syam.g_01113
OG0000148	Syao.g_00776	Syam.g_01270
OG0000149	Syao.g_00534	Syam.g_00725
OG0000150	Syao.g_01203	Syam.g_00660
OG0000151	Syao.g_00975	Syam.g_01338
OG0000152	Syao.g_00674	Syam.g_01124
OG0000153	Syao.g_00818, Syao.g_01176	Syam.g_01160
OG0000154	Syao.g_00447	Syam.g_01187
OG0000155	Syao.g_00178	Syam.g_01763
OG0000156	Syao.g_00151	Syam.g_01814
OG0000157	Syao.g_00152	Syam.g_01815
OG0000158	Syao.g_01141, Syao.g_02267	Syam.g_00139
OG0000160	Syao.g_01488	Syam.g_01614
OG0000161	Syao.g_01494	Syam.g_01620
OG0000162	Syao.g_01515	Syam.g_01627
OG0000163	Syao.g_01745	Syam.g_01927
OG0000165	Syao.g_01655	Syam.g_01879, Syam.g_01878
OG0000166	Syao.g_01790	Syam.g_00330
OG0000167	Syao.g_01960	Syam.g_00151
OG0000168	Syao.g_02128	Syam.g_00138
OG0000169	Syao.g_02139	Syam.g_00127
OG0000170	Syao.g_02148	Syam.g_00120
OG0000171	Syao.g_02181	Syam.g_00097
OG0000172	Syao.g_02170	Syam.g_00075
OG0000173	Syao.g_02212	Syam.g_00057
OG0000174	Syao.g_02364, Syao.g_02355	Syam.g_02349
OG0000175	Syao.g_02327, Syao.g_00308	Syam.g_02417
OG0000176	Syao.g_02165	Syam.g_00004
OG0000177	Syao.g_02156	Syam.g_00005
OG0000178	Syao.g_02155	Syam.g_00006
OG0000179	Syao.g_02250	Syam.g_00021
OG0000180	Syao.g_02249	Syam.g_00022
OG0000181	Syao.g_02248	Syam.g_00023
OG0000182	Syao.g_02247	Syam.g_00024
OG0000183	Syao.g_02243	Syam.g_00028
OG0000184	Syao.g_02423	Syam.g_02298
OG0000185	Syao.g_02410	Syam.g_02295
OG0000186	Syao.g_02613	Syam.g_02058
OG0000187	Syao.g_02615	Syam.g_02059
OG0000188	Syao.g_02637	Syam.g_02081
OG0000189	Syao.g_02672	Syam.g_02108
OG0000190	Syao.g_01015	Syam.g_02110
OG0000191	Syao.g_02573	Syam.g_02142
OG0000192	Syao.g_02579	Syam.g_02148
OG0000193	Syao.g_02481	Syam.g_02192
OG0000194	Syao.g_02484	Syam.g_02195
OG0000196	Syao.g_02498	Syam.g_02208
OG0000197	Syao.g_02499	Syam.g_02209
OG0000198	Syao.g_02500	Syam.g_02210
OG0000199	Syao.g_02508	Syam.g_02218
OG0000200	Syao.g_02524	Syam.g_02234
OG0000201	Syao.g_02540	Syam.g_02248
OG0000202	Syao.g_02454	Syam.g_02249
OG0000203	Syao.g_02455	Syam.g_02250
OG0000204	Syao.g_02456	Syam.g_02251
OG0000205	Syao.g_02464	Syam.g_02258
OG0000206	Syao.g_02469	Syam.g_02264
OG0000207	Syao.g_02471	Syam.g_02266
OG0000208	Syao.g_02472	Syam.g_02267
OG0000209	Syao.g_02394	Syam.g_02278
OG0000210	Syao.g_02395	Syam.g_02279
OG0000211	Syao.g_01700	Syam.g_00504
OG0000212	Syao.g_01710	Syam.g_00515
OG0000213	Syao.g_02098	Syam.g_00263
OG0000214	Syao.g_02081	Syam.g_00247
OG0000215	Syao.g_02050	Syam.g_00216
OG0000216	Syao.g_02045	Syam.g_00212
OG0000217	Syao.g_02041	Syam.g_00208
OG0000218	Syao.g_02039	Syam.g_00206
OG0000219	Syao.g_02038	Syam.g_00205
OG0000220	Syao.g_02037	Syam.g_00204
OG0000221	Syao.g_02034	Syam.g_00198
OG0000222	Syao.g_02023	Syam.g_00186
OG0000223	Syao.g_00291	Syam.g_00168
OG0000224	Syao.g_01973	Syam.g_00164
OG0000225	Syao.g_01751	Syam.g_00473
OG0000226	Syao.g_01758	Syam.g_00477
OG0000227	Syao.g_01760	Syam.g_00479
OG0000228	Syao.g_01715	Syam.g_00488
OG0000229	Syao.g_01736	Syam.g_01867
OG0000230	Syao.g_01738	Syam.g_01865
OG0000231	Syao.g_01513	Syam.g_01848
OG0000232	Syao.g_00057	Syam.g_01692
OG0000233	Syao.g_02698	Syam.g_01678
OG0000234	Syao.g_02680	Syam.g_01667
OG0000235	Syao.g_00029	Syam.g_00582
OG0000236	Syao.g_00111	Syam.g_00597
OG0000237	Syao.g_00166	Syam.g_00614
OG0000238	Syao.g_00161	Syam.g_00619
OG0000239	Syao.g_01398	Syam.g_00637
OG0000240	Syao.g_01399	Syam.g_00638
OG0000241	Syao.g_00887	Syam.g_01477
OG0000242	Syao.g_01410	Syam.g_00649
OG0000243	Syao.g_00873	Syam.g_00668
OG0000244	Syao.g_00865	Syam.g_00674
OG0000245	Syao.g_00863	Syam.g_00676
OG0000246	Syao.g_00859	Syam.g_00680
OG0000247	Syao.g_00847	Syam.g_00692
OG0000249	Syao.g_00842	Syam.g_00697
OG0000250	Syao.g_00835	Syam.g_01747
OG0000251	Syao.g_01026	Syam.g_01722
OG0000252	Syao.g_01020	Syam.g_01719
OG0000253	Syao.g_01003	Syam.g_01718
OG0000254	Syao.g_01053	Syam.g_01510
OG0000255	Syao.g_01009	Syam.g_01500
OG0000256	Syao.g_01328	Syam.g_01484
OG0000257	Syao.g_00884	Syam.g_01478
OG0000258	Syao.g_00907	Syam.g_01459
OG0000259	Syao.g_00933, Syao.g_00932	Syam.g_01378
OG0000260	Syao.g_00936	Syam.g_01375
OG0000261	Syao.g_00941	Syam.g_01372
OG0000262	Syao.g_00946	Syam.g_01367
OG0000263	Syao.g_00247	Syam.g_00885
OG0000264	Syao.g_00699	Syam.g_00805
OG0000265	Syao.g_00049	Syam.g_01880
OG0000266	Syao.g_00480	Syam.g_01234
OG0000267	Syao.g_00589	Syam.g_01071
OG0000268	Syao.g_00588	Syam.g_01072
OG0000269	Syao.g_00751	Syam.g_01295
OG0000270	Syao.g_00754	Syam.g_01292
OG0000271	Syao.g_00762	Syam.g_01284
OG0000272	Syao.g_00763	Syam.g_01283
OG0000274	Syao.g_00792	Syam.g_00744
OG0000275	Syao.g_00438	Syam.g_00741
OG0000276	Syao.g_00558	Syam.g_00733
OG0000277	Syao.g_00557	Syam.g_00732
OG0000278	Syao.g_00554	Syam.g_00729
OG0000279	Syao.g_00529	Syam.g_00721
OG0000280	Syao.g_00608	Syam.g_00701
OG0000281	Syao.g_01377	Syam.g_00943
OG0000282	Syao.g_00967	Syam.g_01347
OG0000283	Syao.g_00640	Syam.g_01087
OG0000284	Syao.g_00634	Syam.g_01093
OG0000285	Syao.g_00706	Syam.g_01105
OG0000286	Syao.g_00675	Syam.g_01123
OG0000287	Syao.g_00825	Syam.g_01153
OG0000288	Syao.g_00446	Syam.g_01186
OG0000289	Syao.g_00461	Syam.g_01201
OG0000290	Syao.g_00428	Syam.g_00771
OG0000291	Syao.g_00333	Syam.g_00773
OG0000292	Syao.g_02196	Syam.g_02439
OG0000293	Syao.g_00136	Syam.g_01806
OG0000295	Syao.g_00186	Syam.g_01771
OG0000296	Syao.g_00184	Syam.g_01769
OG0000298	Syao.g_00170	Syam.g_00905
OG0000299	Syao.g_00231	Syam.g_00878
OG0000300	Syao.g_00274	Syam.g_00871
OG0000301	Syao.g_00272, Syao.g_00273	Syam.g_00870
OG0000302	Syao.g_00271	Syam.g_00868
OG0000303	Syao.g_00262	Syam.g_00859
OG0000304	Syao.g_00256	Syam.g_00853
OG0000305	Syao.g_00388	Syam.g_00776
OG0000306	Syao.g_01216	Syam.g_01757
OG0000307	Syao.g_00045	Syam.g_00566
OG0000308	Syao.g_00047	Syam.g_00564
OG0000309	Syao.g_02705	Syam.g_00559
OG0000310	Syao.g_01530	Syam.g_01591
OG0000311	Syao.g_01533	Syam.g_01595
OG0000312	Syao.g_01538	Syam.g_01601
OG0000313	Syao.g_01491	Syam.g_01617
OG0000314	Syao.g_00078	Syam.g_01647
OG0000315	Syao.g_00088	Syam.g_01658
OG0000316	Syao.g_01602	Syam.g_01945
OG0000317	Syao.g_01560	Syam.g_01987
OG0000318	Syao.g_01553	Syam.g_01991
OG0000319	Syao.g_01678	Syam.g_02006
OG0000320	Syao.g_01676	Syam.g_02008
OG0000321	Syao.g_01675	Syam.g_02009
OG0000322	Syao.g_01674	Syam.g_02010
OG0000323	Syao.g_01661	Syam.g_02025
OG0000324	Syao.g_01630	Syam.g_01906
OG0000325	Syao.g_01936	Syam.g_00289
OG0000327	Syao.g_01795	Syam.g_00325
OG0000328	Syao.g_01794	Syam.g_00326
OG0000329	Syao.g_01776	Syam.g_00344
OG0000330	Syao.g_01775	Syam.g_00345
OG0000331	Syao.g_01774	Syam.g_00346
OG0000333	Syao.g_01810	Syam.g_00364
OG0000334	Syao.g_01836	Syam.g_00375
OG0000335	Syao.g_01831	Syam.g_00380
OG0000336	Syao.g_01827	Syam.g_00384
OG0000337	Syao.g_01968	Syam.g_00155
OG0000338	Syao.g_01962	Syam.g_00153
OG0000339	Syao.g_02259	Syam.g_00147
OG0000340	Syao.g_02129	Syam.g_00137
OG0000341	Syao.g_02131	Syam.g_00135
OG0000342	Syao.g_02132	Syam.g_00134
OG0000343	Syao.g_02133	Syam.g_00133
OG0000344	Syao.g_02137	Syam.g_00129
OG0000345	Syao.g_01953	Syam.g_00119
OG0000346	Syao.g_01948	Syam.g_00114
OG0000347	Syao.g_02178	Syam.g_00083
OG0000348	Syao.g_02166	Syam.g_00068
OG0000349	Syao.g_02219	Syam.g_00050
OG0000350	Syao.g_01925	Syam.g_00303
OG0000351	Syao.g_02331	Syam.g_02420
OG0000352	Syao.g_02332	Syam.g_02421
OG0000353	Syao.g_02160	Syam.g_02445
OG0000354	Syao.g_00154, Syao.g_00155	Syam.g_00626, Syam.g_00625
OG0000355	Syao.g_02162	Syam.g_00001
OG0000356	Syao.g_02163	Syam.g_00002
OG0000357	Syao.g_02164	Syam.g_00003
OG0000358	Syao.g_02154	Syam.g_00007
OG0000359	Syao.g_02152	Syam.g_00009
OG0000360	Syao.g_02151	Syam.g_00010
OG0000361	Syao.g_02150	Syam.g_00011
OG0000362	Syao.g_01954	Syam.g_00013
OG0000363	Syao.g_02255	Syam.g_00015
OG0000364	Syao.g_01558	Syam.g_00016
OG0000365	Syao.g_02246	Syam.g_00025
OG0000366	Syao.g_02245	Syam.g_00026
OG0000367	Syao.g_02244	Syam.g_00027
OG0000368	Syao.g_02242	Syam.g_00029
OG0000369	Syao.g_02241	Syam.g_00030
OG0000370	Syao.g_02240	Syam.g_00031
OG0000371	Syao.g_02231	Syam.g_00038
OG0000372	Syao.g_02226	Syam.g_00043
OG0000373	Syao.g_02225	Syam.g_00044
OG0000374	Syao.g_02224	Syam.g_00045
OG0000375	Syao.g_02223	Syam.g_00046
OG0000376	Syao.g_02221	Syam.g_00048
OG0000377	Syao.g_02429	Syam.g_02306
OG0000378	Syao.g_02414	Syam.g_02297
OG0000379	Syao.g_02409	Syam.g_02294
OG0000380	Syao.g_02616	Syam.g_02060
OG0000381	Syao.g_02618	Syam.g_02063
OG0000382	Syao.g_02636	Syam.g_02080
OG0000383	Syao.g_02643	Syam.g_02083
OG0000384	Syao.g_02644	Syam.g_02084
OG0000385	Syao.g_02645	Syam.g_02085
OG0000386	Syao.g_02646	Syam.g_02086
OG0000387	Syao.g_01019	Syam.g_02112
OG0000388	Syao.g_02596	Syam.g_02116
OG0000389	Syao.g_02599	Syam.g_02120
OG0000390	Syao.g_02567	Syam.g_02136
OG0000391	Syao.g_02572	Syam.g_02141
OG0000392	Syao.g_02578	Syam.g_02147
OG0000393	Syao.g_02581	Syam.g_02149
OG0000394	Syao.g_02582	Syam.g_02150
OG0000395	Syao.g_02583	Syam.g_02151
OG0000396	Syao.g_02586	Syam.g_02153
OG0000397	Syao.g_02542	Syam.g_02160
OG0000398	Syao.g_02547	Syam.g_02165
OG0000399	Syao.g_02548	Syam.g_02166
OG0000400	Syao.g_02549	Syam.g_02167
OG0000401	Syao.g_02550	Syam.g_02168
OG0000402	Syao.g_02552	Syam.g_02171
OG0000403	Syao.g_02553	Syam.g_02172
OG0000404	Syao.g_02554	Syam.g_02173
OG0000405	Syao.g_02478	Syam.g_02189
OG0000406	Syao.g_02482	Syam.g_02193
OG0000407	Syao.g_02483	Syam.g_02194
OG0000408	Syao.g_02485	Syam.g_02196
OG0000409	Syao.g_02487	Syam.g_02198
OG0000410	Syao.g_02488	Syam.g_02199
OG0000411	Syao.g_02489	Syam.g_02200
OG0000412	Syao.g_02490	Syam.g_02201
OG0000413	Syao.g_02492	Syam.g_02203
OG0000414	Syao.g_02493	Syam.g_02204
OG0000415	Syao.g_02494	Syam.g_02205
OG0000416	Syao.g_02495	Syam.g_02206
OG0000417	Syao.g_02497	Syam.g_02207
OG0000418	Syao.g_02502	Syam.g_02212
OG0000419	Syao.g_02504	Syam.g_02214
OG0000420	Syao.g_02506	Syam.g_02216
OG0000421	Syao.g_02510	Syam.g_02221
OG0000422	Syao.g_02511	Syam.g_02222
OG0000423	Syao.g_02512	Syam.g_02223
OG0000424	Syao.g_02513	Syam.g_02224
OG0000425	Syao.g_02514	Syam.g_02225
OG0000426	Syao.g_02515	Syam.g_02226
OG0000427	Syao.g_02516	Syam.g_02227
OG0000428	Syao.g_02519	Syam.g_02230
OG0000429	Syao.g_02522	Syam.g_02232
OG0000430	Syao.g_02523	Syam.g_02233
OG0000431	Syao.g_02526	Syam.g_02237
OG0000432	Syao.g_02532	Syam.g_02243
OG0000433	Syao.g_02534	Syam.g_02244
OG0000434	Syao.g_02535	Syam.g_02245
OG0000435	Syao.g_02538	Syam.g_02246
OG0000436	Syao.g_02458	Syam.g_02252
OG0000437	Syao.g_02459	Syam.g_02253
OG0000438	Syao.g_02460	Syam.g_02254
OG0000439	Syao.g_02462	Syam.g_02256
OG0000440	Syao.g_02463	Syam.g_02257
OG0000441	Syao.g_02466	Syam.g_02261
OG0000442	Syao.g_02467	Syam.g_02262
OG0000443	Syao.g_02468	Syam.g_02263
OG0000444	Syao.g_02473	Syam.g_02268
OG0000445	Syao.g_02474	Syam.g_02269
OG0000446	Syao.g_02476	Syam.g_02270
OG0000447	Syao.g_02383	Syam.g_02272
OG0000448	Syao.g_02384	Syam.g_02273
OG0000449	Syao.g_02385	Syam.g_02274
OG0000450	Syao.g_02391	Syam.g_02275
OG0000451	Syao.g_02392	Syam.g_02276
OG0000452	Syao.g_02396	Syam.g_02280
OG0000453	Syao.g_02397	Syam.g_02281
OG0000454	Syao.g_02398	Syam.g_02282
OG0000455	Syao.g_02399	Syam.g_02283
OG0000456	Syao.g_02400	Syam.g_02284
OG0000457	Syao.g_02402	Syam.g_02286
OG0000458	Syao.g_02403	Syam.g_02287
OG0000459	Syao.g_02404	Syam.g_02288
OG0000460	Syao.g_01702	Syam.g_00506
OG0000461	Syao.g_02119	Syam.g_00284
OG0000462	Syao.g_02116	Syam.g_00281
OG0000463	Syao.g_02115	Syam.g_00280
OG0000464	Syao.g_02114	Syam.g_00279
OG0000465	Syao.g_02112	Syam.g_00277
OG0000466	Syao.g_02107	Syam.g_00273
OG0000467	Syao.g_02106	Syam.g_00271
OG0000468	Syao.g_02102	Syam.g_00266
OG0000469	Syao.g_02087	Syam.g_00253
OG0000470	Syao.g_02085	Syam.g_00251
OG0000471	Syao.g_02084	Syam.g_00250
OG0000472	Syao.g_02082	Syam.g_00248
OG0000473	Syao.g_02080	Syam.g_00246
OG0000474	Syao.g_02079	Syam.g_00245
OG0000475	Syao.g_02078	Syam.g_00244
OG0000476	Syao.g_02076	Syam.g_00242
OG0000477	Syao.g_02069	Syam.g_00236
OG0000478	Syao.g_02068	Syam.g_00235
OG0000479	Syao.g_02067	Syam.g_00234
OG0000480	Syao.g_02060	Syam.g_00227
OG0000481	Syao.g_01012	Syam.g_00225
OG0000482	Syao.g_02058	Syam.g_00224
OG0000483	Syao.g_02054	Syam.g_00220
OG0000484	Syao.g_02053	Syam.g_00219
OG0000485	Syao.g_02052	Syam.g_00218
OG0000486	Syao.g_02051	Syam.g_00217
OG0000487	Syao.g_02044	Syam.g_00211
OG0000488	Syao.g_02040	Syam.g_00207
OG0000489	Syao.g_02033	Syam.g_00197
OG0000490	Syao.g_02025	Syam.g_00189
OG0000491	Syao.g_02024	Syam.g_00187
OG0000492	Syao.g_02022	Syam.g_00185
OG0000493	Syao.g_02021	Syam.g_00184
OG0000494	Syao.g_02020	Syam.g_00183
OG0000495	Syao.g_02018	Syam.g_00182
OG0000496	Syao.g_02017	Syam.g_00181
OG0000497	Syao.g_02016	Syam.g_00180
OG0000498	Syao.g_02015	Syam.g_00179
OG0000499	Syao.g_02014	Syam.g_00178
OG0000500	Syao.g_02013	Syam.g_00177
OG0000501	Syao.g_02010	Syam.g_00174
OG0000502	Syao.g_01974	Syam.g_00165
OG0000503	Syao.g_01877	Syam.g_00457
OG0000504	Syao.g_01875	Syam.g_00459
OG0000505	Syao.g_01874	Syam.g_00460
OG0000506	Syao.g_01872	Syam.g_00462
OG0000507	Syao.g_01866	Syam.g_00468
OG0000508	Syao.g_01750	Syam.g_00472
OG0000509	Syao.g_01755	Syam.g_00474
OG0000510	Syao.g_01756	Syam.g_00475
OG0000511	Syao.g_01757	Syam.g_00476
OG0000512	Syao.g_01759	Syam.g_00478
OG0000513	Syao.g_01720	Syam.g_00493
OG0000514	Syao.g_01727	Syam.g_00499
OG0000515	Syao.g_01728	Syam.g_00500
OG0000516	Syao.g_01730	Syam.g_01862
OG0000517	Syao.g_01735	Syam.g_01868
OG0000518	Syao.g_01621	Syam.g_01851
OG0000519	Syao.g_01622	Syam.g_01850
OG0000520	Syao.g_01512	Syam.g_01849
OG0000521	Syao.g_00061	Syam.g_01696
OG0000522	Syao.g_00059	Syam.g_01694
OG0000523	Syao.g_00058	Syam.g_01693
OG0000524	Syao.g_02699	Syam.g_01681
OG0000525	Syao.g_02691	Syam.g_01677
OG0000526	Syao.g_02688	Syam.g_01674
OG0000527	Syao.g_02684	Syam.g_01670
OG0000528	Syao.g_00031	Syam.g_00580
OG0000529	Syao.g_00027	Syam.g_00584
OG0000530	Syao.g_00122	Syam.g_00587
OG0000531	Syao.g_00121	Syam.g_00588
OG0000532	Syao.g_00118	Syam.g_00591
OG0000533	Syao.g_00116	Syam.g_00592
OG0000534	Syao.g_00115	Syam.g_00593
OG0000535	Syao.g_00114	Syam.g_00594
OG0000536	Syao.g_00113	Syam.g_00595
OG0000537	Syao.g_00112	Syam.g_00596
OG0000538	Syao.g_00100	Syam.g_00607
OG0000539	Syao.g_00099	Syam.g_00608
OG0000540	Syao.g_00098	Syam.g_00609
OG0000541	Syao.g_00097	Syam.g_00610
OG0000542	Syao.g_00167	Syam.g_00613
OG0000543	Syao.g_00165	Syam.g_00615
OG0000544	Syao.g_00164	Syam.g_00616
OG0000545	Syao.g_00162	Syam.g_00618
OG0000546	Syao.g_00160	Syam.g_00620
OG0000547	Syao.g_00158	Syam.g_00622
OG0000548	Syao.g_00157	Syam.g_00623
OG0000549	Syao.g_01391	Syam.g_00630
OG0000550	Syao.g_01396	Syam.g_00635
OG0000551	Syao.g_01401	Syam.g_00640
OG0000552	Syao.g_01402	Syam.g_00641
OG0000553	Syao.g_01404	Syam.g_00643
OG0000554	Syao.g_01413	Syam.g_00652
OG0000555	Syao.g_00875	Syam.g_00667
OG0000556	Syao.g_00871	Syam.g_00670
OG0000557	Syao.g_00866	Syam.g_00672
OG0000558	Syao.g_00864	Syam.g_00675
OG0000559	Syao.g_00860	Syam.g_00679
OG0000560	Syao.g_00857	Syam.g_00682
OG0000561	Syao.g_00856	Syam.g_00683
OG0000562	Syao.g_00855	Syam.g_00684
OG0000563	Syao.g_00854	Syam.g_00685
OG0000564	Syao.g_00853	Syam.g_00686
OG0000565	Syao.g_00849	Syam.g_00690
OG0000566	Syao.g_00845	Syam.g_00694
OG0000567	Syao.g_00841	Syam.g_00698
OG0000568	Syao.g_00839	Syam.g_01751
OG0000569	Syao.g_00838	Syam.g_01750
OG0000570	Syao.g_00837	Syam.g_01749
OG0000571	Syao.g_00834	Syam.g_01745
OG0000572	Syao.g_01033	Syam.g_01729
OG0000573	Syao.g_01022	Syam.g_01721
OG0000574	Syao.g_01021	Syam.g_01720
OG0000575	Syao.g_01000	Syam.g_01716
OG0000576	Syao.g_00996	Syam.g_01714
OG0000577	Syao.g_00995	Syam.g_01713
OG0000578	Syao.g_00994	Syam.g_01712
OG0000579	Syao.g_00993	Syam.g_01711
OG0000580	Syao.g_00992	Syam.g_01710
OG0000581	Syao.g_01059	Syam.g_01704
OG0000582	Syao.g_01204	Syam.g_01513
OG0000583	Syao.g_01205	Syam.g_01512
OG0000584	Syao.g_01206	Syam.g_01511
OG0000585	Syao.g_01054	Syam.g_01509
OG0000586	Syao.g_01055	Syam.g_01508
OG0000587	Syao.g_01057	Syam.g_01506
OG0000588	Syao.g_00406	Syam.g_01498
OG0000589	Syao.g_01342	Syam.g_01494
OG0000590	Syao.g_01341	Syam.g_01493
OG0000591	Syao.g_01330	Syam.g_01486
OG0000592	Syao.g_01329	Syam.g_01485
